1300000005	Psalm
130706007f	Maing, kom kotida ni omui ongiong o kotin palian makar en ai imwintiti kan, o kotin opadang ia, pwe re kotin inau kidar kapung,
130707003f	Pwe wei kan pan pokon dong ir; o re kotin purodala pweki irail.
1307080058	Ieowa iei saunkapung en wei kan. Maing, kotin sauasa ia, duen ai pung o duen ai lelapok!
130709008f	Re kotin kadukiedi mesued en me doo sang Kot akan, ap kotin katengedi me pung kan. Pwe komui Kot pung, kin kotin kasaui mongiong o mudilik kan.
13070a0042	Kot iei pere pa i, me kin kotin sauasa me melel ni mongiong arail.
13070b003b	Kot saunkapung pung amen, me kotin ongiongada ni ran karos.
13070c0064	Ma meamen sota pan wukila, a ap kotin ada sapwilim a kodlas o onopada kasik katieu o kainene wong i,
13070d0079	O kotin pwil poa kanangan kasik katieu men kamela. A kotin kaonopada sapwilim a kanangan kasik katieu, pwe men karongala.
13070e0051	Kilang, a lamelam me dir en sued, a lisenaneki men kaokaoe o pan naitikedi likam.
13070f0049	A weiradar por eu o wiadar lolia, ap pein pupedi ong lole, me a weiradar.
1307100059	A men kamela pan sapale dong pein mong a, o a dodok sued pan pupedi ong pein a al en wel.
130711004d	I pan kapinga Ieowa, pweki a pung, o i pan kauleki mar en Ieowa me lapalapia.
1308010053	MAING at Kaun, mar omui meid lingan nan sap karos! Irail kin kapinga komui nanlang!
130802009f	Sang nan au en seri pwelel, o ir me kin kangkang didi, re kotin wia kidar manaman eu ong omui imwintiti kan, pwe komui en kamela me imwintiti o, o me aktuau o.
1308030051	Ma i kilekilang lang, dodok en lim omui, saunipong o usu kan, me re kotin wiadar:
1308040060	Dakot aramas o, pwe komui kin kotin kupkupura i, de nain aramas, pwe komui kin kotin apapwali i?
1308050059	Re kotin kasapwilidier i ansau kis pan tounlang kan, a re kalinganadar i, o kawauialar i.
1308060055	Re kasapwiladanger i wiawia en lim omui kan. Kom kotin kaloedier karos pan nä a kan:
1308070025	Sip o kau kan, o pil man en sap akan,
1308080049	O manpir en pan lang, o mam en nan sed, karos me kin memaureki nan madau.
1308090032	Ieowa at Kaun, mar omui meid lingan nan sap karos!
130901006b	I MEN kapinga Ieowa sang nan mongiong i meler, o kasokasoiia duen sapwilim omui dodok kapuriamui kan karos.
1309020049	I men pereperen o polauleki komui o kauleki mar omui; komui me lapalapia,
1309030040	Pwe re kotin kaloedier ai imwintiti kan, irail pupedier o melar.
1309040065	Pwe re kotin apwali ia ni ai pung o ai dodok. Komui kaipokedi pon mol omui duen saunkapung pung amen.
1309050065	Kom kotin kapung ong men liki kan o kotin kamela me sapung kan, kom kotin kawelar mar arail kokolata.
130906007a	Imwintiti o soredier, a namenokalar melel. Komui kotin wuketedi kanim akan; o solar, me pan taman irail ada o tou ar akan.
130907004b	A Ieowa pan kotin kaunda kokolata. A kotin kaonopada mol a, pwen kadeikada.
130908003f	O a pan kotin kadeikada sappa ni pung, o kakaunda wei kan pung.
1309090034	Ieowa sile pan me samama kan, silepa ni ansau apwal.
13090a0071	I me irail, me asa mar omui kin liki komui, pwe komui sota kin muei sang irail, me kin rapaki komui, Maing Ieowa.
13090b004a	Kauleki Ieowa, me kin kaunda nan Sion. Komail padaki ong wei kan a wiawia!
13090c006a	Pwe a kotin taman irail ada o kotin kainoma nta ’rail. A sota kin kotin maliela likwir en me samama kan.
13090d007e	Maing Ieowa, kom kotin maki ong ia. Re kotin mangi ai apwal ren ai imwintiti kan, kom kotin dore ia la sang nan wanim en mela.
13090e005c	Pwe i en kasokasoiia duen omui dodok kapuriamui pan wanim en nain Sion, perenki sauas pa om.
13090f006e	Men liki kan pupedi ong nan por o, me pein irail weiradar, o nä ’rail lodi ong insar, me pein irail wiadar.
130910006b	I me kitail asaki, Ieowa me kotin kapung pung. Me sapung kan salidi ong pein ar dodok en pa ar akan. (Sela)
1309110056	Me sapung kan en lokidokila nan wasan mela, o men liki kan karos, me kin monokela Kot.
1309120061	Pwe me samama o sota pan monokinokla kokolata, o me luet akan sota pan kaporoporeki mal kokolata.
1309130058	Maing, kom kotida! Pwe aramas ender pwaida, a men liki kan karos en pakadeikada mo omui.
130914005b	Maing, kotiki ong ir men kamasak, pwe men liki kan en dedeki, me re udan aramas eta. (Sela)
130a010051	MAING, da me kom kotin doo sang ia, o da me kom kotin rir sang ia ni ansau apwal?
130a020068	Me sapung kan ni ar aklapalap re kin kaloke me samama o; re kin pokon pena o madamadaua duen ar morsued.
130a030057	Pwe me sapung o kin suaiki a tiak sued, o me norok moni, kin muei sang Ieowa, lalaue i.
130a040086	Me sapung o kin lamelame ni a aklapalap, me a sota kotin mangi duen mepukat. Ni song en a tiak sued karos, a kin lamelame me sota Kot.
130a050066	A kin pwaida ni a dodok kan. A sapwilim omui kapung me doo sang i; a kin lalaue a imwintiti kan karos.
130a060055	A kin indinda nan mongiong i: I sota pan lodi; i sota pan diar ai apwal kot kokolata.
130a07004d	Au a me dir en lalaue, o malaun, o kotaue, o pan lo a kin me sued o me apwal.
130a08006d	A wonon o masamasan nan kanim akan, a kin rir kamela me makelekel o, o por en mas a kin masamasan me sapai o.
130a09007d	A kin masamasan wasa rir dueta laien amen nan deu a, a kin auiaui, pwen koledi me luet o, a kin saikidi me luet o ni a insar.
130a0a0059	A kin dairukorokedi o karakarakedi, o me sapai kan pan lodi ong ni kiki kong kelail akan.
130a0b005a	A kin indinda nan mongiong i: Kot pan monokela, a kin karirila silang i, a sota man mangi.
130a0c004d	Re kotida Maing Kot, kotin pokada lim ar, kom der kotin maliela me luet akan.
130a0d006b	Menda me doo sang Kot o kin mamaleki Kot, o a kin indinda nan mongiong i, me dene kom sota pan kotin mangi.
130a0e00aa	Ari so, kom kotin mangi, pwe kom kotin irerong me luet o kankangeranger akan, pwen sauasa ir. Me sapai o kin mueid ong komui pein i, o komui me sauas pa en me sapoupou o.
130a0f0069	Kom kotin katip pasang pa en me sapung o, o kotin depuk ong mesued o a tiak sued lao solar pan diarokada.
130a100044	Ieowa me Nanmarki kokolata; men liki kan en nikilar sang nan sap we.
130a11006f	Maing, kom kotin mangier inong en me luet akan; kom kotin kamanada mongiong arail, karong omui mamangi mepukat,
130a120049	Pwen sauasa me sapoupou o samama o, pwe aramas en sappa en solar kangudi.
130b010058	I LIKI Ieowa, a menda komail indang ngen i: Piridalang pon omail nana dueta manpir amen?
130b020098	Pwe kilang, me doo sang Kot akan kaonopadar kasik katieu o pwilikidi ar kanang en kasik katieu pon sal o, pwen rir kasikiedi me melel ni mongiong arail.
130b030038	Pwe ma ur akan rongk pasang, da me aramas pung en wiada?
130b040081	Ieowa kotikot nan tanpas a saraui, mol en Ieowa mimi nanlang, silang i kin mamasani sili, kil en silang i kin sosong aramas akan.
130b05003e	Ieowa kotin song me pung, ap kotin tataki me sapung o morsued.
130b06006c	A pan kotin kamoredi ong me doo sang Kot akan liol, o kisiniai, o swepel, o a pan katinge kin irail melimel.
130b070049	Ieowa me pung o a kotin pok ong me pung. Silang i irerong ong me melel o.
130c010064	MAING kom kotin sauasa, pwe me lelapok kan malaulaular, o me melel akan me malaulau ren aramas akan.
130c020047	Irail kin lokaia likam, amen amen ong men impa, re lokaiaki lol riapot.
130c030059	Ieowa pan kotin usada kil en au karos me lingkaping o lo, me kin lokaia wei ni aklapalap.
130c040059	Me kin indinda: Lo atail, me kit pan pwai kida, o kil en au at me kit keleki; is at kaun?
130c050084	Ieowa kotin masani: I pan uda, pweki kankangeranger en me luet akan o sangesang en me samama kan: I pan sauasa i, me kin inong iong.
130c060061	Masan en Ieowa me makelekeleta silper, me kamakelekel kidar nan dal pwel en kisiniai pan pak isu.
130c070041	Komui Maing, pan kotin pera irail, o sinsila mon di wet kokolata.
130c080056	Pwe me sapung kan pan totolar wasa karos, ma aramas sued pukat kin kaunda aramas akan.
130d01005b	MAING arai da kom pan kotin malie ia la? Arai da komui pan kotin karirila silang omui mo i?
130d020068	Arai da i en perki nan lol ai o salo mi nan mongiong i ran karos? Arai da ai imwintiti en kaurur kin ia?
130d030060	Maing ai Kot, kom kotin masan dong ia o sapeng ia. Kom kotin kamaraini mas ai, pwe i ender mela.
130d040055	Pwe ai imwintiti ender inda: I kaloedier i. O me palian ia ender perenki ai pupedier.
130d05007e	A i kin liki omui kalangan; mongiong i en peren kida omui kotin sauasa ia. I pan kauleki Ieowa duen a kotin wiawia mau ong ia.
130e010082	ME pweipwei o kin indinda nan mongiong i: Sota Kot. Sota katepa ’rail, o arail tiak meid sued; sota amen mia, me kin wia me mau.
130e02005f	Ieowa kin irerong aramas akan sang nanlang, pwen masani, ma amen mia, me lolekong o rapaki Kot.
130e03004e	A ir karos suedelar o karos sota kon ong, sota me kin wiada me mau, sota amen.
130e040082	Irail karos me kin wiada mesued, sota ar lolekong, o me kin kawela nai aramas akan, lao medi kila, a re sota kin likwir ong Ieowa?
130e050041	I wasa re kin masak, pwe Kot kotikot ren kadaudok en me pung kan.
130e060045	Komail kin kawela inong en me luet; aki Ieowa, me a kin kaporoporeki.
130e070095	O i men, sauas pan Israel en kodo sang nan Sion, o Ieowa en kotin lapwada sapwilim a salidi kan! I me Iakop pan insenemauki o Israel pan pereperenki.
130f01005b	MAING, is me pan kaukauson nan tanpas omui? Is me pan mimieta pon sapwilim omui dol saraui?
130f02005d	Me kin kekeitwei ni makelekel, o me kin wia me pung, o me kin lokaia melel sang nan mongiong;
130f030043	Me sota karaun mal ki lo a, o me sota kin wia mesued ong men imp a;
130f040072	Me kin mamaleki me lokidokilar o, ap kakaki me masak Ieowa kan, o me kin kaula melel, menda ma a suedi ong pein i;
130f050092	Me sota pan piti sang en amen na moni, o me sota pan ale kisakis, pwen kawela me pung amen. Ari, me kin apwali mepukat, sota pan luetala kokolata.
1310010032	MAING Kot, kom kotin sinsila ia, pwe i liki komui.
131002004e	Ngai potoan ong Ieowa: Komui ta ai Kaun, sota eu pai, me i asa, pwe komui eta.
1310030069	O I kin indang saraui kan, me kin mi nan sappa: Met akan pwin isou, me I kin pokepoke sang ni mongiong i.
131004007f	A irail me kin idedauen amen, pan lodi ong apwal toto. I sota mauki arail mairong, me doleki nta, de mar arail I sota pan inda.
1310050035	A Ieowa ai pai o ai peren; Komui kin kolekol ai soso.
1310060048	I diaradar ai pwais en sap kaselel eu, ei pai kaselel eu, me i sosokier.
1310070055	I kapinga Ieowa, me kotin kalolekong ia; pil ni pong mudilik i kan kin padaki ong ia.
1310080053	I kin ariri Ieowa ansau karos, pwe a kotikot ni pali maun i, i ap sota pan luetala.
1310090056	I me mongiong i kin peren kida, o ngen i kin popol, pwe pil pali uduk ai pan moleilei.
13100a0085	Pwe kom sota pan kotin mauki, ngen i en mimieta nan wasan mela, o kom sota pan mueid ong, me sapwilim omui saraui men pan mor pasang.
13100b0076	Kom kin kotin kaasa kin ia al maur; peren lapalap mi mon silang omui, o meid lingan ni pali maun en lim omui kokolata.
131101007f	MAING kom kotin ereki me pung o kotin mangi ai likwir o kotin kupura ai kapakap, me sota kin kowei sang nan kil en au likam eu.
131102003e	Ai pung en pwili sang re omui, o kom kotin masan dong me pung.
1311030087	Kom kotin kasaui mongiong i ni pong, o komui kotin sosong ia, ap sota me kom kotin diar. I inaukidi, me i sota pan sapung ni ai lokaia.
1311040051	I kin rukila pan masan en silang omui sang mon tiak en aramas o al en men kamela.
1311050056	Ni ai alialu wei i sota muei sang nan lip en aluwilu omui, ai kakawei sota katia sang.
131106006c	I likwiri ong komui, Maing Kot, kom kotin mangi ia, o kapaike dong ia karong omui, o kotin ereki ai kapakap.
1311070075	Kom kotin kasaleda omui kalangan kapuriamui, pwe pali maun omui sauas pan ir, me kin liki komui, ong ir me palian ir.
1311080044	Sinsila ia dueta por en mas eu, o kotin pera kin ia mot en lim omui,
131109004d	Mon me sapung kan, me men kawe ia la, mon ai imwintiti, me kin kapil ia pena.
13110a004c	Re kin kapiridi mongiong arail; o sang nan au arail re kin lokaia aklapalap.
13110b0063	Wasa se kin kola ia, re kin kapil kit pena, mas arail kin masamasan, pwen kase kit di ong nan pwel.
13110c0055	Dueta laien amen, me inong iong manga, o dueta laien pul amen, me wonon nan wasa rir.
13110d005c	Maing, kom kotida, kaloedi o kanamenokla i; dorela maur i sang me sapung kan ki omui kodlas,
13110e00e5	Sang ren aramas akan ki lim omui, Maing Ieowa, sang ren aramas en sappa wet, me pwais arail ni maur et; kom kotin kadire kila kaped arail omui dipiso kan, me nairail seri ol me toto, o nairail akan me pan sosoki luan arail kapwa.
13110f0051	A i pan ariri silang omui ni ai pung, o i pan medikila mom omui ni ai pan pirida.
1312010022	I KIN pok ong komui Maing, ai kel.
131202006c	Ieowa ai paip, ai kel, ai saundor ai Kot, ai paipalap, me i kin liki, pere pa i, menkamaur pa i o sile pa i!
1312030055	I kin ngidingid ong Ieowa, me kaping en ko ong, o i pan dorela sang ai imwintiti kan.
1312040043	I lodi onger sal en mela kan, o pilap en Pileam akan kamasak ia er.
131205003b	Sal en wasan mela kol ia dier, o sal en mela kaloe ia dier.
1312060082	Ni ai masak i likwir ong Ieowa o weriwer ong ai Kot; I ap kotin ereki ngil ai sang nan tanpas a, o ai likwir lel ong karong a kan.
1312070056	Sappa rerer o mokidedar, o pason en nana kan ititekok o rerer, ni a kotin ongiongidar.
1312080050	Atiniai koda sang nan silang i, o kisiniai kelail sang nan au a, ap kareda liol.
1312090041	O a kotikidier nanlang o kotidido, o rotorot impan aluwilu a kan.
13120a0044	O a kotikot pon Kerup amen o kotin pirwei, o a kotin dake pa en ang.
13120b004a	Tanpas a im pwal iei rotorot, o katau laud, o tapok rotorot, kapil pena i.
13120c003d	Lingan me mi mo a, kamueit pasang tapok kan iang akel o liol.
13120d005f	O Ieowa kotin wiadar nansapwe nanlang, o me Lapalapia kotin poronelar kapit i iang akel o liol.
13120e0081	A kotin kasik wei sapwilim a kanang en kasik katieu, o kotin kamueit irail pasang. A kotin wiadar liol toto o kamasak irail adar.
13120f0065	Al en pil akan ap sansaladar, o pason en sappa weiweidar ki ar ongiong Maing, mon ang en silang omui.
1312100069	A kotikidier lim a sang nan wasa ileile, a kotin kol ia di o kotin api ia dar sang nan pil kalaimun akan.
1312110064	A kotin dore ia la sang ai imwintiti kelail akan, sang ir, me kailong kin ia, ir me i sota itar ong.
1312120045	Irail kaloe ia dier ni ai ran apwal, a Ieowa kotin wialar sauas pa i.
1312130052	O a kotin kalua ia wasan saladok, a kotin kamaio ia da, aki a kotin kupukupura ia.
131214005a	Ieowa kin kotin sauasa ia duen ai pung, a kotin katingi ong ia duen makelekel en pa i kan.
1312150042	Pwe i kin weweid nani al en Ieowa, o i sota kin katiwo ong ai Kot.
1312160043	Pwe a masan akan mi mo i, o i sota pan kase sang ia a kusoned akan.
1312170034	Pwe ngai unsokalar mon silang i o suedeki ai sapung.
1312180055	O Ieowa kotin katingi ong ia duen ai pung, o duen makelekel en pa i kan mon silang i.
131219003f	Komui me kalangan ong me mau kan, o lelapok ong me lelapok kan,
13121a003e	O makelekel ren me makelekel akan, o sapung ren me sapung kan.
13121b0051	Pwe kom kin kotin dorela aramas luet akan, ap kadukiedi mas en me aklapalap akan.
13121c004b	Pwe kom kin kotin kamaraini ai lamp, Ieowa ai Kot kin kamaraini ai rotorot.
13121d0069	Pwe ni ai iang komui i kak kaloedi karis en saunpei kan, o ni ai iang ai Kot, i kak luswei pon kel takai.
13121e0050	Al en Kot me unsokala; masan en Ieowa me makelekel. I pere pan karos, me liki i.
13121f003b	Pwe ia amen Kot impan Ieowa, de ia paip eu impan atail Kot?
131220003a	Iei Kot, me kotin aude kin ia manaman, o kaunsokala al ai.
1312210056	A kin kotin wiai ong nä i kan dueta nä en tia, o kotin kasapwil ia dang wasa ileile.
1312220056	A kotin padaki ong pa i kan tiak en mauin o, pwen kak ong kaonopada kasik katieu mata.
131223006a	Kom kotiki ong ia pere pan maur omui, o lim omui pali maun kamana ia da, o omui opampap me kasapwil ia da.
1312240049	Kom kotin kaonopadar al, me i pan weweid ia, pwe nä i kan ender krisedi.
1312250059	I pan tang wong ai imwintiti kan o kono irail edi, o i sota pan puredo, lao karos lodier.
1312260057	I pan kamor irail pasang, re sota pan kak palian ia, o re pan pupedi ong pan nä i kan.
1312270063	Kom kak kamana kin ia omui manaman ong ni pei; Kom kak kasedi ong pan nä i kan karos me palian ia.
131228004e	Kom kin kotin kaloedi ong ia ai imwintiti kan, pwen kawela, me kailong kin ia.
1312290049	Re kin likelikwir, a sota sauas parail ren Ieowa, a sota kotin sapeng ir.
13122a0067	I pan suk irail pasang dueta pwel par nan kisiniang; i pan kase ir ala dueta pwel samin sang nani al o.
13122b007e	Kom kin kotin dore ia sang ren akamai en aramas, o kom kotin kasapwil ia dang men liki kan; o wei eu me i sasa kin upa ong ia.
13122c004f	Ni ar ronger, re peiki ong ia er, o nain men wai kan peikiong ia ni lingkaping.
13122d0049	Nain men wai kan poridier o rerer o pwarado sang nan ar im kalaimun akan.
13122e0047	Ieowa kotin ieias; kaping ong ai paipalap; o kaping ong Kot ai saundor.
13122f0053	Kot me kotin depuk ong ai imwintiti kan, o a kotin kaloedi ong ia ai imwintiti kan;
1312300089	Kom kotin dore ia la sang ai imwintiti kan, o kom kotin kasapwil ia dang ir, me palian ia. Kom kin kotin sauasa ia ong me morsued ong ia.
1312310056	I me i men danke komui, Maing Ieowa, nan pung en men liki kan o kauleki duen mar omui,
1312320078	Komui me kotin kamaurada melel sapwilim a nanmarki o a kotin sauasa mau sapwilim a Dawid keiedier o kadaudok a kokolata.
131301005c	LANG pokon kin kasokasoi duen lingan en Kot o aude pan lang kin katitiki dodok en lim a kan.
1313020041	Ran eu kin kasokasoi ong eu ran o pong eu kin padaki ong eu pong.
131303003b	Sota kaparok o sota lepen lokaia, ari so, ngil a kin peido.
131304006c	O a loua padak lel ong sap karos, o a kaparok lel imwin sappa. A kotin wiai ong katipin im pwal eu pan lang;
131305006d	O a kin pedoi sang nan a pera dueta ol kamod amen, o kin pereperen dueta ol kamod amen ni a tangwei pon al o.
1313060058	A dakada ni eu imwin lang ap tangalang imwin teio, o sota me kak rir sang mon karakar a.
131307007b	Kapung en Ieowa me unsok o kin kainsenemauiala ngen en aramas akan. Kadede en Ieowa me melel o kin kalolekongla me lolepon.
1313080078	Kusoned en Ieowa me pung o kin kaperenda mongiong en aramas. Kusoned en Ieowa me makelekel o kamarainiada mas en aramas.
1313090050	Lomwin Ieowa me min o kin duedueta. Masan en Ieowa kan me melel, o pung kaualap.
13130a0052	Irail me kasampwal sang kold o kold lingan toto, o iau sang onik o onik kasampwal.
13130b0059	Ir me pil kin katamanda sapwilim omui ladu, o me kin kapwai ir ada, ar kating me lapalap.
13130c004a	Is me kak asa duen toto en a sapung? Kom kotin lapwada dip ai me rir akan.
13130d0087	Pil perewei sang sapwilim omui ladu me aklapalap, pwe ren der kaloe ia di, i ap pan pungala, o pan makelekel sang dip lapalap kokolata.
13130e0067	Kom kotin kupura kaparok en au ai o lokolokaia en mongiong i mo ’mui, Ieowa ai paipalap o ai saundor.
131401004f	IEOWA en kotin mangi om kapakap ni ran apwal o; mar en Kot en Iakop en pera uk!
1314020059	A en kotin porone dong uk sauas pam sang nan tanpas saraui o kamana uk ada sang nan Sion.
131403004c	A en kotin kupura om mairong karos, o om mairong isis en konkon re a. (Sela)
131404004a	A en kotiki ong uk, me mongiong om anane, o kotin kapaiada om inong karos.
131405007c	Se pan ngisingiski omui sauasa kit, o ni mar en atail Kot kit pan kida at plak. Ieowa en kotin kapwaiada om poekipoek karos!
1314060092	I ap asaer, me Ieowa kin kotin dorela sapwilim a me keiedier, o a pan mangi i sang nan sapwilim a lang saraui, lim a pali maun kin sauasa kaualap.
131407004f	Mo kan kin kaporoporeki war o os akan; a kit kin keleki mar en Ieowa atail Kot.
131408002f	Irail lodier o pupedier, a kit uda o kasinenda.
1314090045	Maing kom kotin sauasa nanmarki o, o kotin mangi at likwir ong komui!
1315010057	MAING Ieowa, nanmarki o kin peren kida omui manaman, o a polauleki melel omui sauasa i!
1315020068	Kom kotiki ong i, me mongiong i inong iong, o kom sota kin sopeiwei sang, me kilin aua poekipoki. (Sela)
131503005a	Pwe kom kin wudokedi ong poa me mau kan; kom kotin kalisorop kidi i nin kold kasampwal eu.
1315040044	A kin poeki re omui maur, komui ap kotiki ong i maur warai kokolata.
1315050057	A lingan me lapalap ki omui kotin sauasa i. Kom kin kotin kapwataki i manaman o lingan.
1315060056	Kom kotin kasapwilada i, pwen wia kamau men kokolata; kom kaperenda i mon silang omui.
131507004b	Pwe nanmarki kin liki Ieowa, o a pan dadaurata ki kalangan en me lapalapia.
131508005a	Lim omui pan diar omui imwintiti kan karos, o lim omui maun pan diar me kailong kin komui.
131509008c	Kom pan wia kin ir ala stop en kisiniai eu, ni omui pan kotin pwarado. Ieowa pan kotin kawe ir ala ni a ongiong, o kisiniai pan kang ir ala.
13150a0060	Kom pan kotin karosela kadaudok arail sang nan sappa, o wa ’rail sang nan pung en aramas akan.
13150b004a	Pwe irail inau kidar, me re pan wia sued ong komui a re sota pan itar ong.
13150c0067	Pwe komui pan kotin kasaloe ir ada, pwe ren tang; kom pan kotin padok wong ir omui sal en kasik katieu.
13150d0046	Maing kom kotida ni omui rosong kit ap kauleki o kapinga omui manaman.
1316010054	A I Kot, ai Kot da me komui likidmalie kin ia la? I likelikwir, a sauas pa i me doo.
