2800000007	MATHIƠ
28021600d3	Mahaq, jò tàng doe Achêla-u broq bùa thai dèh baq haq aih Hêrôt, qnang wèq gùng Juđê, Jôsep loh ka crè pi hùa hlài ta aih, qnah hòm Boc plình khoe anoe jò haq apô, haq hi mùt ta gùng Galili,
280217008e	lam rìh oe ta plài Naxaret. Qmang aih khoe xìt troeq bàu ƀài pajàu Boc Plình ma khoe anoe adroe: “Wì creo ka Haq mangai Naxaret.”
2803010042	Jò aih, Jon Baptit trùh tanòe hawit gùng Juđê hnài bàu lem
280302004e	rameh: “Drah loq raxach beq! majah qmang aih diac plình trùh khoe haten”
280303008f	Jon Baptit aih raq mangai pajàu Êsai ma khoe anoe: “I bàu creo tanòe hawit: Drah padon trong am ka Chuaq, Broq ma tamang trong da Haq”.
280304006d	Jon caxùnh eo broq enh xàc lŏcđa, kàt caxy qnam broq xam akia, acaq toq lìp xam diac xùt ta rôm wang.
2803050095	Jò aih, dìq dŏng ka mangai ma oe ta Jêrusalem, xam dìq dŏng mangai oe gùng Galili, hloe xam gùng trong cròng diac Jôđan trùh dìq ti haq.
280306005f	Jò wì khoe paqnoh dèh yiniq lui, wì dôq haq broq ƀaptem ka rađeh ta cròng diac Jôđan.
28030700cd	Mahaq jò haq hnoq bàc ngai nang noe Pharisi xam mangai Sađusê trùh đòeq hu jah broq ƀaptem, haq doe: Ƀài nang noe bìh plŏng meh, cabô hnài pì ma khoe loq wia đeh ka kan noèh hì atìq meh?
2803080053	Qmang qmat, thê pì loh plì lem, dôq ùh hìaq qngwan ka pì ma khoe loq raxach,
2803090092	èh apaq catèh: “Apraham aih kan cadraq nhèn, majah qmang aih au doe ka pì, enh hmo kô, Boc plình thê haq loh nang noe ka Apraham dua jah.
28030a0070	Manòeq kô, chòng khoe roh đòeq jang xèm long, long leq ma ùh loh plì lem, long aih èh kau hu bùh đac.
28030b00ec	Da au kô, au yŏc diac broq ƀaptem am ka pì, mahaq i Mangai ma trùh atìq ka au, haq aih cwìang yeo haqnhèq ka au, au kô ùh tajì ka jah broq mangai wê da haq jep. Haq aih èh ma broq ƀaptem ka pì xam Yiang Hadròeh xam ùnh.
28030c0085	Tì Haq wê tŏnh đòeq hu dè palem dèh qmau ta haneh, lênh qmau Haq don đòeq ta hapom, manùh bùh ta ralùng ùnh ùh pat.”
28030d006b	Jò aih, Jesus loh enh gùng Galili trùh ti Jon oe ta cròng diac Jođan, dôq Jon broq ka rađeh ƀaptem.
28030e0085	Mahaq Jon hangah rameh: Au kô ma khòh dôq Ìh broq ƀaptem ka rađeh, hagleq Ìh majah trùh glòq ti au? Chuaq Jesus padreo bàu:
28030f0070	Manòeq kô broq beq, bèn khòh broq ma gêh geo trong taq atoq qmang qmat. Jon hi broq tiaq ƀàu Chuaq Jesus.
28031000a9	Broq ƀaptem bu khoe, Chuaq Jesus loh khoe ka diac, tajòe qmòe diac plình tapèh, Chuaq Jesus hnoq Yiang Hadròeh Boc Plình, tìah ka trù pan loh jràp ta chac Haq.
280311005f	I bàu enh plình doe: “Kô kon da au, mangai au ma loq waq dèh, lem manoh au rìm trong.”
2804010062	Khoe aih, Yiang Hadròeh qnung Chuaq Jesus mùt tanòe gùng hawit, dôq kan kiac padô qnùt Haq.
2804020058	Chuaq Jesus apàm ka acaq pôn jàt hì, pôn jàt mang, khoe aih haq loh qmòe ka hrah.
2804030064	Kan kiac trùh ajang Chuaq, haq doe: Tàng joq ìh kô kon Boc Plình, thê hmo kô wìa ƀênh beq.
280404008a	Chuaq Jesus doe: “Khoe i bàu achìh rameh: Mangai rìh ùh xài canòm toq ka ƀênh, mahaq canòm rìm nà loh enh bàu Boc Plình”.
2804050054	Kan kiac qmùt Chuaq Jesus tanòe plài hadròeh, atŏc Haq nòe poc hnim kùh waiq,
28040600ce	rai doe: Tàng joq ìh kon Boc plình, caqnìh rađeh beq, ajoq khoe i bàu achìh rameh: “Chuaq thê ƀài ƀình plình wèq ìh: Wì aih hi dèch ìh ta xŏng, Aih èh jènh ìh ùh i catoeh ka hmo”.
2804070067	Chuaq Jesus doe: “Hadai i bàu achìh rameh: Ìh ùh khòh ti qnhro ngan Chuaq aih Boc Plình ìh.”
2804080077	Kan kiac atŏc Haq ta wang haqnhèq hòm, patô ka Haq ƀài diac oe crŏng taneh xam kan rahù ranhòm ƀài diac aih,
280409005f	haq anoe: Tàng joq ìh kùn cràng kùh waiq enh ngèa au, ƀài diac qmat au am dŏng ka ìh.
28040a00a4	Chuaq Jesus tapoch ka haq: “Satan wia ma khoe ka au beq, majah qmang aih i bàu khoe achìh: Ìh ep kùh waiq Chuaq aih Boc Plình ìh, rai patìh toq ka haq raq.
28040b004c	Khoe aih Kan kiac hi lam, i ƀình plình trùh haten patìh ka Chuaq Jesus.
28040c0052	Jò Chuaq Jesus tàng doe wì khoe rùp clêh Jon, haq wìh hlài ta gùng Galili,
28040d006d	Haq ùh oe ta Naxaret, mahaq lam oe ta Cabênaum, haten diac raxìq, hatìa ka gùng Sabulôn, gùng Neptali.
28040e002e	Dôq xìt troeq bàu pajàu Êsai ma khoe doe:
28040f008a	“Taneh Sabulôn xam Neptali, Oe ti trong loh ta diac raxìq, pah tau cròng diac Jođan, Aih gùng Galili mahaq ùh xài mangai Juda…,
28041000a0	Wì aih hangui tanòe clam cluiq, Khoe jah hnoq kan qngah kàn; Xam ƀài mangai ma hangui enh caqnàm qmù kan cachìt, Kan qngah kàn khoe tŏc ka wì aih.”
2804110057	Pang aih, Chuaq Jesus hi lam hnài: “Loq raxach beq, diac Plình trùh khoe haten.”
28041200c7	Jò Haq qnang lam roc haqmai diac raxìq Galili, hnoq wa baiq ngai oh daq, Simôn (ma loq creo Phiero) xam oh haq Anrê, qnang tang hlàm ta diac raxìq, majah qmang aih wa aih dìq mangai ranang ka.
280413004d	Haq doe ka wa: “Lam tiaq Au beq, au hu thê chôp lam tang hlàm mangai.”
2804140034	Tajòe qmòe wa oh daq cađac hlàm, lam tiaq Jesus.
28041500b5	Lam yeo hangai ka aih, Jesus hnoq baiq ngai wa oh daq maqnoeq hòm, Jaco kon Sêbêđê xam oh haq aih Jon, qnang hmình hlàm taboang ti Sêbêđê baq wa haq, Chuaq hi creo ka wa.
280416004b	Tajòe qmòe wa haq hi đòeq boang xam dèh baq wa haq, hu lam tiaq Chuaq.
2804170085	Chuaq Jesus lam jàp gùng Galili, hnài roc hnim tagop, anoe bàu lem diac Boc Plình, rai broq brêh ka mangai yinìq ta gùng aih.
28041800ba	Qmang aih, yiniq haq wì hìa jàp jìa gùng Syri, wì aràng ka haq ƀài mangai ùh hrŏc, mangai yinìq, mangai kiac pawè, ranhùa, mangai pen. Haq broq brêh dìq dŏng ka wì aih.
28041900aa	Èh hòm, patep enh gùng Galili, Đêcabôlo, gùng Jêrusalem, enh gùng Juđê, trùh hloe pah tau cròng diac Jôđan, wì ti adràc dabau bàc haraya lam tiaq Jesus.
2805010075	Jò Chuaq Jesus hnoq mangai bàc, haq hi tŏc ta wang, jò haq khoe hangui, ƀài mangai tiaq hŏc thia haten ka haq.
280502001f	Haq hi tapoch đòeq hnài wì:
2805030059	Xôq ramot am ka ƀài mangai xalep ta manoh, majah qmang aih diac plình aih da wì haq!
280504004c	Xôq ramot am ka ƀài mangai crò hmoe, majah qmang aih wì haq jah alòng!
280505004a	Xôq ramot am ka ƀài mangai loq kèm, majah qmang aih wì haq jah taneh!
2805060056	Xôq ramot am ka ƀài mangai pangot kan taq atoq, majah qmang aih wì haq jah panàc!
2805070055	Xôq ramot am ka ƀài mangai ma loq ha-och, majah qmang aih wì haq jah ha-och chau!
2805080060	Xôq ramot ka ƀài mangai i manoh hliang hadròeh, majah qmang aih wì haq jah hnoq Boc Plình!
2805090066	Xôq ramot ka ƀài mangai broq ka wì hatroq, majah qmang aih jah creo ka wì haq aih kon Boc Plình!
28050a0086	Xôq ramot am ka ƀài mangai lam tiaq trong taq atoq, chìuq dôq qmòe wì rùp rađeh, majah qmang aih wì haq jah waq diac Plình!
28050b0073	Xôq ramot am ka pì, jò wì hnap hnuq ka pì, rùp pani rai yŏc trong dù capoch haƀo ka pì, taiq pì tiaq au.
28050c00b5	Drah lem bùi rai tadèch qmoè cliac manè, qmang aih kan baha pì oe ta Plình kàn haraya, majah qmang aih wì hadai khoe hmaq rùp ƀài pajàu yiang adroe ka pì qmang aih diq.
28050d00cc	Pì kô boh da crŏng taneh, mahaq tàng boh aih pi xang, aih èh yŏc cleq broq dôq haq jah xang hlài, boh aih oe broq cleq ma oe wìa, ep hrôq đac enh gùng, èh wì hi jôiq đac enh caqnàm jènh.
28050e006c	Pì kô kan qngah da crŏng taneh kô, mòeq toq plài broq ta wang, ùh jò leq i cleq jah hanàp đac haq.
28050f009a	Hadai qmang aih, ùh i cabô bùh đen ma đòeq enh qneq ka cađap, mahaq wì dèch đòeq nòe haqnhèq, dôq haq hu sreo qngah ka rìm ngai oe ta hnim.
2805100086	Kan qngah pì drah sreo enh ngèa wì qmang aih diq, dôq wì jah hnoq ƀài kan lem enh pì, wì hu manè Baq ƀài pì oe ta Plình.
2805110082	Pì apaq hèm au trùh đòeq hu raliang đac ranenh xam ƀài bàu pajàu; au trùh, ùh xài hu raliang, mahaq đòeq hu pagêh.
28051200b3	Au doe qnàng ka pì, jò plình crŏng taneh kô oe raq, yac ka moeq teo, moeq pliang chù, ma yi qyoh oe ta ranenh dua ùh hnhung, dua waq ka gòm trùh hì rìm yiniq jah gêh.
280513013d	Qmang aih, mangai leq raliang đac mòeq yiniq ma yeo qyoh dìq dŏng ta ƀài ranenh kô, rai hnài wì qnoeq broq tiaq, mangai aih èh wì doe haq mangai yeo qyoh dŏng oe ta diac plình, mahaq mangai leq wèq ranenh aih, rai hnài wì qnoeq broq tiaq, mangai aih èh wì doe haq mangai yeo kàn tanòe diac plình.
28051400b1	Majah qmang aih, au doe qnàng ka pì, tàng joq kan taq atoq pì ùh yeo haq nhèq ka kan taq atoq da ƀài thài hnài ranenh xam mangai Pharisi, pì ùh jah mùt diac plình.
280515008f	Pì i tàng bàu ma doe ka wì craq calah nèh: Ìh ùh khòh jêh đac mangai, èh hòm cabô ma jêh đac mangai, haq aih ep pòq kan hadrah.
2805160122	Yàng Au doe ka pì: “Waq toq cabô nòeh dèh ka oh daq, haq aih khoe wìa dôq ka wì tah hadrah ka haq, cabô hnap dèh ka oh daq: Raca, ep qnoh haq aih tanòe hadrah kàn dôq wì hu hadarh ka haq, cabô lech dèh ka oh daq: Ranhùa, haq aih khoe khòh dôq ùnh oe ta hwinh baxa haq.
280517007c	Aih ìq, jò leq pì aràng dèch ramènh tadreo tanòe prang, mahaq hmàng hlài oh daq i yiniq cleq ma ùh troq ka rađeh,
2805180075	drah đòeq ramènh aih enh ngèa ka prang tawìh hlài broq hatroq ka oh daq òeq, khoe hi lam dèch ramènh tadreo.
28051900aa	Jò ìh lam trong ti mangai tah hadrah ka ìh, drah hatroq hôiq, tabeq haq qmùt ìh ta cwan hadrah, cwan aih aràng ìh ta cwan lình, qmang aih wì loq rùp clêh ìh,
28051a005a	Au doe qnàng ka ìh, ìh caqnaih oe thìuq moeq đùng dua ìh qnhòq jah loh enh aih.”
28051b0029	Pì tàng bàu cô: “Ùh dùh tango.”
28051c0074	Mahaq Au doe ka pì: “Mangai leq haqmiang mangai cadrì, ta manoh khoe hèm ùh wìa, haq aih khoe tango ta manoh.
28051d00c2	Qmang aih tàng joq mat pah qma broq ka ìh loh kan yiniq lui, qngwia khwên cađac ma hangai ka ìh, dôq haq yac ka moeq qnah ta chac ìh pi tôm, aih dua ùh hnau dìq ka chac clìh ta hwinh.
28051e00a4	Tàng joq tì pah qma basrùq ìh broq yiniq lui, pot khwênh đac ma hangai ka ìh dôq haq moeq qnah ta chac ìh raliang, ùh hnau dìq ka chac clìh ta hwinh.”
28051f005a	I bàu doe rameh: Tàng joq mangai leq cađac mai, ep achìh jàiq đòeq broq ƀò akang.
28052000cc	Mahaq au doe ka pì: “Mangai leq cađac mai, mahaq ùh xài taiq haq tango, mangai aih broq dèh ka mai loh mangai i tuiq tango, èh hòm, cabô yŏc gùcadrì wì cađac, haq aih hadai i tuiq tango.”
280521007c	Pì tàng bàu doe ka wì craq calah nèh: ùh khòh loq hapah paqnùt, mahaq ajang Chuaq, ep wèq dèh bàu cla khoe hapah,
280522006a	Mahaq au anoe ka pì rameh: “Ùh dùh hapah cadèh, apaq patô trŏc hu hapah, aih xài gèq Boc Plình,
280523007f	ùh dùh patô taneh hu hapah aih xài nòe Boc Plình roh jènh, ùh dùh patô Jêrusalem hu hapah, aih xài plài Bùa kàn.
2805240086	Ùh dùh patô dèh gàu hu hapah, majah qmang aih mòeq hadrang xàc gàu, cla pì broq dôq haq loh ka taboc loh ka gam dua ùh jah.
2805250068	Mahaq pì ep doe rameh: “Joq joq, ùh ùh”. Ƀài bàu wì ma tapoch tam aih, dìq loh enh kiac dù.
2805260043	Pì tàng bàu doe rameh: Mat am hlài mat, hanenh am hlài hanenh,
280527008f	Yàng au doe ka pì: “Ùh dùh àu tablêq ka mangai dù, mahaq tàng i cabô tep tabŏc pah qma, pì tawìh am hloe ka wì tabŏc pah qngeo,
280528007e	Tàng i cabô enh tah hadrah ka ìh đòeq chaq trong lêh yŏc da pì eo đêq, dôq haq wì yŏc hloe xam eo yôh enh gùng;
2805290056	tàng i cabô thê pì lam moeq apot trong ti wì haq, pì lam baiq apot trong ti wì.
28052a005a	Cabô bòch pì cleq, am beq, cabô enh bòch đò da pì cleq, apaq hwi đac ta qnoeq.”
28052b006a	Pì lah tàng wì doe qmang kô: Thê loq waq ka mangai haten hatìa ka pì, git ka mangai tablêq ka pì.
28052c006f	Yàng Au doe ka pì rameh: “Thê loq waq ka mangai git ka pì, rai waiq khàn ka mangai ma loq rùp baxa pì.
28052d00a4	Dôq pì jah broq kon Baq pì oe ta plình, majah qmang aih Haq broq mat mahì tŏc đòeq sreo ka mangai dù xam mangai lem, broq mè ka mangai lem xam mangai dù.
28052e0085	Tàng pì loq waq toq ka mangai ma loq waq ka pì, aih èh pì jah baha cleq? Ƀài mangai ma yŏc thèq ma ùh hadai broq qmang aih?
28052f0070	Tàng pì đìh dèh toq oh daq, aih i crài cleq ka wì qnoeq? Ƀài wì enh gùng ma ùh hadai broq qmang aih?
2805300051	Qmang aih, pì ep geo rìm trong qmang ka Baq pì oe ta plình geo rìm trong.”
2806010091	Rabiaq oq, apaq broq bìac taq atoq cla rađeh enh ajang mat wì qnoeq waq ka wì hnoq. Tàng ùh meh, Baq pì oe ta plình ùh baha ka pì cleq.
28060200dc	Qmang aih, jò pì tabàih, paq hlui taliaq enh ngèa dèh cla, troeq ƀài mangai toq ti patìah ma loq broq nòe hnim tagop, waq ka wì qnoeq hnoq rađeh. Joq qnàng Au doe ka pì, wì aih khoe jah qmòe dèh kan baha.
2806030046	Mahaq jò pì taƀàih, apaq dôq pah qngeo loq tì pah qma broq cleq,
2806040066	dôq kan tabàih aih jah hlèp; Baq pì, aih Mangai xau hnoq tanòe hlèp, aih èh haq ma baha ka pì.
28060500fa	Jò pì waiq khàn, apaq broq qmang ka ƀài mangai toq ti patìah, wì haq enh toq yòng waiq khàn tanòe hnim tagop, tanòe trong lam, đoèq dìq ka phù cròng mangai hnoq đeh hra. Joq qnàng Au doe ka pì, wì aih khoe jah qmòe dèh kan baha.
28060600c6	Mahaq jò pì waiq khàn, mùt dèh ta bluàng, clòng qmang, khoe aih hi waiq khàn dèh ka Baq pì, oe ta nòe hlèp aih, Baq pì aih Mangai xau hnoq tanòe dìq jaq hlèp, aih èh ma baha ka pì.
28060700ab	Jò pì waiq khàn, ùh dùh yŏc bàu capoch lauq capoch clò ùh loh qmòe ranenh troeq wì enh gùng, majah qmang aih wì haq xoh đeh capoch bàc aih i mangai tamàng.
2806080060	Qmang aih, pì apaq top dua wì haq, Baq pì khoe loq pì qnang enh cleq adroe ka pì bòch Haq.
2806090057	Qmang aih pì waiq khàn rameh: “Waiq Baq nhèn oe ta plình; Yiniq Baq jah hadròeh;
28060a0051	Diac Baq jah trùh; Manoh Baq jah gêh, oe ta crŏng taneh tìah ka oe ta plình!
28060b002e	Am ka nhèn dahwèq acaq qnang lem ka hì kô;
28060c0053	Cađac da nhèn yiniq lui, qmang ka nhèn cađac ka mangai broq yiniq lui ka nhèn;
28060d0093	Paq dôq nhèn clìh ta kan padô qnùt, dèch nhèn claih enh kan dù! (Majah qmang aih: diac, kan itai, kan ranhòm, oe dìq ta Baq mòeq đòe.)
28060e0080	Majah qmang aih, tàng joq pì cađac yiniq lui mangai qnoeq ma broq ka pì, Baq pì oe ta plình hanoh cađac yiniq lui da pì.
28060f006b	Mahaq tàng joq pì ùh cađac yiniq lui wì qnoeq, Baq pì oe ta plình hanoh ùh cađac da pì yiniq lui.
28061000e9	Jò pì apàm ka acaq, apaq broq dèh mangò troeq ƀài mangai toq ti patìah, wì aih broq dèh ma haqnhuaq ta mùh mat, waq ka wì qnoeq loq ka wì haq apàm ka acaq, Joq qnàng au doe ka pì, wì aih khoe jah qmòe dèh kan baha.
280611003a	Yàng jò ìh apàm ka acaq, xùt dàu ta gàu, qmùq mat.
2806120081	Dôq wì qnoeq ùh hìaq loq pì qnang apàm ka acaq, mahaq toq Baq ìh mangai ma xau hnoq tanòe, aih èh haq ma hu baha ka pì.
28061300a5	Pì apaq don đòeq kùng hang oe crŏng taneh, aih nòe i catia, i kan axiang loq broq haq om cađac èh mangai atùng loq kŏch radua, chìa panàt hu yŏc atùng,
280614008f	mahaq ep don đòeq ta plình, nòe aih ùh i ka catia, ùh i kan axiang pa-om cađac, ùh i mangai atùng chìa panàt, kŏch radua hu atùng.
280615004a	Majah qmang aih, kùng hang pì oe taleq, manoh cliac pì hadai oe ta aih.
2806160058	Mat aih đen da chac hamac. Tàng joq mat ìh qngah lem, aih dìq ka chac pì jah qngah,
28061700a8	tàng mat ìh ùh lem, dìq chac hamac ìh loh dŏng ka clam cluiq. Qmang aih, tàng joq kan qngah oe ta ìh aih loh ka clam cluiq, aih èh kan clam kô kàn dàng leq!
28061800eb	Ùh bô jah broq hapŏng ka baiq toq craq, majah qmang aih haq loq git ka mangai kô èh loq waq ka mangai tau, ùh meh haq padèch mangai kô, mahaq jù cađac magai tau. Pì ùh jah rai broq hapŏng Boc Plình rai broq hapŏng Mamon.
28061900f1	Aih ìq Au ma jah doe ka pì: “Apaq taiq kan rìh rađeh ma lèt ka trong acaq ôq, hanoh apaq taiq chac hamac ma hu lèt ka rađeh caxùnh cleq. Kan rìh ma ùh yeo kàn ka dahwèq acaq, chac hamac ma ùh xài yeo kàn ka dahwèq caxùnh?
28061a00ae	Ngan chim oe ta trŏc: haq ùh i rai adrech, ùh i gat, hanoh ùh i don đòeq ta hapom aih dua Baq pì oe ta plình ban haq. Pì ma ùh xài yeo canaq ùh hnau ka chìm aih?
28061b0069	Qnah hòm, taqne pì qmat i ka cabô taiq haq loq lèt ma broq ka rađeh jah halình tam moeq ahyàc ùh?
28061c007c	Dahwèq caxùnh pì lèt dèh? Haqmiang ngan ƀài riang tacreo oe ta gùng honh qmang leq, ùh i abroq, ùh i caxênh brai,
28061d0081	mahaq au doe ka pì, yac ka bùa Salômôn nhòm dàng leq, dua qnhòq lah caxùnh moeq blah eo leq ma lem dàng ƀài riang aih.
28061e00a4	Pì qmat joq mangai ƀiaq manoh lùi, nhat oe tagùng, aih adrech hì kô oe rìh, hì da èh bùh ta ùnh. Boc Plình dua am haq caxùnh lem qmang aih, loq ka pì!
28061f004f	Qmang aih, pì apaq lèt đòeq hu doe: Bèn acaq cleq? Ôq cleq? caxùnh cleq?
2806200083	Majah qmang aih, wì mangai enh gùng cadàu tiaq rìm yiniq aih, Baq pì oe ta plình khoe loq pì i yiniq waq ka ƀài trong aih.
2806210081	Mahaq adroe dìq dŏng, drah chaq diac Boc Plình xam kan taq atoq da Haq òeq, ƀài yiniq aih èh, brì ka Haq baha tam ka pì.
2806220071	Qmang aih, apaq lèt dèh ka hì da èh, hì da èh đoèq da hì da èh. Kan xalep hì leq lap qmòe ka hì aih.
280701005a	Pì apaq ti tah hadrah dèh ka wì qnoeq, dôq wì qnoeq hadai ùh hìa tah hadrah ka pì.
2807020090	Pì tah hadrah ka wì qnoeq qmang leq, wì hanoh tah hadrah hlài ka pì qmang aih, pì dèch ka wì dàng leq wì dèch hlài ka pì dàng aih.
280703004d	Hagleq pì hnoq khênh ta mat oh daq, mahaq ùh hnoq long tanòng ta mat cla?
280704006b	Gleq ma hùa doe ka oh daq: Dôq au doeh khênh loh khoe ka mat ìh, yàng ta mat cla i qmòe long tanòng?
