0100000009	創世記
0105060027	塞特一百零五歲時生以挪士，
0105070030	之後又活了八百零七年，生兒育女，
0105080027	共活了九百一十二歲才去世。
0105090021	以挪士九十歲時生該南，
01050a0033	之後又活了八百一十五年，生兒育女，
01050b0024	共活了九百零五歲才去世。
01050c0021	該南七十歲時生瑪勒列，
01050d0030	之後又活了八百四十年，生兒育女，
01050e0024	共活了九百一十歲才去世。
01050f0024	瑪勒列六十五歲時生雅列，
0105100030	之後又活了八百三十年，生兒育女，
0105110027	共活了八百九十五歲才去世。
0105120027	雅列一百六十二歲時生以諾，
010513002a	之後又活了八百年，生兒育女，
0105140027	共活了九百六十二歲才去世。
0105150027	以諾六十五歲時生瑪土撒拉，
0105160036	之後與上帝親密同行三百年，生兒育女，
010517001e	共活了三百六十五歲。
0105180048	以諾與上帝親密同行，後來被上帝接去，不在世上了。
010519002d	瑪土撒拉一百八十七歲時生拉麥，
01051a0033	之後又活了七百八十二年，生兒育女，
01051b0027	共活了九百六十九歲才去世。
01051c0030	拉麥一百八十二歲時生了一個兒子，
01051d006f	取名叫挪亞，他說：「耶和華咒詛了大地，這孩子必使我們從艱辛勞苦中得安慰。」
01051e0045	拉麥生挪亞之後，又活了五百九十五年，生兒育女，
01051f0027	共活了七百七十七歲才去世。
010520002a	挪亞五百歲後生閃、含和雅弗。
010601003c	當時，人類在地上開始逐漸增多，生了女兒。
0106020048	上帝的兒子們看見人的女兒漂亮，就隨意選來做妻子。
0106030081	耶和華說：「人既然是血肉之軀，我的靈不會永遠住在人的裡面，然而人還可以活一百二十年。」
010604006f	從上帝的兒子和人的女兒交合生子起，地上出現了巨人，他們是上古英武有名的人。
010605004e	耶和華看見人在地上罪惡深重，心裡終日思想的都是惡事，
010606002d	就後悔在地上造了人，心裡傷痛，
0106070078	說：「我要把所造的人，連同一切飛禽走獸和爬蟲從地上都毀滅，因為我後悔造了他們。」
0106080027	只有挪亞在耶和華面前蒙恩。
0106090079	以下是有關挪亞的記載。 挪亞是個義人，在當時的世代是個純全無過的人，他與上帝同行。
01060a0030	挪亞生了三個兒子：閃、含和雅弗。
01060b0039	那時大地在上帝眼中敗壞了，充滿了暴行。
01060c003c	上帝看見大地敗壞了，因為世人都行為敗壞。
01060d0078	祂對挪亞說：「我決定消滅世人，因為他們使大地充滿暴行。我要把他們和大地一起毀滅。
01060e0060	你要為自己用歌斐木建造一艘方舟，裡面要有艙房，內外都要塗上柏油。
01060f0054	你建造的方舟要長一百三十五米，寬二十二米半，高十三米半。
0106100075	舟頂要有四十五釐米高的透光口，門開在方舟的側面，整艘方舟要分為上、中、下三層。
0106110075	看啊，我要使洪水在地上氾濫，毀滅天下一切有生命氣息的活物，地上的一切都要滅亡。
010612004b	但我要和你立約，你與妻子、兒子和兒媳都可以進方舟。
0106130054	每樣動物你要帶兩隻進方舟，雌雄各一隻，好保存牠們的生命。
010614004e	各類飛禽走獸和爬蟲每樣一對都要到你那裡，好保全生命。
0106150045	你要為自己和這些動物預備各種食物，貯存起來。」
0106160036	挪亞就照著上帝的吩咐把事情都辦好了。
010701006f	耶和華對挪亞說：「你和你全家都進入方舟，因為這個世代只有你在我眼中是義人。
010702005a	潔淨的動物，你要每樣帶七公七母，不潔淨的動物每樣帶一公一母，
010703004b	飛鳥每樣帶七公七母，叫牠們以後可以在地上繁衍後代。
0107040066	因為七天之後，我要在地上降雨四十晝夜，從地上毀滅我所造的一切活物。」
0107050030	凡耶和華所吩咐的，挪亞都照辦了。
0107060036	洪水在大地上氾濫那年，挪亞六百歲了。
0107070048	挪亞與妻子、兒子們和兒媳們都進了方舟，躲避洪水。
0107080048	潔淨的動物、不潔淨的動物、飛禽和地上的一切爬蟲，
010709005a	都一公一母成對地到挪亞那裡，進了方舟，正如上帝對挪亞的吩咐。
01070a002d	七天過後，洪水在地上氾濫起來。
01070b006c	挪亞六百歲那年的二月十七日，所有深淵的泉源都裂開了，天上的水閘也打開了，
01070c0021	地上大雨降了四十晝夜。
01070d0072	就在那天，挪亞與他的兒子閃、含和雅弗，還有挪亞的妻子和三個兒媳婦都進了方舟。
01070e0051	所有的野獸、牲畜、地上的爬蟲和飛鳥，都按種類進入方舟。
01070f004b	一切有生命氣息的活物都成對地到挪亞那裡，進入方舟。
010710007b	所有進入方舟的動物都是一公一母，正如上帝對挪亞的吩咐。然後，耶和華關上了方舟的門。
0107110051	洪水在地上氾濫了四十天，水不斷往上漲，把方舟漂了起來。
010712003f	洪水來勢洶洶，淹沒大地，方舟漂浮在水面上。
010713003c	水勢越來越大，把天下各處的高山都淹沒了。
010714002a	水淹沒了群山，高出群山七米。
010715004e	地上所有的飛禽、走獸、牲畜、爬蟲等動物和人類都死了。
0107160039	陸地上所有鼻孔有生命氣息的活物都死了。
0107170075	地上的人類、飛禽走獸和爬蟲等一切活物都被毀滅了，只剩下挪亞和跟他同在方舟裡的。
0107180024	洪水淹沒大地一百五十天。
0108010063	上帝眷顧挪亞及方舟裡的野獸和牲畜，就使風吹在大地上，水便開始消退。
0108020042	深淵的泉源和天上的水閘都關閉了，大雨也停了。
0108030048	地上的洪水慢慢消退，過了一百五十天，水退下去了。
0108040030	七月十七日，方舟停在亞拉臘山上。
010805004b	水繼續消退一直到十月，到十月一日，山頂都露出來了。
0108060042	又過了四十天，挪亞打開他在方舟上所造的窗戶，
0108070054	放出一隻烏鴉。牠一直在空中飛來飛去，直到地上的水都乾了。
0108080051	然後，挪亞放出一隻鴿子，以便瞭解地面的水是否已經消退。
0108090072	但遍地都是水，鴿子找不到歇腳的地方，就飛回了方舟，挪亞伸手把鴿子接進方舟裡。
01080a0030	挪亞又等了七天，再把鴿子放出去。
01080b0078	到了黃昏，鴿子飛回來，嘴裡啣著一片新擰下來的橄欖葉，挪亞便知道地上的水已經退了。
01080c0042	他又等了七天，再放出鴿子，這次鴿子沒有回來。
01080d007b	挪亞六百零一歲那年的一月一日，地上的水乾了。挪亞打開方舟的蓋觀望，看見地面都乾了。
01080e0030	到了二月二十七日，大地完全乾了。
01080f0015	上帝對挪亞說：
0108100033	「你與妻子、兒子和兒媳都要出方舟。
010811007b	你要把方舟裡的飛禽走獸及爬蟲等所有動物都帶出來，讓牠們在地上多多滋長，生養繁衍。」
010812003c	於是，挪亞與妻子、兒子和兒媳都出了方舟。
0108130057	方舟裡的飛禽走獸和爬蟲等所有地上的動物，都按種類出了方舟。
0108140060	挪亞為耶和華築了一座壇，在上面焚燒各種潔淨的牲畜和飛鳥作為燔祭。
01081500b4	耶和華聞到這燔祭的馨香，心想：「雖然人從小就心存惡念，但我再不會因為人的緣故而咒詛大地，再不會像這次一樣毀滅一切活物了。
0108160051	只要大地尚存，播種收割、夏熱冬寒、白晝黑夜必不停息。」
0109010063	上帝賜福給挪亞和他的兒子們，對他們說：「你們要生養眾多，遍佈地面。
0109020072	所有地上的走獸和爬蟲、空中的飛鳥及海裡的魚，都必懼怕你們，牠們都歸你們管理。
0109030069	凡是活的動物都可作你們的食物，就像綠色菜蔬一樣，我把一切都賜給你們了。
010904003c	只是你們不可吃帶血的肉，因為血就是生命。
0109050072	凡是殺害你們的，無論人或獸，我必向他們追討血債。凡殺人的，我必追討他的血債。
0109060057	凡殺害人的，也必被人殺害，因為人是上帝照著自己的形像造的。
0109070033	你們要生養眾多，使地上人口興旺。」
0109080030	上帝又對挪亞和他身邊的兒子們說：
010909002d	「我要跟你們和你們的後代立約，
01090a006f	包括所有和你們在一起的生物，就是那些和你們一起從方舟出來的飛禽走獸和牲畜。
01090b005d	我與你們立約，不再讓洪水滅絕一切生命，也不再讓洪水毀滅大地。」
01090c0072	上帝說：「我與你們及所有和你們在一起的生物立世代永存的約，這是我立約的記號。
01090d003f	我把彩虹放在雲中，作為我跟大地立約的記號。
01090e0042	我使雲彩覆蓋大地的時候，會有彩虹在雲中出現。
01090f0075	這樣我會顧念我與你們及一切有血氣的生物所立的約，水就不會再氾濫、毀滅所有生命。
0109100069	當我看見彩虹在雲中出現的時候，就會顧念我與地上一切活物立的永遠之約。」
010911004b	上帝對挪亞說：「這是我與地上一切生命立約的記號。」
0109120057	與挪亞一起出方舟的有他的兒子閃、含、雅弗。含是迦南的父親。
010913003c	這是挪亞的三個兒子，他們的後代遍佈天下。
010914003c	挪亞做了農夫，他是第一個栽種葡萄園的人。
0109150045	一天，他喝葡萄酒喝醉了，赤裸著身體躺在帳篷裡。
0109160051	迦南的父親含看見父親赤身露體，便去告訴外面的兩個弟兄。
0109170099	於是，閃和雅弗拿了一件衣服搭在肩上，倒退著走進帳篷，把衣服蓋在父親身上，他們背著臉不看父親赤裸的身體。
0109180030	挪亞酒醒後，知道了小兒子做的事，
010919004a	就說： 「迦南該受咒詛， 必做他弟兄的僕人的僕人。」
01091a004d	又說： 「閃的上帝耶和華當受稱頌！ 願迦南做閃的僕人。
01091b005f	願上帝擴張雅弗的疆界， 願他住在閃的帳篷裡， 願迦南做他的僕人。」
01091c0030	洪水以後，挪亞又活了三百五十年，
01091d0024	共活了九百五十歲才去世。
010a01005d	洪水以後，挪亞的兒子閃、含和雅弗都生了兒子，以下是他們的後代。
010a020051	雅弗的兒子是歌篾、瑪各、瑪代、雅完、土巴、米設、提拉。
010a030036	歌篾的兒子是亞實基拿、利法、陀迦瑪。
010a040039	雅完的兒子是以利沙、他施、基提、多單。
010a050057	雅弗的這些後代各按宗族、語言和民族分散在沿海自己的國土上。
010a060030	含的兒子是古實、麥西、弗、迦南。
010a07006f	古實的兒子是西巴、哈腓拉、撒弗他、拉瑪、撒弗提迦。拉瑪的兒子是示巴和底但。
010a08003c	古實也是寧錄之父，寧錄是世上第一位勇士，
010a09008d	在耶和華眼中是個孔武有力的獵人，因此有俗話說：「要像寧錄那樣在耶和華眼中是個孔武有力的獵人。」
010a0a004b	他首先在示拿地區的巴別、以力、亞甲、甲尼各地建國，
010a0b004b	後來擴展到亞述，在那裡建立了尼尼微、利河伯、迦拉，
010a0c0030	以及尼尼微與迦拉之間的利鮮大城。
010a0d004e	麥西的後代有路低人、亞拿米人、利哈比人、拿弗土希人、
010a0e005a	帕斯魯細人、迦斯路希人和迦斐托人。非利士人是迦斐托人的後代。
010a0f0024	迦南生長子西頓和次子赫，
010a10003f	他的後代還有耶布斯人、亞摩利人、革迦撒人、
010a110024	希未人、亞基人、西尼人、
010a120051	亞瓦底人、洗瑪利人和哈馬人。後來迦南各宗族散居在各地。
010a130081	迦南的疆域從西頓向基拉耳延伸，遠至迦薩，再向所多瑪、蛾摩拉、押瑪、洗扁延伸，遠至拉沙。
010a140069	以上記載的都是含的子孫，他們根據自己的宗族、語言、國土和民族散居各處。
010a150042	雅弗的哥哥閃是希伯子孫的祖先，他也生了兒子。
010a16003f	閃的兒子是以攔、亞述、亞法撒、路德、亞蘭。
010a170036	亞蘭的兒子是烏斯、戶勒、基帖、瑪施。
010a180027	亞法撒生沙拉，沙拉生希伯，
010a190069	希伯有兩個兒子，一個名叫法勒，因為那時人們分地而居。法勒的兄弟叫約坍。
010a1a0036	約坍生亞摩答、沙列、哈薩瑪非、耶拉、
010a1b001e	哈多蘭、烏薩、德拉、
010a1c0024	俄巴路、亞比瑪利、示巴、
010a1d003c	阿斐、哈腓拉、約巴。這些都是約坍的兒子。
010a1e003f	他們居住的地方，從米沙直到東邊的西發山區。
010a1f0069	以上記載的都是閃的子孫，他們按著自己的宗族、語言、國土和民族散居各處。
010a200093	這些人都是洪水以後挪亞三個兒子所生的子孫，他們按著自己的民族和家系散居在各地，繁衍出地上各個民族。
010b01003c	那時，天下人都用同一種語言，講同一種話。
010b02004b	人們向東遷移時，在示拿地區找到一處平原，定居下來。
010b030081	他們彼此商量說：「來呀，我們製作磚，把磚燒透吧。」他們用磚作石塊，用柏油作灰泥來造塔，
010b04008a	說：「來吧，讓我們造一座城和一座高聳入雲的塔，這樣我們可以為自己揚名，不致分散在普天之下。」
010b05002d	耶和華下來察看人建造的城和塔。
010b06009c	耶和華說：「看啊，他們同屬一個民族，都用同一種語言，現在就開始做這樣的事，如果繼續下去，他們會為所欲為。
010b07004e	來吧，我們下去變亂他們的語言，使他們彼此言語不通。」
010b080057	於是，耶和華把他們從那裡分散到普天之下，他們便停止建城了。
010b090075	因此，人稱那城為巴別，因為耶和華在那裡變亂了世人的語言，把他們分散到普天之下。
010b0a004c	以下是閃的後代。 洪水過後兩年，閃一百歲時生亞法撒，
010b0b002a	之後又活了五百年，生兒育女。
010b0c0024	亞法撒三十五歲時生沙拉，
010b0d0030	之後又活了四百零三年，生兒育女。
010b0e001e	沙拉三十歲時生希伯，
010b0f0030	之後又活了四百零三年，生兒育女。
010b100021	希伯三十四歲時生法勒，
010b110030	之後又活了四百三十年，生兒育女。
010b12001e	法勒三十歲時生拉吳，
010b130030	之後又活了二百零九年，生兒育女。
010b140021	拉吳三十二歲時生西鹿，
010b150030	之後又活了二百零七年，生兒育女。
010b16001e	西鹿三十歲時生拿鶴，
010b17002a	之後又活了二百年，生兒育女。
010b180021	拿鶴二十九歲時生他拉，
010b190033	之後又活了一百一十九年，生兒育女。
010b1a0039	他拉七十歲後，生了亞伯蘭、拿鶴和哈蘭。
010b1b0055	以下是他拉的後代。 他拉生亞伯蘭、拿鶴和哈蘭，哈蘭生羅得。
010b1c0051	哈蘭比他父親他拉先去世，他死在自己的家鄉迦勒底的吾珥。
010b1d009c	亞伯蘭和拿鶴都娶了妻子，亞伯蘭的妻子名叫撒萊，拿鶴的妻子名叫密迦，是哈蘭的女兒。哈蘭是密迦和亦迦的父親。
010b1e0024	撒萊不能生育，沒有孩子。
010b1f00c0	他拉帶著兒子亞伯蘭、孫子——哈蘭的兒子羅得、兒媳婦——亞伯蘭的妻子撒萊，離開迦勒底的吾珥前往迦南，他們來到哈蘭，在那裡定居下來。
010b200030	他拉在那裡去世，享年二百零五歲。
010c01006c	耶和華對亞伯蘭說：「你要離開家鄉、親族和父親的家，到我要指示你的地方去。
010c020063	我必使你成為大國，我必賜福給你，使你聲名遠揚。你必成為別人的祝福。
010c030069	我必賜福給那些祝福你的人，咒詛那些咒詛你的人。世上萬族必因你而蒙福。」
010c040069	亞伯蘭就照耶和華的吩咐離開哈蘭，侄兒羅得與他同行。那時亞伯蘭七十五歲。
010c050087	亞伯蘭帶著妻子撒萊、侄兒羅得以及在哈蘭積攢的財物和所得的奴僕，啟程來到迦南。到了迦南以後，
010c06005d	亞伯蘭繼續前行，來到示劍的摩利橡樹那裡。當時迦南人住在那地方。
010c07009c	耶和華向亞伯蘭顯現，對他說：「我要把這片土地賜給你的後裔。」亞伯蘭就在那裡為向他顯現的耶和華築了一座壇。
010c0800bd	然後，他們又啟程前往伯特利東面的山區，在那裡搭起帳篷。他們的西面是伯特利，東面是艾。亞伯蘭又在那裡築了一座壇，求告耶和華的名。
010c090027	之後，亞伯蘭繼續前往南地。
010c0a004e	那地方遭遇饑荒，災情非常嚴重，亞伯蘭便下到埃及暫住。
010c0b005a	快要到埃及的時候，他對妻子撒萊說：「我知道你是個美貌的女子，
010c0c0054	埃及人看見你，一定會因為你是我的妻子而殺了我，讓你活著。
010c0d0060	所以，請你說你是我的妹妹，這樣他們會因為你而善待我，留我一命。」
010c0e004b	亞伯蘭一行到了埃及，撒萊的美貌引起了埃及人的注意。
010c0f0066	法老的官員見了撒萊，就在法老面前稱讚她的美貌，她便被帶進法老的王宮。
010c100063	因為撒萊的緣故，法老厚待亞伯蘭，賞給他許多牛、羊、驢、駱駝和僕婢。
010c11004e	耶和華因亞伯蘭妻子撒萊的緣故，使法老和他全家患重病。
010c120069	法老便召見亞伯蘭，說：「你對我做的是什麼事？為什麼不告訴我她是你妻子？
010c130069	為什麼說她是你妹妹，以致我要娶她為妻呢？現在你妻子在這裡，帶她走吧！」
010c140051	法老就吩咐人把亞伯蘭、他妻子以及他所有的一切都送走了。
010d010051	亞伯蘭帶著妻子、侄兒羅得和所有的一切，離開埃及去南地。
010d020033	那時亞伯蘭已經擁有很多牲畜和金銀。
010d030093	他從南地漸漸遷移到伯特利，到了他從前在伯特利和艾中間搭帳篷和築壇的地方。他又在那裡求告耶和華的名。
010d05003c	和亞伯蘭同行的羅得也有牛群、羊群和帳篷。
010d06004b	他們的牲畜很多，那地方容納不下，他們無法住在一起。
010d07006c	亞伯蘭的牧人和羅得的牧人之間起了紛爭。那時，迦南人和比利洗人也住在那裡。
010d080081	亞伯蘭對羅得說：「我們之間不該有紛爭，我們的牧人之間也不該有紛爭，因為我們是骨肉至親。
010d090093	整片土地不就在你面前嗎？我們分開吧。如果你往左邊去，我就往右邊走；如果你往右邊去，我就往左邊走。」
010d0a00b7	羅得舉目眺望，看見整個約旦河平原，遠至瑣珥，水源充足。在耶和華毀滅所多瑪和蛾摩拉之前，那地方就好像耶和華的園子，又像埃及。
010d0b0051	於是，羅得選了整個約旦河平原，向東遷移，他們便分開了。
010d0c0069	亞伯蘭住在迦南，羅得則住在平原的城邑裡，並漸漸把帳篷遷移到所多瑪附近。
010d0d003c	所多瑪人極其邪惡，在耶和華眼中罪惡滔天。
010d0e005a	羅得離開後，耶和華對亞伯蘭說：「從你站的地方向東西南北眺望，
010d0f004e	你所能看見的地方，我都要賜給你和你的後裔，直到永遠。
010d100069	我要使你的後裔多如地上的塵土，人若能數算地上的塵土，才能數算你的後裔。
010d110048	你起來走遍這片土地，因為我要把這片土地賜給你。」
010d120075	亞伯蘭就把帳篷遷移到希伯崙，在幔利的橡樹附近居住，在那裡為耶和華築了一座祭壇。
