2800000009	Mattheüs
28020b00c0	En in het huis gekomen zijnde, zagen zij het kind met Maria, zijn moeder; en nedervallende, aanbaden zij het. En zij openden hun schatten en brachten het geschenken, goud, en wierook en mirre.
28020c0095	En nadat zij in een droom van Godswege vermaand waren om niet weder te keeren naar Herodes, vertrokken zij langs een anderen weg terug naar hun land.
28020d0104	Toen zij nu vertrokken waren, ziet, een engel des Heeren verscheen in een droom aan Jozef, zeggende: Sta op, neem het kind en zijn moeder mede, en vlucht naar Egypte, en blijf daar totdat Ik het u zal zeggen; want Herodes zal het kind zoeken, om het te dooden.
28020e0056	En hij stond op en nam des nachts het kind en zijn moeder mede en vertrok naar Egypte.
28020f00a5	En hij was daar tot den dood van Herodes; opdat vervuld zou worden hetgeen de Heere gesproken heeft door den profeet, die zegt: Uit Egypte heb Ik mijn Zoon geroepen.
280210011a	Toen Herodes dan zag dat hij door de wijzen bedrogen was, werd hij zeer toornig; en hij zond heen en vermoordde al de kinderen te Bethlehem en in geheel de omliggende landstreek, die twee jaar oud waren en daarbeneden, naar den tijd dien hij van de wijzen nauwkeurig onderzocht had.
2802110044	Toen is vervuld het woord dat door den profeet Jeremia is gesproken:
2802120091	Een stem is in Rama gehoord, geklag, geween en veel gejammer. Rachel beweent haar kinderen en wil niet vertroost worden, want zij zijn niet meer.
2802130065	Toen nu Herodes gestorven was, ziet, een engel des Heeren verscheen in een droom aan Jozef in Egypte,
2802140089	zeggende: Sta op, neem het kind en zijn moeder mede, en ga naar het land Israëls; want die de ziel van het kind zochten, zijn gestorven.
2802150054	En hij stond op en nam het kind en zijn moeder mede, en kwam naar het land Israëls.
28021600d6	Maar toen hij hoorde dat Archelaüs over Judea regeerde in de plaats van zijn vader Herodes, vreesde hij daarheen te gaan; maar van Godswege in een droom vermaand zijnde, vertrok hij naar de landstreek van Galilea.
2802170094	En hij ging wonen in een stad genaamd Nazaret; opdat zou vervuld worden hetgeen door de profeten is gesproken, dat Hij Nazarener zou genaamd worden.
2803010052	In die dagen nu kwam Johannes de Dooper, en hij predikte in de woestijn van Judea,
2803020048	zeggende: Doet boetvaardigheid want het koninkrijk der hemelen is nabij!
280303009f	Deze is het van wien gesproken is door Jesaja, den profeet, die zegt: De stem des roependen: bereidt in de woestijn den weg des Heeren, maakt zijn paden recht!
2803040085	Deze Johannes nu had zijn kleed van kemelshaar, en een lederen gordel om zijn lenden; en zijn voedsel was sprinkhanen en wilde honig.
2803050059	Toen ging tot hem uit Jerusalem, en geheel Judea, en de geheele omstreek van den Jordaan.
2803060045	En zij werden door hem gedoopt in den Jordaan, belijdende hun zonden.
28030700a9	Maar velen van de fariseërs en sadduceërs tot den doop ziende komen, zeide hij tot hen: Gij adderen–gebroed, wie heeft u aangewezen te vlieden den toekomenden toorn?
2803080034	Brengt dan vrucht voort der boetvaardigheid waardig!
280309009b	En schijnt toch niet bij u zelven te zeggen: Wij hebben Abraham tot vader! want ik zeg ulieden dat God uit deze steenen aan Abraham kinderen kan verwekken.
28030a008d	De bijl ligt reeds aan den wortel der boomen; iedere boom dus, die geen goede vruchten voortbrengt, wordt omgehouwen en in het vuur geworpen.
28030b00be	Ik doop u wel met water tot boetvaardigheid, maar die na mij komt is machtiger dan ik, wien ik niet waardig ben de schoenen na te dragen; die zal u doopen met den Heiligen Geest en met vuur.
28030c00a5	Zijn wan is in zijn hand en Hij zal zijn dorschvloer geheel zuiveren en zijn koren verzamelen in de schuur; maar het kaf zal Hij verbranden met onuitbluschbaar vuur.
28030d0057	Toen kwam Jezus van Galilea naar den Jordaan tot Johannes om van hem gedoopt te worden.
28030e0069	Maar Johannes weigerde het Hem, zeggende: Mij is noodig om door U gedoopt te worden, en Gij komt tot mij?
28030f0088	Maar Jezus antwoordde en zeide tot hem: Houd nu op, want alzoo betaamt het ons alle rechtvaardigheid te volbrengen! Toen zweeg Johannes.
28031000a9	En toen Jezus gedoopt was, kwam Hij terstond op uit het water, en ziet, de hemelen werden geopend en hij zag den Geest Gods nederdalen zooals een duive, en op Hem komen.
2803110061	En ziet, een stem uit de hemelen zeide: Deze is mijn Zoon, de Beminde, in wien Ik welbehagen heb.
280401005e	Toen werd Jezus naar de woestijn gevoerd door den Geest, om door den duivel bekoord te worden.
280402005a	En als Hij veertig dagen en veertig nachten lang gevast had, kreeg Hij ten laatste honger.
280403006a	En de bekoorder kwam tot Hem en zeide: Indien Gij Gods Zoon zijt, zeg dan dat deze steenen brooden worden.
2804040088	Maar Hij antwoordde en zeide: Er staat geschreven: Niet van brood alleen zal de mensch leven, maar van alle woord dat Gods mond uitgaat.
2804050056	Toen bracht Hem de duivel naar de heilige stad en plaatste Hem op het dak des tempels,
28040600d6	en zeide tot Hem: Als Gij Gods Zoon zijt, werp U dan naar beneden, want er staat geschreven: Hij zal zijn engelen aangaande U bevel geven en zij zullen U dragen op de handen, opdat Gij uw voet aan geen steen stoot.
2804070067	Jezus zeide tot hem: Er staat wederom geschreven: Gij zult den Heere, uw God, niet op de proef stellen.
2804080073	Wederom nam de duivel Hem mede naar een zeer hoogen berg en toonde Hem al de koninkrijken der wereld en hun glorie,
280409004d	en zeide tot Hem: Dit alles zal ik U geven, zoo Gij nedervalt en mij aanbidt.
28040a0085	Toen zeide Jezus tot hem: Ga weg Satan! want er staat geschreven: Den Heere uw God, zult gij aanbidden en Hem alleen zult gij dienen.
28040b0049	Toen verliet de duivel Hem, en ziet er kwamen engelen en zij dienden Hem.
28040c0057	Nadat Jezus nu gehoord had dat Johannes was gevangen genomen, vertrok Hij naar Galilea.
28040d0070	En Nazaret verlatende, kwam Hij wonen te Kapernaüm, dat bij de zee lag, in het gebied van Zebulon en Nephtalim.
28040e0045	Opdat zou vervuld worden hetgeen door Jesaja, den profeet, is gezegd:
28040f0059	Het land Zebulon en Nephtalim, aan den weg der zee, over den Jordaan, Galilea der volken;
2804100081	het volk dat in duisternis zit, ziet een groot licht, en over hen die zitten in een land en schaduw des doods, gaat een licht op.
2804110071	Van toen af begon Jezus te prediken en te zeggen: Doet boetvaardigheid, want het koninkrijk der hemelen is nabij.
28041200c6	En wandelende langs de zee van Galilea, zag Jezus twee broeders, Simon, die Petrus genaamd wordt, en Andreas, zijn broeder, die bezig waren met hun netten in zee te werpen, want zij waren visschers.
2804130050	En Hij zeide tot hen: Komt achter Mij, en Ik zal u visschers van menschen maken.
2804140035	Toen verlieten zij terstond de netten en volgden Hem.
28041500d1	En vandaar voortgaande, zag Hij twee andere broeders, Jakobus, den zoon van Zebedeüs, en Johannes, zijn broeder, die in het schip met hun vader Zebedeüs bezig waren hun netten te verstellen; en Hij riep hen.
2804160040	En zij verlieten terstond het schip en hun vader en volgden Hem.
28041700a2	En Jezus ging door geheel Galilea, leerende in hun synagogen en predikende het Evangelie des koninkrijks; en Hij genas alle ziekten en alle kwalen onder het volk.
28041800d5	En het gerucht van Hem liep door geheel Syrië; en men bracht tot Hem al de zieken, die bevangen waren van allerlei kwalen en pijnen, en bezetenen door booze geesten, en maanzieken, en verlamden, en Hij genas hen.
2804190067	En vele scharen volgden Hem van Galilea, en Dekapolis, en Jerusalem, en Judea, en van over den Jordaan.
280501006b	Toen Jezus nu de scharen zag, klom Hij op een berg, en als Hij gezeten was, kwamen zijn discipelen tot Hem.
2805020030	En Hij opende zijn mond en leerde hen, zeggende:
2805030044	Zalig de armen van geest, want hunner is het koninkrijk der hemelen.
280504003a	Zalig de zachtmoedigen, want zij zullen de aarde bezitten.
2805050034	Zalig die treuren, want zij zullen vertroost worden.
280506005c	Zalig die honger en dorst hebben naar de rechtvaardigheid, want zij zullen verzadigd worden.
280507003e	Zalig de barmhartigen, want hun zal barmhartigheid geschieden.
2805080033	Zalig de reinen van hart, want zij zullen God zien.
2805090046	Zalig de vredelievenden, want zij zullen kinderen Gods genoemd worden.
28050a0056	Zalig de vervolgden om de rechtvaardigheid, want hunner is het koninkrijk der hemelen.
28050b0068	Zalig zijt gij als men u smaadt en vervolgt en al liegende allerlei kwaad tegen u spreekt om Mijnentwil.
28050c0086	Verheugt u en zijt blijde, want uw loon in de hemelen is groot; want evenzoo heeft men de profeten vervolgd die vóór u zijn geweest.
28050d00c9	Het zout der aarde zijt gij; als het zout zijn kracht verliest, waarmede zal het dan gezouten worden? Tot niets anders deugt het dan meer, dan om buiten geworpen en door de menschen vertrapt te worden.
28050e005c	Het licht der wereld zijt gij; een stad, boven op een berg gelegen, kan niet verborgen zijn.
28050f008b	Ook steekt men geen lamp aan om die onder een korenvat te zetten, maar op een kandelaar, en dan geeft zij licht aan allen die in huis zijn.
2805100086	Laat uw licht alzoo schijnen voor de menschen, opdat zij uw goede werken mogen zien en uw Vader die in de hemelen is, de glorie geven.
2805110097	Meent niet dat Ik ben gekomen om de wet of de profeten krachteloos te maken; Ik ben niet gekomen om ze van kracht te berooven, maar om ze te vervullen.
28051200a4	Want voorwaar Ik zeg u: totdat de hemel en de aarde zullen voorbijgegaan zijn, zal er niet één letter of stipken van de wet voorbijgaan, totdat alles geschied is.
28051300ed	Wie dan een van de minste geboden krachteloos maakt en de menschen alzoo leert, die zal de minste worden genaamd in het koninkrijk der hemelen; maar wie ze zal houden en leeren, die zal groot genaamd worden in het koninkrijk der hemelen.
28051400a9	Want Ik zeg u, wanneer uw rechtvaardigheid niet overvloediger is dan die der schriftgeleerden en der fariseërs, dat gij het koninkrijk der hemelen niet zult binnengaan.
2805150075	Gij hebt gehoord dat tot de ouden gezegd is: Gij zult niet doodslaan, en: Wie doodslaat is schuldig voor het gericht.
28051600fb	Maar Ik zeg u dat een ieder die ten onrechte toornig is op zijn broeder, schuldig zal zijn voor het gericht; maar wie zegt tot zijn broeder: Raka! die zal schuldig zijn voor den Raad; en wie zegt: Gij dwaas! die zal schuldig zijn tot het helsche vuur.
2805170067	Wanneer gij dan uw gave brengt op den altaar en gij u daar herinnert dat uw broeder iets tegen u heeft,
2805180071	laat dan uw gave daar vóór den altaar, en ga heen, verzoen u eerst met uw broeder, en kom dan en offer uw gave.
28051900d6	Zijt terstond welgezind jegens uw tegenpartij, terwijl gij nog met hem op den weg zijt, opdat de tegenpartij u niet overlevere aan den rechter, en de rechter aan den dienaar, en gij in de gevangenis wordt geworpen.
28051a0070	Voorwaar Ik zeg u, dat gij geenszins daaruit zult komen, vóórdat gij den laatsten penning zult betaald hebben.
28051b003c	Gij hebt gehoord dat gezegd is: Gij zult geen overspel doen.
28051c0072	Maar lk zeg u dat al wie een vrouw aanziet om haar te begeeren, reeds overspel in zijn hart met haar heeft gedaan.
28051d00b6	En indien uw rechteroog u ergert, trek het uit en werp het van u weg; want het is beter voor u dat één uwer leden verderft, dan dat geheel uw lichaam in de hel zou geworpen worden.
28051e00ac	En indien uw rechterhand u ergert, snijd ze af en werp ze van u weg; want het is beter voor u dat één uwer leden verderft, dan dat geheel uw lichaam naar de hel zou gaan.
28051f0048	Er is ook gezegd: Wie zijn vrouw verlaat, die geve haar een scheidbrief.
2805200094	Maar Ik zeg u dat al wie zijn vrouw verlaat, anders dan om hoererij, die maakt dat zij overspel doet; en wie de verlatene trouwt, die doet overspel.
2805210085	Wederom hebt gij gehoord dat er tot de ouden gezegd is: Gij zult geen valschen eed doen, maar gij zult den Heere uw eeden volbrengen.
2805220056	Maar Ik zeg u: Zweert in ‘t geheel niet; noch bij den hemel, want die is Gods troon;
280523007a	noch bij de aarde, want deze is de voetbank zijner voeten; noch bij Jerusalem, want het is de stad van den grooten Koning;
2805240058	ook bij uw hoofd zult gij niet zweren, want gij kunt niet één haar wit of zwart maken.
2805250056	Uw woord: Ja, zij ja; uw neen, zij neen; want wat, daarboven is, dat is uit den booze.
280526003e	Gij hebt gehoord dat er gezegd is: oog om oog en tand om tand.
280527007f	Maar Ik zeg u dat gij den kwade niet moogt wederstaan, maar aan al wie u op de rechterwang slaat, moet gij de andere toekeeren;
280528005f	en aan hem die met u voor het gericht wil gaan en uw kleed nemen, moet gij ook uw mantel laten;
2805290038	en die u dwingt voor één mijl, ga met hem twee mijlen.
28052a004a	Geef aan wie van u vraagt, en wend u niet af van hem die van u wil leenen.
28052b0054	Gij hebt gehoord dat er gezegd is: Gij zult uw naaste liefhebben en uw vijand haten.
28052c00a1	Maar Ik zeg ulieden: Hebt uw vijanden lief; zegent ze die u vervloeken; doet wel aan hen die u haten, en bidt voor hen die u smadelijk behandelen en u vervolgen,
28052d00aa	opdat gij kinderen moogt zijn van uw Vader, die in de hemelen is; want die doet zijn zon opgaan over boozen en goeden, en regent over rechtvaardigen en onrecht vaardigen.
28052e005e	Want als gij liefhebt die u liefhebben, welk loon hebt gij? Doen ook niet de tollenaars alzoo?
28052f0065	En als gij uw broeders alleen groet, wat doet gij dan boven anderen? Doen ook niet de heidenen alzoo?
2805300047	Daarom weest gijlieden volmaakt, gelijk uw hemelsche Vader volmaakt is.
28060100a1	Ziet toe, dat gij uw rechtvaardigheid niet doet voor de menschen om door hen gezien te worden, want anders hebt gij geen loon bij uw Vader, die in de hemelen is.
28060200c6	Wanneer gij dan een aalmoes geeft, bazuin het niet uit, gelijk de geveinsden doen in de synagogen en op de straten, om door de menschen geëerd te worden; voorwaar Ik zeg u, zij hebben hun loon weg.
2806030059	Maar als gij een almoes geeft, laat dan uw linkerhand niet weten wat uw rechterhand doet;
2806040072	opdat uw aalmoes in het verborgen zij, en uw Vader die in het verborgen ziet, zal het u in het openbaar vergelden.
28060500e2	En wanneer gij bidt, zijt dan niet gelijk de geveinsden, want die bidden gaarne, staande in de synagogen en op de hoeken der straten, opdat zij door de menschen gezien zouden worden. Voorwaar Ik zeg u, zij hebben hun loon weg.
28060600b0	Maar gij, als gij bidt, ga dan in uw binnenkamer en sluit uw deur om te bidden tot uw Vader die in het verborgen is; en uw Vader die in het verborgen ziet, zal het u vergelden.
280607008c	En als gij bidt, dan moet gij niet klappen gelijk de heidenen, want die meenen dat zij verhoord zullen worden om de veelheid hunner woorden.
2806080063	Weest dan aan dezen niet gelijk, want uw Vader weet wat gij noodig hebt éér dat gij tot Hem bidt.
2806090054	Bidt gijlieden dan aldus: Onze Vader, die in de hemelen zijt, geheiligd zij uw Naam!
28060a004e	Uw koninkrijk kome! Uw wil geschiede, gelijk in den hemel, alzoo ook op aarde.
28060b0025	Geef ons heden ons dagelijksch brood!
28060c004c	En vergeef ons onze schulden, gelijk ook wij vergeven aan onze schuldenaren!
28060d008b	En leid ons niet in bekoring, maar verlos ons van den kwade! Want uw is het koninkrijk, en de kracht, en de glorie in der eeuwigheid. Amen.
28060e0066	Want als gij den menschen hun overtredingen vergeeft, dan zal ook uw hemelsche Vader ulieden vergeven.
28060f0060	Maar indien gij den menschen niet vergeeft, dan zal ook uw Vader uw overtredingen niet vergeven.
28061000cf	En wanneer gij vast, zijt dan niet droevig van aangezicht gelijk de geveinsden; want die misvormen hun aangezicht opdat de menschen zouden zien dat zij vasten; voorwaar Ik zeg u, dat zij hun loon weg hebben.
2806110041	Maar gij, als gij vast, zalf dan uw hoofd en wasch uw aangezicht;
2806120090	opdat de menschen het niet zien dat gij vast, maar uw Vader die in het verborgen is; en uw Vader die in het verborgen ziet, zal het u vergelden.
280613006a	Verzamelt voor u geen schatten op aarde, waar mot en roest ze verderft, en waar dieven inbreken en stelen.
2806140073	Maar verzamelt u schatten in den hemel, waar geen mot of roest ze verderft, en waar geen dieven inbreken en stelen.
2806150031	Want waar uw schat is, daar zal ook uw hart zijn.
2806160062	De lamp van het lichaam is het oog. Als uw oog helder is, dan zal geheel uw lichaam verlicht zijn.
28061700a2	Maar als uw oog kwaad is, dan zal geheel uw lichaam duister zijn. Wanneer nu het licht dat in u is, duisternis is, hoe groot zal dan de duisternis zelve wel zijn!
28061800b8	Niemand kan twee heeren dienen; want hij zal den eenen haten en den anderen beminnen, of den eenen aanhangen en den anderen verachten. Gij kunt niet God dienen en tegelijk den rijkdom.
28061900de	Daarom zeg Ik u, zijt niet bekommerd voor uw leven, wat gij eten zult en wat gij drinken zult; noch voor uw lichaam, waarmede gij u kleeden zult. Is niet het leven meer dan het voedsel, en het lichaam meer dan de kleeding?
28061a0099	Ziet op de vogelen des hemels, dat ze niet zaaien, of maaien, of in schuren verzamelen, en uw hemelsche Vader voedt ze; gaat gij hen niet verre te boven?
28061b004f	Wie van u kan door bekommerd te zijn één oogenblik tot zijn leeftijd toedoen?
28061c0081	En wat zijt gij bekommerd over uw kleeding? Let op de leliën des velds, hoe zij groeien; zij arbeiden niet, ook spinnen ze niet.
28061d0055	En Ik zeg u dat zelfs Salomo in al zijn glorie niet gekleed was gelijk een van dezen.
28061e00a1	Indien dan God het gras des velds, dat er vandaag is en morgen in den oven wordt geworpen, alzoo kleedt, zal Hij u dan niet veel meer kleeden, o kleingeloovigen?
28061f0076	Zijt dan niet bekommerd, zeggende: Wat zullen wij eten, of wat zullen wij drinken, of waarmede zullen wij ons kleeden?
2806200062	Want al die dingen zoeken de heidenen; want uw hemelsche Vader weet dat gij dit alles noodig hebt.
2806210063	Maar zoekt eerst Gods koninkrijk en zijn rechtvaardigheid, en dat alles zal er u bijgevoegd worden.
2806220092	Zijt dan niet bekommerd tegen den dag van morgen; want de dag van morgen zal zijn eigen zorgen hebben; elke dag heeft genoeg aan zijn eigen kwaad.
280701002f	Oordeelt niet, opdat gij niet geoordeeld wordt.
280702007f	Want met het oordeel waarmede gij oordeelt, zult gij geoordeeld worden, en met de maat waarmede gij meet, zal u gemeten worden.
2807030073	En wat ziet gij den splinter die in het oog van uw broeder is, en gij bemerkt den balk niet die in uw eigen oog is?
2807040078	Of hoe zult gij tot uw broeder zeggen: Laat mij den splinter uit uw oog trekken, en zie, er is een balk in uw eigen oog?
280705006c	Geveinsde, haal eerst uit uw eigen oog den balk, en tracht dan den splinter te trekken uit uws broeders oog.
28070600aa	Geeft het heilige niet aan de honden, en werpt uw paarlen niet voor de varkens; opdat zij die misschien niet vertrappen met hun pooten, en zich omkeerende, u verscheuren.
280707005d	Bidt, en u zal gegeven worden; zoekt, en gij zult vinden; klopt, èn u zal opengedaan worden.
2807080061	Want al wie bidt, die ontvangt, en wie zoekt, die vindt, en wie klopt, hem zal opengedaan worden.
280709005a	Of welk mensch is er onder u, wiens zoon hem vraagt om brood, die hem een steen zal geven?
28070a003c	Of als hij om een visch vraagt, die hem een slang zal geven?
28070b00a7	Indien dan gij, die boos zijt, aan uw kinderen goede gaven weet te geven, hoeveel te meer zal uw Vader, die in de hemelen is, goede gaven geven aan hen die Hem bidden?
28070c0070	Alles dan wat gij wilt dat de menschen u zullen doen, doet gij hun ook alzoo; want dit is de wet en de profeten.
28070d0088	Gaat in door de enge poort; want de poort is wijd en de weg is breed, die naar het verderf leidt, en velen zijn er die daar door ingaan.
28070e0063	Want eng is de poort en smal is de weg die naar het leven leidt en weinigen zijn er die hem vinden.
28070f0073	Wacht u voor de valsche profeten, die tot u komen in schaapskleederen, maar van binnen zijn zij roofgierige wolven.
280710006b	Aan hun vruchten zult gij hen kennen. Men plukt toch van doornen geen druiven, of van distelen geen vijgen?
2807110066	Zoo brengt iedere goede boom goede vruchten voort, maar de slechte boom brengt slechte vruchten voort.
2807120070	Een goede boom kan geen slechte vruchten voortbrengen, en een slechte boom kan geen goede vruchten voortbrengen.
280713005b	Iedere boom, die geen goede vruchten voortbrengt, wordt omgehouwen en in het vuur geworpen.
2807140028	Aan hun vruchten dus zult gij ze kennen.
2807150091	Niet een ieder die tot Mij zegt: Heere, Heere! zal het koninkrijk der hemelen ingaan, maar die den wil doet van mijn Vader, die in de hemelen is,
28071600ab	Velen zullen in dien dag tot Mij zeggen: Heere, Heere! hebben we niet in uw Naam geprofeteerd, en in uw Naam booze geesten uitgeworpen, en in uw Naam vele krachten gedaan?
280717006a	En dan zal Ik hun verklaren: Ik heb u nooit gekend; gaat van Mij weg, gij die de onrechtvaardigheid werkt!
280718007b	Een ieder dan die deze mijn woorden hoort en ze doet, zal Ik vergelijken bij een wijs man, die zijn huis bouwde op de rots.
28071900a0	En de regen sloeg neder, en de stortvloeden kwamen en de winden bliezen en sloegen tegen dat huis aan, en het is niet gevallen, want het was gegrond op de rots.
28071a0081	En een ieder die deze mijn woorden hoort en ze niet doet, zal Ik vergelijken bij een dwaas man, die zijn huis bouwde op het zand.
28071b0091	En de regen sloeg neder, en de stortvloeden kwamen en de winden bliezen en sloegen tegen dat huis aan; en het is gevallen, en zijn val was groot.
28071c0068	En het geschiedde toen Jezus deze reden had geëindigd, dat de scharen verslagen stonden over zijn leer;
28071d004b	want Hij leerde hen als machthebbende, en niet zooals hun schriftgeleerden.
2808010048	Toen Jezus nu van den berg was afgekomen, zijn Hem vele scharen gevolgd.
280802006a	En ziet, een melaatsche kwam en viel voor Hem neder, zeggende: Heere, zoo Gij wilt, Gij kunt mij zuiveren!
280803007e	En de hand uitstrekkende, raakte Hij hem aan, zeggende: Ik wil, word gezuiverd! En terstond werd zijn melaatschheid gezuiverd.
28080400b0	En Jezus zeide tot hem: Zie toe, dat gij het aan niemand zegt; maar ga heen, vertoon u zelven aan den priester en offer de gave die Mozes heeft geboden, hun tot een getuigenis.
280805004d	En toen Hij in Kapernaüm was gekomen, kwam tot Hem een hoofdman die hem bad,
2808060051	en tot Hem zeide: Heere, mijn knecht ligt tehuis verlamd en hij lijdt vreeselijk.
2808070032	En Hij zeide tot hem: Ik zal komen en hem genezen.
280808009a	Maar de hoofdman antwoordde en zeide: Heere, ik ben niet waardig dat Gij onder mijn dak komt; maar zeg het maar met een woord, en mijn knecht zal genezen.
28080900e5	Want ook ik ben een mensch die onder anderen sta, en heb onder mij krijgslieden. En ik zeg tot den een: Ga weg! en dan gaat hij; en tot den ander: Kom hier! en dan komt hij: en tot mijn dienstknecht: Doe dit! en dan doet hij het.
28080a009f	Als Jezus nu dit hoorde, verwonderde Hij zich en zeide tot hen die Hem volgden: Voorwaar, Ik zeg u, zelfs in Israël heb Ik zoo groot een geloof niet gevonden!
28080b0085	En Ik zeg ulieden dat velen van oost en west zullen komen, en aanliggen met Abraham en Isaäk en Jakob in het koninkrijk der hemelen;
28080c0082	maar de kinderen des koninkrijks zullen worden uitgeworpen in de dikste duisternis; daar zal het geween zijn en het tandengeknars.
28080d007f	En Jezus zeide tot den hoofdman: Ga heen; en gelijk gij geloofd hebt, geschiede u! En zijn knecht werd genezen in dezelfde ure.
28080e005b	En toen Jezus in het huis van Petrus kwam, zag Hij diens schoonmoeder met de koorts liggen.
28080f0050	En Hij greep haar hand en de koorts verliet haar; en zij stond op en diende Hem.
28081000a9	En toen het avond was geworden, bracht men velen die van booze geesten bezeten waren, tot Hem; en Hij wierp de geesten uit door een woord; en genas allen die ziek waren.
2808110085	Opdat vervuld zou worden wat door Jesaja, den profeet, is gezegd: Hij heeft onze krankheden op zich genomen en onze ziekten gedragen.
2808120051	Toen nu Jezus vele scharen rondom zich zag, beval Hij naar de overzijde te varen.
280813006b	En er kwam een schriftgeleerde tot Hem, die tot Hem zeide: Meester, ik zal U volgen, waar Gij ook heengaat!
2808140096	En Jezus zeide tot hem: De vossen hebben holen en de vogelen des hemels nesten, maar de Zoon des menschen heeft niets waarop Hij het hoofd nederlegge.
2808150071	Doch een ander van de discipelen zeide tot Hem: Heere, laat mij toe eerst heen te gaan om mijn vader te begraven.
280816004a	Maar Hij zeide tot hem: Volg mij na en laat de dooden hun dooden begraven.
2808170045	En als Hij in het schip gegaan was, zijn Hem zijn discipelen gevolgd.
2808180065	En ziet er kwam eer groote storm op zee, zoodat het schip door de golven bedekt werd; maar Hij sliep.
280819004f	En tot Hem komende, maakten zij Hem wakker, zeggende: Heere, help! wij vergaan.
