2800000007	Mathayo
28020f009d	Ekae eyo okukinga omwanya gunu Herode afwiliemo. Linu lyakumisishe linu Nyamuanga aiga aikile okulabha kumulagi,”Okusoka Misri namubhilikie omwana wani.”
2802100120	EjileHerode alolati ajimibhwa na bhanu bhengeso abhiiliwe muno. Alamuye okwita abhana bhona bhe chilume bhanu bhaliga mubetelehem nabhona bhanu bhaliga mulubhaju olwo bhanu bhaliga bhali ne myaka ebhili no kusubha inyuma okulubhilila akatungu kanu aliga amenyele okusokaku bhanu bhengeso.
280211003c	Nio lyakumisibhwe ligambo lilia lyalomelwe no mulagi Yeremia
2802120097	“Obhulaka bhwongumyhwe Rama, echililo ne chikunga chinene, Raeli nabhalilila abhana bhae, na alemele okusimbagilisibhwa kulwokubha bhatalio lindi,”
280213005e	Herode ejile afwa, Lola Malaika wa Nyamuanga amubhonekee Yusufu muchiloto eyo Misri naika ati,
2802140077	Imuka umugege omwana na nyila na mugende mu chalo cha Israel kulwokubha bhanu bhaenjaga obhuanga bhwo mwana bhafuye.”
280215004d	Yusufu emukile namugega omwana na nyila mwene na nibhaja mu chalo cha Israel.
28021600b4	Awo onguyhwe ati Arikelau aliga ali mtangasha Yuda olubhaju lwesemwene wae Herode obhaile okugenda eyo. Ejile Nyamuanga amuganya mu chiloto emukile nagenda mu Mumukoa gwa Galilaya.
280217008a	Na agendele okwikala mumusi gunu ogutogwa Najareti. Koleleki likumile linu lyaliga lyamalile okulomwa na bhalagi ati, alitogwa Munajareti.
2803010053	Munsiku ejo ejile Yohana unu abhatijaga ejile nalasha mwibhala lya Yuda naikati,”
2803020030	Mute, kulwokubha obhukama bhwa mulwile bhulieyi.
28030300a6	“Kulwokubha unu niwe aikilwe nomulagi Isaya naikati,”Obhulaka bhwo munu unu kabhilikila okusoka mwibhala, muteabhwelu injila ya Nyamuanga, mugolole injila yae.”
2803040081	Oli Yohana afwalaga amakamba ga Ingamila no mukanda gwo lwai muchibhunu chae. Ebhilyo byae byaliga njige no obhuki bhwa mwibhala.
2803050061	Eile Yerusalemu, Yuda yona, na libhala lyona linu lyeindaga omugela gwa Yorodani nibhaja kumwene.
2803060053	Bhaliga nibhabhatijwa nage mumugela gwa Yorodani enu nibhataga ebhibhibhi bhyebhwe.
28030700c8	Tali ejile abhalola bhafu bha mafarisayo na masadukayo nibhaja kumwene okubhatijwa, nabhabhilati,”Emwe olwibhulo lwa injoka bhanu muli no bhusungu niga unu amabhaganya okubhilima lisungu linu elija?
2803080024	Mwibhule amatwasho ganu geile okuta.
28030900af	Namutajakwiganilisha no kwaikana amwi yemwe,'Chinage Ibrahimu kuti lata weswe.'Kulwokubha nabhabhwilaati Nyamuanga katula okumwimusisha Ibrahimu abhana okusoka kumabhuyi ganu.
28030a0077	Naoli inshoka yateweyo kumisi ja liti. Kulwejo bhuli eti linu litakwibhula matwasho gakisi elitemwa no kweswa mumulilo.
28030b00b0	Enibhabhatija mu manji kulwokuta. Tali unu kaja inyuma yani ni mukulu kukila anye nanye ntakutula ata kugega bhilato bhyae. Omwene kaja okubhabhatija kwo mwoyo mwelu no mulilo.
28030c0093	No oluungo lwae luli mumabhoko gae okwesha olubhuga lwae nokukumanya ingano yae muchitala. Tali kagocha amakumbi kwo mulilo gunu gutakutula kusima.
28030d0058	Neya Yesu naja okusoka Galilaya nakinga ku mugela gwa Yorodani okubhatijibhwa na Yohana.
28030e0060	Tali Yohana endaga okumuganya naikati,”Anye jinyiile nibhatijibhwe nawe, kawe ona ouja kwanye?
28030f008b	Yesu namusubhya naikati,”Ikilisha oli anu jibhe kutyo, kulwokubha jichiile okukumisha obhulengelesi bhwona.”Eile Yohana namwikilisisha.
28031000a6	Ejile amala obhatijwa Yesu nasoka mumanji, nalola, Olwile nilwiguka ku mwene. Namulola mwoyo mwelu wa Nyamuanga natuka kulwolususo lwa inguti nokufung'ama ingulu yae.
2803110068	Lola obhulaka nibhusoka Mulwile nibhwaika,”Unu ni mwana wani unu nendele unu enikondelwa muno nage.”
280401005a	Neya Yesu natangasibhwa no mwoyo mwelu namukingya muchibhala koleleki alegejwe na shetani.
2804020049	Ao aliga asibhile kwa nsiku makumi gana mungeta na mumwisi nongwa injala.
2804030064	Omulegeji naja namubhwila ati,”Labha awe uli mwana wa Nyamuanga gabwile amabhui ganu gabhe mikate.
280404007f	“Tali Yesu namusubya ati, Jandikilwe omunu atakwikala kwe mikate ela, tali bhuli gambo linu elisoka mukanwa ka Nyamuanga.”'
2804050044	Neya shetani namusila mumusi omwelu namta kulusolosonde lwa Iyekalu,
28040600d0	na namubhwila, Labha uli mwana wa Nyamuanga ijunga emwalo kulwokubha jandikilwe, Kabhwila bha Malaika bhae bhaje bhakulamile na bhakwimushe na amabhoko gebhwe koleleki utaja kwikujula okugulu kwao kwibhui.”
2804070056	Yesu namubhwila namubhwila lindi ati,'Jandikilwe utamulegeja Omkama Nyamuanga wao.'”
2804080078	Neya, shetani namugega namusila olubhaju lwa ingulu muno namwolesha obhukama bhwona obhwechalo na makushyo gendemo gona.
2804090047	Namubhwila, Enikuyana bhinu bhyona bhinu ukanyifukamila no kundamya.”
28040a008c	Neya Yesu namubhwila ati,”Genda jao usoke anu, Shetani.'Kulwokubha jandikilwe,'Jikwiile umulamye Nyamuanga wao no kumukolela omwenela.'”
28040b0046	Neya, Shetani namusiga, na lola, bhamalaika nibhaja okumufulubhendela.
28040c0041	Ao Yesu onguyhwe ati Yohana agwatilwe, agendele nakinga Galilaya.
28040d007f	Asokele Nazaleti nagenda okwikala Kapelenaumu, inu ilikumbalama ya inyanja ya Galilaya, agati ye misi ja Jabhuloni na Nafutali.
28040e0042	Inu yasokene koleleki likumile linu lyaikilwe no mulagi Isaya ati,
28040f006f	“Mumusi gwa Jabhuloni no musi gwa Nafutali okulubhila inyanja, kungego ya Yolodani, Galilaya ya bhanyamaanga.
2804100096	Abhanu bhanu bhekae muchisute bhabhulola obhwelu bhunene, na bhanu bhaliga bhenyanjile mwilengesi lyo lufu, ingulu yebhwe obhwelu bhwabhabhonekela.”
2804110067	Okwambila akatungu ako Yesu namba okulasha na naika, Mute kulwokubha obhukama bhwa mulwile bhweilie.”
28041200d3	Anu aliga nalibhata kunchechekela ya inyanja ya Galilaya nalola bhamula bhabhili Simoni unu aliga natogwa Petelo, na Andeleya mumula wabho, nibhatega emitego jebhwe munyanja, kulwokubha bhaliga bhategi bha nswi.
280413003b	Yesu nabhabhwila muje mundubhe enibhakola bhategi bhabhanu.
2804140030	Ao nao nibhasiga emitego jebhwe na nibhamulubha.
28041500de	Yesu ao aliga achagendelela okusoka ao abhalolele bhaili bhabhili abhandi, Yakobho mwende Jebhedayo, na Yohana omumula wabho. Bhaliga bhalimulyato amwi na Jebhedayo esemwene webhwe nibhasona emitego jebhwe. nabhabhilikila,
2804160033	Ao nao nibhasigao obhwato bhwebhwe na nibhamulubha.
2804170083	Yesu agendele kumala Galilaya yona neigisha mumasomelo gebhwe, neigisha emisango jo bhukama na naosha bhuli bhulwae agati ya bhanu.
28041800c5	Emisango jae jaswilile Siliya yona na bhanu nibhabhaleta kumwene bhanu bhaliga na malwae ga bhulimbaga no bhusasi, bhanu bhaliga na masambwa na bhalilalu na bhanu bhaliga bhalemae. Yesu abhaosishe.
280419006f	Bhanu bhamfu bhamulubhilie okusoka Galilaya, na Dekapoli, na Yelusalemu na Uyaudi no kusoka kungego ya Yolodani
280501007f	Yesu ejile alola chise cha bhanu bhafu, nalibhata okugenda mwibhanga. Anu aliga enyanjile ansi, abheigisibhwa bhae nibhamujako.
280502002a	Nafumbula omunwa gwae nabheigisha naikati,
280503005d	“Bhana libhando bhanu bhali bhataka bho mwoyo kulwokubha obhukama bhwa mulwile ni bhwebhwe.
280504004c	Bhana libhando bhanu bhali no bhusulumbaye, kulwokubha abhaja okusilisibhwa.
280505004f	Bhana libhando bhanu bhali bhafula, kulwokubha abhaja okulya omwandu gwe chalo.
280506005b	Bhana libhando bhanu bhali no mweko no bhwila bhwe chimali, kulwokubha abhaja okwigusibhwa.
2805070051	Bhana libhando bhanu bhali ne chigongo kulwokubha abho abhaja okubhona echigongo.
2805080052	Bhana libhando bhanu bhali ne mioyo ja kisi kulwokubha abhaja okumulola Nyamuanga.
2805090061	Bhana libhando bhanu bhalibhagwatanisha kulwokubha abho abhaja okubhilikilwa bhana bha Nyamuanga.
28050a005b	Bhana libhando bhanu abhanyasibhwa ku chimali, kulwokubha obhukama bha mulwile ni bhwebhwe.
28050b0072	Muna libhando emwe bhanu omufumwa no kunyasibhwa, no kubhaika bhulibhubhibhi ingulu yemwe kwo lubheyi ingulu yani.
28050c009f	Mukondelelwe no kusandabha kulwokubha omuyelo gwemwe ni munene ingulu mukwile. Kulwokubha nikwo kutyo abhanu bhabhanyasishe abhalagi bhanu bhekae inyuma yemwe.
28050d00de	Emwe ni munyu gwe chalo. Tali omunyu gukabhusha obhunule bhago, eikolekanaatiki okukola omunyu gundi gwa kisi? Payi itakubha lindi ya kisi kulwe chinu chonachona chindi, talini kweshwa anja nokulibhatwa na magulu ga bhanu.
28050e0048	Emwe ni bhwelu bhwe chalo. Omusi gunu gumbakilwe ku chima gutakwiseleka.
28050f007f	Kulwokubha abhanu bhatakukongesha olumuli nokuluta emwalo ye chikapo, tali ku nengo, neibhamulikila bhona bhanu bhali munyumba.
2805100094	Musige obhwelu bhwemwe bhumulike imbele ya bhanu koleleki abhanu bhabhilole ebhikolwa bhyemwe ebhyakisi no kumulamhya Lata Bhugenyi unu ali mulwile.
280511005d	Mutaja kwitogelati nijile okuinyamula ishelia na bhalagi. Nitejile kunyamula tali okukumisha.
28051200b2	Kulwechimali enibhabhwilati okukinga insi ne chalo okulabhao italio egambo amwi etone limwi lya ishelia eisosibhwao amwi ya jishelia okukingao bhuli chinu chilabha chikumisibhwe.
28051300e7	Kulwejo onaona unu katasha chilagilo chitilu kubhilagilo bhinu no kubheigisha abhandi okukola kutyo kabhilikilwa mulela mu bhukama bhwa mulwile. Tali unu onaona unu kajigwata no kwiigisha kabhilikilwa mukulu mubhukama bhwa mulwile.
2805140094	Kulwokubha enibhabhwila obhulengelesi bhwemwe bhukalema okila obhulengelesi bhwa bhandiki na mafalisayo kulwejo mutakwingila mu bhukama bha mulwile.
280515005d	Mwonguhye na jandikilwe kala ati,”utaja kwita na onaona unu keta ali muntambala ya indamu.'
28051600fe	Tali enibhabhwila oneone unu kamwiganilisha kubhibhi owabho ali muntambala ya indamu. Na unu kamubhwila owabho ati,'awe uli munu unu uteile,'kabha ali mundamu ye chinyanjo. Na onaona unu kaika ati,'Mumumu awe'kabha ali muntambala yo mulilo gwa kajanende.
2805170068	Kulwejo labha ousosha echitambo chao kuchitambilo na wichuke ati labha mumula wanyu ali na ligambo nawe,
2805180077	Nusige echiyanwa chao kuchigabhilo na umulubhe, mungwane kwamba nowanyu oyo, na ukamala uje niwo usoshe echiyanwa chao.
28051900d2	Yungwana no musoko wao bhwangu, uli amwi nage munjila nimugenda mwibhalaja, labha jitalikutyo omusoko wao katula okukusiga mumabhoko go mulamusi, no mulamusi akusige mumabhoko go musilikale, no weswa mulunyolo.
28051a0062	Mwikilishe enibhabhwila ati, uli utakutesulilwa okukinga anu ulaliila jimpilya jona jinu outongwa.
28051b0027	Mwonguywe jaikilwe ati, utabhamulomesi.
28051c005f	'Tali enibhabhwilati oneone unu kamulola omugasi no kumuligila amalile kumulomela mumwoyo gwae.
28051d00bd	Nalabha eliso lyao elyobhulyo elikola nuwikujula, lisoshemo na ulyese kula nawe. Kulwokubha jikwiile akili echiungo chimwi kumubhili gwao chinyamke kuliko mubhili gwona okweswa mu jehanamu.
28051e00a2	Nalabha okubhoko kwao okwebhulyo okukola wikujule, kuteme naukwese kula nawe. Kulwokubha akili echiungo chimwi chinyamke kuliko mubhili gwona okweswa mu jehanamu.
28051f0059	Jilomelwe ona, onaona unu kamubhilimya omugasi wae, na amuyane na inyalubha yo bhutagani.
28052000b6	Tali anye enibhabhila onaona unu kamusiga omugasi wae, jitabhee ku nsonga yo bhulomesi, kamukola mulomesi. Na unu ona kamtwala ayanibhwe inyalubha yo bhutagani ona kakola obhulomesi.
280521006e	Nalindi munguhye yaikilwe ku bhakala,'Mtaja kulaila kwo lubheyi, tali musile okulaila kwemwe ku Lata Bhugenyi.
2805220061	Tali enibhabhwila ati, musige okulaila nakatyali, kulwo lwile, kulwokubha ni kusho lya Nyamuanga.
2805230091	Uli hata kulwe chalo, kulwokubha niwo owokuta echitebhe cho kutajila ebhigele bhyae, Uli hata ku jelusalemi, kulwokubha ni musi gwo mukama mukulu
2805240069	Uli utalaila ku lwo mutwe gwao, kulwokubha utakutula kukola lufwili lumwi kubha lwelu na kubha lwilafulu.
2805250065	Tali amagambo gemwe gabhe,'Chimali, chimali, Payi, payi.'kulwokubha ganu agakilao agasoka ku mujabhi.
280526003d	Mwonguhywe jaikilwe kutya,'eliso kwe liso, ne lino kwe lino.'
280527007c	Tali anye enibhabhwila mutajakubhambashanya no munu mujabhi, tali omunu akakubhuma litama lyo bhulyo muindulile nelindi ona.
2805280062	Na onaona unu kenda okugenda nawe mwibhalaja nanakutesha inkanju yao, musigile ne chifwalo chindi.
280529004a	Na unu kakusinyilisha okulibhata nage maili imwi, genda nage maili ebhili.
28052a0058	Na kuonaona unu kakusabhwa muyane, na utajakumwitebha oneone unu kaja okuyenja libhanja.
28052b004b	Mwonguhwe jaikilwe,'Numwende omutulanwa wao, na umujilile lisungu omusoko.'
28052c0052	Tali enibhabhwila ati, Mubhende abhasoko bhemwe, mubhasabhilwe bhanu abhabhajimya,
28052d009a	Koleleki mubhe bhana bhe somwana wa mulwile. Kulwo kubha kakola lisubha libhakile abhabhibhi na abhekisi, na kabhagwisisha ingubha abhabhibhi na abhekisi.
28052e006b	Kulwokubha mukabhenda bhanu abhabhenda emwe omubhona muyeloki? Angu abhalipisha bho bhushulu bhatakukolejo?
28052f005f	Na mukabhakesha abhaili bhemwe ela omubhonaki ku bhandi? Angu abhanyamahanga bhatakukola kutyo?
2805300058	Kulwejo jibheile mubhe bhalengelesi leave kutyo lata bhugenyi wa mulwile ali mulengelesi
28060100a4	Ulechukaga okulema okukola amagambo go bhulengelesi mumeso ga bhanu koleleki wiyoleshe, kulwokubha utakuja kubhona omuyelo okusoka ku lata bhugenyi unu ali mulwile.
28060200e7	Kulwejo ulasoshaga utaja kubhuma ingombi no kwikuya awe omwene lwakutyo bhali bhanu bhatali bhalengelesi kutyo abhakola mu masomelo na mubhijiji, koleleki abhanu bhabhakuye. Echimali enibhabhwila, bhamalile kubhona omuyelo gwebhwe.
280603005e	Tali awe ukasosha, okubhoko kwao okwebhumosi kutajakumenya jinu jakolwa no kubhoko kwe bhulyo,
2806040079	Koleleki echiyanwa chao chisosibhwe kwo bhitebhe. Ao niho lata Bhugenyi wao unu kalola mubhwitebhe kakuyana omuyelo gwao.
28060500eb	Na anu ulabhaga nusabhwa utajakubha lwa bhanu bhanu bhatalibhalengelesi, kulwokubha abhenda okwimelegulu no kusabhwa mumasomelo na mumbala je bhijiji, koleleki abhanu bhabhalole. Echimali enibhabhila, bhamalile kubhona omuyelo gwebhwe.
2806060081	Tali awe, anu ousabhwa, ingila esiko. Igala omulyango, na usabhwe kulatabhugenyi wao unu kalola mubhitebhe kakuyana omuyelo gwao.
28060700c0	Nanu ulabhaga nusabhwa, utajakusubhilila subhilila amagamboganu gatali na nsonga lwa kutyo abhanyamahanga abhakola, kulwokubha abheganilishati abhategelesibhwa kulwa magambo mafu ganu abhaika.
2806080074	Kulwejo, utaja kubha lwabho, kulwokubha lata Bhugenyi wao kamenya obhukene bhwao anu oubhauchali kusabhwa kumwenene.
280609004b	Kulwejo sabha kutya: Lata Bhugenyi unu uli mulwile, likusibhwe lisina lyao.
28060a005f	Obhukama bhao bhuje, obhiganilisha bhwao bhukolekane anu muchalo lwa kutyo obhukolekana mulwile
28060b002f	Uchiyane lelo libhona lyeswe elya bhuli lunaku.
28060c0056	Uchisasile ebhikolwa bheswe lwa kutyo osona echibhafwilwa chigongo bhanu bhachikayiye.
28060d003d	Utaja kuchita mumalegejo tali uchichungule okusoka ku musoko.
28060e006e	Mkabha mubhasasila abhanu ebhibhibhi byebhwe, Lata bhugenyi wao unu ali mulwile ona kakufwila chigongo emwona.
28060f0078	Tali mukalema okubhafwila chigongo ebhibhibhi bhyebhwe, Lata Bhugenyi wemwe ona atabhafwila chigongo ebhibhibhi bhyemwe.
28061000fb	Ingulu yago gona, ukabha usibhile, utaja kwolesha obhusu bhwo bhujubhe lwa kutyo bhanu bhatali bhalengelesi, kulwokubha abhasisinyala obhusu bhwebhwe koleleki abhanu bhabhamenye kutyo bhasibhile. Echimali enikubhwila bhamalile kubhona omuyelo gwebhwe.
2806110050	Tali awe, ukabha usibhile, ibhambaga amafuta mumutwe gwao na woshe obhusu bhwao.
28061200a4	Kulwejo itakwolesha mubhanu ati usibhile, tali eibha ili Kulata Bhugenyi wao unu ali mubhwimbise. Na Lata Bhugenyi wao unu kalola mubhitebhe, kakuyana omuyelo gwao.
2806130083	Utaja kwibhikila ebhiyanwa bhyao awe omwenekuchalo anu jili jimfufuji no bhutaletale ebhinyamula, anu abhefi abhabhutula no kwibha.
280614009a	Kulwejo awe, wibhikile ebhiyanwa bhyao mulwile, anu jitakutula kubhao mfufuji no bhutaletale bhinu ebhinyamula, nanu bhefi bhatakutula kubhutulano kwibha.
2806150043	Kulwokubha anu bhili ebhiyanwa bhyao, nio no mwoyo gwao ogubha ona.
2806160066	Eliso ni lumuli lwo mubhili. Kulwejo eliso lyao likabha lilianga, omubhili gwona ogwijushwa no bhwelu.
28061700ab	Tali eliso lyao likabha linyamkile, omubhili gwao gwona gwijue chisute chinene. Kulwejo, ikabha obhwelu bhunu bhuli munda yao ni chisute muno, ni chisute chinene ndengoki.
28061800e6	Atalio no oumwi na katyali unu katula okubhakolela bhesebhugenyi bhabhili, Kulwokubha kaja okumlema oumwi no kumwenda oumwi, na labha jitali kutyo kaja okwisosha ku umwi no kumugaya oundi. Mutakutula okumukolela Nyamuanga ne bhinu
28061900d0	Kulwejo enikubhila, utaja kubha no kwitimata ingulu yo bhulame bhao, ati ouja okulyaki amwi ouja okunywaki, au ingulu yo mubhili gwao, oufwalaki. Mbe obhulame bhutakile ebhilyo no mubhili bhutakilile emyenda?
28061a00ca	Nulole jinyonyi jinu jili mulutumba. Bhatakuyamba na bhatakugesana bhatakukumanya no kubhika mubhitala, tali LataBhugenyi wemwe unu ali mulwile kabhalisha abho. Mbe emwe mutali bhechibhalo okukila abho?
28061b005d	Niga umwi mwimwe kulwokwinyashanyasha katula okwiyongesha chita chimwi ingulu yobhulame bhae?
28061c0091	Ni kulwaki muli nokwitimata ingulu ye bhifwalo? Iganilisha ingulu yo bhwaso mu mashamba, kutyo agakula. Gatakukola milimu nagatakutula kwifyafya.
28061d005a	Nalindi enibhabhwila, nolo Selemani mwikushyo lyae lyona atafwafwibhwe lwe limwi lyendeko.
28061e00ad	Ikabha Nyamuanga nagafwafya amabhabhi mu mashamba, ganu agalama lusiku lumwin na mwejo nigesibhwa mumulilo, Mbe nikwabhutuloki kabhafwafya emwe, emwe abhobhikilisha bhutoto?
28061f0069	Kulwejo musige kubha no bhiganilisha nokwaika, Mbe echilyaki? mbe echinywaki? mbe nalindi echifwalaki?”
280620006f	Kulwokubha abhanyamaanga abhaiga amagambo ago, Lata Bhugenyi wemwe owamulwile kamenya kutyo omwenda ebyo byona.
2806210051	Tali okwamba muyenje obhukama bhwae no bhulengelesi bhwae na gonagona ouyanibhwa.
2806220087	Kulwejo, utaja kwitimata ingulu ya mutondo, kulwokubha mutondo einyakilila eyene. Bhuli lunaku lwiile okubha nebhibhibhi bhyalo olwene.
280701002d	Utajakulamula, koleleki awona utajakulamulwa.
2807020069	Kwa indamu inu oulamula, aona ouja okulamulwa. Na kwaindengo inu oulengelamo awona ouja okulengelwa omwo.
2807030069	Nikulwaki oulola akakongokela kaliti kanu kalimuliso lyowanyu, Tali utakumenya liti linu lilimuliso lyao?
2807040077	Outulatiki okwaika kuwanyu, siga nikusoshyemo akakongokela kanu kali muliso lyao, omwanya ogwo uli na liti muliso lyao?
280705008d	Mubheyi awe, yamba usoshyemo liti linu lilimuliso lyao, na nio ouja okulola kisi nokumusoshyamo owanyu akakongokela kanu kalimuliso lyowanyu.
28070600e3	Utajiana jimbwa chinu chili cha kisi, na utaja kujisanusisha jingulubhe jilulu imbele yajo. Kulwokubha abhaja okubhinyamula no kubhitaja mubhigele bhyajo, na lindi abhaja okukuindukila awe nokukutabhula tabhula masinja masinja.
2807070046	Sabhwa, ona ouyanibhwa. Iga, ona oubhona. Konona, ona oujaokwigulilwa.
2807080069	Kuonawona unu kasabhwa, kayanwa. Kuwonawona unu kaiga, kabhona. Nakumunu unu kakonona, kulwigi kegulilwa.
2807090059	Angu aliwo oumwi mwimwe unu omwana wae akamusabhwa echibhutu cho mukate kamuyana libhuyi?
28070a0028	Angu akamusabhwa inswi, kamuyana injoka?
28070b00b9	Kulwejo, ikabha emwe abhajabhi omumenya okubhayana abhana bhemwe ebhiyanwa bhyakisi, Angu nibhutuloki bhunu Lata Bhugenyi wa mulwile kabhayana bhinu bhya kisi bhanu abhamusabhwa omwene?
28070c0099	Kwainsonga eyo, anu owenda okolelwa chinu chonachona na bhanu bhandi aona jikwiile okubhakolela kutyo abhandi bhona, kulwokubhaeyo ni sheliya na bhalagi.
28070d0094	Mwingile okulabhila omulyango omufunde. Kulwokubha omulyango omunene na injila ni nene inu eitangasha mubhunyamuke, bhanu bhafu abhalabha kunjileyo.
28070e0075	Omulyango ni mufunde, Omulyango omufunde ni njila inu eitangasha mubhuanga na nibhanu bhatyali bhanu abhatula oilola.
28070f005e	Mwikenge na bhalagi bho lubheyi, abhaja bhafwae olwayi lwa inyabhalega, tali ni ntyanyi ndulu.
