0100000007	Genèse
0101140085	Dieu dit: Que les eaux produisent en abondance des animaux vivants, et que des oiseaux volent sur la terre vers l’étendue du ciel.
01011500da	Dieu créa les grands poissons et tous les animaux vivants qui se meuvent, et que les eaux produisirent en abondance selon leur espèce; il créa aussi tout oiseau ailé selon son espèce. Dieu vit que cela était bon.
0101160085	Dieu les bénit, en disant: Soyez féconds, multipliez, et remplissez les eaux des mers; et que les oiseaux multiplient sur la terre.
0101170049	Ainsi, il y eut un soir, et il y eut un matin: ce fut le cinquième jour.
01011800a2	Dieu dit: Que la terre produise des animaux vivants selon leur espèce, du bétail, des reptiles et des animaux terrestres, selon leur espèce. Et cela fut ainsi.
01011900a5	Dieu fit les animaux de la terre selon leur espèce, le bétail selon son espèce, et tous les reptiles de la terre selon leur espèce. Dieu vit que cela était bon.
01011a00e8	Puis Dieu dit: Faisons l’homme à notre image, selon notre ressemblance, et qu’il domine sur les poissons de la mer, sur les oiseaux du ciel, sur le bétail, sur toute la terre, et sur tous les reptiles qui rampent sur la terre.
01011b0064	Dieu créa l’homme à son image, il le créa à l’image de Dieu, il créa l’homme et la femme.
01011c00d6	Dieu les bénit, et Dieu leur dit: Soyez féconds, multipliez, remplissez la terre, et l’assujettissez; et dominez sur les poissons de la mer, sur les oiseaux du ciel, et sur tout animal qui se meut sur la terre.
01011d00d1	Et Dieu dit: Voici, je vous donne toute herbe portant de la semence et qui est à la surface de toute la terre, et tout arbre ayant en lui du fruit d’arbre et portant de la semence: ce sera votre nourriture.
01011e00bd	Et à tout animal de la terre, à tout oiseau du ciel, et à tout ce qui se meut sur la terre, ayant en soi un souffle de vie, je donne toute herbe verte pour nourriture. Et cela fut ainsi.
01011f008c	Dieu vit tout ce qu’il avait fait et voici, cela était très bon. Ainsi, il y eut un soir, et il y eut un matin: ce fut le sixième jour.
0102010042	Ainsi furent achevés les cieux et la terre, et toute leur armée.
010202008a	Dieu acheva au septième jour son œuvre, qu’il avait faite: et il se reposa au septième jour de toute son œuvre, qu’il avait faite.
010203008e	Dieu bénit le septième jour, et il le sanctifia, parce qu’en ce jour il se reposa de toute son œuvre qu’il avait créée en la faisant.
010204007c	Voici les origines des cieux et de la terre, quand ils furent créés. Lorsque l’Éternel Dieu fit une terre et des cieux,
01020500de	aucun arbuste des champs n’était encore sur la terre, et aucune herbe des champs ne germait encore: car l’Éternel Dieu n’avait pas fait pleuvoir sur la terre, et il n’y avait point d’homme pour cultiver le sol.
010206004a	Mais une vapeur s’éleva de la terre, et arrosa toute la surface du sol.
0102070092	L’Éternel Dieu forma l’homme de la poussière de la terre, il souffla dans ses narines un souffle de vie et l’homme devint un être vivant.
0102080076	Puis l’Éternel Dieu planta un jardin en Éden, du côté de l’orient, et il y mit l’homme qu’il avait formé.
01020900c6	L’Éternel Dieu fit pousser du sol des arbres de toute espèce, agréables à voir et bons à manger, et l’arbre de la vie au milieu du jardin, et l’arbre de la connaissance du bien et du mal.
01020a005c	Un fleuve sortait d’Éden pour arroser le jardin, et de là il se divisait en quatre bras.
01020b0066	Le nom du premier est Pischon; c’est celui qui entoure tout le pays de Havila, où se trouve l’or.
01020c004f	L’or de ce pays est pur; on y trouve aussi le bdellium et la pierre d’onyx.
01020d0054	Le nom du second fleuve est Guihon; c’est celui qui entoure tout le pays de Cusch.
01020e0085	Le nom du troisième est Hiddékel; c’est celui qui coule à l’orient de l’Assyrie. Le quatrième fleuve, c’est l’Euphrate.
01020f006b	L’Éternel Dieu prit l’homme, et le plaça dans le jardin d’Éden pour le cultiver et pour le garder.
010210005f	L’Éternel Dieu donna cet ordre à l’homme: Tu pourras manger de tous les arbres du jardin;
0102110076	mais tu ne mangeras pas de l’arbre de la connaissance du bien et du mal, car le jour où tu en mangeras, tu mourras.
010212006a	L’Éternel Dieu dit: Il n’est pas bon que l’homme soit seul; je lui ferai une aide semblable à lui.
01021300f0	L’Éternel Dieu forma de la terre tous les animaux des champs et tous les oiseaux du ciel, et il les fit venir vers l’homme, pour voir comment il les appellerait, et afin que tout être vivant portât le nom que lui donnerait l’homme.
01021400aa	Et l’homme donna des noms à tout le bétail, aux oiseaux du ciel et à tous les animaux des champs; mais, pour l’homme, il ne trouva point d’aide semblable à lui.
0102150092	Alors l’Éternel Dieu fit tomber un profond sommeil sur l’homme, qui s’endormit; il prit une de ses côtes, et referma la chair à sa place.
010216006f	L’Éternel Dieu forma une femme de la côte qu’il avait prise de l’homme, et il l’amena vers l’homme.
0102170097	Et l’homme dit: Voici cette fois celle qui est os de mes os et chair de ma chair! On l’appellera femme, parce qu’elle a été prise de l’homme.
010218007c	C’est pourquoi l’homme quittera son père et sa mère, et s’attachera à sa femme, et ils deviendront une seule chair.
0102190050	L’homme et sa femme étaient tous deux nus, et ils n’en avaient point honte.
01030100c6	Le serpent était le plus rusé de tous les animaux des champs, que l’Éternel Dieu avait faits. Il dit à la femme: Dieu a-t-il réellement dit: Vous ne mangerez pas de tous les arbres du jardin?
010302004b	La femme répondit au serpent: Nous mangeons du fruit des arbres du jardin.
01030300a0	Mais quant au fruit de l’arbre qui est au milieu du jardin, Dieu a dit: Vous n’en mangerez point et vous n’y toucherez point, de peur que vous ne mouriez.
0103040038	Alors le serpent dit à la femme: Vous ne mourrez point;
010305008b	mais Dieu sait que, le jour où vous en mangerez, vos yeux s’ouvriront, et que vous serez comme des dieux, connaissant le bien et le mal.
01030600f6	La femme vit que l’arbre était bon à manger et agréable à la vue, et qu’il était précieux pour ouvrir l’intelligence; elle prit de son fruit, et en mangea; elle en donna aussi à son mari, qui était auprès d’elle, et il en mangea.
010307009f	Les yeux de l’un et de l’autre s’ouvrirent, ils connurent qu’ils étaient nus, et ayant cousu des feuilles de figuier, ils s’en firent des ceintures.
01030800c7	Alors ils entendirent la voix de l’Éternel Dieu, qui parcourait le jardin vers le soir, et l’homme et sa femme se cachèrent loin de la face de l’Éternel Dieu, au milieu des arbres du jardin.
010309003f	Mais l’Éternel Dieu appela l’homme, et lui dit: Où es-tu?
01030a0073	Il répondit: J’ai entendu ta voix dans le jardin, et j’ai eu peur, parce que je suis nu, et je me suis caché.
01030b0083	Et l’Éternel Dieu dit: Qui t’a appris que tu es nu? Est-ce que tu as mangé de l’arbre dont je t’avais défendu de manger?
01030c006b	L’homme répondit: La femme que tu as mise auprès de moi m’a donné de l’arbre, et j’en ai mangé.
01030d0083	Et l’Éternel Dieu dit à la femme: Pourquoi as-tu fait cela? La femme répondit: Le serpent m’a séduite, et j’en ai mangé.
01030e00dd	L’Éternel Dieu dit au serpent: Puisque tu as fait cela, tu seras maudit entre tout le bétail et entre tous les animaux des champs, tu marcheras sur ton ventre, et tu mangeras de la poussière tous les jours de ta vie.
01030f0092	Je mettrai inimitié entre toi et la femme, entre ta postérité et sa postérité: celle-ci t’écrasera la tête, et tu lui blesseras le talon.
01031000a5	Il dit à la femme: J’augmenterai la souffrance de tes grossesses, tu enfanteras avec douleur, et tes désirs se porteront vers ton mari, mais il dominera sur toi.
0103110122	Il dit à l’homme: Puisque tu as écouté la voix de ta femme, et que tu as mangé de l’arbre au sujet duquel je t’avais donné cet ordre: Tu n’en mangeras point! Le sol sera maudit à cause de toi. C’est à force de peine que tu en tireras ta nourriture tous les jours de ta vie,
0103120051	il te produira des épines et des ronces, et tu mangeras de l’herbe des champs.
01031300be	C’est à la sueur de ton visage que tu mangeras du pain, jusqu’à ce que tu retournes dans la terre, d’où tu as été pris; car tu es poussière, et tu retourneras dans la poussière.
0103140056	Adam donna à sa femme le nom d’Ève: car elle a été la mère de tous les vivants.
0103150057	L’Éternel Dieu fit à Adam et à sa femme des habits de peau, et il les en revêtit.
01031600e9	L’Éternel Dieu dit: Voici, l’homme est devenu comme l’un de nous, pour la connaissance du bien et du mal. Empêchons-le maintenant d’avancer sa main, de prendre de l’arbre de vie, d’en manger, et de vivre éternellement.
0103170071	Et l’Éternel Dieu le chassa du jardin d’Éden, pour qu’il cultivât la terre, d’où il avait été pris.
01031800ac	C’est ainsi qu’il chassa Adam; et il mit à l’orient du jardin d’Éden les chérubins qui agitent une épée flamboyante, pour garder le chemin de l’arbre de vie.
010401007d	Adam connut Ève, sa femme; elle conçut, et enfanta Caïn et elle dit: J’ai formé un homme avec l’aide de l’Éternel.
010402004d	Elle enfanta encore son frère Abel. Abel fut berger, et Caïn fut laboureur.
0104030058	Au bout de quelque temps, Caïn fit à l’Éternel une offrande des fruits de la terre;
010404009d	et Abel, de son côté, en fit une des premiers-nés de son troupeau et de leur graisse. L’Éternel porta un regard favorable sur Abel et sur son offrande;
010405007a	mais il ne porta pas un regard favorable sur Caïn et sur son offrande. Caïn fut très irrité, et son visage fut abattu.
010406005b	Et l’Éternel dit à Caïn: Pourquoi es-tu irrité, et pourquoi ton visage est-il abattu?
01040700ab	Certainement, si tu agis bien, tu relèveras ton visage, et si tu agis mal, le péché se couche à la porte, et ses désirs se portent vers toi: mais toi, domine sur lui.
010408008e	Cependant, Caïn adressa la parole à son frère Abel; mais, comme ils étaient dans les champs, Caïn se jeta sur son frère Abel, et le tua.
0104090073	L’Éternel dit à Caïn: Où est ton frère Abel? Il répondit: Je ne sais pas; suis-je le gardien de mon frère?
01040a005c	Et Dieu dit: Qu’as-tu fait? La voix du sang de ton frère crie de la terre jusqu’à moi.
01040b006e	Maintenant, tu seras maudit de la terre qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère.
01040c0068	Quand tu cultiveras le sol, il ne te donnera plus sa richesse. Tu seras errant et vagabond sur la terre.
01040d004e	Caïn dit à l’Éternel: Mon châtiment est trop grand pour être supporté.
01040e00a0	Voici, tu me chasses aujourd’hui de cette terre; je serai caché loin de ta face, je serai errant et vagabond sur la terre, et quiconque me trouvera me tuera.
01040f00ab	L’Éternel lui dit: Si quelqu’un tuait Caïn, Caïn serait vengé sept fois. Et l’Éternel mit un signe sur Caïn pour que quiconque le trouverait ne le tuât point.
010410006d	Puis, Caïn s’éloigna de la face de l’Éternel, et habita dans la terre de Nod, à l’orient d’Éden.
010411008a	Caïn connut sa femme; elle conçut, et enfanta Hénoc. Il bâtit ensuite une ville, et il donna à cette ville le nom de son fils Hénoc.
010412006e	Hénoc engendra Irad, Irad engendra Mehujaël, Mehujaël engendra Metuschaël, et Metuschaël engendra Lémec.
0104130055	Lémec prit deux femmes: le nom de l’une était Ada, et le nom de l’autre Tsilla.
010414005f	Ada enfanta Jabal: il fut le père de ceux qui habitent sous des tentes et près des troupeaux.
0104150067	Le nom de son frère était Jubal: il fut le père de tous ceux qui jouent de la harpe et du chalumeau.
0104160089	Tsilla, de son côté, enfanta Tubal-Caïn, qui forgeait tous les instruments d’airain et de fer. La sœur de Tubal-Caïn était Naama.
01041700af	Lémec dit à ses femmes: Ada et Tsilla, écoutez ma voix! Femmes de Lémec, écoutez ma parole! J’ai tué un homme pour ma blessure, Et un jeune homme pour ma meurtrissure.
010418003e	Caïn sera vengé sept fois, Et Lémec soixante-dix-sept fois.
01041900a7	Adam connut encore sa femme; elle enfanta un fils, et l’appela du nom de Seth, car, dit-elle, Dieu m’a donné un autre fils à la place d’Abel, que Caïn a tué.
01041a0083	Seth eut aussi un fils, et il l’appela du nom d’Énosch. C’est alors que l’on commença à invoquer le nom de l’Éternel.
010501006e	Voici le livre de la postérité d’Adam. Lorsque Dieu créa l’homme, il le fit à la ressemblance de Dieu.
010502006e	Il créa l’homme et la femme, il les bénit, et il les appela du nom d’homme, lorsqu’ils furent créés.
0105030075	Adam, âgé de cent trente ans, engendra un fils à sa ressemblance, selon son image, et il lui donna le nom de Seth.
0105040071	Les jours d’Adam, après la naissance de Seth, furent de huit cents ans; et il engendra des fils et des filles.
010505004f	Tous les jours qu’Adam vécut furent de neuf cent trente ans; puis il mourut.
010506002f	Seth, âgé de cent cinq ans, engendra Énosch.
0105070068	Seth vécut, après la naissance d’Énosch, huit cent sept ans; et il engendra des fils et des filles.
0105080045	Tous les jours de Seth furent de neuf cent douze ans; puis il mourut.
0105090038	Énosch, âgé de quatre-vingt-dix ans, engendra Kénan.
01050a006b	Énosch vécut, après la naissance de Kénan, huit cent quinze ans; et il engendra des fils et des filles.
01050b0048	Tous les jours d’Énosch furent de neuf cent cinq ans; puis il mourut.
01050c0037	Kénan, âgé de soixante-dix ans, engendra Mahalaleel.
01050d0070	Kénan vécut, après la naissance de Mahalaleel, huit cent quarante ans; et il engendra des fils et des filles.
01050e0045	Tous les jours de Kénan furent de neuf cent dix ans; puis il mourut.
01050f0038	Mahalaleel, âgé de soixante-cinq ans, engendra Jéred.
010510006e	Mahalaleel vécut, après la naissance de Jéred, huit cent trente ans; et il engendra des fils et des filles.
0105110059	Tous les jours de Mahalaleel furent de huit cent quatre-vingt-quinze ans; puis il mourut.
0105120039	Jéred, âgé de cent soixante-deux ans, engendra Hénoc.
0105130065	Jéred vécut, après la naissance d’Hénoc, huit cents ans; et il engendra des fils et des filles.
010514004f	Tous les jours de Jéred furent de neuf cent soixante-deux ans; puis il mourut.
010515003a	Hénoc, âgé de soixante-cinq ans, engendra Metuschélah.
0105160075	Hénoc, après la naissance de Metuschélah, marcha avec Dieu trois cents ans; et il engendra des fils et des filles.
0105170041	Tous les jours d’Hénoc furent de trois cent soixante-cinq ans.
0105180045	Hénoc marcha avec Dieu; puis il ne fut plus, parce que Dieu le prit.
0105190043	Metuschélah, âgé de cent quatre-vingt-sept ans, engendra Lémec.
01051a007b	Metuschélah vécut, après la naissance de Lémec, sept cent quatre-vingt-deux ans; et il engendra des fils et des filles.
01051b0055	Tous les jours de Metuschélah furent de neuf cent soixante-neuf ans; puis il mourut.
01051c003e	Lémec, âgé de cent quatre-vingt-deux ans, engendra un fils.
01051d00a9	Il lui donna le nom de Noé, en disant: Celui-ci nous consolera de nos fatigues et du travail pénible de nos mains, provenant de cette terre que l’Éternel a maudite.
01051e0075	Lémec vécut, après la naissance de Noé, cinq cent quatre-vingt-quinze ans; et il engendra des fils et des filles.
01051f0053	Tous les jours de Lémec furent de sept cent soixante-dix sept ans; puis il mourut.
010520003c	Noé, âgé de cinq cents ans, engendra Sem, Cham et Japhet.
0106010072	Lorsque les hommes eurent commencé à se multiplier sur la face de la terre, et que des filles leur furent nées,
0106020089	les fils de Dieu virent que les filles des hommes étaient belles, et ils en prirent pour femmes parmi toutes celles qu’ils choisirent.
0106030095	Alors l’Éternel dit: Mon esprit ne restera pas à toujours dans l’homme, car l’homme n’est que chair, et ses jours seront de cent vingt ans.
01060400e0	Les géants étaient sur la terre en ces temps-là, après que les fils de Dieu furent venus vers les filles des hommes, et qu’elles leur eurent donné des enfants: ce sont ces héros qui furent fameux dans l’antiquité.
01060500a5	L’Éternel vit que la méchanceté des hommes était grande sur la terre, et que toutes les pensées de leur cœur se portaient chaque jour uniquement vers le mal.
0106060060	L’Éternel se repentit d’avoir fait l’homme sur la terre, et il fut affligé en son cœur.
01060700c9	Et l’Éternel dit: J’exterminerai de la face de la terre l’homme que j’ai créé, depuis l’homme jusqu’au bétail, aux reptiles, et aux oiseaux du ciel; car je me repens de les avoir faits.
0106080031	Mais Noé trouva grâce aux yeux de l’Éternel.
010609006d	Voici la postérité de Noé. Noé était un homme juste et intègre dans son temps; Noé marchait avec Dieu.
01060a002e	Noé engendra trois fils: Sem, Cham et Japhet.
01060b004a	La terre était corrompue devant Dieu, la terre était pleine de violence.
01060c006c	Dieu regarda la terre, et voici, elle était corrompue; car toute chair avait corrompu sa voie sur la terre.
01060d00a0	Alors Dieu dit à Noé: La fin de toute chair est arrêtée par devers moi; car ils ont rempli la terre de violence; voici, je vais les détruire avec la terre.
01060e007f	Fais-toi une arche de bois de gopher; tu disposeras cette arche en cellules, et tu l’enduiras de poix en dedans et en dehors.
01060f0088	Voici comment tu la feras: l’arche aura trois cents coudées de longueur, cinquante coudées de largeur et trente coudées de hauteur.
01061000c4	Tu feras à l’arche une fenêtre, que tu réduiras à une coudée en haut; tu établiras une porte sur le côté de l’arche; et tu construiras un étage inférieur, un second et un troisième.
01061100a1	Et moi, je vais faire venir le déluge d’eaux sur la terre, pour détruire toute chair ayant souffle de vie sous le ciel; tout ce qui est sur la terre périra.
0106120082	Mais j’établis mon alliance avec toi; tu entreras dans l’arche, toi et tes fils, ta femme et les femmes de tes fils avec toi.
01061300a1	De tout ce qui vit, de toute chair, tu feras entrer dans l’arche deux de chaque espèce, pour les conserver en vie avec toi: il y aura un mâle et une femelle.
01061400c3	Des oiseaux selon leur espèce, du bétail selon son espèce, et de tous les reptiles de la terre selon leur espèce, deux de chaque espèce viendront vers toi, pour que tu leur conserves la vie.
0106150098	Et toi, prends de tous les aliments que l’on mange, et fais-en une provision auprès de toi, afin qu’ils te servent de nourriture ainsi qu’à eux.
0106160049	C’est ce que fit Noé: il exécuta tout ce que Dieu lui avait ordonné.
0107010083	L’Éternel dit à Noé: Entre dans l’arche, toi et toute ta maison; car je t’ai vu juste devant moi parmi cette génération.
010702009d	Tu prendras auprès de toi sept couples de tous les animaux purs, le mâle et sa femelle; une paire des animaux qui ne sont pas purs, le mâle et sa femelle;
010703007b	sept couples aussi des oiseaux du ciel, mâle et femelle, afin de conserver leur race en vie sur la face de toute la terre.
01070400a8	Car, encore sept jours, et je ferai pleuvoir sur la terre quarante jours et quarante nuits, et j’exterminerai de la face de la terre tous les êtres que j’ai faits.
010705003a	Noé exécuta tout ce que l’Éternel lui avait ordonné.
0107060047	Noé avait six cents ans, lorsque le déluge d’eaux fut sur la terre.
0107070073	Et Noé entra dans l’arche avec ses fils, sa femme et les femmes de ses fils, pour échapper aux eaux du déluge.
0107080070	D’entre les animaux purs et les animaux qui ne sont pas purs, les oiseaux et tout ce qui se meut sur la terre,
0107090076	il entra dans l’arche auprès de Noé, deux à deux, un mâle et une femelle, comme Dieu l’avait ordonné à Noé.
01070a003b	Sept jours après, les eaux du déluge furent sur la terre.
01070b00b8	L’an six cent de la vie de Noé, le second mois, le dix-septième jour du mois, en ce jour-là toutes les sources du grand abîme jaillirent, et les écluses des cieux s’ouvrirent.
01070c003d	La pluie tomba sur la terre quarante jours et quarante nuits.
01070d008b	Ce même jour entrèrent dans l’arche Noé, Sem, Cham et Japhet, fils de Noé, la femme de Noé et les trois femmes de ses fils avec eux:
01070e00e5	eux, et tous les animaux selon leur espèce, tout le bétail selon son espèce, tous les reptiles qui rampent sur la terre selon leur espèce, tous les oiseaux selon leur espèce, tous les petits oiseaux, tout ce qui a des ailes.
01070f0061	Ils entrèrent dans l’arche auprès de Noé, deux à deux, de toute chair ayant souffle de vie.
010710007f	Il en entra, mâle et femelle, de toute chair, comme Dieu l’avait ordonné à Noé. Puis l’Éternel ferma la porte sur lui.
0107110082	Le déluge fut quarante jours sur la terre. Les eaux crûrent et soulevèrent l’arche, et elle s’éleva au-dessus de la terre.
0107120068	Les eaux grossirent et s’accrurent beaucoup sur la terre, et l’arche flotta sur la surface des eaux.
0107130072	Les eaux grossirent de plus en plus, et toutes les hautes montagnes qui sont sous le ciel entier furent couvertes.
010714005a	Les eaux s’élevèrent de quinze coudées au-dessus des montagnes, qui furent couvertes.
0107150091	Tout ce qui se mouvait sur la terre périt, tant les oiseaux que le bétail et les animaux, tout ce qui rampait sur la terre, et tous les hommes.
010716006a	Tout ce qui avait respiration, souffle de vie dans ses narines, et qui était sur la terre sèche, mourut.
01071700f6	Tous les êtres qui étaient sur la face de la terre furent exterminés, depuis l’homme jusqu’au bétail, aux reptiles et aux oiseaux du ciel: ils furent exterminés de la terre. Il ne resta que Noé, et ce qui était avec lui dans l’arche.
0107180042	Les eaux furent grosses sur la terre pendant cent cinquante jours.
01080100ae	Dieu se souvint de Noé, de tous les animaux et de tout le bétail qui étaient avec lui dans l’arche; et Dieu fit passer un vent sur la terre, et les eaux s’apaisèrent.
0108020067	Les sources de l’abîme et les écluses des cieux furent fermées, et la pluie ne tomba plus du ciel.
0108030086	Les eaux se retirèrent de dessus la terre, s’en allant et s’éloignant, et les eaux diminuèrent au bout de cent cinquante jours.
0108040065	Le septième mois, le dix-septième jour du mois, l’arche s’arrêta sur les montagnes d’Ararat.
010805008a	Les eaux allèrent en diminuant jusqu’au dixième mois. Le dixième mois, le premier jour du mois, apparurent les sommets des montagnes.
0108060054	Au bout de quarante jours, Noé ouvrit la fenêtre qu’il avait faite à l’arche.
010807006f	Il lâcha le corbeau, qui sortit, partant et revenant, jusqu’à ce que les eaux eussent séché sur la terre.
010808005d	Il lâcha aussi la colombe, pour voir si les eaux avaient diminué à la surface de la terre.
01080900f3	Mais la colombe ne trouva aucun lieu pour poser la plante de son pied, et elle revint à lui dans l’arche, car il y avait des eaux à la surface de toute la terre. Il avança la main, la prit, et la fit rentrer auprès de lui dans l’arche.
01080a005b	Il attendit encore sept autres jours, et il lâcha de nouveau la colombe hors de l’arche.
01080b00a4	La colombe revint à lui sur le soir; et voici, une feuille d’olivier arrachée était dans son bec. Noé connut ainsi que les eaux avaient diminué sur la terre.
01080c005f	Il attendit encore sept autres jours; et il lâcha la colombe. Mais elle ne revint plus à lui.
01080d00c6	L’an six cent un, le premier mois, le premier jour du mois, les eaux avaient séché sur la terre. Noé ôta la couverture de l’arche: il regarda, et voici, la surface de la terre avait séché.
01080e0045	Le second mois, le vingt-septième jour du mois, la terre fut sèche.
01080f0024	Alors Dieu parla à Noé, en disant:
0108100050	Sors de l’arche, toi et ta femme, tes fils et les femmes de tes fils avec toi.
01081100f1	Fais sortir avec toi tous les animaux de toute chair qui sont avec toi, tant les oiseaux que le bétail et tous les reptiles qui rampent sur la terre: qu’ils se répandent sur la terre, qu’ils soient féconds et multiplient sur la terre.
0108120043	Et Noé sortit, avec ses fils, sa femme, et les femmes de ses fils.
0108130086	Tous les animaux, tous les reptiles, tous les oiseaux, tout ce qui se meut sur la terre, selon leurs espèces, sortirent de l’arche.
0108140091	Noé bâtit un autel à l’Éternel; il prit de toutes les bêtes pures et de tous les oiseaux purs, et il offrit des holocaustes sur l’autel.
0108150113	L’Éternel sentit une odeur agréable, et l’Éternel dit en son cœur: Je ne maudirai plus la terre, à cause de l’homme, parce que les pensées du cœur de l’homme sont mauvaises dès sa jeunesse; et je ne frapperai plus tout ce qui est vivant, comme je l’ai fait.
0108160091	Tant que la terre subsistera, les semailles et la moisson, le froid et la chaleur, l’été et l’hiver, le jour et la nuit ne cesseront point.
010901005e	Dieu bénit Noé et ses fils, et leur dit: Soyez féconds, multipliez, et remplissez la terre.
01090200d2	Vous serez un sujet de crainte et d’effroi pour tout animal de la terre, pour tout oiseau du ciel, pour tout ce qui se meut sur la terre, et pour tous les poissons de la mer: ils sont livrés entre vos mains.
010903006b	Tout ce qui se meut et qui a vie vous servira de nourriture: je vous donne tout cela comme l’herbe verte.
0109040048	Seulement, vous ne mangerez point de chair avec son âme, avec son sang.
01090500b1	Sachez-le aussi, je redemanderai le sang de vos âmes, je le redemanderai à tout animal; et je redemanderai l’âme de l’homme à l’homme, à l’homme qui est son frère.
0109060076	Si quelqu’un verse le sang de l’homme, par l’homme son sang sera versé; car Dieu a fait l’homme à son image.
010907005a	Et vous, soyez féconds et multipliez, répandez-vous sur la terre et multipliez sur elle.
010908003d	Dieu parla encore à Noé et à ses fils avec lui, en disant:
0109090051	Voici, j’établis mon alliance avec vous et avec votre postérité après vous;
01090a00cb	avec tous les êtres vivants qui sont avec vous, tant les oiseaux que le bétail et tous les animaux de la terre, soit avec tous ceux qui sont sortis de l’arche, soit avec tous les animaux de la terre.
01090b009d	J’établis mon alliance avec vous: aucune chair ne sera plus exterminée par les eaux du déluge, et il n’y aura plus de déluge pour détruire la terre.
01090c00a8	Et Dieu dit: C’est ici le signe de l’alliance que j’établis entre moi et vous, et tous les êtres vivants qui sont avec vous, pour les générations à toujours:
01090d005d	j’ai placé mon arc dans la nue, et il servira de signe d’alliance entre moi et la terre.
01090e005b	Quand j’aurai rassemblé des nuages au-dessus de la terre, l’arc paraîtra dans la nue;
01090f00aa	et je me souviendrai de mon alliance entre moi et vous, et tous les êtres vivants, de toute chair, et les eaux ne deviendront plus un déluge pour détruire toute chair.
01091000a8	L’arc sera dans la nue; et je le regarderai, pour me souvenir de l’alliance perpétuelle entre Dieu et tous les êtres vivants, de toute chair qui est sur la terre.
0109110075	Et Dieu dit à Noé: Tel est le signe de l’alliance que j’établis entre moi et toute chair qui est sur la terre.
0109120068	Les fils de Noé, qui sortirent de l’arche, étaient Sem, Cham et Japhet. Cham fut le père de Canaan.
010913005a	Ce sont là les trois fils de Noé, et c’est leur postérité qui peupla toute la terre.
010914003b	Noé commença à cultiver la terre, et planta de la vigne.
0109150042	Il but du vin, s’enivra, et se découvrit au milieu de sa tente.
0109160061	Cham, père de Canaan, vit la nudité de son père, et il le rapporta dehors à ses deux frères.
01091700d9	Alors Sem et Japhet prirent le manteau, le mirent sur leurs épaules, marchèrent à reculons, et couvrirent la nudité de leur père; comme leur visage était détourné, ils ne virent point la nudité de leur père.
0109180055	Lorsque Noé se réveilla de son vin, il apprit ce que lui avait fait son fils cadet.
0109190054	Et il dit: Maudit soit Canaan! Qu’il soit l’esclave des esclaves de ses frères!
01091a0055	Il dit encore: Béni soit l’Éternel, Dieu de Sem, et que Canaan soit leur esclave!
01091b0073	Que Dieu étende les possessions de Japhet, qu’il habite dans les tentes de Sem, et que Canaan soit leur esclave!
01091c0039	Noé vécut, après le déluge, trois cent cinquante ans.
01091d0049	Tous les jours de Noé furent de neuf cent cinquante ans; puis il mourut.
010a010066	Voici la postérité des fils de Noé, Sem, Cham et Japhet. Il leur naquit des fils après le déluge.
010a020051	Les fils de Japhet furent: Gomer, Magog, Madaï, Javan, Tubal, Méschec et Tiras.
