0100000006	Farawa
0105100060	Bayan ya haifi Yared, Mahalalel ya yi shekara 830, ya kuma haifi waɗansu’ya’ya maza da mata
0105110041	Gaba ɗaya dai, Mahalalel ya yi shekara 895, sa’an nan ya mutu.
0105120036	Sa’ad da Yared ya yi shekara 162, sai ya haifi Enok.
010513005c	Bayan ya haifi Enok, Yared ya yi shekaru 800, ya kuma haifi waɗansu’ya’ya maza da mata.
010514003d	Gaba ɗaya dai, Yared ya yi shekara 962, sa’an nan ya mutu.
0105150038	Sa’ad da Enok ya yi shekara 65, sai ya haifi Metusela.
010516007b	Bayan ya haifi Metusela, Enok ya kasance cikin zumunci da Allah shekaru 300, ya kuma haifi waɗansu’ya’ya maza da mata.
0105170027	Gaba ɗaya dai, Enok ya yi shekaru 365.
0105180066	Enok ya kasance cikin zumunci da Allah, sa’an nan ba a ƙara ganinsa ba. Saboda Allah ya ɗauke shi.
010519003a	Sa’ad da Metusela ya yi shekara 187, sai ya haifi Lamek.
01051a0060	Bayan ya haifi Lamek, Metusela ya yi shekaru 782, ya kuma haifi waɗansu’ya’ya maza da mata.
01051b0040	Gaba ɗaya dai, Metusela ya yi shekaru 969, sa’an nan ya mutu.
01051c0035	Sa’ad da Lamek ya yi shekara 182, sai ya haifi ɗa.
01051d0086	Ya ba shi suna Nuhu ya kuma ce, “Zai yi mana ta’aziyya a cikin aikinmu da wahalar hannuwanmu a ƙasar da Ubangiji ya la’anta.”
01051e0052	Bayan an haifi Nuhu, Lamek ya yi shekara 595, yana kuma da’ya’ya maza da mata.
01051f003d	Gaba ɗaya dai, Lamek ya yi shekaru 777, sa’an nan ya mutu.
010520003e	Bayan Nuhu ya yi shekara 500, sai ya haifi Shem, Ham da Yafet.
0106010054	Sa’ad da mutane suka fara ƙaruwa a duniya, aka kuma hahhaifi musu’ya’ya mata,
010602007f	sai’ya’yan Allah maza suka ga cewa’ya’yan mutane mata suna da bansha’awa, sai suka zaɓi waɗanda suke so, suka aura.
01060300a0	Sa’an nan Ubangiji ya ce, “Ruhuna ba zai zauna a cikin mutum har abada ba, saboda shi mai mutuwa ne, kwanakinsa za su zama shekaru ɗari da arba’in ne.”
01060400ec	Nefilimawa suna nan a duniya a waɗancan kwanaki, da kuma kwanakin da suka bi baya, a sa’ad da’ya’yan Allah suka kwana da’ya’yan mutane mata, suka kuma hahhaifi musu’ya’ya. Ai, su ne jarumawan dā, mutanen da suka shahara.
010605008a	Ubangiji kuwa ya lura cewa muguntar mutum ta yi yawa a duniya, kuma kowane abin da yake tunani a zuciyarsa mugu ne kawai a kowanne lokaci.
0106060043	Ubangiji ya damu da ya yi mutum a duniya, abin ya zafe shi ƙwarai.
01060700bc	Saboda haka Ubangiji ya ce, “Zan kawar da mutum, da dabbobi, da halittu masu rarrafe a ƙasa da kuma tsuntsayen sama waɗanda na halitta, daga doron ƙasa, saboda na damu da na yi su.”
010608002d	Amma Nuhu ya sami tagomashi a gaban Ubangiji.
0106090077	Ga tarihin Nuhu. Nuhu mutum ne mai adalci, marar abin zargi a cikin mutanen zamaninsa, ya kuma yi tafiya tare da Allah.
01060a0034	Nuhu yana da’ya’ya maza uku, Shem, Ham da Yafet.
01060b0049	Duniya dai ta lalace sosai a gaban Allah, ta kuma cika da tashin hankali.
01060c0058	Allah ya ga yadda duniya ta lalace, gama dukan mutane a duniya sun lalatar da rayuwarsu.
01060d009a	Saboda haka, Allah ya ce wa Nuhu, “Zan kawo ƙarshen dukan mutane, gama saboda su duniya ta cika da tashin hankali. Lalle zan hallaka su da kuma duniya.
01060e0072	Saboda haka ka yi wa kanka jirgi da katakon Saifires, ka yi ɗakuna a cikinsa, ka shafe shi da ƙaro ciki da waje.
01060f006c	Ga yadda za ka gina shi; jirgin zai kasance mai tsawon ƙafa 45, fāɗinsa ƙafa 75, tsayinsa kuma ƙafa 45.
0106100095	Ka yi masa rufi, ka kuma ba da fili inci 18 tsakanin rufin a kowane gefen jirgin. Ka sa ƙofa a gefen jirgin. Ka yi shi hawa uku, ka yi ƙofa a gefe.
01061100b4	Ga shi zan aiko da ambaliya ruwa a duniya, in hallaka dukan mai rai da yake a ƙarƙashin sama, kowace halittar da take numfashi a cikinta. Dukan abin da yake a duniya zai hallaka.
0106120084	Amma zan kafa alkawarina da kai, kai kuma za ka shiga jirgin, kai da’ya’yanka maza da matarka da matan’ya’yanka tare da kai.
010613006c	Za ka shigar da biyu na dukan halittu masu rai, namiji da ta mace a cikin jirgin, domin su rayu tare da kai.
0106140087	Biyu na kowane irin tsuntsu, kowace irin dabba da kuma kowace irin halitta mai rarrafe a ƙasa, za su zo wurinka domin a bar su da rai.
010615005a	Za ka ɗauki kowane irin abinci wanda za a ci, ka adana don yă zama abincinka da nasu.”
0106160030	Nuhu ya yi kome kamar yadda Allah ya umarce shi.
0107010079	Sa’an nan Ubangiji ya ce wa Nuhu. “Shiga jirgin, kai da dukan iyalinka, gama na ga kai mai adalci ne a wannan zamani.
010702008d	Ka ɗauki bakwai na kowace iri tsabtaccen dabba tare da kai, namiji da ta mace, da kuma biyu na kowace dabba marar tsabta, namiji da ta mace,
0107030069	da kuma bakwai na kowane iri tsuntsu, namiji da ta mace, domin a bar kowane irinsu da rai a dukan duniya.
010704009a	Kwana bakwai daga yanzu zan aiko da ruwa a duniya yini arba’in da dare arba’in, zan kuma kawar da kowace halitta mai rai da na yi daga doron ƙasa.”
0107050032	Nuhu ya aikata duk abin da Ubangiji ya umarce shi.
0107060045	Nuhu yana da shekaru 106 ne sa’ad da aka yi ambaliya ruwa a duniya.
010707005f	Nuhu da matarsa da’ya’yansa da matansu, suka shiga jirgi domin su tsira daga ruwa ambaliya.
010708006d	Biyu-biyu daga dabbobi masu tsabta da marasa tsabta, da tsuntsaye da kuma dukan halittu masu rarrafe a ƙasa,
010709005a	namiji da ta mace, suka zo wurin Nuhu, suka shiga jirgi, kamar yadda Allah ya umarce Nuhu.
01070a003d	Bayan kwana bakwai kuwa ambaliya ruwa ta sauko a bisa duniya.
01070b00a9	A ranar sha bakwai ga wata na biyu, na shekara ta ɗari shida na rayuwar Nuhu, a ran nan sai dukan maɓuɓɓugai na manyan zurfafa suka fashe, tagogin sammai suka buɗe.
01070c0045	Ruwa yana ta kwararowa bisa duniya, yini arba’in da dare arba’in.
01070d006c	A wannan rana Nuhu tare da matarsa da’ya’yansa maza, Shem, Ham da Yafet da matansu uku suka shiga jirgi.
01070e00e2	Tare da su kuwa, akwai kowane naman jeji bisa ga irinsa, da dukan dabbobin gida bisa ga irinsu, da kowace halitta mai rarrafe a ƙasa bisa ga irinta, da kowane tsuntsun gida da na jeji bisa ga irinsa, da dukan abu mai fiffike.
01070f004e	Biyu-biyu na dukan halittu masu numfashi suka zo wurin Nuhu, suka shiga jirgi.
0107100093	Dabbobi da kowane abu mai rai da suka shiga ciki, namiji ne da ta mace, yadda Allah ya umarci Nuhu. Sa’an nan Ubangiji ya kulle jirgin daga baya.
0107110093	Kwana arba’in ambaliya ta yi ta saukowa a duniya, sa’ad da ruwa ya yi ta ƙaruwa sai ya yi ta ɗaga jirgin sama, ya kuwa tashi can bisa duniya.
010712004f	Ruwa ya taso, ya ƙaru ƙwarai a duniya, jirgin kuma ya yi ta yawo a bisa ruwa.
010713005b	Ruwa ya ƙaru ƙwarai a duniya, ya kuma rufe dukan duwatsu masu tsawo a ƙarƙashin sammai.
0107140063	Ruwan ya taso ya rufe duwatsu, zurfin ruwa daga duwatsun zuwa inda jirgin yake ya fi ƙafa ashirin.
01071500a8	Kowane abu mai rai da yake tafiya a duniya ya hallaka, tsuntsaye, dabbobin gida, namun jeji, da dukan masu rarrafe waɗanda suke rarrafe a duniya, da kuma dukan mutane.
010716003d	Kome a busasshiyar ƙasa da yake numfashi a hancinsa ya mutu.
01071700d8	Aka kawar da kowane abu mai rai, mutane da dabbobi da halittu masu rarrafe a ƙasa, da tsuntsayen sama a doron ƙasa, duka aka kawar da su daga duniya. Nuhu kaɗai aka bari da waɗanda suke tare da shi a cikin jirgi.
0107180030	Ruwa ya mamaye duniya har kwana ɗari da hamsin.
01080100a2	Amma Allah ya tuna da Nuhu da dukan namun jeji da dabbobin da suke tare da shi a cikin jirgi, ya kuma aika da wata iska ta hura dukan duniya, ruwan kuwa ya janye.
010802006b	Aka toshe maɓuɓɓugan zurfafa da ƙofofin ambaliyar sammai, ruwan sama kuma ya daina saukowa daga sarari.
010803005c	Ruwan ya janye a hankali daga ƙasa. A ƙarshen kwanaki ɗari da hamsin ɗin, ruwan ya ragu.
010804004d	A rana ta goma sha bakwai ga watan bakwai, jirgin ya sauka a duwatsun Ararat.
0108050070	Ruwan ya ci gaba da janyewa har watan goma. A rana ta fari ga watan goma kuwa ƙwanƙolin duwatsun suka bayyana.
010806003f	Bayan kwana arba’in, sai Nuhu ya buɗe tagar jirgin da ya yi,
0108070053	ya saki hankaka. Hankaka ya yi ta kai da kawowa har sai da ruwa ya shanye a duniya.
0108080042	Sai ya saki kurciya don yă ga in ruwan ya janye daga doron ƙasa.
01080900d0	Amma kurciyar ba tă sami inda za tă sa ƙafafunta ba gama akwai ruwa a dukan doron ƙasa, saboda haka ta komo wurin Nuhu a jirgi. Ya miƙa hannunsa ya ɗauko kurciyar ya shigar da ita wurinsa a cikin jirgi.
01080a0043	Ya ƙara jira kwana bakwai, sai ya sāke aiken kurciyar daga jirgi.
01080b0099	Sa’ad da kurciya ta komo wurinsa da yamma, sai ga ɗanyen ganyen zaitun da ta tsinko a bakinta! Sa’an nan Nuhu ya san cewa ruwa ya janye daga duniya.
01080c0064	Ya ƙara jira kwana bakwai, sai ya sāke aiken kurciyar, amma a wannan ƙaro ba tă komo wurinsa ba.
01080d0098	A rana ta fari ga wata na fari wanda Nuhu ya cika shekaru 601, ruwa ya shanye a ƙasa. Sai Nuhu ya buɗe murfin jirgin, ya ga cewa doron ƙasa ya bushe.
01080e0040	A ran ashirin da bakwai ga wata na biyu, ƙasa ta bushe ƙaƙaf.
01080f0020	Sa’an nan Allah ya ce wa Nuhu,
0108100044	“Fito daga jirgin, kai da matarka da’ya’yanka maza da matansu.
01081100b3	Ka fitar da kowane iri halitta mai rai da take tare da kai waje, tsuntsaye, dabbobi, da dukan halittu masu rarrafe a ƙasa, don su yi ta haihuwa, su yi yawa, su ƙaru a duniya.”
