2800000007	Mathayi
28020d0115	Kunima kukwenda kwa bawu, wanzyo wa Pfumu wámonika kwena Yozefu, mu ndosi amana wámuzimbwala: «Telama, bonga mwana yi ngudi wandi, amana tina ku Ngiphiti, zakala kwakuna tii yi kuna yikúzimbwala mu kuvutwakisa. Mukuma ka thama ku, Eloti kasánda mwana mu kumuhondisa.»
28020e0052	Yozefu wátelama, wábonga muna phipha mwana yi ngudi wandi, watina ku Ngiphiti.
28020f00b2	Hanga wuzakadini kwakuna tii yi kuna lufwa lwa Eloti. Mambu mana másalama ndangu malungila mana kázimbula Pfumu mwena mbikudi: «Yimútela mwana wama kalubuka ku Ngiphiti.»
2802100120	Tangwa kádimona Eloti ni bamuhuni kwena banganga ba bathetimbwa, nganzi zandi zátombuka lawu. Wátuma bahonda bana ba bayakala boosu, yandikila mvula zodi yi kuna banda, bana bákala ku Betelemi yi kuna milambu myandi; bwosu tangwa dina kádizikisila kwena banganga ba bathetimbwa.
2802110042	Kinga bwabuna málungila mana mázonzama kwena mbikudi Yelemiya:
2802120098	«Ndinga mosi yibati yukalakana ku hata dya Lama; bidilu yi makana ma lawu: Lakhedi wuna wubati dila bana bandi; katondiku ni bamuhomba kikuma bafini.»
280213005f	Kunima lufwa lwa Eloti, hanga, wanzyo wa Pfumu wámonika mu ndosi kwena Yozefu, muna Ngiphiti.
280214008f	Wámuzibwala: «Telama, bonga mwana yi ngudi wandi, amana vutuka muna tsi ya Kiseledi, mukuma babana bakala sanda moya wa mwana, bamani fwa.»
2802150056	Amana Yozefu wátelama, wábonga mwana yi ngudi wandi wávutuka ku tsi ya Kiseledi.
28021600b8	Kaasi, ha káyuka ni Alakelawusu wuyadi ku Yuteya ha kifulu kya Eloti tata wandi; wáyuka bweya mu kuvutukakwa; bámulwengisa hika mu ndosi amana wáyombuka ku milambu mya Ngadidi.
280217008a	Hanga, wisa kala muna mbanza mosi bisi tela, Nazaleti, ndangu malungila mana mázonzama mwena bambikudi: «bamútediki Mwisi Nazaleti.»
2803010069	Kunima mvula za lawu, wátula Yowani Mubotiki, kakala samuna muna nganga ya Yuteya amana wekina zimbula:
280302003d	«Balumunenu mbundu, mukuma Kipfumu kya mazilu kibwesukini.»
2803030092	Kinga yandu kenina wuna kázonzila mbikudi Yesaya: «Ndinga mosi yibati kalunga muna nganga: Yidikenu nzila ya Pfumu, sungikenu mikinda myandi.»
280304008d	Yandi Yowani kákala yi muledi wa mwika mya kamela amana kakala vwata mukaba wa tsibu muna mbunda; kakala dya baphasu yi bwiki bwa mu tseki.
280305006d	Bisi Yelusalemi yi bisi Yuteya yi bisi mulambu wuna wosu wa kinzunga kya Yolutani, bakala kwenda kwena yandi.
2803060052	Amana bakala babotika muna nzadi Yolutani bwabuna bákala funguna masumu ma bawu.
28030700d8	Amana bwosu kámona lawu dya Bafwadisi yi Basadise bakala kwisa ku mbotika ya yandi, kikuma kya kubotama; amana wubazimbwadini: «Mbandu ya masawa! Nati wululongisidi mu kutina kyana, khabu za Nzambi zazi zakwísa?
280308003c	Songilenu mu bibundu bya bukheti ni lusobini bikalulu byenu;
280309009c	amana lubanzaku mu kudizonzilaka: "Thwenina yi tata wetu Bulahami". Mukuma, mbati luzimbwala ni Nzambi wufwani, muna matadi mama, kukitula bana ba Bulahami!
28030a009b	Amana kisoka kya kusikula kedi kyenina hana sina dya miti: disongidila miti wosu wuna wisiku ha kibundu kya bukheti bakwángawa amana balósawa ku mbawu.
28030b00d8	Meni, mbati lubotika mu mamba, mu kusongila ni lubalumuni mbundu; kaasi wuna wisi kwisa ku manima ma meni, wunduti meni mu ngolu, yeku walunga mu kumuwomuna tsabatu zandi, kalúbotika mu Kitembu kyatoma yi mu mbawu.
28030c00b2	Kenina yi muyungulu hana koku dyandi kikuma kya kuhambula ngenza yi tswala; kasóla ngenza za bukheti, wulumbikiza muna khila, kaasi kayóka tswala mu mbawu yina yisiku zima.»
28030d0066	Hanga Yesu wutuki ku Ngadidi yi kuna nzadi Yolutani; wenda kwena Yowani ndangu bamubotika kwena yandi.
28030e0079	Yowani wábwisabwa amana wámuzimbwala: «Meni yenina yi mupfunu wa kubotama kwena ngeyi amana ngeyi wisi kwena meni!»
28030f00b4	Kaasi Yesu wámuvutwala: «Yambula bwahangama bwabuna mu tangwa dyadi. Mukuma muna phila meni yayina twalúngisila mambu moosu mana kabati lomba Nzambi.» Hanga yandi wutambwasi.
28031000b1	Amana buna kábotama Yesu, wálubuka mu mamba. Muna tangwa meni dyadina, mazilu mákanguka: wámona Kitembu wa Nzambi kukulumuka hanga yembi amana wisi hana thandu ya yandi.
2803110070	Ndinga mosi yátuka ku zilu yizonzi: «Yandu kenina Mwana wa meni watondama; mwena yandi tsidini kyesi kyama.»
280401005a	Hanga Yesu bamunatisi, kwena Kitembu, muna nganga, ndangu bamuhukumuna kwena kiphidi-mutu.
2804020058	Amana kunima kuzila kudya bilumbu makumaya bya mwini yi phipha makumaya, wáyuka nzala.
280403007c	Amana muhukumuni wisa bwesuka, wámuzimbwala: «Yukani Mwana wa Nzambi wenina, zimbula kwena matadi mama, makituka mapha.»
2804040092	Amana, yandi wámuvutwala: «Tala mana másonama: "Mutu kazingilaku mu madya lwesi, kaasi mu ndinga yosu yina yisi lubuka mu munwa wa Nzambi".»
2804050070	Hanga Kiphidi-Mutu wumunati ku Yelusalemi, mbanza yatoma, wumunenginiki hana kisoka kya mudilu wa nzu ya Nzambi,
28040600f1	amana wumuzimbwadi: «Yukani Mwana wa Nzambi wenina, tsutsuka ha tsi, mukuma tala mana masonama:» "Kahana kwena banzyo bandi miswa kikuma kya ngeyi, amana bakwisa kuyaka muna moku ma bawu, ndangu kitambi kyaku kidikhukulaku ku tadi dimosi."
280407004f	Yesu wumuvutwadi: «Tala mana másonama hika: "Wamekaku Pfumu, Nzambi waku."»
280408006d	Kiphidi-mutu wámunata hika ha mongu wa kaleyi lawu, wámusongila bipfumu byosu bya tsi yi khembu ya byawu,
280409006c	amana wumuzimbwadi: «Yikuheka bima bina byosu, yuka ni wabwa mu bitambi byama mu kufukama ku thwala meni.»
28040a0098	Hanga Yesu wumuzimbwadi: «Katuka Satana! Mukuma tala mana másonama: "Ku thwala Pfumu, Nzambi waku, lwesi wafúkama amana yandi lwesi wasámbila."»
28040b004c	Hanga kiphidi-mutu wumusisi. Amana banzyo bábwesuka amana bekina musadila.
28040c0048	Amana buna káyuka ni Yowani bamulambudi, hanga wáyombuka ku Ngadidi.
28040d007f	Amana wákatuka ku Nazaleti, wenda kala ku Kafadinawumu, ku mukinda wa yanga dya mbuta, muna milambu mya Zabuloni yi Nefutadi.
28040e003f	Ndangu dyalungila dyambu dina bázimbula mwena mbikudi Yesaya:
28040f006e	«Tsi ya Zabuloni, tsi ya Nefutadi, mukinda wa nzadi, yi kuna sambwa dya Yolutani, Ngadidi ya makanda ma batu!
2804100098	Kanda dina dyákala mu phipha, dimoni mutemu wa lawu! Yi kwena bana bázakala mu kinzunga yi mu kivula kya lufwa, mutemu wumosi wumoniki kwena bawu!»
280411007e	Tuka tangwa meni dina, Yesu wáyandika kusamuna yi kulonga: «Balumunenu mbundu zenu mukuma Kipfumu kya mazilu kibwesukini!»
28041200d7	Amana Yesu buna kakala kangala muna mukinda wa yanga dya Ngadidi, wámona baphangi bodi, Simoni, wuna bisi tela Phetelu, yi Andele myaki wandi; bakala losa wanda dimosi muna yanga dya mbuta, mukuma balobi bákala.
2804130047	Hanga wubazimbwadi: «Alwisa ndanda, amana yilukitula balobi ba batu.»
280414003d	Amana bawu, muna mbala mosi, básisa mawanda, benda mulanda.
28041500c5	Amana buna kaphusana, wámona baphangi bahika bodi, Zyaki mwana wa Zebeteya yi Yowani, phangi wandi, bákala muna mudimba yi tata wa bawu Zebeteya, bakala yilulula mawanda ma bawu. Yesu wabatela;
280416004f	Amana bawu muna mbala mosi básisa mudimba yi tata wa bawu, amana bámulanda.
28041700d0	Amana kakala kwenda muna Ngadidi yosu; mu kulonga muna nzu za kimvuka za Bayuta za bawu yi kusamuna Musamu wa Bukheti wa Kipfumu kya mazilu, amana kakala belula maladi moosu yi bimbefu byosu mu kati dya batu.
28041800f6	Amana khululuka ya yandi yámwangana mu mulambu wosu wa Sidiya. Amana bakala munatina batu boosu babana bákala bela, babana bákala yi makhasi ma mutindu yi mutindu yi miyangu mya bitembu bya mbi yi bakwa kikhoni, yi khonzu, amana wubabeludi.
2804190096	Milumba-lumba mya batu bakala mulanda; tuka mu Ngadidi yi kuna mulambu wa Mbanza Kumi yi ku Yelusalemi yi ku Yuteya yi ku sambwa dikwawu dya Yolutani.
2805010082	Amana tangwa kámona milumba-lumba mya batu, wátombuka ku mongu, amana buna kázakala, balonguki bandi bábwesuka kwena yandi
280502003c	amana mu kukangula munwa wandi, wáyandika kubalonga bwabu:
2805030059	«Kyesi kwena bana bena baphutu mu kitembu, mukuma Kipfumu kya mazilu kyenina kwena bawu!
2805040033	Kyesi kwena bana bisi dila, mukuma bakwisa bahomba!
2805050038	Kyesi kwena bana benina balembama, mukuma bavwáya tsi.
2805060051	Kyesi kwena bana benina yi nzala yi kihwinya kya masonga, mukuma bawu bayúkuta!
280507004d	Kyesi kwena bana bisi yukila bakwawu kyadi, mukuma Nzambi kyadi kabáyukila!
2805080049	Kyesi kwena bana benina yi mbundu ya hedila, mukuma bawu bamóna Nzambi!
280509004b	Kyesi kwena bana bisi yadisa ngemba, mukuma bawu babátela bana ba Nzambi!
28050a005f	Kyesi kwena bana bisi nyokuna kikuma kya masonga, mukuma Kipfumu kya mazilu kyenina kwena bawu!
28050b0084	Kyesi lwenina kyawu mu tangwa bisi lutukwana amana bisi lunyokuna amana bisi luhunina misamu mya mutindu yi mutindu kikuma kya meni.
28050c0096	Sangwalenu, amana kalenu mu kyesi, mukuma lufutu lwenu lwa lawu lwenina mu mazilu, mukuma, yi bwabuna phi bábanyokuna bambikudi bana balutekidila.»
28050d00b0	«Benu lwenina mungwa wa tsi. Kaasi yukani mungwa wekina laku-laku, yi biki balenda vutwalawa mutomu? Wa phamba, weku hika mupfunu, ho kakulosawoku ku nzila batu badyatikisawa.
28050e005d	«Benu lwenina kyesesi kya tsi. Mbanza mosi bátunga ha thandu ya mongu yifwaniku kuswamana.
28050f0099	Amana bisiku lemisa mwinda ndangu bafidingawa ku tsya nzungu ya tuma; kaasi bisiwa sya ha muzanga, amana wulemi ndangu wayinika boosu bana benina mu nzu.
280510008d	Bwabuna kyakenzudiki kyesesi kyenu ku thwala batu, ndangu bamona miza myenu mya bukheti amana bamuzatulaka Tata wenu wuna wenina mu mazilu.»
2805110062	«Lubanzaku ni meni yisi zanga Mitsiku holo Bambikudi. Yisaku kikuma kya kuzanga, kaasi kulungisa.
2805120089	Abwabuna, kikuma yiluzimbwadi: yi kuna dyalútila zilu yi tsi, ka kisona ku kimosi kya Mitsiku kyalúta, yi kuna mabwíla mambu moosu.
28051300ed	Disongidila wuna wakúlula keti mosi wa khunda muna mitsiku myami amana kalonga bwabuna kwena batu, bamútela wa khunda mu Kipfumu kya mazilu, kaasi wuna wazítisamya, walóngamya phi, yandi bamútela wa mbuta mu Kipfumu kya mazilu.
2805140084	Mukuma, yiluzimbwadi, yuka ni masonga menu malutiku mana ma balongi ba mitsiku yi Bafwadisi, lwakótamwoku mu Kipfumu kya mazilu.»
2805150088	«Lwáyuka ni bázimbula bwabu kwena bambuta: "Walendaku honda mvumbi wa khengu; wuna wahonda mvumbi wa khengu, bamunata ku pfundusu".
2805160118	Kaasi meni, yiluzimbwadi bwabu: Wosu wuna wáyukila phangi wandi khabu, bulungi bamunata ku pfundusu. Amana wuna wazímbula kwena phangi wandi: "Zoba", bulungi bamunata ku thwala kimvuka kya mbuta; amana wuna wázimbula kwena phangi wandi "Kilawu", bulungi bamulosa ku bilungi.
280517008c	Kisongidila, yukani wubati kwenda hana kabu dyaku ku mesa ma kimenga, amana kwakuna, yuka wayubuka ni phangi waku kena yi kima kitadi ngeyi,
2805180085	sisa hana kabu dyaku, kuna thwala ya mesa ma kimenga, amana wenda theti kuvutula ngemba yi phangi waku, kunima awisa hana kabu dyaku.
28051900b3	«Yidika tswatsu yi mbeni waku, buna lwenina yi yandi mu nzila ya nganda ya bazusi; kondilo, kakúlambula nana kwena zusi, amana zusi kwena phumbulu, amana bakutimbula mu boloku.
28051a0055	Abwabuna yikuzimbwadi: walúbukamwoku kedi yuka wufutiku yi kuna dikuta dya tsuka.»
28051b0030	«Lwayuka ni bazimbula bwabu: "Watáku mbongi."
28051c0081	Kaasi meni, yiluzimbwadi: Wosu wuna watála mukhetu wa ngani mu phila ya kumukemba, wuti kedi mbongi yi yandi muna mbundu yandi.
28051d00e1	Amana yukani disu dyaku dya kitata dyakubwisaka mu masumu, lokuladya amana losadya kyana yi ngeyi! Mukuma bwena mboti kwena ngeyi watotisa lwesi kitini kimosi kya lutu lwaku, kaasi bweku mboti ni balosa lutu lwosu ku bilungi.
28051e00da	Amana yukani koku dyaku dya kitata dyakusumunaka, zengadya, losadya kyana yi ngeyi; mukuma bwena mboti kwena ngeyi watotisa lwesi kitini kimosi kya lutu lwaku, kaasi bweku mboti ni balosa lutu lwaku lwosu ku bilungi.»
28051f0061	«Amana bazimbula bwabu: "Ni wuna wayámbula mukhetu wandi, kamuheka mukanda wa kufwa kwa longu.
28052000bf	Kaasi meni, yiluzimbwadi: Wosu wuna wayámbula mukhetu wandi, katula kusala kindumba, wumukitudi kita kya mbongi, amana wuna wakwéla mukhetu bayambudi ku longu, yandi phi mbongi kisi ta.»
2805210086	«Lwáyuka hika buna bázonza kwena bambuta: "Waléwulaku ndefi yaku, kaasi walúngisa ku thwala Pfumu mana wasila mu ndefi yaku."
2805220078	Kaasi meni yiluzimbwadi lwesi ni ludyaku ndefi kyamakulu: keti ku zilu, kikuma kina kyenina kiti kya Kipfumu kya Nzambi;
280523006f	keti ha tsi, kikuma mafu yi kidyatilu kyandi; keti ku Yelusalemi, kikuma yina yenina mbanza ya Kyamvu wa Mbuta.
280524006a	Wadyáku ndefi keti mu mutwa waku, mukuma walendaku balumuna lusuki lumosi mu katoki kondilo mu kaphindi.
2805250088	Amana yambula nzonzidi yenu yakala: yukani "abwabuna", "abwabuna", ho "loni", "loni"; mana bisikwa yika, kwena kiphidi-mutu misi tuka.»
2805260048	«Lwáyuka ni bázimbula bwabu: "Disu muna disu amana dinu muna dinu."
280527007c	Kaasi meni, yiluzimbwadi: Luvutulaku mbela kwena mbeni. Honi mutu kakuta mbata ku tama dya kitata, mubalwamina hika dikwawu.
2805280073	Amana yuka mutu wuzodi kakunatisa mukanu ndangu kalenga tambula kikutu kyaku, muyambula katambula hika muzaka waku.
2805290056	Amana yukani mutu kakulundika mu kusala funda dya thambi, ngeyi fwokula mu mbala zodi.
28052a005e	Kwena wuna wusi kulomba, hana, amana kwena wuna wutondi kulefwa kima kwena ngeyi, wuhungaku.»
28052b0056	«Lwáyuka ni bázimbula bwabu: "Watónda khunda waku, amana waménga mbeni waku."
28052c005e	Kaasi meni, yiluzimbwadi: Tondenu bambeni benu amana lombilenu kikuma kya bana bisi lunyokuna.
28052d00ce	Bwabuna lwakítwakila bana ba Tata wenu wuna wenina mu mazilu. Kikuma kisi lubula tangwa kikuma kya batu ba mbi yi batu ba mboti, amana kisi nokisa mvula kikuma kya batu ba masonga yi batu bakonda masonga.
28052e0082	Mukuma, yukani lwatondaka lwesi bana bisi lutonda, khi ndandu lwatámbula? Bakalaki ba phaku bisi bwoku hanga bwabuna phila mosi?
28052f0093	Amana yukani benu lwahanaka mboti kwena baphangi benu lwesi, khi kima lwisi sala kya ngituka? Baphani bawu phi bisi bwoku hanga bwabuna phila mosi?
280530004f	Disongidila, lwakala balungila bwosu kenina Tata wenu, wa ku zilu, walungila.»
280601008b	«Kebenu mu kusadila masonga menu ku thwala ya batu, mu kudimonikisa. Kondilo, lwatámbulaku ndandu kwena Tata wenu wuna wenina mu mazilu.
2806020102	Disongidila tangwa wisi hana kabu dya khenda, wutaku kindanda ku thwala ya ngeyi meni, bwosu bisibwa sala bakavungalosi mu nzu za kimvuka za Bayuta yi muna phambu: ndangu babazatula kwena batu. Mu kyedika yiluzimbwadi, bátambula kedi hakana ndandu ya bawu.
2806030074	Kaasi tangwa wisi hana kabu dya khenda, koku dyaku dya kimama dizayaku mambu mana dibati sala koku dyaku dya kitata,
2806040072	ndangu kabu dyaku dya khenda dyasalama mu kitsweki; amana Tata waku, wuna wisi mona mu kitsweki, kakuvutwaladya.»
28060500ff	«Tangwa lubati lombila, lukalaku hanga bakavungalosi: bana bisi zola kulombila mutendendi muna nzu za kimvuka za Bayuta yi muna pfumba za mabala-bala ma mbuta, mu kudimonikisa kwena batu. Mu kyedika, yiluzimbwadi: bátambula kedi hakana lufutu lwa bawu.
28060600a3	Kaasi ngeyi, tangwa wubati lombila, kota kuna suku dina dya tsuka, phata mwelu amana lombila Tata waku wuna wena mu kitsweki, wisi mona mu kitsweki, kakuvutwala.»
2806070083	«Amana mu kulombila, lulutikisakaku ndinga, hanga baphani; bisi banza ni mu kulutikisa ndinga babáyukila kwena banzambi ba bawu.
2806080073	Disongidila ni lubasokululaku, mukuma Tata wenu wuzayi keti biki lwenina byawu mupfunu ku thwala ya kumulombabya.»
2806090069	Disongidila talenu buna lufwani kulombila: "Tata wetu wenina muna mazilu, yambula khumbu yaku batomisaya,
28060a0042	Kipfumu kyaku kisa, luzolu lwaku lwahangama ha tsi, hanga ku zilu.
28060b0027	Tuheka lelu madya metu ma kosu kilumbu.
28060c0056	Amana tulolula mitsoki myetu, bwosu thwisi lolula betu phi kwena bana bisi tukota mbi.
28060d0093	Amana wutuyambulaku ni twabwa mu kimeka, kaasi tuhulula kwa Mbi." [Mukuma kwena ngeyi kwenina luyalu, ngolu yi khembu, mvula muna mvula, Abwabuna.]
28060e006c	«Amana, yukani lwisi lolula kwenu bakwenu mitsoki mya bawu, Tata wenu wenina ku zilu kalúlolula benu phi.
28060f0058	Kaasi yuka lwisiku lolula kwena batu, Tata wenu kalúlolulaku benu phi mitsoki myenu.»
28061000d8	«Amana tangwa lwisi zila madya, lukalakaku yi mbunzu ya kiwayi, bwosu bisi hanga bakavungalosi: bisi kasa mbunzu mu kusongila kwena batu ni bawu bazidi madya. Mu kyedika, yiluzimbwadi, batambudi kedi ndandu ya bawu.
2806110052	Kaasi ngeyi, tangwa wubati zila madya, tomisa khambu ku mutwa amana sukula mbunzu,
28061200a3	ndangu wumonikisaku kwena batu ni wubati zila madya, kaasi kwena Tata waku wuna wenina hakana mu kitsweki amana Tata waku wisi mona muna kitsweki kakuvutwalakya.»
280613006c	«Ludilumbikilaku kuvwa ha tsi, henina yi batseledi yi mboku byisi zanga yi befi bisi lungula ndangu bayiba.
2806140097	Kaasi dilumbikelenu kuvwa kwenu muna zilu, mwamuna mwakonda kala keti tseledi keti mboku bisi zanga, amana kweku keti befi balenda lungula keti kuyiba.
2806150040	Mukuma hana hena kuvwa kwaku, hahana phi hakála mbundu yaku.»
2806160063	«Disu dyenina mwinda wa lutu; ho disu dyaku dyakala bukheti, lutu lwaku lwosu lwakála mu mutemu.
28061700b5	Kaasi, yukani disu dyaku dyakala dya mbi, lutu lwaku lwosu lwakála mu phipha! Honi, disongidila, mutemu wuna wenina mwena ngeyi wakala phipha, mu khi mutindu wa phipha wakála!»
28061800b3	«Ka mutu ku walenda kusadila bapfumu bodi: Holo, kamumenga mosi amana katonda mukwawu; holo, kadinama kwena mosi amana kamubusa mukwawu. Lwalendaku, lwasadila Nzambi yi mbongu.»
28061900d7	«Yi hakana ni yiluzimbwadi bwabu: ludiyangisaku, kikuma kya luzingu lwenu, keti biki lwadya holo keti biki lwanwa, keti kikuma kya lutu lwenu, keti biki lwavwáta. Luzingu luhitiku madya, amana lutu kuluta muledi?
28061a00a5	Talenu banuni ku zilu, bisiku kuna, bisiku katula mbutu, bisiku sweka kima mu khila; amana Tata wenu wenina ku zilu kisi badisa! Benu lweku mupfunu lawu kuluta bawu?
28061b006a	Amana nati mu kati dya benu walenda, muna nyengi dyandi, kukosikila keti koma ka tangwa ka luzingu lwandi?
28061c007c	«Amana biki lwisi dinyengina kikuma kya muledi? Talenu abweti bisi mena bithundu bya mu bilanga: bisiku sala, bisiku londa,
28061d005b	amana yiluzimbwadi ni keti Solumoni, muna khembu yandi yosu, kavwataku hanga mosi wa byawu.
28061e00ba	Amana yukani Nzambi kisi vwatisa buna mwangu wa bilanga wuna wena hana lelu amana mbasi balosiwa ku mbawu, abweti kalendabwoku sala kuluta, kikuma kya benu, batu ba lukwikilu lwa khunda?
28061f0059	Disongidila ni ludinyengaku, mu kuzonzaka: "Biki twadya? Biki twanwa? Holo biki twavwata?
280620008d	Mukuma bima bina byosu, byabina bisi sanda batu ba makanda moosu, konda kulembwa. Mukuma Tata wenu wenina ku zilu wuzayi ni mupfunu luvwibya.
2806210056	Kaasi sandenu theti Kipfumu kya Nzambi yi masonga mandi, amana bina byosu baluyikabya.
280622008d	Disongidila ni ludinyengaku kikuma kya mbasi; mukuma mbasi kadínyenga kikuma kya yandi meni. Mu kosu kilumbu kifwanani yi phasi za kyawu.»
280701002f	«Lufundisaku, ndangu Nzambi kalufundisaku phi.
280702009a	Mukuma muna phila ya pfundusu yina lwisi fundisila bakwenu, mwamuna phi balúfundisila; amana mu kitesu kina lwisi tesila, kyakina phi kalútesila benu.
2807030084	Amana kikuma kya biki wisi tadila kitswala kyenina mu disu dya phangi waku, kaasi wisiku mona kitini kya miti kyenina mu disu dyaku?
28070400a7	Holo abweti wufwani kuzimbula kwena phangi waku: "Ngyambula yikatula kitswala kyenina muna disu dyaku", kinga ni muna disu dya ngeyi meni kibuku kya miti kyenina muna?
2807050086	Kavungalosi, katula theti kitini kya miti kyenina muna disu dyaku, amana wamóna phila ya kukatula kitswala kya disu dya phangi waku.
280706009a	«Luhanaku bina byena byatoma kwena bambwa kondilo baluvutwakila mu kululunza amana lulosaku misanga myenu ku thwala ya bangulu, kondilo badyatikisamya.»
280707005f	«Lombenu amana lwatámbula; sandenu, amana lwaséngumuna; khokwatilenu, amana baluyafwadila.
