2800000007	Mattiyu
280214006e	''Tashi ka dauki dan yaron da mahaifiyarsa, ka tafi kasar Isra'ila, domin masu neman ran dan yaron sun mutu.''
280215004a	Yusufu ya tashi, ya dauki dan yaron da mahaifiyarsa, ya zo kasar Isra'ila.
28021600b5	Amma da ya ji Arkilayus ya gaji mahaifinsa Hirudus, yana mulkin kasar Yahudiya, sai ya ji tsoron isa can. Bayan da Allah ya yi masa gargadi a mafarki, sai ya ratse zuwa kasar Galili
2802170084	sai ya je ya zauna a wani gari da ake kira Nazarat. Wannan ya cika abin da aka fada ta bakin annabawa, cewa, za a kira shi Banazare.
2803010051	A kwanakin nan Yahaya Mai baftisma ya zo, yana wa'azi a jejin Yahudiya yana cewa,
2803020029	“Ku tuba, domin mulkin sama ya kusa.”
280303009d	Wannan shine wanda annabi Ishaya ya yi maganarsa, ya ce, “Muryar wani mai kira a jeji yana cewa, 'Ku shirya wa Ubangiji hanyarsa, ku daidaita tafarkunsa.''
2803040077	Yahaya kuwa yana sanye da tufa ta gashin rakumi, yana kuma daure da damarar fata, abincinsa kuwa fara ne da zuman jeji.
280305006d	Sai mutanen Urushalima, da na dukan Yahudiya, da na duk kasashen bakin Kogin Urdun, suka yi ta zuwa wurin sa.
2803060040	Ya yi masu baftisma a Kogin Urdun, yayinda suke furta zunubansu.
28030700b0	Amma da ya ga Farisawa da Sadukiyawa da yawa, suna fitowa domin a yi masu baftisma, sai ya ce masu, “Ku 'ya'yan macizai masu dafi, wa ya gargade ku ku guje wa fushi mai zuwa?
2803080026	Ku ba da 'ya'ya da za su nuna tubanku.
2803090090	Kada kuwa ku dauka a ranku cewa, 'Ibrahim ne ubanmu.' Domin ina gaya maku, Allah yana da iko ya ta da wa Ibrahim 'ya'ya daga cikin duwatsun nan.
28030a0087	Ko yanzu ma an sa gatari a gindin bishiyoyin. Saboda haka duk bishiyar da ba ta ba da 'ya'ya masu kyau ba, sai a sare ta a jefa a wuta.
28030b00b8	Na yi maku baftisma da ruwa, zuwa tuba. Amma mai zuwa baya na, ya fi ni girma, wanda ko takalmansa ma ban isa in dauka ba. Shi ne zai yi maku baftisma da Ruhu Mai Tsarki, da kuma wuta.
28030c00a0	Kwaryar shikarsa na hannunsa, zai kuwa share masussukarsa sarai, ya tara alkamarsa ya sa a rumbunsa, amma zai kona buntun da wutar da ba za a iya kashewa ba.”
28030d005c	Sai Yesu ya zo daga kasar Galili, ya je Kogin Urdun wurin Yahaya, domin ya yi masa baftisma.
28030e0071	Amma Yahaya ya yi ta kokarin ya hana shi, yana cewa, “Ni da nake bukatar ka yi mani baftisma, ka zo gare ni?”
28030f006e	Yesu ya amsa masa ya ce, “Bari ya zama haka a yanzu, domin a cika dukan adalci.” Sai Yahaya ya yarje masa.
28031000a8	Bayan da aka yi masa baftisma, Yesu ya fito nan da nan daga cikin ruwan, sai kuma sammai suka bude masa. Ya ga Ruhun Allah yana saukowa kamar kurciya, ya sauko a kansa.
2803110066	Duba, wata murya daga sammai tana cewa, ''Wannan shi ne kaunataccen Da na. Wanda ya gamshe ni sosai.''
2804010048	Sa'an nan Ruhu ya bi da Yesu zuwa cikin jeji, domin Ibilis ya gwada shi.
2804020047	Da ya yi azumi kwana arba'in dare da rana, daga baya yunwa ta kama shi.
280403006b	Sai mai jarabtar nan ya zo, ya ce masa, “Idan kai Dan Allah ne, ka umarci duwatsun nan su zama gurasa.”
2804040099	Amma Yesu ya amsa ya ce masa, “A rubuce yake cewa, 'Ba da gurasa kadai mutum zai rayu ba, sai dai da kowace magana da ta ke fitowa daga wurin Allah.'''
280405005a	Sa'an nan Ibilis ya kai shi tsattsarkan birni ya dora shi can kan kololuwar ginin haikali,
28040600be	ya ce masa, “In kai Dan Allah ne, to dira kasa. Domin a rubuce yake cewa, 'Zai ba mala'ikunsa umarni game da kai,' kuma, 'Za su daga ka da hannuwansu, domin kada ka yi tuntube da dutse.'''
280407004c	Yesu ya ce masa, “kuma a rubuce yake, 'Kada ka gwada Ubangiji Allahnka.'''
280408006d	Kuma, sai Ibilis ya kai shi kan wani dutse mai tsawo kwarai, ya nuna masa dukan mulkokin duniya da darajarsu.
280409004a	Ya ce masa, “Dukan wadannan zan baka idan ka rusuna ka yi mani sujada.''
28040a0085	Sai Yesu ya ce masa, “Tafi daga nan, Shaidan! Domin a rubuce yake, 'Ka yi wa Ubangiji Allahnka sujada, shi kadai za ka bauta wa.'''
28040b004f	Sa'an nan Ibilis ya rabu da shi, sai kuma mala'iku suka zo suka yi masa hidima.
28040c0041	To, da Yesu ya ji an kama Yahaya, sai ya tashi zuwa kasar Galili.
28040d0069	Ya bar Nazarat, ya koma Kafarnahum da zama, can bakin tekun Galili, kan iyakar kasar Zabaluna da Naftali.
28040e0035	Wannan ya faru domin a cika fadar annabi Ishaya cewa,
28040f005c	“Kasar Zabaluna da kasar Naftali, ta bakin teku, da hayin Kogin Urdun, Galili ta al'ummai!
2804100076	Mutane mazauna duhu suka ga babban haske, sannan ga wadanda ke zaune a yankin da inuwar mutuwa, haske ya keto masu.”
280411005a	Daga lokacin nan, Yesu ya fara wa'azi, yana cewa, “Ku tuba domin mulkin sama ya kusa.”
28041200a2	Yana tafiya a bakin tekun Galili, sai ya ga wadansu 'yan'uwa biyu, Saminu da ake kira Bitrus, da dan'uwansa Andarawas, suna jefa taru a teku, domin su masunta ne.
2804130048	Yesu ya ce masu, “Ku zo, ku biyo ni, zan mai da ku masuntan mutane.”
280414002d	Nan da nan sai suka bar tarunsu, suka bi shi.
28041500ca	Da Yesu ya ci gaba da tafiya, sai ya ga wadansu mutum biyu, su kuma 'yan'uwa ne, Yakubu dan Zabadi, da dan'uwansa Yahaya, suna cikin jirgi tare da mahaifinsu Zabadi, suna gyaran tarunsu. Sai ya kira su.
2804160034	Nan take suka bar mahaifinsu da jirgin, suka bi shi.
280417009d	Yesu ya zazzaga dukan kasar Galili, yana koyarwa a majami'unsu, yana shelar bisharar mulkin, yana kuma warkar da kowace cuta da rashin lafiya a cikin mutane.
28041800dd	Labarinsa ya bazu a cikin dukan kasar Suriya, kuma mutanen suka kakkawo masa dukan marasa lafiya, masu fama da cuta iri iri, da masu shan azaba, da kuma masu aljannu, da masu farfadiya, da shanyayyu. Yesu ya warkar da su.
2804190076	Taro masu yawa suka bi shi daga kasar Galili, da Dikafolis, da Urushalima, da kasar Yahudiya, har ma daga hayin Urdun.
2805010063	Da Yesu ya ga taron jama'ar, sai ya hau saman dutse. Sa'adda ya zauna, almajiransa suka zo wurinsa.
280502002f	Ya bude bakinsa kuma ya koyar da su, yana cewa,
2805030048	“Albarka ta tabbata ga masu talauci a ruhu, domin mulkin sama nasu ne.
280504003f	Albarka ta tabbata ga masu makoki, domin za a ta'azantar da su.
280505003d	Albarka ta tabbata ga masu tawali'u, domin za su gaji duniya.
280506004a	Albarka ta tabbata ga masu yunwa da kishin adalci, domin za a kosar da su.
280507003b	Albarka ta tabbata ga masu jinkai, domin za su samu jinkai.
2805080040	Albarka ta tabbata ga masu tsabtar zuciya, domin za su ga Allah.
280509004a	Albarka ta tabbata ga masu kawo salama, domin za a ce da su 'ya'yan Allah.
28050a0059	Albarka ta tabbata ga wadanda ake tsananta masu saboda adalci, domin mulkin sama nasu ne.
28050b0094	Masu albarka ne ku sa'adda mutane suka zage ku, suka kuma tsananta maku, ko kuwa suka zarge ku da dukan miyagun abubuwa iri iri na karya, saboda ni.
28050c0097	Ku yi murna da matukar farin ciki, domin sakamakonku mai yawan gaske ne a sama. Ta haka ne mutane suka tsananta wa annabawa da suka yi rayuwa kafin ku.
28050d00aa	Ku ne gishirin duniya, amma idan gishiri ya sane yaya za a mai da dandanonsa? Ba zai kara anfani ga komai ba, sai ko a zubar da shi, a tattake a karkashin kafafun mutane.
28050e0039	Ku ne hasken duniya, birnin da ke kan tudu ba shi boyuwa.
28050f0084	Mutane ba za su kunna fitila su sa ta karkashin kwando ba, sai ko a dora ta a mazaunin ta, domin ta ba da haske ga kowa da ke gidan.
280510006e	Bari hasken ku ya haskaka gaban mutane yadda za su ga kyawawan ayyukanku su kuma yabi Ubanku da ke cikin sama.
2805110075	Kada ku yi tsammanin na zo ne domin in rushe shari'a ko annabawa. Ban zo domin in rushe su ba, amma domin in cika su.
2805120090	Domin gaskiya ina gaya maku, har sama da kasa su shude, amma digo ko wasali daya ba za ya shude ba a cikin shari'ar, sai an cika dukan al'amura.
28051300fc	Saboda haka duk wanda ya karya mafi kankanta daga cikin dokokin nan ko kuwa ya koya wa wasu su yi haka, za a kira shi mafi kankanta a cikin mulkin sama. Amma dukan wanda ya kiyaye su ko kuwa ya koyar da su, za a kira shi mafi girma a cikin mulkin sama.
2805140076	Gama ina gaya maku cewa idan adalcin ku bai zarce adalcin marubuta da Farisawa ba, babu yadda za ku shiga mulkin sama.
2805150075	Kun ji dai an ce wa mutanen da, 'Kada ka yi kisan kai,' kuma 'Duk wanda ya yi kisan kai yana cikin hatsarin hukunci.'
2805160110	Amma ina gaya muku, duk wanda ya yi fushi da dan'uwansa, yana cikin hatsarin hukunci. Kuma duk wanda ya ce da dan'uwansa, 'Kai mutumin banza!' yana cikin hatsarin tsayawa gaban majalisa, kowa kuma ya ce da dan'uwan sa 'Kai wawa!' yana cikin hatsarin shiga wutar jahannama.
280517005b	Saboda haka idan za ka yi baiko a bagadi sai ka tuna cewa dan'uwanka yana da damuwa da kai,
2805180075	ka bar baikon ka a gaban bagadin, ka yi tafiyarka. Da farko dai, ka sasanta da dan'uwanka kafin ka zo ka mika baikon.
28051900ad	Ka yi sulhu da mai karar ka tun kana hanyar zuwa gaban shari'a, domin kada mai karar ka ya mika ka ga alkali, alkali kuwa ya mika ka ga dogarai, za a kuwa jefa ka a kurkuku.
28051a0060	Gaskiya ina gaya maka, ba za ka taba fita daga can ba sai ko ka biya dukan kudin da ya ke binka.
28051b0024	Kun dai ji an ce, 'Kada ka yi zina'.
28051c0066	Amma ina gaya maku, duk wanda ya dubi mace, da muguwar sha'awa, ya riga ya yi zina da ita a zuciyarsa.
28051d009c	Idan idonka na dama zai sa ka tuntube, kwakule shi ka jefar daga gareka. Don gara daya daga cikin gabobinka ya halaka, da a jefa dukan jikin ka a jahannama.
28051e00aa	Ko kuwa idan hannunka na dama zai sa ka tuntube, ka yanke shi ka jefar daga gare ka. Domin gara daya daga cikin gabobin ka ya halaka, da a jefa dukan jikinka a jahannama.
28051f0046	An sake fada, 'Duk wanda ya kori matarsa, sai ya ba ta takaddar saki.'
28052000a2	Amma ina gaya maku ko wa ya saki matarsa, idan ba a kan laifin lalata ba, ya mai da ita mazinaciya kenan. Kuma duk wanda ya aure ta bayan sakin, ya yi zina kenan.
2805210073	Kun sake ji an ce wa wadan da suke a zamanin da, 'Kada ku yi rantsuwar karya, amma ku yi rantsuwar ku ga Ubangiji.'
2805220050	Amma ina gaya maku, kada ku yi rantsuwa sam, ko da sama domin kursuyin Allah ne;
280523005f	ko kuwa da duniya, domin mazaunin kafafunsa ne, ko da Urushalima, domin birnin babban sarki ne.
280524005a	Ko ma ace ku yi rantsuwa da kanku, domin ba za ku iya mai da gashin kanku baki ko fari ba.
2805250064	Amma bari maganarku ta zama 'I, I', ko kuwa 'A'a, a'a.' Duk abin da ya wuce wannan, daga mugun yake.
2805260048	Kun dai ji an ce, “Ido a maimakon ido, hakori kuma a maimakon hakori.'
2805270080	Amma ina gaya maku, kada ku yi jayayya da wanda ke mugu, a maimakon haka, ko wa ya mare ku a kuncin dama, ku juya masa dayan ma.
280528006e	Idan wani yana da niyyar kai kararku gaban shari'a saboda ya karbi rigarku, ku ba wannan mutumin mayafinku ma.
280529003f	Duk wanda ya tilasta ku ga tafiyar mil daya, ku je da shi biyu.
28052a0050	Ku ba kowa da ya tambaye ku, kuma kada ku hana kowa da ke neman rance a wurinku.
28052b0048	Kun ji abin da aka fada, 'Za ka kaunaci makwabcin ka ka ki magabcin ka.'
28052c009d	Amma ina gaya maku, ku kaunaci magabtan ku, ku yi addu'a domin masu tsananta maku, ku albarkaci wadanda suka la'ance ku, ku yi alheri ga wadanda suke kin ku,
28052d009b	domin ku zama 'ya'yan Ubanku da ke cikin sama. Domin yakan sa rana ta haskaka wa mugu da mutumin kirki, kuma yakan aiko da ruwan sama ga adali da azzalumi.
28052e006d	Domin idan kuna kaunar wadanda suke kaunarku, wanne lada kuka samu? Ba haka masu karban haraji ma suke yi ba?
28052f0062	Kuma in kun gaida 'yan'uwanku kadai, me kuke yi fiye da sauran? Ba hakanan al'ummai ma suke yi ba?
280530004f	Saboda haka, lalle ne ku zama cikakku, kamar yadda Ubanku na sama yake cikakke.
2806010090	Ku yi hankali kada ku yi ayyukan adalcinku gaban mutane domin su ganku, idan kun yi haka, ba za ku sami sakamako a wurin Ubanku da yake sama ba.
28060200aa	Saboda haka, in za ku yi sadaka, kada ku busa kaho yadda munafukai suke yi a majami'u da kuma akan tituna domin mutane su yabesu. Gaskiya ina gaya maku, sun samu ladansu.
2806030057	Amma in za ku yi sadaka, kada hannunku na hagu ya san abin da hannunku na dama yake yi,
2806040063	domin sadakarku ta zama a asirce. Ubanku kuwa da yake ganin abin da ake yi a asirce, zai saka maku.
28060500cd	Sa'adda za ku yi addu'a kuma, kada ku zama kamar munafukai, domin sun cika son yin addu'a a tsaye a majami'unsu da kuma a gefen tituna, domin mutane su gansu. Gaskiya ina gaya maku, sun sami ladarsu kenan.
28060600b1	Amma ku, idan za ku yi addu'a, sai ku shiga cikin daki. Ku rufe kofa, ku yi addu'a ga Ubanku wanda yake a asirce, Ubanku kuwa da ke ganin abin da ake yi a asirce, zai saka maku.
2806070096	Idan za ku yi addu'a, kada ku yi ta maimaici marar anfani, kamar yadda al'ummai suke yi, domin a tunanin su za a saurare su saboda yawan maganganunsu.
2806080057	Domin haka, kada ku zama kamarsu, domin Ubanku ya san bukatar ku tun kafin ku roke shi.
2806090055	Saboda haka sai ku yi addu'a kamar haka: 'Ubanmu da ke sama, bari a tsarkake sunanka.
28060a004e	Bari mulkinka shi zo. Bari nufinka ya yiwu a duniya kamar yadda ake yi a sama.
28060b0021	Ka ba mu yau abincinmu na kullum.
28060c0056	Ka gafarta mana basussukanmu, kamar yadda mu ma muke gafarta ma wadanda muke bi bashi.
28060d007c	Kuma kada ka kawo mu cikin jaraba, amma ka kubutar da mu daga Mugun.' [Gama mulki da iko da daukaka naka ne har abada. Amin]
28060e004e	Domin in kun yafe wa mutane laifuffukansu, Ubanku na Sama shima zai yafe maku.
28060f005e	In kuwa ba ku yafe wa mutane laifuffukansu ba, Ubanku ma ba zai yafe muku laifuffukanku ba.”
28061000db	Haka kuma, in za ku yi azumi, kada ku zama da fuska kamar masu makoki yadda munafukai ke yi, domin sukan yankwane fuskokinsu, domin su bayyana ga mutane kamar suna azumi. Gaskiya, ina gaya maku, sun sami ladansu ke nan.
280611003b	Amma in kuna azumi, ku shafa mai a ka, ku kuma wanke fuska,
2806120082	don kada mutane su gane kuna azumi, sai dai Ubanku da yake a asirce. Kuma Ubanku da ke ganin abinda ke a asirce, zai saka maku.”
280613006e	“Kada ku tara wa kanku dukiya a duniya, inda asu da tsatsa ke batawa, inda barayi kuma ke fasawa su yi sata.
2806140083	Maimakon haka, ku tara wa kanku dukiya a sama, inda babu asu da tsatsa da za su bata, inda kuma ba barayi da za su fasa su yi sata.
2806150035	Domin inda dukiyar ka take, a nan zuciyar ka ma take.
280616005a	Ido shi ne fitilar jiki. Saboda haka, idan idonka na da kyau, dukan jiki na cike da haske.
2806170081	Amma in idonka na da lahani, dukan jiki na cike da duhu. Saboda haka, in hasken da yake cikinka duhu ne, ina misalin yawan duhun!
2806180098	Ba mai iya bauta wa iyayengiji biyu, ko dai ya ki daya, ya so daya, ko kuma ya amince wa dayan ya raina dayan. Ba dama ku bauta wa Allah da kuma dukiya.
28061900d0	Saboda haka ina gaya maku, kada ku damu a kan rayuwarku, game da abin da za ku ci, da abin da za ku sha- ko kuwa jikinku, abin da za ku yi tufafi da shi. Ashe rai bai fi abinci ba, jiki kuma bai fi tufafi ba?
28061a00a9	Ku dubi tsuntsayen da ke sararin sama. Ai, ba su shuka, balle girbi, ba su kuma tarawa a cikin rumbuna, amma Ubanku na Sama na ciyar da su. Ashe, ba ku fi su martaba ba?
28061b004f	Kuma wanene a cikinku, don damuwarsa, zai iya kara ko taki ga tsawon rayuwarsa?
28061c0070	To, don me kuke damuwa a kan tufafi? Ku dubi furannin jeji, yadda suke girma. Ba su aiki, kuma ba su sakar kaya.
28061d0071	Duk da haka ina gaya maku, ko Sulaimanu ma, cikin dukan daukakar sa bai yi ado kamar daya daga cikin wadannan ba.
28061e00a0	Idan Allah yayi wa ciyawar jeji ado, wadda yau tana wanzuwa, gobe kuwa a jefa ta cikin murhu, ina misalin adon da za ya yi maku, ya ku masu karancin bangaskiya?
28061f0066	Don haka kada ku damu, kuna cewa, 'Me za mu ci? ko, Me za mu sha?' ko kuwa, 'Wadanne tufafi za mu sa?'
2806200062	Ai, al'ummai ma suna neman dukan irin wadannan abubuwa, Ubanku na sama kuwa ya san kuna bukatarsu.
2806210053	Amma ku nemi mulkinsa da farko da adalcinsa, kuma dukan wadannan abubuwa za a baku.
280622006b	“Saboda haka kada ku damu don gobe, ai, gobe za ta damu da kanta. Kowace rana ta na cike da wahalarta”.
2807010073	Kada ku yi hukunci, domin ku ma kada a hukunta ku. Domin da irin hukuncin da ku kan hukunta da shi za a hukunta ku.
280702002b	Mudun da kukan auna, da shi za a auna maku.
2807030062	Don me kake duban dan hakin da ke idon dan'uwanka, amma ba ka kula da gungumen da ke naka idon ba?
280704007a	Ko kuwa yaya za ka iya ce wa dan'uwanka, 'Bari in cire maka dan hakin da ke idon ka,' alhali ga gungume a cikin naka idon?
2807050081	Kai munafiki! Ka fara cire gungumen da ke idonka, sa'annan za ka iya gani sosai yadda za ka cire dan hakin da ke idon dan'uwanka.
28070600a5	Kada ku ba karnuka abin da ke tsattsarka. Kada kuma ku jefa wa aladu, lu'u lu'anku. Idan ba haka ba za su tattake su a karkashin sawunsu, su kuma juyo su kekketa ku.
280707004c	Roka, kuma za a ba ku. Nema, kuma za ku samu. Kwankwasa kuma za a bude maku.
2807080069	Ai duk wanda ya roka, zai karba, kuma duk wanda ya nema zai samu, wanda ya kwankwasa kuma za a bude masa.
280709004f	Ko, kuwa wane mutum ne a cikin ku, dan sa zai roke shi gurasa, ya ba shi dutse?
28070a002f	Ko kuwa in ya roke shi kifi, zai ba shi maciji?
28070b00ba	Saboda haka, idan ku da ku ke miyagu, kun san yadda za ku ba da kyautai masu kyau ga 'ya'yanku, ina kimanin yadda Ubanku na sama zai ba da abubuwa masu kyau ga duk wadanda suke rokon sa?
28070c0081	Saboda haka, duk abinda ku ke so mutane su yi maku, ku ma sai ku yi masu, domin wannan shi ne dukan shari'a da koyarwar annabawa.
28070d0082	Ku shiga ta matsattsiyar kofa, don kofar zuwa hallaka na da fadi, hanyar ta mai saukin bi ce, masu shiga ta cikin ta suna da yawa.
28070e005c	Domin kofar zuwa rai matsattsiya ce, hanyar ta mai wuyar bi ce, masu samun ta kuwa kadan ne.
28070f0071	Ku kula da annabawan karya, wadanda su kan zo maku da siffar tumaki, amma a gaskiya kyarketai ne masu warwashewa.
2807100067	Za ku gane su ta irin ''ya'yansu. Mutane na cirar inabi a jikin kaya, ko kuwa baure a jikin sarkakkiya?
280711006d	Haka kowanne itace mai kyau yakan haifi kyawawan 'ya'ya, amma mummunan itace kuwa yakan haifi munanan 'ya'ya.
280712007c	Kyakkyawan itace ba zai taba haifar da munanan 'ya'ya ba, haka kuma mummunan itace ba zai taba haifar da kyawawan 'ya'ya ba.
2807130049	Duk itacen da ba ya ba da 'ya'ya masu kyau, sai a sare shi a jefa a wuta.
280714002b	Domin haka, ta irin 'ya'yansu za a gane su.
280715007b	Ba duk mai ce mani, 'Ubangiji, Ubangiji,' ne, zai shiga mulkin sama ba, sai dai wanda ya yi nufin Ubana da yake cikin sama.
28071600b8	A ranar nan da yawa za su ce mani, 'Ubangiji, Ubangiji,' ashe ba mu yi annabci da sunanka ba, ba mu fitar da aljanu da sunanka ba, ba mu kuma yi manyan ayyuka masu yawa da sunanka ba?'
2807170055	Sa'annan zan ce masu 'Ni ban taba saninku ba! Ku rabu da ni, ku masu aikata mugunta!'
280718008c	Saboda haka, dukan wanda yake jin maganata, yake kuma aikata ta, za a kwatanta shi da mutum mai hikima, wanda ya gina gidan sa a bisa dutse.
2807190073	Da ruwa ya sauko, ambaliyar ruwa ta zo, iska ta taso ta buga gidan, amma bai fadi ba, domin an gina shi bisa dutse.
28071a007a	Amma duk wanda ya ji maganar nan tawa, bai aikata ta ba, za a misalta shi da wawan mutum da ya gina gidansa a kan rairayi.
28071b007c	Ruwa ya sauko, ambaliyar ruwa ta zo, sai iska ta taso ta buga gidan. Sai kuma ya rushe, ya kuwa yi cikakkiyar ragargajewa.''
28071c005b	Ya zama sa'adda Yesu ya gama fadin wadannan maganganu, sai taro suka yi mamakin koyarwarsa,
28071d0032	Domin yana koya masu da iko, ba kamar marubuta ba.
280801003d	Da Yesu ya sauko daga dutsen, sai taro masu yawa suka bi shi.
280802006d	Sai wani kuturu ya zo gunsa ya yi masa sujada, ya ce, “Ubangiji, in dai ka yarda, za ka iya tsarkake ni.”
2808030073	Yesu ya mika hannunsa ya taba shi, ya ce, “Na yarda, ka tsarkaka.” Nan da nan aka tsarkake shi daga kuturtarsa.
