2a00000004	Luke
2a013d005f	Batu beni bakemuwaghule rye: «Mu biburu byaghu, vagha mutu amanengulungu mu dine dyeni dine.»
2a013e0043	Na bamaghebule tadji andi mu muwivule tsyeni onengilile mwane andi.
2a013f005e	Sakari akevonde yasi yi dusimbi na akerende rye: «San la dine dyandi.» Na botsu bamakambulu.
2a0140004a	Vane-vane, mbembu andi djikepandughe, akebande wuvose na akedodise Nzambi.
2a0141006c	Ghome djimabase mu botsu abamabe mu mighule. Mu mikongu myotsu mi Sudé, bakevosaange bilombi bi mambu meni.
2a0142005a	Botsu abamadiwulu, bakedikelulaange: «Munongu mwane yi obe?» Dingenze, Fumu amabe nandi.
2a01430046	Sakari, tadji mwane eni, anobe abasu na Yinyuni Yisyeme, akebighe rye:
2a01440055	«Duyitsu ombu Fumu Nzambi dji Yisrayele. Djandi, amayilingule noghobule mukute andi.
2a0145004d	Amatutindile Mughobutsi mangolu va ghari bateghule ba Davide, musalitsi andi,
2a01460032	nane amavosile va kale mu babiyitsi bandi basyeme.
2a01470041	Mutudjeyise ombu bavinitsi, notukawule va makake ma bambeni betu.
2a01480054	Anane amalasile yingebe yandi ombu baghulu betu, akerangimine yivighu yandi yisyeme.
2a01490035	Anane Nzambi amaghanine kaka ombu Aberaame tadji etu,
2a014a0052	mu tugharusu wumusalile na mangolu, payi tumaghobughe va makake ma bavinitsi betu.
2a014b004e	Tukebangaange tuwelimine na tusyeme va wusu andi, bilumbu byotsu bi monyu etu.
2a014c0083	Na ndedju mwane kali, unengulungu “Mubiyitsi wu Nzambi-Pungu”, mumbari, uyenewendaange va wusu Fumu mu tsonzighe manzile mandi,
2a014d0040	udjabise mukute andi dughobutsu dwandi na dutandu du mabi mandi.
2a014e007d	Yine, Nzambi mu yingebe na durondu dwandi, osunduse mu djetu, yidjalale yandi ayivu nane dimengi di nyangu adiruyili o djulu.
2a014f0061	Oyimonitse botsu abetsani otsi piseme na mu yidumbitsi yi dufu, mu tusungighe mu nzile duvotsu.»
2a01500084	Mwane eni amaneghaange nowarange mu Yinyuni. Amatsanaange mu bakumu, kwange na yilumbu ayi amapalile va ghari mughungi wu Yisrayele.
2a02010065	Ave Sesare Okisete amabyamilaange nane kaghe dji Rome, amarume dutalu du batu mu malongu mandi motsu.
2a02020050	Sanzeme eni djiteghe, djimabile ave Kirinuse amabile yidjeti yi yinange yi Siri.
2a02030033	Batu botsu bamerendusungu kale mutu o dyandi dimbu.
2a020400ad	Sosefe djawandi, amaghusughe yinange yi Ngalile o musyengi Nasarete noghabughe o musyengi kaghe Davide awinengulu Beteleme, o yinange yi Sudé. Mumbari amabe muteghule andi.
2a0205003a	Akeyerendusu djawandi na Mari yibande yandi omabe na dimi.
2a02060038	Ave bamabile wune Beteleme, temu Mari djubure djiketole.
2a0207008b	Akebure mwane andi tsomi wu dibaale, akemupote mu tsande nomusilighe o ghari yililu yi bindombu, mumbari basamadile yitsighe o ndaghu beni.
2a02080067	Wune yari yeni, vamabe bakelitsi ba bindombu bamavyosaange mikolu o kumu mu ukelisaange mighambe myowu.
2a02090059	Yanze yi Fumu yimalabene nowu na yidjalale yi kembu andi yikebaghumbe. Bakebase na ghome.
2a020a0076	Tumbe yanze yimabasiyighe mirime rye: «Duyabe na ghome, mumbari nyidubeyili musamu wuboti awulase batu botsu ubwedji.
2a020b0054	Na mukolu ewuwu, o musyengi Davide Mughobutsi amaduburulu, djandi la Kirisete, Fumu.
2a020c006c	Lanu yilimbe ayi dumudjabile: durasunu mwane kali wupotu tsande na wusilughu o ghari yililulu yi bindombu.»
2a020d004c	Vane-vane, yinombu yi byanze bi djulu bimalabene. Bikedodisaange Nzambi rye:
2a020e0051	«Bundumbe ombu Nzambi odjivu o djulu. Duvotsu ombu bise tsi abe djandi erondi.»
2a020f00aa	Byanze binobasile mu ughabughe o djulu, bakelitsi ba bindombu bamatsingusene: «Twendyanu teno Beteleme mu uyélabe dyambu diboti adimarughe wune adi Fumu amatudjabise.»
2a0210005e	Bamawende maswasu, na bamarasune Mari na Sosefe na mwane kali wusilughu mu yililu yi bindombu.
2a02110050	Bakelitsi ba bindombu banomulabe, bakevose ame yanze amabatsingule mu mwane eni.
2a02120035	Botsu abamawulu mo bakelitsi beni bamavose, bamasutu.
2a02130047	Tumbe Mari amaghangise mambu meni motsu nomarangiminaange temu tsyotsu.
2a0214009e	Vane-vane bamayeneghabughe, bakenedodisaange nowimbilaange mu uyitse Nzambi mu motsu ame bamawulu nolabe. Mumbari motsu mamalabene nane yanze amabatsingulile.
2a0215008a	Yisambwali yi bilumbu na yivyoghi, ayi munane, bamarebe mwane. Bakemulughe Djesu, nane yanze amabatsingulile ne ngudji andi akabe na dimi.
2a02160094	Na yilumbu yi dulyomusu yitoli nane mughaghe Moyise wivosili, Mari na Sosefe bamabeghe mwane o Serusaleme o ndaghu Nzambi mu uyémuwakise ombu Fumu.
2a0217007c	Dibandu yi dimavaghulungu nane? Mumbari direndu mu mughaghe Fumu rye: «Tsomi tsyotsu tsi babaale tsyuwakusungu ombu Fumu.»
2a02180054	Na bovaghulaange «makunde mabedji vo mabembi mabedji» nane mughaghe Fumu wirumini.
2a021900a1	Vane Serusaleme, vamabe mutu dine dyandi Simewu. Yinyuni Yisyeme yimabe nandi. Amabe asungeme na amadumange Nzambi. Amavivaange dubembughu du baane ba Yisrayele.
2a021a0057	Yinyuni Yisyeme, yimamutsingule bwena agholefu payi akalabe Kirisete, Yibyatsi yi Fumu.
2a021b0087	Simewu amabeghusu na Yinyuni mu uwende o ndaghu Nzambi. Va temu adji tadji na ngudji, bamarule na Djesu mu udughusu marume ma mughaghe.
2a021c0042	Simewu amabonge Djesu va makake mandi. Amayitse Nzambi novose rye:
2a021d0041	«Fumu tsyesili musalitsi aghu uwende mu duvotsu nane wumavosile.
2a021e0035	Nyimalabe Mughobutsi aghu umatutindile, na misu mami.
2a021f0030	Dughobutsu dwaghu adu wumatsonziyile batu botsu.
2a02200058	Djandi obe yidjalale ayudughunu mu malongu motsu, na obe bundumbe bu mukute Yisrayele.»
2a02210049	Tadji na ngudji bakekambulu mu motsu ama Simewu amavosaange mu mwane eni.
2a022200bf	Simewu anobaveghe myule, amalubuse Mari ngudji Djesu rye: «Mwane eni wuwu obe tonu dji dufundusu du bapwele vo dji dughobutsu du bamosi o Yisrayele. Obe yilimbe yi Nzambi ayi bapwele bobuse.
2a02230068	Tumbe ndebeni, munyongu wuneni wubembe murime aghu. Na matase ma batu molabene kengili va ghari botsu.»
2a022400aa	Vamabe yinunu yi mughetu, abangaange mubiyitsi dine dyandi Ane. Mwane Fanwele mwise yibandu yi Asere. Amatsane yisambwali yi bilime na mulumi andi omamuwele vane bungebi.
2a022500c6	Ane asyalilaange mukwili, amatsanaange pinze tena ave amatolisile yinane yi maghumi na bilime bine. Asamakakunungu na ndaghu Nzambi mu usalaange nyangu na mukolu, mu uwarilaange nzale nosambilaange.
2a0226008f	Anoyitole vane temu eni, amabande uyitse Nzambi. Na djandi amavosilaange mu mwane eni ombu botsu abamavivaange yi Nzambi akeghobule Serusaleme.
2a02270091	Biburu bi Djesu banomane udughusu motsu ame mughaghe Fumu wumarumange, bamaghabughe na Djesu o yinange yi Ngalile o yari yi musyengi wu Nasarete.
2a0228004f	Mwane amabangughaange nowaraange. Amabe aweele, na yese yi Nzambi yimabe nandi.
2a02290047	Kadi yilime, biburu bi Djesu bamawendaange o Serusaleme o mumengu Pake.
2a022a0050	Djesu anobe na dighumi na bilime bibedji, mu yuku yowu bamayenemubeghaange nowu.
2a022b0063	Na mumengu wisuki, bakene ghabughe, Djesu akesyale o Serusaleme. Tumbe tadji na ngudji basamadjabe.
2a022c007a	Bamatase yiri tangudji Djesu amabe nowu mu yinombu. Va temu tsisighe, bamabande umurombe va ghari biburu na bambatsi bowu.
2a022d0045	Dibila bwena basamamulabe, bakeghabughe o Serusaleme mu uyenemurombe.
2a022e008c	Bilumbu bibedji binovyoghe, ayimuryeru, bamamurasune o ndaghu Nzambi atsane va ghari milonzi mi mighaghe. Amabaghulungu nobawivulaange bivu.
2a022f003e	Botsu abamamuwulungu bamasutu mu dyele na mu kabusulu tsyandi.
2a023000af	Ave ngudji na tadji andi bamamulabile, bamasutu, na ngudji amamuwivule rye: «Mwane ami, dibandu yi wutsituvayile nane? Tadji aghu na menu twiwurombi, mbé tumabase na keri.»
2a02310068	Akebawake rye: «Dibandu yi dwitombili? Dughédjabi yiri temu djimatole, mu usale bisalu bi Tadji ami?»
2a02320034	Tumbe djowu basamawulu adi amarondaange ubatsingule.
2a0233006e	Mbana amaghabughe nowu o Nasarete, akebadedilaange. Ngudji andi amakelisaange mambu motsu o ghari murime andi.
2a02340057	Na Djesu amaneghaange, amabe na dyele, na amabe na yese va wusu Nzambi na va wusu batu.
2a0301012d	Mu dighumi na bilime biranu, bi durumu du kaghe dji Rome, Tibere, Ponze Pilate akabe yidjeti mu yinange yi Sudé. Yirode djandi wune akebe yidjeti yinange yi Ngalile. Filipe, mwane ngudji andi amabe yidjeti yi binange bi Yiture na Tarkonite, mbana Lisanyase djandi akebe yidjeti mu yinange yi Abilene.
2a03020083	Ave Ane na Kayife bamabilaange bivunde bi bavaghulitsi ba paghu, va temu eni, mbembu Nzambi djimatsingulu San, mwane Sakari o kumu.
2a030300a0	Anodjidile, San akenange yinange ayimabe mu mughule mudjambe Sordani, mu yenelubusaange batu rye: «Kalughanu mutsanu na batuswanu. Nzambi odutande mabi menu.»
2a03040095	Nane direndulu mu dibuku di mubiyitsi Yisayi rye: «Adidi la dyufi di mutu oyighamuyi o kumu rye: Tsonzighanu nzile Fumu na sungighanu manzile mandi.
2a03050085	Bibususu byotsu byubasusu. Mikongu myotsu na bikundubughe byotsu byudyamusu. Manzile amarekeme mosungughu, na amavu bidune moghulene.
2a0306002c	Na batu botsu bolabe dughobutsu du Nzambi.»
2a03070087	Yinombu yimawendaange o uyébatusu nandi, akebatsingulaange rye: «Dibure pili nane djenu, anyi amadulubuse urine kabu Nzambi adjiruyi?
2a030800cd	Lasanu mitsanu miwelimine amyulase rye dumakalughe dyele. Duyavose mu djenubeni rye: “Tudji baane ba Aberaame.” Ngenze nyidutsinguli bwena ne na mamani memama, Nzambi orungule ufikulile Aberaame baane.
2a0309007c	Dyumbi dimatsonzughu mu uwangile mwiri mu nganzi. Kaboghu mwiri wotsu awughéburi milunde miboti wuwangu nobwaghu o mudji.»
2a030a0037	Yinombu yimamuwivulaange rye: «Yike tsyeni tuvayile?»
2a030b0075	Akebawaghule rye: «Awu avu na bikutu bibedji akaveghe yimosi oghaane yikutu, na awu avu na bighudji, aghabi wandi.»
2a030c0077	Babolitsi ba lepu, djowandi bamawendaange o uyébatusu na bamawivule San rye: «Mulonzi, ka djetu yiturunguse uvaghe?»
2a030d0058	Akebawaghule rye: «Ave dubongilaange lepu, duyavyosulilaange mu adimaduveghu musughu.»
2a030e00b5	Baghore wandi bakemuwivule rye: «Fumu, ka djetu, tsyé tuvayile?» Amabatsingule rye: «Duyabongaange mbongu ombu mutu na biwarile, vo na mfurulu, tumbe singenanu na fute tsyenu.»
2a030f0058	Batu botsu bamabe nzunzubaa na yitu! Mutu-mutu amatase rye tangudji San djandi Kirisete.
2a031000c8	Mbana San akebatsingule rye: «Menu nyidubatisi mu mambe, tumbe mususu awupyoghulile mangolu orughe. Nga nyiwelimine mu unyangule mikudu mi bapondu bandi. Djandi odubatise na Yinyuni Yisyeme na mudji.
2a031100b6	Aghange ngwangu adjivu nane musomu mu dikake dyandi mu ukakesune milunde amiboti na bipupu. Oghukighe milunde amiboti o yisweghulu yandi, tumbe obwaghe bipupu o mudji awughétsimi.»
2a0312004b	San amalonzaange batu Musamu wuboti na akebawarisa mu mambu mamosi mapwele.
2a031300bb	Vane-vane, San amasyembaange Yirode awu amabe yidjeti mu yinange yi Ngalile mumbari amabonge na akewele Yirodyase mughatsi mwane ngudji andi, dibandu mambu mamosi mabive amamwévaghaange.
2a03140049	Va djulu motsu mane, Yirode amabwese dibi disusu: amakotise San o tsughu.
2a0315006b	Batu botsu bamayibatusungu, na Djesu wandi akerughe mu uyibatusu. Ave amasambililaange, djulu djikedibughe.
2a031600c3	Na Yinyuni Yisyeme yimaruyile o djulu mu yibaghunu yi dibembi, yimasundughe mu djandi. Dyufi dimawulunu o djulu novose rye: «Wudji mwane ami murime, mu ndedju, nyimasunze durondu dwami dwotsu.»
2a03170084	Ave Djesu amabandile yisalu yandi, amabe na maghumi-maryeru ma bilime. Batu bamamulabaange nane, mwane Sosefe obangaange mwane Yili.
2a03180087	Yili adji mwane Matate. Matate adji mwane Levi. Levi adji mwane Meleki. Meleki adji mwane Sanayi. Sanayi adji mwane Sosefe. Sosefe adji
2a03190087	mwane Matatyase. Matatyase adji mwane Amose. Amose adji mwane Nawume. Nawume adji mwane Yiseli. Yiseli adji mwane Naghayi. Naghayi adji
2a031a0079	mwane Mate. Mate adji mwane Matatyase. Matatyase adji mwane Semeyine. Semeyine adji mwane Sodeke. Sodeke adji mwane Sode.
2a031b0095	Sode adji mwane Sowanane. Sowanane adji mwane Resa. Resa adji mwane Sorobabele. Sorobabele adji mwane Salatyele. Salatyele adji mwane Neri. Neri adji
2a031c0071	mwane Meleki. Meleki adji mwane Adi. Adi adji mwane Kosame. Kosame adji mwane Lemadame. Lemadame adji mwane Eré.
2a031d007d	Eré adji mwane Djesu. Djesu adji mwane Lyesere. Lyesere adji mwane Sorime. Sorime adji mwane Matate. Matate adji mwane Levi.
2a031e007c	Levi adji mwane Simewu. Simewu adji mwane Suda. Suda adji mwane Sosefe. Sosefe adji mwane Soname. Soname adji mwane Lyakime.
2a031f007e	Lyakime adji mwane Meleya. Meleya adji mwane Mena. Mena adji mwane Matata. Matata adji mwane Natane. Natane adji mwane Davide.
2a03200079	Davide adji mwane Djese. Djese adji mwane Sobede. Sobede adji mwane Bwase. Bwase adji mwane Sala. Sala adji mwane Nasone.
2a0321009f	Nasone adji mwane Aminadabe. Aminadabe adji mwane Adimine. Adimine adji mwane Areni. Areni adji mwane Serome. Serome adji mwane Farese. Farese adji mwane Suda.
2a03220081	Suda adji mwane Sakobe. Sakobe adji mwane Yisaake. Yisaake adji mwane Aberaame. Aberaame adji mwane Tera. Tera adji mwane Nakore.
2a03230079	Nakore adji mwane Seruke. Seruke adji mwane Raku. Raku adji mwane Faleke. Faleke adji mwane Ebere. Ebere adji mwane Sala.
2a03240083	Sala adji mwane Kayiname. Kayiname adji mwane Arefaghade. Arefaghade adji mwane Seme. Seme adji mwane Nowe. Nowe adji mwane Lameke.
2a03250093	Lameke adji mwane Matuselame. Matuselame adji mwane Yinoke. Yinoke adji mwane Sarede. Sarede adji mwane Maleleyele. Maleleyele adji mwane Kayiname.
2a03260061	Kayiname adji mwane Enose. Enose adji mwane Sete. Sete adji mwane Adame. Adame adji mwane Nzambi.
2a0401005b	Djesu anoghusughe mudjambe Sordani, amabe abasu na Yinyuni Yisyeme, ayimamubeghe o dukange.
2a04020087	Aghune, Djesu akemangu na Dyabu mu maghumi-mana ma bilumbu. Mu temu eni, asamadji yisalu. Bilumbu byeni binosuke, Djesu akebe na nzale.
2a0403005b	Kaboghu, Dyabu akemutsingule rye: «Payi wudji Mwane Nzambi, kaluse dimani dyédidi dipe.»
2a04040064	Djesu amamuwaghule: «Bisonu bi Nzambi bivosi rye: “Mutu aghodilaange monyu andi, bu mu dipe.”»
2a0405004e	Dyabu, akemubeghe o djulu mukongu wuneni. Akemulase bulongu bwotsu bu butambe.
2a040600a0	Na Dyabu akemutsingule rye: «Nyuwuveghe bundumbe bwotsu na busine bu malongu meni mame mumbari byotsu bipeghu na nyurungule wuveghe mutu wotsu nane nyirondili.
2a04070036	Kaboghu, payi wukutumine, byotsu bibi byube abyaghu.»
2a04080087	Mu dyoni, Djesu akemuwaghule: «Bisonu bi Nzambi bivosi rye: “Yike Nzambi Fumu pinze wukutuminaange na djandi pinze wuyitsaange.”»
2a0409008a	Dyabu akebwémubeghe o Serusaleme, akemusunze o djulu ndaghu Nzambi. Akemutsingule rye: «Payi wudji Mwane Nzambi, kebwaghe kwange no tsi.
2a040a0043	Bisonu bivose yi: “Nzambi orume byanze byandi mu wughaghaange.”
2a040b0069	Na ebwévose rye: “Byanze byeni byuwuwake va makake mowu mumbari dikulu dyaghu dikeduku mu dimani.”»
2a040c004e	Djesu akemughabusile rye: «Bisonu bivosi: “Wuyamange Fumu Nzambi aghu.”»
2a040d0049	Anomumange mu motsu, Dyabu akekakene nandi tena amamwérombile tonu susu.
2a040e0068	Djesu amaghabughe o Ngalile, na mangolu ma Yinyuni Yisyeme. Na didume dyandi dikenyave mu yinange yotsu.
2a040f004b	Amenelonzaange mu mandaghu ma tsambu ma baSwife na batu bakenemudumisaange.
2a041000a9	Djesu amawende o Nasarete awu djandi amabanguyile. Mu yilumbu yuvume yi baSwife, Djesu, mu yuku yandi amakote o ndaghu owu dusambu. Amareleme mu urange Bisonu bi Nzambi.
2a04110060	Bakemuveghe Dibuku di Bisonu bi mubiyitsi Yisayi. Akedidibule na akelabe yibuku ayimabe yirendu:
2a041200e1	«Yinyuni yi Fumu yidji mu menu, yimambyatse mu ughabe musamu wuboti ombu bidjaghe. Amanzindighe muyebeluse abango manyoni mu mirime, mu yésamune dudjeghusu ombu bise tsughu, mu ubeluse bidunge na mu udjeyise djowu abekwanu.
2a04130030	Mu uyisamune yilime yi yese ayi Fumu amaveghe.»
2a041400b1	Va djulu vane, Djesu anomane urange, akedibighe dibuku dyeni, akedighabusile musalitsi na aketsane. Botsu abamabe o ghari ndaghu eni dusambu dji baSwife bakemutsunaange yiswisu.
2a04150060	Na akebande ubatsingule rye: «Na muni, mambu ma Bisonu byébibi mamadughusu nane dutsiwululu.»
2a04160096	Mu dyoni, botsu bakemusingisile bumbedji na bakesutu mu mambu ma yese ame djandi amavosaange. Batu beni, bakevosaange rye: «Awuwu tsi mwane Sosefe?»
2a041700cc	Djesu akebawake rye: «Tangudji dumbukile nongu adjivosi bwena, “Mubuyitsi, tsyékebughe ndebeni.” Ta dubwévose: “Tumawulu motsu ame wumavaghe o Kapernawume, tsyémavayi vave o bulongu bwaghu.”»
2a04180062	Yike Djesu akebwébatsingule rye: «Nyidutsinguli dingenze, mubiyitsi aghérondu o bulongu bwandi.
2a041900bc	Dingenze nyurunguse udutsingule yiri vamabe bakwili bapwele o Yisrayele va temu Eli ave mvule djimasikimine mu bilime biryeru na ngondi yisyamunu na ave dungosu dumabile mu bulongu bwotsu.
2a041a0076	Ne vane Nzambi asamasindighe Eli ombu bakwili botsu, tumbe ombu wumosi awumatsanaange o Sarepete mu bulongu bu Sidone.
2a041b0089	Wubangaange wandi pwele bibedu bi nyámbi o Yisrayele va temu mubiyitsi Elise. Ne nane botsu basamabelughe yike vane Namane mwise Siri.»
2a041c0060	Botsu abamabe o ghari ndaghu eni dusambu dji baSwife bakebase na kabu ave bamawululu mambu meni.
2a041d008f	Batu beni bakereleme bakenemusindilaange vale na musyengi na bakemubeghe va djulu mukongu ave Nasarete amabe arungulu, muyémusindile o mbengi.
2a041e0031	Tumbe Djesu akevyoghe va ghari owu na akenewende.
2a041f005f	Djesu amasundughe o Kapernawume musyengi Ngalile, na akelonzaange mu yilumbu yuvume yi baSwife.
2a0420003f	Batu bakebembu na ndonzulu andi, mumbari amavosaange na durumu.
2a04210079	Vamabe o ghari ndaghu dusambu dji baSwife dibaale dimabe na yinyuni yibive va ghari owu. Yinyuni yikeghamughe na mangolu:
2a04220076	«Aa! Djesu mwise Nasarete, yi witurombi, utsirughe oyitubunge nyidjabi anyi wuvu, Yibyatsu ayimasindughu na Nzambi!»
2a0423009e	Djesu akenyangile yinyuni yeni yibi: «Vole na pale mu mutu ewune!» Yinyuni yike bete dibaale dyeni vatsi va ghari mughungi na yikepale, yisamamuvaghe bwali.
2a0424008d	Batu botsu bakeghangu na ghome na bakevosaange va ghari owu rye: «Posulu adjidji yi! Erumi binyuni bibive na musughe na mangolu na bipali?»
2a04250039	Na didume di Djesu dikenyave mu yinange yotsu yi Ngalile.
2a042600ae	Djesu anoghusughe o ndaghu dusambu dji baSwife, akewende o ndaghu Simu. Bodji bu Simu abu mughetu amabe na dibaghu dineni, na batu abamabe vane, baketatile Djesu akemubeluse.
