0100000008	Postanak
010118007e	I reče Bog: “Neka zemlja izvede živa bića, svako prema svojoj vrsti: stoku, gmizavce i zvjerad svake vrste!” I bi tako.
0101190057	I stvori Bog svakovrsnu zvjerad, stoku i gmizavce svake vrste. I vidje Bog da je dobro.
01011a00b4	I reče Bog: “Načinimo čovjeka na svoju sliku, sebi slična, da bude gospodar ribama morskim, pticama nebeskim i stoci - svoj zemlji - i svim gmizavcima što puze po zemlji!”
01011b005d	Na svoju sliku stvori Bog čovjeka, na sliku Božju on ga stvori, muško i žensko stvori ih.
01011c00bd	I blagoslovi ih Bog i reče im: “Plodite se, i množite, i napunite zemlju, i sebi je podložite! Vladajte ribama u moru i pticama u zraku i svim živim stvorovima što puze po zemlji!”
01011d0096	I doda Bog: “Evo, dajem vam sve bilje što se sjemeni, po svoj zemlji, i sva stabla plodonosna što u sebi nose svoje sjeme: neka vam budu za hranu!
01011e0093	A zvijerima na zemlji i pticama u zraku i gmizavcima što puze po zemlji u kojima je dah života - neka je za hranu sve zeleno bilje!” I bi tako.
01011f0060	I vidje Bog sve što je učinio, i bijaše veoma dobro. Tako bude večer, pa jutro - dan šesti.
0102010039	Tako bude dovršeno nebo i zemlja sa svom svojom vojskom.
0102020065	I sedmoga dana Bog dovrši svoje djelo koje učini. I počinu u sedmi dan od svega djela koje učini.
010203005d	I blagoslovi Bog sedmi dan i posveti, jer u taj dan počinu od svega djela svoga koje učini.
0102040058	To je postanak neba i zemlje, tako su stvarani. Kad je Jahve, Bog, sazdao nebo i zemlju,
01020500b8	još nije bilo nikakva poljskoga grmlja po zemlji, još ne bijaše niklo nikakvo poljsko bilje, jer Jahve, Bog, još ne pusti dažda na zemlju i nije bilo čovjeka da zemlju obrađuje.
0102060044	Ipak, voda je izvirala iz zemlje i natapala svu površinu zemaljsku.
0102070075	Jahve, Bog, napravi čovjeka od praha zemaljskog i u nosnice mu udahne dah života. Tako postane čovjek živa duša.
0102080056	I Jahve, Bog, zasadi vrt na istoku, u Edenu, i u nj smjesti čovjeka koga je napravio.
01020900a4	Tada Jahve, Bog, učini te iz zemlje nikoše svakovrsna stabla - pogledu zamamljiva a dobra za hranu - i stablo života, nasred vrta, i stablo spoznaje dobra i zla.
01020a0052	Rijeka je izvirala iz Edena da bi natapala vrt; odatle se granala u četiri kraka.
01020b004a	Prvom je ime Pišon, a optječe svom zemljom havilskom, u kojoj ima zlata.
01020c0039	Zlato je te zemlje dobro, a ima ondje i bdelija i oniksa.
01020d0037	Drugoj je rijeci ime Gihon, a optječe svu zemlju Kuš.
01020e0048	Treća je rijeka Tigris, a teče na istok od Ašura; četvrta je Eufrat.
01020f004d	Jahve, Bog, uzme čovjeka i postavi ga u edenski vrt da ga obrađuje i čuva.
010210004a	Jahve, Bog, zapovjedi čovjeku: “Sa svakoga stabla u vrtu slobodno jedi,
010211006e	ali sa stabla spoznaje dobra i zla da nisi jeo! U onaj dan u koji s njega okusiš, zacijelo ćeš umrijeti!”
0102120060	I reče Jahve, Bog: “Nije dobro da čovjek bude sam: načinit ću mu pomoć kao što je on.”
01021300c0	Tada Jahve, Bog, načini od zemlje sve životinje u polju i sve ptice u zraku i predvede ih čovjeku da vidi kako će koju nazvati, pa kako koje stvorenje čovjek prozove, da mu tako bude ime.
010214007d	Čovjek nadjene imena svoj stoci, svim pticama u zraku i životinjama u polju. No čovjeku se ne nađe pomoć kao što je on.
010215006a	Tada Jahve, Bog, pusti tvrd san na čovjeka te on zaspa, pa mu izvadi jedno rebro, a mjesto zatvori mesom.
0102160052	Od rebra što ga je uzeo čovjeku napravi Jahve, Bog, ženu pa je dovede čovjeku.
010217007e	Nato čovjek reče: “Gle, evo kosti od mojih kostiju, mesa od mesa mojega! Ženom neka se zove, od čovjeka kad je uzeta!”
0102180063	Stoga će čovjek ostaviti oca i majku da prione uza svoju ženu i bit će njih dvoje jedno tijelo.
0102190047	A bijahu oboje goli - čovjek i njegova žena - ali ne osjećahu stida.
010301009c	Zmija bijaše lukavija od sve zvjeradi što je stvori Jahve, Bog. Ona reče ženi: “Zar vam je Bog rekao da ne smijete jesti ni s jednog drveta u vrtu?”
0103020041	Žena odgovori zmiji: “Plodove sa stabala u vrtu smijemo jesti.
010303006d	Samo za plod stabla što je nasred vrta rekao je Bog: 'Da ga niste jeli! I ne dirajte u nj, da ne umrete!'”
010304002e	Nato će zmija ženi: “Ne, nećete umrijeti!
0103050085	Nego, zna Bog: onog dana kad budete s njega jeli, otvorit će vam se oči, i vi ćete biti kao bogovi koji razlučuju dobro i zlo.”
01030600a9	Vidje žena da je stablo dobro za jelo, za oči zamamljivo, a za mudrost poželjno: ubere ploda njegova i pojede. Dade i svom mužu, koji bijaše s njom, pa je i on jeo.
0103070063	Tada se obadvoma otvore oči i upoznaju da su goli. Spletu smokova lišća i naprave sebi pregače.
010308009a	Uto čuju korak Jahve, Boga, koji je šetao vrtom za dnevnog povjetarca. I sakriju se - čovjek i njegova žena - pred Jahvom, Bogom, među stabla u vrtu.
0103090036	Jahve, Bog, zovne čovjeka: “Gdje si?” - reče mu.
01030a0054	On odgovori: “Čuo sam tvoj korak po vrtu; pobojah se jer sam go, pa se sakrih.”
01030b0066	Nato mu reče: “Tko ti kaza da si go? Ti si, dakle, jeo sa stabla s kojega sam ti zabranio jesti?”
01030c005a	Čovjek odgovori: “Žena koju si stavio uza me - ona mi je dala sa stabla pa sam jeo.”
01030d0069	Jahve, Bog, reče ženi: “Što si to učinila?” “Zmija me prevarila pa sam jela”, odgovori žena.
01030e00b1	Nato Jahve, Bog, reče zmiji: “Kad si to učinila, prokleta bila među svim životinjama i svom zvjeradi divljom! Po trbuhu svome puzat ćeš i zemlju jesti sveg života svog!
01030f008e	Neprijateljstvo ja zamećem između tebe i žene, između roda tvojeg i roda njezina: on će ti glavu satirati, a ti ćeš mu vrebati petu.”
0103100094	A ženi reče: “Trudnoći tvojoj muke ću umnožit, u mukama djecu ćeš rađati. Žudnja će te mužu tjerati, a on će gospodariti nad tobom.”
01031100e3	A čovjeku reče: “Jer si poslušao glas svoje žene te jeo sa stabla s kojega sam ti zabranio jesti rekavši: S njega da nisi jeo! - evo: Zemlja neka je zbog tebe prokleta: s trudom ćeš se od nje hraniti svega vijeka svog!
0103120045	Rađat će ti trnjem i korovom, a hranit ćeš se poljskim raslinjem.
010313008a	U znoju lica svoga kruh svoj ćeš jesti dokle se u zemlju ne vratiš: tÓa iz zemlje uzet si bio - prah si, u prah ćeš se i vratiti.”
0103140041	Svojoj ženi čovjek nadjene ime Eva, jer je majka svima živima.
010315004e	I načini Jahve, Bog, čovjeku i njegovoj ženi odjeću od krzna pa ih odjenu.
01031600a4	Zatim reče Bog: “Evo, čovjek postade kao jedan od nas - znajući dobro i zlo! Da ne bi sada pružio ruku, ubrao sa stabla života pa pojeo i živio navijeke!”
0103170054	Zato ga Jahve, Bog, istjera iz vrta edenskoga da obrađuje zemlju iz koje je i uzet.
01031800aa	Istjera, dakle, čovjeka i nastani ga istočno od vrta edenskog, pa postavi kerubine i plameni mač koji se svjetlucao - da straže nad stazom koja vodi k stablu života.
0104010070	Čovjek pozna svoju ženu Evu, a ona zače i rodi Kajina, pa reče: “Muško sam čedo stekla pomoću Jahve!”
010402004f	Poslije rodi Abela, brata Kajinova; Abel postane stočar, a Kajin zemljoradnik.
0104030040	I jednoga dana Kajin prinese Jahvi žrtvu od zemaljskih plodova.
0104040072	A prinese i Abel od prvine svoje stoke, sve po izbor pretilinu. Jahve milostivo pogleda na Abela i njegovu žrtvu,
0104050067	a na Kajina i žrtvu njegovu ni pogleda ne svrati. Stoga se Kajin veoma razljuti i lice mu se namrgodi.
0104060047	I Jahve reče Kajinu: “Zašto si ljut? Zašto ti je lice namrgođeno?
0104070095	Jer ako pravo radiš, vedrinom odsijevaš. A ne radiš li pravo, grijeh ti je kao zvijer na pragu što na te vreba; još mu se možeš oduprijeti.”
0104080075	Kajin pak reče svome bratu Abelu: “Hajdemo van!” I našavši se na polju, Kajin skoči na brata Abela te ga ubi.
0104090074	Potom Jahve zapita Kajina: “Gdje ti je brat Abel?” “Ne znam”, odgovori. “Zar sam ja čuvar brata svoga?”
01040a0053	Jahve nastavi: “Što si učinio? Slušaj! Krv brata tvoga iz zemlje k meni viče.
01040b005d	Stoga budi proklet na zemlji koja je rastvorila usta da proguta s ruke tvoje krv brata tvoga!
01040c0069	Obrađivat ćeš zemlju, ali ti više neće davati svoga roda. Vječni ćeš skitalica na zemlji biti!”
01040d0041	A Kajin reče Jahvi: “Kazna je moja odviše teška da se snosi.
01040e008c	Evo me tjeraš danas s plodnoga tla; moram se skrivati od tvoga lica i biti vječni lutalac na zemlji - tko me god nađe, može me ubiti.”
01040f00a3	A Jahve mu reče: “Ne! Nego tko ubije Kajina, sedmerostruka osveta na njemu će se izvršiti!” I Jahve stavi znak na Kajina, da ga tko, našavši ga, ne ubije.
0104100052	Kajin ode ispred lica Jahvina u zemlju Nod, istočno od Edena, i ondje se nastani.
010411006d	Kajin pozna svoju ženu te ona zače i rodi Henoka. Podigao je grad i grad prozvao imenom svoga sina - Henok.
0104120067	Henoku se rodio Irad, a od Irada potekao Mehujael; od Mehujaela poteče Metušael, od Metušaela Lamek.
0104130039	Lamek uzme dvije žene. Jedna se zvala Ada, a druga Sila.
0104140050	Ada rodi Jabala, koji je postao praocem onih što pod šatorima žive sa stokom.
010415004e	Bratu mu bijaše ime Jubal. On je praotac svih koji sviraju na liru i sviralu.
0104160069	Sila rodi Tubal-Kajina, praoca onih koji kuju bakar i željezo. Tubal-Kajinovoj sestri bijaše ime Naama.
010417009e	Lamek prozbori svojim ženama: “Ada i Sila, glas moj poslušajte! Žene Lamekove, čujte mi besjedu: Čovjeka sam ubio jer me ranio i dijete jer me udarilo.
0104180050	Ako će Kajin biti osvećen sedmerostruko, Lamek će sedamdeset i sedam puta!”
0104190086	Adam pozna svoju ženu te ona rodi sina i nadjenu mu ime Šet. Reče ona: “Bog mi dade drugo dijete mjesto Abela, koga ubi Kajin.”
01041a0053	Šetu se rodi sin, komu on nadjenu ime Enoš. Tada se počelo zazivati ime Jahvino.
010501005b	Ovo je povijest Adamova roda. Kad je Bog stvorio čovjeka, napravio ga je na priliku svoju;
0105020052	stvorio je muško i žensko. A kad ih je stvorio, blagoslovi ih i nazva - čovjek.
010503006d	Kad je Adamu bilo sto i trideset godina, rodi mu se sin njemu sličan, na njegovu sliku; nadjenu mu ime Šet.
010504005c	Po rođenju Šetovu Adam je živio osam stotina godina te mu se rodilo još sinova i kćeri.
0105050044	Adam poživje u svemu devet stotina i trideset godina. Potom umrije.
0105060035	Kad je Šetu bilo sto i pet godina, rodi mu se Enoš.
0105070065	Po rođenju Enoševu Šet je živio osam stotina i sedam godina te mu se rodilo još sinova i kćeri.
0105080044	Šet poživje u svemu devet stotina i dvanaest godina. Potom umrije.
0105090036	Kad je Enošu bilo devedeset godina, rodi mu se Kenan.
01050a0069	Po rođenju Kenanovu Enoš je živio osam stotina i petnaest godina te mu se rodilo još sinova i kćeri.
01050b0040	Enoš poživje u svemu devet stotina i pet godina. Potom umrije.
01050c003b	Kad je Kenanu bilo sedamdeset godina, rodi mu se Mahalalel.
01050d006f	Po rođenju Mahalalelovu Kenan je živio osam stotina i četrdeset godina te mu se rodilo još sinova i kćeri.
01050e0042	Kenan poživje u svemu devet stotina i deset godina. Potom umrije.
01050f0040	Kad je Mahalalelu bilo šezdeset i pet godina, rodi mu se Jered.
010510006d	Po rođenju Jeredovu Mahalalel je živio osam stotina i trideset godina te mu se rodilo još sinova i kćeri.
010511004d	Mahalalel poživje u svemu osam stotina devedeset i pet godina. Potom umrije.
0105120042	Kad je Jeredu bilo sto šezdeset i dvije godine, rodi mu se Henok.
010513005e	Po rođenju Henokovu Jered je živio osam stotina godina te mu se rodilo još sinova i kćeri.
010514004c	Jered poživje u svemu devet stotina šezdeset i dvije godine. Potom umrije.
0105150041	Kad je Henoku bilo šezdeset i pet godina, rodi mu se Metušalah.
0105160075	Henok je hodio s Bogom. Po rođenju Metušalahovu Henok je živio trista godina te mu se rodilo još sinova i kćeri.
0105170035	Henok poživje u svemu trista šezdeset i pet godina.
0105180034	Henok je hodio s Bogom, potom iščeznu; Bog ga uze.
0105190047	Kad je Metušalahu bilo sto osamdeset i sedam godina, rodi mu se Lamek.
01051a0076	Po rođenju Lamekovu Metušalah je živio sedam stotina osamdeset i dvije godine te mu se rodilo još sinova i kćeri.
01051b0051	Metušalah poživje u svemu devet stotina šezdeset i devet godina. Potom umrije.
01051c0040	Kad su Lameku bile sto osamdeset i dvije godine, rodi mu se sin.
01051d0082	Nadjene mu ime Noa, govoreći: “Ovaj će nam pribavljati, u trudu i naporu naših ruku, utjehu iz zemlje koju je Bog prokleo.”
01051e006a	Po rođenju Noinu Lamek je živio pet stotina devedeset i pet godina te mu se rodilo još sinova i kćeri.
01051f004d	Lamek poživje u svemu sedam stotina sedamdeset i sedam godina. Potom umrije.
0105200049	Pošto je Noa proživio pet stotina godina, rode mu se Šem, Ham i Jafet.
0106010042	Kad su se ljudi počeli širiti po zemlji i kćeri im se narodile,
0106020062	opaze sinovi Božji da su kćeri ljudske pristale, pa ih uzimahu sebi za žene koje su god htjeli.
0106030085	Onda Jahve reče: “Neće moj duh u čovjeku ostati dovijeka; čovjek je tjelesan, pa neka mu vijek bude stotinu dvadeset godina.”
01060400b0	U ona su vremena - a i kasnije - na zemlji bili Nefili, kad su Božji sinovi općili s ljudskim kćerima pa im one rađale djecu. To su oni od starine po snazi glasoviti ljudi.
0106050079	Vidje Jahve kako je čovjekova pokvarenost na zemlji velika i kako je svaka pomisao u njegovoj pameti uvijek samo zloća.
010606004d	Jahve se pokaja i u svom srcu ražalosti što je načinio čovjeka na zemlji.
01060700a1	Reče Jahve: “Ljude koje sam stvorio izbrisat ću s lica zemlje - od čovjeka do zvijeri, puzavce i ptice u zraku - jer sam se pokajao što sam ih napravio.”
010608002b	Ali je Noa našao milost u očima Jahvinim.
0106090065	Ovo je povijest Noina: Noa je bio čovjek pravedan i neporočan u svom vremenu. S Bogom je Noa hodio.
01060a002d	Tri su se sina rodila Noi: Šem, Ham i Jafet.
01060b0041	U očima Božjim zemlja se bila iskvarila; nepravdom se napunila.
01060c0058	I kad je Bog vidio kako se zemlja iskvarila - tÓa svako se biće na zemlji izopačilo -
01060d0086	reče Bog Noi: “Odlučio sam da bude kraj svim bićima jer se zemlja napunila opačinom; i, evo, uništit ću ih zajedno sa zemljom.
01060e0073	Napravi sebi korablju od smolastoga drveta; korablju načini s prijekletima i obloži je iznutra i izvana paklinom.
01060f0073	A pravit ćeš je ovako: neka korablja bude trista lakata u duljinu, pedeset u širinu, a trideset lakata u visinu.
0106100090	Na korablji načini otvor za svjetlo, završi ga jedan lakat od vrha. Vrata na korablji načini sa strane; neka ima donji, srednji i gornji kat.
0106110088	Ja ću, evo, pustiti potop - vode na zemlju - da izgine svako biće pod nebom, sve u čemu ima dah života: sve na zemlji mora poginuti.
0106120076	A s tobom ću učiniti Savez; ti ćeš ući u korablju - ti i s tobom tvoji sinovi, tvoja žena i žene tvojih sinova.
0106130082	A od svega što je živo - od svih bića - uvedi u korablju od svakoga po dvoje da s tobom preživi, i neka budu muško i žensko.
01061400b1	Od ptica prema njihovim vrstama, od životinja prema njihovim vrstama i od svih stvorova što po tlu puze prema njihovim vrstama: po dvoje od svega neka uđe k tebi da preživi.
0106150044	Sa sobom uzmi svega za jelo pa čuvaj da bude hrane tebi i njima.”
010616003e	Noa učini tako. Sve kako mu je Bog naredio, tako je izvršio.
0107010083	Onda Jahve reče Noi: “Uđi ti i sva tvoja obitelj u korablju, jer sam uvidio da si ti jedini preda mnom pravedan u ovom vremenu.
0107020054	Uzmi sa sobom od svih čistih životinja po sedam parova: mužjaka i njegovu ženku.
0107030063	Isto tako od ptica nebeskih po sedam parova - mužjaka i ženku - da im se sjeme sačuva na zemlji.
010704009c	Jer ću do sedam dana pustiti dažd po zemlji četrdeset dana i četrdeset noći te ću istrijebiti s lica zemlje svako živo biće što sam ga načinio.”
0107050028	Noa učini sve kako mu je Jahve naredio.
010706003f	Noi bijaše šest stotina godina kad je potop došao na zemlju.
0107070064	I pred vodama potopnim uđu s Noom u korablju njegovi sinovi, njegova žena i žene sinova njegovih.
010708005d	Od čistih životinja i od životinja koje nisu čiste, od ptica, od svega što zemljom puzi,
010709004e	uđe po dvoje - mužjak i ženka - u korablju s Noom, kako je Bog naredio Noi.
01070a0031	A sedmoga dana zapljušte potopne vode po zemlji.
01070b0090	U dan onaj - šestote godine Noina života, mjeseca drugog, dana u mjesecu sedamnaestog - navale svi izvori bezdana, rastvore se ustave nebeske.
01070c0047	I udari dažd na zemlju da pljušti četrdeset dana i četrdeset noći.
01070d0071	Onog dana uđe u korablju Noa i njegovi sinovi: Šem, Ham i Jafet, Noina žena i tri žene Noinih sinova s njima;
01070e0067	oni, pa sve vrste životinja: stoka, gmizavci što po tlu gmižu, ptice i svakovrsna krilata stvorenja,
01070f004d	uđu u korablju s Noom, po dvoje od svih bića što u sebi imaju dah života.
0107100076	Što uđe, sve bijaše par, mužjak i ženka od svih bića, kako je Bog naredio Noi. Onda Jahve zatvori za njim vrata.
0107110070	Pljusak je na zemlju padao četrdeset dana; vode sveudilj rasle i korablju nosile: digla se visoko iznad zemlje.
0107120049	Vode su nad zemljom bujale i visoko rasle, a korablja plovila površinom.
0107130063	Vode su sve silnije navaljivale i rasle nad zemljom, tako te prekriše sva najviša brda pod nebom.
0107140034	Petnaest lakata dizale se vode povrh potonulih brda.
010715005e	Izgiboše sva bića što se po zemlji kreću: ptice, stoka, zvijeri, svi gmizavci i svi ljudi.
0107160054	Sve što u svojim nosnicama imaše dah života - sve što bijaše na kopnu - izgibe.
01071700ad	Istrijebi se svako biće s površja zemaljskog: čovjek, životinje, gmizavci i ptice nebeske, sve se izbrisa sa zemlje. Samo Noa ostade i oni što bijahu s njim u korablji.
010718002a	Stotinu pedeset dana vladahu vode zemljom.
010801007d	Onda se Bog sjeti Noe, svih zvijeri i sve stoke što bijaše s njim u korablji, pa pokrenu vjetar nad zemljom da uzbije vodu.
0108020047	Zatvoriše se izvori bezdanu i ustave nebeske, i dažd s neba prestade.
0108030050	Polako se povlačile vode sa zemlje. Nakon stotinu pedeset dana vode su jenjale,
0108040056	a sedmoga mjeseca, sedamnaestog dana u mjesecu korablja se zaustavi na brdima Ararata.
0108050067	Vode su neprestano opadale do desetog mjeseca, a prvoga dana desetog mjeseca pokažu se brdski vrhunci.
0108060053	Kad je izminulo četrdeset dana, Noa otvori prozor što ga je načinio na korablji;
0108070063	ispusti gavrana, a gavran svejednako odlijetaše i dolijetaše dok se vode sa zemlje nisu isušile.
010808003c	Zatim ispusti golubicu da vidi je li voda nestala sa zemlje.
01080900ad	Ali golubica ne nađe uporišta nogama te se vrati k njemu u korablju, jer voda još pokrivaše svu površinu; on pruži ruku, uhvati golubicu te je unese k sebi u korablju.
01080a003b	Počeka još sedam dana pa opet pusti golubicu iz korablje.
01080b0081	Prema večeri golubica se vrati k njemu, i gle! u kljunu joj svjež maslinov list; tako je Noa doznao da su opale vode sa zemlje.
01080c0049	Još počeka sedam dana pa opet pusti golubicu: više mu se nije vratila.
01080d00a3	Šest stotina prve godine Noina života, prvoga mjeseca, prvog dana u mjesecu uzmakoše vode sa zemlje. Noa skine pokrov s korablje i pogleda: površina okopnjela.
01080e0044	A drugoga mjeseca, sedamnaestog dana u mjesecu, zemlja bijaše suha.
01080f0013	Tada Bog reče Noi:
0108100053	“Iziđi iz korablje, ti, tvoja žena, tvoji sinovi i žene tvojih sinova s tobom.
01081100a1	Sa sobom izvedi sva živa bića, sva stvorenja što su s tobom: ptice, stoku i sve gmizavce što zemljom puze; neka zemljom vrve, plode se i na zemlji množe!”
010812004e	I Noa iziđe, a s njime sinovi njegovi, žena njegova i žene sinova njegovih.
0108130073	Sve životinje, svi gmizavci, sve ptice - svi stvorovi što se zemljom miču - iziđu iz korablje, vrsta za vrstom.
010814007f	I podiže Noa žrtvenik Jahvi; uze od svih čistih životinja i od svih čistih ptica i prinese na žrtveniku žrtve paljenice.
01081500e4	Jahve omirisa miris ugodni pa reče u sebi: “Nikad više neću zemlju u propast strovaliti zbog čovjeka, tÓa čovječje su misli opake od njegova početka; niti ću ikad više uništiti sva živa stvorenja, kako sam učinio.
010816006a	Sve dok zemlje bude, sjetve, žetve, studeni, vrućine, ljeta, zime, dani, noći nikada prestati neće.”
0109010060	Tada Bog blagoslovi Nou i njegove sinove i reče im: “Plodite se i množite i zemlju napunite.
0109020098	Neka vas se boje i od vas strahuju sve životinje na zemlji, sve ptice u zraku, sve što se po zemlji kreće i sve ribe u moru: u vaše su ruke predane.
0109030062	Sve što se kreće i živi neka vam bude za hranu: sve vam dajem, kao što vam dadoh zeleno bilje.
0109040046	Samo ne smijete jesti mesa u kojem je još duša, to jest njegova krv.
01090500a0	A za vašu krv, za vaš život, tražit ću obračun: tražit ću ga od svake životinje; i od čovjeka za njegova druga tražit ću obračun za ljudski život.
0109060064	Tko prolije krv čovjekovu, njegovu će krv čovjek proliti! Jer na sliku Božju stvoren je čovjek!
0109070048	A vi, plodite se, i množite i zemlju napunite, i podložite je sebi!”
010908002e	Još reče Bog Noi i njegovim sinovima s njim:
0109090049	“A ja, evo, sklapam svoj Savez s vama i s vašim potomstvom poslije vas
01090a00a3	i sa svim živim stvorovima što su s vama: s pticama, sa stokom, sa zvijerima - sa svime što je s vama izišlo iz korablje - sa svim živim stvorovima na zemlji.
01090b008d	Držat ću se ja svog Saveza s vama te nikada više vode potopne neće uništiti živa bića niti će ikad više potop zemlju opustošiti.”
01090c0082	I reče Bog: “A ovo znamen je Saveza koji stavljam između sebe i vas i svih živih bića što su s vama, za naraštaje buduće:
01090d004a	Dugu svoju u oblak stavljam, da zalogom bude Savezu između mene i zemlje.
01090e003a	Kad oblake nad zemlju navučem i duga se u oblaku pokaže,
01090f0083	spomenut ću se Saveza svoga, Saveza između mene i vas i stvorenja svakoga živog: potopa više neće biti da uništi svako biće.
010910008f	U oblaku kad se pojavi duga, ja ću je vidjeti i vjekovnog ću se sjećati Saveza između Boga i svake žive duše, svakog tijela na zemlji.”
0109110073	I reče Bog Noi: “To neka je znak Saveza koji sam postavio između sebe i svih živih bića što su na zemlji.”
010912005f	Sinovi Noini, koji su iz korablje izišli, bijahu: Šem, Ham i Jafet. Ham je praotac Kanaanaca.
010913003f	Ovo su trojica Noinih sinova i od njih se sav svijet razgranao.
0109140024	Noa, zemljoradnik, zasadio vinograd.
0109150032	Napio se vina i opio, pa se otkrio nasred šatora.
010916004c	Ham, praotac Kanaanaca, opazi oca gola pa to kaza dvojici svoje braće vani.
01091700bc	Šem i Jafet uzmu ogrtač, obojica ga prebace sebi preko ramena pa njime, idući natraške, pokriju očevu golotinju. Lica im bijahu okrenuta na drugu stranu, tako te ne vidješe oca gola.
010918004f	Kad se Noa otrijeznio od vina i saznao što mu je učinio najmlađi sin, reče:
0109190047	“Neka je proklet Kanaanac, braći svojoj najniži sluga nek' bude!”
01091a004c	Onda nastavi: “Blagoslovljen Jahve, Šemov Bog, Kanaanac nek' mu je sluga!
01091b0057	Nek Bog raširi Jafeta da prebiva pod šatorima Šemovim, Kanaanac nek' mu je sluga!”
01091c0032	Poslije Potopa Noa poživje trista pedeset godina.
01091d0040	U svemu poživje Noa devet stotina pedeset godina; potom umrije.
010a01005f	Ovo je povijest Noinih sinova: Šema, Hama i Jafeta, kojima su se rodili sinovi poslije Potopa.
010a020045	Sinovi su Jafetovi: Gomer, Magog, Madaj, Javan, Tubal, Mešak, Tiras.
010a030030	A sinovi su Gomerovi: Aškenaz, Rifat i Togarma.
010a04003d	Javanovi su opet sinovi: Eliša, Taršiš, Kitijci i Dodanci.
010a050098	Od njih su se razgranali narodi po otocima. To su Jafetovi sinovi prema svojim zemljama - svaki s vlastitim jezikom - prema svojim plemenima i narodima.
010a060030	Sinovi su Hamovi: Kuš i Misrajim, Put i Kanaan.
010a07004a	Kuševi su: Seba, Havila, Sabta, Rama i Sabteka. Ramini su: Šeba i Dedan.
010a080041	Od Kuša se rodio Nimrod, koji je postao prvi velmoža na zemlji.
010a09005a	Voljom Jahve bio je silan lovac. Zato se veli: “Kao Nimrod, silan lovac voljom Jahve.”
010a0a0061	Glavno uporište njegova kraljevstva bili su: Babilon, Erek, Akad i Kalne, svi u zemlji Šinearu.
010a0b0046	Iz ove je zemlje došao Ašur. On je podigao Ninivu, Rehobot Ir, Kalah
010a0c0034	i Resen između Ninive i Kalaha (to je glavni grad).
010a0d0041	Od Misrajima potekli su Ludijci, Anamijci, Lehabijci, Naftuhijci,
010a0e0045	pa Patrušani, Kasluhijci i Kaftorci, od kojih su potekli Filistejci.
010a0f0031	Od Kanaana potječe Sidon, njegov prvenac, i Het.
010a100027	Dalje: Jebusejci, Amorejci, Girgašani,
010a11001a	Hivijci, Arkijci, Sinijci,
010a12004b	Arvađani, Semarjani i Hamaćani. Poslije se kanaanska plemena razgranaše,
010a130080	tako da se granica Kanaanaca protezala od Sidona prema Geraru sve do Gaze pa prema Sodomi, Gomori, Admi i Sebojimu sve do Leše.
010a140055	To su sinovi Hamovi prema svojim plemenima i jezicima, po svojim zemljama i narodima.
010a150055	A i Šemu - praocu svih sinova Eberovih i starijem bratu Jafetovu - rodili se sinovi.
010a160036	Šemovi su sinovi: Elam, Ašur, Arpakšad, Lud i Aram.
010a17002b	A Aramovi su sinovi: Us, Hul, Geter i Maš.
