0100000009	UGenesisi
01010e00b6	UNkulunkulu wasesithi: Kakube khona izikhanyiso emkhathini wamazulu, ukuze zehlukanise phakathi kwemini lobusuku; njalo zibe yizibonakaliso lezikhathi ezimisiweyo, lensuku leminyaka.
01010f005b	Njalo zibe yizikhanyiso emkhathini wamazulu, ukuze zikhanyise emhlabeni. Kwasekusiba njalo.
01011000a0	UNkulunkulu wasesenza izikhanyiso ezimbili ezinkulu: Isikhanyiso esikhulu ukuze sibuse imini, lesikhanyiso esincinyane ukuze sibuse ubusuku, kanye lezinkanyezi.
0101110048	UNkulunkulu wasezimisa emkhathini wamazulu, ukuthi zikhanyise emhlabeni,
0101120070	lokuthi zibuse emini lebusuku, lokwehlukanisa phakathi kokukhanya lobumnyama. UNkulunkulu wasebona ukuthi kuhle.
0101130038	Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesine.
010114008a	UNkulunkulu wasesithi: Amanzi kawagcwale ukunyakazela kwemiphefumulo ephilayo, njalo kakuphaphe inyoni phezu komhlaba emkhathini wamazulu.
01011500d6	UNkulunkulu wasedala oququmadevu bolwandle abakhulu, laso sonke isidalwa esiphilayo esibhinqikayo, amanzi agcwele sona, ngohlobo lwaso, layo yonke inyoni elempiko, ngohlobo lwayo. UNkulunkulu wasebona ukuthi kuhle.
0101160070	UNkulunkulu wasekubusisa, esithi: Zalani, lande, njalo ligcwalise amanzi enlwandle, lezinyoni kazande emhlabeni.
010117003b	Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesihlanu.
010118009a	UNkulunkulu wasesithi: Umhlaba kawuveze izidalwa eziphilayo ngohlobo lwazo, izifuyo lokuhuquzelayo lenyamazana zomhlaba ngenhlobo zazo. Kwasekusiba njalo.
01011900ab	UNkulunkulu wasesenza izinyamazana zomhlaba ngenhlobo zazo, lezifuyo ngenhlobo zazo, lakho konke okuhuquzelayo komhlaba ngenhlobo zakho. UNkulunkulu wasebona ukuthi kuhle.
01011a00f6	UNkulunkulu wasesithi: Asenze abantu ngomfanekiso wethu, ngesimo sethu, njalo babuse phezu kwenhlanzi zolwandle, laphezu kwenyoni zamazulu, laphezu kwezifuyo, laphezu komhlaba wonke, laphezu kwakho konke okuhuquzelayo lokho okuhuquzela emhlabeni.
01011b0074	UNkulunkulu wasemdala umuntu ngomfanekiso wakhe; wamdala ngomfanekiso kaNkulunkulu; owesilisa lowesifazana wabadala.
01011c00e5	UNkulunkulu wasebabusisa, uNkulunkulu wasesithi kibo: Zalani lande, ligcwalise umhlaba njalo liwehlisele phansi; libuse phezu kwenhlanzi zolwandle, laphezu kwenyoni zamazulu, laphezu kwakho konke okuphilayo okuhuquzela emhlabeni.
01011d00c3	UNkulunkulu wasesithi: Khangelani, ngilinike yonke imibhida ethela inhlanyelo, esebusweni bomhlaba wonke, laso sonke isihlahla, okukuso isithelo sesihlahla esithela inhlanyelo; kini singesokudla.
01011e00ad	Njalo kuyo yonke inyamazana yomhlaba, lakuyo yonke inyoni yamazulu, lakukho konke okuhuquzela emhlabeni, okukukho umoya ophilayo, lonke uhlaza ngolokudla. Kwasekusiba njalo.
01011f0084	UNkulunkulu wasebona konke akwenzileyo; khangela-ke kwakukuhle kakhulu. Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesithupha.
0102010038	Kwasekuqediswa amazulu lomhlaba lalo lonke ibutho lakho.
0102020088	UNkulunkulu wasewuqeda ngosuku lwesikhombisa umsebenzi wakhe abewenza. Waphumula ngosuku lwesikhombisa emsebenzini wakhe wonke abewenza.
0102030088	UNkulunkulu wasebusisa usuku lwesikhombisa, walungcwelisa; ngoba ngalo waphumula emsebenzini wakhe wonke, uNkulunkulu awudalayo wawenza.
010204006a	Lezi yizizukulwana zamazulu lezomhlaba ekudalweni kwakho, mhla iNkosi uNkulunkulu isenza umhlaba lamazulu,
01020500cb	laso sonke isihlahlakazana sensimu, singakabi khona emhlabeni, layo yonke imibhida yeganga, ingakamili; ngoba iNkosi uNkulunkulu yayinganisanga izulu emhlabeni, njalo kwakungelamuntu wokulima umhlabathi.
010206004f	Kodwa kwenyuka inkungu ivela emhlabathini, yasithelela ubuso bonke bomhlabathi.
0102070097	INkosi uNkulunkulu yasibumba umuntu ngothuli oluvela emhlabathini, yaphefumulela emakhaleni akhe umoya wempilo; umuntu wasesiba ngumphefumulo ophilayo.
0102080064	INkosi uNkulunkulu yasihlanyela isivande eEdeni ngasempumalanga, yasimbeka khona umuntu eyambumbayo.
01020900a2	INkosi uNkulunkulu yasimilisa emhlabeni sonke isihlahla esibukekayo lesilungele ukudla; lesihlahla sempilo phakathi kwesivande, lesihlahla solwazi lokuhle lokubi.
01020a0067	Kwasekuphuma eEdeni umfula wokuthelela isivande; njalo kusukela lapho wehlukaniswa waba zinhloko ezine.
01020b005d	Ibizo lowokuqala yiPishoni; yiwo ozingelezele ilizwe lonke leHavila, lapho okulegolide khona.
01020c003f	Legolide lalelolizwe lihle; lapho kulebedola lelitshe i-onikse.
01020d0050	Lebizo lomfula wesibili yiGihoni; yiwo ozingelezele ilizwe lonke eleEthiyophiya.
01020e0067	Lebizo lomfula wesithathu yiHidekeli; yiwo ogelezela empumalanga kweAsiriya. Lomfula wesine yiYufrathi.
01020f005e	INkosi uNkulunkulu yasimthatha umuntu, yambeka esivandeni seEdeni, ukuze asilime asilondoloze.
010210005b	INkosi uNkulunkulu yasimlaya umuntu isithi: Kuso sonke isihlahla sesivande ungadla lokudla;
010211005f	kodwa okwesihlahla solwazi lokuhle lokubi, ungadli kuso, ngoba mhla usidla kuso uzakufa lokufa.
010212005f	INkosi uNkulunkulu yasisithi: Kakukuhle ukuthi umuntu abe yedwa. Ngizamenzela umsizi onjengaye.
01021300eb	INkosi uNkulunkulu yasibumba ngomhlabathi yonke inyamazana yeganga layo yonke inyoni yamazulu; yakuletha kuAdamu, ukuthi ibone ukuthi angazibiza ngokuthini, njalo loba yikuphi uAdamu azabiza ngakho isidalwa esiphilayo, yilo ibizo laso.
010214008e	UAdamu wasesitha amabizo kuzo zonke izifuyo, lenyonini yamazulu, lakuyo yonke inyamazana yeganga; kodwa uAdamu katholelwanga umsizi onjengaye.
0102150092	INkosi uNkulunkulu yasisehlisela phezu kukaAdamu ubuthongo obukhulu, waselala. Yasithatha olunye lwezimbambo zakhe, yavala ngenyama endaweni yalo.
0102160064	INkosi uNkulunkulu yasisenza ubambo eyayiluthethe emuntwini lwaba ngowesifazana, yasimusa emuntwini.
010217008c	UAdamu wasesithi: Lo khathesi ulithambo lamathambo ami, lenyama yenyama yami; uzabizwa ngokuthi ngowesifazana, ngoba yena ethethwe endodeni.
010218005a	Ngenxa yalokhu indoda izatshiya uyise lonina, inamathele kumkayo; njalo bazakuba nyamanye.
010219003c	Bobabili babenqunu-ke, umuntu lomkakhe, futhi bengelanhloni.
01030100c5	Inyoka yayilobuqili-ke kulayo yonke inyamazana yeganga, eyayiyenzile iNkosi uNkulunkulu. Yasisithi kowesifazana: Yebo uNkulunkulu watsho yini ukuthi: Kumele lingadli kuso sonke isihlahla sesivande?
010302004a	Owesifazana wasesithi enyokeni: Singadla okwesithelo sezihlahla zesivande;
0103030077	kodwa okwesithelo sesihlahla esiphakathi kwesivande, uNkulunkulu wathi: Lingadli kuso, njalo lingasithinti, hlezi life.
0103040031	Inyoka yasisithi kowesifazana: Kaliyikufa sibili.
010305007a	Ngoba uNkulunkulu uyazi ukuthi mhla lisidla kuso, amehlo enu azavuleka, njalo libe njengoNkulunkulu, lisazi okuhle lokubi.
01030600dc	Owesifazana ebona-ke ukuthi isihlahla silungile ukuba yikudla, lokuthi sona siyabukeka emehlweni, lesihlahla sikhwabitheka ukwenza uhlakaniphe, wakha okwesithelo saso, wadla; wasenika lendoda yakhe kanye laye, yasisidla.
010307007d	Asevuleka amehlo abo bobabili, basebesazi ukuthi babenqunu; basebethungela ndawonye amahlamvu omkhiwa, bazenzela amafasikoti.
01030800a5	Basebesizwa ilizwi leNkosi uNkulunkulu ihamba esivandeni ekupholeni kosuku; uAdamu lomkakhe basebecatsha ebusweni beNkosi uNkulunkulu phakathi kwezihlahla zesivande.
0103090038	INkosi uNkulunkulu yasibiza uAdamu, yathi kuye: Ungaphi?
01030a0055	Wasesithi: Ilizwi lakho ngilizwe esivandeni, ngesaba, ngoba nginqunu; ngasengicatsha.
01030b006d	Yasisithi: Ngubani okutshele ukuthi unqunu? Udlile yini okwesihlahla, engakulaya ngaso ukuthi ungadli okwaso?
01030c0068	UAdamu wasesithi: Owesifazana owangipha yena ukuthi abe lami, yena unginike okwesihlahla, ngasengisidla.
01030d0081	INkosi uNkulunkulu yasisithi kowesifazana: Kuyini lokhu okwenzileyo? Owesifazana wasesithi: Inyoka ingikhohlisile, ngasengisidla.
01030e00d6	INkosi uNkulunkulu yasisithi enyokeni: Njengoba usukwenzile lokhu, uqalekisiwe wena okwedlula sonke isifuyo lokwedlula yonke inyamazana yeganga. Uzahamba ngesisu sakho, njalo udle uthuli insuku zonke zempilo yakho.
01030f0094	Njalo ngizafaka ubutha phakathi kwakho lowesifazana laphakathi kwenzalo yakho lenzalo yakhe. Yona izakuchoboza ikhanda, wena uzayichoboza isithende.
01031000b7	Kowesifazana yathi: Ngokwandisa ngizakwandisa ubuhlungu bakho lokuzithwala kwakho; ngobuhlungu uzabeletha abantwana, lokukhanuka kwakho kuzakuba sendodeni yakho, njalo yona izakubusa.
01031100d4	Njalo kuAdamu yathi: Njengoba ulalele ilizwi lomkakho, wasusidla okwesihlahla engakulaya ngaso ukuthi: Ungadli okwaso, uqalekisiwe umhlaba ngenxa yakho; ngokukhathazeka uzakudla okwawo insuku zonke zempilo yakho.
010312004a	Njalo uzakumilisela ameva lokhula oluhlabayo, ubususidla imibhida yeganga.
010313008c	Ngesithukuthuku sobuso bakho uzakudla ukudla, uze ubuyele emhlabathini, ngoba wathathwa kuwo; ngoba wena uluthuli, njalo uzabuyela ethulini.
010314005a	UAdamu wasebiza ibizo lomkakhe ngokuthi nguEva, ngoba yena ungunina wabo bonke abaphilayo.
0103150050	INkosi uNkulunkulu yasisenzela uAdamu lomkakhe izigqoko zezigogo, yasibagqokisa.
01031600c7	INkosi uNkulunkulu yasisithi: Khangela, umuntu usenjengomunye wethu, esazi okuhle lokubi. Khathesi-ke, hlezi elule isandla sakhe athathe njalo okwesihlahla sempilo, adle aphile kuze kube sephakadeni.
0103170065	Ngakho iNkosi uNkulunkulu yamkhupha esivandeni seEdeni ukuthi alime umhlabathi, lapho athathwa khona.
010318008f	Yasimxotsha umuntu; yabeka empumalanga kwesivande seEdeni amakherubhi lenkemba evuthayo ephenduphendukayo, ukulinda indlela yesihlahla sempilo.
0104010067	UAdamu wasemazi uEva umkakhe; wasethatha isisu, wabeletha uKhayini, wasesithi: Ngizuze indoda eNkosini.
010402006a	Wasebuya ebeletha umfowabo uAbela. UAbela wasesiba ngumelusi wezimvu, loKhayini waba ngumlimi womhlabathi.
010403005d	Kwasekusithi ekupheleni kwezinsuku uKhayini waletha eNkosini umnikelo owesithelo somhlabathi.
010404006d	LoAbela, waletha laye emazibulweni ezimvu zakhe lakwezinonileyo zawo; iNkosi yasinaka uAbela lomnikelo wakhe.
0104050068	Kodwa uKhayini lomnikelo wakhe kayiwunakanga. UKhayini wasethukuthela kakhulu, lobuso bakhe banyukubala.
0104060053	INkosi yasisithi kuKhayini: Uthukutheleleni, njalo kungani ubuso bakho bunyukubele?
0104070092	Angithi uba usenza kuhle, kuyemukeleka yini? Kodwa uba ungenzi kuhle, isono siyacathama emnyango, lokunxwanela kwakhe kukuwe, kodwa wena uzambusa.
010408006d	UKhayini wasekhuluma loAbela umfowabo; kwasekusithi besegangeni, uKhayini wasukela umfowabo uAbela wambulala.
0104090069	INkosi yasisithi kuKhayini: Ungaphi uAbela umfowenu? Wasesithi: Angazi; ngingumlondolozi womfowethu yini?
01040a004f	Yasisithi: Wenzeni? Ilizwi legazi lomfowenu liyakhala kimi livela emhlabathini.
01040b0062	Khathesi-ke uqalekisiwe emhlabeni okhamise umlomo wawo ukwemukela igazi lomfowenu esandleni sakho.
01040c005a	Nxa ulima umhlabathi, kawusayikukunika amandla awo; uzakuba luzulane lomhambuma emhlabeni.
01040d0047	UKhayini wasesithi eNkosini: Isijeziso sami sikhulu kulengingakuthwala.
01040e00b0	Khangela, ungixotshile lamuhla ebusweni bomhlaba, njalo ngizacatshiswa ebusweni bakho; sengizakuba luzulane lomhambuma emhlabeni; njalo kuzakuthi wonke ongificayo uzangibulala.
01040f00a1	INkosi yasisithi kuye: Ngakho, loba ngubani obulala uKhayini uzaphindiselwa kasikhombisa. INkosi yasibeka uphawu kuKhayini, hlezi loba ngubani omficayo ambulale.
0104100054	UKhayini wasesuka ebusweni beNkosi, wasehlala elizweni leNodi, empumalanga kweEdeni.
0104110089	UKhayini wasemazi umkakhe; wasethatha isisu, wabeletha uEnoki; njalo wayesakha umuzi, wabiza ibizo lomuzi ngebizo lendodana yakhe uEnoki.
010412007e	Kwasekuzalelwa uEnoki uIradi; uIradi wasezala uMehujayeli; uMehujayeli wasezala uMethushayeli; uMethushayeli wasezala uLameki.
0104130063	ULameki wasezithathela abafazi ababili, ibizo lowokuqala lalinguAda, lebizo lowesibili lalinguZila.
0104140050	UAda wasezala uJabali; yena wayenguyise walabo abahlala emathenteni, belezifuyo.
010415005a	Lebizo lomfowabo lalinguJubali, yena wayenguyise wakhe wonke olokwenza lechacho lomhlanga.
0104160085	UZila laye wasezala uThubhali-Khayini, umkhandi wakho konke okusikayo kwethusi lensimbi. Lodadewabo kaThubhali-Khayini wayenguNahama.
01041700c4	ULameki wasesithi kubafazi bakhe: Ada loZila, zwanini ilizwi lami, bafazi bakaLameki, bekani indlebe ekukhulumeni kwami; ngoba ngabulala indoda ngenxa yokungilimaza, lomfana ngenxa yokungihluzula.
0104180067	Nxa uKhayini ephindiselwa kasikhombisa, isibili uLameki kamatshumi ayisikhombisa ephindwe kasikhombisa.
01041900b9	UAdamu wasephinda wamazi umkakhe; wasezala indodana, wasebiza ibizo layo wathi nguSeti; ngoba wathi: UNkulunkulu ungibekele enye inzalo esikhundleni sikaAbela, ngoba uKhayini wambulala.
01041a0070	Laye uSeti wasezalelwa indodana, wabiza ibizo layo wathi nguEnosi. Ngalesosikhathi baqala ukubiza ibizo leNkosi.
010501006a	Lolu lugwalo lwezizukulwana zikaAdamu. Mhla uNkulunkulu edala umuntu, wamenza ngokomfanekiso kaNkulunkulu.
0105020060	Wabadala owesilisa lowesifazana, wasebabusisa, wasebiza ibizo labo wathi ngabantu, mhla bedalwa.
0105030094	UAdamu wasephila iminyaka elikhulu lamatshumi amathathu; wasezala indodana efuzweni lwakhe njengokomfanekiso wakhe, wabiza ibizo layo wathi nguSeti.
0105040077	Njalo izinsuku zikaAdamu esezele uSeti zaba yiminyaka engamakhulu ayisificaminwembili; wasezala amadodana lamadodakazi.
0105050077	Zonke-ke izinsuku zikaAdamu, aziphilayo, zaba yiminyaka engamakhulu ayisificamunwemunye lamatshumi amathathu, wasesifa.
010506003a	USeti wasephila iminyaka elikhulu lanhlanu; wazala uEnosi.
0105070074	USeti wasephila esezele uEnosi iminyaka engamakhulu ayisificaminwembili lesikhombisa; wazala amadodana lamadodakazi.
0105080064	Zonke-ke izinsuku zikaSeti zaziyiminyaka engamakhulu ayisificamunwemunye letshumi lambili; wasesifa.
010509004b	UEnosi wasephila iminyaka engamatshumi ayisificamunwemunye, wazala uKenani.
01050a007d	UEnosi wasephila, esezele uKenani, iminyaka engamakhulu ayisificaminwembili letshumi lanhlanu; wazala amadodana lamadodakazi.
01050b005d	Zonke-ke izinsuku zikaEnosi zaziyiminyaka engamakhulu ayisificamunwemunye lanhlanu; wasesifa.
01050c004a	UKenani wasephila iminyaka engamatshumi ayisikhombisa, wazala uMahalaleli.
01050d0081	UKenani wasephila, esezele uMahalaleli, iminyaka engamakhulu ayisificaminwembili lamatshumi amane; wazala amadodana lamadodakazi.
01050e005e	Zonke-ke izinsuku zikaKenani zaziyiminyaka engamakhulu ayisificamunwemunye letshumi, wasesifa.
01050f0051	UMahalaleli wasephila iminyaka engamatshumi ayisithupha lanhlanu, wazala uJaredi.
0105100085	UMahalaleli wasephila, esezele uJaredi, iminyaka engamakhulu ayisificaminwembili lamatshumi amathathu; wazala amadodana lamadodakazi.
0105110081	Zonke-ke izinsuku zikaMahalaleli zaziyiminyaka engamakhulu ayisificaminwembili lamatshumi ayisificamunwemunye lanhlanu; wasesifa.
0105120052	UJaredi wasephila iminyaka elikhulu lamatshumi ayisithupha lambili, wazala uEnoki.
010513006b	UJaredi wasephila, esezele uEnoki, iminyaka engamakhulu ayisificaminwembili; wazala amadodana lamadodakazi.
0105140074	Zonke-ke izinsuku zikaJaredi zaziyiminyaka engamakhulu ayisificamunwemunye lamatshumi ayisithupha lambili; wasesifa.
010515004f	UEnoki wasephila iminyaka engamatshumi ayisithupha lanhlanu, wazala uMethusela.
0105160071	UEnoki wasehamba loNkulunkulu, esezele uMethusela, iminyaka engamakhulu amathathu; wazala amadodana lamadodakazi.
0105170060	Zonke-ke izinsuku zikaEnoki zaziyiminyaka engamakhulu amathathu lamatshumi ayisithupha lanhlanu.
0105180044	UEnoki wasehamba loNkulunkulu; kasekho, ngoba uNkulunkulu wamthatha.
0105190063	UMethusela wasephila iminyaka elikhulu lamatshumi ayisificaminwembili lesikhombisa, wazala uLameki.
01051a0090	UMethusela wasephila, esezele uLameki, iminyaka engamakhulu ayisikhombisa lamatshumi ayisificaminwembili lambili; wazala amadodana lamadodakazi.
01051b0082	Zonke-ke izinsuku zikaMethusela zaziyiminyaka engamakhulu ayisificamunwemunye lamatshumi ayisithupha lesificamunwemunye; wasesifa.
01051c005c	ULameki wasephila iminyaka elikhulu lamatshumi ayisificaminwembili lambili, wazala indodana.
01051d009c	Wasebiza ibizo layo wathi nguNowa esithi: Lo uzasiduduza ekusebenzeni kwethu lekutshikatshikeni kwezandla zethu, ngenxa yomhlabathi, ewuqalekisileyo iNkosi.
01051e0087	ULameki wasephila, esezele uNowa, iminyaka engamakhulu amahlanu lamatshumi ayisificamunwemunye lanhlanu; wazala amadodana lamadodakazi.
01051f0075	Zonke-ke izinsuku zikaLameki zaziyiminyaka engamakhulu ayisikhombisa lamatshumi ayisikhombisa lesikhombisa; wasesifa.
0105200053	UNowa waba leminyaka engamakhulu amahlanu, uNowa wasezala uShemu, uHamu, loJafethi.
0106010052	Kwasekusithi abantu sebeqala ukwanda ebusweni bomhlaba, basebezalelwa amadodakazi,
0106020073	amadodana kaNkulunkulu ebona amadodakazi abantu ukuthi wona ayemahle; asezithathela abafazi kuwo wonke awakhethayo.
010603009a	INkosi yasisithi: UMoya wami kawuyikulwisana lomuntu njalonjalo, ngoba laye eyinyama; kodwa izinsuku zakhe zizakuba yiminyaka elikhulu lamatshumi amabili.
01060400bf	Iziqhwaga zazisemhlabeni ngalezonsuku; lemva kwalokho-ke, lapho amadodana kaNkulunkulu esengenile emadodakazini abantu, asewazalela abantwana. Wona ayengamaqhawe asendulo, engamadoda alebizo.
010605008a	INkosi yasibona ukuthi ububi bomuntu bukhulu emhlabeni, lokuthi konke ukuceba kwemicabango yenhliziyo yakhe kwakukubi kuphela usuku lonke.
0106060056	INkosi yasizisola ngokuthi yayimenzile umuntu emhlabeni, yasidabuka enhliziyweni yayo.
01060700c9	INkosi yasisithi: Ngizamchitha umuntu engamdalayo ngimsuse ebusweni bomhlaba, kusukela emuntwini kusiya enyamazaneni, kuze kube kokuhuquzelayo, lenyonini zamazulu; ngoba ngiyazisola ukuthi ngikwenzile.
010608002a	Kodwa uNowa wazuza umusa emehlweni eNkosi.
0106090076	Lezi yizizukulwana zikaNowa. UNowa wayeyindoda elungileyo epheleleyo esizukulwaneni sakhe; uNowa wahamba loNkulunkulu.
01060a003c	UNowa wasezala amadodana amathathu, uShemu, uHamu loJafethi.
01060b0057	Umhlaba wonakaliswa-ke phambi kukaNkulunkulu, lomhlaba wagcwaliswa ngobudlwangudlwangu.
01060c006d	UNkulunkulu wasebona umhlaba, khangela-ke wonakalisiwe, ngoba yonke inyama yonakalise indlela yayo emhlabeni.
01060d00ae	UNkulunkulu wasesithi kuNowa: Ukuphela kwayo yonke inyama sekuze phambi kwami, ngoba umhlaba ugcwele ubudlwangudlwangu ngenxa yabo; khangela-ke, ngizabachitha kanye lomhlaba.
01060e0072	Zakhele umkhumbi ngezigodo zegofere, wenze izigaba phakathi komkhumbi, uwuhuqe ngengcino ngaphakathi langaphandle.
01060f00b0	Nansi indlela ozawenza ngayo; ingalo ezingamakhulu amathathu yibude bomkhumbi, ingalo ezingamatshumi amahlanu yibubanzi bawo, ingalo ezingamatshumi amathathu yikuphakama kwawo.
01061000a7	Iwindi uzalenza emkhunjini, uliqede libe yingalo kusukela phezulu, ufake umnyango womkhumbi ehlangothini lwawo, uwenze ube lesitezi esaphansi, esesibili, lesesithathu.
01061100ac	Mina-ke, khangela, ngizakwehlisela uzamcolo wamanzi phezu komhlaba, ukuchitha yonke inyama, okukuyo umoya wempilo, isuke ngaphansi kwamazulu. Konke okusemhlabeni kuzaphela.
0106120085	Kodwa ngizamisa isivumelwano sami lawe; njalo uzangena emkhunjini, wena lamadodana akho lomkakho labafazi bamadodana akho kanye lawe.
0106130093	Lakukho konke okuphilayo, kuyo yonke inyama, okubili kwakho konke, uzakuletha emkhunjini, ukulondoloze kuphila lawe, kuzakuba ngokuduna lokusikazi;
010614009e	enyonini ngohlobo lwayo, lesifuyweni ngohlobo lwaso, lakukho konke okuhuquzelayo komhlaba ngohlobo lwakho, okubili kwakho kuzakuza kuwe, ukulondoloze kuphila.
0106150076	Lawe-ke, zithathele kukho konke ukudla okudliwayo, njalo ukubuthelele kuwe, futhi kuzakuba ngokwakho lokwazo okokudla.
0106160049	Wasekwenza uNowa; njengakho konke uNkulunkulu ayemlaye khona wenza njalo.
0107010080	INkosi yasisithi kuNowa: Ngena wena lendlu yakho yonke emkhunjini, ngoba wena ngikubone ulungile phambi kwami kulesisizukulwana.
01070200b0	Kuyo yonke inyamazana ehlambulukileyo uzazithathela ngasikhombisa ngasikhombisa, enduna lensikazi yayo; njalo kuyo inyamazana engahlambulukanga ezimbili, enduna lensikazi yayo.
010703007d	Lakuzo inyoni zamazulu ngasikhombisa ngasikhombisa, enduna lensikazi, ukulondoloza inhlanyelo iphila ebusweni bomhlaba wonke.
01070400bf	Ngoba kusele izinsuku eziyisikhombisa, besenginisa izulu emhlabeni, izinsuku ezingamatshumi amane lobusuku obungamatshumi amane, ngibhubhise konke okuphilayo, engakwenzayo, ebusweni bomhlaba.
0107050036	UNowa wasesenza njengakho konke iNkosi eyamlaya khona.
0107060054	UNowa wayeleminyaka engamakhulu ayisithupha, lapho uzamcolo wamanzi ephezu komhlaba.
0107070072	UNowa wasengena emkhunjini lamadodana akhe lomkakhe labafazi bamadodana akhe kanye laye, ngenxa yamanzi kazamcolo.
0107080084	Kuzo inyamazana ezihlambulukileyo, lakuzo inyamazana ezingahlambulukanga, lakuzo inyoni, lakukho konke okuhuquzelayo phezu komhlaba,
0107090063	ngambili ngambili kweza kuNowa emkhunjini, okuduna lokusikazi, njengoba uNkulunkulu emlayile uNowa.
01070a004e	Kwasekusithi emva kwensuku eziyisikhombisa amanzi kazamcolo ayephezu komhlaba.
01070b00cc	Ngomnyaka wamakhulu ayisithupha wempilo kaNowa, ngenyanga yesibili, ngosuku lwetshumi lesikhombisa lwenyanga, ngalolosuku yonke imithombo yokujula okukhulu yaqhekezwa, lamasango empophoma zamazulu avulwa.
01070c0053	Izulu laliphezu komhlaba insuku ezingamatshumi amane lobusuku obungamatshumi amane.
01070d0097	Ngalolosuku olufananayo uNowa wangena loShemu loHamu loJafethi, amadodana kaNowa, lomkaNowa, labafazi abathathu bamadodana akhe kanye labo, emkhunjini,
01070e00dc	bona, layo yonke inyamazana ngohlobo lwayo, laso sonke isifuyo ngohlobo lwaso, lakho konke okuhuquzelayo kuhuquzela phezu komhlaba ngohlobo lwakho, lakho konke okuphaphayo ngohlobo lwakho, yonke inyoni yalo lonke uphiko.
01070f005b	Zasezingena kuNowa emkhunjini, ngambili ngambili, kuyo yonke inyama, okukuyo umoya wempilo.
010710007e	Lezangenayo, kwangena enduna lensikazi kuyo yonke inyama, njengalokho uNkulunkulu ayemlaye khona; iNkosi yasimvalela phakathi.
010711007f	Uzamcolo wasesiba semhlabeni insuku ezingamatshumi amane; amanzi asesanda asephakamisa umkhumbi, waze waphakama phezu komhlaba.
0107120061	Amanzi asephakama ngamandla, anda kakhulu phezu komhlaba; lomkhumbi wahamba phezu kobuso bamanzi.
010713007d	Amanzi asephakama ngamandla kakhulukazi emhlabeni, zaze zasitshekelwa zonke intaba eziphakemeyo ezingaphansi kwamazulu wonke.
0107140058	Izingalo ezilitshumi lanhlanu amanzi aqonga aphakama ngamandla, lezintaba zasitshekelwa.
01071500a2	Yonke-ke inyama yaphela, eyayihamba phezu komhlaba, eyenyoni, leyesifuyo, leyenyamazana, leyakho konke okuhuquzelayo kuhuquzela phezu komhlaba, laye wonke umuntu;
0107160063	konke okulokuphefumula komoya wempilo emakhaleni akho, kwakho konke okusemhlabeni owomileyo, kwafa.
01071700e7	Kwachithwa konke okwakukhona, okwakusebusweni bomhlaba, kusukela emuntwini kusiya esifuyweni kusiya kokuhuquzelayo njalo kusiya enyonini yamazulu; kwasekuchithwa emhlabeni; kwasekutshiywa uNowa kuphela, lalokho ayelakho emkhunjini.
0107180056	Lamanzi ayephakama ngamandla phezu komhlaba, okwensuku ezilikhulu lamatshumi amahlanu.
