010000000a	Yaradiliş
01020500ba	yer üzündə heç bir bitki yox idi, heç bir çöl otu da bitmirdi, çünki Rəbb Allah yer üzünə hələ yağış göndərməmişdi və torpağı becərən insan da yaranmamışdı.
010206003e	Amma yerdən su çıxırdı və bütün torpağı sulayırdı.
0102070082	Rəbb Allah yerin torpağından insanı düzəltdi və onun burnuna həyat nəfəsi üfürdü. Beləcə insan canlı varlıq oldu.
010208006d	Sonra Rəbb Allah şərqdə yerləşən Edendə bir bağ saldı və düzəltdiyi insanı orada yerləşdirdi.
01020900cd	Rəbb Allah torpaqda gözəl görünüşlü və yemək üçün şirin meyvəli cürbəcür ağaclar yetirdi. O həmçinin bağın ortasında həyat ağacını və xeyirlə şəri bilmə ağacını bitirdi.
01020a005c	Bağı suvarmaq üçün Edendən bir çay çıxırdı, oradan isə dörd qola bölünürdü.
01020b0065	Onlardan birinin adı Pişondur. O bütün Xavila ölkəsini dolanaraq axır. Orada qızıl çıxır.
01020c005a	Bu ölkənin qızılı yaxşıdır. Burada həm də ətirli qatran və damarlı əqiq var.
01020d0042	İkinci çayın adı Gixondur. O, Kuş ölkəsini dolanaraq axır.
01020e006b	Üçüncü çayın adı Dəclədir. O, Aşşur ölkəsinin şərqindən axır. Dördüncü çay Fəratdır.
01020f0056	Rəbb Allah insanı götürüb Eden bağına qoydu ki, oranı becərsin və saxlasın.
0102100070	Rəbb Allah insana əmr edib dedi: «Bağdakı bütün ağacların bəhrəsindən istəyəndə yeyə bilərsən.
0102110071	Ancaq xeyirlə şəri bilmə ağacının meyvəsindən yemə, çünki ondan yeyən gün hökmən öləcəksən».
0102120075	Rəbb Allah yenə dedi: «İnsanın tək olması yaxşı deyil, Mən ona münasib olan bir köməkçi yaradacağam».
01021300fa	Rəbb Allah bütün çöl heyvanlarını və göydəki bütün quşları torpaqdan düzəltdi. Sonra onları insanın yanına gətirdi ki, onun bunları necə adlandıracağını görsün. İnsan hər heyvana hansı adı qoydusa, o cür də adlandı.
0102140093	İnsan bütün ev heyvanlarına, göydəki quşlara və bütün çöl heyvanlarına ad verdi, amma insana münasib olan bir köməkçi tapılmadı.
0102150099	O zaman Rəbb Allah insana dərin yuxu göndərdi və o yuxuya getdi. Onda Rəbb Allah onun qabırğasının birini götürdü və yerini ətlə örtdü.
0102160066	Rəbb Allah insandan götürdüyü qabırğadan qadını düzəltdi və onu insanın yanına gətirdi.
01021700ae	İnsan dedi: «Bax, nəhayət, bunun Sümüyü mənim sümüyümdən, Bədəni mənim bədənimdəndir. Adına “qadın” deyiləcək, Çünki o, kişidən götürülüb».
0102180065	Buna görə də kişi öz ata-anasını tərk edib arvadına qovuşacaq və onlar bir bədən olacaq.
010219004a	Adəm və arvadı – ikisi də çılpaq idi, ancaq bundan utanmırdılar.
01030100cb	Rəbb Allahın yaratdığı bütün çöl heyvanlarının ən hiyləgəri ilan idi. İlan qadına dedi: «Doğrudanmı, Allah sizə “bağda olan heç bir ağacın bəhrələrindən yeməyin” deyib?»
010302004c	Qadın ilana dedi: «Bağdakı ağacların bəhrələrindən yeyə bilərik.
0103030087	Amma bağın ortasındakı ağacın meyvələri barədə Allah deyib: “Ondan yeməyin və ona toxunmayın, yoxsa öləcəksiniz!”»
010304002e	İlan qadına dedi: «Yox, əsla ölməzsiniz.
010305008b	Əksinə, Allah bilir ki, o meyvələrdən yediyiniz gün gözləriniz açılacaq və xeyirlə şəri bilərək Allah kimi olacaqsınız».
01030600ec	Qadın gördü ki, ağacın meyvəsi yemək üçün yaxşıdır, gözə xoş görünür və bu ağac insana dərrakə verməyi vəd edir. Buna görə də o həmin meyvədən dərib yedi. Sonra yanında olan ərinə də verdi, o da yedi.
01030700a9	O vaxt ikisinin də gözləri açıldı və çılpaq olduqlarını bildilər. Buna görə də əncir yarpaqlarını bir-birinə hörüb özlərinə fitə düzəltdilər.
01030800bb	Onlar günün sərinliyində bağda gəzişən Rəbb Allahın səsini eşitdilər. Adəm və onun arvadı Rəbb Allahın hüzurundan qaçıb bağdakı ağacların arasında gizləndilər.
0103090032	Rəbb Allah Adəmi səsləyib dedi: «Haradasan?»
01030a0070	O cavab verdi: «Bağda səsini eşitdim və çılpaq olduğum üçün qorxdum, ona görə də gizlənmişəm».
01030b0081	Rəbb Allah dedi: «Kim sənə bildirdi ki, çılpaqsan? Sənə yeməyi qadağan etdiyim ağacın meyvəsindən yeməmisən ki?»
01030c006e	Adəm dedi: «Mənimlə birgə olmaq üçün verdiyin qadın o ağacın meyvəsindən verdi, mən də yedim».
01030d0076	Rəbb Allah qadına dedi: «Sən niyə belə etdin?» Qadın dedi: «İlan məni yoldan çıxartdı, mən də yedim».
01030e00d0	Rəbb Allah ilana dedi: «Sən bunu etdiyin üçün Bütün ev heyvanları və çöl heyvanları arasında Lənət qazanırsan. Qarnın üstündə sürünəcəksən, Bütün ömrün boyu torpaq yeyəcəksən.
01030f00ac	Mən səninlə qadın arasına, Sənin balanla onun övladı arasına Düşmənçilik salıram. Bu övlad sənin başından vuracaq, Sən də onu dabanından sancacaqsan».
01031000b7	Sonra Rəbb Allah qadına dedi: «Hamilə olanda sənə Çox əziyyət verəcəyəm, Uşaqlarını ağrı içində doğacaqsan. Ərinə meylli olacaqsan, O sənə ağalıq edəcək».
01031100fe	Sonra Rəbb Allah Adəmə dedi: «Arvadının sözünə qulaq asdığın üçün, Qadağan etdiyim, “meyvəsini yemə” dediyim Ağacdan yediyin üçün Sənə görə torpaq lənətlənir. Ömrün boyu zəhmətlə Torpaqdan yemək əldə edəcəksən.
0103120054	O sənə tikan və qanqal bitirəcək, Sən də çöldəki ot-ələfi yeyəcəksən.
01031300a8	Alın tərinlə çörək yeyəcəksən. Axırda torpağa qayıdacaqsan, Çünki oradan götürülmüsən, Ona görə ki yerin torpağısan, Torpağa da qayıdacaqsan».
0103140069	Adəm arvadının adını Həvva qoydu, çünki o, yer üzündə yaşayanların hamısının anası oldu.
010315005c	Onda Rəbb Allah Adəmlə arvadı üçün dəridən paltar düzəltdi və onlara geyindirdi.
01031600d0	Sonra Rəbb Allah dedi: «Budur, insan xeyirlə şərin nə olduğunu bilərək bizlərdən biri kimi oldu. Qoy indi əlini uzadaraq həyat ağacının meyvəsindən dərib yeməsin və əbədi yaşamasın!»
0103170078	Rəbb Allah insanı Eden bağından çıxartdı ki, o özünün də bir qismindən götürüldüyü torpağı becərsin.
01031800a9	Rəbb Allah insanı qovdu. O, Eden bağının şərqinə keruvlarını və hər tərəfə fırlanan odlu qılıncını qoydu ki, həyat ağacına gedən yolu qorusunlar.
010401008c	Adəm arvadı Həvva ilə yaxınlıq etdi və Həvva hamilə olub Qabili doğdu. Həvva dedi: «Rəbbin köməyi ilə bir insan qazandım».
0104020051	Sonra o, Qabilin qardaşı Habili doğdu. Habil çoban oldu, Qabil isə əkinçi.
010403005d	Bir müddət keçəndən sonra Qabil torpağın bəhrəsindən Rəbb Allaha təqdim gətirdi.
0104040090	Habil də sürüsündə ilk doğulan heyvanlardan bir neçəsini və onların piyini təqdim etdi. Rəbb Habili və onun təqdimini qəbul etdi,
0104050074	ancaq Qabili və onun təqdimini qəbul etmədi. Buna görə də Qabil bərk qəzəblənib qaşqabağını salladı.
0104060051	Rəbb Qabilə dedi: «Niyə qəzəblənmisən? Niyə qaşqabağını sallamısan?
01040700bf	Əgər yaxşı iş görürsənsə, Mən qəbul etmərəmmi? Əgər yaxşı iş görmürsənsə, günah qapının ağzında durub. Onun meyli sənədir, ancaq sən ona üstün gəlməlisən».
010408008f	Sonra Qabil qardaşı Habilə bir söz dedi və onlar çölə getdilər. Orada Qabil qardaşı Habilin üstünə hücum çəkib onu öldürdü.
0104090083	Sonra Rəbb Qabildən soruşdu: «Qardaşın Habil haradadır?» O dedi: «Bilmirəm, məgər mən qardaşımın keşikçisiyəm?»
01040a005a	Rəbb dedi: «Sən nə etdin? Qardaşının qanının səsi torpaqdan Mənə fəryad edir.
01040b007c	İndi sən torpaqdan lənət aldın; o torpaq ki sənin əlinlə tökülən qardaş qanını udmaq üçün ağzını açdı.
01040c0074	Torpağı becərdiyin zaman o daha gücünü sənə verməyəcək. Yer üzündə qaçaq və sərgərdan olacaqsan».
01040d0045	Qabil Rəbbə dedi: «Cəzam çəkə biləcəyimdən daha artıqdır.
01040e00b6	Bax bu gün Sən məni torpaqdan qovursan. Mən də Sənin hüzurundan gizlənib yer üzündə qaçaq və sərgərdan olacağam. Ancaq kim mənə rast gəlsə, məni öldürəcək».
01040f00a1	Rəbb ona dedi: «Xeyr! Kim Qabili öldürsə, ondan yeddi qat intiqam alınacaq». Rəbb Qabilə bir əlamət qoydu ki, ona rast gələn kəs onu öldürməsin.
0104100074	Beləcə Qabil Rəbbin hüzurunu tərk etdi və Eden bağından şərqdə – Nod torpağında yaşamağa başladı.
0104110091	Qabil arvadı ilə yaxınlıq etdi və arvadı hamilə olub Xanoku doğdu. O zaman o, bir şəhər tikdi, şəhərə oğlu Xanokun adını verdi.
0104120073	Xanokdan İrad törədi. İraddan Mehuyael törədi. Mehuyaeldən Metuşael törədi. Metuşaeldən Lemek törədi.
0104130042	Lemek iki arvad aldı: birinin adı Ada, o birinin adı Silla idi.
010414005a	Ada Yavalı doğdu. Yaval çadırda yaşamağın və sürü saxlamağın əsasını qoydu.
010415005d	Onun qardaşının adı Yuval idi. O hər cür lira və tütək çalmağın əsasını qoydu.
0104160090	Silla isə Tuval-Qayini doğdu. Tuval-Qayin tuncdan və dəmirdən hər cür kəsici alətlər düzəldərdi. Onun Naama adlı bacısı var idi.
01041700db	Bir dəfə Lemek arvadlarına dedi: «Ey Ada və Silla, səsimi eşidin, Ey Lemekin arvadları, sözümə qulaq asın: Məni yaraladığı üçün Bir adam öldürdüm, Məni zədələdiyi üçün Bir cavan öldürdüm.
0104180057	Qabil üçün yeddi qat qisas alınacaqsa, Lemek üçün yetmiş yeddi qat alınacaq».
01041900b5	Adəm yenə arvadı ilə yaxınlıq etdi və Həvva bir oğlan doğub adını Şet qoyaraq dedi: «Qabilin öldürdüyü Habilin yerinə Allah mənə başqa bir oğul bəxş etdi».
01041a006c	Şetin də bir oğlu oldu və adını Enoş qoydu. O zaman insanlar Rəbbin adını çağırmağa başladı.
0105010062	Adəmin nəsil tarixçəsi belədir. Allah insanı yaradanda onu Öz bənzərinə görə yaratdı.
010502007c	Allah onları kişi və qadın olaraq yaratdı, onlara xeyir-dua verdi və yaratdığı gün onları «insan» adlandırdı.
0105030069	Adəmin yüz otuz yaşı olanda özünə bənzər, öz surətində bir oğlu oldu və adını Şet qoydu.
0105040061	Şet doğulandan sonra Adəm səkkiz yüz il yaşadı. Onun başqa oğulları və qızları oldu.
0105050030	Adəm doqquz yüz otuz il ömür sürüb öldü.
0105060035	Şet yüz beş yaşında olanda oğlu Enoş doğuldu.
0105070067	Enoş doğulandan sonra Şet səkkiz yüz yeddi il yaşadı. Onun başqa oğulları və qızları oldu.
0105080031	Şet doqquz yüz on iki il ömür sürüb öldü.
0105090033	Enoş doxsan yaşında olanda oğlu Qenan doğuldu.
01050a006a	Qenan doğulandan sonra Enoş səkkiz yüz on beş il yaşadı. Onun başqa oğulları və qızları oldu.
01050b0030	Enoş doqquz yüz beş il ömür sürüb öldü.
01050c0038	Qenan yetmiş yaşında olanda oğlu Mahalalel doğuldu.
01050d006c	Mahalalel doğulandan sonra Qenan səkkiz yüz qırx il yaşadı. Onun başqa oğulları və qızları oldu.
01050e002e	Qenan doqquz yüz on il ömür sürüb öldü.
01050f003e	Mahalalel altmış beş yaşında olanda oğlu Yered doğuldu.
010510006b	Yered doğulandan sonra Mahalalel səkkiz yüz otuz il yaşadı. Onun başqa oğulları və qızları oldu.
010511003c	Mahalalel səkkiz yüz doxsan beş il ömür sürüb öldü.
010512003e	Yered yüz altmış iki yaşında olanda oğlu Xanok doğuldu.
0105130062	Xanok doğulandan sonra Yered səkkiz yüz il yaşadı. Onun başqa oğulları və qızları oldu.
0105140038	Yered doqquz yüz altmış iki il ömür sürüb öldü.
010515003f	Xanok altmış beş yaşında olanda oğlu Metuşelah doğuldu.
0105160071	Metuşelah doğulandan sonra Xanok üç yüz il Allahla bir yol getdi. Onun başqa oğulları və qızları oldu.
010517002a	Xanok üç yüz altmış beş il yaşadı.
0105180054	O, Allahla bir yol getdi. Sonra qeyb oldu, çünki Allah onu Öz yanına götürdü.
0105190045	Metuşelah yüz səksən yeddi yaşında olanda oğlu Lemek doğuldu.
01051a0072	Lemek doğulandan sonra Metuşelah yeddi yüz səksən iki il yaşadı. Onun başqa oğulları və qızları oldu.
01051b0040	Metuşelah doqquz yüz altmış doqquz il ömür sürüb öldü.
01051c003c	Lemek yüz səksən iki yaşında olanda bir oğlu doğuldu.
01051d00bc	O dedi: «Bu oğul Rəbbin lənətlədiyi torpağı becərəndə çəkdiyimiz əziyyətlərdə, əlimizin zəhmətində bizə təsəlli verəcək». Buna görə də onun adını Nuh qoydu.
01051e0069	Nuh doğulandan sonra Lemek beş yüz doxsan beş il yaşadı. Onun başqa oğulları və qızları oldu.
01051f0038	Lemek yeddi yüz yetmiş yeddi il ömür sürüb öldü.
010520004b	Nuh beş yüz yaşında olanda Sam, Ham və Yafəs adında oğulları oldu.
010601004e	İnsanlar yer üzündə çoxalmağa başladı və onların qızları doğuldu.
0106020084	O zaman Allah oğulları gördülər ki, insan qızları çox gözəldir və bəyəndikləri hər qızı özlərinə arvad etdilər.
010603007f	Rəbb dedi: «Mənim Ruhum insanda əbədi qalmayacaq, çünki onlar ancaq bədəndir. Onların ömrü yüz iyirmi il olacaq».
01060400d3	Həmin dövrdə və Allah oğulları insan qızlarını arvad alıb övladları doğulan dövrdə də yer üzündə böyük adamlar yaşayırdı. Bunlar qədim dövrün qəhrəman və adlı-sanlı adamları idi.
01060500a2	Rəbb gördü ki, yer üzündəki insanların şər əməlləri çoxdur və hər zaman onların ürəyindəki fikirlər və niyyətlər pisliyə doğru yönəlir.
0106060056	O, yer üzündə insanları yaratdığına peşman oldu və ürəyində kədərləndi.
01060700d7	Rəbb dedi: «Yaratdığım insanları yer üzündən siləcəyəm, bunu insanlarla birgə heyvanların, sürünənlərin və quşların da başına gətirəcəyəm, çünki onları yaratmağıma peşman olmuşam».
010608002a	Ancaq Nuh Rəbbin gözündə lütf tapdı.
0106090072	Nuhun tarixçəsi belədir: Nuh saleh və öz nəsli arasında qüsursuz bir adam idi. O, Allahla bir yol gedirdi.
01060a002b	Nuhun üç oğlu oldu: Sam, Ham və Yafəs.
01060b0069	Ancaq Allahın önündə yer üzündəki insanlar pozğunlaşmışdı və dünya zorakılıqla dolmuşdu.
01060c0080	Allah yer üzündəki insanların daha da pozğunlaşdığını gördü, çünki dünyadakı bütün bəşər yolunu azmışdı.
01060d00be	Allah Nuha dedi: «Önümdə olan bütün bəşərin sonu çatıb, çünki yer üzü onların zorakılığı ilə dolub. Buna görə də Mən onları yer üzü ilə birgə məhv edəcəyəm.
01060e007e	Özünə qofer ağacından bir gəmi düzəlt, onun içində otaqlar düzəlt, üstünə içəridən və bayırdan qatran vur.
01060f006e	Gəmini belə düzəlt: onun uzunluğu üç yüz qulac, eni əlli qulac, hündürlüyü isə otuz qulac olsun.
01061000b2	Gəminin üstündən bir qulac aşağı pəncərə açarsan və qapısını yan tərəfdən qoyarsan. Gəminin üç mərtəbəsi olsun: biri altda, biri ortada, biri də üstdə.
01061100a6	Bax Mən yer üzünü suya qərq edəcəyəm ki, göylər altında həyat nəfəsi olan bütün canlılar məhv olsun və yer üzündə olanların hamısı öləcək.
0106120070	Ancaq əhdimi səninlə bağlayıram. Sən oğulların, arvadın və gəlinlərinlə birgə gəmiyə minərsən.
010613008c	Bütün heyvanlardan, canlı məxluqlardan bir cütünü – erkək və dişisini gəmiyə götürərsən ki, səninlə birgə sağ qalsın.
010614008e	Növlərinə görə quşların, heyvanların və yerdə sürünənlərin hər birindən bir cütü sənin yanına gələcək ki, sağ qalsın.
0106150071	Həmçinin özünlə birlikdə hər cür azuqə götürüb yanına yığ ki, sənin və onların yeməyi olsun».
010616005f	Nuh hər şeyi etdi: Allah ona necə əmr etmişdisə, o da hər şeyi eləcə yerinə yetirdi.
010701008a	Rəbb Nuha dedi: «Sən bütün ailənlə birgə gəmiyə gir, çünki bu bəşər nəsli içində yalnız səni önümdə saleh gördüm.
0107020076	Hər pak heyvanın erkək və dişisindən yeddi cüt, hər murdar heyvanın erkək və dişisindən bir cüt götür,
0107030084	həmçinin göydəki hər quşun erkək və dişisindən yeddi cüt götür; qoy bütün yer üzündə onların nəsli kəsilməsin.
010704009e	Çünki yeddi gün sonra yer üzünə qırx gün-qırx gecə yağış yağdıracağam və yaratdığım bütün canlıları yer üzündə məhv edəcəyəm».
010705004b	Rəbb Nuha necə əmr etmişdisə, o da hər şeyi eləcə yerinə yetirdi.
010706003e	Yer üzündə daşqın olanda Nuhun altı yüz yaşı var idi.
0107070069	Nuh, onun arvadı, oğulları və gəlinləri daşqından qurtarmaq üçün birlikdə gəmiyə mindilər.
0107080067	Allahın Nuha əmr etdiyi kimi pak və murdar heyvanların, quşların, bütün yerdə sürünənlərin
0107090041	erkək və dişisi cüt-cüt Nuhun yanına gəlib gəmiyə mindi.
01070a002d	Yeddi gün sonra yer üzündə daşqın oldu.
01070b00bd	Həmin gün – Nuhun ömrünün altı yüzüncü ilində, ikinci ayın on yeddinci günü dərinlikdə olan bütün gur su qaynaqları püskürdü və göylərin pəncərələri açıldı.
01070c0035	Yer üzünə qırx gün-qırx gecə yağış yağdı.
01070d0064	Elə həmin gün Nuh, onun arvadı, oğulları Sam, Ham, Yafəs və üç gəlini gəmiyə mindilər.
01070e009e	Onlarla birgə hər növ çöl heyvanı, hər növ ev heyvanı, hər növ yerdə sürünən, hər növ göydə uçan canlı və hər cür quş gəmiyə girdi:
01070f0058	həyat nəfəsi olan bütün canlılardan cüt-cüt Nuhun yanına gəlib gəmiyə mindi.
0107100098	Allahın Nuha əmr etdiyi kimi bütün canlılardan erkək və dişi heyvanlar gəmiyə girdilər. Onların dalınca Rəbb gəminin qapısını örtdü.
010711005b	Yer üzündə qırx gün daşqın oldu və su çoxalıb gəmini yerdən yuxarı qaldırdı.
0107120059	Su çox yuxarı qalxıb yer üzünü aldı və gəmi suyun üzündə üzməyə başladı.
010713005a	Su yer üzünü elə tutdu ki, göylər altında olan bütün uca dağlar suya qərq oldu.
0107140046	Su dağların zirvəsindən on beş qulac qalxdı və onları örtdü.
010715009b	Yer üzündə hərəkət edən canlıların hamısı – quşlar, ev heyvanları, çöl heyvanları, yerdə sürünənlər və bütün insanlar məhv oldu.
0107160054	Quruda yaşayan, burnunda həyat nəfəsi olan canlı varlıqların hamısı öldü.
01071700e8	Rəbb yer üzündə olan bütün canlıları məhv etdi: insanlardan tutmuş heyvanlara, sürünənlərə və göydəki quşlara qədər hər şey yer üzündə məhv oldu. Yalnız Nuh və onunla birgə gəmidə olanlar sağ qaldı.
0107180035	Yüz əlli gün ərzində su yer üzündə çoxaldı.
01080100ac	Allah Nuhu və onunla birgə gəmidə olan bütün çöl heyvanlarını və ev heyvanlarını yada saldı. Allah yer üzünə külək göndərdi və su azalmağa başladı.
010802005e	Dərinlikdə olan su qaynaqları və göylərin pəncərələri bağlandı, yağış dayandı.
0108030055	Su yer üzündən tədricən çəkildi, yüz əlli gün keçdikdən sonra su azaldı.
0108040045	Yeddinci ayın on yeddinci günü gəmi Ararat dağlarında dayandı.
010805006d	Onuncu aya qədər su yavaş-yavaş çəkildi, onuncu ayın birinci günü dağların zirvələri göründü.
0108060040	Qırx gün sonra Nuh düzəltdiyi gəminin pəncərəsini açıb
0108070066	bir qarğa buraxdı; qarğa uçub getdi və yer üzündə su quruyana qədər hər tərəfi dolaşdı.
0108080062	Nuh bu dəfə bir göyərçin buraxdı ki, suyun yer üzündən çəkilib-çəkilmədiyini bilsin.
01080900e5	Amma göyərçin qonmaq üçün rahat bir yer tapmadığına görə onun yanına – gəmiyə qayıtdı, çünki hələ bütün yer üzündə su var idi. Nuh əlini uzadıb göyərçini tutdu və gəmiyə – öz yanına apardı.
01080a0046	O daha yeddi gün gözlədi və göyərçini yenə gəmidən buraxdı.
01080b0097	Axşamüstü göyərçin onun yanına qayıtdı. Göyərçinin ağzında təzə zeytun yarpağı var idi. Nuh suyun yer üzündən çəkildiyini bildi.
01080c0069	O daha yeddi gün gözlədi və göyərçini yenə buraxdı, artıq göyərçin onun yanına qayıtmadı.
01080d00be	Nuhun ömrünün altı yüz birinci ilində, birinci ayın birinci günü yer üzündə su qurudu. Nuh gəminin qapağını qaldırdı və torpağın üzərindəki suyun quruduğunu gördü.
01080e0049	İkinci ayın iyirmi yeddinci günü yer üzündəki su tamamilə qurudu.
01080f0010	Allah Nuha dedi:
010810004c	«Sən öz arvadın, oğulların və gəlinlərinlə birgə gəmidən çıx.
01081100bd	Səninlə birgə olan bütün canlıları – quşları, heyvanları və yerdə sürünənləri bayıra çıxart. Qoy yer üzünə yayılsınlar və yer üzündə törəyib çoxalsınlar».
010812004b	Nuh öz arvadı, oğulları və gəlinləri ilə birgə gəmidən çıxdı.
010813007a	Bütün heyvanlar, sürünənlər, quşlar və yerdə sürünən bütün canlılar dəstə-dəstə gəmini tərk etdilər.
0108140081	Nuh Rəbbə bir qurbangah düzəltdi. O hər cür pak heyvandan və pak quşdan götürüb orada yandırma qurbanı təqdim etdi.
0108150122	Bundan Rəbbə xoş ətir qalxdı və Rəbb ürəyində dedi: «Cavanlığından bəri insan ürəyinin fikirlərinin həmişə pis olmasına baxmayaraq, insanlara görə bir daha yer üzünü lənətləməyəcəyəm. İndi elədiyim kimi bütün canlıları bir daha məhv etməyəcəyəm.
010816005c	Dünya durduqca Əkin-biçin, isti-soyuq, Yay-qış və gecə-gündüz Sona yetməyəcək».
0109010069	Allah Nuha və onun oğullarına xeyir-dua verib dedi: «Törəyib çoxalın və yer üzünü bürüyün.
01090200cb	Qurudakı bütün heyvanlar, göydəki bütün quşlar, yerdə sürünən bütün canlılar və dənizdə olan bütün balıqlar sizdən qorxub dəhşətə gələcək. Onlar sizin ixtiyarınıza verilib.
0109030063	Bütün canlılar da sizə qida olsun, onların hamısını bütün göy otlar kimi sizə verirəm.
0109040031	Ancaq əti onun canı olan qanla birgə yeməyin.
01090500c0	Sizin isə qanınız tökülərsə, əvəzini hökmən alacağam. Hər heyvandan hesabınızı alacağam. Həmçinin insandan – qardaşının canını alan hər kəsdən əvəzini alacağam.
010906007c	Kim insan qanı töksə, Onun da qanı İnsan əli ilə töküləcək. Çünki Allah insanı Öz surətinə görə yaradıb.
0109070043	Siz törəyib çoxalın, Yer üzünə yayılın, Orada çoxalın».
010908002f	Allah Nuha və yanında olan oğullarına dedi:
0109090048	«Mən sizinlə, sizdən sonrakı nəslinizlə Öz əhdimi bağlayıram,
01090a0092	gəmidən çıxan yer üzündəki bütün canlı məxluqlarla – quşlar, ev heyvanları və bütün çöl heyvanları ilə əhdimi bağlayıram.
