2800000007	Matthew
28021700ba	Aduga makhoina Nazareth kouba apikpa sahar amada laktuna leirammi. Masi Tengban Mapugi wa phongdokpiba maichousingna, “Ibungobu Nazareth-ki mi kougani” haikhiba wa adu thungnanabani.
280301005f	Matam aduda baptize toubiba John-na thoraktuna Judea-gi lamjao lamhangda pao sandokpa hourammi.
280302007f	Mahakna asumna hairammi, “Nakhoina paptagi pukning hongduna Tengban Mapuda halak-u, maramdi swarga leibak adu naksillakle!”
28030300df	Tengban Mapugi wa phongdokpiba maichou Isaiah-na phongdokpikhiba misak adu John asini, “Laori, kanagumba amana lamjao lamhangda, ‘MAPU IBUNGO-gi lambi adu thourang tou; Ibungo mahakna chatnaba lambi adu chumhallu!’”
2803040092	John-na ut matugi phi setlammi, aduga makhwangda sawun-gi khwangjet laklammi; amasung mahakki chinjakti koujeng amasung lamlakki khoihina oirammi.
28030500b5	Aduga Jerusalem-gi mising yaona Judea apumbadagi amadi Jordan turen-gi akoibada leiba mapham pumnamaktagi miyam thoklaktuna mahakpu yengnaba amasung mahakki wahei tananaba laklammi.
2803060066	Aduga makhoina makhoigi mapapsing haidokcharabada, John-na makhoibu Jordan turenda baptize loubirammi.
28030700d9	Adubu Pharisee amasung Sadducee mayam amana mahakna baptize touba aduda lakpa ubada, mahakna makhoida hairak-i, “He lilgi chada naodasa, lakkadouriba Tengban Mapugi asaoba adudagi chennanaba nakhoida kanana haibage?
280308003a	Nakhoina paptagi pukning hongbagi matik chaba mahei yallu.
28030900c6	Aduga ‘Eikhoigi ipa Abraham lei’ hairaga cheirak adudagi nanthokkani haina khan-ganu. Maramdi eina nakhoida hairi madudi nungsing asidagisu Tengban Mapuna Abraham-gi machasing thok-hanba ngammi.
28030a00a3	Houjiksu upalsing asigi makhongda yanthatnabagidamak singjang thourang touduna lei, amasung aphaba mahei yandaba upal khudingmak yanthattuna meinungda langsingani.
28030b0105	Pukning hongbagidamak eina nakhoibu isingda baptize toubi, adubu eigi itungda lenglakliba Ibungo mahakna eingondagi henna matik chaoba helli. Eidi mahakki sandal puba phaoba matik chade. Aduga mahaknadi nakhoibu Thawai Asengbada amasung meida baptize toubigani.
28030c00eb	Ibungona magi phou-inthok paiduna gehudagi mahamsing khaidoknaba thourang touduna leiri. Adudagi mahakna mahei marong yeipham adu sengdoktuna gehusing adubu keida peisin-gani, adubu mahamsing adubudi mutpa naidaba meida thajin-gani.”
28030d0056	Adudagi Jisuna John-dagi baptize lounabagidamak Galilee thadoktuna Jordan-da laklammi.
28030e008e	Adubu John-na mahakpu khamladuna hairak-i; “Ibungona eihakpudum baptize toubipham thok-i, aduga Ibungona oina eigi inakta lengbiraklabra?”
28030f00d2	Jisuna mangonda khumlak-i, “Houjikki oinadi asumna oirasanu; maramdi matou asumna eikhoina achumba chatpagi thabak pumnamak adu mapung phahanba matik chabani.” Maduda John-na mahakpu baptize toubada yajare.
28031000b0	Aduga Jisuna baptize louraba tungda, isingdagi hek karakpaga, yeng-u, nongmadon atiya hangdoktuna Tengban Mapugi Thawaina Ibungogi mathakta khunugumna lengtharakpa mahakna ure.
2803110074	Aduga swargadagi khonjel amana asumna hairak-i, “Mahak eigi nungsijaraba Ichanupani, mangonda eina yamna pelle.”
2804010059	Adudagi Devil-na Jisubu themnanaba Thawai Asengbana mahakpu lamjao lamhangda puthoklammi.
2804020051	Amasung Jisuna ahing nungthil numit niphuni chara hellaklabada mapuk lamlaklammi.
2804030091	Aduga athemba mapu aduna Ibungogi nakta laktuna hairak-i, “Nahakna Tengban Mapugi Machanupa oirabadi, nung-sing asi tal onnaba yathang piyu.”
28040400ba	Maduda Ibungona mangonda khumlak-i, “Mapugi Puyana asumna hai, ‘Tal khaktagi mapanna mioibana hingloi, adubu Tengban Mapugi chindagi thoklakpa wahei khudinggi mapanna hinggani.’”
280405007d	Adudagi Devil-na Jisubu asengba sahar, Jerusalem-da pure, aduga mahakpu Mapugi sanglen-gi khwaidagi wangba matonda lep-halle.
2804060131	Aduga mahakna hairak-i, “Nahakna Tengban Mapugi Machanupa oirabadi, nasa nathanta chongthajou; maramdi Mapugi Puyada asumna iduna lei, ‘Tengban Mapuna mahakki dutsingda nanggi maramda yathang pibigani; Aduga, Nahakki khong phaoba nungda yeisindanabagidamak makhoigi khutna nahakpu pamkhatpigani.’”
2804070090	Maduda Jisuna mangonda hairak-i, “Mapugi Puyada asumnasu iduna lei, ‘Nahakna nahakki Tengban Mapu, MAPU IBUNGO-bu chang yengloidabani.’”
28040800a5	Adudagi Devil-na Jisubu amukka awangba chingthak amada pukhatle aduga mangonda taibangpan asigi ningthou leibak pumnamak amadi makhoigi matik mangal pumnamak uhalle.
2804090086	Aduga Devil-na Ibungoda hairak-i, “Nahakna eingonda khuru khudak kunduna khurumjarabadi, eina nangonda pumnamaksing asi pibigani.”
28040a00c8	Maduda Jisuna mangonda hairak-i, “Inaktagi chathokkhro, Satan! Mapugi Puyada asumna iduna lei, ‘Nahakna nahakki Tengban Mapu, MAPU IBUNGO khaktabu khurumjagadabani amasung thouganjagadabani!’”
28040b006b	Adudagi Devil-na Ibungobu thadoktuna chatkhirammi, amasung swargadutsing laktuna Ibungobu thougal tourammi.
28040c005e	John-bu keisumsangda thamkhre haiba Jisuna tarabada, mahakna Judea-dagi Galilee-da halaklammi.
28040d00a9	Aduga mahakna Nazareth-ta hanna chatlaba tungda Capernaum-da laktuna leirammi. Capernaum asi Zebulun amasung Naphtali-gi lamda leiba, Galilee patki mapanda leiba khunni.
28040e0051	Masina Tengban Mapugi wa phongdokpa maichou Isaiah-na haikhiba wa adu thunghalle:
28040f007f	“Zebulun-gi lamdam amadi Naphtali-gi lamdam, pat taba lambida, Jordan turen-gi wangmada leiriba, atoppa phurupsinggi Galilee!
280410008b	Amambada leiriba mising aduna achouba mangal ama ujare; asibagi amamba lamdamda leiriba makhoising adugi mathakta mangal aduna ngallare.”
2804110084	Matam adudagi houna Jisuna pao sandokpa houraduna hai, “Nakhoina paptagi pukning hong-u, maramdi swarga leibak adu naksillakle.”
28041200cb	Nongma Jisuna Galilee-gi pat mapanda chatlingeida Peter kouba Simon amasung mahakki manao Andrew, makhoi machin-manao anina pat aduda in hunduna leiramba adu ure. Maramdi makhoi nga phaba mising oirammi.
2804130064	Aduga Jisuna makhoida hairak-i, “Lak-u, eigi itung illu, eina nakhoibu mi phabasing oihan-gani.”
2804140050	Khudak adumaktada makhoina makhoigi in-sing adu thanamduna Ibungogi tung-injare.
28041500fd	Adudagi Ibungona mapham adudagi asum lakpada machin manao ani, haibadi Zebedeegi macha Jacob amadi mahakki manao John-bu ure. Makhoina makhoigi hida mapa Zebedee-ga loinana, makhoigi in-sing semjin-sajinduna leirammi. Amasung Ibungona makhoibu kourammi.
2804160055	Maduda makhoina khudak aduda hi amasung mapabu thadoklamlaga Ibungogi matung injakhi.
28041700c3	Adudagi Jisuna synagogue-singda tambiduna, Ningthou leibakki maramda aphaba pao sandokladuna amadi makhal khudinggi laina amadi anabasingbu phahanbiduna Galilee-gi mapham sinba thungna chatlammi.
2804180128	Aduga Ibungogi paona Syria sinba thunglammi. Amasung mahakki manakta misingna makhal kayagi lainana naraba pumnamak haibadi akanba cheina khaanglibasing, lai phattaba changbasing, sarei houbasing, aduga pangtha-sithaduna naba pumnamakpu puraklammi. Aduga Ibungona makhoi pumnamakpu phahanbirammi.
2804190074	Aduga Galilee, Decapolis, Jerusalem, Judea amadi Jordan turen wangmadagi yamlaba miyamsingna Ibungogi matung injare.
2805010087	Adudagi Jisuna yamlaba miyam adu ubada chingthakta kakhattuna phamlammi. Aduga mahakki tung-inbasing aduna mahakki manakta tillarabada,
2805020020	Ibungona makhoibu tambiba houre:
2805030049	“Thawai tonbasing adu yaiphabani; maramdi swarga leibak adu makhoigini.
280504005b	Tengtha naoiribasing adu yaiphabani; maramdi Tengban Mapuna makhoibu harao nungaihanbigani!
2805050049	Pukning tappasing adu yaiphabani; maramdi makhoina malem asi phangjagani.
280506006a	Achumba chatpagidamak aram khouranglibasing adu yaiphabani; maramdi Tengban Mapuna makhoibu thalhanbigani!
280507004b	Chanbiheibasing adu yaiphabani; maramdi Tengban Mapuna makhoibu chanbigani!
280508004a	Thamoi sengbasing adu yaiphabani; maramdi makhoina Tengban Mapubu ujagani!
280509006a	Ingthaba puraknabagi thabak touribasing adu yaiphabani; maramdi makhoibu Tengban Mapugi machasing kougani!
28050a006e	Achumba chatpagidamak otpi neibiba phanglibasing adu yaiphabani; maramdi Tengban Mapugi leibak adu makhoigini!
28050b0096	“Eigi maramgidamak misingna nakhoibu ikaiba piduna cheiraba, ot-neiraba amadi nakhoigi nathakta phattaba pumnamak thangjillabada, nakhoi yaiphabani.
28050c00d3	Madugidamak nakhoi haraojou amasung thoidok hendokna nungaijou! Maramdi swargada nakhoigi mana chao-i. Aduga matou asumna nakhoigi namangda leiramba Tengban Mapugi wa phongdokpa maichousingbu makhoina ot-neikhi.
28050d00d3	“Nakhoidi taibangpan-gi thumni. Adubu thum aduna magi mahao mangkhrabadi, nakhoina madubu karamna mahao amuk leihan-gadage? Adunadi madu mapanda hundoktuna misinggi makhongna netpa nattana atei karisu kanadre.
28050e0047	“Nakhoidi taibangpan-gi mangalni. Chingthakta leiba sahar lotpa yade.
28050f0089	Aduga misingna thaomei thallaga thumok makhada thamnade; adubu thaomei makhong mathakta thamduna yum manungda leiba pumnamakpu ngalhalli.
2805100097	Matou asumna, misingna nakhoigi aphaba thabaksing adu swargada leiba nakhoigi Napa Ibungobu thagatnanaba nakhoigi mangal adu misinggi mangda ngalhallu.
28051100c1	“Eina Moses-ki Wayel Yathang nattraga Tengban Mapu wa phongdokpiba maichousingna tambibasing adu mang-hanba lakpani haina khan-ganu. Eidi madu manghanba lakpa natte, adubu thunghanba lakpani.
28051200c8	Eina nakhoida tasengnamak hairibasini, swarga amasung malem mangdriba phaoba Wayel Yathang adugi khwaidagi pikpa mayek nattraga khwaidagi pikpa saruk ama phaoba, pumnamak aduna thungdriphaoba mangloi.
2805130128	Aduga kanagumbana hairiba yathangsing asidagi apikpa yathang amabu thugairaba amasung madumak tounanaba misingda tambirabadi swarga leibakta mahakpu khwaidagi apikpa kougani. Adubu kanagumbana Wayel Yathang injaraga madumak misingda tounanaba tambirabadi, swarga leibakta mahakpu achouba kougani.
28051400b4	Aduga eina nakhoida hairi, karigumba nakhoigi achumba chatpa aduna Wayel Yathanggi ojasing amadi Pharisee-sing adudagi hendrabadi, nakhoina swarga leibakta keidounungdasu changloi.
28051500a7	“Mamangngeida eikhoigi ipa-ipusingda, ‘Nahakna mi hatloidabani aduga kanagumbana mi hatlabadi mahakna wayenbagi awabada tagani’ haina haikhiba adu nakhoina tare.
280516016b	Adubu eina nakhoida hairibasini, kanagumba amana magi machin-manaogi mathakta saorabadi, wayen-gi awabada tagani. Aduga amuksu, kanagumbana magi machin manaoda ‘Raca’ haina hairabadi mahakna sanhedrin-gi mamangda pukhatpagi khudongthiba adu nanggani. Amasung kanagumbana mahakki machin manaoda ‘Apang mirem’ hairabadi mahakna norokki meigi awabada tagani.
28051700b1	Maram aduna nahakna Tengban Mapuda katchanaba nahakki iratpot adu latnapungda purakpa matamda nahakki nachin-nanao amana nahakki nathakta nungaitaba leiba adu ningsinglaklabadi,
28051800b1	Nahakki iratpot adu latnapung adugi mamangda thanamduna, nahakki nachin-nanao adugi manakta hanna chattuna mahakka taisinnaru. Aduga nahakna halaktuna nahakki iratpot adu katlu.
2805190104	“Nahakki maiyokta leiriba mahakka loinana nahakna wayelsang tamna lambida chatlingeida, thunamak mahakka chamthoknou, adu nattrabadi mahakna nahakpu wayel mapuda pithokpa yai, aduga wayel mapuna nahakpu phamnaibada sinaduna nahakpu keisumsangda thajinba yai.
28051a0074	Eina nakhoida tasengnamak hairibasini, nahakna sendon adu loina singdoktriphaoba mapham adudagi khak thorakpa yaroi.
28051b0068	“‘Nahakna atoppagi nupa nattraga nupiga lannabagi thabak touroidabani’ haikhiba asi nakhoina tare.
28051c0090	Adubu eina nakhoida hairibasini, kanagumbana nupi amabu apambana sumhattuna yenglabadi mahakki thamoida nupi aduga lannabagi thabak toukhrabani.
28051d00f2	Aduga karigumba nahakki yetthangba mitna nahakpu papta tahallabadi, madu kothoktuna nangondagi langthok-u; maramdi nahakki hakchang apumba norokta langsinkhigadabagi sarukpudi, nahakki hakchanggi kayat ama mangkhibana nahakkidamak henna phei.
28051e00d6	Aduga nahakki yetthangba khutna nahakpu papta tahallabadi madu kakthattuna langthok-u; maramdi nahakki hakchang apumba norokta chatkadabagi sarukpudi, nahakki hakchang kayat ama mangkhibana nahakkidamak henna phei.
28051f0076	“Aduga masimasu haikhre, ‘Kanagumbana mahakki nupibu khainarabadi mahakki nupida khainabagi che adu pigadabani.’
28052000fc	Adubu eina nakhoida hairibasini, lannabagi thabak toubagi maramgidamak nattana kanagumbana mahakki nupibu khainarabadi, mahakna nupi adu nupa lannahallabani; aduga kanagumbana khainarabi nupi aduga luhonglabadi, mahakna nupi lannabagi thabak tourabani.
280521009f	“Eikhoigi ipa-ipusingda haikhiba asimasu nakhoina tare, ‘Nahakna lanna wasakloidabani, adubu nahakna MAPU IBUNGO-da sakkhiba wasaksing adu ngakkadabani.’
2805220099	Adubu eina nakhoida hairibasini, nakhoina keidounungda khak wasakloidabani: Nakhoina swarga panduna wasakkanu, maramdi swargadi Tengban Mapugi phambalni.
28052300a2	Malem pandunasu wasakkanu, maramdi malemdi Tengban Mapugi khongnetphamni; Jerusalem pandunasu wasakkanu, maramdi Jerusalem-di wangthoiraba Ningthou adugi saharni.
280524006e	Aduga nahakki nakok panjadunasu wasakkanu, maramdi nahakna samna ama phaoba ngouhanba nattraga muhanba ngamde.
2805250084	Adubu nakhoina ‘Hoi’ hairaga hoi, nattraga ‘Mai’ hairaga mai haiyu; masidagi henba makheidi Phattabagi mapu adudagi lakpani.
280526005a	“‘Mit amagi mahutta mit ama, aduga ya amagi mahutta ya ama’ haiba adu nakhoina tare.
28052700bb	Adubu eina nakhoida hairibasini; nakhoida lallakpa mahak aduda laman singganu. Adubu kanagumbana nahakki yetthangba khajaida khubakna tharaklabadi, nahakki oithangba khajai adusu onsillu.
2805280081	Aduga kanagumbana nahakki phurit adu louningbagidamak wayelsangda wakatlaklabadi, mahakna nahakki achonba phurit adusu loujasanu.
2805290063	Aduga kanagumbana nahakpu namduna mile ama chatnaba hairabadi, mahakka loinana mile ani chatminnou.
28052a0059	Nangonda nijaba mahak aduda pinou, aduga nangondagi pujaningba mahak adudagi leithokkanu.
28052b007a	“Aduga ‘Nahakna nahakki keiroi leikaibu nungsiyu, aduga nahakki yeknabasingbu yengthiyu,’ haiba asi nakhoina takhre.
28052c00e6	Adubu eina nakhoida hairi, Nakhoina yeknabasingbu nungsiyu, nakhoibu sirap toubasingbu yaipha-thoujal pibiyu, nakhoibu yengthibasingda aphaba toubiyu aduga nakhoibu thaoi-usitana sijinnariba amasung ot-neiribasingidamak haijabiyu.
28052d00eb	Masi nakhoina swargada leiba nakhoigi Napa Ibungogi machasing oinabagidamakni. Maramdi Ibungo mahakna phattaba amasung aphaba misinggi mathakta numit thok-hanbi. Aduga achumba chatpa amasung phattaba toubasinggi mathakta nong chuhanbi.
28052e0096	Maramdi nakhoibu nungsibibasing adu khaktabu nakhoina nungsirabadi, nakhoigi kari mana leigadage? Kanggat khombasing aduna phaoba adumna touba nattra?
28052f00b3	Aduga nakhoina nakhoigi nachin-nanaosing khaktada taram-taramna tourabadi, atoppasingdagi nakhoina kari henna touribage? Tengban Mapubu thajadabasingna phaoba adumna touba nattra?
2805300066	Maram aduna swargada leiba nakhoigi Napa Ibungona mapung phaba adugumna nakhoisu mapung phaba oiyu.”
28060100b2	“Nakhoina aphaba thabaksing touba matamda misingda utnabagidamakta toudanaba cheksillu. Madu nattrabadi swargada leiba nakhoigi Napa Ibungogi maphamdagi nakhoigi mana phangloi.
280602011a	“Maram aduna misingdagi thagatpa phangnanabagidamak aphasasinnabasingna synagogue-sing amasung lambisingda toubagumna, nakhoina leita lairasingda piba matamda namangda pungjao thin-ganu. Eina nakhoida tasengnamak hairibasini, makhoina makhoigi phangadaba mana adu loina phangkhre.
2806030077	Adubu nangna leita-lairasingda mateng pangba matamda, nanggi yetthangba khutna touba adu oi thangba khutna khangdasanu.
2806040072	Masi nanggi pibagi thabak adu aronba oinabani. Aduga aronba pumnamakpu uriba nahakki Ipana nangonda mana pibigani.
280605010e	“Aduga nahakna haijaba matamda, aphasasinnabasinggumna oiganu; maramdi makhoibu misingna unanaba, makhoina synagogue-sing amasung miyam tinba lambisingda leptuna haijabadu pammi. Eina nakhoida tasengnamak hairibasini, makhoina makhoigi phangadaba mana loina phangkhre.
28060600be	Adubu nahakti, nahakna haijaba matamda nanggi kada chang-u, aduga thong thingjinduna lonna leiba nahakki Napada haijou. Aduga aronba pumnamakpu ubiba nahakki Ipana nangonda mana pibigani.”
28060700cc	“Aduga nakhoina haijaba matamda, Tengban Mapubu thajadabasinggumna arembada hanjin hanjin haijaganu, maramdi makhoina wahei mayam ama haibagi maramna makhoigi haijaba adu tabigani haina makhoina khalli.
280608007c	Adubu nakhoidi makhoigumna oiganu; maramdi nakhoina nijadringeigi mamangda nakhoigi awatpa leiba adu nakhoigi Ipana khangbi.
280609006d	Maram aduna nakhoina matou asumna haijou, ‘Swargada leiba eikhoigi Ipa, Ibungo Nahakki ming asengba oisanu.
28060a004f	Nahakki leibak laksanu; swargada nahakna ningba toubagumna taibangpanda oisanu.
28060b002d	Numit asigi nongmagi chara eikhoida pinabiyu.
28060c004f	Aduga eikhoida laman tonbasingbu eikhoina kokpibagumna, eikhoigi laman kokpiyu.
28060d00a6	Aduga eikhoibu athembada tahanbiganu, adubu phattaba adudagi eikhoibu kanbiyu. Maramdi ningthou leibak, panggal amasung matik mangal lomba naidana nahakkini. Amen.’
28060e0092	“Maramdi nakhoigi nathakta misingna tourakpa ayol-aransing adu nakhoina kokpirabadi, nakhoigi swargada leiba Napa Ibungonasu nakhoibu kokpigani.
28060f006e	Adubu nakhoina misinggi ayol-aran kokpidrabadi, nakhoigi Napa Ibungona nakhoigi ayol-aransing adu kokpiroi.”
2806100113	“Aduga nakhoina chara henba matamda, aphasasinnaba misinggi matougumna awa-maithong utkanu, maramdi makhoina chara helli haiba adu misingda utnanaba makhoigi maithong adu maksilhalli. Eina nakhoida tasengnamak hairibasini, makhoina makhoigi phangadaba mana loina phangkhre.
2806110050	Adubu nahakti chara henba matamda, namai-namit tathoktuna nakoktu thao teisillu.
28061200c3	Masi nahakna chara helli haibadu misingna khangdananaba adubu lonna leiba nahakki Napa Ibungo khaktana khangnanabani. Aduga lonna toujaba adubu ubiba nahakki Napa Ibungona nangonda mana pibigani.
280613007a	“Til-kang amadi kolhingna manghanba aduga huranbasingna sagun touduna huranba malem asida nakhoigidamak lan peisin-ganu.
280614007d	Adubu til-kang amadi kolhingna manghanba ngamdraba, aduga huranbasingnasu huba ngamdraba swargada nakhoigidamak lan peisillu.
2806150040	Maramdi nahakki lan leiba mapham aduda nahakki thamoisu leigani.
2806160087	“Mit haibasina hakchanggidi thaomeiga pangkhakni. Maram aduna nahakki mityeng chumlagadi, nahakki hakchang apumba mangalna than-gani.
2806170098	Adubu nahakki mityeng chumdrabadi, nahakki hakchang apumba amambana than-gani. Aduga nangonda leiba mangal aduna mamlabadi, amamba adu kayada mamkhraba.
28061800eb	“Kananasu mapu anigi minai oiba ngamde; maramdi mahakna amabu tukkacharaga atoppa amabuna nungsigani, nattraga mahakna amabu ninglaga atoppa amabuna thou-oiroi. Asumna nakhoina Tengban Mapu amasung lan animakpu thougal touba ngamloi.
