2800000008	Matthieu
280304008c	Il avait un vêtement de poil de chameau, et une ceinture de cuir autour des reins. Sa nourriture était des sauterelles et du miel sauvage.
2803050066	Alors accouraient à lui et la ville de Jérusalem et toute la Judée et toute la région du Jourdain.
280306004d	Tous étaient baptisés par lui dans le fleuve, en confessant leurs péchés.
28030700a0	Mais, voyant beaucoup de Pharisiens et de Sadducéens venir à son baptême, il leur dit: «Engeance de vipères, qui vous a appris à fuir la colère à venir?
280308002f	Produisez donc un fruit digne de la repentance;
28030900a2	et ne prétendez pas dire en vous-mêmes: nous avons pour père Abraham; car, je vous le dis, Dieu peut faire surgir des pierres que voici des enfants à Abraham.
28030a007b	Déjà la cognée touche la racine des arbres. Tout arbre donc qui ne produit pas de bon fruit sera coupé et jeté au feu.
28030b00e6	Moi je vous baptise avec l'eau pour la repentance, mais celui qui doit venir après moi est plus puissant que moi et je ne suis pas même digne d'être le porteur de ses sandales; lui vous baptisera avec l'Esprit saints et le feu.
28030c0096	Il a le van dans la main, et il nettoiera son aire, et rassemblera son froment dans le grenier, mais la paille, il la brûlera au feu inextinguible.»
28030d0060	Ce fut alors que Jésus vint de la Galilée au Jourdain, vers Jean, pour être baptisé par lui.
28030e0084	Mais Jean s'en défendait vivement: «C'est moi, disait-il, qui ai besoin d'être baptisé par toi, et c'est toi qui viens à moi!»
28030f00aa	Jésus lui répondit par ces paroles: (Laisse-moi faire pour l'heure présente, car c'est ainsi qu'il nous convient d'accomplir toute justice.» Alors il le laissa faire.
28031000b4	Jésus, ayant été baptisé, sortit aussitôt de l'eau, et voilà que les cieux furent ouverts, et il vit l'Esprit de Dieu descendre sous la figure d'une colombe et venir sur lui.
280311006e	En même temps une voix vint des cieux disant: «Celui-ci est mon Fils, le bien-aimé en qui je me complais.»
2804010056	Jésus ensuite fut conduit par l'Esprit dans le désert pour y être tenté du diable.
2804020058	Lorsqu'il eut jeûné pendant quarante jours et quarante nuits, il finit par avoir faim.
2804030068	Si tu es Fils de Dieu, lui dit le tentateur en s'approchant, dis que ces pierres deviennent des pains.»
280404009e	Mais Jésus lui fit cette réponse: «Il est écrit: «Ce n'est pas de pain seulement que vivra l'homme, mais de toute parole qui sort de la bouche de Dieu.»
280405005a	Alors le diable le mena avec lui dans la ville sainte et le plaça sur le faite du Temple.
28040600d4	Si tu es Fils de Dieu, lui dit-il, jette-toi en bas! car il est écrit: «A ses anges il donnera des ordres à ton égard; Ils te soutiendront de leurs mains De peur que ton pied ne se heurte contre une pierre.»
2804070060	Jésus lui répondit: «Il est également écrit: «Tu ne tenteras point le Seigneur ton Dieu.»
2804080080	Le diable le mena encore avec lui sur une montagne d'une immense hauteur et lui montra tous les royaumes du monde et leur gloire
2804090054	et lui dit: «Tout cela, je te le donnerai, si, tombant à mes pieds, tu m'adores.»
28040a008e	Jésus lui répondit: «Arrière, Satan! car il est écrit: «Tu adoreras le Seigneur ton Dieu et c'est à lui seul que tu rendras un culte.»
28040b0057	Alors le diable le laissa; et voilà que des anges s'approchèrent et ils le servaient.
28040c0047	Ayant appris que Jean avait été livré, Jésus se retira en Galilée;
28040d0079	et, ayant quitté Nazareth, il vint s'établir à Capharnaüm, ville du rivage sur les confins de Zabulon et de Nephthali
28040e0051	(C'était afin que fût accompli ce qui avait été dit par le prophète Ésaïe:
28040f006d	«Terre de Zabulon et terre de Nephthali sur le chemin de la mer, au delà du Jourdain, Galilée des païens!
28041000a5	Le peuple assis dans les ténèbres a vu une grande lumière! Et sur ceux qui étaient assis dans la région et dans l'ombre de la mort une lumière s'est levée!»)
2804110073	Dès lors, Jésus commença à parler en public et à dire: «Repentez-vous; car le Royaume des cieux est proche.»
28041200b0	Marchant le long de la mer de Galilée, il vit deux frères, Simon (celui qu'on appelle Pierre) et André son frère, jetant leur filet dans la mer; car ils étaient pêcheurs;
2804130050	et il leur dit: Venez à ma suite, et je ferai de vous des pêcheurs d'hommes.»
2804140031	Eux aussitôt, laissant les filets, le suivirent.
28041500ba	Continuant son chemin, il vit deux autres frères, Jacques, fils de Zébédée, et Jean son frère, dans leur barque avec Zébédée leur père, raccommodant leurs filets; il les appela.
280416003e	Eux aussitôt, laissant la barque et leur père, le suivirent.
28041700ab	Jésus parcourait toute la Galilée; enseignant dans leurs synagogues, prêchant l'Évangile! du Royaume, et guérissant toute maladie et toute infirmité parmi le peuple,
28041800e6	et sa renommée se répandit dans la Syrie entière. On lui apporta tous les malades, tous ceux qui étaient atteints de souffrances et de douleurs quelconques, des démoniaques, des lunatiques, des paralytiques et il les guérit.
2804190089	Et de grandes multitudes le suivirent venant de la Galilée, de la Décapole, de Jérusalem, de la Judée et de l'autre rive du Jourdain.
2805010068	Voyant ces multitudes, il gravit la montagne, il y fit sa demeure; ses disciples s'approchèrent de lui;
2805020031	et, ouvrant la bouche, il les enseignait, disant:
280503004d	«Heureux les pauvres en esprit, parce que le Royaume des cieux est à eux!»
280504004b	«Heureux ceux qui sont dans l'affliction, parce qu'ils seront consolés!»
280505004c	«Heureux ceux qui sont doux, parce qu’ils auront la terre en héritage!»
2805060054	«Heureux ceux qui ont faim et soif de la justice, parce qu'ils seront rassasiés!»
2805070047	«Heureux les miséricordieux, parce qu'ils obtiendront miséricorde!»
2805080041	«Heureux ceux qui ont le coeur pur, parce qu'ils verront Dieu!»
2805090046	«Heureux les pacifiques, parce qu'ils seront appelés fils de Dieu!»
28050a0069	«Heureux ceux qui sont persécutés à cause de la justice, parce que le Royaume des cieux est à eux!»
28050b0086	«Heureux serez-vous quand on vous outragera et vous persécutera et qu'on dira faussement toute sorte de mal de vous à cause de moi.
28050c00bb	Réjouissez-vous, soyez transportés de joie, parce que votre récompense sera grande dans les cieux; c'est ainsi, en effet, qu'on a persécuté les prophètes qui vous ont précédés.»
28050d00b9	«Vous êtes le sel de la terre; si le sel s'affadit, avec quoi lui rendra-t-on sa saveur? Il n'est plus bon à rien, sinon à être jeté dehors et foulé aux pieds par les passants.»
28050e006b	«Vous êtes la lumière du monde; une ville ne peut être cachée quand elle est située sur une montagne.
28050f0091	On n'allume pas une lampe pour la mettre sous le boisseau, mais on la met sur le pied-de-lampe et elle luit à tous ceux qui sont dans la maison.
280510008a	Qu'ainsi votre lumière luise devant les hommes, afin qu'ils voient vos bonnes oeuvres et glorifient votre Père qui est dans les cieux.»
280511007d	«Ne pensez pas que je sois venu détruire la Loi ou les Prophètes; je ne suis pas venu pour détruire, mais pour accomplir;
28051200c9	car je vous le dis en vérité: jusqu'à ce que le ciel et la terre aient passé, il ne disparaîtra de la Loi, ni la plus petite lettre, ni un seul petit traita qui n'ait reçu sa pleine réalisation.
2805130105	Et celui qui annulera un de ces commandements, même le moindre et enseignera les hommes à le faire, sera réputé le moindre dans le Royaume des cieux; mais celui qui les pratiquera et les enseignera, celui-là sera réputé grand dans le Royaume des cieux.»
2805140098	«Aussi je vous le dis: Si votre justice n'est pas supérieure à celle des Scribes et des Pharisiens vous n'entrerez point dans le Royaume des cieux.»
2805150084	«Vous avez entendu qu'il a été dit aux hommes d'autrefois: «Tu ne tueras point;» celui qui aura tué sera passible du jugement.
28051600f2	Eh bien, je vous dis, moi: Quiconque se met en colère contre son frère sera passible du jugement. Celui qui dira à son frère: Raca, sera passible de la justice du Sanhédrin. Celui qui lui dira: fou, sera passible de la Géhenne du feu.»
280517007a	«Lors donc que tu présentes ton offrande à l'autel et que là tu te souviens que ton frère a quelque chose contre toi,
2805180081	laisse là ton offrande, devant l'autel, et va d'abord te réconcilier avec ton frère; et puis, viens présenter ton offrande.»
28051900e5	«Mets-toi d'accord avec ton adversaire, promptement, pendant que tu es encore en chemin avec lui, de peur que cet adversaire ne te livre au juge, et le juge à celui qui exécute ses sentences, et que tu ne sois jeté en prison.
28051a0060	Tu n'en sortiras pas, je te le dis en vérité, que tu n'aies payé jusqu'au dernier quadrant.»
28051b004b	Vous avez entendu qu'il a été dit: «Tu ne commettras point d'adultère»
28051c0080	Eh bien, je vous dis, moi: quiconque regarde une femme avec convoitise a déjà, dans son coeur, commis l'adultère avec elle.»
28051d00ce	«Si ton oeil droit est pour toi une cause de chute, arrache-le et jette-le loin de toi. Il vaut mieux pour toi qu'un de tes membres périsse et que ton corps tout entier ne soit pas jeté dans la Géhenne.
28051e00c7	Et si ta main droite est pour toi une cause de chute, coupe-la et jette-la loin de toi; il vaut mieux pour toi qu'un de tes membres périsse et que ton corps tout entier n'aille pas dans la Géhenne.
28051f0055	Il a été dit: «Celui qui répudie sa femme doit lui remettre un acte de divorce.»
28052000c5	Eh bien, je vous dis, moi: quiconque répudie sa femme — excepté pour cause d'infidélité — l'expose à commettre un adultère et celui qui épouse une femme divorcée, commet un adultère.»
2805210099	Vous avez encore entendu qu'il a été dit aux hommes d'autrefois: «Tu ne te parjureras pas, mais tu t'acquitteras envers le Seigneur de tes serments.»
280522007b	Eh bien, je vous dis, moi, de ne prêter aucune sorte de serment; ne jurez point par le ciel, car il est le trône de Dieu;
2805230070	«par la terre», car elle est l'escabeau de ses pieds; «par Jérusalem», car elle est une ville du Grand Roi.
2805240061	Ne jure pas non plus «sur ta tête», car tu ne peux faire blanc ou noir un seul de tes cheveux.
2805250051	Que votre langage soit: oui, oui; ou: non, non. Ce qu'on ajoute vient du Malin.»
2805260049	Vous avez entendu qu'il a été dit: «Oe il pour oeil, dent pour dent.»
280527008f	Eh bien, je vous dis, moi: ne résistez point au méchant; au contraire, si quelqu'un te frappe à la joue droite, présente-lui aussi l'autre.
280528005f	Si quelqu'un veut t'appeler en justice et t'enlever ta tunique, abandonne-lui aussi le manteau;
2805290054	et si quelqu'un veut te faire faire une corvée d'un mille, fais-en deux pour lui.»
28052a004a	«A qui te demande, donne; de qui veut t'emprunter, ne te détourne pas.»
28052b005c	«Vous avez entendu qu'il a été dit: «Tu aimeras ton prochain et tu haïras ton ennemi.»
28052c0057	Eh bien, je vous dis, moi: aimez vos ennemis, et priez pour ceux qui vous persécutent,
28052d00ba	afin que vous deveniez fils de votre Père qui est dans les cieux, car il fait lever son soleil sur les mauvais et sur les bons, et descendre la pluie sur les justes et sur les injustes.
28052e0069	Si vous aimez ceux qui vous aiment quelle récompense avez-vous? Les publicains ne le font-ils pas aussi?
28052f0083	Et si pour vos frères seuls, vous avez un bon accueil, en quoi dépassez-vous l'ordinaire? Les païens ne le font-ils pas aussi?»
2805300046	«Soyez donc, vous, parfaits comme votre Père céleste est parfait.»
28060100ac	«Gardez-vous de pratiquer votre justice devant les hommes pour en être regardés; autrement il n'y a pas pour vous de récompense de votre Père qui est dans les cieux.»
28060200ed	«Quand donc tu feras l'aumône, ne fais pas sonner de la trompette devant toi, comme font les hypocrites dans les synagogues et dans les rues pour être glorifiés des hommes. En vérité, je vous le dis, ils ont reçu leur récompense.
2806030058	Pour toi, quand tu fais l'aumône, que ta main gauche ignore ce que fait ta main droite,
2806040077	en sorte que ton aumône se fasse dans le secret, et ton Père, qui voit dans le secret, te donnera ce qui t'est dû.»
2806050107	«Lorsque vous prierez, ne soyez pas comme ces hypocrites qui aiment, faisant leur prière, à stationner debout dans les synagogues et dans les angles des places publiques pour être bien en évidence. En vérité, je vous le dis, ils ont reçu leur récompense.
28060600ac	Toi quand tu pries, entre dans ta chambre, ferme ta porte, prie ton Père qui est là, dans le secret, et ton Père, qui voit dans le secret, te donnera ce qui t'est dû.»
2806070094	En priant, ne multipliez pas les paroles, comme font les païens; ils s'imaginent, en effet, que c'est à force de paroles qu'ils se feront exaucer.
2806080063	Ne les imitez point; car votre Père sait de quoi vous avez besoin avant que vous le lui demandiez.
280609006d	Voici donc comment vous devez prier: «Notre Père, qui es dans les cieux!» «Que ton nom soit sanctifié!»
28060a0058	«Que ton Règne vienne!» «Que ta volonté soit faite sur la terre comme dans le ciel!
28060b002e	Donne-nous aujourd'hui notre pain quotidien!»
28060c0056	«Et remets-nous nos dettes comme nous-mêmes remettons les leurs à nos débiteurs.»
28060d0043	«Et ne nous induis pas en tentation, mais délivre-nous du Malin»
28060e006e	«Si, en effet, vous remettez aux hommes leurs offenses, votre Père céleste vous remettra aussi les vôtres;
28060f0075	mais si vous ne remettez point aux hommes leurs offenses, votre Père, non plus, ne vous remettra pas vos offenses.»
28061000d8	«Quand vous jeûnez, ne prenez pas, comme les hypocrites, un air accablé; ils se font des visages tout défaits, afin que leur jeûne attire les regards. En vérité, je vous le dis: ils ont reçu leur récompense!
280611003a	Toi, quand tu jeûnes, parfume ta tête et lave ton visage
28061200b4	afin que les hommes ne s'aperçoivent pas que tu jeûnes, mais seulement ton Père qui est là, dans le secret, et ton Père, qui voit dans le secret te donnera ce qui t'est dû.»
280613007e	«Ne vous amassez point de trésors sur la terre où le ver et la rouille rongent et où les voleurs pénètrent et dérobent.
2806140082	Mais amassez-vous des trésors dans le ciel, où il n'y a ni ver, ni rouille qui rongent, ni voleurs qui pénètrent et dérobent.
2806150038	Car là où est ton trésor, là sera aussi ton coeur.»
280616006a	La lampe du corps est l'oeil; si ton oeil n'a rien qui le trouble, ton corps entier sera dans la lumière;
28061700aa	si ton oeil est en mauvais état, ton corps entier sera dans les ténèbres. Si donc la lumière qui est en toi est ténèbres, combien seront profondes ces ténèbres!»
28061800b9	«Nul ne peut servir deux maîtres; ou bien, en effet, il haïra l'un et aimera l'autre; ou bien il s'attachera au premier et méprisera le second. Vous ne pouvez servir Dieu et Mamôn.
28061900f5	Voilà pourquoi je vous dis de ne pas vous inquiéter: pour votre vie de ce que vous mangerez ou de ce que vous boirez; pour votre corps de quoi vous vous vêtirez. La vie n'est-elle pas plus que la nourriture, et le corps plus que le vêtement.
28061a00af	Regardez les oiseaux du ciel; ils ne sèment ni ne moissonnent, ni ne recueillent en des greniers; et votre Père céleste les nourrit. Ne valez-vous pas beaucoup plus qu'eux?
28061b0063	Qui de vous peut, par toutes ses préoccupations, ajouter une seule coudée à la durée de sa vie.
28061c0083	Et quant au vêtement, pourquoi vous en inquiéter? Observez comment croissent les lis des champs. Ils ne travaillent ni ne filent.
28061d006b	Cependant, je vous le déclare, Salomon lui-même dans toute sa gloire, n'était pas vêtu comme l'un deux.
28061e00a9	Si donc cette herbe des champs qui existe aujourd'hui et qui demain sera jetée au four, Dieu la revêt de la sorte, combien plutôt vous-mêmes, hommes de petite foi!»
28061f007e	«Donc, ne vous inquiétez pas, disant: «Que mangerons-nous?» ou: «que boirons-nous?» ou: «comment nous vêtirons-nous?»
2806200072	Oui, tout cela les païens s'en enquièrent. Or, votre Père céleste sait bien que vous avez besoin de tout cela.
280621006a	Cherchez premièrement le Royaume et sa justice et toutes ces choses vous seront données par surcroît.»
2806220072	«Donc, ne vous inquiétez pas du lendemain; le lendemain aura soin de lui-même. A chaque jour suffit sa peine.»
2807010035	«Ne jugez point pour que vous ne soyez point jugés;
280702006f	car en telle forme que vous jugez vous serez jugés, et la mesure que vous faites aux autres sera votre mesure.
280703007d	Pourquoi regardes-tu la paille qui est dans l'oeil de ton frère? Et la poutre qui est dans ton oeil, tu ne la remarques pas?
280704007c	Et comment dis-tu à ton frère: «laisse-moi ôter cette paille de ton oeil» et cela quand il y a une poutre dans le tien!
280705006e	Hypocrite, ôte d'abord de ton oeil la poutre et alors tu verras à ôter la paille de l'oeil de ton frère!»
28070600c5	«Ne donnez pas aux chiens ce qui est sacré, et ne répandez pas vos perles devant les pourceaux, de peur qu'ils ne les foulent aux pieds et que, se tournant contre vous, ils ne vous déchirent.»
280707005f	«Demandez et il vous sera donné; cherchez et vous trouverez; frappez, et il vous sera ouvert;
2807080058	car quiconque demande reçoit, et qui cherche trouve, et à celui qui frappe on ouvrira.
280709005e	Quel est celui d'entre vous, quand son fils lui demandera du pain, qui lui donnera une pierre?
28070a0042	et quand il lui demandera du poisson, lui donnera-t-il un serpent?
28070b00c4	Si donc, tout mauvais que vous êtes, vous savez donner de bonnes choses à vos enfants, combien plus votre Père qui est dans les cieux, en donnera-t-il de bonnes à ceux qui les lui demandent?»
28070c0070	«Tout ce que vous voulez que les hommes vous fassent, faites-le leur aussi: c'est «la Loi et les Prophètes».
28070d009a	«Entrez par la porte étroite, parce que large est la porte et spacieuse la voie qui mènent à la perdition, et nombreux sont ceux qui entrent par elle!
28070e0081	et parce que étroite est la porte et resserrée la voie qui mènent à la vie, et petit est le nombre de ceux qui la trouvent!»
28070f0074	«Prenez garde aux faux prophètes qui viennent à vous, déguisés en brebis et, au dedans, sont des loups rapaces.
2807100077	Vous les reconnaîtrez à leurs fruits. Est-ce sur des épines que l'on cueille le raisin? sur des chardons les figues?
2807110057	Ainsi tout bon arbre donne de bons fruits; et le mauvais arbre donne de mauvais fruits.
2807120059	Un bon arbre ne peut donner de mauvais fruits, ni un mauvais arbre donner de bons fruits.
2807130046	Tout arbre qui ne donne pas de bons fruits est coupé et jeté au feu.
280714002f	Donc, vous les reconnaîtrez à leurs fruits.»
28071500ad	«Ce ne sont pas tous ceux qui me disent: «Seigneur! Seigneur! qui entreront dans le Royaume des cieux, mais celui qui fait la volonté de mon Père qui est dans les cieux.
28071600d4	Plusieurs me diront en ce jour-là: «Seigneur! Seigneur! n'est-ce pas en ton nom que nous avons prophétisé? en ton nom que nous avons chassé les démons? en ton nom que nous avons fait beaucoup de miracles?»
2807170079	Et alors je leur dirai hautement: «Je ne vous ai jamais connus!» «Retirez-vous de moi vous qui commettiez l'iniquité.
2807180076	«Celui donc qui entend de moi ces paroles et les met en pratique c'est l'homme sage qui a bâti sa maison sur le roc;
28071900b4	et la pluie est tombée, et les fleuves sont arrivés, et les vents ont soufflé et ont fondu sur cette maison, et elle n'est pas tombée parce qu'elle était fondée sur le roc.»
28071a0082	«Et celui qui entend de moi ces paroles et ne les met pas en pratique, c'est l'homme insensé qui a bâti sa maison sur le sable,
28071b00a1	et la pluie est tombée, et les fleuves sont arrivés et les vents ont soufflé et ont fondu sur cette maison, et elle est tombée, et sa ruine a été grande.»
28071c0063	Jésus avait achevé de parler; les multitudes étaient extrêmement frappées de son enseignement;
28071d0049	en effet, il le donnait comme ayant autorité et non comme leurs Scribes.
2808010043	Quand il descendit de la montagne, de grandes troupes le suivirent.
2808020078	Survint un lépreux qui s'approcha et se prosterna. devant lui: «Seigneur, dit-il, si tu le veux, tu peux me guérir.»
2808030073	Jésus étendit la main, le toucha et dit: «Je le veux, sois guéri»; et à l'instant il fut guéri de sa lèpre.
280804009f	Jésus ajouta: «Garde-toi de parler de ceci à personne; mais va te montrer au prêtre et offre le don prescrit par Moïse; que ce leur soit un témoignage.»
280805005f	Comme il entrait dans Capharnaüm, un centurion s'approcha de lui, lui adressant cette prière:
2808060076	Seigneur, mon serviteur est dans ma maison, étendu sur son lit, paralytique et en proie à de cruelles souffrances.»
2808070035	Jésus lui répondit: «J'irai, et je le guérirai.»
2808080094	Alors le centurion reprit: «Seigneur, je ne suis pas digne que tu entres sous mon toit, mais donne seulement un ordre et mon serviteur sera guéri.
28080900d6	Car moi (qui ne suis pourtant qu'un subordonné) j'ai sous mes ordres des soldats, et si je dis à l'un: «va-t'en» — il s'en va; à l'autre: «viens» — il vient; à mon esclave: «fais cela — il le fait.»
28080a00b9	Jésus fut dans l'admiration de ce langage; et s'adressant à ceux qui le suivaient: «Je vous le dis en vérité, chez personne, même en Israël, je n'ai trouvé une foi aussi grande?
28080b0095	Je vous déclare que plusieurs viendront de l'Orient et de l'Occident et se mettront à table avec Abraham, Isaac et Jacob dans le Royaume des cieux,
28080c007c	tandis que les fils du Royaume seront jetés dehors dans les ténèbres. Là seront les pleurs et le grincement des dents.»
28080d0081	Ensuite Jésus dit au centurion; «Va et qu'il te soit fait comme tu as cru.» Et, à cette heure même, le serviteur fut guéri.
28080e0067	Arrivé à la maison de Pierre, Jésus vit la belle-mère de celui-ci, couchée; elle avait la fièvre.
28080f0060	Il lui toucha la main et la fièvre disparut; aussi se leva-t-elle et se mit-elle à les servir.
280810008c	Le soir venu, on lui apporta beaucoup de démoniaques, et d'un mot il chassait les Esprits. Il guérit aussi tous ceux qui étaient malades,
2808110089	afin que fût accompli ce qu'avait annoncé le prophète Ésaïe disant: «C'est lui qui a pris nos infirmités et porté nos maladies.»
280812005c	Voyant de nombreuses troupes autour de lui, Jésus donna l'ordre de passer sur l'autre rive.
2808130056	Alors un Scribe, s'avançant, lui dit: «Maître, je te suivrai partout où tu iras.»
2808140090	Jésus lui répond: «Les renards ont des tanières et les oiseaux du ciel ont des nids; mais le Fils de l'homme n'a pas où reposer sa tête.»
280815005e	«Seigneur, lui dit un autre des disciples, permets-moi d'aller d'abord ensevelir mon père.»
280816004c	«Suis-moi! Lui répond Jésus, et laisse les morts ensevelir leurs morts!»
2808170030	Il monta dans la barque, suivi de ses disciples.
280818007c	Soudain une grande tempête s'éleva sur la mer, à tel point que la barque était couverte par les vagues. Lui, il dormait.
2808190075	Les disciples s'approchèrent de lui et le réveillèrent. «Sauve-nous, Seigneur, lui dirent-ils, nous périssons!»
28081a00a0	Il leur répondit: «Pourquoi vous effrayez-vous, hommes de peu de foi?» Alors il se leva, fit des menaces aux vents et à la mer, et il se fit un grand calme.
28081b006c	Ces hommes dirent alors remplis d'admiration: «Qui est-il pour que lui obéissent et les vents et la mer?»
28081c00cc	Quand il fut arrivé à l'autre bord, dans le pays des Gadaréniens, vinrent à sa rencontre deux démoniaques, sortant des sépulcres. Ils étaient si dangereux que personne n'osait passer par ce chemin.
28081d007c	Qu'y a-t-il entre nous et toi, fils de Dieu?» se mirent-ils à crier. «Es-tu venu ici pour nous torturer avant le temps.»
28081e0056	Or, il y avait, dans l'éloignement, un nombreux troupeau de pourceaux qui paissaient.
