2800000007	Mathayo
2801170075	“Bikira atachukua mimba, atamzaa mtoto wa kiume, naye ataitwa Emanueli” (maana yake, “Mungu yu pamoja nasi”).
280118006a	Hivyo, Yosefu alipoamka usingizini alifanya kama malaika huyo alivyomwambia, akamchukua mke wake nyumbani.
2801190064	Lakini hakumjua kamwe kimwili hata Maria alipojifungua mtoto wa kiume. Naye Yosefu akampa jina Yesu.
28020100a9	Yesu alizaliwa mjini Bethlehemu, mkoani Yudea, wakati Herode alipokuwa mfalme. Punde tu baada ya kuzaliwa kwake, wataalamu wa nyota kutoka mashariki walifika Yerusalemu,
280202007e	wakauliza, “Yuko wapi mtoto, Mfalme wa Wayahudi, aliyezaliwa? Tumeiona nyota yake ilipotokea mashariki, tukaja kumwabudu.”
2802030055	Mfalme Herode aliposikia hayo, alifadhaika, yeye pamoja na wakazi wote wa Yerusalemu.
2802040066	Basi akawaita pamoja makuhani wakuu wote na walimu wa Sheria, akawauliza, “Kristo atazaliwa wapi?”
280205004c	Nao wakamjibu, “Mjini Bethlehemu, mkoani Yudea. Ndivyo nabii alivyoandika:
28020600a5	Ewe Bethlehemu katika nchi ya Yuda, kwa vyovyote wewe si mdogo kabisa kati ya viongozi wa Yuda; maana kwako atatokea kiongozi atakayewaongoza watu wangu, Israeli.”
2802070066	Hapo, Herode aliwaita faraghani hao wataalamu wa nyota, akawauliza wakati hasa ile nyota ilipowatokea.
2802080099	Kisha akawatuma Bethlehemu akisema, “Nendeni mkachunguze kwa makini habari za mtoto huyo. Mkisha mpata nileteeni habari ili nami niende nikamwabudu.”
28020900bd	Baada ya kumsikiliza mfalme, hao wataalamu wa nyota wakaenda. Kumbe ile nyota waliyokuwa wameiona upande wa mashariki iliwatangulia hata ikaenda kusimama juu ya mahali pale alipokuwa mtoto.
28020a0026	Walipoiona hiyo nyota, walifurahi mno.
28020b00b1	Basi, wakaingia nyumbani, wakamwona yule mtoto pamoja na Maria mama yake; wakapiga magoti, wakamsujudia. Kisha wakafungua hazina zao, wakampa zawadi: dhahabu, ubani na manemane.
28020c0058	Mungu aliwaonya katika ndoto wasimrudie Herode; hivyo wakarudi makwao kwa njia nyingine.
28020d00e7	Baada ya wale wageni kuondoka, malaika wa Bwana alimtokea Yosefu katika ndoto, akamwambia, “Amka! Mchukue mtoto pamoja na mama yake, mkimbilie Misri. Kaeni huko mpaka nitakapokwambia, maana Herode anakusudia kumwua huyu mtoto.”
28020e005c	Hivyo, Yosefu aliamka, akamchukua mtoto pamoja na mama yake, akaondoka usiku, akaenda Misri.
28020f0095	Akakaa huko mpaka Herode alipokufa. Jambo hilo lilifanyika ili neno alilosema Bwana kwa njia ya nabii litimie: “Nilimwita Mwanangu kutoka Misri.”
280210011f	Herode alipogundua kwamba wale wataalamu wa nyota walikuwa wamemhadaa, alikasirika sana. Akaamuru watoto wote wa kiume mjini Bethlehemu na kandokando yake wenye umri wa miaka miwili na chini yake wauawe. Alifanya hivyo kufuatana na muda aliopata kujua kutoka kwa wale wataalamu wa nyota.
2802110041	Ndivyo yalivyotimia maneno yaliyosemwa kwa njia ya nabii Yeremia:
2802120089	“Sauti imesikika mjini Rama, kilio na maombolezo mengi. Raheli anawalilia watoto wake, wala hataki kutulizwa, maana wote wamefariki.”
2802130054	Baada ya kifo cha Herode, malaika wa Bwana alimtokea Yosefu katika ndoto kule Misri,
2802140095	akamwambia, “Amka! Mchukue mtoto pamoja na mama yake, urudi tena katika nchi ya Israeli, maana wale waliotaka kumwua mtoto huyo wamekwisha kufa.”
280215005c	Basi, Yosefu aliamka, akamchukua mtoto pamoja na mama yake, akarejea katika nchi ya Israeli.
28021600c0	Lakini Yosefu aliposikia kwamba Arkelao mwanawe Herode alikuwa mfalme wa Yudea mahali pa baba yake, aliogopa kwenda huko. Naye baada ya kuonywa katika ndoto, alikwenda katika mkoa wa Galilaya,
2802170077	akahamia katika mji uitwao Nazareti. Ndivyo yalivyotimia maneno yaliyonenwa kwa njia ya manabii: “Ataitwa Mnazare.”
280301004d	Siku hizo Yohane Mbatizaji alitokea, akaanza kuhubiri katika jangwa la Yudea:
2803020032	“Tubuni, maana Ufalme wa mbinguni umekaribia.”
28030300a2	Huyu Yohane ndiye yule ambaye nabii Isaya alinena juu yake aliposema: “Sauti ya mtu imesikika jangwani: Mtayarishieni Bwana njia yake, nyoosheni vijia vyake.”
280304008a	Yohane alivaa vazi lililoshonwa kwa manyoya ya ngamia, na ukanda wa ngozi kiunoni mwake. Chakula chake kilikuwa nzige na asali ya mwituni.
2803050071	Basi, watu kutoka Yerusalemu, kutoka mkoa wote wa Yudea na sehemu zote za kandokando ya mto Yordani, walimwendea,
280306003d	wakaziungama dhambi zao, naye akawabatiza katika mto Yordani.
28030700b1	Lakini alipowaona Mafarisayo wengi na Masadukayo wanamjia ili awabatize, aliwaambia, “Enyi kizazi cha nyoka! Ni nani aliyewadokezea kwamba mnaweza kuiepuka ghadhabu inayokuja?
2803080031	Onyesheni basi kwa matendo, kwamba mmetubu kweli.
2803090093	Msidhani kwamba mtaweza kujitetea kwa kusema, Baba yetu ni Abrahamu! Nawaambieni hakika, Mungu anaweza kuyafanya mawe haya yawe watoto wa Abrahamu.
28030a0073	Basi, shoka liko tayari kuikata mizizi ya miti; hivyo, kila mti usiozaa matunda mazuri, utakatwa na kutupwa motoni.
28030b00ca	Mimi ninawabatizeni kwa maji kuonyesha kwamba mmetubu. Lakini yule anayekuja baada yangu ana uwezo kuliko mimi. Mimi sistahili hata kubeba viatu vyake. Yeye atawabatizeni kwa Roho Mtakatifu na kwa moto.
28030c008b	Yeye anashika mkononi chombo cha kupuria nafaka, ili aipure nafaka yake; akusanye ngano ghalani, na makapi ayachome kwa moto usiozimika.”
28030d0061	Wakati huo Yesu alitoka Galilaya akafika katika mto Yordani, akamwendea Yohane ili abatizwe naye.
28030e0074	Lakini Yohane alijaribu kumzuia akisema, “Je, wewe unakuja kwangu? Mimi hasa ndiye ninayehitaji kubatizwa nawe.”
28030f0091	Lakini Yesu akamjibu, “Acha tu iwe hivyo kwa sasa, maana kwa namna hii inafaa tuyatekeleze yale yote Mungu anayotaka.” Hapo Yohane akakubali.
280310008b	Mara tu Yesu alipokwisha batizwa, alitoka majini; na ghafla mbingu zikafunguka, akaona Roho wa Mungu akishuka kama njiwa na kutua juu yake.
2803110054	Sauti kutoka mbinguni ikasema, “Huyu ndiye Mwanangu mpendwa, nimependezwa naye.”
2804010044	Kisha Roho alimwongoza Yesu mpaka jangwani ili ajaribiwe na Ibilisi.
2804020040	Akafunga siku arubaini mchana na usiku, na mwishowe akaona njaa.
2804030065	Basi, mshawishi akamjia, akamwambia, “Ikiwa wewe ni Mwana wa Mungu, amuru mawe haya yawe mikate.”
280404007d	Yesu akamjibu, “Imeandikwa katika Maandiko Matakatifu: Binadamu hataishi kwa mikate tu, ila kwa kila neno asemalo Mungu.”
280405005a	Kisha Ibilisi akamchukua mpaka Yerusalemu, mji mtakatifu, akamweka juu ya mnara wa hekalu,
28040600b6	akamwambia, “Ikiwa wewe ni Mwana wa Mungu, jitupe chini; maana imeandikwa: Mungu atawaamuru malaika wake kwa ajili yako; watakuchukua mikononi mwao, usije ukajikwaa kwenye jiwe.”
2804070044	Yesu akamwambia, “Imeandikwa pia: Usimjaribu Bwana, Mungu wako.”
2804080067	Kisha Ibilisi akamchukua mpaka juu ya mlima mrefu, akamwonyesha falme zote za ulimwengu na fahari zake,
280409004a	akamwambia, “Hivi vyote nitakupa kama tu ukipiga magoti na kuniabudu.”
28040a0076	Hapo, Yesu akamwambia, “Nenda zako Shetani! Imeandikwa: Utamwabudu Bwana Mungu wako na kumtumikia yeye peke yake.”
28040b0039	Basi, Ibilisi akamwacha, na malaika wakaja, wakamhudumia.
28040c0042	Yesu aliposikia kwamba Yohane ametiwa gerezani alikwenda Galilaya.
28040d0087	Aliondoka Nazareti, akaenda Kafarnaumu, mji ulio kando ya bahari ya Genesareti, mpakani mwa wilaya za Zabuloni na Naftali, akakaa huko.
28040e0042	Ndivyo lilivyotimia lile neno lililosemwa kwa njia ya nabii Isaya:
28040f0073	“Nchi ya Zabuloni na nchi ya Naftali, kuelekea baharini ng'ambo ya mto Yordani, Galilaya nchi ya watu wa Mataifa!
2804100079	Watu waliokaa gizani wameona mwanga mkubwa. Nao walioishi katika nchi ya giza na kivuli cha kifo, mwanga umewaangazia!”
2804110062	Tangu wakati huo Yesu alianza kuhubiri akisema, “Tubuni, maana ufalme wa mbinguni umekaribia!”
28041200a5	Yesu alipokuwa anatembea kando ya ziwa Galilaya, aliwaona ndugu wawili wavuvi; Simoni (aitwae Petro) na Andrea, ndugu yake; walikuwa wakivua samaki kwa nyavu ziwani.
2804130049	Basi, akawaambia, “Nifuateni, nami nitawafanya ninyi wavuvi wa watu.”
2804140026	Mara wakaziacha nyavu zao, wakamfuata.
28041500c3	Alipokwenda mbele kidogo, aliwaona ndugu wengine wawili: Yakobo na Yohane, wana wa Zebedayo. Hao walikuwa ndani ya mashua pamoja na baba yao Zebedayo, wakitengeneza nyavu zao. Basi Yesu akawaita,
2804160039	nao mara wakaiacha mashua pamoja na baba yao, wakamfuata.
28041700c5	Yesu alikuwa anakwenda kila mahali wilayani Galilaya, akifundisha katika masunagogi na kuhubiri Habari Njema juu ya ufalme wa Mungu. Aliponya kila namna ya maradhi na magonjwa waliyokuwa nayo watu.
28041800f0	Habari zake zikaenea katika mkoa wote wa Siria. Wagonjwa wote wenye maradhi ya kila namna na wale waliosumbuliwa na kila namna ya taabu: waliopagawa na pepo, wenye kifafa na watu waliokuwa wamelemaa, walipelekwa kwake; naye akawaponya wote.
2804190069	Makundi mengi ya watu kutoka Galilaya, Dekapoli, Yerusalemu, Yudea na ng'ambo ya mto Yordani, walimfuata.
2805010057	Yesu alipoyaona makundi ya watu, alipanda mlimani, akaketi. Wanafunzi wake wakamwendea,
280502001a	naye akaanza kuwafundisha:
280503003e	“Heri walio maskini rohoni, maana ufalme wa mbinguni ni wao.
2805040029	Heri walio na huzuni, maana watafarijiwa.
2805050029	Heri walio wapole, maana watairithi nchi.
2805060046	Heri wenye njaa na kiu ya kufanya atakavyo Mungu, maana watashibishwa.
2805070029	Heri walio na huruma, maana watahurumiwa.
280508002c	Heri wenye moyo safi, maana watamwona Mungu.
2805090038	Heri wenye kuleta amani, maana wataitwa watoto wa Mungu.
28050a0056	Heri wanaoteswa kwa sababu ya kufanya atakavyo Mungu, maana ufalme wa mbinguni ni wao.
28050b0066	“Heri yenu ninyi watu wakiwatukana, wakiwadhulumu na kuwasingizia kila aina ya uovu kwa ajili yangu.
28050c0078	Furahini na kushangilia maana tuzo lenu ni kubwa mbinguni. Hivyo ndivyo walivyowadhulumu manabii waliokuwako kabla yenu.
28050d008c	“Ninyi ni chumvi ya dunia! Lakini chumvi ikipoteza ladha yake itakolezwa na nini? Haifai kitu tena, ila hutupwa nje na kukanyagwa na watu.
28050e004f	“Ninyi ni mwanga wa ulimwengu! Mji uliojengwa juu ya mlima hauwezi kufichika.
28050f0070	Wala watu hawawashi taa na kuifunika kwa chungu, ila huiweka juu ya kinara ili iwaangazie wote waliomo nyumbani.
280510007f	Vivyo hivyo, ni lazima mwanga wenu uangaze mbele ya watu, ili wayaone matendo yenu mema, wamtukuze Baba yenu aliye mbinguni.”
2805110070	“Msidhani ya kuwa nimekuja kutangua Sheria ya Mose na mafundisho ya manabii. Sikuja kutangua bali kukamilisha.
280512009a	Kweli nawaambieni, mpaka hapo mbingu na dunia zitakapopita, hakuna hata nukta moja au sehemu ndogo kabisa ya Sheria itakayoondolewa, mpaka yote yametimia.
28051300f9	Basi, yeyote atakayevunja hata amri moja ndogo kuliko zote, na kuwafundisha wengine wafanye hivyo, huyo atakuwa mdogo kabisa katika Ufalme wa mbiguni. Lakini yule atakayezishika na kuwafundisha wengine, huyo atakuwa mkubwa katika Ufalme wa mbinguni.
280514007f	Ndiyo maana nawaambieni, wema wenu usipozidi ule wa Mafarisayo na walimu wa Sheria, hamtaingia kamwe katika Ufalme wa mbinguni.
2805150056	“Mmekwisha sikia ya kuwa watu wa kale waliambiwa: Usiue! Atakayeua lazima ahukumiwe.
28051600c7	Lakini mimi nawaambieni, yeyote anayemkasirikia ndugu yake, lazima ahukumiwe. Anayemdharau ndugu yake atapelekwa mahakamani. Anayemwita ndugu yake: Pumbavu atastahili kuingia katika moto wa Jehanamu.
2805170064	Basi, ukipeleka sadaka yako mbele ya madhabahu na hapo ukakumbuka kwamba ndugu yako ana ugomvi nawe,
280518006b	iache sadaka yako mbele ya madhabahu, nenda kwanza ukapatane na ndugu yako, ndipo urudi ukatoe sadaka yako.
28051900b3	“Patana na mshtaki wako upesi mkiwa bado njiani, kwenda mahakamani. La sivyo, mshtaki wako atakukabidhi kwa hakimu, naye hakimu atakukabidhi kwa askari, nawe utafungwa gerezani.
28051a0046	Kweli nakwambia, hutatoka humo mpaka umemaliza kulipa senti ya mwisho.
28051b002d	“Mmesikia ya kuwa watu waliambiwa: Usizini!
28051c0061	Lakini mimi nawaambieni, atakayemtazama mwanamke kwa kumtamani, amekwisha zini naye moyoni mwake.
28051d00ba	Basi, kama jicho lako la kulia linakukosesha, ling'oe ukalitupe mbali. Afadhali zaidi kwako kupoteza kiungo kimoja cha mwili wako, kuliko mwili wako wote kutupwa katika moto wa Jehanamu.
28051e00a6	Na kama mkono wako wa kulia unakukosesha, ukate ukautupe mbali. Afadhali zaidi kupoteza kiungo kimoja cha mwili, kuliko mwili wako wote uende katika moto wa Jehanamu.
28051f004a	“Ilikwisha semwa pia: Anayemwacha mke wake, yampasa ampe hati ya talaka.
2805200093	Lakini mimi nawaambieni, anayempa mkewe talaka, isipokuwa kwa sababu ya uzinzi, anamfanya azini; na mtu akimwoa mwanamke aliyepewa talaka, anazini.
2805210072	“Tena mmesikia kuwa watu wa kale waliambiwa: Usivunje kiapo chako, bali ni lazima utimize kiapo chako kwa Bwana.
2805220059	Lakini mimi nawaambieni, msiape kamwe; wala kwa mbingu, maana ni kiti cha enzi cha Mungu;
2805230068	wala kwa dunia, maana ni kiti chake cha kuwekea miguu; wala kwa Yerusalemu, maana ni mji wa Mfalme mkuu.
280524005d	Wala usiape kwa kichwa chako, maana huwezi kuufanya hata unywele mmoja kuwa mweupe au mweusi.
2805250073	Ukisema, Ndiyo, basi iwe Ndiyo; ukisema Siyo, basi iwe kweli Siyo. Chochote kinachozidi hayo hutoka kwa yule Mwovu.
280526003c	“Mmesikia kwamba ilisemwa: Jicho kwa jicho, jino kwa jino.
2805270073	Lakini mimi nawaambieni, usimlipize kisasi mtu mbaya. Mtu akikupiga kofi shavu la kulia, mgeuzie pia shavu la pili.
2805280058	Mtu akikupeleka mahakamani kutaka kukuchukulia shati lako, mwache achukue pia koti lako.
2805290049	Mtu akikulazimisha kubeba mzigo wake kilomita moja, ubebe kilomita mbili.
28052a0036	Akuombaye mpe, na mtu akitaka kukukopa kitu usimnyime.
28052b0047	“Mmesikia kwamba ilisemwa: Mpende jirani yako na kumchukia adui yako.
28052c0053	Lakini mimi nawaambieni, wapendeni adui zenu na kuwaombea wale wanaowadhulumu ninyi
28052d0096	ili mpate kuwa watoto wa Baba yenu aliye mbinguni. Kwa maana yeye huwaangazia jua lake watu wabaya na wema, na kuwanyeshea mvua watu wanyofu na waovu.
28052e0073	Je, mtapata tuzo gani kwa kuwapenda tu wale wanaowapenda ninyi? Hakuna! Kwa maana hata watoza ushuru hufanya hivyo!
28052f0079	Kama mkiwasalimu ndugu zenu tu, je, mmefanya kitu kisicho cha kawaida? Hata watu wasiomjua Mungu nao hufanya vivyo hivyo.
2805300042	Basi, muwe wakamilifu kama Baba yenu wa mbinguni alivyo mkamilifu.
2806010087	“Jihadharini msije mkafanya matendo yenu mema mbele ya watu kusudi mwonekane nao. La sivyo, Baba yenu aliye mbinguni hatawapeni tuzo.
28060200ae	“Basi, unapomsaidia maskini, usijitangaze. Usifanye kama wanafiki wafanyavyo katika masunagogi na njiani ili watu wawasifu. Kweli nawaambieni, hao wamekwisha pata tuzo lao.
2806030056	Lakini wewe unapomsaidia maskini, fanya hivyo kwamba hata rafiki yako asijue ufanyalo.
2806040047	Toa msaada wako kwa siri, na Baba yako aonaye yaliyofichika, atakutuza.
28060500b1	“Mnaposali, msifanye kama wanafiki. Wao hupenda kusimama na kusali katika masunagogi na katika pembe za njia ili watu wawaone. Kweli nawaambieni, hao wamekwisha pata tuzo lao.
2806060090	Lakini wewe unaposali, ingia chumbani mwako, funga mlango, kisha umwombe Baba yako asiyeonekana. Naye Baba yako aonaye yaliyofichika, atakutuza.
2806070080	“Mnaposali, msipayuke maneno kama watu wasiomjua Mungu. Wao hudhani kwamba Mungu atawasikiliza ati kwa sababu ya maneno mengi.
2806080046	Msiwe kama wao. Baba yenu anajua mnayoyahitaji hata kabla ya kumwomba.
2806090054	Basi, hivi ndivyo mnavyopaswa kusali: Baba yetu uliye mbinguni: Jina lako litukuzwe.
28060a003b	Ufalme wako ufike. Utakalo lifanyike duniani kama mbinguni.
28060b0026	Utupe leo chakula chetu tunachohitaji.
28060c003e	Utusamehe makosa yetu, kama nasi tunavyowasamehe waliotukosea.
28060d009e	Usitutie katika majaribu, lakini utuokoe na yule Mwovu. is Baadhi ya makala za zamani zina; Kwa kuwa ufalme ni wako, na nguvu, na utukufu, hata milele. Amina.
28060e0052	“Maana mkiwasamehe watu makosa yao, Baba yenu wa mbinguni atawasamehe ninyi pia.
28060f0054	Lakini msipowasamehe watu makosa yao, naye Baba yenu hatawasamehe ninyi makosa yenu.
280610009e	“Mnapofunga, msiwe na huzuni kama wanafiki. Wao hukunja nyuso zao wapate kuonekana na watu kuwa wanafunga. Nawaambieni hakika, hao wamekwisha pata tuzo lao.
2806110040	Wewe lakini unapofunga, paka kichwa chako mafuta, nawa uso wako,
2806120082	ili mtu yeyote asijue kwamba unafunga, ila ujulikane tu kwa Baba yako asiyeonekana. Naye Baba yako aonaye yaliyofichika atakutuza.
280613005a	“Msijiwekee hazina hapa duniani ambako nondo na kutu huharibu, na wezi huingia na kuiba.
280614005f	Jiwekeeni hazina mbinguni ambako nondo na kutu hawawezi kuiharibu, wala wezi hawaingii wakaiba.
280615003e	Maana pale ilipo hazina yako, ndipo pia utakapokuwa moyo wako.
2806160059	“Jicho ni taa ya mwili. Kama jicho lako ni zima, mwili wako wote utakuwa katika mwanga.
2806170096	Lakini ikiwa jicho lako ni bovu, mwili wako wote utakuwa katika giza. Basi, ikiwa mwanga ulioko ndani yako ni giza, basi, hilo ni giza la kutisha mno.
28061800bd	“Hakuna mtu awezaye kutumikia mabwana wawili. Maana atamchukia mmoja na kumpenda huyo wa pili; au ataambatana na mmoja na kumdharau huyo mwingine. Hamwezi kumtumikia Mungu na mali pamoja.
28061900de	“Ndiyo maana nawaambieni, msiwe na wasiwasi juu ya chakula na kinywaji mnavyohitaji ili kuishi, wala juu ya mavazi mnayohitaji kwa ajili ya miili yenu. Je, maisha ni chakula tu au zaidi? Na mwili, je, si zaidi ya mavazi?
28061a009d	Waangalieni ndege wa mwituni: hawapandi, hawavuni, wala hawana ghala yoyoye. Hata hivyo, Baba yenu wa mbinguni huwalisha. Je, ninyi si wa thamani kuliko hao?
28061b0057	Ni nani miongoni mwenu kwa kuwa na wasiwasi sana anaweza kuuongeza muda wa maisha yake?
28061c007a	“Na kuhusu mavazi, ya nini kuwa na wasiwasi? Tazameni maua ya porini jinsi yanavyostawi. Hayafanyi kazi wala hayasokoti.
28061d0068	Lakini nawaambieni, hata Solomoni mwenyewe na fahari zake zote hakupata kuvikwa vizuri kama ua mojawapo.
28061e0096	Ikiwa basi Mungu hulivika hivyo jani la shambani ambalo leo liko na kesho latupwa motoni, je, hatafanya zaidi kwenu ninyi? Enyi watu wenye imani haba!
28061f0049	“Basi, msiwe na wasiwasi: Tutakula nini, tutakunywa nini, tutavaa nini!
2806200077	Maana hayo yote yanahangaikiwa na watu wasiomjua Mungu. Baba yenu wa mbinguni anajua kwamba mnahitaji vitu hivyo vyote.
2806210060	Bali, zingatieni kwanza Ufalme wa Mungu na matakwa yake, na hayo mengine yote mtapewa kwa ziada.
280622006a	Basi, msiwe na wasiwasi juu ya kesho; kesho inayo yake. Matatizo ya siku moja yanawatosheni kwa siku hiyo.
2807010039	“Msiwahukumu wengine, msije nanyi mkahukumiwa na Mungu;
2807020093	kwa maana jinsi mnavyowahukumu wengine, ndivyo nanyi mtakavyohukumiwa; na kipimo kilekile mnachotumia kwa wengine ndicho Mungu atakachotumia kwenu.
280703006a	Kwa nini wakiona kibanzi kilicho jichoni mwa ndugu yako, na papo hapo huioni boriti iliyoko jichoni mwako?
2807040081	Au, wawezaje kumwambia ndugu yako, Ndugu, ngoja nikuondoe kibanzi jichoni mwako, wakati wewe mwenyewe unayo boriti jichoni mwako?
2807050098	Mnafiki wewe! Ondoa kwanza boriti iliyoko jichoni mwako na hapo ndipo utaona waziwazi kiasi cha kuweza kuondoa kibanzi kilichoko jichoni mwa ndugu yako.
280706007c	“Msiwape mbwa vitu vitakatifu wasije wakageuka na kuwararua ninyi; wala msiwatupie nguruwe lulu zenu wasije wakazikanyaga.
280707004f	“Ombeni, nanyi mtapewa; tafuteni, nanyi mtapata; bisheni, nanyi mtafunguliwa.
2807080041	Maana, aombaye hupewa, atafutaye hupata, na abishaye hufunguliwa.
280709004e	Je, kuna yeyote miongoni mwenu ambaye mtoto wake akimwomba mkate, atampa jiwe?
28070a0026	Au je, akimwomba samaki, atampa nyoka?
28070b0094	Kama basi ninyi, ingawa ni waovu, mwajua kuwapa watoto wenu vitu vizuri, hakika Baba yenu wa mbinguni atafanya zaidi: atawapa mema wale wanaomwomba.
28070c0076	“Watendeeni wengine yale mnayotaka wao wawatendee ninyi. Hii ndiyo maana ya Sheria ya Mose na mafundisho ya manabii.
28070d00a0	“Ingieni kwa kupitia mlango mwembamba. Kwa maana njia inayoongoza kwenye maangamizi ni pana, na mlango wa kuingilia humo ni mpana; waendao njia hiyo ni wengi.
28070e008f	Lakini njia inayoongoza kwenye uzima ni nyembamba, na mlango wa kuingilia humo ni mwembamba; ni watu wachache tu wanaoweza kuigundua njia hiyo.
28070f007a	“Jihadharini na manabii wa uongo. Wao huja kwenu wakionekana kama kondoo kwa nje, lakini kwa ndani ni mbwa mwitu wakali.
2807100066	Mtawatambua kwa matendo yao. Je, watu huchuma zabibu katika miti ya miiba, au tini katika mbigili? La!
2807110046	Basi, mti mwema huzaa matunda mema, na mti mbaya huzaa matunda mabaya.
2807120052	Mti mwema hauwezi kuzaa matunda mabaya, wala mti mbaya hauwezi kuzaa matunda mema.
2807130039	Kila mti usiozaa matunda mema utakatwa na kutupwa motoni.
2807140026	Kwa hiyo, mtawatambua kwa matendo yao.
2807150089	“Si kila aniambiaye, Bwana, Bwana, ataingia katika Ufalme wa mbinguni; ila ni yule tu anayetimiza mapenzi ya Baba yangu aliye mbinguni.
2807160094	Wengi wataniambia Siku ile ya hukumu: Bwana, Bwana! kwa jina lako tulitangaza ujumbe wako, na kwa jina lako tuliwatoa pepo na kufanya miujiza mingi.
2807170052	Hapo nitawaambia: Sikuwajua ninyi kamwe; ondokeni mbele yangu, enyi watenda maovu.
280718008d	“Kwa sababu hiyo, kila mtu anayeyasikia maneno yangu na kuyazingatia, anafanana na mtu mwenye busara, aliyejenga nyumba yake juu ya mwamba.
2807190089	Mvua ikanyesha, mito ikafurika, pepo kali zikavuma na kuipiga nyumba hiyo. Lakini haikuanguka kwa sababu ilikuwa imejengwa juu ya mwamba.
28071a0081	“Lakini yeyote anayesikia maneno yangu haya bila kuyazingatia, anafanana na mtu mpumbavu aliyejenga nyumba yake juu ya mchanga.
28071b0078	Mvua ikanyesha, mito ikafurika, pepo kali zikavuma na kuipiga nyumba hiyo, nayo ikaanguka; tena kwa kishindo kikubwa.”
28071c0053	Yesu alipomaliza kusema maneno hayo, umati wa watu ukashangazwa na mafundisho yake.
28071d003f	Hakuwa kama walimu wao wa Sheria, bali alifundisha kwa mamlaka.
2808010041	Yesu aliposhuka kutoka mlimani, makundi mengi ya watu yalimfuata.
2808020061	Basi, akaja mtu mmoja mwenye ukoma, akamsujudia akisema, “Bwana, ukitaka, waweza kunitakasa!”
2808030068	Yesu akanyosha mkono wake, akamgusa na kusema, “Nataka! Takasika.” Mara huyo mtu akapona ukoma wake.
28080400a5	Kisha Yesu akamwambia, “Sikiliza, usimwambie mtu yeyote, ila nenda ukajionyeshe kwa kuhani, na ukatoe sadaka iliyoamriwa na Mose kuwathibitishia kwamba umepona.”
2808050050	Yesu alipokuwa anaingia mjini Kafarnaumu, ofisa mmoja Mroma alimwendea, akamsihi
