0100000009	Doometsaa
01010e00bf	S'oossay hewaappe guyye hawaadan yaagiide haasayeedda; «Gallassaa k'ammaappe shaakkanaw poo'otuu saluwaa guufantsuwaan hanino; unttuttu gallassaa, wodiyaanne laytsaa erissanaw mallaa gidino;
01010f006d	sa'aa bollan poo'issana mala unttuttu saluwaa guufantsuwaan poo'ino» yaageedda; hewaappe guyyiyaan haneedda.
010110009d	S'oossay laa"u wolk'k'aama poo'otuwaa, dariyaawe gallassaa mooddanaadaninne k'eera"iyaawe k'ammaa mooddanaadan med'd'eedda; s'oolinttetuwaakka I med'd'eedda.
01011100d8	S'oossay unttuttu ha sa'aa bollan poo'issana mala, gallassaanne k'ammaa mooddana malanne poo'uwaa d'umaappe shaakkana mala, saluwaa guufantsuwaan unttuntta wotseedda. Yaatiide S'oossay hewe lo"a gideeddawaa be'eedda.
010113003c	Sa'ay k'ammeeddanne wontteedda; hewenne oyddentso gallassaa.
01011400c3	S'oossay hewaappe guyye hawaadan yaagiide haasayeedda; «De'uwaan de'iyaa dumma dumma med'etatuu haatsaan darino; kafuukka sa'aappe bollananne saluwaa guufantsuwaappe garssana paallo» yaageedda.
01011500de	Yaatiide S'oossay abbaan de'iyaa wolk'k'aamaa do'atuwaa, haatsaa giddon wos's'i k'aas's'iyaa med'etaa ubbaanne k'efiyaana de'iyaa kafuwaa ubbaa Aa k'ommuwaan k'ommuwaan med'd'eedda. S'oossay hewe lo"a gideeddawaa be'eedda.
0101160076	S'oossay unttuntta, «Yelettite; c'orite; abbaa haatsaa kumite; kafuukka biittaa bollan c'oratto» yaagiide anjjeedda.
0101170040	Sa'ay k'ammeeddanne wontteedda; hewenne ichcheshentso gallassaa.
01011800f6	S'oossay hewaappe guyye hawaadan yaagiide haasayeedda; «De'uwaan de'iyaa med'etatuu barenttu k'ommuwaan k'ommuwaan: mehetuu, biittaana gooshettiyaa med'etatuunne do'atuu barenttu k'ommuwaan k'ommuwaan biittaa bollan kesino» yaageedda; haneedda.
01011900e1	S'oossay do'atuwaa unttunttu k'ommuwaan k'ommuwaan, mehetuukka unttunttu k'ommuwaan k'ommuwaan, biittaana gooshettiyaa med'etatuwaakka ubbaa unttunttu k'ommuwaan k'ommuwaan med'd'eedda. S'oossay hewe lo"a gidiyaawaa be'eedda.
01011a00c8	Hewaappe simmiide S'oossay, «Asaa nu leemisuwaan nuuna malattisiidde ane med'd'oytte; unttunttu abbaa moliyaa, saluwaa kafuwaa, biittaa bolla wos's'i k'aas's'iyaa med'etaa ubbaa mooddino» yaageedda.
01011b009b	Hawaadan S'oossay asaa bare leemisuwaan med'd'eedda; I asaa S'oossaa leemisuwaan med'd'eedda; I unttuntta attuma asaanne mac'c'a asaa ootsiide med'd'eedda.
01011c00de	S'oossay unttuntta hawaadan yaagiide anjjeedda; «Yelettite; c'orite; ha sa'aa kumitenne mooddite; abbaa moliyaa, saluwaa kafuwaanne biittaa bolla wos's'i k'aas's'iyaa, de'uwaan de'iyaa med'etaa ubbaa mooddite» yaageedda.
01011d00d9	Hewaappe simmiide S'oossay, «Be'ite! Taani ha biittaa ubbaa bollan zeretsaa ayfiiyaana de'iyaa katsaa ubbaanne zeretsaa ayfiiyaana de'iyaa teeriyaa mitsaa ubbaa hinttenttoo immaad; unttunttu hinttenttoo k'uma gidana.
01011e00e4	K'aykka ha sa'aan de'iyaa mehiyawunne do'aa ubbaw, saluwaa kafuwaa ubbaw, biittaana gooshettiyaa med'etaa ubbawunne shemppuwaanna de'iyaa med'etaa ubbaw miyaawaa gidanaadan, irs's'a mitsaanne maataa immaad» yaageedda; haneedda.
01011f008f	S'oossay bare med'd'eedda ubbabaakka s'eelleedda; daro lo"a gideeddawaa be'eedda. Sa'ay k'ammeeddanne wontteedda; hewenne usuppuntso gallassaa.
010201004c	Salotuunne sa'ay unttunttun de'iyaawe ubbabay hawaadan med'etti poletteedda.
010202007d	S'oossay bare ootseedda oosuwaa usuppuntsa gallassi poliide, bare ootseedda oosuwaa ubbaappe laappuntsa gallassi shemppeedda.
0102030097	K'ay S'oossay laappuntsa gallassaa anjjeeddanne geeshsha ootseedda; ayaw gooppe, S'oossay bare ootsiyaa oosuwaa wurssiide shemppeeddawe he gallassaana.
0102040067	Saluunne sa'ay med'etteeddawe hawaadaana. Med'inaa Goday S'oossay sa'aanne saluwaanne med'd'eedda wode,
01020500a3	sa'aa bollan mitsaynne maatay dolibeenna; c'arshshaynne c'aaribeenna; ayaw gooppe, Med'ina Goday S'oossay iraa bukkissibeenna; k'ay biittaa ootsiyaa asaykka baawa.
0102060045	Gidooppenne sa'aappe haatsay pude kesiide, biittaa ubbaa irs's'issee.
01020700b4	Hewaappe guyye, Med'inaa Goday S'oossay biittaa baanaappe itti asaa med'd'iide Aa siid'iyaan de'uwaa shemppuwaa shemppi gelisseedda; yaatina bitanii de'uwaan de'iyaa asaa gideedda.
010208007f	Med'inaa Goday S'oossay away doliyaa baggana Edene giyaa sa'aan gennetiyaa tokkeedda; yan bare med'd'eedda bitaniyaa wotseedda.
01020900be	Med'inaa Goday S'oossay s'eellanaw lo"iyaa, maanawukka mal"iyaa ubbaa k'ommo mitsaa biittaappe doliseedda. Gennetiyaa gidduwaan de'uwaa mitsaanne lo'uwaanne iitaa erissiyaa mitsaa wotseedda.
01020a0072	Gennetiyaa ushshiyaa shaafaa haatsay Edeneppe goggee. Edeneppe keseeddawaappe guyye, oyddu shaafaa kes shaakettee.
01020b0065	Koyro shaafaa suntsay Pisoona; Pisooni work'k'ay de'iyaa Ewulaas'a giyaa biittaa ubbaa bollan goggee.
01020c0061	He biittaa work'k'ay geeshsha work'k'aa; k'ay al"o shittuunne loytsi lo"iyaa shuchchay yan de'ee.
01020d0052	Laa"entso shaafaa suntsay Giyoona; Giyooni Top'p'iyaa biittaa ubbaa bollan goggee.
01020e007d	Heezzentso shaafaa suntsay S'egiroosa; S'egiroosi Asooreppe away doliyaa baggana goggee. K'ay oyddentso shaafay Efiraas'iisa.
01020f0063	Bitanii Edene Gennetiyaa ootsana malanne naagana mala, Med'inaa Goday S'oossay Aa afiide wotseedda.
010210005d	Med'inaa Goday S'oossay bitaniyaa, «Gennetiyaa mitsaa teeraa ubbaappe neeni maana gooppe ma;
0102110087	shin lo"uwaanne iitaa erissiyaa mitsaa teeraappe mooppa; ayaw gooppe, neeni aappe meedda gallassi tumu hayk'k'ana» yaagiide azazeedda.
010212008e	Hewaappe guyye Med'inaa Goday S'oossay, «Bitanii barekka de'iyaawe lo"a gidenna; taani aw injjetiyaanonne Aa maaddiyaano med'ana» yaageedda.
010213010e	Med'inaa Goday S'oossay mehetuwaa ubbaa, do'atuwaa ubbaanne saluwaa kafotuwaa ubbaa biittaappe med'd'eedda; k'ay bitanii unttuntta waagi suntsanenttonne be'anaw aakko aheedda; bitanii de'uwaan de'iyaa med'etaa ubbaa suntseedda suntsay unttunttu suntsaa gidiide atteedda.
0102140093	Hewaadan bitanii mehetuwaa ubbaa, saluwaa kafotuwaanne bazuwaa do'atuwaa ubbaa suntseedda; shin Addaamaw injjetiyaanne Aa maaddiyaawe beettibeenna.
01021500b5	Hewaa diraw Med'inaa Goday S'oossay bitaniyaa gem"ishshuwaa kayroyeedda; I gem"ishshuwaa kayrotti de'ishshin, Aa miyyiyaa mek'etsaappe ittuwaa akkiidde, he sa'aa ashuwaa kuntseedda.
0102160070	Med'inaa Goday S'oossay bitaniyaappe akkeedda mek'etsaa mac'c'aano ootseedda; yaatiide izo bitaniyaakko aheedda.
01021700b5	Yaatina bitanii, «Hayanaasho! Ha mek'etsatta ta mek'etsaappe, ha ashattakka ta ashuwaappe aketteeddawunno; izakka attuma asaappe aketeedda diraw, mac'c'awunno geetettu» yaageedda.
010218007f	Hewaa diraw Asay bare aawuwaanne bare aatto aggiide, bare machchattinna ittippe de'ana; unttunttu laa"u itti asho gidanawantta.
010219005a	Bitaniinne Aa machatanne laa"attukka kallo s'iira de'ino; shin ittuu ittoo yeellattikkino.
01030100f4	Shooshshay Med'inaa Goday S'oossay med'd'eedda do'aa ubbaappe aad'd'eedda genanchcha. Itti gallassi shooshshay he mishiratto, «S'oossay tumu hinttentta, ‹Gennetiyaan de'iyaa mitsaa teeraa ubbaappe mooppite› geeddee?» yaagiide oochcheedda.
0103020118	Mishirata shooshshaw zaaraade, «Tuytti, S'oossay hawaadan gibeenna; nuuni gennetiyaan de'iyaa mitsatuwaa teeraa maanaw danddayeetto; shin S'oossay nuuna, Gennetiyaa gidduwaan de'iyaa mitsaa teeraa mooppite; bochchoppite; hewe d'ayooppe hinttenttu hayk'k'anita geedda» yaagaaddu.
0103040040	Shooshshay mishiratto, «Tuytti, hinttenttu ayine hayk'k'ikitta;
01030500a9	S'oossay hewaa geeddawe, he mitsaa teeraa hinttenttu mooppe, hinttenttu ayfii dooyettina, lo"uwaanne iitaa S'oossaadan hinttenttu eranawaa I eriyaa diraassa» yaageedda.
01030600f2	Mishirata he mitsaa teeray maanaw mal"iyaawaa, s'eellanaw lo"iyaawaa, k'ay Asay aad'd'eedda eraa demmanaw amoyiyaawaa gidiyaawaa be'aaddu; he mitsaa teeraappe akkaade maaddu; k'ay barenana de'iyaa bare asinawukka hewaappe immina, ikka meedda.
01030700be	Hewaappe unttunttu laa"uwaa ayfiikka dooyetteedda; yaatina unttunttu barenttoo kallo s'iira de'iyaawaa ereeddino; balasiyaa giyaa mitsaa haytsaa sikkiide, barenttoo k'antsaan danc'c'eeddino.
01030800cf	Sa'ay omarsseedda wode, gennetiyaa gidduwaan Med'inaa Goday S'oossay hamettishin, Aa kooshshaa bitaniinne Aa machata siseeddino; unttunttu gennetiyaa mitsaa giddon Med'inaa Godaa S'oossaappe k'osetteeddinno.
0103090058	Shin Med'inaa Goday S'oossay bitaniyaa s'eesiide, «Addaamaa, hak'an de'ay?» yaageedda.
01030a0071	Bitanii, «Gennetiyaa gidduwaan ne kooshshaa sisaadde, taani kallo de'iyaa diraw, yayaade k'osettaad» yaageedda.
01030b00af	Med'ina Goday S'oossay Aa, «‹Neeni kallo de'aasa› giide new odeeddawe oonee? Taani neena, ‹Mooppa› gaade azazeedda mitsaa teeraappe maadiyyee?» yaagiide oochcheedda.
01030c006a	Shin I, «Taananna de'anaadan neeni immeedda mac'c'awunna he mitsaa teeraappe taw immina maad» yaageedda.
01030d009f	Med'inaa Goday S'oossay hewaappe guyye machchatto, «Neeni hewaa ayaw ootsaad?» yaagiide oochcheedda. Mishirata, «Taana shooshshay c'immina maad» yaagaaddu.
01030e00eb	Med'inaa Goday S'oossay hewaappe guyye shooshshaa, «Neeni hawaa ootseedda diraw, mehiyaa ubbaanne do'aa ubbaa garssan ne s'alalay shek'k'etteeddawaa! Neeni ne uluwaan biittaana gooshettana; ne de'uwaa laytsaa ubbaan baanaa laac'c'ana.
01030f008f	Taani neenanne mishirato, ne zeretsaanne izi zeretsaa morkke kessana; I ne huup'iyaa k'os's'ana; neenikka Aa ginddiyaa dukkanaassa» yaageedda.
01031000c4	Mishirattokka Med'inaa Goday S'oossay, «Ne shahaaro wode daro tuggatana; k'ay neeni wolk'k'aama oytsan naanaa yelana. Gidooppenne neeni ne asinaana de'anaw amottana; I neena mooddana» yaageedda.
0103110140	Bitaniyaakka Med'inaa Goday S'oossay hawaadan yaageedda; «Neeni ne machchatti oduwaa siseedda dirawunne taani neena, ‹He mitsaa teeraa mooppa› gaade azazeedda mitsaa ayfiyaa neeni meedda diraw, biittay ne gaasuwaan shek'etteeddawaa gido! Neeni ne de'uwaa laytsaa ubbaan wolk'k'aama daaburan biittaa goshaadde maana.
0103120047	Biittay new aguntsaanne kashiyaa dolana; neeni woran doleeddawaa maana.
01031300af	Neeni biittaw simmana gakkanaw, daaburan ne som"i c'awattina ootseedda ne k'umaa maana; ayaw gooppe, neeni biittaappe aketaadda; neeni baana; neeni baanaw simmana» yaageedda.
0103140065	Addaame bare machchatto Hewaano giide suntseedda; ayaw gooppe, iza de'uwaan de'iyaa asaa ubbaw aatto.
0103150059	Med'inaa Goday S'oossay Addaamawunne Aa machatiw c'alaa giigissiide unttuntta mayzzeedda.
01031600f5	Hewaappe guyye Med'inaa Goday S'oossay, «Simmi Asay nuuppe ittuwaadan lo"uwaanne iitaa eriyaawaa gideedda. I bare kushiyaa yeddiide, de'uwaa mitsaappe akkiidde, k'ay meenna malanne med'inaw de'uwaan de'enna mala te'ettanaw koshshee» yaageedda.
010317006b	Hewaa diraw, I bare aketeedda biittaa ootsana mala, Med'ina Goday S'oossay Edene Gennetiyaappe Aa keseedda.
01031800cb	Aa kesi diggiide, de'uwaa mitsaakko afiyaa ogiyaa naagana mala, kiruubeela giyaa kiitanchchatuwaanne aad'd'i aad'd'i wod'd'iyaa tamaa lac'uwaa mashshaa Edene Gennetiyaappe away doliyaa baggana wotseedda.
01040100aa	Addaami bare machchatti Hewaanina ak'eeda; iza shahaaro wode attuma na'aa yelaaddu; «Med'inaa Goday taana maaddina, attuma na'aa demmaad» gaade Aa K'aayeela suntsaaddu.
0104020057	K'ay Aa ishaa Aabeela yelaaddu. Aabeeli dorssaa heemmee; k'ay K'aayeeli biittaa goshee.
010403006a	Unddenna wodiyaappe guyye, K'aayeeli bare gaden doliyaa katsaappe Med'inaa Godaw yarshshuwaa yarshsheedda;
01040400bc	shin Aabeeli bare dorssaa wudiyaa giddon bayira yeletteedda maratuwaappe akki shukkiide, unttunttu ashuwaappe mod'd'iyaawaa yarshsheedda. Med'inaa Goday Aabeelanne Aa yarshshuwaa akkeedda;
0104050074	shin K'aayeelanne Aa yarshshuwaa akibeenna. Hewaa diraw, K'aayeeli loytsi yiloteedda; bare deemuwaakka d'umisseedda.
010406004e	Yaatina Med'inaa Goday K'aayeela, «Ayaw yilotay? Ne deemuukka ayaw d'umeedee?
01040700c7	Neeni lo"obaa ootsowaa gidintto, ne som"i pashikkennee? Shin neeni lo"obaa ootsana d'ayooppe, nagaray do'aadan ne penggiyaan muggee; I neena mooddana koyee; shin neeni Aa s'oonana bessee» yaageedda.
01040800a5	Hewaappe guyye, K'aayeeli bare ishaa Aabeela, «Ane dembbaa boytte» yaageedda. Unttunttu dembban de'ishshin, K'aayeeli bare ishaa Aabeela bolla denddiide wod'eedda.
010409009e	Med'inaa Goday K'aayeela, «Ne ishay Aabeeli hak'anee?» yaagiide oochcheedda. K'aayeeli zaariide, «Taani erikke; ta ishaa naagiyaawe taaneeyye?» yaageedda.
01040a0061	Med'inaa Goday K'aayeela, «Hawaa ayaw ootsaad? Be'a; ne ishaa suutsay biittaappe taakko waassee.
01040b0064	Ne kushiyaappe ne ishaa suutsaa akkiide, mittanaw hanggeedda biittaappe ha"i neeni shek'etteeddawaa.
01040c0061	Neeni goshinakka biittay new ayfena; betiyaadan neeni sa'aa bollan toyilakattanaassa» yaageedda.
01040d005a	K'aayeeli Med'inaa Godaa, «Poora! Neeni taana muriyaa muray taani ubbakka danddayennawaa.
01040e00ad	Hekko neeni taana hachche ha biittaappe yederssaassa; taani ne sintsaappe k'osettana; betiyaadan taani sa'aa bollan toyilakattana; taana demmowe ooninne wod'ana» yaageedda.
01040f00c2	Med'inaa Goday Aa, «Neena ooninne wod'ena; wod'ooppe, ne haluwaa aan laappun kushiyaa kesana» yaageedda. Hewaa diraw, demmowe ooninne Aa wod'enaadan Med'inaa Goday Aa bolla malaataa wotseedda.
0104100074	K'aayeeli Med'inaa Godaa sintsaappe kesiide, Edene baggaappe away doliyaa baggana de'iyaa Nooda biittaan de'eeddino.
01041100ad	K'aayeeli bare machchattina ak'eeda; Iza shahaaro wode Heenooka yelaaddu. K'aayeeli katamaa he wode kees's'iide, he katamaa bare na'aa suntsan «Heenooka» giide suntseedda.
010412007d	Heenooki Iraada yeleedda; Iraadi Mahuyaa'eela yeleedda; Mahuyaa'eeli Matushaa'eela yeleedda; Matushaa'eeli Laameeka yeleedda.
0104130041	Laameeki Aadonne S'iilo giyaa laa"u machatuwaa dawutsaa akkeedda.
010414005b	Aada Yaabaala yelaaddu; Yaabaali mehiyaa mooddiyaa, dunkkaaniyaan de'iyaa asatuwaa aawuwaa.
010415006c	Aa ishaa suntsay Yuubaala; Yuubaali k'ay diitsaa diis's'iyaanne uldduudiyaa punniyaa asatuwaa ubbaa aawuwaa;
01041600a2	S'iila k'ay Tubaalik'ayna giyaa na'aa yelaaddu; Tubaalik'ayni nahaasiyaappenne birataappe dumma dumma miishshatuwaa k'os'iyaawaa. Tubaalik'ayna michchata Naa'imo.
01041700d9	Itti gallassi Laameeki bare machchetuwaa, «Aadee, S'iilee, sisite; ta machattoo, ane taani odiyaawaa hayzitte. Itti bitanii taana dechcheedda diraw, taani Aa wod'aad; ee, taani he taana masuntseedda wodallaa wod'aad.
0104180084	K'aayeela haluwaa kessanaw laappun kushii koshooppe, Laameeka haluwaa kessanaw laappun tammanne laappun kushii koshshee» yaageedda.
010419009d	Addaame bare machchattina gisina hara na'aa yelaade, «K'aayeeli wod'eedda Aabeela diraw S'oossay taw hara na'aa immeedda» gaade, Aa Seeta gaade suntsaaddu.
01041a0086	Seetikka attuma na'aa yeleedda; Aa «Heenoosa» giide suntseedda. Aasi Med'inaa Godaa suntsaa s'eesiide goyniyaawaa he wode doomeedda.
0105010075	Addaama yeletay hawaappe kaalliide s'aafetteedda. S'oossay asaa med'd'eedda gallassi barena malatisiidde med'd'eedda.
0105020070	I attuma asaanne mac'c'a asaa ootsi med'd'iide, unttuntta anjjeedda. Unttuntta med'd'iide Asaa giide suntseedda.
0105030063	Addaami 130 laytsaa de'iide, barena malatiyaa attuma na'aa yeleedda; Aa «Seeta» giide suntseedda.
0105040068	Addaami Seeta yeleeddawaappe guyye, 800 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
010505002e	Addaami mule 930 laytsaa de'iide hayk'k'eedda.
010506002d	Seeti 105 laytsaa de'iide, Heenoosa yeleedda;
0105070069	Seeti Heenoosa yeleeddawaappe guyye, 807 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
010508002c	Seeti mule 912 laytsaa de'iide hayk'k'eedda.
0105090030	Heenoosi 90 laytsaa de'iide, K'aynaana yeleedda;
01050a006d	Heenoosi K'aynaana yeleeddawaappe guyye, 815 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
01050b002f	Heenoosi mule 905 laytsaa de'iide hayk'k'eedda.
01050c0034	K'aynaani 70 laytsaa de'iide, Malaali'eela yeleedda;
01050d0071	K'aynaani Malaali'eela yeleeddawaappe guyye, 840 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
01050e0030	K'aynaani mule 910 laytsaa de'iide hayk'k'eedda.
01050f0034	Malaali'eeli 65 laytsaa de'iide, Yaareedda yeleedda;
0105100071	Malaali'eeli Yaareedda yeleeddawaappe guyye, 830 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
0105110033	Malaali'eeli mule 895 laytsaa de'iide hayk'k'eedda.
010512002f	Yaareed 162 laytsaa de'iide, Heenooka yeleedda;
010513006b	Yaareed Heenooka yeleeddawaappe guyye, 800 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
010514002e	Yaareed mule 962 laytsaa de'iide hayk'k'eedda.
0105150031	Heenooki 65 laytsaa de'iide, Maatusaala yeleedda;
0105160085	Maatusaala yeleeddawaappe guyye, Heenooki 300 laytsaa S'oossanna hamettiidde de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
0105170023	Heenooki mule 365 laytsaa de'eedda;
0105180045	I S'oossanna hamettiidde d'ayeedda; ayaw gooppe, S'oossay Aa afeedda.
0105190032	Maatusaali 187 laytsaa de'iide, Laameeka yeleedda;
01051a006e	Maatusaali Laameeka yeleeddawaappe guyye, 782 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
01051b0031	Maatusaali mule 969 laytsaa de'iide hayk'k'eedda.
01051c0034	Laameeki 182 laytsaa de'iide, attuma na'aa yeleedda.
01051d0081	«Ha na'ay Med'inaa Goday shek'k'eedda biittaa bollan nuuna nu kushiyaa oosuwaa daaburaappe shemppissana» giide Noha suntseedda.
01051e0068	Laameeki Noha yeleeddawaappe guyye, 595 laytsaa de'eedda; hara attuma naanaanne mac'c'a naanaa yeleedda.
01051f002f	Laameeki mule 777 laytsaa de'iide hayk'k'eedda.
010520003c	Nohe 500 laytsaa de'iide, Seema, Kaamanne Yaafeeta yeleedda.
0106010049	Aasi sa'aa bollan dareedda wode, unttunttoo mac'c'a naanay yeletteeddino;
010602009f	«Saluwaa Med'etatuwaa» geetettiyaawanttu ha asaa mac'c'a naanay malaa lo"a gidiyaawaa be'eeddino; yaatiide unttunttuppe barenttoo dooreeddawantta akkeeddino.
0106030091	Med'inaa Goday, «Ta Ayyaanay asan med'inaw de'enna; ayaw gooppe, Asay hayk'k'iyaawaa; Aa laytsatuukka itti s'eetanne laatama gidana» yaageedda.
01060400c2	He wodenne hewaappe guyye Saluwaa med'etatuu asaa mac'c'a naanaa akkina, naanay yeletteedda wode, wogga adussa asatuu sa'aa bollan de'eeddino. Unttunttune beni wode olaw minanne eretteedda asaa.
01060500a0	Med'inaa Goday he wode sa'aa bollan de'iyaa asaa iitatetsay dareeddawaanne unttunttu wozanay k'oppiyaabay ubbay ubbaa wodekka iita s'alala gideeddawaa be'eedda;
0106060063	Med'inaa Goday asaa ha sa'aa bollan med'd'eeddawoo kayyotteedda; bare wozanaan loytsi seeletteedda.
01060700f4	Hewaa diraw Med'inaa Goday, «Taani med'd'eedda asaa ha sa'aa bollappe mule d'ayssana; asaa, mehiyaa, do'aa, biittaana gooshettiyaa med'etatuwaanne saluwaa kafotuwaa d'ayssana; ayaw gooppe, taani unttuntta med'd'eeddawoo kayyottaad» yaageedda.
010608002e	Shin Nohe Med'inaa Godaa sintsan nashetteedda.
0106090092	Nohe haneeddabay hawaappe kaalliide s'aafetteedda. Nohe s'illo asaa; I bare wodiyaan de'eedda asaa giddon suure asaa; Nohe S'oossanna hametteedda.
01060a0042	Nohe Seema, Kaamanne Yaafeeta giyaa heezzu attuma naanaa yeleedda.
01060b004f	He wode biittay sa'ay S'oossaa sintsan tuneedda; sa'ay ubbay makkalan kumeedda.
01060c0080	S'oossay ha sa'aa s'eelleedda; sa'ay tuneeddawaa be'eedda; ayaw gooppe, sa'aan de'iyaa Asay ubbay bare ogiyaa tunissi wotseedda.
01060d00b8	Hewaa diraw, S'oossay Noha hawaadan yaagiide azazeedda; «Taani asaa ubbaa d'ayssana hanay; unttunttu gaasuwaan sa'ay makkalan kumeedda diraw, taani tumuppe asaakka sa'aakka d'ayssana.
01060e008f	Hewaa diraw, mino mitsaappe new markkabiyaa kees's'a; he markkabiyaa giddon c'ora k'ol"otuwaa kessa; yaataade soonnanne karenna shidiyaan bara.
01060f0080	Markkabiyaa hawaadan yaataade kees's'a; adussatetsaa heezzu s'eetu wad'aa, gomppaa ishatamu wad'aa, geesaa hattamu wad'aa ootsa;
01061000bf	markkabiyaw kaaraa med'd'a; kaaraappenne godaappe gidduwaan itti wad'aa gidiyaa sa'aa kallo agga basha; penggiyaa markkabiyaw miyiyaanna kessa; markkabiyaa heezzu pook'iyaa kessaade kees's'a.
01061100a1	«Taani saluwaappe garssan de'uwaa shemppuwaanna de'iyaa med'etaa ubbaa d'ayssanaw, ha sa'aa bollan bashshaa haatsaa yeddana; ha sa'aan de'iyaabay ubbay d'ayana.
01061200a8	Shin taani ta k'aalaa c'aak'k'uwaa neenana c'aak'k'ettana. Neeni ne machchatto, ne attuma naanaanne ne attuma naanaa machatuwaa neenanna akkaade markkabiyaa giddo gela.
01061300b3	Unttunttu neenana shemppuwaanna attana mala, shemppuu de'iyaa med'etaa ubbaappe k'ommuwaan k'ommuwaan attumawaanne mac'c'awaa laa"uwaa laa"uwaa akkaade, markkabiyaa giddo gelissa.
01061400c2	Dumma dumma k'ommo kafuwaappe, dumma dumma k'ommo mehiyaappenne biittaana gooshettiyaa dumma dumma k'ommo med'etatuwaa ubbaappe laa"uwaa laa"uwaa gidiide, shemppuwaanna attana mala neekko yaana.
010615007b	K'ay neeninne neenanna de'iyaawanttu maanaw, dumma dumma k'ommu miyaa katsaa Eefeera, markkabiyaa giddon k'ola» yaageedda.
0106160033	Nohe ubbabaakka S'oossay azazeeddawaadan ootseedda.
01070100bb	Med'inaa Goday hewaappe guyye Noha hawaadan yaageedda; «Neeni ne soo asaa ubbaanna markkabiyaa giddo gela; ayaw gooppe, taani ha wodiyaa yeletaa giddon neeni s'illo gideeddawaa be'aaddi.
01070201b1	Neeni geeshsha gideedda mehiyaanne do'aa ubbaappe Aa k'ommuwaappe k'ommuwaappe attumawaanne mac'c'awaa laappunuwaa laappunuwaa, geeshsha gidenna mehiyaanne do'aa ubbaappe Aa k'ommuwaappe k'ommuwaappe itti attumawaanne itti mac'c'awaa, k'ay saluwaa kafuwaappe Aa k'ommuwaappe k'ommuwaappe attumawaanne mac'c'awaa laappunuwaa laappunuwaa ootsaade, sa'aa ubbaa bollan dumma dumma zeretsay shemppuwaanna attana mala neenana akkaade gela.
01070400c2	Ayaw gooppe, laappun gallassaappe guyye, taani oytamu gallassaanne oytamu k'ammaa ha sa'aa bollan iraa bukissana; yaataade taani med'd'eedda med'etaa ubbaa sa'aa bollaappe d'ayssana» yaageedda.
0107050033	Nohe Med'inaa Goday Aa azazeedda ubbabaa ootseedda.
0107060049	Bashshaa haatsay ha sa'aa bolla yeedda wode, Nohe laytsay usuppun s'eeta.
0107070074	Nohe, Aa attuma naanay, Aa machatanne Aa naanaa machchetuu bashshaa haatsaappe attanaw markkabiyaa giddo geleeddino.
