2a00000005	Luuka
2a014200ae	Booshi bayunvaga ogo mwazi baalema bakengeera n'oguchiibaza ntya omu mirhima yaabo: «Leero oyu mwana nj'aba muntu muchi?» Kwenge okuboko kwa Nnaweerhu kwaliiri haguma naye.
2a01430037	Eshe Zakariya ayunjuzwa Muuka-Mutagatiifu, aleeba ntya:
2a01440070	«Nnaweerhu agishwe, Nnamahanga w'olubaga lw'eIsraheeli, kwenge ayinjire gurhabaala n'oguchungula olubaga lwage.
2a01450052	Arhulerheere omuchunguzi w'obuhashe gurhengera omu mulala g'omukozi waage Daawudi,
2a0146004c	nk'oku anabiderhaga gurhengera miira kugerera abaleebi baage batagatiifu oku
2a0147004e	arhushwekuula oku banzi beerhu n'ogurhukuula omu maboko m'abarhushomba booshi.
2a01480051	Ayerekeene obubabale bwage oku ba daarha n'okuyibuka egihango chaage gitagatiifu.
2a01490054	Nnamahanga ajirire ntyo gukulikiza endahiro alahizizaga shookuluza weerhu Abrahaamu.
2a014a005c	Eyo ndahiro yali y'ogurhukuula omu maboko m'bashombanyi beerhu, yi rhumukolera buzira buuba,
2a014b0052	yi rhuba batagatiifu n'abakwaneene omu meesho maage esiku zooshi z'akalamo keerhu.
2a014c0097	Naawe mwana waani, nji wahamagalwa muleebi wa Nnamahanga w' Elugulu Bweneene, kwenge nji wayinja nka murhumwa wa Nnaweerhu omu gurheganya enjira yaage,
2a014d0047	yi nj'amenyesa olubaga lwage obuchunguke omu kubabalira ebyaaha byaabo,
2a014e0074	kugerera obubabale bwa Nnamahanga weerhu. Kugerera obo bubabale, Nnamahanga arhukoleezeza ezuuba gurhengera elugulu,
2a014f0074	y'akoleezeza abayikeere omu mwizimya n'omu gichuuchu ch'olufu, n'okuyerekeza amagulu meerhu omu njira y'omurhuula.»
2a01500088	Oyo mwana agendekera gukula n'okugwarha omurhima guzibuhire. Abeera omu mpinga kugera amango m'oguchiyeerekana oku lubaga lw'eIsraheeli.
2a0201009a	Mw'amo mango omwami mukulu w'aBarooma oyirikwa Kayizaari Ogisitu aleerha erhegeko liderhere oku abantu booshi baganjwe omu bihugo byooshi by'obwami bwage.
2a02020051	Olu luganjo lwambere lwaba amango Kureniyo aliiri murhegesi w'egihugo ch'eSuriya.
2a02030055	Abantu booshi bagenda guchiyandikiisa ngasi muguma omu gishagala ch'akavukiiro kaage.
2a020400d0	Yozefu naye arhenga omu gishagala ch'eNazareeti ch'omu Galilaaya. Achiyeerekeza omu gihugo ch'eYudeeya omu gishagala omwami Daawudi aburhwaga mo chiyirikwa Beteleheemu. Kwenge aliiri w'omu mulala gwa Daawudi.
2a02050053	Aja yo guchiyandikiisa haguma na Mariya mushambaaza waage. Na Mariya ey'ali bukule.
2a0206003b	Oku bali eBeteleheemu, olusiku lwage l'okuburha lwagera ho.
2a020700a0	Aburha omugala w'efula. Amuyambisa engobi, amulyaamiza omu hikenzi hy'okuliisiza mo ebirhungano, kwenge nta hantu haalichiri ho omu nju y'okuyankirira abahiisi.
2a02080052	Mw'echo gihugo mwaliiri abangere bagendaga balaala balanga obuso bwabo omu mashwa.
2a02090065	Malahika wa Nnaweerhu ava ababonekera. Obulangashane bwa Nnaweerhu bwabamolekera. Bayuubaha bweneene.
2a020a0076	Aliko malahika ababwira ntya: «Murhayuubahaga, kwenge mbalerheere oMwazi Mwinja, gwashagalusa bweneene abantu booshi.
2a020b0063	Omu budufu bwa zeene, oMuchunguzi wenyu aburhirwe omu gishagala cha Daawudi: ye Krisitu, Nnaweerhu.
2a020c007b	N'echimenyeeso cheechi: mwashimaana enjolyaana eyambiiswe engobi, ey'elyamiizwe omu hikenzi hy'okuliisiza mo ebirhungano.»
2a020d0082	Ho n'aho, echigusho chinene cha bamalahika gurhenga empingu chabugaana ola malahika, baliiri guharamya Nnamahanga n'okuderha ntya:
2a020e0076	«Obukuuze bunene emwa Nnamahanga omu mpingu z'elugulu bweneene, n'oku gulu, obuholo omu bantu baage asimiiswa nabo!»
2a020f00a1	Bamalahika babeere babaleka n'okugaluka empingu, abo bangere babwirana ntya: «Boonabuno, rhuje eBeteleheemu kulola ebyabeere yo, ebi Nnaweerhu arhumenyeesize.»
2a0210006f	Baaja yo jubaajuba. Bashigaana Mariya na Yozefu n'omwana ey'alyaamire omu hikenzi hy'okuliisiza mw'ebirhungano.
2a02110051	Babeere baabona enjolyaana, baabala ebi malahika abwiraga bo elugulu w'oyo mwana.
2a0212003c	Booshi bayunvaga ebi abangere baderhaga basoomerwa bweneene.
2a02130059	Mariya yeewe aliiri kubiika ebyo byooshi oku murhima gwage n'ogukengeera bichi biderhere.
2a02140079	Abangere nabo bagaluka eyi bali bakuuza Nnamahanga n'okumuharamya oku byooshi bayunvire n'okubona ko nk'oku balibwirirwe.
2a0215008d	Habeere hagera siku munaane omwana aburhirwe, bamukembuula, bamuyirika Yeesu, ly'eziino malahika ali amuyirikire embere nyina aheeke obukule.
2a021600a2	Amango esiku zayeneraga z'ogucheesibwa nk'oku eRhegeko lya Muusa lyaaliderhere, Yozefu na Mariya baava bazamuukira eYerusaleema kuyeerekana omwana emwa Nnaweerhu.
2a02170081	Bulaala biyandikirwe ntya omu Rhegeko lya Nnaweerhu: «Ngasi mwana w'obuzaana nji waaburhwa w'olubere, arhuulwe emwa Nnaweerhu.»
2a0218007a	Balikwaneene guhaana entuulo ehemerwe mw'elyo Rhegeko lya Nnaweerhu: «Maguuku mabiri changwa enyunyi ebiri z'entungulu.»
2a021900be	Haliiri muntu muguma eYerusaleema oyirikwa Simeooni. Aliiri muntu okwaneene embere za Nnamahanga n'okumukenga. Aliiri kulinga owarhulereza Israheeli, na Muuka-Mutagatiifu aliiri haguma naye.
2a021a0053	Muuka-Mutagatiifu ali mubwirire oku arhagafiire arhaza kubona Krisitu wa Nnaweerhu.
2a021b008f	Simeooni ava aja omu Nju ya Nnamahanga eyi ayerekeezwe na Muuka-Mutagatiifu. Amango ababusi ba Yeesu bamuleerhaga kujira eby'eRhegeko lihemere,
2a021c0047	Simeooni amurhoola omu maboko maage, akuuza Nnamahanga n'okuderha ntya:
2a021d0076	«Nnaweerhu wajirire nk'oku walaganyaga: okola wakaleka omuja waawe afe n'omurhuula nka okw'echinwa chaawe chiderhere.
2a021e0037	Kwenge nachibweneere obuchunguke bwawe n'ameesho maani.
2a021f0033	Obu buchunguke warheganyaga embere za ngasi lubaga,
2a02200065	b'obumoleke nji bwakumenyesa oku bapagaani. Na kandi nji bwaba bukuuze bwa Israheeli, lubaga lwawe.»
2a02210051	Eshe na nyina wa Yeesu basoomerwa n'ebi Simeooni aliiri kuderha elugulu w'omwana.
2a022200cc	Simeooni abagisha n'okubwira Mariya nyina wa Yeesu ntya: «Oyu mwana ali ho yi bantu banene barhoge n'abandi bayinamuke omu Israheeli. Nj'aba chimenyeeso charhenga emwa Nnamahanga, banene nji bachilahira.
2a02230097	Na ntyo, nj'abishuula enkengeero zibishirwe omu mirhima ya banene. Naawe Mariya, nji wababala bweneene omu murhima gwawe nk'ogwachumirhirwe n'akeere.»
2a022400ed	Haliiri omuleebi-kazi muguma oyirikwa Haana, mwali wa Fanuweeri, w'omu mulala gwa Haseeri. Oyo Haana abaaga akola mugeekulu wa myaaka minene. Abaaga amalama myaaka mushanvu yonyine n'eba gurhengera ogushabwa kwage, buzinda bwaho eba afa.
2a022500d9	Alibeerere mushumbakazi, guhika amango ageraga omu myaaka makumi gali munaane n'ene. Abaaga arharhenga omu Nju ya Nnamahanga, aliko ey'anakolera Nnamahanga ezuuba n'obudufu omu guchiibuza kulya n'omu kugenda asaliira.
2a0226009f	Naye agera ho mw'ebyo bishanji n'okuva ahwanza gusiimiriza Nnamahanga. Booshi baliiri kulingiriza oguchungulwa kwa Yerusaleema, abalira bo elugulu w'oyo mwana.
2a0227008c	Abazeere ba Yeesu babeere bamala kujira nk'oku eRhegeko lya Nnaweerhu lihemere, bagaluka naye eGalilaaya omu gishagala chaabo ch'eNazareeti.
2a0228007e	Oyo mwana Yeesu aliiri gukula n'okugwarha emisi. Aliyunjwire n'obwenge bunene, n'omugisho gwa Nnamahanga gwaliiri haguma naye.
2a02290059	Ngasi mwaka, abazeere ba Yeesu bagendaga baja eYerusaleema oku lusiku lukulu lwa Paasaka.
2a022a0066	Yeesu abeere agwarha myaaka ekumi n'ebiri, bazamuukira yo naye gukulikirana n'emicho y'olusiku lukulu.
2a022b0080	Olusiku lukulu lwa Paasaka lwabeere lwahwa, bafuluka. Aliko omwana Yeesu asigala eYerusaleema. Ababusi baage barhamenyaga chiro.
2a022c00bb	Baliiri gukengeera oku nkabaga Yeesu ali haguma n'abandi bantu baliiri nabo omu lugenzi. Balambagira ezuuba lyooshi. Baja barhondera kumushonda ahagarhi ka beene baabo n'abantu babayinji.
2a022d0045	Aliko barhamubonaga. Baava bagaluka eYerusaleema eyi bali bamushonda.
2a022e009f	Buzinda bwa siku esharhu, bamushimaana omu Nju ya Nnamahanga ayikeere ahagarhi k'abigiriza b'eRhegeko lya Nnamahanga. Aliiri kubayunviriza n'okubabaza ebibazo.
2a022f0054	Booshi baliiri kumuyunviriza basoomererwa obwenge bwage n'ebishubizo aliiri guhaana.
2a0230009e	Ababusi baage babeere bamubona, baashalama. Nyina amubwira ntya: «Mwana waani, charhumire warhujira ntya? Yisho haguma naani rhwaliiri kugushonda n'obuuba.»
2a0231006d	Yeesu abashubiza ntya: «Gichi charhumaga mwanshonda? Ka murhamenyere oku nkwaneene kuba omu Nju ya Daarha?»
2a02320028	Aliko barhayunvaga ech'aliiri kubabwira.
2a0233006a	Yeesu achima nabo eNazareeti. Aliiri kubakenga. Nyina aliiri kubiika ebyo binwa byooshi omu murhima gwage.
2a0234005c	Yeesu aliiri gukula omu bwenge bunene, omu bule n'omu migisho embere za Nnamahanga n'abantu.
2a0301014d	Omu mwaka gw'ekumi na garhaano g'oburhegesi bw'omwami mukulu w'aBarooma Kayizaari Tiberiyo, Ponsiyo Pilaato aliiri mwimangizi w'egihugo ch'eYudeeya. Na Heroode aliiri mwimangizi w'egihugo ch'eGalilaaya na mwene waabo oyirikwa Firipo omu gihugo ch'eItureya na ech'eTarakoniiti. Lisaniya naye aliiri mwimangizi w'egihugo ch'eHabileeni.
2a03020086	Hanaasi na Kayaafa bo baliiri bakulu b'abadaahwa. Mwamo mango, echinwa cha Nnamahanga chahikira Yohaana mugala wa Zakariya omu mpinga.
2a0303009e	Yohaana agera omu bihugo byooshi byalitureene n'olwinji lw'eYorodaani. Aliiri kuyaamagaza ntya: «Muleke ebyaaha byenyu, mubatiizwe yi Nnamahanga ababalira.»
2a030400bc	Na ntya byaava byaagera ho eby'omuleebi Isaya ayandikaga omu gitaabu chaage mpu: «Muntu muguma ali ahamagaza omu mpinga: ‹Murheganye enjira ya Nnaweerhu. Mumujirire enjira zilambuukire!
2a0305009b	Ngasi lubanda nji lwayunjuzwa, ngasi musozi na ngasi hirhondo nji byalambuulwa, ngasi rukumba lw'enjira nji lwagonyoolwa. Enjira zibiihire nji zalambuulwa.
2a0306003b	Na ngasi muntu nj'abona obuchunguke Nnamahanga ahaana.›»
2a03070092	Abantu banene bayinja emwa Yohaana mpu ababatiize. Alema ababwira ntya: «Mwe buuko bw'enjoka, nde wabayigiriize guchilanga oku buhane bwayinjire?
2a030800e3	Leero, muleme mwayeerekana kugerera ebijiro binja oku mwalekere ebyaaha byenyu. Murhachibwiraga mpu: ‹Abrahaamu ali shookuluza weerhu.› Kwenge mbabwirire oku Nnamahanga agakoleesa ama mabaale n'okumajira baana ba Abrahaamu!
2a03090080	Embasha ekola eri hoofu guchiira emirhi oku mizi. Nkaasi murhi gurhayeezeze amalehe menja, gwachiibwa n'ogukabulwa omu muliro.»
2a030a003a	Abantu baliiri kumubaza ntya: «Gichi rhujaage rhwajira?»
2a030b0078	Abashubiza ntya: «Ogwerhe simiisi ebiri agwasizwe guhaana nguma okw'orhayigwerhe. Ogwerhe ech'okulya naye ajire ntyo.»
2a030c006f	Ab'ogufurhiisa amakooli nabo bayinja kubatiizwa. Baabaza Yohaana ntya: «Mwigiriza, bichi rhukwaneene kujira?»
2a030d004f	Ashubiza bo ntya: «Murhahoreesaga binene kulusha ebi murhegekerwe guhoreesa.»
2a030e00c4	Abasoda nabo baamubaza ntya: «Neerhu, bichi rhukwaneene kujira?» Ashubiza bo ntya: «Murhanyagaga omuntu ehyaage changwa gusidaaka omuntu oku bushaabusha. Aliko musimiiswe n'omukamarho gwenyu.»
2a030f007e	Olubaga lwaliiri kulingiriza n'obulangaalire, ngasi muguma aliiri gukengeera omu murhima gwage oku nkabaga Yohaana ye Krisitu.
2a031000d7	Yohaana abwira bo ntya: «Nyoono ndi nababatiiza omu menji; aliko owayinja agwerhe obuhashe kundusha. Ntakwaneene chiro gushwekuula omugozi gw'ebiraato byaage. Yeewe nj'ababatiiza na Muuka-Mutagatiifu, n'omu muliro.
2a031100dd	Afarhire omu fune zaage engooko y'okuyeera, abiiza echibuga chaage; ahira amahemba olwage lunda n'emyaavu olwage lunda. Nj'agusha amahemba omu nguli yaage, sy'aliko nj'ayoosa emyaavu omu muliro gurhazima chiro n'ehityu.»
2a03120066	Yohaana ayigiriza olubaga oMwazi Mwinja omu kubaheereza ezindi nyigirizo zinene z'okubaseeza omurhima.
2a031300b0	Aliko Yohaana akalihira Heroode, wali yimire omu gihugo ch'eGalilaaya, kwenge aliyingiire Herodiya muka mwene waabo, n'okwenge abaaga ey'akolere ebindi bijiro binene bibiihire.
2a03140060	Kw'ebyo byooshi, Heroode ayongeera ko echindi chijiro chibi ch'oguhiriisa Yohaana omu munyororo.
2a0315007a	Abantu booshi babeere bamala kubatiizwa, Yeesu naye abatiizwa. Olo lusiku, oku Yeesu ali gusaliira, empingu yagichinguula,
2a031600a4	Muuka-Mutagatiifu amuyandagalira ko omu shusho ly'eguuku. Omulenge gwayunviikana ntya gurhengera empingu: «Oli Mugala waani muzigirwa; nsimiisizwe nawe bweneene.»
2a0317009d	Amango Yeesu arhonderaga kuyigiriza, aligwerhe emyaaka yakagera ku makumyaasharhu. Abantu baliiri kumurhoola nka mwene Yozefu. Yozefu aliiri Mugala wa Heeli,
2a031800a0	Heeli aliiri mugala wa Mataati, Mataati aliiri mugala wa Laawi, Laawi aliiri mugala wa Meleki, Meleki aliiri mugala wa Janaayi, Janaayi aliiri mugala wa Yozefu,
2a031900ac	Yozefu aliiri mugala wa Matatiyaasi, Matatiyaasi aliiri mugala wa Amoosi, Amoosi aliiri mugala wa Nahuumu, Nahuumu aliiri mugala wa Esuuli, Esuuli aliiri mugala wa Nagaayi,
2a031a00af	Nagaayi aliiri Mugala wa Maati, Maati aliiri mugala wa Matatiyaasi, Matatiyaasi aliiri mugala wa Semeyini, Semeyini aliiri mugala wa Yezeechi, Yezeechi aliiri mugala wa Yooda,
2a031b00b7	Yooda aliiri Mugala wa Yohanaani, Yohanaani aliiri mugala wa Reesa, Reesa aliiri mugala wa Zorobabeeli, Zorobabeeli aliiri mugala wa Shalitiyeeri, Shalitiyeeri aliiri mugala wa Neeri,
2a031c00a5	Neeri aliiri mugala wa Meleechi, Meleechi aliiri mugala wa Aadi, Aadi aliiri mugala wa Gosaame, Gosaame aliiri mugala wa Elimadaame, Elimadaame aliiri mugala wa Ere,
2a031d00ab	Ere aliiri mugala wa Yooshuwa, Yooshuwa aliiri mugala wa Eliyezeeri, Eliyezeeri aliiri mugala wa Yoriime, Yoriime aliiri mugala wa Mataati, Mataati aliiri mugala wa Laawi,
2a031e00a6	Laawi aliiri mugala wa Simeooni, Simeooni aliiri mugala wa Yuuda, Yuuda aliiri mugala wa Yozefu, Yozefu aliiri mugala wa Yonaami, Yonaami aliiri mugala wa Eliyakiimu,
2a031f00a8	Eliyakiimu aliiri mugala wa Meleeya, Meleeya aliiri mugala wa Meena, Meena aliiri mugala wa Mattata, Mattata aliiri mugala wa Nataamu, Nataamu aliiri mugala wa Daawudi,
2a0320009d	Daawudi aliiri mugala wa Yeese, Yeese aliiri mugala wa Yobeedi, Yobeedi aliiri mugala wa Boazi, Boazi aliiri mugala wa Saala, Saala aliiri mugala wa Nasooni,
2a032100d3	Nasooni aliiri mugala wa Aminadaabu, Aminadaabu aliiri mugala wa Adimiini, Adimiini aliiri mugala wa Ariini, Ariini aliiri mugala wa Hesiroomi, Hesiroomi aliiri mugala wa Pereesi, Pereesi aliiri mugala wa Yuuda,
2a032200a1	Yuuda aliiri mugala wa Yakobo, Yakobo aliiri mugala wa Isaka, Isaka aliiri mugala wa Abrahaamu, Abrahaamu aliiri mugala wa Teera, Teera aliiri mugala wa Nahoori,
2a032300a4	Nahoori aliiri mugala wa Seruugi, Seruugi aliiri mugala wa Reehu, Reehu aliiri mugala wa Peleegi, Peleegi aliiri mugala wa Hebeeri, Hebeeri aliiri mugala wa Sheela,
2a032400aa	Sheela aliiri mugala wa Kenaani, Kenaani aliiri mugala wa Arapakasaadi, Arapakasaadi aliiri mugala wa Seemu, Seemu aliiri mugala wa Noowa, Noowa aliiri mugala wa Lameeki,
2a032500b5	Lameeki aliiri mugala wa Matusaleemi, Matusaleemi aliiri mugala wa Henooka, Henooka aliiri mugala wa Yereedi, Yereedi aliiri mugala wa Malaleeli, Malaleeli aliiri mugala wa Kenaani,
2a03260082	Kenaani aliiri mugala wa Enoosi, Enoosi aliiri mugala wa Seeti, Seeti aliiri mugala wa Adaamu, Adaamu aliiri mugala wa Nnamahanga.
2a04010070	Yeesu arhenga omu lwinji lw'eYorodaani ey'ayunjwizwe Muuka-Mutagatiifu. Aheekwa na Muuka-Mutagatiifu omu mpinga.
2a04020081	Omoola mpinga, ageregezwa na Shetaani gihe cha siku makumi mane. Arhalyaaga chintu mw'ezoola siku. Zabeere zaahwa, ayunva enzara.
2a04030061	Shetaani aja amubwira ntya: «Akaba oli Mugala wa Nnamahanga, bwira eli baale lihinduke mugati.»
2a04040053	Yeesu amushubiza ntya: «Biyandikirwe: ‹Omuntu arhakalama n'omugati gonyine.›»
2a0405005e	Shetaani ava amuheeka elugulu bweneene, amuyeereka omu gashanji kageeke amaami mooshi m'egulu.
2a04060098	Shetaani amubwira ntya: «Nji naguheereza obuhashe booshi n'obukuuze bw'ama maami mooshi. Nahaabirwe ebyoola byooshi. Naani nakabiheereza eyi nshondere.
2a04070025	Okamparamya, byooshi byaaba byaawe.»
2a0408006a	Yeesu amushubiza ntya: «Biyandikirwe: ‹Oharamye Nnaweerhu, Nnamahanga waawe n'okumukolera yenyine.›»
2a040900a4	Shetaani ashuba kumuheeka eYerusaleema. Amuhira elugulu w'eNju ya Nnamahanga n'okumubwira: «Akaba oli Mugala wa Nnamahanga, chiikabula gurhenga hano kuja eshiishi.
2a040a0064	Kwenge aMandiko Matagatiifu maderhere ntya: ‹Nnamahanga nj'arhegeka bamalahika baage bakulange.›
2a040b005b	Na kandi: ‹Baguheeka omu maboko maabo y'okugulu kwawe nji gurhasiirhalaga oku baale.›»
