2800000006	Matayo
280113007a	Ngwanamunu Yusufu, aj'hele munu mwenye haki alondeghe lepi kun'haibisya hadharani. Aamuili kuleka uchumba bhwake kwa siri.
28011400dc	Bho ifikirira juu j'ha mambo agha, Malaika ghwa Bwana an'hidili mu ndoto, ajobhili, “Yusufu muana ghwa Daudi, usilili kun'tola Mariamu kama n'dalabhu, kwa ndabha luleme lwaaj'henabhu ni kwa bhuweza bhwa Roho Mtakatifu.
2801150085	Ibetakuhogola mwana ghwa n'gosi ni ghwibeta kun'kuta lihina lyake Yesu, kwa ndabha ibetakubhaokola bhanu bhake ni dhambi syabhene.”
2801160061	Ghoha agha ghahomili kutimisibhwa k'hela kyaka nenebhu ni Bwana kwa nj'hela j'ha nabiii ajobhili,
2801170097	“Langai, bikira ibetakukabha luleme ni kuhogola muana n'gosi, na bhibetakun'kuta lihina lyake Imanueli”— maana ghiake, “K'yara pamonga natu.”
2801180070	Yusufu aj'humuiki kuh'omela mulugono ni kubhomba kama malaika ghwa Bwana kyaan'jobhili na an'tolili kama n'dala.
280119005a	Hata nahu agonililepi naku mpaka bho akifunguili muana n'gosi ni kunkuta lihina lyake Yesu
28020100a1	Baada jha Yesu kuhogoleka mu Bethelehem j'ha Bhuj'hahudi mu magono gha mfalme Herode, bhanu bhasomi kuh'oma mashariki gha patali bhahidili Yerusalemu bhajobhili,
280202007e	“Aj'hendaku muene ambajhe ahogoliki Mfalme ghwa Bhayahudi? Twaj'hibhuene nyota j'hiake mashariki natu tuhidili kumwabudu.”
280203005a	Pindi Mfalme Herode bhoapeliki agha adadili sanan, ni Yerusalemu j'hioha pamonga nu muene.
2802040082	Herode abhabhongene bhak'alo bha makuhani bhoha ni bhaalembesi bha bhanu, nu muene akabhakota, “Kristu ibetakuhogoleka ndaku?”
2802050060	Bhan'j'hobhili, “Mu Bethelehemu j'ha Bhuj'hahudi, kwa kuj'ha efe ndo kyaj'hilembibhu ni nabii,
28020600b1	Naghwe Bethelehemu, mu nchi j'ha Yuda, n'debe lepi miongoni mwa bhalongosi bha Yuda, kwa kuj'ha kuhoma kwa bhebhe ibetakuhida mtawala j'haibetakubhadima bhanu bhangu Israeli.”
2802070068	Efyo Herode abhakutili bhala bhasomi kwa siri ni kubhakhota ndo bhwakati gani hasa litondo libhonekeghe.
28020800b9	Akabhatuma Bethelehem, akajobha, “Mlotai kwa bhuangalifu mu kandondaghe muana j'ha ahogoliki. Bhwakati pamwibeta kumbona, mundetayi habari ili nani nibhwesiayi kuhida ni kumwabudu.”
28020900b9	Baada j'ha kuj'ha bhamp'heliki mfalme, bhaj'hendelili ni safuari syabhu, ni litondo lela ambalyo bhalibhwene mashariki j'habhalongolili hadi paj'haj'hemili panani pa muene pa ahogoliki.
28020a0047	Bhwakati bho bhaj'hibhuene litondo, bhahobhwaki kwa furaha m'baha munu.
28020b00b7	Bhaj'hingili mu nyumba ni kumbona muana j'haahogoliki ni Mariamu ndebhuake. Bhansujudili ni kumwabudu. Bhabhopuili hazina syabho ni kumpisya zawadi sya dhahabu, bhuvumba, ni manemane.
28020c0071	K'yara abhaonyili mu ndoto bhasibhuj'hi kwa Herode, hivyo, bhabhokili kubhuj'ha mu nchi syabho kwanj'ela j'henge.
28020d00f4	Baada j'ha kuj'ha bhabhokhili, malaika ghwa Bwana antokili Yusufu mu ndoto ni kujobha, “J'hinukai ntolai muana ni nyinamunu na mulotai Misri. Mubakilai okhu mpaka panibeta kubhajobhela, kwa kuj'ha Herode akandonda muana ili anj'hangamisiaghe.
28020e0051	Pakilu apu Yusufu ajhumuiki ni kuntola muana ni ndebhuake ni kukhem'belela Misri.
28020f008c	Atamili okhu hadi Herode bho afuili. Ejhe j'hatimisibhu khela Bwana bhoajobhili kup'hetela nabii, “Kuhoma Misri nu nkutili mwanabhangu.”
280210012f	Kisha Herode bho abhuene adhihakibhu ni bhanu bhasomi, adadili sana. Alaghisi kukomibhwa kwa bhana bhoha bhagosi bhabhaj'hele Bhethelehemu ni bhoha mu lieneo lela ambalyo bhaj'hele ni umri bhwa miaka mibhele ni pasi pa apu kul'engana ni bhwakati bhwa aj'hele athibitishi kabisa kuhoma kwa bhala bhasomi.
280211004e	Ndipo palyatimisibhu lela lilobhi lyalyajobhibhu kwa kinywa kya nabii Yeremia,
280212009b	“Sauti j'hap'helekiki Ramah, kilelu ni maombolezo mabhaha, Raheli bho ikabhalelela bhana munu na abelili kufarijibhwa, kwwa ndabha bhajhelepi kabhele.”
280213005d	Herode bho afuili, langai malaika ghwa Bwana an'tokili Yusufu mu ndoto okhu Misri ni kujobha,
2802140083	“J'hinukayi n'tolayi muana ni ndebhuake, na mulotai mu nchi j'ha Israeli kwa ndabha bhabhalondeghe bhuhai bhwa muana bhafuili.”
280215005b	Yusufu aj'hinuiki, an'tolili muana pamonga nu ndebhuake, na bhahidili mu nchi j'ha Israeli.
28021600b4	Lakini bho ap'eliki kuj'ha Arikelau aj'hele itawala Yuda mahali pa tata ghwake Herode, atilili kulota okhu. Baada j'ha K'yara kumwonya mu ndoto, abhokhili kulota mkoa ghwa Galilaya
28021700ac	na alotili kutama okhu mu mji bhwabhwikutibhwa Nazareti. E'le lyatimisi k'hela kyakyaj'hele kimalili kujobhibhwa kwa nj'hela j'ha manabii, kuj'ha ibetakukutibhwa Mnazareti.
2803010054	Mu magono ghala Yohana Mbatizaji ahidili akihubiri mu nyika j'ha Yuda akajha ijobha,
280302003d	“Mtubuayi kwa maana bhufalme bhwa mbinguni bhwikaribila.”
28030300b1	Kwa ndabha oj'ho ndo j'haananibhu nu nabii Isaya ajobhili, “sauti j'ha munu j'haikutibhwa kuhoma jangwani; 'mubhekai tayari nj'hela j'ha Bwana, mughanyosiaghe mapito ghake.”
2803040084	Henu Yohana afuele maj'hoj'ha gha ngamia ni nkanda ghwa ngosi mu nsana ghwake kyakulya kiake kyaj'hele nzige ni bhuoki bhwa munsitu.
2803050063	Kisha Yerusalemu, Yuda j'hioha, ni lieneo lyoha lyalisyonguiki kiholo Yorodani bhalotili kwa muene.
2803060051	Bhaj'hele bhibatisibhwa nu muene mu kuh'olo Yorodani khoni bhitubu dhambi syabho.
28030700cf	Lakini bhoabhabhuene bhingi bha mafarisayo ni masadukayo bhihida kwa muene kubatisibhwa, abhajobhili, “Muenga bhuzao bhwa liyoka bhwabhuj'ha ni sumu niani j'ha abhaonyili kuj'hijumba ghadhabu j'haj'hihida?
2803080023	Muhogolai matunda ghaipasyayo toba.
28030900b4	Na msifiriri ni kujobhesana miongoni mwinu, 'Tuj'henaku Ibrahimu kama tata j'hitu.' Kwa kujha nikabhajobhela K'yara ibhwesya kun'jhinula Ibrahimu bhana hata kuhoma mu maganga agha.
28030a0099	Tayari libhangu limalili kubhekibhwa mu mzizi bhwa libehe. Kwa ejhu kila libehe lyalibelili kuhogola matunda manofu lidumulibhwa ni kutaghibhwa mu muoto.
28030b006d	Nikabhabatisya kwa masi kwa nj'ela j'ha toba. Lakini muene ibetakubhabatisya kwa Roho Mtakatifu ni kwa muoto.
28030c00c0	Ni pepeto lyake lijhele mmabhoko mwa muene kusuka kabisa bhuwanda bhuake ni kuj'hibhongana ngano j'hiake mu lighala. Lakini ibetakughanyanya makapi kwa muoto ambabho bhwibhwesya lepi kusimika.
28030d0051	Kisha Yesu akahida kuhoma Galilaya mpaka kih'olo Yorodani kubatisibhwa ni Yohana.
28030e006d	Lakini Yohana alondeghe kum'besya akajobha, “Nene nilonda kubatisibhwa naghwe, bhebhe ghwihida kwa nene?”
28030f0090	Yesu an'jibili akajobha, “Ruhusuayi ej'helai naha henu, kwa kuj'ha ndo kya j'hikatulondeka kutimisya haki j'hioha.” Kisha Yohana akanduhusu.
28031000bc	Baada j'ha kuj'ha abatisibhu, mara Yesu abhokili mmasi, ni langai, Mbingu syafunguiuki kwa muene. Na ambuene Roho ghwa K'yara kyaiselela kwa mfano ghwa nj'hebha ni kut'ola panani pa muene.
2803110071	Langai, sauti j'hah'omili kumbinguni j'hikawa j'hijobha, “Oj'ho ndo mwanabhangu. J'hanipendesibhu sana naku.”
280401004f	Kisha Yesu alongosibhu ni Roho mpaka kulijangwa ili akajaribibhwayi ni ibilisi.
2804020042	Bho afunguili kwa magono arobaini pamusi ni pakilu akabhili njala.
2804030070	Mjarabu akahida na akan'jobhela, “Kama bhehe ndo Mwana ghwa K'yara, liamuruaj'hi maganga agha kuj'ha nkate.”
2804040099	Lakini Yesu an'jibili ni kun'jobhela, “J'hilembibhu, Munu ibetalepi kutama nkate tuu bhuene, bali kwa kila lilobhi lyalihomela mu kinywa mwa K'yara.”
2804050061	Kisha ibilisi akandongosya mpaka pa mji ntakatifu ni kumbeka panani sana pa lijengo lya lihekalu,
28040600ee	ni kun'jobhela, “kama bhebhe Muana ghwa K'yara, kitaghai pasi, kwandabha j'hilembibhu, 'Ibetakuamuru malaika bha muene bhahidayi bhakudakayi,' ni, 'bhibetakuj'hinula kwa mabhoko ghabhu, ili ukatakwikungufula kig'olo kyako mu liganga.”
2804070051	Yesu akan'jobhela, “Kabhele j'hilembibhu, 'Usin'jaribu Bwana K'yara ghwaku.'”
2804080081	Kisha, ibilisi akantola ni kundongosya sehemu j'ha panani zaidi akandasya falme siyoha sya bhulimwengu ni fahari j'ha e'su sioha.
280409004c	Akan'jobhela, “Nibetakupela fenu fyoha efe ukanisujudilai ni kuniabudu.”
28040a00a2	Kisha Yesu akan'jobhela, “Lotai okhu naubhokai apa, lisyetani, kwandabha j'hilembibhu, 'J'hilondeka kumwabudu Bwana K'yara ghwaku, na un'tumikiayi muene tu.'”
28040b0045	Kisha ibilisi akandeka, na langai, malaika bhakahida bhakan'tumikila.
28040c004a	Basi Yesu bho ap'heliki kuj'ha Yohana akamuliki, abhokhili mpaka Galilaya.
28040d0094	Abhokhili Nazareti alotili ni kutama Kaperanaumu, j'haj'hij'hele kandokando ni Bahari j'ha Galilaya, mumipaka ghya majimbo ghya Zabuloni ni Naftali.
28040e003f	Ej'he j'hatomili kutimisya khela kyakyajobhibhu ni nabii Isaya,
28040f0071	“Mu mji ghwa Zabuloni ni mji ghwa Naftali, kulotela kubahari, kwiselya j'ha Yorodani, Galilaya j'ha bhamataifa!
280410009b	Bhanu bhabhatamili mu ngisi bhabhubhwene mwanga m'mbaha, na bhala bhabhaj'hele bhatamili mu maeneo ni kivuli kya mauti, panani pa bhene nuru ibhamuliki.”
280411007b	Kuhomela bhwakati obhu Yesu aj'handili kuhubiri ni kujobha, “Mutubuaj'hi kwa ndabha bhufalme bhwa K'yara bhwikaribila.”
28041200ca	Bhoigenda kandokando j'ha Bahari j'ha Galilaya, abhabhuene bhalongo bhabhele, Simoni j'haakutibhweghe Petro, ni Andrea nd'hombo munu, bhitegha n'kuabhu mu bahari, kwa kuj'ha bhaj'hele bhavuvi bha somba.
280413005d	Yesu akabhajobhela, “Muhidai munikhesiaghe, nibeta kubhabhomba kuj'ha bhavuvi bha bhanu.”
2804140032	Mara j'himonga bhasilekili mikwabhu na bhankesili.
28041500d4	Ni Yesu bho ij'hendolela kuh'omela apu abhabhuene bhangi bhabhele, Yakobo mwana ghwa Zebedayo, ni Yohana nd'h'ombo munu. Bhaj'hele mu bhuatu pamonga ni Zebedayo tata ghwabho bhishona mikwabhu ghiabhu. Akabhakuta,
280416001e	ni mara j'himonga bhakankesya.
28041700c1	Yesu alotili karibia Galilaya kuoha, akaj'haimanyisya mu masinagogi ghabhu, akaj'ha ihubiri injili j'ha bhufalme, na akaj'ha ikabhaponyesya kila aina gha maradhi ni bhubhine miongoni mwa bhanu.
28041800d3	Habari sya muene syasambere Siria j'hioha, ni bhanu bhakabhaleta kwa muene bhala bhoha bhabhalwaleghe ni maradhi mbalimbali ni maumivu, bhabhaj'hele ni mapepo, ni bhenye kifafa na bhabhopozili. Yesu abhaponyisi.
2804190084	Umati m'mbaha ghwa bhanu bhwa mfwatili kuhomela Galilaya, ni Dekapoli, ni Yerusalemu ni Bhuyahudi na ku'homa kwiselya j'ha Yorodani.
2805010068	Yesu bho abhuene bhumati, akabhoka ni kulota Kukidonda. Bho atamili pasi bhanafunzi bha muene bhakahida.
2805020032	Akafunula kinywa kiake ni kubhafundisya, akajobha,
2805030059	“Heri bhabhajhele bhab'onyi bha roho kwandabha bhufalme bhwa kumbinguni ndo bhwa bhene.
280504003c	Heri bhabhaj'hele ni huzuni, kwa ndabha bhibetakufarijibhwa.
2805050033	Heri bhenye bhololo, kwandabha bhibetakurithi nchi.
2805060048	Heri bhenye njala ni kiu, j'ha kiki, kwa ndabha obhu bhibetakushibishwa.
280507001d	Heri j'habhaj'hele ni Rehema.
2805080049	Heri j'ha bhaj'hele, ni muoyo safi kwa ndabha abhu bhibetakumbona K'yara.
2805090046	Heri bhapatanishi, kwa ndabha abhu bhibetakukutibhwa bhana bha K'yara.
28050a005f	Heri bhala bhabhitesibhwa kwa ndabha j'ha haki kwandabha bhufalme bhwa mbinguni ndo bhwa bhene.
28050b008e	Heru muenga ambabho bhanu bhakabhaligha ni kubhatesya, au kujobha kila aina j'ha bhubhibhi dhidi j'ha muenga kwa bhudesi kwa ndabha j'ha nene.
28050c00a9	Muhobhokai ni kushangilila. kwa ndabha thawabu j'ha muenga ndo m'baha kunani kumbinguni. Kwa kuj'ha efe ndo bhanu kyabhabhatesili manabii bhabhatamili kabla j'ha muenga.
28050d0102	Muenga ndo muinyu ghwa dunia. Lakini kama muinyu ghuj'haseli ladha j'hiake, j'hibetabhwesya bhuli kuj'ha muinyu kabhele? Kamwe jhibhwesya lepi kuj'ha j'hinofu kwa khenu khenge kyokyoha khela, isipokuwa kutaghibhwa kwibhala ni kukanyibhwa ni magolo gha bhanu.
28050e005c	Muenga ndo nuru j'ha bhulimwengu. Mji ghwa ghujengibhu panani pa kid'honda ghwifighika lepi.
28050f008c	Bhwala bhanu bhibhwasya lepi taa ni kubheka pasi pa kikapu, bali kwenye kinara, naghu ghikabhaangasya bhoha bha bhaj'hele, mugati mu nyumba.
28051000a0	Lekai nuru j'hamuenga j'hij'hakai mbele j'ha bhanu kwa namna ambaj'ho kujha, bhaghabhonai matendo jhinu manofu ni kuntukusya dadi j'hinu j'haaj'hele kumbinguni.
2805110067	Mkaikufikirira nihidili kuj'hionanga sheria bhwala manabii. Nihidili lepi kuijhonanga lakini kutimisya.
28051200d3	Kwakueli nikabhajobhela kujha mpaka mbingu ni dunia syoha sipetayi jhij'helepi yodi imonga bhwala nukta j'himonga j'ha sheria jhibetakubhosibhwa mu sheria hadi apo khila khenu pakibetakuj'ha kimali kutimisibhwa.
28051300fd	Henu j'hij'hioha j'hola j'haibeta kubomola amri sidebesidebe mojawapo j'ha amri e'se ni kubhamanyisya bhangi kubhomba agha ibetakukutibhwa n'debe mubhufalme bhwa mbinguni. Lakini jhejhoha azishikaye na kuzifuata ataitwa mkubwa mu bhufalme bhwa mbinguni.
28051400ab	Kwa ndabha nikabhajobhela haki j'ha muenga j'hikatayi kujhongeseka haki j'ha bhaandishi ni Mafarisayo, kwa fyofyoha fela mwibetalepi kuj'hingila mu bhufalme bhwa mbinguni.
2805150078	Mup'heliki j'hajobhibhu muandi sana, “Usikomi” na 'j'haj'hioha j'haibeta kukhoma basi ajhele mu hatari j'ha hukumu.'
280516012e	Lakini nikabhajobhela j'hej'hioha j'haikan'dadila ndongomunu ibetakuj'ha mu hukumu. Na j'hej'hioha j'haibetakumbola ndongomunu kuj'ha, 'Bhebhe ndo munu j'haghwilondeka lepi!' ibetakuj'ha mu hatari j'ha baraza. Ni j'hej'hioha j'haijobha, 'Bhebhe n'jinga!' ibetakuj'ha mu hatari j'ha muoto bhwa jehanamu.
280517007a	Na kama ghwipisya sadaka j'ha j'hobhi munu madhabahu na ghwikhomboka, kuj'ha ndongobhu aj'he ni lijambo dhidi j'ha bhebhe,
2805180090	jhilekai sadaka mbele j'ha madhabahu, kisha kamulai nj'hela j'hiaku kapatanaj'hi hoti ni ndongobhu, na kisha uhidai kupisya sadaka j'ha j'hobhi.
28051900f0	Patanai ni mshtaki ghwa j'hobhi manyata, ukajhiaghe pamonga nu muene munj'hela kul'ota kumahakama, bila naha mshtaki ghwa j'hobhi ibnhwesya kukuleka mabhoko mwa hakimu, ni hakimu akulekai mmabhoko gha askari, naghwe ghwisopibhwa muligereza.
28051a006c	Amini kya nikabhjobhela, kamwe wibetalepi kuj'ha huru hadi ulepai senti j'ha mwishu j'ha pesa j'hawidaibhwa.
28051b002f	Mup'heliki j'hinenibhu kuj'ha, 'Ukatai kuzini.'
28051c0068	Lakini nikabhajobhela j'hej'hioha jhiambona n'dala kwa kun'noghela amalili kuzini naku mun'teema ghwake.
28051d00d8	Na kama lihu lya bhebhe lya kulia likusababisya kwikungufula, libhosiaj'hi na ulitaghai kutali nu bhebhe. Kwa kuj'ha ndo afadhali kiungo kimonga mu m'bele bhwako kyonangikai kuliko m'bele bhuoha kutangibhwa jehanamu.
28051e00c7	Ni kama kiubhoko kya bhebhe kya kulia kikusababishila kwikungufula, dumulayi kisha utaghai patali nabhi. Kwandabha ni afadhali kiungo kimonga mu mbele bhwaku kuliko m'bele bhuoha kusopibhwa jehanamu.
28051f0053	J'hijobhibhu pia, j'hej'hioha j'ha ikamb'enga n'dala, na ampelai hati j'ha talaka.'
28052000cd	Lakini nene nikabhajobhela, j'hoj'hioha j'hiakandeka n'dala munu, isipokuj'ha kwa ndabha j'ha zinaa, ambombayi kuj'ha mzinzi. Na j'hej'hioha j'hiikan'gega baada j'ha kup'elibhwa talaka abhombaghe bhuzinzi.
2805210079	Kabhele, mp'heliki lyajobhibhu kwa bhala bha muandi, 'Mkatai kulapa kwa bhudesi, bali mupelekaghe fiapo fyinu kwa Bwana.'
2805220061	Lakini nikabhajobhela, mkata kulapa hata kidogo, ama kwa mbingu, kwa ndabha ndo enzi j'ha K'yara;
280523008e	bhwala kwa dunia, kwandabha ndo mahali pa kubheka kiti kya kukanyila njayu syake, ama kwa Jerusalemu, kwa ndabha ndo miji ghya mfalme m'mbaha.
2805240072	Bhwala usilapi kwa mutu bhwaku, kwandabha ghwibhwesya lepi kubhomba luj'huwili limonga kuj'ha lubhalafu au lutitu.
280525006c	Bali malobhi ghinu ghaj'helayi, 'Ena, ena, Lepi, lepi.' Kwa kuj'ha ghaghizidi aghu ghihoma kwa j'hola mwovu.
2805260043	Mup'helikhi j'hijobhibhu kuj'ha, 'Lihu kwa lihu, ni linu kwa linu.'
2805270076	Lakini nene nikabhajobhela, Musitolani ni munu muovu; lakini akakutobhai litama lya kulia nsanusilaghe ni leng'he pia.
2805280079	Na kama j'hoj'hioha ilonda kulota ni bhebhe mahakamani na akunyakili kanzu lya bhebhe, ndekelaghe ni joho lya bhebhe pia.
2805290055	Na j'hej'hioha j'haikulasimisya kulota naku maili j'himonga, lotayi naku maili mbili.
28052a0055	J'hej'hioha jhaikus'oma mpelai, na ukatakunjepa j'hoj'hioha j'hailonda ku kuj'hasima.
28052b0058	Mp'heliki j'hij'hobhibhu un'ganai jirani ghwa j'hobhi, na un'dadilayi adui ghwa jhobhi.'
28052c0052	Lakini nikabhajobhela, mubhaganai maadui bhinu, mubhas'omelayi bhabhakabhadadisya.
28052d00b2	Ili kuj'ha muj'helaghe bhana bha tata j'hinu j'haaj'hele kumbinguni. Kwa kuj'ha ibhomba lij'hobha libhaangasilaj'hi bhabhibhi ni bhanofu, na ikabhatonyela fula bhaovu ni bhanofu.
28052e006e	Kama m'beta kubhagana bhabhikabhagana muenga, mwikabha thawabu gani? Kwani bhatoza ushuru bhibhomba lepi naha?
28052f0072	Na kama mkabhasalimila bhalongobhinu tu mwikabha kiki zidi j'ha bhangi? Je! Bhanu bha mataifa bhibhomba lepi naha?
280530005c	Henu j'hilondeka kuj'ha bhakamilifu, kama tata ghwenu ghwa kumbinguni kyaaj'hele n'kamilifu.
2806010092	Zingatilayi kutokubhomba matendo gha haki mbele sya bhanu ili kwilasya, vinginevyo ghikabhalepi thawabu kuhomela kwa Tata j'ha aj'hele kumbinguni.
28060200cc	Hivyo basi paghwih'omesya usikhobhi tarumbeta ni kwisifu muene bhanafiki kyabhibhomba mu masinagogi ni mu mitaa, ili kuj'ha bhanu bhabhasifuaj'hi. Kweli nikabhajobhela, bhamalikupokela thawabu j'ha bhene.
280603006c	Lakini bhebhe paghwih'omesya kibhoko kya bhebhe kya kushoto kisimanyi kya kibhoko mbeka nikibhoko kya kulia,
280604007a	ili kuj'ha zawadi j'ha bhebhe j'hihomesibhwaghe kwa siri. Ndipo Tata ghwako alangai sirini ibetakup'hela thawabu j'hiakhu.
28060500dd	Na paghwij'ha ghwis'oma, usij'hi kama bhanafiki, kwa kuj'ha bhilonda kuj'hema ni kus'oma mu masinagogi ni mu kona sya mitaani, ili kwamba bhanu bhabhalangai. Kueli nikabhajobhela bhamalili kuj'hambelela thawabu sya bhene.
28060600af	Lakini bhebhe, paghwis'oma, j'hingilaghe kugati. Fungai ndiangu na usomaghe kwa dadij'hu j'ha aj'hele sirini. Ndipo Tata ghwako j'hairanga mu siri ibetakupela thawabu j'hiaku.
28060700b8	Na paghwijha ghwis'oma usikhelukiri malobhi ghaghadulili ni maana kama mataifa kya bhibhomba kwa kuj'ha bhifikiri kuj'ha bhibeta kuphelekibhwa kwandabha j'ha malobhi mingi ghabhijobha.
2806080070	Henu, usij'hi kama bhene, kwa kuj'ha Tata ghwako amanyili mahitaji gha bhebhe hata kabla us'omili lepi kwa uene.
2806090051	Henu s'omaghe naha: Tata ghwetu j'ha uj'hele kunani, ulitukusiaghe litabhu liaku.
28060a0055	Bhufalme bhuaku uhidai mapenzi ghaku ghabhombekai apa paduniani kama okhu kumbinguni.
28060b002a	Utupelaghe n'kate ghwitu ghwa kila ligono.
28060c0042	utusameayi lideni lyitu, kama tete kyatukabhasamehe bhadeni bhitu.
28060d0049	Na usituleti mu majaribu, lakini utuj'hepusiaghe kuhoma kwa j'hola mwovu.
28060e0074	Ikaj'hiaghe m'beta kubhasamehe bhanu makosa ghabhu, Tata ghuakhu j'haaj'hele kumbinguni pia ibetakubhasamehe muenga.
28060f0078	Lakini ikaj'hiaghe mwibetalepi kubhasamehe makosa ghabhu, bhwala Tata ghuakho ibetalepi kubhasamehe muenga makosa ghinu.
28061000f0	Zaidi j'ha ghoha, paghwijha ufungili, usilasi sura j'ha huzuni kama bhanafiki kya bhibhomba, kwa kuj'ha bhikunja sura sya bhene ili kuj'ha bhanu bhabhamanyai kuj'ha bhafungili. Kueli nikabhabhola, bhamalili kuj'hambelela thawabu j'ha bhene.
2806110064	Lakini bhebhe, pa ghwij'he ufungili, bakaghe mafuta mutu ghwa j'hobhi na usukaghe pamihu pa j'hobhi.
28061200a2	Hivyo haitakuonyesha mbele ya watu kuwa umefunga, lakini tu itakuwa kwa Baba yako aliye sirini. Na Tata ghwako j'hailola sirini ibetakup'hela thawabu j'ha bhebhe.
280613007d	Ukatakwitunzila hazina j'ha bhebhe muene apa pa dunia, ambapo nondo ni kutu sij'honanga, ambapo bhaheji bhibomola ni kuh'eja.
28061400b3	Baada j'hiake, ghwitunzilaghe hazina j'hiakhu muene kumbinguni, ambapo bhwala nondo bhwala kutu jibhwesya lepi kuj'honanga, na ambapo bhah'eji bhibhwesya lepi kubomola ni kuh'eja.
2806150057	Kwa kuj'ha hazina j'ha bhebhe j'hij'hele, ndipo ni muoyo ghwakho paghwibeta kuj'ha pia.
280616006a	Lihu ndo taa j'ha m'bele. Henu ikaj'helayi lihu lyakhu lisima, m'mbele bhuoha bhwibeta kujasibhwa ni nuru.
28061700bf	Lakini ikaj'hiaghe lihu lya bhebhe libovu, m'bele bhwakhu bhuovu bhumemili ngisi totoro. Henu, ikaj'hiaghe nuru ambaj'ho ij'hele mugati j'ha bhebhe ndo ngisi hasa ndo ngisi mmbaha kiasi gani!
28061800e9	J'hij'helepi hata mmonga j'haibhuwesya kubhatumikila mabwana bhabhele, kwa kuj'ha ibetakun'dadila mmonga ni kun'gana j'hongi, au la sivyo ibetakwih'omesya kwa mmonga ni kun'dharau j'hongi. Mwibhwesya lepi kun'tumikila K'yara ni mali.
28061900e1	Henu nikujobhela, usiwi ni mashaka kuhusu maisha ghakhu, kuj'ha ghwibeta kulya kiki au ghwibeta kunywa kiki, au kuhusu m'mbele ghwaku, ghwibeta kufuala kiki. Je! Maisha zaidi lepi j'ha kyakulya ni m'bele zaidi lepi ya mavazi?
28061a00c6	Langai fidege fya fij'hele kunani. Bhipanda lepi na bhivuna lepi na bhibhonganya lepi na bhikutunza gharani, lakini Tata ghwa kunani akabhalesya bhene. Je muenga bha thamani lepi zaidi kuliko bhene?
28061b0072	Na niani miongoni mwa muenga kwa kujihangaisya ibhwesya kuj'hongesya dhiraa j'himonga mu bhuhai bhwa maisha ghake?
28061c00a0	Na kwandabha j'ha kiki mwij'ha ni bhuogha kuhusu mavazi? Fikirini kuhusu maua mu mig'onda, jinsi kya ghij'ha. Ghibhomba lepi mbombo na ghibhwesya lepi kwifweka.
28061d0061	Bado nikabhajobhela hata Sulemani mu bhutukufu bhwake bhuoha akifweki lepi kama mmonga ghwa agha.
