2800000006	Matiyu
28020900a9	Da ba wo tre chua kle, ba ka wlu hi nda to, tsitsen wa bana tou ni ki nzan, azren guci sihi ni ko shishi mba, nda zren hito ki me aka kukrli gyame ni bubu wa ivren he'a.
28020a0022	Da ba to vren baka ngri nda briku.
28020b008d	Ba ri nimi koha nda to kpran vrena mba yi ma Maryamu nda ti gbru kukru nda ciu nda bwu ikpi wa ba nji'a nda nno; Zinariya mba Lubban u jawul.
28020c0056	U Irji ka ti ba rah ndu bana lahi zu ni Hiridus ngana ba wlu zu nkon ri nka hi gbumba.
28020d00b4	Niwa ba wlu hu, u malaika Rji kaye ni Isuwu ni rah nda hla wu, “Wlu, ban vren'a mba yima, ndi tsutsu hi ni Masar, son niki me di la ka wo ni me rli: Hiridus niwa wu kpran vren'a.
28020e0047	Wa aye wlu'a a bari kpran vren'a ba yima ni cuu nda tsutsu hi ni Masar;
28020f0074	Nda he niki me ye mla niqu Hiridus: wa aku gyre me ni tre Baci wa a hla ni ngu Anabi, din nimi Masar mi yo' vren mu.
28021000d4	Hiridus a ye to di shehuna ba yau hlega ni tre ma, nda tie vrafu nda ndu ba wu mrli nlon bi Batalami, ni bi gbu wa ba he nha niwu'a bi wa ise mba a mla harli kima krji; bla rji ni nton wa a wo trea ni shehuna ba.
280211003d	Rli kuko u ikpie wa ba hla ni nyu anabi Irimiya kaye ku tsra,
2802120064	Ba wo lan nimi Rama, iyi mba jequ, Rahila aniyi ni tu mrli ma, nda na wo wiere na wa mrli ba ba qu'a
2802130048	Hiridus ye qu u malaika Baci ka ye ni Isuwa ni rah ni mi Masar, nda hla,
280214005d	Wu ban kpran vren'a mba yima di hi ni meme Israila: e bi wa bazi wa wu kpran vrenia ba qu ye.
280215003e	A ye wlu nda ba kpranvren'a ni yima nda ye ni mi meme Israila.
280216008a	Wa'a wo ndi Arkilaus a kpa chu u tiema Hiridus nda nji Yahudiya a klu sisri uhi ni ki, u Rji ka tsro ni rah ndu vu y'ba hi ni meme Galili.
2802170070	Aye nda ka son ni gburi wa ba yowu ndi Nazarat: ndu ikpie wa ba hla ni nyu anabawa ndu he me, ba yowu u-Nazarat.
2803010047	Ni nton kima Yohana u tie Batisma a ye tren njo Rji ni miji u Yahudiya;
2803020030	Nda ni wa, ka meme cuwo; mulki shulu a tiewiere.
2803030067	Ahi wawuyi ba tre ni nyu anabi Ishaya nda hla. Ilan uyo rji ni miji mla nkon Baci tie mla zren mbi tie.
2803040057	Yohana ata sru kpie u nfu laklumi nda lo ntan u birli me ana hi lagblan mba ton u miji.
2803050045	Indi bi Urushalima ni bi wa ba he kagon igbu bi urdu ba rju wawuu ye.
280306003a	A tie batisma ni bawu ni nne urdu u bata hla' la' tre mba.
280307008a	A to gbugbu Farisawa ni Saddukiyawa ba ye ndu tie batisma bawu a hla ni bawu biyi mrli grace, ahi nha hla yiwu ndu yi klu ifu wa asi ye'a?
280308002c	Nji mrli wa ba tsar u mla latre mbatie'a ye:
280309008c	Na tamre ndi bi hla ni kpa mbi ndi kie he ni tie mbu Ibrahim; to misi hla yiwu ni mi tita biyi Irji he gbengblen u ka mba tie imrli Ibrahim.
28030a005f	Zizanyime bayo gla ni nci kukron ba: kukron wa ana tie klo didi mana ba tsenwu nda kasru ni lu:
28030b00c3	“Ime mi tie batisma yiwu ni maa u ka latre mbi cuwo amma uwa aniye kogon mua a' nna' me ni gbengblen mina mla u si rjirji lagban ma na: wawuyi ni tie batisma yiwu ni Brji tsatsar mba lu' ngame:
28030c0077	Mwu mwu ma he ni wo ma ani tsen alkama nda vu bi didi ba sru wruon, u nfon ma ani gonwu ni kpatren lu' wa ana y'bi na'.
28030d0048	Rliko Yesu a wlu ni Galili hi ni urdu ni Yohana ni ndu tie batisma niwu.
28030e0051	U Yohana ka tie' san nda tre mi si son ndu tie batisma ni mu, i wu la' ye' ni me?
28030f007d	Yesu a kasa niwu nda tre uka y'me zizanyi: towa ahe tie nkon ni tawu ndu ta kle indu tsatsar wawuu Rliko Yohana ka y'me niwu.
280310007c	U Yesu, wa ba tie batisma niwu'a ani rju ni maa me u shulu ba ka bwu niwu a to Ibriji Rji grji na ngwu ye ku son niwu ni tu.
280311004c	U lan ka rji na shulu nda tre, Iwayi ahi kponji vrenmu idrimu ni ngri ni wu.
2804010041	Nikiyi Ibrji ka nji Yesu hi ni kpatren miyi ni ndu shetan tsrawu.
2804020033	U wa Yesu a vu nyu ivi ni cu ise zia u yon katiewu.
2804030051	U wa ani tsar-a aye nda tre, uti ivren Rji uka hla tita biya ndu mba katie bredi.
280404004a	U akasa niwu din Ba nha ana ni birli megyen mba ani ndu ndi son sisren na.
280405005e	U shetan nji wu hi ni mi Urushalima igbu u tsartsar-nda njiwu hon hi ni ngbondo tu tra u Baci.
280406008d	A hla ni wu uta hi vren Rji uka grji joko kime: e ba nha di ani ton malaikuma ye wu ndu ba kon wu kpa ni wo mba ni ndu na k'bu za ni tita na.
2804070031	Yesu a saa' wu ba nha una tsra Baci Eji me to na.
2804080064	Garli shetan a jinwu hon hi ni tu ngbondo ngblu ri nda tsro wu ikpi bi ngbugblu ba wawuu ni bii mba.
2804090047	A hla wu ikpi biyi wawu mbawu mi nno mba ka uti kukru ndi gbyre me san.
28040a0068	Niki Yesu saa' wu dinkon wa iwu shetan ba nha u gbyre Baci Rji me san wawu yi ni nklen ma u gbyre u san.
28040b002f	Nikiyi shetan ka hi kpama; malaiku baka ye zou.
28040c002f	Ba heme u Yesu awo din ba tro Yohana ni Galili,
28040d005b	A wlu ni Nazarat nda hini mi Kafanahum, u nyu kiekle nne'a ni mi koton Zabulu mba Naftalim:
28040e0027	Din ndu tre anabi Ishaya ku toar, towa.
28040f0073	Meme Zabulun mba meme Naftalim ni nkon kiekle nne vu y'ba hi ni kogran urdu mba Galili u indi wa bana Yahudawa naa.
2804100075	Indi bi wa ba zia ki ni' bwu'a Ba to' kickle kpan, u' bi wa ba zia son ni mi qu mba ni mi yumu'a Ikpan wlu ye mba wu.
2804110055	Rji ni nton kima Yesu a wlu zi wa tre Baci di ka me'me' cuwo: mulki shulu a tiewiere.
28041200a5	Yesu si zren ni nyu kiekle nne Galili, a to ndi harli bari ba mrli vayi siman wa bata you ndi Bitru, u Andoro vayima bana bi vu lambe nda si sru rjiji u vu lambe ba.
280413002e	A tre ni ba hume yi ume mi kayi tie bi vu ndi.
280414002f	Nikime ba kaa rjirji u vu lambe ba don nda huu.
28041500b0	A wlu niki sihi nda ka to indi harli wa ba mrli vayi, Yakubu ivren Zabadi mba Yohana vayi ma; nimi jirgi bi nha ni tie mba Zabadi ba ki mla rjirji u vu lambe mba tie nda yo ba.
280416002d	Ba ka jirgi'a don ni tie mba nda tie gbla hu.
2804170084	Yesu a zren kagon Galili wawuu nda zi tsro ni tra Rji nda bla tre zizi u mulki nda den bi lilo wawuu ni san lilo wa ndi ba ba' lo'a.
28041800cc	Iddu ma ka shanshu ni suriya wawuui baka rji bi lilo wawuu ye wu ndi bi wa ba lo'a ko bi lilo rimie, ni bi wa ba ku gbingbi ni bi wa ba he ni meme brji'a ni bi sran ni bi wa ba qu kpa-a waka den ba wawuu.
2804190055	Gbugbu ndi ba huu rji ni Galili ni Dakapolis ni Urushalima ni Yahudiya ni kogmn urdu.
280501004d	Ni to gbugbu ndi ba, a hon hi ngblu ri ni kuson ma mrli koh ma baka ye ni wu.
2805020022	Ka bwu nyu ma nda tsro ba nda tre:
2805030034	Lulu ahi u bi ya ni brji didi, ikoh shulu ahi u mba.
2805040027	Lulu ahi u bi yiqu, e ba nno ba sisron.
2805050038	Bi lulu ba bi wa bana nzu tu na, ba nji meme u ngbugblu.
2805060034	Bi lulu ba bi tie yon nda tie hlama zizi, e ba wrji.
280507002a	Bi lulu ba bi lo sron e ba kpa lo sron me.
2805080034	Bi lulu babi wa isron mba a kheklan me e ba toh rji.
2805090032	Bi lulu ba bi wa ba wa sonsi, e ba yo ba mrli Rji.
28050a0044	Bi lulu ba ba wa ba tie ba ya nitu zizi mba, e ikoh shulu ahi u mba.
28050b0054	Bi lulu a biyi wa bati mre yi nda tieyi ya, nda wa meme tre nicece wu yiwu ni tu mu,
28050c0057	Ngri di briku kpukpome, e bi he ni kickle dii ni shulu, e bati ni anabawa bi sen nakii.
28050d007f	Bi mah u ngbungblu, u mah nita tie meme u ani la u tie gye garli? Ana la bi utie kpie na, ahi u ka hlega u ndi baka canwu niza.
28050e003e	Bi kpan u ngbungbu. Igbu wa ba mewu ni tu ngblu'a ana riri na.
28050f0070	U bana yo lu ni fitila nda kayo ni sisen na di ba kauzi tsame nitu kukron ma wani nno kpan ni ndi bi koha wawuu.
2805100057	Ndu kpan me shan tsro ndi, di ndu ba to ibi ndu me nda gbire tieme wa ahe ni shu'a san.
2805110060	Na tamre di meye kpa nji tre anabawa ba tie meme na. Mi naye kpa tie meme na, mi ye tie wu tsra.
2805120074	Njanjimu, me hla yiwu, shulu mba ngbungblu ba tana kle na, ikpie riri me ni nji tre'a na joku megyen na, ba ku tsra.
280513009e	Indi wa a kunyre ni ri u nklekyen nji tre'a nda tsro ba ni ndi, ani vi nklekyen ma ni ikoh u shulu, u iwa ani hu nda tsro ba, ba yo ndi kiekle ni koh u shulu.
280514006b	To mesi hla yiwu din, zizi me nita na nna' zizi bi nha ni Farisawa na bi na he nkon u ri ni koh u shulu na.
2805150055	Bi wo ndi ba tre ni ndi bi sen, 'Na wu na, u indi wa a wu-a, ahe ni nyu ya'u shariya.
28051600bd	Me wa yiwu ndi iwa a tie nfu ni vayi ma hama ni kpie wa anno nfu'a a si gbyen shariya. U indi wa a hla ni vayi ma, 'Racah!' a si gbyen tre ni tuma. Iwa a hla ndi, 'Ruru' asi hi kpentren lu.
2805170044	Uti ye' nno kpie ni tra Rji, ndi taka vayi me ahe ni tre ni tu me'a,
280518005e	U ka donme ni nno' kpie'a ni tra Rji, ndi hi mla kpambi tie mbi vayi me rli ndi ye nno' kpiea.
2805190079	Mlatie kpa y'me ni ndi wa a nji wu hi ni bi bla tre gbagbla, Ka'bi he nkon sihi mbi wu ni bla tre'a, ni ndu bana lowu na.
28051a0040	Njanjinmu, me hla yiwu, biti hanwu kle wawuu rliko ka kayi cuwo.
28051b0047	“Biwo' din ba hla ni bi sen, 'una tsi wa lilon ko wa mba tankpan na'.
28051c004b	Mi wa yiwu, indi wa ani kaya wa' ni mew u tohwu ka a kruu ye ni mi sron ma.
28051d007a	Shishi ko rli anita ni ndu latre, uka krewu rju taga; a bi ndu nhama kpa ri ndu tiw meme niwa ikpa'a wawuu ndu tie memela.
28051e007f	U iwo me koeli nita ni ndu latre, uka sren wurju kpame; abi nna ndu nhama kpa ri ndu tie meme niwa ikpa'a wawuu ndu rii ni lu'.
28051f004b	A kru hi me, ba hla di ndi wa a wuugran ni wama'a, ka nno imbe u wu gran a.
280520009b	To, mi hla yiwu di indi wa wu gran wamaa, wana he ni tu tie tankpan na, to a yo wu ni latre tie tankpan, u ndi wa a gran wa bi wa ki a latre u kru tankpan.
2805210063	“Ganli, biwo ikpie wa ba hla ni ndi bi sen a, 'Bi na' shi' rji' uce na, ndu tre mbi ta he u Rji'.
280522004c	Mi hla yiwu, na shi rji memle muna ko ni shulu iki ahi ruron (kpanci) u Rji;
2805230053	Ko ni meme, iki ahe ni ndaza ma; ko ni Urushalima, wa ahi kiekle gbu u Ichu rligra.
2805240052	Ko Bina shi'rji' ni tuh' mbi na, e na to tie nfu tuh mbi ndu kinklan ko shinji na.
2805250043	Ndu 'e mbi ndu'e u a'an mbi ndu a'an ani ta zan towa, ka hi u brji.
2805260043	Bi wo wa ba hla shishi ni rjuhla shishi u ba rjula inyren ni nyren.
2805270062	To, mi hla yiwu na gbi sron ni meme ndi na to ba tana wruu ni nhma korli, uka kma irima nno ngame.
280528004b	Iri mbi ni ta ni son mrlen yi nda kpa klon mbi ri, mbi ka nno wu ri nhatia.
2805290043	U indi wa a vuyi ndu yi zren mili rii mbi ka zren hu tie mir harli.
28052a0043	Nno biwa ba mye yia, u waa mye yi hlaa mbi ka na ka ngon tie wu na.
28052b0039	Biwo wa ba' hla, 'U son vayi me ndi kame ni wa a kranwu'.
28052c0095	To me hla yiwu, son bi kran yi, tie lulu ni bi wa ba tie nyu yiwu a tie zizi ni bi wa ba fu' sron niyi a, din bre Rji ni bi wa ba tie yi meme ni ya'.
28052d0092	Di ndu yi he mrli tie mbi wa he shu a: waa ani ndu rji ma kpan ni meme ndi mba indi didi, nda ndu ilu kuh ni ndi wa a to Rji ni wa ama to Rjia na.
28052e0047	To, uti son bi sonwu, a ngye didi utie? Bi kpa ban bana tie toki me na?
28052f0064	U bita ci mrli vayi mbi me gyen, u bi tie ngyeri wa a nna u ba ri a? Bi kpa ban bana tie toki me na?
280530003f	Naayi, bi he tsartsar me na tie mbi u shulu wa a tsartsar me a.
280601006a	Wierli ni tie zizi mbi ni ndi, ndu ba na toh na. Kaa tie ni ndu tie mbi u shulu na nno yi idii ndu mbi na.
28060200ad	Tomba, bita tie zizi bi kana d'bbu ni ndi na, bi mrla ndi ba tie toki ni tra Rji mba ni tie nkon u migbu, ndu ndi gbre ba san Njanjimu, me hla yiwu, ba rliga kpa dii mba ye.
2806030049	Bita ni tie kpie zizi, na ndu iwo ko'ta toh ikpie wa iwo rli si tie a na.
2806040054	U ndu zizi mbi nihe rii'rii'; u itie mbi wa ani toh ni mbu'a ani hanyi dii mbi kima.
28060500b8	U bitani tie aduwa, na tie to bi mrla ndi na. Biki ba ngri tie aduwa ni zande ni tra Rji mba ni fron nkon bi mi gbu, adi ndu ndi ka don to mba. Njanjimu, me wa yiwu, ba kpa dii mba ye.
28060600b8	To biyi, bita ni tie aduwa, bika rii hi mi tra mbi, ndi tro' nkontra mbi, ndi tie aduwa hi ni tie mbi wa ahe rii'rii', u wawu tie mbi wa ani toh rii'rii', ani nnoyi dii mbi ni rira me.
280607006b	Bita ni tie aduwa, bikana rju tre towa bi mrla ndi ba tie na. Ba'ki baya' di gbubu tre mba ni ndu ba wo ba.
2806080048	Tomba bika na he to u mba na. 'E tiembi toh guci yiwu ikpie wa bi mye a.
280609004d	“Bita' tie aduwa toyi; Tre: Iti mbu wa a he shulua, ndu san me tsratsra me,
28060a0051	mulki ndu ye, ikpie wa u son ndu ba tiewu ni ngbugblu'a nawa ba tiewu ni shulu'a.
28060b0014	Nnota rli u vi luwa.
28060c0038	U latre mbu uka uru hle tawu, towa kie uruhle ni bari'a.
28060d0080	Ndi na nji ta hi wrji u tsra-toh na, jbu ta rjuni wo bi brji(meme). Mulki mba ngbengble, mba girma(babran) bahi ume kakle'. Ameh
28060e0049	“E bita wru latre ndi hle bawu, itie mbi ni shulu ni wruhle yiwu ngame.
28060f0048	“Biti na wru latre ndi hle bawu na, u tie mbi na wruhle yiwu ngame na.
28061000b1	Ngarli, bita ni' vu nyu, na ya gbododo me' na bi mrla ndi ba tie na. 'E' ba trso shishi mba ni ndi toki ndu ba to di baki vu nyu. Njanjimu, me hla yiwu, ba rliga kpa dii mba ye.
2806110041	To, biyi', bita si vu nyu, ngla shishi mbi di gban nye ni tu mbi.
280612006e	Ndu ndi na toh di bi ki vu nyu na; u tie mbi wa a he rii'rii' 'a, nda ni toh ni rii'rii' 'a ani hanyi dii mbi.
280613007b	Na rii kpi zi ni ngbungblu yi na, iwrji wa imra ni rli ba ko wa ba kuklu nda tie meme ko bi y'bi ba y'ra bubuwa na y'bi ba;
2806140075	zi kpi mbi ni shuhe, ni bubu wa imra, ko kuklu' na kpa tie meme na ni wrji wa bi y'bi bana y'ra rii mi nda y'bi bana.
280615003c	“E iwrji wa ikpie mbi he'a, niki ki isron mbi ni he ngame.
2806160051	“Ikpan u kpa ahi shishi. Shishi mbi nita bii, u kpa' mbi wawuu ani shu ni kpan.
280617008b	U shishi mbi nita tie me'me', ikpa mbi wawuu ni kpukpa bwu yi. U ani ta ndi ikpan wa ahe ni mi mbi ahi bwu, to ibran bwu kimaa ni he bitan!
280618008e	Indi ri na'toh nji tikoh harli na, 'e' ani son ri mba nda kran rimaa, ko ka' y'me ni ri nda kama ni rimaa. Bina' mrli koh Rji mba u mammon na.
28061900b5	To, mi hla yiwu, na tamne ni tu son ngbunblu mbi na, illa wa bi rli ko ikpie wa bi so, ko ni kpa'mbi, inklon wabi sru'a na. He ni sisren na zan birli na, ka ikpa mbi na zan ikpi na?
28061a0075	“To cincen' bi bwua, bana cu ko can ko zi kpie ni wron na, naki me itiembi ni shulu ni nno mba rli. Bina nna ba na?
28061b003b	“Ahi nha mbi ni tu tamre ma ani to nzu gbron ma ko tsame?
28061c0065	“U bi ta'mre ngye ni tie ikpie bi sru? To kunkron bi miji wa ba'gbron hama ni ron ko ni ta' rjurju.
28061d0050	Me hla yiwu sulema me ni gbugbu kpi ma mba he wo ma me na bii mla ni ri biyi na.
28061e0090	Zizanyi, u Rji wa a tie giga bi miji ni nkpon bii wa, luwa ba he u mble ba mmo hi ni ba, a na sru kpi kayi zan ba na, ha'yi biyi bi tsitsa sron.
28061f0066	“Tomba bika na tamre di tre, 'Ayi ngye mi rli' ka ahi ngye mi so na? 'Ka 'ahi ngye me sru ka' kpa'?'
280620005b	“E a bi wa bana toh Rji mba ba wa bi kpi biyi. E itie mbi u shulu toh di bi wa ikpi biyi.
280621004f	Wa mulki Rji ni mumla mba inkon matsratsra rli u mbru kpi biyi ba nno nha yiwu.
2806220054	Tomba, na ta'mre ni tu mble na, imble he ni kpima u wa bi tamrea. iya' u vi ri mlau.
2807010049	Na nha ndio na, u bana nhayi na. Ikpie wa bi nha bari, nikii ba nhayi me.
280702002e	Kongo wa bi tsra niwua, nikii ba bantsra yiwu.
280703005f	U tie he ndi ni ya mbwu' wa a he ni shishi vayi me a di na toh gbolo kunkron u mi shishi me na?
2807040066	Ka u tie ni he rli di hla vayi me, ndu mi cu imbwu u mi shishi me, u gbolo kunkron he ni mi shishi me?
2807050070	U meme ndi. Cu gbolo wa ahe shishi me guci rli ndi ndu shishi me krjirji me wa u toh cu mbwu u shishi vayi me a.
2807060060	Na nno yawhu ikpie wa tsratsra na. Na nno lede ikpie didi ma na. Ba' canwu ni za nda la ye tanyi
2807070039	Bre, u ba nno yi. Waa' u bi fe. Wru nkon, u ba bwuu yiwu.
280708004a	E iwa a bre, ani kpa, u wa a waa' ani fe, u wa a wru nkon a ba bwuu ni wu.
2807090036	Ka ahi nha mbi wa vren ma ni mye bredi wa ka nno tita?
28070a001d	Ka a mye Lambe wa kanno iwan?
28070b0084	To, biyi bi meme dri me bi toh nno mrli mbi ikpie ndindi u bi yah itie mbi u shulu na nno ikpie ndindi ma ni bi wa ba mye bi zan na?
28070c0063	Tomba, ikpie wa bi yo suron ndu ndi tie yiwu a, bika tie bawu game, ahe tu nkon wa anabawa ba hlaa.
28070d0076	Ri'zu nkontra wa a wiere me a. Nkontra wa a bwua ni nji ndi hi wu, inkon ki na tie yah zuna' bi rizu kima ba gbugbuwu.
28070e005b	Inkon wahi wiere me'a ni nji ndi hi nno vrli, a nkon u yah ma, bi wa ba fewu a ba fyime yi.
28070f004a	Con ni anabawa bi ce' wa ba ye ni yi ni ntan t'ma u'ni nkponji ba hi wuon.
2807100055	Bi'toh ba ni bii'klo' mba. Indi ba kyen klo ncu ni nci ncon, ka klo bua ni nci nt'me?
2807110050	Ahi to kii u kukron ndindi ma ba klo ndindi ma, na wa meme kukron ni klo meme a.
2807120043	Kukron ndindi ma niti bre klo meme, u kukron meme na klo ndindi na.
280713002e	Kukron wa ana klo bii ns, ba tsenwu sru ni lu.
2807140024	Ni tu ki, ba'toh ba ni bii' klo mba.
280715006b	Ana bi wa ba yome, 'Baci Baci', mba ba rii ni shulu na, ahi wa ani tie kpie wa tiemu ni shulu a y'mme niwu.
28071600ca	Ni vi kima, indi gbugbuwu baye nda hla nimu, Baci, Baci, ana ni ndeme mba ki hla tre wa ba tie niko shishi na, ndi zu brji meme rju ni kpa ndi ni nde me, u kina tie gbugbu ndu bi rligra ma ni nde me na?
2807170034	U mi hla ni bawu! Kadi nkonmu, biyi bi tie meme ndu!
2807180071	Nakii, indi wa ani wo tre mu nda ni tie ndu ni tie ndu ni wua, ani he na indi u wiere wa a mme koh ma ni tu tita.
280719005b	U kpaca, lu ye u kiekle ngwugwu ye wru koh'a, u koh'a na joku na ni wa ba mme wu ni tu tita
28071a0057	U iwa ani wo tre muyi nda na tie wu na ahe na ruru ndi wa a mme koh ma titu nhanhimu'a.
28071b004e	Kpaca lu a ye u kiekle ngwugwu ye nda wru koh'a. U wa azi hlega kpukpru me”.
28071c0042	Wa yesu a tre kle'a u gbugbu ndi mba baka tie sisri ni bii tsroma,
28071d003e	ni wa a tsro mba ni ngbengle wa ana bii wa bi nha ba tie'a na.
2808010034	Wa yesu a krji rji ni ngblu a, indi gbugbuhu ba huu.
280802005f	U indi ri u lilo nkpurju ye ku kru niwu nda tre, “Baci, uta ny'me uka mla me tie tsratsra me.
2808030067	Yesu a rima wo hi ka kpre nda tre, “mi nyme. Katie tsratsra” Nikiyi me, wa aka fe den u lilo ka kle
2808040086	Yesu a hla wu, na tre u hla kpie ri ni ndio na. Hi kpame, ndi hi tsro tume ni Firist, ndi nno kpie wa Musa tre'a ndu hi ngban ni bawu.
280805003d	Asi hi nimi kapanahum u jirmi ri ye niwu nda bre wu, nda tre,
2808060031	“Baci, igranmu a qukpa kru si tie ya ni koh mu.
280807001f	U yesu hla wu, “mihi denwu”
2808080069	U jirni a kasawu nda tre, “Baci, mi na mla wa u ye ni koh muna. Hla trea' megyen din ndu granmu fe den.
28080900a6	E ime ngame mihe ni wo ndi ri, me he ni soja bi ti ndu ni' womu. Mi hla ni ri, hi, waka yi uni ri mi hla wie, 'ye' waka ye, ndi hla ni granmu, tie kpieyi, waka tiewu.
28080a0066	Wa yesu a wowuu, a hla ni bi hu'a, “Njanjimu me hla yiwu, mina to ndi u bii sron towa ni Israila na.
28080b0070	Mi hla yiwu, indi gbugbu bu baye rji ni ko yalu nda rli biri ni ba Ibrahim mba Ishaku, ni Yakubu ni mulki shulu.
28080c0058	U mrli wa ba u mulkia, ba vuba tasru nimi kplakpa bwuu. Nikii ba yii nda tan nyinyren”
28080d0060	Yesu a hla ni jirmia, “Hi, ndu he niwu towa u yo sron a” ni nton ki me, igran ma a fe sikpa.
28080e0035	Wa yesu a ri ni koh Bitrua, a toh yi' Bitrua kru kpa.
28080f0040	Yesu a kpyre wo' ma u lokpa ka kle waka wlunde nda tie ndu niwu.
2808100079	Wa yalu tie a ba nji gbugbu ndi be he ni brji ye ni Yesu. Ni tre megyen a ju brji rju ni ndi ba nda den bi lilo ba wawuu.
2808110062	Toyii itre anabi Ishaya ye ku ngyre me wa a hla, “Wawu yi vu krukpa mbu nda den mba lilo mbu ba.
280812005d	Niwa Yesu a toh gbugbu ndi baa gaklen ma, a hla ni bawu ndu ba ru mah Galilia hi gran korima.
2808130047	U ndi u nha ri ye hla wu, “Mala, mi huu hi ko mame (ko ni ntsenyi)”
280814006d	Yesu a saa niwu, “Itsi' bahe ni juju mba cincen bahe ni koh mba, U ivren ndi yi na he ni bubu u yo tu'mana.
280815003b	Ivren koh ma ri a hla wu, “Baci ndu mi hi rju' tieme rli.
2808160041	U Yesu hla ni wu, “Hu me, don k'bon ba ndu ba rju k'bon mba”.
2808170038	Wa Yesu ri nimi jirgi (ghuu) a, mrli koh ma baka ri huu.
2808180062	U kikle nghunghu ri ka wlu fu nitu kikle maa, inda shi dakpyren kah ghuu a. Yesu si kruna kpye ma.
2808190045	U mrli koh ma bahi ka sh'me u, nda tre, “kpata cuwo, Baci, kie qua!
28081a00a4	Yesu a hla bawu, “Bi kpon sisri ngye towa biyi bi tsitsa sron? “A wlunde nda yra ha ni a wlunde nda kpa nha ni nghunghu a mba kikle maa. U bubua katie wieri me.
