2800000006	Matayu
280214008e	kamgambira, “Gwimuki! Gumtoli mwana pamuhera na mawu gwakuwi muwuyi muisi ya Israeli toziya woseri yawafiriti kumlaga mwana, wahowa kala.”
280215004d	Su Yosefu kimuka, kamtola mwana pamuhera na mawu gwa mwana na wawuya Israeli.
28021600e2	Kumbiti Yosefu pakapikaniriti handa Arikerawu, mwana gwa Herodi kaweriti mfalumi gwa Yudeya pahala pakakolitimlima Herodi tati gwakuwi, katiliti kugenda kulii. Nayomberi, pawambereziyiti mundotu, su kagenditi wega zya Galilaya
280217008d	na kalikaliti mlushi lwawalushema Nazareti. Hangu ndo ntambu yavitimiyiti visoweru vyakalongiti mbuyi gwa Mlungu, “Hawamshemi Mnazareti.”
280301004d	Majuwa galii Yohani Mbatiza kalawiliti, kanjiti kubwera mushiwala sha Yudeya,
2803020045	“Mleki vidoda vyamtenda, toziya Ufalumi wa kumpindi wapakwegera!”
28030300bb	Yohani ayu ndo ulii mweni Isaya mbuyi gwa Mlungu kamtakuliti pakalongiti, “Liziwu lya muntu lipikanika kushiwala, ‘Mumtandiri kala Mtuwa njira yakuwi, Mumnyosheri njira zyakuwi!’”
280304009b	Yohani kavaliti nguwu yawasoniti kwa mibahira ya ngamiya na lugoyi lwa lukuli mushunu mwakuwi na shiboga shakuwi shiweriti wanjombi na lwashi lwa kuntundu.
2803050077	Su wantu kulawa Yerusalemu na kulawa wega zoseri zya Kuyudeya na mbwega zoseri za mump'eku mwa kulushemba lya Yoridani.
2803060045	Walonga vidoda vyawu na yomberi kawabatiziti mulushemba lwa Yoridani.
28030700b1	Kumbiti pakawawoniti Mafalisayu wavuwa na Masadukayu wankumwizira su wabatizwi, kawagambiriti, “Mwenga wana wa njoka! Muntu gaa yakawagambireni muyitili maya ya Mlungu yayiza?
280308002a	Mlanguziyi kwa matendu handa mleka vidoda.
280309008e	Namulihola na kulitakulila, ‘Tati gwetu ndo Aburahamu!’ Nukugambirani nakamu, Mlungu kaweza kugatenda mabuwi aga gaweri wana wa Aburahamu!
28030a0091	“Su vinu liwagu litulwa kala kudumula mishigira ya mitera, na kila mtera gwagulera ndiri mabwajubwaju gaherepa hagudumulwi na kugwasila mumotu.
28030b00e9	Neni nukuwabatiza kwa mashi kulanguziya kuwera mleka vidoda vyamtenditi. Kumbiti yakiza kumbeli kwangu kawera na makakala kuliku neni, neni nfaa ndiri ata kupapa vilwatu vyakuwi. Yomberi hakakubatizani kwa Rohu Mnanagala na kwa motu.
28030c00ae	Yomberi muliwoku lyakuwi kana luselu lwa kupepetera, hakayijojiniri nganu na kuitula muluhanja lwakuwi, kumbiti hakatoli miwawi na kuipambira pamotu gwagutenda ndiri tiya.”
28030d006f	Shipindi shilii Yesu kiziti kulawa Galilaya kasokiti palushemba lwa Yoridani, kamgenderiti Yohani su kambatizi.
28030e0078	Kumbiti Yohani kajeriti kumbelera pakalonga, “Yani gwenga gwankwiza kwa neni? Neni ndo nfiruwa kubatizwa na gwenga.”
28030f0096	Su Yesu kamwankuliti, “Guleki hera iweri ntambu ira ayi vinu, hangu ndo ntambu iherepa kugatenda goseri gakafira Mlungu.” Palii Yohani kajimiriti.
28031000a8	Kamkamu hera Yesu pawambatiziti kala, kalawiti mumashi, su kumpindi kwa Mlungu kuvuguka na kamwoniti Rohu gwa Mlungu pakiza pasi gambira ng'unda na kumkangira mulibega.
280311006f	Liziwu kulawa kumpindi kwa Mlungu lilongiti, “Ayu ndo Mwana gwangu yanumfira nentu, nherepeziwa nayomberi.”
280401004d	Shakapanu Rohu Mnanagala kamlonguziyiti Yesu kushiwala su kajerwi na Shetani.
2804020059	Kaliyiti ndiri kwa malongu msheshi pashiru na paliwala, shakapanu Yesu kaweriti na njala.
2804030080	Su Shetani kamwiziriti, kamgambira, “Handa gwenga nakaka gwa Mwana gwa Mlungu, gugagalambuziyi mabuwi aga gaweri mabumunda.”
280404008d	Yesu kamwankuliti, “Malembu galonga, ‘Muntu hapeni kalikali kwa kuliya shiboga hera, kumbiti kwa kila shisoweru shakatakula Mlungu.’”
2804050070	Shakapanu Shetani kamtoliti mpaka Yerusalemu, Lushi Lunanagala na kamtuliti pashinara sha Numba nkulu ya Mlungu,
28040600dc	kamgambiriti, “Handa gwenga nakaka gwa Mwana gwa Mlungu, gulyasi pasi, toziya malembu galonga, ‘Mlungu hakawagambiri wantumintumi wa kumpindi wakuwi kuusu gwenga, Hawakutoli mumawoku mwawu, Nagulikwala mumabuwi’”
280407005c	Yesu kamgambiriti, “Kumbiti Malembu galonga viraa, ‘Nagumjera Mtuwa, Mlungu gwaku.’”
2804080079	Shakapanu Shetani kamtoliti mpaka pampindi nentu palugongu na kamlanguziyiti falumi zoseri zya pasipanu na ulunda wakuwi.
2804090059	Kamgambiriti, “Hanukupi gwenga goseri aga, handa pagusuntama pasi na kunguwira neni.”
28040a0087	Palii Yesu kamgambiriti, “Gugendi zyaku Shetani! Malembu galonga, ‘Hagumguwiri Mtuwa Mlungu gwaku na kumtendera gweka yakuwi!’”
28040b0056	Shakapanu, Shetani kamleka Yesu na wantumintumi wa kumpindi wa Mlungu wiziti kumtanga.
28040c004d	Yesu pakapikaniriti handa Yohani wamtula mushibetubetu, kagenditi Kugalilaya.
28040d008d	Kawukiti Nazareti, kagenditi Kafarinaumu, lushi lwaluweliti mump'eku mwa bahali ya genisareti, mumbaka mwa Zebuluni na Nafutari kalikala aku.
28040e0066	Hangu ndo ntambu yashitimiyiti shisoweru sha Mlungu shakatakuliti kwa njira ya Isaya mbuyi gwa Mlungu,
28040f0081	“Isi ya Zebuluni na isi ya Nafutari, Kuyigendera bahali, kumwambu kwa lushemba Yoridani, Galilaya, isi ya wantu Wayawudi ndiri!
280410008c	Wantu yawakaliti muntiti Wawona kulangala kukulu. Na woseri yawalikaliti muisi ya ntiti na shivinyiru sha kuhowa Kulangala Kuwalangalira.”
2804110074	Kwanjira shipindi shilii Yesu kanjiti kubwera pakalonga, “Mleki vidoda, toziya Ufalumi wa kumpindi wapakwegera!”
28041200db	Yesu pakaweriti kankugendagenda kumbeku kulitanda lya Galilaya, kawawoniti walongu wawili yawaweriti walowa wa wasomba, Simoni yawamshema Peteru na mlongu gwakuwi Andereya, waweriti wankulowa wasomba mulitanda kwa wavu.
2804130054	Yesu kawagambiriti, “Munfati, naneni hanuwatendi mwenga muweri walowa wa wantu.”
2804140030	Kamukamu hera wazilekiti nyavu zyawu, wamfatiti.
28041500c5	Pakagenditi kulongolu kidogu, kawawoniti walongu wamonga wawili, Yakobu na Yohani, wana wa Zebedayu. Waweriti wa mumtumbwi pamuhera na tati gwawu Zebedayu wankuzinyawa nyavu zawu. Yesu kawashemiti,
2804160041	palaa palii waguleka mtumbwi pamuhera na tati gwawu na wamfatiti.
28041700a6	Yesu kagenditi Mugalilaya yoseri, kafunditi mnumba za Mlungu na kabweriti Shisoweru Shiwagira sha Ufalumi, na Kaponiziyiti wantu yawawera na malweli ga ntambu zoseri.
2804180112	Visoweru kuusu Yesu vyeniyiti muisi yoseri ya Siriya, su wantu woseri yawawera na malweli na yawalwala malweli ga ntambu zoseri na ndabiku, wantu yawawera na washamshera na wantu yawawera na visirika na wantu yawaweriti wahushu, wawajegiti kwa Yesu na kawaponiziyiti woseri.
2804190088	Lipinga likulu lya wantu limfatiti kulawa Galilaya na lushi lilongu na Yerusalemu na Yudeya na kumwambu kwa lushemba Yoridani wamfatiti.
2805010073	Yesu pakagawoniti mapinga ga wantu, kakweniti kulugongu, kalivagiti pasi. Wafundwa wakuwi walivagiti pawamzyengeta,
280502001d	na Yomberi kanjiti kuwafunda.
2805030052	“Mbaka ya woseri yawawera wahushu wa shirohu, Toziya Ufalumi wa mpindi ndo wawu!
2805040049	Mbaka kwa woseri yawawera na hinginiku, Toziya Mlungu hakawazyangizyangi!
2805050038	Mbaka kwa woseri yawawera wapoli, Toziya hawayihali isi.
2805060063	Mbaka kwa woseri yawawera na njala na yimiluwa ya kutenda gakafira Mlungu, Mlungu hakawayukutiziyi!
2805070056	Mbaka kwa woseri yawawera na lusungu kwa wamonga, Mlungu hakawawoneri lusungu womberi!
2805080052	Mbaka kwa woseri yawamfira Mlungu kwa myoyu yawu yoseri, Womberi hawamwoni Mlungu!
2805090040	Mbaka kwa woseri yawajega ponga, Mlungu hakawashemi wana wakuwi!
28050a005f	“Mbaka kwa woseri yawatabika toziya yakutenda gakafira Mlungu, Ufalumi wa kumpindi ndo gwawu!
28050b0076	“Mbaka mwenga wantu pawawigilanga na kuwazulumu na kuwatendera madoda ga ntambu zoseri toziya mwenga munjimila neni.
28050c009d	Mwenga mnemeli na kusekelera toziya mafupu genu ndo makulu kumpindi kwa Mlungu. Hangu ndo ntambu yawalikaliti wambuyi wa makashu wa Mlungu pamberi pa mwenga.
28050d00b8	“Mwenga mulifana gambira munu gwa pasipanu. Kumbiti munu pagwasa unoga wakuwi, kwahera njira yingi yakugutenda gunogi kayi. Hapeni gufayi, su hawagwasi kunja na wantu hawagutimbangi.
28050e0053	“Mwenga ndo langala ya pasipanu! Lushi lwa walunyawiti mulugongu hapeni lulififi.
28050f00aa	“Kwahera wantu yawawasha shikoloboyi na kushigubikira na shiwiga, badala yakuwi hakashituli pampindi pa shintambi, su kulangala kwakuwi kulangali kwa kila muntu mnumba.
280510008f	Ntambu ira ayi, langala ya mwenga ilangali mpaka kulongolu kwa wantu, su wagaloli matendu genu gaherepa, wamkwisi Tati gwenu yakawera kumpindi.
28051100a0	“Namulihola handa niza kuwusiya Lilagaliru lya Musa na mafundu ga wambuyi wa Mlungu. Niza ndiri kugawusiya Malagaliru, kumbiti kutenda mafundu gawu gatendeki.
28051200b6	Nukugambirani nakaka, kumpindi na pasipanu pazipelera, kumbiti hapeni ata shisoweru shididini ama seemu ndidini yavilembitwi Mumalagaliru yiwusiwi, su mpaka mafundu goseri gatendeki.
280513010c	Su yoseri yakamegi ata lilagaliru limu lididini na kuwafunda wamonga watendi viraa, ayu hakaweri mdidini muufalumi wa kumpindi kwa Mlungu. Kumbiti ulii yakabatira malagaliru na kuwafunda wamonga kutenda viraa, muntu ayu hakaweri mkulu muufalumi wa kumpindi kwa Mlungu.
28051400ae	Toziya nukugambirani, handa kumfiriziya Mlungu kwamwenga pakakanka ndiri ulii wa Mafalisayu na wafunda wa Malagaliru, hapeni mwingiri nakamu muufalumi wa kumpindi kwa Mlungu.
2805150062	“Mpikaniriti ntambu ya wantu wagona wawagambiriti, ‘Nagulaga! Na yoseri yakalaga hawamtozi.’
28051600e8	Kumbiti vinu neni nukugambirani, yoseri yakawera na maya kwa mlongu gwakuwi hawamtozi, yakamzarawu mlongu gwakuwi hawamjegi mumahakama. Na yakamshema mlongu gwakuwi, ‘Mzigizigi’ hakaweri muhatari ya kwingira mumotu gwa Jehanamu.
2805170063	Su pagulaviya mafupu gaku pashitalawanda sha kutambikira na gulihola gwana ungondu na mlongu gwaku,
280518008d	guleki mafupu gaku pashitalawanda sha kutambikira, guwuyi huti gwakatendi ponga na mlongu gwaku, su gwizi na gulaviyi mafupu gaku kwa Mlungu.
28051900ca	“Gupatani na mstaki gwaku kanongola pamuwera mwankali munjira kugenda kumahakama. Pagutenda ndiri hangu, mstaki gwaku hakakujegi kwa mtoza, nayomberi hakakujegi kwa wanjagila wakutatili mushibetubetu.
28051a004c	Nakaka nukugambira, hapeni gulawi mulii mpaka gulipi ligwala lya kumalalira.
28051b003f	“Mpikanira handa wantu wawagambiriti, ‘Nagutenda uhumba!’
28051c0085	Su vinu neni nukugambirani, yoseri yakamlola mdala kwa kufira kutenda nayu undiyandiya, muntu ayu katenda kala uhumba mumoyu mwakuwi.
28051d00bf	Su, lisu lyaku lya kumliwu palitenda gutendi vidoda, gulikolopoli na kuliyasa kutali! Mbaka nentu kwasa shiwungu shimu sha nshimba yaku, kuliku nshimba yaku yoseri wayasi mumotu gwa Jehanamu.
28051e00c5	Handa liwoku lyaku lya kumliwu litenda gutendi vidoda, gulidumuli na kulyasa kutali! Mbaka nentu gwenga kwasa shiwungu shimu munshimba yaku, kuliku nshimba yaku yoseri kwingira mumotu gwa Jehanamu.
28051f005d	“Itakulitwi kala viraa, ‘Yakamleka mdala gwakuwi ifiruwa kampanani malembu ga kumleka.’
28052000d3	Kumbiti neni nukugambirani, yakamupanana mdala gwakuwi malembu ga kumleka, tembera ndiri kwa shitwatira, kamtenda kaweri mndiyandiya, na muntu pakamyuga mdala yawampananiti malembu ga kumleka, katenda uhumba.”
280521007f	“Kayi mpikanira handa wantu wagona wawagambiriti, ‘Naguleka kulirapa kwaku, kumbiti gutendi ntambu yagulirapa kwa Mtuwa.’
2805220087	Kumbiti neni nukugambirani, nagulirapira kwa ntambu yoseri ilii. Nagulirapira kwa kumpindi, toziya ndo shibanta sha ufalumi sha Mlungu,
2805230072	ama mupasipanu, mana ndo shiti shakuwi sha kutulila magulu, ama kwa Yerusalemu toziya ndo lushi lwa Mfalumi mkulu.
2805240063	Nagulirapira ata kwa mtuwi gwaku, toziya hapeni guwezi kutenda ata vilii yimu iweri neru ama ntiti.
280525009a	Pagutakula ‘Yina’ su iweri ‘Yina’, pagutakula ‘Ndala’ su iweri ‘Ndala’. Shoseri shilii shagutakula kunja na ashi shilawa kwa ulii Shetani.
2805260049	“Mpikaniriti ntambu yawatakulaga, ‘Lisu kwa lisu na linu kwa linu.’
2805270082	Kumbiti neni nukugambirani, namumwuzilira muntu mdoda. Muntu pakakukoma lisaya lya kumliwu gumleki kakukomi viraa na lya kumshigi.
280528005d	Muntu pakakujegera kumahakama kafira kalitoli lishati lyaku, gumlekeri viraa na likoti lyaku.
2805290059	Na muntu pakakulazimisha kupapa shisanka shakuwi kilumita yimu, gushipapi kilumita mbili.
28052a0050	Muntu yakakuluwa gumpanani, nagumpanana shisogu muntu yakafira kukuwanda shintu.
28052b005d	“Mpikanira ntambu yawatakuliti, ‘Guwafiri waganja waku na guwakalaliri wang'ondu waku.’
28052c0062	Kumbiti neni nukugambirani, muwafiri wang'ondu wenu na muwaluwili kwa Mlungu walii yawakuzulumani,
28052d00bd	su hamuweri wana wa Tati gwenu kakumpindi. Yomberi kawawalira mshenji wantu wadoda na wantu waheri na kawatowera viraa wantu woseri yawamfiriziya Mlungu na wantu yawamfiriziya ndiri Mlungu.
28052e0077	Hashi, Mlungu hakakupanani mafupu ga ntambu gaa pamuwafira hera walii yawawafira mwenga? Ata watola kodi watenda viraa!
28052f0087	Handa pamuwalamusiya hera walongu wenu, hashi, mtenda shitwatira sha hera hangu ndiri? Ata wantu yawamumana ndiri Mlungu watenda viraa!
280530003b	Muweri waheri ntambu yakawera muheri Tati gwenu kakumpindi!
28060100b1	“Mulikali weri namwiza kutenda matendu genu gagamfiriziya Mlungu kulongolu kwa wantu su mfira wakuloleni. Handa pamtenda hangu, Tati gwenu kakumpindi hapeni kawapanani mafupu.
28060200d8	“Su, pagumpanana vintu muhushu nagulibwera, nagutenda gambira wafyangu ntambu yawatenda mnumba za Mlungu na munjira wantenda hangu su wantu wawakwisi. Nukugambirani nakaka, wantu awa wapata kala mafupu gawu goseri.
2806030063	Kumbiti gwenga pagumpanana vintu muhushu, gutendi ntambu ayi ata ganja gwaku nakavimana shagutenda.
2806040054	Shilii shagutenditi hashiweri muubada. Tati gwaku yakawona muubada, hakakupi lifupu.
28060500de	“Pamluwa Mlungu namtenda gambira wafyangu! Womberi wafira kugoloka na kumluwa Mlungu pakati pa numba za Mlungu na pakati pa mbwega za njira su wantu wawaloli. Nukugambirani nakaka, womberi wapata kala mafupu gawu goseri.
28060600b7	Kumbiti gwenga pagumluwa Mlungu, gwingiri mushumba shaku, gutati mlyangu, shakapanu gumluwi Tati gwaku yakawoneka ndiri. Na Tati gwaku yakawona vintu vya muubada, hakakupanani lifupu.
280607009b	“Pamumluwa Mlungu, nambotanga gambira wantu yawamumana ndiri Mlungu. Womberi walihola kuwera milungu yawu hayiwapikaniri toziya ya visoweru vyawu vivuwa.
2806080054	Namuwera gambira womberi. Tati gwenu kavimana kala galii gamfira pamberi pa kumluwa.
2806090061	Su, hangu ndo ntambu yamfiruwa kumluwa Mlungu, ‘Tati gwetu gwa kumpindi, Litawu lyaku likwiswi.
28060a0042	Ufalumi waku wizi, Shagufira shitendeki pasipanu gambira kumpindi.
28060b002f	Gutupanani leru shiboga shetu sha kila lishaka.
28060c004f	Gutulekiziyi vidoda vya twenga, ntambu yatuwalekeziyiti yawatutendiriti vidoda.
28060d004b	Nagutwingiziya mukujerwa, Kumbiti gutulopoziyi kulawa kwa Mkondola ulii’.
28060e005d	“Toziya pamuwalekeziya wantu vidoda vyawu, Tati gwenu gwa kumpindi hakawalekiziyani mwenga.
28060f0064	Kumbiti pamuwalekeziya ndiri wantu vidoda vyawu, Tati gwenu hapeni kawalekiziyi mwenga vidoda vyenu.
28061000c5	“Pamleka kuliya, namhinginika kusheni ntambu yawatenda wafyangu. Womberi wahinginika kusheni kwawu, su kila muntu kamloli handa woya kuliya. Nuwagambirani nakaka, womberi wapata kala mafupu gawu.
2806110051	Kumbiti gwenga pagoya kuliya, guliswagi mtuwi gwaku lipaki na gunawi sheni shaku,
28061200a1	Su, muntu yoseri nakavimana handa gwoya kuliya, Su gumanikani hera Tati gwaku yakawonekana ndiri. Na Tati gwaku yakawona shagutenda muubada, hakakupanani lifupu.
280613005d	“Namlitulira luhanja pasipanu, wameyi na kutu vihalibisiya na vimpegu wabomolanga na kwiwa.
2806140073	Mlituliri luhanja lwenu kumpindi, kweni wamehi na kutu hapeni waluharibisii na vimpegu hapeni wabomolangi na kwiwa.
280615003d	Toziya palii paluwera luhanja lwaku, ndo haguweri moyu gwaku.
2806160068	“Lisu ndo limuliku lya nshimba. Handa lisu lyaku ndo likomu, nshimba yaku yoseri hayiweri mugulangala.
2806170097	Handa lisu lyaku palilwala, nshimba yaku yoseri hayiweri muntiti. Su, gulangala waguwera mngati mwaku ndo ntiti, su ayi ndo ntiti ya kulyogisiya nentu!
28061800ae	“Kwahera muntu yakaweza kuwatendera watuwa wawili, toziya hakamkalaliri yumu na kumfira yumonga, ama hakamjimiri yumu na kumbeza yumonga. Hapeni mumtenderi Mlungu na mpiya.
28061900c0	“Ndo mana nuwagambirani, namtira kuusu shiboga na shilandwa vyamfira su mulikali, ama hamvali shishi. Hashi, makaliru ndo shiboga hera ama nentu? Na nshimba hashi handa nentu ndiri ya nguwu?
28061a00c0	Muwaloli wampongu wa muntundu, wayala ndiri mbeyu na wabena ndiri, wala wahera luwanja loseri. Ata hangu, Tati gwenu gwa kumpindi kawaliyiziya! Hashi, mwenga mwamana ndiri kuliku wampongu awa?
28061b0056	Ndo gaa muwamu mwenu yakawera na lyoga kaweza kwongera shipindi sha kulikala pasipanu?
28061c0071	“Ntambu gaa mulihola kuusu nguwu? Mloli uluwa wa muntundu ntambu yawukula, utenda ndiri lihengu pota na kupota.
28061d007d	Kumbiti nuwagambirani, ata Mfalumi Selemani mweni na ulunda wakuwi woseri wamvalisiya ndiri nguwu ziherepa gambira uluwa awu.
28061e00a9	Payiwera, Mlungu kaluvalusiya luhamba lwa mlushi hangu lweni leru lwa palaa na shirawu lwaswa mumotu. Hashi, hakawatenderi mwenga nentu? Mwenga wantu mwana moyu mdidini!
28061f0069	“Su, namwera na lyoga, ‘Shiboga shangu hashilawi koshi? Ama hatulandi shishi? Ama hatuvali shishi?’
2806200077	Vyoseri avi, wantu yawamumana ndiri Mlungu wavisakula. Tati gwenu gwa kumpindi kavimana kuwera mfira vintu vyoseri avi.
280621005e	Su, mtendiwuti Ufalumi wa Mlungu na galii gakafira Mlungu na aga goseri hakakupanani nyongeru.
280622006f	Su, namwana lyoga kuusu shirawu, shirawu hailiholi yeni. Magaziwu ga lishaka limu gankuwatosha kwa lishaka ali.
2807010040	“Namuwalunda wamonga, su namwiza na mwenga kulundwa na Mlungu.
2807020081	Mlungu hakawatozi mwenga ntambu yamuwatoza wamonga, na shipimu shiraa shilii shamuwapimira wamonga, Mlungu hakakupimirani mwenga.
2807030073	Iwera hashi gushiwona shibandu mlisu mwa mlongu gwaku na palaa panu guwona ndiri shipingiri shashiwera mlisu lyaku?
2807040092	Ama guweza hashi kumgambira mlongu gwaku, ‘Mlongu, guleki nukuwusiyi shibandu mlisu mwaku,’ na gumweni gwenga gwanashi shipingiri mlisu mwaku?
