0100000005	Ugiti
0102020087	A kanna ke cindere ɗa Ka̱shile ko kotsoi ulinga u na u yaꞋin, ɗa wu uvukai a kanna ke cindere ka adama a ulinga u na u yaꞋin va.
0102030095	Ɗa Ka̱shile ka zuwakai kanna ke cindere ka una̱singai ɗa u bonokoi kaꞋa kanna ka ciɗa, adama a na a kanna ka nanlo kaꞋa Ka̱shile ku uvukai.
010204006b	Na va ɗaɗa arabali a tsu na a yaꞋin gaɗi n iɗika. Ana Ka̱shile Vuzavaguɗu u yaꞋin gaɗi n iɗika,
01020500af	babu mita̱ ko yutishi i yoku i na yu uta̱i a iɗika. Adama a na a ayin a nanlo Ka̱shile Vuzavaguɗu babu na u gita̱i kuyoꞋo mini. Babu vuza na kpamu u kucimba iɗika ya,
0102060051	ama ayin a nanlo iɗika i ɗa i ci jemgbe ka̱ta̱ i ta̱na̱ta̱ngu ubuta̱ dem.
010207009b	Ɗa Ka̱shile Vuzavaguɗu u maꞋin ikyamba i vuma n kubuta̱ ki iɗika. Ɗa wu uvula̱ka̱ yi ni ayinviki a wuma a̱ vunu vi ni, ɗa vuma wo okpoi n wuma.
010208006e	Ɗa Ka̱shile Vuzavaguɗu u yaꞋin kashina ka nɗanga Adini a kasana, ta ɗe u zuwai vuma vu na u yaꞋin va.
010209014f	Ɗa Ka̱shile Vuzavaguɗu u zuwai icuꞋu yi nɗanga kakau m gbonguroi punu a kashina ka. Ɗa u zuwai nɗanga n na mi n ugaꞋin u kinda punu n na n kumatsa umaci u singai e mere ma kashina ma, ɗa u zuwai kpamu punu nɗanga n re, me te ma na me kuneke wuma, me te kpamu ma na me kuneke vuza kuyeve ki ili i singai n i gbani-gbani dem.
01020a0059	Kuyene kuta̱i a Adini, ɗa ku neꞋi kashina ka mini ɗa ku peciki ali ugboku u na̱shi.
01020b007e	Kula ku kuyene ku iyain ku ɗaɗa Pishon, ku ɗaɗa ku ci yene a kubana a iɗika i Havila gbende a̱ ubuta̱ u na azanariya i.
01020c0065	Azanariya a iɗika i nanlo i ta̱ ciɗa, a̱ta̱mba̱ n atali a singai i ta̱ ɗe feu a̱ ubuta̱ wa.
01020d004f	Kuyene ku ire ku ɗaɗa e ci ɗeke Gihon, ku ci yene ta̱ a iɗika i Kushi dem.
01020e009b	Kula ku kuyene ku tatsu ku ɗaɗa Tigirisu, ku ci yene ta̱ a kuwala a uɓon u kasana u Asiriya. Kuɗolu ku na̱shi tamkpamu ku ɗaɗa e ci ɗeke Yufiretu.
01020f0077	Ɗa Ka̱shile Vuzavaguɗu u zuwai vuma va punu a Kashina ka Adini ka. Adama a na wi inda ka̱ta̱ u cimba kaꞋa mayin.
010210006c	Ɗa Ka̱shile Vuzavaguɗu u danai ni, “Vi ta̱ a kufuɗa va lyaꞋa nɗanga n na mi punu a kashina ka dem,
01021100ac	sai maɗanga ma na ma kuzuwa vuza u yaꞋan n kuyeve ki ili i singai n i gbani-gbani ma ɗaɗa va kulyaꞋa ba. Kanna ka na baci vi lyaꞋi maꞋa, vi ta̱ a̱ kukuwa̱.”
0102120081	Ɗa Ka̱shile Vuzavaguɗu u danai, “U gaꞋan vuma u yongo endeꞋen ni ba. Mi ta̱ a kuyaꞋanka yi ka̱ɓa̱nki ka singai.”
01021300f7	N kayala ki iɗika kaꞋa Ka̱shile Vuzavaguɗu u yaꞋin nnama n kakamba koɓolo nu nnu n gaɗi dem. Ɗa u tuka̱i le a̱ ubuta̱ u vuma adama a na we ene ko nini ɗai u kuɗeke le, tsu na baci de dem u ɗekei manama ɗa ta na u kokpo kula ku ni.
0102140078	Ɗa vuma va u neꞋi nnama nu nnu n gaɗi ra̱ka̱ ula. Ama A̱da̱mu u ciya̱ punu ka̱ɓa̱nki ka na ka yaꞋin ni ba.
01021500ab	Ɗa Ka̱shile Vuzavaguɗu u zuwai vuma va alavu a na a̱ kuwa̱i ni. Ayin a na wi alavu, ɗa u talai ketele ka kakambu ka vali ka, ɗa u bonoi u palai ubuta̱ wa n inyama.
0102160059	Ɗa Ka̱shile Vuzavaguɗu u yaꞋin vuka n ketele ka na u talai va, ɗa u bankai vuma va.
01021700b5	Ɗa vuma va vu danai, “Na va ɗaɗa ketele ka na kuta̱i wa̱ va̱, n inyama i na yu uta̱i wa̱ va̱. Kula ku ni ku ɗa ‘vuka’ adama a na ta punu a̱ uta̱ka̱i ni u vali.”
01021800a6	I ɗaɗa i zuwai ɗa vuma u kuka̱sukpa̱ a̱na̱ku a̱ ni n esheku, adama a na u ɓolongu ka̱ci ka̱ ni a̱ ubuta̱ u te n vuka vi ni, ka̱ta̱ o okpo ikyamba i te.
0102190054	Vali va n vuka vi ni dem oshomboɗi a ɗa i, ama babu vuza na u panai wono u vutoku.
01030100cc	Koko ka laꞋa ta̱ nnama n na Ka̱shile Vuzavaguɗu u yaꞋin dem n ugboji. Ɗa ke ecei vuka va, “Mayu ɗa Ka̱shile ka danai, ‘Ka̱ta̱ i lyaꞋa umaci wu nɗanga u na wi punu a kashina ka ba?’”
0103020072	Ɗa vuka va vu danai koko kaꞋa, “Ci ta̱ a kufuɗa tsa lyaꞋa umaci wu nɗanga dem n na mi punu a kashina ka,
01030300c5	ama Ka̱shile ka dana ta̱, ‘Ka̱ta̱ i lyaꞋa maɗanga ma na mi punu e mere ma kashina ma ba. Ko kusaꞋwa ka̱ta̱ i saꞋwa ba. Kanna ka na baci i saꞋwai maꞋa, yi ta̱ a̱ kukuwa̱.’”
010304003a	Ama ɗa koko ka danai vuka va, “Mayun ɗa i kukuwa̱ ba.
01030500c9	Ka̱shile ka ke yeve ta̱ kanna ka na baci i lyaꞋi maɗanga ma, a̱shi a̱ ɗa̱ i ta̱ a ku paɗukpa, ka̱ta̱ kpamu yo okpo uteku tsu Ka̱shile. Yi ta̱ e kuyeve ili i gbanigbani n ili i singai.”
01030600eb	Ana vuka va ve enei umaci u maɗanga wa wi ta̱ n ugaꞋin u kulyaꞋa, n ugaꞋin u kinda. U ciga ta̱ kpamu u ciya̱ cicoꞋo tsu na ci punu, ɗa u taꞋi umaci u maɗanga wa ɗa u lyaꞋi. Ɗa u neꞋi vali va, ɗaɗa u lyaꞋi feu.
01030700a4	Ɗa dem vi le a̱shi e le a paɗukpai, ɗa e enei ka̱ci ke le oshomboɗi. Ɗa a̱ jilya̱i a̱vuku a maɗanga ma̱ ma̱biri, ɗa a yaꞋankai ka̱ci ke le ciyampa.
010308008c	N kulivi, ɗa a panai izumgbi i Ka̱shile Vuzavaguɗu a̱ kuka̱ra̱Ꞌa̱ a kashina ka, ɗa a sumai e sheɗeki punu a nɗanga n kashina ma.
010309004b	Ama ɗa Ka̱shile Vuzavaguɗu ke ɗekei vuma va, u danai, “Te ɗai vi?”
01030a0091	Ɗa vuma va wu ushuki, “M panaka wu ta̱ a̱ kuka̱ra̱Ꞌa̱ a kashina ɗaɗa m panai wovon, adama a na mi ta̱ koshomboɗi ɗa n sheɗeki.”
01030b0094	Ɗa Ka̱shile Vuzavaguɗu we ecei ni, “Yayi u danai koshomboɗi kaꞋa vi? Ko vi lyaꞋa ta̱ maɗanga ma na n danai ka̱ta̱ vi lyaꞋa ba va?”
01030c007f	Ɗa vuma va u danai, “Vuka vu na vu nekei mu u yongo nu mpa, a̱yi ɗa u taꞋi maɗanga ma ɗa u neꞋi mu ɗa n lyaꞋi.”
01030d0098	Ka̱shile Vuzavaguɗu ke ecei vuka va, “Yiɗa̱i i zuwai ɗa vi yaꞋin nannai?” Ɗa wu ushuki, “Koko kaꞋa ka̱ ya̱nsa̱i mu, ɗa n lyaꞋi.”
01030e012c	Ɗa Ka̱shile Vuzavaguɗu u danai koko ka, “An vi yaꞋin nannai, una̱ u na mi a kuyaꞋanka wu, u laꞋa ta̱ wu nnama m kpaꞋa koɓolo nu n kakamba dem ali nu nnu feu. Vi ta̱ a kuyaꞋan nwalu n ka̱tsuma̱ ka̱ nu o kurono a iɗika. Kubuta̱ ku ɗa vi kulyaꞋa a ayin a wuma a̱ nu ra̱ka̱.
01030f00bb	Mi ta̱ a kuzuwaka ɗa̱ tsurala avu n vuka va, a̱ ka̱tsuma̱ ka ntsukaya n nu koɓolo nu ntsukaya n vuka ma. Wi ta̱ o kuɓoso wu a kaci, ama avu vi ta̱ a kuluma yi a̱ ka̱civa̱.”
01031000f1	Ɗa u danai vuka va, “Vi ta̱ e kene atakaci n a̱bunda̱i a na n kuneke wu a̱ ubuta̱ u limata. Nu mɓa̱la̱ n ɗa va kumatsa muku. Ka̱ɗu ka̱ nu ki ta̱ o kuyongo a̱ ubuta̱ u vali nu, a̱yi ɗa ta na u kulyaꞋa tsugono wa̱ nu.”
010311011a	Ɗa Ka̱shile Vuzavaguɗu u danai A̱da̱mu, “Adama a na vu pana ta̱ kadanshi ka vuka vu nu, ɗa vi lyaꞋi maɗanga ma na n danai nu ‘Ka̱ta̱ vi lyaꞋa ba,’ adama a̱ nu n yaꞋanka ta̱ iɗika dem una̱, sai vi yaꞋan atakaci kafu vi lyaꞋa, ali kanna ka na vu kuwa̱i.
0103120064	Iɗika yi ta̱ a kumatsa awana m mita̱ ma gbani-gbani, imacishi i kakamba i ɗa kpamu va kulyaꞋa.
01031300b2	Vi ta̱ e kulemgbe kafu vi lyaꞋa ilikulya, ali kanna ka na vu bonoi punu a iɗika ya, adama a na ta punu vu uta̱i. Avu kubuta̱ ku ɗa, a̱ kubuta̱ ku ɗa kpamu vo kubono.”
010314005f	Ɗa A̱da̱mu u neꞋi vuka vi ni kula Hawa, adama a na a̱yi ɗa u kokpo akaya a uma ra̱ka̱.
010315004d	Ɗa Ka̱shile Vuzavaguɗu u yaꞋankai A̱da̱mu n vuka vi ni aminya a ukpan.
01031600e9	Ɗa Vuzavaguɗu u danai, “Gogo na vuma wo okpo ta̱ tsu tsu, u yeve ta̱ kasingai n kawuya. Ka̱ta̱ a̱ ka̱sukpa̱ yi u taꞋa ali u lyaꞋa a̱ ka̱tsuma̱ ka nɗanga n kuneke wuma n kasingai ba, ta lo wo yongo n wuma kowanai”
010317008d	Ɗa Ka̱shile Vuzavaguɗu u lokoi vuma va punu a Kashina ka Adini ka. Adama a na u bana u yaꞋan vicimba a̱ ubuta̱ u na a̱ uta̱ka̱i ni.
01031800c0	Ana u lokoi vuma va, ɗa u zuwai ɗe corobi a̱ na̱shi punu a kashina ka a uɓon u kasana, n otokobi a akina a kulyaꞋa una̱ u re dem adama a na a̱ sa̱nka̱ vuma va kuꞋuwa a kashina ka.
01040100a2	Ɗa A̱da̱mu u vaki n vuka vi ni Hawa, ɗa u yaꞋin ka̱tsuma̱, ɗa u matsai Kayinu. Ɗa u danai, “Vuzavaguɗu u ɓa̱nka̱ mu ta̱, ɗa n ciya̱i kolobo.”
0104020092	Ayin a na i lo, ɗa u matsakai ni vangu ɗa u neꞋi ni kula Habila. Ana u gbonguroi ɗa wo okpoi maguɓi, a̱yi Kayinu tamkpamu wo okpoi kacimbi.
0104030055	A ayin a vukyaꞋa, ɗa Kayinu u bankai Vuzavaguɗu n kuneꞋe ki ili i kashina i ni.
01040400a6	Ama a̱yi Habila u zagbai mokyon ma singai ma na a̱ gita̱i kumatsa. Ɗa u kiɗai, ɗa u bankai Vuzavaguɗu nu mɓurusa. Ɗa ta na Vuzavaguɗu wi isai alyuka a̱ ni.
010405006c	Ama u pana uyoꞋo u Kayinu n alyuka a̱ ni ba. Ɗa Kayinu u yaꞋin wupa, ka̱ɗu ka̱ ni ka̱ na̱mgba̱i.
0104060077	Ɗa Vuzavaguɗu we ecei ni, “Yiɗa̱i i zuwai ɗa vi yaꞋin wupa? Yiɗa̱i i zuwai ɗa asuvu a̱ nu a̱ na̱mgba̱i?
01040700b7	Ashe vi yaꞋan baci ili i singai a kisa i ɗa ba? Vu lapula baci ba, unushi u ɗa lo a̱ utsutsu a kuvana wu, adama a na u lyaꞋa utsura u nu. Ama u gaꞋan ta̱ vu laꞋa u ɗa.”
010408007a	Ɗa Kayinu u danai vangu vi ni Habila, “YaꞋan tsu bana a kakamba.” Ele ɗe a kakamba, ɗa Kayinu u ga̱la̱i Habila.
010409008e	Ayin a na i lo, ɗa Vuzavaguɗu we ecei Kayinu, “Te ɗai ambu wi?” Ɗa Kayinu wu ushuki, “Mpa n yeve ba. Mpa ɗa kindi ka vangu va̱?”
01040a009d	Ɗa Vuzavaguɗu u danai, “Yiɗa̱i i zuwai ɗa vi yaꞋin nannai? Adama a na mpasa n ambu mi ta̱ a malapa mu una̱ punu a iɗika a̱ kuta̱wa̱ wa̱ va̱.
01040b006c	Gogo na iɗika i na i ɓa̱yuwa̱i adama a na yi isa mpasa n ambu e ekiye a̱ nu, i yaꞋanka wu ta̱ una̱.
01040c00a0	Ubuta̱ u na vu banai dem, ko vi yaꞋan ulinga nini, iɗika ya yo kudoku ya matsa ili ba. Uteku n anana vo okpo ta̱ vuza vu ka̱ka̱ra̱sa̱ punu a iɗika.”
01040d0050	Ɗa Kayinu u danai Vuzavaguɗu, “Atakaci a̱ va̱ a laꞋa ta̱ utsura u va̱.
01040e00ae	Gogo na vu loko mu ta̱ a iɗika ya, mi ta̱ o kokpo usokongi a̱ ubuta̱ u nu, ka̱ta̱ mo okpo ka̱ka̱ra̱shi punu a aduniyan, vuza na we enei mu dem wi ta̱ a kuna mu.”
01040f00e0	Ɗa Vuzavaguɗu wu ushuki u danai, “Ta nannai ba! Vuza na baci dem wu unai Kayinu mi ta̱ feu a kutakacika yi ali kucindere.” Ɗa Vuzavaguɗu u zuwakai ni urotu adama a na vuza na de dem u cinai ni ka̱ta̱ wu una yi ba.
0104100074	Ɗa Kayinu u ka̱sukpa̱i kelime ka Vuzavaguɗu ɗa u lazai u banai u da̱sa̱ngi a iɗika i Nodu a Kasana ka Adini.
01041100be	Ɗaɗa Kayinu u vaki n vuka vi ni ɗa u yaꞋin ka̱tsuma̱ u matsai maku ɗa u neꞋi ni kula Anuhu. Ayin a nanlo a̱yi a kumaꞋa likuci ɗa u nekei likuci ya n kula ku maku ma̱ ni Anuhu.
0104120080	Ɗa a matsakai Anuhu maku ɗa u nekei ni kula Iradu, ɗa Iradu u matsai Mehaluja ɗa Mehaluja u matsai Metusela esheku a Lameji.
0104130051	Lameji u zuwai a̱ma̱ci e re vuza te kula ku ni ku ɗa Ada kula ku vuza te Zila.
0104140064	Ɗa Ada u matsai Jabalu, a̱yi ɗa esheku a aza a na o kuyongo a̱ a̱pa̱m n a guɓai kuzuwa ku le.
010415004a	Vuza ni ɗa Jabalu vuza na wi esheku a awaꞋi a umolu n a̱liki a ishari.
010416006a	Ɗa Zila u matsai Tubula-kayinu vuza na u ci yima ila̱nga̱ n iyum. Taku vu Tubala-kayinu a̱yi ɗa Nama.
01041700ab	Kanna ke te Lameji u danai a̱ma̱ci e re a̱ ni, “Ada n Zila, panakai mu, a̱ɗa̱ a̱ma̱ci a Lameji, n saꞋwa ta̱ kuna kolobo ko yoku adama a na u uka mu ta̱ muna.
0104180096	I baci a kuna uma e cindere adama a vuza na wu unai Kayinu, I ta̱ a kuna uma amangatatsunkupa n uma e cindere adama a vuza na baci wu unai Lameji.”
01041900ef	Ɗa A̱da̱mu u doku u vaki n vuka vi ni, ɗa u yaꞋin ka̱tsuma̱. Ɗa u matsai maku mo yoku, ɗa vuka vi neꞋi ni kula Shitu. U danai, “Ka̱shile ke neke mu ta̱ maku mo yoku, adama a na Habila u buwa lo ba, Kayinu wu una yi ta̱.”
01041a0081	Shitu feu u matsai maku mo kolobo, ɗa u neꞋi ni kula Enos. A ayin a nanlo a ɗa uma a̱ ka̱na̱i kuɗeke kula ku Vuzavaguɗu.
010501007a	Na va ɗaɗa tsumani tsu muku ma̱ A̱da̱mu. A ayin a na Ka̱shile ka yaꞋin vuma u yaꞋan yi ta̱ n iyoci i Ka̱shile.
010502005f	U yaꞋin le vuka n vali, ɗa u zuwakai le una̱singai. Ana u yaꞋin le u ɗekei le “Uma.”
0105030077	Ayin a na A̱da̱mu wi n a̱ya̱ amanga̱ta̱linkupa, ɗa u matsai maku ma na mo yotsoi ni, ɗa u neꞋi ni kula Shitu.
0105040085	Ana A̱da̱mu u matsai Shitu ɗa u yongoi a̱ya̱ amangatawunkunla̱i kpamu, ɗa ayin a nanlo, u doku u matsai muku mu nkere n olobo.
010505004f	A̱da̱mu u yaꞋan ta̱ a̱ya̱ amangatawunkuci n kamangankupa, ɗa u kuwa̱i.
0105060041	Shitu wi ta̱ n a̱ya̱ amangatawun n a tawun, ɗa u matsai Enos.
0105070088	Ana u matsai Enos, ɗa u doku u yaꞋin a̱ya̱ amangatawunkunla̱i n e cindere ɗa ayin a nanlo, u doku u matsai muku mu nkere n olobo.
010508004a	Shitu u yaꞋan ta̱ a̱ya̱ amangatawunkuci n kupa n e re, ɗa u kuwa̱i.
0105090040	Enos wi ta̱ n a̱ya̱ amanga̱na̱shinkupa, ɗa u matsai Kenan.
01050a0098	Ana u matsai Kenan, ɗa Enos u doku ɗa u yaꞋin a̱ya̱ amangatawunkunla̱i n gendu. A̱ ka̱tsuma̱ ka ayin a nanlo, u matsai muku mo olobo ni nkere.
01050b0045	Enos u yaꞋan ta̱ a̱ya̱ amangatawunkuci n a tawun, ɗa u kuwa̱i.
01050c0042	Ana Kenan u yawai a̱ya̱ amangatatsunkupa, ɗa u matsai Mahalale.
01050d009a	Ana a matsai Mahalale, ɗa u doku yaꞋin a̱ya̱ amangatawunkunla̱i n amangere. A̱ ka̱tsuma̱ ka ayin a nanlo, u doku u matsai muku mo olobo ni nkere.
01050e0043	Kenan u yaꞋan ta̱ a̱ya̱ amangatawunkuci n kupa, ɗa u kuwa̱i.
01050f0048	Ana Mahalale u yawai a̱ya̱ amangatatsu n a tawun, ɗa u matsai Jaredu.
01051000a0	Ana u matsai Jaredu, ɗa Mahalale u doku u yaꞋin a̱ya̱ amangatawunkunla̱i n kamangankupa. A̱ ka̱tsuma̱ ka ayin a nanlo, u matsai muku mo olobo nu nkere.
0105110064	Mahalale u yaꞋan ta̱ a̱ya̱ amangatawunkunla̱i n amanga̱na̱shinkupa n a tawun, ɗa u kuwa̱i.
0105120040	Ana Jaredu wi n a̱ya̱ amankunla̱i n e re, ɗa u matsai Anuhu.
0105130092	Ana u matsai Anuhu, ɗa u doku u yaꞋin a̱ya̱ amangatawunkunla̱i. A̱ ka̱tsuma̱ ka ayin a nanlo, u doku ɗa u matsai muku mo olobo ni nkere.
0105140052	Jaredu u yaꞋan ta̱ a̱ya̱ amangatawunkuci n amangatatsu n e re, ɗa u kuwa̱i.
010515004c	Ana Anuhu u yawai a̱ya̱ amangatatsu n a tawun, ɗa a matsakai ni Metusela.
0105160087	Ana a matsai Metusela, ɗa Anuhu u doku u yaꞋin a̱ya̱ amangatawantatsu. A ayin a nanlo, u doku ɗa u matsai muku mo olobo ni nkere.
0105170046	Anuhu u yaꞋan ta̱ a̱ya̱ amangatawantatsu n amangatatsu n a tawun.
0105180068	Anuhu u yongo ta̱ o kutono Ka̱shile, ɗa u lazai adama a na Ka̱shile ka ɗika yi ta̱ a kubana gaɗi.
0105190075	Ayin a na Metusela wi n a̱ya̱ amangatawun n amanga̱na̱shi n e cindere kuci n e cindere, ɗa a matsakai ni Lameji.
01051a008e	Ana a matsai Lameji, Metusela u doku u yaꞋin a̱ya̱ amangatawencindere n amanga̱na̱shi n e re ɗa u doku u matsai muku mo olobo ni nkere.
01051b0054	Metusela u yaꞋan ta̱ a̱ya̱ amangatawunkuci n amangatatsu n kuci, ɗa u kuwa̱i.
01051c0045	Ana Lameji u yawai a̱ya̱ amankuci n e re, ɗa a matsakai ni kolobo.
01051d00b2	U neꞋi maku ma̱ ni kula Nufu. U danai, “Adama a na a̱yi ɗa u kutuka̱ n wuvuki wu ulinga u na ci a kuyaꞋansa, adama a na Vuzavaguɗu u yaꞋanka ta̱ iɗika ya una̱.”
01051e0091	Ana a matsai Nufu, ɗa Lameji u doku u yaꞋin a̱ya̱ amangatawantawun n amanga̱na̱shinkupa n a tawun, wi ta̱ kpamu m muku mo olobo ni nkere.
01051f005f	Lameji u yaꞋan ta̱ a̱ya̱ amangatawencindere n amangatatsunkupa n e cindere, ɗa u kuwa̱i.
010520005c	Ayin a na Nufu u yawai a̱ya̱ amangatawantawun ɗa u matsai muku n tatsu, Shem, Ham n Jafe.
0106010051	Ana uma a̱ gita̱i kuyimkpa punu a aduniyan, ɗa kpamu a matsakai le nkere punu.
010602007c	Muku n Ka̱shile me enei nkere n vuma mi ta̱ n ugaꞋin ka̱u, ɗa a zagbakai ka̱ci ke le aza a na a luwai le ɗa a zuwai.
01060300bd	Ɗa Vuzavaguɗu u danai, “Mi a kufuɗa kugbama asuvu adama a na vuma u yongo ali a kubana ayin uteku n uteku ba, wi ta̱ a̱ kukuwa̱. A̱ya̱ a̱ ni a kulaza amangatawun n kamanga ba.”
