0100000009	UGenesisi
0103030084	kodwa uNkulunkulu wathi, ‘Lingazidli izithelo zesihlahla esiphakathi laphakathi kwesivande, njalo lingasithinti, hlezi life.’”
0103040035	Inyoka yathi kowesifazane, “Kalisoze life ngempela.
0103050073	Ngoba uNkulunkulu uyazi ukuthi lingasidla amehlo enu azavuleka, beselisiba njengoNkulunkulu, lazi okuhle lokubi.”
01030600e2	Kwathi owesifazane ngokubona ukuthi izithelo zesihlahla leso zaziyikudla okuhle njalo zibukeka emehlweni, njalo kudingeka ukuzuza ukuhlakanipha, wakha ezinye wadla. Wapha njalo ezinye indoda yakhe ayelayo khonapho, layo yadla.
010307008b	Amehlo abo bobabili asevuleka, basebenanzelela ukuthi babenqunu; yikho basebethungela ndawonye amahlamvu omkhiwa bazenzela izembatho ngawo.
01030800a0	Indoda lomkayo basebesizwa umsindo kaThixo uNkulunkulu ehamba esivandeni ilanga selithambeme, basebemcatshela uThixo uNkulunkulu phakathi kwezihlahla zesivande.
0103090040	Kodwa uThixo uNkulunkulu wayimemeza indoda wathi, “Ungaphi?”
01030a005e	Yaphendula yathi, “Ngikuzwile esivandeni, ngesaba ngoba benginqunu; yikho ngasengicatsha.”
01030b006b	Wasesithi, “Ngubani okutshelileyo ukuthi unqunu? Usudlile yini isihlahla engalilaya ukuthi lingasidli?”
01030c0059	Indoda yathi, “Umfazi owangipha yena, ungiphile ezinye izithelo zesihlahla ngazidla.”
01030d0088	Ngakho uThixo uNkulunkulu wathi kowesifazane, “Kuyini lokhu osukwenzile na?” Owesifazane wathi, “Inyoka ingikhohlisile, ngadla.”
01030e00e3	Ngakho uThixo uNkulunkulu wasesithi enyokeni, “Ngoba usukwenzile lokhu, Uqalekisiwe ngaphezu kwezifuyo zonke kanye lezinyamazana zonke zeganga! Uzahuba phansi ngesisu sakho njalo uzakudla uthuli zonke insuku zokuphila kwakho.
01030f00a2	Njalo ngizafaka ubutha phakathi kwakho lowesifazane, laphakathi kwenzalo yakho leyowesifazane; uzacobodisa ikhanda lakho, njalo wena uzagamula isithende sakhe.”
01031000bc	Kowesifazane wathi, “Ngizakwandisa ngokuphindiweyo inhlungu zakho nxa ubeletha; ngobuhlungu uzazala abantwana. Inkanuko yakho izakuba sendodeni yakho, njalo yona izabusa phezu kwakho.”
01031100ca	Ku-Adamu wathi, “Ngoba ulalele umkakho wadla isihlahla engakulaya ngathi, ‘Ungasidli,’ Uqalekisiwe umhlabathi ngenxa yakho; ngokusebenza nzima uzakudla okuphuma kuwo zonke insuku zokuphila kwakho.
0103120056	Uzamila ameva lezihlahlakazana zameva azahlaba wena, njalo uzakudla izihlahla zeganga.
0103130093	Ngezithukuthuku zebunzi lakho uzakudla ukudla kwakho uze ubuyele emhlabathini, njengoba wathathwa kuwo; ngoba uluthuli njalo uzabuyela othulini.”
0103140056	U-Adamu wamutha umkakhe wathi ngu-Eva, ngoba wayezakuba ngunina wabo bonke abaphilayo.
0103150054	UThixo uNkulunkulu wenza imvunulo yesikhumba, wenzela u-Adamu lomkakhe, wabagqokisa.
01031600c0	Njalo uThixo uNkulunkulu wathi, “Umuntu manje usenjengomunye wethu, usekwazi okuhle lokubi. Kangavunyelwa ukuthi elule isandla sakhe akhe njalo isihlahla sokuphila adle, aphile laphakade.”
0103170063	Ngakho uThixo uNkulunkulu wamxotsha eSivandeni se-Edeni ukuthi asebenze umhlabathi ayethethwe kuwo.
010318009e	Esemxotshile umuntu wamisa ngempumalanga kweSivande se-Edeni amakherubhi lenkemba ebhebhayo, iphazima isiyale lale ukulinda indlela eya esihlahleni sokuphila.
0104010076	U-Adamu wembatha lomkakhe u-Eva, wasezithwala, wabeletha uKhayini. Wathi, “Ngosizo lukaThixo sengibelethe indoda.”
0104020070	Muva wabeletha umfowabo u-Abheli. U-Abheli waba ngumfuyi wemihlambi yezimvu, uKhayini yena wasebenza umhlabathi.
010403005a	Ngokuya kwesikhathi uKhayini waletha ezinye izithelo zomhlabathi ukuba ngumnikelo kuThixo.
0104040086	Kodwa u-Abheli waletha izitho ezinonileyo zisuka kwamanye amazibulo omhlambi wakhe. UThixo wathokoza ngo-Abheli kanye lomnikelo wakhe,
0104050065	kodwa kathokozanga ngoKhayini lomnikelo wakhe. Ngakho uKhayini wazonda kakhulu, lobuso bakhe bahloba.
010406004c	UThixo wasesithi kuKhayini, “Uzondeleni na? Kungani ubuso bakho buhlobile?
01040700a5	Nxa usenza okulungileyo, kawuyikwamukelwa yini? Kodwa nxa ungenzi okulungileyo, isono sikucathamele emnyango wakho; sinxwanele ukukuthumba, kodwa kumele usehlule.”
0104080092	UKhayini wasesithi kumfowabo u-Abheli, “Ake sihambe siye egangeni.” Kwathi bekhonale egangeni uKhayini wamhlasela umfowabo u-Abheli wambulala.
010409007b	UThixo wasesithi kuKhayini, “Ungaphi umfowenu u-Abheli na?” Waphendula wathi, “Angazi. Ngingumgcini womfowethu na?”
01040a0058	UThixo wathi, “Usuyenzeni? Lalela! Igazi lomfowenu liyakhala kimi lisuka emhlabathini.
01040b007a	Manje usuqalekisiwe njalo usuxotshiwe kuwo umhlabathi ovule umlomo wawo ukwamukela igazi lomfowenu lisuka esandleni sakho.
01040c0059	Lapho uwusebenza umhlabathi kawusayi kuthela amabele kuwe. Uzakuba luzulane emhlabeni.”
01040d0043	UKhayini wathi kuThixo, “Isijeziso sami singaphezu kwamandla ami.
01040e00a9	Lamuhla usungixotsha elizweni, ngakho sengizasithela ngingabi khona kuwe; ngizakuba luzulane olungela kuphumula emhlabeni, kuthi loba ngubani ongifumanayo angibulale.”
01040f00bb	Kodwa uThixo wathi kuye, “Akunjalo; lowo ozabulala uKhayini uzaphindiselwa ngokuphindwe kasikhombisa.” Ngakho uThixo wasebeka uphawu kuKhayini ukuze kuthi lowo omfumanayo angambulali.
0104100060	Ngakho uKhayini wasesuka emehlweni kaThixo wayahlala elizweni laseNodi, empumalanga kwase-Edeni.
0104110088	UKhayini wembatha lomkakhe, wathatha isisu wazala u-Enoki. Ngalesosikhathi uKhayini wayesakha idolobho alibiza ngendodana yakhe u-Enoki.
0104120090	Ku-Enoki kwazalwa u-Iradi, yena u-Iradi waba nguyise kaMehujayeli, uMehujayeli waba nguyise kaMethushayeli, uMethushayeli waba nguyise kaLameki.
010413004f	ULameki wathatha abafazi ababili, omunye ethiwa ngu-Ada, omunye ethiwa nguZila.
010414004f	U-Ada wazala uJabhali; owayenguyise walabo abahlala emathenteni befuye izifuyo.
0104150052	Ibizo lomfowabo lalinguJubhali; wayenguyise wabo bonke abatshaya umhubhe lechacho.
0104160091	UZila laye waba lendodana, uThubhali-Khayini, owayekhanda zonke inhlobo zezinto ngethusi langensimbi. Udadewabo kaThubhali-Khayini wayenguNahama.
010417009f	ULameki wathi kubomkakhe, “Ada loZila, ngilalelani; bafazi bakaLameki, zwanini amazwi ami. Sengibulele umuntu ngenxa yokungilimaza, ijaha ngoba lingihlasele.
010418005e	Nxa uKhayini ephindiselwa kasikhombisa ngakho uLameki amatshumi ayisikhombisa lesikhombisa.”
01041900b2	U-Adamu waphinda wembatha lomkakhe njalo, wazala indodana wayithi nguSethi, esithi, “UNkulunkulu usengiphile omunye umntwana endaweni ka-Abheli, njengoba uKhayini wambulala.”
01041a007a	USethi laye waba lendodana, wayibiza ngokuthi ngu-Enoshi. Ngalesosikhathi abantu baqala ukukhuleka bebiza ibizo likaThixo.
0105010070	Lo ngumlando olotshiweyo ngosendo luka-Adamu. Lapho uNkulunkulu edala umuntu, wamenza ngomfanekiso kaNkulunkulu.
0105020060	Wabadala, owesilisa lowesifazane wasebabusisa. Wababiza ngokuthi “Ngabantu” emva kokubadala.
010503007f	Kwathi u-Adamu esephile iminyaka elikhulu lamatshumi amathathu wathola indodana eyafana laye xathu; wayibiza ngokuthi nguSethi.
0105040073	USethi esezelwe, u-Adamu waphila iminyaka engamakhulu ayisificaminwembili njalo wayelamanye amadodana lamadodakazi.
010505005d	Isiyonke iminyaka ka-Adamu yayingamakhulu ayisificamunwemunye lamatshumi amathathu, wasesifa.
0105060049	Kwathi uSethi esephile iminyaka elikhulu lanhlanu waba nguyise ka-Enoshi.
0105070088	Ngemva kokuzala u-Enoshi uSethi waphila iminyaka engamakhulu ayisificaminwembili lesikhombisa, njalo wayelamanye amadodana lamadodakazi.
0105080064	Isiyonke iminyaka eyaphilwa nguSethi yaba ngamakhulu ayisificamunwemunye letshumi lambili, wasesifa.
0105090053	Kwathi u-Enoshi esephile iminyaka engamatshumi ayisificamunwemunye wazala uKhenani.
01050a0090	Ngemva kokuzala uKhenani, u-Enoshi waphila iminyaka engamakhulu ayisificaminwembili letshumi lanhlanu njalo waba lamanye amadodana lamadodakazi.
01050b0060	Isiyonke iminyaka, u-Enoshi waphila iminyaka engamakhulu ayisificamunwemunye lanhlanu, wasesifa.
01050c0050	Kwathi uKhenani esephile iminyaka engamatshumi ayisikhombisa wazala uMahalaleli.
01050d0098	Ngemva kokuba esezele uMahalaleli, uKhenani waphila iminyaka engamakhulu ayisificaminwembili lamatshumi amane njalo waba lamanye amadodana lamadodakazi.
01050e005e	Isiyonke iminyaka eyaphilwa nguKhenani yaba ngamakhulu ayisificamunwemunye letshumi, wasesifa.
01050f0057	Kwathi uMahalaleli esephile iminyaka engamatshumi ayisithupha lanhlanu, wazala uJaredi.
010510009c	Ngemva kokuzala kwakhe uJaredi, uMahalaleli waphila iminyaka engamakhulu ayisificaminwembili lamatshumi amathathu njalo waba lamanye amadodana lamadodakazi.
0105110080	Isiyonke iminyaka eyaphilwa nguMahalaleli yaba ngamakhulu ayisificaminwembili lamatshumi ayisificamunwemunye lanhlanu, wasesifa.
0105120052	UJaredi esephile iminyaka elikhulu lamatshumi ayisithupha lambili, wazala u-Enoki.
0105130086	Ngemva kokuzala kwakhe u-Enoki, uJaredi waphila okweminyaka engamakhulu ayisificaminwembili njalo waba lamanye amadodana lamadodakazi.
0105140073	Isiyonke iminyaka eyaphilwa nguJaredi yaba ngamakhulu ayisificamunwemunye lamatshumi ayisithupha lambili, wasesifa.
0105150056	Kwathi u-Enoki esephile iminyaka engamatshumi ayisithupha lanhlanu, wazala uMethuzela.
0105160085	Ngemva kokuzala uMethuzela, u-Enoki wahamba loNkulunkulu okweminyaka engamakhulu amathathu njalo waba lamanye amadodana lamadodakazi.
0105170060	Isiyonke iminyaka eyaphilwa ngu-Enoki yaba ngamakhulu amathathu lamatshumi ayisithupha lanhlanu.
0105180055	U-Enoki wahamba ngokuthembeka loNkulunkulu; wanyamalala, ngoba uNkulunkulu wamthatha.
010519006b	Kwathi uMethuzela esephile okweminyaka elikhulu lamatshumi ayisificaminwembili lesikhombisa wazala uLameki.
01051a00a0	Ngemva kokuzala uLameki, uMethuzela waphila iminyaka engamakhulu ayisikhombisa lamatshumi ayisificaminwembili lambili njalo waba lamanye amadodana lamadodakazi.
01051b0083	Isiyonke iminyaka eyaphilwa nguMethuzela yaba ngamakhulu ayisificamunwemunye lamatshumi ayisithupha layisificamunwemunye, wasesifa.
01051c005a	ULameki esephile iminyaka elikhulu lamatshumi ayisificaminwembili lambili wazala indodana.
01051d00a5	Wayitha ibizo wathi nguNowa, wathi, “Izasiduduza emsebenzini lasekutshikatshikeni kwethu okubuhlungu ngezandla zethu okubangwa ngumhlabathi uThixo awuthukileyo.”
01051e009b	Ngemva kokuzalwa kukaNowa, uLameki waphila iminyaka engamakhulu amahlanu lamatshumi ayisificamunwemunye lanhlanu njalo waba lamanye amadodana lamadodakazi.
01051f0074	Isiyonke iminyaka eyaphilwa nguLameki yaba ngamakhulu ayisikhombisa lamatshumi ayisikhombisa lesikhombisa, wasesifa.
0105200056	Ngemva kokuphila iminyaka engamakhulu amahlanu, uNowa wazala uShemu, loHamu loJafethi.
0106010041	Kwathi abantu sebesanda ngobunengi emhlabeni, bezala amadodakazi,
0106020065	amadodana kaNkulunkulu abona ukuthi amadodakazi abantu ayemahle, bazikhethela abawafunayo bawathatha.
01060300a5	UThixo wasesithi, “UMoya wami kawuyikuphikisana lomuntu ngokungapheliyo, ngoba yena ngowenyama nje; insuku zakhe zizakuba likhulu elilamatshumi amabili kuphela.”
01060400ab	AmaNefilimi ayesemhlabeni ngalezonsuku. Njalo langemva kwazo amadodana kaNkulunkulu angenela amadodakazi abantu azala lawo abantwana. Ayengamaqhawe ekadeni, amadoda odumo.
01060500a9	UThixo wabona ukuthi ukuxhwala kwabantu kwasekukukhulu kakhulu emhlabeni, njalo lokuthi zonke izinkanuko zeminakano yezinhliziyo zabo zaziyibubi kuphela sonke isikhathi.
0106060061	UThixo wadabuka ngokuthi wayemenzile umuntu emhlabeni, ngakho inhliziyo yakhe yagcwala ubuhlungu.
01060700c7	Ngakho uThixo wasesithi, “Umuntu engamdalayo ngizamkhucula emhlabeni, abantu lezinyamazana, lezinanakazana ezihuquzela emhlabathini, lezinyoni zemkhathini ngoba kuyangidabukisa ukuthi ngakwenza.”
010608002c	Kodwa uNowa wathola umusa emehlweni kaThixo.
0106090089	Lo ngumlando kaNowa. UNowa wayeyindoda elungileyo, engelasici phakathi kwabantu ngesikhathi aphila ngaso, njalo wabambelela kuNkulunkulu.
01060a0038	UNowa wayelamadodana amathathu: UShemu, uHamu loJafethi.
01060b004b	Umhlaba wawuxhwalile phambi kukaNkulunkulu njalo ugcwele ubudlwangudlwangu.
01060c007e	UNkulunkulu wabona ukuthi umhlaba wawusuxhwale njani, ngoba bonke abantu emhlabeni basebehamba ngezindlela zabo ezixhwalileyo.
01060d00ad	Ngakho uNkulunkulu wasesithi kuNowa, “Ngizabatshabalalisa bonke abantu, ngoba umhlaba ugcwele ubudlwangudlwangu ngenxa yabo. Ngeqiniso ngizababhubhisa bona kanye lomhlaba.
01060e0078	Ngakho zakhele umkhumbi ngezigodo zesihlahla sokubaza; wenze amakamelo kuwo, uwuhuqe ngenhlaka ngaphakathi langaphandle.
01060f00b5	Uzawakha kanje: Umkhumbi kawube ngamalunga ezingalo ezingamakhulu amathathu ubude, ububanzi bube zingalo ezingamatshumi amahlanu lezingalo ezingamatshumi amathathu ukuphakama kwawo.
01061000c9	Uwenzele uphahla, utshiye ngaphansi kophahla intuba eyingxenye yelunga lengalo ukufika phezulu. Ufake umnyango eceleni komkhumbi njalo wenze isigcawu saphansi, esaphakathi laphakathi kanye lesaphezulu.
010611008e	Ngizathumela uzamcolo emhlabeni ukubhubhisa konke okuphilayo ngaphansi kwezulu, zonke izidalwa eziphefumulayo. Yonke into emhlabeni izabhubha.
010612007e	Kodwa ngizakwenza isivumelwano lawe, njalo wena uzangena emkhunjini, wena lamadodana akho lomkakho kanye labomalukazana bakho.
010613006c	Kuzamele ulethe emkhunjini okubili kwezidalwa zonke eziphilayo, okuduna lokusikazi, uzigcine ziphila zilawe.
0106140096	Okubili kwemihlobo yonke yezinyoni, okwemihlobo yonke yezinyamazana lokwezinanakazana zonke ezihuquzela emhlabathini zizakuza kuwe zizogcinwa ziphila.
0106150054	Kumele uthathe yonke imihlobo yokudla okuzadliwa, ukulondolozele wena kanye lazo.”
0106160038	UNowa wakwenza konke njengokulaywa kwakhe nguNkulunkulu.
0107010078	UThixo wathi kuNowa, “Ngena emkhunjini, wena kanye lendlu yakho yonke, ngoba ngikufumane ulungile kulesi isizukulwane.
01070200b4	Ngena lezinyamazana eziyisikhombisa ezemihlobo yonke yezinyamazana ezihlanzekileyo, enduna lensikazi, lezimbili ezemihlobo yonke yezinyamazana ezingcolileyo, enduna lensikazi yayo,
0107030076	njalo eziyisikhombisa zezinyoni zemihlobo yonke, ezinduna lezinsikazi, ukuze kugcinakale uhlobo lwazo zonke emhlabeni.
01070400d5	Ngemva kwensuku eziyisikhombisa kusukela manje ngizathumela izulu emhlabeni okwensuku ezingamatshumi amane lobusuku obungamatshumi amane, njalo ngizatshabalalisa sonke isidalwa esiphilayo engasenzayo emhlabeni.”
010705002d	UNowa wakwenza konke lokho akulaywa nguThixo.
0107060055	UNowa wayeleminyaka engamakhulu ayisithupha yobudala ekufikeni kukazamcolo emhlabeni.
0107070070	UNowa lamadodana akhe, lomkakhe kanye labomalukazana bakhe bangena emkhunjini ukuze baphephe emanzini kazamcolo.
0107080073	Ngazimbili izinyamazana ezihlanzekileyo lezingcolileyo, ezezinyoni lezezinanakazana zonke ezihuquzela emhlabathini,
010709005a	ezinduna lezinsikazi zeza kuNowa zangena emkhunjini, njengokulaywa kukaNowa nguNkulunkulu.
01070a0046	Kwathi ngemva kwensuku eziyisikhombisa amanzi kazamcolo eza emhlabeni.
01070b00c1	Ngomnyaka wamakhulu ayisithupha wokuphila kukaNowa, ngosuku lwetshumi lesikhombisa lwenyanga yesibili, ngalolosuku yonke imithombo yolwandle olukhulu yadabuka, lamasango amanzi amazulu avuleka.
01070c0052	Izulu lana emhlabeni okwensuku ezingamatshumi amane lobusuku obungamatshumi amane.
01070d008e	Ngalolosuku uNowa lamadodana akhe, uShemu, uHamu loJafethi, kanye lomkakhe labomalukazana bakhe bamadodana akhe womathathu bangena emkhunjini.
01070e00e5	Babelazo zonke izinyamazana zeganga kusiya ngemihlobo yazo, zonke izifuyo kusiya ngemihlobo yazo, zonke izinanakazana ezihuquzela emhlabathini kusiya ngemihlobo yazo lazozonke izinyoni kusiya ngemihlobo yazo, yonke into elempiko.
01070f0053	Zeza kuNowa ngazimbili zonke izidalwa ezilomphefumulo wokuphila zangena emkhunjini.
01071000a1	Izinyamazana ezazingena zazingezinduna lezinsikazi ezezinto zonke eziphilayo, njengalokho uNkulunkulu ayekulaye uNowa. Emva kwalokho uThixo wasemvalela phakathi.
0107110095	Okwensuku ezingamatshumi amane impophoma zaphikelela zithululeka emhlabeni, kwathi ngokwanda kwamanzi awuphakamisa umkhumbi waba ngaphezulu komhlaba.
0107120048	Amanzi akhwela anda kakhulu emhlabeni, umkhumbi wandenda phezu kwamanzi.
0107130068	Akhwela kakhulu emhlabeni, kwathi zonke izintaba eziphakemeyo ngaphansi kwawo wonke amazulu zasibekelwa.
0107140054	Amanzi akhwela asibekela izintaba zatshona okudlula izingalo ezingamatshumi amabili.
010715009c	Zonke izinto eziphilayo ezihamba phezu komhlaba zafa, izinyoni, izifuyo, izinyamazana zeganga, zonke izidalwa ezazitshatshama phezu komhlaba, loluntu lonke.
010716004e	Yonke into ephefumula impilo ngamakhala ayo nxa isemhlabathini owomileyo yafa.
