0100000007	Geneză
01011a00fe	Şi Dumnezeu a spus: Să facem om după chipul nostru, după asemănarea noastră; şi ei să domnească peste peştii mării şi peste păsările cerului şi peste vite şi peste tot pământul şi peste fiecare târâtoare ce se târăşte pe pământ.
01011b008e	Astfel Dumnezeu a creat om după propriul său chip, după chipul lui Dumnezeu l-a creat, parte bărbătească şi parte femeiască i-a creat.
01011c00fb	Şi Dumnezeu i-a binecuvântat şi Dumnezeu le-a spus: Fiţi roditori şi înmulţiţi-vă şi umpleţi pământul şi supuneţi-l şi domniţi peste peştii mării şi peste păsările cerului şi peste fiecare vieţuitoare ce se mişcă pe pământ.
01011d00e4	Şi Dumnezeu a spus: Iată, v-am dat fiecare verdeaţă care aduce sămânţă, care este peste faţa întregului pământ, şi fiecare pom, în care este rodul unui pom care aduce sămânţă, aceasta vă va fi pentru mâncare.
01011e00c3	Şi fiecărei fiare a pământului şi fiecărei păsări a cerului şi fiecărei târâtoare pe pământ, în care este viaţă, le-am dat fiecare plantă verde pentru mâncare; şi aşa a fost.
01011f008e	Şi Dumnezeu a văzut fiecare lucru pe care l-a făcut şi, iată, totul era foarte bun. Şi a fost o seară şi o dimineaţă: ziua a şasea.
0102010049	Astfel au fost terminate cerurile şi pământul şi toată oştirea lor.
0102020097	Şi în ziua a şaptea Dumnezeu şi-a terminat lucrarea pe care o făcuse; şi în ziua a şaptea s-a odihnit de toată lucrarea lui pe care o făcuse.
01020300a2	Şi Dumnezeu a binecuvântat ziua a şaptea şi a sfinţit-o, pentru că în aceasta s-a odihnit de toată lucrarea sa, pe care Dumnezeu a creat-o şi a făcut-o.
0102040092	Acestea sunt generaţiile cerurilor şi ale pământului când au fost create, în ziua în care DOMNUL Dumnezeu a făcut pământul şi cerurile,
01020500f3	Şi fiecare verdeaţă a câmpului, înainte ca aceasta să fi fost în pământ, şi fiecare verdeaţă a câmpului înainte de a fi încolţit, pentru că DOMNUL Dumnezeu nu făcuse să plouă peste pământ şi nu era om să are pământul.
0102060049	Ci un abur se ridica din pământ şi uda toată suprafaţa pământului.
010207008b	Şi DOMNUL Dumnezeu l-a format pe om din ţărâna pământului şi i-a suflat în nări suflarea vieţii şi omul a devenit un suflet viu.
010208006b	Şi DOMNUL Dumnezeu a sădit o grădină înspre est, în Eden, şi acolo a pus pe omul pe care l-a format.
01020900df	Şi din pământ DOMNUL Dumnezeu a făcut să încolţească fiecare pom care este plăcut la vedere şi bun pentru mâncare şi pomul vieţii, de asemenea, în mijlocul grădinii şi pomul cunoaşterii binelui şi răului.
01020a0068	Şi un râu ieşea din Eden ca să ude grădina; şi de acolo se împărţea şi se făcea patru capete.
01020b0066	Numele întâiului este Pison: acesta este cel ce înconjoară întreaga ţară Havila, unde este aur.
01020c0049	Şi aurul acelei ţări este bun: acolo este bedelium şi piatra de onix.
01020d006c	Şi numele celui de al doilea râu este Ghihon: acesta este cel ce înconjoară întreaga ţară a Etiopiei.
01020e0083	Şi numele celui de al treilea râu este Hidechel: acesta este cel ce merge spre estul Asiriei. Şi al patrulea râu este Eufratul.
01020f0069	Şi DOMNUL Dumnezeu l-a luat pe om şi l-a pus în grădina Edenului, să o lucreze şi să o păzească.
0102100065	Şi DOMNUL Dumnezeu i-a poruncit omului, spunând: Din orice pom din grădină poţi mânca în voie,
010211007f	Dar din pomul cunoaşterii binelui şi răului să nu mănânci, căci în ziua în care vei mânca din el, vei muri negreşit.
010212006b	Şi DOMNUL Dumnezeu a spus: Nu este bine ca omul să fie singur; îi voi face un ajutor potrivit pentru el.
01021300d7	Şi din pământ DOMNUL Dumnezeu a format fiecare fiară a câmpului şi fiecare pasăre a cerului şi le-a adus la Adam să vadă cum le va numi; şi oricum a numit Adam fiecare fiinţa vie, acela a fost numele ei.
01021400a0	Şi Adam a dat nume tuturor vitelor şi tuturor păsărilor cerului şi fiecărei fiare a câmpului, dar pentru Adam nu s-a găsit un ajutor potrivit pentru el.
0102150091	Şi DOMNUL Dumnezeu a făcut să cadă un somn adânc peste Adam; şi Adam a dormit; şi a luat una din coastele lui şi a închis carnea la loc;
010216005f	Şi din coasta pe care DOMNUL Dumnezeu a luat-o de la om, a făcut o femeie şi a adus-o la om.
010217008c	Şi Adam a spus: Aceasta este acum os din oasele mele şi carne din carnea mea; ea se va chema femeie, pentru că a fost luată din bărbat.
0102180079	De aceea va lăsa un bărbat pe tatăl său şi pe mama sa şi se va lipi de soţia sa şi cei doi vor fi un singur trup.
0102190041	Şi ei erau amândoi goi, omul şi soţia sa, şi nu se ruşinau.
01030100b9	Acum şarpele era mai viclean decât orice fiară a câmpului pe care DOMNUL Dumnezeu a făcut-o. Şi a spus femeii: Oare a spus Dumnezeu: Să nu mâncaţi din fiecare pom al grădinii?
010302004c	Şi femeia a spus şarpelui: Putem să mâncăm din rodul pomilor grădinii,
0103030098	Dar despre rodul pomului care este în mijlocul grădinii, Dumnezeu a spus: Să nu mâncaţi din el, nici să nu îl atingeţi, ca nu cumva să muriţi.
0103040034	Şi şarpele a spus femeii: Nu veţi muri nicidecum;
01030500a4	Fiindcă Dumnezeu ştie că în ziua în care voi mâncaţi din acesta, atunci ochii voştri vor fi deschişi şi veţi fi ca dumnezei, cunoscând binele şi răul.
01030600f8	Şi când femeia a văzut că pomul era bun pentru mâncare şi că era plăcut ochilor şi un pom de dorit să facă pe cineva înţelept, ea a luat din rodul lui şi a mâncat şi a dat de asemenea soţului ei care era cu ea şi a mâncat şi el.
0103070087	Şi li s-au deschis ochii la amândoi şi au ştiut că erau goi; şi au cusut frunze de smochin laolaltă şi şi-au făcut şorţuri.
01030800ad	Şi au auzit vocea DOMNULUI Dumnezeu umblând în grădină în răcoarea zilei; şi Adam şi soţia lui s-au ascuns de prezența DOMNULUI Dumnezeu, printre pomii grădinii.
0103090040	Şi DOMNUL Dumnezeu l-a chemat pe Adam şi i-a spus: Unde eşti?
01030a0064	Iar el a spus: Am auzit vocea ta în grădină şi m-am temut, pentru că eram gol; şi m-am ascuns.
01030b006c	Iar el a spus: Cine ţi-a spus că erai gol? Ai mâncat din pomul din care ţi-am poruncit să nu mănânci?
01030c0063	Şi omul a spus: Femeia pe care mi-ai dat-o să fie cu mine, ea mi-a dat din pom şi eu am mâncat.
01030d007d	Şi DOMNUL Dumnezeu a spus femeii: Ce este aceasta ce ai făcut? Şi femeia a spus: Şarpele m-a înşelat şi eu am mâncat.
01030e00f2	Şi DOMNUL Dumnezeu a spus şarpelui: Pentru că ai făcut aceasta, eşti blestemat mai mult decât toate vitele şi mai mult decât fiecare fiară a câmpului; pe pântecele tău vei merge şi ţărână vei mânca toate zilele vieţii tale.
01030f0096	Şi voi pune duşmănie între tine şi femeie şi între sămânţa ta şi sămânţa ei; el îţi va zdrobi capul, și tu îi vei zdrobi călcâiul.
01031000b0	Femeii i-a spus: Mult îţi voi înmulţi tristeţea şi însărcinarea ta, cu tristeţe vei naşte copii şi dorinţa ta va fi spre soţul tău şi el va stăpâni peste tine.
0103110100	Şi lui Adam i-a spus: Pentru că ai dat ascultare vocii soţiei tale şi ai mâncat din pomul despre care ţi-am poruncit, zicând: Să nu mănânci din el, blestemat este pământul din cauza ta; în tristeţe vei mânca din el toate zilele vieţii tale;
0103120044	Spini şi ciulini îţi va aduce şi vei mânca verdeaţa câmpului;
01031300ad	În sudoarea feţei tale vei mânca pâine, până te vei întoarce în pământ, pentru că din el ai fost luat: căci ţărână eşti şi în ţărână te vei întoarce.
0103140056	Şi Adam i-a dat soţiei sale numele Eva, pentru că ea a fost mama tuturor celor vii.
0103150064	Lui Adam şi soţiei lui, de asemenea, DOMNUL Dumnezeu le-a făcut haine de piei şi i-a îmbrăcat.
01031600f5	Şi DOMNUL Dumnezeu a spus: Iată, omul a devenit ca unul dintre noi, să cunoască binele şi răul. Şi acum, ca nu cumva să îşi întindă mâna şi să ia de asemenea din pomul vieţii şi să mănânce şi să trăiască pentru totdeauna,
0103170066	De aceea DOMNUL Dumnezeu l-a trimis din grădina Edenului, ca să are pământul din care fusese luat.
01031800b8	Astfel l-a alungat afară pe om şi a aşezat la est de grădina Edenului nişte heruvimi şi o sabie arzând care se întorcea în fiecare parte, pentru a păzi calea pomului vieţii.
010401008d	Şi Adam a cunoscut-o pe Eva, soţia lui, şi ea a rămas însărcinată şi a născut pe Cain şi a spus: Am primit un bărbat de la DOMNUL.
010402006f	Şi ea a mai născut pe fratele lui, Abel. Şi Abel era păzitor de oi, dar Cain era lucrător al pământului.
010403005c	Şi s-a întâmplat că, după un timp, Cain a adus un dar DOMNULUI, din rodul pământului.
0104040096	Şi Abel, de asemenea, a adus din întâii născuţi ai turmei sale şi din grăsimea lor. Şi DOMNUL s-a uitat cu plăcere la Abel şi la darul său.
010405006f	Dar la Cain şi la darul său nu s-a uitat cu plăcere. Şi Cain s-a înfuriat tare şi i s-a posomorât faţa.
0104060058	Şi DOMNUL i-a spus lui Cain: De ce te-ai înfuriat? Şi de ce ţi s-a posomorât faţa?
01040700a0	Dacă faci bine, nu vei fi acceptat? Iar dacă nu faci bine, păcatul pândeşte la uşă. Şi dorinţa lui se ţine de tine, dar tu să stăpâneşti peste el.
0104080093	Iar Cain a vorbit cu Abel, fratele său, şi a fost aşa: când erau ei pe câmp, Cain s-a ridicat împotriva lui Abel, fratele său, şi l-a ucis.
0104090075	Şi DOMNUL i-a spus lui Cain: Unde este Abel, fratele tău? Iar el a spus: Nu ştiu; sunt eu păzitorul fratelui meu?
01040a005c	Iar el a spus: Ce ai făcut? Vocea sângelui fratelui tău strigă din pământ către mine.
01040b0075	Şi acum eşti blestemat de pe pământul care şi-a deschis gura să primească sângele fratelui tău din mâna ta.
01040c0081	Când lucrezi pământul, acesta nu îţi va mai da de aici înainte puterea lui; un fugar şi un rătăcitor vei fi pe pământ.
01040d0048	Şi Cain a spus DOMNULUI: Pedeapsa mea este mai mare decât o pot purta.
01040e00c8	Iată, tu m-ai alungat astăzi de pe faţa pământului şi de la faţa ta voi fi ascuns şi voi fi un fugar şi un rătăcitor pe pământ şi se va întâmpla că oricine mă găseşte mă va ucide.
01040f00b2	Şi DOMNUL i-a spus: De aceea, oricine ucide pe Cain, răzbunare va fi asupra lui de şapte ori. Şi DOMNUL a pus un semn pe Cain, ca nu cumva cineva, găsindu-l, să îl ucidă.
0104100054	Şi Cain a ieşit din prezența DOMNULUI şi a locuit în ţara Nod, la est de Eden.
01041100a8	Şi Cain a cunoscut-o pe soţia sa şi ea a rămas însărcinată şi a născut pe Enoh; şi a zidit o cetate şi a pus numele cetăţii după numele fiului său, Enoh.
0104120087	Şi lui Enoh i s-a născut Irad; şi Irad a născut pe Mehuiael; şi Mehuiael a născut pe Metuşael; şi Metuşael a născut pe Lameh.
0104130055	Şi Lameh şi-a luat două soţii: numele uneia era Ada şi numele celeilalte, Ţila.
0104140057	Şi Ada a născut pe Iabal: el a fost tatăl celor ce locuiesc în corturi şi au vite.
0104150071	Şi numele fratelui său era Iubal: el a fost tatăl tuturor celor ce mânuiesc harpa şi instrumentul de suflat.
0104160090	Şi Ţila, de asemenea, a născut pe Tubal-Cain, instructor al fiecărui meşteşugar în aramă şi fier; şi sora lui Tubal-Cain a fost Naama.
01041700cd	Şi Lameh a spus soţiilor lui, Ada şi Ţila: Auziţi vocea mea, voi soţiile lui Lameh, daţi ascultare la vorbirea mea: pentru că am ucis un om pentru rănirea mea şi un tânăr pentru vânătaia mea.
010418005e	Dacă va fi răzbunat Cain de şapte ori, cu adevărat, Lameh de şaptezeci şi şapte de ori.
01041900c8	Şi Adam a cunoscut-o din nou pe soţia lui şi ea a născut un fiu şi i-a pus numele Set: Pentru că Dumnezeu, a spus ea, mi-a rânduit o altă sămânţă în locul lui Abel, pe care l-a ucis Cain.
01041a007d	Şi lui Set, de asemenea, i s-a născut un fiu şi i-a pus numele Enos: atunci au început oamenii să cheme numele DOMNULUI.
010501007d	Aceasta este cartea generaţiilor lui Adam. În ziua în care Dumnezeu a creat om, l-a făcut după asemănarea lui Dumnezeu.
010502008b	Parte bărbătească şi parte femeiască i-a creat şi i-a binecuvântat şi le-a pus numele lor, Adam, în ziua în care au fost creaţi.
0105030084	Şi Adam a trăit o sută treizeci de ani şi a născut un fiu în propria lui asemănare, după chipul lui, şi i-a pus numele Set;
0105040068	Şi zilele lui Adam, după ce a născut pe Set, au fost de opt sute de ani; şi a născut fii şi fiice;
010505005a	Şi toate zilele pe care Adam le-a trăit au fost nouă sute treizeci de ani; şi a murit.
0105060039	Şi Set a trăit o sută cinci ani şi a născut pe Enos;
010507005f	Şi Set a trăit, după ce a născut pe Enos, opt sute şapte ani; şi a născut fii şi fiice;
0105080049	Şi toate zilele lui Set au fost nouă sute doisprezece ani; şi a murit.
010509003b	Şi Enos a trăit nouăzeci de ani şi a născut pe Cainan;
01050a0069	Şi Enos a trăit, după ce a născut pe Cainan, opt sute cincisprezece ani; şi a născut fii şi fiice;
01050b0044	Şi toate zilele lui Enos au fost nouă sute cinci ani; şi a murit.
01050c0042	Şi Cainan a trăit şaptezeci de ani şi a născut pe Mahalaleel;
01050d006e	Şi Cainan a trăit, după ce a născut pe Mahalaleel, opt sute patruzeci de ani; şi a născut fii şi fiice;
01050e0045	Şi toate zilele lui Cainan au fost nouă sute zece ani; şi a murit.
01050f0049	Şi Mahalaleel a trăit şaizeci şi cinci de ani şi a născut pe Iared;
010510006c	Şi Mahalaleel a trăit, după ce a născut pe Iared, opt sute treizeci de ani; şi a născut fii şi fiice;
0105110059	Şi toate zilele lui Mahalaleel au fost opt sute nouăzeci şi cinci de ani; şi a murit.
0105120049	Şi Iared a trăit o sută şaizeci şi doi de ani şi a născut pe Enoh;
010513005c	Şi Iared a trăit după ce a născut pe Enoh, opt sute de ani; şi a născut fii şi fiice;
0105140053	Şi toate zilele lui Iared au fost nouă sute şaizeci şi doi de ani; şi a murit.
0105150046	Şi Enoh a trăit şaizeci şi cinci de ani şi a născut pe Metusala;
010516006d	Şi Enoh a umblat cu Dumnezeu, după ce a născut pe Metusala, trei sute de ani; şi a născut fii şi fiice;
0105170046	Şi toate zilele lui Enoh au fost trei sute şaizeci şi cinci de ani;
010518004f	Şi Enoh a umblat cu Dumnezeu: şi nu a mai fost, pentru că Dumnezeu l-a luat.
010519004f	Şi Metusala a trăit o sută optzeci şi şapte de ani şi a născut pe Lameh;
01051a0074	Şi Metusala a trăit, după ce a născut pe Lameh, şapte sute optzeci şi doi de ani; şi a născut fii şi fiice;
01051b0058	Şi toate zilele lui Metusala au fost nouă sute şaizeci şi nouă de ani; şi a murit.
01051c0047	Şi Lameh a trăit o sută optzeci şi doi de ani şi a născut un fiu;
01051d00a9	Şi i-a pus numele Noe, spunând: Acesta ne va mângâia pentru lucrarea noastră şi osteneala mâinilor noastre, din cauza pământului pe care Dumnezeu l-a blestemat.
01051e0072	Şi Lameh a trăit, după ce a născut pe Noe, cinci sute nouăzeci şi cinci de ani; şi a născut fii şi fiice;
01051f0059	Şi toate zilele lui Lameh au fost şapte sute şaptezeci şi şapte de ani; şi a murit.
010520005a	Şi Noe a fost în vârstă de cinci sute de ani; şi Noe a născut pe Sem, Ham şi Iafet.
0106010071	Şi s-a întâmplat, pe când oamenii au început a se înmulţi pe faţa pământului şi li s-au născut fiice,
0106020078	Că fiii lui Dumnezeu au văzut că fiicele oamenilor erau frumoase şi şi-au luat soţii din toate pe care le-au ales.
010603009a	Şi DOMNUL a spus: Duhul meu nu se va lupta întotdeauna cu omul, căci el este de asemenea şi carne; totuşi zilele lui vor fi o sută douăzeci de ani.
01060400e4	Erau uriaşi pe pământ în acele zile şi, de asemenea, după aceea, când fiii lui Dumnezeu au intrat la fiicele oamenilor şi ele le-au născut copii, aceştia au fost războinicii, care au fost în vechime oameni de renume.
010605009d	Şi Dumnezeu a văzut că stricăciunea omului era mare pe pământ şi că fiecare imaginaţie a gândurilor inimii sale era numai facere de rău continuă.
0106060078	Şi aceasta l-a făcut pe DOMNUL să se pocăiască pentru că a făcut pe om pe pământ şi l-a mâhnit în inima lui.
01060700d2	Şi DOMNUL a spus: Voi nimici de pe faţa pământului pe omul pe care l-am creat, deopotrivă om şi animal şi târâtoarea şi păsările cerului, fiindcă aceasta mă face să mă pocăiesc că i-am făcut.
0106080028	Dar Noe a găsit har în ochii DOMNULUI.
0106090083	Acestea sunt generaţiile lui Noe: Noe a fost un bărbat drept şi desăvârşit în generaţiile lui şi Noe a umblat cu Dumnezeu.
01060a002f	Şi Noe a născut trei fii: Sem, Ham şi Iafet.
01060b0059	Şi pământul era corupt înaintea lui Dumnezeu şi pământul era umplut de violenţă.
01060c007e	Şi Dumnezeu a privit peste pământ şi, iată, acesta era corupt, pentru că toată făptura şi-a corupt calea pe pământ.
01060d00c3	Şi Dumnezeu i-a spus lui Noe: Sfârşitul a toată făptura a ajuns înaintea mea, fiindcă pământul este plin de violenţă din cauza lor; şi, iată, îi voi nimici împreună cu pământul.
01060e007b	Fă-ţi o arcă din lemn de gofer, să faci camere în arcă şi să o smoleşti pe dinăuntru şi pe dinafară cu smoală.
01060f00af	Şi acesta este modelul după care să o faci: Lungimea arcei să fie de trei sute de coţi, lăţimea acesteia cincizeci de coţi şi înălţimea acesteia treizeci de coţi.
01061000c1	Să faci arcei o fereastră, deasupra, să o termini la un cot de la acoperiş, şi uşa arcei să o aşezi în latura arcei; să faci arca cu trei nivele: cel de jos, al doilea şi al treilea.
01061100be	Şi iată, eu, chiar eu, voi aduce un potop de ape peste pământ, pentru a nimici toată făptura de sub cer, în care este suflarea vieţii şi fiecare lucru care este pe pământ va muri.
010612008a	Dar cu tine îmi voi întemeia legământul meu; şi să intri în arcă, tu şi fiii tăi şi soţia ta şi soţiile fiilor tăi cu tine.
01061300b6	Şi din fiecare vieţuitoare de orice făptură, două din fiecare soi, să aduci în arcă, pentru a le ţine în viaţă cu tine; să fie parte bărbătească şi parte femeiască.
01061400c0	Din păsări, după felul lor, şi din vite, după felul lor, şi din fiecare târâtoare a pământului, după felul ei, două din fiecare soi vor veni la tine, pentru a le ţine în viaţă.
010615007c	Şi ia la tine din toată mâncarea care se mănâncă şi strânge-o la tine şi va fi mâncare pentru tine şi pentru ele.
0106160056	Astfel a făcut Noe, conform cu tot ceea ce Dumnezeu i-a poruncit, astfel a făcut el.
0107010087	Şi DOMNUL i-a spus lui Noe: Intră tu şi toată casa ta în arcă, fiindcă te-am văzut drept înaintea mea în această generaţie.
01070200d2	Din fiecare fiară curată să iei la tine câte şapte perechi, partea bărbătească şi partea sa femeiască, şi din fiarele care nu sunt curate, câte două, partea bărbătească şi partea sa femeiască.
01070300ae	Din păsările cerului de asemenea câte şapte perechi, partea bărbătească şi partea femeiască, pentru a ţine sămânţă în viaţă peste faţa întregului pământ.
01070400bd	Căci încă şapte zile şi voi face să plouă peste pământ patruzeci de zile şi patruzeci de nopţi şi orice lucru viu pe care l-am făcut, îl voi distruge de pe faţa pământului.
010705003c	Şi Noe a făcut conform cu tot ceea ce DOMNUL i-a poruncit.
0107060056	Şi Noe era în vârstă de şase sute de ani când potopul apelor era peste pământ.
0107070071	Şi Noe a intrat şi fiii lui şi soţia lui şi soţiile fiilor lui cu el în arcă, din cauza apelor potopului.
0107080079	Din fiare curate şi din fiare care nu sunt curate şi din păsări şi din fiecare lucru care se târăşte pe pământ,
0107090080	Au intrat două câte două la Noe în arcă, partea bărbătească şi partea femeiască, aşa cum Dumnezeu a poruncit lui Noe.
01070a0054	Şi s-a întâmplat, după şapte zile, că apele potopului au venit peste pământ.
01070b00be	În anul şase sute al vieţii lui Noe, în luna a doua, în a şaptesprezecea zi a lunii, în acea zi au fost toate fântânile marelui adânc despicate şi ferestrele cerului s-au deschis.
01070c004b	Şi ploaia a fost peste pământ patruzeci de zile şi patruzeci de nopţi.
01070d0093	În chiar aceeaşi zi a intrat Noe şi Sem şi Ham şi Iafet, fiii lui Noe şi soţia lui Noe şi cele trei soţii ale fiilor săi cu ei în arcă;
01070e00d5	Ei şi fiecare fiară după felul ei şi toate vitele după felul lor şi fiecare târâtoare ce se târăşte pe pământ după felul ei şi fiecare pasăre după felul ei, fiecare păsărică din fiecare specie.
01070f0064	Şi au intrat la Noe în arcă două câte două din orice făptură în care este suflarea vieţii.
01071000a8	Şi cele ce au intrat, au intrat partea bărbătească şi partea femeiască din orice făptură, aşa cum Dumnezeu i-a poruncit lui; şi DOMNUL l-a închis înăuntru.
0107110096	Şi potopul a fost patruzeci de zile peste pământ şi apele au crescut şi au purtat sus arca şi aceasta a fost înălţată deasupra pământului.
010712006d	Şi apele se înălţau şi s-au înmulţit foarte mult asupra pământului, şi arca mergea pe faţa apelor.
0107130089	Şi apele s-au înălţat peste măsură asupra pământului şi toţi munţii înalţi, care erau sub întregul cer, au fost acoperiţi.
0107140059	Apele s-au înălţat cu cincisprezece coţi deasupra lor şi munţii au fost acoperiţi.
01071500a4	Şi a murit orice făptură care mişca pe pământ, deopotrivă pasăre şi vită şi fiară şi fiecare târâtoare care se târăşte pe pământ şi fiecare om;
0107160053	Toate în a căror nări era suflarea vieţii, toate câte erau pe uscat, au murit.
01071700f7	Şi orice lucru viu care a fost pe faţa pământului a fost nimicit, deopotrivă om şi vită şi târâtoarele şi pasărea cerului; şi acestea au fost nimicite de pe pământ; şi numai Noe a rămas în viaţă şi cei ce erau cu el în arcă.
0107180048	Şi apele s-au înălţat asupra pământului o sută cincizeci de zile.
01080100c1	Şi Dumnezeu şi-a adus aminte de Noe şi de fiecare vieţuitoare şi de toate vitele care erau cu el în arcă; şi Dumnezeu a făcut să treacă un vânt peste pământ şi apele s-au retras;
010802006d	De asemenea fântânile adâncului şi ferestrele cerului au fost închise şi ploaia din cer a fost oprită;
010803007e	Şi apele se retrăgeau de pe pământ continuu şi după ce s-au sfârşit o sută cincizeci de zile, apele s-au împuţinat.
010804005e	Şi arca s-a aşezat în a şaptea lună, în a şaptesprezecea zi a lunii, pe munţii Ararat.
0108050080	Şi apele au scăzut continuu până în luna a zecea: în luna a zecea, în prima zi a lunii, s-au văzut vârfurile munţilor.
0108060074	Şi s-a întâmplat, după ce s-au sfârşit patruzeci de zile, că Noe a deschis fereastra arcei pe care o făcuse,
0108070079	Şi a trimis înainte un corb, care a ieşit şi a mers încolo şi încoace, până când au secat apele de pe pământ.
0108080066	De asemenea a trimis de la el un porumbel, să vadă dacă apele s-au retras de pe faţa pământului;
01080900d6	Dar porumbelul nu a găsit odihnă pentru talpa piciorului său şi s-a întors la el în arcă, pentru că apele erau pe faţa întregului pământ; atunci a întins mâna şi l-a luat şi l-a dus la el în arcă.
01080a0051	Şi a mai stat alte şapte zile şi din nou a trimis porumbelul afară din arcă;
01080b00a6	Şi porumbelul a venit la el seara şi, iată, în ciocul lui era o frunză de măslin proaspăt ruptă, aşa că Noe a cunoscut că apele s-au retras de pe pământ.
01080c0057	Şi a mai stat alte şapte zile şi a trimis porumbelul, care nu s-a mai întors la el.
01080d00d3	Şi s-a întâmplat în anul şase sute şi unu, în prima lună, în prima zi a lunii, apele au secat de pe pământ; şi Noe a ridicat acoperişul arcei şi a privit şi, iată, faţa pământului era uscată.
01080e0056	Şi în a doua lună, în a douăzeci şi şaptea zi a lunii, pământul a fost uscat.
01080f002a	Şi Dumnezeu i-a vorbit lui Noe, spunând:
0108100051	Ieşi din arcă, tu şi soţia ta şi fiii tăi şi soţiile fiilor tăi cu tine.
0108110112	Scoate împreună cu tine fiecare vieţuitoare care este cu tine, a toată făptura, deopotrivă pasăre şi vită şi fiecare târâtoare care se târăşte pe pământ, ca acestea să nască abundent pe pământ şi să fie roditoare şi să se înmulţească pe pământ.
010812004b	Şi Noe a ieşit şi fiii lui şi soţia lui şi soţiile fiilor lui cu el;
010813008c	Fiecare fiară, fiecare târâtoare şi fiecare pasăre şi orice se târăşte pe pământ, după felurile lor, au ieşit afară din arcă.
0108140089	Şi Noe a zidit un altar DOMNULUI şi a luat din fiecare fiară curată şi din fiecare pasăre curată şi a adus ofrande arse pe altar.
0108150124	Şi DOMNUL a mirosit o aromă dulce şi DOMNUL a spus în inima sa: Nu voi mai blestema din nou pământul vreodată din cauza omului, pentru că imaginaţia inimii omului este facere de rău din tinereţea lui, nici nu voi mai lovi din nou vreodată fiecare vieţuitoare, aşa cum am făcut.
0108160085	Cât timp pământul rămâne, semănatul şi seceratul şi frig şi arşiţă şi vară şi iarnă şi zi şi noapte nu vor înceta.
010901007f	Şi Dumnezeu a binecuvântat pe Noe şi pe fiii lui şi le-a spus: Fiţi roditori şi înmulţiţi-vă şi umpleţi pământul.
