0100000008	Génesis
01020500ce	Y toda planta del campo antes que fuese en la tierra, y toda hierba del campo antes que germinase; porque Yahvé Dios aún no había hecho llover sobre la tierra, ni había hombre para que labrase el suelo,
010206004a	sino que subía de la tierra un vapor que regaba toda la faz de la tierra.
0102070082	Formó, pues, Yahvé Dios al hombre del polvo de la tierra, y sopló en su nariz aliento de vida, y fue el hombre un ser viviente.
0102080060	Y Yahvé Dios plantó un huerto en Edén, al oriente; y puso allí al hombre que había formado.
01020900be	Y Yahvé Dios hizo nacer de la tierra todo árbol delicioso a la vista y bueno para comer; también el árbol de la vida en medio del huerto, y el árbol del conocimiento del bien y del mal.
01020a0059	Y salía de Edén un río para regar el huerto, y de allí se repartía en cuatro brazos.
01020b005c	El nombre del uno era Pisón; éste es el que rodea toda la tierra de Havila, donde hay oro;
01020c0049	y el oro de aquella tierra es bueno; hay allí también bedelio y ónice.
01020d0052	El nombre del segundo río es Gihón; éste es el que rodea toda la tierra de Cus.
01020e0072	Y el nombre del tercer río es Hidekel; éste es el que va al oriente de Asiria. Y el cuarto río es el Éufrates.
01020f0066	Tomó, pues, Yahvé Dios al hombre y lo puso en el huerto de Edén, para que lo labrase y lo guardase.
0102100055	Y mandó Yahvé Dios al hombre, diciendo: “De todo árbol del huerto podrás comer;
0102110079	mas del árbol del conocimiento del bien y del mal no comerás; porque el día que de él comas, ciertamente morirás”.
0102120060	Y dijo Yahvé Dios: “No es bueno que el hombre esté solo; le haré ayuda idónea para él”.
01021300d8	Yahvé Dios formó, pues, de la tierra toda bestia del campo y toda ave de los cielos, y las trajo a Adán para que viese cómo las había de llamar; y lo que Adán llamó a los animales vivientes, ése es su nombre.
0102140085	Y puso Adán nombres a toda bestia y ave de los cielos y a todo ganado del campo; mas para Adán no se halló ayuda idónea para él.
010215008f	Entonces Yahvé Dios hizo caer sueño profundo sobre Adán, y mientras éste dormía, tomó una de sus costillas y cerró la carne en su lugar.
0102160058	Y de la costilla que Yahvé Dios tomó del hombre, hizo una mujer, y la trajo al hombre.
010217008c	Dijo entonces Adán: “Ésta es ahora hueso de mis huesos y carne de mi carne; ésta será llamada Varona, porque del varón fue tomada”.
0102180066	Por tanto, dejará el hombre a su padre y a su madre, y se unirá a su mujer, y serán una sola carne.
0102190041	Y estaban ambos desnudos, Adán y su mujer, y no se avergonzaban.
01030100c7	Pero la serpiente era astuta, más que todos los animales del campo que Yahvé Dios había hecho; la cual dijo a la mujer: “¿Conque Dios os ha dicho: ‘No comáis de todo árbol del huerto’?”
010302005c	Y la mujer respondió a la serpiente: “Del fruto de los árboles del huerto podemos comer;
0103030086	pero del fruto del árbol que está en medio del huerto dijo Dios: ‘No comeréis de él, ni lo tocaréis, para que no muráis’”.
0103040037	Entonces la serpiente dijo a la mujer: “No moriréis;
0103050086	sino que sabe Dios que el día que comáis de él, serán abiertos vuestros ojos, y seréis como Dios, conociendo el bien y el mal”.
01030600dc	Y vio la mujer que el árbol era bueno para comer, y que era agradable a los ojos, y árbol codiciable para alcanzar la sabiduría; y tomó de su fruto y comió; y dio también a su marido, el cual comió así como ella.
010307008b	Entonces fueron abiertos los ojos de ambos, y conocieron que estaban desnudos; entonces cosieron hojas de higuera y se hicieron delantales.
01030800b1	Y oyeron la voz de Yahvé Dios que se paseaba en el huerto, al aire del día; y el hombre y su mujer se escondieron de la presencia de Yahvé Dios entre los árboles del huerto.
0103090047	Mas Yahvé Dios llamó al hombre, y le dijo: “¿Dónde estás tú?”
01030a0064	Y él respondió: “Oí tu voz en el huerto, y tuve miedo, porque estaba desnudo; y me escondí”.
01030b0078	Y Dios le dijo: “¿Quién te enseñó que estabas desnudo? ¿Has comido del árbol de que yo te mandé no comieses?”
01030c0061	Y el hombre respondió: “La mujer que me diste por compañera me dio del árbol, y yo comí”.
01030d0081	Entonces Yahvé Dios dijo a la mujer: “¿Qué es lo que has hecho?” Y dijo la mujer: “La serpiente me engañó, y comí”.
01030e00d1	Y Yahvé Dios dijo a la serpiente: “Por cuanto esto hiciste, maldita serás entre todas las bestias y entre todos los animales del campo; sobre tu pecho andarás, y polvo comerás todos los días de tu vida.
01030f0095	Y pondré enemistad entre ti y la mujer, y entre tu simiente y la simiente suya; ésta te herirá en la cabeza, y tú le herirás en el calcañar”.
01031000b2	A la mujer dijo: “Multiplicaré en gran manera tus dolores en tus preñeces; con dolor darás a luz los hijos; y tu deseo será para tu marido, y él se enseñoreará de ti”.
01031100e7	Y al hombre dijo: “Por cuanto obedeciste a la voz de tu mujer, y comiste del árbol de que te mandé diciendo: ‘No comerás de él’; maldita será la tierra por tu causa; con dolor comerás de ella todos los días de tu vida.
010312003c	Espinos y cardos te producirá, y comerás hierba del campo.
0103130090	Con el sudor de tu rostro comerás el pan hasta que vuelvas a la tierra, porque de ella fuiste tomado; pues polvo eres, y al polvo volverás”.
010314005c	Y llamó Adán el nombre de su mujer, Eva, por cuanto ella era madre de todos los vivientes.
010315004c	Y Yahvé Dios hizo al hombre y a su mujer túnicas de pieles, y los vistió.
01031600c9	Y dijo Yahvé Dios: “He aquí el hombre es como uno de nosotros, sabiendo el bien y el mal; ahora, pues, que no alargue su mano, y tome también del árbol de la vida, y coma, y viva para siempre”.
0103170059	Y lo sacó Yahvé Dios del huerto de Edén, para que labrase la tierra de que fue tomado.
01031800b4	Echó, pues, fuera al hombre, y puso al oriente del huerto de Edén querubines y una espada encendida que se revolvía a todas partes, para guardar el camino del árbol de la vida.
010401007b	Conoció Adán a su mujer Eva, la cual concibió y dio a luz a Caín, y dijo: “He alcanzado varón de parte de Yahvé”.
0104020065	Después dio a luz a su hermano Abel. Y Abel fue pastor de ovejas, y Caín fue labrador de la tierra.
010403005c	Y aconteció andando el tiempo, que Caín trajo del fruto de la tierra una ofrenda a Yahvé.
0104040085	Y Abel trajo también de los primogénitos de sus ovejas, de lo más gordo de ellas. Y miró Yahvé con agrado a Abel y a su ofrenda;
0104050071	pero no miró con agrado a Caín y a la ofrenda suya. Y se ensañó Caín en gran manera, y decayó su semblante.
0104060062	Entonces Yahvé dijo a Caín: “¿Por qué te has ensañado, y por qué ha decaído tu semblante?
01040700a4	Si bien hicieres, ¿no serás enaltecido? y si no hicieres bien, el pecado está a la puerta; con todo esto, a ti será su deseo, y tú te enseñorearás de él”.
010408009a	Y dijo Caín a su hermano Abel: “Salgamos al campo”. Y aconteció que estando ellos en el campo, Caín se levantó contra su hermano Abel, y lo mató.
0104090081	Y Yahvé dijo a Caín: “¿Dónde está Abel tu hermano?” Y él respondió: “No sé. ¿Soy yo acaso guarda de mi hermano?”
01040a0062	Y él le dijo: “¿Qué has hecho? La voz de la sangre de tu hermano clama a mí desde la tierra.
01040b006f	Ahora, pues, maldito seas tú de la tierra, que abrió su boca para recibir de tu mano la sangre de tu hermano.
01040c0065	Cuando labres la tierra, no te volverá a dar su fuerza; errante y extranjero serás en la tierra”.
01040d0042	Y dijo Caín a Yahvé: “Grande es mi castigo para ser soportado.
01040e00b3	He aquí me echas hoy de la faz de la tierra, y de tu presencia me esconderé, y seré errante y extranjero en la tierra; y sucederá que cualquiera que me hallare, me matará”.
01040f00bc	Y le respondió Yahvé: “Ciertamente cualquiera que matare a Caín, siete veces será castigado”. Entonces Yahvé puso señal en Caín, para que no lo matase cualquiera que le hallara.
010410005a	Salió, pues, Caín de delante de Yahvé, y habitó en tierra de Nod, al oriente de Edén.
0104110096	Y conoció Caín a su mujer, la cual concibió y dio a luz a Enoc; y edificó una ciudad, y llamó el nombre de la ciudad del nombre de su hijo, Enoc.
0104120071	Y a Enoc nació Irad, e Irad engendró a Mehujael, y Mehujael engendró a Matusael, y Matusael engendró a Lamec.
010413005e	Y tomó Lamec para sí dos mujeres; el nombre de la una fue Ada, y el nombre de la otra, Zila.
010414005a	Y Ada dio a luz a Jabal, el cual fue padre de los que habitan en tiendas y crían ganados.
010415005c	Y el nombre de su hermano fue Jubal, el cual fue padre de todos los que tocan arpa y flauta.
010416007d	Y Zila también dio a luz a Tubal Caín, artífice de toda obra de bronce y de hierro; y la hermana de Tubal Caín fue Naama.
0104170098	Y dijo Lamec a sus mujeres: “Ada y Zila, oíd mi voz; mujeres de Lamec, escuchad mi dicho: que un varón maté por mi herida, y un joven por mi golpe.
0104180054	Si siete veces será vengado Caín, Lamec en verdad setenta veces siete lo será”.
01041900c0	Y conoció de nuevo Adán a su mujer, la cual dio a luz un hijo, y llamó su nombre Set: “Porque Dios —dijo ella— me ha sustituido otra simiente en lugar de Abel, a quien mató Caín”.
01041a007c	Y a Set también le nació un hijo, y llamó su nombre Enós. Entonces los hombres comenzaron a invocar el nombre de Yahvé.
0105010074	Éste es el libro de las generaciones de Adán. El día en que creó Dios al hombre, a la semejanza de Dios lo hizo.
010502006a	Varón y mujer los creó; y los bendijo, y llamó el nombre de ellos Adán, el día en que fueron creados.
0105030076	Y vivió Adán ciento treinta años, y engendró un hijo a su semejanza, conforme a su imagen, y llamó su nombre Set.
0105040067	Y fueron los días de Adán después que engendró a Set, ochocientos años, y engendró hijos e hijas.
010505004e	Y fueron todos los días que vivió Adán novecientos treinta años; y murió.
0105060033	Vivió Set ciento cinco años, y engendró a Enós.
0105070061	Y vivió Set, después que engendró a Enós, ochocientos siete años, y engendró hijos e hijas.
0105080041	Y fueron todos los días de Set novecientos doce años; y murió.
0105090032	Vivió Enós noventa años, y engendró a Cainán.
01050a0066	Y vivió Enós, después que engendró a Cainán, ochocientos quince años, y engendró hijos e hijas.
01050b0044	Y fueron todos los días de Enós novecientos cinco años; y murió.
01050c0037	Vivió Cainán setenta años, y engendró a Mahalaleel.
01050d006d	Y vivió Cainán, después que engendró a Mahalaleel, ochocientos cuarenta años, y engendró hijos e hijas.
01050e0045	Y fueron todos los días de Cainán novecientos diez años; y murió.
01050f003d	Vivió Mahalaleel sesenta y cinco años, y engendró a Jared.
010510006a	Y vivió Mahalaleel, después que engendró a Jared, ochocientos treinta años, y engendró hijos e hijas.
0105110053	Y fueron todos los días de Mahalaleel ochocientos noventa y cinco años; y murió.
010512003c	Vivió Jared ciento sesenta y dos años, y engendró a Enoc.
010513005c	Y vivió Jared, después que engendró a Enoc, ochocientos años, y engendró hijos e hijas.
010514004c	Y fueron todos los días de Jared novecientos sesenta y dos años; y murió.
010515003c	Vivió Enoc sesenta y cinco años, y engendró a Matusalén.
010516006b	Y caminó Enoc con Dios, después que engendró a Matusalén, trescientos años, y engendró hijos e hijas.
0105170043	Y fueron todos los días de Enoc trescientos sesenta y cinco años.
0105180044	Caminó, pues, Enoc con Dios, y desapareció, porque le llevó Dios.
0105190044	Vivió Matusalén ciento ochenta y siete años, y engendró a Lamec.
01051a0070	Y vivió Matusalén, después que engendró a Lamec, setecientos ochenta y dos años, y engendró hijos e hijas.
01051b0058	Fueron, pues, todos los días de Matusalén novecientos sesenta y nueve años; y murió.
01051c003d	Vivió Lamec ciento ochenta y dos años, y engendró un hijo;
01051d0098	y llamó su nombre Noé, diciendo: “Éste nos aliviará de nuestras obras y del trabajo de nuestras manos, a causa de la tierra que Yahvé maldijo”.
01051e006b	Y vivió Lamec, después que engendró a Noé, quinientos noventa y cinco años, y engendró hijos e hijas.
01051f004e	Y fueron todos los días de Lamec setecientos setenta y siete años; y murió.
0105200044	Y siendo Noé de quinientos años, engendró a Sem, a Cam y a Jafet.
010601006d	Aconteció que cuando comenzaron los hombres a multiplicarse sobre la faz de la tierra, y les nacieron hijas,
0106020076	viendo los hijos de Dios que las hijas de los hombres eran hermosas, tomaron para sí mujeres, escogiendo entre todas.
0106030097	Y dijo Yahvé: “No contenderá mi espíritu con el hombre para siempre, porque ciertamente él es carne; mas serán sus días ciento veinte años”.
01060400ea	Había Nefilim en la tierra en aquellos días, y también después que se llegaron los hijos de Dios a las hijas de los hombres, y les engendraron hijos. Éstos fueron los valientes que desde la antigüedad fueron varones de renombre.
01060500a1	Y vio Yahvé que la maldad de los hombres era mucha en la tierra, y que todo designio de los pensamientos del corazón de ellos era de continuo solamente el mal.
0106060057	Y se arrepintió Yahvé de haber hecho hombre en la tierra, y le dolió en su corazón.
01060700c4	Y dijo Yahvé: “Raeré de sobre la faz de la tierra a los hombres que he creado, desde el hombre hasta la bestia, y hasta el reptil y las aves del cielo; pues me arrepiento de haberlos hecho”.
0106080030	Pero Noé halló gracia ante los ojos de Yahvé.
0106090071	Éstas son las generaciones de Noé: Noé, varón justo, era perfecto en sus generaciones; con Dios caminó Noé.
01060a0034	Y engendró Noé tres hijos: a Sem, a Cam y a Jafet.
01060b0051	Y se corrompió la tierra delante de Dios, y estaba la tierra llena de violencia.
01060c0078	Y miró Dios la tierra, y he aquí que estaba corrompida; porque toda carne había corrompido su camino sobre la tierra.
01060d00a7	Dijo, pues, Dios a Noé: “He decidido el fin de todo ser, porque la tierra está llena de violencia a causa de ellos; y he aquí que yo los destruiré con la tierra.
01060e0072	Hazte un arca de madera de gofer; harás aposentos en el arca, y la calafatearás con brea por dentro y por fuera.
01060f0083	Y de esta manera la harás: de trescientos codos la longitud del arca, de cincuenta codos su anchura, y de treinta codos su altura.
01061000ad	Una ventana harás al arca, y la acabarás a un codo de elevación por la parte de arriba; y pondrás la puerta del arca a su lado; y le harás piso bajo, segundo y tercero.
01061100b0	Y yo, he aquí que yo traigo un diluvio de aguas sobre la tierra, para destruir toda carne en que haya espíritu de vida debajo del cielo; todo lo que hay en la tierra morirá.
0106120077	Mas estableceré mi pacto contigo, y entrarás en el arca tú, tus hijos, tu mujer, y las mujeres de tus hijos contigo.
0106130083	Y de todo lo que vive, de toda carne, dos de cada especie meterás en el arca, para que tengan vida contigo; macho y hembra serán.
01061400ae	De las aves según su especie, y de las bestias según su especie, de todo reptil de la tierra según su especie, dos de cada especie entrarán contigo, para que tengan vida.
010615006b	Y toma contigo de todo alimento que se come, y almacénalo, y servirá de sustento para ti y para ellos”.
0106160040	E hizo Noé conforme a todo lo que Dios le mandó; así lo hizo.
0107010081	Dijo luego Yahvé a Noé: “Entrad tú y toda tu casa en el arca; porque a ti he visto justo delante de mí en esta generación.
0107020087	De todo animal limpio tomad siete parejas, macho y su hembra; mas de los animales que no son limpios, una pareja, el macho y su hembra.
0107030081	También de las aves de los cielos, siete parejas, macho y hembra, para conservar viva la especie sobre la faz de toda la tierra.
01070400a9	Porque pasados aún siete días, yo haré llover sobre la tierra cuarenta días y cuarenta noches; y raeré de sobre la faz de la tierra a todo ser viviente que hice”.
0107050034	E hizo Noé conforme a todo lo que le mandó Yahvé.
0107060052	Era Noé de seiscientos años cuando el diluvio de las aguas vino sobre la tierra.
0107070076	Y por causa de las aguas del diluvio entró Noé en el arca, y con él sus hijos, su mujer y las mujeres de sus hijos.
010708007c	De los animales limpios, y de los animales que no eran limpios, y de las aves, y de todo lo que se arrastra sobre la tierra,
0107090054	de dos en dos entraron con Noé en el arca, macho y hembra, como mandó Dios a Noé.
01070a004f	Y sucedió que al séptimo día las aguas del diluvio vinieron sobre la tierra.
01070b00c6	El año seiscientos de la vida de Noé, en el mes segundo, a los diecisiete días del mes, aquel día fueron rotas todas las fuentes del grande abismo, y las cataratas de los cielos fueron abiertas,
01070c003f	y hubo lluvia sobre la tierra cuarenta días y cuarenta noches.
01070d008d	En aquel mismo día entraron Noé, y Sem, Cam y Jafet hijos de Noé, la mujer de Noé, y las tres mujeres de sus hijos con ellos, en el arca;
01070e00d9	ellos, y todos los animales silvestres según su especie, y todo ganado según su especie, y todo reptil que se arrastra sobre la tierra según su especie, y toda ave según su especie, y todo pájaro de toda especie.
01070f005e	Vinieron, pues, con Noé al arca, de dos en dos de toda carne en que había espíritu de vida.
0107100075	Y los que vinieron, macho y hembra de toda carne vinieron, como le había mandado Dios; y Yahvé le cerró la puerta.
0107110077	Y fue el diluvio cuarenta días sobre la tierra; y las aguas crecieron, y alzaron el arca, y se elevó sobre la tierra.
0107120079	Y prevalecieron las aguas y crecieron en gran manera sobre la tierra; y flotaba el arca sobre la superficie de las aguas.
0107130087	Y las aguas subieron mucho en extremo sobre la tierra; y todos los montes altos que había debajo de todos los cielos fueron cubiertos.
0107140054	Quince codos más alto subieron las aguas, después que los montes fueron cubiertos.
010715009d	Y murió toda carne que se mueve sobre la tierra, así de aves como de ganados y de bestias, y de todo reptil que se arrastra sobre la tierra, y todo hombre.
0107160068	Todo lo que tenía aliento de espíritu de vida en sus narices, todo lo que había en la tierra, murió.
01071700e1	Así fue raído todo ser que vivía sobre la faz de la tierra, desde el hombre hasta la bestia, los reptiles, y las aves del cielo; y fueron raídos de la tierra, y quedó solamente Noé, y los que con él estaban en el arca.
0107180041	Y prevalecieron las aguas sobre la tierra ciento cincuenta días.
01080100ad	Y se acordó Dios de Noé, y de todos los animales, y de todo el ganado que estaba con él en el arca; e hizo pasar Dios un viento sobre la tierra, y disminuyeron las aguas.
010802006b	Y se cerraron las fuentes del abismo y las cataratas de los cielos; y la lluvia de los cielos fue detenida.
0108030076	Y las aguas decayeron de sobre la tierra yendo y volviendo; y decrecieron las aguas al cabo de ciento cincuenta días.
0108040061	Y reposó el arca en el mes séptimo, a los diecisiete días del mes, sobre los montes de Ararat.
0108050080	Y las aguas fueron decreciendo hasta el mes décimo; en el décimo, al primero del mes, se descubrieron las cimas de los montes.
0108060058	Sucedió que al cabo de cuarenta días abrió Noé la ventana del arca que había hecho,
010807006e	y envió un cuervo, el cual salió, y estuvo yendo y volviendo hasta que las aguas se secaron sobre la tierra.
010808006a	Envió también de sí una paloma, para ver si las aguas se habían retirado de sobre la faz de la tierra.
01080900dd	Y no halló la paloma donde sentar la planta de su pie, y volvió a él al arca, porque las aguas estaban aún sobre la faz de toda la tierra. Entonces él extendió su mano, y tomándola, la introdujo consigo en el arca.
01080a004c	Esperó aún otros siete días, y volvió a enviar la paloma fuera del arca.
01080b00b1	Y la paloma volvió a él a la hora de la tarde; y he aquí que traía una hoja de olivo verde en el pico; y entendió Noé que las aguas se habían retirado de sobre la tierra.
01080c0054	Y esperó aún otros siete días, y envió la paloma, la cual no volvió a él más.
01080d00db	Y sucedió que en el año seiscientos uno de Noé, en el mes primero, al primero del mes, las aguas se secaron sobre la tierra; y quitó Noé la cubierta del arca y miró, y he aquí que la faz de la tierra estaba seca.
01080e0049	Y en el mes segundo, a los veintisiete días del mes, se secó la tierra.
01080f0026	Entonces habló Dios a Noé, diciendo:
0108100067	“Salid del arca tú, y vuestra mujer, y vuestros hijos, y las mujeres de vuestros hijos con vosotros.
01081100e3	Todos los animales que están con vosotros de toda carne, de aves y de bestias y de todo reptil que se arrastra sobre la tierra, sacadlos con vosotros; y vayan por la tierra, y fructifiquen y multiplíquense sobre la tierra”.
0108120050	Entonces salió Noé, y sus hijos, su mujer, y las mujeres de sus hijos con él.
010813007a	Todos los animales, y todo reptil y toda ave, todo lo que se mueve sobre la tierra según sus especies, salieron del arca.
0108140079	Y edificó Noé un altar a Yahvé, y tomó de todo animal limpio y de toda ave limpia, y ofreció holocausto en el altar.
01081500fe	Y percibió Yahvé olor grato; y dijo Yahvé en su corazón: “No volveré más a maldecir la tierra por causa del hombre; porque el intento del corazón del hombre es malo desde su juventud; ni volveré más a destruir todo ser viviente, como he hecho.
010816008a	Mientras la tierra permanezca, no cesarán la sementera y la siega, el frío y el calor, el verano y el invierno, y el día y la noche”.
0109010061	Bendijo Dios a Noé y a sus hijos, y les dijo: “Fructificad y multiplicaos, y llenad la tierra.
01090200cf	Vuestro temor y vuestro pavor estarán sobre todo animal de la tierra, y sobre toda ave de los cielos, en todo lo que se mueva sobre la tierra, y en todos los peces del mar; en vuestras manos son entregados.
0109030076	Todo lo que se mueve y vive os será para mantenimiento: así como las legumbres y hierbas verdes, os lo he dado todo.
0109040037	Pero carne con su vida, que es su sangre, no comeréis.
01090500b3	Porque ciertamente demandaré la sangre de vuestras vidas; de mano de toda bestia la demandaré, y de mano del hombre; de mano del varón su hermano demandaré la vida del hombre.
0109060077	El que derramare sangre de hombre, por el hombre su sangre será derramada; porque a imagen de Dios es hecho el hombre.
0109070069	Mas vosotros fructificad y multiplicaos; procread abundantemente en la tierra, y multiplicaos en ella”.
0109080035	Y habló Dios a Noé y a sus hijos con él, diciendo:
0109090061	“He aquí que yo establezco mi pacto con vosotros, y con vuestra simiente después de vosotros;
01090a00c0	y con todo ser viviente que está con vosotros, de aves, de animales y de toda bestia de la tierra que está con vosotros, desde todos los que salieron del arca hasta todo animal de la tierra.
01090b0091	Estableceré mi pacto con vosotros, y no exterminaré ya más toda carne con aguas de diluvio, ni habrá más diluvio para destruir la tierra”.
01090c0095	Y dijo Dios: “Ésta es la señal del pacto que yo establezco entre mí y vosotros y todo ser viviente que está con vosotros, por siglos perpetuos:
01090d0059	Mi arco he puesto en las nubes, el cual será por señal del pacto entre mí y la tierra.
01090e0066	Y sucederá que cuando haga venir nubes sobre la tierra, se dejará ver entonces mi arco en las nubes.
01090f009a	Y me acordaré del pacto mío, que hay entre mí y vosotros y todo ser viviente de toda carne; y no habrá más aguas de diluvio para destruir toda carne.
0109100095	Estará el arco en las nubes, y verlo he para acordarme del pacto perpetuo entre Dios y todo ser viviente, con toda carne que hay sobre la tierra”.
0109110080	Dijo, pues, Dios a Noé: “Ésta es la señal del pacto que he establecido entre mí y toda carne que está sobre la tierra”.
0109120060	Y los hijos de Noé que salieron del arca fueron Sem, Cam y Jafet; y Cam es el padre de Canaán.
0109130047	Éstos tres son los hijos de Noé, y de ellos se pobló toda la tierra.
010914003f	Después comenzó Noé a labrar la tierra, y plantó una viña;
010915004e	y bebió del vino, y se embriagó, y estaba descubierto en medio de su tienda.
0109160065	Y Cam, padre de Canaán, vio la desnudez de su padre, y lo dijo a sus dos hermanos que estaban fuera.
01091700d1	Entonces Sem y Jafet tomaron la ropa, y la pusieron sobre sus propios hombros, y andando hacia atrás, cubrieron la desnudez de su padre, teniendo vueltos sus rostros, y así no vieron la desnudez de su padre.
0109180053	Y despertó Noé de su vino, y supo lo que había hecho con él su hijo más joven,
010919004a	y dijo: “Maldito sea Canaán; siervo de siervos será a sus hermanos”.
01091a0049	Dijo más: “Bendito sea Yahvé el Dios de Sem, y sea Canaán su siervo.
01091b0055	Engrandezca Dios a Jafet, y habite en las tiendas de Sem, y sea Canaán su siervo”.
01091c003f	Y vivió Noé después del diluvio trescientos cincuenta años.
01091d0047	Y fueron todos los días de Noé novecientos cincuenta años; y murió.
010a010075	Éstas son las generaciones de los hijos de Noé: Sem, Cam y Jafet, a los cuales nacieron hijos después del diluvio.
010a020046	Los hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras.
010a03002d	Los hijos de Gomer: Askenaz, Rifat y Togarma.
010a040035	Los hijos de Javán: Elisa, Tarsis, Quitim y Dodanim.
010a050085	De éstos se poblaron las costas de las naciones en sus tierras, cada cual según su lengua, conforme a sus familias en sus naciones.
010a06002e	Los hijos de Cam: Cus, Mizraim, Fut y Canaán.
010a07005d	Los hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca. Y los hijos de Raama: Sabá y Dedán.
010a08004d	Y Cus engendró a Nimrod, quien llegó a ser el primer poderoso en la tierra.
010a09007e	Éste fue vigoroso cazador delante de Yahvé; por lo cual se dice: “Así como Nimrod, vigoroso cazador delante de Yahvé”.
010a0a004f	Y fue el comienzo de su reino Babel, Erec, Acad y Calne, en la tierra de Sinar.
010a0b0045	De esta tierra salió para Asiria, y edificó Nínive, Rehobot, Cala,
010a0c0038	y Resén entre Nínive y Cala, la cual es ciudad grande.
010a0d003b	Mizraim engendró a Ludim, a Anamim, a Lehabim, a Naftuhim,
010a0e0046	a Patrusim, a Casluhim, de donde salieron los filisteos, y a Caftorim.
010a0f0034	Y Canaán engendró a Sidón su primogénito, a Het,
010a100024	al jebuseo, al amorreo, al gergeseo,
010a11001e	al heveo, al araceo, al sineo,
