2800000005	Matei
28020900b9	Ei, după ce au auzit pe rege, au plecat; și iată că steaua pe care o văzuseră la răsărit mergea înaintea lor, până ce a venit și s-a oprit deasupra locului unde era pruncul.
28020a003f	Când au văzut steaua, s-au bucurat cu bucurie nespus de mare.
28020b00af	Au intrat în casă și au văzut Pruncul cu Maria, mama Lui, și au căzut jos și I s-au închinat. Deschizându-și comorile, i-au oferit daruri: aur, tămâie și smirnă.
28020c0062	Fiind avertizați în vis să nu se întoarcă la Irod, s-au întors în țara lor pe un alt drum.
28020d00fc	După ce au plecat, iată că un înger al Domnului s-a arătat în vis lui Iosif și i-a zis: “Scoală-te, ia Pruncul și pe mama lui și fugi în Egipt și rămâi acolo până ce-ți voi spune, căci Irod va căuta Pruncul ca să-l nimicească.”
28020e004b	S-a sculat, a luat noaptea pe prunc și pe mama lui și a plecat în Egipt,
28020f0098	și a stat acolo până la moartea lui Irod, ca să se împlinească ce spusese Domnul prin proorocul care zicea: “Din Egipt am chemat pe fiul Meu”.
28021000fe	Atunci Irod, văzând că este batjocorit de magi, s-a mâniat foarte tare și a trimis să ucidă pe toți copiii de parte bărbătească din Betleem și din toată ținutul din jur, de la doi ani în jos, după timpul exact pe care-l aflase de la magi.
280211004f	Atunci s-a împlinit ceea ce fusese spus prin profetul Ieremia, care zicea așa
2802120098	“S-a auzit o voce în Rama, jale, plâns și jale mare, Rahela plângând pentru copiii ei; ea nu ar fi fost consolată, pentru că ei nu mai sunt.”
2802130068	După ce a murit Irod, iată că un înger al Domnului s-a arătat în vis lui Iosif în Egipt, zicând:
280214007e	“Scoală-te, ia Pruncul și pe mama lui și du-te în țara lui Israel, căci cei care căutau viața Pruncului au murit.”
2802150050	Și s-a sculat, a luat pruncul și pe mama lui și a venit în țara lui Israel.
28021600a6	Dar, când a auzit că Arhelau domnea în Iudeea în locul tatălui său, Irod, s-a temut să meargă acolo. Fiind avertizat în vis, s-a retras în regiunea Galileii
280217008f	și a venit și a locuit într-o cetate numită Nazaret, ca să se împlinească ceea ce s-a spus prin profeți, că el va fi numit Nazarinean.
280301005a	În zilele acelea, a venit Ioan Botezătorul și propovăduia în pustiul Iudeii, zicând:
2803020040	“Pocăiți-vă, căci Împărăția cerurilor este aproape!”
28030300ae	Căci acesta este cel despre care s-a vorbit prin profetul Isaia, care a spus “Glasul cuiva care strigă în pustiu, pregătiți calea Domnului! Fă-i cărările drepte!”
2803040071	Ioan purta haine de păr de cămilă și o curea de piele la brâu. Hrana lui era lăcuste și miere sălbatică.
280305006a	Atunci a ieșit la el popor din Ierusalim, din toată Iudeea și din toată regiunea din jurul Iordanului.
2803060040	Au fost botezați de el în Iordan, mărturisindu-și păcatele.
28030700a6	Dar când a văzut pe mulți dintre farisei și saduchei venind la botezul Său, le-a zis: “Urmași ai viperelor, cine v-a avertizat să fugiți de mânia viitoare?
2803080030	De aceea, produceți roade demne de pocăință!
280309009b	Nu vă gândiți în sinea voastră: “Îl avem ca tată pe Avraam!”, căci vă spun că Dumnezeu poate să-i ridice lui Avraam copii din aceste pietre.
28030a0083	Chiar acum securea stă la rădăcina copacilor. De aceea, orice copac care nu produce fructe bune este tăiat și aruncat în foc.
28030b00b2	Eu vă botez în apă pentru pocăință, dar Cel ce vine după mine este mai puternic decât mine, și nu sunt vrednic să port sandalele lui. El vă va boteza în Duhul Sfânt.
28030c00a5	Furca lui de vânat este în mâna lui și își va curăța temeinic aria de treierat. Își va strânge grâul în hambar, dar neghina o va arde cu foc nestins.”
28030d004e	Atunci Isus a venit din Galileea la Iordan, la Ioan, ca să fie botezat de el.
28030e006e	Dar Ioan ar fi vrut să-L împiedice, zicând: “Eu am nevoie să fiu botezat de tine, și tu vii la mine?”
28030f007e	Isus, răspunzând, i-a zis: “Îngăduie acum, căci așa se cuvine să împlinim toată dreptatea.” Atunci el i-a permis.
28031000a1	Isus, după ce a fost botezat, s-a suit din apă și iată că i s-au deschis cerurile. A văzut Duhul lui Dumnezeu coborând ca un porumbel și venind peste el.
2803110069	Și iată, un glas din ceruri a zis: “Acesta este Fiul Meu preaiubit, cu care sunt foarte mulțumit.”
2804010049	Isus a fost dus de Duhul Sfânt în pustiu, ca să fie ispitit de diavol.
2804020058	După ce a postit patruzeci de zile și patruzeci de nopți, I-a fost foame după aceea.
2804030080	Ispititorul a venit și i-a zis: “Dacă ești Fiul lui Dumnezeu, poruncește ca aceste pietre să se transforme în pâine”.
2804040081	Iar el a răspuns: “Este scris: “Nu numai cu pâine va trăi omul, ci cu orice cuvânt care iese din gura lui Dumnezeu.””
280405004e	Atunci diavolul l-a dus în cetatea sfântă. L-a așezat pe vârful templului
28040600e0	și i-a zis: “Dacă ești Fiul lui Dumnezeu, aruncă-te jos, căci este scris, “El va porunci îngerilor Săi cu privire la voi” și, 'Pe mâinile lor te vor purta, ca să nu te lovești cu piciorul de o piatră.””
2804070062	Isus i-a zis: “Iarăși este scris: “Să nu pui la încercare pe Domnul, Dumnezeul tău”.”
280408006e	Diavolul l-a dus iarăși pe un munte foarte înalt și i-a arătat toate împărățiile lumii și slava lor.
2804090063	El i-a spus: “Îți voi da toate aceste lucruri, dacă vei cădea jos și te vei închina mie.”
28040a0094	Atunci Isus i-a zis: “Du-te de aici, Satano! Căci este scris: “Să te închini Domnului, Dumnezeului tău, și numai lui să-i slujești”.”
28040b004a	Atunci diavolul L-a lăsat și iată că au venit îngeri și I-au slujit.
28040c0043	Când a auzit Isus că Ioan fusese predat, s-a retras în Galileea.
28040d0077	A plecat din Nazaret, a venit și a locuit în Capernaum, care este lângă mare, în ținutul lui Zabulon și Neftali,
28040e004d	ca să se împlinească ceea ce fusese spus prin profetul Isaia, care zicea:,
28040f005e	“Țara lui Zabulon și țara lui Neftali, spre mare, dincolo de Iordan, Galileea neamurilor,
2804100094	poporul care ședea în întuneric a văzut o lumină mare; celor care stăteau în regiunea și în umbra morții, pentru ei a răsărit lumina.”
2804110086	Din vremea aceea, Isus a început să propovăduiască și să zică: “Pocăiți-vă! Căci Împărăția Cerurilor este aproape”.
280412009a	Și mergând pe malul mării Galileii, a văzut doi frați: Simon, numit Petru, și Andrei, fratele său, aruncând o plasă în mare, căci erau pescari.
2804130049	El le-a zis: “Veniți după Mine și vă voi face pescari de oameni.”
2804140038	Și îndată și-au lăsat plasele și au mers după El.
28041500c0	Mergând mai departe de acolo, a văzut alți doi frați, Iacov, fiul lui Zebedei, și Ioan, fratele său, în barcă, împreună cu Zebedei, tatăl lor, reparându-și plasele. El i-a chemat.
280416003d	Ei au lăsat îndată barca și pe tatăl lor și l-au urmat.
28041700af	Isus străbătea toată Galileea, învățând în sinagogile lor, propovăduind vestea cea bună a Împărăției și vindecând orice boală și orice neputință în popor.
28041800ce	Vestea despre El s-a răspândit în toată Siria. Îi aduceau la el pe toți cei care erau bolnavi, atinși de diferite boli și chinuri, posedați de demoni, epileptici și paralitici; și el îi vindeca.
2804190068	L-au urmat mari mulțimi din Galileea, din Decapole, din Ierusalim, din Iudeea și de dincolo de Iordan.
2805010059	Văzând mulțimile, S-a suit pe munte. După ce a șezut, discipolii Lui au venit la El.
280502002f	El a deschis gura și i-a învățat, zicând:,
2805030051	“Ferice de cei săraci cu duhul! pentru că a lor este Împărăția Cerurilor.
2805040038	Ferice de cei ce plâng! pentru că vor fi mângâiați.
2805050038	Ferice de cei blânzi! căci ei vor moșteni pământul.
2805060058	Ferice de cei ce flămânzesc și însetează după dreptate, pentru că vor fi umplute.
280507003d	Ferice de cei milostivi! pentru că ei vor obține îndurare.
2805080048	Ferice de cei cu inima curată! pentru că ei îl vor vedea pe Dumnezeu.
280509004f	Fericiți făcătorii de pace! pentru că ei se vor numi copii ai lui Dumnezeu.
28050a0063	Ferice de cei ce au fost prigoniți pentru dreptate, pentru că a lor este Împărăția Cerurilor.
28050b008e	Ferice de voi, când vă vor ocărî, vă vor prigoni și vor zice tot felul de lucruri rele împotriva voastră, pe nedrept, din pricina Mea.
28050c0097	Bucurați-vă și vă veseliți, căci mare este răsplata voastră în ceruri. Căci așa au prigonit ei pe profeții care au fost înaintea voastră.
28050d00c2	Voi sunteți sarea pământului; dar dacă sarea și-a pierdut gustul, cu ce se va săra? Atunci nu mai este bună la nimic, decât să fie aruncată afară și călcată în picioare de oameni.
28050e0049	Tu ești lumina lumii. O cetate situată pe un deal nu poate fi ascunsă.
28050f008b	Nici nu aprindeți o lampă și nu o puneți sub un coș de măsurat, ci pe un stativ, și ea luminează tuturor celor care sunt în casă.
280510009e	Tot așa, lumina voastră să strălucească înaintea oamenilor, ca să vadă faptele voastre bune și să slăvească pe Tatăl vostru care este în ceruri.
280511006c	“Să nu credeți că am venit să distrug Legea și proorocii. Nu am venit să distrug, ci să împlinesc.
28051200ed	Căci, cu siguranță, vă spun că, până când vor trece cerul și pământul, nici cea mai mică literă și nici cea mai mică lovitură de peniță nu va trece în vreun fel din Lege, până când toate lucrurile vor fi împlinite.
28051300fb	De aceea, oricine va călca una dintre aceste porunci mai mici și va învăța pe alții să facă așa, va fi numit cel mai mic în Împărăția cerurilor; dar oricine le va împlini și le va învăța va fi numit mare în Împărăția cerurilor.
28051400a1	Căci vă spun că, dacă dreptatea voastră nu o va întrece pe cea a cărturarilor și a fariseilor, în niciun caz nu veți intra în Împărăția Cerurilor.
2805150076	Ați auzit că s-a spus celor din vechime: “Să nu ucizi!” și că “Oricine va ucide va fi supus judecății”.
28051600fd	Dar Eu vă spun că oricine se mânie pe fratele său fără motiv va fi în primejdie de judecată. Oricine îi va spune fratelui său: “Raca!” va fi în pericol de consiliu. Oricine îi va spune: “Prostule!” va fi în pericol de focul gheenei.
2805170069	“Deci, dacă îți aduci darul la altar și îți aduci aminte că fratele tău are ceva împotriva ta,
2805180091	lasă darul tău acolo, înaintea altarului, și du-te. Împăcați-vă mai întâi cu fratele vostru și apoi veniți și aduceți darul vostru.
28051900cd	Înțelege-te repede cu potrivnicul tău, cât timp ești cu el pe drum, ca nu cumva procurorul să te predea judecătorului, iar judecătorul să te predea ofițerului și să fii aruncat în închisoare.
28051a006c	Mai mult ca sigur vă spun că nu veți ieși nicidecum de acolo până nu veți plăti și ultimul bănuț.
28051b0033	Ați auzit că s-a zis: “Să nu preacurvești!”
28051c0067	Dar Eu vă spun că oricine se uită la o femeie ca să o poftească, a preacurvit cu ea în inima lui.
28051d00ca	Dacă ochiul tău drept te face să te poticnești, smulge-l și aruncă-l de la tine. Căci este mai de folos să piară unul dintre membrele tale decât ca tot trupul tău să fie aruncat în gheenă.
28051e00cc	Dacă mâna ta dreaptă te face să te poticnești, taie-o și arunc-o departe de tine. Căci îți este mai de folos să piară unul din membrele tale, decât să fie aruncat tot trupul tău în Gheenă.
28051f0054	“S-a mai spus: “Oricine își va renega nevasta, să-i dea un act de divorț.”
28052000b5	Dar Eu vă spun că oricine își reneagă nevasta, afară de motivul desfrânării, o face adulteră; și oricine se căsătorește cu ea după ce a fost renegată, comite adulter.
2805210088	“Ați auzit că s-a spus celor vechi: “Să nu faceți jurăminte false, ci să împliniți jurămintele voastre față de Domnul.”
2805220052	Dar Eu vă spun să nu jurați deloc: nici pe cer, căci este tronul lui Dumnezeu,
2805230072	nici pe pământ, căci este așternutul picioarelor Lui, nici pe Ierusalim, căci este cetatea marelui Împărat.
2805240056	Să nu juri nici pe capul tău, căci nu poți face nici un fir de păr alb sau negru.
280525007c	Ci să fie “Da” al tău “Da” și “Nu” al tău “Nu”. Tot ce este mai mult decât acestea este de la cel rău.
2805260047	Ați auzit că s-a spus: “Ochi pentru ochi și dinte pentru dinte”.
2805270084	Dar Eu vă spun: Nu vă împotriviți celui rău; ci, dacă te lovește cineva peste obrazul drept, întoarce-i și celălalt obraz.
280528004c	Dacă cineva te dă în judecată ca să-ți ia haina, lasă-i și haina ta.
2805290040	Oricine vă silește să mergeți o milă, mergeți cu el două.
28052a0058	Dă-i celui care îți cere și nu refuza pe cel care vrea să se împrumute de la tine.
28052b0060	Ați auzit că s-a spus: “Să iubești pe aproapele tău și să urăști pe vrăjmașul tău.
28052c00bc	Dar Eu vă spun: iubiți pe vrăjmașii voștri, binecuvântați pe cei ce vă blestemă, faceți bine celor ce vă urăsc și rugați-vă pentru cei ce vă maltratează și vă prigonesc,
28052d00c3	ca să fiți copii ai Tatălui vostru care este în ceruri. Căci El face să răsară soarele Său peste cei răi și peste cei buni și trimite ploaie peste cei drepți și peste cei nedrepți.
28052e006d	Căci, dacă iubiți pe cei ce vă iubesc, ce răsplată aveți voi? Oare nici măcar vameșii nu fac la fel?
28052f0071	Dacă nu faci decât să-ți saluți prietenii, ce faci tu mai mult decât ceilalți? Nu fac la fel și vameșii?
280530005f	De aceea, voi să fiți desăvârșiți, după cum Tatăl vostru din ceruri este desăvârșit.
28060100bb	“Luați seama să nu faceți milostenia voastră înaintea oamenilor, ca să fiți văzuți de ei, căci altfel nu veți avea nici o răsplată de la Tatăl vostru care este în ceruri.
28060200f0	De aceea, când faceți fapte de milostenie, nu sunați din trâmbiță înaintea voastră, așa cum fac ipocriții în sinagogi și pe străzi, ca să obțină slavă de la oameni. Mai mult ca sigur vă spun că ei și-au primit răsplata.
2806030066	Dar când faci fapte de milostenie, nu lăsa ca mâna ta stângă să știe ce face mâna ta dreaptă,
2806040087	pentru ca faptele tale de milostenie să fie în taină; atunci Tatăl tău, care vede în taină, îți va răsplăti în mod deschis.
28060500ed	Când vă rugați, să nu fiți ca fățarnicii, căci lor le place să stea în picioare și să se roage în sinagogi și la colțurile străzilor, ca să fie văzuți de oameni. Mai mult ca sigur, vă spun, ei și-au primit răsplata.
28060600d5	Dar tu, când te rogi, intră în camera ta interioară și, după ce ți-ai închis ușa, roagă-te Tatălui tău, care este în ascuns; și Tatăl tău, care vede în ascuns, îți va răsplăti în mod deschis.
2806070089	Când vă rugați, nu folosiți repetări deșarte, așa cum fac neamurile, căci ele cred că vor fi auzite pentru vorbăria lor multă.
280608006a	De aceea, nu fiți ca ei, căci Tatăl vostru știe de ce aveți nevoie, înainte ca voi să i le cereți.
2806090067	Rugați-vă astfel: “Tatăl nostru care ești în ceruri, fie ca numele Tău să fie păstrat sfânt.
28060a0052	Să vină Împărăția Ta! Facă-se voia Ta, precum în cer așa și pe pământ.
28060b0034	Dă-ne astăzi pâinea noastră cea de toate zilele.
28060c004b	Iartă-ne datoriile noastre, așa cum și noi iertăm datornicilor noștri.
28060d007e	Nu ne duce pe noi în ispită, ci izbăvește-ne de cel rău. Căci a Ta este Împărăția, puterea și slava în veci. Amin.
28060e005f	Căci, dacă veți ierta oamenilor greșelile lor, și Tatăl vostru ceresc vă va ierta vouă.
28060f0069	Dar dacă nu veți ierta oamenilor greșelile lor, nici Tatăl vostru nu vă va ierta greșelile voastre.
28061000cf	Și când postiți, să nu fiți ca fățarnicii, cu fețele triste. Căci ei își desfigurează fețele ca să fie văzuți de oameni că postesc. Mai mult ca sigur vă spun că ei și-au primit răsplata.
2806110047	Dar voi, când postiți, ungeți-vă capul și spălați-vă pe față,
2806120099	astfel încât să nu vă vadă oamenii că postiți, ci Tatăl vostru, care este în ascuns; și Tatăl vostru, care vede în ascuns, vă va răsplăti.
2806130068	“Nu vă adunați comori pe pământ, unde molia și rugina mistuie și unde hoții pătrund și fură;
2806140074	ci adunați-vă comori în ceruri, unde nici molia, nici rugina nu mistuie și unde hoții nu pătrund și nu fură;
2806150041	căci unde este comoara voastră, acolo va fi și inima voastră.
2806160071	“Lampa trupului este ochiul. De aceea, dacă ochiul tău este sănătos, tot corpul tău va fi plin de lumină.
28061700a5	Dar dacă ochiul tău este rău, tot trupul tău va fi plin de întuneric. De aceea, dacă lumina care este în tine este întuneric, cât de mare este întunericul!
28061800c3	Nimeni nu poate sluji la doi stăpâni, căci ori va urî pe unul și va iubi pe celălalt, ori va fi devotat unuia și va disprețui pe celălalt. Nu poți sluji și lui Dumnezeu și lui Mamona.
28061900e3	De aceea vă spun: nu vă îngrijorați pentru viața voastră: ce veți mânca sau ce veți bea; și nici pentru trupul vostru, ce veți purta. Nu este viața mai mult decât hrana, iar trupul mai mult decât îmbrăcămintea?
28061a00a8	Priviți păsările cerului, care nu seamănă, nu seceră și nu adună în hambare. Tatăl vostru ceresc le hrănește. Nu sunteți voi mult mai valoroși decât ele?
28061b0054	“Cine dintre voi, dacă este îngrijorat, poate să adauge o clipă la viața lui?
28061c0085	De ce vă îngrijorați din cauza hainelor? Gândiți-vă la crinii de pe câmp, cum cresc ei. Ei nu se trudesc, nici nu se învârt,
28061d006f	și totuși vă spun că nici măcar Solomon, în toată gloria lui, nu era îmbrăcat ca unul dintre aceștia.
28061e00b9	Dar dacă Dumnezeu îmbracă astfel iarba câmpului, care astăzi există, iar mâine este aruncată în cuptor, nu vă va îmbrăca cu mult mai mult pe voi, cei cu puțină credință?
28061f0072	De aceea, nu vă îngrijorați, zicând: “Ce vom mânca?”, “Ce vom bea?” sau “Cu ce ne vom îmbrăca?”
2806200073	Căci neamurile caută toate aceste lucruri; dar Tatăl vostru cel ceresc știe că aveți nevoie de toate acestea.
2806210078	Dar căutați mai întâi Împărăția lui Dumnezeu și dreptatea lui; și toate aceste lucruri vi se vor da și vouă.
2806220095	De aceea, nu vă îngrijorați pentru ziua de mâine, căci ziua de mâine se va îngrijora singură. Răul propriu al fiecărei zile este suficient.
280701002b	“Nu judecați, ca să nu fiți judecați.
2807020071	Căci cu orice judecată veți judeca, veți fi judecați; și cu orice măsură veți măsura, vi se va măsura.
2807030075	De ce vezi paiul care este în ochiul fratelui tău, dar nu te gândești la bârna care este în propriul tău ochi?
2807040086	Sau cum îi vei spune fratelui tău: “Lasă-mă să scot paiul din ochiul tău”, și iată că bârna este în propriul tău ochi?
2807050084	Ipocritule! Scoate mai întâi bârna din ochiul tău și apoi vei putea vedea limpede ca să scoți paiul din ochiul fratelui tău.
28070600a8	“Nu dați la câini ce este sfânt și nu aruncați perlele voastre înaintea porcilor, ca nu cumva să le calce în picioare, să se întoarcă și să vă sfâșie.
280707005f	“Cereți și vi se va da. Căutați, și veți găsi. Bateți la ușă și vi se va deschide.
280708005a	Căci oricine cere primește. Cel care caută găsește. Celui care bate i se va deschide.
280709005a	Sau cine dintre voi este acela care, dacă fiul său îi cere pâine, îi va da o piatră?
28070a0038	Sau, dacă îi cere un pește, cine îi va da un șarpe?
28070b00b0	Deci, dacă voi, care sunteți răi, știți să dați daruri bune copiilor voștri, cu cât mai mult Tatăl vostru, care este în ceruri, va da lucruri bune celor ce i le cer!
28070c0072	Așadar, orice vreți să vă facă vouă oamenii, să le faceți și voi; căci aceasta este Legea și profeții.
28070d008c	“Intrați pe poarta cea strâmtă, căci poarta este largă și calea cea largă care duce la pieire, și mulți sunt cei ce intră pe ea.
28070e0070	Cât de strâmtă este poarta și de îngustă este calea care duce la viață! Sunt puțini cei care o găsesc.
28070f006f	“Feriți-vă de proorocii mincinoși, care vin la voi în haine de oi, dar pe dinăuntru sunt lupi răpitori.
280710005d	După roadele lor îi veți cunoaște. Culegeți struguri din spini sau smochine din ciulini?
2807110053	Tot așa, orice pom bun produce fructe bune, dar pomul stricat produce fructe rele.
280712005d	Un pom bun nu poate produce fructe rele, și nici un pom corupt nu poate produce fructe bune.
2807130048	Orice copac care nu produce fructe bune este tăiat și aruncat în foc.
2807140030	De aceea, după roadele lor îi veți cunoaște.
280715008b	“Nu oricine Îmi zice: “Doamne, Doamne!” va intra în Împărăția cerurilor, ci cel ce face voia Tatălui Meu care este în ceruri.
28071600ca	Mulți îmi vor spune în ziua aceea: “Doamne, Doamne, nu cumva am prorocit în numele Tău, nu cumva în numele Tău am scos demoni și nu cumva în numele Tău am făcut multe lucrări puternice?”
280717006e	Atunci le voi spune: “Nu v-am cunoscut niciodată”. Plecați de la Mine, voi care lucrați fărădelegea'.
2807180085	Oricine ascultă aceste cuvinte ale Mele și le împlinește, îl voi asemăna cu un om înțelept care și-a zidit casa pe stâncă.
2807190099	A căzut ploaia, au venit inundațiile, au suflat vânturile și au bătut peste casa aceea, dar ea nu a căzut, pentru că era întemeiată pe stâncă.
28071a007a	Oricine aude aceste cuvinte ale mele și nu le pune în practică va fi ca un om nebun care și-a construit casa pe nisip.
28071b0090	Ploaia a căzut, au venit inundațiile, vânturile au suflat și au bătut peste casa aceea; și ea a căzut — și căderea ei a fost mare.”
28071c005c	După ce a isprăvit Isus de spus acestea, mulțimea a rămas uimită de învățătura Lui,
28071d0037	căci îi învăța cu putere, și nu ca pe cărturari.
2808010044	Când S-a pogorât de pe munte, o mare mulțime de oameni Îl urmau.
2808020077	Și iată că un lepros a venit la el și i s-a închinat, zicând: “Doamne, dacă vrei, poți să mă faci curat”.
2808030079	Isus a întins mâna și l-a atins, zicând: “Vreau să... Să fii curățat”. Imediat, lepra lui a fost curățată.
2808040096	Isus i-a zis: “Ai grijă să nu spui nimănui; ci du-te, arată-te preotului și oferă darul pe care l-a poruncit Moise, ca mărturie pentru ei.”
280805004f	Când a ajuns în Capernaum, a venit la El un centurion, care i-a cerut ajutor,
280806004e	zicând: “Doamne, robul meu zace în casă, paralizat și foarte chinuit.”
280807002f	Isus i-a zis: “Voi veni și-l voi vindeca.”
2808080085	Centurionul a răspuns: “Doamne, nu sunt vrednic să intri sub acoperișul meu. Spune doar un cuvânt și robul meu va fi vindecat.
28080900d6	Căci și eu sunt un om sub autoritate, având sub mine soldați. Îi spun acestuia: “Du-te!” și el se duce; îi spun altuia: “Vino!” și el vine; îi spun robului meu: “Fă aceasta!” și el o face.”
28080a0095	Isus, auzind aceasta, s-a mirat și a zis celor ce-l urmau: “Adevărat vă spun că n-am găsit o credință atât de mare, nici măcar în Israel.
28080b007f	Vă spun că mulți vor veni de la răsărit și de la apus și vor sta cu Avraam, Isaac și Iacov în Împărăția Cerurilor,
28080c007a	dar copiii Împărăției vor fi aruncați în întunericul de afară. Acolo va fi plâns și scrâșnire de dinți”.”
28080d007f	Isus i-a spus centurionului: “Du-te și tu. Să ți se facă așa cum ai crezut.” Robul său a fost vindecat în acel ceas.
28080e0066	Când a intrat Isus în casa lui Petru, a văzut pe mama nevestei lui, care zăcea bolnavă de febră.
28080f0045	I-a atins mâna, și febra a lăsat-o. Ea s-a ridicat și l-a servit.
280810008a	Când s-a făcut seară, i-au adus pe mulți posedați de demoni. El a izgonit duhurile cu un cuvânt și a vindecat pe toți cei bolnavi,
2808110086	pentru ca să se împlinească ceea ce s-a spus prin profetul Isaia: “El a luat neputințele noastre și a purtat bolile noastre”.
2808120058	Isus, văzând mulțime mare în jurul Lui, a poruncit să se ducă în cealaltă parte.
2808130058	Un cărturar a venit și I-a zis: “Învățătorule, Te voi urma oriunde vei merge.”
280814007a	Isus i-a zis: “Vulpile au vizuini și păsările cerului au cuiburi, dar Fiul Omului nu are unde să-și pună capul.”
280815006c	Un alt ucenic al Lui I-a zis: “Doamne, îngăduie-mi să mă duc mai întâi să îngrop pe tatăl meu.”
2808160055	Dar Isus i-a zis: “Urmează-Mă și lasă morții să-și îngroape morții lor.”
2808170033	Când a urcat în corabie, ucenicii Lui L-au urmat.
2808180068	Iată că s-a iscat o furtună violentă pe mare, încât barca era acoperită de valuri; dar El dormea.
280819005f	Ucenicii au venit la el și l-au trezit, zicând: “Salvează-ne, Doamne! Suntem pe moarte!”
28081a0092	El le-a zis: “De ce vă temeți, oameni cu puțină credință?” Apoi s-a ridicat, a mustrat vântul și marea și s-a făcut o mare liniște.
28081b006c	Și oamenii se mirau și ziceau: “Ce fel de om este acesta, încât și vântul și marea îl ascultă?”
