2800000009	San Mateo
28020800ab	Y enviándoles á Bethlehem, dijo: Andad allá, y preguntad con diligencia por el Niño; y despues que lo hallareis, hacédmelo saber, para que yo tambien vaya y le adore.
28020900b0	Y ellos, habiendo oido al rey, se fueron: y hé aquí la estrella que habian visto en el Oriente, iba delante de ellos, hasta que llegando, se puso sobre donde estaba el Niño.
28020a0038	Y vista la estrella, se regocijaron con muy grande gozo.
28020b009f	Y entrando en la casa, vieron el Niño con su madre María, y postrándose lo adoraron: y abriendo sus tesoros, le ofrecieron dones, oro, é incienso, y mirra.
28020c0075	Y siendo avisados por revelacion en sueños, que no volviesen á Heródes, se volvieron á su tierra por otro camino.
28020d0102	Y partidos ellos, hé aquí el ángel del Señor aparece en sueños á José diciendo: Levántate, y toma al Niño y á su madre, y huye á Egipto, y estate allá hasta que yo te [lo] diga: porque ha de acontecer, que Heró des buscara al Niño para matarlo.
28020e004e	Y él despertando, tomó al Niño y á su madre de noche, y se fué á Egipto:
28020f0098	Y estuvo allá hasta la muerte de Heródes; para que se cumpliese lo que fué dicho por el Señor por el profeta, que dijo: De Egipto llamé á mi Hijo.
28021000ee	Heródes entónces, como se vió burlado de los magos, se enojó mucho: y envió, y mató todos los niños que habia en Bethlehem, y en todos sus términos, de edad de dos añ os abajo, conforme al tiempo que habla entendido de los magos.
2802110051	Entónces fué cumplido lo que se habia dicho por el profeta Jeremías, que dijo:
2802120085	Voz fué oida en Ramá, grande lamentacion, lloro, y gemido; Rachel que llora sus hijos; y no quiso ser consolada, porque perecieron.
280213005a	Mas muerto Heródes, hé aquí el ángel del Señor aparece en sueños á José en Egipto,
2802140089	Diciendo: Levántate, y toma al Niño, y á su madre, y vete á tierra de Israel; que muertos son los que procuraban la muerte del Niño.
2802150059	Entónces él se levantó y tomó al Niño, y á su madre, y se vino á tierra de Israel.
28021600a5	Y oyendo que Arqueláo reinaba en Judéa en lugar de Heródes su padre, temió ir allá; mas amonestado por revelacion en sueños, se fué á las partes de Galiléa.
2802170091	Y vino, y habitó en la ciudad que se llama Nazaret: para que se cumpliese lo que fué dicho por los profetas, que habia de ser llamado Nazareno.
280301004b	EN aquellos dias vino Juan el Bautista predicando en el desierto de Judéa,
2803020044	Y diciendo: Arrepentíos, que el reino de los cielos se ha acercado.
28030300a5	Porque este es aquel del cual fué dicho por el profeta Isaías, que dijo: Voz de uno que clama en el desierto: Aparejad el camino del Señor, enderezad sus veredas.
2803040087	Y tenia Juan su vestido de pelos de camellos, y una cinta de cuero alrededor de sus lomos, y su comida era langostas, y miel silvestre.
280305005b	Entónces salia á el Jerusalem y toda Judéa, y toda la provincia de alrededor del Jordan;
280306003e	Y eran bautizados de él en el Jordan, confesando sus pecados.
28030700ae	Y viendo él muchos de los Fariséos y de los Saducéos, que venian á su bautismo, decíales: Generacion de víboras, ¿quién os ha enseñado á huir de la ira que vendrá?
280308002c	Haced pues frutos dignos de arrepentimiento;
2803090096	Y no penseis decir dentro de vosotros: A Abraham tenemos por padre: porque yo os digo, que puede Dios despertar hijos á Abraham aun de estas piedras.
28030a008a	Ahora, ya tambien la segur está puesta á la raiz de los árboles; y todo árbol que no hace buen fruto, es cortado y echado en el fuego.
28030b00cf	Yo á la verdad os bautizo en agua para arrepentimiento: mas el que viene tras mí, mas poderoso es que yo; los zapatos del cual yo no soy digno de llevar: él os bautizará en Espíritu Santo, y [en] fuego.
28030c008b	Su aventador en su mano [está,] y aventará su era; y allegará su trigo en el alfolí, y quemará la paja en fuego que nunca se apagará.
28030d004e	Entónces Jesus vino de Galiléa á Juan al Jordan, para ser bautizado de él.
28030e0060	Mas Juan lo resistia mucho, diciendo: Yo he menester ser bautizado de tí, ¿y tu vienes á mí?
28030f0072	Empero respondiendo Jesus le dijo: Deja ahora: porque así nos conviene cumplir toda justicia. Entónces le dejó.
28031000af	Y Jesus despues que fué bautizado, subió luego del agua: y hé aquí los cielos le fueron abiertos, y vió al Espíritu de Dios que descendia, como paloma, y venia sobre el,
2803110064	Y hé aquí una voz de los cielos que decia: Este es mi Hijo amado, en el cual tengo contentamiento.
2804010054	Entónces Jesus fué llevado del Espíritu al desierto, para ser tentado del diablo.
2804020048	Y habiendo ayunado cuarenta dias y cuarenta noches, despues tuvo hambre.
2804030061	Y llegándose á él el tentador, dijo: Si eres Hijo de Dios, dí que estas piedras se hagan pan.
2804040082	Mas él respondiendo, dijo: Escrito está: No con solo el pan vivirá el hombre; mas con toda palabra que sale de la boca de Dios.
2804050057	Entónces el diablo le pasa á la santa ciudad, y le pone sobre las almenas del templo;
28040600ae	Y le dice: Si eres Hijo de Dios échate abajo; que escrito está: A sus ángeles mandará por tí, y te alzarán en las manos, para que nunca tropieces con tu pié en piedra.
2804070045	Jesus le dijo: Escrito está además: No tentarás al Señor tu Dios.
2804080066	Otra vez le pasa el diablo á un monte muy alto, y le muestra todos los reinos del mundo, y su gloria,
2804090037	Y dícele: Todo esto te daré, si postrado me adorares.
28040a0070	Entónces Jesus le dice: Vete, Satanás; que escrito esta: Al Señor tu Dios adorarás, y á él solo servirás.
28040b004e	El diablo entónces le dejó: y hé aquí los ángeles llegaron, y le servian.
28040c003c	Mas oyendo Jesus que Juan era preso, se volvió á Galiléa;
28040d0072	Y dejando á Nazaret, vino, y habitó en Capernaum, [ciudad] marítima, en los confines de Zabulon y de Nephtalim:
28040e0049	Para que se cumpliese lo que fué dicho por el profeta Isaías, que dijo:
28040f0078	La tierra de Zabulon, y la tierra de Nephtalim, camino de la mar, de la otra parte del Jordan, Galiléa de los Gentiles;
2804100074	El pueblo asentado en tinieblas, vió gran luz: y á los sentados en region y sombra de muerte, luz les esclareció.
2804110070	Desde entónces comenzó Jesus á predicar, y á decir: Arrepentíos, que el reino de los cielos se ha acercado.
28041200ab	Y andando Jesus junto á la mar de Galiléa, vió á dos hermanos, Simon, que es llamado Pedro, y Andrés su hermano, que echaban la red en la mar; porque eran pescadores:
2804130042	Y díceles: Venid en pos de mí, y os haré pescadores de hombres.
2804140037	Ellos entónces, dejando luego las redes, le siguieron.
28041500a4	Y pasando de allí, vió otros dos hermanos, Jacobo, hijo de Zebedéo, y Juan su hermano, en el barco con Zebedéo, su padre, que remendaban sus redes, y los llama.
280416003c	Y ellos dejando luego el barco, y á su padre, le siguieron.
28041700a2	Y rodeó Jesus á toda Galiléa enseñando en las sinagogas de ellos, y predicando el Evangelio del reino, y sanando toda enfermedad y toda dolencia en el pueblo.
28041800bc	Y corria su fama por toda la Siria: y le trajeron todos los que tenian mal, los tomados de diversas enfermedades y tormentos, y los endemoniados, y lunáticos, y paralíticos; y los sanó.
2804190076	Y le siguieron muchas gentes de Galiléa, y de Decápolis, y de Jerusalem, y de Judéa, y de la otra parte del Jordan.
2805010058	Y VIENDO las gentes, subió al monte; y sentándose, se llegaron á él sus discípulos.
280502002c	Y abriendo su boca, les enseñaba, diciendo:
2805030053	Bienaventurados los pobres en espíritu: porque de ellos es el reino de los cielos.
2805040044	Bienaventurados los que lloran: porque ellos recibirán consolacion.
280505004a	Bienaventurados los mansos: porque ellos recibirán la tierra por heredad.
2805060054	Bienaventurados los que tienen hambre y sed de justicia: porque ellos serán hartos.
280507004b	Bienaventurados los misericordiosos: porque ellos alcanzarán misericordia.
2805080043	Bienaventurados los de limpio corazon: porque ellos verán á Dios.
280509004e	Bienaventurados los pacificadores: porque ellos serán llamados hijos de Dios,
28050a0070	Bienaventurados los que padecen persecucion por causa de la justicia: porque de ellos es el reino de los cielos.
28050b0079	Bienaventurados sois, cuando os vituperaren, y [os] persiguieren, y dijeren de vosotros todo mal por mi causa, mintiendo.
28050c008c	Gozáos y alegráos; porque vuestra merced [es] grande en los cielos: que así persiguieron á los profetas que [fueron] ántes de vosotros.
28050d00a3	Vosotros sois la sal de la tierra: y si la sal se desvaneciere, ¿con qué será salada? no vale mas para nada, sino que sea echada fuera y hollada de los hombres.
28050e0058	Vosotros sois la luz del mundo: una ciudad asentada sobre un monte no se puede esconder.
28050f007f	Ni se enciende una lámpara, y se pone debajo de un almud, mas sobre el candelero; y alumbra á todos los que [están] en casa.
280510008f	Así alumbre vuestra luz delante de los hombres; para que vean vuestras obras buenas, y glorifiquen á vuestro Padre que [está] en los cielos.
280511006a	No penseis que he venido para abrogar la ley, ó los profetas: no he venido para abrogar, sino á cumplir.
280512009c	Porque de cierto os digo, [que] hasta que perezca el cielo y la tierra, ni una jota, ni un tilde perecerá de la ley, hasta que todas las cosas sean hechas.
2805130106	De manera que cualquiera que infringiere uno de estos mandamientos muy pequeños, y así enseñare á los hombres, muy pequeño será llamado en el reino de los cielos: mas cualquiera que hiciere, y enseñare, este será llamado grande en el reino de los cielos.
280514008c	Porque os digo, que si vuestra justicia no fuere mayor que [la] de los escribas y de los Fariséos, no entraréis en el reino de los cielos.
2805150069	Oisteis que fué dicho á los antiguos: No matarás; mas cualquiera que matare, será culpado del juicio.
28051600ee	Mas yo os digo, que cualquiera que se enojare locamente con su hermano, sera culpado del juicio: y cualquiera que dijere á su hermano: Raca, será culpado del concejo: y cualquiera que dijere: Fátuo, sera culpado del infierno del fuego.
2805170067	Por tanto, si trajeres tu Presente al altar, y allí te acordares que tu hermano tiene algo contra tí,
2805180084	Deja allí tu Presente delante del altar, y véte; vuelve primero en amistad con tu hermano, y entónces vén, y ofrece tu Presente.
28051900c9	Concíliate con tu adversario presto, entretanto que estás con él en el camino; porque no acontezca que el adversario te entregue al juez, y el juez te entregue al alguacil, y seas echado en prision.
28051a0053	De cierto te digo, que no saldrás de allí, hasta que pagues el último cuadrante.
28051b0029	Oísteis que fué dicho: No adulterarás:
28051c0066	Mas yo os digo, que cualquiera que mira la mujer para codiciarla, ya adulteró con ella en su corazon.
28051d00b6	Por tanto si tu ojo derecho te fuere ocasion de caer, sácalo, y échalo de tí: que mejor te es, que se pierda uno de tus miembros, que no que todo tu cuerpo sea echado al infierno.
28051e00af	Y si tu mano derecha te fuere ocasion de caer, córtala, y échala de tí: que mejor te es que se pierda uno de tus miembros, que no que todo tu cuerpo sea echado al infierno.
28051f0051	Tambien fué dicho: Cualquiera que repudiare á su mujer, dele carta de divorcio:
28052000a0	Mas yo os digo, que el que repudiare á su mujer, fuera de causa de fornicacion, hace que ella adultere: y él que se casare con la repudiada, comete adulterio.
280521006d	Además habeis oido que fué dicho á los antiguos: No te perjurarás; mas pagarás al Señor tus juramentos:
2805220059	Mas yo os digo: No jureis en ninguna manera; ni por el cielo, porque es el trono de Dios:
2805230068	Ni por la tierra, porque es el estrado de sus piés; ni por Jerusalem, porque es la ciudad del gran Rey.
280524004d	Ni por tu cabeza jurarás; porque no puedes hacer un cabello blanco ó negro.
2805250059	Mas sea vuestro hablar, Sí, sí: No, no: Porque lo [que es] mas de esto, de mal procede.
2805260049	Oisteis que fué dicho á los antiguos: Ojo por ojo, y diente por diente:
280527007a	Mas yo os digo: No resistais al mal: ántes á cualquiera que te hiriere en tu mejilla diestra, vuélvele tambien la otra.
2805280050	Y al que quisiere ponerte á pleito, y tomarte tu ropa, déjale tambien la capa.
280529003c	Y á cualquiera que te cargare por una milla, ve con el dos.
28052a0056	Al que te pidiere, dále: y al que quisiere tomar de tí emprestado, no se lo rehuses.
28052b004c	Oisteis que fué dicho: Amarás a tu prójimo, y aborrecerás á tu enemigo:
28052c009e	Mas yo os digo: Amad á vuestros enemigos, bendecid á los que os maldicen, haced bien á los que os aborrecen, y orad por los que os ultrajan y os persiguen;
28052d0093	Para que seais hijos de vuestro Padre que [está] en los cielos; que hace que su sol salga sobre malos y buenos, y llueve sobre justos é injustos.
28052e006e	Porque si amareis á los que os amen, ¿qué recompensa tendréis? ¿no hacen tambien lo mismo los publicanos?
28052f006b	Y si abrazareis á vuestros hermanos solamente, ¿qué haceis demás? ¿no hacen tambien así los Gentiles?
2805300056	Sed pues vosotros perfectos, como vuestro Padre que [está] en los cielos es perfecto.
28060100a4	MIRAD que no hagais vuestra justicia delante de los hombres, para ser vistos de ellos: de otra manera no tendreis merced de vuestro Padre que [está] en los cielos.
28060200d4	Cuando pues haces limosna, no hagas tocar trompeta delante de tí, como hacen los hipócritas en las sinagogas y en las plazas, para ser estimados de los hombres: de cierto os digo, [que ya] tienen su recompensa.
280603004a	Mas cuando tú haces limosna, no sepa tu izquierda lo que hace tu derecha:
2806040062	Para que sea tu limosna en secreto y tu Padre que ve en secreto, él te recompensará en público.
28060500d2	Y cuando oras, no seas como los hipócritas: porque ellos aman el orar en las sinagogas, y en los cantones de las calles en pié, para que sean vistos de los hombres: de cierto os digo, [que ya] tienen su pago.
28060600a6	Mas tú, cuando oras, éntrate en tu cámara, y cerrada tu puerta, ora á tu Padre que [está] en secreto: y tu Padre que ve en secreto, te recompensará en público.
280607005e	Y orando, no seais prolijos, como los Gentiles; que piensan que por su parlería serán oidos.
280608007e	No os hagais pues semejantes á ellos: porque vuestro Padre sabe de que cosas teneis necesidad, ántes que vosotros le pidais.
2806090064	Vosotros, pues, oraréis así: Padre nuestro, que [estás] en los cielos, santificado sea tu nombre:
28060a0055	Venga tu reino: sea hecha tu voluntad, como en el cielo, [así] tambien en la tierra.
28060b0021	Dános hay nuestro pan cotidiano.
28060c0055	Y perdónanos nuestras deudas, como tambien nosotros perdonamos á nuestros deudores.
28060d0084	Y no nos metas en tentacion, mas líbranos del mal: porque tuyo es el reino, y la potencia, y la gloria, por todos los siglos. Amen.
28060e006c	Porque si perdonareis á los hombres sus ofensas, os perdonará tambien á vosotros vuestro Padre celestial.
28060f0067	Mas si no perdonareis á los hombres sus ofensas, tampoco vuestro Padre os perdonará vuestras ofensas.
28061000af	Y cuando ayunais, no seais como los hipócritas, austeros: porque ellos demudan sus rostros para parecer á los hombres que ayunan: de cierto os digo, que [ya] tienen su pago.
2806110039	Mas tú, cuando ayunas, unge tu cabeza, y lava tu rostro;
2806120090	Para no parecer á los hombres que ayunas, sino á tu Padre que [está] en secreto: y tu Padre, que ve en secreto, te recompensará en público.
2806130067	No os hagais tesoros en la tierra donde la polilla y el orin corrompe, y donde ladrones minan y hurtan.
2806140068	Mas hacéos tesoros en el cielo, donde ni polilla ni orin corrompe, y donde ladrones no minan ni hurtan.
2806150045	Porque donde estuviere vuestro tesoro, allí estará vuestro corazon.
2806160062	La lámpara del cuerpo es el ojo: así que si tu ojo fuere sincero, todo tu cuerpo será luminoso.
2806170097	Mas si tu ojo fuere malo, todo tu cuerpo será tenebroso: así que si la lumbre que en tí hay son tinieblas, ¿cuántas [serán] las mismas tinieblas?
28061800ac	Ninguno puede servir á dos señores; porque ó aborrecerá al uno, y amará al otro; ó se llegará al uno, y menospreciará al otro: no podeis servir á Dios y á Mammon.
28061900d3	Por tanto os digo: No os congojeis por vuestra vida, qué habeis de comer, ó qué habeis de beber; ni por vuestro cuerpo, qué habeis de vestir: ¿no es la vida más que el alimento, y el cuerpo que el vestido?
28061a00a2	Mirad las aves del cielo, que no siembran, ni siegan, ni allegan en alfolíes; y vuestro Padre celestial las alimenta: ¿no sois vosotros mucho mejores que ellas?
28061b004d	¿Mas quién de vosotros podrá congojándose añadir á su estatura un codo?
28061c006d	Y por el vestido, ¿por qué os congojais? Reparad los lirios del campo, cómo crecen: no trabajan, ni hilan:
28061d0057	Mas os digo, que ni aun Salomon con toda su gloria fué vestido así como uno de ellos.
28061e0096	Y si la yerba del campo que hoy es, y mañana es echada en el horno, Dios [la] viste así, ¿no [hará] mucho más á vosotros, [hombres] de poca fé?
28061f0063	No os congojeis, pues, diciendo: ¿Qué comerémos, ó qué beberémos, ó con qué nos cubriremos?
2806200078	Porque los Gentiles buscan todas estas cosas: que vuestro Padre celestial sabe que de todas estas cosas habeis menester.
2806210061	Mas buscad primeramente el reino de Dios, y su justicia: y todas estas cosas os serán añadidas.
280622006f	Así que, no os congojeis por el dia de mañana; que el dia de mañana traerá su fatiga: basta al dia su afan.
2807010028	NO juzgueis, para que no seais juzgados.
280702006d	Porque con el juicio con que juzgais seréis juzgados; y con la medida con que medís, os volverán á medir.
280703006f	Y ¿por qué miras la mota que [está] n el ojo de tu hermano, y no echas de ver la viga que [está] en tu ojo?
2807040061	O ¿cómo dirás á tu hermano: Espera, echaré de tu ojo la mota; y hé aquí la viga en tu ojo?
280705006a	¡Hipócrita! echa primero la viga de tu ojo: y entónces mirarás en echar la mota del ojo de tu hermano.
2807060093	No deis lo santo á los perros; ni echeis vuestras perlas delante de los puercos: porque no las rehuellen con sus piés, y vuelvan y os despedacen.
2807070043	Pedid, y se os dará; buscad, y hallarás; llamad, y se os abrirá.
2807080055	Porque cualquiera que pide, recibe; y el que busca, halla; y al que llama se abrirá.
2807090054	¿Qué hombre hay de vosotros, á quien si su hijo pidiere pan, le dará una piedra?
28070a0034	¿Y, si [le] pidiere un pez, le dará una serpiente?
28070b00ae	Pues si vosotros, siendo malos, sabeis dar buenas dádivas á vuestros hijos, ¿cuánto más vuestro Padre, que [está] en los cielos, dará buenas cosas á los que le piden?
28070c009d	Así que, todas las cosas que quisierais que los hombres hiciesen con vosotros, así tambien haced vosotros con ellos: porque esta es la ley, y los profetas.
28070d0092	Entrad por la puerta estrecha: porque ancha [es] la puerta, y espacioso el camino; ^ que lleva á perdicion; y muchos son los que entran por ella.
28070e0069	Porque estrecha [es] la puerta, y angosto el camino, que lleva á la vida; y pocos son los que la hallan.
28070f0072	Y guardáos de los falsos profetas que vienen á vosotros con vestidos de ovejas, mas de dentro son lobos rapaces.
2807100057	Por sus frutos los conocereis. ¿Cógense uvas de los espinos, ó higos de los abrojos?
2807110054	Así todo buen árbol lleva buenos frutos; mas el árbol maleado lleva malos frutos.
2807120057	No puede el buen árbol llevar malos frutos; ni el árbol maleado llevar frutos buenos.
2807130044	Todo árbol que no lleva buen fruto, córtase y échase en el fuego.
2807140027	Así que por sus frutos los conocereis.
2807150091	No todo el que me dice: Señor, Señor, entrará en el reino de los cielos; mas el que hiciere la voluntad de mi Padre que [está] en los cielos.
2807160098	Muchos me dirán en aquel dia: Señor, Señor, ¿no profetizamos en tu nombre, y en tu nombre lanzamos demonios, y en tu nombre hicimos muchos milagros?
2807170055	Y entónces les protestaré: Nunca os conocí; apartáos de mí, obradores de maldad.
2807180080	Cualquiera pues que me oye estas palabras, y las hace, le compararé á un hombre prudente, que edificó su casa sobre la peña:
2807190087	Y descendió lluvia, y vinieron rios, y soplaron vientos, y combatieron aquella casa: y no cayó; porque estaba fundada sobre la peña.
28071a0081	Y cualquiera que me oye estas palabras, y no las hace, le compararé á un hombre insensato, que edificó su casa sobre la arena;
28071b007f	Y descendió lluvia, y vinieron rios, y soplaron vientos, é hicieron ímpetu en aquella casa; y cayó, y fué grande su ruina.
28071c0056	Y fué [que] como Jesus acabó estas palabras, las gentes se admiraban de su doctrina:
28071d0048	Porque les enseñaba como quien tiene autoridad, y no como los escribas.
2808010036	Y COMO descendió del monte, le seguian muchas gentes.
280802005c	Y hé aquí un leproso vino, y le adoraba, diciendo: Señor, si quisieres, puedes limpiarme.
2808030064	Y extendiendo Jesus su mano, le tocó, diciendo: Quiero; sé limpio. Y luego su lepra fué limpiada.
280804009a	Entónces Jesus le dijo: Mira no [lo] digas á nadie; mas vé, muéstrate al sacerdote, y ofrece el Presente que mandó Moisés, para testimonio á ellos.
2808050043	Y entrando Jesus en Capernaum vino á él un centurion, rogándole,
280806004d	Y diciendo: Señor, mi mozo yace en casa paralítico, gravemente atormentado.
2808070027	Y Jesus le dijo: Yo iré, y le sanaré.
2808080089	Y respondió el centurion, y dijo: Señor, no soy digno que entres debajo de mi techado: mas solamente dí la palabra, y mi mozo sanará.
28080900a8	Porque tambien yo soy hombre bajo de potestad, y tengo bajo de mí soldados: y digo á éste: Vé; y va; y al otro: Ven; y viene; y á mi siervo: Haz esto; y [lo] hace.
28080a007c	Y oyendo Jesus, se maravilló, y dijo á los que [le] seguian: De cierto os digo, que ni aun en Israel he hallado fé tanta.
28080b0086	Y os digo que vendrán muchos del Oriente, y del Occidente, y se asentarán con Abraham, é Isaac, y Jacob, en el reino de los cielos.
28080c006f	Mas los hijos del reino serán echados á las tinieblas de afuera: allí será el lloro y el crujir de dientes.
28080d006e	Entónces Jesus dijo al centurion: Vé, y como creiste, te sea hecho. Y su mozo fué sano en el mismo momento.
28080e0050	Y vino Jesus á casa de Pedro, y vió á su suegra echada en cama, y con fiebre.
28080f0048	Y tocó su mano, y la fiebre la dejó: y ella se levantó, y les servia.
2808100086	Y como fué ya tarde, trajeron á él muchos endemoniados; y echó [de ellos] los demonios con la palabra, y sanó todos los enfermos:
280811008e	Para que se cumpliese lo que fué dicho por el profeta Isaías, que dijo: El mismo tomó nuestras enfermedades, y llevó [nuestras] dolencias.
2808120058	Y viendo Jesus muchas gentes alrededor de sí, mandó pasar á la otra parte [del lago.]
2808130050	Y llegándose un escriba, le dijo: Maestro, te seguiré donde quiera que fueres.
2808140084	Y Jesus le dijo: las zorras tienen cavernas, y las aves del cielo nidos; mas el Hijo del hombre no tiene donde recueste [su] cabeza.
2808150063	Y otro de sus discípulos le dijo: Señor, dáme licencia que vaya primero, y entierre á mi padre.
2808160049	Y Jesus le dijo: Sígueme; deja que los muertos entierren á sus muertos.
2808170039	Y entrando él en el barco, sus discípulos le siguieron.
2808180069	Y hé aquí fué hecho en la mar un gran movimiento, que el barco se cubria de las ondas: mas él dormia.
280819005b	Y llegándose sus discípulos le despertaron, diciendo: Señor, sálvanos, [que] perecemos.
28081a0091	Y él les dice: ¿Por qué temeis, [hombres] de poca fé? Entónces, levantándose, reprendió á los vientos y á la mar, y fué grande bonanza.
28081b006b	Y los hombres se maravillaron, diciendo: ¿Qué [hombre] es este, que aun los vientos y la mar le obedecen?
28081c00cd	Y como él hubo llegado en la otra ribera al país de los Guerguesenos, le vinieron al encuentro dos endemoniados que salian de los sepulcros, fieros en gran manera, que nadie podia pasar por aquel camino.
28081d007e	Y hé aquí clamaron, diciendo: ¿Qué tenemos contigo, Jesus Hijo de Dios? ¿has venido acá á molestarnos ántes de tiempo?
28081e003c	Y estaba léjos de ellos un hato de muchos puercos paciendo.
28081f005b	Y los demonios le rogaron, diciendo: Si nos echas, permítenos ir á aquel hato de puercos.
28082000b5	Y les dijo: Id. Y ellos salieron, y se fueron á aquel hato de puercos: y hé aquí, todo el hato de los puercos se precipitó de un despeñadero en la mar, y murieron en las aguas.
2808210076	Y los porqueros huyeron, y viniendo á la ciudad contaron todas las cosas, y lo que habia pasado con los endemoniados.
2808220075	Y hé aquí toda la ciudad salió á encontrar á Jesus: y cuando le vieron, le rogaban que saliese de sus términos.
280901004c	ENTÓNCES entrando en el barco, pasó á la otra parte, y vino á su ciudad.
280902009b	Y hé aquí le trajeron un paralítico echado en una cama: y viendo Jesus la fé de ellos, dijo al paralítico: Confia hijo: tus pecados te son perdonados.
2809030048	Y hé aquí algunos de los escribas decian dentro de sí: Este blasfema.
2809040054	Y viendo Jesus sus pensamientos, dijo: ¿Por qué pensais mal en vuestros corazones?
2809050061	Porque, ¿Qué es más fácil, decir: los pecados te son perdonados: O decir: Levántate, y anda?
28090600aa	Pues para que sepais que el Hijo del hombre tiene potestad en la tierra de perdonar pecados, (dice entónces al paralítico): Levántate, toma tu cama, y vete á tu casa.
2809070030	Entónces él se levantó, y se fué á su casa.
280908006e	Y las gentes viéndo[lo], se maravillaron, y glorificaron á Dios, que habia dado tal potestad á los hombres.
28090900ae	Y pasando Jesus de allí, vió á un hombre, que estaba sentado al banco de los públicos tributos el cual se llamaba Mateo; y dícele: Sígueme. Y se levantó, y le siguió.
28090a00b7	Y aconteció que estando él sentado á la mesa en casa, hé aquí que muchos publicanos y pecadores, que habian venido, se sentaron juntamente á la mesa con Jesus y sus discípulos.
28090b0079	Y viendo [esto] los Fariséos, dijeron á sus discípulos: ¿Por que come vuestro Maestro con los publicanos y pecadores,
28090c0064	Y oyéndolo Jesus les dijo: los que están sanos, no tienen necesidad de médico, sino los enfermos.
28090d0093	Andad pues, y aprended qué cosa es, Misericordia quiero, y no sacrificio: Porque no he venido á llamar justos, sino pecadores á arrepentimiento.
28090e0092	Entónces los discípulos de Juan vienen á él, diciendo: ¿Por qué nosotros y los Fariséos ayunamos muchas veces, y tus discípulos no ayunan?
