2800000006	Mateyo
28020f00a8	Walakekalako mpaka mpwalafwa Helode. Ici calenshika kwambeti ncalamba Mwami kupitila mumushinshimi cikwanilishiwe cakwambeti, “Ninkakuwe mwaname kufuma mu Injipto.”
2802100153	Helode mpwaleshibeti, basa bantu baiya kwenda kwa nyenyenshi bamubona buluya walakalala, walatuma bantu ku Betelehemu, ne kuminshi yonse ya bambana, kwambeti benga bashine bana batuloba bonse kutatikila pali bakute byaka bibili kwisa panshi. Byaka ibi, balabelengela kufuma pacindi ncalanyumfwa kuli bantu basa baiya kwenda kwa nyenyenshi.
280211003e	Mbyalamba mushinshimi Yelemiya byalakwanilishiwa bya kwambeti,
280212008c	“Mibila ilanyumfwikinga mu Lama, yakulila ne kompolola, Lakelo, lalilinga banabendi, lakananga kumumwenesha pacebo ca banabendi balafu.”
280213005e	Pacindi Helode usa mpwalafwa, mungelo wa Mwami walamubonekela Yosefe muciloto kali ku Injipto.
280214007c	Walamwambileti, “Nyamuka, manta mwana ne banyina, ubwelele ku Islayeli, pakwinga bonse balikuyanda kushina mwana bafwa.”
2802150048	Yosefe walapunduka ne kumanta mwana ne banyina ne kubwelela ku Islayeli.
28021600c1	Nomba mpwalanyumfwa kwambeti, Alikelawo, mwanendi Helode, ewapyana baishi kuba mwami waku Yudeya, walatina kuyako. Neco kayi Lesa walamucenjesha Yosefe muciloto, walaya mucimpansha ca Galileya.
280217007a	Balakekala mu munshi wa Nasaleti, kwambeti ncalamba mushinshimi cikwanilishiwe, cakwambeti, “Nakakwiweti, Munasaleti.”
2803010046	Mu masubayo walesa Yohane Mubatishi kakambauka mu cinyika caku Yudeya,
280302004f	kambeti, “Shiyani bwipishi pakwinga Lesa ulipepi kwikalika Bwami bwakendi.”
28030300bc	Uyu engwalikwamba Mushinshimi Yesaya mpwalambeti, “Liswi lya muntu labilikishinga mucinyika kambeti, ‘Bambani mukwakwa wa kupitamo Mwami,’ ‘Lulamikani nshila njoti akapitemo.’”
2803040083	Yohane walikufwala mwinjila wabweya bwa Ngamila, ne mukopo wacipaya mubukome. Cakulya cakendi calikuba bikobo ne bwiki bwamucisuwa.
280305007b	Bantu balafumina mu Yelusalemu ne mu Yudeya kayi ne mubibela byonse bilipepi ne mulonga wa Yolodani, balikwisa kuli Yohane.
280306004a	Abo balikulyambilila bwipishi bwabo, balabatishiwa mu mulonga wa Yolodani.
28030700d4	Yohane mpwalabona Bayuda bangi bamulikoto lya Bafalisi, ne Basaduki kabayanda kubatishiwa, nendi Yohane walabambileti, “Bana banjoka amwe, niyani sena walamucenjesheti mufwambe kutina bukalu bwa Lesa bulesanga?
280308003d	Neco kamwinsani bintu bilaleshengeti mwashiya bwipishi bwenu.
28030900c1	Kamutalibepanga mu myoyo yenu kwambeti, ngamucifwamba cisubulo ca Lesa pakwambeti mushali wetu ni Abulahamu. Cakubinga ndamwambilishingeti Lesa ingawasandula awa mabwe kuba banabendi Abulahamu.
28030a009d	Pacino cindi kembe kalibambila kutimbula citondo pamiyanda, neco citondo ciliconse cilabulunga kusema bisepo byaina, nibakacitimbule ne kuciwala mumulilo.”
28030b00ec	“Ame ndamubatishinga ne menshi kuba cilesho ca kushiya bwipishi bwenu, nomba panyuma pakame palesanga uyo eshakamubatishenga ne Mushimu Uswepa ne mulilo. Nendi wampita ngofu, cakwinseti nkandelela ne kunyamuna nkwabilo shakendi sobwe.
28030c00a0	Cakupupulushila cilikendi mu makasa akendi, kwambeti atatike kupupulusha. Nakabike maila apupulushiwa cena mu lyanga, nomba bungu nakabutente pamulilo utapu.”
28030d006d	Pacindico, Yesu walesa kuli Yohane ku mulonga wa Yolodani, kufuma ku Galileya kwambeti Yohane enga mubatishe.
28030e0079	Yohane pakwelekesha kukana walambeti, “Nte njame ndelela kubatishiwa nenjamwe, nomba amwe kayi mulesanga kuli njame?”
28030f0095	Nomba Yesu walamukumbuleti, “Obe kosuminowa, pakwinga emotwelela kwinshila bintu byonse byabululami mbyalayandanga Lesa.” Neco Yohane walasumina.
2803100095	Yesu mpwalabatishiwa, walasabuka mu menshi. Popelapo kwilu kwalacaluka, walabona Mushimu wa Lesa kauseluka mbuli nkulimba nekwisa kwikala palyendiye,
280311005f	kwilu kwalanyumfwika Liswi lyakwambeti, “Uyu e Mwaname ngondayandishisha, ndakondwa nendi.”
2804010059	Calakonkapo, Mushimu Uswepa walamutwala Yesu ku cinyika kuya kwelekeshewa ne Muyungaushi.
280402005d	Kwa masuba makumi ana, munshi ne mashiku, Yesu walikulikanisha kulya, neco walanyumfwa nsala.
2804030070	Muyungaushi walesa kulyendiye walambeti, “Na njamwe Mwanendi Lesa, ambilani mabwe awa asanduke abe shinkwa.”
2804040082	Nomba Yesu walambeti, “Kwalembweti muntu nkelela kuba ne buyumi ne shinkwa enka sobwe, nsombi ne Maswi onse ngalambanga Lesa.”
2804050073	Panyuma pakendi, Muyungaushi walamutwala Yesu ku Yelusalemu, mushi waswepa, ne kumutantika pelu pa Ng'anda ya Lesa,
28040600b2	ne kumwambileti, “Na cakubinga njobe Mwanendi Lesa, kolilasha panshi, pakwinga kwalembweti, “Lesa nambile bangelo bese bakubake kwambeti, myendo yakobe kaitapunta pamabwe.”
2804070054	Nendi Yesu walambeti, “Kwalembweti, ‘Kotamwelekeshanga Nkambo Lesa wakobe.’”
2804080097	Pakupwililisha, Muyungaushi walamumanta Yesu ne kuya kumutantika pa mulundu utali, ne kumulesha bwendeleshi bonse bwa pacishi capanshi ne bulemu bwabo.
2804090050	Satana walambeti, “Byonse ibi nindikupe na usuntaminekowa, ne kunkambilila.”
28040a0086	Apa lino Yesu walambeti, “Fumapa, Satana! Mabala alambangeti, ‘Welela kukambilila Nkambo Lesa wakobe, ne kumusebensela enka.’”
28040b0051	Popelapo Muyungaushi walamushiya Yesu. Neco bangelo balesa kumunyamfwilisha Yesu.
28040c0047	Lino Yesu mpwalanyumfweti, Yohane lasungwa mu jele, walaya ku Galileya,
28040d008e	walaleka kwikala ku Nasaleti, walaya kwikala ku Kapelenawo, munshi walikuba mumbali mwa lwenje lwa Galileya, mucibela ca Sebuloni ne Nafitali.
28040e0051	Ici calenshika, kukwanilisha calambwa kupitila mushinshimi Yesaya, uyo walambeti,
28040f0097	“Obe cimpansha ca Sebuloni, nenjobe cishi ca Nafitali, kunshila yaku lwenje, patala pa Yolodani, obe Galileya, cimpansha ca bantu babula kuba Bayuda!
2804100076	Bantu bekala mu mushinshe ni bakabone mumuni unene. Bantu bekala mucishi ca mufunsha wa lufu, mumuni ulababonekele.”
2804110088	Kufuma cindi copeleco, Yesu walatatika kukambauka kambeti, “Shiyani bwipishi bwenu, pakwinga Lesa ulipepi kwikalika Bwami bwakendi.”
28041200d2	Yesu mpwalikwenda mu mbali mwa lwenje lwa Galileya, walabona bantu babili pabukwabo, Shimoni walikukwiweti Petulo, ne Ndileya mukwabo, kabekata inswi mulwenje ne tombe twabo, pakwinga balikuba basulishi banswi.
280413004a	Yesu walabambileti, “Nkonkeleni, ndimwiyishe kuba basulishi ba bantu.”
280414002d	Popelapo balashiya tombe twabo ne kuya nendi.
28041500aa	Mpwalendako pang'ana walabona nabambi babili pabukwabo Jemusi ne Yohane, banabendi Sebedayo balikuba mu bwato pamo ne mushali wabo kababamba tombe twabo. Yesu walabakuwa.
2804160031	Popelapo balashiya bwato ne baishi nekuya neYesu.
28041700d2	Yesu walendana mucimpansha conse ca Galileya, kaya kwiyisha mu manda akupaililamo ne kukambauka Mulumbe Waina ulambanga sha Bwami, nekusengula bantu balikukute malwashi apusana pusana ne bulema bwapusanapusana.
28041800f1	Mpuwo yakendi yalamwaikila mucishi conse ca Siliya, cakwinseti bantu balikabaleta balwashi bonse balikupenga ne malwashi ne bishikubaba byapusana pusana, ne bekatwa ne mishimu yaipa ne balwashi atushita kayi ne balema. bonse walikubasengula.
28041900a6	Bantu bangi balikumukonkela kufuma ku Galileya, kucibela calikukwiweti Minshi Likumi, ne kuYelusalemu, neku Yudeya, kayi ne mucibela cakutala kwa mulonga wa Yolodani.
280501007b	Yesu mpwalabona likoto linene lya bantu balikumukonkela, walatanta pa mulundu ne kwikala panshi pamo ne beshikwiya bakendi,
280502001d	walatatika kubeyisha kambeti,
2805030051	“Bakute colwe abo bacinka manungo pali Lesa, pakwinga Bwami bwa kwilu ni bwabo.
280504003f	bakute colwe, bantu balalilinga, pakwinga Lesa nakabaumbulushe.
280505004d	bakute colwe, bantu balicepesha, pakwinga nibakatambule ico Lesa ncalabalaya.
2805060068	bakute colwe, bantu balanyumfunga nsala ne nyotwa ya kwinsa cilayandanga Lesa, pakwinga nibakekutishiwe.
2805070050	bakute colwe bantu bakute nkumbo kubanabo, pakwinga Lesa nakabanyumfwile nkumbo.
280508003c	bakute colwe, bantu baswepa myoyo, pakwinga nibakabone Lesa.
280509004b	bakute colwe bantu balaletenga lumuno, pakwinga nibakakwiweti bana ba Lesa.
28050a005f	Bakute colwe bantu balapenshewanga, pacebo cakwinsa calulama, pakwinga Bwami bwa kwilu nibwabo.
28050b006f	“Mwalelekwa, omulatukanwanga, kupenshewa, ne kumubepesha bintu bingi bbyaipa pacebo cakwambeti munkonkelenga.
28050c0095	Kamusamwani, kayi kamukondwani, pakwinga cilambo cenu kwilu nicinene. Naboyo bashinshimi, amwe kamutana musemwa, balabapenshewa munshila yopeleyo.”
28050d00b5	“Amwe mulyeti mucele wa bantu bonse pacishi capanshi, nomba na mucele usambuluka, nicani celela kubweshulula mbuli ncowanga? Ulabulu ncito, nikutayowa pansa kaulyataulwa ne bantu.
28050e0072	“Amwe mulyeti mumuni wishikumunikila bantu bonse mucishi. Munshi webakwa pa mulundu nkawelela kubula kubonekela.
28050f0097	Paliya muntu ukute kubangilisha lampi nekwifwekelela munongo, nsombi bakute kubika pacakubikapo lampi, kwambeti umunikile bantu bonse bali mung'andomo,
2805100070	Cimo cimo nenjamwe munikani pamenso abantu, kwambeti babona ncito shenu shaina, bakatembaule Bameshenu ba kwilu.
2805110085	“Kamutayeyeti ndesakupwisha Milawo ya Mose, ne biyisho bya bashinshimi. Ame ndiyakwisa kwipwisha sobwe, nsombi kwisa kwikwanilisha.
28051200a4	Cakubinga ndamwambilishingeti kwilu necishi capanshi kabitanabipwa, paliya libala nilikaba ling'aneconi lya Mulawo lyeshi likafumemo, mpaka byonse bikakwanilishiwe.
2805130128	Neco muntu labulunga kukonka mulawo umo uli mumilawo iyi, nambi kauli ung'aneconi, ne kwiyishako nabambi kwambeti naboyo babule kukonka, nakabe mung'ana mu Bwami bwa kwilu. Nomba muntu uliyense lakonkonga Milawo, ne kwiyishako nabambi kwambeti naboyo baikonke, nakabe mukulene mu Bwami bwa kwilu.
2805140097	Encondamwambililingeti, na bululami bwenu nkabwapita bululami bwa beshikwiyisha milawo ya Mose ne Bafalisi, nteti mukengilemo mu Bwami bwa kwilu pimbi.
280515007b	“Mwalanyumfwa kwambeti, kaindi bantu balambilweti ‘Kotashina, uliyense lashini munendi welela komboloshewa ku nkuta.’
280516010e	Nsombi lino ame ndamwambilingeti, muntu uliyense lakalalilinga mukwabo welela kupewa mulandu ku nkuta, Uliyense lambilinga munendi eti, ‘Omuluya’ Welela komboloshewa ku Nkuta. Nomba uliyense lambilinga munendi eti, ‘Cishilu’ Nendi welela kuyamu mulilo wa Gehena.
2805170070	“Neco na ulesa necipo cakobe cakubenga kuli Lesa pa nteme, kayi wanuka kwambeti, munobe ukute mulandu nenjobe,
280518007f	koshiya cipo cakobeco pambali pa nteme, koya unyumfwane mulumuno ne munobe, wenseco bwela ubenge cipo cakobe kuli Lesa panteme.
28051900c7	“Kamufwambananga kunyumfwana ne muntu ngolepishili kamutana mushika ku nkuta. Kutineti ingaukutwala ku momboloshi, nendi momboloshi, ingaukubika mu makasa a mushilikali uyo welela kukuwala mu jele.
28051a0060	Cakubinga ndakwambilishinga, nukekale mujele mpaka ukapwishe kulipila mwelo wamali a mulandu.”
28051b0046	“Mwalanyumfwa kwambeti kaindi bantu balambilweti, ‘Kotapombola.’
28051c007b	Nomba lino ame ndamwambilingeti muntu uliyense lamulangishishinga mutukashi cakumukumbwa, lamupombolo kendi mumoyo wakendi.
28051d009a	Na linso lyakobe lilakwipishinga, ulikolobolemo ulitaye. Caina kutayako lubasu lumo lwa mubili wakobe, kupita kuba ne mubili wakwana ne kuwalwa mu Gehena.
28051e00a5	Kayi na cikasa cakobe cakululyo cilakwipishinga, ucitimbule ucitaye. Caina kutayako lubasu lumo lwamubili wakobe, kupita kuba ne mubili wakwana ne kuwalwa mu Gehena.
28051f0066	“Kayi kaindi balambilweti, ‘Na muntu uleka mukashendi, amulembele ne kumupa cipepala cabushike.’
28052000c9	Nomba ame lino ndamwambilingeti, uliyense lalekenga mukashendi pacebo cimbi cabula kuba cabupombo, uyo mukashi ebwa kumutuloba naumbi lenshi bupombo, nendi mutuloba uyo lamwebe ukute mulandu wabupombo.
2805210073	“Kayi mwalamfweti, kaindi bantu balambilweti, ‘Kotaumbila cabwepeshi, nsombi cinse ncowalalumbila kuli Lesa.’
2805220085	Nomba ame ndamwambilingeti, lekani kulumbila sobwe. Kamutalumbilangeti, kwilu kwine nditu! pakwinga kwilu ekuli cipuna ca Mwami Lesa,
28052300cb	Kamutalumbilangeti, pacishi capanshi nditu! pakwinga pacishi capanshi epakulyata myendo yakendi Lesa. kayi kamutalumbilangeti ‘Pali Yelusalemu nditu!’ Pakwinga Yelusalemu ni munshi wa Mwami mukulene.
280524006d	Kamutalumbilangeti, ‘Mutwi wakame nditu,’ Pakwinga nkamwelela kusandula mishishi kuba ituba nambi ishipa.
2805250060	Kamwambangoweti, ‘Ee’ Nambi ‘ne.’ Cakusankanyapo pali ibi cilafumunga kuli Waipa usa.”
2805260051	Mwalanyumfweti kaindi bantu balambilweti, Linso kubenga linso, lino kubenga lino.
280527009d	Nomba ame lino ndamwambilingeti “Kamutabweshelanga caipa kumuntu lamwipishili sobwe. Na muntu ukuma kulicili lya kululyo, akume kayi kulicili lya kucipiko.
2805280063	Na muntu ukupa mulandu, ne kukukakatisheti umupe mwinjila wakobe, muleke amantile kumo ne munganjo.
280529006a	Muntu uliyense amukakatisha kwenda nendi mushinso wakilomita imo, wende nendi mushinso wamakilomita abili.
28052a005c	Muntu amusenga cintu mupeni. Kayi muntu ayandanga kubweleka cintu kulinjobe kotamukanina.”
28052b004f	Mwalanyumfweti kaindi bantu balambilweti, Kosuna munobe, mupele mulwani wakobe.
28052c0066	Nomba ame lino ndamwambilingeti, basuneni balwani benu ne kubapaililako kuli Lesa abo balamupenshenga.
28052d009a	Mwenseco, emposhimubele limo bana ba Bameshenu balikwilu, bakute kuleta lumwi pa bantu baipa ne baina. Kayi bakute kulokela mfula pa bantu baina ne baipa.
28052e0077	Na kamusunakowa bantu bamusuni, ngamutambulapo cilambo cini kuli Lesa? Beshimisonko nabo nte ncobakute kwinsa copeleco?
28052f007e	Kayi nakamupa mitende banse benu bonka, mulenshipo cani capita nabambi? Sena bantu batamwinshi Lesa nkabakute kwinsa copeleco?
2805300045	Kamubani babula kampenda, mbuli Bameshenu bakwilu ncobabula kampenda.
280601008b	“Kamutaliboneshanga kwinsa ncito shaina pamenso abantu kwambeti bamubone, mwenseco, nteti mukatambulepo cilambo kuli Bameshenu balikwilu.
2806020126	Neco mwapanga cintu ciliconse kumuntu laciyandanga, kamutaliboneshanga mbuli mobakute kwinshila bantu bandemishibili basa mumanda akupaililamo, ne munshila sha muminshi, balo bakute kwinseco kwambeti bantu bababone ne kubalumbaisha. Nditu ndamwambilishingeti abo balatambulililimo cilambo cabo.
280603004c	Nomba obe wanyamfwanga bapenshi, munobe ngoli nendi pepi kabatenshiba sobwe.
280604006e	Wenseco, bipo byankumbo byakobe nukabinshibe wenka. Lino Baiso bakute kubona byasolekwa nibakakupe cilambo.”
28060500e0	Mwapailanga kamutensanga mbuli bandemi shibili basa ncobakute kwinsa, balo bakute kuyanda kupaila kabali bemana mumanda akupaililamo, ne pamampambano anshila kwambeti bantu bababone. Cakubinga balo balatambulili limo cilambo
280606008f	Nomba obe wayandanga kupaila, ingila mucimpetela, cala cisasa, upaile kuli Baiso bataboneke, Baiso bakute kubona byasolekwa nibakakupe cilambo.
28060700ab	Pacindi ncomulapailinga, kamutambanga maswi amo amo, mbuli ncobakute kwinsa bantu batamwinshi Lesa. Balo bakute kuyeyeti bafulishanga byakwamba empwelela kubanyumfwa Lesa.
280608005d	Nomba amwe kamutabangeti endibo, pakwinga Bameshenu babinshi mbyomwabula, kamutana mubasenga.
2806090058	Ecebo cakendi amwe pakupaila kamwambangeti, Bameshetu omuli kwilu, lina lyenu lilemekwe,
28060a004e	Bwami bwenu bwise, Kuyanda kwenu kwinshike. Panshi pano mbuli ncekubele kwilu,
28060b0028	Mutupe lelo cakulya cetu ca masuba onse.
28060c005b	Mutulekeleleko bwipishi bwetu, mbuli nenjafwe ncotukute kubalekelelako bakute kutwipishila,
28060d009c	Kamutasuminisha kwambeti tuwile mukweleshewa, Nsombi tukwabilileni kuli Waipa usa. “Pakwinga Bwami ne ngofu kayi ne bulemeneno ni bwenu kwamuyayaya. Ameni
28060e0057	Cakubinga na mulekelela bantu bwipishi bwabo, Bameshenu ba kwilu nabo nibakamulekelele.
28060f0069	Nomba na nkamulekelele bantu bwipishi bwabo, nabo Bameshenu nteti bakamulekelele bwipishi bwenu sobwe.”
28061000e1	“Mwalikanishanga kulya, kamutabonekanga kungumana pamenso. mbuli ncobakute kwinsa bandemi shibili basa, balo bakute kwipisha pamenso kwambeti bantu bababoneti balikanishinga kulya. Cakubinga, balatambulililimo cilambo cabo.
2806110052	Nomba obe walikanishanga kulya, samba kumenso, ne kusakula cena mishishi ku mutwi,
28061200aa	kwambeti bantu kabatenshibeti ulalikanishinga kulya, nsombi Baiso bataboneke ebelela kwinshiba bonka. Abo Baiso bakute kubona byasolekwa mbyolenshi nibakakupe cilambo.”
2806130099	“Kamutalibunjikila buboni pacishi capanshi pano, apo mpobukute kubumbwa muswa, nambi kuba ne ndala, kayi nabo bakabwalala, mpobakute kwingila ne kwiba.
280614007b	Neco kamubunganyani buboni bwenu kwilu, uko kwabula muswa nambi ndala, uko kabwalala nkwela kwalilwa kwingila ne kuyakwiba.
2806150046	Pakwinga kowabika buboni bwakobe, moyo wakobe ukute kauli kopeloko.”
2806160061	“Menso elampi ya mubili na menso kalicena, mubili wakobe wonse ukute kauli wakwana kumunikilwa.
2806170085	Nomba na menso akobe nkalipo cena, na mumuni mulinjobe usanduka kuba mushinshe. Lino akute aba citatiko ca mushinshe washipa mbii!”
28061800c5	“Muntu nkela kusebensela bantu babili pacindi cimo, pakwinga ngaupelapo umo, ne kusunako naumbi, nakashomeke kuli umo, ne kusampula naumbi. Nkamwelela kusebensela Lesa, ne buboni pacindi cimo.”
28061900d3	“Ecebo cakendi ndamwambilingeti kamutayakamwanga ne buyumi bwenu, kwambeti nitukalye cani, nambi nitukanwe cani? Nambi nitukafwale cani, sena buyumi bwenu nkabwapita cakulya? Nambi mubili nkawapita byakufwala?
28061a00a6	Kamubonani bikeni, nkabikute kubyala mbuto, nambi kutebula ne kubika mulyanga sobwe, nomba Bameshenu bakwilu bakute kubilyesha. Sena amwe nkamwayandika kupita bikeni?
28061b0065	Niyani mulinjamwe wayakamwa ne buyumi, wela kucikonsha kunungako busuba bumowa ku buyumi bwakendi?”
28061c008a	“Inga mukute kushilacani mano ku byakufwala? Bonani maluba amucisuwa mwakute kukulila, nkakute kusebensa, nambi kulyanina bikwisa sobwe.
28061d0070	Nomba ndamwambilinga mwami Solomoni, nambi walikuba mubile, uliyawa kufwalapo byakufwala byabekema mbuli maluba.
28061e00a5	Lino na Lesa kacikonsha kufwalika mila yamucisuwa, iyo ikute kubakowa lelo, lilo nikwitenta mulilo, Lesa ngaubula kumufwalika sena akaka! Mobalushomo lung'anamwe!”
28061f0081	“Ecebo cakendi kamutayakamwanga ne kwambeti, ‘Inga lelo nindicicane kupeyo cakulya’ Nambi ‘cakunwa’ Nambi ‘cakufwala?
2806200085	Ibi nibintu mbyobakute kuyakamwa bantu batamwinshi Lesa. Amwe Bameshenu ba kwilu bacinshi kwambeti nenjamwe mulabiyandanga bintu ibi.
2806210063	Nomba amwe nanshi mulangaule Bwami bwa Lesa, ne bululami bwakendi, nabimbi ibi Lesa nakamubikilepo.
280622005a	Neco nkabayakamwa ne byalilo, byalilo nibyalilo. Busuba bulibonse bukute makatasho abo.”
2807010049	“Kamutomboloshanga banenu, kwambeti nenjamwe Lesa akabule kumombolosha.
28070200aa	Momukute komboloshela banenu, mopelomo nenjamwe Lesa mweti akamomboloshele. Kayi mwelo ngomukute kusebenshesha pakombolosha, mwelo wopelowo nukasebensheshewe pali njamwe.
2807030066	Mukute kuboneconi kantu kang'ana kali mulinso mwamunobe, kotayeye omwine cishiki cili mulinso lyakobe?
280704006a	Ngaumwambileconi munobeti, ‘Tubone ndikufunye kantu mulinso,’ Kakuli obe mulinso mwakobe muli cishiki?
2807050091	Obe wandemi shibili! nanshi tatika kufunya cishiki ico cili mu linso lyakobe, empowelela kubona cena ne kukafunyamo kantu kali mulinso lyamunobe.
2807060097	“Kamutapa bakabwa bintu bya Lesa, pakwinga ingabamubwelela ne kwisa kumuluma. Nambi kuwalila nkumba mikanda yamalungu, pakwinga nishikalwataulowa.”
2807070047	Senga nakamupe, langaula nimukacane, kukonkosha nibakamucalwile cisasa.
280708007a	Ee, muntu lasengenga winga kupewa, muntu lalangaulunga winga kucicana, kayi muntu lakonkoshonga bakute kumucalwila cisasa.
