2800000005	Matei
28011400d7	Lakini paawasage panga nyo, malaika wa Bwana ngampitya kwa ndi'la yo lota, ngammakia, “Yusupu wa mwana wa Daudi, kaneuyogope kunkobeka Malia, kwa mwanjaa utopelwe wabile nawo aupatike kwa makakala ga Loo Mpeleteu.
2801150081	Ywembe aapapa mwana nnalu'me, nawenga wantine lina lyake Yesu, kwa mwanjaa ngaywa aakosopolya bandu bake bu'ka mumasambi gabe.”
2801160069	Ago goti gaapangike li'nga litimi li'lu' liyi'gi'yo lya Bwana kwa lilobe lya nnondoli wa Nnu'ngu' kabaya,
280117009f	“Lingulya, kigoli aayi'ma ndumbo, nembe aapapa mwana nnalu'me, nabembe bantina lina lyake Emanueli,” (lina li' lilombolya, “Nnu'ngu' pamope natwenga”).
280118006d	Yusupu paayumwike mulugono, aapangite kati mwaalagilwe na malaika wa Bwana na ngantola Malia panga nnyumbowe.
280119005e	Lakini aantangiteli nnyumbowe mpaka Malia paapapite mwana nnalu'me, ngaantina lina lyake Yesu.
28020100a7	Yesu aabelekuli ku Betelehemu, kunkoa wa Yudea, nsimu wo Helode ngaywabile nkulungwa kwo. Nsimu wu'lu' wabelekwile, ajuzi ba ndondwa bu'ka kumbwani baayi'i Yelusalemu,
280202009b	ngabalaluya, “Abile kwaku' yu'lu' mwana ywabelekwile nkulungwa wa Ayahudi? Mwanjaa tulubweni lutondwa lwake patwabile kumbwani, ngatuisi kunkilikitya.”
2802030058	Nkulungwa Helode na bandu boti ba Yelusalemu, pabaayu'wine makowe ga, baapatike kyukala.
2802040063	Helode ngaakema api'ndo boti ba dini na balimu ba salya, li'nga bammakie Kilisitu aabelekwa kwaku'.
2802050069	Nabembe ngabammakia, “Ku Betelehemu ya Yudea, kwa mwanjaa nyo ngamwaiandikilwe na nnondoli wa Nnu'ngu',
28020600ac	‘Wenga wa Betelehemu munni'ma wa Yuda, wansene lili mukipi'nga sa ilambo ya Yuda, Kwa mwanjaa kasako alu'a pita nkulungwa ywaalu'a kwalongoya bandu bangu' Isilaili.’”
2802070074	Bai, Helode aakemite kwa kinunu balu' ajuzi ba ndondwa, li'nga bammakie masu'ba gaku' lutondwa lu'lu' palwabonekine.
28020800ab	Bu'kapo, ngaatuma ku Betelehemu kaabakia, “Muyende mukapekeseni wisowiso abali ya mwana yu'lu'. Namwenga pamwamona, mwanibakiye li'nga nanenga niyende, nikankilikiti.”
28020900b7	Bu'ka pa kumpi'kania nkulungwa, ngababu'ka. Lu'lu' lutondwa lwabaalubweni pabaabile kumbwani, baimukya kalubonekana kai' na kwalongoya, ngaluyenda yi'ma panani ya pandu paabile mwana.
28020a0035	Baatinapusika muno kwa kulubona lu'lu' lutondwa kai'.
28020b00aa	Pabaayingi nnyumba, baamweni mwana pamope na Malia mau' bake, ngabankilikitya yu'lu' mwana, no undwana igombo yabe ya samani na kumpeya zaabu, ubani na mauta ganannungya.
28020c0098	Bu'kapo Nnu'ngu' aatikwakwi'li'ka mumaloto panga, kanebaki'li'bu'ki kwa ndi'la ya kwa Helode. Ngabaki'li'bu'kya kunni'ma wabe kwo pi'tya ndi'la yi'ngi'.
28020d00f9	Balu' ajuzi ba ndondwa pababu'i, malaika wa Nnu'ngu' ngaamwisilya Yusupu mumaloto kammakia, “Uyumuke, untole mwana na mau' bake mutile muyende Misili. Mukatame kwo mpaka panaakubakia panga uki'li'bu'ke, kwa mwanjaa Helode ampala mwana ammulage.”
28020e0059	Bai, Yusupu ngayumuka, kuntola mwana pamope na mau' bake ngababu'ka kilo so yenda Misili.
28020f00ab	Aatami kwo mpaka Helode paawile, li'nga litimi liyi'gi'yo lya Bwana lyalibayilwe kwa ndi'la ya nnondoli ywa Nnu'ngu', “Nankemite mwana wangu' abuyangane bu'ka Misili.”
2802100100	Helode pakwipwi panga balu' atangi ba ndondwa baatikunkonga, aatiusika muno. Ngatuma bandu ku Betelehemu na kila pandu mbwega yake li'nga yenda kwabulaga bana analu'me babaabile na myaka ibi'li' au pai' yake, bu'kana na masu'ba gaabakiyilwe na balu' ajuzi.
2802110051	Ngaapo litimile liyi'gi'yo lyalyaabayilwe na nnondoli wa Nnu'ngu' Yelemia kabaya,
2802120090	Lilobe liyu'wanika bu'ka Rama, kili'lo na malombolo gambone. Aywo Raeli kaali'lya bana bake, nembe akani kunni'yali'ya, kwa mwanjaa boti bawile.
2802130049	Paawile Helode, malaika wa Bwana ngampitya Yusupu mumaloto ku'lu' Misili,
2802140093	na kummakia, “Uyumuke, umpu'twe mwana na mau' bake uki'li'bu'ki kunni'ma wa Isilaili, kwa mwanjaa balu' babapalage kummulaga yu' mwana bawile.”
2802150058	Bai, Yusupu ngakatuka na kuntola mwana na mau' bake, ngabuyangania kunni'ma wa Isilaili.
28021600ac	Lakini Yusupu paayu'wine panga Alikelao atawalage kwo Yudea pandu pa tati' bake Helode, aatiyogopa yenda kwo. Ayomwike kwi'li'ki'lwa mumaloto, ngayenda lwingo lwa Galilaya,
280217007f	Ku'lu' ngatama kukilambo sa Nasaleti, li'nga gatimi gagaabayilwe na alondoli ba Nnu'ngu', “Aakemelwa mundu wa ku Nasaleti.”
280301006f	Bu'ka po pi'ta myaka yambone, aapitike mundu ywakemelwage Yoani Ywabatisage kaala kulubele lwa ku Yudea kabaya,
2803020051	“Mugalambuke bu'ka mumasambi ginu, kwa mwanjaa Ukulungwa wa Kunani wegelile.”
28030300bd	Ayu' Yoani nga yu'lu' ywabayilwe na Nnu'ngu' kwa ndi'la ya nnondoli wake Isaya, paabaite, “Lilobe lya mundu likema kulubele, ‘Mumpetuli Bwana ndi'la yake, mugolwe simbasimba yake.’”
2803040092	Yoani abile aweti ngu'bo yaitengenesilwe na matuputupu ga ngamia, na mukibuno sake lunga lwa liki'ngo, no lya kwake kwaai njige na busi wa mmwitu.
280305006f	Ngabannyendelya bandu ba ku Yelusalemu, Yudea yoti na mili'ma yoti yaiti'li'ta mbwega ya libi'ndi' lya Yordani,
2803060048	kabammakia masambi gabe, nembe Yoani ngaabatisa mulibi'ndi' lya Yordani.
28030700c3	Yoani paabweni bandu bu'ka muipi'nga ya Mafalisayo na Masadukayo kabaisa li'nga babatisilwe, ngaabakia, “Mwenga mwa kinng'ambo! Nyai ywankwi'li'ke mwenga kuitila nyongo ya Nnu'ngu' yailu'a isa?
2803080044	Bai, mulaye kwa itendo panga mugalambwike kwa kugaleka masambi ginu.
28030900b1	Kanemwipune kwo wasa panga, ‘Nnu'ngu' alu'a tuyi'ki'tya kwa mwanjaa twenga twabana ba Bulaimu.’ Nimmakianga, Nnu'ngu' awesa kugagalambwa ata maliwe ga yu'ka bana ba Bulaimu.
28030a0086	Libago libi'kilwe wiso pa liina lya nkongo li'nga kuupi'ngwana kila nkongo waukotoka pambika matunda ganannoga na kuutaikulya pamwoto.
28030b00f2	Nenga nimmatisanga kwa masi' li'nga itanganikwe panga mugalambwike kwa kwileka sambi. Lakini ywaalu'a isa nsu'gu' yangu' alu'a kummatisanga kwa Loo Mpeleteu na kwa mwoto. Ywembe abile na makakala pi'ta nenga, ata ilatu yake nipwaikali pu'twa.
28030c008e	Ywembe akamwa kyelo sake so pepekea ngano, alu'a kwiuna na kwibi'ka paligu'lu', lakini mayu'ngu'lu'lu' alu'a kugatiniya pamwoto wangaimika.”
28030d0070	Nsimu wo, Yesu aabu'i Galilaya no ika kulibi'ndi' lya Yordani kannyendelya Yoani Ywabatisage, li'nga abatisilwe.
28030e0079	Lakini Yoani aapayite kunkania Yesu na kummakia, “Nenga nganipalikwa batisilwa na wenga, wenga uniisilya nenga kai'?”
28030f0087	Yesu ngannyangwa, “Uyi'ki'ti panga nambi'yambi', kwa mwanjaa ngamwaipalikwa timisa salya yoti ya Nnu'ngu'.” Bai Yoani ngayi'ki'tya.
28031000a0	Yesu paayomwi batisilwa no pita nkati ya masi', ngaimukya kunani kuyu'gwi'kya, ngammona Loo Mpeleteu wa Nnu'ngu' kauluka kwa ubee wa ngunda no tama panani yake.
2803110068	Lilobe lyayu'wanike bu'ka kunani kalibaya, “Ayu' nga mwana wangu' ywanimpendile, ninogelilwe nakwe.”
2804010056	Bu'kapo, Yesu ngalongoyelwa na Loo Mpeleteu mpaka kulubele li'nga apayilwe na Ibilisi.
2804020052	Yesu paayomwi punga lya kwa masu'ba alubaini kilo na muntwekati, ngaimminya njala.
2804030074	Ibilisi ngamwisilya na kummakia, “Manaitei wenga wa Mwana wa Nnu'ngu', ugaamulise maliwe ga li'nga gabe makati.”
280404008b	Yesu ngannyangwa, “Iandikilwe nyinyo, ‘Mundu akombwali lama kwa likati bai, ila kwa kila liyi'gi'yo lyaliuma munkano wa Nnu'ngu'.’”
280405007a	Bu'kapo, Ibilisi ngampu'twa mpaka pansengo mpeleteu wa Yelusalemu na kunnyi'mi'ka pandu patu'ndu'bau munyumba ya Nnu'ngu',
28040600cd	na kummakia, “Manaitei wenga wa mwana wa Nnu'ngu', witaikuli pai', kwa mwanjaa iandikilwe, ‘Nnu'ngu' aakulagya malaika bake, baakupu'twa mumaboko gabe, li'nga magu'lu' gako gaakanekunywa pa liwe.’”
280407004c	Yesu ngammakia, “Kai' iandikilwe, ‘Kaneumpaye Bwana Nnu'ngu' wako.’”
2804080063	Bu'kapo, Ibilisi ngampeleka pakitu'mbi' kilaso na kunnaya kulungwa yoti ya padunia na uku'lu' wake,
280409004c	ngammakia, “Nilu'a kupeya yi'no yoti mana unikilikitile na kuniyinamya.”
28040a0098	Lakini Yesu ngammakia, “Bu'kya kwo wenga wa Ibilisi, kwa mwanjaa iandikilwe, ‘Unkilikiti Bwana Nnu'ngu' wako, na untumikiye ywembe kisake bai.’”
28040b0035	Bai, Ibilisi nganneka, malaika ngabaisa kunnyangatia.
28040c004b	Bai, Yesu paayu'wine panga Yoani abile muutabilwe, ngayenda mpaka Galilaya.
28040d0081	Ywembe aabu'i Nasaleti no yenda tama Kapernaumu, nsengo waubile mbwega ya litanda lya Galilaya, muilambo ya Zebuluni na Nafutali,
28040e005b	li'nga gatimi mayi'gi'yo gagaalongelikwe na Nnu'ngu' kwo pi'tya nnondoli wa Nnu'ngu' Isaya,
28040f0087	“Nni'ma wa Zebuluni na nni'ma wa Nafutali, li'nga kubaali kwiyi' ya libi'ndi' lya Yordani, Galilaya, nni'ma wa bandu bangali Ayahudi.
2804100075	Bandu bo babatama mulubi'ndu', Baubweni bweya nku'lu', Babatama mukiwili sa kiwo, Bamulikilwe na mwaana wa kindai.”
2804110087	Bu'ka masu'ba go, Yesu aatumbwi aala no baya, “Muileke sambi na munng'alambuki Nnu'ngu', kwa mwanjaa Ukulungwa wa Kunani wegelile!”
28041200b5	Yesu paabile katyanga mbwega ya litanda lya Galilaya, aabweni alobi ba abi'li'. Bandu bo baai Simoni ywakemelwage Petili, na nnunawe Andelea, aakoli kabaulukia mbi'li'li' mulitanda.
2804130047	Yesu ngaabakia, “Munibi'ngi'ye, nipala mupange mwa alobi ba bandu.”
2804140033	Popopo, ngabaileka mbi'li'li' yabe na kummi'ngi'ya.
2804150090	Payendeli nnu'ngi' ngaakolya kai' Yakobi na nnunawe Yoani, batami mungalaba na tati' babe Zebedayo kabatendekeya mbi'li'li' yabe. Yesu ngaakema,
2804160046	nabembe popopo ngabaaleka tati' babe na ngalaba, na kummi'ngi'ya Yesu.
28041700ad	Yesu aabile kapi'ta pano na palu' ku ilambo ya Galilaya, kaala no yi'gana abali inannoga ya Ukulungwa wa Nnu'ngu' mumayumba gabe ga kunnu'ba Nnu'ngu' no aatepwi atamwe boti.
28041800b0	Abali yake yaayu'wanike munni'ma woti wa Shamu. Ngabannetya bandu boti babatesilwe na matamwe mbali'mbali', na bene moka, kyundaunda no tomboloka payi'ga, nembe Yesu ngaatepwa.
2804190077	Ipi'nga ya bandu yendekumi'ngi'ya bu'ka Galilaya, Dekapoli, Yelusalemu, Yudea no bu'ka kwiyi' ya libi'ndi' lya Yordani.
2805010064	Yesu paibweni ipi'nga ya bandu, aau'bwike pakitu'mbi' no tama pai', na banamasi' bake ngabamwisilya.
2805020022	Nembe ngatumbwa kwayi'gana kabaya,
2805030048	“Nantali bababile aki'ba ba loo, kwa mwanjaa Ukulungwa wa Kunani wabe.
2805040039	Nantali babanyopa, kwa mwanjaa Nnu'ngu' alu'a kwapembeya.
280505003a	Nantali babaliyaa, kwa mwanjaa baalu'a kuilisi dunia yoti.
2805060057	Nantali bene njala na nnyota yo panga gapala Nnu'ngu', kwa mwanjaa baalu'a yukutiyilwa.
2805070038	Nantali bababile na kiya, kwa mwanjaa baabi'ki'lwa kiya.
280508003a	Nantali anoga mwoyo, kwa mwanjaa baalu'a kummona Nnu'ngu'.
2805090049	Nantali ya balu' babaleta amani, kwa mwanjaa baakemelwa bana ba Nnu'ngu'.
28050a005c	Nantali babateselwa kitumbu so panga mwapala Nnu'ngu', kwa mwanjaa Ukulungwa wa Kunani wabe.
28050b006f	“Nantali yinu mwenga bandu pabaalu'a kuntukana, kunku'su'mbwa na kunku'pi'ki'a malau goti kwa kitumbu sangu'.
28050c007b	Munapusike no luluta, kwa mwanjaa mubi'kilwe upo yinu ngu'lu' kunani. Nnyo, ngamwabaatesike alondoli ba masu'ba ga nsu'gu'.
28050d00ce	“Mwenga nga kati mwinyo kwa bandu boti, lakini mwinyo mana wobiye kilyi'lyi' sake, ulu'a kuuyi'ya namani uki'li'bu'ye kilyi'lyi' sake? Upwaikali ata pasene, waigala taikulwa kuundi no li'batilwa na bandu.
28050e0051	“Mwenga nga mwabweya wa padunia. Nsengo wausengilwe pakitu'mbi' wiyanikwa lili.
28050f0090	Wala ntu'pu' mundu ywakoya kimuli na kukiwi'ki'lya mukitu'ndu', ila, aakibi'ka patu'ndu'bau li'nga kipiye bweya kwa bandu boti bababile nnyumba.
280510008b	Nyinyonyo namwenga, bweya winu upalikwa umulike kwa bandu li'nga bagabone manogau gamugapanga, nabembe baalumbe Tati' binu bababile kunani.
280511007c	“Kanemuwase panga niisi bu'ya salya ya Musa na mayi'gano ga alondoli ba Nnu'ngu'. Nenga naisali bu'ya, ila niisi timilisa.
280512008a	Kwa mwanjaa nimmakianga kakape, mpaka kunani na pai' payayomoka, ntu'pu' ata pandu pasene mu salya papa alu'a bu'yi'lwa mpaka goti gatimi.
28051300dd	Bai, mundu ywaalu'a ti'kwana yimo muamuli njene yi' na kwayi'gana bandu, aywo aapanga nsene muno muukulungwa wa Kunani. Lakini mundu ywaalu'a kwikamwa na kwayi'gana bi'ngi', aywo aakemelwa nku'lu' muukulungwa wa Nnu'ngu'.
2805140078	Bai nimmakianga, aki yinu mana ikotwike pi'ta yi'lu' ya balimu ba salya na Mafalisayo, mwauyingyali Ukulungwa wa Kunani.
2805150068	“Muyu'wine mwabaabakiyilwe au'ku' bitu kwai'mbu' panga, ‘Kaneubulage, mundu ywaabulaga aukumilwa.’
28051600e0	Lakini nenga nimmakianga, mundu ywoywoti ywamusikya nnongowe apalikwa ukumilwa. Mundu mana kantukana nnongowe apalikwa ukumilwa kubalasa, na mana kammakia nnongowe ‘Wenga wa nnogeloge', apalikwa yingya mumwoto wangayomoka.
2805170069	“Bai, mana kauyenda pandu papeleteu piya salaka kwa Nnu'ngu', pauku'mbu'kya panga uyu'mine na nnongogo,
2805180046	wileke salaka yako, ukaawane na nnongogo, bu'kapo ukapiye salaka yako.
28051900a9	“Uyomwane na nsitaki wako kiyu'ngu'ya mubile balo mundi'la kamuyenda kumwalo. Mana nyoli, aakuikiya kwa akimu, nembe aakukamukia kwa asikali na kukuyingiya muutabilwe.
28051a0046	Kakape nikubakia, waapitali mo mpaka uyomwe li'pa lwela lwa kuundi'la.
28051b0033	“Muyu'wine panga ibayilwe ‘Kaneupange ugoni.’
28051c007b	Lakini nenga nikubakia panga, mundu ywoywoti ywanningulya nnwawa kwa kumminyikia, ayomwike gonja nakwe nkati ya mwoyo wake.
28051d00bc	Manaitei liyo lyako lya kummalyo likupanga upange sambi, uliyokwe na kulitaikulya kuutalu. Nantali obeya kikowe simo mu yi'ga yako, kulikoni yi'ga yako yoti taikulilwa kumwoto wangayomoka.
28051e00d6	Kai', nyinyonyo na luboko lwako lwa kummalyo, mana kalukupeleka musambi, ulukate na kulutaikulya kuutalu. Kwa mwanjaa nantali obeya kikowe simo muyi'ga yako kulikoni yi'ga yako yoti taikulilwa ku mwoto wangayomoka.
28051f004b	“Kai', yaabayilwe panga, ‘Mundu mana kanneka nnyumbowe ampei talaka.’
28052000e8	Lakini nenga nimmakianga panga, ntu'pu' mundu ywayi'ki'ti'lwa kunneka nnyumbowe ila kwa kitumbu sa ugoni. Kai', ampanga nnwawa ywo abe nng'oni mana aaku'ndike kwa nnalu'me ywi'ngi'. Na mundu ywakobeka nnwawa ywalekilwe apanga ugoni.
2805210076	“Muyu'wine kai' au'ku' binu baabayilwe panga, ‘Kaneuti'kwane kilapo sawannapi Bwana, lakini utimise ndapo yako.’
2805220074	Lakini nenga nimmakianga, kanemulape ata pasene, kwa lina lya kunani, kwa mwanjaa nga kiti'gu' sa lenji sa Nnu'ngu',
2805230082	wala kwa dunia, kwa mwanjaa nga kiti'gu' sake so bi'kya magu'lu', wala kwa Yelusalemu kwa mwanjaa nga nsengo wa Nkulungwa nku'lu'.
2805240071	Wala mundu kaneulape kwa ntwe wako, kwa mwanjaa uwesali ata kulugalambwa lunywili lwako lumo panga luu au lupili.
28052500ab	Ila pamulongela, mupalikwa longela kakape. ‘Elo,’ yinu ipange kakape ‘Elo’, na ‘Lili’ ipange kakape ‘Lili’. Sakiyongeya po kibu'ka kwa yu'lu' nnau Ibilisi.
2805260043	“Muyu'wine panga ibayilwe, ‘Liyo kwa liyo, na lino kwa lino.’
2805270091	Lakini nenga nimmakianga kanemubukiye, maakau kwa maakau. Mana mundu akuku'mbwi mbande muligomo lya mmalyo, unng'alambukiye na ligomo lya nki'ya.
2805280052	Mundu mana kakusitakya kwa kukutolya kiyampani sako, wanneki na likoti lyako kai'.
280529006d	Mundu mana akulasimise pu'twa kigombo ulipau wa kilometa yimo, ukipu'twe kigombo so ata kwa kilometa ibi'li'.
28052a0040	Mundu mana kakulu'ba kili'be umpei, ywapala nngu'ta kaneunnyime.
28052b0052	“Muyu'wine panga ibayilwe, ‘Umpende ywa papipi yako, na unsukwe ndumu wako.’
28052c004b	Lakini nenga nimmakianga panga mwapende andumu binu na kwalu'bya babantesa.
28052d0085	Mupange nyo li'nga mupate panga kakape mwabana ba Tati' binu ba kunani. Bembe babawali, kwa mwanjaa aapea lumu na ula anogau na alau.
28052e006b	Mana kamwapenda balu' babampenda mwenga bai, mupata upo yaku' kwa Nnu'ngu'? Ata alonga koli bapanga nyinyo.
28052f0072	Mana kamwapanga abali alongo binu bai, mupanga namani sakwapi'ta bi'ngi'? Ata bandu bangau'bi'lya bapanga kati go!
2805300050	Kwa nyo, mupange mwatimya, kati mu'lu' Tati' binu ba kunani mwababile atimya.”
280601009d	“Mwili'ndi'le, mwakanepanga makowe ginu manogau li'nga mubonekane na bandu, kwa mwanjaa pamwapanga nyo mwaapatali upo bu'ka kwa Tati' binu bababile kunani.
28060200c5	“Bai, mana kaumpeya kili'be nki'ba, kaneunwaye kati mwabapanga anapiki mumayumba ga kunnu'ba Nnu'ngu' na musimbasimba li'nga balumbilwe na bandu. Nimmakianga kakape panga bayomwile pata upo yabe.
2806030065	Lakini wenga ponnyangatia nki'ba, ata luboko lwako lwa nki'ya kanelutange salupanga luboko lwa malyo,
2806040078	li'nga salaka yako ipange ya kinunu. Nabembe Tati' bako bababile kunani babalinga saupanga kwa kinunu, baakutwi'li'ki'a.
28060500d0	“Kai', pamusalya kanemupange kati anapiki, kwa mwanjaa bapenda yi'ma no saalya mumayumba ga kunnu'ba Nnu'ngu', na mbwega ya simbasimba, li'nga babonekane na bandu. Nimmakianga panga bayomwile pata upo yabe.
28060600aa	Lakini wenga pausali, uyingi kungati yako no yigala nniango ulu'be kwa Tati' bako bababile pa kinunu. Na Tati' bako babakubona saupanga kwa kinunu balu'a kupeya upo yako.
28060700b8	“Kai', pamulu'ba, kanemupange kati bandu bangantanga Nnu'ngu', kwa mwanjaa batumya mayi'gi'yo gambone gangali maana kabawasa panga Nnu'ngu' alu'a kwayu'wa kwo yoloka mayi'gi'yo gabe.
2806080060	Bai, kanemulandane na abo, kwa mwanjaa Tati' binu baagatangite gamupala mubile balo munalu'bali.
280609004c	Bai, mupalikwa salya kati nya, Tati' bitu ba kunani, Lina linu likwi'yi'lwe.
28060a003e	Ukulungwa winu wise, Lyamupala lipangike, padunia kati kunani.
28060b0029	Mutupei li'no kilyo situ sa kila lisu'ba.
28060c003c	Mutusami makosa gitu, kati twenga mwatwaasamya babatukosile.
28060d0049	Kanemutuyingiye mumapayilwo, lakini mutukosopoli na yu'lu' nnau, Ibilisi.
28060e0068	“Kwa mwanjaa mana mwasamile bandu makosa gabe, Tati' binu ba kunani baalu'a kunsamya mwenga nyinyonyo.
28060f005d	Lakini mana mukani kwasamya bi'ngi' makosa gabe, Tati' binu ba kunani bansamyali makosa ginu.
28061000b9	“Kai', pamupunga, kanemupange kati anapiki, babakekenala kuminyo kati babile mumaku'ku'li'ko, li'nga bandu baatange panga bendapunga. Nimmakianga kakape panga bayomwile pata upo yabe.
280611004a	Lakini wenga paupunga, uuluge masi' kuminyo no pakala mauta munywili yako,
28061200ab	li'nga bandu kanebakutange panga wendapunga. Likowe lyo litanganikwe na Tati' bako bababile pa kinunu. Na Tati' bako babakubona saupanga kwa kinunu balu'a kupeya upo yako.
2806130075	“Kanemwibi'ki mabi'ko pano padunia, pandu pene ngu'lu'ku'lu' na ngugu kwialabiya, na baii bomwa nyumba li'nga yiba.
280614005f	Mwibi'ki mabi'ko ginu kunani kwembe ntu'pu' ngu'lu'ku'lu', ngugu ata baii bati'kwanali no yiba.
2806150042	Kwa mwanjaa pagabile mabi'ko gako, nga pawaalu'a ba na mwoyo wako.
2806160057	“Liyo nga kimuli sa yi'ga. Manaitei minyo gako makoti, yi'ga yako yoti yabaa mubweya.
28061700ae	Lakini manaitei minyo gako gaina utamwe, yi'ga yako yoti yabaa mulubi'ndu'. Bai, manaitei bweya waubile nkati yako ugalambwike panga lubi'ndu', lubi'ndu' lwo lwapanga totolo.
28061800c5	“Ntu'pu' mundu ywakombwa tumika kwa akulungwa abi'li', kwa mwanjaa aansukwa yu' na kumpenda yu'lu', au alu'a lu'mbana na yumo na kunsalawa ywi'ngi'. Mukombwali kuntumikia Nnu'ngu' pamope na mali.
28061900c5	“Kwa nyo nimmakianga panga, kanemuauke mubwu'mi winu bu'kana na kilyo, au kinywo, wala payi'ga yinu muwale ki'li'. Kwa mwanjaa bwu'mi nga wangama kulikoni kilyo, na yi'ga yangama kulikoni mawalo.
28061a00af	Mwalinge iyuni ba mmwitu, bapandali, baunali wala ligu'lu' ntu'pu' kwabe, lakini Tati' binu ba kunani bendakwayukutiya. Buli, nengite mwenga mwa bampu'ku'bi'la kulikoni iyuni?
28061b005a	Nyai mukipi'nga sinu kwa kwiauya kwake muno awesa kwiyongeya lisu'ba limo lya bwu'mi wake?
28061c0072	“Kwa kitumbu saku' mwiauya kwa mawalo? Mugalinge malu'ba mwagalembulya, gapangali kibalua, wala kwisonia ngu'bo.
28061d0087	Nanenga nimmakianga panga ata Nkulungwa Selemani, muutayili wake woti waabile nawo, aawetili ngu'bo inannoga yaipi'ta ata lilu'ba limo.
28061e00b0	Bai, manaitei Nnu'ngu' agawalika nya maakapi ga mmi'ndi' gagaboneka li'no na malau' gayu'mi no sonjelwa mwoto, buli, aakotoka kunng'walika wisowiso, mwenga mwabene imani njene?
28061f0058	“Bai, kanemube na kyukala panga, ‘Tulu'a lya ki'li', nywa ki'li', no wala namani?’
2806200072	Bandu bangantanga Nnu'ngu' nga babaangaikya ikowe yo, lakini Tati' binu ba kunani batangite panga mupala ago goti.
2806210074	Lakini mwenga muupale wi'ti' Ukulungwa wa Nnu'ngu' no koleya mu'lu' mwapala, nembe alu'a kunnyongea gamugapala goti.
280622009e	Kwa nyo, kanemube na kyukala bu'kana na makowe ga malau', kwa mwanjaa makowe ga malau' gaiaukilya gene. Mbalanga ya lisu'ba limo ili'ngani kwa lisu'ba lyo.”
2807010047	“Kanemwaukumu bandu bi'ngi', li'nga Nnu'ngu' aakane kumuukumu mwenga.
2807020085	Kwa mwanjaa mwenga mwaukumilwa kati mwamwaaukumu ainu, na kili'ngo soso samwali'ngya ainu na Nnu'ngu' nga saatumya kunni'ngya mwenga.
280703006d	Mwanjaa namani ukibona kielenje sakibile muliyo lya nnongogo, lakini ulubonali lubago lwalubile muliyo lyako?
2807040076	Au ukombwabuli kummakia nnongogo, ‘Baliya nikubu'ye kielenje muliyo,’ naapo kubile na lubago muliyo lyako wamwene?
2807050089	Wenga wa nnapiki, ubu'ye wi'ti' lubago lwalubile nkati ya liyo lyako, bu'kapo uwesa kulubona wiso lwelenje lwalubile muliyo lya nnongogo.
28070600a0	“Kanemwapei mbwa ikowe mbeletau, li'nga baakane galambuka na kumpoteka. Wala kanemwataikuli magu'be ili'be ya samani ngu'lu'. Mana mwapanga nnya, baaili'bata.
