2800000005	Matej
28040d0098	Avilo prvo ando Nazaret thaj okotar đelotar thaj nastanisajlo ando Kafarnaum, gav pašo galilejsko jezero, pe Zavulonešći thaj e Neftalimešći phuv.
28040e002b	Gajda pherdilo so phendas o proroko Isaija:
28040f008a	“Ande phuv e Zavulonešći thaj e Neftalimešći, pašo more, pe okoja rig e jordanošći, ande Galileja, e phuv savi nas e židovenđi,
280410009f	e manuša save trajinas ando tunjariko, dikhline o baro svetlo thaj okolenđe save trajinas ande mračno phuv, ande sena e smrtošći zasjaisardas o svetlo.”
2804110087	Katar askal o Isus počnisarda te propovedil: “Pokajin tumen pale tumare bezeha thaj obratin tumen kaj si paše o Carstvo nebesko!”
28041200b9	Kana o Isus naćhelas pašo Galilejsko jezero, dikhla e duj phralen e Simone saves akharenas Petar, thaj lešće phrale e Andrija, sar čhuden e mreža ando jezero, kaj von sas ribarja.
2804130080	Thaj o Isus phendas lenđe: “Aven pale mande thaj me ćerava tumen te aven ribarja save astarena e manušen sago e mačhen.”
2804140035	Von odma mukline e mreže thaj teljardine pale leste.
28041500c4	Kana o Isus đelo majdur okotar dikhla e aver duj phralen, e Jakove thaj e Jovane e Zevedejevešće čhaven, sar bešen ando čamco pire dadeja thaj lačharenas pire mreže, askal akhardas vi len.
2804160047	A von odma mukline o čamco thaj pire dades thaj teljardine pale leste.
28041700cf	O Isus džalas pe sasti Galileja thaj sikavelas e manušen ande lenđe sinagoge, propovedilas lenđe e Bahtali nevimata pale Devlesko carstvo thaj sastarelas katar o nasvalipe thaj svako nemoć andar o them.
28041800e6	O glaso pale leste buljilo pe sasti sirisko regija, thaj anenas lešće sa okolen save sas nasvale katar o razno nasvalipe savo mučilas len, okolen ande save sas e bilačhe duhurja, mesečaren thaj e linen thaj vo sastarelas len.
2804190089	Pale leste teljardas o but o them andar e Galileja, Dekapolja, Jerusalim thaj andar e sasti Judeja, pa vi katar okoja rig e jordanošći.
2805010076	Kana o Isus dikhla kaj ćida pes o but o them, lija pe opre pe gora thaj bešlo. Pe godova aviline leste e učenikurja
2805020030	thaj o Isus počnisarda te sikavel len alavenca:
280503005b	“Blago okolenđe save svatin kaj si lenđe o Del potrebno kaj si lengo o Carstvo nebesko!
2805040035	Blago okolenđe save tugujin, kaj o Del utešila len!
2805050033	Blago okolenđe e kovle ileja kaj nasledina e phuv;
280506004c	Blago okolenđe save si bokhale thaj trušale pale pravednost, kaj čaljona!
2805070040	Blago okolenđe save si milosrdne, kaj o Del smiluila pe lenđe!
280508003c	Blago okolenđe save si čiste ileja, kaj e Devles dićhena!
2805090043	Blago okolenđe kaj ćeren miro, kaj akhardona čhave e Devlešće!
28050a0069	Blago okolenđe save si progonime andar godova kaj si pravedne anglo Del, kaj lengo si o Carstvo nebesko!
28050b007d	Blago tumenđe kana zbog mande avena vređome, progonime thaj kana hohaipe phenena pe tumende thaj vi svako vrsta bilačhipe!
28050c0087	Raduin tumen thaj aven bahtale, kaj si bari tumari poćin ando nebo. Kaj gajda progoninas vi e prorokonen save sas majsigo tumendar!”
28050d00b8	O Isus phendas: “Tumen sen o lon e themenđe pe phuv. Ako o lon naj londo, sova lonđarela pe? Askal majbut či avela pale khančeste, osim te čhudel pe avri te o them uštavel les.
28050e0044	Tumen sen svetlo e themešće. Našti garadol o gav savo si pe gora.
28050f0069	Či den jag o stenko te čhon les talo čaro, nego čhon les po čirako te svetlil savorenđe ando ćher.
2805100081	Gajda tumaro svetlo neka svetlil angle manuša te dićhen pe tumare lačhe dela thaj te slavin tumare Dades savo si ando nebo.”
280511009b	O Isus phendas: “Na te gindin kaj me avilem te čhinav e Mojsijesko zakono thaj e prorokonenđe zapisurja. Či avilem te čhinav len, nego te pherav len.
280512009f	Čače phenav tumenđe: sa dži kaj postoil o nebo thaj e phuv, či naćhela ni majcikno slovo niti jek crtica andar e Mojsijesko zakono dok sa či dogodil pe.
28051300f5	Ali, ako vareko phenel kaj naj važne jek katar akala majcikne zapovesti thaj gajda sikavel aver manušen, majcikno avela ando Carstvo nebesko. A ko inčarel e zapovesti thaj aver manušen sikavel te ćeren gajda avela baro ando Carstvo nebesko.
28051400b5	Kaj phenav tumenđe, te či avili tumari pravednost majbari katar e pravednost e učiteljenđi e Mojsiješće zakonestar thaj e farisejenđi, nisar či dena ando Carstvo nebesko!”
2805150091	O Isus phendas: “Ašundine sar si phendo ande Mojsijesko zakono amare prapaponenđe: ‘Na mudar, kaj ko mudarel, avela došalo e sudošće.’
28051600e3	A me phenav tumenđe: ko holjavol pe piro phral, avela došalo e sudošće! A ko phenel pire phralešće kaj si čalado, avela došalo angle majbaro sudo. A ko phenel pire phralešće dileja, avela došalo anglo pakao e jagako.
2805170068	Zato ako anes ćiro daro po žrtveniko thaj okote des tut gođi kaj ćire phrales si vareso protiv tute,
2805180096	muk e žrtva anglo žrtveniko thaj dža majsigo thaj pomirisar tut ćire phralesa, thaj tek askal av thaj prinesisar ćiro žrtveno daro e Devlešće.
2805190082	Brzo nagodisar tut ćire protivnikosa dok san lesa po drom, te či inkalel tut anglo sudo, a o sudco či čhudel tut ande tamnica.
28051a0068	Čače phenav tuće: či inkljeja okotar dok či poćines sa so san udžile dži ko poslednjo lovoro.”
28051b0056	O Isus majdur phenelas: “Ašundine sar si phendo ando zakono: ‘Na ćer preljub!’
28051c0073	A me phenav tumenđe: Svako savo dićhel pe avrešći romnji te sovel lasa, već ande piro ilo ćerda lasa preljub.
28051d00ba	Ako ćiri desno jak crdel tut po bezeh, inkal ćiri jak thaj čhude lat tutar, kaj majlačhe tuće te propadnil jek deo katar ćiro telo, nego ćo sasto telo te avel čhudino ando pakao.
28051e00b8	Thaj ako ćiro desno vas crdel tut po bezeh, čhin ćo vas thaj čhude les tutar, kaj majlačhe tuće te propadnil jek deo katar ćiro telo, nego sasto ćo telo te džal ando pakao.”
28051f0092	O Isus majdur phenelas: “Ašundine kaj si phendo ando Mojsijesko zakono: ‘Ko rastavil pe pire romnjatar, neka del lat lil kaj si rastavime.’
28052000ac	A me phenav tumenđe: Svako ko rastavil pe pire romnjatar, osim zbog o preljub, crdel lat te ćerel preljub. Thaj svako ko oženil pe rastavime romnjava, ćerel preljub.”
28052100a2	O Isus majdur phenelas: “Isto gajda ašundine kaj si dumutune phendo ande Mojsijesko zakono amare prapaponenđe: ‘Inćar e solah savi dijan e Gospodešće.’
280522004d	A me phenav tumenđe: Na han solah, ni e nebosa, kaj si prestolje e Devlesko,
2805230064	ni e phuvjasa, kaj si tale lešće pungre, ni e Jerusalimeja, kaj si gav e Devlesko, e bare carosko.
280524005a	Na han solah ni tumare šoresa, kaj našti ni jek bal po šoro te ćeren ni kali ni parni.
28052500ab	Zato kana phenen: ‘Kamav’, neka avel ‘Kamav’, thaj kana phenen: ‘Či kamav’, neka avel ‘Či kamav’. Sa so si majbut katar godova, avel katar o bilačho.”
280526006d	O Isus majdur phendas: “Ašundine kaj si phendo ando Mojsijesko zakono: ‘Jak pale jak, dand palo dand.’
280527008e	A me phenav tumenđe: na oduprin tumen e bilačhe manušešće! Te vareko pekla tut pe desno rig ćire mujestar, tu bolde lešće vi aver rig.
2805280058	Thaj ako vareko kamel te sudil pe tusa te lel tutar ćiro gad, de les vi ćiro ogrtači.
2805290059	Te traden tut e rimske vojnikurja te inđares lenđi oprema jek kilometar, tu inđar duj.
28052a0065	Ko manđel tutar vareso, de les, thaj na bolde e dume okolestar ko zamolil tut te des les udžile.”
28052b006c	O Isus majdur phendas: “Ašundine kaj si phendo: ‘Volisar ćire pašutnes’, a mrzisar ćire dušmanes.
28052c005d	A me phenav tumenđe: volin tumare dušmajen thaj molin tumen pale okola save progonin tumen!
28052d00e1	Ako gajda ćeren, avena sago prave čhave tumare nebesko Dadešće, savo del te inkljel lesko kham pe bilačhe thaj pe lačhe manuša, thaj del te lesko bršnd perel okolenđe kaj si pravedne thaj okolenđe kaj si nepravedne.
28052e0073	Kaj te volin samo okolen save tumen volin, sošći nagrada šaj ažućaren? Zar či ćeren godova vi e carinikurja?
28052f0079	Ako pozdravin samo tumare phralen, zar ćeren vareso naročito? Zar či ćeren godova vi okola kaj či pinđaren e Devle.
280530004b	Gajda vi tumen aven savršene, sago kaj si savršeno tumaro Dad nebesko.”
280601009c	O Isus phendas: “Len sama te tumare lačhe dela či ćeren angle manuša te von divin pe tumenđe, kaj askal či primina nagrada katar tumaro Dad nebesko.
28060200dd	Zato kana des e čorenđe, na hvali tu po sasto muj anglo them, sago kaj ćeren e licemerja pe sinagoge thaj pe sokača te hvalin len e manuša. Čače phenav tumenđe: aver nagrada či dobina osim godoja katar e manuša.
2806030055	A tu kana des e čorenđe, neka či džanel ćiro levo vas so ćerel ćiro desno vas.
2806040067	Nego kana tu des e čorenđe de len potajno pa ćiro Dad, savo dićhel so si potajno, nagradila tut.”
28060500f0	O Isus phendas: “kana molin tumen na aven sago e licemerja, save volin te molin pes pe sinagoge thaj pe glavne sokača, te e manuša dićhen len. Čače phenav tumenđe kaj već primisardine piri nagrada thaj osim godoja aver či primina.
28060600b4	A tu, kana molis tut, dža ande ćiri soba, phandav pale tute o vudar thaj moli tut potajno ćire nebesko Dadešće, a ćiro nebesko Dad, savo dićhel so si potajno, nagradila tut.
2806070086	Kana molin tumen na brbljin sago okola save či pindžaren e Devle, kaj von gndin kaj o Del ašunela len zbog e but alava save phenen.
2806080073	Tumen dakle na aven sago von, kaj tumaro Dad nebesko lačhe džanel so trubul tumen vi majsigo nego so zamolin les.
280609005d	Tumen agajda molin tumen: ‘Dade amareja savo san po nebo, nek poštuil pe ćiro sveto alav.
28060a004b	Neka avel ćiro carstvo. Te avel ćiri volja pe phuv sago kaj si ando nebo.
28060b0037	De amen mangro savo si amenđe potrebno pale svako đes
28060c006e	thaj jartosar amenđe e bezeha amare sago kaj vi amen jartosaras okolenđe save sagrešisardine protiv amende.
28060d0046	Na de te peras ande kušnje, nego izbavisar men andar o bilačhipe.’
28060e0064	Kaj, ako jarton okolenđe save grešin protiv tumende, askal vi tumaro nebesko Dad jartola tumenđe.
28060f0073	Ali, ako tumen či jarton e manušenđe lenđe bezeha, ni tumaro nebesko Dad či jartola tumenđe tumare bezeha.”
28061000ca	O Isus majdur phenelas: “A kana postin, na mućen tumaro muj sago e licemerja, te dićhen len e manuša sar postin. Kaj čače phenav tumenđe, kaj aver nagrada či dobina osim godoja katar e manuša.
2806110036	A tu kana postis, thov ćiro muj thaj fulav ćire bal,
2806120097	te e manuša na dićhen kaj postis, nego samo ćiro Dad, savo si ande tajnost. Askal ćiro Dad savo dićhel so si ćerdo ande tajnost nagradila tut.”
2806130089	O Isus phendas: “Na ćiden tumenđe barvalipe akate pe phuv, kaj han les e moljcurja thaj e rđa, kaj e čora provalil thaj čoren les.
280614007e	Nego, ćiden tumenđe barvalipe po nebo, kaj či hal les ni e moljcurja ni e rđa thaj kaj e čora či provalil te čoren les.
2806150037	Zato, kaj si ćiro barvalipe, okote avela vi ćiro ilo.
2806160069	Ćiri jak si sar e svetiljka e telošće. Zato, ako si ćiri jak sasti, sasto ćiro telo avela osvetlime.
2806170098	Ali ako si ćiri jak nasvali, sasto ćiro telo avela ando tunjariko. Ako o svetlo ande tute postanil tunjariko, sosko baro tunjariko avela ande tute!”
28061800cb	“Khonik našti robujil e duje gospodarenđe. Kaj jećhe mrzala, a avere volila, ili jećhešće avela paćivalo a avres prezirila. Našti služin e Devlešće thaj e barvalipešće ande isto vrjama.”
28061900c5	O Isus još phendas: “Zato phenav tumenđe: Na daran pale tumaro trajo, so hana, ili so pijena, ni palo tumaro telo, so lena pe tumende. Naj li o trajo majbut katar o habe, a o telo katar e drze?
28061a009c	Lačhe dićhen e čirikljen! Niti sadin, niti žanjin niti ćiden ande pire žitnice, a tumaro nebesko Dad pravarel len. Zar tumen naj sen majvredne lendar?
28061b0049	A ko tumendar šaj e brigenca te lunđarel piro trajo samo pale jek đes?
28061c0078	Sostar askal vodin e briga pale drze? Lačhe dićhen e divlje luluđa sar barjon! Či trudin pe niti suven pešće drze.
28061d0083	A phenav tumenđe kaj ni o caro Solomon ande sa piro barvalipe či inđarelas pe peste gajda šukar drze sago akala divlje luluđa.
28061e00bb	Pa ako o Del gajda šukar furjarel e biljke save si ando polje, save ađes si, a thejara čhuden pe ando bov, kozom askal majbut vodila e briga pale tumende, manušalen e cikne paćimava?
28061f005f	Zato na daran thaj na phenen: ‘So hasa?’, ili ‘So pijasa?’ ili ‘So lasa pe amende?’
2806200057	Kaj godova roden e bi paćivale manuša. Džanel tumaro nebesko Dad sa so trubul tumen.
280621006e	Zato majbut katar sa roden e Devlesko carstvo, thaj e pravda lešći, askal sa akava o Del nadodaila tumenđe.
2806220074	Zato na daran pale thejara. Neka o đes thejara vodil e briga pale peste. Svako đesešće si dosta lešće muke.”
2807010041	O Isus majdur phenelas: “Na sudin, thaj či sudila pe tumenđe.
2807020085	Kaj sar tumen sudin averenđe, gajda o Del po isto način sudila tumenđe. Sar tumen merin averenđe, gajda vi o Del merila tumenđe.
280703006e	Sostar dićhes e kaštešći prušuk ande jak ćire phralešći, kana či haćares o baro kaš ande ćiri jak?
280704008b	Sar šaj phenes ćire phralešće: ‘Ažućar te inkalav e kaštešći prušuk andar ćiri jak’, kana o baro kaš si tut ande ćiri jak?
280705008d	Licemernona! Majsigo inkal o baro kaš andar ćiri jak, thaj majlačhe dićheja te inkales e kaštešći prušuk andar ćire phralešći jak.
28070600ae	Na den e džućhelenđe okova so si sveto thaj na čhuden e biserja angle bale, te na uštaven len e pungrenca thaj askal bolden pe protiv tumende thaj te rastrgnon tumen.”
280707007d	O Isus majdur phenelas: “Molin tumen thaj dela pe tumenđe! Roden, thaj araćhena! Maren po vudar thaj putrela pe tumenđe!
2807080057	Kaj svako ko molil, primil, ko rodel, araćhel, a ko marel po vudar, putrel pe lešće.
2807090048	Ko tumendar kana lesko čhavo manglasas lestar mangro, dija sas les bar?
28070a0032	Ili kana manglasas lestar mačho dija sas les sap?
28070b00a3	Ako tumen, vi ako sen bilačhe manuša, džanen te den lačhe darurja tumare čhavrenđe, kozom majbut tumaro nebesko Dad dela lačhipe okolen save manđen lestar?
28070c0094	Sa, dakle, so kamen te e manuša ćeren tumenđe, ćeren vi tumen lenđe, kaj godova si okova so sikavelas e Mojsijesko zakono thaj e prorokurja.”
28070d0098	O Isus majdur phenelas: “Den andre po usko vudar. Kaj o bulo vudar thaj o bulo drom inđaren ande propast thaj but si okola save godole dromesa džan.
28070e0061	Sar si usko o vudar thaj tesno drom savo inđarel ando trajo, cara si okola save araćhen les!”
28070f0098	O Isus majdur phendas: “Len tumen sama katar e hohamne prorokurja, save aven tumenđe ande bakhrani morćhi, a andral si ruva save kamen te han tumen.
280710006a	Pindžarena len pe lenđe plodurja. Dali katar e kangre kušel pe e drak, ili e smokve katar e čičkurja?
2807110063	Isto gajda, svako lačho kaš bijanel lačhe plodurja, a o bilačho kaš bijanel bilačhe plodurja.
2807120062	Našti o lačho kaš bijanel bilačhe plodurja, niti o bilačho kaš šaj bijanel lačhe plodurja.
2807130052	Svako kaš savo či bijanel lačhe plodurja, čhinela pe thaj čhudel pe ande jag.
2807140042	Isto gajda pindžarena e hohamne prorokonen pe lenđe plodurja.”
28071500ac	O Isus majdur phenelas: “Či dela ando Carstvo nebesko svako ko phenel manđe ‘Gospode, Gospode!’ Nego okova savo izvršil e volja mungre Dadešći savo si ando nebo.
28071600e1	But džene avena po sudo ande godola đesa thaj phenena manđe: ‘Gospode, Gospode, zar či prorokujisardam ande ćiro alav? Zar či thradasas e benđen ande ćiro alav? Thaj zar či ćerasas but čudurja ande ćiro alav?’
2807170074	Askal priznajiva lenđe: ‘Nikad či pindžaravas tumen. Džantar mandar, tumen save kršin e Devlesko zakon!’”
28071800a5	O Isus majdur phenelas: “Prema godova, svako ko čhol kan ke akala munge alava thaj gajda ćerel, mudro si sago o manuš savo gradil piro ćher po čvrsto temelji.
280719008e	Pelo o bršnd, navalisada e bujica, phurdas e balval thaj peklas ando godova ćher, ali o ćher či pelo kaj sas sagradime po čvrsto temelji.
28071a008e	Naprotiv, svako ko čhol kan ke akala mungre alava, ali či ćerel gajda, slično si sago o dilo manuš savo sazidosardas piro ćher po pesko.
28071b007e	Pelo o bršnd, navalisarda e bujica, phurdas e balval thaj peklas ande godova ćher, thaj o ćher haradilo dži ko temelji.”
28071c0055	Kana o Isus sas gata godole alavenca, o but o them čudilas pe lešće sikavipešće,
28071d0063	kaj sikavelas sago okova saves si autoriteto, a na sago lenđe učitelja e Mojsiješće zakonestar.
2808010044	Kana o Isus fuljisto katar e gora, pale leste teljarda o but o them.
2808020089	Anglo Isus avilo jek gubavco, pelo pe koča angle leste thaj zamolisarda les: “Gospode! Te kames, šaj te sastares man katar e guba!”
280803006a	O Isus čhuta po vas pe leste, thaj phendas: “Kamav, av sasto!” Thaj e guba odma nestanisardas lestar.
28080400c3	A o Isus phendas lešće: “Le sama te na phenes khonikašće pala akava, nego dža thaj sikav tu e rašaješće, thaj prinesisar o daro savo o Mojsije odredisardas palo svedočanstvo lenđe.”
