2800000008	מתיו
2803050081	אנשים מירושלים, עמק־הירדן וכל אזור יהודה יצאו למדבר כדי לשמוע את דבריו,
2803060060	ולאחר שהתוודו על חטאיהם, יוחנן הטביל אותם בנהר הירדן.
280307010f	אולם כשראה יוחנן שפרושים וצדוקים רבים באים להיטבל, הוא דחה אותם.”בני נחשים אתם!“אמר להם יוחנן.”מי אמר לכם שתוכלו להימלט מהעונש שה׳ עתיד להביא עליכם?
2803080072	לפני שתיטבלו אתם חייבים להוכיח במעשים שבאמת התחרטתם על חטאיכם.
28030900d0	אל תחשבו בלבכם:’אלוהים לא יעניש אותנו כי אנחנו יהודים, בני אברהם‘. הרי אלוהים יכול לעשות מהאבנים האלה בנים לאברהם!
28030a00c0	”כבר עכשיו מוכן גרזן המשפט של אלוהים לכרות כל עץ חסר תועלת שאינו נושא פרי. עצים חסרי תועלת ייכרתו ויישרפו!
28030b0122	”אני כרגע מטביל במים את אלה שבאמת מתחרטים על מעשיהם הרעים, אולם בקרוב יבוא אדם גדול ונעלה ממני שאני לא ראוי אפילו לשאת את נעליו, והוא יטביל אתכם ברוח הקודש ובאש.
28030c00a5	הוא יפריד בין המוץ לבין גרגירי החיטה – את המוץ ישרוף באש נצחית, ואילו את החיטה ישמור באסם.“
28030d0074	באותו זמן בא ישוע מן הגליל אל נהר הירדן, כדי להיטבל על־ידי יוחנן.
28030e0075	יוחנן ניסה לשכנע אותו ואמר:”אתה צריך להטביל אותי, ולא אני אותך!“
28030f009d	אולם ישוע עמד על דעתו ואמר:”הטבל אותי, בבקשה. עלי לעשות את כל הדרוש.“ויוחנן הטביל אותו.
28031000b0	מיד לאחר הטבילה, כשישוע יצא מהמים, השמים נפתחו מעליו והוא ראה את רוח אלוהים יורדת עליו בדמות יונה.
2803110050	קול קרא מהשמים:”זהו בני אהובי, ובו אני חפץ.“
280401006e	לאחר מכן, הרוח הובילה את ישוע אל המדבר כדי שהשטן ינסה אותו שם.
280402007a	במשך ארבעים יום וארבעים לילה ישוע לא אכל מאומה, ולבסוף היה רעב מאוד.
280403008f	”אם אתה באמת בן־אלוהים, “אמר לו השטן,”צווה על האבנים האלה להפוך לכיכרות לחם!“
28040400a8	ישוע ענה לו:”לא אצווה זאת, שהרי כתוב בתורה:’לא על הלחם לבדו יחיה האדם, כי על כל מוצא פי ה׳‘. “
280405007a	לאחר מכן הביא השטן את ישוע לירושלים, העלה אותו על גג בית־המקדש ואמר:
28040600a2	”קפוץ למטה! הרי כתוב בתנ״ך:’כי מלאכיו יצווה לך… ועל כפיים ישאונך, פן תיגוף באבן רגלך‘. “
280407005e	השיב לו ישוע:”אבל כתוב גם:’לא תנסה את ה׳ אלוהיך‘. “
2804080099	לאחר מכן השטן העלה את ישוע על הר מאוד גבוה, הראה לו את כל המדינות המפוארות בעולם ואמר:
2804090054	”אם רק תכרע ברך ותשתחווה לי, אתן לך את כל אלה!“
28040a008a	ישוע השיב:”סור ממני, שטן! הרי כתוב:’לה׳ אלוהיך תשתחווה ואותו לבדו תעבוד‘. “
28040b0049	השטן הרפה ממנו, ומלאכים באו לשרת את ישוע.
28040c009c	כאשר שמע ישוע על זה שיוחנן המטביל נאסר, הוא עזב את ארץ יהודה וחזר לביתו – לנצרת שבגליל.
28040d0082	אחר כך ישוע עבר לגור בכפר־נחום שעל שפת הכינרת, באזור שבטי זבולון ונפתלי.
28040e002c	כך התקיימה נבואת ישעיהו:
28040f006b	”ארצה זבולון וארצה נפתלי, דרך הים, עבר הירדן, גליל הגויים –
280410007a	העם ההלכים בחשך ראו אור גדול, ישבי בארץ צלמוות – אור נָגַהּ עליהם!“
2804110097	מאותו יום והלאה ישוע התחיל להטיף:”שובו בתשובה והאמינו בה׳, כי מלכות השמיים קרובה!“
2804120103	יום אחד כשישוע הלך על חוף הכינרת, הוא ראה שני אחים: שמעון (הנקרא גם פטרוס) ו‎אַנְדְּרֵי. השניים ישבו בסירה ודגו בעזרת רשת, כי היו דייגים במקצועם.
2804130062	”בואו אחרי!“קרא להם ישוע.”אני אעשה אתכם לדייגי אדם!“
2804140053	שני האחים עזבו מיד את הרשתות שלהם והלכו אחריו.
28041500d7	לא הרחק משם ראה ישוע עוד שני אחים, יעקב ויוחנן, יושבים בסירה עם אביהם זבדי, ומתקנים את רשתותיהם הקרועות. ישוע קרא גם להם,
2804160065	והשניים הפסיקו מיד את עבודתם, עזבו את אביהם והלכו אחריו.
28041700c2	ישוע הסתובב בכל הגליל ולימד בבתי־הכנסת; בכל מקום בישר את החדשות הטובות על מלכות השמיים וריפא כל מיני מחלות.
2804180114	השמועות על הניסים שחולל פשטו מעבר לגבולות הגליל, וחולים באו אליו להירפא אפילו מסוריה. הובאו אליו אנשים אחוזי־שדים, מטורפים ומשותקים, וישוע ריפא את כולם.
2804190090	לכל מקום שהלך, הלכו אחריו המונים: מהגליל, מחו״ל, מירושלים, מיהודה ואף מעבר הירדן.
280501009e	יום אחד, כשהתאסף סביבו קהל גדול, עלה ישוע עם תלמידיו על מדרון הגבעה, התיישב שם והחל ללמד:
2805030072	”אשרי האנשים המודים בעניותם הרוחנית, כי להם שייכת מלכות השמים.
2805040041	אשרי הבוכים והמתאבלים, כי הם ינוחמו.
2805050053	אשרי הצנועים והענווים, כי העולם כולו שייך להם.
2805060078	אשרי השואפים בכל לבם לעשות את הטוב והישר, כי אלוהים ימלא את שאיפתם.
280507005d	אשרי האדיבים והרחמנים, כי אלוהים יגלה כלפיהם רחמים.
280508004e	אשרי האנשים שלבם טהור, כי הם יראו את אלוהים.
2805090060	אשרי האנשים הרודפים שלום, כי הם ייקראו’בני־אלוהים‘.
28050a0080	אשרי הסובלים והנרדפים בגלל עשותם את רצון ה׳, כי להם שייכת מלכות השמיים.
28050b0073	”אם יקללו אתכם, יעלילו עליכם שקרים וירדפו אתכם בגלל אמונתכם בי,
28050c0084	שמחו מאוד! כן, שמחו מאוד, כי שכר רב לכם בשמים, וזכרו שכך רדפו גם את הנביאים!
28050d00c8	”אתם מלח הארץ. מה יקרה לעולם אם תאבדו את המליחות שלכם? מלח תפל הוא חסר תועלת, ואינו ראוי אלא שיזרקו וירמסו אותו.
28050e0092	”אתם אור העולם – בדומה לעיר הבנויה על הר, אשר כל אחד יכול לראות את אורותיה בלילה.
28050f00c1	אל תסתירו את אורכם! הניחו לו להאיר לכולם! תנו לכל אדם לראות את התנהגותכם הטובה, ואז יודו כולם לאביכם שבשמים.
2805110096	”אל תחשבו שבאתי לבטל את תורת משה או את אזהרותיהם של הנביאים; באתי לקיים ולמלא אותן!
2805120088	אני אומר לכם בכל הכנות והרצינות: מצוות התורה תישארנה בתוקף עד שיתקיים הכול.
2805130119	מי שיעבור על המצווה הקטנה ביותר או שיעודד אחרים לעשות זאת, הוא יהיה קטן במלכות השמים. ואילו מי שילמד את תורת ה׳ ואף יקיים את מצוותיה, יהיה גדול במלכות השמים.
28051400a9	”אולם אני מזהיר אתכם: אם לא תהיו טובים יותר מהפרושים והסופרים, לא תוכלו להיכנס למלכות השמיים.
2805150054	”תורת משה אומרת:’לא תרצח‘, והרוצח יחויב לדין.
28051600fc	אולם אני אומר לכם שאם אדם אף כועס על אחיו, עליו לעמוד לדין. גם מי שיקרא לחברו’אידיוט!‘עליו לעמוד לדין, ואם יקלל את חברו הריהו בסכנת גיהינום!
28051700b0	לכן אם אתה עומד לפני המזבח בבית־המקדש ומביא קורבן לה׳, ולפתע אתה נזכר שלאחד מחבריך יש דבר מה נגדך,
28051800b1	השאר את קורבנך לפני המזבח, מהר אל חברך ובקש את סליחתו. לאחר מכן חזור לבית־המקדש והקרב את הקרבן לה׳.
280519009b	התפייס מהר עם אויבך, אחרת יהיה מאוחר מדי והוא יסגירך לידי החוק, ואז ישליכו אותך לכלא –
28051a0041	שם תישאר עד שתשלם את האגורה האחרונה!
28051b0032	”תורת משה אומרת:’לא תנאף‘.
28051c0078	אולם אני אומר לכם: כל מי שמסתכל על אישה בתאווה, כאילו נאף אותה בלבו.
28051d00c0	משום כך, אם עינך גורמת לך לחשוק ולחמוד, עקור והשלך אותה. מוטב שתאבד חלק מגופך, מאשר שיושלך כל גופך לגיהינום.
28051e00a9	ואם ידך – ולו גם הימנית – גורמת לך לחטוא, קצץ והשלך אותה! מוטב כך, מאשר למצוא את עצמך בגיהינום.
28051f0085	”תורת משה אומרת שאם איש רוצה לגרש את אשתו, עליו לתת לה ספר כריתות, וזה הכל.
28052000d6	אולם אני אומר שאיש המגרש את אשתו מלבד במקרה שבגדה בו, גורם לכך שתנאף אם תינשא בשנית. גם מי שיתחתן איתה לאישה נחשב לנואף!
2805210052	”התורה אומרת שאם נשבעת, עליך לקיים את שבועתך.
2805220089	ואילו אני אומר: אל תישבע כלל! אל תאמר:’אני נשבע בשמים‘, כי כסא ה׳ נמצא בשמים.
28052300c1	אם אתה נשבע’בארץ‘, אתה נשבע למעשה בהדום רגליו של אלוהים. כמו כן אל תישבע’בירושלים‘, כי היא’קרית מלך רב‘.
280524007c	גם אל תישבע על ראשך, כי אפילו שערה אחת אין ביכולתך לשנות ללבן או שחור.
2805250051	אמור פשוט:’כן‘, או’לא‘. יותר מזה מן הרע הוא.
2805260045	”התורה אומרת’עין תחת עין, שן תחת שן‘.
28052700ba	ואילו אני אומר לכם: אל תתקוממו נגד מי שעושה רע נגדכם. אם מישהו סוטר לך על הלחי, הושט לו גם את הלחי השנייה.
2805280068	אם דורשים ממך בבית המשפט לתת את חולצתך, תן להם גם את מעילך.
280529007a	אם חייל כופה עליך לשאת את תרמילו קילומטר אחד, שא אותו שני קילומטרים.
28052a005d	תן למי שמבקש ממך, ואל תדחה את מי שרוצה ללוות ממך כסף.
28052b004f	”שמעתם שנאמר:’ואהבת לרעך, ושנאת את אויבך‘.
28052c006c	אולם אני אומר: אהבו את אויביכם והתפללו בעד אלה שרודפים אתכם,
28052d00e4	כי כך תהיו בנים לאביכם שבשמים. שהרי אלוהים נותן את אור השמש גם לטובים וגם לרעים, ואף את הגשם הוא מוריד על צדיקים ועל רשעים כאחד.
28052e0081	אם אתם אוהבים רק את אלה שאוהבים אתכם, מה מיוחד בכך? גם הפושעים נוהגים כך!
28052f0092	ואם אתם חברים רק לחבריכם, במה שונים אתם מכל האחרים? הלא גם עובדי אלילים נוהגים כך!
280530004a	שאפו להיות שלמים כשם שאביכם שבשמים שלם.“
28060100bf	”היזהרו שלא תעשו את מעשיכם הטובים לפני כולם, כדי שכולם יראו ויכבדו אתכם, כי ככה אין לכם שכר מאביכם שבשמים.
2806020127	אם אתה נותן נדבה, אל תספר על כך לכולם, כפי שעושים הצבועים. הם אף תוקעים בשופר בבית־הכנסת לכבוד זה, כדי שכולם יעריצו את צדקנותם. אני אומר לכם: הם יקבלו את מה שמגיע להם.
2806030084	אם אתה נותן נדבה, עשה זאת בסתר – אל תספר לידך השמאלית מה שעושה ידך הימנית.
280604004d	ואז אביכם שבשמים, הרואה במסתרים, יגמול לכם.
28060500d0	”כשאתם מתפללים, אל תנהגו כמו הצבועים, המתפללים בפינות רחוב ובבית־הכנסת כדי שכולם יראו אותם. אני אומר לכם: שכרם אתם.
28060600e6	כשאתם מתפללים, היכנסו לחדר לבד, נעלו את הדלת והתפללו בסתר אל אביכם. ואז אביכם שבשמים, הרואה את הנעשה במסתרים, ייתן לכם שכר בגלוי.
280607013c	”אל תחזרו שוב ושוב על אותה תפילה, כפי שנוהגים עובדי האלילים. הם חושבים שיקבלו תשובה רק אם יחזרו על תפילתם פעמים רבות. זכרו: אביכם יודע מה שאתם צריכים לפני שאתם מבקשים זאת ממנו!
2806090047	לכן התפללו כך:’אבינו שבשמים, יתקדש שמך.
28060a004a	תבוא מלכותך, שרצונך ייעשה בארץ כמו בשמים.
28060b003e	ספק לנו מדי יום את המזון הדרוש לנו.
28060c0064	אנא סלח לנו על חטאינו, כשם שאנו סולחים לאלה שחטאו נגדנו.
28060d00be	עזור לנו לעמוד נגד פיתויים וניסיונות, והצל אותנו מכל רע (כי שלך המלכות, הכוח והתפארת לעולמי עולמים. אמן‘).
28060e006a	”אביכם שבשמים יסלח לכם אם תסלחו גם אתם לאלה שחוטאים נגדכם.
28060f0064	אם לא תהיו מוכנים לסלוח להם, לא יסלח ה׳ גם לכם על חטאיכם.
28061000d6	”כאשר אתם צמים, אל תפגינו זאת לפני כולם, כפי שעושים הצבועים. הם מנסים להראות עצובים ושהם בצום. הם יקבלו את מה שמגיע להם.
280611004b	אך אתם, כאשר אתם צמים, סדרו וטפחו את מראכם,
28061200ad	כדי שאיש לא יחשוב שאתם רעבים – מלבד אביכם שבשמים הרואה במסתרים, והוא ייתן לכם את השכר המגיע לכם.
2806130077	”אל תצברו לכם רכוש בארץ, במקום שהוא עלול להחליד, להירקב או להיגנב.
280614007c	צברו את רכושכם בשמים, כי שם הוא בטוח מפני גנבה ולא יאבד את ערכו לעולם.
2806150059	במקום שבו נמצא אוצרכם שם נמצא גם לבכם ומחשבותיכם.
2806160079	”עין האדם היא אור גופו. אם עינך טהורה, תמיד יזרח אור השמש בתוך נפשך.
2806170055	אבל אם עינכם רעה, אזי תחשך כולך. מה רבה חשכה זאת!
28061800f1	אינך יכול לעבוד שני אדונים; אתה תשנא את האחד ותאהב את האחר, או להיפך – תהיה נאמן לאחד ותזלזל באחר. אינך יכול לעבוד את האלוהים ואת הכסף!
28061900f4	”משום כך אני אומר לכם שלא תדאגו לדברים חומרניים ויום־יומיים כמו מה לאכול ולשתות ומה ללבוש. הלא החיים חשובים מאוכל, והנפש חשובה מהלבוש.
28061a0154	תחשבו על הציפורים למשל: אין הן דואגות למה שתאכלנה – הציפורים אינן זורעות, אינן קוצרות ואינן אוגרות מזון – כי אביכם שבשמים מאכיל אותן ודואג להן. והלא יקרים אתם לאלוהים הרבה יותר מהציפורים.
28061b0099	חוץ מזה, מה תועיל דאגתכם? האם היא יכולה להוסיף עוד יום לחייכם, או עוד סנטימטר לקומתכם?
28061c0079	”ומדוע אתם דואגים ללבוש? הביטו בפרחי הבר! אין הם דואגים למה שילבשו!
28061d005d	ואילו שלמה המלך בכל תפארתו לא היה לבוש יותר יפה מהם!
28061e00c3	ואם אלוהים מלביש את פרחי השדה הצומחים היום ונובלים מחר, האם אינכם חושבים שילביש גם אתכם, חסרי אמונה שכמותכם?
28061f0035	”לכן אל תדאגו לאוכל או ללבוש.
28062000c2	בני־אדם שאינם מאמינים באלוהים דואגים יום־יום למה שיאכלו וישתו, אולם אביכם שבשמים יודע בדיוק מה אתם צריכים.
2806210092	בקשו לפני הכול את מלכותו של אלוהים וחיו ביושר, והוא ייתן לכם את כל מה שאתם צריכים.
2806220070	”אם כן אל תדאגו למחר; אלוהים ידאג למחר שלכם, ודיה לצרה בשעתה.“
280701003a	”אל תשפטו אחרים, ולא ישפטו אתכם.
2807020095	כי יתייחסו אליכם לפי איך שאתם מתייחסים לאחרים. ישפטו אתכם במידה שאתם שופטים אחרים.
2807030082	כיצד יכול אתה לראות שביב־עץ קטן בעין חברך, ולא להבחין בקרש הגדול שבעינך?
28070400cb	”איך אתה יכול לומר לחברך:’תן לי לסלק את השביב מעינך‘בזמן שבעינך יש קרש כזה גדול? הרי כלל לא תוכל לראות את השביב!
2807050093	צבוע שכמותך! סלק תחילה את הקרש מעינך, ורק לאחר מכן תוכל לסלק את שביב העץ מעין חברך!
28070600c5	”אל תתנו דברים קדושים לאנשים מושחתים, אל תתנו פנינים לחזירים. הם ירמסו את הפנינים, ולאחר מכן יפנו לתקוף אתכם.
2807070076	”אם תבקשו – תקבלו; אם תחפשו – תמצאו; ואם תדפקו תיפתח לפניכם הדלת.
2807080066	כי כל המבקש מקבל, כל המחפש מוצא, ולפני כל דופק נפתחת הדלת.
2807090068	אם ילד מבקש מאביו פרוסת לחם, האם האב ייתן לו אבן במקום לחם?
28070a004a	אם הילד מבקש דג, האם אתם חושבים שיקבל נחש?
28070b00d5	ואם אנשים רעים וחוטאים כמוכם נותנים לילדיכם מתנות טובות, האם לא ייתן אביכם שבשמים מתנות הרבה יותר טובות למבקשים ממנו?
28070c0086	”עשו לאחרים את מה שהייתם רוצים שיעשו לכם – זאת תמצית התורה ודברי הנביאים.
28070d0086	”הלכו דרך הפתח הצר, כי השביל המוביל לאבדון הוא רחב, ושער הכניסה רחב גם הוא.
28070e0063	אולם שער החיים הוא קטן, השביל צר, ורק מעטים מוצאים אותו.
28070f00c7	”היזהרו לכם מהמורים המפיצים תורות שקר. הם מתחפשים לכבשים תמימים, בעוד שלמעשה הם זאבים רעים הרוצים לטרוף אתכם.
28071000f7	תוכלו לזהות אותם על־פי התנהגותם, כשם שאפשר לזהות עץ על־פי פירותיו. הלא יודעים אתם להבחין בין גפן ענבים לבין ברקנים, בין תאנים לבין קוצים!
2807110055	עץ משובח נותן פרי משובח, ועץ רקוב נותן פרי רקוב.
2807120057	עץ טוב לא ייתן פרי רקוב, ועץ רקוב לא ייתן פרי טוב.
2807130057	משום כך יש לכרות ולשרוף כל עץ שאינו נותן פרי טוב.
280714005c	אכן, גם עצים וגם בני־אדם אפשר לזהות על־פי פירותיהם.
280715011a	”לא כל מי שמדבר כאיש דתי ואדוק הוא באמת מאמין. הם יכולים לקרוא לי:’אדוני, אדוני‘, אבל אין זה מספיק כדי להכניסם לשמים. החשוב הוא אם הם שומעים לקול אבי שבשמים.
28071600b1	ביום־הדין יאמרו לי אנשים רבים:’אדון, אדון, הלא בשמך ניבאנו, ובשמך גירשנו שדים וחוללנו נסים רבים‘.
2807170077	אולם אני אענה:’מעולם לא הכרתי אתכם. הסתלקו מכאן, פושעים שכמותכם!‘
2807180083	”כל מי שמקשיב לדברי ומקיים אותם, דומה לאדם חכם הבונה את ביתו על סלע איתן.
280719008b	שכן גם אם ירד גשם שוטף ותתחולל סערה, לא ייפול הבית ולא יתמוטט, כי נבנה על הסלע.
28071a008c	לעומתו, מי שמקשיב לדברי ואינו מקיים אותו דומה לאדם טיפש הבונה את ביתו על החול.
28071b0059	שהרי בבוא שיטפון וסערה יתמוטט הבית וייהרס כליל.“
28071c0050	ההמונים נדהמו מאוד כששמעו את הדרשות של ישוע,
28071d0051	כי הוא דיבר אליהם בסמכות רבה ולא כמו הסופרים.
2808010043	כשירד ישוע מהגבעה הלך אחריו קהל גדול.
2808020093	אדם חולה בצרעת בא לקראתו, נפל על ברכיו והתחנן:”אדוני, אם רק תרצה, תוכל לרפא אותי.“
280803006e	ישוע נגע באיש ואמר:”ודאי שאני רוצה. הירפא!“ומיד נעלמה הצרעת.
280804010c	”אל תספר על כך לאיש“, אמר לו ישוע.”לך מיד אל הכהן והראה לו שנרפאת. אל תשכח לקחת איתך קורבן טהרה, כפי שציווה משה על בני־ישראל, כדי שכולם יראו שנרפאת!“
28080500d6	כשהגיע ישוע לכפר־נחום, בא אליו קצין רומאי והתחנן לפניו שירפא את משרתו הצעיר, השוכב משותק על מיטתו וסובל כאבים נוראיים.
280807003f	”כן“, השיב ישוע.”אבוא לרפא אותו.“
28080800ae	”אדוני“אמר הקצין,”אני לא ראוי שתבוא אל ביתי, וגם אין צורך בכך. רק צווה שמשרתי יירפא, והוא יירפא.
28080901bd	כיצד אני יכול להיות בטוח בכך? הרי אני איש צבא ורגיל לקבל פקודות מהממונים עלי, ואף לתת פקודות לחיילים תחת פיקודי. אם אני אומר לחייל אחד:’לך‘, הוא הולך. אם אני אומר לחייל אחר’בוא‘, הוא בא. ואם אני אומר למשרתי:’עשה עבודה זאת או אחרת‘, הוא עושה אותה.“
28080a0099	דברי הקצין הפליאו את ישוע. הוא פנה אל הקהל ואמר:”בכל ישראל לא ראיתי אמונה גדולה כזאת!
28080b00b4	אני אומר לכם שגויים רבים, כמו הקצין הזה, יבואו מכל העולם וישבו במלכות השמים יחד עם אברהם, יצחק ויעקב.
28080c007c	ורבים – שלמענם הוכנה המלכות – יגורשו לחושך, למקום של בכי וייסורים.“
28080d00a2	לאחר מכן אמר ישוע לקצין הרומאי:”לך עתה לביתך; הדבר שהאמנת בו נעשה!“ובאותה שעה נרפא המשרת.
28080e0083	כשבא ישוע לביתו של שמעון, ראה את חמותו של שמעון שוכבת במיטתה וקודחת מחום.
28080f006c	ישוע נגע בידה, ומיד ירד החום. היא קמה ממיטתה והכינה להם אוכל.
28081000b2	באותו ערב הובאו אל ישוע מספר אנשים אחוזי־שדים. במילה אחת מפיו של ישוע ברחו כל השדים, והחולים נרפאו.
2808110071	מעשה זה הגשים את נבואת ישעיהו:”חלינו הוא נשא ומכאובינו סבלם.“
2808120098	כשראה ישוע את הקהל הרב שהתאסף סביבו, הורה לתלמידיו להתכונן לעבור לצד השני של הכינרת.
280813007a	באותו זמן ניגש אליו איש דת אחד ואמר:”רבי, לכל מקום שתלך, אלך אחריך!“
28081400c4	אולם ישוע ענה לו:”השועלים מתגוררים במחילות האדמה, ולציפורים יש קנים. אולם לבן־האדם אין מקום להניח את ראשו.“
2808150084	תלמיד אחר אמר לישוע:”אדוני, הרשה לי קודם לקבור את אבי ואחר כך אלך אחריך.“
