2900000006	Malkus
29010f0066	Ati ussu “Cini apoyi gunki Lya ɓalnja i. Zakǝn pǝtl byazǝn lǝɓa ndǝnǝ nǝ shilǝn ki Lya.”
2901100084	Ati ɓeuti abi dlilka ki Galili, i' en ki Bitlus nǝ Andalawus yelse wasi, asi lati lekku a dlilka tǝngaki si mi' gopti Kes kǝnǝ.
290111004a	I Yesu ulsisu “bǝlǝnnǝn kali, an palkini adǝmni mi' ngau mbalǝn.”
2901120035	Alǝbi alǝbi is za lati lekku wasǝn is bǝlti kali.
290113006e	Nǝs ɓeu kina ten i' en Yakubu nǝ yelse wasi Yahaya, mil ki Zabadi, a ge Kudǝlǝn ki mali asi likǝ' lekku.
290114006e	Nǝ' takisi bi'u Alǝbi alǝbi is bǝlti kali. Is za bwaswasǝn Zabadi age Kudǝlǝn ne' mil pǝliti kyautǝn.
290115006d	Is tege gatl ki Kapalnahum cin shuti, i' Yesu tege lu dopga ki Yahudawa ati kulcisi shǝlǝn ki Lya ɗaɗanu.
2901160093	Is en ulki gagashinti tǝn ulnǝ ti kulcissi u, tǝn gaki ti kulcissi kǝnǝ gunǝ ti kumti nǝ ndǝlton u, bǝ kǝnǝ mi' lashti zhil ki Musa wai.
290117003d	Mulǝn ɗa, mul du mi'gatli a ge'lu dopga wasǝn, i' la yali,
290118008e	I' usu, “Yalamineki Yesu yakǝn nazalet? Ki mbǝni ki hwotimi bezǝn lǝɓa ya? A manini ki wokǝni, ki yakǝn ki Lya mul zo'mbadl kǝni!”
2901190048	I Yesu mati mi'gatli ki geti, i' usu, “Dǝm shot! Pe' ɗǝ ge mulu!”
29011a003f	I ki i bezǝn mi'gatli i' u mulisi. I' la yali, i' petaka geti.
29011b00bb	Kum mbalǝn en ulki gagashinti, is go' gyep yelsǝni, a si u'su, “Yakǝn nǝgu u? A sǝti pyal kushti won ngǝ! Mulu tinǝ ndǝtl ki pi' du mi'gatliyi shilǝn, a si kup shilǝn wasi!”
29011c0037	Alǝbi alǝbi shilǝnni zǝga ko una ge' atl ki Galili.
29011d0060	Nǝ petwasǝn ge' lu dopga ki Yahudawa, ki Yakubu nǝ Yahaya is te libi ki Bitlus nǝ Andalawus.
29011e003e	Kom ki Bitlus ki muɗi atli ti gonti, nǝ te ki Yesu, is piti.
29011f0052	I' lǝ mati, i' gopi' toh i' tliltilya, i' ndoki, i' hilya ma i' pǝlisi kyautǝn.
2901200049	A suti, kalki ki nda ki cin, is mbǝlli Yesu mi' gonti, nǝ mil mi'gatli.
2901210031	I mbalǝn ki ge' gatli kup si domga a kina dlabi.
2901220098	I' ndokǝl mbalǝn diɓǝli, ko wongi nǝ unndi gontuwasi, iki pe'kǝl mil mi'gatli diɓǝlli. Ta ndǝgi tǝ mi'gatli shilǝn wai, tǝn gaki simanǝnti.
2901230082	Nǝ kyau, balu a pa' ciltuwai, I Yesu hilya i' peki, i' zǝga gelu u nǝ bǝ mbalǝn ɗawai u, i' zǝga ɗǝ shilǝn nǝ Lya tyaka
2901240038	I Siman nǝ mbalǝn u nǝ tinesi u is zǝga ɗǝ ngauti.
2901250035	Nǝs mbitu, is ultisu, “kup mbalǝn ɗǝ ngauki.”
2901260072	I Yesu ulsisu, “Mǝlǝn ge' gatlu gunǝ kina u, ta dlǝm shilǝn ki Lya ɗa ɗanu. Ulnǝ laki yambǝɗa ungu.”
2901270079	I kup ti tya'tya ge' atl ki Galili a ti dlǝm shilǝn ki Lya a ge' lu dopga ki Yahudawa, a ti pyakǝli' mbalǝn mi'gatli.
2901280075	Mul go' ki dakǝlti i'mbǝ ma Yesu, i' ngusiti i'ngemti, a ti ussu, “Inka ndǝgu, kin ma'paltǝn mul lǝshi ɗa'ti.
2901290070	I ci' gontuwasi gop Yesu, i' ta toh wasi i' tǝnti, i' ultisu, a ndǝgi, a ndokǝlki, dǝmi mul lǝshi ɗati!”
29012a003a	Alǝbi alǝbi i dakǝltisi zati, i' dǝm mul lǝshi ɗati.
29012b0036	I ki i Yesu pi' shilǝn mul ndǝlti, nǝ tǝs zǝga u.
29012c00bf	I' ultisu, “Bǝ pi mullǝn wai. Mǝllǝ le' en lǝɓa, a bǝl Lya ulki okǝtl bezǝn lǝɓa kanwunǝ Musa dlǝmi u tǝn gaki wokǝlti. Pǝli nǝgu tǝngaki tǝ mbalǝn mani ɗa ka ndoki.”
29012d00d9	Ge' shuki nǝgu, i muli peki i go' dlǝp shilǝnni tyai. I gu la Yesu ta man te' ge gatlon a dwaɗǝn ɗǝ ye' dwaɗǝnwai, i' go' dǝp gelu u nǝ mbalǝn ɗa wai u. Ngo nǝ nǝgu, mbalǝn go' mbǝ mati, te' ge lu en.
290201003c	Kal ki mutti ten, nǝ palte' Kapalnahum, is kummi ti a libi.
2902020066	I' mbalǝn dom ga diɓǝlli, lu zǝ' a sǝn ma ɗawai, abi dlabi ma. A Yesu ɗǝ pi'si shilǝn ki Lya.
290203003c	Mbalǝn upsi is mbǝ, is kam Mulǝn tyai ki tle ki mi'gatli.
290204009e	Saman tǝla'ti ma Yesu wai tǝngaki diɓǝtl ki mbalǝn, is mbulǝn gabini tu' malu u nǝ Yesu ɗa u nǝs mbul gabini u, is shim muli suɗi, nǝ lu muttuwasi.
2902050068	Nǝ Yesu en lati mbatluwasǝn u i' ulmul ki tle ki mi'gatlisu, “Yakuyini a paci bazǝn lǝɓa wagi.”
290206004a	Mbalǝn mi' lashti zhil ki Musa siki dǝmi a lǝbi, a si shilǝn a mbadli,
29020700a6	A si ussu, “Ya lakiɗa mulu ɗǝ shilǝn nǝgu? Pǝli' Lya bezǝn lǝɓa ti ɗa! Wokǝn ma' wokǝli yakǝn mbalǝn bezǝn lǝɓa wasi ǝnbǝ Lya kǝn nǝmmwai u?”
2902080077	Alǝbi alǝbi i Yesu man ulnǝ si dlǝmti a mbadlu, i Yesu ulsisu, “Yakǝn laki ɗa ki unndi shilǝn u a mbadlwakǝn?
2902090086	Gukǝn ngǝtli nǝ mbǝlǝ, ti ulmul ki tle usu, ‘A wokǝli bezǝn lǝɓa wagi’ nǝ ta usu, ‘Hilya kam lumuttwagi ki zǝgaya?’
29020a0079	Ami lyamti ki manini Yakǝn mbalǝn ti nǝ ndǝtl ki wokǝl bezǝn lǝɓa a dǝplaɓa.” I' ul mul ki tle ki mi'gatli su
29020b0034	“A ulkisu, hilya kam lumuttuwagi ki zǝga libi.”
29020c00a1	I Alǝbi alǝbi tǝ hilya, i' kam lumuttuwa si, i' peki a kum mbalǝn ɗǝ yetti, a si kup gagashinti, a si natl Lya asi ussu, “Ma en ulǝn nǝgu gason wai.”
29020d0067	Yesu peki i' lǝ bi Dlǝlka ki Galili ɗa ɗanu, Mbalǝn diɓǝli is domga a malgǝn wasi, ati kulcisi.
29020e0089	A ti beuti, i' en Lawi yakǝn ki Halpa ki dǝmi ati kyautǝn ki ka' upki ban. I Yesu ultisu, “Bǝlǝn kali.” I' hilya i' bǝlti kali.
29020f00ba	Gason Yesu ɗǝ ɗap ulki ɗami a libi ki Lawi, mul ka' upki ban ne mi'bezǝn lǝɓa nǝ mbalǝn diɓǝli si ɗamti ne'ti ne mil kushti wasi, tǝn gaki mil diɓǝlti gesi mi' bǝtlti ni;
29021000dc	Nǝ mi' lashti zhil ki Musa si palisiyawani is enti ɗǝ ɗamti nesi, nǝ mi'bezǝn lǝɓa nǝ mi' ka' upki ban u, is ul mi' kushti wasisu, “Ya laki ti ɗamti nǝ tleti ne' mi' kap upki ban nǝ mi'bezǝn lǝɓa ɗa?”
29021100d9	Nǝ Yesu kumi nǝgu u, i' ulsisu, “Mi' ginǝ bǝ ɗa gontwai u sikǝn lǝ' mamul pǝtl igǝn wai, mi' gonti si ɗǝ ngau mul igǝn. Tǝn gaki mi' pǝtl ze kautǝnkǝn a mbǝɗawai, tǝn gagi mi' bezǝn lǝɓa ni.”
29021200c9	Mi' kushti ki Yahaya mul baptisma nǝ ki palisiyawa si pǝtl kuzǝn mali. Mbalǝn en ngem Yesu is usu, “Yalaki ɗa mi' kushti ki Yahaya nǝ ki palisiyawa si kuzǝn mali gwaɓo si ɗa pǝtl ti wai?”
290213008f	I Yesu ulsisu, “Yelǝnsi ki mul kutleti sǝn pǝtl kuzǝn mali a mul kutleti nesiya? Tunnǝ mul kutleti nesi u sǝkǝn pǝtl kuzǝn malilwai,
2902140055	Cin ɗǝ mbǝti sinkap mul kutletiyi taka ɗǝ masi. Cinisini sǝn pǝtl kuzǝn mali.
290215008a	Kǝn ca'ti mbulǝn gǝsi nǝ pyal lulutwai. In a caki nǝ nali u, pyal luluti nǝn kyeshti gus lulutisi, nǝn ngǝtlti ki kal nǝ kyeshti.
29021600d2	Kǝn bǝna pyal mal ki mil pǝ' ki annabi ge gus kal ki bati wai. Mun nǝ a bine u, mali si nǝn tatlti kal ki bati si, a hol kal nǝ mal innabi isi. Pyal mal ki mil pǝ' ki innabi, sai nǝ pyal kal ki bati.”
290217007c	Gason cin shuti, Yesu ne mil kustiwasi si ɓeuti ge' gu ki alkama. Sige ɓeuti i mil kusti ki Yesu is go' catl ga alkama en.
290218008b	I palisiyawa ultisu, “En ulnǝ mil kushtiwa ɗǝ pǝlti u. Ya laki ɗa si pǝtl ulnǝ zhil ki Musa a ndigi ti pǝlti cin ki shutwai u?”
290219008c	I Yesu njesi shilǝn nisi i' ulsisu, ka kummǝn shilǝn ki ulnǝ Dawuda pǝli u waiya, cin u nǝ kuzǝn gopti, ti ne' yelǝnsi lǝtwaswaiya?
29021a00b7	Hwon u nǝ Abiyatal tiki bal lǝɓa, Dauda tege' Libi ki Lya, i' ɗam biledi gunǝ zǝdli u iki bǝl yalǝnsiwasi ginǝ ne'tu, ki ɗami ki lǝɓasi ni nǝgwasǝn mulǝn kǝn ɗamtwai.
29021b005b	I Yesu ulsisu, “Pǝlǝn cin shuti tǝngaki mbalǝn, ba pǝlǝn mbalǝn gaki cin shutuwai.
29021c003a	Yakǝn mbalǝn kǝnki mulban ki shuti nǝ ki cin shuti.”
2903010050	I Yesu te ge' lu dopga ki Yahudawa, mulǝn ɗa alǝbi mul toh kitle ki mi'gadli.
2903020065	Tǝn gaki sǝmbi shitu ki gopti Yesu ɗa. I mbalǝn yen zid dwaɗǝn, tǝn ndokǝl mulisi cin shutwa?
2903030033	I Yesu ulmul toh ki tle yisu, “Pete' ki akina.”
290304007d	I Yesu ulsisu, “Ambuni tǝ pǝl ze' lǝɓa ko bezǝn lǝɓa cin shuta? Ti pekǝl mul mǝshti, ko ti tlota?” Is dǝm shot.
2903050093	Nǝ' yasi nǝ mbadli ki lewi u, ati du mbadli nǝ ɗashti ki mbadlwasǝn, i' ul mulisisu, “Ta' toh wa'teɗi.” Ittakit tye, i toh was pal lǝbi.
2903060076	Nǝ palisiwa yani nǝgu u is peki, Alǝbi alǝbi is dlil shilǝn nǝ mbalǝn ki Hilidus a tǝnti, kau u nǝ si' tlotu.
2903070081	I Yesu hilya ne' mil kushtiwasi, is za'gatli is lǝ tya bi dlǝlka ki Galili. Mbalǝn mi' diɓǝlti iye ki Galili is bǝlti kali.
29030800d8	Nǝs kum ulnǝ ti pǝlti u, mbalǝn is mbǝ te' Yahudiya nǝ Ulushalima, nǝ atl ki Edom, nǝ te' bǝ gasi ki dlǝlka ki Uldum, nǝ te'ge luki Taya nǝ Sidom, bal dopga mbǝ mati, tǝn gaki si' kum ulnǝ ti pǝlti u.
290309006c	Tǝn kitǝlli' ɓa mbalǝn diɓǝli gyemti, i ul mil kushtiwassu shakǝli nǝn kudǝlǝn ki mali nǝm teɗi.
29030a0084	Ti' pǝlin nǝgu u tǝn gaki ta ndokǝl mbalǝn diɓǝlli, i laki ɗa kum mbalǝn mi' gonti si shimga te' mati tǝn gaki si' tǝnti.
29030b0067	Du mi'gatli, ko anǝmi si enti, as nda kinawasi asi lati yali, asi ussu, “Ki yakǝn ki Lya kǝnǝ.”
29030c002b	I' dlǝmisi bǝs pi mbalǝn okǝnki ti wai.
29030d0042	I' Yesu totǝn zǝnga, i' taki ginǝ ti lyap siyi bi, is lǝ mati.
29030e0066	A gesi is zabǝl mbalǝn kutl nǝ lop si' dǝm neti, tǝn gaki ti'go' shi'si asi dlǝm shilǝn ki Lya,
29030f0027	I' bǝlsi dǝlti ki pekǝl du mi'gatli.
2903100023	Ginǝs zabǝl siyi kǝngyi, Bitlus,
2903110061	Nǝ Yakubu yakǝn ki Zabadi, Nǝ yalkewasi Yahaya, i' bǝlsi shin Buwanaljis' mil ki ndaltannaca.
2903120093	Iki ɗaɗanu i' zabǝl Andalawus, nǝ Pilibus nǝ Baltamawas, nǝ Matiyu, nǝ Toma, nǝ Yakubu yakǝn ki Halpa, nǝ Taddawus, nǝ Saminu Bakan'ane,
2903130026	Nǝ Yahuza Iskaliyoti gunǝ bǝl Yesu.
2903140066	I Yesu te' libi won, iki i mbalǝn dopga ɗaɗanu hal saman ɗap ulki ɗami wai ti ne' mil kushtiwasi.
290315005f	Nǝ yelsǝnǝ wasi kumi nǝ gu u, iki is lǝ ɗǝ goptiti, tǝn gaki si usu, “Ga agǝliti.”
290316008a	Mi' kushti zhil ki Musa gǝnǝ pete' Ulushalima is usu, “Ba'alzabul kǝn totǝnti! Nǝ ndǝtl ki guu mi'gatlkǝn ti pekǝtl mi'gatli.”
2903170052	I Yesu takisibi, i' cimbǝlisi i' usu, “A u kǝn ti Shaɗan man pekǝtl Shaɗan?
290318003e	In gu' a bwasi a tǝn nge yelsǝni u, guntu kǝn lǝ' kinawai.
2903190047	Nǝgu in libi a bwasi a tǝn nge' yelsǝni u, libi u kǝn lǝ' kinawai.
29031a0048	In shaiɗan a dlani ga wasu, a bwasi, kǝn lǝ'kinawai, patwas kǝnmbǝ.
29031b0076	Mul ma' te' ge libi ki mul ndǝlti a' em galwasi ɗawai. In ba' kǝndi mul ndǝlti wai u, iki annda yep gal ki libini.
29031c0060	Bali ami pi'kini nǝn paci ko mulu kǝn bezǝn lǝɓawasi, nǝ bezǝn shilǝn u nǝ' tǝpǝli u.
29031d0069	Gunǝ a pǝli Yalkimbatl ki Lya ki gunti bezǝn lǝɓa u, kǝn paci tiwai, nǝ ngatlti ki dǝp lǝɓa.”
29031e0028	Gi ɓo si usu, “Du mi'gatli ni'ɗa.”
29031f0051	Iki dya ki Yesu ne' yelsǝniwasi is mbǝ. Is dlil a dla, is ta' shinkǝn timmbǝ.
290320006c	Dop ga ki mbalǝn ki dǝmi a malgǝn wasi, is ultisu, “Dya wa' kǝngu nǝ yelsǝni wagi si kauki a dla.”
2903210037	I' gyemsi, “ki wokǝn ki dya ini nǝ yelsǝni ini?”
2903220044	I' ya ginǝ a malgǝn wasi, i' usu, “Dya ikǝngu nǝ yelsǝni ini!
2903230064	Ko mulu kǝn pǝl ulnǝ Lya ɗǝ lyamti u, tiki dya ini nǝ yelsǝni ini, tiki koli ini ɗaɗanu.”
29040100de	Ɗaɗanu Yesu a gop kulci'si shilǝn ki Lya abi dlilka u ɓalu, I' mbalǝn mil diɓǝlti domga amati, I lati, i'te ge' kundǝlǝn ki mali, Adlǝlka, i' dǝm a giɓi. I' dopga ki mbalǝn dlǝl atǝn bǝgasi abi dlǝlka isi.
2904020044	I' kulcisi lǝɓa diɓǝli nǝ cibǝlti. A ge kulcisiwasi i' ulsisu,
290403004e	“Ga kǝn kum! Mulǝn mul kotllu won ɗa is zǝga gegu tǝn gaki ti' wotl o'.
2904040050	Tige dlati wundi lǝɓa, Ina wundiyen nda tǝn shutu, i yatli ɗakǝn unndiyisi.
290405006f	Un ndiyen is nda age lu mul zǝnga luwu nǝ bǝ atl ɗa iye wai u. Alǝbi alǝbi is te' tǝn gaki atli loluwai.
2904060047	Nǝ cin peku, Is landǝli, tǝn gaki dlǝlgwasǝn loluwai, Is kwakǝni.
290407003a	I gyen nda age ili, I ili sǝnkǝlsi, Sa man pǝtl gwewai.
29040800bc	I gyen ɗaɗanu is nda gye lu atl ki zeki, Is te' kizeki, Is nali, Is pǝl gwe, I gyen pǝl gwe kutl kutl lǝbi maki, Gyen kutl kutl lǝbi mǝkka, Gyen kutl kutl lǝbi kutl.” I Yesu usu,
2904090021	“Mul kǝm ki kumti tǝ'kumi.”
29040a0064	Nǝs pal mal gǝni u, Mil bǝtlti nǝ kutl nǝ lopiyi iki is gyemti yakǝn cimbǝlti u ɗǝ dlǝmti.
29040b007b	Iki i' ulsisu, “Kini ɓo, a ndǝgikini i kimannǝn tuki libi ki Lya, Gyen ginǝ bǝ ɗa gyekini wai u, Sai nǝ cimbǝlti.
29040c00b1	“‘Yenti nǝ dwaɗǝn ɓo, Sa yeniyi, bǝ a mbatldlwai. Kumti ɓo, Sa kumiyi, Sa man ulnǝ ɗǝ dlǝmti u wai, Tǝn gaki, ɓaspaltyai a pacisi bezǝn lǝɓa wasǝn ɗa.’”
29040d0058	Yesu ulsisu, “A!, Kimanǝn ciɓǝlti uwayya? Tu i mi kǝnkimanǝn na ciɓǝlti en ɗa?
29040e002e	Mul wotlti o' u, Shilǝn ki Lya kǝnti wotlti.
29040f00b5	Ginǝ ndatǝn shutu u ɓo, Siki ciɓǝlti ki gǝnǝ wotl shilǝn ki Lya a mbatl dlwasǝn u. Sǝn kup shilǝn nisi, Alǝbi alǝbi a shaidan kam shilǝn u nǝ wotldli a mbadlwasǝn u.
290410006f	Nǝguni ɗaɗanu gunǝ wotl unndi o' a ge lu zǝnga u, Siki ginǝ sǝn kup shilǝn ki Lya as kami nǝ hwoltugi.
290411007b	Si ɓo, Gǝs nisi ɗawai, si kǝn dǝm iye wai, ko ulukǝn hwossi tǝngaki shilǝn ki Lya u, Alǝbi alǝbi as pal nǝ kali.
2904120050	Unndi ginǝ nda gelu ili u, iki ciɓǝlti ki mbalǝn u nǝ kum shilǝn ki Lya u,
290413008c	Dǝp lǝɓa a hwosi u, nǝ lyap usǝn u, Nǝ laki lǝɓa u, Nǝnte'ti gesi asǝnkǝl shilǝn nisi, Ashilǝn nisi kǝn dǝmti kizeki masiwai.
29041400e3	Undi u nǝ nda age luki zeki u, iki cimbǝlti ki mbalǝn u nǝkum shilǝnisi, Sǝn kamti, As pǝl kyautǝn nǝ nali, As mbi mbǝlti tǝnki gyen kutl kutl lǝbi maki, Gyen kutl kutl lǝbi mǝkka, Gyenɓo kutl kutl lǝbi kutl.”
290415007f	Yesu ulsisu, “Nǝn mbǝtl pitila teɗi a idlati nǝ bal gala, ko nǝnzǝdli agǝs lumutti, kin zǝti atǝn lu dǝmtuwa swaya?
2904160048	Kum ulnǝ ki hwundǝli u, nǝn pekǝlti. Ulnǝ ki kuppi u, nǝn ɗutiti.
290417001f	Mul kǝm ki kumti, ti' kumi.”
2904180067	Yesu ulsisu, “Kumini, ko'talaku' nǝ cimbǝlin ɗa u, nǝ nali si' cimbǝlliki, hal ma as mbǝli ɗa.
2904190070	Tǝngaki mulnǝ ulǝn ni'ɗa u, sim mbǝli' tiɗa, mulnǝ ulǝn ni' ɗawai u, na' ulnǝ nitu sin kamiti taka.”
29041a0043	Yesu ulsisu, “Gu' ki libi ki Lya kǝnǝ mul dlati u'kǝni a atli.
29041b0042	Mutti nǝ hillya i undi te, i nali, timan kan u nǝ pǝl dli uwai.
29041c005f	Atli nǝ gawasi ti bǝtl lǝɓa, ki nǝm iki ulnǝ ɗǝ te'ti, sai ga, nǝ balgye laɓa tǝnki.
29041d004c	In gwe yi a nyau, iki alǝbi alǝbi atlo'dli nǝ kwaltǝn, gis acilu ngu.”
29041e005b	I' usu ɗaɗanu, “Nǝ yakǝn tǝn cimbǝlǝn gu' ki Lya? Ko nǝ yakǝn tǝn cimbǝlǝnti?
29041f0059	Kǝnǝ gwe mastad kǝnɗa, gunǝ, iki yakǝn gwe lǝɓa gunǝ ɗǝ wotlti adǝp lǝɓa u,
2904200073	Ngo nǝ nǝgu in wotl tu, an ngǝtl kap na dwa nǝ nalti, ap pǝlbas mil toh, yatl ma as man nda a gwasǝn wasi.”
290421004d	Nǝ cimbǝlti diɓǝli Yesu dlǝm misi shilǝn ki Lya, ndace nǝ mantiwasǝn.
290422006e	Ti ɗa pissi ulǝnwai, sai nǝ cimbǝlti. Iki ti pi' mil kushtiwasi ko yanngi a malgǝni bǝ nǝ cimbǝltiwai.
290423006c	Age'cinisi, nǝ cin ɓalnja ti nda u, i Yesu ul mil kushti wassu, “Mi' ɗakǝcin tyatǝn bi dlǝlka ka.”
290424007e	Nǝsza dopga ki mbalǝn akalu, is zǝga neti kau u nǝ tiɗa u age kundǝlǝn ki mali, na kundǝlǝn ki mali si amalgǝn wasi.
2904250063	I bal lya ki mali mul yetǝl dlitoɗi, i bǝski mali go' tliti lya ɗǝ lyap jakǝ' kuɗǝlǝ nisi.
29042600b1	Yesu ɓo ati tu kal age kundǝlǝn ki mali atǝn lumutti, ati nde enbuɗi. Iki mil kushtiwasi is dlilti ɗǝ enɓuɗi, is ultisu, “Mul lashti, mun mǝshti kin ɗa entiwaya?”
290427006b	I' hilya ɗǝ enɓuɗi, i' mati etǝlli, i ultisu “dǝm shot!” Iki i yetǝlli muɗi, i kumlu dǝm shot.
2904280060	I' ulsisu, “Tǝn gaki yakǝn lakiɗa ikumǝn ɓanti nǝgu? Hal nǝgun lati mbatl kǝn nuna?”
2904290063	Iskum ɓanti iye, is ulyelsǝnisu, “Wo kǝngu? Yetǝl nǝ mali ki dlika si bǝtl shilǝn wasi!”
2905010042	A Yesu ne mil kushtiwasi is ɓǝci bidlilka age atl ki Galasinawa.
2905020068	Nǝ pe'tuwasi ɗige kundǝlǝn ki mali, iki mul du mi'gatlon kǝngu te' gelu gum mbalǝn i mbǝ ma Yesu.
2905030067	Ti ɓo lugum mbalǝn kǝn ki lǝ dǝm tuwasi. Mul ma'kǝndǝtti ɗawai, ko nǝ ulkǝndǝ mbalǝn kidom.
2905040089	Tǝn a tle kǝndǝti toh nǝ asǝn nǝ ulkǝndǝ mbalǝn ki dom, ati ɓaɓatlti, a cacal dom ki tǝn asǝni. Mul ma'pǝliti ulǝn ɗawai.
2905050070	Gasi nǝ dloncin a gelu gum mbalǝn ti dǝmti, nǝ tǝn zǝga, ati latiyali, ati gǝlǝshti dli wasi nǝ zǝnga.
290506003f	Nǝ en Yesu te' lolu u, i' em kitǝl tya mati i' gus akinawasi.
2905070074	I' layali i' usu, “Yesu yakǝn ki Lya mul nalti, ya lakǝnmiki? A maki nǝ Lya yi, bǝ hwoti besǝn lǝɓa wai.”
2905080050	Tǝ ndan akinawasi nǝgu u tǝn gaki Yesu ultisu, “Za mulu, Ki du mi'gatli!”
2905090062	I Yesu gyemti, “Ya kǝn ki shinwagi?” I' ultisu, “Shin i kǝnki, hututu, iki mi dimbǝli.”
29050a0029	Iki i' go' gyep Yesu bǝ'katsi ɗǝ kiwai
29050b0038	Amalǝbisi lu byatl dǝs kiban ɗa suttǝn mis calgadli.
29050c0053	Mi'gatli gyemti is usu, “In kandǝgu katmi swa ge dǝs kiban yi, tǝn te gesi.”
29050d00c1	I Yesu ndǝgisi. Iki yi du mi'gatli peki, is te ge dǝs kiban nisi. Dǝbǝtl ki dǝs kiban nisi sǝn pǝtl zangu lop, is hilya nǝ kitǝl, suttǝn mis calgadli is ndage mali ki dlilka is gǝli.
29050e0087	Aki kǝn mil byatl dǝs kiban ni tlǝ nǝ kitǝl, is su dlǝm shilǝnni age bas gatli nǝ mil gatli. I mbalǝn ɓǝ si' en ulnǝ nda u.
29050f0081	Nǝs ɓǝ ma Yesu u is en mul nǝs pekǝli mi'gatli ngu ki dǝmi, nǝ luluti ki laki adli, ti ge dliwasi ɗaɗanu, is kum ɓanti.
290510007d	Ginǝs pǝl ulisi a tǝn dwaɗǝn wasǝn u, is go' palli' mbalǝn shilǝn ki ulnǝ nda u nǝ mul mi'gatli nǝ dǝs kiban yi u
290511002a	I mbalǝn nisi pi Yesu ti' zaki atlwasǝn.
2905120059	Ti te'ge kundǝlǝn ki mali kǝn ngu, mulnǝ da du mi'gatli ɗa u bǝltibi ti' dǝm mati.
2905130080	Yesu a ndǝgi tuwai, i Yesu ultisu, “Lǝ libi ma yalsǝnǝ wagi, a pisi bas ulnǝ Lya pǝliku, nǝ ci'gontuwagu nǝ' eni u.”
2905140078	I' zǝga libi, i' tege dlǝm shilǝni a Dikapolis ki bas lǝɓa u nǝ Yesu pǝlitu. I kum mbalǝn i kum ulki gagashinti.
290515007b	Nǝ Yesu ɗakǝci tyatǝn bǝgasi gwa u ge kundǝlǝn ki mali ɗaɗanu u, I bal dopga ki mbalǝn gandǝlti. Ati abi dlilka.
290516006b	Iki mulǝn ngu age bas mul kina ki lu dopga ki Yahudawa, mul shin Yayilus. Nǝ en Yesu u in nda akina wasi,
2905170082	I' bǝlti bi balbali, i' ultisu, “Yakuyini yakǝnkǝli ti abiki mǝshti. Ami bǝtlki bi ngaɗi ki zittoh tǝngaki tin ndoɗa.”
2905180045	Iki is zǝga neti. Bal dopga ki mbalǝn ɗǝ bǝlti kali, asi gyepti.
2905190043	Iki kǝli won ngu ta pǝl hwon kutl nǝ lobpi a hwula ɗǝ binetti,
29051a008c	Kǝli u ta tle bal bǝna a toh ki mil bǝlt igǝn diɓǝli, ta gǝl kum ulnǝ ni' ɗa u, i ngo nǝnǝgu tambi ndotuwai, kina kina gonti ɗa.
29051b0060	Nǝ kumi ɗǝ dlǝm Yesu u, i' molti te' kalki Yesu age dopga nisi, i' tǝn bi lulugǝl ki Yesu.
29051c0042	Tǝn ti usu a mbatl tluwasi, “Lulugǝl ma atǝni u, an ndoti.”
