0100000009	Kutendeka
0101170058	Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa busaano.
01011800d1	Kabili Leza waalandile evi, “Kyalo kifumie misango yonse ya bilengua bikose mu misango ilekenkeene. Nama ya kuteekua, ni bilibyayibula pansi, ni nama ya mu kisonso mu misango ilekenkeene.” Evio i vikyaali.
01011900b4	Leza waakitile nama ya mu musitu mu misango yayo, ni nama ya kuteekua mu misango yayo, ni kubalua kilengua kilikyayibula pansi mu misango yayo. Leza waamwene nangue kyaali kyaweme.
01011a0116	Kabili Leza waalandile evi, “Ale kansi tubumbe muntu mu lukebu lwetu wapaleene ni fwefue. Kabili tumupeele buvinde bwa kuteeka masabi a mu lyezi, ni tooni twa mu lweleele, ni nama ya kuteekua, ni buvinde bwa kuteeka kyalo kyonse pamo ni bilengua byonse bilibyayibula pansi.”
01011b0084	Evi Leza waalengele muntu mu lukebu lwakue mwine. Mu lukebu lwakua Leza i mwaalengeelue muntu. Mwalalume ni mwanakazi, waabalengele.
01011c00d5	Leza waabapaalile wabaana nangue, “Ale vyalane musanduluke. Izuzie kyalo ni kukinasia. Muye mwali bakateeka ba masabi a mu lyezi, ni ba byoni bya mu lweleele, ni ba bilengua byonse bikose bilibyayibula pansi.”
01011d00b5	Leza waalandile evi, “Mone namipeela kubalua saasa uli pa kyalo kyonse uliwaseekako mbezu, ni kubalua kimuti kilikyaseekako mazabo ali ni mbezu mukati kuti bikabe bya kulia byenu.
01011e00a7	Inzi nama yonse ya pa kyalo, ni tooni twa mu lweleele, ni kyonse kilikyayibula pansi kili ni bukose, nabipeela maani a saasa kuti bibe bilio byabo.” Evio i vikyaali.
01011f0099	Leza waamwene nangue byonse bi-aakitile byaali byakilile kuwama. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa mutanda.
0102010042	Evi i vyaapwile kulengua kwa lyulu ni kyalo pamo ni byonse bilimo.
01020200ac	Mu busiku bwa kilooba, Leza waali wasyapwile miilo yakue yonse i-aali wakita. Ni pakako, waatuziizie busiku bwa kilooba ni kulekela kubomba miilo yakue yonse i-aali wakita.
010203007b	Leza waapaalile busiku bwa kilooba ni kubuzuukia pantu i busiku bu-atuziiziemo pa kyamba kya miilo ya kulenga bintu byonse.
0102040054	Leli i lyasi lya kulengua kwa lyulu ni kyalo. Yawe Leza lu-aalengele lyulu ni kyalo,
0102050098	pa kyalo tepaali pamenene kantu, ni saasa wa mu kisonso waali teunamene, pantu Yawe Leza waali tananokiepo nvula, kabili tepaali muntu wa kulima musili.
0102060035	Inzi menda a pansi i-aali aleeta kinwanvi pa bulongo.
0102070084	Yawe Leza waabuulile lufunko lwa bulongo, wabumba mwalalume ni kumupuzila mupuze wa bukose mu myona, ni ye wa-aluka kilengua kikose.
0102080059	Kabili Yawe Leza waakitile bukaba mu Edeni lya ku kabanga ni kubiikamo muntu u-aabumbile.
01020900d5	Yawe Leza waameniizie misango yonse ya bimuti pa musili, bimuti biweme mu monekelo, bilibyaseekako mazabo aweme a kulia. Pa bukata bwa bukaba, paali pali kimuti kya bukose ni kimuti kya kumana biweme ni bibiipile.
01020a0075	Momo mu Edeni i mwaali mwafumine mwenzi waali waleeta kinwanvi mu bukaba. Ozo mwenzi waali wakasanikilemo myenzi ina.
01020b005d	Mwenzi wa mambo uliwakuutua Pishoni. Ozo mwenzi i uzyungulukiile kyalo kya Havila kilimo oro.
01020c0052	Oro ya mu kekio kyalo iwamiisie, kabili i muli butonvu bwa bunu ni mabue a oniksi.
01020d0050	Mwenzi wa bubili uliwakuutua Gioni. Ozo mwenzi i uzyungulukiile kyalo kya Kushi.
01020e0071	Mwenzi wa butatu uliwakuutua Tigri. Ozo i upitile lya ku kabanga ka Asiria. Ni mwenzi wa buna uliwakuutua Efrati.
01020f006e	Kabili Yawe Leza waamutweme muntu ni kuya kumuteeka mu bukaba bwa mu Edeni kuti aye wasekwila ni kubulabukila.
0102100050	Yawe Leza waamwanine evi, “Mazabo onse a ku bimuti bya mu bukaba kuti wa-alia,
0102110092	inga sie mazabo a ku kimuti kya kumana biweme ni bibiipile, kyene tekuti ukalieko. Busiku buwaakalia mazabo a ku keki kimuti, kisinka waakafua!”
0102120072	Kabili Yawe Leza waalandile evi, “Muntu tapalile kuya waikeele bunke bwakue. Ndikumukitila mukwasi amupalile.”
01021300e2	Yawe Leza waabuulile bulongo ni kubumba kubalua nama wa mu kisonso, ni kubalua kyoni kya mu lweleele ni kumutwalila muntu, evi Leza amone vi-alikubiinika meena. Kubalua liina lyainikilue kilengua kikose, i lyaali liina lyakyo.
0102140095	Muntu wainikile meena a nama ya kuteekua ni meena a byoni pamo ni meena a nama ya mu kisonso, inzi pa bebi byonse muntu taamwenepo mukwasi amupalile.
0102150078	Yawe Leza waamuoniizie muntu tulo tukata. Lu-aali waonene, waamusomwenemo lubali lumo ni pa kyamba walinghaniapo munofu.
0102160079	Yawe Leza waakitile mwanakazi na lolia lubali lu-aasomwene ku muntu mwalalume, ni kumutwala ozo mwanakazi kuli mwalalume.
010217009c	Mwalalume waalandile evi, “Ozu i kikuza kya mu bikuza byane, ni munofu wa mu munofu wane. Evi alikuya wakuutua mwanakazi pantu afumiiziwe ku mwalalume.”
0102180077	Ni pakako, kubalua mwalalume waakaba wasia se ni nghina ni kuya kulundana na mukazi wakue, ni bo baakaaluka mubili umo.
010219004d	Mwalalume ni mukazi wakue baali bali sie bwamba, inzi tebaali baunvua busoni.
01030100cb	Kizoka kyaali kyakengeele kukila nama yonse ya mu kisonso yaalengelue na Yawe Leza. Kizoka kyaamwipuziizie mwanakazi, “Ati, ni kiine Leza waamikaniizie kulia mazabo a ku bimuti byonse bya mu bukaba?”
0103020051	Mwanakazi wa-asukile evi, “Mazabo a ku bimuti byonse bya mu bukaba kuti twalia,
010303008a	inzi Leza waalandile nangue, ‘Tekuti mukalie buzabo bwa ku kimuti kili pa bukata bwa bukaba, anzia kukumiako, pantu nga mwaakafua.’”
0103040035	Kizoka kyaamwasukile mwanakazi, “Mwandi, temukafua.
0103050097	Pantu Leza amanine nangue busiku bumwakaba kulia azo mazabo, menso enu akaba kwizuka, ni mwe mwakaba kwaluka nga Leza mu kumana biweme ni bibiipile.”
01030600c7	Mwanakazi lu-aamwene nangue mazabo a ku kekio kimuti aali aweme kuliiwa, ni aweme mu kumoneka, kabili apalilile kumuletela mulangue, waakunwineko buzabo, walia, wamupeelako mulume wakue, ni ye walia.
0103070092	Penka papo, menso abo bonse babili aizuka ni kwinika nangue baali bali bwamba. Kupwako, babamba kutunga kumo maani a kimuti kya miku kuti bavwale.
0103080089	Mwalalume ni mwanakazi lubaunvwile Yawe Leza walimukwenda mu bukaba musita wa kyungulo kwasyataleele, baamufyeme mu bimuti bya mu bukaba.
0103090039	Yawe Leza waamukuutile muntu ni kumwipuzia, “Uli pi?”
01030a0079	Ni ye wa-asukile evi, “Naunvwanga lizui lyobe mu bukaba, ni ne natiinanga pantu ngiile nali bwamba, kusyali kufyama!”
01030b0088	Leza waamwipuziizie evi, “Eba! Nani wakwananga nangue wiile wali bwamba? Eba! Walyanga buzabo bwa ku kimuti kinakikukaania kuliako?”
01030c005c	Mwaalume wa-asukile evi, “Ozu mwanakazi uwan'mpeele i wan'mpelanga buzabo, ni ne nalia.”
01030d008f	Kabili Yawe Leza waamwipuziizie mwanakazi, “Ati, wakitilangaki evio?” Mwanakazi wa-asukile evi, “Kizoka i kyan'mbeepanga, ni ne nalia.”
01030e00d6	Ni pakako, Yawe Leza waakyanine kizoka nangue, “Pantu wakitanga evio, watiipua pa nama yonse iliyateekua ni ya mu kisonso. Kutula lelo, waya wasyaendela na kavumo ni kuya walia lufunko nsiku yonse ya bukose bobe.
01030f00ad	Ndikubiika bulwani pakati kobe ni mwanakazi, ni pakati ka luvyalo lobe ni lwa mwanakazi. Luvyalo lwa mwanakazi lwaakasyesyeta mutue obe, ni we waakasuma kasinghino kakue.”
01031000bb	Kabili Yawe waamwanine mwanakazi nangue, “Naakakizia maavia mu kuvyala kobe, pa kuvyala baana waakaba wakisua. Kutona kobe kwaakaba kwali ku mulume obe, kabili i waakaba wakuteekele.”
01031100ee	Yawe waamwanine mwalalume nangue, “Pantu waitabilanga bintu byalandanga mukazi obe ni kulia buzabo bwa ku kimuti kinakikukaania kuliako, bulongo bwatiipua pa mulandu obe. Mu bukose bobe bonse waakaba wabombesia na maka pa kusanga bilio.
010312005c	Mu bulongo mwaakaba mwamena sie lubamba ni myunga, kabili waakaba walia saasa wa mu kisonso.
0103130093	Mu kubombesia ni mu kusulwila kobe i muwaakaba wasangila bilio, mpaka paukabwelela ku bulongo kuwaafumine. Uli lufunko, waakabwelela ku lufunko.”
0103140075	Mwalalume, liina lyakue Adamu, waamwinikile mukazi wakue liina lya Eva, pantu ozo i wa-alukile nghina wa bantu bonse.
0103150045	Kabili Yawe Leza waabakitiile bivwalo bya mpapa ya nama ni kubavwika.
01031600d7	Kabili Yawe Leza waalandile evi, “Evi muntu wa-aluka nga fwefue mu kumana biweme ni bibiipile. Ni pakako, tapalile kupeelua nsambu ya kukununa buzabo bwa ku kimuti kya bukose ni kulia evi akeekalilila muyayaya.”
010317005e	Yawe Leza waamukumbile Adamu mu bukaba bwa mu Edeni, evi aye alime mu bulongo bu-abumbiilueko.
01031800d3	Leza lu-aamukumbile Adamu mu bukaba, waabiikile makerubi pa nghingililo ya ku kabanga ka bukaba bwa mu Edeni, ni kipanga kya mulilo kyaali kyazyunguluka konse konse kusakilila nzila ya kuya ku kimuti kya bukose.
01040100a4	Adamu waaleele ni mukazi wakue Eva, ni ye waimitile ni kuvyala mwana mwalalume. Eva waalandile evi, “Ozu mwana napeelua na Yawe.” Ni pakako, waamwinikile Kaini.
010402007a	Pa kyamba, waavyele unge mwana mwalalume ni kumwinika Abeli. Abeli waali wali kateeka wa mikooko, inzi Kaini waali mulimi.
010403003a	Busiku bumo Kaini waatwele ngelelo ya buzombozi kuli Yawe.
0104040097	Abeli ni ye waatwele libeli wa pa mikooko yakue, waipaya ni kufumiako munofu unonene kuti ube ngelelo. Yawe waawamiinue na Abeli pamo ni ngelelo yakue,
010405006e	inzi taawaamiinue na Kaini pamo ni ngelelo yakue. Ni pakako, Kaini waafiitiisiwe mpaka ni pa menso pakalabana.
0104060056	Yawe waamwipuziizie Kaini, “Eba, ale wafiitiluaki? Kabili wakalabaniiziaki pa menso?
010407008a	Mona we Kaini uwamyenge, nga wawaminwanga. Inzi pantu waluvyanga, kibalo kikupembeele kyalimukukeba ku kuteeka. Inzi upalile kukyanzia.”
0104080090	Kaini waamwanine mwalawakue Abeli nangue, “We mwalawane, twende mu kisonso.” Lubaafikile mu kisonso, Kaini waamwalukiile Abeli ni kumwipaya.
010409007d	Yawe waamwipuziizie Kaini, “Mwalaobe ali pi?” Wa-asukile nangue, “Ne nsimanine. Eba! Nene i musungi wakua mwalawane?”
01040a006b	Kabili waamwipuziizie evi, “Wakitangaki? Mulopa wakua mwalaobe uwazuumiizyanga pa bulongo ulimukundilila.
01040b0083	Evi wewe watiipua ni kukumbua pa bulongo bwaizulanga kanua kakue ni kupokelela mulopa wakua mwalaobe waazuumiiwanga na kuboko kobe.
01040c005b	Paukalima mu bulongo, tebukakuleetela kibwezia, inzi waakaba wali kanukunta mwaya kyalo.”
01040d0050	Kaini waamwanine Yawe, “Kukanda kuwankanda kwangaviizia, nsivinda kusipikizia.
01040e007e	Mona wankumba mu keno kyalo ni ku menso obe. Evi naakaba nali sie kanukunta mwaya kyalo, ni onse waakan'mona, waakangipaya.”
01040f009d	Yawe waamwanine Kaini, “Onse waakakwipaya, waakalandwilua nghendo kilooba.” Ni pakako, Yawe waamubiikile kalangi, evi onse waakamumona tekuti akamwipaye.
0104100065	Kaini waafumine ku menso akua Yawe ni kuya kwikala mu kyalo kya Nodi, nkendo ili ku kabanga ka Edeni.
01041100a1	Kaini waaleele ni mukazi wakue, ni ye waimitile ni kuvyala mwana mwalalume ni kumwinika Enoki. Kaini waakuulile muzi ni kuwinika liina lya mwana wakue mwalalume.
01041200a4	Enoki waavyele mwana mwalalume ni kumwinika Iradi, Iradi waavyele Mehuyaeli, Mehuyaeli waavyele mwana mwalalume ni kumwinika Metushaeli, Metushaeli waavyele Lameki.
0104130054	Lameki waupile banakazi babili, umo waali wakuutua Ada, ni unge waali wakuutua Zila.
010414005f	Ada waavyele Yabali waali kikolue wa bantu baali baikala mu maema ni kuya bali bateeki ba nama.
0104150066	Mwalawakue waali wakuutua Yubali. Ozo mwalawakue i kikolue wa balia baali balizia bilimba ni mimpyeta.
01041600a3	Zila waavyele Tubali-Kaini. Ozo muntu i waali mutili wa bibombelo bya misango ilekenkeene, bya mukuba ni bya kyela. Nkaziize kwa Tubali-Kaini waali wakuutua Naama.
01041700a8	Lameki waabaanine bakazi bakue babili, “Ada ni Zila, ntwilizie mwe bakazi bakua Lameki unvue twebo twane. Nene nakiipaya muntu wakinkisia, mulumendo pantu wakinghuma.
010418004f	Kaini kine waakalandwilua nghendo kilooba, Lameki waakalandwilua nghendo 77.”
01041900d1	Kabili Adamu waaleele ni mukazi wakue, Eva lu-aimitile waavyele unge mwana mwalalume ni kumwinika Seti. Waalandile evi, “Leza wan'mpeela unge mwana mwalalume wa kupyanikizia pali Abeli waipailue na Kaini.”
01041a0084	Seti ni ye waavyele mwana mwalalume ni kumwinika Enoshi. Ozo musita bantu i ubaatendekeelepo kumupupa Yawe ni kubombia Liina lyakue.
010501005d	Keki i kitabu kya nvyalo yakua Adamu. Leza lu-aalengele muntu, waamukitile wapaleene ni Leza.
010502006b	Leza waalengele mwalalume ni mwanakazi, waabapaalile ni kubenika liina lya muntu bobo busiku bubaalengelue.
010503006e	Adamu lu-aakumaniizie myaka 130, waavyele mwana mwalalume mu lukebu lwakue, wapaleene nakue ni kumwinika Seti.
010504006a	Pa kyamba kya kuvyala Seti, Adamu waikeele pa kyalo myaka 800 ni kuvyala bange baana balalume ni banakazi.
0105050021	Adamu waafwile wali na myaka 930.
010506004d	Seti lu-aakumaniizie myaka 105, waavyele mwana mwalalume ni kumwinika Enoshi.
010507006b	Pa kyamba kya kuvyala Enoshi, Seti waikeele pa kyalo myaka 807 ni kuvyala bange baana balalume ni banakazi.
0105080020	Seti waafwile wali na myaka 912.
010509004e	Enoshi lu-aakumaniizie myaka 90, waavyele mwana mwalalume ni kumwinika Kenani,
01050a006d	pa kyamba kya kuvyala Kenani, Enoshi waikeele pa kyalo myaka 815 ni kuvyala bange baana balalume ni banakazi.
01050b0022	Enoshi waafwile wali na myaka 905.
01050c0052	Kenani lu-aakumaniizie myaka 70, waavyele mwana mwalalume ni kumwinika Mahalaleli.
01050d0071	Pa kyamba kya kuvyala Mahalaleli, Kenani waikeele pa kyalo myaka 840 ni kuvyala bange baana balalume ni banakazi.
01050e0022	Kenani waafwile wali na myaka 910.
01050f0052	Mahalaleli lu-aakumaniizie myaka 65, waavyele mwana mwalalume ni kumwinika Yaredi,
0105100071	pa kyamba kya kuvyala Yaredi, Mahalaleli waikeele pa kyalo myaka 830 ni kuvyala bange baana balalume ni banakazi.
0105110026	Mahalaleli waafwile wali na myaka 895.
010512004e	Yaredi lu-aakumaniizie myaka 162, waavyele mwana mwalalume ni kumwinika Enoki,
010513006c	pa kyamba kya kuvyala Enoki, Yaredi waikeele pa kyalo myaka 800 ni kuvyala bange baana balalume ni banakazi.
0105140022	Yaredi waafwile wali na myaka 962.
010515004f	Enoki lu-aakumaniizie myaka 65, waavyele mwana mwalalume ni kumwinika Metusela.
010516007b	Pa kyamba kya kuvyala Metusela, Enoki waendele pamo ni Leza myaka 300, kabili waavyele ni bange baana balalume ni banakazi.
0105170021	Enoki waafwile wali na myaka 365.
0105180052	Enoki waendele pamo ni Leza, kabili taamwenekele pantu waatwemue na Leza wakosele.
0105190051	Metusela lu-aakumaniizie myaka 187, waavyele mwana mwalalume ni kumwinika Lameki,
01051a006f	pa kyamba kya kuvyala Lameki, Metusela waikeele pa kyalo myaka 782 ni kuvyala bange baana balalume ni banakazi.
01051b0024	Metusela waafwile wali na myaka 969.
01051c003a	Lameki lu-aakumaniizie myaka 182, waavyele mwana mwalalume
01051d0087	ni kumwinika Noa. Waalandile evi, “Ozu i waakatusansamusia kukonkana ni miilo ikolele itulitwabomba pa kyalo kyaatiipilue na Yawe.”
01051e006a	Pa kyamba kya kuvyala Noa, Lameki waikeele pa kyalo myaka 595 ni kuvyala bange baana balalume ni banakazi.
01051f0022	Lameki waafwile wali na myaka 777.
0105200042	Noa lu-aakumaniizie myaka 500, waavyele Shemu, ni Hamu, ni Yafeti.
010601004b	Bantu lubaatendekele kusanduluka pa kyalo, baali bavyala ni baana banakazi.
0106020071	Baana bena Leza lubaamwene nangue bakazyana bena bantu baali baweme, baisaakwiliilepo bamo kuba bali bakazi babo.
0106030095	Yawe waalandile evi, “Mweo wane teukikanzyania na muntu muyayaya pantu wene ni wa kufua. Kutula lelo, myaka yakue teikikaba yakila pa myaka 120.”
01060400cd	Mu ezio nsiku Banefili baali bali pa kyalo. Pa kyamba baana bena Leza lubaile kuupa baana banakazi bena bantu, baavyelemo baana balalume. Babo i baali bali babipami ba bantu baali bamanikile pa ozo musita.
010605007d	Yawe lu-aamwene nangue bubi bwa muntu bwakila pa kyalo, ni kumona nangue malanga a mu mutima wakue lyonse aali akila kubiipa,
0106060054	Yawe waunvwile bulanda pantu waalengele muntu pa kyalo, ni mutima wakue waamukisile.
01060700ae	Yawe waalandile evi, “Nakaba kulovia muntu unaalengele pa kyalo, bonse muntu ni nama, ni bilibyayibula pamo ni tooni twa mu lweleele. Naunvua bulanda pantu naabilengele.”
0106080021	Inzi Noa waali watonenue na Yawe.
010609008c	Leli i lyasi lyakua Noa ni luvyalo lwakue. Noa waali wali mulunghami ni wa kisinka mu bantu ba pa musita wakue, kabili waali waenda ni Leza.
01060a003b	Noa waavyele baana balalume batatu, Shenu, Hamu, ni Yafeti.
01060b005d	Leza waamwene nangue kyalo kyainooneka, ni kukitilana bibiipile kwakila kukumana mwaya kyalo.
01060c0061	Leza waakentele ni kumona nangue kyalo kyabiipa pantu bantu bonse baali baikeele mu bwikazi bubi.
01060d0095	Leza waamwanine Noa nangue, “Mpeleezio ya bantu bonse yakumana pantu bubi bwabo bwaizula mu kyalo kyonse. Kabili nakaba kubaloviizia pamo ni kyalo.
01060e0075	We Noa, nakwana ukite safina ikata ya mbao ilumine, ni kuputulamo miputule, ukabe kusubako kabulimbu mukati ni panze.
01060f0067	Ukabe kukita safina ileepele metre 133, ni mu bukata metre 22, ni mu kutuuluka metre lyanondo ni itatu.
0106100080	Ukabe kukitako mutenge ni kusiako mando ali ni santimetre 44. Ukabe kukitamo mpungu itatu yateekaleene yali ni mulyango mumbali,
010611006c	pantu nakaba kubunzia kyalo ni kwinoona bilengua byonse bikose. Bilengua byonse bili pa kyalo byakaba kufua.
010612006f	Inzi nakaba kupinghana nobe. Wewe ukengile mu safina ni mukazi obe, ni baana bobe balalume pamo ni bakazi babo.
010613007e	Kabili pa bilengua byonse bikose ukabe kubuulapo bibili bibili ni kubingizia mu safina, ukabisunge byakosele kilume ni kikota.
01061400a5	Ukabe kubuula misango yonse ya nama, ni misango yonse ya tooni, ni ya byonse bilibyayibula. Bebi byonse, byaakeeza kuli wewe bibili bibili kuti ukabisunge byakosele.
0106150068	Ukabe kubuula misango yonse ya bilio ukabe kubisunga, evi wewe ni nama pamo ni tooni mukabe mwabilia.”
0106160033	Noa waakitile bintu byonse nga mwa-aniinue na Leza.
0107010077	Yawe waamwanine Noa nangue, “Ale ingila mu safina pamo ni lupua lobe pantu nakikumona wali mulunghami pa bantu bonse.
0107020080	Buulapo mpe kilooba ya misango yonse ya nama isambikile ndume ni ikota, inzi nama itiikeene ubuulepo mpe imo imo ndume ni ikota.
01070300b8	Kabili buula mpe kilooba ya misango yonse ya tooni tulume ni tukota. Ukite evio kumona sie misango yonse ya nama ni ya tooni ikasungue bwino, evi ikavyalane paakale ni kuvula pa kyalo,
01070400ad	pantu kwasyala nsiku kilooba nkabe kunokia nvula pa kyalo. Ezio nvula yakaba kunoka nsiku 40 busiku ni koba. Nakaba kwinoona bilengua byonse bikose binaalengele pa kyalo.”
010705002e	Noa waakitile bintu byonse bya-aninue na Yawe.
0107060031	Kyalo lukyaabundile, Noa waali wali na myaka 600.
010707007d	Noa ni mukazi wakue ni baana bakue balalume pamo ni bakazi babo, baingiile mu safina evi tekuti bafue na azo menda a kibunda.
010708006d	Misango yonse ya nama ni ya tooni kilume ni kikota, bisambikile ni bisisambikile pamo ni bilibyayibula pansi,
0107090045	byaingiile bibili bibili mu safina pamo ni Noa nga mwaalandiile Leza.
01070a0037	Pa kyamba kya nsiku kilooba, kibunda kyaizile pa kyalo.
01070b00a0	Noa lu-aali na myaka 600, mu mwezi wa bubili pa nsiku lyanondo ni kilooba, menda aabambile kusula na maka mu tusulo. Mu muulu ni mo mwaabambile kwituluka menda.
01070c0036	Ezio nvula yaanokele pa kyalo nsiku 40 busiku ni koba.
01070d0085	Bobo bwenka busiku, Noa ni mukazi ni baana bakue balalume batatu, Shemu, ni Hamu, ni Yafeti pamo ni bakazi babo, baingiile mu safina.
01070e00d3	Baingiile mu safina pamo ni nama ya mu kisonso mu misango yayo. Nama ya kuteekua mu misango yayo, ikata ni iniini, ni bilibyayibula pansi mu misango yabyo, ni tooni pamo ni byonse bilibyapupuka mu misango yabyo.
01070f0052	Bilengua bikose, bibili bibili kilume ni kikota, byaingiile mu safina pamo ni Noa.
010710007a	Kubalua kilengua kikose, kilume ni kikota byaingiile mu safina nga mwa-aniinue Noa na Leza. Kupwako, Yawe wamwizalila Noa.
0107110072	Nvula yaatwaliliile kunoka mpaka nsiku 40 busiku ni koba. Menda aizwile pa kyalo mpaka ni safina yabamba kweleela.
0107130035	Menda aizwile pa kyalo mpaka ni mpili yonse yatibila.
010714005c	Azo menda atwaaliliile kwizula pa kyalo mpaka metre kilooba kufuma peulu lupili luleepeesie.
0107150096	Kubalua kilengua kikose kyaali kyaenda pa kyalo, kyoni, ni nama wa kuteekua ni nama wa mu kisonso, ni kilikyayibula pa kyalo pamo ni muntu, byaafwile.
0107160038	Bilengua byonse byaali byapeema pano pa kyalo byaafwile.
0107170090	Yawe waloviizie bilengua byonse bya pano pa kyalo. Waaloviizie bantu ni nama pamo ni byoni. Paasyele sie Noa ni balia baali wali nabo mu safina.
0107180029	Menda aasyele aizwile pa kyalo nsiku 150.
010801008f	Leza waamulangulukile Noa ni bilengua byonse bikose bi-aali nabio mu safina. Leza waabuusiizie mwela pa kyalo, ni menda aatendekele kuya akama.
0108020055	Monse mwaali mwafuma menda pansi mwaasinkile, lyulu lyaizalikile, ni nvula yaakatile,
0108030038	menda aatwaliliile kuya akama buke buke mpaka nsiku 150.
010804005b	Pa busiku bwa lyanondo ni kilooba mwezi wa kilooba, safina yaikeele peulu mpili ya Ararati.
0108050062	Menda aatwaliliile kukeepa. Mu mwezi wa lyanondo pa busiku bwa mambo, mpili yaatendekele kumoneka.
0108060028	Lupaapitile nsiku 40, Noa waizwile nzota
010807007c	ni kutuma kazooko. Kazooko tekaabwelele, inzi kaali kaya kazyunguluka sie mu lweleele mpaka musita waakamine menda pa kyalo.
0108080044	Kabili Noa waatumine kakunda kaye kamone kine menda akeepa pa kyalo,
01080900a5	inzi pantu menda aali teanakame pa kyalo kyonse, kakunda tekaamwene nkendo ya kuya kwikalapo. Ni pakako, kaabweleele kuli Noa. Noa wakakwata ni kukengizia mu safina.
01080a0050	Pa kyamba kya mulungu umo, kabili Noa waafumiizie kakunda mu safina ni kukatuma.
01080b007d	Bobo bwenka busiku kyungulo, kakunda kaabwelele katweme lyani lya muzeituni ku mulomo. Noa i lu-ainikile nangue menda akeepa.
01080c006a	Kabili Noa waapembeele ni unge mulungu. Waatumine kakunda paakale. Lolo lwendo lwene kakunda tekaabwelele.
01080d00a2	Noa lu-aakumaniizie myaka 601, mu mwezi wa mambo pa busiku bwa mambo, menda aakamine pa kyalo. Noa waatupukwile ntupiko ya safina, ni kiine wamwene menda akamine.
01080e002f	Mu mwezi wa bubili pa nsiku 27, Musili waumine.
01080f001b	Leza waamwanine Noa nangue,
0108100052	“Fuma mu safina, wewe ni mukazi obe, ni baana bobe balalume pamo ni bakazi babo.
0108110097	Fumia kubalua kilengua kikosele ki-uli nakio mu safina, byoni, ni nama pamo ni kubalua kilengua kya pa kyalo, evi bivyalane ni kusanduluka pa kyalo.”
