2800000007	Matthew
2805160103	but I say unto you, that whosoever is angry with his brother without cause shall be liable to the judgment; and whosoever shall say to his brother, Raca, shall be obnoxious to the council; but whosoever shall say, "Thou fool," shall be in danger of hell-fire.
280517007c	Therefore, if thou bring thine offering to the altar, and there remembrest that thy brother hath any complaint against thee;
2805180077	leave thy gift there before the altar, and go and first be reconciled to thy brother, and then come and offer thy gift.
28051900c4	Be friends with thine adversary quickly, while thou art in the way with him; least the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison:
28051a0069	verily, I say unto thee, thou shalt not come out from thence, till thou hast paid the very last farthing.
28051b0050	Ye have heard, that it was said to the ancients, Thou shalt not commit adultery:
28051c0074	but I tell you, that whosoever looketh on a woman, so as to lust after her, hath already debauched her in his heart.
28051d00c3	And therefore if thy right eye cause thee to offend, pluck it out and cast it from thee; for it is better for thee that one part of thee perish, than that thy whole body should be cast into hell:
28051e00bf	and if thy right hand cause thee to offend, cut it off and cast it from thee; for it is better for thee that one of thy limbs should perish, than that thy whole body should be cast into hell.
28051f005c	And it has been said, whosoever would put away his wife, let him give her a bill of divorce:
28052000be	but I say unto you, that whosoever shall put away his wife, except on account of whoredom, tempteth her to commit adultery; and if any man marry her that is divorced, he committeth adultery.
2805210085	Again, ye have heard, that it was said to the ancients, Thou shalt not forswear thyself, but shalt perform unto the Lord thine oaths:
2805220055	but I say unto you, swear not at all; neither by heaven, for it is the throne of God;
2805230088	nor by the earth, for it is his footstool; nor by Jerusalem, for it is the city of the great King: neither shalt thou swear by thy head,
2805240036	for thou canst not make one hair of it white or black:
2805250069	but let your conversation be yea, yea; no, no; for whatever is more than these, cometh from the evil one.
2805260051	Ye have heard, that it has been said, An eye for an eye, and a tooth for a tooth:
2805270095	but I say unto you, Set not yourselves against him that injures you, but if any one smite thee on thy right cheek, rather turn to him the other also:
280528007a	and if any one would go to law with thee, to take away thy coat, let him have thy cloak also, rather than strive with him:
280529003a	and if any one shall force thee one mile, go with him two.
28052a0050	Give to him that asketh thee, and him, that would borrow of thee, turn not away.
28052b005a	Ye have heard, that it has been said, Thou shalt love thy neighbour, and hate thine enemy:
28052c0094	but I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them that abuse you and persecute you;
28052d009c	that ye may be the children of your heavenly Father; for He causeth his sun to rise on the evil and the good, and sendeth rain upon the just and the unjust.
28052e0065	For if ye love only them that love you, what reward do ye expect? do not even the publicans the same?
28052f0064	and if ye embrace your brethren only, what do ye more than others? do not the publicans so likewise?
2805300059	Be ye therefore perfect in love and goodness, as your Father who is in heaven is perfect.
280601008b	Take heed that ye do not your alms before men, to be observed by them: otherwise ye will have no reward from your Father, who is in heaven.
28060200cc	Therefore when thou dost an alms-deed, do not proclaim it abroad, as the hypocrites do, in the synagogues, and in the streets, that they may be applauded by men. Verily I tell you, they have their reward.
280603004f	But when thou givest alms, let not thy left hand know what thy right hand doth:
2806040067	that thine alms may be in secret, and thy Father, who seeth in secret, will himself reward thee openly.
28060500d9	And when thou prayest, be not like the hypocrites; for they love to pray in public assemblies, and in the corners of the streets, that they may be taken notice of by men. Verily I say unto you, they have their reward.
28060600b7	But thou, when thou prayest, enter into thy closet, and when thou hast shut thy door, pray to thy Father who is in secret, and thy Father who seeth in secret, will reward thee openly.
280607007b	But when ye pray, use not vain repetitions, as the heathens do, for they think they shall be heard for their speaking much:
280608005e	be not ye therefore like them; for your Father knoweth what ye have need of before ye ask Him.
2806090024	After this manner therefore pray ye,
28060a007a	"Our Father, who art in heaven, hallowed be thy name; thy kingdom come; thy will be done, as in heaven so also upon earth;
28060b0021	give us this day our daily bread;
28060c0034	and forgive us our debts, as we forgive our debtors;
28060d008a	and lead us not into temptation, but deliver us from the evil one: for thine is the kingdom, and the power, and the glory for ever. Amen."
28060e004f	For if ye forgive men their faults, your heavenly Father will also forgive you:
28060f0061	but if ye forgive not men their transgressions, neither will your Father forgive your trespasses.
28061000bc	And when ye fast, be not, like the hypocrites, of a gloomy countenance; for they disfigure their faces, that they may be observed by men to fast: I tell you, they have indeed their reward.
2806110041	But thou, when thou fastest, anoint thine head and wash thy face;
280612008e	that thou mayst not appear unto men to fast, but to thy Father who is in secret; and thy Father, who seeth in secret, will reward thee openly.
2806130078	Lay not up for yourselves treasures upon earth, where moth and rust corrupts, and where thieves break through and steal:
280614008a	but lay up for yourselves treasures in heaven, where neither moth nor rust doth corrupt, and where thieves do not break through nor steal:
280615003a	for where your treasure is, there will your heart be also.
2806160060	The eye is the light of the body: if therefore thine eye be clear, thy whole body will be light;
2806170085	but if thine eye be bad, thy whole body will be dark. If therefore the light that is in thee be darkness, how great is that darkness!
28061800b4	No one can serve two masters; for either he will hate the one, and love the other; or at lest he will be attached to the one, and neglect the other: ye cannot serve God and mammon:
28061900c2	therefore I say unto you, be not anxious for your life, what ye shall eat, or what ye shall drink; nor for your body, what ye shall put on. Is not life more than food, and the body than raiment?
28061a00a2	Look at the birds of the air; they sow not, neither do they reap, nor gather into barns: and yet your heavenly Father feedeth them. Are not ye preferable to them?
28061b0045	And which of you by all his thought can add one cubit to his stature?
28061c0093	And why are ye sollicitous about raiment? consider the lilies of the field, how they grow; they toil not, neither do they spin: and yet I tell you,
28061d0045	that even Solomon in all his glory was not arrayed like one of these.
28061e00a2	Now if God so clothe the grass of the field, which is growing to-day, and to-morrow is cast into the fire, will He not much more clothe you, O ye of little faith?
28061f0068	Be not therefore anxious, saying, What shall we eat, or what shall we drink, or how shall we be clothed?
2806200073	(things which the heathens are so inquisitive after) for your heavenly Father knows that ye have need of all these.
2806210064	But seek first the kingdom of God and his righteousness, and all these shall be superadded unto you.
2806220092	Be not therefore sollicitous about the morrow; for the morrow will require thought for its own affairs: sufficient to each day is its own trouble.
2807010021	Judge not, that ye be not judged:
280702007b	for with what judgment ye judge, ye shall be judged; and with what measure ye mete, it shall be measured back again to you.
280703006f	And why dost thou look at the splinter in thy brother's eye, but takest no notice of the beam in thine own eye?
280704007a	Or how wilt thou say to thy brother, Let me take the chaff out of thine eye, and behold, there is a beam in thine own eye?
2807050082	Thou hypocrite, first get the beam out of thine own eye; and then thou wilt see how to take the splinter out of thy brother's eye.
280706008a	Give not that which is holy unto dogs, nor cast your pearls before swine; least they trample them under their feet, and turn and tear you.
2807070060	Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:
2807080074	for every one, that asketh, receiveth; and he, that seeketh, findeth; and to him, that knocketh, it shall be opened.
2807090055	Is there any man among you, who, if his son ask him for bread, will give him a stone?
28070a0034	or if he ask for a fish, will he give him a serpent?
28070b0096	If ye then, who are evil, know how to give good gifts to your children, how much more will your heavenly Father give good things to them that ask Him?
28070c0097	All things therefore whatsoever ye would have men do to you, do ye also in like manner unto them: for this is the doctrine of the law and the prophets.
28070d008d	Enter ye in at the strait gate; for wide is the gate, and broad is the way, that leadeth to destruction, and many there be who go in thereat:
28070e006c	whereas the gate is narrow, and the way troublesome, which leadeth into life, and few there be that find it.
28070f0068	And beware of false prophets, who come to you in sheeps clothing, but inwardly they are ravenous wolves.
2807100057	Ye will know them by their fruits: do men gather grapes of thorns, or figs of thistles?
280711004e	so every good tree yieldeth good fruit, but a corrupt tree produces bad fruit:
280712004e	a good tree cannot produce evil fruit, nor can a corrupt tree bear good fruit:
2807130055	and every tree that bringeth not forth good fruit is cut down and cast into the fire.
280714002a	So then by their fruits ye will know them.
280715008f	Not every one that saith unto me, Lord, Lord, shall enter into the kingdom of heaven; but he that doth the will of my Father, who is in heaven:
28071600c5	many will say to me in that day, Lord, Lord, have we not prophesied in thy name, and in thy name have cast out devils, and in thy name have wrought many miracles? and I will then declare unto them,
280717003a	I never owned you, depart from me, ye workers of iniquity.
2807180087	Whoever therefore heareth these words of mine, and performeth them, I will compare him to a prudent man, who built his house on a rock:
280719008e	and the rain fell upon it, and the floods came, and the winds blew, and beat upon that house, and it fell not; for it was founded upon a rock.
28071a0087	And whoever heareth these words of mine, and performeth them not, shall be likened to a foolish man, who built his house upon the sand:
28071b008a	and the rain fell upon it, and the floods came, and the winds blew, and beat upon that house, and it fell, and the fall thereof was great.
28071c0052	And when Jesus had ended these discourses, the people were amazed at his doctrine:
28071d0044	for he taught them as one who had authority, and not as the scribes.
2808010045	Now as he came down from the mountain, great multitudes followed Him.
280802005e	And behold a leper came and worshipped Him, saying, Lord, if thou wilt, thou canst cleanse me:
280803007e	and Jesus stretched out his hand, and touched him, saying, I will; be thou cleansed: and immediately his leprosy was cleansed.
2808040096	And Jesus saith unto him, See thou tell no one; but go, shew thyself to the priest, and offer the gift which Moses commanded, for a testimony to them.
280805006c	And when Jesus was entered into Capernaum, there came unto Him a centurion beseeching Him, and saying, Lord,
2808060044	my servant lieth in my house ill of the palsy, grievously afflicted:
2808070033	and Jesus saith unto him, I will come and heal him.
2808080091	But the centurion answering said, Lord, I am not worthy that Thou shouldst come under my roof, but speak the word, and my servant will be healed:
28080900c3	for I also am a man under the authority of others, yet have soldiers under me; and I say to one, go, and he goeth; and to another, come, and he cometh; and to my servant, do this, and he doth it.
28080a0091	And when Jesus heard it He marvelled, and said to them that followed Him, Verily, I say unto you, I have not found so great faith even in Israel:
28080b0096	but I tell you, that many shall come from the east and from the west, and shall sit down with Abraham, and Isaac, and Jacob, in the kingdom of heaven;
28080c007d	and the children of the kingdom shall be cast out into the outer darkness; where there will be weeping and gnashing of teeth.
28080d007d	And Jesus said to the centurion, Go, and be it unto thee as thou hast believed. And his servant was healed in that very hour.
28080e0054	And when Jesus came to Peter's house. He saw his wife's mother lying ill of a fever:
28080f005a	and He did but touch her hand, and the fever left her; and she rose up and waited on them.
28081000a3	And when it was evening they brought to him many demoniacs: and he cast out the evil spirits with a word, and healed all that were ill: that it might be fulfilled,
2808110067	which was spoken by Esaias the prophet, saying, He took our infirmities himself, and bore our diseases.
280812006a	But when Jesus saw great multitudes about Him, he gave orders for departing to the other side of the lake.
2808130060	And a certain scribe came to Him, and said, Master, I will follow Thee whithersoever Thou goest:
2808140087	and Jesus saith unto him, The foxes have holes, and the fowls of heaven their nests; but the Son of man hath not where to lay his head.
280815007b	But another of his disciples, whom he ordered to follow Him, said unto Him, Lord, permit me first to go and bury my father:
280816004d	but Jesus said unto him; Do thou follow me, and let the dead bury their dead.
2808170042	And when He was entered into the ship, his disciples followed Him:
2808180070	and behold a great tempest rose on the sea, so that the vessel was even covered by the waves; but He was asleep.
2808190071	And His disciples came to Him, and awoke Him, saying, Lord save us, for we are perishing: and He saith unto them,
28081a007c	Why are ye so frighted, O ye of little faith? Then He rose up and rebuked the winds and the sea, and there was a great calm.
28081b0067	And the men wondered, saying, What an amazing person is this, that even the winds and the sea obey Him!
28081c00bb	And when He was come to the other side, into the country of the Gergesenes, there met Him two demoniacs coming out from the tombs, exceeding fierce, so that no one could pass by that way:
28081d0084	and they cried out, saying, What have we to do with Thee, Jesus thou Son of God? Art Thou come hither to torment us before the time?
28081e0064	Now there was at some distance from them a large herd of swine seeding: and the devils besought Him,
28081f0049	saying, If Thou cast us out, permit us to go away into the herd of swine:
280820009d	and He said unto them, Go: and they came out and went away into the herd of swine; and lo, all the herd of swine ran furiously down a precipice into the sea,
280821009e	and perished in the waters. And they that were feeding them fled, and went away into the city, and related all these things, as also concerning the demoniacs.
2808220077	And behold, all the city came out to meet Jesus; and when they saw Him, they intreated Him to depart from their coasts.
2809010047	And He entered into the ship and passed over, and came to his own city:
28090200ae	and behold, they brought to Him one that had the palsy laid on a couch: and Jesus seeing their faith said to the paralytic, Take heart my son, for thy sins are forgiven thee.
280903006b	Upon which, some of the scribes said in themselves, This man blasphemeth: but Jesus knowing their surmises,
280904002f	said to them, Why think ye evil in your hearts?
2809050054	For which is easier? To say, thy sins be forgiven thee? or to say, rise up and walk?
28090600a5	but that ye may know that the Son of man hath power on earth to forgive sins, Arise (saith He then to the paralytic) and take up thy couch, and go away to thy house.
280907002e	And he rose up and went away to his own house.
2809080065	But when the multitudes saw it, they were amazed, and glorified God, who had given such power to men.
280909009f	And as Jesus was passing from thence, He saw a man sitting at the custom-house, named Matthew; and He saith to him, Follow me: and he rose up and followed Him.
28090a0097	And as He was sitting at table in the house of Matthew, behold, several publicans and notorious sinners came and sat down with Jesus and his disciples.
28090b006f	And when the Pharisees saw it, they said to his disciples, Why doth your master eat with publicans and sinners?
28090c0094	But Jesus hearing them, said unto them, They that are in health need not a physician, but they that are ill: go therefore and learn what that means,
28090d0069	"I desire mercy rather than sacrifice:" for I came not to call the righteous, but sinners, to repentance.
28090e007a	Then also come to Him the disciples of John, saying, Why do we and the pharisees fast much, but thy disciples do not fast?
28090f00c3	And Jesus said unto them, Can the friends of the bridegroom mourn, while the bridegroom is with them? but the days will come when the bridegroom shall be taken from them, and then they will fast.
280910008a	As no one putteth a piece of new cloth to an old garment; for its new patch teareth away from the old garment, and the rent is made worse:
28091100bc	nor do they put new wine into old vessels; otherwise, the casks burst, and the wine is spilt, and the vessels are destroyed: but they put new wine into new vessels, and both are preserved.
28091200ca	As He was speaking these things to them, behold there came a ruler and worshipped Him, saying, My daughter is at the point of death: but come, I pray Thee, and put thy hand upon her, and she shall live:
280913003f	and Jesus rose up, and followed him; as did also his disciples.
2809140079	(And lo, a woman who had had a flux of blood for twelve years, came close behind Him, and touched the hem of his garment:
280915004e	for she said within herself, If I can but touch his garment, I shall be cured.
280916008a	And Jesus turning about, and seeing her, said, Daughter be comforted, thy faith hath cured thee. And from that time the woman was healed.)
280917005f	And when Jesus came into the ruler's house, and saw the musicians, and the people in confusion;
280918005b	He saith unto them, Retire; for the child is not dead, but asleep. And they laughed at Him.
280919005f	But when the people were put out, He went in and took hold of her hand, and the damsel rose up.
28091a002f	And the fame of it spread over all the country.
28091b007d	And as Jesus was going from thence, two blind men followed Him, crying out and saying, Have compassion on us, O Son of David.
28091c00a4	And when He was come into the house, the blind men came to Him: and Jesus saith unto them, Do ye believe that I am able to do this? and they say unto Him, Yes Lord.
28091d006c	Then he touched their eyes, saying, According to your faith be it done unto you: and their eyes were opened.
28091e003f	And Jesus strictly charged them, saying, Do not divulge it: but
28091f003b	they went out and spread his fame through all that country.
280920004c	And as they were going out, there was brought to Him a dumb man, a demoniac:
280921008a	and when the demon was cast out, the dumb man spake; and the multitudes were amazed, saying, there had never been seen the like in Israel:
2809220048	but the pharisees said, he casts out devils by the prince of the devils.
28092300c8	Now Jesus went round to all the cities, and the villages, teaching in their synagogues, and preaching the gospel of the kingdom of heaven, and healing every disease, and every malady among the people.
2809240096	And when He saw the multitudes, He was moved with compassion towards them; because they were dispersed and scattered like sheep that have no shepherd:
280925005c	upon which He saith to his disciples, The harvest indeed is plentiful, but the laborers few:
280926005c	therefore pray to the Lord of the harvest, that He would send out laborers into his harvest.
280a0100a2	And He called unto Him his twelve disciples, and gave them power over impure spirits, even to cast them out; and to cure all diseases and every malady whatsoever.
280a02007b	Now these are the names of the twelve apostles: first Simon, called Peter, and Andrew his brother; Philip, and Bartholomew;
280a030062	Thomas, and Matthew the publican; James the son of Alpheus, and Lebbeus who was surnamed Thaddeus;
280a040043	Simon the Canaanite, and Judas Iscariot, even he that betrayed Him.
280a050088	These twelve did Jesus send forth, and commanded them, saying, Go not among the gentiles, neither enter into any city of the Samaritans:
280a060030	but go to the lost sheep of the house of Israel.
280a070073	And as ye go, preach, saying, The kingdom of heaven is at hand: and in confirmation of your doctrine heal the sick,
280a080062	cleanse the leprous, raise the dead, cast out demons; and as ye have received freely, freely give.
280a090052	Take not gold, nor silver, nor brass in your purses: take no bag for your journey,
280a0a004d	nor two coats, nor shoes, nor weapons; for the laborer is worthy of his food.
280a0b007a	And into whatsoever city or town ye enter, inquire who in it is a worthy person, and there remain till ye leave the place.
280a0c002d	And when ye come into the house, salute them:
280a0d0079	and if the family be worthy, let your peace come upon it; but if they be not worthy, your salutation shall return to you.
280a0e008d	And whosoever shall not receive you, nor hearken to your words; when ye come out of that house or city, shake off the very dust of your feet:
280a0f0082	for I tell you verily, it shall be more tolerable for the land of Sodom and Gomorrha, in the day of judgement, than for that city.
280a100076	Behold I send you forth as sheep into the midst of wolves: be ye therefore prudent as serpents, and innocent as doves.
280a11006d	Beware of evil men; for they will deliver you up to their councils, and will scourge you in their synagogues.
280a12006d	And ye shall be brought before governors and kings on my account, for a testimony to them and to the nations:
280a1300a7	but when they take you up, be not sollicitous how, or what ye shall say; for ye shall be taught in that very instant what ye shall speak: for it is not you that speak,
280a140033	but the Spirit of your Father that speaketh by you.
280a150099	Brother shall betray his brother to death, and the father his child: and children shall rise up against their parents, and cause them to be put to death:
280a160074	and ye shall be hated by all men for professing my name; but he that perseveres to the end shall certainly be saved.
280a1700b6	But when they persecute you in one city, flee into another: for verily I tell you, ye shall not finish your commission through the cities of Israel, before the Son of man shall come.
280a180045	The disciple is not above his master, nor the servant above his lord:
280a1900b7	it is sufficient sure for the disciple that he be treated as his master, and the servant as his lord. If then they call the master of the house Beelzebub, how much more his domestics?
280a1a0080	Be not therefore afraid of them; for there is nothing hid, that shall not be revealed; nor secret, that shall not be made known.
280a1b0075	What I say to you in private, declare ye in public: and what ye hear as in the ear, preach ye as from the house-tops.
280a1c00a1	And be not afraid of them, who can only kill the body, but are not able to kill the soul: but rather fear Him, who is able to destroy both soul and body in hell.
280a1d0077	Are not two sparrows sold for a farthing? and not one of them shall fall to the ground without the will of your Father:
280a1e0031	and even the hairs of your head are all numbered.
