0100000018	ઊત્પત્તિ
0101160116	ઈશ્વરે તેઓને આશીર્વાદ આપતા કહ્યું, “સફળ થાઓ, વધો અને સમુદ્રોમાંના પાણીને ભરપૂર કરો. પૃથ્વી પર પક્ષીઓ વધો.”
0101170053	સાંજ થઈ તથા સવાર થઈ, પાંચમો દિવસ.
010118019a	ઈશ્વરે કહ્યું કે, “પ્રાણીઓને પોતપોતાની જાત પ્રમાણે, એટલે ગ્રામ્યપશુઓ, પેટે ચાલનારાં તથા વનપશુઓ પોતપોતાની જાત પ્રમાણે તેઓને પૃથ્વી ઉપજાવો.” એ પ્રમાણે થયું.
0101190151	ઈશ્વરે પોતપોતાની જાત પ્રમાણે વનપશુઓને, ગ્રામ્યપશુઓ, અને પૃથ્વી પરનાં બધાં પેટે ચાલનારાંને બનાવ્યાં. તેમણે જોયું કે તે સારું છે.
01011a01ce	ઈશ્વરે કહ્યું કે, “આપણે આપણા સ્વરૂપ તથા પ્રતિમા પ્રમાણે માણસને બનાવીએ. તેઓ સમુદ્રનાં માછલાં પર, આકાશના પક્ષીઓ પર, પશુઓ પર, આખી પૃથ્વી પર તથા પૃથ્વી પર પેટે ચાલનારાં પર શાસન કરે.”
01011b0171	ઈશ્વરે પોતાના સ્વરૂપ પ્રમાણે માણસને ઉત્પન્ન કર્યું. તેમણે ઈશ્વરના સ્વરૂપમાં તેને ઉત્પન્ન કર્યું. તેમણે પુરુષ અને સ્ત્રીને ઉત્પન્ન કર્યાં.
01011c01fb	ઈશ્વરે તેઓને આશીર્વાદ આપ્યો અને તેઓને કહ્યું કે, “સફળ થાઓ અને વધતાં જાઓ. પૃથ્વીને ભરપૂર કરો અને તેને વશ કરો. સમુદ્રનાં માછલાં પર, આકાશના પક્ષીઓ પર, પૃથ્વી પર ચાલનારાં સઘળાં પ્રાણીઓ પર અમલ ચલાવો.”
01011d0198	ઈશ્વરે કહ્યું કે, “જુઓ, દરેક બીજદાયક શાક જે આખી પૃથ્વી પર છે અને દરેક વૃક્ષ જેમાં વૃક્ષનાં બીજદાયક ફળ છે તેઓને મેં તમને આપ્યાં છે. તેઓ તમારા ખોરાકને સારુ થશે.
01011e01ab	“પૃથ્વીનું દરેક પશુ, આકાશમાંનું દરેક પક્ષી, પૃથ્વી પર પેટે ચાલનારું દરેક પ્રાણી જેમાં જીવનનો શ્વાસ છે, તેઓના ખોરાકને સારુ મેં સર્વ લીલોતરી આપી છે.” એ પ્રમાણે થયું.
01011f00f9	ઈશ્વરે જે સર્વ ઉત્પન્ન કર્યું તે તેમણે જોયું. તે સર્વોત્તમ હતું. સાંજ થઈ તથા સવાર થઈ, છઠ્ઠો દિવસ.
010201009b	આમ આકાશ, પૃથ્વી તથા તેમાનાં સર્વ સેનાઓનું સર્જન પૂર્ણ થયું.
010202011a	ઈશ્વરે પોતાનું જે કામ હતું તે પૂર્ણ કર્યું અને પોતાનાં કરેલાં સર્વ કામોથી પરવારીને સાતમા દિવસે આરામ કર્યો.
0102030174	ઈશ્વરે સાતમા દિવસને આશીર્વાદ આપ્યો અને તેને પવિત્ર ઠરાવ્યો, કેમ કે તેમણે જે સર્વ ઉત્પન્ન કર્યું તે સઘળાં કામ પછી તે દિવસે તેમણે આરામ લીધો હતો.
0102040104	આ આકાશ તથા પૃથ્વીના સર્જન સંબંધિત વૃત્તાંત છે; જયારે યહોવાહ ઈશ્વરે પૃથ્વી તથા આકાશ ઉત્પન્ન કર્યાં,
01020501c8	ત્યારે ખેતરની કોઈપણ વનસ્પતિ હજુ પૃથ્વીમાં ઊગી ન હતી અને ખેતરમાં અનાજ ઊગ્યું ન હતું, કેમ કે યહોવાહ ઈશ્વરે પૃથ્વી પર વરસાદ વરસાવ્યો નહોતો અને જમીનને ખેડવા માટે કોઈ માણસ ન હતું.
010206008e	પણ પૃથ્વી પર ઝરણું પડ્યું અને જમીનની આખી સપાટી ભીંજાઈ.
0102070112	યહોવાહ ઈશ્વરે ભૂમિમાંથી માટીનું માણસ બનાવ્યું, તેના નસકોરામાં જીવનનો શ્વાસ ફૂંક્યો અને માણસ સજીવ થયું.
01020800f0	યહોવાહ ઈશ્વરે પૂર્વ તરફ એદનમાં એક વાડી બનાવી અને તેમાં તેમણે પોતાના સર્જેલ માણસને મૂક્યું.
01020901c7	યહોવાહ ઈશ્વરે ભૂમિમાંથી સર્વ પ્રકારનાં વૃક્ષ જે જોવામાં સુંદર તથા ખાવામાં સારાં તેઓને બનાવ્યાં. વળી વાડીની વચમાં જીવનનું વૃક્ષ તથા ભલુંભૂંડું જાણવાનું વૃક્ષ પણ ઉગાવ્યાં.
01020a00e1	વાડીને પાણી પાવા સારુ એક નદી એદનમાંથી વહેતી થઈ. ત્યાંથી તેના ભાગ પડ્યા અને ચાર નદીઓ થઈ.
01020b00cb	પહેલીનું નામ પીશોન છે; જેનો પ્રવાહ આખા હવીલા દેશને ઘેરે છે, જ્યાં સોનું મળે છે.
01020c00ad	તે દેશનું સોનું સારું છે. ત્યાં મૂલ્યવાન મોતી તથા અકીક પાષાણ પણ છે.
01020d009a	બીજી નદીનું નામ ગીહોન છે. જેનો પ્રવાહ આખા કૂશ દેશને ઘેરે છે.
01020e0104	ત્રીજી નદીનું નામ હીદ્દેકેલ છે. તેનો પ્રવાહ આશ્શૂર દેશની પૂર્વ તરફ વહે છે. ચોથી નદીનું નામ ફ્રાત છે.
01020f00d2	યહોવાહ ઈશ્વરે તે માણસને એદનવાડીને ખેડવાને તથા તેની સંભાળ રાખવાને તેમાં રાખ્યો.
01021000eb	યહોવાહ ઈશ્વરે તેને આજ્ઞા આપી અને કહ્યું, “વાડીના દરેક વૃક્ષનું ફળ ખાવાને તું સ્વતંત્ર છે.
0102110125	પણ સારું અને નરસું જાણવાના વૃક્ષનું ફળ તું ખાઈશ નહિ, કેમ કે જે દિવસે તું તે ખાશે, તે જ દિવસે નિશ્ચે તારું મરણ થશે.”
0102120101	પછી યહોવાહ ઈશ્વરે કહ્યું કે, “માણસ એકલો રહે તે સારું નથી. હું તેને માટે યોગ્ય એવી સહાયકારી બનાવીશ.”
01021301a2	યહોવાહ ઈશ્વરે ભૂમિમાંથી ખેતરના દરેક પશુને અને આકાશના દરેક પક્ષીને બનાવ્યાં. પછી તેઓને માણસની પાસે લાવ્યા. માણસે દરેક સજીવને જે નામ આપ્યું તે તેનું નામ પડ્યું.
0102140179	તે માણસે સર્વ ગ્રામ્યપશુનાં, આકાશના પક્ષીઓનાં તથા સર્વ વનપશુઓનાં નામ પાડ્યાં, પણ તે માણસ આદમને પોતાના માટે અનુરૂપ એવી યોગ્ય સહાયકારી ન મળી હતી.
0102150166	યહોવાહ ઈશ્વરે તે માણસને ભર ઊંઘમાં નાખ્યો. તે ઊંઘી ગયો, ત્યારે ઈશ્વરે તેની પાંસળીઓમાંની એક પાંસળી લીધી અને ખાલી પડેલી જગ્યાએ માંસ ભર્યું.
01021600fd	યહોવાહ ઈશ્વરે માણસમાંથી જે પાંસળી લીધી હતી, તેની તેમણે એક સ્ત્રી બનાવી. તેને તે માણસ પાસે લાવ્યા.
010217014c	તે માણસ બોલી ઊઠ્યો કે, “આ મારા હાડકામાંનું હાડકું અને મારા માંસમાનું માંસ છે. તે ‘નારી’ કહેવાશે, કેમ કે તે નરમાંથી લેવાયેલી છે.”
01021800ea	તેથી માણસ તેનાં માતા અને પિતાને છોડીને, તેની પત્ની સાથે જોડાયેલો રહેશે અને તેઓ એક દેહ થશે.
01021900c7	તે માણસ તથા તેની પત્ની બન્ને વસ્ત્રહીન હતાં, પણ તેને લીધે તેઓ શરમાતાં ન હતાં.
01030101e1	હવે યહોવાહ ઈશ્વરે ઉત્પન્ન કરેલાં સર્વ પ્રાણીઓમાં સાપ સૌથી વધારે ધૂર્ત હતો. તેણે સ્ત્રીને કહ્યું કે, “શું ઈશ્વરે ખરેખર તમને એવું કહ્યું છે કે, ‘વાડીના કોઈપણ વૃક્ષનું ફળ તમારે ન ખાવું?’
01030200a5	સ્ત્રીએ સાપને કહ્યું કે, “વાડીના વૃક્ષોનાં ફળ અમે ખાઈ શકીએ છીએ,
010303013a	પણ ઈશ્વરે કહેલું છે કે, જે વૃક્ષ વાડીની મધ્યમાં છે તેનું ફળ ‘તમારે ખાવું નહિ કે અડકવું નહિ. જો ખાશો તો તમે મૃત્યુ પામશો.””
0103040078	સાપે સ્ત્રીને કહ્યું કે, “તમે મૃત્યુ નહિ પામો.
010305016c	કેમ કે ઈશ્વર જાણે છે કે જે દિવસે તમે તેને ખાશો તે જ દિવસે તમારી આંખો ઉઘડી જશે અને તમે ઈશ્વરો સમાન સારું શું અને નરસું શું છે તે સમજનારાં થશો.”
01030601d7	તે વૃક્ષનું ફળ ખાવામાં સ્વાદિષ્ટ, જોવામાં સુંદર અને તે જ્ઞાન આપવાને ઇચ્છવાજોગ છે, એવું જાણીને સ્ત્રીએ તે ફળ તોડીને ખાધું અને તેની સાથે તેનો પતિ હતો તેને પણ આપ્યું. તેણે પણ ફળ ખાધું.
0103070155	ત્યારે તેઓ બન્નેની આંખો ઉઘડી ગઈ અને તેઓ સમજ્યા કે અમે વસ્ત્રહીન છીએ. તેથી તેઓએ અંજીરનાં પાંદડાં જોડીને પોતાને માટે આવરણ બનાવ્યાં.
01030801e5	દિવસના ઠંડા પહોરે વાડીમાં પ્રભુ ઈશ્વરનો ચાલવાનો અવાજ તેઓના સાંભળવામાં આવ્યો, તેથી તે માણસ તથા તેની પત્ની પોતાને પ્રભુ ઈશ્વરના સાનિધ્યથી દૂર રાખવા માટે વાડીના વૃક્ષોની વચમાં સંતાયાં.
010309007f	યહોવાહ ઈશ્વરે આદમને હાંક મારી કે, “તું ક્યાં છે?”
01030a011f	આદમે કહ્યું કે, “મેં વાડીમાં તમારો અવાજ સાંભળ્યો અને હું ગભરાયો. કેમ કે હું વસ્ત્રહીન છું. તેથી હું સંતાઈ ગયો.”
01030b0121	ઈશ્વરે કહ્યું, “તને કોણે કહ્યું કે, તું નિવસ્ત્ર છે? જે ફળ ન ખાવાની મેં તને આજ્ઞા આપી હતી, તે ફળ તેં ખાધું છે શું?”
01030c0105	તે માણસે કહ્યું કે, “મારી સહાયકારી તરીકે જે સ્ત્રી તમે મને આપી હતી તેણે મને ફળ આપ્યું અને મેં ખાધું.”
01030d0119	યહોવાહ ઈશ્વરે તે સ્ત્રીને કહ્યું, “આ તેં શું કર્યું?” સ્ત્રીએ કહ્યું કે, “સાપે મને છેતરી. તેથી મેં ફળ ખાધું.”
01030e01da	યહોવાહ ઈશ્વરે સાપને કહ્યું કે, “તેં આ કૃત્ય કર્યું છે, તેથી તું સર્વ ગ્રામ્યપશુઓ તથા વનપશુઓની વચ્ચે હવે શાપિત છે. તું પેટે ચાલશે અને પોતાના જીવનના સર્વ દિવસો સુધી તારે ધૂળ ખાવી પડશે.
01030f0157	તારી અને સ્ત્રીની વચ્ચે તથા તારા સંતાનની અને તેના સંતાનની વચ્ચે હું વૈર કરાવીશ. તે તારું માથું છૂંદશે અને તું તેની એડીએ ડંખ મારશે.”
01031001b6	વળી યહોવાહ ઈશ્વરે સ્ત્રીને કહ્યું કે, “હું તારી ગર્ભવસ્થાનું દુઃખ ઘણું જ વધારીશ અને તું દુઃખે બાળકને જન્મ આપીશ. તું તારા પતિને માટે ઝંખીશ, પણ તે તારા પર અધિકાર ચલાવશે.”
0103110285	તેમણે આદમને કહ્યું, “કેમ કે તેં તારી પત્નીની વાત માની લીધી છે અને જે સંબંધી મેં તને આજ્ઞા આપી હતી, ‘તારે તે ન ખાવું’ તે વૃક્ષનું ફળ તેં ખાધું. તેથી તારા એ કૃત્યથી ભૂમિ શાપિત થઈ છે. તેમાંથી તું તારા આયુષ્યનાં સર્વ દિવસોમાં પરિશ્રમ કરીને ખોરાક મેળવશે.
01031200ab	ભૂમિ તારે માટે કાંટા તથા ઝાંખરાં ઉગાવશે અને તું ખેતરનું શાક ખાશે.
010313016d	તું ભૂમિમાં પાછો જશે ત્યાં સુધી તું તારા મોંના પરસેવાથી રોટલી ખાશે કેમ કે તું તેમાંથી લેવાયો હતો. કેમ કે તું ધૂળ છે અને પાછો ધૂળમાં ભળી જશે.”
01031400cc	તે માણસે તેની પત્નીનું નામ હવા પાડ્યું કેમ કે તે સમગ્ર માનવોની માતા થવાની હતી.
01031500f5	યહોવાહ ઈશ્વરે આદમ તથા તેની પત્ની માટે પશુઓનાં ચર્મનાં વસ્ત્ર બનાવ્યાં અને તેઓને પહેરાવ્યાં.
01031601a1	પ્રભુ ઈશ્વરે કહ્યું કે, “હવે તે માણસ આપણામાંના એકના જેવો સારું અને નરસું જાણનાર થયો છે. તેથી હવે રખેને તે હાથ લાંબો કરીને જીવનના વૃક્ષનું ફળ ખાય અને અમર થઈ જાય.”
0103170119	તે માટે જે જમીનમાંથી તેનું સર્જન કરાયું હતું, તે ખેડવાને, પ્રભુ ઈશ્વરે તેને એદન વાડીમાંથી બહાર કાઢી મૂક્યો.
010318018a	ઈશ્વરે તે માણસને વાડીમાંથી દૂર કર્યો અને જીવનના વૃક્ષની સીમાને સાચવવા તેમણે એદન વાડીની પૂર્વગમ અગ્નિરૂપી તલવાર સાથે કરુબોને ચોકીદાર તરીકે ગોઠવ્યા.
010401015a	આદમે પોતાની પત્ની હવાને જાણી અને તે ગર્ભવતી થઈ અને તેણે પુત્ર કાઈનને જન્મ આપ્યો. તેણે કહ્યું, “ઈશ્વરની કૃપાથી મને દીકરો જન્મ્યો છે.”
01040200fb	પછી તેણે બીજા પુત્ર હાબેલને જન્મ આપ્યો. બન્ને ભાઈઓમાંનો હાબેલ ઘેટાંપાળક હતો અને કાઈન ખેડૂત હતો.
01040300bb	આગળ જતા એમ થયું કે કાઈન ઈશ્વરને માટે ભૂમિનાં ફળમાંથી કંઈક અર્પણ લાવ્યો.
010404013a	હાબેલ પોતાનાં ઘેટાંબકરાંમાંનાં પ્રથમ જન્મેલાં તથા ઉત્તમ અર્પણો લાવ્યો. ઈશ્વરે હાબેલને તથા તેના અર્પણને માન્ય કર્યાં,
01040500ed	પણ કાઈનને તથા તેના અર્પણને અમાન્ય કર્યાં. તેથી કાઈન ઘણો ગુસ્સે થયો અને તેનું મોં ઊતરી ગયું.
01040600d4	યહોવાહે કાઈનને કહ્યું કે, “તને શા માટે ગુસ્સો આવ્યો છે અને તારું મોં ઊતરી ગયું છે?
01040701af	જે સારું છે તે તું કરે, તો શું તું માન્ય નહિ થશે? પણ જે સારું છે તે તું નહિ કરે, તો પાપ તારે દ્વારે રહે છે અને તે તેની તરફ તારું આકર્ષણ કરશે, પણ તું તેના પર જીત મેળવી શકીશ.”
0104080152	કાઈને પોતાના ભાઈ હાબેલ સાથે વાત કર્યો જયારે તેઓ ખેતરમાં હતા, ત્યારે ત્યાં કાઈને પોતાના ભાઈ હાબેલ વિરુદ્ધ ઊઠીને તેને મારી નાખ્યો.
0104090123	પછી ઈશ્વરે કાઈનને કહ્યું, “તારો ભાઈ હાબેલ ક્યાં છે? “તેણે કહ્યું, “હું જાણતો નથી? શું હું મારા ભાઈનો રખેવાળ છું?”
01040a00f8	ઈશ્વરે કહ્યું, “આ તેં શું કર્યું છે? તારા ભાઈનું લોહી ભૂમિમાંથી બદલો લેવા માટે મને હાંક મારે છે.
01040b00f7	હવે તારા ભાઈનું લોહી તારા હાથથી લેવાને જે ભૂમિએ પોતાનું મુખ ઉઘાડ્યું છે, તેથી તું શાપિત થયો છે.
01040c013a	તું ગમે તેટલી મહેનતથી ભૂમિને ખેડશે, પણ તે પોતાનાં બળ તને આપશે નહિ. તું પૃથ્વી પર નિરાશ્રિતની માફક અહીંતહીં ભટકતો રહેશે.”
01040d00bb	કાઈને ઈશ્વરને કહ્યું કે, “હું સહન કરું તે કરતાં તમે મને વધારે સજા કરી છે.
01040e018a	તમે મને આજે અહીંથી હાંકી કાઢ્યો છે અને હવે તમારી આગળથી મારે સંતાવાનું, પૃથ્વી પર ભટકવાનું તથા નાસતા ફરવાનું થશે. હવે જે કોઈ મને જોશે તે મને મારી નાખશે.”
01040f01ac	ઈશ્વરે તેને કહ્યું કે, “જે કોઈ તને મારી નાખશે, તેને સાત ગણી સજા થશે.” પછી ઈશ્વરે કાઈનને ઓળખવા સારુ તેના શરીર પર ચિહ્ન મૂક્યું કે જે કોઈ તેને જુએ, તે તેને મારી નાખે નહિ.
01041000d0	કાઈન ઈશ્વરની સમક્ષતામાંથી ચાલ્યો ગયો. અને જઈને એદનની પૂર્વના નોદ દેશમાં રહ્યો.
01041101ae	કાઈને તેની પત્ની સાથે વૈવાહિક સંબંધ બાંધ્યો અને તે ગર્ભવતી થઈ. તેણે હનોખને જન્મ આપ્યો. કાઈને એક નગર બાંધ્યું અને તેનું નામ પોતાના દીકરાના નામ પરથી હનોખ નગર રાખ્યું.
0104120105	હનોખથી ઇરાદ જન્મ્યો. ઇરાદ મહૂયાએલનો પિતા હતો. મહૂયાએલ મથૂશાએલનો પિતા હતો. મથૂશાએલ લામેખનો પિતા હતો.
01041300cf	લામેખે બે સ્ત્રીઓ સાથે લગ્ન કર્યાં: એકનું નામ આદા અને બીજીનું નામ સિલ્લાહ હતું.
01041400c9	આદાએ યાબાલને જન્મ આપ્યો. તે તંબુઓમાં રહેનારાઓનો તથા ગોવાળિયાનો આદિપિતા હતો.
01041500e4	તેના ભાઈનું નામ યૂબાલ હતું. તે તાર તથા પવનથી વાગતાં વાંજિત્રો વગાડનારાઓનો આદિપિતા હતો.
010416012f	સિલ્લાહએ પણ તૂબાલ-કાઈનને જન્મ આપ્યો. જે સર્વ તાંબાના તથા લોખંડનાં હથિયાર બનાવનાર હતો. તૂબાલ-કાઈનની બહેન નાઅમાહ હતી.
0104170252	લામેખે પોતાની પત્નીઓને કહ્યું કે, “આદા તથા સિલ્લાહ, હું જે કહું તે સાંભળો, હે લામેખની પત્નીઓ માંરે જે કહેવું પડે છે તે કાળજીપૂર્વક સાંભળો. મને ઘાયલ કરનાર એક માણસને, મેં મારી નાખ્યો છે, મને જખમી કરનાર એક જુવાનને મેં મારી નાખ્યો છે.
01041800bb	જો કાઈનને મારવાનો બદલો સાત ગણો લેવાય, તો લામેખનો સિત્તોતેર ગણો લેવાશે.”
0104190220	પછી આદમથી સગર્ભા થયેલી તેની પત્ની હવાએ બીજા એક દીકરાને જન્મ આપ્યો. તેનું નામ શેથ રાખવામાં આવ્યું. ત્યારે હવાના ઉદ્દગાર આ હતા: “કાઈને હાબેલને મારી નાખ્યો હતો. એ હાબેલના બદલામાં ઈશ્વરે મને બીજો દીકરો આપ્યો છે.”
01041a013c	શેથની પત્નીએ પણ દીકરાને જન્મ આપ્યો. તેણે તેનું નામ અનોશ રાખ્યું. અનોશના જન્મ પછી લોકોમાં ઈશ્વરની ઉપાસના કરવાની શરૂઆત થઈ.
01050100e9	આદમની વંશાવળીની વિગતો આ પ્રમાણે છે. ઈશ્વરે પોતાની પ્રતિમા પ્રમાણે માણસનું સર્જન કર્યું.
010502013b	પુરુષ તથા સ્ત્રીને તેમણે સર્જ્યા, તેઓને આશીર્વાદ આપ્યો અને તેઓની ઉત્પત્તિના દિવસે તેઓનું નામ માનવજાત પાડવામાં આવ્યું.
0105030166	જયારે આદમ એકસો ત્રીસ વર્ષનો થયો, ત્યારે તેને તેની પ્રતિમા તથા સ્વરૂપ પ્રમાણે તેની પત્નીએ દીકરાને જન્મ આપ્યો. તેણે તેનું નામ શેથ પાડ્યું.
01050400c6	શેથના જન્મ પછી આદમ આઠસો વર્ષ જીવ્યો અને તે ઘણાં દીકરા અને દીકરીઓનો પિતા થયો.
0105050067	આદમ નવસો ત્રીસ વર્ષની ઉંમરે મરણ પામ્યો.
01050600ab	જયારે તેના પુત્ર અનોશનો જન્મ થયો ત્યારે શેથ એકસો પાંચ વર્ષનો થયો.
01050700d5	અનોશનો જન્મ થયા પછી, શેથ આઠસો સાત વર્ષ જીવ્યો, તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
0105080061	શેથ નવસો બાર વર્ષની ઉંમરે મરણ પામ્યો.
01050900a7	જયારે તેના પુત્ર કેનાનનો જન્મ થયો ત્યારે અનોશ નેવું વર્ષનો હતો.
01050a00d3	કેનાનના જન્મ પછી અનોશ આઠસો પંદર વર્ષ જીવ્યો. તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
01050b0067	અનોશ નવસો પાંચ વર્ષની ઉંમરે મરણ પામ્યો.
01050c00b9	જયારે તેના પુત્ર માહલાલેલનો જન્મ થયો ત્યારે કેનાન સિત્તેર વર્ષનો હતો.
01050d00f9	માહલાલેલનો જન્મ થયા પછી કેનાન આઠસો ચાળીસ વર્ષ સુધી જીવ્યો. તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
01050e0064	કેનાન નવસો દસ વર્ષની ઉંમરે મરણ પામ્યો.
01050f00b6	જ્યારે તેના પુત્ર યારેદનો જન્મ થયો ત્યારે માહલાલેલ પાંસઠ વર્ષનો હતો.
01051000ec	યારેદનો જન્મ થયા પછી માહલાલેલ આઠસો ત્રીસ વર્ષ જીવ્યો. તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
010511007c	માહલાલેલ આઠસો પંચાણું વર્ષની ઉંમરે મરણ પામ્યો.
01051200b1	જયારે તેના પુત્ર હનોખનો જન્મ થયો ત્યારે યારેદ એકસો બાસઠ વર્ષનો હતો.
01051300d0	હનોખનો જન્મ થયા પછી યારેદ આઠસો વર્ષ જીવ્યો. તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
010514006a	યારેદ નવસો બાસઠ વર્ષની ઉંમરે મરણ પામ્યો.
01051500a0	તેના પુત્ર મથૂશેલાહનો જન્મ થયો ત્યારે હનોખ પાંસઠ વર્ષનો હતો.
0105160114	મથૂશેલાહનો જન્મ થયાં પછી હનોખ ત્રણસો વર્ષ ઈશ્વરની સંઘાતે ચાલ્યો અને તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
0105170092	હનોખનું પૃથ્વી પરનું આયુષ્ય ત્રણસો પાંસઠ વર્ષનું હતું.
01051800d9	હનોખ ઈશ્વરની સંઘાતે ચાલતો હતો. પછી તે અદ્રશ્ય થઈ ગયો, કેમ કે ઈશ્વરે તેને લઈ લીધો હતો.
01051900c9	જયારે તેના પુત્ર લામેખનો જન્મ થયો ત્યારે મથૂશેલાહ એકસો સિત્યાસી વર્ષનો હતો.
01051a00f2	લામેખનો જન્મ થયા પછી મથૂશેલાહ સાતસો બ્યાસી વર્ષ જીવ્યો. તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
01051b0088	મથૂશેલાહ નવસો અગણોસિત્તેર વર્ષની ઉંમરે મરણ પામ્યો.
01051c00ab	જયારે લામેખ એકસો બ્યાસી વર્ષનો થયો ત્યારે તે એક દીકરાનો પિતા થયો.
01051d0161	તેણે તેનું નામ નૂહ રાખ્યું અને કહ્યું કે, “આ ઈશ્વરે શાપિત કરેલી ભૂમિ પર અમારા સખત કામ અને અમારા હાથોના સખત પરિશ્રમથી અમને વિસામો આપશે.”
01051e00e9	નૂહનો જન્મ થયા પછી લામેખ પાંચસો પંચાણું વર્ષ જીવ્યો. તે ઘણાં દીકરા તથા દીકરીઓનો પિતા થયો.
01051f007c	લામેખ સાતસો સિત્તોતેર વર્ષની ઉંમરે મરણ પામ્યો.
0105200097	નૂહ પાંચસો વર્ષનો થયો પછી તે શેમ, હામ તથા યાફેથનો પિતા થયો.
01060100c4	પૃથ્વી પર માણસો વધવા લાગ્યાં. તેમાં દીકરીઓના પણ જન્મ થયા, ત્યારે એમ થયું કે,
0106020117	ઈશ્વરના દીકરાઓએ જોયું કે માણસોની દીકરીઓ મનમોહક છે. તેઓમાંથી તેઓએ પોતાને માટે તેમને પત્નીઓ તરીકે પસંદ કરી.
