2800000006	Mathiu
28020200a4	eno cheng rumta, “Noodek Jehudi luungwang ih hoonte ah maradi tup ha? Seng ih saadongko ni heh reksih dong phaakta ah tupti, eno heh suh khorongngot thok hali.”
2802030079	Eno Hirod luungwang ih erah japchaat ano, rapne ih mongsaamta, erah damdi Jerusalem mina loong anep roong mongsaam rumta.
2802040076	Eno heh ih romwah phokhoh loong nyia Hootthe nyootte loong ah lompoon ano cheng rumta, “Kristo ah maradoh tup ah?”
280205006f	“Judia nawa Betlehem hadaang adoh,” neng ih baat rumta. “Tumeah arah tiit ah khowah ih amet raangthiinta:
28020600a2	‘Juda hah dowa Betlehem, an ah Juda samnuthung adoh ehin tah angko; erah dowa an noksong pante ih dong uh Ijirel dowa nga mina loong ah ban koonchaate ah.’”
280207007d	Eno Hirod ih saadongko nawa jatwah loong ah husah lam ih ngoongthum lompoon ano riksih phangdongta saapoot ah chocheng rumta.
28020800e5	Erah dowa ih heh ih neng ah Betlehem hadaang ni kaatthuk rum ano amet baat rumta: “Kah anno noodek maradi tup ha rah naririh et jam kah an, eno chotup anno, ngah suh baat he, ngah uh heh re nah khorongngot kaat suh thunhang.”
28020900ef	Eno dokkhoomta, neng lam ni khoom rum adi, saadongko ni tup rumta reksih ah we kaptup rum ano, rapne ih roon rumta, neng suh tumthan thunghaan jih angta! Riksih ah nengngah nengngah ih ban kah ano maradi noodek tupta erah di tangchap kata.
28020b00f2	Neng ah nokmong ni nopkhoom rum ano, noodek ah heh nuh Meeri damdi ang arah tup rumta, eno neng lakuh di tongrum ano khorongngot rumta. Neng ih tenroon ih hun, Phontum nyia etingtak theng phontumkaang loong ah, heh suh laknoi et dokkoh rumta.
28020c0092	Eno neng, ah neng deek ni lamhoh ko ih ngaakwang rumta, neng mangphe di Rangte ih Hirod jiinnah nak ngaak wang an ih dangdang ih baat rum kano ah.
28020d011c	Neng dokkhoom rumta lini, Rangsah ah Josep mangphe ni dongchap ano baatta, “Hirod ih noodek ah tek haat et suh jam sok ette angla. Erah thoidi dokchap an, noodek nyi soonuh ah siit uno Ijip nah hutong kah an, eno erah nawa dokkhoom suh ngah ih maang baatbaat sen ban tongruh etheng.
28020e0050	Eno Josep ah saatta, eno soonuh nyi ah siit ano, rangphe phe di Ijip ni karumta,
28020f00b2	erah ni neng Hirod maang tektek ih tong karumta. Erah langla Teesu ih khowah suh mamet baatta erah jun ih amiisak angsuh re rumta, “Ngah ih nga sah ah Ijip nawa dokpoon ang.”
2802100186	Hirod luungwang ih saadongko nawa jatwah loong ih heh mokwaan rumta ah jat ano, rapne ih khata. Eno heh ih Betlehem nawa noodek miwasah loong ah tek haat et suh baatta, erah damdi uh hakhuung hatok nawa noodek paang nyi dowa ih khobaang loong ah tek haat suh baatta, erah langla heh ih saadongko nawa jatwah loong re nawa mamet chaatta erah jun ih riksih dong saapoot ah jat ano baat rumta.
2802110049	Erah langla khowah Jeremia ih mamet baatta erah jun ih amiisak ih langta;
28021200a1	“Raama ni Mih riing Chaatta, rapne ih huungriing arah ah. Raakel ah heh sah loong thun huungla; heteenuh huungdiip ah edaan etta, tumeah neng tekmang angta.”
2802130048	Hirod tek lini, Teesu Rangsah ih Ijip ni Josep mangphe di dong khoom ano
2802140081	baatta, “Saat uh, soonuh nyi ah siit uno, Ijirel hadaang nah ngaak wang an, tumeah noodek tek haat chuungte wah ah etek eta.”
2802150051	Eno Josep ah saat ano, soonuh nyi ah siit ano, Ijirel hadaang ni ngaakwang rumta.
28021600d4	Enoothong Josep ih Hirod sah Arkeleus ah Juda ni luungwang we ih hoonla tih, ih chaat ano heh erah nah wangsuh echo eta. Heh suh heh mangphe di jaatrep ah banbaat etta, erah thoidi heh Galili hadaang ko ih wangta
28021700a6	eno heh Najaret hadaang liiha adi tongsong wangta. Erah ah khowah loong ih banbaatta jengkhaap ah amiisak ih pun ra taha: “Heh suh Najaret hadaang mina et li ah.”
2803010061	Erah tokdi Juungtemte Joon ih Judia hadaang phisaang hah mong ni Rangte tiit ah phang baat rumta.
2803020065	“Sen rangdah nawa ngaak ehan,” heh ih baatta, “tumeah Rangmong Hasong ah thok nanah ih hala!”
28030300c7	Khowah Isaia ih banbaatta wah ah Juungtemte Joon angta eradi amet liita, “Mih esiit phisaang hah mong ni riingla, ‘Teesu raangtaan ih lam ban hoon thiin an; Heh khoom suh lamjun et hoon an!’”
28030400a5	Juungtemte Joon nyuh akhat ah mokchongdoot roon nawa ih hoon arah angta; heh roomkhe ah siikhoop angta, erah damdi heh phaksat ah wotuute nyia woma nawa najui angta.
2803050082	Mina loong ah heh jiinni Jerusalem nawa kalomthok rumta, erah damdi Jordan juung re ko Judia juungkhuung re nawa loong nep thokta.
2803060049	Neng ih neng rangdah loong ah dokbaat leh, Jordan adi juung ah tem rumta.
280307009f	Heh ih Pharasi nyi Sadusi miloong juungtem lomthok rumha ah tup ano li rumta, “Pu sen loong ah—o ih baat tahan sen Rangte tenkhat ra hala dowa epi ete eah?
2803080047	Sen rangdah nawa elek elan ih jatjih reeraang pakna ah chaak re kah an.
28030900a5	Sen ih nakmok thun an Abraham suh sengte sengwah li ih no hepi kih eah. Ngah ih baat rumhala Rangte ih bah arah jong ah toon ano uh Abraham suh asah ejen hoon et ah!
28030a007b	Chaang ah bang heh heng nah joot haat raang ih ban thiin eha; bang marah hetiik tatiikka loong abah joot ano we nah tak ah.
28030b00fb	Ngah ih sen juungtem rumhala ah langla sen rangdah nawa ngaaklek etan ih jat suh, enoothong nga lini wasiit ra hala rah ih bah Esa Chiiala nyia we nawa ih tem han. Heh ah nga nang ih elongthoon ang ah; ngah bah Heh lakhoop pak taajoh tha uh taliikang.
28030c0099	Heh di raan dannun theng chuulaang nep jeela. Heh ih raanteh hewong ah pung nah lomthiin ah, eno hephaang loong ah we babah uh lamettheng adoh mattak ah.
28030d006f	Erah tokdi Jisu ah Galili nawa thok haano Juungtemte Joon jiinni Jordan juung ni heh juungtem thuk suh ra taha.
28030e00ae	Enoothong Joon ih heh tenthun ah lekthun thuk suh taat liita. “Nga juungtem botseh an ih temjih ang tahang,” Joon ih liita, ang abah uh an ah nga jiinni thok halu nih!”
28030f008b	Eno Jisu ih heh suh ngaak baatta, “Emah ju toom ang ah. Rangte ih jamha loong ah seng emamah ih re theng.” Erah thoidi Joon ih thangta.
2803100099	Jisu ah juungtem nawa dokkhoom damdam rang kaasak ah daap eta, eno Rangte Chiiala ah wotuupi likhiik ih datpuh ra haano heh sak ni phaak raaha rah tupta.
2803110061	Erah lilih root esiit dongjengta, “Arah ah nga mongnook Sah, heh suh ngah rapne ih roonlang.”
2804010053	Eno Esa Chiiala ih Jisu ah phisaang hako ni Hakhoh luungwang suh phate kaat thukta.
2804020050	Jisu ah hephe phe rook baji hesa saarookbaji phaksat muh tong ano, ramtek angta.
280403007c	Eno Juungbaan ah wang haano Jisu suh liita, “An ah Rangte sah ang ubah arah jong loong ah baanlo et hoon thuk thaak uh.”
28040400bb	Eno Jisu ih ngaak liita, “Rangteele ni liiha, ‘mina jih ajaat ah phaksat nawa ih luulu tathing tongka, erah nang ih bah Rangte jengkhaap jengta loong rah ih baajen thingtong ah.’”
2804050079	Erah lilih Juungbaan ah ih Jisu ah Esa samnuthung adi, Jerusalem adi siitkaat ano Rangteenok khochoom adi chapwan thukta,
28040600f8	eno baatta, “An ah Rangte sah ang uh bah, aadowa an teeteewah datti thaak uh, tumeah Rangteele ni liiha, ‘Rangte ih Rangsah loong asuh an tiit ah baat rum ah; eno neng lak ih an banjoh rumho, eno an lah taan uh jong nah tasat nak thuk ru.’”
280407006c	Jisu ih ngaak liita, “Enoothong Rangteele ni amah uh eraang eha, ‘An Teesu Rangte ah nak taari uh.’”
2804080076	Erah lidi Hakhoh Juungbaan ah ih Jisu ah kongchoong thoon adi siitwan ano mongrep nawa elong elang hasong ah noisokta.
2804090076	Hakhoh Juungbaan ah ih liita, “An lakuh nah kotbon uno nga rangsoom hang bah, arah loong ah, ngah ih an suh koha.”
28040a0066	Eno Jisu ih we liita, “Soon uh, Soitaan! Rangteele ni liiha, an Teesu Rangte ah luulu ba soom uh!”
28040b0079	Erah lidi ba Hakhoh Juungbaan ah Jisu jiinnawa kok dokkhoom katta; eno rangsah loong ah thok rumha chosokboi ra rum taha.
28040c004e	Joon ah phaatak ni sak ha ih Jisu ih chaat ano, heh ah Galili ni doksoon kata.
28040d0091	Heh ah Najaret hadaang ni tatongta, erah nang ih bah Jabulun nyia Napthali juungkhuung Galili juungsitum kaang Kapernam hadaang adi, tong wangta.
28040e0046	Erah langla khowah Isaia ih baatta ah amiisak toom ang raaha ih reeta,
28040f0075	“Jebulun nyi Napthali hadaang, Jordan juung saangko juungsih ni kala lam adi, Ranglajatte loong hadaang Galili adi!
2804100081	Rangnak ni tongte miloong ih weephaak elong ah tup rum ah. Etek hadaang laamang ni tongte loong asuh weephaak ah kaangtook ah.”
2804110091	Erah tok dowa ih Jisu ih Rangte tiitkhaap ah phang baat rumta: “Sen rangdah nawa engaak ehan, tumeah Rangmong hasong ah haniik ih thok hala!”
28041200ad	Jisu Galili juungsitum kaangko ih kah adi, heh ih soophoh wanyi nyah haate tupta, Simoon (Pitar ih poon rumta) nyia ah heh no Endriu ih juungsitum ni nyah ha nyu arah tupta.
2804130061	Jisu ih nyi suh baatta, “Nga damdoh roongwang hansih ngah ih mih mamet joh ah erah nyoot nyuuha
2804140051	Erah damdam soophoh nyi ah chaak ah thiinhaat nyu ano heh damdi roongwang nyuuta.
28041500b5	Heh ih wahoh soophoh wanyi, Jeems nyia Joon we japtup wanta, nyi wah ah Jebidi angta. Nyi wah damdi khoonkhuung ni nyah joot suh chaak tin rum arah japtupta. Eno Jisu ih poon rumta,
280416005a	erah damdam nyi wah ah khoonkhuung adi thiinhaat nyu ano, Jisu damdam ih roongwang nyuuta.
28041700b4	Jisu ah Galili hah noongrep ni riim thok khoomta, Jehudi rangsoomnok ni tum nyootsoot, Rangte Hasong Ruurang Ese ah baattaan, hephan dowa khoisatte mina loong ah riim deesiit etta.
28041800e4	Erah ruurang ah Siria deek akaan noongrep ni japchaat kaat rumta, erah dowa ih harep nawa mina loong ih hephan dowa khoisat, eput engam, echeek ebaang ekoong edook loong thoksiit rum taha eno Jisu ih erah loong ah deesiit rumta.
2804190097	Mina loong hantek Galili nawa, Hadaang Asih ih menha dowa, Jerusalem nawa, Judia nawa nyia Jordan juung saangko nawa ah heh lini roong phankhoom rumta.
280501006e	Jisu ih miloong ah sok ano kong ni duungtong wangta. Eno heliphante loong heh reeni kooktong rumta loong asuh,
2805020016	phang nyootsoot rumta:
2805030080	“O chiiala lam ni changthih anglang ih jat ha loong abah, tenroon ang ah; rangmong Hasong ah erah mina loong raangtaan ang ah!
2805040058	“O mongjoong angla loong ah tenroon ang ah; Rangte ih erah loong asuh tenchaan koh ah!
2805050052	“O toongtang angla loong ah tenroon ang ah; Rangte ih kakhamta loong ah choh ah!
2805060060	“Rangte ih jamha ah jen re suh thunte loong ah tenroon ang ah; Rangte ih neng tenchem thuk ah!
2805070063	“O mihoh raang ih tenthet jeela loong ah tenroon ang ah; Rangte uh erah loong asuh tenthet je ah!
280508004a	“Esa tenthunte loong ah tenroon ang ah; Rangte ah neng ih japtup rum ah!
280509005b	“Semroongroong angsuh reete ah tenroon ang ah; Rangte ih neng suh heh sah et poon rum ah!
28050a006d	“Rangte ih jamha jun ih mote loong siiwiiha ah tenroon ang ah; rangmong Hasong ah neng raangtaan ih ang ah!
28050b0081	“Nga liphan tungthoidi mih ih kaanju halan, siiwi halan adoleh sen tiit ah ethih lam ih leekbaat halan loong ah tenroon ang an!
28050c008b	Tenroon ang an, tumeah sen raangtaan ih elongthoon thaangchojih Rangmong ni ban thiinha. Teewah dowa khowah loong ah emamah ih siiwi rumta.
28050d00b1	“Sen ah mina loong raangtaan ih sum likhiik. Enoothong sumwaan ah mok mah abah, takah we mi ngaak sum thukka. Erah thaangmuh ih hoon ah, piihaat ano mih ih ba noopnak kaat ah.
28050e006e	“Sen ah mongrep mina raang ih weephaak likhiik. Kongchoong dowa samnuthung ah latup thang ih tajen hutongka.
28050f008c	O eh uh weetook ah khoowaan khu nah tatookka: erah nang ih bah hetook thengnah ba took ah, ma dowa ih mina ah khom kaangtook ah erah doh ah.
280510009f	Erah likhiikkhiik sen weephaak ah uh mina miksok doh emamah ih phaak theng, erah dowa ih ba mina ih ese mootkaat ah sok ano Rangmong nawa sen wah ah gu rum ah.
28051100d8	“Moses Hootthe nyia khowah loong ih nyoot tahan loong ah thiinhaat suh ra hala ih nakmok thunhe. Ngah erah loong toohaat thuk suh taraarang, erah nang ih erah nyootsoot tahan loong ah amiisak angthuk suh ra halang.
28051200c2	Samthun et an arah rang nyia hah ah maang thoonthoon bah, arah Hootthe dowa ehin tiit angkojao adoleh jojang tiit angkojao lamat haat theng—jaatrep jaat raang loong ah maang thoonthoon bah ah.
2805130129	Erah raangtaan ih, o ih bah uh jengdang dowa ehinsah tiit ang abah uh lakap thang ih, mihoh suh nep mok moong kiinyootsoot abah, Rangmong Hasong nah heh ah ehin et thiik ah. Emamah, o ih bah uh hootthe ah phan ano mihoh suh nep emamah ih nyootsootte abah, Rangmong Hasong heh ah elong et thiik ah.
28051400c9	Erah raang ih ngah ih baat rumhala, sen rangmong Hasong nah jen wang ean, sen tuungmaang laalom ah Hootthe nyootte nyia Rangte mootkaatte Phirasi loong nang ih ehan ih Rangte ih jamha jun ang anbah ah.
280515008a	“Sen ih chaat etan mina loong ih teewadi amet baat arah ah, ‘Mih nak tek haat theng; o ih mih tek haat ah erah mih ah erikri et ah.’
280516014b	Eno amadi sen suh baat rumhala: Senphoh senno damdoh mok khadah anbah sen ah erikri et han, senphoh senno suh amah mok li an, ‘An tumjih di uh tapun ko!’ Erah ang abah sen ah Ngoong awang dung nah thoksiit han, erah dam ih senphoh senno suh thaangmuh thungko mina ih mok li anbah, sen ah soolam dowa we adoh wangjih ih hoon an.
2805170087	Erah raangtaan ih sen Rangte suh romthong nah tenroon lakkot kot thun ang andoh, senphoh senno damdi thichomui anrah mok samthun anbah,
28051800a3	tenroon lakkot ah romthong ngathong adoh ban thiin anno, echaan senphoh senno damdoh chaak punwaan wang an, eno ngaak hanno ba Rangte suh tenroon lakkot ah koh an.
280519010a	“O ih bah uh sen miksuk halan, eno erah ih mat hoon nok nah maang thoksiit wan doh, saapoot ese pootdoh changrook tiit ah chaak huk punwaan etheng. Mat hoon nok nah jaasiit nopsiit tahan no bah, mat hoonte ih sen ah phaatak nah tongthuk suh pulit lak nah ba kohan.
28051a004b	Ngah ih baat rumhala, erah nah bah chang maangthoon dokdok ih tongthuk han.
28051b0052	“Sen ih amet baat arah chaat etan, ‘Mih minuh miwah damdoh laroomjup theng.’
28051c0084	Eno amadi baat rumhala: O ih bah uh minuh ah sok ano eroomjup ih doh bah ih thunha rah ih botseh heh ten ni rangdah ah ejen moh eta.
28051d00be	Erah raangtaan ih sen mik jaawah ko rah ih rangdah mok ang thuk hanbah, doklot an no piihaat an! Sen sakpuh pan ih we nah khaamwang nang ih bah, sak nawa amasah chep mala ah ese laan ang ah.
28051e0096	Sen lak jawah ko ih rangdah mok ang thuk hanbah, thadook anno piihaat an! Sen sakpuh pan soolam nah wang nang ih bah lakko ih tong ah ese laan ang ah.
28051f0065	“Amah uh ebaat eta, ‘O ih bah uh heh minuh haat ah, erah ih le ah raang ano haat mu theng eah.’
28052000e9	Amadi ngah ih baat rumhala: O ih bah uh heh minuh mih damdoh laroomjupka doh haat ah, eno minuh ah mihoh damdoh mok we nook abah roomjup rangdah ah heh ih dah thukla; eno erah nuh we kapte warah uh emamah ih romjup rangdah ah dah ah.
28052100aa	“Ehak di mih loong ih amet baat arah uh echaat etan, ‘Thoomhoon jengkhaap ah lathet haat theng, erah nang ih Teesu damdi tumjih re suh thoomhoon tu rah ere etheng.’
2805220087	Amadi ngah ih baat rumhala: sen ih jeng kakham an radoh thoom nakmok hoon an. Rang mendoh uh nak thoom an tumeah erah Rangte tongtheng;
2805230094	adoleh hatoh mendoh uh lathoom theng, tumeah erah Rangte lah dangnak theng; adoleh Jerusalem mendoh uh lathoom theng, erah Luungwanglong samnuthung.
2805240063	Sen khoh uh lamenseh theng, tumeah khoroon tasiit taan uh sen ih epuung adoleh emak tajen hoon kan.
2805250064	‘Elang’ adoleh ‘Lalang’ erah ba jeng theng—jaat hoh jenglan abah Ethih ih jeng thuk halan.
280526007f	“Sen ih amet baat arah echaat etan, ‘Thetsok et ho bah ngaak thetsok et uh, pha ih phak abah pha ih ngaak phaktheng eah.’
28052700a3	Amadi ngah ih baat rumhala: O bah uh sen damdoh thetre ha bah phuh nak lek theng. O ih bah uh jawah ko the adoh buh hanbah, dak hekko the adoh boot buh thuk theng.
280528007a	Erah damdoh o ih bah uh an samsong ah nge suh mat hoon nok nah thoksiit hanbah, sen samsongnuh anep laan wak khook koh an.
2805290060	Erah damdoh o ih bah uh meesiit hajang nah huihui laatbaat hanbah, meenyi hah nah boot kowan an.
28052a0084	O ih bah uh sen dowa tumjih tumpih suh hanbah ekot etheng; adoleh sen dowa o ih bah uh hukkhaak nam hanbah heh suh enam kot ettheng.
28052b0067	“Sen ih amet baat arah echaat etan, ‘Sen joonte ah minchan etheng, sen piiara ah miksuk ettheng.’
28052c0060	Eno amadi ngah ih baat rumhala: senpi senra ah minchan et an, sen siiwiite asuh rangsoom koh an,
28052d00c2	eno ba Rangmong nawa sen wah Rangte suh asah ih hoon an. Tumeah heh ih rangsa ah ethih ese mina khoni eliili ih phaakthukla, nyia rangphaat ah ethih ese reete loongtang suh eliili et phaat koha.
28052e0069	Rangte ih tumjih thaang ma kohan sen joonteete ah minchan anbah ah? Erah bah sokse seete loong nep reela!
28052f006f	Nyia sen joonte damdam adi waantiit lan rah, mihoh lajen reejih ah tam re lan? Emah bah Rangnak mina nep reela!
2805300052	Sen ah rapne eseethoon jaatjaat angtheng—rangmong nawa sen Wah angla likhiik ah.
28060100da	“Sen ih dangdang ih thun an sen thooroom reeraang pakna ah mih suh noisok laklak naktoom ang ah, erah loong ah sen nokjat tangjat mok ih re anbah, rangmong dowa sen Wah jiin nawa sen hethaang chotheng tajeeka ang an.
2806020133	“Erah raang ih sen ih changthih noodek suh tumjih tumjih koh anbah, sen ih mih suh lanoisok theng, rangsoomnok ni nyia lam ni lonoite reeraang rumla likhiik ah. Neng erah reeraang rumla ah mih ih toom guuhe ih thun rumha. Ngah ih amiitiit baat rumhala, erah mina loong ah neng hethaang ejen choh ih rumta.
2806030066	Sen ih mina changthih noolih chosok andoh, sen joonte sen sak tiit taantaan ih botseh nak toom jat ah.
2806040074	Erah husah lam ih chosok theng. Eno ba sen husah lam ih kohan ah sen Wah ih sok hanno, sen suh erah thaang ah kohan.
280605011b	“Sen ih Rangsoom andoh, lonoite likhiik nak ang an! Erah miloong ah ih bah rangsoomnok ni nyia lamkaang ni toonchap ano midung ni soom suh ram rumla, mih ih toom japtup he ih thun rum ano ah. Ngah ih amiitiit baat rumhala, neng erah re rumla thaang ah thoontang ejen choh ih rumta.
28060600c2	Sen ih Rangsoom andoh, nokmong nah wang anno kaaluung ah sak, eno sen mik ih latup kan, sen Wah Rang ah soom an. Eno sen Wah ih, sen ih husah di soom han rah tup hanno, rangsoom thaang ah kohan.
28060700c3	“Sen ih rangsoom andoh, lalangka jengkhaap loong ah nakloot jeng an, Rangte men lajatte loong reela likhiik ah, neng rangsoom eloot ang kano Rangte ih ehan et chaat ah ih thun rumha likhiik ah.
2806080077	Sen erah miloong likhiik lah angtheng. Sen ih tumjih jam han erah sen Wah ih maang suh kan jaakhoni dook ejen jat etta.
2806090051	Rang ah amet soom an: ‘Rang ni tongte seng loong Wah: an men esa aju phoong ih;
28060a0054	an hasong ju toom raaha; an thung hatoh nah uh rangmong nawa likhiik toom ang raaha.
28060b0025	Seng suh chiinyah wa phaksat ah kohe.
28060c0066	Seng rangdah thetreeti loong ah biin anaan he, seng ih seng joonte thetre ah biin anaan hi likhiik ah.
28060d00bc	Echeh echaan lam nah nak phate thuk weehe, erah nang ih mikmuh Juungbaan nawa thong panghe.’ Tumeah an juuba rangmong hasong, chaan aphaan, nyia roitang raang ih men raksiit theng. Amen.
28060e0060	“Sen ih sen joonte thetre ah biin anaan anbah, Rangmong nawa sen wah reh uh biin anaan et han.
28060f0079	Enoothong sen ih sen joonte ah lajen biin anaan kanbah, Rangmong nawa sen Wah reh uh sen rangdah ah tajen biin anaan ran.
2806100111	“Nyia samurangsoom tong andoh, senthe senkhoh ah nak joongdat thuk an lonoite loong reeraang rumla likhiik ah. Nengthe nengkhoh thet haat rumha langla samurangsoom tongli ah mirep eh toom sok he ih thun rumha. Ngah ih baat rumhala, neng loong hethaang ejen choh ih rumta.
280611003f	Sen samuh ih rangsoom tong andoh, sen the ah met, khoh ah thit,
28061200ad	mih wahoh ih samurangsoom ha ih naktoom jat han—sen mik ih latup kan sen Wah eba toomjat han. Sen ngiija ni reeraang lan ah sen Wah ih tup ih halan, eno hethaang ah kohan.
280613007d	“Arah hah adoh sen nyamka ah nak lomthiin an, arah dowa bah ram nyia soot ih thet haat ah, nyia ehuh loong ih longlaang ah.
280614008c	Erah nang ih bah, sen raangtaan ih rangmong nah thong lomthiin an, erah nah bah soot nyia ram ih tajen thet haatka, ehuh eh uh tajen longka.
2806150040	Tumeah sen nyamka marah di angla sen tenthun uh erah doh ang ah.
2806160069	“Mik ah sak raangtaan ih weetook likhiik. Sen mik ah esing ang anbah, sen sakputang ah weephaak ang ah;
2806170098	enoothong sen mik ah laseeka bah, sen sakputang laamang nah ang ah. Erah ang abah sen sak nawa weephaak ah laphaakka bah, tumthan echoojih ih nakdat ah.
28061800e7	“Sen wasiit ah changte wanyi dah tami angkan; sen ah wasiit asuh seechoh ean, wasiit asuh thichoh ean; sen ih wasiit jeng ah chaat, wasiit jeng ah phaaki et an. Erah likhiik sen Rangte nyia ngun raangtaan ih eroom eh tajen mokan.
28061900ff	“Erah raang ih ngah ih baat rumhala: ethingtong raangtaan ih juungjok phaksat, adoleh khooloop raang ih nyuh akhat suh lasootsaam theng. Seng roidong ah phaksat nang ih thaangchaan tanih angka? Nyia sen sak ah nyuh akhat nang ih thaangchaan tanih angka?
28061a00d5	Phih awoh loong ah sokthaak an: neng ih cham uh tawenka, ehui uh tahuika pung ni uh talom thiinka; ang abah uh Rangmong nawa sen Wah ih neng ah ban kooncha ruh eha! Sen atang woh nang ih thaangchaan tanih ang kan?
28061b004f	Sen erah suh taat sootsaam anno sen roidong amasah taan ejen loot tong nih ean?
28061c00a3	“Eno sen ah nyuh akhat suh tume sootsaam lan? Sokthaak an woma nawa popoong loong mame hakla; neng raangtaan ih moot uh tamoka adoleh nyuh akhat uh tawaat rumka.
28061d0086	Amadi ngah ih baat rumhala luungwang Solomon botseh nyamte wah taat ang arah ih arah popoong loong jaaseela likhiik tajen jaase kapta.
28061e0102	Erah Rangte juuba woma nawa kho anaam loong jaase thukte ah—kho anaam chiinyah angla loong ah rangkhah takah thok tongka, we nah ba mattak wan ah. Erah ang abah heh ih sen suh nyuh akhat ah tang tanih jen koran? Sen tuungmaang amasah taan uh laje mame lan!
28061f007b	“Erah raang ih nakkah sootsaam an: ‘Nga phaksat juungjok ma nawa et ang eah? Nyia nga nyuh akhat ma nawa et ang eah?’
280620007b	(Erah loong asuh bah Ranglajatte loong aboh sootsaam ah.) Rangmong nawa sen Wah ih jat et ha sen ih tumjaat jam han rah ah.
2806210090	Erah nang ih, jaakhoh Rangte Hasong ah chaak jam an heh ih tumjih raang ih jam halan jun ih ah, eno bah sen suh erah loong jaatrep ah jam kohan.
280622008f	Erah thoih rangkhah suh sen nak sootsaam an; rangkhah suh rangkhah ih jat ah. Rangwuung rookwih sootsaam theng khoboot doh nakboot sootsaam an.
2807010041	“Sen ih mih ladande theng, eno ba sen ah Rangte ih tadande ran,
28070200a1	tumeah sen ih mih mamet dande han erah jun ih Rangte ih sen emamah ih dande han, nyia mih damdi mame re lan erah likhiik ih Rangte uh sen damdoh emamah ih reeha.
280703006e	Erah bah, sen ih sen joonte mikmaang ah mamet mi beek an, sen mik dowa bangthah ah laphang dok haat kanbah ah?
280704006d	Senphoh senno suh sen ih mamet mi li an ‘An mikmaang ah beek ha eah’ sen mik nah bangthah ah hui anno ah?
280705008e	Lonoite sen loong! Jaakhoh sen mik nawa bangthah ah chaak beek haat an, sen ah miksing ang an no ba senphoh senno mikmaang ah mi beek haat an.
2807060095	“Hi suh esaajih ah nak koh an—neng ih an ba ngaak phak ho. Sen ih thaangchaan jekteh ah wak ngathong nah nak haat an—neng ih enoopnak ba et ah.
2807070061	“Echeng et an, echoh ean, ejam et an echojam et an, erengtok et anno ba kaaluung ah daap kohan.
280708007f	O mina ih echeng et ah erah ih choh ah, o ih jam et ah erah ih chojam ah, o ih erengtok et ah erah suh kaaluung ah daap koh ah.
