130000000c	Псалми
13060a00c6	Нехай засоромлені будуть і збентежені вкрай усі вороги мої, обернуться назад і вкриються ганьбою зненацька.
130701014b	Жалобна пісня Давида, яку він співав Господеві стосовно Куша, із коліна Веніаміна. Господи, Боже мій, на Тебе я надію покладаю. Врятуй мене від усіх, хто мене переслідує, визволи мене,
1307020094	щоб душу мою не розтерзав [ворог]; як лев; шматуватиме він – і не буде визволителя.
130703007a	Господи, Боже мій! Якщо я зробив це, якщо є беззаконня на руках моїх,
13070400ae	якщо злом я віддячив тому, хто [жив] у мирі зі мною, і [якщо] я супротивника мого грабував даремно,
13070500e7	[то] нехай ворог переслідує мою душу, наздожене [мене], і втопче в землю життя моє, і честь мою в пилюці перебувати змусить. (Села)
13070600e6	Устань, Господи, у гніві Твоєму, піднімися проти люті супротивників моїх, повстань за мене на суд [справедливий], що Ти заповів.
1307070077	Нехай оточить Тебе зібрання племен, а [Ти] сядеш над ним на висоті.
13070800b2	Нехай Господь судить народи! Суди мене, Господи, за моєю правдою і за невинністю моєю, о Всевишній!
13070900d9	Нехай же буде покладено край злу нечестивих, а праведного зміцни, Боже праведний, адже [Ти] випробовуєш серця й нутрощі.
13070a0079	Щит мій – Бог Всевишній, що рятує [людей] із справедливими серцями.
13070b0087	Бог – суддя праведний, [це той] Бог, Який щодня гнів [справедливий] виявляє.
13070c0097	Якщо хтось не навернеться, Він нагострить Свій меч, натягне Свій лук, націлить його
13070d008b	і приготує смертоносну зброю, палючими зробить Свої стріли [проти грішника].
13070e007c	Ось той, хто зачинає беззаконня і вагітніє лихом, народить неправду.
13070f006e	Він рив яму, викопав її, але [сам] упаде в зроблену ним пастку.
13071000a6	Повернеться [задумане ним] лихо на його ж голову, і на маківку йому впаде власне насильство.
130711008f	Прославлю Господа за Його правду й заспіваю [хвалу] імені Господа Всевишнього!
1308010115	Керівнику хору. Виконання в стилі ґіттіт. Псалом Давидів. Господи, Володарю наш, яке величне ім’я Твоє усюди на землі! Ти підніс велич Свою понад небеса.
13080200dd	Із вуст малих дітей і немовлят Ти влаштував твердиню проти супротивників Твоїх, щоб змусити замовкнути ворога й месника.
13080300a4	Коли дивлюсь я на небеса Твої, творіння Твоїх пальців, на місяць і зорі, що Ти встановив їх,
13080400bc	[то роздумую:] «Хто така людина, що Ти пам’ятаєш про неї, і [хто] син людський, що Ти турбуєшся про нього?»
130805008b	Лише трохи применшив Ти його перед Богом і славою та величчю коронував його.
1308060090	Ти поставив його панувати над творіннями Твоїх рук, усе підкорив йому під ноги:
130807005c	усю дрібну худобу й волів, а також польових звірів,
130808007f	птахів небесних і риб морських, [усе живе], що проходить стежками моря.
130809006d	Господи, Володарю наш, яке величне ім’я Твоє усюди на землі!
13090100e8	Керівнику хору. На мотив «Смерть сина». Псалом Давидів. Славитиму [Тебе], Господи, від щирого серця, сповіщатиму всі чудеса Твої.
1309020078	Радітиму й веселитимусь Тобою, співатиму імені Твоєму, Всевишній!
1309030099	Коли вороги мої відсахнулися назад, то спіткнулися й загинули перед обличчям Твоїм.
13090400a4	Бо Ти підтримав мене на суді у позові моєму [проти них]; Ти сів на престолі, судив по правді.
130905008c	Ти звинуватив народи, згубив нечестивих, імена їхні стер навіки [із пам’яті].
13090600bc	Руйнування ворога завершене навіки; його міста Ти викорінив, [Господи], навіть пам’ять про них згинула.
1309070090	А Господь перебуватиме вічно, Він встановив для [праведного] суду престол Свій.
130908007c	Він судитиме всесвіт за правдою, вершитиме суд народам справедливо.
1309090076	І буде Господь сховищем пригніченому, притулком у часи скорботи.
13090a00b9	Надію покладатимуть на Тебе [всі], хто знає ім’я Твоє, адже Ти не покинеш тих, хто прагне Тебе, Господи.
13090b0084	Співайте Господеві, Що мешкає на Сіоні, звіщайте народам Його звершення.
13090c00ab	Бо Він вимагає [розплати] за кров [невинних], пам’ятає про них, не забуває волання пригнічених.
13090d00cb	Змилуйся наді мною, Господи, поглянь, [як] гнітять мене мої ненависники, підніми мене, [віддали] від воріт смерті,
13090e0087	щоби звіщав я хвалу Тобі у воротах Доньки Сіону, радіючи порятунку Твоєму.
13090f00bc	Народи попадали в яму, яку [самі ж і] викопали, упіймалися їхні ноги в сіть, яку вони ж таємно розставили.
13091000b1	Виявив Себе Господь, вчинивши суд: нечестивий потрапив у пастку вчинків своїх рук! Гіґайон. (Села)
130911007f	Зійдуть нечестиві до царства мертвих – усі народи, що Бога забувають.
1309120089	Але вбогий не назавжди буде забутий, [і] надія пригнічених не зникне навіки.
13091300ad	Повстань, Господи! Нехай не перемагає людина! Нехай стануть народи на суд перед обличчям Твоїм!
130914009b	Наведи жах на них, Господи, нехай пізнають народи, що вони – лише [смертні] люди. (Села)
130a010081	Чому, Господи, Ти стоїш осторонь, ховаєш Себе [від нас] у часи скорботні?
130a0200a3	Нечестивий пихато переслідує пригніченого – нехай сам потрапить у задумані ним каверзи!
130a0300a0	Бо хизується нечестивий пристрастями душі своєї і жадібний ганьбить, зневажає Господа.
130a0400c6	Зухвало нехтує нечестивець тим, щоб Господа шукати, немає [місця для] Бога в жодному його підступному задумі.
130a0500f0	Його справи йдуть успішно повсякчас, [занадто] високі для нього закони справедливості Твоєї, глузує він з усіх супротивників своїх.
130a060084	Говорить він у серці своєму: «Не похитнуся, ніколи лихо мене не спіткає!»
130a0700aa	Його вуста наповнені прокляттям, підступом і пригніченням, під язиком у нього лихо й сваволя.
130a0800d5	Залягає він у засідку [біля] огороджених поселень, у глухих місцевостях вбиває невинного, очі його стежать за вбогим.
130a0900c3	Чатує у схованці, немов лев у лігві; чигає, щоб схопити пригніченого; хапає бідаря, тягнучи його у свої сіті.
130a0a00a8	Понівечений, він згинається й падає, і могутність [нечестивця] вражає знедолених і нещасних.
130a0b00b4	Говорить [безбожний] у своєму серці: «Бог забув, Він сховав обличчя Своє, повік не побачить [цього]».
130a0c0077	Повстань, Господи! Здійми руку Твою, Боже! Не забувай пригнічених!
130a0d0094	Чому нехтує Богом нечестивий, говорить у своєму серці, що не відплатиш Ти [за зло]?
130a0e00e8	Але ж Ти бачиш! На утиск і гніт Ти уважно дивишся, щоб рукою Своєю покарати [винного]. Убогий Тобі ввіряється, Ти помічник сироті.
130a0f00c3	Зламай же плече нечестивому й злому, відплати за його беззаконня так, щоб не знайшлося [нічого після нього].
130a100074	Господь – Цар на віки вічні, згинуть народи [чужі] із землі Його.
130a1100a7	Бажання бідних Ти чуєш, Господи, підтримуєш їхні серця, схиляєш вухо Своє [до їхнього зойку],
130a1200c1	щоб здійснити правосуддя для сироти й пригніченого, щоб [смертна] людина не наводила більше жаху на землі.
130b0100d2	Керівнику хору. Псалом Давидів. На Господа я надію покладаю. Як же ви можете казати мені: «Лети-но на гору, мов птах!»
130b0200c6	Бо ось нечестиві натягують луки, прикладають стріли на тятиву, щоб у темряві стріляти в справедливих серцем.
130b03006b	Адже коли руйнуються підвалини, що може зробити праведний?
130b0400e9	Господь у Своєму святому Храмі, Господь на Своєму небесному престолі. Його очі бачать, Його повіки випробовують синів людських.
130b0500b2	Господь випробовує праведного, а нечестивого й того, хто любить насильство, ненавидить Його душа.
130b0600b3	Він проллє дощем на нечестивих нещастя, вогонь, сірку, і вітер палючий – їхня частка з чаші [гніву].
130b07009b	Бо праведний Господь, любить правду; [тому тільки] справедливі побачать Його обличчя.
130c010121	Керівнику хору. У супроводі восьмиструнного інструмента. Псалом Давидів. Врятуй, Господи, бо не стало справедливого, бо зникли вірні з-посеред синів людських!
130c020099	Марне говорять одне одному, вуста слизькі [в них], глибоко в серці промовляють [інше].
130c030076	Нехай розрубає Господь кожні слизькі вуста [й] зухвалий язик тих,
130c04009f	що говорять: «Нашим язиком здолаємо [кого завгодно]; вуста наші з нами – то хто нам пан?»
130c0500fd	«Через те, що грабують пригноблених, що бідняки стогнуть, нині повстану Я, – говорить Господь, – врятую від тих, хто зводить на них наклеп».
130c0600b5	Слова Господні – слова чисті, немов срібло, що в горнилі земляному очищене, сім разів переплавлене.
130c070094	Ти, Господи, берегтимеш [нужденних], стерегтимеш нас від роду цього [злого] повіки,
130c080079	[поки] навколо тиняються нечестиві й людська нікчемність у пошані.
130d0100ca	Керівнику хору. Псалом Давидів. Доки, Господи? Невже Ти забув мене навіки? Доки ховатимеш обличчя Своє від мене?
130d0200d7	Доки тяжкі роздуми носитиму я в душі своїй [і] муку в серці своєму день у день? Доки величатиметься ворог мій наді мною?
130d0300b0	Зглянься ж, дай мені відповідь, Господи, Боже мій! Очі мої просвіти, щоб сном смертним я не заснув,
130d0400a5	щоб не говорив мій ворог: «Я здолав його!» Щоб не раділи супротивники мої, коли я похитнуся.
130d0500a5	Я ж бо на милість Твою покладаю надію, радітиме серце моє через порятунок, [посланий] Тобою,
130d06006a	співатиму я Господеві, бо Він виявив до мене прихильність.
130e010115	Керівнику хору. Давидів. Промовив безумний у своєму серці: «Немає Бога». Розбестились вони, огидними стали їхні вчинки, немає [нікого], хто б чинив добро.
130e0200b2	Господь із небес поглядає на синів людських, щоб побачити, чи є [серед них] розумний, що шукає Бога.
130e0300aa	Усі як один вони збочили [з дороги], зіпсувалися; немає того, хто робив би добро, жодного немає.
130e0400c2	Невже не схаменуться всі ті, хто чинить беззаконня, хто пожирає народ мій, немов хліб, хто Господа не кличе?
130e050083	Там, [на шляху їхньому], охопить їх страх, адже Бог серед праведного роду.
130e06007e	Ви глузуєте зі сподівань пригнобленого, але Господь – його притулок.
130e0700e1	О, хто дав би із Сіону порятунок Ізраїлеві! Коли Господь поверне з полону народ Свій, веселитиметься Яків, радітиме Ізраїль!
130f0100a4	Псалом Давидів. Господи, хто може мешкати у Твоєму наметі? Хто житиме на Твоїй святій горі?
130f0200b5	Той, хто ходить бездоганно [життєвим шляхом] і хто чинить правду; хто істину говорить у своєму серці
130f0300d8	і наклепів язиком своїм не зводить; не чинить зла ближньому своєму і [нічого] ганебного на свого ближнього не намовляє;
130f04010f	очима своїми він не гляне на негідника, але тих, хто Господа боїться, шанує; [навіть коли] він склав собі присягу на збиток, то не змінить [свого слова].
130f0500e1	Срібла свого він на лихву не позичає і хабара проти невинного [на суді] не бере. Хто чинить усе це, той повіки не захитається.
1310010074	Міхтам Давидів. Бережи мене, Боже, адже на Тебе я надію покладаю!
1310020088	Сказав я Господеві: «Ти мій Володар, немає в мене іншого блага, окрім Тебе».
1310030077	[Також] до святих, що на землі, і до шляхетних – до них моє бажання.
1310040126	Нехай же численні скорботи спіткають тих, хто іншим [богам] прагне служити. Я не литиму їм крові жертовних виливань, не згадуватиму імен тих [богів] моїми вустами.
1310050082	[Лише]Господь – наділений мені спадок і мій келих; Ти тримаєш мій жереб.
131006008d	Межі мого [наділу] пролягли через приємні місця – так, гарний спадок для мене!
1310070097	Благословлю я Господа, Який дає мені поради, навіть уночі моє нутро наставляє мене.
13100800a8	В уяві своїй завжди я бачу перед собою Господа, адже Він по правиці моїй, щоб я не похитнувся.
1310090097	Тому радіє серце моє й веселиться слава моя, також тіло моє перебуватиме в безпеці,
13100a00a2	бо не залишиш Ти душі моєї в царстві мертвих, не дозволиш вірному Твоєму побачити тління.
13100b00ca	Ти стежку життя мені показуєш; наповнив мене радощами перед обличчям Твоїм, насолодою по правиці Твоїй навіки.
13110100f1	Молитва Давидова. Почуй, о Господи, [благання про] правду; прислухайся до мого волання, зваж на мою молитву, що з вуст нелукавих [лине].
1311020098	Від Тебе Самого нехай прийде мені суд справедливий, нехай очі Твої побачать правду.
13110300dd	Ти випробував моє серце, дослідив [мене] вночі, переплавив мене, але не знайшов [того], щоб слова мої розходилися з думками.
13110400d6	Щодо справ людських, то згідно зі словом, що [вийшло] з вуст Твоїх, я зберіг себе від того, щоб [стати] на шлях гнобителя.
131105007d	Стопи мої крокували [тільки] Твоїми стежками, ноги мої не оступалися.
1311060097	Я кличу до Тебе, бо Ти відповіси мені, Боже; нахили вухо Твоє до мене, почуй мову мою.
13110700e2	З’яви дивну милість Твою, о Визволителю, Що рятуєш правицею Своєю тих, хто надію покладає на Тебе в протистоянні з ворогами.
1311080067	Бережи мене мов зіницю ока, у тіні крил Твоїх сховай мене
1311090091	від нечестивих, що грабують мене, від смертельних ворогів моїх, що мене оточили.
13110a0056	Вони заплили жиром, вуста їхні говорять пихато.
13110b00ba	Підкрадалися до мене [таємно], а тепер оточили мене, їхні очі шукають нагоди, аби кинути [мене] на землю.
13110c0090	Немов той лев, що прагне терзати [здобич], і як лев молодий, що в засідці залягає.
13110d00b5	Піднімися, Господи, стань перед ним, кинь додолу його; мечем Своїм визволи душу мою від нечестивого,
13110e0177	рукою Твоєю від мужів, Господи, – від людей плинного світу, чия доля лише в цьому житті. То нехай же їхнє черево наповниться із Твоєї скарбниці нехай діти їхні наситяться і залишок передадуть малюкам своїм.
13110f0092	А я в правді побачу обличчя Твоє, прокинувшись, образом Твоїм насичуватися буду.
1312010189	Керівнику хору. Псалом раба Господнього Давида. Він заспівав слова цієї пісні Господеві того дня, коли визволив його Господь від руки всіх ворогів його й від руки Саула. І сказав він: «Я люблю Тебе, Господи, сило моя!»
1312020129	Господь – бескид [крутий] для мене, твердиня моя і мій Визволитель. Мій Бог – моя скеля, на Нього я надію покладаю, [Він] – мій щит і ріг порятунку мого, притулок мій.
131203007e	До Господа прославленого кличу я – від ворогів моїх врятований буду.
131204006d	Облягли мене пута смерті, потоки зради затягнули мене у вир.
131205007f	Пута царства мертвих охопили мене, тенета смерті постали переді мною.
13120600ec	У скорботі моїй я кликав Господа й волав до Бога мого. Він почув мій голос зі святого Храму Свого, і волання моє до вух Його дійшло.
13120700af	Тоді здригнулася земля, захиталась, затремтіли підвалини гір, стрепенулися, бо розгнівався Він.
13120800cc	Дим піднявся із ніздрів Його, і вогонь, що [все] пожирає, – із вуст Його, розжарене вугілля [посипалося] від Нього.
131209006c	Він нахилив небеса і зійшов, і під ногами Його – хмара імли.
13120a006e	Він сів верхи на херувима й полетів, понісся на крилах вітру.
13120b00aa	Морок зробив Він Своїм покровом, [немов] шатро навколо Нього – темні хмари дощові, клуби пилу.
13120c008d	Від сяйва, що перед Ним, випливають хмари – [вони несуть] град і спалахи вогню.
13120d009a	Тоді загримів на небесах Господь, Всевишній подав Свій голос – град і спалахи вогню.
13120e0096	І пустив Він стріли Свої, і розсіяв [ворогів], численними блискавками розгромив їх.
13120f00df	Тоді з’явилися джерела води й підвалини всесвіту відкрилися від докору Твого, Господи, від подиху вітру із ніздрів Твоїх.
1312100073	Він схилився з висоти, узяв мене, витягнув мене із вод глибоких.
13121100a4	Визволив мене від сильного мого ворога й від ненависників моїх, що сильніші були від мене.
1312120073	Вони стали переді мною в день лиха, але Господь був моєю опорою.
131213007e	Він вивів мене на просторе місце, визволив мене, бо Він мене уподобав.
131214008d	Віддячив мені Господь за правдою моєю, за чистотою рук моїх винагородив мене.
1312150098	Адже я тримався шляхів Господніх і не чинив нечестиво, відвернувшись від мого Бога.
131216008f	Бо всі закони Його правосуддя – переді мною, і від постанов Його я не ухилявся.
1312170062	Я був бездоганний перед Ним і від гріха оберігав себе.
131218009e	Тому й винагородив мене Господь за правдою моєю, за чистотою рук моїх перед Його очима.
13121900a6	Ти вірність виявляєш тому, хто сам вірний, з людиною бездоганною й Ти поводишся бездоганно,
13121a0093	із чистим Ти обходишся щиро, але з підступним – відповідно до його підступності.
13121b007b	Адже Ти рятуєш людей смиренних, а тих, у кого очі зухвалі, принижуєш.
13121c0079	Ти запалюєш мій світильник; Господь, Бог мій, освітлює мою темряву.
13121d008c	[Разом] із Тобою я змушую [вороже] військо тікати, і з Богом моїм я долаю стіну.
13121e00b5	Бог! Бездоганний шлях Його, слово Господа чисте. Він – щит для всіх тих, хто на Нього надію покладає.
13121f0077	Бо хто [ще] є Богом, окрім Господа? І хто є скелею, крім нашого Бога?
1312200067	Бог підперізує мене силою і бездоганним чинить мій шлях.
131221006a	Він робить ноги мої, мов у лані, і ставить мене на узвишшях.
131222008b	Він привчає руки мої до битви, так що плечі мої можуть зігнути бронзовий лук.
13122300a5	Ти дав мені щит порятунку Твого, і правиця Твоя підтримує мене, милість Твоя звеличує мене.
1312240071	Ти розширюєш мій крок піді мною, так що не тремтять мої ступні.
1312250092	Я переслідую ворогів моїх і наздоганяю їх, не повертаюся назад, поки їх не знищу.
131226007e	Я вражаю їх так, що не можуть більше встати, вони падають під мої ноги.
1312270084	Ти підперезав мене силою для битви, упокорив тих, хто повстав проти мене.
131228007d	Ти ворогів моїх обернув до мене спиною, і ненависників моїх я знищив.
13122900aa	Вони волали [про допомогу], але не було рятівника, до Господа[кликали], та Він їм не відповідав.
13122a009f	Я стер їх у порох, у пил, що [розноситься] на крилах вітру; я топтав їх, як бруд на вулицях.
13122b00d5	Ти визволив мене від заколоту в народі, поставив мене головувати над іноземцями. Народи, яких я не знав, служать мені,
13122c009f	слухаються мене, лише почувши краєм вуха [про мене]. Сини чужинців плазують переді мною.
13122d0094	Понурилися сини чужинців і завмирають [від страху], [виходячи] зі своїх укріплень.
13122e0097	Живий Господь і благословенна Скеля моя! Нехай звеличений буде Бог порятунку мого!
13122f006b	Він – Бог, Який помсту за мене вчиняє, підкорює мені народи
13123000d5	й визволяє мене від ворогів моїх. Ти підніс мене над тими, хто повстав проти мене, врятував мене від людини жорстокої.
1312310091	За це я славитиму Тебе серед народів, Господи, та імені Твоєму співатиму [хвалу].
13123200ce	Звеличує Він перемогою [поставленого] Ним царя і милість виявляє Своєму помазанцю Давиду й нащадкам його повіки.
13130100c9	Керівнику хору. Псалом Давидів. Небеса проголошують славу Божу, і про діяння рук Його сповіщає небесна твердь.
1313020079	День у день виливають вони мову [свою] й щоночі відкривають знання.
1313030057	Хоча без слів їхня мова і не чути звуків від них,
13130400cb	по всій землі розходиться їхній голос, і до краю всесвіту – їхні слова. [У небесах] поставив Він шатро для сонця,
13130500d3	і воно виходить [із нього], немов наречений із весільної світлиці, і радіє, наче бігун, що пробігти має [свою] стежину.
13130600ba	З одного краю небес воно виходить, пробігає коло до іншого краю, і ніщо не сховається від його спекоти.
13130700b7	Закон Господа бездоганний, оновлює душу. Одкровення Господні гідні довіри, мудрими роблять простих.
13130800a9	Настанови Господні справедливі, радують серце. Заповідь Господа промениста, просвітлює очі.
13130900af	Страх Господній чистий, перебуває повіки. Закони правосуддя Господа істинні, усі вони праведні.
13130a00bd	Вони бажаніші від золота, навіть від безлічі золота щирого; і солодші вони від меду, меду стільникового.
13130b007b	Тож Твій слуга бережеться ними; за їх дотримання – велика нагорода.
13130c0084	А помилки [свої] – хто їх помітити може? Від неумисних провин очисти мене
13130d00ea	і від свідомих [гріхів] стримай раба Твого – нехай не панують наді мною. Тоді я буду досконалий і чистий від великого беззаконня.
13130e00b7	Нехай приємні Тобі будуть слова вуст моїх і роздуми серця мого, Господи, Скеле моя й Відкупителю мій!
13140100d1	Керівнику хору. Псалом Давидів. Нехай відповість тобі Господь у день скорботи. Нехай підніме тебе ім’я Бога Якова.
131402007e	Нехай пошле Він тобі допомогу зі Святилища і підтримає тебе із Сіону.
13140300c4	Нехай Він згадає усі твої жертвоприношення [з прихильністю] і твоїми цілопаленнями задоволений буде. (Села)
1314040085	Нехай Він дасть тобі те, чого бажає твоє серце, здійснить усі твої наміри.
13140500de	Ми радісно гукатимемо про твою перемогу, і в ім’я Бога нашого піднімемо знамена. Нехай виконає Господь усі прохання твої.
13140600d6	Тепер я знаю, що рятує Господь помазанця Свого, відповідає йому зі святих небес Своїх переможною силою правиці Своєї.
13140700b0	Дехто [хвалиться] колісницями, дехто – конями, а ми хвалитися будемо іменем Господа, Бога нашого.
131408005c	Вони похилилися й впали, а ми встали й зміцнюємося.
1314090099	Господи, даруй перемогу! Нехай Цар відповість нам того дня, коли ми кличемо до Нього!
13150100bf	Керівнику хору. Псалом Давидів. Господи, цар радіє міці Твоїй і порятунком Твоїм надзвичайно веселиться.
