0100000003	Mui
01011500a2	Amola Gode da menabo bagadedafa hahamoi amola hano ganodini esalebe fi liligi, amola sio fi huluane hahamoi dagoi. Amola Gode da Ea hahamoi huluane hahawane ba:i.
01011600ca	E da amo fi huluane ilima hahawane dogolegema:ne sia:i. Hano ganodini fi liligi ilima ilia mano lale, hano wayabo bagade nabama:ne amola sio fi osobo bagadega gilisima:ne, E da ilima mano lama:ne sia:i.
010117003c	Daeya asili hahabe doaga:i, amo eso bi da baligi dagoi ba:i.
01011800d0	Amalalu, Gode amane hamoma:ne sia:i, “Esalebe liligi amo lai gebo, ohe fi amola liligi huluane da osoboba:le lafia:dalebe, amo ilia fi defele osoboga misa!” E da hamoma:ne sia:beba:le, huluane ba:i dagoi.
01011900a2	Gode da ohe fi ilia fi defele, lai gebo amola liligi osoboba:le lafia:dalebe, amo huluane ilia fi defele hahamoi. Gode da Ea hahamoi liligi huluane hahawane ba:i.
01011a010e	Amalalu, Gode amane hamoma:ne sia:i, “Ninia wali dunu fi amo ninia: agoaila hamomu. Dunu fi ilia da hano wayabo bagade menabo fi, sio fi mu amo ganodini esala, ohe fi amola osobo bagade liligi huluane osoboba:le lafia:dalebe, ilia da amo huluanema ouligisu esalumu.”
01011b006e	Amaiba:le, Gode da dunu amo Ea hou defele hamoma:ne, hamoi dagoi. E da dunu fi amo dunu amola uda hamoi dagoi.
01011c0121	Gode da elama hahawane dogolegema:ne sia:i. E da elama amane hamoma:ne sia:i, “Ali gilisili fima! Mano bagohame lale, osobo bagade nabalesima! Osobo bagade, hano wayabo bagade menabo fi, mu amo ganodini sio fi, amola liligi huluane osoboba:le lafia:dalebe ilima alia ouligisa esaloma!”
01011d008f	Amalalu, Gode amane sia:i, “Osobo bagade amo ganodini, gisi amola ifa amo da fage legesa, liligi huluane amo ali moma:ne Na da alima iaha.”
01011e00ea	Amola E eno amane sia:i, “Na da mola:ya:i gisi liligi huluane amo osobo bagade ohe fi amola sio fi mu amo ganodini amola liligi osoboba:le lafia:dalebe, ilia moma:ne ilima iaha.” E da amo sia:beba:le amo hou da doaga:i dagoi ba:i.
01011f0096	Gode da Ea hahamoi liligi huluane ba:i dagoiba:le, E da huluane noga:idafa ba:i. Amola daeya asili, hahabe doaga:i, amo eso gafe da baligi dagoi ba:i.
0102010064	Amalalu mu amola osobo bagade, amo da liligi gilisisu bagadedafa, amo huluane da hahamoi dagoi ba:i.
0102020080	Eso fesu da doaga:beba:le, Gode da Ea hahamoi huluane dagobe ba:i. Amaiba:le, E da eso fesu amoga hawa: hamosu yolesili, helefi.
01020300c8	Amola Gode da eso fesu amoma hahawane dogolegema:ne sia:i, amola amo eso E da eso eno amoga afafane. E da Ea hawa: hamonanu, eso fesu amoga helefibiba:le, eso fesu afafane, hadigi eso modale ligiagai.
0102040067	Osobo bagade amola mu liligi huluane da agoane hamoi. Be Hina Gode da osobo amola mu degabo hahamonanu,
0102050097	fage da sono hame heda:iba:le, ifa amola gisi, da hame ba:i. Bai amo esoha E da gibu hame iasi galu. Amola osobo dogoma:ne, ouligisu dunu da hame ba:i.
0102060047	Be hano amo da osobo hagudu galu, amo da heda:le, osoboba:le ai ahoasu.
010207006e	Amalalu, Hina Gode da osobo lale, dunu hamoi. Amo dunu ea mi amoga E da mifo i. Amalalu, dunu da esalebe ba:i.
010208007f	Amalalu, gusu soge amo ganodini, amo da Idini soge, Hina Gode da ifabi bugi. Gode da dunu Ea hamoi, amo ifabi ganodini asunasi.
010209011e	Amo ifabi ganodini, Gode da ifa ida:iwane amo da fage ida:iwane legesa, amo osea:idafa ifabi ganodini bugi. Ifabi dogoa amogai da mae bogole Fifi Ahoanusu ifa amola ifa eno da ea fage nasea dunuma noga:i hou amola wadela:i hou amo afafane dawa:digisu olelesu, amo ifa aduna lelebe ba:i.
01020a009c	Idini soge amo ganodini hano afadafa ba:i. Amo hano da bugi liligi amoma hano iasu. Idini soge yolesili, amo hano da adimi hamone, bu hano biyaduyale hamoi.
01020b0049	Hano age amo ea dio da Bisone. Amo hano da Hafila soge amo ganodini ahoa.
01020c0057	(Amo soge ganodini da gouli ida:iwane gala, gabusiga: manoma amola igi ida:iwane gala.)
01020d0047	Hano ageyadu ea dio da Gihone. Amo hano da Guse soge amo ganodini ahoa.
01020e0070	Hano osoda ea dio da Daigalisi. Amo da Asilia soge gusu la:ididili ahoa. Hano biyadu amo ea dio da Iufala:idisi.
01020f0063	Amalalu, Hina Gode da dunu amo Idini Ifabi amo ea osobo dogoma:ne amola sosodo ouligima:ne asunasi.
0102100066	Gode da dunuma amane hamoma:ne sia:i, “Ifa huluane ifabi ganodini bugi amo fage faili manu da defea.
0102110080	Be ifa afadafa fawane amo ifa da hou da noga:i o wadela:i amo dawa:digisu iaha, amo ifa fage nasea, di da amo esohaga bogomu.”
010212007b	Amalalu, Hina Gode da amane sia:i, “Dunu hisu da esalumu da defea hame galebe. Na da na:iyado dunu e fidima:ne hamomu.”
01021300c8	Amola Gode da osobo gasa:le, ganumugini, ohe fi amola sio fi hahamoi. Amalalu, E da amo fi huluane, dunu da ilima dio asulima:ne, oule misi. A:da:me da ilima dio asuliba:le, ilia da amo dio lai dagoi.
0102140096	Amaiba:le, A:da:me da lai gebo amola sio fi amola ohe fi huluane ilima dio asuli. Be A:da:me fidima:ne, na:iyado fidisu dunu defele afae da hame ba:i.
010215009a	Amaiba:le, Hina Gode hamobeba:le, A:da:me da golai nanabunina asi dialoba, Gode da ea didifi afadafa gulalelale, hu amola bu madelagili gilisi dagoi ba:i.
010216003f	Gode da dunu ea didifi gulale, amoga uda hamone, ema oule misi.
01021700b9	Amalalu, dunu da amane sia:i, “Defea! Wali na fi dunu eno da esala. Ea gasa da na gasa amoga lai, amola ea hu da na hu amoga lai. E da dunu amoga lalegaiba:le, ea dio da ‘uda’.”
0102180057	Amaiba:le, dunu da ea ada amola ea ame yolesili, ea udama madelagili hu afadafa hamosa.
0102190041	Dunu amola uda ela da da:i nabado ba:i. Be ela da hame gogosia:i.
01030100fa	Hina Gode Ea hahamoi fi liligi amoga, sania ea hohonosu dawa:digisu da liligi huluane amo ilia dawa:su baligi dagoi ba:i. Sania da udama amane sia:i, “Ifa huluane ifabi ganodini bugi amo ea fage mae moma:ne, amo sema Gode da dafawane ilegebela:?”
010302005d	Uda da bu adole i, “Ani da ifa huluane ifabi ganodini bugi amo ea fage faili manu da defea.
0103030091	Be ifa afadafa fawane ifabi dogoa bugi, amo ea fage Gode da mae moma:ne, amola mae digili ba:ma:ne sia:i. Amane hamosea, ania da bogosu ba:mu!”
010304003c	Sania da bu adole i, “Amo da ogogosa! Alia da hame bogomu!
01030500a1	Alia da amo fage nasea, alia da hou noga:i amola wadela:i amo dawa:beba:le, bu Gode agoane defele ba:mu. Alia da amo hamosa:besa:le, Gode da ali bogomu sia:i!”
01030600f3	Uda da amo ifa fage da ha:i manu noga:iwane ba:beba:le, amola ea ba:su da noga:i, amo dawa:beba:le amola amo nasea dawa:su bagade lamu amo dawa:beba:le, e da amo ifa fage faili mai. Eno e da egoa ema gilisili esalu, ema iabeba:le, e mai dagoi.
0103070094	Na dagole, ela asigi dawa:su si fadegai dagoi ba:i. Ela da da:i nabado amo dawa:beba:le, ela da figi ifa lubi amo nodomene, ela da:i nabado dedeboi.
0103080058	Daeya, ela da Hina Gode ifabi ganodini ahoabe nabi. Ela da ifa adodoboi amoga wamoaligi.
0103090040	Be Hina Gode da A:da:mema amane wele sia:i, “Di da habila:?”
01030a0097	A:da:me da bu adole i, “Di da ifabi ganodini ahoanebe amo na da nabi. Na da beda:iba:le wamoaligi. Na da da:i nabado amo dawa:beba:le beda:i galu.”
01030b007c	Gode da bu adole ba:i, “Di da da:i nabado nowa adobela:? Ifa fage amo na da dima mae moma:ne sia:i, amo di da maibala:?”
01030c0063	Dunu da bu adole i, “Uda amo Dia da nama i, e da amo ifa fage nama iabeba:le, na da mai dagoi.”
01030d0092	Hina Gode da udama amane adole ba:i, “Di da abuliba:le agoane hamobela:?” Uda da bu adole i, “Sania da nama ogogoiba:le, na da mai dagoi.”
01030e00f5	Amalalu, Hina Gode da sania amoma amane sia:i, “Di da Na se iasu lamu galebe. Dima gagabusu aligima:ne da ohe fi huluane amo ilima gagabusu bagadewane baligimu. Wali mae yolesili di da dia hagomoga sugi masunu. Di da osobo fawane naha esalumu.
01030f00c3	Na hamobeba:le, di amola uda da ha laiwane esalumu. Ea Mano amola dia mano da mae yolesili ha laiwane esalumu. Uda ea Mano da dia dialuma goudamu, amola di da ea Mano amo Ea emo gufi gasomanu.”
01031000c7	Amola udama E amane sia:i, “Di da abula agui ba:sea amola mano lalelegesea, dia se nabasu Na da bu bagade hamomu. Be amo mae dawa:le, di da diguama fima:ne hanamu. Be e da dima hinawane esalumu.”
0103110113	Dunuma E amane sia:i, “Dia uda ea sia: nababeba:le, di ifa fage amo Na da mae moma:ne sia:i liligi, amo di da mai dagoi. Di da agoane hamobeba:le, Na da osobo amoga gagabusu aligima:ne ilegemu. Di da se nabawane gasa bagade hawa: hamobeba:le fawane, osoboga ha:i manu lamu.
0103120060	Osoboa aya: gaga:nomei gisi heda:le, di da osoboga udigili heda:i liligi amo fawane manu galebe.
01031300f3	Di da gasa bagadewane finumu asili, hawa: hamobeba:le fawane, dia ha:i manu osoboga lamu. Di da osobo amoga hamoiba:le, bu osoboga doaga:sea fawane amo hou da dagoiwane ba:mu. Bai di da osobo amoga hamoi dagoi, amola di da osoboga buhagimu!”
0103140065	A:da:me da idua da dunu fifi asi gala ilima ame esalumu ba:i. Amaiba:le, e da idua ema Ibi dio asuli.
010315005f	Hina Gode da ohe fi gadofo amoga abula amo A:da:me amola idua ela dedeboma:ne, Gode Hi hahamoi.
0103160111	Amalalu, Hina Gode E amane sia:i, “Dunu da hou noga:i amola hou wadela:i amo afafane dawa:su lai dagoiba:le, e da Nini defele hamoi dagoi. E da Mae Bogole Fifi Ahoanusu ifa amo ea fage nasea eso huluane esalalalumu, amo hamosa:besa:le, ninia ea logo hedofamu da defea.”
01031700b3	Amaiba:le, Hina Gode da dunu Idini Ifabi amoga ela esalu, amo gadili sefasi. Gode da osobo amoga dunu ea da:i hodo hahamoi, amola amo osobo ouligima:ne amola dogoma:ne, e asunasi.
0103180100	Amalalu, Idini Ifabi gusu la:ididili, Gode da ‘selubimi’ dunu asunasi, amola gegesu gobiha:i bagade lalu agoane amo da gusu, gudu amola ga amo fefeloasu, amo E da asunasi. Dunu eno da mae bogole Fifi Ahoanusu ifa amoma doaga:sa:besa:le, E agoane hamoi.
01040100c7	A:da:me amola idua Ibi da gilisili golai (elesu sogelai). Amalalu Ibi da abula agui ba:i amola ea mano Ga:ine lalelegei. Ibi da amane sia:i, “Hina Gode da fidibiba:le, na da dunu mano lalelegei!”
0104020074	Fa:no Ibi da Ga:ine eya amo A:ibele lalelegei. A:ibele da sibi amola goudi ouligisu. Ga:ine da ifabi ouligisu esalu.
010403004b	Asili, Ga:ine da ha:i manu amo ea ifabiga lai, amo Hina Godema gaguli misi.
01040400a7	Be A:ibele da ea sibi ilima degabo lalelegei sefena gala, amo lale, ea liligi noga:idafa Hina Godema gaguli misi. Hina Gode da A:ibele amola ea iasu amo hahawane ba:i.
0104050089	Be E da Ga:ine amola ea gaguli masu liligi hahawane hame ba:i. Amaiba:le, Ga:ine da mi hanai galu. E da hagusa:ili, ea dialuma fili sa:i.
010406006c	Amalalu, Hina Gode da Ga:inema amane sia:i, “Di da abuliba:le ougibala:? Dia odagi da abuliga hagusa:ila:?
010407010c	Di da hou moloidafa hamoi ganiaba, Na da di lalegagula:loba. Be amai hame galea, wadela:i hou da gasonasu ohe fi defele dia logo holeiga dima doagala:musa: esalebe ba:mu. Wadela:i hou da di osa:le heda:musa: dawa:lala. Be di da wadela:i hou osa:le heda:mu da defea.”
0104080084	Ga:ine da eya A:ibelema amane sia:i, “Ani sogega ahoa:di!” Ela da sogega asili, Ga:ine da A:ibele sogoba:le, medole legei dagoi.
010409009f	Amalalu, Hina Gode da Ga:inema adole ba:i, “Dia eya A:ibele da habila:?” Ga:ine da bu adole i, “Na da hame dawa:! Na da naeya amo ea ouligisu dunula:?”
01040a007b	Hina Gode da amane sia:, “Di da adi hamobela:? Dia eya amoea maga:me osoboga sogoadigi, amo dabema:ne Nama wele sia:nana.
01040b00b0	Wali gagabui da dima aligi gala. Di da wali osoboa ifabi hawa: hamomu da hamedei. Bai osobo amoga di da diaeya ea maga:me dia loboga sogadigi, amo fedege agoane mai dagoiba:le.
01040c007f	Di da osobo gidinasea, osobo da dima ha:i manu hame imunu. Di da mae aligili, diasu hamedene, osobo bagadega udigili lalumu.”
01040d0048	Ga:ine da Hina Godema amane sia:i, “Na da amo se iasu lamu da hamedei.
01040e00ba	Wali eso Di da na soge fisili masa:ne sefasilala. Na da Di gadenene esalumu hamedei agoane ba:sa. Na da osobo bagadega mae aligili lalumu. Nowa da na ba:sea, ilia da na medole legemu.”
01040f00f3	Be Hina Gode da ema amane sia:i, “Hame mabu! Nowa da Ga:ine fane legesea, Na da ema fesuale agoane dabemu.” Amalalu, Hina Gode da ilegesu dawa:digisu, amo nowa da Ga:ine ba:sea, medole legemu da sema bagade, amo E da Ga:inema ilegei dagoi.
0104100097	Amalalu, Ga:ine da Hina Gode amo yolesili, e da soge Node (dawa:loma:ne da ‘Udigili Lala’) amo da Idini sogega gusudili gala, amoga esalumusa: asi.
01041100b4	Ga:ine da ea udala gilisili golale (soge lalu), e da abula agui, Inage lalelegei. Ga:ine da amo esoga moilai bai bagade gagulalebe ba:i. Amoga e da ea mano Inage, amo ea dio asuli.
010412009f	Inage da mano lai amo ea dio Aila:de. Aila:de da mano lai amo ea dio Mihiuya:iele. Mihiuya:iele ea mano da Midiusa:iele amola Midiusa:iele ea mano da La:imege.
0104130036	La:imege da uda aduna lai. Afae da A:ida, eno da Sila.
0104140079	A:ida da mano lai amo ea dio amo Ya:iba:le. Ea manolali da abula diasu ganodini esalu amola ilia da lai gebo fi ouligisu.
0104150079	Ya:iba:le eya da Yuba:le. Ea mano da gesami hea:su dusu liligi amo sani baidama, fulabosu dusu amola dusu hou eno hamosu.
010416009d	Sila da mano lalelegei amo ea dio da Diubale-Ga:ine. E da ouli amola balase hahamonanu, hawa: hamosu liligi hahamoi. Diubale-Ga:ine amo ea dalusi da Na:iama.
010417008c	La:imege da ea uda aduna elama amane sia:i, “A:ida amola Sila! Na sia: nabima! Goi afae amo da na faiba:le, na da amo goi fanelegei dagoi.
01041800ac	Gode da amane sia:i, ‘Nowa da Ga:ine fasea, e da Gode Ea se iasu baligili fesuale agoane ba:mu.’ Be na sia: da nowa La:imege fasea, e da se baligili 77 agoane ba:mu.”
01041900db	A:da:me amola idua bu gilisili golai. Amalalu, idua da dunu mano lai. E da amo manoma Sede dio asuli. E amane sia:i, “Ga:ine da A:ibele amo medole legei. Amaiba:le, ea sogebi lama:ne, Gode da mano eno nama i dagoi.”
01041a008e	Sede amola da dunu mano lalelegei amo ea dio Inosie. Amo esoga, osobo bagade dunu fi da muni Godema dawa:le, Ea Dioba:le nodone sia:ne gadosu.
010501006a	A:da:me ea fi amo ilia hou da hagudu dedei. (Gode da dunu fi hamonoba, E da Hi hou defele ili hamoi dagoi.
010502007b	E da dunu fi amo dunu amola uda hahamoi. E da elama hahawane sia:i. Hahamoi dagoiba:le e da elama ‘dunu fi’ dio asuli.)
0105030066	A:da:me da ode 130 esalu, dunu mano A:da:me ea ba:su defele lalelegei. E da amo manoma Sede dio asuli.
010504006e	Sede da lalelegelalu, A:da:me da ode 800 eno esalu. Ema da dunu manolali eno amola uda manolali eno lalelegei.
0105050026	A:da:me da ode 930 esalu, bogoi dagoi.
0105060033	Sede da ode 105 esalu, ea mano Inosie da lalelegei.
010507006a	Inosie da lalelegelalu, Sede da ode 807 eno esalu. Ema dunu manolali eno amola uda manolali eno lalelegei.
0105080026	Sede da gilisili ode 912 esalu, bogoi.
0105090035	Inosie da ode 90 esalu, ea mano Gina:ne da lalelegei.
01050a0068	Gina:ne da lalelegelalu, Inosie da ode 815 eno esalu. E da dunu manolali eno amola uda manolali eno lai.
01050b0028	Inosie da gilisili ode 905 esalu, bogoi.
01050c003b	Gina:ne da ode 70 esalu, ea mano Maha:ilalele da lalelegei.
01050d007c	Maha:ilalele da lalelegelalu, Gina:ne da ode 840 eno esalu. Amo ode amoga e da dunu manolali eno amola uda manolali eno lai.
01050e0029	Gina:ne da gilisili ode 910 esalu, bogoi.
01050f003c	Maha:ilalele da ode 65 esalu, ea mano Ya:ilede da lalelegei.
0105100088	Ya:ilede da lalelegelalu, Maha:ilalele da ode 830 eno esalu. Amo ode ganodini dunu manolali eno amola uda manolali eno ea ema lalelegei.
010511002e	Maha:ilalele da gilisili ode 895 esalu, bogoi.
0105120036	Ya:ilede da ode 162 esalu, ea mano Inage da lalelegei.
0105130079	Inage da lalelegelalu, Ya:ilede da ode 800 eno esalu. Amo ode ganodini e da dunu manolali eno amola uda manolali eno lai.
0105140030	Ya:ilede da gilisili ode 962 esalu, bogoi dagoi.
0105150031	Inage da ode 65esalu, ea mano Midusala lalelegei.
0105160085	Midusala da lalelegelalu, Inage da 300 ode amoga gilisili Gode amola lalu. Ema dunu manolali eno amola uda manolali eno da lalelegei.
0105170020	Inage da gilisili ode 365 esalu.
010518007a	Inage da gilisili Gode amola lalu. Amalalu, e da osobo bagadega alalolesi. Bai Gode da Inage mae bogole, lale gadoi dagoi.
0105190039	Midusala da ode 187 esalu, ea mano La:imege da lalelegei.
01051a007c	La:imege da lalelegelalu, Midusala da ode 782 eno esalu. Amo ode ganodini e da dunu manolali eno amola uda manolali eno lai.
01051b002a	Midusala da gilisili ode 969 esalu, bogoi.
01051c0035	La:imege da ode 182 esalu, ea dunu mano da lalelegei.
01051d00b9	E da amo manoma Nowa: dio asuli. E amane sia:i, “Gode da osobo amoma gagabusu aligima:ne ilegei dagoiba:le, ninia da se nabawane hawa: hamonana. Be amo mano da ninia dogo denesimu.”
01051e006e	Nowa: da lalelegelalu, La:imege da ode 595 esalu. Amo odega e da dunu manolali eno amola uda manolali eno lai.
01051f002a	La:imege da gilisili ode 777 esalu, bogoi.
010520005b	Nowa: da ode 500 esalu. Amalalu, ea dunu manolali Sieme, Ha:me amola Ya:ifede da lalelegei.
010601004c	Osobo bagadega dunu fi idi da bagade heda:i. Uda mano da ilima lalelegeloba,
010602005d	Gode egefelali da dunu fi ilia uda manolali hahawane ba:loba, ilia hanaiga amo uda mano lasu.
01060300a8	Amalalu Hina Gode da amane sia:i, “Na A:silibu da dunu ilima eso huluane hame gegenanumu. Bau osobo bagade dunu ilia bogosu dawa: Ilia da wali ode 120 fawane esalumu.
010604010e	Amo esoga, amola fa:no, dunu bagade amo ilia dio da Nefilime da osobo bagadega esalu. Gode egefelali amola osobo bagade dunu ilia uda manolali da gilisili golaiba:le, amo dunu bagade da lalelegei. Amo dunu da gasa bagade hamobeba:le, dunu huluane da ilia hou nabi dagoi.
01060500b7	Hina Gode da osobo bagade dunu ilia wadela:i hou bagade amo ba:lalu. Ilia asigi dawa:su da wadela:lesi dagoi. Ilia dogo ganodini wadela:i hou fawane dawa:lalu. Amo Gode da ba:i dagoi.
0106060082	Hina Gode da Ea musa: hou amo E da osobo bagadega esaloma:ne dunu fi hamoi, amo E da higale ba:i. Ea dogo ganodini se bagade nabi.
01060700e2	Amaiba:le Gode da amane sia:i. “Na da dunu fi hamoi dagoi be wali Na da huluane medole legemu. Dunu huluane, ohe fi, sania fi amola sio fi huluane Na da hamoiba:le hahawane hame gala. Amaiba:le, Na da huluane fane legemu.”
0106080080	Be Hina Gode da dunu afae amo Nowa:, hahawane ba:i. (Amabela:? Sede egefelali - ilia da lafidili Gode dawa:i udigili sia:bela:?)
0106090093	Nowa: ea sia: dedei da agoane. Nowa: da hou moloidafa dunu, e da wadela:i hame dawa:i. Ea fi amo ganodini, e da ida:iwane Gode amola gilisili lalu.
01060a0040	Nowa: da dunu mano udiana esalu amo Sieme, Ha:me amola Ya:ifede.
01060b0065	Be osobo bagadega dunu fi huluane ilia hou da wadela:lesi dagoi. Gegene nimi dasu bagade fawane ba:i.
01060c0058	Dunu huluane da ilia hou wadela:lesiba:le, Gode da osobo bagade gugunufinisi dagoi ba:i.
01060d00f1	Amaiba:le, Gode da Nowa:ma amane sia:i, “Na da dunu fi huluane ebelema:ne medole legemu. Ilia hamobeba:le, osobo bagade da nimi bagade hou amola gegesu, amoga nabai gala. Amaiba:le, na da dunu fi amola osobo bagade gilisili gugunufinisimu.
01060e0097	Amaiba:le, di dusagai bagade amo ‘saibalase’ ifa amoga hamoma. Amo ganodini sesei hamoma. Ganodini amola gadili ea gadofo amoga edele agoai legema.
01060f0094	Dia dusagai agoane hiougima. Ea afo sedade defei da 133 mida amola ea da:iyamogoa dunumuni defei da 22 mida amola ea da:iyamogoa gado defei 13 mida.
01061000b5	Gadodili figisu hamoma! Dusagai ea dobea fesa heda:le, figisu mae doaga:le dibi 44 sedamida agoane yolesima. Dusagai la:idi logo ga:su hamoma amola hada:i fa:i udiana agoane hamoma.
01061100a7	Na da esalebe liligi mu hagudu esala amo huluane mifo labe liligi wadela:ma:ne, hano bagade osobo bagadega iasimu. Osobo bagadega esalebe liligi huluane da bogogia:mu.
0106120087	Be Na da dima gousa:su hamomu. Amalalu, di, dia manolali, dia uda, amola dia mano ilia uda da dusagai bagade ganodini golili sa:ima:mu.
0106130066	Di esalebe liligi hisu hisu amo aduna - gawali amola aseme, amo esaloma:ne dusagai ganodini oule masa.
010614009c	Sio fi hisu hisu aduna aduna, ohe fi huluane aduna aduna, amola fi huluane da osoboga sugi ahoabe, amo huluane da aduna aduna di ouligima:ne, dima doaga:mu.
010615005b	Ha:i manu liligi huluane amola, di amola osobo bagade ohe fi huluane moma:ne, amo gilisima.
010616003d	Nowa: da Gode Ea hamoma:ne sia:i defele, huluane hamoi dagoi.
01070100b6	Amalalu, Hina Gode da Nowa:ma amane sia:i, “Di amola dia sosogo fi huluane, amo dusagai bagade amoga golili sa:ima. Bai waha esalebe fi amo ganodini, Na da di fawane hahawane ba:i.
01070200b6	Ohe fi hisu hisu liligi ledo hamedei amo gawali amola aseme amo fesuale agoane dusagai ganodini oule masa. Amola liligi ledo gala amo gawali amola aseme aduna aduna fawane oule masa.
0107030077	Amola sio fi hisu hisu mae bogole osobo bagadega esaloma:ne, amo fesuale gawali amola aseme dusagai ganodini oule masa.
01070400bb	Eso fesuale aligili, Na da gibu bagade osobo bagadega iasimu. Gibu da eso 40 amola gasi 40 sa:imu. Amoga na da esalebe liligi huluane Na hamoi, amo huluane osobo bagadega mugululi fasimu.
0107050036	Nowa: da Gode Ea hamoma:ne sia:i liligi huluane hamoi.
0107060047	Hano bagade da osobo bagadega doaga:loba, Nowa: da ode 600 agoane ba:i.
010707006f	Amola Nowa:, ea manolali, ea uda amola ea mano ilia uda da hano bagade fisimusa:, dusagai ganodini fila heda:i.
010708005a	Ledo hamedei ohe fi amola ledo gala liligi aduna aduna, sio fi, osoboa sugi ahoasu liligi,
010709008a	gawali amola aseme amo huluane Nowa:ma misini, dusagai ganodini fila heda:i. Gode da Nowa:ma hamoma:ne sia:i, amo defele hamoi dagoi ba:i.
01070a0044	Amola eso fesuale aligili galu, hano bagade da moi bagadega doaga:i.
01070b00c0	Nowa: da ode 600 esalu. Amo ode ganodini, oubi ageyadu amola eso 17 - amo esoga, hano osobo hagudu dialu amo da fudagala:i amola mu amo ganodini gibu ea logo ga:su da fudagala:le, doasi dagoi.
01070c0037	Eso 40 amola gasi 40 amoga gibu da osobo bagadega sa:i.
01070d007e	Amo esoga, Nowa: amola egefe udiana Sieme, Ha:me amola Ya:ifede, ea uda amola egefe ilia uda huluane da dusagaiga fila heda:i.
01070e00af	Ilia da ohe fi hisu hisu, lai gebo amola sigua amola sania fi ilia osoboga sugi ahoa, amola sio fi huluane ilia da ougiga hagili ahoabe, amo huluane ilia da ganodini oule asi.
01070f006e	Gawali, aseme amola esalebe liligi huluane da mifo laha, amo huluane da Nowa:ma misini, dusagaiga fila heda:i.
01071000bf	Ohe fi da ganodini ahoa amo huluane da gawali, aseme amola esalebe liligi huluanedafa, Gode da Nowa:ma sia:i amo defele. Amalalu, Nowa: da ganodini asi amola Gode da dusagai logo ga:si dagoi.
010711007e	Gibu bagade da osobo bagadega sa:ili, eso 40 amanega dalu. Hano da leda:le, dusagai gaguia gadole bila sedagawane gado heda:i.
0107120053	Hano da bagade hamoi amola bagade heda:i. Dusagai da hano da:iya mae magufale lalu.
010713004e	Hano da bagade heda:le, goumi huluane mu haguduga dialu da dedeboi dagoi ba:i.
0107140045	Hano bagade heda:le, goumi huluane dedebole, bu 7 mida agoane heda:i.
010715007a	Osobo bagadega esalebe liligi huluane, amo lai gebo, sogega esalu ohe fi, sio fi amola dunu fi huluane da bogogia:i dagoi.
