2800000007	Matúš
2802030069	Keď sa to dozvedel kráľ Herodes, veľmi sa znepokojil a spolu s ním aj všetci obyvatelia Jeruzalema.
280204006f	Herodes zvolal všetkých veľkňazov a učiteľov Zákona a vyzvedal sa od nich, kde sa má Mesiáš narodiť.
280205003e	Odpovedali mu: „V Betleheme, v Judsku, lebo prorok napísal:
28020600a0	‚Betlehem, nie si najbezvýznamnejší medzi judskými mestami, lebo z teba vyjde vodca, ktorý sa bude starať o môj ľud, Izrael, ako pastier o ovce.‘“
2802070070	Herodes si tajne pozval mudrcov z východu a podrobne sa ich vypytoval, kedy sa im hviezda po prvý raz zjavila.
28020800bd	Poslal ich do Betlehema s takouto úlohou: „Choďte a dôkladne zistite všetko o tom dieťati, a keď ho nájdete, príďte mi to oznámiť, aby som sa mu mohol ísť pokloniť aj ja.“
2802090087	Mudrci si kráľa vypočuli a vydali sa na cestu. A hviezda sa im znova zjavila a viedla ich, až zastala nad miestom, kde bolo dieťa.
28020a002c	Keď uvideli hviezdu, náramne sa potešili.
28020b00be	Vošli do domu a našli tam dieťa s jeho matkou Máriou. Padli pred ním na kolená a klaňali sa mu ako kráľovi. Potom mu obetovali prinesené dary – zlato, kadidlo a drahocenný olej.
28020c006b	Vo sne ich však Boh varoval, aby sa nevracali k Herodesovi. Do svojej krajiny sa teda pobrali inou cestou.
28020d00de	Po ich odchode sa Jozefovi vo sne zjavil anjel Pánov a prikázal mu: „Vstaň, vezmi dieťa i jeho matku, uteč s nimi do Egypta a zostaň tam, kým ti nepoviem. Herodes bude totiž pátrať po dieťati, aby ho zabil.“
28020e0049	Jozef hneď v noci vzal dieťa i jeho matku a vybral sa s nimi do Egypta.
28020f0081	Tam boli až do smrti kráľa Herodesa. Tak sa splnilo, čo povedal Pán ústami proroka: „Z Egypta som povolal svojho syna.“
28021000e0	Keď Herodes zistil, že ho mudrci podviedli, vzbĺkol hnevom. Do Betlehema i jeho okolia poslal vojakov a dal povraždiť všetkých chlapcov do dvoch rokov – tento vek vyrátal podľa údajov, čo sa dozvedel od mudrcov.
2802110039	Vtedy sa akoby znova naplnili slová proroka Jeremiáša:
280212007e	„V meste Ráma počuť nárek, plač a kvílenie. To Ráchel oplakáva svoje deti a nemožno ju potešiť, lebo ich niet.“
280213004b	Keď Herodes zomrel, Jozefovi sa v Egypte znova ukázal vo sne Pánov anjel
2802140080	a povedal mu: „Vezmi dieťa i jeho matku a vráť sa do izraelskej krajiny, lebo už zomreli tí, čo chceli dieťa zabiť.“
2802150055	Jozef poslúchol a vrátil sa spolu s dieťatkom a jeho matkou do izraelskej krajiny.
28021600a2	Veľmi sa však zľakol, keď sa dozvedel, že Herodesovým nástupcom v Judsku je jeho syn Archelaus. Vo sne dostal ďalší pokyn od Boha, aby šiel do Galiley.
280217007e	Usadil sa v Nazarete, čím sa naplnili slová prorokov o Mesiášovi, že ho ľudia budú poznať ako: „Toho z Nazareta.“
2803010066	V tom čase vystúpil Ján Krstiteľ a kázal ľuďom, ktorí prichádzali za ním na judskú púšť:
2803020057	„Prestaňte hrešiť a obráťte sa k Bohu, lebo prichádza nebeské kráľovstvo.“
2803030089	To je ten, o ktorom hovoril prorok Izaiáš: „Na púšti volá hlas: Pripravte cestu Pánovi a odstráňte z nej všetky prekážky.“
2803040089	Ján nosil odev z ťavej srsti, prepásaný koženým opaskom. Živil sa tým, čo poskytovala púšť: kobylkami a medom divých včiel.
2803050055	Schádzali sa k nemu ľudia z Jeruzalema, z celého Judska i z krajov okolo Jordánu.
280306004c	Dávali sa krstiť v rieke Jordán, a tým verejne vyznávali svoje hriechy.
28030700bc	Keď však Ján videl, že sa prichádzajú krstiť aj mnohí farizeji a saduceji – povedal im: „Vy hadie plemeno! Prečo si myslíte, že takto môžete uniknúť pred Božím hnevom?
2803080049	Dokážte svojím životom, že ste sa odvrátili od vlastných hriechov.
28030900cb	Nemyslite si, že sa vám nemôže nič stať len preto, že si vravíte ‚Sme potomkovia Abraháma.‘ Neklamte samých seba! Veď Boh môže aj tieto kamene oživiť a urobiť z nich Abrahámove deti.
28030a0090	Sekera Božieho súdu je už priložená ku koreňom stromov. Každý strom, ktorý neprináša dobré ovocie, bude vyťatý a hodený do ohňa.
28030b00d9	Ja krstím vodou tých, ktorí ľutujú svoje previnenia a vyznávajú ich. Ale po mne príde niekto omnoho väčší ako ja, ktorému nie som hodný ani len obuv vyzuť. On vás bude krstiť Svätým Duchom a ohňom.
28030c006f	On prečistí zrno, zbaví ho pliev, pšenicu zhromaždí do sýpky, ale plevy spáli v neuhasiteľnom ohni.“
28030d0054	Vtedy prišiel Ježiš z Galiley k Jordánu za Jánom, aby sa dal od neho pokrstiť.
28030e007c	Ján sa mu v tom však snažil zabrániť: „Ty by si mal pokrstiť mňa! Prečo prichádzaš, aby som pokrstil ja teba?“
28030f0072	No Ježiš mu odpovedal: „Len to urob, lebo musíme vykonať všetko, čo Boh žiada.“ A tak ho Ján pokrstil.
2803100081	Hneď, ako po krste Ježiš vystúpil z vody, otvorilo sa nebo a uvidel Božieho Ducha, ktorý akoby holubica zostupoval na neho.
2803110068	Zároveň zaznel z neba hlas: „Toto je môj Syn. Milujem ho a to, čo robí, ma napĺňa radosťou!“
280401004a	Potom Duch Boží viedol Ježiša na púšť, aby ho tam diabol pokúšal.
2804020048	Po tom, ako sa Ježiš postil štyridsať dní a nocí, veľmi vyhladol.
2804030087	Tu sa k nemu priblížil pokušiteľ a povedal mu: „Ak si naozaj Boží Syn, prikáž týmto kameňom, aby sa premenili na chleby!“
2804040092	Ale Ježiš mu odpovedal: „Je napísané: Na to, aby človek žil, nepotrebuje len jedlo, ale aj slová, ktoré vychádzajú z Božích úst.“
2804050037	Potom ho diabol zaviedol do Jeruzalema na vežu chrámu
28040600b3	a povedal: „Ak si Boží Syn, zoskoč dolu! Veď je napísané: Boh prikáže svojim anjelom, aby ťa ochránili, a ponesú ťa na rukách, aby si si neporanil nohy o kameň.“
2804070068	Ježiš mu zasa odpovedal: „Ale je napísané aj toto: Nebudeš pokúšať Boha, je tvojím Pánom!“
2804080076	Napokon ho diabol vyviedol na veľmi vysoký vrch a ukázal mu všetky kráľovstvá sveta s ich bohatstvom a slávou.
2804090060	Tam mu povedal: „Toto všetko ti dám, ak predo mnou padneš na kolená a vzdáš mi úctu!“
28040a0093	Ježiš mu odpovedal: „Strať sa mi z očí, pokušiteľ! Lebo je napísané: Pána, svojho Boha budeš uctievať a iba jemu budeš slúžiť!“
28040b004f	V tej chvíli ho diabol opustil. Ježiša obklopili anjeli a starali sa o neho.
28040c0049	Keď sa Ježiš dopočul, že Ján je vo väzení, vrátil sa do Galiley.
28040d00af	Nezostal však v Nazarete, ale usadil sa v Kafarnaume. To mesto ležalo na brehu Genezaretského jazera, v oblasti, ktorú kedysi obývali izraelské kmene Zabulon a Neftalí.
28040e002e	Takto sa splnila predpoveď proroka Izaiáša:
28040f0059	„V krajine Zabulonovej a Neftalího, na ceste k moru, za Jordánom, Galilea pohanov –
280410006e	ľud ponorený do temnoty uzrie veľké svetlo. Svetlo zažiari tým, ktorí žijú v krajine tieňa smrti.“
280411007e	Odvtedy začal Ježiš kázať: „Zmeňte svoje zmýšľanie a obráťte sa k Bohu, lebo nebeské kráľovstvo je blízko.“
28041200af	Jedného dňa šiel Ježiš po brehu Galilejského mora a zazrel dvoch mužov, ako do vody hádžu siete. Boli to rybári Šimon, neskôr nazývaný Peter, a jeho brat Andrej.
2804130066	Ježiš na nich zavolal: „Poďte za mnou a ja vám ukážem, ako získavať ľudí pre večnosť!“
280414002a	Obaja hneď opustili siete a šli za ním.
280415007c	O kúsok ďalej iní dvaja bratia, Jakub a Ján, spolu so svojím otcom Zebedejom opravovali v loďke siete. Aj ich zavolal.
2804160046	A obaja razom zanechali svoju loďku i otca a pobrali sa za Ježišom.
28041700a8	Ježiš chodil po celej Galilei, učil v synagógach, hlásal všade radostnú zvesť o Božom kráľovstve a zbavoval trpiacich všetkých možných chorôb a neduhov.
28041800a4	Správy o ňom sa rýchlo rozniesli až po provinciu Sýria. Vodili k nemu chorých, ľudí posadnutých démonmi, pomätencov, ochrnutých – a on ich uzdravoval.
2804190077	Všade za ním putovalo množstvo ľudí nielen z Galiley, ale aj z Desaťmestia, Jeruzalema, Judska i zo Zajordánska.
2805010073	Jedného dňa, keď Ježiš videl dav ľudí, vystúpil na vrch a keď si sadol, pristúpili k nemu jeho učeníci.
280502001a	Ježiš ich začal učiť:
2805030067	„Šťastní sú tí, ktorí si uvedomujú svoju potrebu Boha, lebo tým patrí kráľovstvo nebeské.
280504003a	Šťastní sú tí, ktorí plačú, lebo Boh ich poteší.
2805050038	Šťastní sú tichí, lebo oni sa stanú dedičmi zeme.
2805060078	Šťastní sú tí, ktorí túžia po spravodlivosti ako smädní po vode a hladní po jedle, lebo oni budú nasýtení.
280507003d	Šťastní sú milosrdní, lebo aj Boh bude k nim milosrdný.
2805080045	Šťastní sú tí, ktorí majú čisté srdce, lebo oni uvidia Boha.
280509004e	Šťastní sú tí, ktorí šíria pokoj, lebo tých Boh nazve svojimi deťmi.
28050a006e	Šťastní sú tí, ktorých prenasledujú preto, že poslúchajú Boha, lebo im patrí nebeské kráľovstvo.
28050b005a	Šťastní ste, ak vás hania, prenasledujú a očierňujú preto, že sa hlásite ku mne.
28050c0092	Áno, máte dôvod radovať sa a jasať, lebo v nebi máte veľkú odmenu. Napokon, rovnako prenasledovali aj prorokov, ktorí žili pred vami.“
28050d00a4	„Vy ste soľ zeme. No ak soľ stratí svoju chuť, čo jej ju vráti? Taká soľ sa už nedá použiť na nič, možno ju iba vyhodiť, aby ju ľudia pošliapali.
28050e004d	Vy ste svetlo sveta. Ste ako mesto postavené na kopci, nemôže sa schovať.
28050f0076	Ani lampu nerozsvietite na to, aby ste ju schovali, ale dáte ju na viditeľné miesto, aby svietila každému v dome.
2805100081	Nech tak svieti vaše svetlo všetkým ľuďom, aby videli dobro, ktoré konáte, a oslavovali za to vášho Otca v nebesiach.“
280511006b	„Nemyslite si, že som prišiel zrušiť Zákon alebo Prorokov. Neprišiel som to zrušiť, ale naplniť.
2805120092	S úplnou vážnosťou vám hovorím, kým trvá nebo a zem, ani písmenko, ani čiarka zo Zákona nestratí platnosť, kým sa všetko nenaplní.
280513011d	Keby teda niekto zrušil čo i len jedno z týchto prikázaní, hoci to najmenšie, a učil by tomu aj iných, bude sa nazývať v nebeskom kráľovstve najmenším. Kto však rešpektuje Božie prikázania a učí tak aj iných, toho Boh označí za veľkého v nebeskom kráľovstve.
2805140095	Hovorím: Ak vaša spravodlivosť nebude väčšia ako spravodlivosť učiteľov Zákona a farizejov, určite nevstúpite do nebeského kráľovstva.
2805150065	Viete, že vašim predkom bolo povedané: ‚Nezabiješ!‘ Preto, kto zabije, musí ísť pred súd.
28051600b5	Ale ja vám hovorím: Súdený bude každý, kto sa hnevá na iného človeka; a kto iného ponižuje, odsúdi ho najvyšší súd, no kto mu zlorečí, zaslúži si pekelný oheň.
2805170072	Ak prinášaš na oltár svoj dar, aby si ho obetoval Bohu, no uvedomíš si, že tvoj brat má niečo proti tebe,
280518005a	nechaj tam svoj dar, choď za svojím bratom a zmier sa s ním. Až potom obetuj svoj dar.
28051900b9	Ak máš so svojím protivníkom spor a chce ťa obžalovať, usiluj sa s ním zmieriť už cestou. Inak ťa zavlečie k sudcovi, sudca ťa vydá dozorcovi a ten ťa uvrhne do väzenia.
28051a004e	A nevyjdeš odtiaľ skôr, kým nesplatíš svoj trest do posledného haliera.
28051b0046	Viete, že vašim predkom bolo povedané: ‚Nebudeš cudzoložiť.‘
28051c0069	Ale ja vám hovorím: každý, kto žiadostivo pozerá na ženu, už s ňou scudzoložil vo svojom srdci.
28051d00a2	Ak ťa teda zvádza pravé oko, vylúpni si ho a zahoď; lebo je pre teba lepšie, ak prídeš o jednu časť tela, ako by malo celé tvoje telo prísť do pekla.
28051e0099	Ak ťa navádza na hriech pravá ruka, odsekni si ju a odhoď od seba. Lepšie je, ak prídeš o jednu časť tela, ako sa dostať do večnej záhuby.“
28051f0068	„Bolo tiež povedané: ‚Kto by sa chcel rozviesť so svojou ženou, nech jej dá rozvodový list.‘
28052000af	Ale ja vám hovorím: každý, kto sa rozvedie so ženou – okrem prípadu smilstva – vystaví ju cudzoložstvu, a kto sa ožení s rozvedenou, dopúšťa sa cudzoložstva.
280521008b	Ďalej ste počuli, že bolo vašim predkom povedané: ‚Nebudeš krivo prisahať, ale splníš, čo si Pánovi pod prísahou sľúbil.‘
2805220050	Ale ja vám hovorím: neprisahajte vôbec; ani na nebo, lebo je Božím trónom,
2805230057	ani na zem, lebo je jeho podnožou, ani na Jeruzalem, lebo je mestom veľkého Kráľa.
2805240079	Neprisahajte ani na svoju hlavu, lebo nie je vo vašej moci, aby vám čo i len jeden vlas narástol biely alebo čierny.
280525008c	Vaša reč nech je jednoznačná – áno nech znamená áno, nie nech znamená nie. Ak k tomu niečo pridávate, pochádza to od zlého.“
2805260041	„Počuli ste, že bolo povedané: ‚Oko za oko, zub za zub.‘
2805270070	Ale ja vám hovorím: neodplácajte zlo zlým. Naopak, ak ťa niekto udrie po pravom líci, nastav mu aj ľavé.
280528004f	A ak by sa chcel niekto s tebou súdiť a vziať ti košeľu, daj mu aj kabát.
2805290067	A ak ťa niekto poprosí, aby si mu odniesol bremeno na kúsku cesty, zanes mu ho dva razy tak ďaleko.
28052a0056	Tomu, kto ťa o niečo prosí, daj, a kto si chce od teba požičať, tomu neodmietni.
28052b005e	Počuli ste, že bolo povedané: ‚Miluj svojho blížneho a nenáviď svojho nepriateľa.‘
28052c0063	Ale ja vám hovorím: milujte svojich nepriateľov! Modlite sa za tých, ktorí vás prenasledujú.
28052d00a5	Takto budete konať ako deti nebeského Otca. On spôsobuje, aby slnko svietilo na dobrých aj na zlých, a zosiela dážď na spravodlivých aj na nespravodlivých.
28052e0081	Aké uznanie by ste chceli za to, že prejavujete lásku iba tým, ktorí vás milujú? Nerobia vari to isté aj vyberači daní?
28052f0070	Ak sa správate priateľsky iba k svojim blízkym, ste vari v niečom výnimoční? Nerobia tak azda aj pohania?
280530004b	Buďte teda dokonalí v láske, ako je dokonalý aj váš nebeský Otec.“
280601009d	„Dávajte si pozor, aby ste skutky svojej spravodlivosti nevystavovali na obdiv pred ľuďmi, lebo tým sa pripravíte o odmenu od svojho Otca v nebesiach.
28060200e7	Preto keď dávaš núdznemu, nevytrubuj o tom všetkým na známosť. Okato – v synagógach a na námestiach – konajú dobro pokrytci, lebo túžia, aby ich ľudia chválili. Naozaj, vravím vám: oni už svoju odmenu dostali.
280603005e	Ak ty niekomu pomáhaš, rob to nenápadne – nech tvoja ľavá ruka nevie, čo robí pravá.
280604003d	A tvoj Otec, ktorý vidí aj skryté veci, ti to odplatí.“
28060500b1	„Keď sa modlíte, nebuďte ako pokrytci, ktorí sa radi modlievajú v synagógach a na námestiach, aby ich ľudia videli. Naozaj, vravím vám: oni už svoju odmenu dostali.
28060600ba	Ale keď sa chceš modliť, choď do svojej izbičky, zavri za sebou dvere a modli sa k svojmu Otcovi, ktorého nevidieť. A tvoj Otec, ktorý vidí aj to, čo je skryté, ťa vypočuje.
280607009b	Neopakujte bezmyšlienkovito modlitbu ako ľudia, ktorí Boha nepoznajú. Myslia si, že ich Boh vypočuje, keď budú svoju prosbu donekonečna omieľať.
2806080058	Nenapodobňujte ich, veď váš Otec pozná vaše potreby skôr, než ich vyslovíte.“
2806090075	„Vy sa modlite takýmto spôsobom: Otče náš, ktorý si na nebesiach, nech je vzdaná úcta a česť tvojmu menu.
28060a0054	Nech príde tvoje kráľovstvo. Nech sa tvoja vôľa deje ako v nebi, tak i na zemi.
28060b0023	Dávaj nám chlieb na každý deň.
28060c0059	A odpusť nám naše viny, ako i my odpúšťame každému, kto sa previňuje voči nám.
28060d008c	A nedovoľ, aby sme podľahli pokušeniu, ale pomáhaj nám vyhýbať sa zlému. (Lebo tvoje je kráľovstvo, i moc, i sláva naveky. Amen.)
28060e0049	Ak odpustíte iným ich previnenia, aj vám odpustí váš nebeský Otec.
28060f004f	Ale ak im neodpustíte, potom ani nebeský Otec neodpustí vaše previnenia.“
28061000e4	„A keď sa postíte, netvárte sa utrápene. A nech to nie je poznať ani na vašom zovňajšku, ako to robia pokrytci, ktorí takto upozorňujú svoje okolie, že sa postia. Naozaj vám hovorím: oni už svoju odmenu dostali.
280611003b	Ale keď sa ty postíš, pekne sa uprav a buď prirodzený,
2806120098	pretože nie ľudia majú vidieť, že sa postíš, ale tvoj Otec, ktorého nikto nevidí. A tvoj Otec, ktorý vidí aj skryté veci, ti to odplatí.“
280613006a	„Nehromaďte si bohatstvo na zemi, kde rýchlo stráca svoju hodnotu alebo ho môžu ukradnúť zlodeji.
280614006d	Ukladajte si radšej poklady v nebi, kde ich nezničia ani mole, ani hrdza, ani ich neukradne nijaký zlodej.
2806150032	Lebo kde je váš poklad, tam bude aj vaše srdce.
2806160065	Oči sú ako lampa, ktorá dáva svetlo. Ak je tvoje oko čisté, tvoj život bude naplnený svetlom.
28061700b2	Ale ak je tvoje oko zakalené nečistými myšlienkami a túžbami, si ponorený do temnoty. Ak to, čo by malo byť pre teba svetlom, je tmou, aká potom bude skutočná tma?“
28061800d2	„Nikto nemôže slúžiť dvom pánom. Jedného totiž bude nenávidieť a druhého mať rád, alebo jednému bude dávať prednosť a druhého bude zanedbávať. Nedá sa slúžiť zároveň Bohu aj majetku.
28061900ae	Preto vám radím: netrápte sa o to, čo budete jesť a piť, aby ste žili, ani o to, do čoho zaodejete svoje telo. Či nie je život viac ako jedlo a telo viac ako šaty?
28061a0097	Pozrite sa na vtáky: nesejú ani nežnú, nezhromažďujú obilie do sýpok, a predsa ich nebeský Otec živí. Či nie ste omnoho cennejší ako ony?
28061b0061	Je medzi vami niekto, kto by si vlastnou snahou vedel čo i len o kúsok predĺžiť svoj život?
28061c0063	A prečo sa tak veľmi trápite s oblečením? Uvažujte o poľných kvetoch: nepracujú, nepradú,
28061d0064	a predsa ani Šalamún vo svojom kráľovskom majestáte nebol oblečený tak ako hociktorý z nich.
28061e00ae	Ak teda Boh zaodieva do takej nádhery obyčajné poľné kvietky, ktoré dnes hýria farbami a zajtra zhoria v ohni, nepostará sa skôr o vás? To mu tak málo dôverujete?
28061f0056	Preto sa netrápte a nespytujte: Čo budeme jesť? Čo budeme piť? Čo si oblečieme?
280620009f	Ľudia, ktorí nepoznajú Boha, sami seba znepokojujú takýmito otázkami a trápia sa pre ne. Ale vy máte nebeského Otca, a ten dobre vie, čo potrebujete.
280621005d	Hľadajte najprv Božie kráľovstvo a jeho spravodlivosť a všetko toto vám bude pridané.
280622009c	Netrápte sa teda o každú maličkosť, ktorú prinesie zajtrajšok, lebo každý deň má dosť svojich starostí a Boh vám s nimi pomôže aj zajtra.“
280701002d	„Nesúďte iných, aby ste neboli súdení.
280702006f	Lebo spôsobom, akým súdite druhých, budete súdení aj vy. Akou mierou meriate, takou bude Boh merať vás.
2807030060	Prečo sa staráš o smietku v oku svojho blížneho, ale brvno vo vlastnom oku si si nevšimol?
2807040076	Ako môžeš povedať inému: Dovoľ, aby som ti vybral z oka smietku!, a pritom ti neprekáža brvno vo vlastnom oku?
280705008d	Ty pokrytec! Najprv odstráň brvno zo svojho oka, lebo až potom budeš dobre vidieť, aby si mohol vybrať smietku z oka svojho blížneho.
2807060093	Je zbytočné vysvetľovať Božie pravdy tým, ktorí nimi pohŕdajú. Nehádžte perly sviniam! Čo sa stane? Perly pošliapu a vás napadnú.“
2807070046	„Proste a dostanete, hľadajte a nájdete, klopte a otvorí sa vám.
2807080048	Lebo kto prosí, dostane, kto hľadá, nájde a kto klope, tomu otvoria.
2807090061	Keby ktoréhokoľvek z vás poprosilo vlastné dieťa o kus chleba, dali by ste mu snáď kameň?
28070a0028	Alebo by ste mu namiesto ryby dali hada?
28070b0086	Ak teda vy, hoci ste hriešni, viete dávať svojim deťom dobré veci, o čo skôr ich dá nebeský Otec tým, ktorí ho o to prosia!
28070c0070	Správajte sa k ľuďom tak, ako chcete, aby sa oni správali k vám. To je to, čo hovorí Zákon i Proroci.“
28070d0099	„Do neba sa dá vojsť iba úzkou bránou. Priestranná brána a široká cesta vedú do záhuby, a predsa si ju vyberá a kráča po nej mnoho ľudí.
28070e004e	Dvere a cesta do života sú úzke a len málo je tých, ktorí ich nájdu.“
28070f0088	„Dajte si pozor na falošných prorokov: prichádzajú k vám preoblečení za bezbranné ovce, ale v skutočnosti sú to draví vlci.
2807100066	Môžete ich spoznať podľa ovocia, ktoré nesú. Azda sa oberá hrozno z tŕnia a figy z bodľačia?
280711003a	Dobrý strom rodí dobré ovocie a zlý strom zlé ovocie.
2807120046	Dobrý strom predsa nemôže rodiť zlé ovocie ani zlý strom dobré.
280713003e	Každý strom, ktorý nenesie dobré ovocie, vytnú a spália.
2807140027	Teda podľa ich činov ich poznáte.“
28071500bb	„Na to, aby sa človek dostal do nebeského kráľovstva, nestačí, že sa ku mne hlási a oslovuje ma Pane! Pane! Rozhodujúce je, či koná vôľu môjho Otca, ktorý je v nebesiach.
28071600ab	V deň posledného súdu mnohí povedia: Pane, Pane, či sme nehovorili v tvojom mene? Nevyháňali sme démonov v tvojom mene? Nerobili sme v tvojom mene mnohé zázraky?
2807170064	Ale ja im odpoviem: Nikdy som vás nepoznal. Choďte odo mňa preč, lebo ste páchali zlé veci!“
280718008a	„Každého, kto počúva moje slová a koná podľa nich, môžeme prirovnať k prezieravému človeku, ktorý si postavil dom na skale.
2807190093	Keď sa spustil lejak, privalila sa povodeň a prudká víchrica sa oprela do jeho múrov, dom sa nezrútil, lebo mal základy postavené na skale.
28071a008a	Ale toho, kto počúva moje slová, no nekoná podľa nich, môžeme prirovnať k nerozumnému človeku, ktorý si postavil dom na piesku.
28071b0081	Spustil sa lejak, privalila sa povodeň, prudká víchrica sa oprela do múrov jeho domu – a dom s veľkým rachotom spadol.“
28071c0038	Keď Ježiš dohovoril, ľudia nad jeho učením žasli.
28071d0061	Ježiš totiž, na rozdiel od ich náboženských učiteľov, učil ako niekto, kto má autoritu.
2808010042	Keď Ježiš zostúpil z vrchu, išiel za ním veľký dav ľudí.
280802007c	Vtedy sa k nemu priblížil malomocný, kľakol si pred neho a povedal: „Pane, keby si chcel, mohol by si ma uzdraviť!“
2808030076	Ježiš vystrel ruku, dotkol sa ho a povedal: „Áno, chcem. Buď zdravý.“ A po malomocenstve nezostalo ani stopy.
2808040092	Ježiš mu povedal: „Nikomu nič nehovor, ale choď, ukáž sa kňazovi a obetuj dar, ako to nariadil Mojžiš – na dôkaz, že si zdravý.“
2808050054	Keď Ježiš prišiel do Kafarnauma, pristúpil k nemu rímsky stotník a prosil ho:
2808060043	„Pane, môj sluha leží doma ochrnutý a má veľké bolesti.“
2808070033	Ježiš mu odpovedal: „Prídem a uzdravím ho.“
2808080077	Ale stotník namietal: „Pane, nie som hodný, aby si vošiel pod moju strechu. No stačí tvoje slovo a bude zdravý.
28080900c4	Veď viem, ako to je: Ja sám som podriadený, ale mám aj pod sebou vojakov. Ak niektorému poviem: Choď!, tak ide, a inému: Poď!, tak príde, a ak poviem sluhovi: Urob to!, tak to vykoná.“
28080a00a3	Keď to Ježiš počul, začudoval sa a obrátil sa na tých, ktorí ho sprevádzali: „Vravím vám, že s takou veľkou vierou som sa nestretol v celom Izraeli.
28080b0096	A bude to veru tak, že prídu mnohí ľudia z východu i západu a zaujmú miesto pri stole v nebeskom kráľovstve s Abrahámom, Izákom a Jákobom,
28080c0078	kým Izraeliti, pre ktorých bolo kráľovstvo pripravené, budú hnaní do tmy, kde bude plač a škrípanie zubami.“
28080d0089	Potom Ježiš povedal stotníkovi: „Vráť sa domov! Nech sa ti stane tak, ako si tomu uveril!“ A sluha bol v tej chvíli uzdravený.
28080e005e	Potom Ježiš vošiel do Petrovho domu a našiel tam jeho svokru ležať vo vysokej horúčke.
28080f005a	Dotkol sa jej ruky a horúčka hneď zmizla. Žena vstala a začala mu pripravovať jedlo.
280810007a	Večer priviedli k nemu mnohých posadnutých. Jediným slovom vyhnal z nich zlých duchov a všetkých chorých uzdravil.
280811006f	Takto sa splnilo, čo predpovedal prorok Izaiáš: „On vzal na seba naše slabosti a niesol naše choroby.“
2808120071	Keď Ježiš videl dav ľudí okolo seba, rozkázal učeníkom, aby sa preplavili v loďke na druhý breh jazera.
2808130065	Vtom ho zadržal jeden z učiteľov Zákona a povedal mu: „Majstre, pôjdem za tebou kamkoľvek.“
280814008c	Ježiš mu na to odpovedal: „Líšky majú svoje nory a vtáci hniezda, ale Syn človeka nemá dom ani miesto, kde by si zložil hlavu.“
