2800000006	Mateyo
2802140071	nokumweba ukuti, “Ima, piita umwana nanyina ubwelelemo ku Israeli pantu abaalefwaya ukwipaya umwana nabafwa.”
2802150044	Eikyo Yosefu aimine nokupiita umwana nanyina nokubwelela ku Israeli.
28021600a3	Lelo lintu Yosefu aumfwile ukuti Akelausi napyana wisi Herodi pabufumu mu Yudeya, alitinine ukuyako. Kabili apo balimusokele mukiloto aile mukitungu kya mu Galili.
280217006f	Aileikala mu musumba wa Nasareti pakuti ifyalandile bakasesema fifikilisye ukuti, “Aketwa umwina Nasarene.”
280301004e	Muli silya nsiku Yohani Kabatisya aisile alesimikila mukiswebebe kyamu Yudeya.
2803020044	Alandile ukuti, “Lapileni, pantu Ubufumu bwa mumulu nabupalama!”
280303008c	Yohani emuntu Ezaya aalelandapo ukuti, “Isiwi lyaulebilikisya mukiswebebe lileti, ‘Pekanyeni insila ya Mfumu olololeni umwakupita!’”
280304007f	Insalu syakwa Yohani syapangilwe namasako yangamali, mumusana alekakamo umusipi wampapa kabili makanta nobuki efyakulya alelya.
280305007b	Abantu baisile kuli ena ukufuma ku Yerusalemu, ku fitungu fyonse ifyamu Yudeya naku kyalo kyapalamina no mulonga wa Yodani.
2803060042	Baleyebelela imembu syabo kabili alebabatisya mumulonga wa Yodani.
28030700aa	Lintu Yohani amwene Abafalise naba Saduki abengi baleisa mukubatisiwa abebele ukuti, “Mwensoka mwe! Ninani amyebele ati kuti mwafyuka ukukandwa kuntu Lesa ali nokutuma?
280308003a	Kiteni ifintu ifilelangisya ukuti mwalifuma kumembu syenu.
28030900a5	Kabili mwilatontonkanya ati, kuti mwafyuka ukukandwa mukulanda ati Abulahamu kikikolwe kyenu. Ndemyeba nati Lesa muli aya mabwe kuti afumyamo abaana bakwa Abulahamu!
28030a0077	Isembe naliyipekanya ukuputula ifimuti kumisila, fyonse ifimuti ifisitwala fisabo ifisuma kufitema nokufiposa mumulilo.
28030b00bc	Namibatisya namensi mukulanga ukuti namulapila imembu syenu, lelo uwamaka ukunkila alinokwisa kabili nebo nsilingile nokupiita indyato syakwe. Akamibatisya na Mupasi Wamusilo elo nomulilo.
28030c008a	Ali nolupe lwakwelelako muminwe yakwe. Akafumya imisungu pamusolo. Akatutila Iŋano mubutala bwakwe. Imisungu akoca mumulilo ushishima.”
28030d004b	Yesu afumine ku Galili nokuya kumulonga wa Yodani mukubatisiwa kuli Yohani.
28030e0079	Lelo Yohani alyesesye ukuti amukanye. Amwebele ukuti, “Niwebo ulingile ukumbatisya, nomba nikinsi waisila kuli nebo?”
28030f008b	Lelo Yesu ayaswike ukuti, “Leka kibe ififine pali nomba. Pantu muli iyi nsila ninsi twafikilisya ubulungami bonse.” Elo Yohani asumina.
280310008a	Lintu Yesu abatisiwe, kilyafye afuma pamensi umulu waliswike, kabili amwene Umupasi wakwa Lesa uletentemuka nge nkunda waikala napali ena.
280311005e	Nesiwi lyafumine mumulu ukuti, “Uyu mwana wandi untu natemwa kabili muli ena emombekelwa.”
280401003e	Elo Umupasi watungulwile Yesu mumatololo mukutunkwa kuli Kiwa.
280402004e	Panuma yakufunga insiku amakumi yane akasuba nobusiku, Yesu alyumfwile insala.
2804030066	Kiwa aisile kuli Yesu nokumweba ukuti, “Ngoli Mwana wakwa Lesa, eba aya amabwe yasanguke umukate.”
2804040092	Lelo Yesu ayaswike ukuti, “Kyalembwa ukuti, ‘Tekumukate kweka umuntu engabela no mweo, lelo nikwisiwi lyonse ilifuma mukanwa kakwa Lesa.’”
2804050063	Kabili Kiwa apiitile Yesu ku Yerusalemu mu musumba wamusilo, amuninike pamulu wamutenge we Tempele,
28040600ae	nokumweba ati, “Ngoli Mwana wakwa Lesa ipose pansi, pantu kyalembwa ukuti, “Lesa akeba bamalaika bakwe ukukubaka; bakakwimya muminwe yabo, pakuti wikaipuntula kumabwe.”
2804070056	Yesu ayaswike ukuti, “Kyalilembwa nakabili ukuti, ‘Wilaesya Imfumu Lesa obe.’”
2804080060	Kabili Kiwa atwele Yesu palupili ulutali nokumulangisya amabufumu yapesonde mubukalamba bwayako.
2804090048	Nokumweba ati, “Fyonse ifi ndekupela ngawamfukamina nokunsinsimuna.”
28040a0081	Yesu amwaswike ukuti, “Kabiye uko, Kiwa! Kyalilembwa ukuti, ‘Ulesinsimuna Imfumu Lesa obe kabili ekafye eo ulepyungila.’”
28040b003e	Kiwa asile Yesu kabili nabamalaika baisile nokwisa mupyungila.
28040c0049	Lintu Yesu aumfwile ukuti Yohani nabamwingisya mukifungo, aile ku Galili.
28040d0074	Afumine mu Nasareti, aileikala mu Kapenamu, umusumba wakumbali ya mumana wa Galili mukyalo kya Zebuluni na Nafutali.
28040e0040	Ifi fyakitike mukufikilisya fintu kasesema Ezaya alandile ukuti,
28040f0078	“We Zebuluni nawe Nafutali, mwefyalo fyabela mumbali ya Bemba, kwisilya lyamulonga wa Yodani. We Galili wa Bena fyalo!
2804100071	Abantu abaikala mumfimfi nabamona ulubuto ulukalamba. Abo abekala mukinsingwa kyamfwa ulubuuto nalubasanikila.”
280411006d	Ukufuma pali ilya nsita, Yesu ayambile ukusimikila ukuti, “Lapileni, pantu Ubufumu bwamumulu nabupalama!”
2804120098	Lintu Yesu aleenda mumbali yamumana wa Galili, amwene bamunina babili Simoni (uwaleitwa Petelo) namunina Andereya baleteya amakonde pantu baali bashila.
2804130042	Yesu abebele ati, “Nkonkeni nkamikita ukuba abashila babantu.”
2804140025	Palyapene basile amakonde nokuya nao.
2804150094	Yesu aendelelekofye ikyalinga nakabili amona Yakobo na Yohani abana bakwa Zebedee. Baali mubwato na wisi Zebedee balelunda amakonde. Yesu alibetile,
2804160033	kabili palya pene basile ubwato na wisi nokuya nao.
280417007e	Yesu aile mu Galili monse, mukufundisya muma sinagogi, ukusimikila Imbila Nsuma Pabufumu nokundapa amalwele yamisango misango.
28041800d9	Ilyasi lyapali ena lyasabankene munkyalo kya Silya kyonse, ikyakuti abantu balemuletela bonse abaali nabalwala, abalekyusiwa kumalwele yamisango misango, abaakwete ingulu, abakifulubi nababulebe nao aalibondepe bonse.
280419006f	Ibumba lyalimukonkele ukufuma ku Galili namu Dekapolisi, ukufuma ku Yerusalemu, ku Yudeya nabusilya bwa Yodani.
280501006c	Lintu Yesu amwene ibumba ilikalamba aninine mumbali yalupili emo aile ikala. Abasambi bakwe balimukolongene,
2805020024	kabili atampile ukubafundisya ukuti.
280503003b	Balipalwa abapiina mumupasi; pantu Ubufumu bwamumulu bwabo!
280504002a	Balipalwa abaloosya; pantu bakakoselesiwa.
280505003a	Balipalwa abamutembo; pantu bakapokelela fintu Lesa alaya!
280506004f	Balipalwa abansala nekilaka kyakukita ubulungami; pantu Lesa akalenga bakekute.
2805070030	Balipalwa abaluse, pantu nabo bakabelelwa uluse!
2805080034	Balipalwa abasanguluka imitima, pantu bakamona Lesa.
280509003d	Balipalwa abaapanga umutende; pantu baketwa abana bakwa Lesa!
28050a0050	Balipalwa abo abapakasilwa pamulandu wabulungami, pantu Ubufumu bwamumulu bwabo!
28050b0066	Muli abapalwa, abantu ngabamituka nokumipakasa nokumibepesya ubufi bwamisango misango pamulandu wandi.
28050c007f	Beni abansansa kabili temweni pantu ikilambu kyenu ikikalamba kyasungilwa mumulu. Ifi efintu bakasesema abaliko kale bapakeswe.
28050d008a	Muli mukele wa pano isonde. Nomba umukele ngawaonaika kuti walowesiwa kuli kinsi? Taukwata milimo nakabili, kuoposafye abantu baunyantapo.
28050e0044	Muli lubuto lwa pano isonde. Umusumba uwakulwa palupili teti ufiswe.
28050f005e	Takuli uwasya ilampi nokukupikapo ulweso, lelo babika apasansama pakuti ibusye bonse muŋanda.
2805100068	Lekeni ulubuto lwenu lusanike pa bantu, pakuti bamone ifintu ifisuma mukita nokulumbanya Wisinwe Mumulu.
280511007b	Mwilatontonkanya ati naisa mukonaula Amafunde yakwa Mose nangu bakasesema, nsyaisa mukuyapwisya lelo naisa mukuyafikilisya.
2805120090	Ndemyeba ikine kine nati, umulu nekyalo fikapita lelo ndemilaya nati takwakonaike ikilembo nangu kalitoni mu Mafunde mpaka fyonse fikafikilisye.
2805130108	Eikyo kansi onse uwatobapo limo pamafunde nangu lingakyepa syani, nokufundisya abantu bambi ukukita fimofine aketwa umunono Mubufumu bwa mumulu. Lubali lumbi nakabili onse uwasunga ifipope nokufundisya baambi ukukita fimofine, akaba umukalamba Mubufumu bwa mumulu.
2805140077	Ndemyeba nati tamwakengile Mubufumu bwa mumulu ubulungami bwenu ngatabwakakile ubwaba Falise naba Kafundisya bamafunde.
280515006f	Mwalyumfwa ukuti ifikolwe bafyebele ati, “Mwilaipaya kabili naonse uwaipayana afwile atwalwa mukupingulwa.”
28051600c9	Lelo ndemyeba ukuti onse uwafulilwa munyina alingile ukumutwala mukupingulwa. Kabili onse uwatuka munyina akatwalwa kukilye, naonse uwaita munyina ukuti kiwelewele akaba mubwafya bwamulilo waku Gehena.
280517006a	Eikyo ngoli pakutula ikyabupe pakipailo kyakwa Lesa, elo waibusya ati munonko nakukwatila ikintu kumukosi,
280518005c	sya ikyabupe kuntansi yakipailo, kabiye muleyawikisyanya elo wise uutule ikyabupe kuli Lesa.
28051900c0	Umfwaneni bwangu bwangu nomuntu ukweteko imilandu lintu mukili muleya nankwe mukulubulula. Pantu kuti ayakutwala kuli kapingula, nao kapingula akutwala kuli kapokola kabili ukabikwa mukifungo.
28051a005e	Ndimukumyeba ikine kine nati, ukekala mulya mpaka ukalipe nolupiya lobe lonse ulwakulekelesya.
28051b003c	Mwalyumfwa fintu kyalandilwe ukuti, “Mwilakita bukende.”
28051c006d	Lelo ndimukumyeba ati, onse uwalolesya umwanakasi nolunkumbwa lubi ninsi nakita kale ubukende mumutima wakwe.
28051d00b2	Eikyo ilinso lyobe ilya kukulyo ngalyakulenga ukubembuka, lilobole nokuliposa! Kyawamisyapo ukulufya ikilundwa kimo ikya kumubili obe ukukila umubili obe onse ukuposwa ku Gehena.
28051e00a5	Ukuboko kobe ukwa kukulyo Ngakwakulenga ukubembuka, kuputule nokukuposa! Kyawamisyapo ukulufya ikilundwa kimo ikyamubili obe ukukila umubili onse ukuposwa mu Gehena.
28051f006a	Kyalilandwa nakabili ukuti, “Onse uwaleka umukasi wakwe afwile ukumupa ikipepela kyakupwilapo ikyupo.”
28052000ac	Lelo ndemyeba ukuti uyo onse uwasya umukasi wakwe pamulandu uusili wabukende ninsi amulenga ukuba umukende. Kabili naonse uwaupa umwanakasi baleka nao ninsi akita ubukende.
280521007a	“Kabili mwalyumfwa ukuti ifikolwe bafyebele ati, ‘mwilalapa bufi lelo mulefikilisya fintu mwalaya ku Mfumu ukukita.’
2805220063	Lelo ndemyeba ukuti, Mwiilalapa pakulaya, mwilalapa ku myulu pantu kipuna kya bufumu ikya kwa Lesa,
280523006d	mwilalapa pesonde, pantu ekipuna kyamakasa yakwa Lesa, nangu pali Yerusalemu pantu musumba wa Mfumu nkalamba.
2805240056	Mwilalapa napamutwe wenu pantu tekuti mupange umusisi nangu umo ukubuta nangu ukufita.
280525005b	Mulelandefye ukuti, ‘Ee’ nangu ‘Awe’ ifintu fimbi fintu mulanda fifuma kumubifi.”
2805260052	“Mwalyumfwa fintu kyalandwa ukuti, ‘Ilinso pe linso, kabili iliino peliino.’
2805270082	Lelo ndemyeba ukuti, mwilalandula umuntu ngamilufyanya. Umuntu ngakuuma ulupi kwitobo lyakukulyo leka akuume nakwitobo lya kukuso.
280528005b	Kabili umuntu ngakutwala kukilye pakufwaya ukukupoka insalu yobe leka apiite ne koti lyobe.
280529004f	Umuntu ngakupatikisya ukuya nao umulundu umo, kabiye nao imilundu ibili (2 km).
28052a004f	Umuntu ngakulomba ikintu mupele kabili ngalefwaya ukumwasima ikintu mwasime.”
28052b0053	“Mwalyumfwa ati kyalandwa ukuti, ‘Muletemwa ababiyo, mulepata abalwani benu.’
28052c0048	Lelo ndemyeba ukuti temweni abalwani benu kabili mulepepela abamipakasa,
28052d00a0	pakuti mube abaana bakwa Wisinwe mumulu. Pantu aleka akasuba kakwe ukubala pa bantu abaabi na pabasuma fimofine, kabili alokesya imfula pabalungami napababembu.
28052e006d	Nikinsi Lesa engamilambwila ngamwatemwafye abamitemwa? Pantu nabakasonkesya bamusonko nabo balakita ifyofine!
28052f0068	Kabili ngamuposyafye bakibusa benu busye ninsi namukitapo ubupusano? Nabenafyalo nabo balakita ifyofine!
280530003e	Mube abapwililika ngafintu Wisinwe mumulu aba uwapwililika.”
2806010091	“Kengeleni, mwilakita ubulungami pa menso ya bantu bambi pakuti bamimone, pantu ngamwakita ifyo tamwakapokelele kilambu kuli Wisinwe wa mumulu.
28060200d3	“Eikyo kansi ilyo mwapela ikintu kumubusu, mwilasabankanya ngafintu bamumbimunda bakita muma sinagogi na mumisebo. Bakita ifi pakuti abantu babalumbanye. Ndemyeba ukuti balipokelela kale ikilambu ikyakumanina.
280603005d	Lelo lintu mulepela, mwileka ukuboko kwenu ukwa kukuso kwisibe ifilekita ukuboko kwa kukulyo.
2806040058	Pakuti ukupela kwenu kube ukwa munkama kabili na Wisinwe uumona munkama akamilambula.”
28060500ab	“Lintu mulepepa, mwilaba nga babumbimunda abatemwa ukwiminina mumisebo na muma Sinagogi, pakuti babamone kubantu. Ndemyeba nati balipokelela ikilambu kyabo mukukumanina.
280606008f	Lelo ilyo mulepepa, ingileni mukyumba kyenu mwisaleko ikiibi nokupepa kuli Wisinwe usimoneka. Kabili na Wisinwe umona ifyamunkama akamilambula.
280607008a	“Kabili ngamulepepa mwilabomfya amasiwi ayengi ayabula ubuyo ngafintu Abena Fyalo bakita. Batontonkanya ukuti Lesa elo engomfwa amapepo.
2806080047	Mwiba ngabena, pantu Wisinwe alisiba fintu mufwaya lintu tamulamulomba.
2806090054	Ifi nomba efyo mufwile ukupepa: ‘Mwe Taata wesu uwamumulu, isina lyenu likindikwe,
28060a003e	ubufumu bwenu bwise, ubufwayo bwenu bukitwe pesonde ngamumulu.
28060b002f	Tupeleni lelo ikyakulya kyesu ikya kila busiku.
28060c003c	Tweleleni fintu twalufyanya, ngafintu twelela abatulufyanya.
28060d003c	Mwitutwala mukwesiwa ukukalamba, lelo mututule kufyabipa.’
28060e004e	Pantu ngamuleelela bambi fintu bamilufyanya, na Wisinwe mumulu nao akamyelela.
28060f0044	Lelo ngatamuleelela bambi, na Wisinwe takamyelele fintu mwalufyanya.
28061000d3	“Elo mulefunga, mwilaikala inkumbabulili ngafintu babumbimunda bakita. Balekelesya imimonekele yabo pakweba ati abantu bonse babamone ati balefunga. Ndemyeba ikinekine nati bena balipoka ikilambu kyabo kyonse.
2806110042	Lelo lintu mulefunga, mulesamba kumenso nokusuba amafuta mu mutwe,
2806120086	pakuti abantu bambi belaisiba ukuti mulefunga. Kanofye Wisinwe eka usimoneka. Kabili Wisinwe uumona fintu mukita munkama akamilambula.
280613006b	“Mwilasungila ifyuma fyenu pesonde apo ubuswa nenkuutu fingonaula, kabili apo abaŋo bengengila no kwiba.
2806140068	Lelo Sungileni ifipao fyenu mumulu umo ubuswa nenkutu teti syonaule kabili nabaŋo teti bengile nokwiba.
280615002d	Pantu umutima wenu ukaba ukwaba ifyuma fyenu.
280616005a	“Ilinso elampi lyamubili. Amenso yobe ngayatuntulu ninsi umubili obe onse uli mulubuuto.
2806170082	Lelo amenso yobe ngateyatuntulu, umubili obe ukaba mumfimfi. Ngakyakuti ulubuto muli webo nimfimfi, ninsi nimfimfi yakipesya mano!
28061800a9	“Takuli umuntu uwingaba umusya wabasikulu babili, kuti apatapo umo nokutemwapo umbi, kuti anakilapo umo nokufupulapo umbi. Tekuti upyungile fyonse pamo, Lesa nolupiya.
28061900c8	“Eikyo ndimukumyeba ukuti, mwilasakamana pabwikasi bwenu, fintu mukalya nafintu mukanwa, nangu pansalu syamubili wenu. Busye ubwikasi bwenu tabwakila ifyakulya? Kabili busye umubili tawakila insalu?
28061a0099	Lolesyeni pafyoni fyamulwelele, ifisilima, tafisombola nangu ukusungila mumatala, lelo Wisinwe wamumulu alafiliisya! Busye tamwakindamapo ukukila ifyoni?
28061b003e	Ninani pali mwebo uwingalundapo insiku pamulandu wakusakamana?
28061c0076	“Nikinsi musakamanina pansalu? Lolesyeni pamaluba ya mumpanga fintu yakula, tayabomba nangu ukuipangila ifyakufwala.
28061d0067	Lelo ndemyeba nati, Nemfumu Solomoni nobunonshi bwakwe bonse tatalile fwikwapo ngalimo pali aya maluba.
28061e0094	Ngakyakuti Lesa eufwika ifyani fyamumpanga, ifyakuti lelo epofili mailo fyaposwa mumulilo tekuti amifwike ukukishapo, mwe bantu bakitetekelo kinono?
28061f0070	“Eikyo mwilasakamana nokuipusya ukuti: ‘Busye nkalya insi? Busye nkanwa insi? Nangu busye nkafwala kinsi?’
2806200064	Pantu ifi, efyo abenafyalo bafwaya, lelo Wisinwe wamumulu alisiba ukuti mulakabila fyonse ifi fintu.
2806210065	Lelo intansi fwayeni Ubufumu bwamumulu Nobulungami bwabuko, kabili nafyonse ifi ifyasyala akamipeela.
2806220072	Eikyo mwilasakamikwa pabusiku bwa mailo, ubwamailo bukaisakamana ubwine. Kila busiku bwalikwata isakamiko lyabuko.
280701002e	“Mwilapingula abanenu, pakuti mwikapingulwa,
2807020069	pantu insila mupingwilamo abanenu eyo mukamipingwilamo kabili nefipimo mubomfya efyo nemwe mukapiminwamo.
280703005b	Nikinsi umwena akasanga mulinso lyakwa munonko lelo wafilwa ukumona umulando mulinso lyobe?
2807040078	Kuti walanda syani kuli munonko ukuti, “Leka nkufumye akasanga mulinso,” ilyo webo taulemona umulando mulinso lyobe?
2807050075	Webumbimunda we! Mbale fumya umulando mulinso lyobe elintu walamona fintu wingafumya akasanga mulinso lyakwa munonko.
2807060087	“Mwilapela ifyamusilo ku mbwa, kabili mwilaposela inkumba ubulungu bwenu ubwa mutengo, pantu kuti syena syabunyantaula nokumyalukila.
280707005c	“Lomba kikapelwa kuli webo, fwaya walasanga, konkonsya kabili ikiibi kikeswilwa kuli webo.
2807080063	Pantu onse uwalomba akapeelwa, na onse uwafwaya akasanga kabili nekiibi kikeswilwa ku ukakonkonsya.
2807090047	Busye palimwebo nani engapeela umwaana wakwe ilibwe ngamulomba umukate?
28070a0029	Nangu ukumupeela insoka ngamulomba isabi?
28070b0093	Ngakyakuti mwebo nangu muli babi, mwalisiba ukupeela abaana benu ifisuma. Nga Wisinwe wamumulu tekuti akisyepo ukupeela ifintu ifisuma kubamulomba!
28070c0071	“Eikyo mulifyonse, mulekitila bambi fintu mwingafwaya bamikitila, ubu ebupilibulo bwa mafunde na bakasesema.”
28070d0078	Ingilileni pamwinsi uunono. Pantu unono emwinsi lelo uwasalala ninsila iitwala kukonaulwa, kabili nabengi emo bengilila.
28070e0044	Lelo umwinsi uutwala kumweo unono kabili walyafya nabausanga banono.
28070f005d	Kengeleni kuli bakasesema babufi, besa kuli mwebo ngempaanga kunse, lelo mukati mimbulu iibi.
2807100059	Mukabesibila kufisabo. Kumyunga takuseeka imyangasi, nangu amakunyu tayaseeka ku nkololo.
2807110054	Ikimuti ikisuma kuseeka ifitwalo fisuma, lelo ikimuti ikiibi kuseka ifitwalo ifiibi.
280712005a	Ikimuti ikisuma teti kitwale ifisabo ifiibi nangu ikimuti ikiibi ukutwala ifisabo ifisuma.
280713004f	Kabili nekimuti kyonse ikisitwala ifisabo ifisuma kukitema nokukiposa mumulilo.
2807140022	Eikyo kansi mukabesibila kufisabo.
280715008f	“Tebonse abangita ukuti, ‘We mfumu, we Mfumu’ abakengila Mubufumu bwamumulu kanofye abo abakita fintu Taata wamumulu afwaya ukuti bakite.
28071600c4	Pali bulya busiku abengi bakatiila kuli nebo ukuti, ‘We Mfumu, we Mfumu! Busye tatwalesesema mwisina lyobe, no kutamfya ingulu Mwisina lyobe, kabili nokukita ifisungusyo ifingi mwisina lyobe?’
2807170049	Elo nkabeba ukuti, ‘Nsyamisiba. Fumeni apa, mwebantu ababifi mwe!’”
2807180063	“Eikyo, onse umfwa aya masiwi yandi nokuyakita aaba ngo muntu uwamano uwaakulile iŋanda pelibwe.
2807190068	Imfula yalilokele, imilonga yaliiswile nomwela walipupile ku ŋanda lelo tayawile pantu yakulilwe pebwe.
28071a0056	“Lelo umfwa amasiwi yandi nokunayakita aaba ngekipumbu ikyakulile ŋanda pa musenga.
28071b0074	Imfula yalilokele, imilonga yaliswile, umwela walipupile kuli ilya ŋanda nayo yaliwile. Kabili yawile bubi bubi!”
28071c004a	Lintu Yesu apwisisye ukulanda ifi, ibumba lyalipapile pa mafundisyo yakwe.
28071d0050	Talefundisya ngabakafundisya bamafunde, lelo alefundisya nga umo uwakwata amaka.
2808010042	Lintu Yesu atentemwike palupili, ibumba ilikalamba lyalimukonkele.
280802007c	Elo umuntu uwalekyusiwa nobulwele bwafibasi aisile mufukamina nokulanda ukuti, “Mwemfumu ngamulefwaya kuti mwangundapa.”
2808030072	Yesu atambulwile ukuboko amwikata, nokumwasuka ukuti, “Ndefwaya, pola!” Palya pene alipolele kubulwele bwakwe.
28080400a2	Yesu amwebele ukuti, “Usininkisye ukuti tawebeleko umuntu nangu umo, lelo kailange kuli basimapepo, upela nelambo lintu Mose akonkomesye ngo bunte kuli bena.”
280805005c	Lintu Yesu aingile mu Kapenamu, umukalamba wabasilika alimukumenye nokumulomba ubwafwilisyo,
280806005e	aebele ati, “Wemfumu umubomfi wandi nalala pabulo, taleyenda kabili nakyusiwa apakalamba.”
280807002b	Yesu amwaswike ukuti, “Nalaya mundapa.”
