010000000a	Yaritilish
01011500d2	Shundaq qilip Xuda sudiki chong-chong mexluqlarni, shundaqla sularda migh-migh janiwarlarni öz türliri boyiche we herxil uchar-qanatlarni öz türliri boyiche yaratti. Xuda buning yaxshi bolghanliqini kördi.
0101160090	Xuda bu janliqlargha bext-beriket ata qilip: «Nesillinip, köpiyip, déngiz sulirini toldurunglar, uchar-qanatlarmu yer yüzide awusun» dédi.
010117003d	Shu teriqide kech bilen seher ötti, bu beshinchi kün boldi.
01011800c7	Xuda yene: «Yer janiwarlarni öz türliri boyiche chiqarsun — mal-charwilarni, ömiligüchi janiwarlarni we yawayi haywanlarni öz türliri boyiche apiride qilsun» — déwidi, del shundaq boldi.
01011900df	Shundaq qilip Xuda yerdiki yawayi haywanlarni öz türliri boyiche, mal-charwilarni öz türliri boyiche we yer yüzide ömiligüchi barliq janiwarlarni öz türliri boyiche yaratti. Xuda buning yaxshi bolghanliqini kördi.
01011a010b	Andin Xuda: «Öz süret-obrazimizda, Bizge oxshaydighan qilip insanni yaritayli. Ular déngizdiki béliqlargha, asmandiki uchar-qanatlargha, barliq mal-charwilargha, pütkül yer yüzige we yer yüzidiki barliq ömiligüchi janiwarlargha igidarchiliq qilsun» dédi.
01011b007b	Shundaq qilip, Xuda insanni Öz süret-obrazida yaratti; Uni Özining süritide yaratti; Ularni erkek-chishi qilip yaratti.
01011c00f3	Xuda ulargha bext-beriket ata qilip: «Siler nesillinip, köpiyip, yer yüzini toldurup boysundurunglar; déngizdiki béliqlar, asmandiki uchar-qanatlargha, shuningdek yer yüzide yüridighan herbir haywanlargha igidarchiliq qilinglar» dédi.
01011d009a	Andin Xuda yene: «Mana, Men pütkül yer yüzidiki uruqluq otyashlar bilen uruqluq méwe béridighan herbir derexlerni silerge ozuqluq bolsun dep berdim;
01011e00df	shundaqla yerdiki barliq janiwarlar bilen asmandiki barliq uchar-qanatlar we yer yüzide barliq ömiligüchilerge, yeni barliq jan-janiwarlargha ozuqluq bolsun dep barliq gül-giyahlarni berdim» déwidi, del shundaq boldi.
01011f00a4	Xuda yaratqanlirining hemmisige sepsélip qaridi, we mana bularning hemmisi nahayiti yaxshi bolghanidi. Shu teriqide kech bilen seher ötti, bu altinchi kün boldi.
0102010057	Shundaq qilip asman bilen zémin, pütkül mewjudatliri bilen qoshulup yaritilip boldi.
0102020073	Xuda yettinchi künigiche qilidighan ishini tamamlidi. U yettinchi küni barliq yaritish ishini toxtitip aram aldi.
0102030098	Yettinchi küni Xuda barliq yaritish ishliridin aram alghan kün bolghanliqi üchün, shu künni bextlik kün qilip, uni «muqeddes kün» dep békitti.
0102040075	Perwerdigar Xuda zémin bilen asmanni yaratqan künide, asman-zéminning yaritilish jeryanining tarixliri mundaq: —
01020500af	Zéminda téxi héch gül-giyah, yerde héch otyash ünmigenidi; chünki Perwerdigar Xuda yer yüzige höl-yéghin yaghdurmighanidi, shundaqla yer tériydighan ademmu yoq idi.
010206003d	Lékin yerdin bulaq süyi chiqip, tamam yer yüzini sughardi.
0102070089	Andin Perwerdigar Xuda ademni yerning topisidin yasap, hayatliq nepesini uning burnigha püwlidi; shuning bilen adem tirik bir jan boldi.
010208007e	Andin kéyin Perwerdigar Xuda meshriq terepte Érem dégen jayda bir bagh bina qilip, yasighan ademni shu yerge orunlashturdi.
01020900d8	Perwerdigar Xuda yerdin közni qamlashturidighan chirayliq, [méwiliri] yéyishlik herxil derexni ündürdi; u yene baghning otturisida «hayatliq derixi» we «yaxshi bilen yamanni bilgüzgüchi derex»ni ündürdi.
01020a0057	Baghni sughirishqa Éremdin bir derya éqip chiqti; andin bölünüp, töt éqin boldi.
01020b0062	Birinchi éqinning nami Pishon bolup, altun chiqidighan pütkül Hawilah zéminini aylinip ötidu.
01020c005e	Bu yurtning altuni nahayiti ésil idi; shu yerde puraqliq déwirqay bilen aq héqiqmu chiqidu.
01020d004c	Ikkinchi deryaning nami Gihon bolup, pütkül Kush zéminini aylinip ötidu.
01020e006b	Üchinchi deryaning nami Dijle bolup, Ashurning sherqidin éqip ötidu, tötinchi deryaning nami Efrat idi.
01020f0063	Perwerdigar Xuda ademni élip Érem béghigha ishlep, perwish qilsun dep uni shu yerge qoyup qoydi.
0102100058	Perwerdigar Xuda ademge emr qilip: baghdiki herbir derex méwiliridin xalighiningche ye;
0102110088	emma «yaxshi bilen yamanni bilgüzgüchi derex»ning méwisidin yémigin; chünki uningdin yégen kününgde jezmen ölisen, — dédi.
010212009e	Andin Perwerdigar Xuda yene söz qilip: — Ademning yalghuz turushi yaxshi emes; Men uninggha mas kélidighan bir yardemchi hemrahni yasap bérey, — dédi.
010213011c	Perwerdigar Xuda tupraqtin daladiki barliq janiwarlar bilen asmandiki hemme uchar-qanatlarni yasighanidi; ulargha ademning néme dep at qoyidighanliqini bilish üchün, U ularni ademning aldigha keltürdi. Adem herbir janiwargha néme dep at qoyghan bolsa, uning éti shu bolup qaldi.
01021400bc	Bu teriqide adem hemme mal-charwilargha, asmandiki uchar-qanatlargha we daladiki herbir janiwarlargha at qoydi; wehalenki, adem özige mas kélidighan héchbir yardemchi hemrah uchratmidi.
01021500aa	Shuning bilen Perwerdigar Xuda ademge bir qattiq uyqu saldi; u uxlap qaldi. U uxlawatqanda, U uning biqinidin bir az élip, andin uning ornini et-gösh bilen étip qoydi.
0102160076	Shuning bilen Perwerdigar Xuda ademning biqinidin alghan shu qisimdin bir ayalni yasap, uni ademning qéshigha ekeldi.
0102170097	Adem’ata xushal bolup: — Mana bu söngeklirimdiki söngek, étimdiki et bolghach, «ayal» dep atalsun; chünki u erdin élin’ghandur, — dédi.
0102180067	Shuning üchün er kishi ata-anisidin ayrilip, öz ayaligha baghlinip bir bolup, ikkisi bir ten bolidu.
0102190046	Adem’ata bilen ayali her ikkisi yalingach bolsimu, héch uyalmaytti.
01030100cf	Yer yüzide yilan Reb Perwerdigar yaratqan daladiki haywanlarning hemmisidin hiyliger idi. U ayaldin: — Xuda rasttinla baghdiki derexlerning héchqaysisining méwisidin yémenglar, dédimu? — dep soridi.
0103020053	Ayal yilan’gha jawab bérip: — Baghdiki derexlerning méwilirini yések bolidu.
010303008e	Emma baghning otturisidiki derexning méwisi toghrisida Xuda: «Buningdin yémenglar, qolmu tegküzmenglar, bolmisa ölisiler» dégen, dédi.
0103040032	Yilan ayalgha: — Undaq emes! Hergiz ölmeysiler!
01030500a3	Belki siler uni yégen kününglarda, Xuda közünglarning échilip, Xudagha oxshash yaxshi bilen yamanni bilidighan bolup qalidighanliqinglarni bilidu, — dédi.
01030600f1	Ayal derexning [méwisining] yémeklik üchün yaxshiliqini, uning közni qamlashturidighanliqini körüp, hemde derexning ademni eqilliq qilidighan jelpkarliqini körüp, méwidin yédi we uningdin yénida turghan érigimu berdi; umu yédi.
01030700ad	Yéyishi bilenla her ikkisining közliri échilip, özlirining yalingach ikenlikini bilip, enjür yopurmaqlirini élip bir-birige ulap tikip, özlirige yapquch qilip tartti.
01030800c6	Kün salqinlighanda, ular Perwerdigar Xudaning baghda mangghan shepisini anglap qélip, adem ayali bilen Perwerdigar Xudaning hazir bolghinidin qéchip baghdiki derexlerning arisigha yoshurunuwaldi.
010309004d	Lékin Perwerdigar Xuda towlap ademni chaqirip uninggha: Sen nede? — dédi.
01030a0080	Adem’ata jawab bérip: — Men baghda shepengni anglap, yalingach turghinim üchün qorqup kétip, yoshurunuwaldim, — dédi.
01030b008c	[Xuda] uninggha: — Yalingach ikenlikingni sanga kim éytti? Men sanga yéme, dep emr qilghan derexning méwisidin yédingmu-ya? — dédi.
01030c0079	Adem jawab bérip: — Sen manga hemrah bolushqa bergen ayal derexning méwisidin manga bergenidi, men yédim, — dédi.
01030d008c	Perwerdigar Xuda ayalgha: — Bu néme qilghining? — dédi. Ayal jawab bérip: — Yilan méni aldap azdursa, men yep saptimen, — dédi.
01030e00ea	Perwerdigar Xuda yilan’gha mundaq dédi: — «Bu qilghining üchün, Sen hemme mal-charwilardin, Daladiki barliq haywanatlardin bekrek lenetke qalisen; Qorsiqing bilen béghirlap méngip, Ömrüngning barliq künliride topa yeysen.
01030f00cd	We men sen bilen ayalning arisigha, Séning nesling bilen ayalning neslining arisigha öchmenlik salimen; U séning béshingni dessep zeximlendüridu, Sen qopup uning tapinini [chéqip] zeximlendürisen».
01031000d7	Andin Xuda ayalgha: — «Séning hamilidarliqingning japa-musheqqetlirini köpeytimen; Sen qattiq tolghaq ichide boshinisen; Sen éringdin üstün turushqa hewes qilsangmu, U üstüngdin xojiliq qilidu» — dédi.
0103110109	Andin U Adem atigha: — «Sen ayalingning sözige qulaq sélip, Men sanga yéme, dep emr qilghan derextin yégining tüpeylidin, Séning tüpeylingdin yer-tupraq lenitimge uchraydu; Ömrüngning barliq künliride peqet japaliq ishlepla, andin uningdin ozuqlinisen.
010312005c	Yer sanga tiken bilen qamghaq ündüridu; Shundaqtimu sen yerdiki ziraet-otyashlarni yeysen.
01031300bb	Taki sen tupraqqa qaytquche yüz-közüng terge chümgende, andin nan yéyeleysen; Chünki sen esli tupraqtin élin’ghansen; Sen eslide topa bolghach, Yene topigha qaytisen» — dédi.
0103140061	Uning ayali barliq jan igilirining anisi bolidighini üchün adem uninggha «Hawa» dep at qoydi.
0103150062	Perwerdigar Xuda Adem’ata bilen uning ayaligha haywan tériliridin kiyim qilip kiydürüp qoydi.
01031600e1	Perwerdigar Xuda söz qilip: — Mana, adem Bizlerdin birige oxshap qaldi, yaxshi bilen yamanni bildi. Emdi qolini uzitip hayatliq derixidin élip yewélip, ta ebedgiche yashawermesliki üchün [uni tosushimiz kérek], dédi.
01031700b3	Shuning bilen Perwerdigar Xuda uni Érem baghdin qoghlap chiqiriwetti; shundaq qilip uni yerge ishleydighan, yeni özi esli apiride qilin’ghan tupraqqa ishleydighan qilip qoydi.
01031800c6	Ademni qoghliwétip, hayatliq derixige baridighan yolni muhapizet qilish üchün, u Érem béghining meshriq teripige kérublarni we töt terepke pirqiraydighan yalqunluq bir shemsherni qoyup qoydi.
010401008c	Adem’ata ayali Hawa bilen bille boldi; Hawa hamilidar bolup Qabilni tughup: «Men bir ademge ige boldum — U Perwerdigardur!» — dédi.
010402005e	Andin u yene Qabilning inisi Habilni tughdi. Habil padichi boldi, Qabil bolsa tériqchi boldi.
0104030079	Békitilgen shundaq bir waqit-saette shundaq bir ish boldiki, Qabil tupraqning hosulidin Perwerdigargha hediye keltürdi.
0104040091	Habilmu padisidin qoylirining tunjiliridin, yeni ularning yéghidin hediye sundi. Perwerdigar Habilni we uning sun’ghan hediyesini qobul qildi.
010405006d	Lékin Qabil we uning sun’ghinigha qarimidi. Shu wejidin Qabilning tolimu achchiqi kélip, chirayi tutuldi.
0104060066	Shuning bilen Perwerdigar Qabilgha: Némishqa achchiqlinisen? Néme üchün chiraying tutulup kétidu?
01040700dc	Eger durus ish qilsang, sen kötürülmemsen? Lékin durus ish qilmisang, mana gunah ishik aldida [séni paylap] béghirlap yatidu, u séni öz ilkige almaqchi bolidu; lékin sen uningdin ghalip kélishing kérek, dédi.
0104080082	Qabil inisi Habilgha: «Daligha chiqip kéleyli!» dédi. Dalada shu weqe boldiki, Qabil inisi Habilgha qol sélip, uni öltürdi.
0104090078	Perwerdigar Qabilgha: Ining Habil nede? — dep soridi. U jawab bérip: Bilmeymen, men inimning baqquchisimu? — dédi.
01040a0060	Xuda uninggha: — Sen néme qilding? Mana, iningning qéni yerdin manga peryad kötürüwatidu!
01040b006d	Emdi iningning qolungda tökülgen qénini qobul qilishqa aghzini achqan yerdin qoghlinip, lenetke uchraysen.
01040c007e	Sen yerge ishlisengmu u buningdin kéyin sanga quwwitini bermeydu; sen yer yüzide sersan bolup, sergerdan bolisen, — dédi.
01040d005e	Buni anglap Qabil Perwerdigargha jawab qilip: — Méning bu jazayimni adem kötürelmigüdek!
01040e00dc	Mana, Sen bügün méni yer yüzidin qoghliding, men emdi Séning yüzüngdin yoshurunup yürimen; yer yüzide sersen bolup sergerdanliqta yürimen; shundaq boliduki, kimla méni tépiwalsa, öltürüwétidu!, — dédi.
01040f00f6	Lékin Perwerdigar uninggha jawab bérip: — Shundaq boliduki, kimki Qabilni öltürse, uningdin yette hesse intiqam élinidu, — dédi. Shularni dep Perwerdigar Qabilgha uchrighan birsi uni öltürüwetmisun dep uninggha bir belge qoyup qoydi.
0104100079	Shuning bilen Qabil Perwerdigarning huzuridin chiqip, Éremning meshriq teripidiki Nod dégen yurtta olturaqliship qaldi.
01041100ab	Qabil ayali bilen bille bolup, ayali hamilidar bolup Hanoxni tughdi. U waqitta Qabil bir sheher bina qiliwatatti; u sheherning namini oghlining ismi bilen Hanox dep atidi.
010412006f	Hanoxtin Irad töreldi, Iradtin Mehuyail töreldi, Mehuyaildin Metushail töreldi, Metushaildin Lemex töreldi.
0104130050	Lemex özige ikki xotun aldi. Birining ismi Adah, yene birining ismi Zillah idi.
0104140050	Adah Yabalni tughdi. U chédirda olturidighan köchmen malchilarning bowisi idi,
0104150052	uning inisining ismi Yubal idi. Bu chiltar bilen ney chalghuchilarning bowisi idi.
010416008e	Zillah yene Tubal-qayin dégen bir oghulni tughdi. U mis-tömür eswablarni soqquchi idi. Tubal-Qayinning Naamah isimlik bir singlisi bar idi.
01041700f8	Lemex bolsa ayallirigha söz qilip: — «Ey Adah bilen Zillah, sözümni anglanglar! Ey Lemexning ayalliri, gépimge qulaq sélinglar! Méni zeximlendürgini üchün men adem öltürdüm, Ténimni zéde qilghanliqi üchün bir yigitni öltürdüm.
0104180070	Eger Qabil üchün yette hesse intiqam élinsa, Lemex üchün yetmish yette hesse intiqam élinidu!» — dédi.
01041900c3	Adem’ata yene ayali bilen bille boldi. Ayali bir oghul tughup, uninggha Shét dep at qoyup: Qabil Habilni öltürüwetkini üchün Xuda uning ornigha manga bashqa bir ewlad tiklep berdi, dédi.
01041a008a	Shéttinmu bir oghul tughuldi; u uninggha Énosh dep at qoydi. Shu waqittin tartip ademler Perwerdigarning namigha nida qilishqa bashlidi.
0105010074	Bu Adem’atining ewladlirining nesebnamisidur: — Xuda insanni yaratqan künide, uni Özige oxshash qilip yaratti.
0105020086	U ularni er jinis we ayal jinis qilip yaritip, ulargha bext-beriket ata qilip, yaritilghan künide ularning namini «adem» dep atidi.
010503008f	Adem’ata bir yüz ottuz yashqa kirgende uningdin özige oxshaydighan, öz süret-obrazidek bir oghul töreldi; u uninggha Shét dep at qoydi.
010504006c	Shét tughulghandin kéyin Adem’ata sekkiz yüz yil ömür körüp, uningdin [yene] oghul-qizlar töreldi.
0105050046	Adem’atimiz jemiy toqquz yüz ottuz yil kün körüp, alemdin ötti.
010506003d	Shét bir yüz besh yashqa kirgende uningdin Énosh töreldi.
010507006e	Énosh tughulghandin kéyin Shét sekkiz yüz yette yil ömür körüp, uningdin [yene] oghul-qizlar töreldi.
0105080040	Shét jemiy toqquz yüz on ikki yil kün körüp, alemdin ötti.
0105090037	Énosh toqsan yashqa kirgende uningdin Kénan töreldi.
01050a0070	Kénan tughulghandin kéyin, Énosh sekkiz yür on besh yil ömür körüp, uningdin yene oghul-qizlar töreldi.
01050b003e	Énosh jemiy toqquz yüz besh yil kün körüp, alemdin ötti.
01050c003c	Kénan yetmish yashqa kirgende uningdin Mahalalél töreldi.
01050d0073	Mahalalél tughulghandin kéyin Kénan sekkiz yüz qiriq yil ömür körüp, uningdin [yene] oghul-qizlar töreldi.
01050e003c	Kénan jemiy toqquz yüz on yil kün körüp, alemdin ötti.
01050f003f	Mahalalél atmish besh yashqa kirgende uningdin Yared töreldi.
0105100072	Yared tughulghandin kéyin Mahalalél sekkiz yüz ottuz yil ömür körüp, uningdin [yene] oghul-qizlar töreldi.
0105110049	Mahalalél jemiy sekkiz yüz toqsan besh yil kün körüp, alemdin ötti.
0105120043	Yared bir yüz atmish ikki yashqa kirgende uningdin Hanox töreldi.
0105130065	Hanox tughulghandin kéyin Yared sekkiz yüz yil ömür körüp, uningdin yene oghul-qizlar töreldi.
0105140044	Yared jemiy toqquz yüz atmish ikki yil kün körüp, alemdin ötti.
010515003f	Hanox atmish besh yashqa kirgende uningdin Metushelah töreldi.
0105160072	Metushelah tughulghandin kéyin Hanox üch yüz yilghiche Xuda bilen bir yolda méngip, yene oghul-qizlarni tapti.
0105170050	Hanoxning [yer yüzide] barliq körgen künliri üch yüz atmish besh yil boldi;
010518007b	U Xuda bilen bir yolda méngip yashaytti; u [tuyuqsiz közdin] ghayib boldi; chünki Xuda uni Öz yénigha élip ketkenidi.
0105190049	Metushelah bir yüz seksen yette yashqa kirgende uningdin Lemex töreldi.
01051a0070	Lemex tughulghandin kéyin Metushelah yette yüz seksen ikki yil ömür körüp, uningdin oghul-qizlar töreldi.
01051b004b	Metushelah jemiy toqquz yüz atmish toqquz yil kün körüp, alemdin ötti.
01051c00eb	Lemex bir yüz seksen ikki yashqa kirgende bir oghul tépip, uning ismini Nuh atap: — Perwerdigar tupraqqa lenet qildi; shunga biz [yerge] ishliginimizde hemde qollirimizning japaliq emgikide bu bala bizge teselli béridu, — dédi.
01051e006d	Nuh tughulghandin kéyin Lemex besh yüz toqsan besh yil ömür körüp, uningdin yene oghul-qizlar töreldi.
01051f0045	Lemex jemiy yette yüz yetmish yette yil kün körüp, alemdin ötti.
010520004c	Nuh besh yüz yashqa kirgendin kéyin, uningdin Shem, Ham we Yafet töreldi.
010601006b	We shundaq boldiki, insanlar yer yüzide köpiyishke bashlighanda, shundaqla qizlarmu köplep tughulghanda,
010602007b	Xudaning oghulliri insanlarning qizlirining chirayliqliqini körüp, xalighanche tallap, özlirige xotun qilishqa bashlidi.
01060300ce	U waqitta Perwerdigar söz qilip: — — Méning Rohim insanlar bilen menggü küresh qiliwermeydu; chünki insan ettur, xalas. Kelgüside ularning ömri peqet bir yüz yigirme yashtin ashmisun! — dédi.
01060400ed	Shu künlerde (we shundaqla kéyinki künlerdimu), Xudaning oghulliri insanlarning qizlirining yénigha bérip, ulardin balilarni tapqinida, gigantlar yer yüzide peyda boldi. Bular bolsa qedimki zamanlardiki dangliq palwan-baturlar idi.
010605009b	Perwerdigar insanning ötküzüwatqan rezilliki yer yüzide köpiyip ketkenlikini, ularning könglidiki niyetlirining herqachan yaman boluwatqinini kördi.
0106060066	Shuning bilen Perwerdigar yer yüzide ademni apiride qilghinigha pushayman qilip, könglide azablandi.
01060700fd	Buning bilen Perwerdigar: — Özüm yaratqan insanni yer yüzidin yoqitimen — insandin tartip mal-charwilarghiche, ömiligüchi haywanlardin asmandiki qushlarghiche, hemmisini yoq qilimen; chünki Men ularni yaratqinimgha pushaymen qildim, — dédi.
010608003c	Lékin Nuh bolsa Perwerdigarning neziride shepqet tapqanidi.
010609008f	Nuh we uning ish-izliri töwendikiche: — Nuh heqqaniy, öz dewridikiler arisida eyibsiz adem idi; Nuh Xuda bilen bir yolda méngip yashaytti.
01060a0033	Nuhtin Shem, Ham, Yafet dégen üch oghul töreldi.
01060b0053	Pütkül jahan Xudaning aldida rezilliship, hemme yer zorawanliqqa tolup ketkenidi.
01060c0085	Xuda yer yüzige nezer séliwidi, mana, jahan rezilleshkenidi; chünki barliq et igilirining yer yüzide qiliwatqini yuzuqchiliq idi.
01060d00cf	Shuning bilen Xuda Nuhqa: — Mana, aldimgha barliq et igilirining zawalliqi yétip keldi; chünki pütkül yer-jahanni ularning sewebidin zorawanliq qaplidi. Mana, Men ularni yer bilen qoshup halak qilimen.
01060e0080	Emdi sen özüngge gofer yaghichidin bir kéme yasap, kémining ichide bölme-xanilarni qilip, ichi-téshini qarimay bilen suwa.
01060f0067	Sen uni shundaq yasighin: — Uzunluqi üch yüz gez, kengliki ellik gez we égizliki ottuz gez bolsun.
01061000b1	Kémining péshaywini astigha bir ochuqchiliq yasa, uning égizliki bir gez bolsun; ishikini kémining yénigha orunlashtur; kémini asti, ottura we üsti qilip üch qewet yasa.
01061100ca	Chünki mana, Men Özüm asmanning astidiki hayatliq tiniqi barliki herbir et igisini halak qilidighan su topanni yer yüzige keltürimen; buning bilen yer yüzidiki barliq mexluqlar tiniqidin toxtaydu.
0106120078	Lékin sen bilen ehdemni tüzimen. Sen özüng, oghulliring, ayaling we kélinliringni élip birlikte kémige kiringlar.
010613009a	Özüng bilen teng tirik saqlap qélish üchün, barliq jandarlardin herqaysisidin bir jüp, yeni erkikidin birini, chishidin birini kémige élip kirgin;
01061400b0	Tirik qélish üchün qushlarning herbir türliridin, mal-charwilarning herbir türliridin we yerde ömiligüchi janiwarlarning herbir türliridin bir jüpi qéshinggha kiridu.
0106150063	Özüng we ularning ozuqluqi üchün herxil yémekliklerdin élip, yéninggha ghemligin, — dédi.
0106160046	Nuh shundaq qildi; Xuda özige buyrughan hemme ishni u beja keltürdi.
010701008c	Perwerdigar Nuhqa mundaq dédi: — «Sen pütün öydikiliring bilen kémige kirgin; chünki bu dewrde aldimda séni heqqaniy dep kördüm.
010702011a	Hemme halal haywanlarning erkek-chishisidin yette jüptin, haram haywanlarning erkek-chishisidin bir jüptin élip, shuningdek asmandiki uchar-qanatlarningmu erkek-chishisidin yette jüptin élip, ularning neslini pütkül yer yüzide tirik saqlash üchün özüng bilen bille ekir.
0107040094	Chünki yette kündin kéyin uda qiriq kéche-kündüz yer yüzige yamghur yaghdurimen; Özüm yasighan hemme janiwarlarni yer yüzidin yoqitimen».
010705004b	Shuning bilen Nuh Perwerdigar uninggha buyrughinining hemmisige emel qildi.
0107060034	Yer yüzini topan basqanda Nuh alte yüz yashta idi.
0107070060	Topandin [qutulup qélish] üchün Nuh bilen oghulliri, ayali we kélinliri bille kémige kirdi.
01070800d7	Halal haywanlar bolsun, haram haywanlar bolsun, qushlar bilen yerde ömiligüchi janiwarlar bolsun, [herbir türdin] bir jüp-bir jüptin erkek-chishi bolup, Xuda Nuhqa buyrughandek kémige, Nuhning qéshigha kirdi.
01070a004f	We shundaq boldiki, yette kündin kéyin, yer yüzini topan bésishqa bashlidi.
01070b00b1	Nuhning ömrining alte yüzinchi yili, ikkinchi éyining on yettinchi künide chongqur déngizlarning tegliridiki barliq bulaqlar yérilip, asmanning penjiriliri échilip ketti.
01070c003e	Yamghur uda qiriq kéche-kündüz yer yüzige toxtimay yaghdi.
01070d0081	Del yamghur bashlan’ghan küni, Nuh, Nuhning Shem, Ham, Yafet dégen oghulliri, Nuhning ayali bilen üch kélini kémige kirdi.
01070e00f7	Ular bilen bille herxil yawa haywanlar tür-türi boyiche, herxil mal-charwilar tür-türi boyiche, yerde ömiligüchi herxil janiwarlar tür-türi boyiche we herxil uchar-qanatlar, yeni herxil qanatliq janiwarlar tür-türi boyiche kémige kirdi.
01070f0081	Et igiliridin, yeni barliq hayatliq tiniqi bolghan herxil jandarlardin, bir jüp-bir jüp bolup, kémige nuhning qéshigha kirdi.
010710007b	Kirgenler Xudaning Nuhqa buyrughinidek et igilirining hertürining erkek-chishisi idi. Andin Perwerdigar ishikni étiwetti.
010711006d	Topan yer yüzini uda qiriq kün bésip, sular ulghiyip ketti. Kéme yer üstidin kötürülüp leylep qaldi.
0107120054	Su ulghiyip, yer üstide téximu égizlep ketti; kéme su üstide dawalghup turatti.
0107130065	Sular yer yüzide tolimu ulghiyip, pütkül asmanning astidiki barliq égiz taghlarnimu bésip ketti.
010714004e	Sular [taghlardin] yene on besh gez örlep, tagh choqqilirimu su astida qaldi.
01071500b4	Buning bilen yer yüzide yürgüchi hemme et igiliri, uchar-qushlar, mal-charwilar, yawayi haywanlar, yerde ömiligüchi hemme janiwarlar, jümlidin pütkül ademler hemmisi öldi;
0107160051	quruqluqta yashighuchi, burnida hayatliq tiniqi bar bolghanlarning hemmisi öldi.
01071700f3	Yer yüzidiki jéni barlarning hemmisi, insan bolsun, mal-charwilar bolsun, ömiligüchi haywanlar bolsun, asmandiki qushlar bolsun, hemmisi halak bolup yer yüzidin yoq qilindi; peqet Nuh we kémide uning bilen bille turghanlar qutulup qaldi.
0107180038	Bir yüz ellik kün’giche yer yüzini su bésip turdi.
01080100ce	Xuda Nuhni, shundaqla kémide uning bilen bille bolghan barliq yawayi haywanlar bilen barliq mal-charwilarni eslidi. Shuning bilen Xuda bir shamal chiqirip yer yüzini yelpütti we sular yénishqa bashlidi.
0108020073	Chongqur déngizlarning tegliridiki bulaqlar we asmanning penjiriliri étilip, asmandin tökülgen yamghur toxtidi.
0108030059	Sular barghanséri yer yüzidin yandi; bir yüz ellik kün ötkendin kéyin xéli azlidi.
0108040063	Yettinchi ayning on yettinchi küni, kéme Ararat tagh tizmiliridiki birining üstide toxtap qaldi.
0108050071	Sular oninchi ayghiche barghanséri aziyip, oninchi ayning birinchi küni tagh choqqiliri körünüshke bashlidi.
010806003f	Qiriq kündin kéyin Nuh kémige özi ornatqan derizini échip,
0108070060	bir quzghunni sirtqa chiqardi. U yer yüzidiki sular tartilip bolghuche uyan-buyan uchup yürdi.
010808006f	Uningdin kéyin Nuh sularning yer yüzidin tartilghan-tartilmighanliqini bilish üchün, bir kepterni chiqardi.
