0100000008	1 Mojzes
01031100ec	Adamu pa je rekel: »Ker si prisluhnil glasu svoje žene in si jedel od drevesa, o katerem sem ti zapovedal, rekoč: ›Ne boš jedel od njega;‹ prekleta so tla zaradi tebe, v bridkosti boš jedel od le-teh vse dni svojega življenja.
0103120045	Tudi trnje in osat ti bodo obrodila; in poljsko zelišče boš jedel;
0103130084	v potu svojega obraza boš jedel kruh, dokler se ne vrneš v tla, kajti od tam si bil vzet, kajti prah si in v prah se boš vrnil.«
010314003f	Adam je svojo ženo imenoval Eva; ker je bila mati vseh živih.
010315004d	Adamu in njegovi ženi je Gospod Bog naredil plašča iz kož ter ju oblekel.
01031600be	Gospod Bog je rekel: »Glej, človek je postal kakor eden izmed nas, da pozna dobro in zlo. In sedaj, da ne iztegne svoje roke in vzame tudi od drevesa življenja ter jé in živi na veke,«
0103170056	ga je Gospod Bog zato odposlal iz edenskega vrta, da orje tla, iz katerih je bil vzet.
010318008b	Tako je izgnal človeka in na vzhodu edenskega vrta namestil kerube in ognjen meč, ki obrača vsako pot, da varuje pot drevesa življenja.
0104010070	Adam je spoznal svojo ženo Evo in ta je spočela ter rodila Kajna in rekla: »Dobila sem človeka od Gospoda.«
0104020062	In ponovno je rodila njegovega brata Abela. In Abel je bil čuvaj ovc, toda Kajn je bil orač tal.
010403004d	Tekom časa se je pripetilo, da je Kajn od sadu tal prinesel daritev Gospodu.
0104040085	In tudi Abel je prinesel prvence od svojega tropa in od njihove tolšče. In Gospod je imel spoštovanje do Abela in njegove daritve,
0104050077	toda do Kajna in njegove daritve [pa] ni imel spoštovanja. In Kajn je bil zelo ogorčen in njegovo obličje je upadlo.
010406004e	Gospod je rekel Kajnu: »Zakaj si ogorčen? In zakaj je tvoje obličje upadlo?
0104070094	Če delaš dobro ali ne boš sprejet? Če pa ne delaš dobro, greh leži pri vratih. Njegovo poželenje naj bo k tebi, ti pa boš vladal nad njim.«
010408008d	Kajn je govoril s svojim bratom Abelom, in ko sta bila na polju, se je pripetilo, da se je Kajn dvignil zoper svojega brata Abela in ga ubil.
0104090070	Gospod je rekel Kajnu: »Kje je tvoj brat, Abel?« On pa je rekel: »Ne vem. Sem mar jaz čuvaj svojega brata?«
01040a0047	Rekel je: »Kaj si storil? Glas krvi tvojega brata iz tal vpije k meni.
01040b005f	Sedaj si preklet z zemlje, ki je odprla svoja usta, da iz tvoje roke sprejme kri tvojega brata.
01040c005f	Ko boš oral tla, ti odslej ne bodo obrodila svoje moči; na zemlji boš ubežnik in potepuh.«
01040d0047	Kajn je Gospodu rekel: »Moja kazen je večja, kakor jo lahko prenesem.
01040e00b3	Glej, danes si me napodil izpred obličja zemlje, in skrit bom pred tvojim obličjem, in na zemlji bom ubežnik ter potepuh; in zgodilo se bo, da me bo ubil vsak, kdor me najde.«
01040f00ac	Gospod mu je rekel: »Zatorej kdorkoli ubije Kajna, bo nanj nadeto sedemkratno maščevanje.« In Gospod je na Kajna namestil znamenje, da kdorkoli ga najde, ga ne bi ubil.
0104100058	Kajn je odšel izpred Gospodove prisotnosti in prebival v deželi Nod, vzhodno od Edena.
0104110088	Kajn je spoznal svojo ženo in ta je spočela ter rodila Henoha. Ta je zgradil mesto in ime mesta imenoval Henoh, po imenu svojega sina.
010412007f	Henohu se je rodil Irád, in Irád je spočel Mehujaéla, in Mehujaél je spočel Metušaéla, in Metušaél je spočel Lameha.
0104130044	Lameh si je vzel dve ženi: ime prve je bilo Ada, ime druge pa Cila.
010414005c	Ada je rodila Jabála; ta je bil oče teh, ki prebivajo v šotorih in teh, ki imajo živino.
0104150059	Ime njegovega brata je bilo Jubál; bil je oče vseh teh, ki prijemajo harfo in piščal.
0104160081	Cila pa je rodila tudi Tubál Kajina, učitelja vsakega rokodelca z bronom in železom, in Tubál Kajinova sestra je bila Naáma.
01041700c3	Lameh je rekel svojima ženama, Adi in Cili: »Poslušajta moj glas, vidve, Lamehovi ženi, prisluhnita mojemu govoru, kajti umoril sem človeka, ki mi prizadeva rane in mladeniča, za mojo rano.
0104180050	Če bo Kajn sedemkrat maščevan, resnično, Lameh [pa] sedeminsedemdesetkrat.«
01041900b2	Adam je spet spoznal svojo ženo in rodila je sina in njegovo ime je imenovala Set. »Kajti Bog,« je rekla, »mi je določil drugega potomca namesto Abela, ki ga je ubil Kajn.«
01041a0076	In Setu, tudi njemu se je rodil sin, in njegovo ime je imenoval Enóš. Potem so ljudje začeli klicati Gospodovo ime.
0105010065	To je knjiga Adamovih rodov. Na dan, ko je Bog ustvaril človeka, ga je naredil po Božji podobnosti.
0105020070	Moškega in žensko ju je ustvaril in ju blagoslovil in njuno ime imenoval Adam, na dan, ko sta bila ustvarjena.
0105030072	Adam je živel sto trideset let in spočel sina po svoji lastni podobnosti, po svoji podobi in imenoval ga je Set.
010504005c	Adamovih dni, potem ko je spočel Seta, je bilo osemsto let, in spočel je sinove in hčere.
0105050047	Vseh dni, ko je Adam živel, je bilo devetsto trideset let, in je umrl.
010506002e	Set je živel sto pet let ter spočel Enóša.
010507005a	Potem ko je Set spočel Enóša, je živel osemsto sedem let ter spočel sinove in hčere,
010508003e	in vseh Setovih dni je bilo devetsto dvanajst let, in je umrl.
0105090033	Enóš je živel devetdeset let in spočel Kenána,
01050a0064	in potem, ko je Enóš spočel Kenána, je živel osemsto petnajst let ter spočel sinove in hčere.
01050b0039	Vseh Enóševih dni je bilo devetsto pet let, in je umrl.
01050c0038	Kenán je živel sedemdeset let ter spočel Mahalaléla.
01050d0067	Potem ko je Kenán spočel Mahalaléla, je živel osemsto štirideset let ter spočel sinove in hčere.
01050e003b	Vseh Kenánovih dni je bilo devetsto deset let, in je umrl.
01050f003c	Mahalalél je živel petinšestdeset let ter spočel Jereda.
0105100063	Potem ko je Mahalalél spočel Jereda, je živel osemsto trideset let ter spočel sinove in hčere.
0105110048	Vseh Mahalalélovih dni je bilo osemsto petindevetdeset let, in je umrl.
010512003b	Jered je živel sto dvainšestdeset let ter spočel Henoha.
0105130055	Potem ko je Jered spočel Henoha, je živel osemsto let ter spočel sinove in hčere.
0105140044	Vseh Jeredovih dni je bilo devetsto dvainšestdeset let, in je umrl.
010515003b	Henoh je živel petinšestdeset let ter spočel Matuzalema.
010516005f	Potem ko je Henoh spočel Matuzalema, je tristo let hodil z Bogom ter spočel sinove in hčere.
0105170036	Vseh Henohovih dni je bilo tristo petinšestdeset let.
010518003b	Henoh je hodil z Bogom in ni ga bilo, kajti Bog ga je vzel.
010519003f	Matuzalem je živel sto sedeminosemdeset let in spočel Lameha.
01051a0069	Potem ko je Matuzalem spočel Lameha, je živel sedemsto dvainosemdeset let ter spočel sinove in hčere.
01051b004a	Vseh Matuzalemovih dni je bilo devetsto devetinšestdeset let, in je umrl.
01051c0038	Lameh je živel sto dvainosemdeset let ter spočel sina.
01051d0091	Njegovo ime je imenoval Noe, rekoč: »Ta isti nas bo tolažil, glede našega dela in garanja naših rok, zaradi tal, ki jih je Gospod preklel.«
01051e0063	Potem ko je Lameh spočel Noeta, je živel petsto petindevetdeset let ter spočel sinove in hčere.
01051f0046	Vseh Lamehovih dni je bilo sedemsto sedeminsedemdeset let, in je umrl.
0105200043	Noe je bil star petsto let in Noe je spočel Sema, Hama ter Jafeta.
0106010062	Pripetilo se je, ko so se na obličju zemlje ljudje začeli množiti in so se jim rojevale hčere,
0106020079	da so Božji sinovi videli človeške hčere, da so bile lepe in so si jih jemali za žene od vseh, ki so si jih izbrali.
0106030085	Gospod je rekel: »Moj duh se ne bo vedno prepiral s človekom, kajti on je prav tako meso, vendar bo njegovih dni sto dvajset let.«
01060400e1	Takrat, v tistih dneh, so bili na zemlji velikani; in tudi potem, ko so Božji sinovi vstopali noter v človeške hčere in so jim te rodile otroke, so ti isti postali mogočni možje, ki so bili iz davnine, možje z ugledom.
0106050085	Bog pa je videl, da je bila človekova zlobnost na zemlji velika in da je bila vsaka miselna zamisel njegovega srca nenehno samo zla.
0106060063	To je pokesalo Gospoda, da je na zemlji naredil človeka in to ga je užalostilo pri njegovem srcu.
01060700c4	Gospod je rekel: »Uničil bom človeka, ki sem ga ustvaril, izpred obličja zemlje,« tako človeka kakor žival in plazečo stvar ter perjád neba, kajti to me je pokesalo, da sem jih naredil.«
010608002d	Toda Noe je našel milost v Gospodovih očeh.
0106090066	To so Noetovi rodovi. Noe je bil pravičen človek in popoln v svojih rodovih in Noe je hodil z Bogom.
01060a0030	Noe je spočel tri sinove: Sema, Hama in Jafeta.
01060b0051	Tudi zemlja je bila izprijena pred Bogom in zemlja je bila napolnjena z nasiljem.
01060c0066	Bog je pogledal na zemljo in glej, bila je izprijena, kajti vse meso na zemlji je izpridilo svojo pot.
01060d0093	Bog je Noetu rekel: »Konec vsega mesa je prišel predme, kajti zemlja je po njih napolnjena z nasiljem, in glej, uničil jih bom, z zemljo [vred].
01060e0069	Naredi si ladjo iz gofrovega lesa. V ladji boš naredil prostore in jo zunaj in znotraj zasmolil s smolo.
01060f0096	In to je oblika, po kateri jo boš naredil: dolžina ladje naj bo tristo komolcev, njena širina petdeset komolcev in njena višina trideset komolcev.
01061000a1	Ladji boš naredil okno in komolec nad tem jo boš končal. Vrata ladje boš napravil na njeni strani; s spodnjim, drugim in tretjim nadstropjem jo boš naredil.
010611009e	Glej, jaz, celó jaz, privedem na zemljo poplavo vodá, da uničim vse meso, v katerem je dih življenja izpod neba in vsaka stvar, ki je na zemlji, bo umrla.
0106120083	Toda s teboj bom vzpostavil svojo zavezo, in prišel boš v ladjo, ti in tvoji sinovi in tvoja žena in žene tvojih sinov s teboj.
0106130097	Od vsake žive stvari, od vsega mesa, boš s seboj v ladjo privedel [po] dva od vsake vrste, da ju s teboj obvaruješ žive; naj bosta samec in samica.
01061400b5	Od perjádi po njihovi vrsti in od živine po njihovi vrsti, od vsake zemeljske plazeče stvari po njeni vrsti, [po] dva od vsake vrste bosta prišla k tebi, da ju obvaruješ živa.
0106150060	K sebi vzemi od vse hrane, ki se jé in jo boš zbral k sebi, in ta bo za hrano zate in zanje.«
0106160047	Tako je storil Noe; glede na vse, kar mu je Bog ukazal, je storil tako.
0107010073	Gospod je rekel Noetu: »Pridi ti in vsa tvoja hiša v ladjo, kajti pred seboj sem te videl pravičnega v tem rodu.
010702008c	Od vsake čiste živali boš vzel k sebi po sedmero, samca in njegovo samico. Od živali, ki niso čiste, po dvoje, samca in njegovo samico.
0107030061	Tudi od perjádi neba po sedmero, samca in samico, da na obličju vse zemlje ohraniš seme živo.
01070400ac	Kajti še sedem dni in naredil bom, da na zemljo dežuje štirideset dni in štirideset noči; in vsako živo snov, ki sem jo naredil, bom uničil izpred obličja zemlje.«
0107050037	Noe je storil glede na vse, kar mu je Gospod zapovedal.
0107060041	Noe je bil star šeststo let, ko je bila na zemlji poplava vodá.
0107070070	Noe je zaradi poplavnih vodá vstopil v ladjo in njegovi sinovi in njegova žena in žene njegovih sinov z njim.
010708006a	Od čistih živali in od živali, ki niso čiste in od perjádi in od vsake stvari, ki se plazi na zemlji,
0107090059	so po dve in dve vstopile k Noetu v ladjo, samec in samica, kakor je Bog zapovedal Noetu.
01070a0046	Po sedmih dneh pa se je pripetilo, da so bile na zemlji poplavne vode.
01070b00a3	V šeststotem letu Noetovega življenja, v drugem mesecu, sedemnajsti dan meseca, istega dne so izbruhnili vsi studenci velike globine in okna neba so bila odprta.
01070c003e	In dež je bil na zemlji štirideset dni in štirideset noči.
01070d0083	Prav isti dan so vstopili v ladjo Noe ter Sem in Ham in Jafet, Noetovi sinovi in Noetova žena in z njimi tri žene njegovih sinov.
01070e00bc	Oni in vsaka žival po njeni vrsti in vsa živina po njeni vrsti in vsaka plazeča stvar, ki se plazi na zemlji, po njeni vrsti in vsaka perjád po njeni vrsti, vsaka ptica od vsake sorte.
01070f0058	Vstopile so k Noetu v ladjo, [po] dve in dve od vsega mesa, v katerem je dih življenja.
0107100076	Te, ki so vstopile, so vstopile samec in samica od vsega mesa, kakor mu je Bog zapovedal. Gospod pa ga je zaprl noter.
0107110071	Na zemlji je bila poplava štirideset dni. Vode so narasle in vzdignile ladjo in ta je bila dvignjena nad zemljo.
0107120052	Vode so prevladale in silno narasle na zemlji in ladja je plula na obličju vodá.
0107130066	Vode so silno prevladale na zemlji in vse visoke gore, ki so bile pod celotnim nebom, so bile pokrite.
0107140053	Vode so se dvignile [in] prevladale [za] petnajst komolcev in gore so bile pokrite.
010715009e	Umrlo je vse meso, ki se je gibalo na zemlji, tako od perjádi, od živine, od živali in od vsake plazeče stvari, ki se plazi na zemlji in vsakega človeka.
0107160064	Vse, v čigar nosnicah je bil dih življenja, od vsega, kar [jih] je bilo na kopni zemlji, je umrlo.
01071700d6	Uničena je bila vsaka živa snov, ki je bila na obličju tal, tako človek kakor živina, plazeče stvari in perjád neba; in bile so uničene z zemlje. Živ je ostal samo Noe in tisti, ki so bili z njim na ladji.
0107180030	Vode so prevladovale na zemlji sto petdeset dni.
01080100a0	Bog se je spomnil Noeta in vsake žive stvari in vse živine, ki je bila z njim v ladji in Bog je privedel veter, da je šel prek zemlje in vode so se znižale.
0108020054	Tudi studenci globin in okna neba so bili ustavljeni in dež z neba je bil zadržan.
010803005e	Vode so se nenehno vračale iznad zemlje in po koncu sto petdesetih dni so bile vode znižane.
010804004f	Ladja je obstala v sedmem mesecu, na sedemnajsti dan meseca, na gorah Araráta.
0108050070	In vode so nenehno upadale do desetega meseca. V desetem mesecu, na prvi dan meseca, so bili vidni vrhovi gorá.
0108060058	Ob koncu štiridesetih dni se je pripetilo, da je Noe odprl okno ladje, ki jo je naredil
010807005a	in odposlal krokarja, ki je letal sem ter tja, dokler se vode iznad zemlje niso posušile.
0108080057	Od sebe je odposlal tudi golobico, da vidi, če so se vode znižale iznad obličja tal,
01080900d4	toda golobica ni našla počitka za podnožje svojega stopala in se je vrnila k njemu v ladjo, kajti vode so bile na obličju celotne zemlje. Potem je iztegnil svojo roko in jo prijel ter potegnil k sebi v ladjo.
01080a0049	Okleval pa je še drugih sedem dni in golobico ponovno odposlal iz ladje.
01080b0098	Golobica je zvečer priletela k njemu, in glej, v njenem kljunu je bil odtrgan oljčni list. Tako je Noe spoznal, da so bile vode iznad zemlje znižane.
01080c005b	Okleval je še drugih sedem dni in odposlal golobico, ki se ni več ponovno vrnila k njemu.
01080d00c0	Pripetilo se je v šeststoprvem letu, v prvem mesecu, prvi dan meseca, [da] so se vode iznad zemlje posušile. Noe je odstranil pokrivalo ladje ter pogledal in glej, obličje tal je bilo suho.
01080e0044	V drugem mesecu, na sedemindvajseti dan meseca, je bila zemlja suha.
01080f0021	Bog je spregovoril Noetu, rekoč:
0108100051	»Pojdi iz ladje ti in tvoja žena in tvoji sinovi in žene tvojih sinov s teboj.
01081100ed	S seboj privedi vsako živo stvar, ki je s teboj od vsega mesa, tako od perjádi kakor od živine in od vsake plazeče stvari, ki se plazi na zemlji, da se bodo na zemlji lahko obilno plodili in bodo rodovitni in se množili na zemlji.«
0108120054	Noe se je izkrcal in njegovi sinovi in njegova žena in žene njegovih sinov z njim.
010813007d	Vsaka žival, vsaka plazeča stvar in vsaka perjád in karkoli se plazi na zemlji, po svojih vrstah, so se izkrcali iz ladje.
0108140080	Noe je zgradil oltar Gospodu in vzel od vsake čiste živali in od vsake čiste perjádi ter na oltarju daroval žgalne daritve.
01081500f5	Gospod je zavohal prijeten vonj in Gospod je v svojem srcu rekel: »Zaradi človeka tal ne bom več ponovno preklel, kajti zamisel človekovega srca je zla od njegove mladosti niti ne bom več ponovno udaril vsake žive stvari, kakor sem storil.
0108160075	Dokler ostaja zemlja, čas setve in žetve in mraz in vročina in poletje in zima in dan in noč ne bodo prenehali.«
0109010079	Bog je blagoslovil Noeta in njegove sinove ter jim rekel: »Bodite rodovitni in se množite ter na novo napolnite zemljo.
01090200b0	Strah pred vami in groza pred vami bo na vsaki zemeljski živali in na vsaki zračni perjádi, na vsem, kar se giba na zemlji in na vseh ribah morja; izročene so v vašo roko.
010903006c	Vsaka gibajoča stvar, ki živi, bo hrana za vas; celó kakor zelena zelišča, sem vam izročil vse stvari.
0109040044	Toda mesa z njegovim življenjem, ki je njegova kri, ne boste jedli.
01090500af	Zagotovo bom terjal vašo kri vaših življenj. Terjal jo bom iz roke vsake živali in iz človeške roke. Iz roke vsakega človekovega brata bom terjal človeško življenje.
0109060070	Kdorkoli prelije človeško kri, bo po človeku prelita njegova kri, kajti človeka je naredil po Božji podobi.
010907005a	Vi pa bodite rodovitni in se množite, na zemlji obilno obrodite in se množite na njej.«
010908003d	Bog je spregovoril Noetu ter z njim njegovim sinovom, rekoč:
010909004f	»Jaz, glejte, jaz vzpostavljam svojo zavezo z vami in z vašim semenom za vami
01090a00ae	in z vsakim živim ustvarjenim bitjem, ki je z vami, od perjádi, od živine in od vsake zemeljske živali z vami; od vsega, kar prihaja iz ladje, do vsake zemeljske živali.
01090b008c	In z vami bom vzpostavil svojo zavezo; niti vse meso ne bo več iztrebljeno s poplavnimi vodami niti ne bo več poplave, da uniči zemljo.«
01090c008d	Bog je rekel: »To je simbol zaveze, ki jo sklepam med seboj in vami in vsakim živim ustvarjenim bitjem, ki je z vami, za neprestane rodove.
01090d004d	Svojo mavrico postavim v oblak in ta bo za simbol zaveze med menoj in zemljo.
01090e004c	In zgodilo se bo, ko nad zemljo privedem oblak, da bo mavrica vidna v oblaku
01090f00a5	in spomnil se bom svoje zaveze, ki je med menoj in vami in vsakim živim ustvarjenim bitjem od vsega mesa in vode ne bodo več postale poplava, da uničijo vse meso.
01091000a3	In v oblaku bo mavrica in pogledal bom nanjo, da se bom lahko spomnil večne zaveze med Bogom in vsakim živim ustvarjenim bitjem od vsega mesa, ki je na zemlji.«
0109110067	Bog je rekel Noetu: »To je simbol zaveze, ki sem jo utrdil med seboj in vsem mesom, ki je na zemlji.«
0109120060	Noetovi sinovi, ki so se izkrcali iz ladje, so bili Sem, Ham in Jafet. Ham pa je Kánaanov oče.
0109130043	To so trije Noetovi sinovi, in od njih je bila prekrita vsa zemlja.
0109140035	In Noe je začel biti poljedelec ter zasadil vinograd
010915003a	in pil od vina in se napil in bil je nag v svojem šotoru.
010916005e	Ham, Kánaanov oče, pa je videl nagoto svojega očeta in zunaj povedal svojima dvema bratoma.
01091700c5	Sem in Jafet sta vzela obleko in si jo položila na obe njuni rami in šla, obrnjena nazaj in pokrila nagoto njunega očeta. In njuna obraza sta bila obrnjena nazaj in nista videla očetove nagote.
