2800000005	Matej
28021200a8	“O glaso ano foro Rama šundilo, o rojipe thaj o kukipe baro. Gova i Rahilja rovol pe čhavoren, thaj našti te ačhol laći dukh, golese kaj naj la vadži čhave.”
2802130052	A palo meripe e Irodeso, avilo o anđelo e Gospodeso e Josifese ano Egipat ko suno
2802140090	thaj vaćarda lese: “Ušti, le e čhave thaj lese da, pa dža ani phuv i Izraelsko, golese so mule kola save manglje te mudaren e čhavore.”
280215004d	O Josif uštilo, lija e čhavore thaj lese da, pa avilo ani phuv i Izraelsko.
28021600bd	A kana o Josif šunda kaj o Arhelaj, o čhavo e Irodeso savo vladil ani Judeja umesto leso dad, darajlo te džal odori. Tegani ano suno upozorisada le o Dol, te džal ani phuv i Galilejsko.
28021700ac	Thaj kana avilo odori pe familijasa, ačhilo te bešol ano foro savo akhardola Nazaret. Gija pherdilo gova so e prorokura vaćarde: “Ka akharen e Hriste Nazarećanino.”
2803010055	A ane gola đivesa avilo o Jovane o Krstitelj thaj propovedila ani Judejsko pustinja.
280302004e	Thaj vaćarda: “Pokajin tumen, golese kaj sigate avol o Carstvo e neboso!”
28030300a2	Golese kaj si o Jovane gova kastar vaćarda o proroko Isaija: “Vov si glaso so dol vika ani pustinja: ‘Pripremin o drom e Gospodese! Ravnin lese o drom!’”
280304007e	A po Jovane sesa šeja khuvde tare kamilaće bala thaj kuštik tari morčhi, a leso xape sasa e skakavcura thaj divljo avđin.
2803050072	But manuša avena ke leste taro Jerusalim thaj tari sa i phuv i Judeja thaj tare trujale thana paši len o Jordan,
280306003f	vaćarena pe grehura, a o Jovane krstila len ani Jordansko len.
28030700bd	Al kana dikhlja o Jovane bute farisejen thaj e sadukejen kaj avena te krstin pe vaćarda lenđe: “Tumen e sapese čhave! Ko vaćarda tumenđe kaj šaj te našen tare Devlesi holi so avol?
2803080060	Sikaven tumare džuvdimasa thaj tumare bućencar kaj irisaljen taro greh thaj aviljen anglo Dol!
2803090098	Ma mislin kaj dovoljno te phenen: ‘Amaro paradad si o Avraam!’ Golese vaćarav tumenđe kaj o Dol šaj tare kala bara te vazdol čhaven e Avraamese.
28030a00a2	Golese kaj o tover tare Devleso sudo ačhol pašo koreno e kašteso thaj dži jekh kaš savo ni bijanol šukar bijandipe ka čhinol pe thaj ani jag ka čhudol pe.
28030b00d8	Me tumen krstiv pajesa te bi sikavena tumaro pokajanje. Al kova savo avol pale mande, po baro si mandar – me naj sem dostojno ni lese sandale ke pingre te inđarav. Vov ka krstil tumen e Svetone Duxosa thaj jagasa.
28030c0093	Le isi vila ane vasta thaj ka čistil o gumno i ka ćidol o điv ane piro ambari, a i pleva ka phabarol jagasa savi ka phabol thaj ni ka ačhol.”
28030d004c	Tegani o Isus tari Galileja avilo ki len o Jordan te bi krstila le o Jovane.
28030e0059	O Jovane ni manglja thaj vaćarda lese: “Tu trubul man te krsti, a tu aviljan mande?”
28030f007f	A o Isus vaćarda lese: “Ačhav akana gova, golese kaj gija trubul te phera sa o pravednost.” Tegani o Jovane krstisada le.
280310009a	Thaj kana o Isus krstisajlo, iklilo sigate andaro paj, thaj dikh, o nebo putajlo thaj dikhlja sar e Devleso Duxo uljol sar golubo thaj mukhljape pe leste.
2803110066	Thaj dikh, o glaso taro nebo vaćarda: “Kava si mo Čhavo o manglo, savo si palo mingro manglipe!”
2804010049	Tegani o Sveto Duxo inđarda e Isuse ani pustinja, te iskušil le o beng.
2804020046	Thaj postisada o Isus saranda đive thaj raća thaj ko krajo bokhajlo.
2804030083	Thaj avilo paše leste o beng savo iskušil thaj vaćarda lese: “Te san e Devleso Čhavo, vaćar kale barenđe te aven mangre.”
28040400a1	A o Isus phenda lese: “Ano Sveto lil si pisimo: ‘O manuš ni ka avol džuvdo samo taro mangro, nego tare dži jekh lafi savo ikljol taro muj e Devleso.’”
280405005e	Tegani o beng inđarda le ano sveto foro o Jerusalim thaj čhuta le ko emupruno than e Hrameso
28040600ca	pa vaćarda lese: “Te san e Devleso Čhavo, čhude tut katar tele, golese kaj si pisimo: ‘E anđelurenđe ka naredil baše tute, thaj ka len tut ke vasta te ma čalave tut ko bar će pingresa.’”
280407005f	O Isus vaćarda lese: “Ano Sveto lil si pisimo: ‘Ma iskuši e Gospode, e Devle ćire!’”
2804080075	Pale gova o beng inđarda le upre ko but učo brego thaj sikada lese sa e carstvura tare kava sveto thaj lenđi slava
2804090057	thaj vaćarda lese: “Sa ka dav tut kava ako pere ke koča thaj pokloni tut manđe.”
28040a00a2	Tegani vaćarda lese o Isus: “Dža mandar, Satano! Golese kaj ano Sveto lil ačhol: ‘Pokloni tut e Gospodese e Devlese ćirese thaj lese jekhese služi.’”
28040b004d	Tegani o beng ačhada e Isuse, a sigate e anđelura avile thaj služisade le.
28040c0051	Kana šunda o Isus kaj si o Jovane o Krstitelj ano phanglipe, đelo ani Galileja.
28040d007a	Thaj ačhada o Nazaret pa đelo thaj bešlo ano Kafarnaum, pašo Galilejsko jezero ke Zavuloneso thaj e Neftalimeso krajo,
28040e0033	te bi pherdola kova so vaćarda o proroko o Isaija:
28040f00a1	“Ani phuv e Zavulonesi thaj ani phuv e Neftalimesi, o drom savo inđarol pašo more, tari aver rig e Jordanesi, ani Galileja ani phuv savi si e abandžijenđi,
280410007c	manuša save bešen ano kalipe ka dičhen svetlost baro, e manuša save bešen ano mrako, o svetlost pe lende ka sijajil.”
2804110078	Tare gova vreme o Isus lija te propovedil thaj te vaćarol: “Pokajin tumen, golese kaj si paše o Carstvo e neboso.”
28041200b6	Thaj dži kaj o Isus phirda pašo Galilejsko more, dikhlja duje phralen, e Simone kas akharen Petar thaj e Andrija lese phrale, sar čhuden e mreže ano more, golese kaj sesa ribara.
2804130052	Thaj vaćarda lenđe: “Aven mancar thaj ka ćerav tumen ribara e manušenđe.”
2804140032	Von sigate ačhade e mreže thaj đele pale leste.
28041500b8	Gothar kana đelo po dur zala, dikhlja avere dujen phralen, e Jakove thaj e Jovane e Zevedejevese čhaven, sar pe dadesa e Zevedejesa ano čamco prećeren pe mreže thaj dija len vika.
280416003e	Von sigate ačhade o čamco thaj pe dade thaj đele palo Isus.
28041700b6	O Isus phirda ani sa i Galileja, sikada ane jevrejska sinagoge thaj vaćarda o Lačho Lafi taro Carstvo e neboso thaj sastarda dži jekh nasvalipe thaj bilačhipe so sasa ano narodo.
28041800eb	Thaj sa gova so ćerola šundilo ani sa i Sirija thaj angle leste ande e nasvalen tare dži jekh nasvalipe thaj muke, e manušen ane save sesa e bilačhe duxura, kolen so sasa paraliza, kola so naštine te phiren thaj vov sastarda len.
2804190088	Pale leste phirena but džene tari Galileja, taro Dekapolis, taro Jerusalim, tari Judeja thaj tari phuv savi si ki aver rig e Jordanesi.
280501006b	Kana o Isus dikhlja kaj ćidije pe but manuša, iklilo ko brego, bešlo thaj avile lese sikade paše leste.
2805020027	A vov lija te sikavol len, vaćarindoj:
2805030057	“Blagoslovime si kola save si čorore duxosa, golese kaj si lengo o Carstvo e neboso.
280504003a	Blagoslovime si kola save roven, golese kaj ka utešin pe.
2805050043	Blagoslovime si e kovle ilenđe, golese kaj von ka nasledin i phuv.
2805060056	Blagoslovime si e bokhale thaj e trošale bašo pravednost, golese kaj von ka čaljon.
2805070044	Blagoslovime si e milostiva, golese kaj o Dol ka smiluilpe pe lende.
280508004d	Blagoslovime si kola save si čistone ilencar, golese kaj e Devle ka dičhen.
280509004e	Blagoslovime si kola save ćeren mir, golese kaj ka akhardon e Devlese čhave.
28050a005e	Blagoslovime si kola save si tradime pašo pravednost, golese kaj lengo si o Carstvo e neboso.
28050b0075	Blagoslovime sen kana zbog mande ka ladžaren tumen thaj traden tumen thaj xoxavne bilačhe buća čhuven pe tumende!
28050c0083	Radujin tumen thaj aven baxtale, golese kaj tumari plata si bari ko nebo, golese kaj gija e prorokuren tradije angleder tumende!”
28050d00c2	O Isus vadži vaćarda: “Tumen sen sar lon e manušenđe ki phuv, te nakhlo leso londipe, sose šaj te koristil pe? Naj khančese, samo te čhudol pe thaj avral te uštaven e manuša pe leste.
28050e004b	Tumen sen o svetlo kale svetoso. Našti garavol pe o foro savo si ko brego.
28050f007c	Ni phabaren i svetiljka te bi čhuvena la talo čaro, nego čhuvol la ko than e svetiljkako te svetlil savorenđe ano čher.
280510007d	Gija te svetlil tumaro svetlost angle manuša, te dičhen tumare šukar buća thaj te slavin tumare Dade savo si ano nebo.”
28051100b2	O Isus vadži vaćarda: “Ma te den gođi kaj me aviljem te čhinavav e Mojsijaso zakon thaj o vaćaripe e prorokurengo. Na, ni aviljem te čhinavav, nego aviljem te pherav len.
28051200a2	Golese čače vaćarav tumenđe dži kaj ačhen o nebo thaj i phuv, ni ka načhol ni emcikno slovo il nesavi crtica tare Mojsijaso zakon dži kaj sa ni avol gija.
28051300b2	Golese, te phaglja khoni jekh tare emcikne zapovestura i gija sikavol, emcikno ka avol ano Carstvo e neboso. A ko sikavol len thaj ćerol gija, ka avol baro ano Carstvo e neboso.
28051400a1	Golese, vaćarav tumenđe: ako tumaro pravednost ni avol pobaro tare učiteljengo tare Mojsijaso zakon thaj tare fariseja, našti te den ano Carstvo e neboso.”
280515007f	O Isus vadži vaćarda: “Šunden sar si vaćardo amare puranenđe: ‘Ma mudar’, golese ko mudarol, mora te ikljol ko sudo.
28051600ea	A me vaćarav tumenđe: Ko holjavol pe piro phral, mora te ikljol ko sudo. A savo vaćarol pe phralese ‘Budalo’, mora te ikljol anglo Baro sudo, a savo vaćarol pe phralese ‘Dileja’, zaslužil te phabol ani jag savi ni ačhol.
280517007d	Gija, kana ačhe anglo žrtveniko ano Hram te ane žrtva thaj tari jekh drom dijan tut gođi kaj si nesavo phral protiv tute,
2805180075	ačhav gothe e žrtva anglo žrtveniko thaj angleder pomiri tut ćire phralesa, tegani av thaj de e žrtva e Devlese.
280519009e	Dikh sigate te miri tut ćire dušmanesa dok phire lesa po drom, te ma dol tut e sudijase, a o sudija te dol tut e slugase, savo ka čhudol tut ano phanglipe.
28051a0051	Čače vaćarav tuće: ni ka iklje gothar dok ni poćine dži i zadnjo parava.”
28051b004d	O Isus vadži vaćarda: “Šunden sar si vaćardo: ‘Ma ćeren preljuba!’
28051c006c	Al me vaćarav tumenđe ko dičhol ani aver džuvli te bi sovola lasa, već ćerda preljuba ano po ilo lasa.
28051d00ab	Ako inđarol tut ano greh ćiri desno jakh, ikal la thaj čhude la tutar. Po lačhe te hasare jekh kotor tutar, nego sa ćiro telo te avol čhudimo ani jag savi ni ačhol.
28051e00a5	Ako inđarol tut ćiro desno va ano greh, čhin le thaj čhude le tutar. Po lačhe te hasare jekh kotor tutar, nego sa ćiro telo te džal ani jag savi ni ačhol.”
28051f0069	O Isus vadži vaćarda: “Gija šunden: ‘Ako neko mučhol pe romnja, nek dol la lil kaj ačhada la.’
280520009a	Al me vaćarav tumenđe: sa ko mučhol pe romnja – sem te voj ćerda blud – čhuvol la te ćerol blud. Thaj savo lol ačhade džuvlja, ćerol blud.”
2805210087	O Isus vaćarda: “Vadži šunden sar si vaćardo amare puranenđe: ‘Ma phag i sovli thaj ćer okova so e Gospodese xaljan sovli.’
2805220066	Al me vaćarav tumenđe: Ma xan sovli nisar! Ma xan sovli ni e nebosa, golese kaj si presto e Devleso,
2805230076	ni phuvasa, golese kaj si tale pingre lese, ni e Jerusalimesa, golese kaj gova foro preperol e Devlese, e bare carose.
2805240050	Ni ćire šoresa ma xa sovli, golese kaj ni jekh bal našti ćere parno il kalo.
2805250088	Gija, tumaro ‘Va’ čače te avol ‘Va’, tumaro ‘Na’ čače te avol ‘Na’. Thaj so si pobut taro kava, taro bilačho si.”
2805260056	O Isus vadži vaćarda: “Šunden sar si vaćardo: ‘Jakh jakhaće, dand dandese!’
2805270078	Al me vaćarav tumenđe: Ma brani tut taro bilačho manuš. Ako ko čalavol tut tari desno čham, iri lese i aver čham.
280528005b	Thaj ko manđol te sudil pe tusa thaj manđol te lol ćiro fostano, de le i ćiro ogrtači.
280529005f	Thaj ako čhuven tut e rimska vojnikura te inđare lenđi oprema jekh kilometro, inđar la duj.
28052a004a	Ko rodol tutar, de le thaj ma iri ćiro dumo taro okova so rodol tutar.”
28052b006a	O Isus vadži vaćarda: “Šunden sar si vaćardo: ‘Mang ćire pašutne’ thaj ma mang ćire dušmane!
28052c0064	Al me vaćarav tumenđe: manđen tumare dušmanuren thaj molin tumen paše kola save tumen progonin!
28052d00c3	Ako ćeren kava ka aven sar prava čhave tumare Dadese savo si ko nebo, golese kaj pe khamesa tatarol e bilačhen thaj e šukaren thaj bičhalol bršnd kolenđe save si čačutne thaj nepravedna.
28052e0064	Thaj ako manđen samo kolen save tumen manđen, savi plata isi tumen? Ni li ćeren gova e carincura?
28052f0079	Thaj ako pozdravin samo tumare phralen, so ćere po šukar averendar? Ni li ćeren gova e manuša save ni pačan e Devle?
280530004a	Thaj tumen aven gija savršena, sar so si tumaro Dad ko nebo savršeno.”
28060100cf	O Isus vadži vaćarda: “Pazin te ma ćeren tumare buća taro pravednost angle manuša von te dičhen tumen thaj te divin pe tumenđe. Te ćerden kava, ni ka avol tumen plata ke tumaro Dad savo si ko nebo.
28060200d2	Golese kana de e čororenđe, ma galami angle tute, sar so ćeren e dujemujenđe ani sinagoga thaj pe droma te bi hvalina len e manuša. Čače vaćarav tumenđe, aver nagrada ni ka dobin sem goja tare manuša.
2806030048	Thaj kana de e čororenđe, te ni džanol ćo levo va so ćerol o desno.
280604006a	Gija te de garandoj e čororen thaj ćo Dad te dičhol kaj gova ćere čorale, a vov ka poćinol tuće.”
28060500ff	O Isus vadži vaćarda: “Thaj kana molin tumen, ma te aven sar kola dujemujenđe, save but manđen ke sinagoge thaj ke anglune droma ačhen thaj molin pe te dičhen len e manuša. Čače vaćarav tumenđe, aver nagrada ni ka dobin sem goja tare manuša.
28060600b5	A tu, kana moli tut, dža ani ći soba kaj ka ave korkoro, phande ćo vudar thaj moli tut će Devlese savo si ano garajipe thaj ćo Dad savo dičhol ano garajipe, ka poćinol tuće.
2806070091	Thaj kana molin tumen, ma vaćaren but lafura sar kola save ni džanen e Devlese, golese so von den gođi kaj ka aven uslišime paše but lafura.
280608005e	Ma aven sar von, golese kaj tumaro Dad džanol so trubul tumenđe i angleder nego so molin le.
280609004d	Gija molin tumen: ‘Dade amareja, savo san ano nebo, nek svetil pe ćo alav.
28060a0046	Te avol ćiro Carstvo. Te avol ćiri volja, sar ko nebo, gija ki phuv.
28060b0027	Mangro savo trubul amen, de amen ađive
28060c0052	thaj oprosti amare grehura, sar amen so oprosti kolenđe so grešin premal amende.
28060d008e	Thaj crde amen taro iskušenje, al ikal amen taro bilačhipe. [Golese kaj si ćiro Carstvo, thaj zor, thaj i slava ane sa e đivesa. Amin.]’
28060e006d	Golese ako oprostin e manušenđe save grešin premal tumende, i o Dad tumaro o nebesko ka oprostil tumenđe.
28060f0064	Al ako ni oprostin e manušenđe lenđe grehura, ni o Dad tumaro e grehura tumare ni ka oprostil.”
28061000f3	O Isus vadži vaćarda: “Thaj kana postin, ma aven sar e dujemujenđe so ćeren pe žalosna, golese so von ćeren žalosna muja te dičhen len e manuša kaj postin. Čače vaćarav tumenđe kaj aver nagrada ni ka dobin sem goja tare manuša.
280611003a	Al tu kana posti, makh ćo šoro uljesa thaj thov ćo muj,
280612008b	te ni dičhen e manuša kaj posti, nego samo ćiro Dad, savo si ano garajipe. Thaj ćo Dad savo dičhol ano garajipe, ka poćinol tuće.”
280613008e	O Isus vadži vaćarda: “Ma ćiden tumenđe barvalipe kate ki phuv, kaj o moljco thaj i rđa rumil thaj kaj e čora ka uljen thaj ka čoren.
280614006f	Ćiden tumenđe barvalipe ko nebo, kaj ni o moljco ni i rđa ni rumil thaj kaj e čora ni uljen thaj ni čoren.
2806150037	Golese, kaj si ćo barvalipe, gothe ka avol ćo ilo.”
2806160069	“I jakh si sar i svetiljka e telose. Ako si gija ćiri jakh sasti, sa ćo telo ka avol pherdo svetlosa.
2806170094	Te si ći jakh bilačhi, sa ćo telo ka avol ano kalipe. Gijate, ako si o svetlost ane tute kalipe, tegani o kalipe ka avol but po baro ane tute!”
28061800c1	“Ni jekh našti služil tari jekh drom dujen gospodaren. Il jekhe ka mrzil, a e dujtone ka manđol, il jekhe ka šunol, a e dujtone ni ka podnosil. Našti služin e Devle thaj o barvalipe.”
28061900e0	O Isus vadži vaćarda: “Golese vaćarav tumenđe: Ma brinin tumen za tumaro džuvdipe, dal ka avol tumen so te xan il so te pijen, ni tumare telose so ka uraven! Naj li o džuvdipe po važno taro xape a o telo tare šeja?
28061a0095	Dičhen e čirikljen ko nebo! Ni sejin, ni ćiden thaj ni čhuven ane ambara thaj tumaro Dad ko nebo parvarol len. Naj li sen tumen po vredna lendar?
28061b0052	A šaj li neko tumendar golesa so brinil pe te baravol po džuvdipe za jekh đive?
28061c0075	Thaj sose brinin tumen šejenđe? Dičhen šukar e luluđa ko polje sar baron. Khanči ni ćeren thaj ni suven šeja.
28061d0061	A vaćarav tumenđe kaj ni o Solomon ani pi slava ni inđarda gija lačhe šeja sar kala luluđa.
28061e008c	A ako o Dol uravol e biljke ko polje, so ađive si gothe, a theara ani kubava čhuden pe, kobor tek tumen ka uravol? Sose gaći zala pačan?
28061f0056	Golese, ma vaćaren ki dar: ‘So ka xa?’ il ‘So ka pija?’ il ‘So ka urava?’
280620006a	Gija roden e manuša save ni džanen e Devlese, a tumaro Dad ano nebo džanol kaj sa kava trubul tumenđe.
2806210064	Golese angleder tare sa roden o Carstvo thaj o pravednost e Devleso thaj o Dol sa kava ka dol tumen.
2806220065	Ma brinin tumen e thearaće, i thearin nek brinil pe pese. Ađivesutni muka si dovoljno za ađive.”
2807010039	A o Isus vadži vaćarda: “Ma sudin, te ma aven sudime.
280702007f	Golese so o Dol ka sudil tumen sar so tumen sudin averen. Thaj save merasa ka merin averen, gasava merasa tumen ka meril o Dol.
280703004e	Sose dičhe i treska ane će phralesi jakh, a o kaš ani ćiri jakh ni dičhe?
2807040079	Thaj sar šaj vaćare će phralese: ‘Ačh te ikalav i treska tar ćiri jakh’, a dikh, ćiro kaš ani jakh si po baro.
280705007f	Dujemujengo! Ikal angleder ćiro kaš andari ćiri jakh, tegani po šukar ka dičhe te ikale će phralese i treska andari jakh.
2807060094	Ma den o svetipe e džuklenđe, golese so e džukle irindoj ka pharaven tumen ke kotora! Thaj ma čhuden e bisera angle bale, te ma uštaven len.”
2807070073	O Isus vadži vaćarda: “Manđen thaj ka dol pe tumenđe! Roden thaj ka aračhen! Maren thaj ka putavol tumenđe!
2807080062	Golese kaj savore save manđen, dol pe lenđe, save roden aračhen, save maren, putavol pe lenđe.
2807090039	Ko tumendar pe čhavese ka dol bar kana bi rodola mangro?
28070a0027	A te manglja mačhe dal ka dol le sape?
28070b009f	Kana tumen, bišukar manuša, džanen šukaripe te den tumare čhaven, kobor tumaro Dad savo si ko nebo ka dol šukaripe pobut kolenđe save manđen lestar.”
28070c00ab	“Gija, sa so manđen e manuša te ćeren tumenđe, tumen ćeren lenđe, golese kaj gova si o sikajipe tare sa e Mojsijaso zakon thaj e lila save pisisade e prorokura.”
28070d0090	O Isus vadži vaćarda: “Den ko tesno vudar! Golese kaj o bulo vudar thaj o bulo drom inđarol ano propast thaj but džene džan gole dromesa.
28070e0063	But si tesno o vudar thaj o drom savo inđarol ano džuvdipe thaj zala si gola save aračhen le!”
28070f00a2	O Isus vadži vaćarda: “Aračhen tumen tare xoxavne prorokura, save aven urade ane bakresi morčhi, al andral ane ile si divlja ruva save manđen te xan tumen.
280710006c	Palo lengo bijandipe ka pindžaren len. Dal tare kangre šaj ćide drakha il tare čičke šaj ćide smokve?
280711006a	Ke gasavo način e lačhe kašta bijanen lačho bijandipe, a e bilačhe kašta bijanen bilačho bijandipe.
2807120066	Našti e šukar kašta te bijanen bilačho bijandipe thaj bilačhe kašta te bijanen lačho bijandipe.
2807130057	Gija, sa e kašta save ni bijanen lačho bijandipe, čhinen pe thaj čhuden pe ani jag.
2807140042	Gijate palo lengo bijandipe ka pindžaren e xoxavne prorokuren.”
28071500ae	O Isus vadži vaćarda: “Ni ka dol dži jekh savo vaćarol ‘Gospode, Gospode’, ano Carstvo e neboso, nego ka den samo kola save šunen thaj ćeren o manglipe me Dadeso.
28071600a7	But ka vaćaren ane gova đive ko sudo: ‘Gospode, Gospode! Na li ane ćo alav prorokuisadam? Ćire alavesa e benđen ikaldam thaj ćire alavesa but čuda ćerdam?’
2807170072	I tegani me ka phenav lenđe: ‘Nikad ni džangljem tumen. Džan mandar tumen save phađen e Devleso zakon.’”
28071800a6	O Isus vadži vaćarda: “Golese, dži jekh savo šunol kala mingre lafura thaj ćerol len, vov si but džanglo, sar manuš savo ćerol po čher ko temelji taro bar.
280719008f	Golese kana perol o bršnd thaj aven e paja thaj phurden e balvalja thaj čalaven ane gova čher, vov ni perol, golese kaj si o temelji po bar.
28071a0074	A dži jekh savo šunol kala mingre lafura, a ni ćerol len, vov si sar dilo manuš, savo ćerol po čher pi pošik.
28071b0087	Golese kana perol o bršnd thaj aven e paja thaj phurden e balvalja thaj čalaven ane gova čher thaj o čher perol dži ko temelji.”
28071c0057	Kana završisada kava vaćaripe o Isus, but manuša čudisajle so šunde leso sikajipe,
28071d005b	golese kaj sikada sar kova savo isi le zuralipe, a na sar e učitelja tare Mojsijaso zakon.
280801003f	A kana o Isus ulilo taro brego, pale leste phirena but manuša.
2808020079	Tari jekh drom o gubavo manuš avilo thaj pelo ke pe koča thaj vaćarda: “Gospode! Ako manđe, šaj te sastare man!”
280803006b	O Isus vazdija po va, dolda le thaj phenda: “Mangav. Av thodo!” Thaj o manuš sigate thodilo tari guba.
28080400e0	Tegani vaćarda lese o Isus: “Dikh te ma vaćare khanikase, nego tu dža i sikav tut e sveštenikose. Inđar žrtva sar so zapovedisada o Mojsije ano zakon bašo ćiro thodipe, te bi avola tut svedočanstvo angle lende.”
