0100000007	Genesis
01020b0075	The name of the first is Pishon. It is the one which flows throughout the whole land of Havilah, where there is gold.
01020c004a	The gold of that land is good. There are also bdellium and the onyx stone.
01020d0058	The name of the second river is Gihon. This one flows throughout the whole land of Cush.
01020e0064	The name of the third river is Tigris, which flows east of Ashur. The fourth river is the Euphrates.
01020f005a	Yahweh God took the man and put him into the garden of Eden to work it and to maintain it.
010210005a	Yahweh God commanded the man, saying, “From every tree in the garden you may freely eat.
0102110081	But from the tree of the knowledge of good and evil you may not eat, for on the day that you eat from it, you will surely die.”
0102120073	Then Yahweh God said, “It is not good that the man should be alone. I will make him a helper suitable for him.”
01021300d9	Out of the ground Yahweh God formed every animal of the field and every bird of the sky. Then he brought them to the man to see what he would call them. Whatever the man called each living creature, that was its name.
01021400aa	The man gave names to all the livestock, to all the birds of the sky, and to every beast of the field. But for the man himself there was found no helper suitable for him.
0102150095	Yahweh God caused a deep sleep to fall upon the man, so the man slept. Yahweh God took one of his ribs and closed up the flesh where he took the rib.
0102160060	With the rib that Yahweh God had taken from the man, he made a woman and brought her to the man.
0102170091	The man said, “This time, this one is bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of man.”
0102180074	Therefore a man will leave his father and his mother, he will be united to his wife, and they will become one flesh.
0102190041	They were both naked, the man and his wife, but were not ashamed.
01030100bd	Now the serpent was more shrewd than any other beast of the field which Yahweh God had made. He said to the woman, “Has God really said, 'You must not eat from any tree of the garden'?”
0103020054	The woman said to the serpent, “We may eat the fruit from the trees of the garden,
0103030094	but concerning the fruit of the tree which is in the middle of the garden, God said, 'You may not eat it, nor may you touch it, or you will die.'”
010304003a	The serpent said to the woman, “You will surely not die.
0103050073	For God knows that the day you eat it your eyes will be opened, and you will be like God, knowing good and evil.”
01030600fb	When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was desirable to make one wise, she took some of its fruit and ate it. Then she also gave some to her husband who was with her, and he ate it.
010307008b	The eyes of both of them were opened, and they knew that they were naked. They sewed fig leaves together and made coverings for themselves.
01030800b6	They heard the sound of Yahweh God walking in the garden in the cool of the day, so the man and his wife hid themselves from the presence of Yahweh God among the trees of the garden.
0103090042	Yahweh God called to the man and said to him, “Where are you?”
01030a0066	The man said, “I heard you in the garden, and I was afraid, because I was naked. So I hid myself.”
01030b0074	God said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”
01030c0069	The man said, “The woman whom you gave to be with me, she gave me fruit from the tree, and I ate it.”
01030d0078	Yahweh God said to the woman, “What is this you have done?” The woman said, “The serpent lied to me, and I ate.”
01030e00f0	Yahweh God said to the serpent, “Because you have done this, cursed are you alone among all the livestock and all the beasts of the field. It is on your stomach that you will go, and it is dust that you will eat all the days of your life.
01030f008e	I will put hostility between you and the woman, and between your seed and her seed. He will bruise your head, and you will bruise his heel.”
01031000c6	To the woman he said, “I will greatly multiply your pain in having children; it is in pain that you will give birth to children. Your desire will be for your husband, but he will rule over you.”
0103110115	To Adam he said, “Because you have listened to the voice of your wife, and have eaten from the tree, concerning which I commanded you, saying, 'You may not eat from it,' cursed is the ground because of you; through painful work you will eat from it all the days of your life.
0103120056	It will produce thorns and thistles for you, and you will eat the plants of the field.
010313009d	By the sweat of your face you will eat bread, until you return to the ground, for out of it you were taken. For dust you are, and to dust you will return.”
0103140050	The man called his wife's name Eve because she was the mother of all the living.
010315004d	Yahweh God made for Adam and for his wife garments of skins and clothed them.
01031600c4	Yahweh God said, “Now the man has become like one of us, knowing good and evil. So now he must not be allowed to reach out with his hand, take from the tree of life, eat it, and live forever.”
0103170070	Therefore Yahweh God sent him out from the garden of Eden, to cultivate the ground from which he had been taken.
01031800bb	So God drove the man out of the garden, and he placed cherubim at the east of the garden of Eden, and a flaming sword that turned every way, in order to guard the way to the tree of life.
0104010080	The man slept with Eve his wife. She conceived and gave birth to Cain. She said, “I have produced a man with Yahweh's help.”
0104020062	Then she gave birth to his brother Abel. Now Abel became a shepherd, but Cain cultivated the soil.
010403006f	It came about that in the course of time Cain brought some of the fruit of the ground as an offering to Yahweh.
0104040076	As for Abel, he brought some of the firstborn of his flock and some of the fat. Yahweh accepted Abel and his offering,
0104050054	but Cain and his offering he did not accept. So Cain was very angry, and he scowled.
0104060043	Yahweh said to Cain, “Why are you angry and why are you scowling?
01040700a9	If you do what is right, will you not be accepted? But if you do not do what is right, sin crouches at the door and desires to control you, but you must rule over it.”
0104080087	Cain spoke to Abel his brother. It came about that while they were in the fields, Cain rose up against Abel his brother and killed him.
0104090073	Then Yahweh said to Cain, “Where is Abel your brother?” He said, “I do not know. Am I my brother's keeper?”
01040a005e	Yahweh said, “What have you done? Your brother's blood is calling out to me from the ground.
01040b006e	Now cursed are you from the ground, which has opened its mouth to receive your brother's blood from your hand.
01040c0088	When you cultivate the ground, from now on it will not yield to you its strength. A fugitive and a wanderer you will be in the earth.”
01040d0041	Cain said to Yahweh, “My punishment is greater than I can bear.
01040e00b6	Indeed, you have driven me out this day from this ground, and I will be hidden from your face. I will be a fugitive and a wanderer in the earth, and whoever finds me will kill me.”
01040f00b8	Yahweh said to him, “If anyone kills Cain, vengeance will be taken on him sevenfold.” Then Yahweh put a mark on Cain, so that if anyone found him, that person would not attack him.
010410005f	So Cain went out from the presence of Yahweh and lived in the land of Nod, on the east of Eden.
0104110076	Cain slept with his wife and she conceived. She gave birth to Enoch. He built a city and named it after his son Enoch.
010412008d	To Enoch was born Irad. Irad became the father of Mehujael. Mehujael became the father of Methushael. Methushael became the father of Lamech.
0104130066	Lamech took for himself two wives. The name of the one was Adah, and the name of the other was Zillah.
010414005b	Adah gave birth to Jabal. He was the father of those who lived in tents who have livestock.
0104150054	His brother's name was Jubal. He was the father of those who play the harp and pipe.
0104160070	As for Zillah, she bore Tubal-Cain, the forger of tools of bronze and iron. The sister of Tubal-Cain was Naamah.
01041700b2	Lamech said to his wives, “Adah and Zillah, listen to my voice; you wives of Lamech, listen to what I say. For I have killed a man for wounding me, a young man for bruising me.
0104180053	If Cain is avenged seven times, then Lamech will be avenged seventy-seven times.”
01041900aa	Adam slept with his wife again, and she bore another son. She called his name Seth and said, “God has given me another son in the place of Abel, for Cain killed him.”
01041a006d	A son was born to Seth and he called his name Enosh. At that time people began to call on the name of Yahweh.
0105010075	This is the record of the descendants of Adam. On the day that God created mankind, he made them in his own likeness.
010502005f	Male and female he created them. He blessed them and named them mankind when they were created.
010503007f	When Adam had lived 130 years, he became the father of a son in his own likeness, after his image, and he called his name Seth.
0105040074	After Adam became the father of Seth, he lived eight hundred years. He became the father of more sons and daughters.
0105050027	Adam lived 930 years, and then he died.
010506003d	When Seth had lived 105 years, he became the father of Enosh.
0105070069	After he became the father of Enosh, he lived 807 years and became the father of more sons and daughters.
0105080027	Seth lived 912 years, and then he died.
0105090041	When Enosh had lived ninety years, he became the father of Kenan.
01050a006c	After he became the father of Kenan, Enosh lived 815 years. He became the father of more sons and daughters.
01050b0028	Enosh lived 905 years, and then he died.
01050c0046	When Kenan had lived seventy years, he became the father of Mahalalel.
01050d0070	After he became the father of Mahalalel, Kenan lived 840 years. He became the father of more sons and daughters.
01050e0028	Kenan lived 910 years, and then he died.
01050f0049	When Mahalalel had lived sixty-five years, he became the father of Jared.
0105100070	After he became the father of Jared, Mahalalel lived 830 years. He became the father of more sons and daughters.
010511002c	Mahalalel lived 895 years, and then he died.
010512003e	When Jared had lived 162 years, he became the father of Enoch.
0105130076	After he became the father of Enoch, Jared lived eight hundred years. He became the father of more sons and daughters.
0105140028	Jared lived 962 years, and then he died.
010515004a	When Enoch had lived sixty-five years, he became the father of Methuselah.
0105160084	Enoch walked with God three hundred years after he became the father of Methuselah. He became the father of more sons and daughters.
0105170016	Enoch lived 365 years.
010518003e	Enoch walked with God, and then he was gone, for God took him.
0105190044	When Methuselah had lived 187 years, he became the father of Lamech.
01051a0072	After he became the father of Lamech, Methuselah lived 782 years. He became the father of more sons and daughters.
01051b0029	Methuselah lived 969 years. Then he died.
01051c003f	When Lamech had lived 182 years, he became the father of a son.
01051d00b7	He called his name Noah, saying, “This one will give us rest from our work and from the painful labor of our hands, which we must do because of the ground that Yahweh has cursed.”
01051e006b	Lamech lived 595 years after he became the father of Noah. He became the father of more sons and daughters.
01051f0025	Lamech lived 777 years. Then he died.
0105200058	After Noah had lived five hundred years, he became the father of Shem, Ham, and Japheth.
010601005a	It came about when mankind began to multiply on the earth and daughters were born to them,
0106020084	that the sons of God saw that the daughters of mankind were attractive. They took for themselves wives, any of them that they chose.
010603006e	Yahweh said, “My spirit will not remain in mankind forever, for they are flesh. They will live 120 years.”
01060400ca	Giants were on the earth in those days, and also afterward. This happened when the sons of God married daughters of men, and they had children with them. These were the mighty men of old, men of renown.
0106050097	Yahweh saw that the wickedness of mankind was great in the earth, and that every inclination of the thoughts of their hearts was only evil continually.
0106060058	Yahweh regretted that he had made mankind on the earth, and it grieved him to his heart.
01060700da	So Yahweh said, “I will wipe away mankind whom I have created from the surface of the earth; both mankind and the larger animals, and creeping things and birds of the heavens, for I am sorry that I have made them.”
010608002b	But Noah found favor in the eyes of Yahweh.
0106090082	These were the events concerning Noah. Noah was a righteous man, and blameless among the people of his time. Noah walked with God.
01060a003d	Noah became the father of three sons: Shem, Ham, and Japheth.
01060b0042	The earth was corrupt before God, and it was filled with violence.
01060c0060	God saw the earth; behold, it was corrupt, for all flesh had corrupted their way upon the earth.
01060d00aa	God said to Noah, “I can see that it is time to put an end to all flesh, for the earth is filled with violence through them. Indeed, I will destroy them with the earth.
01060e006c	Make for yourself an ark of cypress wood. Make rooms in the ark, and cover it with pitch within and without.
01060f00a8	This is how you will make it: The length of the ark is to be three hundred cubits; the breadth of it is to be fifty cubits, and the height of it is to be thirty cubits.
010610009d	Make a roof for the ark, and finish it at a cubit from the top of the side. Place a door in the side of the ark and make a lower, a second, and a third deck.
01061100b3	Listen, I am about to bring the flood of waters upon the earth, to destroy all flesh that has in it the breath of life from under heaven. Everything that is on the earth will die.
0106120088	But I will establish my covenant with you. You will come into the ark, you, and your sons, and your wife, and your sons' wives with you.
0106130088	Of every living creature of all flesh, two of every kind you must bring into the ark, to keep them alive with you, both male and female.
01061400b8	Of the birds after their kind, and of the larger animals after their kind, of every creeping thing of the ground after its kind, two of every sort will come to you, to keep them alive.
0106150073	Gather for yourself every kind of food that is eaten and store it, so that it will be food for you and for them.”
0106160045	So Noah did this. According to all that God commanded him, so he did.
010701008c	Yahweh said to Noah, “Come, you and all your household, into the ark, for I have seen that you are righteous before me in this generation.
010702009b	Of every clean animal you will bring with you seven males and seven females. From the animals that are not clean, of them bring two, the male and his mate.
0107030081	Also of the birds of the sky, bring seven males and seven females, to preserve their offspring upon the surface of all the earth.
01070400b3	For in seven days I will cause it to rain upon the earth for forty days and forty nights. I will destroy from off the surface of the ground every living thing that I have made.”
0107050027	Noah did all that Yahweh commanded him.
0107060042	Noah was six hundred years old when the flood came upon the earth.
010707006c	Noah, his sons, his wife, and his sons' wives went into the ark together because of the waters of the flood.
0107080055	Clean animals and unclean animals, birds, and everything that creeps upon the ground,
0107090060	two by two, male and female, came to Noah and went into the ark, just as God had commanded Noah.
01070a0055	It came about that after the seven days, the waters of the flood came upon the earth.
01070b00cb	In the six hundredth year of Noah's life, in the second month, on the seventeenth day of the month, on the same day, all the fountains of the great deep burst open, and the windows of heaven were opened.
01070c0045	The rain began and fell on the earth for forty days and forty nights.
01070d0092	On that very same day Noah and his sons, Shem, Ham, and Japheth, and Noah's wife, and the three wives of his sons with them, entered into the ark.
01070e010b	They entered along with each wild animal according to its kind, and each sort of livestock according to its kind, and each creeping thing that creeps upon the earth according to its kind, and every sort of bird according to its kind, each kind of creature with wings.
01070f0057	Two of all flesh in which was the breath of life came to Noah and entered into the ark.
0107100090	The animals that went in were male and female of all flesh; they entered in just as God had commanded him. Then Yahweh shut the door after them.
010711007c	Then the flood came upon the earth for forty days, and the water increased and lifted the ark and raised it above the earth.
0107120060	The waters completely covered over the earth, and the ark floated upon the surface of the water.
0107130070	The waters rose greatly on the earth so that all the high mountains that were under the entire sky were covered.
010714003f	The waters rose fifteen cubits above the tops of the mountains.
01071500a8	All living beings that moved upon the earth died—birds, livestock, wild animals, all the living creatures that lived in great numbers upon the earth, and all mankind.
0107160066	All living creatures who lived on the land, who breathed the breath of life through their noses, died.
01071700f5	So every living thing that was on the surface of the earth was wiped out, from mankind to the larger animals, to creeping things, and to birds of the sky. They were all destroyed from the earth. Only Noah and those with him in the ark were left.
010718003e	The waters stayed upon the earth for a hundred and fifty days.
01080100a7	God considered Noah, all the wild animals, and all the livestock that were with him in the ark. God made a wind blow over the earth, and the waters started going down.
0108020058	The fountains of the deep and the windows of heaven were closed, and it stopped raining.
0108030079	The flood waters went down slowly from the earth, and after the end of a hundred and fifty days the waters had gone down.
010804006d	The ark came to rest in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat.
0108050079	The waters continued to go down until the tenth month. On the first day of the month, the tops of the mountains appeared.
0108060058	It came about after forty days that Noah opened the window of the ark which he had made.
010807005d	He sent out a raven and it flew back and forth until the waters were dried up from the earth.
0108080059	Then he sent out a dove to see if the waters had gone down from the surface of the earth,
01080900d3	but the dove found no place to rest her foot, and she returned to him in the ark, for the waters were still covering the whole earth. He reached out with his hand, and took and brought her into the ark with him.
01080a0049	He waited another seven days and again he sent out the dove from the ark.
01080b0098	The dove returned to him in the evening. Look! In her mouth was a freshly plucked olive leaf. So Noah knew that the waters had gone down from the earth.
01080c005b	He waited another seven days, and sent out the dove again. She did not return again to him.
01080d0100	It came about in the six hundred and first year, in the first month, on the first day of the month, that the waters were dried up from off the earth. Noah removed the covering of the ark, looked out, and saw that, behold, the surface of the ground was dry.
01080e004f	In the second month, on the twenty-seventh day of the month, the earth was dry.
01080f0011	God said to Noah,
010810004f	“Go out of the ark, you, your wife, your sons, and your sons' wives with you.
010811011a	Take out with you every living creature of all flesh that is with you—the birds, the animals, and every creeping thing that creeps upon the earth—so that they may grow unto very large numbers of living creatures throughout the earth, be fruitful, and multiply upon the earth.”
0108120047	So Noah went out with his sons, his wife, and his sons' wives with him.
010813008b	Every living creature, every creeping thing, and every bird, everything that moves on the earth, according to their families, left the ark.
0108140087	Noah built an altar to Yahweh. He took some of the clean animals and some of the clean birds, and offered burnt offerings on the altar.
01081500f0	Yahweh smelled the pleasing aroma and said in his heart, “I will not again curse the ground because of mankind, even though the intentions of their hearts is evil from childhood. Nor will I again destroy everything living, as I have done.
0108160076	While the earth remains, seed time and harvest, cold and heat, summer and winter, and day and night will not cease.”
0109010063	Then God blessed Noah and his sons, and said to them, “Be fruitful, multiply, and fill the earth.
01090200dd	The fear of you and the dread of you will be upon every living animal on the earth, upon every bird of the sky, upon everything that goes low on the ground, and upon all the fish of the sea. They are given into your hand.
0109030073	Every moving thing that lives will be food for you. Just as I gave you the green plants, I now give you everything.
0109040044	But you must not eat meat with its life—that is its blood—in it.
0109050109	But for your blood, the life that is in your blood, I will require payment. From the hand of every animal I will require it. From the hand of any man, that is, from the hand of one who has murdered his brother, I will require an accounting for the life of that man.
010906006a	Whoever sheds man's blood, by man will his blood be shed, for it was in the image of God that he made man.
0109070058	As for you, be fruitful and multiply, spread throughout the earth and multiply on it.”
0109080038	Then God spoke to Noah and to his sons with him, saying,
0109090065	“As for me, listen! I am going to confirm my covenant with you and with your descendants after you,
01090a00c3	and with every living creature that is with you, with the birds, the livestock, and every creature of the earth with you, from all that came out of the ark, to every living creature on the earth.
01090b00a8	I hereby confirm my covenant with you, that never again will all flesh be destroyed by the waters of a flood. Never again will there be a flood to destroy the earth.”
01090c009a	God said, “This is the sign of the covenant which I am making between me and you and every living creature that is with you, for all future generations:
01090d0065	I have set my rainbow in the cloud, and it will be the sign of the covenant between me and the earth.
01090e005c	It will come about when I bring a cloud over the earth and the rainbow is seen in the cloud,
01090f00aa	then I will call to mind my covenant, which is between me and you and every living creature of all flesh. The waters will never again become a flood to destroy all flesh.
01091000ae	The rainbow will be in the clouds and I will see it, in order to remember the everlasting covenant between God and every living creature of all flesh that is on the earth.”
0109110082	Then God said to Noah, “This is the sign of the covenant that I have confirmed between me and all flesh that is on the earth.”
0109120064	The sons of Noah that came out of the ark were Shem, Ham, and Japheth. Ham was the father of Canaan.
0109130050	These three were the sons of Noah, and from these the whole earth was populated.
0109140035	Noah began to be a farmer, and he planted a vineyard.
010915004f	He drank some of the wine and became drunk. He was lying uncovered in his tent.
0109160062	Then Ham, the father of Canaan, saw the nakedness of his father and told his two brothers outside.
01091700db	So Shem and Japheth took a robe and laid it upon both their shoulders, and walked backwards and covered the nakedness of their father. Their faces were turned the other way, so they did not see their father's nakedness.
0109180050	When Noah awoke from his wine, he learned what his youngest son had done to him.
0109190052	So he said, “Cursed be Canaan. May he be a servant to his brothers' servants.”
01091a0058	He also said, “May Yahweh, the God of Shem, be blessed, and may Canaan be his servant.
01091b0076	May God extend the territory of Japheth, and let him make his home in the tents of Shem. May Canaan be his servant.”
01091c0036	After the flood, Noah lived three hundred fifty years.
01091d0045	All the days of Noah were nine hundred fifty years, and then he died.
010a010078	These were the descendants of the sons of Noah, that is, Shem, Ham, and Japheth. Sons were born to them after the flood.
010a02004f	The sons of Japheth were Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
010a030037	The sons of Gomer were Ashkenaz, Riphath, and Togarmah.
010a04003e	The sons of Javan were Elishah, Tarshish, Kittim, and Dodanim.
010a050092	From these the coastland peoples separated and went into their lands, every one with its own language, according to their clans, by their nations.
010a060034	The sons of Ham were Cush, Mizraim, Put, and Canaan.
010a07006a	The sons of Cush were Seba, Havilah, Sabtah, Raamah, and Sabteka. The sons of Raamah were Sheba and Dedan.
010a08004b	Cush became the father of Nimrod, who was the first conqueror on the earth.
010a09006f	He was a mighty hunter before Yahweh. That is why it is said, “Like Nimrod, a mighty hunter before Yahweh.”
010a0a005d	The first centers of his kingdom were Babel, Erech, Akkad, and Kalneh, in the land of Shinar.
010a0b004a	Out of that land he went to Assyria and built Nineveh, Rehoboth Ir, Calah,
010a0c0044	and Resen, which was between Nineveh and Calah. It was a large city.
010a0d0057	Mizraim became the father of the Ludites, the Anamites, the Lehabites, the Naphtuhites,
010a0e0056	the Pathrusites, the Kasluhites (from whom the Philistines came), and the Caphtorites.
010a0f003e	Canaan became the father of Sidon, his firstborn, and of Heth,
010a100035	also of the Jebusites, the Amorites, the Girgashites,
010a110026	the Hivites, the Arkites, the Sinites,
010a120063	the Arvadites, the Zemarites, and the Hamathites. Afterward the clans of the Canaanites spread out.
010a1300a4	The border of the Canaanites was from Sidon, in the direction of Gerar, as far as Gaza, and as one goes toward Sodom, Gomorrah, Admah, and Zeboyim, as far as Lasha.
010a140065	These were the sons of Ham, by their clans, by their languages, in their lands, and in their nations.
010a150070	Sons also were born to Shem, the older brother of Japheth. Shem was also the ancestor of all the people of Eber.
010a16003b	The sons of Shem were Elam, Ashur, Arphaxad, Lud, and Aram.
010a170033	The sons of Aram were Uz, Hul, Gether, and Meshech.
010a18004b	Arphaxad became the father of Shelah, and Shelah became the father of Eber.
010a190077	Eber had two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.
010a1a0041	Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah,
010a1b0016	Hadoram, Uzal, Diklah,
010a1c0015	Obal, Abimael, Sheba,
010a1d003d	Ophir, Havilah, and Jobab. All these were the sons of Joktan.
010a1e0050	Their territory was from Mesha, all the way to Sephar, the mountain of the east.
010a1f0076	These were the sons of Shem, according to their clans and their languages, in their lands, according to their nations.
010a2000a5	These were the clans of the sons of Noah, according to their genealogies, by their nations. From these the nations separated and went over the earth after the flood.
010b01003d	Now the whole earth used one language and had the same words.
010b02005f	As they journeyed in the east, they found a plain in the land of Shinar and they settled there.
010b030085	They said to one another, “Come, let us make bricks and bake them thoroughly.” They had brick instead of stone and tar as mortar.
010b0400d1	They said, “Come, let us build ourselves a city and a tower whose top will reach to the sky, and let us make a name for ourselves. If we do not, we will be scattered across the surface of the whole earth.”
010b05005a	So Yahweh came down to see the city and the tower which the descendants of Adam had built.
010b0600a5	Yahweh said, “Look, they are one people with the same language, and they are beginning to do this! Soon nothing that they intend to do will be impossible for them.
010b070065	Come, let us go down and confuse their language there, so that they may not understand each other.”
010b08006b	So Yahweh scattered them from there across the surface of all the earth and they stopped building the city.
010b0900b2	Therefore, its name was called Babel, because there Yahweh confused the language of the whole earth and from there Yahweh scattered them abroad over the surface of all the earth.
010b0a0081	These were the descendants of Shem. Shem was a hundred years old, and he became the father of Arphaxad two years after the flood.
010b0b007c	Shem lived five hundred years after he became the father of Arphaxad. He also became the father of other sons and daughters.
010b0c004a	When Arphaxad had lived thirty-five years, he became the father of Shelah.
010b0d0075	Arphaxad lived 403 years after he became the father of Shelah. He also became the father of other sons and daughters.
010b0e0041	When Shelah had lived thirty years, he became the father of Eber.
010b0f0071	Shelah lived 403 years after he became the father of Eber. He also became the father of other sons and daughters.
010b100045	When Eber had lived thirty-four years, he became the father of Peleg.
010b110070	Eber lived 430 years after he became the father of Peleg. He also became the father of other sons and daughters.
010b12003f	When Peleg had lived thirty years, he became the father of Reu.
010b13006f	Peleg lived 209 years after he became the father of Reu. He also became the father of other sons and daughters.
010b140043	When Reu had lived thirty-two years, he became the father of Serug.
010b15006f	Reu lived 207 years after he became the father of Serug. He also became the father of other sons and daughters.
010b160041	When Serug had lived thirty years, he became the father of Nahor.
010b170079	Serug lived two hundred years after he became the father of Nahor. He also became the father of other sons and daughters.
010b180045	When Nahor had live twenty-nine years, he became the father of Terah.
010b190071	Nahor lived 119 years after he became the father of Terah. He also became the father of other sons and daughters.
010b1a0055	After Terah had lived seventy years, he became the father of Abram, Nahor, and Haran.
010b1b0080	Now these were the descendants of Terah. Terah became the father of Abram, Nahor, and Haran, and Haran became the father of Lot.
010b1c0060	Haran died in the presence of his father Terah in the land of his birth, in Ur of the Chaldeans.
010b1d00a4	Abram and Nahor took wives. The name of Abram's wife was Sarai and the name of Nahor's wife was Milkah, a daughter of Haran, who was the father of Milkah and Iskah.
010b1e0027	Now Sarai was barren; she had no child.
010b1f00e0	Terah took Abram his son, Lot the son of his son Haran, and Sarai his daughter-in-law, his son Abram's wife, and together they left Ur of the Chaldeans, to go into the land of Canaan. But they came to Haran and stayed there.
010b20002d	Terah lived 205 years and then died in Haran.
010c01008f	Now Yahweh said to Abram, “Go from your country, and from your relatives, and from your father's household, to the land that I will show you.
010c02006e	I will make of you a great nation, and I will bless you, and make your name great, and you will be a blessing.
010c030087	I will bless those who bless you, but whoever dishonors you I will curse. Through you will all the families of the earth be blessed.”
010c040078	So Abram went, as Yahweh had told him to do, and Lot went with him. Abram was seventy-five years old when he left Haran.
010c0500dd	Abram took Sarai, his wife, Lot, his brother's son, all their possessions that they had accumulated, and the people that they had acquired in Haran. They left to go into the land of Canaan, and came to the land of Canaan.
010c060074	Abram passed through the land as far as Shechem, to the oak of Moreh. At that time the Canaanites lived in the land.
010c070096	Yahweh appeared to Abram, and said, “To your descendants I will give this land.” So there Abram built an altar to Yahweh, who had appeared to him.
010c0800c9	From there he moved to the hill country to the east of Bethel, where he pitched his tent, with Bethel to the west and Ai to the east. There he built an altar to Yahweh and called on the name of Yahweh.
010c090038	Then Abram continued journeying, going toward the Negev.
010c0a006d	There was a famine in the land, so Abram went down into Egypt to stay, for the famine was severe in the land.
010c0b0075	When he was about to enter into Egypt, he said to Sarai his wife, “See here, I know that you are a beautiful woman.
010c0c0072	When the Egyptians see you they will say, 'This is his wife,' and they will kill me, but they will keep you alive.
010c0d0080	Say that you are my sister, so that it may be well with me because of you, and so that my life will be spared because of you.”
010c0e0062	It came about that when Abram entered into Egypt, the Egyptians saw that Sarai was very beautiful.
010c0f006d	The princes of Pharaoh saw her, and praised her to Pharaoh, and the woman was taken into Pharaoh's household.
010c10008c	Pharaoh treated Abram well for her sake, and gave him sheep, oxen, male donkeys, male servants, female servants, female donkeys, and camels.
010c11005e	Then Yahweh afflicted Pharaoh and his house with great plagues because of Sarai, Abram's wife.
