2800000006	Mateus
2802080093	Ele os enviou para Belém e disse: “Ao chegarem lá, procurem o menino. E, ao encontrá-lo, avisem-me, para que eu também possa ir adorá-lo.”
28020900a7	Após ouvirem o rei, eles seguiram o seu caminho, e a estrela, que já tinham visto no Oriente, os guiou até parar exatamente acima do lugar em que a criança estava.
28020a0033	Quando viram a estrela, eles ficaram muito felizes!
28020b00bc	Entraram na casa e viram o menino com a sua mãe, Maria. Eles se ajoelharam e o adoraram. Então, abriram as bolsas em que traziam seus tesouros e o presentearam com ouro, incenso e mirra.
28020c0077	Alertados por um sonho para não retornarem para junto de Herodes, eles voltaram ao seu país por um caminho diferente.
28020d00f6	Após os magos terem ido embora, um anjo do Senhor apareceu em um sonho a José e lhe disse: “Levante-se, pegue a criança e sua mãe e fujam para o Egito. Fiquem lá até que eu lhe diga, pois Herodes irá procurar a criança para matá-la.”
28020e005c	Então, José se levantou, pegou a criança e sua mãe e fugiu durante a noite para o Egito.
28020f0092	Eles ficaram lá até à morte de Herodes. Assim se cumpriu o que o Senhor disse pelo profeta: “Eu chamei o meu filho para retornar do Egito.”
2802100113	Quando Herodes percebeu que tinha sido enganado pelos magos, ficou muito zangado. Ele enviou homens para matar todos os meninos que tivessem dois anos de idade ou menos em Belém e nas regiões próximas. Ele se baseou no período de tempo em que os magos o tinham informado.
2802110028	Assim se cumpriu a profecia de Jeremias:
28021200a0	“Ouviu-se o som de terrível choro e lamentação em Ramá; era Raquel chorando por seus filhos. Eles tinham morrido, e não havia quem a pudesse consolar.”
2802130062	Após a morte de Herodes, o anjo do Senhor apareceu em um sonho para José, no Egito, e lhe disse:
280214008f	“Levante-se! Pegue a criança e a sua mãe e volte para a terra de Israel, pois as pessoas que estavam tentando matar a criança morreram.”
2802150059	Então, José se levantou, pegou o menino e a sua mãe e retornou para a terra de Israel.
28021600b5	Mas, após saber que Arquelau governava a Judeia no lugar de seu pai, Herodes, José ficou com medo de ir para lá. Em um sonho, José foi avisado para ir para a região da Galileia
280217007b	e que deveria morar na cidade de Nazaré. Assim se cumpriu o que os profetas disseram: “Ele será chamado de Nazareno.”
280301004a	Algum tempo depois, no deserto da Judeia, apareceu João Batista pregando:
2803020031	“Arrependam-se, pois o Reino do Céu chegou!”
28030300a1	Era sobre João que Isaías se referia ao dizer: “Alguém está gritando no deserto: ‘Preparem o caminho para o Senhor! Abram um caminho reto para ele!’”
2803040068	João usava uma roupa feita de pelo de camelo e um cinto de couro. Ele comia gafanhotos e mel silvestre.
2803050068	Moradores de Jerusalém, de toda Judeia e de todas as regiões próximas ao rio Jordão vinham até ele,
280306003d	confessando os seus pecados e sendo batizados no rio Jordão.
28030700bb	Mas quando João viu muitos fariseus e saduceus vindo para serem batizados, ele disse: “Ninhada de víboras venenosas! Quem disse que vocês escaparão do julgamento que está próximo?
2803080058	Mostrem, por meio de suas ações, que verdadeiramente se arrependeram dos seus pecados,
28030900a2	e não ousem dizer uns aos outros com orgulho: ‘Abraão é nosso antepassado.’ Pois eu lhes digo que Deus pode fazer descendentes de Abraão com estas pedras.
28030a0090	Mas, na verdade, o machado está pronto para cortar as árvores pela raiz. Toda árvore que não der bons frutos será cortada e jogada no fogo.
28030b0102	Sim, eu os batizo com água, para mostrar que vocês estão arrependidos dos seus pecados, mas aquele que virá depois de mim é mais poderoso do que eu. Eu não sou digno nem mesmo de tirar suas sandálias. Ele os batizará com o Espírito Santo e com fogo.
28030c0091	Ele já está segurando a sua pá. Ele limpará a eira e recolherá o trigo no depósito, mas queimará a palha com o fogo que nunca se apaga.”
28030d004a	Então, Jesus veio da Galileia para ser batizado por João no rio Jordão.
28030e0094	Mas João tentou convencê-lo a mudar de ideia. Ele disse a Jesus: “Eu é que preciso ser batizado por você, e você vem para que eu o batize?”
28030f007f	Mas Jesus lhe disse: “Por favor, faça isso, pois é bom que façamos o que Deus diz ser o certo.” Então, João concordou.
2803100098	Imediatamente após ter sido batizado, Jesus saiu da água. Os céus se abriram, e ele viu o Espírito de Deus descer como uma pomba e pousar sobre ele.
280311005f	Uma voz vinda do céu disse: “Este é o meu filho a quem eu amo, que me deixa muito feliz.”
280401004c	Então, o Espírito levou Jesus para o deserto, para ser tentado pelo diabo.
2804020047	Após quarenta dias e quarenta noites sem comer, Jesus estava com fome.
2804030072	O tentador se aproximou e lhe disse: “Se você é realmente o Filho de Deus, mande estas pedras virarem pão.”
2804040094	Jesus respondeu: “Como as Sagradas Escrituras dizem: ‘Os seres humanos não vivem apenas de pão, mas vivem de cada palavra dita por Deus.’”
2804050051	Então, o diabo o levou à cidade santa e o colocou na parte mais alta do Templo.
28040600f1	“Se você realmente é o Filho de Deus, então, jogue-se daqui”, disse para Jesus. “Como as Sagradas Escrituras dizem: ‘Ele mandará que os seus anjos o protejam. Eles irão segurá-lo, para que você não tropece em uma pedra.’”
2804070079	Jesus respondeu: “Como as Sagradas Escrituras também dizem: ‘Você não deve pôr à prova o Senhor, seu Deus.’”
280408006e	Em seguida, o diabo levou Jesus para uma montanha muito alta e lhe mostrou todos os gloriosos reinos do mundo.
2804090054	Ele disse para Jesus: “Eu lhe darei tudo isso se você se ajoelhar e me adorar.”
28040a0097	Jesus disse: “Vá embora, Satanás!” “Como as Sagradas Escrituras dizem: ‘Você deve adorar o Senhor, seu Deus, e servi-lo, apenas a Ele.’”
28040b0040	Então, o diabo foi embora, e anjos vieram para cuidar de Jesus.
28040c004a	Quando Jesus soube que João tinha sido preso, ele voltou para a Galileia.
28040d0062	Ele saiu de Nazaré e foi morar em Cafarnaum, às margens do mar, na região de Zebulom e Naftali.
28040e002f	Assim se cumpriu o que o profeta Isaías disse:
28040f008f	“Na terra de Zebulom e na terra de Naftali, na estrada que leva para o mar, do outro lado do rio Jordão, na Galileia, onde os pagãos vivem:
2804100083	O povo que vivia na escuridão viu uma forte luz. A luz do amanhecer brilhou sobre aqueles que viviam na terra sombria da morte.”
280411007e	A partir daquele momento, Jesus começou a anunciar a sua mensagem, dizendo: “Arrependam-se, pois o Reino do Céu chegou!”
28041200bc	Enquanto caminhava pelo mar da Galileia, Jesus viu dois irmãos, Simão, também conhecido como Pedro, e seu irmão André, que pescavam com sua rede no mar. Eles ganhavam a vida pescando.
280413004d	Jesus lhes disse: “Venham e me sigam e eu os ensinarei a pescar pessoas.”
2804140034	Eles imediatamente largaram suas redes e o seguiram.
28041500a1	Mais adiante, ele viu dois irmãos, Tiago e João. Eles estavam em um barco com seu pai, Zebedeu, consertando suas redes de pesca. Jesus os chamou para segui-lo.
280416003b	Eles imediatamente deixaram o barco e seu pai e o seguiram.
2804170093	Jesus viajou por toda a Galileia, ensinando nas sinagogas, anunciando as boas novas do Reino, curando todas as doenças e enfermidades das pessoas.
28041800d5	As notícias sobre ele se espalharam por toda a província da Síria. As pessoas levavam a Jesus todos os doentes: epiléticos, pessoas possuídas por demônios, doentes mentais, paralíticos e ele curava a todos.
280419007d	Grandes multidões, vindas da Galileia, de Decápolis, de Jerusalém, da Judeia e da região além do rio Jordão, o seguiam.
280501006c	Quando Jesus viu a multidão que o seguia, ele subiu um monte. Lá, ele se sentou junto aos seus discípulos
2805020022	e começou a ensiná-los, dizendo:
280503005f	“Felizes as pessoas que sabem que são espiritualmente pobres, pois o Reino do Céu é delas.
280504003b	Felizes as pessoas que choram, pois elas serão consoladas.
2805050043	Felizes as pessoas de bom coração, pois delas será o mundo todo.
2805060060	Felizes as pessoas que têm grande desejo de fazer o que é certo, pois elas serão satisfeitas.
280507005d	Felizes as pessoas que têm compaixão pelos outros, pois também terão compaixão por elas.
2805080041	Felizes as pessoas que têm a alma pura, pois elas verão a Deus.
2805090057	Felizes as pessoas que trabalham pela paz, pois elas serão chamadas de filhos de Deus.
28050a0062	Felizes as pessoas que são perseguidas por fazerem o que é certo, pois o Reino do Céu é delas.
28050b0056	Felizes são vocês quando são insultados, perseguidos e caluniados, por me seguirem.
28050c00b5	Sintam-se alegres, realmente felizes, pois vocês receberão uma grande recompensa no céu. Porque foi exatamente dessa forma que perseguiram os profetas que vieram antes de vocês.
28050d00a5	Vocês são o sal da terra, mas se o sal perder o seu sabor, como poderão torná-lo salgado de novo? Ele não serve para mais nada, então, é jogado fora e pisado.
28050e005a	Vocês são a luz do mundo. Não se pode esconder uma cidade construída sobre uma colina.
28050f0098	Ninguém acende um lampião para colocá-lo embaixo de um cesto. Ao contrário, ele é colocado em um velador, para iluminar a todos que estão na casa.
28051000ae	Da mesma forma, vocês devem deixar sua luz brilhar diante de todos, para que eles possam ver as coisas boas que são feitas por vocês e para que louvem o seu Pai celestial.
2805110088	Não pensem que eu vim para acabar com a lei ou com os ensinamentos dos profetas. Eu não vim para acabar com eles, mas para cumpri-los.
280512008b	Eu afirmo a vocês, enquanto o céu e a terra durarem, nem uma letra, nem um único acento será tirado da lei até que tudo seja cumprido.
28051300e5	Assim, qualquer um que desobedecer o menor mandamento e ensinar as pessoas a fazerem o mesmo será considerado o menor no Reino do Céu. Mas aquele que praticar e ensinar os mandamentos será considerado o maior no Reino do Céu.
2805140088	Eu lhes afirmo que só entrarão no Reino do Céu se a sua retidão moral for maior do que a dos educadores religiosos e a dos fariseus.
280515008f	Vocês ouviram o que antigamente a lei dizia às pessoas: ‘Não matarás, e qualquer um que cometer assassinato será considerado culpado.’
28051600e8	Mas eu lhes digo que qualquer um que estiver com raiva do seu irmão será considerado culpado. Quem chamar seu irmão de idiota deverá responder ao conselho, mas quem verbalmente abusar dos outros estará sujeito ao fogo da Geena.
2805170062	Se você estiver fazendo uma oferta no altar e se lembrar de que seu irmão tem algo contra você,
2805180068	deixe a sua oferta no altar e, primeiro, faça as pazes com ele e só depois volte e faça a sua oferta.
28051900f5	Enquanto estiver indo para o tribunal com o seu adversário, certifique-se de, rapidamente, entrar em acordo com ele. Caso contrário, essa pessoa poderá entregá-lo ao juiz, e o juiz o entregará ao carcereiro, e você será jogado na prisão.
28051a0062	Eu lhe afirmo que isto é verdade: você não ficará livre até que tenha pago o último centavo.
28051b003c	Vocês ouviram o que foi dito: ‘Não cometa adultério.’
28051c007e	Mas eu lhes digo que qualquer um que olhar para uma mulher com o desejo de possuí-la já cometeu adultério em seu coração.
28051d00a4	Se o seu olho direito o fizer pecar, então, arranque-o e jogue-o fora, pois é melhor perder uma parte do seu corpo do que todo o seu corpo arder no fogo da Geena.
28051e009e	Se a sua mão direita o fizer pecar, então, corte-a e jogue-a fora, pois é melhor perder um dos seus membros do que todo o seu corpo arder no fogo da Geena.
28051f0071	Também foi dito: ‘Se um homem se divorciar de sua esposa, ele deverá dar a ela uma certidão de divórcio.’
28052000df	Mas eu lhes digo que qualquer homem que se divorciar de sua esposa, a não ser por imoralidade sexual, pode fazer dela uma adúltera, se ela se casar de novo; e quem se casar com essa mulher divorciada cometerá adultério.
28052100b3	E, novamente, vocês ouviram o que foi dito aos seus antepassados: ‘Não quebrem as suas promessas. Pelo contrário, tenham certeza de cumprir o que vocês juraram ao Senhor.’
280522005c	Mas eu lhes digo: não jurem de forma alguma. Não jurem pelo céu, pois é o trono de Deus.
280523007a	Não jurem pela terra, pois é o descanso para os pés de Deus. Não jurem por Jerusalém, pois é a cidade do grande Rei.
280524007a	Nem mesmo jurem por sua cabeça, pois vocês não são capazes de fazer um único fio de cabelo se tornar branco ou preto.
2805250045	Simplesmente digam sim ou não, pois mais do que isso vem do maligno.
2805260044	Vocês ouviram o que foi dito: ‘Olho por olho, dente por dente.’
280527008b	Mas eu lhes digo: não se oponham a quem lhes fizer o mal. Se alguém lhe der um tapa na cara, vire o outro lado para que ele bata também.
280528005c	Se alguém quiser processá-lo e lhe tirar a camisa deixe que ele leve o seu casaco também.
2805290041	Se alguém exigir que você caminhe um quilômetro, caminhe dois.
28052a004d	Dê a quem lhe pedir algo e não se afaste de quem lhe pedir algo emprestado.
28052b004d	Vocês ouviram o que foi dito: ‘Ame o seu vizinho e odeie o seu inimigo.’
28052c0050	Mas eu lhes digo: amem os seus inimigos e orem por aqueles que perseguem vocês;
28052d00d9	assim, vocês se tornarão filhos do seu Pai celestial. Pois o seu sol brilha tanto sobre os bons quanto sobre os maus; e ele faz a chuva cair tanto sobre quem faz o que é certo quanto sobre quem faz o que é errado.
28052e0070	Pois, se vocês amam apenas quem os ama, que recompensa terão? Até mesmo os cobradores de impostos fazem isso!
28052f0093	Se vocês falarem gentilmente apenas com a sua família, o que é que estarão fazendo a mais do que as outras pessoas? Até os pagãos fazem isso!
2805300074	Cresçam e tornem-se completamente dignos de confiança, exatamente como é digno de confiança o seu Pai Celestial.
28060100be	Certifiquem-se de não praticar suas boas ações em público apenas para serem vistos pelos outros. Caso contrário, vocês não receberão qualquer recompensa do seu Pai que está no céu.
28060200f4	Quando vocês derem aos pobres, não sejam como os hipócritas, que tocam trombetas nas sinagogas e nas ruas para anunciar o que estão fazendo, para que as pessoas os elogiem. Eu lhes afirmo que isto é verdade: eles já têm a sua recompensa.
280603008c	Quando vocês derem alguma coisa a uma pessoa necessitada, não deixem que a sua mão esquerda saiba o que a sua mão direita está fazendo.
280604006f	Assim, o que vocês derem estará em segredo, e o seu Pai, que vê o que acontece em segredo, os recompensará.
28060500f1	Quando vocês orarem, não sejam como os hipócritas, pois eles gostam de ficar em pé e orar nas sinagogas e nas esquinas das ruas, para que as pessoas possam vê-los. Eu lhes afirmo que isso é verdade: eles já receberam a sua recompensa.
2806060090	Mas vocês, quando orarem, entrem, fechem a porta, e orem ao seu Pai sozinhos. E o seu Pai, que vê o que acontece em segredo, os recompensará.
280607008b	Quando orarem, não balbuciem coisas sem sentido como os pagãos, que pensam que serão ouvidos por causa de todas as palavras que repetem.
280608005d	Não sejam como eles, pois o seu Pai sabe do que vocês precisam, mesmo antes de lhe pedirem.
2806090013	Então, orem assim:
28060a0090	Pai nosso, que estás no céu, que o seu nome seja honrado. Venha o seu Reino! Que a sua vontade seja feita aqui na terra como é feita no céu.
28060b0032	Por favor, dá-nos hoje o alimento que precisamos.
28060c0050	Perdoa-nos as nossas ofensas, assim como perdoamos as pessoas que nos ofenderam.
28060d0048	Não deixes que sejamos tentados a fazer algo errado e livra-nos do mal.
28060e006d	Pois se vocês perdoarem àqueles que os ofenderam, seu Pai celestial também perdoará as ofensas de vocês.
28060f0076	Mas, se vocês não perdoarem aqueles que os ofenderam, então, seu Pai celestial não perdoará as ofensas de vocês.
28061000ee	Quando vocês jejuarem, não sejam como os hipócritas, que fazem caras tristes e se apresentam com aspecto horrível, para que todos saibam que eles estão jejuando. Eu afirmo a vocês que isto é verdade: eles já têm a sua recompensa.
280611003b	Ao contrário, quando jejuarem, lavem o rosto e se arrumem.
280612009f	Assim, as pessoas não verão que vocês estão jejuando, mas vocês serão vistos por seu Pai; e seu Pai, que vê o que acontece em segredo, os recompensará.
280613006f	Não acumulem riquezas aqui na terra, onde traças e ferrugem as destroem e onde ladrões arrombam e as roubam.
280614008e	Ao contrário, vocês devem guardar suas riquezas no céu, onde traças e ferrugem não as destroem e onde ladrões não arrombam e as roubam.
2806150044	Pois, o que vocês mais valorizam mostra quem vocês realmente são.
2806160089	Os olhos são como uma lâmpada que ilumina o corpo. Assim, se os seus olhos são saudáveis, então, todo o seu corpo ficará iluminado.
2806170099	Mas, se os seus olhos forem maus, então, todo o seu corpo ficará nas trevas. Se a luz que há em você são trevas, que terríveis serão essas trevas!
28061800aa	Ninguém pode servir a dois mestres. Ou vocês odiarão um e amarão o outro, ou se dedicarão a um e desprezarão o outro. Vocês não podem servir a Deus e ao Dinheiro.
28061900db	Por isso, eu lhes digo para não se preocuparem com a vida de vocês. Não se preocupem com o que comer, com o que beber ou com que roupas vestir. A vida não é mais do que comida? E o corpo não é mais do que roupas?
28061a00a8	Vejam os pássaros – eles não semeiam, não colhem, nem guardam comida em celeiros, pois o seu Pai celestial os alimenta. Vocês não valem mais do que os pássaros?
28061b004b	Quem de vocês, por mais que se preocupe, pode encompridar a própria vida?
28061c0096	E por que vocês estão preocupados com roupas? Vejam as lindas flores do campo. Vejam como elas crescem: elas não trabalham e nem fazem suas roupas.
28061d0063	Mas eu afirmo a vocês que nem mesmo Salomão, com toda a sua riqueza, se vestia como essas flores.
28061e00ab	Então, se Deus enfeita assim os campos, com a erva que está aqui hoje e que amanhã será jogada no fogo, ele não fará muito mais por vocês, que acreditam tão pouco?
28061f0074	Por isso, não se preocupem, dizendo: ‘O que comeremos hoje?’ ‘O que beberemos?’ ou: ‘O que vestiremos?’
280620006f	Essas são todas as coisas que os pagãos procuram, mas o seu Pai celestial sabe de tudo o que vocês precisam.
2806210051	Busquem o seu Reino primeiro e o seu modo certo de viver, e tudo lhes será dado.
280622007e	Então, não se preocupem com o amanhã, porque o amanhã pode se preocupar consigo mesmo. Já há mal suficiente em cada dia.
280701003c	Não julguem os outros, para que vocês não sejam julgados.
28070200c5	Pois seja qual for o padrão que usem para julgar os outros, o mesmo será usado para julgá-los, e seja qual for a medida que vocês usarem para medir os outros, a mesma será usada para medi-los.
280703007a	Por que é que você vê o cisco que está no olho do seu irmão? Você não nota a tábua que está em seu próprio olho?
2807040090	Como é que você pode dizer ao seu irmão: ‘Deixe-me tirar esse cisco do seu olho’, quando você está com uma tábua no seu próprio olho?
28070500a2	Você está sendo hipócrita! Tire primeiro a tábua que está em seu olho. Depois você será capaz de ver claramente para retirar o cisco do olho do seu irmão.
28070600b2	Não deem para os cães o que é sagrado. Não joguem suas pérolas aos porcos. Assim, os porcos não as pisarão, e os cães não se voltarão contra vocês e não os atacarão.
2807070059	Peçam e lhes será dado; busquem e encontrarão; batam e a porta se abrirá para vocês.
280708007b	Todos aqueles que pedem, recebem; todos aqueles que buscam, acham; e para todos aqueles que batem à porta, ela se abrirá.
2807090041	Algum de vocês daria a seu filho uma pedra, se ele pedisse pão?
28070a0030	Ou se ele pedisse peixe, dariam a ele uma cobra?
28070b008f	Então, se mesmo vocês, que são maus, sabem dar boas coisas a seus filhos, muito mais o seu Pai celestial dará coisas boas a quem lhe pedir.
28070c0064	Tratem os outros como gostariam de ser tratados. Isso resume o que a lei e os profetas querem dizer.
28070d0085	Entrem pela porta estreita. Pois a porta que é ampla e o caminho que é largo levam à destruição, e muitos vão por esse caminho.
28070e0078	Mas a entrada que é estreita e o caminho que é difícil levam à vida, e apenas poucas pessoas encontram esse caminho.
28070f0069	Cuidado com os falsos profetas! Eles chegam disfarçados de ovelhas, mas, na verdade, são lobos cruéis.
2807100068	Vocês podem reconhecê-los por seus frutos. As pessoas colhem uvas dos espinheiros ou figos dos cardos?
280711005a	Então, toda árvore boa produz bons frutos, enquanto uma árvore má produz frutos ruins.
2807120062	Uma árvore boa não pode produzir frutos ruins e uma árvore ruim não pode produzir bons frutos.
2807130045	Toda árvore que não produz bons frutos é cortada e jogada no fogo.
2807140030	Então, vocês os reconhecerão por seus frutos.
2807150095	Nem todos aqueles que me chamam: ‘Senhor, Senhor’, entrarão no Reino do Céu. Apenas aqueles que fizerem a vontade do meu Pai entrarão no céu.
280716009a	No Dia do Julgamento, muitos dirão para mim: ‘Senhor, Senhor, em seu nome não fizemos profecias, expulsamos demônios e realizamos muitos milagres?’
280717005c	Então, lhes direi: ‘Eu nunca os conheci. Afastem-se de mim, vocês que praticam o mal!’
2807180076	Todos os que ouvem as palavras que eu digo e que as seguem são como um homem sábio, que construiu sua casa na rocha.
2807190086	A chuva caiu, vieram as enchentes e o vento soprou forte contra a casa, mas ela não caiu, porque a sua base foi construída na rocha.
28071a0075	Todos os que ouvem as palavras que eu digo e não as seguem são como um homem tolo, que construiu sua casa na areia.
28071b0075	A chuva caiu, vieram as enchentes e o vento soprou forte contra a casa; ela desabou e ficou totalmente destruída.”
28071c006a	Quando Jesus acabou de explicar essas coisas, a multidão estava impressionada com a sua forma de ensinar,
28071d0055	pois ele ensinava como alguém com autoridade e, não, como os educadores religiosos.
280801003d	Uma grande multidão seguiu Jesus quando ele desceu do monte.
280802006e	Um leproso aproximou-se dele e, ajoelhando-se, disse: “Senhor, se for da sua vontade, por favor, cure-me!”
2808030083	Jesus estendeu a mão e o tocou. “Sim, eu quero!”, ele disse. “Você está curado!” Imediatamente, ele foi curado da lepra.
2808040098	Jesus lhe disse: “Não fale isso para ninguém. Vá, apresente-se ao sacerdote e ofereça o sacrifício que Moisés exigiu como uma prova pública.”
2808050065	Quando Jesus entrou na cidade de Cafarnaum, um comandante romano veio até ele, implorando sua ajuda:
2808060062	“Senhor, meu empregado está em casa, deitado, incapaz de se mover. Ele está sofrendo muito.”
2808070028	Jesus respondeu: “Eu irei curá-lo.”
2808080085	O comandante romano respondeu: “Senhor, eu não mereço que entre em minha casa. Apenas dê uma ordem e meu empregado será curado.
2808090101	Pois eu mesmo estou sob o comando de oficiais superiores e também tenho soldados que estão sob minha autoridade. Eu ordeno a um deles: ‘Vá!’, e ele vai. Digo a outro: ‘Venha!’, e ele vem. Eu digo ao meu empregado: ‘Faça isto!’, e ele faz.”
28080a00aa	Quando Jesus ouviu o que ele disse, ficou surpreso. Ele disse aos que o seguiam: “Eu lhes afirmo que isto é verdade: eu nunca vi tanta fé em qualquer lugar de Israel.
28080b0078	Eu lhes digo que muitas pessoas virão do Leste e do Oeste, e se sentarão com Abraão, Isaque e Jacó no Reino do Céu.
28080c0069	Mas os herdeiros do Reino serão jogados na escuridão absoluta, onde chorarão e rangerão os dentes.”
28080d00a0	Então, Jesus disse ao comandante romano: “Vá para casa! Por acreditar que aconteceria, o que você pediu foi feito.” O empregado foi imediatamente curado.
28080e005a	Quando Jesus chegou à casa de Pedro, percebeu que a sogra dele estava na cama, com febre.
28080f005e	Ele tocou na mão dela e a febre passou. Ela se levantou e preparou uma refeição para Jesus.
28081000b4	Quando a noite chegou, o povo levou até Jesus muitas pessoas possuídas pelo demônio. Ele expulsou os espíritos maus com o seu comando e curou todos aqueles que estavam doentes.
2808110076	Assim se cumpriu o que o profeta Isaías disse: “Ele curou nossas doenças e nos libertou de nossas enfermidades.”
2808120061	Quando Jesus viu a multidão ao seu redor, ele ordenou que eles fossem para o outro lado do lago.
2808130064	Um dos educadores religiosos se aproximou dele e disse: “Mestre, eu o seguirei aonde você for!”
2808140086	Jesus lhe disse: “As raposas têm as suas tocas e os pássaros têm os seus ninhos, mas o Filho do Homem não tem onde descansar.”
2808150061	Outro discípulo disse para Jesus: “Senhor, permita-me primeiro voltar e sepultar o meu pai.”
280816004c	“Siga-me! Deixe que os mortos sepultem os seus mortos”, Jesus respondeu.
2808170044	Então, Jesus subiu em um barco e os seus discípulos foram com ele.
280818006f	De repente, chegou uma tempestade violenta, que fazia as ondas cobrirem o barco, mas Jesus continuava dormindo.
280819006e	Os discípulos chegaram perto dele e o acordaram. “Senhor, salve-nos! Nós iremos morrer!”, eles gritaram.
28081a00c6	“Por que vocês estão com tanto medo? Por que vocês têm fé tão pequena?”, ele perguntou. Então, ele se levantou e ordenou que os ventos e as ondas parassem. Tudo ficou absolutamente calmo.
28081b006e	Os discípulos ficaram admirados e disseram: “Quem é este? Até mesmo os ventos e as ondas lhe obedecem!”
28081c00d2	Quando ele chegou ao outro lado, na região de Gadara, dois homens possuídos por demônios saíram do cemitério para encontrá-lo. Eles eram tão perigosos que ninguém se atrevia a passar por aquele caminho.
28081d0065	Eles gritaram: “Filho de Deus, o que você quer de nós? Você veio nos castigar antes do tempo?”
28081e0035	Próximo dali havia muitos porcos que se alimentavam.
28081f005e	Os demônios suplicaram a ele: “Se você vai nos expulsar, mande-nos para aqueles porcos.”
280820008b	Jesus disse: “Vão!” Os demônios saíram dos homens e entraram nos porcos. Todos os porcos se jogaram da encosta e se afogaram no mar.
28082100bd	Os homens que tomavam conta dos porcos fugiram. Eles chegaram à cidade e contaram para as pessoas de lá tudo o que havia acontecido com os porcos e com os homens possuídos por demônios.
2808220083	Todos os moradores da cidade foram conhecer Jesus. Quando eles o encontraram, imploraram para que ele fosse embora daquela região.
280901005d	Assim, Jesus subiu em um barco, atravessando o lago de volta para a cidade em que ele morava.
28090200d6	Chegando lá, as pessoas levaram até ele um paralítico que estava em uma esteira. Quando Jesus viu como eles confiavam nele, disse para o paralítico: “Meu amigo, alegre-se! Os seus pecados estão perdoados.”
280903006f	Naquele momento, alguns educadores religiosos disseram uns para os outros: “Ele está dizendo blasfêmias!”
2809040072	Mas Jesus sabia o que eles pensavam. Ele perguntou: “Por que vocês abrigam esses maus pensamentos em sua mente?
