2800000005	Mateu
280213005b	Dupã tsi Ierodul muri, ia un anghil a Domnului si lj-fãnirusi tu yis al Iosif tu Eghyptu,
2802140092	shi lj dzãsi: “Scoal-ti, ljea cilimeanlu sh-muma a lui sh-imnã tu loclu al Israel cã atselji tsi vrea s-lu vãtãma cilimeanlu au muritã.”
280215004c	Sh-elu si sculã, lo cilimeanlu sh-muma a lui shi s-dusi tu loclu al Israel.
28021600be	Ma, cãndu avdzã cã Arhelaul, domnea la Iudea tu loclu al Ierod, tatãl a lui, avu fricã si s-ducã aclo. Shi, dupã tsi s-urnipsi di la Dumnidzãlu tu yis, s-dusi tu loclu a Galileiljei.
28021700a7	Sh-dupã tsi agiumsi aclo, shidzu la un cãsãbã tsi s-acljima Nazaret, tsi si mplinea atsea tsi eara dzãsã di la prufitsilji: “Elu va si s-acljeamã Nazareas.”
280301004e	Tu atseali dzãli vini Ioan Pãtidzãtorlu, tsi predica tu irnjia a Iudeiljei,
2803020053	shi dzãtsea: “Mitãnjiusits-vã, cã amirãriljea a tserurilor easti aproapi!”
28030300a2	Sh-ti Ioanul avea gritã prufitlu Isaia cãndu dzãsi: “Boatsea atsilui tsi aurlã tu irnjii: ‘Ndridzets-u calea a Domnului, ndriptats cãrãrili a lui.’”
2803040086	Ioanul avea nviscutã un stranji di lãna a cãmilãljei sh-un brãn di chealã la mesi. Elu s-hrãnea cu carcaletsi shi njeari-agrã.
2803050064	Atumtsea oamnjilji a Ierusalemlui, di tutã Iudea sh-di locurili a Iordanlui s-dutsea cãtrã nãsu,
280306004a	shi s-pãtidza di la nãsu, tu arãu Iordan mãrtirsinda amãrtiili a lor.
28030700c7	Ma elu, vidzãnda cã multsã Farisei shi Saducei ma yinea s-pãtidzea la nãsu, lã dzãsi a lor: “Pulji di nãpãrtitsi, cai vã ari nvitsatã tsi s-ascãpats di nãrirea al Domnului tsi ma yini?
280308002f	Dats fruti buni trã mitãnjiusirea a voastrã!
28030900a2	Sh-nu dzãtsets cu mintea a voastrã: ‘Noi avem Abrahamul ca tatã.’ Cã mini ma vã dzãc cã Dumnidzãlu poati s-da hilji a Abrahamului sh-dit aesti chetri.
28030a0078	Sh-tora tupoara easti tu rãdãtsina a ponjilor. Itsi pom, tsi nu da fruti buni, va si s-talji sh-va si s-arucã tu foc.
28030b00ca	Mini ma vã pãtedz cu apã, trã mitãnjiusiri, ma atsel tsi yini dupã mini easti ma mari di mini, sh-mini nu hiu axiu nitsi s-tsãn sandalili a lui. Elu va s-vã pãteadzã cu Duhlu Sãmtu sh-cu foc.
28030c009b	Elu tsãni tu mãnã lupata sh-va lu cãtãrãseascã tut grãnarlu a lui, grãnlu a lui va lu adunã tu hãmbar, ma cotsala va lu ardã tu foc niastes.”
28030d0051	Atumtsea vini Isusul dit Galilea la Iordan, la Ioanul tra s-pãteadz di la nãsu.
28030e0067	Ma Ioanul lu ncuntrã dzãcãnda: “Mini prindi s-mi pãtedzu di la tini, sh-tini ma yinji la mini?”
28030f007d	Sh-Isusul, apãndisinda, lji dzãsi: “Alasã si s-facã tora, cã ashã mplinim itsi ndriptati.” Atumtsea elu lu alãsã.
28031000a3	Sh-Isusul, macãt s-pãtidzã, ishi dit apã. Shi ia, tserurili s-disfeatsirã, sh-elu vidzu Duhlu a Dumnidzãlui dipunãnda ca un purumbu sh-vininda pristi nãsu.
280311006a	Shi ia, unã boatsi dit tser tsi lj-dzãsi: “Aestu easti Hiljiu a meu vrut, di la cai escu hãrãsit.”
2804010040	Atumtsea Duhlu lu adusi Isusul tu irnjii, tsi draclu su cãrtea.
2804020067	Shi dupã tsi tsãnu pãreasinj patrudzãtsi di dzãli sh-patrudzãtsi di noptsã, ma napoi u lo foama.
2804030085	Atumtsea cãrtitorlu, dupã tsi s-apruche, lji dzãsi: “Ma s-hii Hiljiu a Dumnidzãlui, dzã tsi aesti chetri si s-facã pãnji.”
2804040086	Ma elu lj-apãndisi: “Scritura dzãtsi: ‘Omlu nu bãneadzã mash cu pãni, ma cu itsi zbor tsi easi dit gura a Dumnidzãlui.’”
2804050051	Atumtsea draclu lu adusi tu sãmtul cãsãbã sh-lu bãgã tu mãeaua a tempului,
28040600f3	sh-lji dzãsi: “Ma s-hii Hiljiu a Dumnidzãlui, arucã-ti nghios, cã Scritura dzãtsi: ‘Elu va da ordin a anghiljilor a lui trã tini, sh-atselji va ti tsãnã tu mãnjili a lor tsi s-nu agudeshti cu ciciorlu a tãu vãrã cheatrã.’”
2804070067	Isusul lj-dzãsi: “Scritura dzãtsi tutashã: ‘S-nu lu cãrteshti Domnul, Dumnidzãlu a tãu.’”
280408006c	Draclu lu dusi dinou pri un munti multu analtu sh-lji spusi tuti amirãriljili a lumiljei sh-mãrirea a lor,
2804090076	sh-lji dzãsi: “Mini va tsã li dau tuti aesti, macã tini cadz pri dintsã nãintea a mea sh-va-nji ti-ncljinji.”
28040a008d	Atumtsea Isusul lji dzãsi: “Fudzi, Satane, cã easti scriatã: ‘Alavdã Domnul, Dumnidzãlu a tãu, sh-lucreadzã mash trã nãsu.’”
28040b0050	Atumtsea draclu lu alãsã, sh-ia, s-apruchearã anghilji tra s-lji huzmitipsea.
28040c004d	Cãndu Isusul avdzã cã Ioanul lu avea bãgat tu hapsi, s-trapsi tu Galilea.
28040d007b	Deapoea alãsã Nazaretul shi s-dusi s-bãneadzã la Capernaum, cãsãbã ningã amari, tu sinurili al Zabulon shi Neftali,
28040e0044	tsi si mplineascã tsi eara dzãsã di la prufitlu Isaia cai dzãsi:
28040f0071	“Loclu al Zabulon sh-loclu al Neftali, mardzina a amariljei, loclu napãrti di Iordan, Galilea a pãngãnjilor,
2804100094	populu tsi bãna tu scutidi ari vidzutã unã lunjinã mari, sh-pristi atselji tsi stãtea tu loclu a aumbriljei a moartiljei, arãsãri lunjina.”
280411007a	Di atumtsea Isusul apãrnji s-predica shi s-dzãtsea: “Mitãnjiusits-vã cã amirãriljea a tserurilor easti aproapi.”
28041200a8	Cãndu ma fudzea ningã amarea a-Galileiljei, Isusul vidzu doi frats: Simonul tsi s-acljima Petru, sh-Andrea, frati-su, tsi ma aruca plãsili tu amari cã eara piscari.
2804130056	Sh-lã dzãsi a-lor: “Haidets dupã mini sh-mini va vã facã piscari di oaminji.”
2804140034	Sh-dinãoarã elji alãsarã plãsili sh-lu urmarã.
28041500b8	Sh-cum s-dusi ma nclo, vidzu doi altsã frats: Iacovul, hiljiu al Zevedeu sh-Ioanul, fratili a lui, tu varcã deadun cu Zevedeu tatili a lor, tsi ma ndridzea plãsili. Sh-lji acljimã.
2804160049	Elji alãsarã trãoarã varca sh-tatãl a lor shi s-dusirã dupã nãsu.
28041700a7	Isusul strãbãtea tutã Galilea, nvitsãnda tu sinagodzili a lor, predicãnda evanghelul a amirãriljei sh-vindicãnda itsi lãngoari sh-itsi niputeari eara tu popul.
28041800be	Ashã anamea a lui si arãspãndi tu tutã Siria, sh-lji adutsea tuts lãndzitslji tsi s-munduea di niputeri sh-dureri soi di soi, demonizatsi, epileptici sh-paralizatsi, sh-elu lji vindica.
2804190080	Sh-un multsãmi mari di oaminji nidzea dupã nãsu dit Galilea, dit Decapoli, dit Ierusalem, dit Iudea sh-di napãrti di Iordan.
2805010075	Sh-cãndu Isusul vidzu multsãmea, s-alinã pri munti, sh-dupã tsi shidzu, s-apruchearã di nãsu ucenitsilji a lui.
2805020032	Sh-elu discljisi gura, sh-lji-nvitsã. Elu dzãsi:
280503005f	“Ghinicuvãntats suntu atselji oarfãnjlji tu duh, cã a lor easti amirãriljea a tserurilor.
2805040049	Ghinicuvãntats suntu atselji tsi vãiteascã, cã elji va s-diznjeardã.
2805050049	Ghinicuvãntats sãntu atselji froninji, cã elji va mushtineadzã loclu.
280506005f	Ghinicuvãntats suntu atselji tsi au foami shi seati ti ndriptati, cã elji va s-fãnãteascã.
2805070045	Ghinicuvãntats suntu atselji njiluitsilji, cã elji va aflã njilã.
280508005c	Ghinicuvãntats suntu atselji tsi suntu curats tu inimã, cã elji va lu veadã Dumnidzãlu.
2805090060	Ghinicuvãntats suntu atselji tsi aducã pacea, cã elji va s-acljeamã hiljilji a Dumnidzãlui.
28050a0064	Ghinicuvãntats suntu atselji avinatsilji trã ndriptati, cã a lor easti amirãriljea a tserurilor.
28050b0085	Ghinicuvãntats va-hits voi cãndu va vã ngiurã, sh-va vã avinã, sh-arãdãnda, va dzãc tuti arãli contra voi, trã itia a mea.
28050c0098	Hãrãsits-vã shi harãcupsits-vã, cã mari easti arãsplãtirea a voastrã tu tseruri, cã ashã lji avinarã sh-prufitsãlji nãintea a voastrã.”
28050d0096	“Voi hits sarea a loclui. Ma, macã sarea s-aspardzi cum poati su amintã njurizma? Nu fatsi di tsiva, di cãt trã arcari, shi su calcã oaminjili.
28050e0053	Voi hits lunjina a lumiljei. Un cãsãbã adratã pri munti nu poati si s-ascundã.
28050f008d	Tutashã nu s-aprindi un cãndilã tra si s-bagã sum vasã, ma tra si s-bagã pri shandan shi s-facã lunjinã trã tuts tsi suntu la casã.
28051000a4	Ashã s-lunjineadzã lunjina a voastrã nãintea a oamnjilor, tra s-veadã faptili a voastri atseali buni, shi s-mãreascã Tatãl a vostru tsi easti tu tseruri.”
2805110069	“Nu minduits cã mini vinj s-aspargu legea icã prufitsilji. Mini nu vinj s-aspargu, ma s-li mplinescu.
28051200a7	Cã dealihea vã dzacã: Pãnã cãndu tserlu shi loclu s-treacã, nitsi unã iotã sh-nitsi unã chicutã nu va s-trecã di legea, ma nãinti tsi si mplineascã tuti.
280513010d	Atsel tsi va ncalcã un di aesti ordini ma njitsi, sh-va s-aibã nvitsatã oaminjili, elu va s-acljeamã ma njiclu tu amirãriljea a tserurilor. Ma atsel tsi va li bagã tu practicã sh-va li-nveatsã a alantsãlor, va s-acljeamã ma marli tu amirãriljea a tserurilor.
28051400a1	Trã atsea mini ma vã dzãc: macã ndriptatea a voastrã nu va s-lu treacã atsea a Scribilor sh-a Fariseilor, voi nu va s-intrats tu amirãriljea a tserurilor.
280515006f	Voi avets avdzãt cã fu dzãs a vecljilor: ‘Nu vatãmats. Caitsido tsi vatãmã va s-hibã sum giudicari.’
280516010c	Ma mini ma vã dzãc: Caitsido tsi s-nãrãeashti fãrã sibepi cu fratili a lui, va s-hiba giudicatã. Sh-cai lji dzãtsi a fratilui a lui: ‘Aspartã di-minti,’ va hibã sum giudicata al Sinedriu, sh-cai va lji dzãcã: ‘Glare,’ va hibã tu foclu ali Gheheni.
2805170064	Macã tini aduts doara a ta la altar, sh-aclo aduts aminti cã fratili a tãu ari tsiva contra tini,
2805180086	alasã aclo doara a ta, nãintea a altarlui, sh-duti ma nãinti puituea-ti cu fratili a tãu sh-deapoea toarnã-ti shi dã doara a ta.
28051900c2	Puituea-ti cu contrarlu a tãu, pãnã cãndu eshti la un cali cu nãsu, tsi s-nu ti prida contrarlu a tãu la giudicãtorlu, sh-giudicãtorlu s-ti prida la gardianlu sh-tini s-agiundz tu hapsi.
28051a004a	Dealihea tsã dzãc cã nu va eshi di-aclo, ni plãtit centezimul a fundu.
28051b0048	Voi avets avdzãt cã a vecljilor fu dzãsã: ‘Nu ncãlcats curuna.’
28051c007f	Ma mini ma vã dzãcã cã caitsido tsi mutreashti unã muljeari tra s-u aibã, ari ncãlcatã curuna cu nãsã tu inima a lui.
28051d00d5	Macã ocljiul a tãu atsel ndreptu ti dutsi tu amãrtii, scoati-l shi arucã-l diparti di tini. Cã easti ma ghini ti tini tsi s-cherdzi un di mãdularili a tali, di cãt si s-arucã tu Ghehenã tut truplu a tãu.
28051e00d0	Sh-macã mãna a ta atsea ndreapta ti dutsi tu amãrtii, si-u talji shi si-u arutsi diparti di tini. Cã ma ghini easti s-cherdzi unu din mãdularili a tali, di cãt si s-arucã tu Ghehenã tut truplu a tãu.
28051f005a	Fu dzãsã tutashã: ‘Cai alasã muljearea a lui, s-lji da cartea a dispãrtsãrilje.’
28052000be	Ma mini ma vã dzãcã: Cãtsido tsi u alasã muljearea a lui, di cãt tu arastea a putãnsiriljei, u fatsi s-ncalcã curuna. Caitsido tsi si nsoari cu unã muljear alãsatã ncalcã curuna.
2805210096	Voi avets avdzãtã tutashã cã a vecljilor fu dzãsã: ‘Nu fã spigiurari arãdioasi, ma mplinea spigiurarea a ta tsi lji ai faptã a Domnului.’
2805220063	Ma mini ma vã dzãcã: Nu spigiurats-vã dip, nitsi pri tserlu, cã easti thronlu a Dumnidzãului,
280523007d	nitsi pri loclu, cã easti scamnul a cicioarilor a lui, nitsi pri Ierusalemlu cã easti cãsãbãlu a Amirãlu atsel marilui.
280524006d	Nu ti spigiur nitsi pri caplu a tãu, cã nu ai fuchii s-alãgheshti icã s-lãeshti macari sh-un hir di per.
2805250060	Ma sborlu a tãu s-hibã: ‘Ie, ie’ icã ‘Nu, nu.’ Cã itsido ma multu yini di la slablu.
2805260052	Voi avets avdzãtã cã fu dzãsã: ‘Ocljiu trã ocljiu shi dinti trã dinti.’
2805270090	Ma mini ma vã dzãcã: Nu lji ncuntreadzã a arãului (cu arãu). Macã vãrã ti agudeashti pri fatsa atsea nandreapta, toarnã-lji sh-alanta.
2805280053	Sh-macã vãrã va ti ducã tu giudic, tra s-ljea tunica a ta, dã-lji sh-mantelul.
280529004c	Shi macã vãrã ti strindzi sã imnji unã milje, tini fã doauã cu nãsu.
28052a0058	Dã-lji a tsilui tsi ts-caftã, sh-nu arnisea s-lji dai atsilui tsi ts-caftã mprumutã.
28052b0062	Voi avets avdzãtã cã fu dzãsã: ‘S-vrei aproapilu a tãu shi s-aurãshti neamiclu a tãu.’
28052c00d4	Ma mini ma vã dzãcã: S-vrets neamitsilji a voshtri, ghinicuvãntats atselji tsi vã blastimã. Fãtsets ghini atsilor tsi vã aurãscu, shi pãrãcãlsits-vã trã atselji tsi vã fac arãu, shi vã aĝunescu,
28052d00bf	tra s-hits hiljilji a Tatãlui a vostru tsi easti tu tseruri. Cã elu fatsi s-easã soarili a lui pri bunjilji shi pri arãljilji, shi fatsi s-da ploai pri ndreptsãlji shi pri nidreptsãlji.
28052e005f	Cã ma s-vrets mash atselji tsi vã vor, tsi arãsplatã va avets? Nu fac ashã shi taxidarlji?
28052f0077	Sh-macã salutats mash fratsãlji a voshtri, tsi ma multã dicãt altsãlji fãtsets voi? Nu fac ashã sh-pãngãnilji?
280530004f	S-hits ashã perfectsã ashã cum easti perfect sh-Tatãl a vostru tserescu.”
28060100ba	Isusul dzãsi: “Bãgats mintea s-nu fãtsets ghini nãintea a oaminjilor, tsi elji s-vã alavdã a voauã, altã soi nu va vã arãsplãtits di la Tatãl a vostru tsi easti tu tseruri.
28060200d0	Cãndu s-dai dicunji, nu bati trumpeta nãintea a ta, ashã cum fac ipucritsilji tu sinagogã sh-pri cãljiuri, tra s-hibã tinjisits di oaminjli. Dealihea vã dzãc ca elji tora u-au loatã arãsplata a lor.
2806030047	Cãndu fatsi ghini, astãnga a ta s-nu shtii tsi fatsi a andrepta a ta.
2806040090	Cãndu u fats buneatsa a ta, s-facã pri ascumtu. Sh-Tatãl a tãu tsi veadi pri ascumtu, el va-ti arãsplãteascã a tsãia nãintea a tutulor.
28060500fe	Sh-cãndu tini ti pãrãcãlseshti, nu ti fã ca ipucritslji cã a lor lã arãseashti s-pãrãcãlseascã mproshtsi tu sinagogã, sh-tu pãdzili a cãljurilor tra s-hibã vidzuts di oamnjilji. Dealihea vã dzãc cã elji tora u au loat arãsplata a lor.
28060600cd	Ma tini candu s-ti pãrãcãlseshti intrã tu udãlu a tãu, ncljidi usha sh-pãrãcãlseati a Tatãlui a tãu pri ascumtu. Sh-Tatãl a tãu tsi veadi pri ascumtu va ti arãsplãteascã nãintea a tutulor.
280607009f	Cãndu vã pãrãcãlsits s-nu folosits idyili zboari ca pãngãnjilji, cã elji mindueascã cã va si-mplineascã pãrãcãlsirea cã au dzãsã multi zboari.
2806080075	Nu vã fãtsets ca atselji, cã Tatãl a vostru li shtii tuti di tsi avets ananghi, ma nãinti tsi voi s-li cãftats.
2806090064	Ma voi pãrãcãlsits-vã ashã: ‘Tatãl a nostru tsi eshti tu tseruri, si sãmtseascã numa a ta.
28060a0050	S-yinã amirãriljea a ta. Si s-facã vrearea a ta tu loc, ashã di cum tu tser.
28060b003a	Pãnea a noastrã di cathi dzuã, dã-nã-u a noauã azã.
28060c0062	Sh-ljeartã-nã amãrtiili a noastri, ashã di-cum sh-noi lã ljirtãm a amãrtioshilor a noshtri.
28060d0093	Sh-nu nã alasã s-cãdem tu cãrteari, ma nã ascapã di atsel arãu. [Cã a ta easti amirãriljea, sh-putearea, sh-mãrirea di totãna]. Amen.’
28060e0071	Cã macã voi lã ljirtats a oamnjilor amãrtiili a lor, Tatãl a vostru dit tser va vã li ljeartã sh-a voauã.
28060f0079	Ma, macã voi nu lã ljirtats a oamnjilor amãrtiili a lor, nitsi Tatãl a vostru nu va li ljeartã amãrtiili a voastri.
28061000d7	Sh-cãndu s-tsãnets pãreasini s-nu vã spunets nvirinats ca ipucritsilji. Cã elji aspargã fãtsili tsi s-aspunã a oamnjilor cã tsãnã pãreasini. Dealihea vã dzãc cã elji tora u-au loatã arãsplata a lor.
280611004d	Iarã tini, cãndu s-tsãnji pãreasini, aundzi caplu sh-aspealã fatsa a ta,
28061200ba	tra s-nu lã aspunji a oamnjilor cã tini ma tsãnji pãreasini, ma a Tatãlui a tãu pri ascumtu sh-Tatãl a tãu cai mutreashti pri ascumtu, va ti arãsplãteascã nãintea tutulor.”
280613006c	“Nu adunats trã voi ayishteari pri loc, iu li aspargã molitsa sh-arudzina, sh-iu furlji sapã shi furã.
280614007c	Ma aduanats trã voi ayishteari tu tser, iu nitsi molitsa, nitsi arudzina nu li aspargu, sh-iu furlji nu sapã shi nu furã.
2806150048	Cã iu easti ayishtearea a vostrã, aclo va s-hibã sh-inima a voastrã.
2806160062	Lunjina a truplui easti ocljiul. Macã ocljilu a tãu easti curat, tut truplu va s-hibã lunjinat.
280617009b	Macã ocljiul a tãu easti arãu, tut truplu a tãu va s-hibã tu scutidi. Macã lunjina tsi easti la tini easti scutidi, cãt ma mari va s-hibã scutidlu!
28061800d9	Vãrã nu poati s-huzmitipseascã la doi domnji. Cã icã va s-lu aurascã unlu sh-va alantu, icã va armãn pistimen la unu, sh-va dispretsueascã alantu. Nu pots s-huzmitipseshti a Dumnidzãlui sh-a pãradzãlor.”
28061900e5	“Trã atsea ma vã dzãc: Nu vã minduits ti bana a voastrã, tsi va mãcats shi tsi va bets, nits ti truplu a vostru trã atsea tsi va nvishtets. Vahi nu easti bana ma scumpã di cãt hrana, sh-truplu ma scumpu di nvishtearea?
28061a00b7	Mutrits puljilji a tserlui, elji nu seaminã, nitsi seatsirã, nu adunã tu hãmbãri, cu tut atsea Tatãl a vostru dit tser lji hrãneshti. Nu custusits voi ma multu di cãt atselji?
28061b005d	Sh-cai di voi cu tut cãshtiga a lui poati s-adavgã la statura a lui macari un cubit singur?
28061c007c	Cã tse vã cãrtits di nvishtearea a voastrã? Mutrits cum creascã zãmbatsilji a cãmpului, nu lucreadzã sh-nitsi torcu.
28061d0062	Sh-ma vã dzãc cã nitsi Solomonul, cu tutã mãrirea a lui, nu eara nviscutã ca vãrã di elji.
28061e00ae	Tora macã Dumnidzãlu u-nveashti ashã iarba a cãmpului tsi azã easti sh-mãni va si s-arucã tu cireapu, vahi nu va vã-nveascã a voauã ma multu, oaminji pisti-putsãn?
28061f005e	Nu vã cãrtits dzãcãnda: ‘Tsi va mãcãm icã tsi va bem, icã cu tsi va nã nvishtem?’
2806200086	Cã suntu pãngãnjili tsi caftã tuti aesti lucri. Tatãl a vostru di tser lu shti ghini cã voi avets ananghi trã tuti aesti lucri.
280621007d	Ma, nãnti di tuti cãftats amirãriljea a Dumnidzãlui shi ndriptatea a lui sh-tuti aesti ananghi va s-vã adavgã a voauã.
2806220087	S-nu avets gaile trã dzua di mãni. Cã dzua di mãni va si s-cãshtigheadzã di nãsã. Lj-agiundzi a dzuãljei arãutatea a ljei.”
280701003a	Isusul dzãsi: “Nu giudicats, tra s-nu s-hits giudicats.
2807020067	Cã voi va vã giudicats dupã giudicarea tsi voi fãtsets, sh-cu metrul tsi misurats, va vã misurats.
2807030055	Cãtse vedz paljiu tu ocljiul a fratilui a tãu, sh-nu vedz grenda tu ocljiul a tãu?
2807040088	Icã, cum pots s-lji dzãtsi a fratilui a tãu: ‘Ashteaptã s-tsã scot paljiu dit ocljiu’, cãndu ai un grendã tu ocljilul a tãu?
2807050089	Ipocrite, scoati ma nãinti grenda dit ocljiul a tãu, sh-deapoea va vedzi curatã tra s-lji scots paljiul dit ocljiul a fratilui a tãu.
28070600be	Nu lã dats a cãnjilor tsi easti sãmtã sh-nu lã-arucats mãrgãritãrili a voastri nãintea a portsilor, tsi s-nu li ncalcã cu cicioari shi si s-toarnã contra voi shi s-vã disicã.”
280707005d	“Dicunjats sh-va vã da, cãftats sh-va aflats, asunats la ushã shi va vã si dischljidã.
