0100000009	ኡመመ
01010c00fe	ለፍትስ ብቅልቱ አኩመ ጎሰሳት ሰኚ ባሱ፣ ሙከ እጀ ኬኑ፣ ከን እጅሳስ ሰኚ ኦፍ ኬሳ ቀቡ አዱመ አዳን አኩመ ጎሰሳት ባስቴ። ዋቅንስ ወን ኩን አከ ጋሪ ተኤ አርጌ።
01010d0044	ገልገለስ ተኤ፤ ገነመስ ተኤ፤ ጉያ ሰደፋ።
01010e00f9	ዋቅንስ አከነ ጄዼ፤ “ጉያፊ ሀልከን ገርገር ባሱፍ በንቲ ሰሚረት እፈወን ሃተአን፤ እሳንስ መለቶወን ወቅቲሌን፣ ጉዮትኒፊ ወጎትን እቲን ቤከመን ሃተአን፤
01010f007c	እሳንስ እፈወን በንቲ ሰሚራ ከን ለፋፍ እፈ ኬነን ሃተአን።” አከሱመስ ተኤ።
01011000b5	ዋቅን እፈ ጉርጉዳ ለመ ኡሜ፤ ኩንስ አከ እፍን ጉዳን ጉያ፣ እን ጥናንሞ ሀልከን ሞኡፍ። አከሱመ ኡርጂወንሌ ኡሜ።
0101110063	ዋቅንስ አከ እሳን ለፋፍ እፈ ኬነኒፍ በንቲ ሰሚረ እሳን ካኤ፤
01011200ba	ኩንስ አከ እሳን ጉያፊ ሀልከን ሞአኒፊ አከ እፈ ሰነ ዱከነራ ገርገር ባሰኒፍ። ዋቅንስ ወን ኩን አከ ጋሪ ተኤ አርጌ።
0101130047	ገልገለስ ተኤ፤ ገነመስ ተኤ፤ ጉያ አፉረፋ።
01011400bc	ዋቅንስ፣ “ብሻን ኡመመወን ሉቡ ቀቤዪ ሙኙቀኒን ሃጉተሙ፤ ስምብሮትንስ ለፋ ኦልት፣ በንቲ ሰሚ ኬሰ ሃበርሰን” ጄዼ።
010115011c	ከናፉ ዋቅን ኡመመወን ገላና ጉርጉዳ፣ ሉቡ ቀቤዪ ሙኙቀን ከኔን ገላነ ኬሰ ጅራተን ሁንዳፊ ስምብሮተ ቆቾ ቀበን ሁንደ አኩመ ጎሰሳኒት ኡሜ። ዋቅንስ ወን ኩን አከ ጋሪ ተኤ አርጌ።
01011600a7	ዋቅንስ፣ “ሆራ፤ ባይአዻ፤ ብሻን ገላኖታስ ጉታ፤ ስምብሮትንስ ለፈረት ሃባይአተን” ጄዼ እሳን ኤብሴ።
0101170044	ገልገለስ ተኤ፤ ገነመስ ተኤ፤ ጉያ ሸነፋ።
0101180107	ዋቅንስ፣ “ለፍት አኩመ ጎሰ ጎሰሳኒት ኡመመወን ሉቡ ቀቤዪ ጄቹንስ ሆሪ፣ ኡመመወን ለፈረ ሙሙኙቀን፣ ብኔንሶተ አኩመ ጎሰ ጎሰሳኒት ሃኬንቱ” ጄዼ። አከሱመስ ተኤ።
01011900fa	ዋቅን ብኔንሶተ አኩመ ጎሰ ጎሰሳኒት፣ ሆሪ አኩመ ጎሰ ጎሰሳኒት፣ ኡመመወን ለፈረ ሙሙኙቀንስ አኩመ ጎሰ ጎሰሳኒት ኡሜ። ዋቅን ወን ኩን አከ ጋሪ ተኤ አርጌ።
01011a0136	ዋቅንስ፣ “ኮታ አከ ብፈኬኛት፣ አከ ፈኬኘኬኛትስ ነመ ኡምና፤ እሳንስ ቁርጡሚ ገላናረት፣ ስምብሮ ሰሚረት፣ ሆሪረት፣ ለፈ ሁንዱማፊ ኡመመወን ለፈረ ሙኙቀን ሁንዱማረት ኣንጎ ሃቀባተን” ጄዼ።
01011b00a0	ከናፉ ዋቅን አከ ብፈሳት ነመ ኡሜ፤ አከ ብፈ ዋቃት እሰ ኡሜ፤ እንስ ዺራፊ ዱበርቲ ታስሴ እሳን ኡሜ።
01011c0116	ዋቅንስ እሳን ኤብሴ፣ “ሆራ፣ ባይአዻስ፤ ለፈ ጉታቲ ሀርከኬሰን ጀለትስ ቡልፈዻ። ቁርጡሚ ገላናረት፣ ስምብሮተ ሰሚረት፣ ኡመመ ለፈረ ሙኙቁ ሁንደረት ኣንጎ ቀባዻ” ጄዼን።
01011d00fe	ኤርገሲ ዋቅን አከነ ጄዼ፤ “ኩኖ አን አከ እሳን ኛተ እስኒ ተአኒፍ ብቅልቱ ለፈ ሁንደረት ሰኚ ኬኑ ሁንዳፊ ሙከ እጅሳ ሰኚ ኦፍ ኬሳ ቀቡ ጎሰ ሁንደ እስኒ ኬኔረ።
01011e0135	አንስ ብኔንሰ ለፋ ሁንዳፍ፣ ስምብሮተ ሰሚ ሁንዳፍ፣ ኡመመ ለፈረ ሙኙቁ ሁንዳፍ ጄቹንስ ዋን ሀፉረ ጅሬኛ ኦፍ ኬሳ ቀቡ ሁንዳፍ አከ ኛተሳኒ ተኡፍ ብቅልቱ ለልሳ ሁንደ ነንኬነ።” አከሱመስ ተኤ።
01011f00a8	ዋቅንስ ዋን ሆጄቴ ሁንደ እላሌ፤ ወን ሱንስ ዹጉማን ጋሪ ቱሬ። ገልገለስ ተኤ፤ ገነመስ ተኤ፤ ጉያ ጀአፋ።
0102010077	ኡመምን ሰሚቲፊ ለፋ፣ ከን ዋን እሳን ኬሰ ጅሩ ሁንዳስ ሃለ ከናን ጡሙረሜ።
010202009b	ዋቅን ሆጂ ሆጄቻ ቱሬ ሁንደ ጉያ ቶርበፋት ፍጤ፤ ከናፉ እን ጉያ ቶርበፋት ሆጂሳ ሁንዱማራ ቦቆቴ።
0102030096	ዋቅን ሰበቢ ጋፈ ሰነ ሆጂ ዋ ኡሙ ከን ሆጄቻ ቱሬ ሁንደራ ቦቆቴፍ ጉያ ቶርበፋ ኤብሴ ቁልቁሌሴ።
0102040091	ሴናን ሰሚወኒቲፊ ለፋ ከን ዬሮ እሳን ኡመመኒ፣ ዬሮ ዋቀዮ ዋቅን ለፋፊ ሰሚወን ኡሜ ከናዸ።
01020500f3	ሰበቢ ዋቀዮ ዋቅን ቦካ ህንሮብስኒፍ፣ ነምን ለፈ ቆቱስ ዋን ህንጅራትኒፍ መርግ ቶኮዩ ለፈረት ህንሙልአትኔ፤ ብቅልቱንስ ለፈ ቆቲሳረት ህንብቅሌ ቱሬ።
010206004d	ገሩ ብሻን ለፈ ኬሳ ቡርቄ ለፈ ሁንደ ኦባሰ ቱሬ።
0102070097	ዋቀዮ ዋቅን ብዮ ለፋራ ነመ ቶልቼ፤ ሀፉረ ጅሬኛስ ፉኛንሳት ባፈቴ፤ ነምንስ ኡመመ ጅራታ ተኤ።
0102080099	ዋቀዮ ዋቅንስ ኤዴን ኬሰት ገመ በአ ቢፍቱት እዶ ብቅልቱ ቆጴሴ፤ ነመ ቶልቼ ሰነስ አች ኬሰ ካኤ።
010209012c	ዋቀዮ ዋቅን ሙኬን ጎሰ ሁንዳ ለፈ ኬሳ ብቅልቼ፤ እን ሙኬን እጀ ነማት ቶለኒፊ ኛታፍስ ጋሪ ተአን ብቅልቼ። እዶ ብቅልቱ ሰነ ኬሰስ ሙከ ጅሬኛቲፊ ሙከ ዋን ጋሪፊ ዋን ሀማ ነመ ቤክስሱቱ ቱሬ።
01020a00ae	ለግን እዶ ብቅልቱ ሰነ ኦባሱ ቶኮስ ኤዴን ኬሳ ቡርቀ ቱሬ፤ ለግን ሱን ኤዴኒ ከኤ ገርገር በኤ ለገ አፉር ተኤ።
01020b0081	መቃን ለገ ቶኮፋ ጲሾን፤ እንስ ጉቱማ ብየ ሀዊላ፣ እዶ ወርቄን ጅሩት ናነኤ ያአ።
01020c0071	ወርቄን ብየ ሰና ጋሪዸ፤ ሀጴን ኡርጋኡፊ ሰርዶንክሲን አችት አርገሙ።
01020d0066	መቃን እሰ ለመፋ ጊሆን፤ እንስ ጉቱማ ለፈ እቶጵያት ናነኤ ያአ።
01020e00a7	መቃን ለገ ሰደፋ ጤግሮስ፤ እንስ ከራ በአ ቢፍቱቲን አሶር ጭነ ያአ። ለግን አፉረፋንሞ ኤፍራጢስ ጄዸመ።
01020f009b	ዋቀዮ ዋቅን አከ እን እሰ ምሶምሱፊ አከ እን እሰ ኤጉፍ ጄዼ ነመ ፉዼ እዶ ብቅልቱ ኤዴን ኬሰ ካኤ።
0102100095	ዋቀዮ ዋቅንስ አከነ ጄዼ ነመ አጀጄ፤ “ሙከ እዶ ብቅልቱ ከነ ኬሰ ጅሩ ሁንደራ ኛቹ ንደንዴሰ፤
0102110095	ገሩ ሙከ ዋን ጋሪፊ ዋን ሀማ ነመ ቤክስሱ ሰነራ ህንኛትን፤ ጋፈ እሰራ ኛቴ ዹጉማን ንዱታቲ።”
010212008c	ዋቀዮ ዋቅን፣ “ነምን ኮጳሳ ተኡን ጋሪ ምት፤ ገርጋርቱ እሰት ቶልቱ ነንቶልቻፍ” ጄዼ።
0102130138	ዋቀዮ ዋቅንስ ብኔንሳፊ ስምብሮተ ሰሚ ሁንዱማ ለፈራ ቶልቼ። መቃ እን እሳኒፍ ባሱ እላሉፍ ጄዼስ ገረ ነምቻት እሳን ፍዴ፤ ወን ነምች ሱን ቶኮ ቶኮ ኡመመወን ሉቡ ቀቤዪ እቲን ዋሜ ከምዩ መቃ ተኤፍ።
01021400d7	ነምች ሱንስ ሆሪ ቄኤ ሁንዳፍ፣ ስምብሮተ ሰሚ ሁንዳፍ፣ ብኔንሰ ሁንዳፍ መቃ ባሴ። አዳሚፍ ገሩ ገርጋርቱን እሰት ቶልቱ ህንአርገምኔ።
01021500c3	ከናፍስ ዋቀዮ ዋቅን አከ ነምች ህርባን ኦፍ ወላሉ ጎዼ፤ ኡቱመ እን ረፋ ጅሩ ለፌ ጭናቸሳ ኬሳ ቶኮ ፉዼ እዶ ሰነ ፎኒን ዱቼ።
0102160082	ዋቀዮ ዋቅን ለፌ ጭናቻ ከን ነምቸ ኬሳ ፉዼ ሰነራ ዱበርቲ ቶልቼ ገረ ነምቻት ጌሴ።
01021700d4	ነምችስ አከነ ጄዼ፤ “ኤጋ ለፌን ኩን ለፌ ለፌኮቲት፤ ፎን ኩንስ ፎን ፎንኮቲት፤ እሼን ዋን ዺረራ አርገምቴፍ ‘ዱበርቲ’ ጄዸምት።”
0102180076	ከናፉ ነምን አባፊ ሃዸሳ ንዺሰ፤ ኒቲሳት ንመጠነ፤ እሳንስ ፎን ቶኮ ተኡ።
010219005e	ነምቺፊ ኒቲንሳ ቁላሳኒ ቱረን፤ ገሩ ወል ህንቃነአን ቱሬ።
01030100fe	ብኔንሰ ዋቀዮ ዋቅን ኡሜ ሁንደ ኬሳ ቦፍት ሀጤ ቱሬ። ዱበርትቲዻንስ፣ “ዹጉመ ዋቅን፣ ‘ሙከ እዶ ብቅልቱ ኬሰ ጅሩ ከም እራዩ ህንኛትና’ እስኒን ጄዼራ?” ጄዼ።
010302009a	ዱበርትቲንስ ዴብፍቴ ቦፈ ሰናን አከነ ጄቴ፤ “እጀ ሙኬን እዶ ብቅልቱ ኬሰ ጅረኒ ኛቹ ንደንዴኘ፤
01030300b9	ገሩ ዋቅን፣ ‘ሙከ ወለካ እዶ ብቅልቱ ሰና ኬሰ ጅሩራ እጀ ህንኛትና፤ እትስ ህንቡእና፤ ዮ ከና አቺ ንዱቱ’ ጄዼረ።”
010304006d	ቦፍችስ ዴብሴ ዱበርትቲዻን አከነ ጄዼ፤ “እስን ዹጉማን ህንዱተን።
01030500c1	ዋቅን አከ ዮሙ እስን እጀ ሙክቻ ኛተን እጅኬሰን በነሙ፣ አከ እስን ዋን ጋሪፊ ዋን ሀማ ቤኩዻን አከ ዋቃ ታተን ንቤካቲ።”
0103060125	ዱበርትቲንስ ዮሙ አከ እጅ ሙክቻ ኛታፍ ጋሪ፣ ከን እጀ ነማት ቶሉ፣ ኦጉማ አርገቹፍስ አከ ነመ ጎጆማስሱ አርግቴት ፉዸቴ ኛቴ። ዽርስሼስ እሼ ወጅን ቱሬ፤ እሳፍስ ንላቴ፤ እንስ ንኛቴ።
0103070092	እጅ ለቸንሳኒስ ንበነሜ፤ ቁላ ሀፉሳኒስ ቤከን፤ ከናፍስ ባለ ሀርቡ ሆዸኒ መርጦ ቶልፈተን።
01030800fe	አኩመ አዱን ቀበኖፍቴንስ ነምቺፊ ኒቲንሳ ኡቱ ዋቀዮ ዋቅን እዶ ብቅልቱ ሰነ ኬሰ ዴሙ ሰገሌሳ ዸገአን፤ እሳንስ ሙኬን እዶ ብቅልቱ ኬሰ ዋቀዮ ዋቀ ዱራ ዾከተን።
010309005a	ዋቀዮ ዋቅን ገሩ ነምቸ ዋሜ፣ “አት ኤሰ ጅርተ?” ጄዼን።
01030a00bd	ነምችስ ዴብሴ፣ “አን ኡቱ አት እዶ ብቅልቱ ኬሰ ዴምቱ ነንዸገኤ፤ ዋን ቁላኮ ቱሬፍስ ነንሶዳዼ፤ ነንዾከዼስ” ጄዼን።
01030b00a7	እንስ፣ “ኤኙቱ አከ አት ቁላ ታቴ ስት ህሜ? ሙከ አን እጀሳ ህንኛትን ጄዼ ስ አጀጄ ሰነራ ኛቴ ሞ?” ጄዼን።
01030c00b3	ነምችስ፣ “ዱበርትቲ አት አከ እሼን ነ ወጅን ጅራቱፍ ና ኬንቴ ሰነቱ እጀ ሙክቻራ ና ኬኔ፤ አንስ ነንኛዼ” ጄዼ።
01030d00ba	ዋቀዮ ዋቅንስ ዱበርትቲዻን፣ “ወን አት ሆጄቴ ኩን ማል?” ጄዼ። ዱበርትቲንሞ፣ “ቦፍት ነ ጎዎምስናነን ኛዼ” ጄቴ።
01030e012d	ከናፉ ዋቀዮ ዋቅን ቦፍቻን አከነ ጄዼ፤ “አት ሰበቢ ዋን ከነ ጎቴፍ፣ “ሆሪ ሁንዱማ ኬሳ፣ ብኔንሰ ሁንዱማ ኬሳስ ከን አባረምቴ ንታተ! በረ ጅሬኘኬቲ ጉቱ ገራኬቲን ለፈረ ሎተ፤ ብዮሌ ንኛተ።
01030f009f	ስኢፊ ዱበርትቲ፣ ሰኚኬቲፊ ሰኚሼ ግዱት ዲኑማ ነንኡመ፤ እን መታኬ ንቱመ፤ አትስ ኮሜሳ ንእድተ።”
010310011c	ዱበርትቲዻንስ አከነ ጄዼ፤ “ዮሙ አት ሙጫ ዴሱት አን ዽጵነኬ አከ መሌ ነንባይእሰ፤ ጭኒንሱዻንስ እጆሌ ንዴሰ። ፌዺንኬ ገሩመ ዽርሰኬቲ ተአ፤ እንስ ስረት ኦል ኣንቱማ ቀባተ።”
010311012a	አዳሚንሞ አከነ ጄዼ፤ “ዋን አት ዱቢ ኒቲኬቲ ዸጌሴ ሙከ አን እጀሳራ፣ ‘ህንኛትን’ ጄዼራ ኛቴፍ፣ “ለፍት ሰበቢኬቲፍ ከን አባረምቴ ታት፤ አትስ በረ ጅሬኘኬቲ ጉቱ ደዸቢዻን እሼራ ኛተ።
0103120065	እሼን ቆራቲፊ ሶኮሩ ስት ብቅልችት፤ አትስ ብቅልቱ ለፋ ንኛተ።
01031300bb	አት ዋን ለፈራ አርገምቴፍ፣ ሀመ ለፈት ዴብቱት ደፍቀ ፉለኬቲቲን ቡዴነ ኛተ፤ ዋን ብዮ ታቴፍስ፣ ገረ ብዮት ዴብተ።”
0103140073	አዳምስ ሰበቢ እሼን ሃዸ ጅራቶ ሁንዳ ታቴፍ ኒቲሳ “ሄዋን” ጄዼ ሞጋሴ።
0103150065	ዋቀዮ ዋቅን አዳሚፊ ሄዋኒፍ ጎጋራ ኡፈተ ሆጄቴ እሳንት ኡፍሴ።
010316012b	ዋቀዮ ዋቅንስ፣ “ኩኖ ነምን ዋን ጋሪፊ ዋን ሀማ ቤኩዻን ኑ ኬሳ አከ እሰ ቶኮ ተኤረ። አመስ ሀርከሳ ሂጠቴ፣ እጀ ሙከ ጅሬኛ ጭረቴ ኛቹን፣ በረ በራንስ ጅራቹን እሳፍ ኤየመሙ ህንቀቡ” ጄዼ።
010317009d	ከናፉ ዋቀዮ ዋቅን ለፈ ብቅልቱ ኤዴን ኬሳ ነምቸ ባሴ አከ እን ለፉመ እራ አርገሜ ሰነ ምሶምሱ ጎዼ።
01031800fa	ኤርገ ነመ አቺ ባሴ ቦዴ ከራ ሙከ ጅሬኛት ጌሱ ኤግስሱፍ ጄዼ ኪሩቤሎታፊ ጎራዴ ቦበኡ ከን አሲፊ አች ገገረገሉ ቶኮ እዶ ብቅልቱ ኤዴኒቲን ገመ በአ ቢፍቱ ካኤ።
01040100ca	አዳም ኒቲሳ ሄዋን ብረ ገኤ፤ እሼንስ ኡልፎፍቴ ቃይንን ዴሴ። እሼንስ፣ “አን ገርጋርሰ ዋቀዮቲን እልመ ቶኮ አርገዼረ” ጄቴ።
010402008a	እት ኣንስቴስ ኦቦሌሰሳ አቤልን ዴሴ። አቤል ትክሴ ሆሎታ ቱሬ፤ ቃይንሞ ለፈ ቆተ ቱሬ።
010403006d	ዬሮ ሙራሰ ኬሰት ቃይን ዋን ለፍት ባፍቴፍ ኬሳ ዋቀዮፍ ኣርሳ ዽኤሴ።
01040400b6	አቤልሞ ሀንገፎተ ሆሎተሳ ኬሳ ጮመ ጮመሳ ዽኤሴ። ዋቀዮ ፋረ ቶላዻን ገረ አቤሊፊ ገረ ኣርሳ እን ዽኤሴ ሰና እላሌ።
0104050084	ገረ ቃይኒፊ ገረ ኣርሳሳ ገሩ ህንእላሌ። ከናፉ ቃይን አከ መሌ ኣሬ ፉልሳ ጉራቸኤ።
0104060071	ዋቀዮስ ቃይኒን አከነ ጄዼ፤ “አት ማሊፍ ኣርቴ? ፉልኬስ ማሊፍ ጉራቸኤ?
010407010a	ኡቱ ዋን ቀጄላ ሆጄቴ ስላ አት ፉዸተመ አርገተ ምቲ? ገሩ ዮ ዋን ቀጄላ ሆጄቹ ባቴ ጩቡን በልበለኬ ዱረት ርጴ ስ ኤገተ፤ ስ ቀበቹ በርባደስ፤ አት ገሩ እሰ ሞአቹ ቀብደ።”
01040800c8	ቃይንስ ኤርገሲ ኦቦሌሰሳ አቤሊን፣ “ኮቱ ሜ ድሬት ባና” ጄዼ። ኡቱመ ድሬረ ጅረኑስ ቃይን ኦቦሌሰሳ አቤልት ከኤ እሰ አጄሴ።
01040900c5	ዋቀዮስ፣ “ኦቦሌስኬ አቤል ኤሰ ጅረ?” ጄዼ ቃይን ጋፈቴ። ቃይንሞ፣ “አን ህንቤኩ፤ አን ኤግዱ ኦቦሌሰኮቲቲ?” ጄዼ ዴብሴ።
01040a0072	ዋቀዮ አከነ ጄዼ፤ “አት ማል ጎቴ? ዺግን ኦቦሌሰኬቲ ለፋ ነት እያ ጅረ።
01040b008c	አት አመ አባረማዸ፤ ለፈ ዺገ ኦቦሌሰኬቲ ስ ሀርካ ፉዸቹፍ አፋን በነቴራስ ንአርአምተ።
01040c009e	ዬሮ አት ለፈ ቆተቱት ለፍት ዴብቴ ምዻን ሲፍ ህንኬንቱ። አት ለፈረት ጆርቱ ቦቆና ህንቀብኔ ታተ።”
01040d0072	ቃይንሞ ዋቀዮን አከነ ጄዼ፤ “አደበሙንኮ ዋን አን ባቹ ደንደኡን ኦል።
01040e00e4	ኩኖ አት ሀርአ ብያ ነ አርኣ ጅርተ፤ አንስ ፉለኬ ዱራ ነንዾከዸ፤ ለፈረት ጆርቱ ቦቆና ህንቀብኔ ነንተአ፤ ነምን ነ አርገቱ ከምዩስ ነ አጄሰ።”
01040f0101	ዋቀዮ ገሩ፣ “አከነ ምት፤ ነምን ቃይንን አጄሱ ከምዩ ደቻ ቶርበ ሃሎ ባፈመ” ጄዼን። ዋቀዮስ አከ ነምን እሰ አርገቱ ቶኮዩ እሰ ህንአጄፍኔፍ ቃይንት መለቶ ጎዼ።
0104100085	ኤርገሲስ ቃይን ፉለ ዋቀዮ ዱራ በኤ ኤዴንራ ከራ በአ ቢፍቱቲን ብየ ኖድ ኬሰ ጅራቴ።
01041100c8	ቃይን ኒቲሳ ቤኬ፤ እሼንስ ኡልፎፍቴ ሄኖክን ዴሴ። ቃይንስ መጋላ ቶኮ ሁንዴሴ፤ መጋላ ሰነስ ሄኖክ ጄዼ መቃ እልመሳቲን ዋሜ።
01041200a4	ሄኖክ ኢራድን ዸልቼ፤ ኢራድ ሜኤልን ዸልቼ፤ ሜሁያኤል መቱሳኤልን ዸልቼ፤ መቱሳኤልሞ ላሜህን ዸልቼ።
0104130058	ላሜህ ዱበርቶተ መቃንሳኒ ኣዳፊ ጢላ ጄዸሙ ለማን ፉዼ።
010414007d	ኣዳን ያባልን ዴሴ፤ ያባልስ አባ ወረ ዱንካነ ኬሰ ጅራተኒ ሆሪ ሆርሲሰኒ ቱሬ።
010415007f	መቃን ኦቦሌሰሳ ዩባል ቱሬ፤ እንሞ አባ ወረ ክራረ ሩኩተኒቲፊ ኡሉሌ አፉፈኒት።
01041600c3	ጢላንሞ እልመ ቱባል ቃይን ጄዸሙ ከን ናሲፊ ስቢለ ቱሜ ሜሻወን ገራ ገራ ሆጄቱ ዴሴ፤ ኦቦሌቲን ቱባል ቃይንስ ነአማ ቱርቴ።
010417010b	ላሜህ ኒቶተሳቲን አከነ ጄዼ፤ “ኣዳፊ ጢላን ነ ዸገኣ፤ ያ ኒቶተ ላሜሂ ዱቢኮ ዸጌፈዻ። ነመ ቶኮ ዋን እን ነ መዴሴፍ፣ ደርገጌሰ ቶኮ ዋን እን ነ ሚዼፍ አን እሰ አጄሴረ።
0104180079	ዮ ቃይኒፍ ደቻ ቶርበ ሃሎን ባፈሜ ላሜሂፍሞ ደቻ ቶርባተሚ ቶርበ ንባፈመ።”
01041900f5	አዳም አመስ ኒቲሳ ቤኬ፤ እሼንስ እልመ ዴሴ፤ መቃሳስ፣ “ኤርገ ቃይን አቤልን አጄሴ አስ ዋቅን እዶ አቤል ዳእመ ብራ ና ኬኔረ” ጄቴ “ሴት” ጄቴ ሞጋፍቴ።
01041a009e	ሴቲፍስ እልም ንዸለቴ፤ እንስ ኤኖሽ ጄዼ እሰ ሞጋሴ። በረ ሰነ ነሞትን መቃ ዋቀዮ ዋመቹ ጀልቀበን።
0105010075	ኩን ገልሜ ሰኚ አዳም። ዋቅን ዬሮ ነመ ኡሜት አከ ፈኬኘ ዋቃት እሰ ቶልቼ።
0105020097	እንስ ዺራፊ ዱበርቲ ታስሴ እሳን ኡሜ፤ እሳን ኤብሴስ። ዬሮ ኡመመንስ “ነመ” ጄዼ እሳን ዋሜ።
0105030096	አዳም ወጋ 130 ጅራቴ፤ እንስ አከ ፈካቲሳት፣ አከ ብፈ እሳትስ እልመ ዸልቼ ሴት ጄዼ መቃ ባሴፍ።
0105040081	አዳም ኤርገ ሴት ዸለቴ ቦዴ ወጋ 800 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
0105050035	ወሉመት አዳም ወጋ 930 ጅራቴ ዱኤ።
0105060035	ሴት ወጋ 105 ጅራቴ ኤኖሽን ዸልቼ።
0105070087	ኤርገ ኤኖሽን ዸልቼ ቦዴስ ሴት ወጋ 807 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
0105080032	ወሉመት ሴት ወጋ 912 ጅራቴ ዱኤ።
0105090037	ኤኖሽ ወጋ 90 ጅራቴ ቄናንን ዸልቼ።
01050a008a	ኤርገ ቄናንን ዸልቼ ቦዴስ ኤኖሽ ወጋ 815 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
01050b0035	ወሉመት ኤኖሽ ወጋ 905 ጅራቴ ዱኤ።
01050c003d	ቄናን ወጋ 70 ጅራቴ መሀለሌሊን ዸልቼ።
01050d008d	ኤርገ መሀለሌሊን ዸልቼ ቦዴ ቄናን ወጋ 840 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
01050e0035	ወሉመት ቄናን ወጋ 910 ጅራቴ ዱኤ።
01050f003d	መሀለሌል ወጋ 65 ጅራቴ ያሬድን ዸልቼ።
010510008d	ኤርገ ያሬድን ዸልቼ ቦዴ መሀለሌል ወጋ 830 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
010511003b	ወሉመት መሀለሌል ወጋ 895 ጅራቴ ዱኤ።
0105120038	ያሬድ ወጋ 162 ጅራቴ ሄኖክን ዸልቼ።
010513008b	ኤርገ ሄኖክን ዸልቼ ቦዴ ያሬድ ወጋ 800 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ቀበ ቱሬ።
0105140035	ወሉመት ያሬድ ወጋ 962 ጅራቴ ዱኤ።
0105150037	ሄኖክ ወጋ 65 ጅራቴ መቱሴላ ዸልቼ።
010516009b	ሄኖክ ኤርገ መቱሴላ ዸልቼ ቦዴ ወጋ 300 ዋቀ ወጅን ዴዴብኤ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
010517002e	ወሉመት ሄኖክ ወጋ 365 ጅራቴ።
0105180079	ሄኖክ ዋቀ ወጅን ዴዴብኤ፤ ዋን ዋቅን እሰ ፉዸቴፍ እን ዴብኤ ህንአርገምኔ።
010519003e	መቱሴላን ወጋ 187 ጅራቴ ላሜህን ዸልቼ።
01051a008d	ኤርገ ላሜህን ዸልቼ ቦዴ መቱሴላን ወጋ 782 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
01051b003b	ወሉመት መቱሴላን ወጋ 969 ጅራቴ ዱኤ።
01051c0035	ላሜህ ወጋ 182 ጅራቴ እልመ ዸልቼ።
01051d00c3	እንስ፣ “ሆጂ ኑ ለፈ ዋቀዮ አባሬ ከነረት ሆጄትኑፊ ደዸቢ ሀርከኬኛ ከነ ኬሰት ኑ ጀጀቤሰ” ጄቹዻን መቃሳ ኖህ ጄዼ ሞጋሴ።
