280000000f	मत्ती
28020601a0	“हे बैतलहम नगर, तू ज़ैन यहूदिया इलाके मां आस, यहूदियारे इलाकन मां तू बड़ू खास नगर आस, किजोकि तीं मरां अक एरो हाकिम निसेलो ज़ै मेरे लोक इस्राएलेरी रखवाली केरेलो”
280207012e	ज़ैखन हेरोदेस राज़े एन शुनू, त तैनी जोष्टी च़ुपच़ारे कुजेइतां तैन करां तारो निसनेरे ठीक वक्तेरे बारे मां पतो कियो।
28020801f9	ते तैनी जोष्टी एन ज़ोइतां बैतलहम नगरे जो भेज़े, कि “गाथ, ते तैस बच्चेरे बारे मां रोड़ेच़ारे पतो केरा ते ज़ैखन तुसन पतो लग्गे, त (वापस एइतां) मीं भी पतो देइयथ ताके अवं भी तैस कां गेइतां मथ्थो टेकी।”
28020901d6	तैना जोष्टी (हेरोदेस) राज़ेरी गल शुन्तां (यरूशलेम नगरेरां) च़ले जे। ते अकदम तै तारो, ज़ै तैनेईं पूरबे मां लोरो थियो, तैन अग्री-अग्री च़लो ते तैस घरेरे बा रुको ज़ैड़ी तैन मट्ठू थियूं।
28020a0073	ज़ैखन तैनेईं तै तारो लव, त तैना बड़े खुश भोए।
28020b01c8	तैखन तैना घरे अन्तर जे ते तैन मट्ठू तैसेरी अम्मा मरियमी कां लाव ते तैस मट्ठे कां मथ्थो टेको। तैखन तैनेईं अपने-अपने खज़ानेरे झोले खोलतां सोन्नू, लोबान ते मुर्र तैस कां च़ाढ़ू।
28020c01a5	जोष्टी केरे तैट्ठां निसनेरां पत्ती, तैन सुपने मां ए बिस्तार मैल्लो कि वापस हेरोदेसे कां न गेइयथ। एल्हेरेलेइ तैना वापस कोन्ची होरि बत्तां अपने मुलखे जो च़ले जे।
28020d0257	जोष्टी केरे गानेरां पत्ती, अचानक प्रभुएरो अक स्वर्गदूत यूसुफे सुपने मां मैल्लो ते ज़ोने लगो, “उठ, बच्चो ते तैसेरी अम्मा नेइतां मिस्र मुलखे जो नश्श। ते मेरे ज़ोने तगर तैड़ी रेइयां, किजोकि हेरोदेस राज़ो बच्चे तोप्तां मारने चाते।”
28020e00ee	यूसुफ निड्लारां उठो ते मट्ठू ते तैसेरी अम्मा साथी नेइतां रातो-रात मिस्र मुलखे जो च़लो जेव।
28020f016a	हेरोदेसेरे मरने तगर यूसुफ तैड़ी राव, ताके प्रभुएरू तैन वचन पूरू भोए, ज़ैन होशे नेबे लिखोरू थियूं, “मीं मिस्र मुलखे मरां अपनू मट्ठू कुजाव।”
28021002e0	ज़ैखन हेरोदेसे जोष्टी केरे धोखे बैज़रो पतो लगो, त तैस बड़ी सरक आई। तैनी अपने मैन्हु भेज़तां, ज़ैन गल्लां केरो पतो तैस जोष्टन करां मैल्लोरो थियो, तैनी बैतलहम नगरे ते तैसेरे आसेपासेरे इलाकन मां सिपाही भेज़तां सारां मट्ठां, ज़ैना दूई सालां केरां या दूई सालन करां निकड़ां थियां मारां।
28021100cf	ज़ैखन एन भोव, त तैखन तैन वचन पूरू भोवं, ज़ैन यिर्मयाह नेबे ज़ोरू थियूं। तैनी ज़ोवं,
2802120182	“रामाह नगर मां बेड़ि लेरां ते मातमेरि आवाज़ शुनोई, राहेल अपने बच्चां केरे लेइ लेरां देने लोरी, तैसारो दिल ठंडो न भोए, किजोकि तैसेरे बच्चे मेरि जोरन।”
2802130159	हेरोदेसेरी मौतारां पत्ती, ज़ैखन यूसुफ मिस्र मुल्खे मां थियो, त अचानक प्रभुएरो स्वर्गदूत तैस सुपने मां लेइहोव ते तैस सेइं ज़ोने लगो,
2802140155	“उठ, बच्चो ते कने तैसेरी अम्मा साथी नेइतां इस्राएल मुलखे जो वापस च़लो गा, किजोकि ज़ैना लोक बच्चे मारने चाते थिये, तैना मेरि जोरेन।”
28021500f1	फिरी यूसुफ निड्लारां बींझ़ो, ते बच्चो ते तैसेरी अम्मा साथी एन्तां इस्राएल मुलखे जो वापस अव।
2802160237	पन ज़ैखन यूसुफे एन शुनू कि अरखिलाउस अपने बाजी हेरोदेसेरी ठैरी यहूदिया इलाके पुड़ राज़ केरने लग्गोरो, त तै तैड़ी गाने करां डरो। एल्हेरेलेइ ज़ैखन यूसुफे सुपने मां परमेशरेरो बिस्तार मैल्लो, त तै गलील इलाके जो च़लो जेव।
28021701a2	ते तैड़ी पुज़तां तै नासरत नंव्वेरे नगर मां राने लगो, ताके तैन वचन पूरू भोए, ज़ैन परमेशरे अपने नेबी केरे ज़िरिये ज़ोरो थियूं। तैनेईं ज़ोवं, “तैस जो नासरी ज़ोले।”
28030101a8	तैन दिहाड़न मां यूहन्ना नंव्वेरो मैन्हु, ज़ै बपतिस्मो देनेबालो थियो, यहूदिया इलाकेरे सुनसान ठैरी मां अव। तै लोकन ज़ैना तैस कां एइते थिये, तैन ई प्रचार केरतो थियो,
2803020097	“अपने पापन करां मनफिराथ, किजोकि स्वर्गेरू राज़ नेड़े ओरूए!”
28030302bc	ई तैए ज़ेसेरे बारे मां यशायाह नेबे एन ज़ोरू थियूं, “कोई सुनसान ठैरी मां लोकन, ज़ैना तैस कां गातन, तैन उच्ची आवाज़ी सेइं ज़ोलो कि ‘तुसन कां प्रभु एजनेबालो आए, एल्हेरेलेइ तैसेरी बत तियार केरा ते कने तैसेरेलेइ सड़कां सिद्धी केरा।’ (यानी, प्रभुएरे लेइ तुस अपने दिल साफ केरा)”
28030401a5	यूहन्ना आम लिगड़ां लातो थियो ज़ैना लिगड़ां ऊँटेरे बालन सेइं बनोरां थियां। तै अपनि कमरी पुड़ चमड़ेरू मज़ बंधतो थियो। ते तै टिट्टां त कने जंगलेरू माछ़ी खातो थियो।
2803050187	तैखन यरूशलेम नगरेरे बड़े लोक ते यहूदिया इलाकेरे बड़े लोक ते यरदन दरियारे आसे-पासेरे इलाकन मरां लोक यूहन्नारी गल्लां शुन्नेरे लेइ तैस कां एइते थिये।
28030600bc	ते तैनेईं अपने पाप मेन्तां यूहन्ना करां यरदन दरियाए मां बपतिस्मो नीयो।
2803070209	पन ज़ैखन तैनी हेरू कि बड़े फरीसी ते सदूकी लोक बपतिस्मो नेनेरे लेइ तैस कां एजने लोरेन, त तैनी तैन सेइं ज़ोवं, “तुस ज़ेहरीले सप्पेरे ज़ेरे बुरे आथ! तुसन केनि ज़ोवं कि, एजनेबाले परमेशरेरे कोपे करां नश्शा?
28030800fe	सज़ाई करां बच़नेरे लेइ तैना कम्मां केरा, ज़ैन सेइं पतो लग्गे तुसेईं सच़्च़े पापन करां मन फिरावरोए।
2803090250	ते अपने-अपने दिले मां एन न सोचा कि ‘अब्राहम इश्शो बाजी आए’ (परमेशर तुश्शे पाप सिर्फ एल्हेरेलेइ माफ़ न केरेलो कि तुस अब्राहमेरी औलाद आथ), किजोकि अवं तुसन सेइं ज़ोताईं कि परमेशर इन घोड़न मरां भी अब्राहमेरे लेइ औलाद पैदा केरि सकते!
28030a0192	ते हुन्ना त बुट्टां केरे ज़ीलन पुड़ परमेशरेरो मैक्कु रख्खोरोए, एल्हेरेलेइ ज़ै कोई तैस बुट्टेरो ज़ेरो भोते, ज़ै रोड़ो फल न दे, तै कटनोए ते अग्गी मां छ़डनोए।
28030b0298	अवं त तुसन पैनी सेइं बपतिस्मो देताईं किजोकि तुसेईं मनफिरोरोए, पन मसीह ज़ै मेरे बाद एजनेबालोए, तै मीं केरां भी महान आए। अवं त तैसेरो गुलाम भोनेरे काबल भी नईं कि तैसेरे बूट छ़ुई। तै तुसन पवित्र आत्माई सेइं ते अग्गी सेइं बपतिस्मो देलो (ज़ैना मन फिरान, तैनन्)।
28030c021b	तैसेरू छज्ज तैसेरे हथ्थे मां आए ते तै खलाड़ रोड़ेच़ारे साफ केरेलो, तै गेहुं अपने कोठारे मां रखेलो, पन झ़ाझ़ी तैस अग्गी मां फुकेलो ज़ै कधे न हिश्शे। (एल्हेरेलेइ पापन करां मनफिराथ नईं त परमेशर तुसन सज़ा देलो)”
28030d00fc	तैस मौके यीशु गलील इलाके मरां यरदन दरियारे बन्ने पुड़ यूहन्ना कां अव, ताके तैस करां बपतिस्मो ने।
28030e013c	पन यूहन्ना, यीशु जो इन ज़ोइतां रोकने लगो, “मीं तीं करां बपतिस्मो नीयोरो लोड़ते, फिरी किजो तू मीं करां बपतिस्मो नेने ओरोस?”
28030f016a	पन यीशुए तैस ई जुवाब दित्तो, “हुनी तू एन्च़रे भोने दे, किजोकि एन्च़रे केरतां अस तैन केरतम ज़ैन परमेशर चाते।” तैखन यूहन्ना तैसेरी गल मन्नी।
280310017a	ते यीशु ज़ैखन बपतिस्मो नेइतां पैनी मरां बेइर अव, त तैस मौके हेरा अम्बर खुल्ली ज़ोवं। ते तैनी पवित्र आत्मा कबूतरेरी शकली मां एप्पू पुड़ एइती लाई।
280311011f	ते तैखन हेरा अम्बरे मरां ए आवाज़ आई (त यीशुएरे बारे मां ज़ोवं), “एन मेरू ट्लारू मट्ठू, अवं एस पुड़ बड़ो खुश आईं।”
28040100e1	तैल्ला पत्ती, पवित्र आत्मा यीशु सुनसान ठैरी मां नीयो, ताके शैतान तैसेरी अज़मैइश केरे।
280402008d	40 दिहाड़े ते 40 रातन किछ न खानेरां पत्ती तैस ढ्लुख लग्गी।
28040301a5	त तैखन शैताने ज़ैस जो अज़माने बालो भी ज़ोतन, तैस कां एइतां ज़ोवं, “अगर तू परमेशरेरू मट्ठू आस, त इन घोड़न जो हुक्म देइतां साबत केर, कि एना रोट्टी बनन् ताके तू खेइ सकस।”
28040401c2	यीशुए तैस जुवाब दित्तो, “अवं न केरेलो किजोकि परमेशरेरी किताबी मां लिखोरूए, ‘मैन्हु सिर्फ रोट्टेइं सेइं ज़ींतो न राए, बल्के तै हर गल मन्ने सेइं ज़ींतो राते, ज़ै परमेशर ज़ोते।’”
28040500ed	फिरी शैताने तै पवित्र नगर यरूशलेमे मां नीयो ते मन्दरेरी उच्ची छ़म्पी पुड़ नेइतां खड़ो कियो।
2804060291	तैखन तैनी यीशु सेइं ज़ोवं, “अगर तू हकीक्ति मां परमेशरेरू मट्ठू आस त इट्ठां बिछ़ड़तां साबत केर, किजोकि पवित्रशास्त्रे मां लिखोरूए, ‘तै तेरे लेइ अपने स्वर्गदूतन हुक्म देलो, ते तैना तीं अपने हथ्थन मां ट्लाले, ताके तेरे पावन केन्ची घोड़न सेइं ठोकर न लग्गे।’”
28040701e1	यीशुए तैस सेइं ज़ोवं, “(नईं, अवं छाल न मारेलो, किजोकि) परमेशरेरी किताबी मां एन भी लिखोरूए, ‘तू प्रभु अपने परमेशरे अज़मेइतां इन साबत केरनेरी कोशिश न केर कि तै अपने वादे पूरे केरते या नईं।’”
2804080127	तैखन शैताने, यीशु एक्की बड़े उच्चे पहाड़े पुड़ नीयो, ते तैड़ी दुनियारां सारां राज़्ज़ां ते तैन केरि धन दौलत तैस हिराई।
28040900fe	तैखन तैनी यीशु सेइं ज़ोवं, “अगर तू मीं कां मथ्थो टेकस ते मेरी आराधना केरस, त अवं इन सब किछ तीं देलो।”
28040a016d	यीशुए तैस जो ज़ोवं, “हे शैतान! दूर भो, किजोकि परमेशरेरी किताबी मां लिखोरूए, ‘तू सिर्फ प्रभु अपने परमेशरे कां मथ्थो टेक ते तैसेरी आराधना केर!’”
28040b00ef	तैखन शैतान तैस करां च़लो जेव, ते अकदम किछ स्वर्गदूत यीशु कां एइतां तैसेरी सेवा केरने लग्गे।
28040c0150	एक्सां केन्चे यीशु जो ज़ोवं, कि यूहन्ना ज़ै बपतिस्मो देनेबालो थियो, कैद कियोरोए त यीशु यहूदिया इलाकेरां, गलील इलाके मां वापस अव।
28040d014d	ते नासरत नगर शैरतां कफरनहूम नगरे मां राने लगो, ज़ैन समुन्दरेरे बन्ने पुड़ आए, ज़ैड़ी जबूलून ते कने नप्ताली गोट्लेरे लोक राते थिये।
28040e00a3	ताके तैन वचन ज़ैन यशायाह नेबे ज़ोरू थियूं पूरू भोए, तैनी ज़ोवं,
28040f0187	“ज़ैना लोक जबूलून ते नप्ताली गोत्रां केरे इलाके मां आन, ज़ैना गलील समुन्दरेरे नेड़े यरदन दरियारे उस पार, गलील इलाके मां आन, ज़ैड़ी गैर यहूदी लोक भी रातन,
2804100160	(तैना लोक) ज़ैना पापेरे आंधरे मां बिश्शोरेन, तैनेईं बड्डी लौ लई। तै लौ तैन पुड़ चमकी ज़ैना हमेशारे मौतारे आंधरेरे मुलखे मां बिश्शोरेन।”
280411016a	तेइसेरू देंतू यीशुए परमेशरेरी खबर लोकन शुनानेरी सेवा शुरू की। तैनी लोकन ज़ोवं, “अपने पापन करां मनफिराथ, किजोकि स्वर्गेरू राज़ नेड़े ओरूए।”
28041202b0	एक्सां ज़ैखन यीशु गलील समुन्दरेरे बन्ने च़लोरो थियो, त तैनी दूई मैन्हु लाए ज़ैना मेछ़ली ट्लानेबाले थिये। तैना मेछ़ली ट्लानेरे लेइ समुन्दरे मां ज़ाल छ़ेड्डी राओरे थिये। तैन मरां एक्केरू नवं शमौन, ज़ैस जो पतरस भी ज़ोतन, ते तैसेरो ढ्ला ज़ेसेरू नवं अन्द्रियास थियूं।
2804130114	यीशुए तैन सेइं ज़ोवं, “एज्जा मेरे चेले बना। अवं तुसन शिखालेलो कि केन्च़रां होरे मैन्हु मेरे चेले बनानेन।”
2804140080	तैना अकदम अपना ज़ालां छ़ेडतां यीशु पत्ती च़ले जे।
280415025a	ते तैना तैट्ठां थोड़े ज़ेरे अग्गर जे, त यीशुए होरे दूई ढ्ला, यानी याकूब त कने तैसेरो ढ्ला यूहन्ना अपने बाजी जब्दी सेइं साथी किश्ती मां लाए। तैना किश्ती मां ज़ालां ठीक केरने लग्गोरे थिये। यीशुए तैना भी कुजाए (कि तैना तैसेरे चेले बनन्)।
28041600cc	ते तैना भी तैखने किश्ती ते अपने बाजी तैड़ी ज़ेरे छ़ेडतां यीशु सेइं साथी च़ले जे।
2804170224	तैल्ला पत्ती, यीशु सारे गलील इलाके मां हंठतो फिरतो राव। तै तैन केरे प्रार्थना घरन मां लोकन शिक्षा देतो राव ते परमेशरेरे राज़्ज़ेरी खुशखबरी शुनातो राव। ते तै लोकां केरि हर किसमेरी बिमैरी ते कमज़ोरी दूर केरतो राव।
2804180328	यीशुएरे बारे मां ई खबर सारे सीरिया इलाके मां मुशूर भोइ जेई। एसेरे वजाई सेइं, ज़ैड़ी कोन्ची तै जेव, तैड़ी लोक सेब्भी बिमारन ज़ैना हर किसमेरी बिमैरी ते तकलीफन मां फसोरे थिये, ते ज़ैन लोकन पुड़ भूतां केरो सायो थियो, ते ज़ैना मिरगरे रोगी थिये, ते ज़ैना अधरंगेरे रोगी थिये, तैना यीशु कां आने ते यीशुए तैना सारे बज़्झ़ाए।
28041901d0	एसेरे वजाई सेइं मैन्हु केरि बड़ी भीड़ यीशु पत्ती च़ली। तैना लोक गलील, दिकापुलिस इलाकां केरे, यरूशलेम नगरेरे, यहूदिया इलाकेरे, ते यरदन दरियारे पैरीं पारेरे इलाकां केरां ओरे थिये।
280501011b	यीशु तैना हछे लोक लेइतां एक्की पहैड़ी पुड़ च़लो जेव, ते ज़ैखन तै शिखालनेरे लेइ बिश्शो त तैसेरे चेले तैस कां आए।
280502005b	तैखन यीशु तैन लोकन शिक्षा देने लगो,
28050300f3	“परमेशर तैन लोकन बरकत देते, ज़ैना ज़ानतन कि तैन परमेशरेरी ज़रूरते, किजोकि तै तैन पुड़ राज़ केरेलो।
28050400b9	परमेशर तैन लोकन बरकत देते, ज़ैना दुखी आन, किजोकि परमेशर तैन तस्सली देलो।
280505011a	परमेशर तैन लोकन बरकत देते ज़ैना नम्र आन, किजोकि परमेशर तैन, तैना सैरी बरकतां देलो ज़ैन केरो तैनी वादो कियोरोए।
28050601f6	परमेशर तैन लोकन बरकत देते, ज़ैना परमेशरेरी नज़री मां रोड़ी गल्लां केरनेरी बड़ी इच्छा रखतन, (ज़ेन्च़रे कोई ढ्लुखोरो खाने पीनेरी इच्छा रखते) तैन परमेशर अपनि मेर्ज़ी पुड़ च़लनेरे लेइ शक्ति देते।
28050700cd	परमेशर तैन लोकन बरकत देते, ज़ैना दया केरतन, किजोकि परमेशर भी तैन पुड़ दया केरेलो।
28050800c4	परमेशर तैन लोकन बरकत देते, ज़ैन केरे मन साफ आन, किजोकि तैन परमेशर दर्शन देलो।
28050900ee	परमेशर तैन लोकन बरकत देते, ज़ैना शैनतरां कम्मां केरतन, किजोकि तैन जो परमेशरेरे बच्चे ज़ोले।
28050a014c	परमेशर तैन लोकन बरकत देते, ज़ैना परमेशरेरी नज़री मां रोड़ि गल्लां केरनेरे वजाई सेइं सताए गातन, किजोकि परमेशर तैन पुड़ राज़ केरते।”
28050b018a	“परमेशर तुसन बरकत देलो, ज़ैखन लोक तुसन मेरे चेलो भोनेरे वाजाई सेइं तुश्शी तुहीन केरन ते स्तान ते झूठ ज़ोइतां हर किसमेरी बुरी गल्लां तुश्शे बारे मां ज़ोन।
28050c01aa	तैखन तुस खुशी रेइयथ ते मघन भोइयथ, किजोकि परमेशरे ज़ैन इनाम स्वर्गे मां तुश्शे लेइ रख्खेरूए तैन बड़ू बड्डूए, किजोकि लोकेईं बड़े पेइले तैना नबी भी एन्च़रे सतोरे थिये।”
28050d0251	“तुस इस दुनियारे लोकां केरे लेइ लूनेरे ज़ेरे आथ, पन अगर लूनेरो स्वाद च़ेलि गाए, त फिरी दुबारां केन्च़रे तैसेरो स्वाद वापस आनेले? फिरी तैन कोन्ची कम्मेरू न राए, सुवाए बेइरोवं शारनेरां ते लोकां केरे पांवेइं सेइं ढ्लेन्च़ोनेरां।”
28050e00fa	“तुस इस दुनियारे लोकां केरे लेइ लोअरे ज़ेरे आथ। ज़ैन नगर पहाड़े पुड़ बसते तैन कधे भी छ़ेप्पी न सके।
28050f00e1	लोक बलतो दीयो हेटी मां न रखन, पन तैस उच्ची ठैरी रखतन ताके घरेरे सैरी मैनन् लौ पुज़्ज़े।
280510014c	ते एन्च़रे तुश्शी लौ मैन्हु केरे सामने एरी चमके, ताके तैना तुश्शां रोड़ां कम्मां हेरतां तुश्शे स्वर्गेरे बाजेरी तारीफ़ केरन।”
2805110154	“एन न बुझ़थ कि अवं मूसेरो कानून या नेबी केरे किताबन मां लिखोरी गल्लां रद केरने ओरोईं। अवं तैन रद केरने नईं बल्के पूरी केरने ओरोईं।
280512019e	किजोकि अवं तुसन सेइं सच़ ज़ोताईं, कि ज़ां तगर धरती त अम्बर खतम न भोए, तांतगर परमेशरेरे कानूने मरां अक मात्रा या बिंदी भी न टलेली, ज़ां तगर सब किछ लिखोरू पूरू न भोए।
28051302ef	एल्हेरेलेइ ज़ै कोई इन निकड़े करां निकड़े हुक्मन मरां केन्ची एक्की ज़ेरे ट्लोड़ते ते होरन भी एन्ने केरनू शिखालते, तै स्वर्गेरे राज़्ज़े मां सेब्भन करां निकड़ो भोलो, पन ज़ै तैन हुक्मन पुड़ अमल केरते ते होरन भी एन हुक्मन पुड़ च़लनेरे बारे मां शिखालते त तै स्वर्गेरे राज़्ज़े मां बड्डो भोलो।
280514018a	किजोकि अवं तुसन सेइं ज़ोताईं कि ज़ां तगर तुस शास्त्री ते फरीसी लोकन करां रोड़े च़ारे कानूने न मन्नेले, तांतगर तुस स्वर्गेरे राज़्ज़े मां दाखल न भोइ सकतथ।”
2805150144	“तुसेईं शुनेरू थियूं कि परमेशरे इश्शे दादे-पड़दादन सेइं ज़ोरू थियूं, ‘खून नईं केरनो, ते ज़ै खून केरेलो त तैस आदालत सज़ा देली।’
2805160262	पन मेरू ज़ोनू एने कि ज़ै कोई अपने ढ्लाए पुड़ क्रोध केरते, परमेशर तैसेरो इन्साफ केरेलो, ते ज़ै कोई अपने ढ्लाए जो निकम्मो ज़ोते त तैस भी महासभा मां जुवाब देनो पेनोए, ते ज़ै कोई अपने ढ्लाए जो ‘बेवकूफ’ ज़ोलो त परमेशर तैस नरकेरे अगारी सज़ा देलो।
2805170107	एल्हेरेलेइ अगर तू अपनि च़ढ़तल मन्दरे मां आनस, ते तैड़ी तीं याद एज्जे कि मीं अपने ढ्लाए सेइं किछ गिलोए।
280518012e	त तू अपनि च़ढ़तल बलिदान च़ाढ़नेरि ठैरी पुड़ छ़ेडतां पेइले अपने ढ्लाए सेइं मेल-मलाप केरां, फिरी अपनि च़ढ़तल च़ैढ़ां।
2805190200	अगर कोई मैन्हु तीं पुड़ दाओ केरतां तीं आदालती मां नेनो चाते, त तू बत्तां तैस सेइं मेल-मिलाप केरां न त तैनी तू हाकिमे कां खड़ो केरनोस, ते तैनी तू सिपैहीएरे हवाले केरनोस ते सिपैहिए तू कैद केरतां छ़डनोस।
28051a00e1	अवं तुसन सेइं सच़ ज़ोताईं कि ज़ां तगर तू पाई-पाई न देलो त तांतगर तैट्ठां छुट्टी न सकेलो।”
28051b00b1	“तुसेईं शुनेरू थियूं, कि ई हुक्म दित्तोरो थियो, ‘बदमाशी नईं केरनि।’
28051c0158	पन अवं तुसन इन भी ज़ोताईं कि ज़ै कोई केन्ची कुआन्शी पुड़ गेन्दी नज़रां सेइं तकते, तैनी अपने दिले मां पेइली तैस सेइं बदमाशी केरि छ़ड्डी।
28051d01b6	अगर तेरी देइनी अछ़ तीं पाप केरनेरे लेइ ठोकर खुवाए, त तैस केढतां शार, किजोकि तेरी पूरी जान नरके मां छ़ड्डे गाने करां तेरे लेइ एन्ने रोड़ूए कि तेरी जानी मरां अक अंग नाश भोए
28051e01bb	अगर तेरो देइनो हथ तीं पाप केरनेरे लेइ ठोकर खुवाए त तैस केटतां शार, किजोकि तेरी पूरी जान नरकेरी अग्गी मां गाने करां तेरे लेइ एन्ने रोड़ूए कि तेरी जानी मरां अक अंग नाश भोए।”
28051f00e9	“एन भी ज़ोरू थियूं, ‘ज़ै कोई अपनि कुआन्श शारे त एन ज़रूरीए कि फारख्ती लिखतां हावाले केरे।’
