280000000e	ՄԱՏԹԷՈՍ
28011800a0	Յովսէփ քունէն արթննալով՝ ըրաւ ինչ որ Տէրոջ հրեշտակը հրամայեց իրեն, եւ քովը առաւ իր կինը:
2801190094	Ու չգիտցաւ զայն՝ մինչեւ որ ան ծնաւ իր անդրանիկ որդին. եւ անոր անունը Յիսուս կոչեց:
28020100c1	Երբ Յիսուս ծնաւ Հրէաստանի Բեթլեհէմին մէջ՝ Հերովդէս թագաւորին օրերը, ահա՛ արեւելքէն մոգեր եկան Երուսաղէմ,
28020200ec	եւ ըսին. «Ո՞ւր է ա՛ն՝ որ ծնաւ իբր Հրեաներուն թագաւորը. որովհետեւ մենք տեսանք անոր աստղը՝ արեւելքի մէջ, ու եկանք երկրպագելու անոր»:
2802030081	Երբ Հերովդէս թագաւորը լսեց՝ վրդովեցաւ, եւ իրեն հետ՝ ամբողջ Երուսաղէմը:
28020400c8	Ապա, հաւաքելով բոլոր քահանայապետներն ու ժողովուրդին դպիրները, հարցափորձեց զանոնք թէ ո՛ւր պիտի ծնէր Քրիստոսը:
28020500a1	Անոնք ալ ըսին իրեն. «Հրէաստանի Բեթլեհէմին մէջ: Որովհետեւ սա՛ գրուած է մարգարէին միջոցով.
2802060133	“Դո՛ւն, Բեթլեհէ՛մ, Յուդայի՛ երկիր, Յուդայի կառավարիչներուն մէջ բնա՛ւ ամենափոքրը չես. որովհետեւ Կառավարիչ մը պիտի ելլէ քեզմէ, որ պիտի հովուէ իմ ժողովուրդս՝ Իսրայէլը”»:
2802070098	Այն ատեն Հերովդէս ծածկաբար կանչեց մոգերը, ստուգեց անոնցմէ աստղին երեւցած ժամանակը,
2802080121	եւ ղրկեց զանոնք Բեթլեհէմ՝ ըսելով. «Գացէ՛ք, ճշգրտութեա՛մբ տեղեկացէք մանուկին մասին, ու երբ գտնէք զայն՝ լո՛ւր բերէք ինծի, որպէսզի ե՛ս ալ երթամ՝ երկրպագեմ անոր»:
280209012d	Երբ անոնք թագաւորէն լսեցին այս խօսքը, մեկնեցան. եւ ահա՛ այն աստղը՝ որ տեսեր էին արեւելքի մէջ, կ՚երթար անոնց առջեւէն՝ մինչեւ որ եկաւ ու կեցաւ մանուկին եղած տեղին վրայ:
28020a0042	Երբ տեսան աստղը, չափազանց ուրախացան:
28020b011d	Եւ տուն մտնելով՝ տեսան մանուկը, իր մօր՝ Մարիամի հետ. իյնալով երկրպագեցին անոր, ու բանալով իրենց գանձերը՝ մատուցանեցին անոր ընծաներ.- ոսկի, կնդրուկ եւ զմուռս:
28020c00ac	Ու երազի մէջ պատգամ ստանալով՝ որ չվերադառնան Հերովդէսի, ուրիշ ճամբայով մեկնեցան իրենց երկիրը:
28020d019d	Երբ անոնք մեկնեցան, ահա՛ Տէրոջ հրեշտակը երազի մէջ երեւցաւ Յովսէփի եւ ըսաւ. «Ոտքի՛ ելիր, ա՛ռ մանուկն ու անոր մայրը, եւ փախի՛ր Եգիպտոս. հո՛ն կեցիր՝ մինչեւ որ քեզի ըսեմ, քանի որ Հերովդէս պիտի փնտռէ մանուկը՝ կորսնցնելու համար զայն»:
28020e00ce	Ան ալ ոտքի ելաւ, գիշերուան մէջ առաւ մանուկն ու անոր մայրը, մեկնեցաւ Եգիպտոս, եւ հոն էր մինչեւ Հերովդէսի վախճանիլը,
28020f00a2	որպէսզի իրագործուի մարգարէին միջոցով ըսուած Տէրոջ խօսքը. «Եգիպտոսէ՛ն կանչեցի իմ որդիս»:
280210018f	Այն ատեն Հերովդէս, տեսնելով թէ խաբուեցաւ մոգերէն, սաստիկ զայրացաւ, ու ղրկեց՝ ջարդեց Բեթլեհէմի եւ անոր ամբողջ հողամասին մէջ եղող բոլոր մանուկները՝ երկու տարեկան ու անկէ վար, այն ժամանակին համեմատ՝ որ ստուգած էր մոգերէն:
28021100cd	Այն ատեն իրագործուեցաւ Երեմիա մարգարէին միջոցով ըսուած խօսքը. «Ռամայի մէջ լսուեցաւ ձայն մը, ողբ, լաց ու մեծ սուգ.
280212008d	Ռաքէլ կու լար իր զաւակներուն վրայ ու չէր ուզեր մխիթարուիլ, որովհետեւ չկային»:
28021300a3	Երբ Հերովդէս վախճանեցաւ, Տէրոջ հրեշտակը Եգիպտոսի մէջ երեւցաւ Յովսէփի՝ երազի մէջ, եւ ըսաւ.
28021400d4	«Ոտքի՛ ելիր, ա՛ռ մանուկն ու անոր մայրը, եւ գնա՛ Իսրայէլի երկիրը, որովհետեւ մեռան անոնք՝ որ կը փնտռէին մանուկին անձը»:
280215007b	Ան ալ ոտքի ելաւ, առաւ մանուկն ու անոր մայրը, եւ եկաւ Իսրայէլի երկիրը:
280216011b	Իսկ երբ լսեց թէ Արքեղայոս կը թագաւորէր Հրէաստանի վրայ, իր հօր՝ Հերովդէսի տեղ, վախցաւ հոն երթալու. եւ երազի մէջ պատգամ ստանալով՝ մեկնեցաւ Գալիլեայի կողմերը,
28021700c3	ու եկաւ բնակեցաւ Նազարէթ կոչուած քաղաքը, որպէսզի իրագործուի մարգարէներուն խօսքը. «Նազովրեցի պիտի կոչուի»:
280301007b	Այդ օրերը Յովհաննէս Մկրտիչը եկաւ, Հրէաստանի անապատին մէջ քարոզելով
2803020082	եւ ըսելով. «Ապաշխարեցէ՛ք, որովհետեւ երկինքի թագաւորութիւնը մօտեցած է»:
2803030101	Ա՛յս է ա՛ն, որուն մասին Եսայի մարգարէն խօսեցաւ՝ ըսելով. «Անապատին մէջ գոչողին ձայնը. “Պատրաստեցէ՛ք Տէրոջ ճամբան, շտկեցէ՛ք անոր շաւիղները”»:
28030400c7	Յովհաննէսի հագուստը ուղտի մազէ էր, իր մէջքին շուրջ՝ կաշիէ գօտի ունէր, եւ իր կերակուրը՝ մարախ ու վայրի մեղր էր:
28030500a0	Այն ատեն Երուսաղէմէն, ամբողջ Հրէաստանէն եւ Յորդանանի ամբողջ շրջակայքէն կ՚երթային իրեն,
2803060079	կը մկրտուէին իրմէ՝ Յորդանանի մէջ, ու կը խոստովանէին իրենց մեղքերը:
280307010f	Երբ տեսաւ Փարիսեցիներէն եւ Սադուկեցիներէն շատեր՝ որ եկած էին իր մկրտութեան, ըսաւ. «Իժերո՛ւ ծնունդներ, ո՞վ իմացուց ձեզի՝ խուսափիլ գալիք բարկութենէն:
2803080057	Ուրեմն ապաշխարութեան արժանավայել պտո՛ւղ բերէք.
280309010e	ու մի՛ մտածէք ձեր մէջ ըսել. “Մենք Աբրահա՛մը ունինք իբր հայր”. որովհետեւ կը յայտարարեմ ձեզի թէ Աստուած կարող է այս քարերէ՛ն հանել Աբրահամի զաւակներ:
28030a00ce	Կացինը արդէն իսկ դրուած է ծառերու արմատին քով. ուրեմն ամէն ծառ որ լաւ պտուղ չի բերեր, կը կտրուի ու կրակը կը նետուի:
28030b014c	Արդարեւ ես կը մկրտեմ ձեզ ջուրով՝ ապաշխարութեան համար, բայց ա՛ն որ կու գայ իմ ետեւէս՝ ինձմէ հզօր է, ու ես արժանի չեմ անոր կօշիկները կրելու. անիկա՛ պիտի մկրտէ ձեզ Սուրբ Հոգիով ու կրակով:
28030c00c7	Անոր հեծանոցը իր ձեռքն է. իր կալը պիտի մաքրէ եւ իր ցորենը պիտի ժողվէ ամբարը, իսկ յարդը պիտի այրէ անշէջ կրակով»:
28030d008b	Այն ատեն Յիսուս եկաւ Գալիլեայէն Յորդանան՝ Յովհաննէսի, որպէսզի մկրտուի անկէ:
28030e00a2	Յովհաննէս կ՚արգիլէր զայն ու կ՚ըսէր. «Ե՛ս պէտք է որ մկրտուիմ քեզմէ, ու դո՞ւն կու գաս ինծի»:
28030f010e	Յիսուս պատասխանեց անոր «Թո՛յլ տուր հիմա, որովհետեւ ա՛յսպէս կը պատշաճի մեզի, որ գործադրենք արդարութիւնը իր ամբողջութեամբ»: Այն ատեն թոյլ տուաւ անոր:
2803100101	Երբ Յիսուս մկրտուեցաւ, իսկոյն դուրս ելաւ ջուրէն, եւ ահա՛ երկինքը բացուեցաւ ու տեսաւ Աստուծոյ Հոգին, որ աղաւնիի պէս կ՚իջնէր ու կու գար իր վրայ:
2803110094	Եւ ահա՛ ձայն մը եկաւ երկինքէն՝ որ կ՚ըսէր. «Ա՛յս է իմ սիրելի Որդիս՝ որուն հաճեցայ»:
280401008c	Այն ատեն Յիսուս անապատը տարուեցաւ Սուրբ Հոգիէն՝ Չարախօսէն փորձուելու համար:
280402006b	Քառասուն ցերեկ ու քառասուն գիշեր ծոմ պահելէ ետք՝ անօթեցաւ:
28040300a6	Եւ Փորձիչը մօտենալով անոր՝ ըսաւ. «Եթէ դուն Աստուծոյ Որդին ես, ըսէ՛ որ այս քարերը հաց ըլլան»:
28040400cc	Ան ալ պատասխանեց. «Գրուած է. “Միայն հացով չէ որ մարդը պիտի ապրի, հապա ամէն խօսքով՝ որ կ՚ելլէ Աստուծոյ բերանէն”»:
28040500a0	Այն ատեն Չարախօսը առաւ տա֊րաւ զայն սուրբ քաղաքը, կայնեցուց զայն տաճարին աշտարակին վրայ,
280406015e	եւ ըսաւ անոր. «Եթէ դուն Աստուծոյ Որդին ես, վա՛ր նետէ քեզ ասկէ. որովհետեւ գրուած է. “Իր հրեշտակներուն պիտի հրահանգէ քեզի համար, որ իրենց ձեռքերուն վրայ կրեն քեզ, որպէսզի քարի՛ մը չզարնես ոտքդ”»:
2804070081	Յիսուս ըսաւ անոր. «Դարձեալ գրուած է. “Մի՛ փորձեր Տէրը՝ քու Աստուածդ”»:
28040800db	Չարախօսը դարձեալ առաւ հանեց զայն չափազանց բարձր լեռ մը, ցոյց տուաւ անոր աշխարհի բոլոր թագաւորութիւններն ու անոնց փառքը,
280409007e	եւ ըսաւ անոր. «Ասոնք բոլորը պիտի տամ քեզի, եթէ իյնաս՝ երկրպագես ինծի»:
28040a00e8	Այն ատեն Յիսուս ըսաւ անոր. «(Ետե՛ւս) գնա, Սատանա՛յ, որովհետեւ գրուած է. “Տէրո՛ջ՝ քու Աստուծոյդ երկրպագէ, ու միայն զի՛նք պաշտէ”»:
28040b0088	Այն ատեն Չարախօսը թողուց զայն, եւ հրեշտակները մօտեցան ու սպասարկեցին անոր:
28040c006b	Երբ Յիսուս լսեց թէ Յովհաննէս մատնուեցաւ, մեկնեցաւ Գալիլեա:
28040d00c5	Ու ձգելով Նազարէթը՝ եկաւ բնակեցաւ Կափառնայում, ծովեզերեայ քաղաքը, Զաբուղոնի ու Նեփթաղիմի հողամասերուն մէջ,
28040e0069	որպէսզի իրագործուի Եսայի մարգարէին միջոցով ըսուած խօսքը.
28040f00b6	«Զաբուղոնի երկիրն ու Նեփթաղիմի երկիրը, ծովու ճամբայով Յորդանանի միւս կողմը, հեթանոսներու Գալիլեան.
28041000cc	խաւարի մէջ բնակող ժողովուրդը մեծ լոյս տեսաւ, եւ լոյս ծագեցաւ անոնց՝ որ կը բնակէին մահուան երկրին ու շուքին մէջ»:
28041100c0	Այդ ատենէն ետք Յիսուս սկսաւ քարոզել եւ ըսել. «Ապաշխարեցէ՛ք, որովհետեւ երկինքի թագաւորութիւնը մօտեցած է»:
2804120133	Երբ Յիսուս կը քալէր Գալիլեայի ծովուն եզերքը, տեսաւ երկու եղբայրներ՝ Պետրոս կոչուած Սիմոնը, եւ անոր եղբայրը՝ Անդրէասը, որոնք ուռկան կը նետէին ծովը, որովհետեւ ձկնորս էին:
2804130068	Ըսաւ անոնց. «Եկէ՛ք իմ ետեւէս, ու մարդո՛ց որսորդ ընեմ ձեզ»:
2804140064	Անոնք ալ իսկոյն թողուցին ուռկանները եւ հետեւեցան անոր:
2804150152	Անկէ յառաջ երթալով՝ տեսաւ ուրիշ երկու եղբայրներ, Զեբեդեան Յակոբոսն ու անոր եղբայրը՝ Յովհաննէսը, որոնք նաւուն մէջ կը կարկտնէին իրենց ուռկանները, իրենց հօր՝ Զեբեդէոսի հետ: Կանչեց զանոնք.
2804160074	անոնք ալ իսկոյն թողուցին նաւն ու իրենց հայրը, եւ հետեւեցան անոր:
280417014b	Յիսուս ամբողջ Գալիլեան շրջելով՝ կը սորվեցնէր անոնց ժողովարաններուն մէջ, կը քարոզէր արքայութեան աւետարանը, եւ ժողովուրդին մէջ կը բուժէր ամէն տեսակ ախտ ու ամէն տեսակ վատառողջութիւն:
280418015f	Անոր համբաւը տարածուեցաւ ամբողջ Սուրիայի մէջ, եւ բերին անոր բոլոր հիւանդները՝ որ զանազան ախտերով ու տանջանքներով կը տուայտէին, նաեւ դիւահարներ, լուսնոտներ, եւ անդամալոյծներ, ու բուժեց զանոնք:
28041900cc	Մեծ բազմութիւններ կը հետեւէին անոր՝ Գալիլեայէն, Դեկապոլիսէն, Երուսաղէմէն, Հրէաստանէն եւ Յորդանանի միւս կողմէն:
2805010086	Տեսնելով բազմութիւնները՝ լեռը ելաւ: Երբ նստաւ, իր աշակերտները քովը գացին,
280502005d	եւ իր բերանը բանալով՝ կը սորվեցնէր անոնց ու կ՚ըսէր.
2805030085	«Երանի՜ հոգիով աղքատներուն, որովհետեւ երկինքի թագաւորութիւնը անո՛նցն է:
2805040065	Երանի՜ սգաւորներուն, որովհետեւ անո՛նք պիտի մխիթարուին:
2805050066	Երանի՜ հեզերուն, որովհետեւ անո՛նք պիտի ժառանգեն երկիրը:
280506009f	Երանի՜ անոնց՝ որ անօթութիւն ու ծարաւ ունին արդարութեան, որովհետեւ անո՛նք պիտի կշտանան:
2805070074	Երանի՜ ողորմածներուն, որովհետեւ անո՛նք ողորմութիւն պիտի գտնեն:
2805080084	Երանի՜ անոնց՝ որ սիրտով մաքուր են, որովհետեւ անո՛նք պիտի տեսնեն Աստուած:
2805090085	Երանի՜ խաղաղարարներուն, որովհետեւ անո՛նք Աստուծոյ որդիներ պիտի կոչուին:
28050a00ab	Երանի՜ անոնց՝ որ հալածուած են արդարութեան համար, որովհետեւ երկինքի թագաւորութիւնը անո՛նցն է:
28050b00ca	Երանի՜ ձեզի, երբ կը նախատեն ձեզ ու կը հալածեն, եւ ստութեամբ ձեզի դէմ ամէն տեսակ չար խօսքեր կ՚ըսեն՝ իմ պատճառովս:
28050c00ea	Ուրախացէ՛ք եւ ցնծացէ՛ք, որովհետեւ ձեր վարձատրութիւնը շատ է երկինքը. քանի որ ա՛յս կերպով հալածեցին ձեզմէ առաջ եղած մարգարէները»:
28050d0127	«Դո՛ւք էք երկրի աղը. եթէ աղը կորսնցնէ իր համը, ինք ինչո՞վ պիտի աղուի: Անկէ ետք ո՛չ մէկ ազդեցութիւն կ՚ունենայ, հապա դուրս կը նետուի եւ կը կոխկռտուի մարդոց ոտքին տակ:
28050e008c	Դո՛ւք էք աշխարհի լոյսը. քաղաք մը՝ որ լերան վրայ կը գտնուի՝՝, չի կրնար պահուիլ:
28050f00b1	Ու ճրագը չեն վառեր եւ դներ գրուանի տակ, հապա՝ աշտանակի՛ վրայ, որ լուսաւորէ բոլոր տան մէջ եղողները:
28051000c2	Ձեր լոյսը ա՛յնպէս թող փայլի մարդոց առջեւ, որ տեսնեն ձեր բարի գործերը եւ փառաբանեն ձեր Հայրը՝ որ երկինքն է»:
28051100a8	«Մի՛ կարծէք թէ եկայ՝ աւրելու Օրէնքը կամ Մարգարէները: Եկայ ո՛չ թէ աւրելու, հապա՝ գործադրելու:
280512011e	Որովհետեւ ճշմա՛րտապէս կը յայտարարեմ ձեզի. “Մինչեւ որ երկինքն ու երկիրը անցնին, Օրէնքէն յովտ մը կամ նշանագիր մը պիտի չանցնի՝ մինչեւ որ բոլորն ալ կատարուին”:
2805130193	Ուրեմն ո՛վ որ այս ամենափոքր պատուիրաններէն մէկը լուծէ եւ մարդոց ա՛յնպէս սորվեցնէ, անիկա ամենափոքր պիտի կոչուի երկինքի թագաւորութեան մէջ. բայց ո՛վ որ գործադրէ ու սորվեցնէ, անիկա մեծ պիտի կոչուի երկինքի թագաւորութեան մէջ:
2805140115	Որովհետեւ կը յայտարարեմ ձեզի. “Եթէ ձեր արդարութիւնը չգերազանցէ դպիրներու եւ Փարիսեցիներու արդարութիւնը, բնա՛ւ պիտի չմտնէք երկինքի թագաւորութիւնը”»:
28051500ab	«Լսեր էք թէ ըսուեցաւ նախնիքներուն. “Մի՛ սպաններ”: Ո՛վ որ սպաննէ, արժանի պիտի ըլլայ դատաստանի:
28051601a0	Բայց ես կը յայտարարեմ ձեզի. “Ո՛վ որ զուր տեղը բարկանայ իր եղբօր դէմ՝ արժանի պիտի ըլլայ դատաստանի: Ո՛վ որ "ապուշ" ըսէ իր եղբօր՝ արժանի պիտի ըլլայ ատեանի դատապարտութեան: Ո՛վ որ "յիմար" ըսէ իր եղբօր՝ արժանի պիտի ըլլայ գեհենի կրակին”:
28051700a4	Ուրեմն եթէ քու ընծադ զոհասեղանին վրայ բերես, ու հոն յիշես թէ եղբայրդ բա՛ն մը ունի քեզի դէմ,
28051800c1	հո՛ն ձգէ ընծադ՝ զոհասեղանին առջեւ. նա՛խ գնա՝ հաշտուէ՛ եղբօրդ հետ, եւ ա՛յն ատեն եկուր՝ որ մատուցանես ընծադ:
2805190107	Շուտո՛վ համաձայնէ քու ոսոխիդ հետ, մինչ ճամբան ես անոր հետ, որպէսզի հակառակորդդ չյանձնէ քեզ դատաւորին, ու դատաւորը՝ ոստիկանին, եւ բանտը չնետուիս:
28051a00ba	Ճշմա՛րտապէս կը յայտարարեմ քեզի. “Բնա՛ւ դուրս պիտի չելլես անկէ, մինչեւ որ վճարես վերջին նաքարակիտը”»:
28051b004e	«Լսեր էք թէ ըսուեցաւ. “Շնութիւն մի՛ ըներ”:
28051c00e6	Բայց ես կը յայտարարեմ ձեզի. “Ո՛վ որ կը նայի կնոջ մը՝ անոր ցանկալու համար, արդէ՛ն անիկա իր սիրտին մէջ շնութիւն ըրած է անոր հետ”:
28051d0123	Ուստի եթէ աջ աչքդ կը գայթակղեցնէ քեզ, հանէ՛ զայն ու նետէ՛ քեզմէ. որովհետեւ աւելի օգտակար է քեզի՝ որ անդամներէդ մէկը կորսուի, բայց ամբողջ մարմինդ չնետուի գեհենը:
28051e0118	Եթէ աջ ձեռքդ կը գայթակղեցնէ քեզ, կտրէ՛ զայն ու նետէ՛ քեզմէ. որովհետեւ աւելի օգտակար է քեզի՝ որ անդամներէդ մէկը կորսուի, ու ամբողջ մարմինդ չնետուի գեհենը»:
28051f0097	«Նաեւ ըսուեցաւ. “Ո՛վ որ արձակէ իր կինը, թող տայ անոր ամուսնալուծումի վկայագիր մը”:
280520013a	Բայց ես կը յայտարարեմ ձեզի. “Ո՛վ որ կ՚արձակէ իր կինը՝ առանց պոռնկութեան պատճառի, ի՛նք շնութիւն ընել կու տայ անոր, եւ ո՛վ որ կ՚ամուսնանայ արձակուածին հետ՝ շնութիւն կ՚ընէ”»:
28052100c3	«Լսեր էք դարձեալ թէ ըսուեցաւ նախնիքներուն. “Սուտ երդում մի՛ ըներ, հապա հատուցանէ՛ Տէրոջ ըրած երդումներդ”:
28052200a3	Բայց ես կը յայտարարեմ ձեզի. “Երբե՛ք երդում մի՛ ընէք, ո՛չ երկինքի վրայ՝ որ Աստուծոյ գահն է,
28052300ad	ո՛չ երկրի վրայ՝ որ անոր ոտքերուն պատուանդանն է, ո՛չ Երուսաղէմի վրայ՝ որ Մեծ Թագաւորին քաղաքն է,
2805240097	ո՛չ ալ գլուխիդ վրայ երդում ըրէ, որովհետեւ չես կրնար մէ՛կ մազ ճերմկցնել կամ սեւցնել:
2805250096	Հապա ձեր խօսքը ըլլայ՝ այո՛ն՝ այո՛, եւ ո՛չը՝ ո՛չ. ասկէ աւելին յառաջ կու գայ Չարէն”»:
280526006d	«Լսեր էք թէ ըսուեցաւ. “Աչքի տեղ՝ աչք, եւ ակռայի տեղ՝ ակռայ”:
28052700b6	Բայց ես կը յայտարարեմ ձեզի. “Չարին մի՛ դիմադրեր. հապա ո՛վ որ ապտակէ աջ այտիդ, դարձո՛ւր անոր միւսն ալ:
280528008c	Եթէ մէկը ուզէ դատ վարել քեզի հետ ու բաճկոնդ առնել, թո՛ղ տուր անոր հանդերձդ ալ:
280529006a	Եւ ո՛վ որ ստիպէ քեզ մղոն մը երթալ, գնա՛ անոր հետ երկու մղոն:
28052a0089	Տո՛ւր քեզմէ ուզողին, ու երես մի՛ դարձներ անկէ՝ որ կ՚ուզէ փոխ առնել քեզմէ”»:
28052b0062	«Լսեր էք թէ ըսուեցաւ. “Սիրէ՛ ընկերդ եւ ատէ՛ թշնամիդ”:
28052c013d	Բայց ես կը յայտարարեմ ձեզի. “Սիրեցէ՛ք ձեր թշնամիները, օրհնեցէ՛ք ձեզ անիծողները, բարի՛ք ըրէք անոնց՝ որ կ՚ատեն ձեզ, եւ աղօթեցէ՛ք անոնց համար՝ որ կը պախարակեն ու կը հալածեն ձեզ,
28052d012f	որպէսզի ըլլաք ձեր երկնաւոր Հօր որդիները. որովհետեւ իր արեւը կը ծագեցնէ թէ՛ չարերուն եւ թէ բարիներուն վրայ, եւ անձրեւ կը ղրկէ թէ՛ արդարներուն եւ թէ անարդարներուն վրայ:
28052e00be	Որովհետեւ եթէ դուք սիրէք ձեզ սիրողները, ի՞նչ վարձատրութիւն կ՚ունենաք. մաքսաւորնե՛րն ալ նոյնը չե՞ն ըներ:
28052f00b7	Ու եթէ բարեւէք միայն ձեր եղբայրները, ի՞նչ աւելի կ՚ընէք ուրիշներէն. մաքսաւորնե՛րն ալ նոյնը չե՞ն ըներ:
280530007c	Ուրեմն դուք կատարեա՛լ եղէք, ինչպէս ձեր երկնաւոր Հայրը կատարեալ է”»:
28060100ff	«Զգուշացէ՛ք որ ձեր ողորմութիւնը չընէք մարդոց առջեւ՝ տեսնուելու համար անոնցմէ. այլապէս՝ վարձատրութիւն չէք ունենար ձեր Հօրմէն, որ երկինքն է:
28060201a2	Ուրեմն երբ ողորմութիւն ընես, փող մի՛ հնչեցներ առջեւդ, ինչպէս կեղծաւորները կ՚ընեն ժողովարաններուն ու փողոցներուն մէջ, որպէսզի փառաւորուին մարդոցմէ: Ճշմա՛րտապէս կը յայտարարեմ ձեզի. “Անոնք ունեցած կ՚ըլլան իրենց վարձատրութիւնը”:
2806030089	Իսկ դո՛ւն՝ երբ ողորմութիւն ընես՝ ձախ ձեռքդ թող չգիտնայ աջ ձեռքիդ ի՛նչ տալը,
28060400c8	որպէսզի քու ողորմութիւնդ գաղտնի ըլլայ. եւ քու Հայրդ՝ որ կը տեսնէ գաղտնիքը, բացայայտօրէն պիտի հատուցանէ քեզի»:
28060501a8	«Երբ աղօթես՝ նման մի՛ ըլլար կեղծաւորներուն, որոնք կը սիրեն աղօթել՝ կայնելով ժողովարաններուն մէջ ու հրապարակներուն անկիւնները, որպէսզի երեւնան մարդոց: Ճշմա՛րտապէս կը յայտարարեմ ձեզի. “Անոնք ունեցած կ՚ըլլան իրենց վարձատրութիւնը”:
2806060129	Իսկ դո՛ւն՝ երբ աղօթես՝ մտի՛ր ներքին սենեակդ, գոցէ՛ դուռդ, եւ աղօթէ՛ Հօրդ՝ որ գաղտնի տեղ կը գտնուի. ու Հայրդ՝ որ կը տեսնէ գաղտնիքը, բացայայտօրէն պիտի հատուցանէ քեզի:
28060700d1	Երբ աղօթէք, շատախօս մի՛ ըլլաք հեթանոսներուն պէս, որովհետեւ կը կարծեն թէ պիտի ընդունուին՝ իրենց շատ խօսելուն համար:
280608009b	Ուրեմն մի՛ նմանիք անոնց, որովհետեւ ձեր Հայրը գիտէ ձեր պէտքերը՝ դեռ դուք չխնդրած իրմէ:
280609008e	Ուստի դուք սա՛պէս աղօթեցէք. “Հա՛յր մեր՝ որ երկինքն ես, քու անունդ սուրբ ըլլայ.
28060a008b	քու թագաւորութիւնդ գայ. քու կամքդ ըլլայ, ինչպէս երկինքը՝ նոյնպէս երկրի վրայ:
28060b0044	Մեր ամէնօրեայ հացը՝ մեզի տո՛ւր այսօր.
28060c007e	մեզի ներէ՛ մեր պարտքերը, ինչպէս մենք ալ կը ներենք մեր պարտապաններուն.
