2a00000005	Lucas
2a011100de	Presas ó chalará anglal de ó sa’ la suncai y sila de Elias, somia querelar limbidiar os carlochines es batuces á os chabores, y os sos na pachibélan al drun es majarés, somia preparar al Erañó una sueti perfecta.
2a0112008a	Y penó Zacharias al Manfariel: ¿en que pincharé ocóno? presas menda sinelo puró, y minri romí sinela dur andré desqueres chibéses.
2a0113008b	Y rudeló o Manfariel y penó: sinelo Gabriel, sos asisto anglal de Debél: y sinelo bichabado á penarte, y á lanarte ocóna nueva lachi.
2a011400b5	Y tucue sinarás musilé, y no astisararás chamuliar disde o chibés andré sos ocóno sinará querelado, presas na pachibelaste á minrias vardas, sos se cumplirán á sun chiros.
2a01150063	Y os manuces sinaban ujarando á Zacharias: y os sares zibaban de que tasiabase ó andré a cangri.
2a01160099	Y pur se sicobó abrí, na les astisaraba chamuliar; y chaneláron que habia dicado buchí andré a cangri, y ó lo penó por simaches, y sinaba musilé.
2a01170053	Y pur sináron cumplidos os chibéses de desquero ministerio, se chaló á su quer.
2a01180074	Y á la anda de ocónos chibéses se dicó cambri Elisabeth a romi de ó, y sinaba escondida pansch chonos, penando:
2a0119007b	Presas o Erañó me ha querelado ocono andré os chibéses, en que penchabó á nicabar minrio oprobio de enré os manuces.
2a011a0073	Y al zobio chonos o Manfariel Gabriel sinaba bichabado de Debél á yeque foros de Galiléa, sos se hetó Nazareth,
2a011b006a	A yeque bedori romandiñada sat manu, sos se hetó Joseph, e quer de David, y o nao e bedori sinaba Maria.
2a011c00a0	Y pur chaló o Manfariel andré, anduque sinaba, penó: Un-debél te diñele golipén, perelali de gracia: O Erañó con tucue: Majari tucue enré as cadchiás.
2a011d0066	Y pur siró juneló ocono, se darañó sat as vardas de ó, y penchababa, que salutacion sinaba ocola.
2a011e0058	Y o Manfariel le penó: na cangueles Maria, presas has alachado gracia anglal de Debél.
2a011f005f	He acoi concebirás andré tiro chepo, y chindarás chaboro, y araquerarás desquero nao Jesus.
2a0120007c	Ocóla sinará baro, y sinará araquerado chaboro e Udscho, y le diñará Un-debél Erañó o throno de David desquero batu;
2a01210053	y sinará Crallis deltó andré o quer de Jacob. Y desquero chim na terelará anda.
2a0122004f	Y penó Maria al Manfariel: ¿Sasta sinará, ocono? y menda na pincharelo manu.
2a012300b9	Y rudelando o Manfariel, penó: se bestelará opré tucue, y te querelará sombra a sila e Udscho. Y por ocono o Majaro, sos se chindará de tucue, sinará araquerado Chaboro de Debél.
2a012400a1	Y Elisabeth tiri cachicálli siró tambien sinela cambri de yeque chaboro, sinando puri: y ocono sinela o zobio chonos de siró, sos sinela araquerada a esteril.
2a0125002e	Presas na sinela chi n’astis para Un-debél.
2a0126006d	Y penó Maria: Menda a lacrí e Erañoró, querelese andré mangue segun tiri varda. Y se chaló o Manfariel.
2a0127005c	Y andré ocolas chibéses se ardiñó Maria y chaló al bur, á yeque foros e chim de Judá.
2a01280040	Y chaló andré o quer de Zacharias, y saludisaró á Elisabeth.
2a01290086	Y pur Elisabeth juneló a salutacion de Maria, o chinoró diñó saltos andré desquero trupo: y sinaba Elisabeth perelalí e Peniche.
2a012a005e	Y diñó yeque gole y penó: Majari tucue andré as cadchiás, y majaró o mibao e tiro trupo.
2a012b004f	De duque sinela ocono á mangue, que a Dai e minrio Erañó abillela á mangue?
2a012c0085	Presas yescotria que bigoreó a varda de tiri salutacion á minres canés, o chinoró diñó saltos de pesquital andré minrio trupo.
2a012d006a	Y majaró ma andré tun men, presas sinará querelado o saro ma fué penado á tucue de parte e Erañoró.
2a012e0030	Y penó Maria: Minri ochi engrandece al Erañó:
2a012f003a	Y minri suncai se asaseló andré Debél minrío Salvador.
2a01300078	Presás ha dicado a chinoría de desqueri lacrí: pues ya desde acana as sarias generaciones araquelarán mangue majari.
2a0131004f	Ha querdi buchías bariás á mangue ó sos terela sila, y majaró o nao de ó.
2a01320052	Su canrea sinela de generacion andré generacion opré os sares que le darañelan.
2a01330060	Queró sila sat su murcia: queró najar á os superbios sat as imaginaciones de sus carlochines.
2a01340040	Queró á os silares perar sus besti, y ardiñó á os humildes.
2a01350057	Hinchió de buchias lachias á os que terelaban bóquis; y á os balbales mecó chichi.
2a0136004b	Ustiló andré sun chepó á Israel sun lacró, enjallandose de sun canrea.
2a0137004c	Andiar sasta penó á amáres batuces, á Abraham y á sus chaborés deltó.
2a0138004c	Y Maria sinaba sat siró sasta trin chonos: y se limbidió á desquero quer.
2a01390049	Tami Elisabeth se le chaló o chiros de chindar, y chindó yeque chaboro.
2a013a0084	Y juneláron os quiribés y os cachicállis de siró que o Erañó habia querelado canrea bari sat siró, y se alendáron sat siró.
2a013b008a	Y sinaba que al otoró chibés abilláron á chinar o postin e quilén al chaboró, y le araqueráron del nao de desquero batu, Zacharias.
2a013c0045	Y rudelando desqueri dai, penó: nanai, sino Juan sinará araquerado.
2a013d004a	Y le penáron: cayque sinela andré tiri ráti, sos se heta sat ocola nao.
2a013e004f	Y pucháron por simaches al batu e chaboro, como camelaba que se le araquerase.
2a013f004c	Y mangando li, libanó, penando: Juan sinela su nao: y os sares se zibáron.
2a0140005d	Y yescotria sinaba pendrabado desquero mui, y su chipe, y chamuliaba majarificando á Debél.
2a0141006b	Y peró dal opré os sares sunparales: y se penáron de sarias oconas buchias por os sares bures de Judéa.
2a014200a1	Y os sares que as junelaban, as ujaraban andré sus carlochines, penando: ¿coin penchabais, que sinará ocona chaboro? Presas a baste e Erañoró sinaba sat ó.
2a01430047	Y Zacharias sun batu sinaba perelalo e Peniche, y garló baji, penando.
2a01440051	Majaró o Eraño Debél de Israel, presas abilló y diñó mestepé á sun sueti.
2a0145004b	Y ardiñó á amangue o rogos de golipen andré o quer de David sun lacró.
2a01460047	Como penó por mui de sus majarés Prophetas, andré os sarés gresés.
2a01470053	Mestepé de amáres daschmanuces, y de la baste de os sares que na camelan amangue.
2a0148004a	Somia querelar canrea sat amáres batuces, y ojararse de su majarí varda.
2a01490048	O juramento sos juró á amaro batu Abraham, que ó diñaria á amangue;
2a014a005b	Somia que listrabados de las bastes de amáres daschmanuces, le querelemos servicio bi dal,
2a014b0056	André majaridad, y andré justicia anglal de ó, os sares chibeses de amári chipén.
2a014c008e	Y tucue, chaboro, sinarás araquerado Propheta e muy Udscho, presas chalarás anglal la chiché e Erañoró, somia aparejar desqueres drunés:
2a014d0056	Somia diñar conocimiento de golipen á sun sueti para a remision de desqueres grecos.
2a014e0056	Por as porias de canrea de amaro Debél con qué visitó amangue del Udscho e Oriente:
2a014f0087	Somia diñar dut a junós sos bestelélan andré a rachi, y andré o butron de meripen: somia enseelar amáres pindrés á drun de paz.
2a0150008b	Y o chaboro se querelaba baro, y sinaba querdi silnó andré suncai; y sinaba andré os desiertos, disde o chibes pur nichobeló á Israel.
2a02010075	André ocolas chibeses anacó, que chaló abrí yeque edicto de Cæsar Augusto, somia que sari a sueti sinara jinada.
2a02020049	Ocola brotoboro jinamiento sinaba querdi por Cyrino, Chino-baro de Syria.
2a02030046	Y chalaban os sares á libanarse os naos cata yeque á desquero foros.
2a02040093	Y ardiñó tambien Joseph del foros de Nazareth, á Judea, al foros de David, sos se heta Bethlehém: presas sinaba del quer y de la rati de David,
2a02050041	Somia libanarse o nao sat desqueri romi Maria, sos sinaba cambri.
2a02060055	Y sinando oté, anacó, que se pereláron os chibeses andré que terelaba de chindar.
2a0207009d	Y minchabó a desquero Chaboro broto-chindado, y lo chibó andré diclés, y lo chitó andré yeque olibar: presas na sinaba lugar por junos andré a mesuna.
2a0208007b	Y sinaba yeques durotunes andré ocola comarca, sos sinaban velando, y nacando as ocanas e rachí opré desquerias brajias.
2a02090081	Y he acoi se childó sunparal á junos yeque Manfariel e Erañoró, y a dut de Debél os cercó de yacque, y tereláron baro dal.
2a020a0073	Y les penó o Manfariel: nacangueleis: presas he acoi anuncio á sangue gosuncho baro, sos sinará á sari a sueti.
2a020b0067	Que sejonia sinela chindado a sangue o Salvador, sos sinela o Christo Erañó, andré o foros de David.
2a020c006f	Y ocona sinará á sangue o simache: Alachareis o Chaboro chibado andré dicles; y chitado andré yeque olibar.
2a020d0078	Y yescotria se mecó dicar sat o Manfariel butrés manuces es jundunares e Tarpe, sos majarificaban a Debél, y penaban:
2a020e0057	Chimusolano á Debél andré o Tárpe, y andré a phu paz á os sares de lachi suncái.
2a020f00ce	Y anacó, que yescotria que os Manfarieles chaláron de junos al Tarpe, os durotunés penaban os yeques a os averes: Chalemos disde Bethlehém, y diquelemos ma ha anacado, ma o Erañó, ha diado á amangue.
2a0210005d	Y chaláron singó, y alacháron á Maria, y á Joseph, y al chaboro chitado andré o olibar.
2a02110052	Y pur ocono dicáron, jabilláron ma se les habia penado acerca de ocola Chaboró.
2a0212005b	Y os sares sos lo juneláron, se zibáron: y tambien de ma os durotunés les habian penado.
2a02130054	Tami Maria aracateaba sarias ocolas buchias, estongerandolas andré desquero carló.
2a021400a6	Y se limbidiáron os durotunés chimusolanificando y majarificando á Debél por sarias as buchias, ma habian junelado y dicado, andiar sasta les habia sinado penado.
2a021500cc	Y despues que sináron nacados os otor chibeses somia chinar o postin e quilen al Chaboro, araqueráron desquero nao Jesus, sasta le habia araquerado o Manfariel, gres que sinaba concebido andré o trupo.
2a02160097	Y pur sináron nacados os chibeses e purificacion de Maria, segun la eschastra de Moyses, lo lligueráron á Jerusalém somia presentarlo al Erañoró,
2a0217007a	Sasta sinela randado andré la Eschastra e Erañoró: que o saro manu sos despandase beo, sinará majarificado al Erañó.
2a02180076	Y somia diñar a ofrenda sasta sinela penado andré a Eschastra e Erañoró, yeque par de gobareyes, o dui custañias.
2a021900a9	Y sinaba al chiros andré Jerusalém gachó sos se hetó Simeón, y ocola manu lacho y daraño de Debél, ujarando a consolacion de Israel, y o Peniche sinaba andré ó.
2a021a005a	Y chanelaba del Peniche, que ó na dicaria meripen, bi dicar grés al Christo e Erañoró.
2a021b007a	Y abilló por ochi á la cangri, y lanelando os batuces al Chaboro Jesus, somia querelar segun la beda e Eschastra sat ó:
2a021c0049	Entonces lo ustiló andré sus murcias, y majarificó á Debél, y penó:
2a021d0047	Acana, Erañó, mequeles á tun lacró chalar en paz, segun tiri varda:
2a021e002d	Presas han dicado minrias aquias tun golipen,
2a021f0032	Sos has aparejado antela chiché de sari la sueti;
2a02200051	Dut somia sinar revelada á os Busnés, y somia chimusolano de Israel tiri sueti.
2a02210055	Y desquero batu y dai sinaban maravillados de ocolas buchías que se penelaban de ó.
2a022200d9	Y os majarificó Simeón, y penó á Maria desqueri dai: He acoi que ocona Chaboro sinela sinchitó somia querelar perar, y somia ardiñar á baribustres andré Israel; y somia simáche á os sares sos contrapenarán:
2a02230070	Y un estuche velará tiro bucos de tun mateja, somia que sinelen chanelados os pensamientos de sares carlochines
2a022400b3	Y sinaba yeque chuan jañí, araquerada Ana, dugida de Phanuel, e tribu de Aser: ocona ya terelaba butrés chibeses, y habia socabado eñia berjis sat desquero rom desde su pachi.
2a0225008f	Y siró sinaba piulí, sasta de otorenta y star berjis; y na chalaba abrí de la cangri, sirviendo chibes y rachí andré ayunos y ocanagimias.
2a02260085	Y sasta siró bigorease andré a mateja ocana, majarificaba al Eraño: y penaba de ó á os sares sos ujaraban la mestepé de Israel.
2a0227007f	Y pur tereláron querdi o saro, conforme a lá Eschastra e Erañoró, se limbidiáron a Galiléa á desquero foros de Nazareth.
2a0228006b	Y o chaboro se queró baro y silno, sinando perelalo de chanelería, y a gracia de Debél sinaba andré ó.
2a02290059	Y desqueres batuces chaláron sarias as berjis á Jerusalém andré o chibes de la Ciria.
2a022a0054	Y pur tereló duideque berjis, ardiñaron á Jerusalém, segun a beda e chibes baro.
2a022b0084	Y acabados os chibeses, pur se limbidiaban, se quedisaró o chaboro Jesus andré Jerusalém, bi que desqueres batuces lo chanelasen.
2a022c0088	Y penchabando que sinaba sat os averes de la plastañí, chaláron drun de yeque chibes, y le orotáron enré os parientes, y os monres.
2a022d0043	Y pur na le rachelasen, se limbidiáron á Jerusalém, orotándole.
2a022e0081	Y anacó que trin chibeses despues le alacháron andré á cangrí, bestelando en medio es Chandés, junandolos, y puchabandolos.
2a022f005b	Y os sares sos le junelaban, se pasmaban, de desqueri chaneleria y de las respuestas de ó.
2a0230009c	Y pur le dicáron, se zibáron, y le penó desqueri dai: chaboro presas has querdi andiar sat amangue? dicá sasta tun batu y menda emposunó te orotabamos,
2a02310080	Y les rudeló: ¿Para qué orotabais mangue? ¿Na chanelabais, que me jomte sinar andré as buchias que sinelan de minrio Dadá?
2a02320031	Tami junos na jabilláron a varda, que les penó.
2a0233008c	Y se guilló ostely sat junos, y abilló á Nasareth: y sinaba sugeto á junos. Y sun dai aracateaba sarias ocolas buchias andré su carló.
2a0234006a	Y Jesus se queró baro andré chaneleria, y andré berjis, y andré furuné anglal de Debél y es manuces.
2a030100f3	Y andré a berji pansch-decima e imperio de Tiberio Cæsar, sinando Poncio Pilato Chino baro de Judea, y Herodes Tetrarchâ de Galiléa, y desquero plano Philipo Tetrarchâ de Ituréa, y e chim de Trachônite, y Lysanias Tetrarchâ de Abilina,
2a0302007f	Sinando Manclayes es erajais Annás y Caiphas, abilló a varda e Erañoró opré Juan, chaboro de Zacharias, andré o desierto.
2a0303005e	Y abilló por saro o chim de Jordan garlando o muchobelar de penitencia somia mecos de grecos,
2a030400b2	Sasta sinela randado andré o embéo de las vardas de Isaias Propheta: Gole de yeque garlando andré ó desierto: Aparejad o drun e Erañoró, Querelad bustarias as sendas de ó.
2a03050077	Saro butron se perelará; y saro bur y plai se pejerá: y o torcido sinará enderezado: y os drunes fragosos allanados:
2a03060028	Y dicará sari maas a golipen de Debél.
2a03070091	Y penó á os manuces, que abillaban somia que los muchobelase: ¿Rati de birbirechas, coin penó á sangue á najar de la ira que ha de abillar?
2a030800c5	Querelad pues mibao cabalico de penitencia, y na os chitelais penar: Terelamos por batu á Abraham. Porque sangue penelo, que astisarela Debél de oconas barendañías ardiñar chabores á Abraham.
2a0309009b	Presas acana sinela chibada a tescharí á la raiz es carschtas, pues sari carschta, sos na diñele mibao lacho, sinará velada, y chibada andré a yacque.
2a030a0040	Y le puchababan os manuces, y penaban! ¿Pues qué querelaremos?
2a030b0083	Y rudelando les penaba: O manu sos terela duis coneles, díñele al manu sos na terela: y o sos terela que jamar, querele o matejo.
2a030c0072	Y abilláron tambien á ó os Publicanes, somia que os muchobelase, y le penáron: ¿Duquendio, qué querelaremos?
2a030d003a	Y ó les penó: Na ustileis butér de ma os sinela penado.
2a030e00a5	Le puchababan tambien os jundunares, penando: ¿Y mu qué querelaremos? Y les penó: Na queraleis choro á cayque, ni le mareleis, y sineleis lacho sat jiré jayere.
2a030f0077	Y sasta os manuces creyesen, y os sares penchabasen andré desqueres carlochines, si por ventura Juan sinaba o Christo:
2a031000f8	Rudeló Juan, y penó á os sares: Menda aromali muchobelo sangue andré paní: Tami abillará avér butér silnó que menda, de coin na sinelo cabalico de despandar a correa de desqueres tirajais: ocola muchobelará sangue andré Peniche, y yaque:
2a03110096	De coin o bieldo sinela andré su baste; y alimpiará desquero era, y chibará ó gi andré su malabai, y la pus jachará sat yaque, que na se bedela.
2a03120055	Y andiar anunciaba averias baribustrias buchias á la sueti andré sus exhortaciones.
2a03130099	Tami Herodes ó Tetrarchâ; sinando reprehendido por ó á causa de Herodias romi de sun planó, y de sarias as buchias chorias que Herodes habia querdi,
2a0314004c	Anadio á sares tambien ocona de querelar pandar a Juan andré la estaripel.
2a03150093	Y anacó, que sasta sari a sueti ustilase o muchobelar, tambien sinaba muchobelado Jesus; y sinando ó manguelando á Debél, se despandó o Tarpe:
2a031600a9	Y pejó ostely opre ó el Peniche andré trupo, sasta gobaró: y se juneló ocono gole del Tarpe: Tucue sinelas minrió Chaboro camelado; andré tucue menda me alendelo.
2a03170081	Y o Jesus comenzaba a terelar sasta de sinebo berjis, chaboro y segun se penelaba, de Joseph, chaboro de Heli, chaboro de Mathat,
2a03180049	Chaboro de Leví, chaboro de Melchi, chaboro de Janne, chaboro de Joseph,
2a0319005d	Chaboro de Mathathias, chaboro de Amos, chaboro de Nahum, chaboro de Hesli, chaboro de Nagge,
2a031a0060	Chaboro de Mahath, chaboro de Mathathias, chaboro de Semei, chaboro de Joseph, chaboro de Judá,
2a031b0061	Chaboro de Joanna, chaboro de Resa, chaboro de Zorobabél, chaboro de Salathiel, chaboro de Neri,
2a031c005c	Chaboro de Melchi, chaboro de Addí, chaboro de Cosán, chaboro de Helmadan, chaboro de Her,
2a031d005b	Chaboro de Jesus, chaboro de Eliezer, chaboro de Jorim, chaboro de Mathat, chaboro de Levi,
2a031e0060	Chaboro de Simeón, chaboro de Júdas, chaboro de Joseph, chaboro de Jonás, chaboro de Eliakim,
2a031f005e	Chaboro de Melea, chaboro de Menna, chaboro de Mathatha, chaboro de Nathán, chaboro de David,
2a0320005b	Chaboro de Jessé, chaboro de Obed, chaboro de Booz, chaboro de Salmon, chaboro de Naasson,
2a0321005d	Chaboro de Aminadab, chaboro de Arám, chaboro de Esron, chaboro de Pharé, chaboro de Judas,
2a0322005d	Chaboro de Jacob, chaboro de Isaac, chaboro de Abraham, chaboro de Thares, chaboro de Nachor,
2a0323005a	Chaboro de Sarug, chaboro de Regau, chaboro de Phaleg, chaboro de Heber, chaboro de Salé,
2a0324005c	Chaboro de Cainán, chaboro de Arphaxad, chaboro de Sem, chaboro de Noé, chaboro de Lamech,
2a03250063	Chaboro de Mathusalé, chaboro de Henoch, chaboro de Jared, chaboro de Malaleel, chaboro de Cainan,
2a03260053	Chaboro de Henos, chaboro de Seth, chaboro de Adám, sos fué chaboro de Un-debél.
2a04010067	Tami Jesus perelaló e Peniche, se limbidió del Jordan, y sinaba lliguerado por la suncai al desierto.
2a04020082	Y sinaba oté quarenta chibeses, y le tentaba o Bengui, y na jamó chi andré ocolas chibeses; y anacados oconas terelaba bóquis.
2a0403005a	Y le penó o Bengui: Si chaboro de Debél sinelas, pen á ocona bar, que se querele manro.
2a0404006d	Y Jesus le rudeló: Libanado sinela: Que na vivisarela o manu de manro colcoro, tami de sari varda de Debél.
2a04050077	Y le lligueró o Bengui á yeque bur udscho, y le queró dicar sares os chimes de la pu andré yeque frimita de chiros,
2a04060089	Y le penó: Diñaré a tucue sari ocana sila, y o chimusolano de junos: presas se me han diñado á mangué, y á coin camelo los diñelo
2a0407005b	Por tanto, si chibandote á minres pindres, majarificares mangue, os sares sinarán tirés.
2a0408006f	Y rudelando Jesus, le penó: Libanado sinela: A tiro Erañoró Debél majarificarás, y a ó colcoro servirás.
2a0409008f	Y le lligeró á Jerusalém, y lo chibó opré o jeró de la cangri, y le penó: Si sinelas Chaboro de Debél, chibelate de acoi á la chiquen.
2a040a0054	Presas sinela libanado que penó de tucue a desquerés Manfarieles, que te aracaten:
2a040b0059	Y que te ardiñelen andré sus bastes, somia que na cureles tun pindré andré yeque bar.
2a040c0053	Y rudelando Jesus, le chamulió: Penado sinela: Na tentarás al Erañó tun Debél.
2a040d0042	Y nacada sari tentacion, se chaló de ó el Bengui disde o chiros.
2a040e0067	Y limbidió Jesus andré la sila e suncai á Galiléa: y o chimusolano de ó se chibó por saro o chim.
2a040f004a	Y ó chamuliaba andré as synagogas de junós, y sinaba aclamado de sares.
2a0410008d	Y chaló á Nazareth, anduque se habia parbarado, y se guilló segun su beda o chibes del Canché andré a synagoga, y se ardinó á lirenar.
2a04110070	Y le diñáron o embéo de Isaias o Propheta. Y pur despandó o embéo racheló o lugar anduque sinela libanado.
2a041200b0	A Suncai e Erañoró opré mangue, por lo que ha ampiado mangue somia diñar lachias nuevas a os chorores ha bichabado mangue, somia chibar lacho a os asparabados de carlochin,
2a041300aa	Somia penar a os estardes mestepé, y á os chindés diquelar, somia chibar en mestepé á os asparabados, somia pucanar a berji lachi e Erañoró, y o chibes e galardon.
2a0414008a	Y habiendo pandado o embéo, se lo diñó al erajai, y se besteló: y os sarés andré a synagoga terelaban as aquías chibadas andré ó.
2a04150051	Y se chibó á penar: Achibes se ha perelado ocona Libaneria andré jirés canes.
2a0416009d	Y os sares le diñaban machiria, y se zibaban de las vardas de gracia, sos chaláron abri de desquero mui, y penáron: ¿Na sinela ocona o chaboro de Joseph?
2a041700d5	Y les penó: Bi duda penareis á mangue ocona varda: Salamito chibelate lacho á tun matejo: sarias ocolas buchias barias, que junelamos penar que queraste andré Capharnaúm, querlas tambien acoi andré tun chim.
2a0418005d	Y chamulió: Aromali os penelo, que necaute Propheta sinela pachibelado andré desquero chim.
2a041900c8	Aromali os penelo, que baribustrias piulias sinaban andré Israel os chibeses de Elias, pur sinaba pandado o Charos por trin berjis y por zoi chonos: pur sinaba yeque bóquis bari por sari la chiquen.
2a041a0067	Tami á necaute de ocolas sinaba bichabado Elias, sino á yeque cadchi piuli andré Sarepta de Sidonia.
2a041b0095	Y baribustres zarapiados sinaban andré Israel andré o chiros de Eliséo Propheta, tami cayque de ocolas sinaba chibado lacho, sino Naaman de Syria.
2a041c0048	Y os sares andré a synagoga sináron perelales de sana junelando ocono.
2a041d0094	Y se costunáron, y lo bucharáron abrí del foros: y lo lligueráron disde ó jero e bur, opré sos sinaba querdi o foros, somia buchararle ostely.
2a041e002f	Tami ó, nacando por medio de junos, se chaló.
2a041f005b	Y chaló abajines á Capharnaúm foros de la Galiléa, y oté os bedaba andré os Canchés.
2a04200047	Y se zibaban de desqueri beda, presas as vardas de ó sinaban silniás.
2a04210057	Y sinaba andré a synagoga manu sos terelaba bengui prachindó, y garló sat gole baro,
2a04220096	Penando: Mequelanos, ¿qué terelas tucue con amangue Jesus de Nazareth? ¿abillelas á mararnos? Pincharelo mistos, coin sinelas, o Majaro de Debél.
2a04230097	Y Jesus le chingaró, y penó: Sonsibela, y chatucue abrí de ó. Y o bengui chibandolo al chiquen, en medio, chaló abrí de ó, y na le queró daño.
2a042400b5	Y sináron os sares perelales de dal, y garlaban os yeques á os averes, penando: ¿Que buchi sinela ocona, presas sat sila y sat virtud penela á os bengues jindes, y chalan abrí.
2a0425003c	Y voltisaraba o chimusolano de ó por sares os gaues e chim.
2a04260093	Y chalando Jesus abrí e synagoga, chaló andré o quer de Simeón. Y a suegra de Simeón sinaba nasali de tatias barias, y le mangáron por siró.
2a04270071	Y chibandose ostely acia siro, penó á la tati: y la tati le mecó. Y siró se costunó yescotria, y les servia.
2a042800a6	Y pur o cam se besteló, os sares sos terelaban merdés de varios merdipénes, se los lanelaban. Y ó chibando as baste emperso cada yeque de junos, os chibaba lacho.
2a042900b1	Y chalaban os bengues abrí de butres, garlando, y penando: Tucue sinelas o chaboro de Debél: y os chingaraba, y na os mequelaba penar, que chanelaban que sinaba ó el Christo.
2a042a00bd	Y pur sinaba de chibes, chaló abrí somia guillarse á yeque stano desierto; y a sueti le orotaban, y chaláron disde anduque ó sinaba: y le deterelaban, somia que na se chalase de junos.
2a042b0075	Y les penó: A os averes fores jomte tambien que menda penelo o chim de Debél: pues somia ocono he sinado bichabado.
2a042c0030	Y chamuliaba andré as Synagogas de la Galiléa.
2a05010080	Y anacó que abillando a sueti en plastañías somia junelar a varda de Debél, sinaba ó á la cunara de la pani de Genesareth.
2a05020086	Y dicó dui berdés, sos sinaban á la cunara de la pani: y os machadores habian ardiñado en chiquen, y muchobelaban desqueres redes.
2a050300ac	Y chalando andré yeque de oconas berdés, sos sinaba de Simon, le mangó, que le guillase yeque fremi de la chiquen. Y sinando bestelado, bedaba á la sueti desde o berdo.
2a0504006f	Y yescotria que acabó de chamuliar, penó á Simon: Chala butér andré, y chibela jires redes somia machorar.
2a05050083	Y rudelando Simon, le penó: Duquendio, sari a rachi hemos sinado machorando, bi ustilar chichi: tami en tiri varda chibaré a red.
2a05060067	Y pur tereláron querdi ocolo, ustiláron tan baró numero de maches, que se asparababa a red de junos.
2a050700c5	Y quereláron simaches á os averes manuces sos sinaban andré o aver berdo, somia que abillasen á ayudarlos. Ocolas abilláron, y de tal beda pereláron os dui berdes, que casi chalaban abajines.
2a0508007e	Y pur dicó Simon Pedro ocolo, se chibó á os pindrés de Jesus, penando: Erañó, chatucue de mangue, que sinelo manu choro.
2a05090068	Presas ó, y os sares sos sat ó sinaban, sináron atonitos de os butres maches, que terelaban ustilado:
2a050a00ae	Yandiar matejo Santiago, y Juan, chabores del Zebedéo, sos sinaban candones de Simon: Y penó Jesus á Simon: Na darañeles: desde ocona chiros sinarás machador de manuces.
2a050b004b	Y lliguerando os berdes á chiquen, mequeláron o saro, y le plastañáron.
2a050c00cd	Y anacó, que sinando andré yeque de ocolas fores, abilló manu perelalo de zarapia, y pur dicó á Jesus, se chibó mui por chiquen, y le mangó, penando: Erañó, si camelas, astisarelas chibarme lacho.
2a050d0068	Y ó bucharando la baste le pajabó, penando: Camelo: sinele limpio. Y yescotria chaló de ó a zarapia.
2a050e009c	Y le penó, que na lo penase á cayque: Tami chatucue, le penó, y muestrate al erajai, y díñela por tiri limpieza ma mandó Moyses, en machiria á junos.
2a050f009f	Y trincho butér se voltisaraba desquero chimusolano: y abillaba en plastañias a sueti somia junelarle, y somia que nicobelase de junos desqueres merdipénes.
2a05100038	Tami ó se chaló al desierto á manguelar á Un-debél.
2a05110111	Y anacó, que yeque chibes ó sinaba bestelado bedando. Y sinaban tambien bestelados oté yeques Phariseyes, y Chandés de la Eschastra, sos abilláron de sares os gaues e Galiléa, y de Judéa, y de Jerusalém: y a sila e Erañoro sinaba randiñando somia chibarlos lacho.
2a05120096	Y abilláron yeques manuces sos ligueraban opré cheripen yeque manu, sos sinaba paralitico, y le camelaban sinchitar andré, y chibarle anglal de ó.
2a051300be	Tami na rachelando por anduque astisar sinchitarlo por la plastañi e sueti, costunáron opré o techo y pre ó tejado le deschindaron sat a cheripen, sinchitandolo en medio anglal de Jesus.
2a0514004e	Y pur dicó a fé de junos, penó: Manu, ertinados á tucue sinelan os grecos.
