0100000008	Ebandeli
01031600fc	Yawe Nzambe alobaki: «Tala, moto akomi lokola moko kati na biso mpo na koyeba malamu mpe mabe. Sik’oyo, esengeli te kopesa ye nzela ya kotia loboko na ye mpo na kozwa lisusu mbuma ya nzete ya bomoi mpe kolia yango, noki te awumela libela na bomoi.»
0103170064	Boye, Yawe Nzambe abenganaki ye na elanga ya Edeni mpo ete asala mosala ya mabele epai wapi awutaki.
01031800af	Sima na kobengana moto, atiaki basheribe, na ngambo ya este ya elanga ya Edeni, na mopanga ya moto oyo ezalaki kobaluka bipai na bipai mpo na kobatela nzela ya nzete ya bomoi.
0104010086	Adamu asangisaki nzoto na mwasi na ye Eva; mpe Eva akomaki na zemi, bongo abotaki Kayina. Alobaki: «Nasali moto na lisungi ya Yawe.»
0104020077	Sima na yango, abotaki lisusu Abele, ndeko ya Kayina. Abele akomaki kobokola bibwele mpe Kayina akomaki kosala bilanga.
0104030048	Sima na mwa tango, Kayina amemaki mbuma ya mabele mpo na kobonzela Yawe.
0104040091	Abele, ye mpe amemaki bibwele oyo ebotamaki liboso kati na etonga na ye mpe biteni oyo eleki mafuta. Yawe asepelaki na Abele mpe na makabo na ye,
0104050073	kasi asepelaki te na Kayina mpe na makabo na ye. Bongo, Kayina asilikaki makasi mpe elongi na ye ekomaki mawa-mawa.
010406005a	Yawe alobaki na Kayina: — Mpo na nini osiliki? Mpo na nini elongi na yo ekomi mawa-mawa?
01040700a8	Boni, soki osali malamu, bakondima yo te? Kasi soki osali malamu te, lisumu elali penza na ekuke na yo, mpe posa na yango ezali kobenda yo makasi; kasi yo, longa yango.
0104080078	Kayina alobaki na Abele, ndeko na ye. Wana bazalaki kati na bilanga, Kayina akangaki Abele, ndeko na ye, mpe abomaki ye.
0104090080	Yawe atunaki Kayina: — Wapi ndeko na yo Abele? Kayina azongisaki: — Nayebi te. Boni, ngai nazali mokengeli ya ndeko na ngai?
01040a007f	Nzambe alobaki: — Osali nini? Likambo nini penza osali? Makila ya ndeko na yo ezali koganga wuta na mabele kino epai na Ngai.
01040b0095	Sik’oyo, olakelami mabe mpe obwakami mosika ya mabele oyo efungolaki monoko na yango mpo na komela makila ya ndeko na yo, oyo maboko na yo esopaki.
01040c005e	Tango okobalola mabele, ekobotela yo mbuma te. Okozala koyengayenga mpe kotelengana na mokili.
01040d0044	Kayina alobaki na Yawe: — Etumbu na ngai eleki pasi mpo na komema!
01040e00b4	Tala, obwaki ngai lelo mosika ya mabele; nasengeli sik’oyo kobombama liboso na Yo, nakokoma koyengayenga mpe kotelengana na mokili, mpe moto nyonso oyo akomona ngai akoboma ngai.
01040f00cc	Kasi Yawe alobaki na ye: — Ezali bongo te! Soki moto abomi Kayina, bakozongisa mabe mpo na Kayina mbala sambo. Mpe Yawe atiaki elembo na nzoto ya Kayina na tina ete moto oyo akokutana na ye aboma ye te.
0104100056	Kayina alongwaki liboso ya Yawe, akendeki kovanda na mokili ya Nodi, na este ya Edeni.
01041100b5	Kayina asangisaki nzoto na mwasi na ye; mpe mwasi na ye akomaki na zemi, bongo abotaki Enoki. Kayina atongaki engumba. Apesaki yango kombo «Enoki,» kombo ya mwana na ye ya mobali.
0104120066	Enoki abotaki Iradi; Iradi abotaki Mewuyayeli; Mewuyayeli abotaki Metusaeli; Metusaeli abotaki Lemeki.
0104130055	Lemeki abalaki basi mibale: moko, kombo na ye ezalaki «Ada,» mpe mosusu, «Tsila.»
010414004f	Ada abotaki Yabali, koko ya bavandi ya bandako ya kapo mpe ya babokoli bibwele.
0104150054	Ndeko na ye ya mobali, Yubali, azalaki koko ya bato oyo babetaka lindanda mpe flite.
01041600b0	Tsila mpe abotaki mwana mobali, Tubali-Kayina, oyo azalaki kosala bisalelo nyonso ya bronze mpe ya bibende. Tubali-Kayina azalaki na ndeko mwasi, kombo na ye ezalaki «Naama.»
01041700cb	Lemeki alobaki na basi na ye: «Ada mpe Tsila, boyoka ngai malamu; bino basi ya Lemeki, bolanda ngai malamu: Solo, likolo ya pota moko, ngai nabomaki moto; mpe likolo ya mwa pota, nabomaki elenge mobali!
010418006e	Solo, bakozongisa mbala sambo mabe oyo basali Kayina; kasi mpo na Lemeki, ekozala mbala tuku sambo na sambo!»
01041900a8	Adamu asangisaki lisusu nzoto na mwasi na ye, bongo mwasi na ye abotaki Seti, pamba te alobaki: «Nzambe apesi ngai mwana mosusu na esika ya Abele oyo Kayina abomaki.»
01041a007b	Seti mpe abotaki mwana mobali, apesaki ye kombo «Enoshi.» Ezalaki na tango wana nde bato bakomaki kobelela Kombo ya Yawe.
010501005f	Tala lisolo ya libota ya Adamu. Tango Nzambe akelaki bato, asalaki bango na elilingi ya Nzambe.
0105020070	Akelaki bango mobali mpe mwasi, mpe apambolaki bango. Na mokolo oyo akelaki bango, apesaki bango kombo «bato.»
0105030098	Tango Adamu akokisaki mibu nkama moko na tuku misato ya mbotama, abotaki mwana mobali na elilingi na ye mpe na lolenge na ye. Apesaki ye kombo «Seti.»
0105040079	Sima na mbotama ya Seti, Adamu awumelaki lisusu na bomoi mibu nkama mwambe mpe abotaki bana mosusu ya mibali mpe ya basi.
010505005a	Mibu nyonso oyo Adamu awumelaki na bomoi ezalaki nkama libwa na tuku misato, sima akufaki.
010506004a	Tango Seti akokisaki mibu nkama moko na mitano ya mbotama, abotaki Enoshi.
010507007f	Sima na kobota Enoshi, Seti awumelaki lisusu na bomoi mibu nkama mwambe na sambo mpe abotaki bana mosusu ya mibali mpe ya basi.
010508005c	Mibu nyonso oyo Seti awumelaki na bomoi ezalaki nkama libwa na zomi na mibale, sima akufaki.
0105090040	Tango Enoshi akokisaki mibu tuku libwa ya mbotama, abotaki Kena.
01050a0088	Sima na kobota Kena, Enoshi awumelaki lisusu na bomoi mibu nkama mwambe na zomi na mitano mpe abotaki bana mosusu ya mibali mpe ya basi.
01050b0056	Mibu nyonso oyo Enoshi awumelaki na bomoi ezalaki nkama libwa na mitano, sima akufaki.
01050c0043	Tango Kena akokisaki mibu tuku sambo ya mbotama, abotaki Maalalele.
01050d0087	Sima na kobota Maalalele, Kena awumelaki lisusu na bomoi mibu nkama mwambe na tuku minei mpe abotaki bana mosusu ya mibali mpe ya basi.
01050e0052	Mibu nyonso oyo Kena awumelaki na bomoi ezalaki nkama libwa na zomi, sima akufaki.
01050f0050	Tango Maalalele akokisaki mibu tuku motoba na mitano ya mbotama, abotaki Yeredi.
010510008a	Sima na kobota Yeredi, Maalalele awumelaki lisusu na bomoi mibu nkama mwambe na tuku misato mpe abotaki bana mosusu ya mibali mpe ya basi.
0105110068	Mibu nyonso oyo Maalalele awumelaki na bomoi ezalaki nkama mwambe na tuku libwa na mitano, sima akufaki.
010512005a	Tango Yeredi akokisaki mibu nkama moko na tuku motoba na mibale ya mbotama, abotaki Enoki.
0105130077	Sima na kobota Enoki, Yeredi awumelaki lisusu na bomoi mibu nkama mwambe mpe abotaki bana mosusu ya mibali mpe ya basi.
0105140065	Mibu nyonso oyo Yeredi awumelaki na bomoi ezalaki nkama libwa na tuku motoba na mibale, sima akufaki.
0105150050	Tango Enoki akokisaki mibu tuku motoba na mitano ya mbotama, abotaki Metusalemi.
0105160081	Sima na kobota Metusalemi, Enoki azalaki kosala mokano ya Nzambe mibu nkama misato mpe abotaki bana mosusu ya mibali mpe ya basi.
0105170057	Mibu nyonso oyo Enoki awumelaki na bomoi ezalaki nkama misato na tuku motoba na mitano.
010518005c	Enoki atambolaki na boyengebene elongo na Nzambe; bongo alimwaki, pamba te Nzambe azwaki ye.
010519005e	Tango Metusalemi akokisaki mibu nkama moko na tuku mwambe na sambo ya mbotama, abotaki Lemeki.
01051a0094	Sima na kobota Lemeki, Metusalemi awumelaki lisusu na bomoi mibu nkama sambo na tuku mwambe na mibale mpe abotaki bana mosusu ya mibali mpe ya basi.
01051b0068	Mibu nyonso oyo Metusalemi awumelaki na bomoi ezalaki nkama libwa na tuku motoba na libwa, sima akufaki.
01051c0061	Tango Lemeki akokisaki mibu nkama moko na tuku mwambe na mibale ya mbotama, abotaki mwana mobali.
01051d0089	Abengaki ye Noa mpe alobaki: «Ye oyo akobondisa biso na mosala mpe na pasi ya maboko na biso likolo ya mabele oyo Yawe alakelaki mabe.»
01051e0092	Sima na kobotama ya Noa, Lemeki awumelaki lisusu na bomoi mibu nkama mitano na tuku libwa na mitano mpe abotaki bana mosusu ya mibali mpe ya basi.
01051f0063	Mibu nyonso oyo Lemeki awumelaki na bomoi ezalaki nkama sambo na tuku sambo na sambo, sima akufaki.
0105200050	Tango Noa akokisaki mibu nkama mitano ya mbotama, abotaki Semi, Cham mpe Jafeti.
0106010043	Tango bato babandaki kokoma ebele na mokili mpe babotaki bana basi,
0106020060	milimo emonaki ete bana basi ya bato bazali kitoko; boye ekomisaki ba-oyo eponaki basi na yango.
01060300a5	Yango wana, Yawe alobaki: «Pema na Ngai ekowumela libela te kati na moto, pamba te abengami na kokufa; mibu ya bomoi na ye ekozala kaka nkama moko na tuku mibale.»
01060400d9	Na tango wana, ezalaki na bingambe kati na mokili; mpe lisusu, milimo esangisaki nzoto na bana basi ya bato, bongo bana basi babotelaki yango bana. Bana yango bazalaki bilombe na tango ya kala, bato oyo bakenda sango.
0106050083	Yawe amonaki ndenge nini mabe ya moto ekomaki mingi kati na mokili, mpe tango nyonso, makanisi ya motema ya moto ezalaki kaka mabe.
010606005b	Boye Yawe ayokaki mawa na ndenge akelaki moto kati na mokili mpe abongolaki makanisi na Ye.
0106070104	Boye Yawe alobaki: «Nakosilisa koboma kati na mokili bato oyo nakelaki; solo, nakosilisa koboma bato kino na bibwele, na bandeke ya likolo mpe na bikelamu oyo etambolaka na libumu kati na mokili, pamba te nabongoli makanisi na Ngai na ndenge nakelaki bango.»
0106080026	Kasi Noa azwaki ngolu na miso ya Yawe.
0106090087	Tala lisolo ya libota ya Noa. Noa azalaki moto ya sembo mpe azanga pamela kati na bato ya tango na ye; azalaki kosala mokano ya Nzambe.
01060a0039	Noa azalaki na bana mibali misato: Semi, Cham mpe Jafeti.
01060b0043	Mokili ebebaki na miso ya Nzambe mpe etondaki na makambo ya mobulu.
01060c0061	Nzambe amonaki ndenge mokili ebebaki, pamba te bato nyonso ya mokili babebisaki banzela na bango.
01060d00a8	Boye, Nzambe alobaki na Noa: «Nazwi mokano ya koboma bikelamu nyonso ya bomoi, pamba te mokili etondi na mabe likolo na bango. Solo, nakobebisa bango elongo na mokili.
01060e0081	Sala masuwa ya mabaya ya goferi mpo na lobiko na yo; kabola yango na bashambre. Okopakola gudron na kati mpe na libanda na yango.
01060f00ba	Tala ndenge okotonga yango: molayi na yango ekozala na bametele pene nkama moko na tuku mitano, bametele pene tuku mibale na mitano na mokuse mpe bametele pene zomi na mitano na bosanda.
01061000a1	Okotia likolo na yango lidusu ya basantimetele pene tuku mitano, okotia ekuke na mopanzi na yango; mpe na kati, okosala etaje ya liboso, ya mibale mpe ya misato.
0106110085	Nakotinda mpela na mokili mpo na koboma nyonso oyo ezali na bomoi na se na moyi: ekelamu nyonso ya bomoi oyo ezali na mabele ekokufa.
010612007e	Kasi nasali boyokani elongo na yo, yango wana okokota na masuwa: yo, bana na yo ya mibali, mwasi na yo mpe basi ya bana na yo.
0106130085	Okokotisa mpe kati na masuwa, mibale-mibale, bikelamu nyonso ya bomoi, mwasi mpe mobali, mpo ete obatela yango na bomoi elongo na yo.
01061400a7	Bikelamu mibale ya lolenge moko na moko ya bandeke, ya bibwele mpe ya bikelamu nyonso oyo etambolaka na libumu; nyonso ekoya epai na yo mpo ete obatela yango na bomoi.
010615006c	Okozwa biloko ya kolia ya lolenge na lolenge mpe okobomba yango mpo ete ezala bilei na yo elongo na yango.»
010616003a	Noa asalaki makambo nyonso ndenge kaka Nzambe atindaki ye.
0107010091	Yawe alobaki na Noa: «Kota na masuwa, yo mpe libota na yo mobimba, pamba te yo kaka nde omonani sembo na miso na Ngai kati na bato ya ekeke oyo.
01070200b2	Kamata banyama sambo ya mibali mpe sambo ya basi kati na banyama ya lolenge nyonso oyo ezangi mbindo; mpe nyama moko ya mobali mpe moko ya mwasi kati na banyama oyo ezali mbindo.
010703007a	Kamata lisusu bandeke sambo ya mibali mpe sambo ya basi kati na lolenge nyonso ya bandeke mpo ete esila te kati na mokili.
01070400b1	Pamba te etikali mikolo sambo mpo ete nanokisa mvula oyo ekowumela mikolo tuku minei mpe babutu tuku minei mpe nakosilisa koboma bikelamu nyonso oyo nasala kati na mokili oyo.»
010705003f	Bongo, Noa asalaki makambo nyonso ndenge kaka Yawe atindaki ye.
0107060048	Noa azalaki na mibu nkama motoba ya mbotama tango mpela eyaki na mokili.
0107070075	Noa mpe bana na ye ya mibali elongo na mwasi na ye mpe basi ya bana na ye bakotaki na masuwa mpo ete babika na mpela.
010708009e	Kati na banyama ya lolenge nyonso, moko ya mobali mpe moko ya mwasi, ezala oyo ezanga mbindo to oyo ezali mbindo, bandeke mpe banyama oyo etambolaka na libumu
0107090055	eyaki epai na Noa mpe ekotaki na masuwa, mwasi na mobali, ndenge Nzambe atindaki Noa.
01070a0032	Bongo sima na mikolo sambo, mpela eyaki na mokili.
01070b00a0	Tango Noa akokisaki mibu nkama motoba ya mbotama, na sanza ya mibale, na mokolo ya zomi na sambo, bitima nyonso ya se mpe maninisa nyonso ya likolo efungwamaki.
01070c0040	Mvula enokaki na mokili mikolo tuku minei mpe babutu tuku minei.
01070d0092	Kaka na mokolo wana, Noa mpe bana na ye ya mibali: Semi, Cham mpe Jafeti, elongo na mwasi na ye mpe basi misato ya bana na ye, bakotaki na masuwa.
01070e00d6	Elongo na bango, ekotaki mpe banyama ya zamba ya lolenge nyonso, bibwele ya lolenge nyonso, bikelamu ya lolenge nyonso oyo etambolaka na libumu mpe bandeke ya lolenge nyonso mpe bikelamu nyonso oyo ezali na mapapu.
01070f0067	Mwasi na mobali, kati na bikelamu nyonso oyo ezali na bomoi, eyaki epai ya Noa mpo na kokota na masuwa.
01071000a4	Banyama nyonso oyo ekotaki kuna ezalaki mwasi na mobali kati na bikelamu nyonso oyo ezali na bomoi, ndenge Nzambe atindaki Noa. Sima, Yawe akangaki ekuke ya masuwa.
0107110066	Mpela ewumelaki na mokili mikolo tuku minei; mayi ekomaki ebele mpe etombolaki masuwa likolo na yango.
010712004f	Mayi emataki mpe ekomaki ebele, bongo masuwa ekomaki kotepatepa likolo ya mayi.
0107130066	Mayi emataki lisusu makasi mpe bangomba nyonso ya milayi oyo ezalaki na mokili ezindaki na se ya mayi.
0107140053	Mayi emataki lisusu likolo ya bangomba na bosanda ya bametele pene sambo to mwambe.
01071500a2	Bikelamu nyonso ya bomoi kati na mokili ekufaki, ezala bandeke, bibwele, banyama ya zamba to mpe banyama ya mike-mike oyo etambolaka na mabele to mpe bato nyonso.
010716003b	Nyonso oyo ezalaki na pema ya bomoi ekufaki kati na mokili.
01071700fd	Boye, Yawe alongolaki kati na mokili bikelamu nyonso oyo ezalaki na bomoi, kobanda na moto kino na ebwele, ekelamu oyo etambolaka na libumu mpe ndeke ya likolo; alongolaki bango na mokili mpe etikalaki kaka Noa na ba-oyo bazalaki na ye elongo na masuwa.
0107180039	Mayi etondaki na mokili mikolo nkama moko na tuku mitano.
010801007c	Nzambe akanisaki Noa mpe banyama nyonso oyo ezalaki elongo na ye kati na masuwa, atindaki mopepe na mokili mpe mayi ekitaki.
0108020048	Bitima ya se mpe maninisa ya likolo ekangamaki mpe mvula etikaki konoka.
010803006d	Mayi ekomaki kolongwa moke-moke likolo ya mabele, mpe sima na mikolo nkama moko na tuku mitano, mayi ekitaki.
0108040058	Na mokolo ya zomi na sambo ya sanza ya sambo, masuwa esemaki likolo ya bangomba Ararati.
0108050074	Mayi ezalaki kokoba kokita kino na sanza ya zomi. Na mokolo ya liboso ya sanza yango, basonge ya bangomba emonanaki.
