2800000005	Matej
280202009d	hem lelje te raspučen pe: “Kaj o nevo bijando caro e Jevrejengoro? Dikhljam sar lesiri čereni ikljola ko istok i aljam te pera ko kočija anglo leste.”
280203005d	Kad šunđa adava o caro o Irod, but uznemirinđa pe, a oleja hem sa o manuša ano Jerusalim.
280204008e	Vičinđa kora peste sa e jevrejengere šerutne sveštenikonen hem e učiteljen e Zakonestar hem pučlja len kaj o Hrist valjani te bijanđol.
2802050054	A on phende lese: “Ano Vitlejem ani Judeja, adalese so ađahar o proroko pisinđa:
28020600c0	‘Tu, Vitlejeme, ki phuv e Judejakiri, na injan najtikoro maškaro legarutne dizja e Judejakere, adalese so ka ikljol tutar vladari kova sar pastiri ka legari mle narodo, e Izraelconen.’”
2802070068	Tegani o Irod tajno vičinđa kora peste e mudrakonen hem pučlja len kad tačno mothovđa pe i čereni.
28020800c0	I bičhalđa len ko Vitlejem vaćerindoj: “Džan hem šukar raspučen tumen e čhavorestar. Kad ka arakhen le, aven te javinen maje te šaj hem me te avav te perav ko kočija anglo leste.”
28020900b1	O mudraci šunde e caro hem džele. I otojekhvar, i čereni, sava dikhle sar ikljola ko istok, džala ine anglo lende sa đikote na terdini upreder o than kote inele o čhavoro.
28020a002a	Kad dikhle i čereni, zorale radujinde pe.
28020b00a3	Đerdinde ko čher hem dikhle e čhavore lesere dajaja e Marijaja i pele ko kočija anglo leste. Tegani ikalde pumare darija hem dinde le zlato, tamjan hem smirna.
28020c007e	Palo adava, ko suno o Devel upozorinđa len te na irinen pe palal koro Irod, i adalese avere dromeja irinde pe ki pumari phuv.
28020d00f7	Kad o mudraci džele, o anđeo e Gospodesoro alo ko suno e Josifese hem phenđa lese: “Ušti, le e čhavore hem lesere daja hem našen ano Egipat. Ačhoven adari đikote na phenava tumenđe, adalese so o Irod ka rodel e čhavore te mudari le.”
28020e004e	O Josif uštino hem adaja rat dželo ko Egipat e čhavoreja hem lesere dajaja.
28020f008f	I ačhile adari sa đi e Irodesoro meriba. Adaleja pherdilo okova so o Gospod phenđa prekalo proroko: “Taro Egipat vičinđum mle čhave.”
28021000f2	Kad o Irod dikhlja so o mudraci hovavde le, but holjanđa hem bičhalđa e vojnikonen ano Vitlejem hem ano sa o pašutne thana te mudaren sa e murše čhavoren đi o duj berš. Sa adava ćerđa premalo vreme zako savo šunđa e mudrakonendar.
2802110036	Tegani pherdilo okova so phenđa o proroko o Jeremija:
28021200ae	“Ani diz Rama o glaso šundilo, o kukiba hem o rojba baro; Adava i Rahilja rovela ple čhaven hem na mangela te utešini pe, adalese so lakere čhave nane više dživde.”
2802130049	Kad o Irod mulo, o anđeo e Gospodesoro alo ko suno e Josifese ano Egipat
280214008c	hem phenđa lese: “Ušti, le e čhavore hem lesere daja, i džan ki phuv Izrael, adalese so mule okola so mangle te mudaren e čhavore.”
2802150048	Ov uštino, lelja peja e čhavore hem lesere daja hem dželo ano Izrael.
28021600c4	Kad šunđa so e Irodesoro čhavo o Arhelaj ulo nevo vladari ani regija Judeja, darandilo te džal adari. Tegani ko suno o Devel upozorinđa le te na džal adari, nego te džal ki regija Galileja.
280217007d	I džele hem živinde ani diz Nazaret. Adaleja pherdilo okova so phende o proroci e Mesijastar da ka vičini pe Nazarećanin.
2803010050	Ko adala dive o Jovan o Krstitelj lelja te propovedini ani pustinja e judejakiri
280302005f	vaćerindoj: “Pokajinen tumen zako tumare grehija, adalese soi o carstvo e nebosoro paše!”
28030300a4	E Jovanestar vaćerđa o proroko o Isaija kad prorokujinđa: “Ovi o glaso so vičini ani pustinja: ‘Pripreminen o drom e Gospodese! Ravnonen lese o droma!’”
2803040084	A adava Jovan akharđa šeja oto bala e kamilakere, a ko maškar inele phandlo kožno pojas. Hala ine skakavconen hem divljo avđin.
2803050077	But manuša avena ine koro leste taro Jerusalim hem tari sa i regija Judeja hem taro sa o thana savei uzali len Jordan.
2803060045	Priznajinena ine pumare grehija, a ov krstini len ine ani len Jordan.
28030700ba	Kad o Jovan dikhlja so but fariseja hem sadukeja avena te krstinen pe, phenđa lenđe: “E sapengere čhavalen! Ko vaćerđa tumenđe da šaj te našen tari e Devlesiri holi savi avela?
2803080036	Tumare životeja mothoven da čače pokajinđen tumen!
2803090096	I ma mislinen dai dovoljno te phenen: ‘Amaroi pradad o Avraam.’ Phenava tumenđe da o Devel hem akale barendar šaj te vazdel čhaven e Avraamese.
28030a00a3	Ače o tover oto sudo e Devlesoroi već vazdime te čhinel o kašta ano koreno. I svako kaš savo na bijani šukar bijandipe ka čhinel pe hem ka frdel pe ani jag.
28030b00c8	Me krstinava panjeja tumen kola kajinena tumen zako tumare grehija. Ali pala mande avela o po baro mandar, kase na injum dostojno ni i obuća te legarav. Ov ka krstini tumen Svetone Duhoja hem jagaja.
28030c00ab	Ano vas lese i lopata te čistini o gumno plo hem te odvojini o điv taro ljuske. O điv ka čhivel pese ki šupa, a o ljuske ka tharel jagaja savi nikad na mudarđola.”
28030d0044	Tegani o Isus alo tari Galileja ki len Jordan te krstini le o Jovan.
28030e005e	A o Jovan na manglja hem phenđa lese: “Tu man valjani te krstine, a tu aveja kora mande!”
28030f00b2	A o Isus phenđa lese: “Muk akana adava. Valjani amenđe te ćera ađahar te šaj pherđol sa soi pali pravedno volja e Devlesiri.” Tegani o Jovan pristaninđa te krstini le.
280310009f	I odmah palo adava so o Isus krstinđa pe, iklilo taro pani. I dikh! O nebo phravdilo hem dikhlja e Devlesere Duho sar avela sar golubi hem huljela upro leste.
2803110065	Tegani taro nebo šundilo o glaso e Devlesoro: “Akavai mlo Čhavo o volime. Oleja injum bahtalo!”
2804010049	Tegani o Duho legarđa e Isuse ki pustinja te ovel iskušime e bengestar.
2804020042	Palo adava so postinđa saranda dive hem saranda raća, bokhalilo.
2804030084	Tegani alo koro leste o beng kova kušini hem phenđa lese: “Te injan o Čhavo e Devlesoro, vaćer akale barenđe te oven maro.”
280404008f	A o Isus phenđa: “Pisimei ano Sveto lil: ‘O manuš naka živini samo oto maro nego oto svako lafi savo ikljola taro muj e Devlesoro.’”
280405005c	Tegani o beng legarđa le ki Sveto diz Jerusalim, čhivđa le upro naj učo than e Hramesoro
28040600c8	hem phenđa lese: “Te injan o Čhavo e Devlesoro, frde tut akatar tele! Adalese soi pisime: ‘Ka naredini ple anđelenđe te arakhen tut, te akharen tut ko vasta te na khuve tut preja ko bar.’”
2804070054	A o Isus phenđa lese: “Pisimei hem akava: ‘Ma kušin e Gospode, te Devle.’”
2804080067	Tegani o beng anđa le upri but uči gora, mothovđa lese sa o carstvija e phuvjakere hem lengiri slava
280409005d	hem phenđa lese: “Sa akava ka dav tut, te peljan ko kočija angla mande te slavine man!”
28040a008b	A o Isus phenđa lese: “Dža mandar, Sotone! Adalese soi pisime: ‘Per ko kočija samo anglo Gospod, to Devel, hem samo ole kande!’”
28040b0041	Tegani o beng cidinđa pe olestar, a o anđelja ale te kanden le.
28040c004e	A kad o Isus šunđa so e Jovane e Krstitelje phandle, irinđa pe ki Galileja.
28040d0096	Ačhavđa i diz Nazaret hem dželo te živini ani diz Kafarnaum, uzalo e Galilejakoro jezero, ko krajo oto plemija e Zavulonesere hem e Neftalimesere.
28040e0035	Ađahar pherdilo okova so phenđa o proroko o Isaija:
28040f0096	“Ani phuv e Zavulonesiri hem e Neftalimesiri, uzalo jezero e Galilejakoro, tari aver strana oti len Jordan, ani regija Galileja e avere nacijengiri,
2804100083	o manuša kola živinde ani tomina dikhle baro svetlost; o svetlost thabilo upro okolende kola živinde ani senka e meribnasiri.”
2804110077	Otegani o Isus lelja te propovedini: “Pokajinen tumen zako tumare grehija, adalese soi paše o carstvo e nebosoro!”
28041200bc	Sar o Isus nakhela ine uzalo e Galilejakoro jezero, dikhlja e duje phraljen, e Simone vičime Petar hem e Andreja, sar frdena o mreže ano pani, adalese so inele manuša so dolena maćhen.
280413005f	I phenđa lenđe: “Phiren pala mande hem me ka ćerav tumen te dolen manušen sar maćhen!”
2804140036	On odmah ačhavde pumare mreže hem džele palo leste.
28041500c4	Kad džele adathar hari po dur, o Isus dikhlja avere duje phraljen, e Jakove hem e Jovane, sar pumare dadeja e Zevedeja bešena ano čamco hem popravinena pumare mreže. O Isus vičinđa hem olen.
2804160048	I on otojekhvar ačhavde o čamco hem pumare dade hem džele palo leste.
28041700c7	O Isus džala ine maškari sa i Galilejaja hem sikaj e manušen ano lengere sinagoge, vaćerindoj o Šukar lafi oto carstvo e nebosoro hem sasljarindoj e manušen oto svako nambormipe hem bizoralipe.
28041800fc	O glaso olestar šundilo ani sa i Sirija, i đi adathar o manuša anena ine koro leste sa e nambormen oto razna nambormipa hem muke, e manušen ano kolende inele demonja, e manušen kolen inele epilepsija hem e nepokretnonen, a o Isus sasljari len ine.
2804190095	Palo leste džele sa edobor manuša tari regija Galileja, taro Dekapolis, tari diz Jerusalim, tari regija Judeja hem tari aver strana oti len Jordan.
2805010076	Kad o Isus dikhlja so but džene čedinde pe, uklinđa ki gora hem beštino te sikaj. Lesere učenici ale uzalo leste,
2805020025	i ov lelja te sikaj len, vaćerindoj:
2805030047	“Bahtalei o čorore duhoja adalese soi olengoro o carstvo e nebosoro!
2805040043	Bahtalei okola kola tugujinena, adalese so o Devel ka utešini len!
2805050037	Bahtalei o krotka, adalese so olenđe ka ačhol i phuv!
2805060054	Bahtalei o bokhale hem o žedna zaki pravednost, adalese so o Devel ka čaljari len!
2805070044	Bahtalei o milosrdna, adalese so o Devel ka mothoj lenđe milosrđe!
2805080043	Bahtalei o manuša bimelale vilesere, adalese so ka dikhen e Devle!
280509004e	Bahtalei okola kola ćerena mir, adalese so ka vičinen pe čhave e Devlesere!
28050a0050	Bahtalei o progonime zaki pravednost, adalese soi olengoro o carstvo e nebosoro!
28050b0078	Bahtale injen kad zbog mande o manuša vređinena tumen, kad progoninena tumen hem kad hovavne vaćerena protiv tumende!
28050c009f	Radujinen tumen hem oven bahtale, adalese so bari nagrada adžićeri tumen ko nebo. Adalese so ađahar progoninde e prorokonen kola inele angleder tumendar!”
28050d00c5	O Isus phenđa: “Tumen injen sar o lon e manušenđe ki phuv. Ali te o lon našalđa plo londipe, soja ov ka lonđari pe? Esavko nane šukar nisose, sem te frdel pe avri, te gazinen le o manuša.
28050e004a	Tumen injen o svetlost e svetose. I diz savi upri gora našti te garaj pe.
28050f008a	Niko na tharela i svetiljka i te garaj la talo čaro, nego čhivela la ko than zaki svetiljka te šaj svetlini sarijenđe kolai ano čher.
2805100082	Ađahar hem tumaro svetlost te svetlini e manušenđe te dikhen tumare šukar delja hem te slavinen tumare Dade kovai ano nebo.”
280511009e	Tegani o Isus phenđa: “Ma mislinen da aljum te čhinavav o zakoni e Mojsijasoro hem o lila e prorokonengere. Na aljum te čhinavav len, nego te pherav len.
2805120097	Čače vaćerava tumenđe, sa đikote ka oven o nebo hem i phuv, ni o najtikoro slovo, nijekh crtica, oto Zakoni naka nakhel đikote sa adava na ovela.
28051300e1	Adalese, ko phagela hem jekh oto najtikore naredbe, hem averen sikaj te ćeren ađahar, ka ovel najtikoro ano carstvo e nebosoro. A ko ićeri o naredbe, hem averen sikaj te ćeren ađahar, ka ovel baro ano carstvo e nebosoro.
28051400bb	Adalese vaćerava tumenđe, na ovela li tumari pravednost po bari oti pravednost e učiteljengiri e Zakonestar hem e farisejengiri, nisar naka šaj te đerdinen ano carstvo e nebosoro!”
2805150074	I phenđa: “Šunđen soi phendo ano Zakoni amare pradadenđe: ‘Ma mudar! Ko mudari, ka ovel krivo anglo sudo.’
28051600e0	A me phenava tumenđe: Ko holjani upro plo phral, ka ovel krivo anglo sudo. Ko vičini ple phrale ‘budalo’, ka ovel krivo anglo po baro sudo. A te vičinđa le ‘Dilineja’, ka ovel krivo hem ka džal ano jagalo pakao.
2805170084	Adalese, te injan anglo žrtveniko ano Hram hem deja žrtva e Devlese i otojekhvar setineja tut da te phrale isi nešto protiv tute,
2805180069	ačhav te žrtva anglo žrtveniko, dža najangle mirin tut oleja i tegani ava hem de te žrtva e Devlese.
28051900c7	So po sigate mirin tut te protivnikoja odrumal, pana sar na anđa tut ko sudo. Te na ćerđan ađahar, ov šaj te del tut ko sudija, a o sudija te del tut ko manuš kova ka čhivel tut ano phandlipe.
28051a0058	Vaćerava će da čače naka ikljove adathar sa đikote na irineja đi i zadnjo para.”
28051b004c	I o Isus phenđa: “Šunđen soi phendo ano Zakoni: ‘Ma ćer preljuba!’
28051c0081	A me phenava tumenđe: Sar ko dikhela avera đuvlja ađahar da mangela te sovel olaja, već ćerđa preljuba olaja pese ano vilo.
28051d00a6	Te ti desno jakh legari tut ano greh, ikal la hem frde la tutar. Adalese soi po šukar tuće te našale jekh deo te telostar nego sa to telo te ovel frdime ano pakao.
28051e00ab	Hem te to desno vas legari tut ano greh, čhin le hem frde le tutar. Adalese soi po šukar tuće te ačhove bizo jekh deo te telostar nego sa to telo te džal ko pakao.”
28051f0071	I phenđa: “Ano Zakoni inele da phendo: ‘Ko ačhaj pla romnja, nek del la lil kote pisini so ačhavđa la.’
28052000c1	A me phenava tumenđe: Svako kova ačhaj pla romnja, čhivela la te ćerel preljuba, sem te ačhavđa la zbog lakiri preljuba. Hem svako kova lela romnja kola o rom muklja, ćerela preljuba.”
2805210098	I o Isus phenđa: “Šunđen soi hem akava phendo ano Zakoni amare pradadenđe: ‘Ma phag i sovli, nego ćer okova savese haljan sovli e Gospodese.’
2805220062	A me phenava tumenđe: Ma han sovli nisar! Ma han sovli ni e neboja, adalese soi e Devlesoro tron,
2805230079	ni e phuvjaja, adalese soi talo lesere pre, ni e Jerusalimeja, adalese soi adava i diz kaj o Devel vladini sar baro caro.
2805240063	Ma han sovli ni tumare šereja, adalese so čak nijekh bal našti te ćeren te ovel parno ili kalo.
28052500b0	Kad phenena: ‘Oja’, nek adava čače značini ‘oja’; kad phenena: ‘Na’, nek adava čače značini ‘na’. Sa so više phenena adalestar, avela e Bišukarestar.”
280526005a	I o Isus phenđa: “Šunđen soi phendo ano Zakoni: ‘Jakh zaki jakh, dand zako dand!’
2805270080	A me phenava tumenđe: Ma suprotstavinen tumen e bišukare manušese! Te khuvđa tut neko ki desno čham, irin lese hem i dujto!
2805280053	Te neko mangela te legari tut ko sudo hem te lel tutar o gad, de le hem o ogrtači.
280529005f	Te e rimesere vojnici terinena tut te akhare lenđe i oprema jekh kilometari, akhar lenđe duj.
28052a005e	Te neko rodela tutar nešto, de le, hem ma irin to dumo okolese kova rodela tutar ko zajam.”
28052b0054	I phenđa: “Šunđen soi phendo: ‘Volin te pašutne’, a mrzin te neprijatelje!
28052c006b	A me phenava tumenđe: Volinen hem tumare neprijateljen hem molinen tumen okolenđe kola progoninena tumen,
28052d00e1	sar te šaj mothoven da injen čhave tumare Dadesere kovai ano nebo. Ov ćerela lesoro kham te ikljol upreder hem o bišukar hem o šukar manuša, hem bičhali bršim okolenđe kolai pravedna hem okolenđe kola nane pravedna.
28052e0080	Adalese so, te volinena samo okolen kola tumen volinena, savi nagrada šaj te adžićeren? Na li ađahar ćerena hem o carinici?
28052f0078	Te pozdravinena samo tumare manušen, so ćerena po šukar averendar? Adava ćerena hem okola kola na džanen e Devlese.
280530004c	Adalese tumen oven savršena sar soi savršeno tumaro Dad kovai ano nebo.”
28060100b2	O Isus phenđa: “Pazinen! Ma ćeren šukaripe anglo manuša, sar te dikhen tumen aver džene, adalese so, te ćerđen ađahar, tumaro Dad kovai ano nebo naka del tumen nagrada.
28060200d0	Adalese, kad deja e čororenđe, ma mothov adava javno. Ađahar ćerena e dujemujengere ano sinagoge hem ko droma sar te hvalinen len o manuša. Čače vaćerava tumenđe, aver nagrada sem adaja naka dobinen.
280603004c	Nego, kad deja e čororenđe, te na džanel to levo vas so ćerela to desno.
2806040060	De e čororenđe garandoj, a to Dad, kova dikhela soi ćerdo ano garavdipe, ka nagradini tut.”
28060500ce	“Hem kad molinena tumen, ma oven sar e dujemujengere kola volinena te molinen pe ano sinagoge hem ko raskrsnice sar te dikhen len o manuša. Čače vaćerava tumenđe, aver nagrada sem adaja naka dobinen.
28060600bd	Nego, kad molineja tut, đerdin korkoro tuće ki soba, phand o udar hem molin tut te Dadese e Devlese kovai ano garavdipe, a to Dad, kova dikhela soi ćerdo ano garavdipe, ka nagradini tut.
2806070098	Kad molinena tumen, ma vaćeren but čuče lafija sar okola kola na džanen e Devlese, adalese so mislinena da ka oven uslišime te vaćerde but lafija.
2806080072	Adalese, ma oven sar olende, adalese so tumaro Dad džanel so valjani tumenđe čak hem angleder so rodena lestar.
280609005e	Adalese ađahar molinen: ‘Dade amareja, kova injan ano nebo, to sveto anav barjardo te ovel.
28060a0054	To carstvo te avel. Ti volja te ovel, sar soi ano nebo, ađahar te ovel hem ki phuv.
28060b0035	De amen avdive o maro savo valjani amenđe svako dive
28060c0067	hem oprostin amenđe amare grehija sar so hem amen oprostinaja okolenđe kola grešinde premala amende.
28060d0080	Hem cide amen taro iskušenje, hem oslobodin amen e Bišukarestar. [Adalese soi to carstvo, to zoralipe hem ti slava zauvek.]’
28060e0084	Adalese so, te oprostinđen avere manušenđe kad grešinena premala tumende, hem tumaro Dad, kovai ano nebo, ka oprostini tumenđe.
28060f005a	Ali te na oprostinđen averenđe, ni tumaro Dad naka oprostini tumenđe tumare grehija.”
28061000c3	“Kad postinena, ma čeden tumare phova sar e dujemujengere, adalese so on ćerena muja sar te oven dikhle averendar da postinena. Čače vaćerava tumenđe, aver nagrada sem adaja naka dobinen.
2806110033	Nego, kad postineja, harov te bala hem thov to muj,
2806120095	te na dikhen o manuša so postineja, nego samo to Dad kovai ano garavdipe. Tegani to Dad, kova dikhela soi ćerdo ano garavdipe, ka nagradini tut.”
2806130078	“Ma čeden tumenđe barvalipe ki phuv, kote o moljci hem i rđa ka uništinen le, a o čora šaj te aven te čoren le.
2806140086	Nego, čeden tumenđe barvalipe ko nebo, kote ni o moljci ni i rđa naka šaj uništinen le, a ni o čora našti te aven te čoren le.
2806150032	Adalese so to vilo ka ovel adari kaj to barvalipe.
280616004d	Ti jakhi sar svetiljka te telose. Kadi ti jakh šukar, sai to telo osvetlime,
2806170081	a kadi ti jakh bišukar, sai to telo ani tomina. Adalese, te o svetlost ana tute ovela tomina, savi bari adaja tomina ka ovel!”
28061800c2	“Nijekh robo našti kandel duje gospodaren. Ili ka mrzini jekhe, a ka volini e dujtone, ili jekhese ka ovel poslušno, a e dujtone naka podnosini. Našti kanden hem e Devle hem o barvalipe.”
28061900e9	“Adalese vaćerava tumenđe: Ma oven zabrinuta zako tumaro dživdipe: ka ovel tumen li so te han ili so te pijen, ni zako tumaro telo: ka ovel tumen li so te urjaven. Nane li o dživdipe po bitno e hajbnastar, a o telo e šejendar?
28061a00a6	Dikhen šukar e čirikljen! Ni sejinena ni čedena te čhiven ano šupe, a palem parvari len tumaro Dad kovai ano nebo. A na li tumen više vredinena e čirikljendar?
28061b004c	A kova tumendar šaj adaleja so brinini pe te produžini hari plo dživdipe?
28061c0077	Hem sose brininena tumen zako šeja? Dikhen šukar o divlja luluđa sar barjona. Na ćerena buti, niti sivenafse šeja,
28061d0074	a vaćerava tumenđe da ni o caro o Solomon, kova inele but barvalo, na inole edobor šuže šeja sar jekha olendar.
28061e00ab	Te o Devel ađahar šukar urjavela o biljke ko polje savei avdive adathe, a već tejsa frdena pe ani jag, kobor li više tumenđe ka del šeja, tikora verakere manušalen!
28061f0069	Adalese, ma oven zabrinuta hem ma vaćeren: ‘So ka ha?’ ili ‘So ka pija?’ ili ‘So ka urjava?’
2806200078	Adalese so adava rodena okola kola na džanen e Devlese. Tumaro Dad kovai ano nebo džanel da valjani tumenđe sa adava.
2806210072	Nego, najangle roden o carstvo e Devlesoro hem lesiri pravednost, a sa adava so valjani tumenđe, ov ka del tumen!
2806220080	Adalese, ma brininen tumen zako tejsato dive; nek o tejsato dive brinini pe pese. Svako dive isi le dovoljno ple bišukaripa.”
280701003c	I o Isus phenđa: “Ma sudinen hem naka sudini pe tumenđe!
2807020082	Adalese so, sar sudinena averenđe, ađahar hem o Devel ka sudini tumenđe; hem sava meraja merinena, esavkaja ka merini tumenđe.
2807030055	A sose dikheja i trunka ani jakh te phralesiri, a i greda ani ti jakh na primetineja?
2807040062	Sar šaj te phene te phralese: ‘Aš te ikalavtar i trunka oti jakh’, a tut isi greda ani jakh?
2807050076	Dujemujengereja, najangle ikal i greda te jakhatar, i tegani šukar ka dikhe te ikale i trunka te phralesere jakhatar.
28070600a9	Ma den e đuklenđe okova soi sveto hem ma frden tumare biserja anglo bale. Adalese so o bale ka gazinen len, a o đukle ka irinen pe hem ka pharaven tumen ko kotora.”
280707005a	“Mangen hem ka del pe tumenđe! Roden hem ka arakhen! Khuven hem ka phravel pe tumenđe!
2807080068	Adalese so svako kova mangela, primini; hem kova rodela, arakhi; hem kova khuvela, ka ovel lese phravdo.
2807090045	Ko tumendar pe čhavese, kad ka rodel lestar ine maro, ka del le bar?
28070a0033	Ili kad ka rodel lestar ine maćhe, ka del le sape?
28070b00a9	Kad tumen, kola injen bišukar, džanen te den šukar darija tumare čhavenđe, kobor više tumaro Dad kovai ano nebo ka del šukar darija okolenđe kola rodena olestar.
28070c0099	Adalese, sar so mangena avera te ćeren tumenđe, ađahar ćeren tumen olenđe, adalese soi adava okova so sikaj o Zakoni e Mojsijasoro hem o Proroci.”
28070d0092	I o Isus phenđa: “Đerdinen maškaro tesno udar. Adalese so o bulo udar hem o bulo drom legarena ani propast, a isi but džene so džana oleja.
28070e005e	Buti tesno o udar hem o drom savo legari ano dživdipe, a isi hari džene kola arakhena le.”
28070f0074	I phenđa: “Arakhen tumen e hovavne prorokonendar. On avena kora tumende urjavde sar bakre, a andrali divlja ruva.
2807100061	Palo lengere plodija ka pendžaren len. Na čedena pe o drakha oto kare, ni o smokve oto čičke.
2807110058	Ađahar, svako šukar kaš dela šukar plodija, a o bišukar kaš dela bišukar plodija.
2807120058	O šukar kaš našti del bišukar plodija, ni o bišukar kaš našti del šukar plodija.
280713004a	Svako kaš savo na dela šukar plodija, čhinela pe hem frdela pe ani jag.
2807140044	Adalese, e hovavne prorokonen ka pendžaren palo lengere plodija.”
280715009b	“Ano carstvo e nebosoro naka đerdinen sare kola vaćerena maje ‘Gospode, Gospode’, nego samo okola kola ćerena i volja mle Dadesiri kovai ano nebo.
28071600b3	Ko adava dive kad ka ovel o sudo, but džene ka vaćeren maje: ‘Gospode, Gospode, na li amen tuće ano anav prorokujinđam, ispudinđam e demonen hem ćerđam bare čudesija?’
280717007e	Tegani phravdeste ka phenav lenđe: ‘Nikad na pendžarđum tumen. Džan mandar, tumen kola phagena e Devlesoro zakoni!’”
2807180084	“Adalese, svako kova šunela akala mle lafija hem ćerela len, ovi mudro sar o manuš kova ćerela plo čher upro temelji oto bar.
2807190087	I pelo o bršim, ale o panja, phudinde o barvalja hem khuvde adava čher, ali o čher na pelo, adalese soi ćerdo upro temelji oto bar.
28071a0072	Svako kova šunela akala mle lafija, a na ćerela len, ovi sar o dilino manuš kova ćerela plo čher upri pošik.
28071b0077	I pelo o bršim, ale o panja, phudinde o barvalja hem khuvde adava čher, i adava čher pelo hem ulo bari ruševina.”
28071c0054	Kad o Isus završinđa ple vaćeribnaja, o narodo inele zadivime lesere sikavibnaja,
28071d005a	adalese so sikavđa sar okova kole isi autoritet, a na sar lengere učitelja e Zakonestar.
2808010040	Sar o Isus huljela ine tari gora, baro narodo dželo palo leste.
2808020083	Otojekhvar alo koro leste nesavo gubavco, pelo ko kočija anglo leste hem phenđa: “Gospode, te mangeja, šaj te sasljare man!”
2808030077	I o Isus pružinđa plo vas, dolinđa le hem phenđa: “Mangava, ov sasljardo!” I otojekhvar ulo sasljardo oti guba.
28080400aa	Tegani o Isus phenđa lese: “Ma vaćer nikase akalestar, nego dža mothov tut e sveštenikose hem de žrtva, sar so naredinđa o Mojsije, zako svedočanstvo olenđe.”
2808050091	Kad o Isus đerdinđa ki diz Kafarnaum, alo koro leste jekh kapetani e rimljanengoro, kova inele upreder šel vojnici, hem rodinđa lestar pomoć
2808060055	vaćerindoj: “Gospode, mlo sluga pašljola čhere nepokretno hem ano bare dukha.”
2808070033	O Isus phenđa lese: “Ka avav te sasljarav le.”
280808007d	A o kapetani phenđa: “Gospode, na injum dostojno te đerdine maje ko čher. Nego samo naredin hem mlo sluga ka ovel sasto.
