0100000006	1 Mose
010211008b	aber von dem Baum des Erkenntnisses Gutes und Böses sollst du nicht essen. Denn welches Tages du davon issest, wirst du des Todes sterben.
010212007a	Und Gott der HERR sprach: Es ist nicht gut, daß der Mensch allein sei; ich will ihm eine Gehilfin machen, die um ihn sei.
010213010b	Denn als Gott der HERR gemacht hatte von der Erde allerlei Tiere auf dem Felde und allerlei Vögel unter dem Himmel, brachte er sie zu dem Menschen, daß er sähe, wie er sie nennete; denn wie der Mensch allerlei lebendige Tiere nennen würde, so sollten sie heißen.
01021400ae	Und der Mensch gab einem jeglichen Vieh und Vogel unter dem Himmel und Tier auf dem Felde seinen Namen; aber für den Menschen ward keine Gehilfin gefunden, die um ihn wäre.
010215009a	Da ließ Gott der HERR einen tiefen Schlaf fallen auf den Menschen, und er entschlief. Und nahm seiner Rippen eine und schloß die Stätte zu mit Fleisch.
0102160066	Und Gott der HERR bauete ein Weib aus der Rippe, die er von dem Menschen nahm, und brachte sie zu ihm.
010217009c	Da sprach der Mensch: Das ist doch Bein von meinem Bein und Fleisch von meinem Fleisch. Man wird sie Männin heißen, darum daß sie vom Manne genommen ist.
0102180078	Darum wird ein Mann seinen Vater und seine Mutter verlassen und an seinem Weibe hangen, und sie werden Sein ein Fleisch.
0102190051	Und sie waren beide nackend, der Mensch und sein Weib, und schämeten sich nicht.
01030100ca	Und die Schlange war listiger denn alle Tiere auf dem Felde, die Gott der HERR gemacht hatte, und sprach zu dem Weibe: Ja, sollte Gott gesagt haben: Ihr sollt nicht essen von allerlei Bäumen im Garten.
0103020055	Da sprach das Weib zu der Schlange: Wir essen von den Früchten der Bäume im Garten;
0103030088	aber von den Früchten des Baumes mitten im Garten hat Gott gesagt: Esset nicht davon, rühret es auch nicht an, daß ihr nicht sterbet!
010304004a	Da sprach die Schlange zum Weibe: Ihr werdet mitnichten des Todes sterben;
0103050093	sondern Gott weiß, daß, welches Tages ihr davon esset, so werden eure Augen aufgetan, und werdet sein wie Gott und wissen, was gut und böse ist.
01030600d7	Und das Weib schauete an, daß von dem Baum gut zu essen wäre und lieblich anzusehen, daß es ein lustiger Baum wäre, weil er klug machte, und nahm von der Frucht und aß und gab ihrem Mann auch davon, und er aß.
0103070091	Da wurden ihrer beiden Augen aufgetan und wurden gewahr, daß sie nackend waren, und flochten Feigenblätter zusammen und machten ihnen Schürze.
01030800c7	Und sie höreten die Stimme Gottes des HERRN, der im Garten ging, da der Tag kühl worden war. Und Adam versteckte sich mit seinem Weibe vor dem Angesicht Gottes des HERRN unter die Bäume im Garten.
010309003a	Und Gott der HERR rief Adam und sprach zu ihm: Wo bist du?
01030a0077	Und er sprach: Ich hörete deine Stimme im Garten und fürchtete mich, denn ich bin nackend; darum versteckte ich mich.
01030b0093	Und er sprach: Wer hat dir's gesagt, daß du nackend bist? Hast du nicht gegessen von dem Baum, davon ich dir gebot, du solltest nicht davon essen?
01030c0058	Da sprach Adam: Das Weib, das du mir zugesellet hast, gab mir von dem Baum, und ich aß.
01030d0079	Da sprach Gott der HERR zum Weibe: Warum hast du das getan? Das Weib sprach: Die Schlange betrog mich also, daß ich aß.
01030e00cc	Da sprach Gott der HERR zu der Schlange: Weil du solches getan hast, seiest du verflucht vor allem Vieh und vor allen Tieren auf dem Felde. Auf deinem Bauch sollst du gehen und Erde essen dein Leben lang.
01030f00b3	Und ich will Feindschaft setzen zwischen dir und dem Weibe und zwischen deinem Samen und ihrem Samen. Der selbe soll dir den Kopf zertreten, und du wirst ihn in die Ferse stechen.
01031000ce	Und zum Weibe sprach er: Ich will dir viel Schmerzen schaffen, wenn du schwanger wirst; du sollst mit Schmerzen Kinder gebären; und dein Wille soll deinem Mann unterworfen sein, und er soll dein HERR sein.
0103110105	Und zu Adam sprach er: Dieweil du hast gehorchet der Stimme deines Weibes und gegessen von dem Bäume, davon ich dir gebot und sprach: Du sollst nicht davon essen; verflucht sei der Acker um deinetwillen; mit Kummer sollst du dich drauf nähren dein Leben lang.
0103120050	Dornen und Disteln soll er dir tragen, und sollst das Kraut auf dem Felde essen.
01031300a1	Im Schweiß deines Angesichts sollst du dein Brot essen, bis daß du wieder zu Erde werdest, davon du genommen bist. Denn du bist Erde und sollst zu Erde werden.
010314004f	Und Adam hieß sein Weib Heva, darum daß sie eine Mutter ist aller Lebendigen.
0103150056	Und Gott der HERR machte Adam und seinem Weibe Röcke von Fellen und zog sie ihnen an,
01031600d3	Und Gott der HERR sprach: Siehe, Adam ist worden als unsereiner und weiß, was gut und böse ist. Nun aber, daß er nicht ausstrecke seine Hand und breche auch von dem Baum des Lebens und esse und lebe ewiglich:
010317005f	da ließ ihn Gott der HERR aus dem Garten Eden, daß er das Feld bauete, davon er genommen ist,
010318008d	und trieb Adam aus und lagerte vor den Garten Eden den Cherub mit einem bloßen hauenden Schwert, zu bewahren den Weg zu dem Baum des Lebens.
0104010075	Und Adam erkannte sein Weib Heva, und sie ward schwanger und gebar den Kain und sprach: Ich habe den Mann, den HERRN.
010402006c	Und sie fuhr fort und gebar Habel, seinen Bruder. Und Habel ward ein Schäfer, Kain aber ward ein Ackermann.
0104030067	Es begab sich aber nach etlichen Tagen, daß Kain dem HERRN Opfer brachte von den Früchten des Feldes,
0104040083	und Habel brachte auch von den Erstlingen seiner Herde und von ihrem Fetten. Und der HERR sah gnädiglich an Habel und seine Opfer;
0104050072	aber Kain und sein Opfer sah er nicht gnädiglich an. Da ergrimmete Kain sehr, und seine Gebärde verstellte sich.
010406005a	Da sprach der HERR zu Kain: Warum ergrimmest du, und warum verstellet sich deine Gebärde?
01040700b7	Ist's nicht also? wenn du fromm bist, so bist du angenehm; bist du aber nicht fromm, so ruhet die Sünde vor der Tür. Aber laß du ihr nicht ihren Willen, sondern herrsche über sie.
0104080094	Da redete Kain mit seinem Bruder Habel. Und es begab sich, da sie auf dem Felde waren, erhub sich Kain wider seinen Bruder Habel und schlug ihn tot.
0104090076	Da sprach der HERR zu Kain: Wo ist dein Bruder Habel? Er sprach: Ich weiß nicht; soll ich meines Bruders Hüter sein?
01040a0060	Er aber sprach: Was hast du getan? Die Stimme deines Bruders Bluts schreiet zu mir von der Erde.
01040b0079	Und nun verflucht seiest du auf der Erde, die ihr Maul hat aufgetan und deines Bruders Blut von deinen Händen empfangen.
01040c007a	Wenn du den Acker bauen wirst, soll er dir fort sein Vermögen nicht geben. Unstet und flüchtig sollst du sein auf Erden.
01040d0062	Kain aber sprach zu dem HERRN: Meine Sünde ist größer, denn daß sie mir vergeben werden möge.
01040e00c2	Siehe, du treibest mich heute aus dem Lande und muß mich vor deinem Angesicht verbergen und muß unstet und flüchtig sein auf Erden. So wird mir's gehen, daß mich totschlage, wer mich findet.
01040f00be	Aber der HERR sprach zu ihm: Nein, sondern wer Kain totschlägt, das soll siebenfältig gerochen werden. Und der HERR machte ein Zeichen an Kain, daß ihn niemand erschlüge, wer ihn fände.
0104100060	Also ging Kain von dem Angesicht des HERRN und wohnete im Lande Nod, jenseit Eden, gegen Morgen.
010411008e	Und Kain erkannte sein Weib, die ward schwanger und gebar den Hanoch. Und er bauete eine Stadt, die nannte er nach seines Sohnes Namen Hanoch.
0104120066	Hanoch aber zeugete Irad, Irad zeugete Mahujael, Mahujael zeugete Methusael, Methusael zeugete Lamech.
010413003f	Lamech aber nahm zwei Weiber; eine hieß Ada, die andere Zilla.
0104140054	Und Ada gebar Jabal; von dem sind herkommen, die in Hütten wohneten und Vieh zogen.
010415004b	Und sein Bruder hieß Jubal; von dem sind herkommen die Geiger und Pfeifer.
010416008a	Die Zilla aber gebar auch, nämlich dem Thubalkain, den Meister in allerlei Erz und Eisenwerk. Und die Schwester des Thubalkain war Naema.
01041700c3	Und Lamech sprach zu seinen Weibern, Ada und Zilla: Ihr Weiber Lamechs, höret meine Rede und merket, was ich sage: Ich habe einen Mann erschlagen mir zur Wunde und einen Jüngling mir zur Beule.
0104180047	Kain soll siebenmal gerochen werden, aber Lamech siebenundsiebenzigmal.
01041900ac	Adam erkannte abermal sein Weib, und sie gebar einen Sohn, den hieß sie Seth; denn Gott hat mir, sprach sie, einen andern Samen gesetzt für Habel, den Kain erwürget hat.
01041a0075	Und Seth zeugete auch einen Sohn und hieß ihn Enos. Zu derselbigen Zeit fing man an zu predigen von des HERRN Namen.
0105010072	Dies ist das Buch von des Menschen Geschlecht. Da Gott den Menschen schuf, machte er ihn nach dem Gleichnis Gottes
010502007b	und schuf sie ein Männlein und Fräulein; und segnete sie und hieß ihren Namen Mensch zur Zeit, da sie geschaffen wurden.
0105030074	Und Adam war hundertunddreißig Jahre alt und zeugete einen Sohn. der seinem Bilde ähnlich war, und hieß ihn Seth;
0105040043	und lebte danach achthundert Jahre und zeugete Söhne und Töchter;
0105050044	daß sein ganzes Alter ward neunhundertunddreißig Jahre, und starb.
0105060033	Seth war hundertundfünf Jahre alt und zeugte Enos;
010507004c	und lebte danach achthundertundsieben Jahre und zeugete Söhne und Töchter;
0105080042	daß sein ganzes Alter ward neunhundertundzwölf Jahre, und starb.
010509002d	Enos war neunzig Jahre alt und zeugete Kenan;
01050a004f	und lebte danach achthundertundfünfzehn Jahre und zeugete Söhne und Töchter;
01050b0041	daß sein ganzes Alter ward neunhundertundfünf Jahre, und starb.
01050c0035	Kenan war siebenzig Jahre alt und zeugete Mahalaleel;
01050d004d	und lebte danach achthundertundvierzig Jahre und zeugete Söhne und Töchter;
01050e0040	daß sein ganzes Alter ward neunhundertundzehn Jahre, und starb.
01050f003b	Mahalaleel war fünfundsechzig Jahre alt und zeugete Jared;
010510004e	und lebte danach achthundertunddreißig Jahre und zeugete Söhne und Töchter;
0105110048	daß sein ganzes Alter ward achthundertfünfundneunzig Jahre, und starb.
0105120040	Jared war hundertundzweiundsechzig Jahre alt und zeugete Henoch;
0105130043	und lebte danach achthundert Jahre und zeugete Söhne und Töchter;
0105140047	daß sein ganzes Alter ward neunhundertzweiundsechzig Jahre, und starb.
010515003c	Henoch war fünfundsechzig Jahre alt und zeugete Methusalah.
0105160080	Und nachdem er Methusalah gezeuget hatte, blieb er in einem göttlichen Leben dreihundert Jahre und zeugete Söhne und Töchter;
010517003d	daß sein ganzes Alter ward dreihundertfünfundsechzig Jahre.
010518005f	Und dieweil er ein göttlich Leben führete, nahm ihn Gott hinweg, und ward nicht mehr gesehen.
0105190044	Methusalah war hundertsiebenundachtzig Jahre alt und zeugete Lamech;
01051a0053	und lebte danach siebenhundertzweiundachtzig Jahre und zeugete Söhne und Töchter;
01051b0047	daß sein ganzes Alter ward neunhundertneunundsechzig Jahre, und starb.
01051c0041	Lamech war hundertzweiundachtzig Jahre alt und zeugete einen Sohn
01051d0077	und hieß ihn Noah und sprach: Der wird uns trösten in unserer Mühe und Arbeit auf Erden, die der HERR verflucht hat.
01051e0052	Danach lebte er fünfhundertfünfundneunzig Jahre und zeugete Söhne und Töchter;
01051f004d	daß sein ganzes Alter ward siebenhundertsiebenundsiebenzig Jahre, und starb.
0105200041	Noah war fünfhundert Jahre alt und zeugete Sem, Ham und Japheth.
0106010053	Da sich aber die Menschen begannen zu mehren auf Erden und zeugeten ihnen Töchter,
010602007b	da sahen die Kinder Gottes nach den Töchtern der Menschen, wie sie schön waren und nahmen zu Weibern, welche sie wollten.
01060300a8	Da sprach der HERR: Die Menschen wollen sich von meinem Geist nicht mehr strafen lassen, denn sie sind Fleisch. Ich will ihnen noch Frist geben hundertundzwanzig Jahre.
01060400c3	Es waren auch zu den Zeiten Tyrannen auf Erden; denn da die Kinder Gottes die Töchter der Menschen beschliefen und ihnen Kinder zeugeten, wurden daraus Gewaltige in der Welt und berühmte Leute.
0106050088	Da aber der HERR sah, daß der Menschen Bosheit groß war auf Erden und alles Dichten und Trachten ihres Herzens nur böse war immerdar,
0106060068	da reuete es ihn, daß er die Menschen gemacht hatte auf Erden, und es bekümmerte ihn in seinem Herzen,
01060700e9	und sprach: Ich will die Menschen, die ich geschaffen habe, vertilgen von der Erde, von den Menschen an bis auf das Vieh und bis auf das Gewürme und bis auf die Vögel unter dem Himmel; denn es reuet mich, daß ich sie gemacht habe.
0106080023	Aber Noah fand Gnade vor dem HERRN.
010609007b	Dies ist das Geschlecht Noahs: Noah war ein frommer Mann und ohne Wandel und führete ein göttlich Leben zu seinen Zeiten.
01060a002b	Und zeugete drei Söhne, Sem, Ham, Japheth.
01060b003e	Aber die Erde war verderbet vor Gottes Augen und voll Frevels.
01060c006d	Da sah Gott auf Erden, und siehe, sie war verderbet; denn alles Fleisch hatte seinen Weg verderbet auf Erden.
01060d009e	Da sprach Gott zu Noah: Alles Fleisches Ende ist vor mich kommen, denn die Erde ist voll Frevels von ihnen; und siehe da, ich will sie verderben mit der Erde.
01060e0071	Mache dir einen Kasten von Tannenholz und mache Kammern drinnen und verpiche sie mit Pech inwendig und auswendig.
01060f006c	Und mache ihn also: Dreihundert Ellen sei die Länge, fünfzig Ellen die Weite und dreißig Ellen die Höhe.
01061000c8	Ein Fenster sollst du dran machen, oben an, eine Elle groß. Die Tür sollst du mitten in seine Seite setzen. Und soll drei Boden haben, einen unten, den andern in der Mitte, den dritten in der Höhe.
01061100bd	Denn siehe, ich will eine Sintflut mit Wasser kommen lassen auf Erden, zu verderben alles Fleisch, darin ein lebendiger Odem ist unter dem Himmel. Alles, was auf Erden ist, soll untergehen.
0106120092	Aber mit dir will ich einen Bund aufrichten; und du sollst in den Kasten gehen mit deinen Söhnen, mit deinem Weibe und mit deiner Söhne Weibern.
010613008a	Und du sollst in den Kasten tun allerlei Tiere von allem Fleisch, je ein Paar, Männlein und Fräulein, daß sie lebendig bleiben bei dir.
01061400bb	Von den Vögeln nach ihrer Art, von dem Vieh nach seiner Art und von allerlei Gewürm auf Erden nach seiner Art: von den allen soll je ein Paar zu dir hineingehen, daß sie leben bleiben.
0106150088	Und du sollst allerlei Speise zu dir nehmen, die man isset; und sollst sie bei dir sammeln, daß sie dir und ihnen zur Nahrung da seien.
0106160027	Und Noah tat alles, was ihm Gott gebot.
0107010082	Und der HERR sprach zu Noah: Gehe in den Kasten, du und dein ganz Haus; denn dich habe ich gerecht ersehen vor mir zu dieser Zeit.
01070200a6	Aus allerlei reinem Vieh nimm zu dir je sieben und sieben, das Männlein und sein Fräulein; von dem unreinen Vieh aber je ein Paar, das Männlein und sein Fräulein.
01070300a1	Desselbengleichen von den Vögeln unter dem Himmel je sieben und sieben, das Männlein und sein Fräulein, auf daß Same lebendig bleibe auf dem ganzen Erdboden.
01070400ac	Denn noch über sieben Tage will ich regnen lassen auf Erden vierzig Tage und vierzig Nächte und vertilgen von dem Erdboden alles, was das Wesen hat, das ich gemacht habe.
010705002b	Und Noah tat alles, was ihm der HERR gebot.
010706004d	Er war aber sechshundert Jahre alt, da das Wasser der Sintflut auf Erden kam.
0107070074	Und er ging in den Kasten mit seinen Söhnen, seinem Weibe und seiner Söhne Weibern vor dem Gewässer der Sintflut.
0107080059	Von dem reinen Vieh und von dem unreinen, von den Vögeln und von allem Gewürm auf Erden
0107090067	gingen zu ihm in den Kasten bei Paaren, je ein Männlein und Fräulein, wie ihm der HERR geboten hatte.
01070a0051	Und da die sieben Tage vergangen waren, kam das Gewässer der Sintflut auf Erden.
01070b00be	In dem sechshundertsten Jahr des Alters Noah, am siebzehnten Tag des andern Monats, das ist der Tag, da aufbrachen alle Brunnen der großen Tiefe, und taten sich auf die Fenster des Himmels,
01070c003e	und kam ein Regen auf Erden, vierzig Tage und vierzig Nächte.
01070d008c	Eben am selben Tage ging Noah in den Kasten mit Sem, Ham und Japheth, seinen Söhnen, und mit seinem Weibe und seiner Söhne dreien Weibern;
01070e00d8	dazu allerlei Tier nach seiner Art, allerlei Vieh nach seiner Art, allerlei Gewürm, das auf Erden kreucht, nach seiner Art und allerlei Vögel nach ihrer Art alles, was fliegen konnte, und alles, was Fittiche hatte.
01070f0065	Das ging alles zu Noah in den Kasten bei Paaren, von allem Fleisch, da ein lebendiger Geist innen war
0107100092	und das waren Männlein und Fräulein von allerlei Fleisch und gingen hinein, wie denn Gott ihm geboten hatte. Und der HERR schloß hinter ihm zu.
0107110080	Da kam die Sintflut vierzig Tage auf Erden; und die Wasser wuchsen und huben den Kasten auf und trugen ihn empor über der Erde.
0107120063	Also nahm das Gewässer überhand und wuchs sehr auf Erden, daß der Kasten auf dem Gewässer fuhr.
010713007b	Und das Gewässer nahm überhand und wuchs so sehr auf Erden, daß alle hohen Berge unter dem ganzen Himmel bedeckt wurden.
010714004c	Fünfzehn Ellen hoch ging das Gewässer über die Berge, die bedeckt wurden.
0107150091	Da ging alles Fleisch unter, das auf Erden kreucht, an Vögeln, an Vieh, an Tieren und an allem, das sich reget auf Erden, und an allen Menschen.
010716003e	Alles, was einen lebendigen Odem hatte im Trocknen, das starb.
01071700f1	Also ward vertilget alles, was auf dem Erdboden war, vom Menschen an bis auf das Vieh und auf das Gewürm und auf die Vögel unter dem Himmel: das ward alles von der Erde vertilget. Allein Noah blieb über, und was mit ihm in dem Kasten war.
010718003a	Und das Gewässer stund auf Erden hundertundfünfzig Tage.
0108010091	Da gedachte Gott an Noah und an alle Tiere und alles Vieh, das mit ihm in dem Kasten war, und ließ Wind auf Erden kommen, und die Wasser fielen.
0108020072	Und die Brunnen der Tiefe wurden verstopfet samt den Fenstern des Himmels, und dem Regen vom Himmel ward gewehret.
0108030060	Und das Gewässer verlief sich von der Erde immer hin und nahm ab nach hundertundfünfzig Tagen.
010804005d	Am siebzehnten Tage des siebenten Mondes ließ sich der Kasten nieder auf das Gebirge Ararat.
010805008c	Es verlief aber das Gewässer fortan und nahm ab bis auf den zehnten Mond. Am ersten Tage des zehnten Mondes sahen der Berge Spitzen hervor.
0108060050	Nach vierzig Tagen tat Noah das Fenster auf an dem Kasten, das er gemacht hatte,
010807006e	und ließ einen Raben ausfliegen; der flog immer hin und wieder her, bis das Gewässer vertrocknete auf Erden.
0108080070	Danach ließ er eine Taube von sich ausfliegen, auf daß er erführe, ob das Gewässer gefallen wäre auf Erden.
01080900cf	Da aber die Taube nicht fand, da ihr Fuß ruhen konnte, kam sie wieder zu ihm in den Kasten; denn das Gewässer war noch auf dem ganzen Erdboden. Da tat er die Hand heraus und nahm sie zu sich in den Kasten.
01080a005b	Da harrete er noch andere sieben Tage und ließ abermals eine Taube fliegen aus dem Kasten.
01080b00a4	Die kam zu ihm um Vesperzeit, und siehe, ein Ölblatt hatte sie abgebrochen und trug's in ihrem Munde. Da vernahm Noah, daß das Gewässer gefallen wäre auf Erden.
01080c0065	Aber er harrete noch andere sieben Tage und ließ eine Taube ausfliegen, die kam nicht wieder zu ihm.
01080d00c5	Im sechshundert und ersten Jahr des Alters Noahs, am ersten Tage des ersten Monden, vertrocknete das Gewässer auf Erden. Da tat Noah das Dach von dem Kasten und sah, daß der Erdboden trocken war.
01080e004f	Also ward die Erde ganz trocken am siebenundzwanzigsten Tage des andern Monden.
01080f0023	Da redete Gott mit Noah und sprach:
0108100055	Gehe aus dem Kasten, du und dein Weib, deine Söhne und deiner Söhne Weiber mit dir.
01081100d9	Allerlei Tier, das bei dir ist, von allerlei Fleisch, an Vögeln, an Vieh und an allerlei Gewürm, das auf Erden kreucht, das gehe heraus mit dir; und reget euch auf Erden und seid fruchtbar und mehret euch auf Erden.
0108120054	Also ging Noah heraus mit seinen Söhnen und seinem Weibe und seiner Söhne Weibern;
0108130091	dazu allerlei Tier, allerlei Gewürm, allerlei Vögel und alles, was auf Erden kreucht, das ging aus dem Kasten, ein jegliches zu seinesgleichen.
010814008f	Noah aber bauete dem HERRN einen Altar und nahm von allerlei reinem Vieh und von allerlei reinem Gevögel und opferte Brandopfer auf dem Altar.
0108150122	Und der HERR roch den lieblichen Geruch und sprach in seinem Herzen: Ich will hinfort nicht mehr die Erde verfluchen um der Menschen willen; denn das Dichten des menschlichen Herzens ist böse von Jugend auf. Und ich will hinfort nicht mehr schlagen alles, was da lebet, wie ich getan habe.
0108160071	Solange die Erde stehet, soll nicht aufhören Samen und Ernte, Frost und Hitze, Sommer und Winter, Tag und Nacht.
0109010069	Und Gott segnete Noah und seine Söhne und sprach: Seid fruchtbar und mehret euch und erfüllet die Erde!
01090200c1	Eure Furcht und Schrecken sei über alle Tiere auf Erden, über alle Vögel unter dem Himmel und über alles, was auf dem Erdboden kreucht; und alle Fische im Meer seien in eure Hände gegeben.
0109030069	Alles, was sich reget und lebet, das sei eure Speise; wie das grüne Kraut habe ich's euch alles gegeben.
010904003e	Allein esset das Fleisch nicht, das noch lebet in seinem Blut.
01090500aa	Denn ich will auch eures Leibes Blut rächen und will's an allen Tieren rächen; und will des Menschen Leben rächen an einem jeglichen Menschen, als der sein Bruder ist.
0109060083	Wer Menschenblut vergeußt, des Blut soll auch durch Menschen vergossen werden; denn Gott hat den Menschen zu seinem Bilde gemacht.
0109070055	Seid fruchtbar und mehret euch und reget euch auf Erden, daß euer viel drauf werden.
0109080032	Und Gott sagte zu Noah und seinen Söhnen mit ihm:
0109090047	Siehe, ich richte mit euch einen Bund auf und mit eurem Samen nach euch
01090a00b1	und mit allem lebendigen Tier bei euch, an Vögeln, an Vieh und an allen Tieren auf Erden bei euch, von allem, das aus dem Kasten gegangen ist, was für Tiere es sind auf Erden.
01090b00c6	Und richte meinen Bund also mit euch auf, daß hinfort nicht mehr alles Fleisch verderbet soll werden mit dem Wasser der Sintflut, und soll hinfort keine Sintflut mehr kommen, die die Erde verderbe.
01090c0090	Und Gott sprach: Das ist das Zeichen des Bundes, den ich gemacht habe zwischen mir und euch und allem lebendigen Tier bei euch hinfort ewiglich:
01090d006c	Meinen Bogen habe ich gesetzt in die Wolken, der soll das Zeichen sein des Bundes zwischen mir und der Erde.
01090e0067	Und wenn es kommt, daß ich Wolken über die Erde führe, so soll man meinen Bogen sehen in den Wolken.
