0100000009	1 Mosebok
0103050074	for Gud vet at på den dag I eter av det, skal eders øine åpnes, og I skal bli likesom Gud og kjenne godt og ondt.
01030600d7	Og kvinnen så at treet var godt å ete av, og at det var en lyst for øinene, og at det var et prektig tre, siden en kunde få forstand av det, og hun tok av frukten og åt; og hun gav sin mann med sig, og han åt.
0103070071	Da blev begges øine åpnet, og de blev var at de var nakne, og de heftet fikenblad sammen og bandt dem om livet.
0103080099	Og de hørte Gud Herren som vandret i haven, da dagen var blitt kjølig; og Adam og hans hustru skjulte sig for Gud Herrens åsyn mellem trærne i haven.
0103090037	Da kalte Gud Herren på Adam og sa til ham: Hvor er du?
01030a0060	Og han svarte: Jeg hørte dig i haven; da blev jeg redd, fordi jeg var naken, og jeg skulte mig.
01030b0061	Da sa han: Hvem har sagt dig at du er naken? Har du ett av det tre som jeg forbød dig å ete av?
01030c005a	Og Adam sa: Kvinnen som du gav mig til å være hos mig, hun gav mig av treet, og jeg åt.
01030d0066	Da sa Gud Herren til kvinnen: Hvad er det du har gjort! Og kvinnen sa: Slangen dåret mig, og jeg åt.
01030e00c3	Da sa Gud Herren til slangen: Fordi du gjorde dette, så skal du være forbannet blandt alt feet og blandt alle de ville dyr. På din buk skal du krype, og støv skal du ete alle ditt livs dager.
01030f008a	Og jeg vil sette fiendskap mellem dig og kvinnen og mellem din ætt og hennes ætt; den skal knuse ditt hode, men du skal knuse dens hæl.
01031000ab	Til kvinnen sa han: Jeg vil gjøre din møie stor i ditt svangerskap; med smerte skal du føde dine barn, og til din mann skal din attrå stå, og han skal råde over dig.
01031100c5	Og til Adam sa han: Fordi du lød din hustru og åt av det tre som jeg forbød dig å ete av, så skal jorden være forbannet for din skyld! Med møie skal du nære dig av den alle ditt livs dager.
0103120047	Torner og tistler skal den bære dig, og du skal ete urtene på marken.
010313009c	I ditt ansikts sved skal du ete ditt brød, inntil du vender tilbake til jorden, for av den er du tatt; for støv er du, og til støv skal du vende tilbake.
010314003d	Og Adam kalte sin hustru Eva, fordi hun er alle levendes mor.
0103150052	Og Gud Herren gjorde kjortler av skinn til Adam og hans hustru og klædde dem med.
01031600b2	Og Gud Herren sa: Se, mennesket er blitt som en av oss til å kjenne godt og ondt; bare han nu ikke rekker ut sin hånd og tar også av livsens tre og eter og lever til evig tid!
0103170060	Så viste Gud Herren ham ut av Edens have og satte ham til å dyrke jorden, som han var tatt av.
0103180095	Og han drev mennesket ut, og foran Edens have satte han kjerubene med det luende sverd som vendte sig hit og dit, for å vokte veien til livsens tre.
010401007c	Og Adam holdt sig til sin hustru Eva, og hun blev fruktsommelig og fødte Kain; da sa hun: Jeg har fått en mann ved Herren.
0104020054	Siden fødte hun Abel, hans bror. Og Abel blev fårehyrde, men Kain blev jorddyrker.
010403005a	Da nogen tid var gått, hendte det at Kain bar frem for Herren et offer av jordens grøde.
0104040085	Og Abel bar også frem et offer, som han tok av de førstefødte lam i sin hjord og deres fett; og Herren så til Abel og hans offer,
010405005d	men til Kain og hans offer så han ikke. Da blev Kain meget vred, og han stirret ned for sig.
010406004d	Og Herren sa til Kain: Hvorfor er du vred, og hvorfor stirrer du ned for dig?
01040700d2	Er det ikke så at dersom du har godt i sinne, da kan du løfte op ditt ansikt? Men har du ikke godt i sinne, da ligger synden på lur ved døren, og dens attrå står til dig, men du skal være herre over den.
0104080079	Og Kain talte til Abel, sin bror. Og da de engang var ute på marken, for Kain løs på Abel, sin bror, og slo ham ihjel.
0104090065	Da sa Herren til Kain: Hvor er Abel, din bror? Han svarte: Jeg vet ikke; skal jeg passe på min bror?
01040a004d	Men han sa: Hvad har du gjort? Hør, din brors blod roper til mig fra jorden.
01040b0066	Og nu skal du være bannlyst fra den jord som lot op sin munn og tok imot din brors blod av din hånd!
01040c006e	Når du dyrker jorden, skal den ikke mere gi dig sin grøde; omflakkende og hjemløs skal du være på jorden.
01040d004b	Da sa Kain til Herren: Min misgjerning er større enn at jeg kan bære den.
01040e00c1	Se, du har idag drevet mig ut av landet, og jeg må skjule mig for ditt åsyn; og jeg vil bli omflakkende og hjemløs på jorden, og det vil gå så at hver den som finner mig, slår mig ihjel.
01040f00a8	Men Herren sa til ham: Nei! for slår nogen Kain ihjel, skal han lide syvfold hevn. Og Herren gav Kain et merke, forat ikke nogen som møtte ham, skulde slå ham ihjel.
0104100051	Så gikk Kain bort fra Herrens åsyn og bosatte sig i landet Nod, østenfor Eden.
0104110093	Og Kain holdt sig til sin hustru, og hun blev fruktsommelig og fødte Hanok; og han tok sig for å bygge en by og kalte byen Hanok efter sin sønn.
010412007d	Og Hanok fikk sønnen Irad, og Irad blev far til Mehujael, og Mehujael blev far til Metusael, og Metusael blev far til Lamek.
010413004a	Og Lamek tok sig to hustruer; den ene hette Ada, og den andre hette Silla.
010414004e	Og Ada fødte Jabal; han blev stamfar til dem som bor i telt og holder buskap.
0104150059	Og hans bror hette Jubal; han blev stamfar til alle dem som spiller på harpe og fløite.
0104160076	Og Silla fødte Tubalkain; han smidde alle slags skarpe redskaper av kobber og jern; og Tubalkains søster var Na'ama.
01041700ad	Og Lamek sa til sine hustruer: Ada og Silla, hør mine ord, Lameks hustruer, merk min tale! En mann dreper jeg for hvert sår jeg får, og en gutt for hver skramme jeg får;
0104180045	for hevnes Kain syv ganger, da skal Lamek hevnes syv og sytti ganger.
01041900a3	Og Adam holdt sig atter til sin hustru, og hun fødte en sønn og kalte ham Set; for sa hun Gud har satt mig en annen sønn i Abels sted, fordi Kain slo ham ihjel.
01041a0058	Og Set fikk en sønn og kalte ham Enos. På den tid begynte de å påkalle Herrens navn.
010501005f	Dette er boken om Adams ætt: På den dag Gud skapte mennesket, skapte han det i Guds lignelse.
010502006d	Til mann og kvinne skapte han dem; og han velsignet dem og gav dem navnet menneske på den dag de blev skapt.
0105030074	Da Adam var hundre og tretti år gammel, fikk han en sønn i sin lignelse, efter sitt billede; og han kalte ham Set.
010504005b	Og efterat Adam hadde fått Set, levde han ennu åtte hundre år og fikk sønner og døtre.
0105050044	Og alle Adams levedager blev ni hundre og tretti år; så døde han.
010506003b	Da Set var hundre og fem år gammel, fikk han sønnen Enos.
0105070062	Og efterat Set hadde fått Enos, levde han ennu åtte hundre og syv år og fikk sønner og døtre.
010508003d	Og alle Sets dager blev ni hundre og tolv år; så døde han.
0105090035	Da Enos var nitti år gammel, fikk han sønnen Kenan.
01050a0067	Og efterat Enos hadde fått Kenan, levde han ennu åtte hundre og femten år og fikk sønner og døtre.
01050b003d	Og alle Enos' dager blev ni hundre og fem år; så døde han.
01050c003a	Da Kenan var sytti år gammel, fikk han sønnen Mahalalel.
01050d006b	Og efterat Kenan hadde fått Mahalalel, levde han ennu åtte hundre og firti år og fikk sønner og døtre.
01050e003d	Og alle Kenans dager blev ni hundre og ti år; så døde han.
01050f0042	Da Mahalalel var fem og seksti år gammel, fikk han sønnen Jared.
010510006c	Og efterat Mahalalel hadde fått Jared, levde han ennu åtte hundre og tretti år og fikk sønner og døtre.
010511004e	Og alle Mahalalels dager blev åtte hundre og fem og nitti år; så døde han.
0105120046	Da Jared var hundre og to og seksti år gammel, fikk han sønnen Enok.
010513005d	Og efterat Jared hadde fått Enok, levde han ennu åtte hundre år og fikk sønner og døtre.
0105140047	Og alle Jareds dager blev ni hundre og to og seksti år; så døde han.
0105150041	Da Enok var fem og seksti år gammel, fikk han sønnen Metusalah.
010516006b	Og Enok vandret med Gud i tre hundre år, efterat han hadde fått Metusalah; og han fikk sønner og døtre.
0105170039	Og alle Enoks dager blev tre hundre og fem og seksti år.
0105180045	Og Enok vandret med Gud; så blev han borte, for Gud tok ham til sig.
010519004b	Da Metusalah var hundre og syv og åtti år gammel, fikk han sønnen Lamek.
01051a006f	Og efterat Metusalah hadde fått Lamek, levde han ennu syv hundre og to og åtti år og fikk sønner og døtre.
01051b004b	Og alle Metusalahs dager blev ni hundre og ni og seksti år; så døde han.
01051c0041	Da Lamek var hundre og to og åtti år gammel, fikk han en sønn,
01051d0082	og han kalte ham Noah og sa: Han skal trøste oss under vårt arbeid og våre henders møie på den jord som Herren har forbannet.
01051e006b	Og efterat Lamek hadde fått Noah, levde han ennu fem hundre og fem og nitti år og fikk sønner og døtre.
01051f0048	Og alle Lameks dager blev syv hundre og syv og sytti år; så døde han.
0105200047	Da Noah var fem hundre år gammel, fikk han sønnene Sem, Kam og Jafet.
0106010047	Da nu menneskene begynte å bli tallrike på jorden, og de fikk døtre,
0106020061	så Guds sønner at menneskenes døtre var vakre; og de tok sig hustruer, hvem de hadde lyst til.
010603009d	Da sa Herren: Min Ånd skal ikke dømme blandt menneskene til evig tid; for sin villfarelses skyld er det kjød, og dets dager skal være hundre og tyve år.
01060400af	I de dager var kjempene på jorden og likeså siden, da Guds sønner gikk inn til menneskenes døtre, og de fødte dem barn; det er de veldige fra fordums tid, de navnkundige.
010605007e	Og Herren så at menneskets ondskap var stor på jorden, og at alle dets hjertes tanker og påfund bare var onde den hele dag.
0106060060	Da angret Herren at han hadde skapt mennesket på jorden, og han var full av sorg i sitt hjerte.
01060700a4	Og Herren sa: Jeg vil utrydde menneskene som jeg har skapt, av jorden, både mennesker og fe og kryp og fuglene under himmelen; for jeg angrer at jeg har skapt dem.
0106080026	Men Noah fant nåde for Herrens øine.
010609007e	Dette er historien om Noah og hans ætt: Noah var en rettferdig og ulastelig mann blandt sine samtidige; Noah vandret med Gud.
01060a002c	Og Noah fikk tre sønner: Sem, Kam og Jafet.
01060b0047	Men jorden blev fordervet for Guds åsyn, og jorden blev full av urett.
01060c0063	Og Gud så på jorden, og se, den var fordervet; for alt kjød hadde fordervet sin ferd på jorden.
01060d0096	Da sa Gud til Noah: Jeg har satt mig fore å gjøre ende på alt kjød, for de har fylt jorden med urett; og nu vil jeg ødelegge både dem og jorden.
01060e005e	Gjør dig en ark av gofertre, gjør kammer i arken og stryk den innvendig og utvendig med bek!
01060f0069	Således skal du gjøre den: Arken skal være tre hundre alen lang, femti alen bred, og tretti alen høi.
01061000e9	Øverst på arken skal du gjøre en glugg som når en alen ned på veggen, og døren på arken skal du sette på den ene side; du skal bygge den i tre stokkverk, et nederste, et mellemste og et øverste, med kammer i hvert stokkverk.
0106110096	Og se, jeg vil la en vannflom komme over jorden til å ødelegge alt kjød under himmelen som det er livsånde i; alt som er på jorden, skal omkomme.
0106120085	Men jeg vil oprette min pakt med dig, og du skal gå inn i arken, du og dine sønner og din hustru og dine sønners hustruer med dig.
010613008e	Og av alt som lever, av alt kjød, skal du ta et par av hvert slag med inn i arken for å holde dem i live med dig; han og hun skal det være.
0106140082	Av alle slags fugler og av alle slags fe og av alle slags kryp på jorden skal par for par komme inn til dig for å holdes i live.
0106150074	Og du skal ta til dig av allslags mat som etes, og samle det hos dig, sa det kan være til føde for dig og for dem.
0106160045	Og Noah gjorde så; han gjorde i ett og alt som Gud hadde befalt ham.
0107010082	Så sa Herren til Noah: Gå inn i arken, du og hele ditt hus! For jeg har funnet at du er rettferdig for mitt åsyn i denne slekt.
010702006c	Av alle rene dyr skal du ta dig ut syv par, han og hun, men av de dyr som ikke er rene, ett par, han og hun;
010703005e	likeså av himmelens fugler syv par, han og hun, for å holde deres slekter i live på jorden.
010704008b	For om syv dager vil jeg la det regne på jorden i firti dager og firti netter, og jeg vil utrydde av jorden alt levende som jeg har skapt.
0107050038	Og Noah gjorde i ett og alt som Herren hadde befalt ham.
010706003f	Noah var seks hundre år gammel da vannflommen kom over jorden.
010707007b	Da gikk Noah og hans sønner og hans hustru og hans sønners hustruer med ham inn i arken for å berge sig for vannflommen.
0107080060	Av de rene dyr og av de dyr som ikke er rene, og av fuglene og av alt det som kryper på jorden,
0107090056	gikk par for par inn til Noah i arken, han og hun, således som Gud hadde befalt Noah.
01070a004b	Da nu de syv dager var til ende, kom flommens vann strømmende over jorden.
01070b00a7	I det år da Noah var seks hundre år gammel, i den annen måned, den syttende dag i måneden, den dag brast alle kilder i det store dyp, og himmelens sluser åpnedes,
01070c0041	og regnet strømmet ned på jorden i firti dager og firti netter.
01070d0087	På denne samme dag gikk Noah og Sem og Kam og Jafet, Noahs sønner, og Noahs hustru og hans sønners tre hustruer med dem inn i arken,
01070e00c1	de og alle de ville dyr efter sitt slag og alt feet efter sitt slag og alt krypet som rører sig på jorden, efter sitt slag og alle fuglene efter sitt slag, alt som flyver, alt som har vinger.
01070f0052	Og de gikk inn til Noah i arken, par for par av alt kjød som det var livsånde i.
010710006f	Og de som gikk inn, var han og hun av alt kjød, således som Gud hadde befalt ham. Og Herren lukket efter ham.
010711007b	Da kom vannflommen strømmende over jorden i firti dager, og vannet vokste og løftet arken, og den blev hevet over jorden.
0107120050	Og vannet steg og øket storlig over jorden; og arken fløt bortover vannflaten.
0107130067	Og vannet steg høiere og høiere over jorden, så alle de høie fjell under hele himmelen blev skjult.
010714003d	Femten alen høit steg vannet over fjellene, så de skjultes.
0107150092	Da omkom alt kjød som rørte sig på jorden, både fuglene og feet og de ville dyr og alt det som yrte og vrimlet på jorden, og alle menneskene.
0107160057	Alt som hadde livsens åndedrag i sin nese, alt det som var på det tørre land, døde.
01071700bb	Og han utryddet hvert liv som var på jorden, både mennesker og fe og kryp og fuglene under himmelen; de blev utryddet av jorden, og bare Noah blev igjen, og det som var med ham i arken.
0107180038	Og vannet holdt sig over jorden i hundre og femti dager.
0108010083	Da kom Gud Noah i hu og alle de ville dyr og alt feet som var med ham i arken; og Gud lot en vind fare over jorden, og vannet falt.
0108020056	Og det store dyps kilder og himmelens sluser lukkedes, og regnet fra himmelen stanset.
010803006e	Og vannet vek efterhånden tilbake fra jorden, og vannet begynte å ta av, da hundre og femti dager var gått.
0108040062	Og i den syvende måned, på den syttende dag i måneden, blev arken stående på Ararat-fjellene.
0108050087	Og vannet tok mere og mere av inntil den tiende måned; i den tiende måned, på den første dag i måneden, kom fjelltoppene til syne.
010806004f	Og da firti dager var gått, åpnet Noah vinduet på arken som han hadde gjort,
010807005a	og sendte ut en ravn; den fløi frem og tilbake, inntil vannet var tørket bort av jorden.
010808005b	Så sendte han en due ut fra sig for å se om vannet var sunket bort fra jordens overflate.
01080900b1	Men duen fant ikke noget hvilested for sin fot, og den kom tilbake til ham i arken, for det stod vann over hele jorden. Da rakte han ut sin hånd og tok den inn til sig i arken.
01080a0046	Så bidde han ennu syv dager til og sendte så atter duen ut av arken.
01080b0087	Og duen kom til ham ved aftenstid, og se, den hadde et friskt oljeblad i nebbet; da skjønte Noah at vannet var sunket bort fra jorden.
01080c0062	Men han bidde ennu syv dager til; så sendte han duen ut, og da kom den ikke tilbake til ham mere.
01080d00bf	I det seks hundre og første år, i den første måned, på den første dag i måneden, var vannet tørket bort fra jorden. Da tok Noah taket av arken; og han så ut, og se, jorden var tørr.
01080e0057	Og i den annen måned, på den syv og tyvende dag i måneden, var jorden aldeles tørr.
01080f001c	Da talte Gud til Noah og sa:
0108100054	Gå ut av arken, du og din hustru og dine sønner og dine sønners hustruer med dig.
01081100c8	Alle de dyr som er hos dig, alt kjød, både fuglene og feet og alt krypet som rører sig på jorden, skal du føre ut med dig, og de skal vrimle på jorden og være fruktbare og bli mange på jorden.
0108120052	Så gikk han ut, og hans sønner og hans hustru og hans sønners hustruer med ham.
0108130070	Alle dyrene, alt krypet og alle fuglene, alt som rører sig på jorden, gikk ut av arken, hvert efter sitt slag.
0108140079	Og Noah bygget Herren et alter, og han tok av alle de rene dyr og av alle de rene fugler og ofret brennoffer på alteret.
01081500f2	Og Herren kjente den velbehagelige duft. Og Herren sa i sitt hjerte: Jeg vil aldri mere forbanne jorden for menneskets skyld; for menneskehjertets tanker er onde fra ungdommen av; og jeg vil aldri mere drepe alt levende, som jeg nu har gjort.
010816007b	Herefter skal, så lenge jorden står, sæd og høst, og frost og hete, og sommer og vinter, og dag og natt aldri høre op.
0109010063	Og Gud velsignet Noah og hans sønner, og sa til dem: Vær fruktbare og bli mange og opfyll jorden!
01090200c3	Og frykt og redsel for eder skal være over alle dyr på jorden og over alle fugler under himmelen, over alt det som rører sig på jorden, og over alle fiskene i havet; i eders hånd er de gitt.
0109030074	Alt det som rører sig og lever, skal I ha til føde; likesom jeg gav eder de grønne urter, gir jeg eder alt dette.
010904003e	Men kjøtt med dets sjel i, det er dets blod, skal I ikke ete.
010905009d	Men for eders eget blod vil jeg kreve hevn; av hvert dyr vil jeg kreve hevn for det, og av mennesket, av enhvers bror, vil jeg kreve hevn for menneskets liv.
010906006f	Den som utøser menneskets blod, ved mennesket skal hans blod utøses; for i Guds billede skapte han mennesket.
0109070049	Og vær I fruktbare og bli mange, vrimle på jorden og bli mange på den!
0109080038	Og Gud sa til Noah og til hans sønner, som var med ham:
010909003f	Nu vil jeg oprette min pakt med eder og med eders efterkommere,
01090a0090	og med alt levende som er hos eder, både fugler og fe og alle de ville dyr som er hos eder, alt som gikk ut av arken, alt som lever på jorden.
01090b0093	Jeg opretter min pakt med eder, og aldri mere skal alt kjød utryddes ved vannflom, og aldri mere skal der komme en vannflom som ødelegger jorden.
01090c0079	Og Gud sa: Dette er tegnet på den pakt som jeg gjør mellem mig og eder og alt levende som er hos eder, til evige tider:
01090d0056	Min bue setter jeg i skyen, og den skal være et tegn på pakten mellem mig og jorden.
01090e003b	Og når jeg fører skyer over jorden, og buen sees i skyen,
01090f0095	da vil jeg komme i hu den pakt som er mellem mig og eder og alt levende av alt kjød, og vannet skal aldri mere bli en flom som ødelegger alt kjød.
0109100087	Og buen skal stå i skyen, og jeg vil se på den og komme i hu den evige pakt mellem Gud og alt levende av alt kjød som er på jorden.
010911006c	Og Gud sa til Noah: Dette er tegnet på den pakt jeg har oprettet mellem mig og alt kjød som er på jorden.
0109120057	Noahs sønner, som gikk ut av arken, var Sem, Kam og Jafet; og Kam var far til Kana'an.
0109130052	Disse tre var Noahs sønner, og fra dem bredte menneskene sig ut over hele jorden.
0109140047	Og Noah var jorddyrker, og han var den første som plantet en vingård.
0109150051	Og han drakk av vinen og blev drukken, og han klædde sig naken inne i sitt telt.
010916006b	Og da Kam, Kana'ans far, så sin far ligge naken, fortalte han det til begge sine brødre, som var utenfor.
01091700ad	Da tok Sem og Jafet et klæde og la det på sine skuldrer og gikk baklengs inn og dekket over sin fars blusel; og de vendte sine øine bort, så de ikke så sin fars blusel.
010918005b	Da så Noah våknet av sitt rus, fikk han vite hvad hans yngste sønn hadde gjort imot ham.
0109190053	Da sa han: Forbannet være Kana'an! trælers træl skal han være for sine brødre.
01091a0047	Så sa han: Lovet være Herren, Sems Gud, og Kana'an være deres træl!
01091b0057	Gud gjøre det vidt for Jafet, han skal bo i Sems telter, og Kana'an være deres træl!
01091c003a	Efter vannflommen levde Noah ennu tre hundre og femti år.
01091d003f	Og alle Noahs dager blev ni hundre og femti år; så døde han.
010a010066	Dette er de ætter som stammer fra Noahs sønner Sem, Kam og Jafet: De fikk sønner efter vannflommen.
010a02004f	Jafets sønner var Gomer og Magog og Madai og Javan og Tubal og Mesek og Tiras.
010a030032	Og Gomers sønner var Askenas og Rifat og Togarma.
010a040039	Og Javans sønner var Elisa og Tarsis, Kittim og Dodanim.
010a05008d	Fra disse bredte de som bor på hedningenes kyster, sig ut i sine land, med sine forskjellige tungemål, efter sine ætter, i sine folkeslag.
010a060036	Og Kams sønner var Kus og Misra'im og Put og Kana'an.
010a070066	Og Kus' sønner var Seba og Havila og Sabta og Raema og Sabteka, og Raemas sønner var Sjeba og Dedan.
010a080050	Og Kus fikk sønnen Nimrod; han var den første som fikk stort velde på jorden.
010a09006a	Han var en veldig jeger for Herrens åsyn; derfor sier folk: En veldig jeger for Herrens åsyn som Nimrod.
010a0a0048	Først hersket han over Babel og Erek og Akkad og Kalne i landet Sinear.
010a0b004c	Fra dette land drog han ut til Assur og bygget Ninive og Rehobot-Ir og Kalah
010a0c0039	og Resen mellem Ninive og Kalah; dette er den store stad.
010a0d004b	Og Misra'im blev stamfar til luderne og anamerne og lehaberne og naftuherne
010a0e0049	og patruserne og kasluherne, som filistrene er kommet fra, og kaftorerne.
010a0f0045	Og Kana'an blev far til Sidon, som var hans førstefødte, og til Het
010a100030	og til jebusittene og amorittene og girgasittene
010a110026	og hevittene og arkittene og sinittene
010a12005f	og arvadittene og semarittene og hamatittene; siden bredte kana'anittenes ætter sig videre ut.
010a130085	Og kana'anittenes grense gikk fra Sidon bortimot Gerar like til Gasa, og bortimot Sodoma og Gomorra og Adma og Sebo'im like til Lesa.
010a14005a	Dette var Kams barn, efter sine ætter, med sine tungemål, i sine land, i sine folkeslag.
010a150059	Også Sem fikk barn; han var stamfar til alle Ebers barn og var den eldste bror av Jafet.
010a16003a	Sems sønner var Elam og Assur og Arpaksad og Lud og Aram.
010a17002f	Og Arams sønner var Us og Hul og Geter og Mas.
010a18003b	Og Arpaksad fikk sønnen Salah, og Salah fikk sønnen Eber.
010a19007d	Og Eber fikk to sønner; den ene hette Peleg, for i hans dager blev menneskene spredt over jorden; og hans bror hette Joktan.
010a1a003e	Og Joktan blev far til Almodad og Salef og Hasarmavet og Jarah
010a1b001b	og Hadoram og Usal og Dikla
010a1c001b	og Obal og Abimael og Sjeba
010a1d003b	og Ofir og Havila og Jobab; alle disse var Joktans sønner.
010a1e0045	De hadde sine bosteder i fjellbygdene i øst fra Mesa bortimot Sefar.
