2800000006	Matius
28020e0056	Maka malam itu juga Yusuf bangun, membawa Maria serta Yesus dan pergi menuju ke Mesir.
28020f00a8	Dan mereka menetap di sana sampai Herodes meninggal. Kejadian ini memenuhi janji yang Tuhan berikan melalui hamba-Nya sang nabi, “Dari Mesir Aku memanggil Anak-Ku.”
280210013a	Raja Herodes menjadi sangat marah ketika menyadari bahwa dia sudah dibohongi oleh orang-orang bijak itu. Maka dikirimnya para tentara untuk membunuh anak-anak laki-laki yang berusia di bawah dua tahun di kota Betlehem dan daerah sekitarnya. Hal ini berdasarkan kurun waktu yang dia dapat dari para orang bijak itu.
2802110044	Dengan cara ini, maka perkataan Allah melalui nabi Yeremia ditepati.
2802120099	“Terdengar suara tangisan yang mengerikan di Rama, sebab Rahel menangisi anak-anaknya. Mereka semua sudah mati, dan dia tidak bisa ditenangkan lagi.”
2802130069	Sesudah kematian Herodes, malaikat Tuhan kembali muncul di dalam mimpi kepada Yusuf di Mesir dan berkata,
280214008c	“Bangunlah! Bawalah Anak itu dan ibu-Nya, dan kembalilah ke negeri Israel, sebab orang-orang yang mencoba membunuh Anak itu sudah mati.”
2802150058	Maka bangunlah Yusuf dan membawa serta Anak itu dengan ibu-Nya kembali ke negeri Israel.
28021600ba	Namun Yusuf menjadi takut ketika mendengar bahwa Arkelaus sudah menggantikan ayahnya Herodes sebagai Raja negeri Yudea, sehingga dia tidak jadi pergi ke sana melainkan ke daerah Galilea.
2802170079	Di sana ia menetap di Nazaret. Dan ini sesuai dengan yang diucapkan oleh para nabi, “Dia akan disebut orang Nazaret.”
2803010071	Bertahun-tahun kemudian, Yohanes Pembaptis tampil ke hadapan orang banyak, menyerukan kalimat ini di gurun Yudea,
2803020035	“Bertobatlah, sebab Kerajaan Surga sudah datang!”
28030300ac	Dialah yang dibicarakan oleh Nabi Yesaya ketika dia berkata, “Ada suara yang berseru di padang gurun, ‘Persiapkanlah jalan bagi Tuhan. Luruskanlah jalan bagi Dia.’”
280304008e	Yohanes berpakaian dari kulit unta, dengan ikat pinggang terbuat dari kulit melingkari pinggangnya. Makanannya adalah belalang dan madu hutan.
2803050063	Banyak orang datang kepadanya dari Yerusalem, seluruh Yudea, dan dari seluruh daerah Sungai Yordan,
280306004b	dan dibaptis di Sungai Yordan, dan mengakui dosa-dosa mereka di depan umum.
2803070101	Tetapi ketika Yohanes melihat banyak orang Farisi dan Saduki datang untuk meminta diri dibaptis, berkatalah dia kepada mereka, “Kalian keturunan ular beracun! Siapa yang memberi kalian peringatan bahwa kalian bisa lari dari penghakiman yang sedang datang?
2803080037	Tunjukkanlah pertobatan kalian dengan perbuatan kalian,
28030900ca	dan janganlah berpikir dengan sombong kepada diri kalian sendiri, ‘Abraham adalah nenek moyang kami.’ Saya katakan kepada kalian, bahwa Allah bisa menjadikan batu-batu ini menjadi anak-anak Abraham.
28030a0098	Nyatanya kapak, sudah siap untuk menebang pohon buah-buahan. Setiap pohon yang tidak menghasilkan buah yang baik akan ditebang dan dibuang ke dalam api.
28030b010d	Benar, saya memang membaptis kalian dengan air untuk menunjukkan pertobatan kalian, tetapi sesudah saya, akan datang seseorang yang lebih besar dariku. Aku bahkan tidak layak untuk melepaskan alas kaki-Nya. Dan dia akan membaptis kalian dengan Roh Kudus dan dengan api.
28030c00d2	Alat penampi sudah ada di tangan-Nya. Dia akan membersihkan tempat pengirikan gandum dan mengumpulkan gandum ke dalam lumbung, tetapi kulit-kulit sekamnya akan dibakar dengan api yang tidak dapat dipadamkan.”
28030d0053	Kemudian datanglah Yesus dari Galilea ke Sungai Yordan untuk dibaptis oleh Yohanes.
28030e0091	Namun Yohanes mencoba membujuk Yesus agar mengubah pikiran-Nya. Katanya, “Akulah yang perlu Engkau baptis, bukan saya yang membaptis Engkau!”
28030f00a5	Jawab Yesus, “Baptislah Aku, sebab baik bagi kita berdua untuk melakukan perbuatan yang benar dalam pandangan Allah.” Maka Yohanes pun mengikuti perkataan Yesus.
280310008f	Segera sesudah dibaptis, Yesus keluar dari air. Langit terbuka, dan dia melihat Roh Allah yang seperti seekor burung merpati turun ke atas-Nya.
280311006e	Kemudian terdengarlah suara dari surga yang berkata, “Inilah anak yang Aku kasihi, yang menyenangkan Aku.”
2804010048	Kemudian Yesus dibawa oleh Roh ke padang gurun untuk dicobai oleh iblis.
280402005b	Sesudah berpuasa selama empat puluh hari dan empat puluh malam, maka Yesuspun merasa lapar.
280403009c	Lalu datanglah si Pencoba dan berkata kepada-Nya, “Jika Engkau sungguh-sungguh Anak Allah, maka perintahkanlah agar batu-batu ini berubah menjadi roti.”
28040400b9	Jawab Yesus kepadanya, “Seperti yang tertulis dalam Kitab Suci, ‘Manusia tidak hidup hanya karena makan roti saja, tetapi oleh karena setiap kata yang keluar dari mulut Allah.’”
2804050055	Lalu Iblis membawa-Nya ke kota kudus, dan menempatkan-Nya di bagian atas Rumah Allah.
2804060122	“Jika Engkau benar-benar Anak Allah, lemparkanlah diri-Mu,” katanya kepada Yesus. “Seperti yang tertulis dalam Kitab Suci, ‘Dia akan memerintahkan malaikat-malaikat-Nya untuk menjaga-Mu dari kecelakaan. Mereka akan menangkap-Mu sehingga Engkau tidak akan tersandung oleh batu.’”
2804070057	Jawab Yesus, “Tetapi Kitab Suci juga menjawab, ‘Jangan menguji Tuhan Allahmu.’”
280408009f	Lalu Iblis membawa Yesus ke sebuah puncak gunung yang sangat tinggi dan memperlihatkan kepada-Nya semua kerajaan yang ada di dunia ini dengan keagungan mereka.
2804090069	Dan berkatalah Iblis kepada-Nya, “Akan saya berikan semua ini jika Engkau mau sujud dan menyembahku.”
28040a0090	“Pergilah, Iblis!” jawab Yesus. “Seperti yang tertulis dalam Kitab Suci, ‘Haruslah engkau hanya menyembah dan melayani Allah saja.’”
28040b0048	Lalu Iblis meninggalkan Yesus, dan para malaikat datang dan merawat-Nya.
28040c0067	Ketika kabar tentang penangkapan Yohanes Pembaptis sampai kepada Yesus, maka kembalilah Dia ke Galilea.
28040d0077	Yesus pindah dari Nazaret ke Kapernaum dan tinggal di daerah pantai di tepi laut di antara wilayah Zebulon dan Naftali.
28040e003e	Hal ini menggenapi nubuatan yang disampaikan oleh Nabi Yesaya,
28040f0082	“Di wilayah Zebulon dan Naftali, di jalan menuju ke laut, di seberang Sungai Yordan, di Galilea tempat tinggal para orang asing:
28041000a6	Oprang-orang yang tinggal dalam kegelapan sudah melihat suatu terang yang besar, fajar sudah mulai terbit atas mereka yang hidup di wilayah bayang-bayang kematian.”
2804110063	Sejak saat itu Yesus mulai menyerukan pesannya, “Bertobatlah, sebab Kerajaan Surga sudah tiba!”
28041200d7	Ketika Yesus berjalan di tepi laut Galilea, Dia melihat dua orang bersaudara, yaitu Simon, yang dipanggil dengan nama Petrus, dan saudaranya, Andreas, sedang menebarkan jala di laut. Pekerjaan mereka adalah nelayan.
280413006f	“Mari datang, dan ikutlah Aku, dan Aku akan mengajari kalian cara menjala manusia,” kata-Nya kepada mereka.
2804140045	Maka mereka dengan segera meninggalkan jala mereka dan mengikuti Dia.
28041500f3	Sementara Yesus terus berjalan, Dia kembali melihat dua orang bersaudara lainnya, Yakobus dan Yohanes. Mereka sedang ada di dalam perahu bersama dengan Zebedeus, ayah mereka, sedang memperbaiki jala. Yesus memanggil mereka untuk mengikuti Dia.
2804160048	Dan mereka segera meninggalkan kapal dan ayah mereka, dan mengikuti Dia.
28041700bc	Yesus berjalan mengelilingi seluruh Galilea, mengajar di sinagoge-sinagoge, memberitakan kabar baik tentang Kerajaan Surga, dan menyembuhkan banyak orang dari segala jenis penyakit mereka.
28041800e9	Berita tentang Dia dengan segera tersebar di seluruh provinsi Siria. Orang-orang membawa siapa saja yang sedang sakit kepada-Nya, mereka yang menderita kejang, dirasuk setan, sakit mental, lumpuh, dan Yesus menyembuhkan mereka semua.
2804190087	Orang banyak yang besar jumlahnya mengikuti Yesus dari Galilea, Dekapolis, Yerusalem, Yudea, bahkan dari daerah seberang sungai Yordan.
280501008e	Ketika Yesus melihat rombongan orang mengikuti Dia, maka naiklah dia ke atas sebuah bukit. Di sana Yesus duduk bersama dengan murid-murid-Nya.
2805020023	Dan mulai mengajar mereka, katanya:
2805030068	“Berbahagialah mereka yang mengetahui bahwa mereka miskin rohani sebab punya merekalah kerajaan surga.
2805040057	Berbahagialah mereka yang saat ini berdukacita, sebab mereka akan menerima penghiburan.
280505004d	Berbahagialah mereka yang baik hati sebab mereka yang akan mewarisi bumi ini.
2805060073	Berbahagialah mereka yang keinginan terbesar mereka adalah melakukan apa yang benar, sebab mereka akan merasa puas.
2805070053	Berbahagialah orang yang penyayang, karena mereka akan diperlihatkan belas kasihan.
280508005a	Berbahagialah mereka yang memiliki pikiran murni, sebab merekalah yang akan melihat Allah.
280509006a	Berbahagialah mereka yang bekerja untuk mendatangkan kedamaian, sebab mereka akan disebut anak-anak Allah.
28050a0061	Berbahagialah mereka yang menderita karena hidup benar, sebab kerajaan Allah adalah milik mereka.
28050b007e	Berbahagialah kamu ketika orang-orang menghina dan menganiaya kamu, dan menuduhmu melakukan segala macam kejahatan karena Aku.
28050c00b1	Bersukacitalah, benar-benar bergembiralah, sebab kamu akan menerima imbalan di surga — sebab mereka juga menganiaya nabi-nabi yang hidup sebelum kamu dengan cara yang sama.”
28050d0107	“Kalian bisa diumpamakan seperti garam, yang bisa memberi rasa asin pada dunia, tetapi jika garam itu menjadi tidak ada rasa, bagaimana bisa membuatkan kembali memiliki rasa? Garam itu menjadi sesuatu yang tidak berguna, yang akhirnya dibuang dan diinjak-injak.
28050e008c	Kalian juga bisa diumpamakan seperti terang bagi dunia ini. Seperti kota yang dibangun di atas bukit, sehingga tidak mungkin tidak terlihat.
28050f00cb	Tidak seorangpun menyalakan sebatang lilin lalu meletakkannya di bawah ember. Tetapi pasti diletakkan di atas tempat lilin sehingga lilin itu memberikan cahaya kepada semua orang yang ada di dalam rumah.
28051000b5	Dengan cara yang sama, kamu harus membiarkan terang kamu bersinar di hadapan orang-orang sehingga mereka bisa melihat perbuatan-perbuatan baikmu dan memuji Bapamu yang ada di surga.
2805110099	Jangan berpikir bahwa Aku datang untuk meniadakan hukum Taurat ataupun tulisan para nabi. Aku datang bukan untuk meniadakannya, tetapi untuk memenuhinya.
28051200c1	Aku pastikan kepada kalian, bahwa sampai surga dan bumi ini berakhir, tidak satu huruf atau tanda baca yang sudah tertulis dalam hukum Taurat akan dibatalkan sampai segala sesuatunya tergenapi.
2805130159	Jadi siapapun yang mengabaikan perintah yang dianggap paling tidak penting, dan mengajarkan kepada orang lain untuk berlaku demikian, maka dia juga akan menjadi orang yang paling tidak penting di dalam kerajaan surga, tetapi barangsiapa yang melakukan dan mengajarkan perintah-perintah ini, akan dianggap orang yang luar biasa di kerajaan surga.
28051400a1	Aku katakan kepadamu, jika cara hidup moralmu tidak lebih benar daripada para guru agama dan orang-orang Farisi, kamu tidak akan bisa masuk dalam kerajaan surga.
280515009e	Kalian sudah mendengar bahwa hukum Taurat berkata kepada nenek moyang kita, ‘Janganlah membunuh, dan setiap orang yang membunuh akan diadili dan dihukum.’
2805160119	Tetapi Aku katakan kepada kalian, siapapun yang marah kepada saudaranya akan dinyatakan bersalah. Dan siapapun yang menyebut saudaranya bodoh haruslah dihadapkan ke pengadilan, tetapi siapapun yang dengan perkataan jelas mencari maki saudaranya harus bersiap menghadapi api Gehena.
2805170087	Dan jika kamu sedang di depan mezbah untuk membawa persembahanmu, dan kamu teringat bahwa ada seseorang yang sedang berseteru denganmu,
280518008f	maka tinggalkanlah persembahanmu itu dan berdamailah dengannya, dan sesudah itu barulah kamu datang kembali untuk memberikan persembahanmu itu.
2805190115	Jika kamu sedang berhadapan di pengadilan dengan musuhmu, segeralah kamu membereskan masalahmu dengan dia dan berdamailah. Jika tidak, musuhmu bisa saja menyerahkanmu ke tangan hakim, dan hakim akan menyerahkanmu kepada petugas pengadilan, dan kamu akan masuk ke dalam penjara.
28051a0097	Biar Saya beritahu yang sebenarnya kepadamu, kamu tidak akan keluar dari dalam penjara sampai kamu melunasi denda yang sudah ditetapkan oleh hakim itu.
28051b0048	Kalian juga sudah mendengar di dalam hukum Taurat, ‘Jangan berzina.’
28051c00b2	Tetapi Aku katakan ini kepada kalian, siapapun yang melihat dengan penuh hasrat birahi kepada seorang perempuan, sudah melakukan berzina dengan perempuan itu di dalam pikirannya.
28051d00d0	Jika salah satu matamu menyebabkan kamu berdosa, cungkillah mata itu keluar dan buanglah, sebab lebih baik kamu kehilangan salah satu anggota tubuhmu dari pada seluruh tubuhmu dilemparkan ke dalam api Gehena.
28051e00ce	Jika salah satu tanganmu menyebabkan kamu melakukan dosa, potonglah dan buanglah itu, sebab lebih baik bagimu kehilangan salah satu anggota tubuhmu dari pada seluruh tubuhmu dilemparkan ke dalam api Gehena.
28051f006a	Hukum juga mengatakan, ‘Jika seorang laki-laki menceraikan istrinya, ia harus memberinya surat cerai.’
28052000c5	Tetapi Aku berkata kepadamu bahwa siapa pun yang menceraikan istrinya kecuali karena amoralitas seksual menyebabkan dia berzinah, dan siapa pun menikahi wanita yang diceraikan melakukan perzinahan.
28052100bf	Kalian juga sudah mendengar, hukum Taurat berkata kepada nenek moyang kita, ‘Janganlah mengucapkan sumpah palsu. Sebaliknya, tepatilah sumpah yang sudah pernah kamu ucapkan kepada Tuhan.’
280522008c	Tetapi Aku katakan kepada kalian, jangan pernah mengatakan sumpah sama sekali. Jangan bersumpah demi surga, sebab di sanalah Allah bertahta.
280523009d	Jangan bersumpah demi bumi, sebab bumi adalah tempat Allah meletakkan kaki-Nya. Jangan bersumpah demi Yerusalem, sebab kota itu adalah kota milik Raja Besar.
280524007e	Bahkan jangan bersumpah demi kepalamu, sebab kamu bahkan tidak mampu membuat sehelai rambutmu pun berubah dari hitam ke putih.
28052500b2	Cukup katakan ‘ya’ jika kamu maksudkan ‘ya’ atau katakan ‘tidak’ jika kamu maksud ‘tidak’ — sebab menambahkan sesuatu yang lebih dari itu berasal dari si jahat.
2805260058	Kalian sudah mendengar hukum Taurat berkata, ‘Mata ganti mata, dan gigi ganti gigi.’
2805270098	Tetapi Aku katakan kepadamu, janganlah membalas orang yang berbuat jahat. Jika ada yang menampar pipi kananmu, biarkan mereka menampar pipi kirimu juga.
2805280059	Jika seorang pergi ke pengadilan karena ingin mengambil pakaianmu, berilah juga mantelmu.
2805290072	Jika seseorang memaksamu berjalan sepanjang satu kilometer, berjalanlah bersama dengannya sepanjang dua kilometer.
28052a0062	Berikanlah barang yang diminta dari kamu, dan janganlah menolak mereka yang ingin meminjam darimu.
28052b006e	Kalian sudah mendengar bahwa dalam hukum Taurat ada tertulis, ‘Kasihilah tetanggamu dan bencilah musuhmu.’
28052c006b	Tetapi Aku berkata kepada kalian, kasihilah musuh kalian dan berdoalah untuk mereka yang menganiaya kalian,
28052d00ef	supaya kamu menjadi anak-anak Bapa surgawimu. Sebab matahari yang Dia ciptakan juga menerangi baik orang baik maupun orang jahat, dan hujan yang Dia turunkan juga jatuh untuk mereka yang melakukan perbuatan yang benar dan yang tidak benar.
28052e0099	Sebab jika kalian hanya mengasihi orang yang mengasihi kamu, imbalan apa yang akan kamu dapat dari Allah? Sebab penagih pajak pun bisa melakukan hal itu.
28052f00a6	Jika kamu hanya berbuat baik kepada anggota keluargamu, apa bedanya kamu dengan orang-orang lain? Bahkan orang-orang yang tidak peduli dengan Allah juga melakukannya!
280530005f	Tumbuh dan menjadi benar-benar dapat dipercaya, seperti Bapa surgawi kalian dapat dipercaya.”
28060100f1	“Pastikanlah kamu tidak melakukan perbuatan baikmu di hadapan semua orang hanya agar mereka bisa melihatnya. Jika kamu melakukannya dengan maksud seperti itu, maka Bapamu yang di surga tidak akan memberi kepadamu upah dari perbuatanmu itu.
2806020154	Dan ketika kamu memberi kepada orang-orang miskin, janganlah seperti para orang munafik yang meniupkan terompet mereka sendiri untuk mengumumkan semua perbuatan yang mereka lakukan di rumah-rumah ibadat dan di jalan-jalan agar orang-orang lain memuji mereka. Biar Aku beritahu kepadamu yang sebenarnya, mereka sudah mendapatkan upah mereka.
28060300b0	Sebab itu, jika kamu memberikan kepada orang miskin, janganlah orang lain sampai tahu pemberianmu, sama seperti tangan kirimu tidak tahu apa yang diperbuat oleh tangan kananmu.
2806040096	Dengan demikian, pemberianmu itu hanya akan diketahui oleh Bapamu yang di surga, yang melihat hal-hal yang tersembunyi dan akan memberi upah kepadamu.
28060500f3	Dan ketika kamu sedang berdoa, janganlah berdoa seperti orang-orang munafik, sebab mereka suka berdiri dan berdoa di rumah-rumah ibadat dan di sudut-sudut jalan agar orang-orang bisa melihat mereka. Yakinlah, mereka sudah mendapat upah mereka.
28060600c2	Tetapi kamu, jika kamu berdoa, masuklah ke dalam dan tutuplah pintu, dan berdoalah kepada Bapamu secara pribadi, dan Bapamu yang melihat di tempat-tempat tersembunyi, akan memberi upah kepadamu.
28060700cc	Dan ketika kamu berdoa, janganlah berceloteh tanpa arti seperti yang dilakukan orang yang tidak mengenal Allah, yang berpikir bahwa mereka akan didengar hanya karena ucapan doa mereka yang berulang-ulang.
280608006b	Janganlah meniru mereka, sebab Bapamu yang di surga tahu yang kamu butuhkan bahkan sebelum kamu memintanya.
280609001d	Tetapi berdoalah seperti ini:
28060a008a	Bapa surgawi kami, biarlah nama-Mu dihormati. Biarlah kerajaan-Mu datang! Dan kehendak-Mu terjadi di atas bumi ini seperti di dalam surga.
28060b0040	Berikanlah kepada kami makanan yang kami butuhkan pada hari ini.
28060c0057	Ampunilah dosa-dosa kami, seperti kami juga mengampuni mereka yang berdosa kepada kami.
28060d0064	Janganlah kami dicobai untuk melakukan perbuatan yang salah, dan selamatkanlah kami dari yang jahat.
28060e0068	Sebab jika kamu memaafkan mereka yang berdosa kepada kamu, maka Bapa surgawimu juga akan memaafkan kamu.
28060f0084	Tetapi jika kamu tidak mau memaafkan mereka yang berdosa kepadamu, maka Bapamu yang di surga juga tidak akan mengampuni dosa-dosamu.
2806100131	Ketika kamu berpuasa, janganlah seperti orang-orang munafik yang membuat roman wajahnya menjadi muram dan membuat diri mereka tampak menderita sehingga orang-orang bisa melihat bahwa mereka sedang berpuasa. Aku katakan sejujurnya, bahwa mereka sudah mendapatkan upah mereka, yaitu pujian dari orang-orang.
280611004f	Sebaliknya, jika kamu berpuasa, cucilah mukamu dan tampilah dengan wajah cerah,
28061200be	sehingga orang-orang tidak melihat bahwa kamu sedang berpuasa, dan Bapa surgawimu yang tidak terlihat namun melihat segala sesuatu yang dilakukan secara diam-diam akan memberi upah kepadamu.
2806130088	Janganlah kamu menimbun kekayaan di atas bumi ini dimana ngengat dan karat akan merusaknya, dan pencuri membongkar masuk dan mencurinya.
2806140090	Sebaliknya, kumpulkanlah kekayaanmu di surga, dimana ngengat dan karat tidak merusaknya, dan para pencuri tidak membongkar masuk dan mencurinya.
280615004b	Sebab hal yang paling kamu hargai menunjukkan siapa dirimu yang sebenarnya.
2806160067	Mata seumpama pelita yang menerangi tubuh. Jika matamu sehat, maka seluruh tubuhmu juga akan bercahaya.
28061700ad	Tetapi jika matamu hanya melihat yang jahat, maka seluruh tubuhmu juga akan ada dalam gelap. Jika matamu yang seharusnya terang menjadi gelap, betapa gelapnya kegelapan itu.
28061800e2	Tidak seorangpun bisa melayani dua majikan. Kamu pasti akan membenci yang satu dan menyayangi yang lain, atau kamu akan mengabdi kepada yang satu dan merendahkan yang lain. Kamu tidak bisa melayani Allah dan uang bersama-sama.
2806190104	Itu sebabnya Aku katakan kepadamu untuk tidak kuatir tentang hidupmu. Jangan kamu kuatir tentang apa yang harus kamu makan, ataupun minum, ataupun pakaian yang harus kamu pakai. Bukankah hidup ini lebih dari sekadar makan, dan tubuh lebih dari sekedar pakaian?
28061a00c7	Lihatlah burung-burung — mereka tidak menabur ataupun menuai ataupun menyimpan makanan di lumbung-lumbung, tetapi Bapa surgawimu memberi mereka makan. Tidakkah kamu lebih berharga dari pada mereka?
28061b0058	Siapakah di antara kamu dengan merasa kuatir bisa menambah satu menit dari hidup kalian?
28061c00a9	Dan mengapa kamu kuatir tentang pakaian? Lihatlah bunga-bunga yang indah di padang. Lihat cara mereka bertumbuh, mereka tidak bekerja keras, mereka tidak menenun benang.
28061d0073	Tetapi Aku beritahu kamu, bahkan Raja Salomo dengan semua lemegahannya tidaklah berpakaian seindah bunga-bunga itu.
28061e00c7	Jika Allah mendekorasi padang-padang seperti ini, rumput yang ada di sini hari ini dan besok dibuang ke dalam api, tidakkah Dia akan berbuat lebih lagi kepadamu, hai kamu yang sedikit sekali percaya?
28061f0091	Jadi janganlah kuatir dan berkata, ‘Apa yang akan kami makan?’ atau ‘Apa yang akan kami minum?’ atau ‘Baju apa yang akan kami pakai?’
280620007a	Semua hal ini dikejar oleh orang-orang yang tidak mengenal Allah, tetapi Bapa surgawimu tahu semua hal yang kamu butuhkan.
280621007d	Tetapi carilah kerajaan-Nya terlebih dahulu, dan cara hidup-Nya yang benar, maka segalanya yang lain akan diberikan kepadamu.
2806220084	Maka janganlah kamu kuatir tentang hari esok, sebab hari esok punya kekuatirannya sendiri. Ada cukuplah banyak jahat setiap hari.”
280701004c	“Janganlah kamu menghakimi orang lain, agar kamu juga tidak akan dihakimi.
28070200cb	Sebab standar yang kamu pakai untuk menghakimi orang lain akan digunakan juga untuk menghakimi kamu, dan ukuran apa yang kamu pakai untuk mengukur orang lain akan menjadi ukuran untuk mengukur kamu juga.
280703007a	Mengapa kamu melihat setitik serbuk gergaji di mata sesamamu? Tidakkah kamu sadar adanya selembar papan di matamu sendiri?
28070400b4	Bagaimana kamu bisa berkata kepada sesamamu, ‘Mari saya tolong kamu mengeluarkan setitik dari matamu namun di saat yang sama kamu punya selembar papan di dalam matamu sendiri?’
28070500b5	Hai orang-orang munafik! Singkirkanlah dahulu selembar papan yang ada di dalam matamu. Maka kamu akan bisa melihat dengan jelas untuk mengeluarkan setitik yang ada di mata sesamamu.
28070600a7	Jangan beri anjing apa yang suci. Jangan lemparkan mutiaramu ke babi. Dengan begitu babi tidak akan menginjak-injaknya, dan anjing tidak akan berbalik dan menyerangmu.
280707007a	Mintalah, maka akan diberikan kepadamu. Carilah, maka kamu akan menemukannya. Ketuklah, maka pintu akan dibukakan untukmu.
2807080081	Mereka yang meminta, akan menerima, yang mencari akan menemukan, dan yang mengetuk pintu, maka pintu akan dibukakan untuk mereka.
2807090057	Apakah ada di antara kamu yang memberi anakmu batu ketika dia minta roti untuk dimakan?
28070a004c	Atau ketika dia minta seekor ikan, apakah kamu akan memberi dia seekor ular?
28070b00b0	Jadi, jika kamu yang jahat saja tahu untuk memberikan yang baik untuk anak-anakmu, apalagi Bapa surgawimu yang akan memberikan hal-hal baik kepada mereka yang minta kepada-Nya.
