2800000005	Matta
280115004e	can do bwe, mwa cuwo dencere ki Yecu, co ca fulo nubo ti fiye bwiran ker ciye.
2801160046	Gwam wo an bwi na dim diker teluwe be toke nyii nii tomange, tokti ki,
280117006f	“To bubya an tu fwer, naci bo bwe ciya cuwo den cero ki Imanuel” Dike dendo nungeu “Kwama wi kange bo”.
2801180054	Yucufu kwenu dumbo nineu, maani na wo bwe tomange kwama yiceu, cin kuni con tu wice.
2801190038	Yucufu Nyomombo wice wi co bom bwe La con co dendo Yecu.
280201007b	Bwikako ci bo Yecu Baitalami biten Yahudiya ki core wo Hirudu Liyau, Kangem nob nyomka bifumer kwama bo Urcalima. Tokti ki.
280202004e	“Fee wo ci bo Liya Yahudawa? nyon to bitiren cero twar, nya bo na nyi wabka.
2802030046	La Liya Hiridu nuwa nyori, kwom co kambo ken kange hwam nubo Urcalima.
2802040061	Hiridu mwer Liyab wabe kwama gwam kange nob mulankab nibe. me ci “kiriti a bo fe?” Cin yi co.
2802050049	“Mor Baitalami Yahudiya nyo won co dike bibei tomange kwama mulange”.
28020600a2	“Mo Baitalami mor biten Yahudiya mo kebo wo duwal-duwali tiber Liyab yahudiya. more mwe an fiya nii a ca Liyar tiye wo a yila nii biyuwar nobo Lomi Iciraila”.
2802070062	La Hiridu cwo nob nyomka bifumer reu, yurangum Yurange, me ci “Fiyang bitiren do cerkanguwe?”.
280208008e	Con twom ci Baitalami, yiciti, “Kom ya ki fuwa bwe biduware ki Lima ki Lima, no kom fiya ri, ko bou kom yiye, na mo ken nan ya nan wabco.”
280209008c	Bwikako ci nuwa diker Liya yi ciye ri cin kwen ci ta nure, bitiren do wo ci to twareu yakenti ka ci ya yan titi dor luwe bwe bi duware wiye.
28020a0032	La ci to bitirndo ri cin bilangi ki bilankako dur.
28020b009d	Cin do mor luwe, nen cin to bwe bi duwareu kange nece Maryamu. cin cung bitine cin wabco. cin kwim cwaye ciye neco Lima nerek, mwinek kange lubban kange mor.
28020c005e	Kwama yi ci mor dukume, ciya yilare fiye Hiridu nine. yori cin yilaken bitine ciye nure kange.
28020d0086	Bwikako ci kweneu cin to nii tomange teluwe cerkangu Yucufu nin yi co, “Kwen tu bwe bi duwae wo kange bece cwa cu ciko biten Masare.
28020e006e	Kume cuwo Yucufu tu bweu kange nece u Masar. yi ken firen yinen di na nimre, wori Huridu cuiti na twalum bweu.
28020f006e	Cin yike fire Hiridu Bwiyati. Wo na dim diker teluwe be tokeu nyi nii tomange, “Min cuwou bi bwemi Masar”.
28021000c9	Hiridu to nob nyomka Bifumereu bwanten bo ker cero ri mam funer ducce, cin twomi a twalangum bi bei nabarubbe bi duwartini gwam, wo Baitalami kange buro bi dom kange ce tati coro yob yirau ciko bitine.
2802110031	Fiya cuwo la dike nii tomange Irimiya toke dimme.
2802120085	Cin nuwa diro kange Rama ci wiye ti kinero fir cilong-cilonge, Rahila ci wiye dor bi beiyo locer. Mani ca fiya birum nere ti wo mani.
280213005a	Fiya cuwo Hiridu bwiyame, nii tomange teluwe cerkangu Yucufu nin mor dukume mansar. yi co,
2802140059	Kweni tu bwe bi duwarewo kange nece yakan Iciraila, nyori niwo do dume bwetiye bwiyam”.
280215003a	Yucufu kweni tu bwe bi duware kane nece cu biten Iciraila.
2802160096	La ci nuwa Akilayu bi bwe Hiridu Ca liyar ti biten Yafudiya, con nuwa tai lakako firen. Bwikako kwama yi co ker mor dukume, cin tiyangum biten Galili.
2802170074	Yiken fiye kange ci cuwo ti ki Nazaret wo na dim dike ci toki nyii nob tomange ki, “Ciya cuwo co ki bwe nazare re.
2803010044	Kume ni wo Yuwana yu mwem kwamam tiyeu yau ne fulen ker kwama ro ti.
2803020029	Ko yiloten wori, liyar do lo kwama dadom.
2803030083	won co wo nii dukume kaya tok kerce reu, “Dir nii kanger co bi cor ti kii, toki, “ko Yuwel Teluwe nin nureceu, fuwak ceko atim.
2803040061	Yuwana merum ki belle yiri teleme, bwam ki dk teak fer cer. Cari ceu, kwake kange yuiti to kiyeu.
280305006e	Co rubo Urcalima kange wo Yahudiya gwam, kange bitine tinim bo kong Urduneu, ci bou ti ka bo ka tuje co wiyeu.
280306004a	Na ci yuu cinen mwem kwamam caji Urdun, kambo ci tok bwira kerer ce tiyeu.
28030700a6	La co to Faricawa kange cadukiyawa kila cirangum ti na co yu'u cinen mwem kwamamedi co ca ciye, “Kom berin nacuwe ki mwan neu, we wer kom ko cuam funero wo au tiye.
280308002d	Ko ne bituti wo a nung yila ka kume ko tiyeu.
2803090084	Ku kware mor ne kume kom ki Abram te kume! be ma yi kom ti, kwama wi kibi kwan do wo a kung Abram nin bibeiti fo tetendo wuro neneu.
28030a0069	Na wonyeu yoti biteye dimer tiniro nan, na cori tiyowo ne bo bituti keneti, an tom co na merken mor kire.
28030b00bd	Ma Yukumen mwem kwamam bo ki mwem, ya ciko yo laka kumekeu. Niwo bouti bui mi yeu layeki dur, woro ta ceu ma labo nan tu'u. co ca yu'u kumen mwem kwamam bo ki yuwa tangbe kwama, kange kira.
28030c0062	Kwele yu'u ka ceko tam kang cek, can nyinagum teneu wiyak, na murom bikateceu na yo ken binico.”
28030d0057	La Yecu bou biten Galili, ya caji Urdun fintange Yuwana nen, na yu'u cinen mwem kwamam.
28030e0063	La Yuwana mani naco kicim co, tok ti ki, mo wo ma cuiti na yu'u mwem kwamam meu, mom bou minen?”.
28030f0046	Yecu yila yi co a ma nyo na dim cak-cakeu gwam. Co Yuwana ciya cinene.
28031000a9	Buiko ci yu'u cinen mwem kwamam be di, Yecu cerum can duwo mor mwenge, La dii kwama wo cinen. La co to yuwa tangbe kwamako yirau ti docer na nagumfiye, yira yiti dorcer.
2803110051	La diro kange lo kwama ceru toki, wo bi bwemi ma cui cuiyeu, ma nuwa luma cek ti.
280401004c	La yuwa tangbek kwamako tu Yecu yaken ciko mor yere na bwekelkele na cuwaco.
280402004b	Bwiko co yi yim Ngakem kakuko kwini na'ar kumeu kwini na'ar di wura tam co.
2804030052	Nii cuwa kako bou cinen yico ki, “No mo bibwe kwamari yi tero wo ayilam cari”.
2804040055	Yecu yila yic mulagum mulange, Nii mani a dwiti ki cari ki kwace ce kange ker kwamar.
2804050052	La bwekelkele to co yaken ciko mor cinan lor wucakeu. La kung ken co dor ku waber.
28040600c2	La yii co ki “No mo bibwe kwama ri, mwou bitine wori mulangum-mulange, ki “Can yi bibei tomange ce wucakeu na cer nen” La ci an kungum nen dii mor kani ciye. be na mo kware na mwek ter”.
2804070045	Yecu yi ten co mulangum mulange mani mwa cuwa teluwe mwe kwama ti ko.
2804080077	Tak, di Bwekelkele tu co kungken co bang ko wo cwem-cwemeu, La nung cenen Liyar do kaleweu gwam kange duktanka ciye ko.
2804090044	La yico ki dike wo gwam man neken nen no mon cung cunge mo wab yeri.
28040a005c	La Yecu yico ki “kubom fou bwekelkele be mulangum mulange, Wab ka teluwe mwe kwama co win.
28040b0043	La bwekelkele dobco, La wo bibei tomange wucakeu bou cinen (wabco).
28040c003a	La Yecu nuwa cin tam Yuwanari, con cerum yilan ken Galili.
28040d0065	Co dubom Najaret cin yaken Kafanahum, wuro knog caji Galiliyeu, yii ka bitinek Jebulun Kange naftali.
28040e002d	wo ma nye na dim kero Icaya nii dukume tokeu.
28040f005f	biten Jebulune biten Nabtali wo kong Cajiyeu, kange dinge caji Urdun neu, Galili nob kumtacili.
2804100080	Nubo wuro yim kumtacili yeu, cin to filanko dur, la buro yim wi fiyeceu, knage kakulok bware keu, dor cir fiya filanko ti kweni.
2804110060	La fiyaco di Yecu yoten fulonka ker kwama ro, ko yolaten wori liyaro loh Kwama biyeken bidom.”
280412008e	co yakenti knog caji Galili, con to yitob butib yob, cimon wo co tiki Bitru, kange Andrawu yii ce mer biliyar ti mor caji, cin nobtaka jingeb.
280413003a	Yecu yii ci, kom bou ko buang menten, an yo ka ta men nob.
280414002f	Dang jang ci dubom liyar cero cin buang ten co.
28041500ab	La Yecu dubom wi yaken tiri con to ten yitobbo kange ci yob, Yakubu bi bwe Jabali knage Yuwana yii ce, ci yim mor nabire mwenge kange jabal Tee ciye yulang biliyar ceroti.
2804160055	Con co ci dang jang cin dubom nabire mwengeu kange jabali tee ciye, cim bwang ten co.
280417008f	Yecu kentangum Galili gwam, merang cinen ti mor bikur waber, tok fulen ker liyar kwamaro ti twa'a mwanti tiire ti gwam kange nubo nuwabo lumau.
28041800f0	La fulen kere ro dor cereu yake kale mor nubo ciriya, co nubo co ci bou cinen ki nubo wo kalati ki wang ki wang kange kwirom bwi kange buro kelkelibo o cinen ti bwiyeu, kange nob juibe, kange nubo kani kange nani bwiyarangumeu, Yecu twm ci.
280419007c	Nubo nawo kila kilau bwang cinen ten Galili kange dika foli kange Urcalima kange biten Yahudiya, yaken ciko dinge Urdun neu.
2805010064	Kambo Yecu to mwerkang ka nubo ducceri kwiken dor bang-er. La cin yikenwi, nob bwankacebo bou cinen.
280502002b	Wumom mor nerer ciro takri to merang cinen.
2805030042	Bi bwiyer kiniwo bwini na yuwa tangbeceu nyori liyar kwama ki cii.
280504003a	Bibwiyer kiniwo kibwatummeu, wori ciyatin macinen dangnee.
280505003d	Bibwiyer ki nubo wo ki kunne wori kwalito dorbitinero ki cii.
2805060042	Biwiyer ki nub wurab kange dulo mwe wucakke wori atin bwam ki cii.
2805070033	Bibwiyer ki nub cika bwinib wori, atinci bwinicito.
2805080034	Bibwiyer ki nubo nero wucakkeu, wori ciyen to kwama.
2805090040	Bibwiyer ki nubo ki fuwer nerereu, wori a cociki bi biylo kwama.
28050a004c	bibwiyer ki nubo wuro cii ne cii dotangeti ker caccaker, liyar kwama ki cii.
28050b008a	Bibwiyer ki kom no nubo to komtiri, yila cii ne kom dotange ti ka kaa cii kwakomti kiner kan-nge bi kulentito bwir wo cuwer keceu, kermin.
28050c008e	Kom ma bilangtum bo man ki dii kau, wori Bitininge kumeu na dur dii kwama. Nan wo nubo ne bibei tomange dotange biro yii kaale na nyime komeu.
28050d009c	Kom mam dor bitinerembo cano mambo lem lumacekori, bi'amanyi na yilau cuko tak? mani ani yilamti kinan'ngen tak dila atin cutan wi na fuwarangum kina nubek.
28050e0043	Kom filang dor bitinero kowo cinar loro tom bidukleu mani yurangek.
28050f0069	Nubo mani kwer talkire tire dokken mor bulene, nyori ca kunnyii cayo fiye tikacek nane nubo luweu filang.
2805100071	No nyori filang kume k acera kabum nubem ciya tom yorak na ngenek kumekotiyeu naci caklang tee kume wo dii kwama.
2805110059	Km kware komki mabou nan bubam werfun nobto mangebo. ma boubo nan bubamci Dila nan dimci.
2805120085	Wori bilenker miyi komti, diko kange bitineu an dim dila kiker biduwar kakaa denka win wo mani dimti mor bolang atin dim dikero kang.
2805130083	Nawori niwo kimwo duwal duwale mor werfunen wonine kakaa ci merang kangum ciya manyeri, aciioco nawo duwal-duwale mor liyar kwamar.
2805140083	Lari miyi komti miki “cawo-cawo cakcake kumeu tano labo cakcake nob mulangkab kange faricawbori, mani kakadokanti liyar kwamareu.
2805150056	Kom nuwa kam inyi nubo nan duweu, kom taide dor, cano wo twaldoreri cikino cito warka.
2805160084	La min yi kom ti woma funer kange keceri, kino mor cito warka. woyi kece, mun nifiro bwireri! cikino mor cito doka mor kirak kwamak.
2805170056	Nawo nyori mwane funer nerer ti. tanyi landi kwabi kemwe wiki kwomka dorek kange mori,
2805180082	Dubom luman nerok kabum tan nyi lanem, yaa yam mwem. ki kabana, fuwang kangum kange kemwe na nyi me nabou na ne funer nerer mwero.
28051900b3	Maa yuelka kange nii kiyangnye mwe kambo mudor nurer yaa kabum bolangem, ka nii kiyange mwe neken nen nii bolange nin nibolange an neken nen nii tomange ciyatin merkennen furcina.
28051a005b	Bilinker mi yinenti, mani mwa certi wi firen dila mwatin yati kemero ci bwang mwenten tieu.
28051b001a	Kom nuwa toki mare buraka.
28051c006a	Dila miyi komti, tona niwo to nawi ye, ki dilanka nuwa keri, cin kweri cin mam buroka kange co mor nerece.
28051d009e	Ca no nuwa me cacciyoro an dok nen kottankari, kurangum co, minangwi fiye muwiyeu. La diker win mor ayak cam, ca merbo curen buyet mwero gwam mor kira kwamak.
28051e00aa	Kakaa kom mweko cacciyero tano atin atim dok nen kottang kari, mwattumco miranwi fiye muwiyeu. wori in La diker win mor a yakcam, kange merka buye mweko gwam kirak kwama.
28051f003b	Yilam to ki niwo ywa wice ri, a neco bifumer nyaka kangeko.
2805200064	Dila miyi komti tano wo ywa wiceri, cano nobo dor kangka diker kayakardi, cin yilam kico ni burokak.
2805210066	Kom nuwa ten cin yi ki nubo burombo nan duwoo kom werde weri cwerke, dila kwama werka kumeko kwamanin.
2805220045	Dila miyi kom ti komti kom werde weri di kwamaka wori Nkunjala kwama;
280523004c	kakaa kange dorbitiner fititim nanice, kakaa Wurcalima, wori biten liya dur.
2805240064	Ca bu nano ka werweri ki dor kumerdi, la mani ka dolti kom yilam ki yiri duwekume fuwoje kakaa fije.
280525005e	Dila Ker kumero a yilam NYO Nyo, nonindi 'Nyonin, nyonin. Cano dikero cumweri, kino bwirkonin.
2805260035	Kom nuwa toki ki, Nuwe nyii nue nundo tak nyii nunne.
2805270086	Dila miyi komti kom mare Kwobkangka kange niwo na bwireu, nyiyoco nyeu, no cii malicom dan-nge cattiyereri, kom yilam cinen wineu ken.
2805280077	No ni kannge wii a yakenti ki kiyange kume kabum boulangem meriwori naci yo belle kueri kom netten nii wo lalan kumeko.
2805290037	Cano ni dokkom yam nako kwininugri kom ya kannyace yob.
28052a003c	Komne nii wo mekomeu, tak kom kware niwo do naan ti kumeneu.
28052b0041	Kom nuwa dike tokeu, mwan cii ni bidome mweu mwanko ni kiye mweu.
28052c00a9	Dila min yi kom ti kom cii nob kiyeb kume bo, kom kwob nubo nekom dotannge tiye nin dilo kom ma nubowuri, cil komenin bibuyer, komma nubo wo ko kom tiyeu nin dikoro ken.
28052d0090	Naweu nakom yilam bibiyo lo tekume wo dikwamau. wori dok kakuko wennii bwirninti kannge nii ken twom wucakke kannge nii maakenin mwom dikwamati.
28052e0063	Wori cano kom ki cwi nubowuri cwikom tiyeri, nyii dikedde kom fiya? kebonyo nob yoka doreko matiya?
28052f0061	Kume keneu tano kom yarum ka 'Kebkumebri, yekamani la tangece? kobonyo nubo nyombo kwamau matiya?
280530003d	Dila naweu nyi lam nyo kom yilam cikocok nawo tekumu wodiyeu.
280601008c	Kom yilam yiber dover ko mare luma kume ko kabum nubem be naci tokom, no kom ma nyori, mani ka fiya cuneti fiye tee kume wo dii kwama wiyeu.
28060200a4	La naweu, no kama luma tiri kom cure cume kambo nubo bwirko mati ku wabe kannge dor nurereu wori na nubo caklang ci. Bilinker miyi kmo ti cin fiyam nyii diker cero.
280603004d	La tano kama luma tiri kam kume moutkeu anyomde dike kango cattiyero matiyeu.
280604006f	Wori na lumake meko na yilam yurangum yurannge. Tee kume wuro to dikeroti yuragum yurangeu, atin makumen cuner.
28060500c7	Tano kmbo ka kwob diloti takeri, kom yilam de na nubo bwirko, wori ci cwikwoka diloti timotiye ku wabece kannge cuga nurek tak, wori na nubo toci. bilenker miyi kom ti cinn fiyam cuner ceko fou kale.
2806060085	La tano kom kakwob dilotiri, kom doken mor kuwe. Kom nungum nyiloko, kom kwobdilo Tee kume wo yurangum yurange an nekom cuner kumero.
280607008d	Ca no ka kwob dilotiri, kom libride diker manki nagenneu. nawo nubo nyombo kwama matiyeu. wori kwanererceu ciyatin cuwa tuuki keticro dukceu.
2806080054	Na weu ko yilamde naci wo Tee kume nyimoum bwini kumero kikinning nanyime kom kenco.
2806090047	Na wori kom kwobdilo nawo Tee bewo dii kwamau, ane den mwero dur wucak.
28060a001c	Liyar mwero a dou ner nuber.
28060b0023	Ne nyo carto na dume ce kume -kume.
28060c0041	Dob Nyinen bwirang kert nyero. nawo nyi dob nubowo ma yinentiyeu.
28060d0082	Yare kinya Fiye cuwaka, dila cok nyo nii bwir konin (kanng Liyar kannge bikom liyaret kange duktanka ka na mwe diri diri ati nyo).
28060e0052	Wori no kom dob nubori bwira kerer cirori, Tee kume wo dii kwamau an dobkumen ken.
28060f004d	Ca no ka dobbo nubonen bwirang keretinin cirori Tee kume mani a dob kumen ti.
28061000db	Nyotak, no kama nyak tiri, kom yilam kitikob na nuwoma mwamangtu tiye kambo nubo bwirko matiyeu, wori ci kwuob kang yirom cimboti wori naci dannyi kabum nubem mwincimen Nyak ti. Bilenker miyi kom ti ci fiyam cuner cero.
2806110045	Dilacano kom ma Nyak tiri kom beltu nuwan der kom nirum tikob kumebo.
2806120060	La nanubo nyumde kom ma Nyak ti, lakan Tee kume wo to dikero kom matiyeu yurangumeu ati makumen.
2806130081	Kom mwerde dor kumero nii cuweka for dor bitinet, fiye kerkere kange cnkume a kanngum tiyeu, fiye nob kubbo bani werti do kuumme.
28061400a3	Nyiyoco Nyeu, kom mwer dor kumer kange nii cuwaka firen dii kwama fiye kerkere kannge cankume mani yeu. nawo a kanngum tiye fiye tak nuu kuyee mani werti na kumme.
280615002d	Fiye cuweka mweu wiyeu ner mwero ki nowi ken.
280616004f	Nuweu co talkire bwiyeu. Nawori cno nuwemweu yorari, bwiyo kwarub dimki filang.
280617003b	la cano nuwemweu dikero kendi bwiyo kwarub dimki kumtacile.
2806180072	Nii mani bwiya bwnagten, Tee yobe La catin ciya wi ci ko win mani nyori can ciya kanyenin win ci cuyekangum wiceu.
28061900ae	La na weu, miyi kom ti kom kwomre dor yimer kumer kidiki kacati yeu, kannge diker na netiye kakaa bwikume dike kama kulenti cikeu. Naweu dume labo carita, bwiyo labo kulanda.
28061a007e	Kom to bilibenti dii kwama maci fi fik kakaa biyeka maci mwerank tak mor bine, Tee kume wo diyeu. No nyori kalancibo yorankka.
28061b004c	we more kume a cob dorcero ninten cwemka kumetik kiker dikerowo kwom cotiye?
28061c0067	La nya ko kwom dor kumeroti ker kulenerer? kom to funti nimbo kiyeu, kambo ci dwitiyeu. maci du kulent.
28061d0053	Gwam kange wuru miti kom ti, culemanu ken mor dukktanka mabo nawin more birombonen.
28061e0091	Cano kwma maa yera ko kiyenen bwa yilendi, wuro duwei notiyeu firuri ciyan merken yiri infe Danka Yorakko. kom dobbo dubo ki bwini bilin kerereu?
28061f0038	Nawo nyeu ko kwomde kom ki “Ye ba catiye, Ye ba dutiye
2806200061	Na weu nubo nyombo kwama wuyak ci do dukum kulenenmbo woti, Tee kume wo diyeu nyimom kom ti citi.
2806210048	Dila kom do liyar cero ki kaba kannge ladi kulendowo kwarub ciyan nekom.
2806220045	Nawue. kom kwomre dor kumer ko bwikume kwarub kumeniu ci dontanngece.
2807010027	Kom mare warka, na cii makumende Warka.
2807020058	Ki Warkako kom ki wardeu, ciya warmwen ki kwele mwa cuwa, ki kwele cu ciya cuwamwen cuko
2807030046	Ye bwi muto cukkum bwatiye ti nure kemwe dila mutobo we mweu nure mwe?
280704005f	Kaka ca manyi mwayi kemweti Berin cok mwe be dikoro nuwe mwe, wendi cuktom bwatiyeu wo nuwemwe?
2807050083	Mwo nii bwir teri cokum cuktum bwatiyeu nuwe mwe, na yimde mwatin dolum mwan tom yor, kambo mwa cukom cuktum watiye ti nuwe kum mwe
2807060076	Kom nere bicurle dikerowo wucak wucakkeu. la ki kom merde bilerinin cari bwayilenner kumer kebo nyo ri ciya fuawrumci.
2807070036	Kii ni ciya necom do mwatin fiya kwabi tak, an womwen.
2807080033	Ca niwo keneri atin yo, wo kwaberi atin wom ci nen.
2807090042	Kakaa weni more kume, bibwece a kenco Tilitari la a ne co ta tiye?
28070a002e	Kakaa no kenco jinge tiri a ne co na cuwetiye?
28070b0076	Nyori ca no kom bwirembo, ko yumum kambo kane bibiyo lokume lumako tiye, kambo Tee kume diyeu a ne kom dikero kentiye.
28070c0045	Na woro di gwamra dikero kom ci ti nubo amakume neu, kom macinen ken.
28070d006a	Kom doken nure wo dwaldwaleu, wori nure buareu kuya in nurewo bwaibo doka nob dokabo moreceu ci kila kabo.
28070e0053	Di la nureu yaken dumeu kwati kabo, nureu na wo bwai doka nub fiya kaceco kila bou.
28070f007a	Kom nyimi ki nob tomangeb dukumeb cuer kobe burombo bokumentiki curen kwamereu, bilinke cin nyece-nyece burombo kuyamtiye.
280710005f	Ka tin nyumom ci kibi tuttuice nubo cok mwembo twiber ko bwi cuike kakaa nying bwi cilannge ka.
2807110047	Nyo kwarub Tini yoken kitu bi tuttuie ken tiyo bwirko ki tuttuice bwir.
2807120050	Tiyo yoryoreu mani tu bi tuttwi bwirti, yo tak tiyo bwir mani tu bi tuttwiy ken.
2807130048	Tano tiyowo mani ne bituttuti kentiyeri laciya tom ciya merken mor kire.
280714002b	La nyori kin duku bibiyem bowo anyomcitiye.
280715005e	Kebo nubo wuyak yiye tiki Tee, Tee adokenti o kwama dila niwo bwanteng ker tee mire dii kwama.
2807160096	Ki ka koko wo ducce an yi ki Tee, tee nyori nyamabo ker dukkumer kiden mwer nya cobo niya kiden mwer. nya mabo nangen do durbitineu ducce kiden mwera?
280717003d	La man yici ma yomkombo ko dubomye, kom nob make bwira kerer.
2807180055	La naweu Manang cemen cukotakeu, can dang kengco na ni nyomka wuro mu kuceu bangereu.
280719004b	La mwembo cuweri yuwako kunou kwa luweu dila yarbo wori ci muco dor bangek.
28071a0060	Di la niwo nuwa kermirori mabo nange cike, ciya dan co kannge kulenii wo mu loceu dorbi ti nere.
28071b0049	Mwembo cuire mwem wurmamkako bou dila yuwa ko kwenu kwa luwe yalam bukti.
28071c0046	La kambo Yecu dim tokka keti ceri mwerkan kako nyimang merang ka ceko.
28071d003a	wori meran ci nen ti ki bi kwan liyarer, kebona mulangkab.
2808010034	kambo Yecu yirau do doweri nubbo ducce bwancinenten.
280802004e	La nii ki wale kung diro kibi kwan ki no mwi ciu tiri mwatin yilam kimo wucak.
2808030079	La Yecu tar kang ceko kico ri ki “miki cui”. La yilam wuccak, la dang jang dang jang cii yilam wucak ki wale ceu nen.
280804008f	Yecu yico “yire nii ka nge diker” tame nureu ya nung dormwero nii wabenin na mwi ne lumacere ko werful muca ko tokeu. wo buka kanger ce ko.
2808050048	kambo ci yilau ti kafanahum meri, nii dur nob kweneo bou cinen ken coti.
2808060045	La ki Te luwe bwe canga dam lo kilen di la nuwa dotange ti kambo ken.
280807002e	Di la Yecu yi c o “Matin bou nami twam co”
2808080071	Nii dur nob kweneb bo ciya co ki “Teluwe mi labo wo mwi bou to lo miyeu. Tok kaker dila bwe canga ni atin twam.
28080900b9	wori no mo ken min nii ciyo dur biwan keret, tag ri min wiki nob kwenebo min dur dor cere. Miki yi w miki ya ri ci yaken, ki kanage 'bou ri ci bow kange ki canga mi, ma wuro dila cimam.
28080a009c	Kamo Yecu nuwa weri, cin nyi mangi la cin yi biro bwang cinnen ten tiyeu, “bilenker mi yi kom ti mi fiya bo kange win wo ki bilenker nawo mor Iciraila.”
28080b006d	Min yi kom, kila atin bou twaar kange me la ciyan ca wari kange Ibrahim, Icaku kange Yakubu mor Liyar kwamar.
28080c005f	Yilo bibei liyareu atin cor ke mor kumta cilero kiring kiring fiye cika wiyek kange kika nuneg?
28080d0076	Yecu yi dur nor kwenebo, “ya nawo mwi le bilenkeu, la a mamwen nyo dila cnagau twam ki kwama don-dong (Yila mwenyo).
28080e0059	kambo Yecu bow mor lo Bitruce ri cin to fer Bitruce nawi yeu dam da nuwa luma ki kwi bwi.
28080f005a	Yecu tai kang cekori la kwirom bwim bo dubom co. Dila cin kweni cin ter maka cinen carito.
2808100092	Kambo meu dome ri nubo bow Yecu ki nubo kila wo ki kelkelitini yeu. Ciin cikangum yuwa tangbe tinito ki ker yila cin twam wiyak biro nuwabo lumau.
2808110089	Ki nure wo la diim digero toku nyi kaya nii tomange, tokti ki “co ciki bwico yem bwii nuwa ka luma beko ri yila cin tum twirak beko”.
280812005d	L kambo Yecu to mwerkako duce ken tangum ceri cin neci nyal naci yabken kong wimak ko Galili.
2808130082	La ni mulankak bow cinen di to ki ki, “nii meraanka, matin bwang mwentn {Bwen no mwiki yang fye mwi yakenti wiyeu gwam feri}”.
2808140086	Yecu yi co ki” wiki buwak cek, kange bilibetinim wo dii kwamau wiki lo cece dila bi bwe nii fire mani ki fiye wo ci yom dor tiye.”
2808150055	kange mor nub bwang kab cebo yico, “Teluwe dob ye bwiri nan ya nami fwerum teni”.
280816004b	Di la Yecu yi co ki “Bwangmenten na dob nubo bwiyamen na fwerum bar cero.
280817004c	Kambo Yecu dogen tukom bwatiyeri, nob bwangka cebo bwang ci nen ten more ce.
2808180058	La yuwako durko kwenu mor wima, tokum bwantiyebo cimon ki yuwa mwengeb. La yecu dam dum.
2808190053	Nob bwang kab ceko bow cinen di yunco tokti ki “Cer nyo Teluwe, yan bwiya rangum.
28081a0086	Yecu yi ci “Ye bwi kom cua tai tiye, kom wo ki bilenkere biduwaru?” Di la cin kweni la werang yuwako knge wimau. la cinge dur tam.
28081b005a	Nubo nyimangi la ciki “nage nii ko wini wuro, wo ki yuwa ce kange wima nuwa co tiye?”.
28081c009f	Kambo Yecu bow dinge wineu kange mor biten gadara nubo yob wo ki ninga tininyeu wab kam co. ciki ceru mor tuwe, la ci bwi kabo wo nob yameb mani cu nure wiyeu.
28081d0083	La cin kwa kiyakye ki dir cin yi ki “ye yo nen kange nye, bibwe kwama? mwi bo fo namwi nenyo dotange nanyumde kwama nye lauwa?”
28081e004c	La nyere tini duce ca canak ti fiye co, kwitangbo ducce kange fiye ci niyeu.
