010000000d	1 Mojžišova
0106050090	Ale když viděl Hospodin, an se rozmnožuje zlost lidská na zemi, a že by všeliké myšlení srdce jejich nebylo než zlé po všecken čas,
010606004d	Litoval Hospodin, že učinil člověka na zemi, a bolest měl v srdci svém.
01060700bb	Tedy řekl Hospodin: Vyhladím z země člověka, kteréhož jsem stvořil, od člověka až do hovada, až do zeměplazu, až i do ptactva nebeského; nebo líto mi, že jsem je učinil.
0106080028	Ale Noé našel milost před Hospodinem.
0106090075	Tito jsou příběhové Noé: Noé muž spravedlivý, dokonalý byl za svého věku, s Bohem ustavičně chodil Noé.
01060a0034	(Zplodil pak Noé tři syny: Sema, Chama a Jáfeta.)
01060b0049	Ale země byla porušena před Bohem, a naplněna byla země nepravostí.
01060c0064	Viděl tedy Bůh zemi, a aj, porušena byla, nebo bylo porušilo všeliké tělo cestu svou na zemi.
01060d00a9	Protož řekl Bůh k Noé: Konec všelikého těla přichází přede mne, nebo naplněna jest země nepravostí od nich; z té příčiny, hle, již zkazím je s zemí.
01060e0073	Učiň sobě koráb z dříví gofer; příhrady zděláš v tom korábu, a oklejuješ jej vnitř i zevnitř klím.
01060f0090	A na tento způsob uděláš jej: Tří set loktů bude dlouhost toho korábu, padesáti loktů širokost jeho a třidceti loktů vysokost jeho.
01061000a7	Okno uděláš v korábu, a svrchkem na loket vysokým zavřeš jej; dvéře také korábu v boku jeho postavíš, a pokoje spodní, druhé i třetí zděláš v něm.
0106110091	Já pak, aj, já uvedu potopu vod na zemi, aby zkaženo bylo všeliké tělo, v němž jest duch života pod nebem. Cožkoli bude na zemi, umře.
0106120077	S tebou však učiním smlouvu svou; a vejdeš do korábu, ty i synové tvoji, žena tvá i ženy synů tvých s tebou.
010613008b	A ze všech živočichů všelikého těla, po dvém z každého uvedeš do korábu, abys je živé zachoval s sebou; samec a samice budou.
01061400b3	Z ptactva podlé pokolení jeho, a z hovad podlé pokolení jejich, ze všelikého také zeměplazu podlé pokolení jeho, po dvém z každého vejdou k tobě, aby živi zůstali.
0106150077	Ty pak nabeř s sebou všeliké potravy, kteráž se jísti může, a shromažď sobě, aby byla tobě i jim ku pokrmu.
0106160043	I učinil Noé podlé všeho, jakž mu rozkázal Bůh, tak učinil.
010701008a	Potom řekl Hospodin k Noé: Vejdiž ty i všecka čeled tvá do korábu; nebo jsem tě viděl spravedlivého před sebou v národu tomto.
0107020089	Ze všech hovad čistých vezmeš sobě sedmero a sedmero, samce a samici jeho, ale z hovad nečistých dvé a dvé, samce a samici jeho.
010703006e	Z ptactva také nebeského sedmero a sedmero, samce a samici, aby živé zachováno bylo símě na vší zemi.
01070400a8	Nebo po dnech ještě sedmi já dštíti budu na zemi za čtyřidceti dnů a čtyřidceti nocí; a vyhladím se svrchku země všelikou podstatu, kterouž jsem učinil.
010705003c	Tedy učinil Noé všecko tak, jakž mu přikázal Hospodin.
0107060047	(Byl pak Noé v šesti stech letech, když ta potopa přišla na zemi.)
010707006b	A protož přišel Noé a synové jeho, i žena jeho, i ženy synů jeho s ním k korábu, pro vody potopy.
010708005e	Z hovad také čistých i z hovad nečistých, i z ptactva a ze všeho, což se hýbe na zemi,
0107090055	Po dvém vešli k Noé do korábu, samec a samice, tak jakž byl rozkázal Bůh Noé.
01070a003e	Stalo se pak po sedmi dnech, že vody potopy přišly na zemi.
01070b00bc	Léta šestistého věku Noé, druhého měsíce, sedmnáctého dne téhož měsíce, v ten den protrženy jsou všecky studnice propasti veliké, a průduchové nebeští otevříni jsou.
01070c003e	I byl příval na zemi čtyřidceti dní a čtyřidceti nocí.
01070d006e	Toho dne všel Noé, Sem a Cham i Jáfet, synové Noé, žena Noé, a tři ženy synů jeho s ním do korábu.
01070e0107	Oni i všeliký živočich podlé pokolení svého, i všeliké hovado podlé pokolení svého, a všeliký zeměplaz, kterýž se hýbe na zemi, podlé pokolení svého, i všeliké ptactvo vedlé pokolení svého, všelijací ptáci, všecko, což křídla má,
01070f0053	Vešli k Noé do korábu, po dvém ze všelikého těla, v němž byl duch života.
010710007f	A což jich vešlo, samec a samice ze všelikého těla vešli, tak jakž byl přikázal jemu Bůh, a zavřel Hospodin po něm.
010711007d	A když byla potopa za čtyřidceti dnů na zemi, tedy rozmnoženy jsou vody, až i vyzdvihly koráb, a vznesly jej od země.
0107120055	Nebo zmohly se vody a rozmnoženy jsou velmi nad zemí, i zplýval koráb na vodách.
0107130079	A tak náramně rozmohly se vody nad zemí, že přikryty jsou všecky hory nejvyšší, kteréž byly pode vším nebem.
0107140046	Patnácte loktů zvýší rozmohly se vody, když přikryty jsou hory.
01071500a9	I umřelo všeliké tělo, kteréž se hýbe na zemi, tak z ptactva, jako z hovad a živočichů, i všelikého hmyzu, kterýž se plazí po zemi, i každého člověka.
010716006b	Všecko, což mělo dýchání ducha života v chřípích svých, ze všeho, což bylo na suše, pomřelo.
01071700ef	A tak vyhladil Bůh všelikou podstatu, kteráž byla na tváři země, od člověka až do hovada, až do zeměplazu, a až do ptactva nebeského, vyhlazeno jest, pravím, z země; a zůstal toliko Noé, a kteříž s ním byli v korábu.
0107180030	I trvaly vody nad zemí za sto a padesáte dnů.
010801009f	Rozpomenul se pak Bůh na Noé, i všecky živočichy a všecka hovada, kteráž byla s ním v korábu; pročež uvedl Bůh vítr na zemi, i zastavily se vody.
010802005d	A zavříny jsou studnice propasti i průduchové nebeští, a zastaven jest příval s nebe.
0108030062	I navrátily se vody se svrchku země, odcházejíce zase, a opadly vody po stu a padesáti dnech,
010804005f	Tak že odpočinul koráb sedmého měsíce, v sedmnáctý den toho měsíce na horách Ararat.
0108050082	Když pak vody odcházely a opadaly až do desátého měsíce, prvního dne téhož desátého měsíce ukázali se vrchové hor.
0108060056	I stalo se po čtyřidcíti dnech, otevřev Noé okno v korábu, kteréž byl udělal,
0108070057	Vypustil krkavce. Kterýžto vyletuje zase se vracoval, dokudž nevyschly vody na zemi.
0108080056	Potom vypustil holubici od sebe, aby věděl, již-li by opadly vody se svrchku země.
01080900b9	Kterážto když nenašla, kde by odpočinula noha její, navrátila se k němu do korábu; nebo vody byly po vší zemi. On pak vztáhna ruku svou, vzal ji, a vnesl k sobě do korábu.
01080a004a	A počekal ještě sedm dní jiných, a opět vypustil holubici z korábu.
01080b008f	I přiletěla k němu holubice k večerou, a aj, list olivový utržený v ústech jejích. Tedy poznal Noé, že opadly vody se svrchku země.
01080c0066	I čekal ještě sedm dní jiných, a opět vypustil holubici, kterážto nevrátila se k němu více.
01080d00a9	I stalo se šestistého prvního léta, v první den měsíce prvního, že vyschly vody na zemi. I odjal Noé přikrytí korábu a uzřel, ano již oschl svrchek země.
01080e004d	Druhého pak měsíce, v dvadcátý sedmý den téhož měsíce oschla země.
01080f001b	I mluvil Bůh k Noé, řka:
0108100050	Vyjdi z korábu, ty i žena tvá, a synové tvoji, i ženy synů tvých s tebou.
01081100e7	Všecky živočichy, kteříž jsou s tebou ze všelikého těla, tak z ptactva jako z hovad a všelikého zeměplazu, kterýž se hýbe na zemi, vyveď s sebou; ať se v hojnosti rozplozují na zemi, a rostou a množí se na zemi.
0108120045	I vyšel Noé a synové jeho, i žena jeho a ženy synů jeho s ním;
0108130080	Každý živočich, každý zeměplaz a všecko ptactvo, všecko, což se hýbe na zemi, po pokoleních svých vyšlo z korábu.
0108140088	Tedy vzdělal Noé oltář Hospodinu, a vzav ze všech hovad čistých i ze všeho ptactva čistého, obětoval zápaly na tom oltáři.
01081500fa	I zachutnal Hospodin vůni tu příjemnou, a řekl Hospodin v srdci svém: Nebudu více zlořečiti zemi pro člověka, proto že myšlení srdce lidského zlé jest od mladosti jeho; aniž budu více bíti všeho, což živo jest, jako jsem učinil.
0108160070	Nýbrž dokavadž země trvati bude, setí a žeň, studeno i horko, léto a zima, den také a noc nepřestanou.
0109010064	Tedy požehnal Bůh Noé i synům jeho a řekl jim: Ploďtež se a rozmnožujte se, a naplňte zemi.
01090200af	Strach váš a hrůza vaše buď na všeliký živočich země, a na všecko ptactvo nebeské. Všecko, což se hýbe na zemi, a všecky ryby mořské v ruce vaše dány jsou.
0109030069	Všecko, což se hýbe a jest živo, bude vám za pokrm; jako i bylinu zelenou, dal jsem vám to všecko.
0109040045	A však masa s duší jeho, kteráž jest krev jeho, nebudete jísti.
01090500c3	A zajisté krve vaší, duší vašich vyhledávati budu; z rukou každého hovada vyhledávati jí budu, i z ruky člověka, ano i z ruky každého bratra jeho budu vyhledávati duše člověka.
0109060075	Kdo by koli vylil krev člověka, skrze člověka vylita bude krev jeho; nebo k obrazu svému učinil Bůh člověka.
010907005b	Vy pak ploďte a množte se; v hojnosti se rozploďte na zemi, a rozmnoženi buďte na ní.
0109080030	I mluvil Bůh k Noé a synům jeho s ním, řka:
010909004b	Já zajisté vcházím v smlouvu svou s vámi, i s semenem vaším po vás,
01090a00d5	A se všelikou duší živou, kteráž jest s vámi, z ptactva, z hovad a ze všech živočichů zemských, kteříž jsou s vámi, ode všech, kteříž vyšli z korábu, až do všelikého živočicha zemského.
01090b008b	Protož utvrzuji smlouvu svou s vámi, že nebude vyhlazeno více všeliké tělo vodami potopy; aniž bude více potopa k zkažení země.
01090c00a2	I řekl Bůh: Totoť bude znamení smlouvy, kteréž já dávám, mezi mnou a mezi vámi, a mezi všelikou duší živou, kteráž jest s vámi, po všecky věky.
01090d0055	Duhu svou postavil jsem na oblaku, a bude na znamení smlouvy mezi mnou a mezi zemí.
01090e004c	A budeť, když uvedu mračný oblak nad zemí, a ukáže se duha na oblaku,
01090f00b7	Že se rozpomenu na smlouvu svou, kteráž jest mezi mnou a mezi vámi a mezi všelikou duší živou v každém těle; a nebudou více vody ku potopě, aby zahladily všeliké tělo.
01091000af	Nebo když bude duha ta na oblaku, popatřím na ni, abych se rozpomenul na smlouvu věčnou mezi Bohem a mezi všelikou duší živou v každém těle, kteréž jest na zemi.
0109110082	I řekl Bůh k Noé: Toť jest znamení smlouvy, kterouž jsem utvrdil mezi sebou a mezi všelikým tělem, kteréž jest na zemi.
0109120061	Byli pak synové Noé, kteříž vyšli z korábu: Sem, Cham a Jáfet; a Cham byl otec Kanánův.
010913003f	Ti tři jsou synové Noé, a ti se rozprostřeli po vší zemi.
0109140034	Noé pak obíraje se s zemí, začal dělati vinice.
010915003e	A pije víno, opil se, a obnažil se u prostřed stanu svého.
010916005c	Viděl pak Cham, otec Kanánův, hanbu otce svého, a pověděl oběma bratřím svým vně.
01091700b6	Tedy vzali Sem a Jáfet oděv, kterýžto oba položili na ramena svá, a jdouce zpátkem, zakryli hanbu otce svého; tváři pak jich byly odvráceny, a hanby otce svého neviděli.
010918004e	Procítiv pak Noé po svém víně, zvěděl, co mu učinil syn jeho mladší.
010919004d	I řekl: Zlořečený Kanán, služebník služebníků bude bratřím svým.
01091a0053	Řekl také: Požehnaný Hospodin, Bůh Semův, a buď Kanán služebníkem jejich.
01091b006b	Rozšiřiž Bůh milostivě Jáfeta, aby bydlil v stáncích Semových, a buď Kanán služebníkem jejich.
