010000000a	Бытие
01020700be	И созда Бог человека, персть (взем) от земли, и вдуну в лице его дыхание жизни: и бысть человек в душу живу.
0102080093	И насади Господь Бог рай во Едеме на востоцех, и введе тамо человека, егоже созда.
0102090116	И прозябе Бог еще от земли всякое древо красное в видение и доброе в снедь: и древо жизни посреде рая, и древо еже ведети разуметелное добраго и лукаваго.
01020a0085	Река же исходит из Едема напаяти рай: оттуду разлучается в четыри начала.
01020b0088	Имя единей Фисон: сия окружающая всю землю Евилатскую: тамо убо есть злато.
01020c0075	Злато же оныя земли доброе: и тамо есть анфракс и камень зеленый.
01020d006b	И имя реце вторей Геон: сия окружающая всю землю Ефиопскую.
01020e008a	И река третия Тигр: сия проходящая прямо Ассириом. Река же четвертая Евфрат.
01020f00a0	И взя Господь Бог человека, егоже созда, и введе его в рай Сладости, делати его и хранити.
0102100090	И заповеда Господь Бог Адаму, глаголя: от всякаго древа, еже в раи, снедию снеси:
01021100c8	от древа же, еже разумети доброе и лукавое, не снесте от него: а в оньже аще день снесте от него, смертию умрете.
0102120096	И рече Господь Бог: не добро быти человеку единому: сотворим ему помощника по нему.
0102130119	И созда Бог еще от земли вся звери селныя и вся птицы небесныя, и приведе я ко Адаму видети, что наречет я: и всяко еже аще нарече Адам душу живу, сие имя ему.
01021400dc	И нарече Адам имена всем скотом, и всем птицам небесным, и всем зверем земным. Адаму же не обретеся помощник подобный ему.
01021500aa	И наложи Бог изступление на Адама, и успе: и взя едино от ребр его, и исполни плотию вместо его.
0102160081	И созда Господь Бог ребро, еже взя от Адама, в жену, и приведе ю ко Адаму.
01021700d6	И рече Адам: се, ныне кость от костей моих и плоть от плоти моея: сия наречется жена, яко от мужа своего взята бысть сия.
01021800b6	Сего ради оставит человек отца своего и матерь и прилепится к жене своей, и будета два в плоть едину.
010219005e	И беста оба нага, Адам же и жена его, и не стыдястася.
0103010108	Змий же бе мудрейший всех зверей сущих на земли, ихже сотвори Господь Бог. И рече змий жене: что яко рече Бог: да не ясте от всякаго древа райскаго?
0103020063	И рече жена змию: от всякаго древа райскаго ясти будем:
01030300bc	от плода же древа, еже есть посреде рая, рече Бог, да не ясте от него, ниже прикоснетеся ему, да не умрете.
0103040040	И рече змий жене: не смертию умрете:
01030500ce	ведяше бо Бог, яко в оньже аще день снесте от него, отверзутся очи ваши, и будете яко бози, ведяще доброе и лукавое.
0103060113	И виде жена, яко добро древо в снедь и яко угодно очима видети и красно есть, еже разумети: и вземши от плода его яде, и даде мужу своему с собою, и ядоста.
01030700c7	И отверзошася очи обема, и разумеша, яко нази беша: и сшиста листвие смоковное, и сотвориста себе препоясания.
01030800eb	И услышаста глас Господа Бога ходяща в раи по полудни: и скрыстася Адам же и жена его от лица Господа Бога посреде древа райскаго.
010309005f	И призва Господь Бог Адама и рече ему: Адаме, где еси?
01030a0088	И рече Ему: глас слышах Тебе ходяща в раи, и убояхся, яко наг есмь, и скрыхся.
01030b00dd	И рече ему Бог: кто возвести тебе, яко наг еси, аще не бы от древа, егоже заповедах тебе сего единаго не ясти, от него ял еси?
01030c0074	И рече Адам: жена, юже дал еси со мною, та ми даде от древа, и ядох.
01030d0097	И рече Господь Бог жене: что сие сотворила еси? И рече жена: змий прельсти мя, и ядох.
01030e0135	И рече Господь Бог змию: яко сотворил еси сие, проклят ты от всех скотов и от всех зверей земных: на персех твоих и чреве ходити будеши, и землю снеси вся дни живота твоего:
01030f0100	и вражду положу между тобою и между женою, и между семенем твоим и между семенем тоя: той твою блюсти будет главу, и ты блюсти будеши его пяту.
01031000ff	И жене рече: умножая умножу печали твоя и воздыхания твоя: в болезнех родиши чада, и к мужу твоему обращение твое, и той тобою обладати будет.
0103110161	И Адаму рече: яко послушал еси гласа жены твоея и ял еси от древа, егоже заповедах тебе сего единаго не ясти, от него ял еси: проклята земля в делех твоих, в печалех снеси тую вся дни живота твоего:
0103120060	терния и волчцы возрастит тебе, и снеси траву селную:
01031300d2	в поте лица твоего снеси хлеб твой, дондеже возвратишися в землю, от неяже взят еси: яко земля еси, и в землю отидеши.
010314006d	И нарече Адам имя жене своей Жизнь, яко та мати всех живущих.
0103150072	И сотвори Господь Бог Адаму и жене его ризы кожаны, и облече их.
0103160122	И рече Бог: се, Адам бысть яко един от Нас, еже разумети доброе и лукавое: и ныне да не когда прострет руку свою и возмет от древа жизни и снест, и жив будет во век.
0103170085	И изгна его Господь Бог из рая Сладости делати землю, от неяже взят бысть.
01031800e2	И изрину Адама, и всели его прямо рая Сладости: и пристави Херувима, и пламенное оружие обращаемое, хранити путь древа жизни.
010401008f	Адам же позна Еву жену свою, и заченши роди Каина и рече: стяжах человека Богом.
010402009b	И приложи родити брата его, Авеля. И бысть Авель пастырь овец, Каин же бе делаяй землю.
0104030068	И бысть по днех, принесе Каин от плодов земли жертву Богу:
01040400af	и Авель принесе и той от первородных овец своих и от туков их. И призре Бог на Авеля и на дары его:
0104050089	на Каина же и на жертвы его не внят. И опечалися Каин зело, и испаде лице его.
010406008a	И рече Господь Бог Каину: вскую прискорбен был еси? И вскую испаде лице твое?
01040700da	Еда аще право принесл еси, право же не разделил еси, не согрешил ли еси? Умолкни: к тебе обращение его, и ты тем обладаеши.
01040800df	И рече Каин ко Авелю брату своему: пойдем на поле. И бысть внегда быти им на поли, воста Каин на Авеля брата своего и уби его.
01040900b1	И рече Господь Бог ко Каину: где есть Авель брат твой? И рече: не вем: еда страж брату моему есмь аз?
01040a0098	И рече Господь: что сотворил еси сие? Глас крове брата твоего вопиет ко Мне от земли:
01040b00a4	и ныне проклят ты на земли, яже разверзе уста своя прияти кровь брата твоего от руки твоея:
01040c00a0	егда делаеши землю, и не приложит силы своея дати тебе: стеня и трясыйся будеши на земли.
01040d0072	И рече Каин ко Господу Богу: вящшая вина моя, еже оставитися ми:
01040e00ea	аще изгониши мя днесь от лица земли, и от лица Твоего скрыюся, и буду стеня и трясыйся на земли, и будет, всяк обретаяй мя убиет мя.
01040f0112	И рече ему Господь Бог: не тако: всяк убивый Каина седмижды отмстится. И положи Господь Бог знамение на Каине, еже не убити его всякому обретающему его.
0104100070	И изыде Каин от лица Божия и вселися в землю Наид, прямо Едему.
01041100b6	И позна Каин жену свою, и заченши роди Еноха. И бе зиждяй град, и именова град во имя сына своего Енох.
01041200b1	Родися же Еноху Гаидад: и Гаидад роди Малелеила: и Малелеил роди Мафусала: Мафусал же роди Ламеха.
010413006c	И взя себе Ламех две жены: имя единей Ада и имя вторей Селла.
010414007a	И роди Ада Иовила: сей бяше отец живущих в селениих скотопитателей.
0104150068	И имя брату его Иувал: сей бяше показавый певницу и гусли.
01041600aa	Селла же и тая роди Фовела: сей бяше млатобиец, ковачь меди и железа: сестра же Фовелова Ноема.
01041700f8	Рече же Ламех своим женам: Ада и Селла, услышите глас мой, жены Ламеховы, внушите моя словеса: яко мужа убих в язву мне и юношу в струп мне:
0104180077	яко седмицею отмстися от Каина, от Ламеха же седмьдесят седмицею.
0104190101	Позна же Адам Еву жену свою: и заченши роди сына, и именова имя ему Сиф, глаголющи: воскреси бо ми Бог семя другое, вместо Авеля, егоже уби Каин.
01041a008f	И Сифу бысть сын: именова же имя ему Енос: сей упова призывати имя Господа Бога.
010501009b	Сия книга бытия человеча, в оньже день сотвори Бог Адама, по образу Божию сотвори его,
010502009a	мужа и жену сотвори их и благослови их: и нарече имя ему Адам, в оньже день сотвори их.
01050300ba	Поживе же Адам лет двесте тридесять и роди сына по виду своему и по образу своему, и нарече имя ему Сиф.
01050400a3	Быша же дние Адамовы, яже поживе, по еже родити ему Сифа, лет седмь сот, и роди сыны и дщери.
010505007f	И быша вси дние Адамовы, яже поживе, лет девять сот и тридесять: и умре.
010506004d	Поживе же Сиф лет двесте пять и роди Еноса.
010507008f	И поживе Сиф, по еже родити ему Еноса, лет седмь сот и седмь, и роди сыны и дщери.
010508006b	И быша вси дние Сифовы лет девять сот и дванадесять: и умре.
0105090059	И поживе Енос лет сто девятьдесят и роди Каинана.
01050a00a3	И поживе Енос, по еже родити ему Каинана, лет седмь сот и пятьнадесять, и роди сыны и дщери.
01050b005f	И быша вси дние Еносовы лет девять сот и пять: и умре.
01050c005f	И поживе Каинан лет сто седмьдесят и роди Малелеила.
01050d00ab	И поживе Каинан, по еже родити ему Малелеила, лет седмь сот и четыредесять, и роди сыны и дщери.
01050e0067	И быша вси дние Каинановы лет девять сот и десять: и умре.
01050f0066	И поживе Малелеил лет сто шестьдесят пять и роди Иареда.
01051000a3	И поживе Малелеил, по еже родити ему Иареда, лет седмь сот и тридесять, и роди сыны и дщери.
010511007a	И быша вси дние Малелеиловы лет осмь сот и девятьдесят пять: и умре.
010512005c	И поживе Иаред лет сто шестьдесят два и роди Еноха.
0105130083	И поживе Иаред, по еже родити ему Еноха, лет осмь сот, и роди сыны и дщери.
0105140074	И быша вси дние Иаредовы лет девять сот и шестьдесят два: и умре.
0105150062	И поживе Енох лет сто шестьдесят пять и роди Мафусала.
01051600a7	Угоди же Енох Богу, и поживе Енох, по еже родити ему Мафусала, лет двесте, и роди сыны и дщери.
010517005d	И быша вси дние Еноховы лет триста шестьдесят пять.
0105180065	И угоди Енох Богу, и не обреташеся, зане преложи его Бог.
0105190064	И поживе Мафусал лет сто осмьдесят седмь и роди Ламеха.
01051a00a5	И поживе Мафусал, по еже родити ему Ламеха, лет седмь сот осмьдесят два, и роди сыны и дщери.
01051b0094	И быша вси дние Мафусаловы, яже поживе, лет девять сот и шестьдесят девять: и умре.
01051c005a	И поживе Ламех лет сто осмьдесят осмь и роди сына,
01051d00d0	и нарече имя ему Ное, глаголя: сей упокоит нас от дел наших и от печали рук наших, и от земли, юже прокля Господь Бог.
01051e00a0	И поживе Ламех, по еже родити ему Ноа, лет пять сот и шестьдесят пять, и роди сыны и дщери.
01051f0070	И быша вси дние Ламеховы лет седмь сот и пятьдесят три: и умре.
0105200065	И бе Ное лет пяти сот, и роди сыны три, Сима, Хама, Иафефа.
0106010082	И бысть егда начаша человецы мнози бывати на земли, и дщери родишася им:
01060200a7	видевше же сынове Божии дщери человечи, яко добры суть, пояша себе жены от всех, яже избраша.
01060300db	И рече Господь Бог: не имать Дух Мой пребывати в человецех сих во век, зане суть плоть: будут же дние их лет сто двадесять.
0106040124	Исполини же бяху на земли во дни оны: и потом, егда вхождаху сынове Божии к дщерем человеческим, и раждаху себе: тии бяху исполини, иже от века, человецы именитии.
01060500de	Видев же Господь Бог, яко умножишася злобы человеков на земли: и всяк помышляет в сердцы своем прилежно на злая во вся дни:
0106060066	и помысли Бог, яко сотвори человека на земли, и размысли.
010607010e	И рече Бог: потреблю человека, егоже сотворих, от лица земли, от человека даже до скота, и от гад даже до птиц небесных: зане размыслих, яко сотворих я.
0106080051	Ное же обрете благодать пред Господем Богом.
0106090095	Сия же бытия Ноева: Ное человек праведен совершен сый в роде своем, Богу угоди Ное.
01060a0047	Роди же Ное три сыны, Сима, Хама, Иафефа.
01060b0068	Растлеся же земля пред Богом, и наполнися земля неправды.
01060c0096	И виде Господь Бог землю, и бе растленна: яко растли всяка плоть путь свой на земли.
01060d00e4	И рече Господь Бог Ною: время всякаго человека прииде пред Мя, яко исполнися земля неправды от них: и се, Аз погублю их и землю.
01060e00ed	Сотвори убо себе ковчег от древ (негниющих) четвероуголных: гнезда сотвориши в ковчезе, и посмолиши его внутрьуду и внеуду смолою.
01060f00d3	И тако сотвориши ковчег: трех сот лактей долгота ковчега, и пятидесяти лактей широта, и тридесяти лактей высота его.
0106100112	Собирая сводом сотвориши ковчег, и в лакоть свершиши его свыше: дверь же ковчега сотвориши от страны: обиталища двокровна и трекровна сотвориши в нем.
01061100e9	Аз же, се, наведу потоп, воду на землю, погубити всяку плоть, в нейже есть дух жизни под небесем: и елика суть на земли, скончаются.
01061200bd	И поставлю завет Мой с тобою: внидеши же в ковчег ты и сынове твои, и жена твоя и жены сынов твоих с тобою.
010613010b	И от всех скотов и от всех гад, и от всех зверей, и от всякия плоти, два два от всех введеши в ковчег, да питаеши с собою: мужеский пол и женский будут.
0106140137	От всех птиц пернатых по роду, и от всех скотов по роду, и от всех гадов ползающих по земли по роду их, два два от всех внидут к тебе, питатися с тобою, мужеский пол и женский.
01061500a7	Ты же возми себе от всех брашен, яже имате ясти, и собереши к себе, и будут тебе и оным брашно.
0106160072	И сотвори Ное вся елика заповеда ему Господь Бог, тако сотвори.
01070100b9	И рече Господь Бог к Ною: вниди ты и весь дом твой в ковчег, яко тя видех праведна предо Мною в роде сем:
01070200de	от скотов же чистых введи к себе седмь седмь, мужеский пол и женский: от скотов же нечистых два два, мужеский пол и женский:
010703010b	и от птиц небесных чистых седмь седмь, мужеский пол и женский: и от всех птиц нечистых две две, мужеский пол и женский, препитати семя по всей земли:
0107040106	еще бо дний седмь, Аз наведу дождь на землю четыредесять дний и четыредесять нощей: и потреблю всякое востание, еже сотворих, от лица всея земли.
010705005a	И сотвори Ное вся, елика заповеда ему Господь Бог.
0107060061	Ное же бе лет шести сот, и потоп водный бысть на земли.
010707009a	Вниде же Ное и сынове его, и жена его и жены сынов его с ним в ковчег, воды ради потопа.
01070800e3	И от птиц чистых и от птиц нечистых, и от скот чистых и от скот нечистых, (и от зверей,) и от всех гадов пресмыкающихся по земли,
010709009e	два два внидоша к Ною в ковчег, мужеский пол и женский, якоже заповеда (Господь) Бог Ною.
01070a0060	И бысть по седми днех, и вода потопная бысть на земли.
01070b011e	В шестьсотное лето в житии Ноеве, втораго месяца, в двадесять седмый день месяца, в день той разверзошася вси источницы бездны, и хляби небесныя отверзошася:
01070c0072	и бысть дождь на землю четыредесять дний и четыредесять нощей.
01070d00b2	В день той вниде Ное, Сим, Хам, Иафеф, сынове Ноевы, и жена Ноева, и три жены сынов его с ним в ковчег.
01070e00e9	И вси зверие земнии по роду, и вси скоти по роду, и всякий гад движущийся на земли по роду, и всякая птица пернатая по роду своему,
01070f00b0	внидоша к Ною в ковчег два два, мужеский пол и женский, от всякия плоти, в нейже есть дух животный:
0107100107	и входящая мужеский пол и женский от всякия плоти, внидоша к Ною в ковчег, якоже заповеда Господь Бог Ною: и затвори Господь Бог ковчег отвне его.
01071100ce	И бысть потоп четыредесять дний и четыредесять нощей на земли, и умножися вода и взя ковчег, и возвысися от земли:
0107120087	и возмогаше вода, и умножашеся зело на земли, и ношашеся ковчег верху воды.
0107130098	Вода же возмогаше зело зело на земли: и покры вся горы высокия, яже бяху под небесем:
0107140079	пятьнадесять лактей горе возвысися вода, и покры вся горы высокия.
01071500cf	И умре всякая плоть движущаяся по земли птиц и скотов и зверей, и всякий гад движущийся на земли, и всякий человек,
0107160066	и вся елика имут дыхание жизни, и все еже бе на суши умре.
0107170131	И потребися всякое востание, еже бяше на лицы всея земли, от человека даже до скота и гадов и птиц небесных, и потребишася от земли: и оста Ное един, и иже с ним в ковчезе.
0107180056	И возвысися вода над землею дний сто пятьдесят.
010801010b	И помяну Бог Ноа, и вся звери, и вся скоты, и вся птицы, и вся гады пресмыкающыяся, елика беху с ним в ковчезе: и наведе Бог дух на землю, и преста вода.
010802008b	И заключишася источницы бездны и хляби небесныя: и удержася дождь от небесе.
010803008d	И вспять пойде вода идущая от земли: и умаляшеся вода по сте пятидесятих днех.
0108040094	И седе ковчег в месяц седмый, в двадесять седмый день месяца, на горах Араратских.
01080500c5	Вода же уходящи умаляшеся даже до десятаго месяца: и в десятый месяц, в первый день месяца явишася верси гор.
0108060080	И бысть до четыредесятих днех отверзе Ное оконце ковчега, еже сотвори,
01080700c2	и посла врана (видети, аще уступила вода от лица земли): и изшед не возвратися, дондеже изсяче вода от земли.
0108080073	И посла голубицу по нем видети, аще уступила вода от лица земли:
0108090127	и не обретши голубица покоя ногама своима, возвратися к нему в ковчег, яко вода бяше по всему лицу всея земли: и простер руку свою, прият ю и внесе ю к себе в ковчег.
01080a006b	И премедлив еще седмь дний, паки посла голубицу из ковчега.
01080b00ee	И возвратися к нему голубица к вечеру, и имеяше сучец масличен с листвием во устех своих: и позна Ное, яко уступи вода от лица земли.
01080c00ac	И премедлив еще седмь дний других, паки посла голубицу, и не приложи возвратитися к нему потом.
01080d014e	И бысть в первое и шестьсотное лето жития Ноева, в первый день перваго месяца, изсяче вода от лица земли: и откры Ное покров ковчега, егоже сотвори, и виде, яко изсяче вода от лица земли.
01080e0070	В месяц же вторый, в двадесять седмый день месяца изсше земля.
01080f003d	И рече Господь Бог Ноеви, глаголя:
0108100083	изыди из ковчега ты и жена твоя, и сынове твои и жены сынов твоих с тобою:
010811010c	и вся звери, елицы суть с тобою, и всяку плоть от птиц даже до скотов, и всяк гад движущийся по земли изведи с собою: и раститеся и множитеся на земли.
0108120068	И изыде Ное и жена его, и сынове его и жены сынов его с ним,
01081300b9	и вси зверие, и вси скоти, и вся птицы и вси гади движущиися по роду своему на земли изыдоша из ковчега.
01081400df	И созда Ное жертвенник Господеви: и взя от всех скотов чистых и от всех птиц чистых и вознесе во всесожжение на жертвенник.
01081501cb	И обоня Господь воню благоухания. И рече Господь Бог размыслив: не приложу ктому прокляти землю за дела человеческая, зане прилежит помышление человеку прилежно на злая от юности его: не приложу убо ктому поразити всякую плоть живущую, якоже сотворих:
0108160095	во вся дни земли сеятва и жатва, зима и зной, лето и весна, день и нощь не престанут.
01090100b1	И благослови Бог Ноа и сыны его и рече им: раститеся и множитеся, и наполните землю и обладайте ею:
0109020137	и страх и трепет ваш будет на всех зверех земных (и на всех скотех земных,) на всех птицах небесных и на всех движущихся по земли и на всех рыбах морских: в руце вашы вдах (я).
0109030097	И всякое движущееся, еже есть живо, вам будет в снедь: яко зелие травное дах вам все.
0109040042	Точию мяса в крови души да не снесте.
01090500a7	Крови бо вашей, душ ваших, от руки всякаго зверя изыщу (ея): и от руки человека брата изыщу ея.
01090600a2	Проливаяй кровь человечу, в ея место его пролиется: яко во образ Божий сотворих человека.
0109070078	Вы же раститеся и множитеся, и наполните землю, и множитеся на ней.
010908004d	И рече Бог Ноеви и сыном его с ним, глаголя:
0109090060	се, Аз поставляю завет Мой вам и семени вашему по вас,
01090a00cf	и всякой души живущей с вами от птиц и от скот и всем зверем земным, елика с вами (суть) от всех изшедших из ковчега:
01090b00e6	и поставлю завет Мой с вами: и не умрет всяка плоть ктому от воды потопныя, и ктому не будет потоп водный, еже истлити всю землю.
01090c00f0	И рече Господь Бог Ноеви: сие знамение завета, еже Аз даю между Мною и вами, и между всякою душею живою, яже есть с вами, в роды вечныя:
01090d0096	дугу Мою полагаю во облаце, и будет в знамение завета (вечнаго) между Мною и землею.
01090e0071	И будет егда наведу облаки на землю, явится дуга Моя во облаце:
01090f010d	и помяну завет Мой, иже есть между Мною и вами, и между всякою душею живущею во всякой плоти, и не будет ктому вода в потоп, яко потребити всяку плоть.
0109100109	И будет дуга Моя во облаце: и узрю ю, еже помянути завет вечный между Мною и землею, и между всякою душею живущею во всякой плоти, яже есть на земли.
01091100bc	И рече Бог Ноеви: сие знамение завета, егоже положих между Мною и между всякою плотию, яже есть на земли.
0109120095	Быша же сынове Ноевы изшедшии из ковчега, Сим, Хам, Иафеф: Хам же бяше отец Ханаань.
010913006c	Трие сии суть сынове Ноевы: от сих разсеяшася по всей земли.
010914006d	И начат Ное человек делатель (быти) земли, и насади виноград:
0109150055	и испи от вина, и упися, и обнажися в дому своем.
0109160098	И виде Хам отец Ханаань наготу отца своего, и изшед вон поведа обема братома своима.
0109170121	И вземше сим и Иафеф ризу, возложиша (ю) на обе раме свои, и идоша вспять зряще, и покрыша наготу отца своего: и лице их вспять зря, и наготы отца своего не видеша.
010918007e	Истрезвися же Ное от вина, и разуме елика сотвори ему сын его юнейший,
010919006c	и рече: проклят (буди) Ханаан отрок: раб будет братиям своим.
01091a007a	И рече: благословен Господь Бог Симов: и будет Ханаан отрок раб ему:
01091b00a0	да распространит Бог Иафефа, и да вселится в селениих Симовых, и да будет Ханаан раб ему.
01091c0052	Поживе же Ное по потопе лет триста пятьдесят.
01091d0062	И быша вси дние Ноевы лет девять сот пятьдесят: и умре.
010a010095	Сия же (суть) бытия сынов Ноевых, Сима, Хама, Иафефа. И родишася им сынове по потопе.
010a02008f	Сынове Иафефовы: Гамер и Магог, и Мадай и Иован, и Елиса и Фовел, и Мосох и Фирас.
010a030053	Сынове же Гамеровы: Асханас и Рифаф и Форгама.
010a040065	Сынове же Иовани: Елиса и Фарсис, Китийстии и Родийстии.
010a0500ba	От сих разделишася острови языков (всех) в земли их: кийждо по языку в племенех своих и в народех своих.
010a060051	Сынове же Хамовы: Хус и Месраин, Фуд и Ханаан.
010a0700a4	Сынове Хусовы: Сава и Евила, и Савафа и Регма, и Савафака. Сынове же Регмановы: Сава и Дадан.
010a08005f	Хус же роди Неврода: сей начат быти исполин на земли:
010a0900b2	сей бе исполин ловец пред Господем Богом: сего ради рекут: яко Неврод исполин ловец пред Господем.
010a0a008c	И бысть начало царства его Вавилон и Орех, и Архад и Халанни на земли Сеннаар.
010a0b0074	От земли тоя изыде Ассур: и созда Ниневию, и Роовоф град, и Халах.
010a0c0070	И Дасем между Ниневиею и между Халахом: сей есть град великий.
010a0d006d	Месраин же роди Лудиима и Неффалима, и Енеметиима и Лавиима,
010a0e007d	и Патросониима и Хасмониима, отнюдуже изыде Филистиим, и Гаффориима.
010a0f0058	Ханаан же роди Сидона первенца (своего) и Хеттеа,
