2a00000007	Lúcás
2a01170069	Agus tárla dhó, an tan do coimhlionadh laéthe a mhiniosdrálachda, go ndeachaidh sé dhá thigh féin.
2a0118007b	Agus tar éis na laethesi, do toirrcheadh Elisabet a bheansân, agus do fholaigh si í féin ar feadh chuig mios, ag rádh,
2a0119008b	Oír is mar so do rinne an Tighearna rium ann sna laethibh an ar fhéuch sé oram, do thógbháil mo neimhcheana dhiom a measg na ndáoine.
2a011a0072	Agus an sa seisiodh mi, do cuireadh an taingeall Gabríel ó Dhía go cathruigh don Ghalilé, dár bainm Násaret,
2a011b007a	Dionnsuighe óighe ar a raibh ceart ag fear do thigh Dháibhí, dár aínm Ióseph; agus do bé do bainm do nóigh, Muire.
2a011c00ac	Agus ar ndul a sdeach dit hionnsuighe do naingeal, a dubhairt se, Dia do bheatha a ógh roghrásamhuil: a tá an Tighearna maille riot: is beannuighe thú eidir na mnáibh.
2a011d0094	Agus an tan do chonnairc sí é, do bhí sí ar na búaidhreadh fá na bhriathraibh, agus do bhí sí ag smúaineadh créd an ghné bheannughtheaso.
2a011e0060	Agus a dubhairt an taineal ria, Ná bíodh eagla ort, a Mhuire: óir fúair tú grása ó Dhía.
2a011f0069	Agus, féuch, bíaidh tú torrach ad bhruinn, agus béaraidh tú mac, agus do bhéara tú IOSA dainm air.
2a01200082	Bíaidh se mór, agus goirfidhear Mac an té is Airde dhe: agus do bhéura an Tighearna Día caithír Dháibhí, athar féin dhó.
2a0121005c	Agus bíaidh sé na righ ar thigh Iácob go bráth; agus ní bhía deireadh ar a ríoghachd.
2a01220059	Agus a dubhairt Muire ris a naingeal, Cionnas bhías so, óir ní bhfuil fios fir agamsa?
2a012300ca	Agus ar bhfreagra do naingeal a dubhairt se ría, Tuirléonguidh an Spiorad Náomh ort, agus foiléochaidh cumhachda an té as Airde thú: uime sin an ní náomhtha bhéaras tú goirfighear Mac Dé dhe.
2a012400a4	Agus, féuch, Elisabet do shiur, a tá sisi leis torrach air mhac ann a hárrsuigheachd: agus is sé so an seisiodh mí don mhnáoi úd, dá ngoirthear bean aimrid.
2a0125002f	Oír ní bhía ní ar bith doidhéunta do Dhia.
2a01260088	Agus a dubhairt Muire, Féuch, banóglach an Tighearna; teagmhadh dhamhsa do réir do bhréithrisi. Agus do imthigh an taingeal úaithe.
2a01270079	Agus an tan do éirigh Muire ann sna laéthibh sin, do chúaidh sí go dheíthneasach chois sléibhe, go cathraigh Iúda;
2a01280054	Agus do chúaidh sí a steach go tigh Shacharías, agus do bheannaigh si Délisabet.
2a0129009e	Agus tarla, mar do chúalaidh Elisabet beannughadh Mhuire, gur bhíog an náoidheanán ann a broinn; agus do bhí Elisábet air na líonadh don Spiorad Naomh.
2a012a0083	Agus do éigh sí do ghuth mhór, agus a dubhairt si, Is beannaighthe thú eidir na mnáibh, agus is beannaighthe toradh do bhronn,
2a012b0054	Agus cionnus do éirigh so dhamsa, go dtiocfadh matháir mo Thighearna féin chugam?
2a012c0087	Oir, féueh, comhlúath is tháinic fúaim do bheannaighthe am chlúasaibh, do bhíog an náoidheanán lé gáirdeachus ann mo bhroinn.
2a012d0065	Agus is beannaighthe au bhean do chreid: óir coimhlionfuidhear na neithe do gheall an Tighearna dhi.
2a012e0035	Agus a dubhairt Muire, Adhmolaidh manam an Tighearna,
2a012f0042	Agus do ní mo spiorad gáirdeachus a Ndía mó Shlánuightheóir.
2a01300081	Do bhrígh gur fhéuch sé ar úmhla a bhanóglaighe féin: oír, féuch, ó so súas goirfid na huile chine beannuighthe dhíom.
2a01310055	Oir do rinne an té a tá cumhachdach neithe móra dhamhsa, agos is náomhtha a ainm.
2a0132004a	Agus a tá a thrócaire ó dhíne go díne don dréim ar a bhfuil a eagla.
2a01330078	Do rinne sé gníomh láidir lé na láimh; do spréigh sé na dáoine úraibhreacha a smúaintighe a gcroidheadh féin.
2a01340061	Do tharruing sé na dáoine cumhachdacha as a gcaithiribh, agus do árduigh sé na dáoine umhla.
2a0135006a	Do líon sé na dáoine ocracha lé, neithibh maithe; agus do chuir sé úadh na dáoine saidhbhre folumh.
2a0136005b	Do thóg sé súas Israél a shearbhfhoghantuidhe féin, do chuimhniughadh ar a thrócaire;
2a01370053	(Mar do labhair sé ré ar naith-reachuibh, Abraham, agus ré na shíol go bráth.)
2a01380057	Agus do fhan Muire na fochair timcheall thrí míos, agus do fhill sí dhá tigh féin.
2a0139004f	Agus táinic ionbhuidh Elisabet ion ar mhídhid dhigh breath; agus rug sí mac.
2a013a009f	Agus do chúaladar a comharsain agus a dáoine gáoil, gur fhoillsigh an Tigh­earna a thrócaire mhór féin di; agus do rinneadar gáirdeachus má ráon ria.
2a013b00a5	Agus tárrla, go dtangadar air a nochdmhadh lá do chum go ndéanaídís an náoidhe do thimcheallghearrádh; agus do ghoireadar Sacharias de, do reir anma a athair.
2a013c0062	Achd ar bhfreagra dhá mháthair a dubhairt sí, Ni hámhluidh bhías; achd Eóin goirfidhear dhe.
2a013d0054	Agus a dubhradar ría, Ní bhfuil éannduine dod chineadh dá ngoirthear an tainmsi.
2a013e0058	Agus do rinneadar comhartha dhá athair, créd an tainm bá mían leis do thabhairt air.
2a013f0081	Agus ar níarruidh cláir sgriobhtha dhosan, do sgríobh sé, ag rádh, Is Eóin is ainm dhó. Agus do ghabh iongantus íad uile.
2a0140005d	Agus ar an mball do hosgladh a bhéulsan, agus a theanga, agus do labhair sé, ag moladb Dé.
2a01410075	Agus do ghabh eagla a gcomharsuin uile: agus do haithriseadh na neithe so uile chois tsléibhe thíre Iúdaighe uile.
2a014200bd	Agus gach uile dhuine dhá gcúalaidh sin, do chuireadar a dtaisgidh an a gcroidh­thibh féin iad, ag rádh, Créd é an sórt leinibh bhias so! Agus do bhí lámh an Tighearna maille ris.
2a01430067	Agus do bhí Sacharías athair, lán don Spíorad Náomh, agus do rinne sé faidheadóireachd ag rádh,
2a0144006e	Go madh beannaighe au Tighearna Día Israel; ar son gur fhiosruigh sé agus gur fhúasgail sé a phobal féin,
2a01450064	Augs do thóg sé súas adharc na sláinte dhúinne a dtigh Dháibhi a shearbh­fhoghantuidhe féin;
2a01460067	Do réir mar do labhair sé tré bhéul a fháidheadh náomhtha féin, do bhí ann ó thús an domáin:
2a01470069	Ga gcuimhdéochadh sé sinn ó ar ­naimhdibh, agus ó láimh gach uile dhuine agá bhfuil fúath dhuinn;
2a0148006d	Go ndéanadh sé trócaire air ar naith­reachuibh, agus go gcuimbnéochadh sé a thiomna náomhtha féin; ­
2a0149005a	Agus ar an mionna lé a dtug sé móid Dábrahám ar nathairne, go dtiubhradh sé dhúinn,
2a014a0064	Go mbémís gan eagla air ar sáoradh ó láimh ar námhad do chum seirbhisi do déanamh dhó féin,
2a014b0058	A náomhthachd agus a bhfíréantacld na fhíadhnuisiséan, a laéthibh ar mbeatha uile.
2a014c0087	Agus tusa, a leinibh, goirfithear diot faídh an té as Airde: óir rachuidh tú roimh aghaidh an Thighearna dullmhughadh a shligheadh;
2a014d004a	Do thabhairt éolus na sláinte dá phobal tré mhaitheamhnus na bpeacadh,
2a014e005c	Tré thrócaire ro mhóir ar Ndia féin; lér fhiosruigh sé sinn ag éirghe ón ionad árd,
2a014f0090	Do thabhairt soillsi don droing do bhí na suidhe a ndorchadas agus a sgáile ­an bháis, agus do dhíorghadh ar gcos a slighe na síothchána.
2a0150009c	Agus do fhás an leanabh, agus do neartuigheadh é a spíoruid, agus do bhí sé ar na fásuighibh go soithe an lá an ar fhoillsigh sé é féin Dísraél.
2a02010067	Agus tárla ann sna láethibh sin, go ndeachuidh áithne ó Shéasar Augustus, an domhan uile do mheas,
2a02020054	(Ag so an céudmheas do rinneadh an tan do bhi Sirénius na úachdarán ar Shíria.)
2a0203004b	Agus do chúadar eile dhá meas, gach áon fá leith dhá chathruigh féin,
2a020400d6	Agus do chúaidh Ióseph mar an gcéudna súas ón Ghalilé, as an gcathraigh Nasarét, go tír Iúdaighe, go cathruigh Dhaibhi, dá ngoirthear Bétleem; do bhrígh go raibh sé do thigh agus do shliochd Dháibhí:
2a02050064	Ionnus go measfuigh é maille ré Muire do bhi ar na ceangal ris mar mhnáoi, ar mbeith dhi torrach.
2a0206004e	Agns tárla, ar mbeith dhóibh ann sin, go dtangadar laéthe a hionbhuidhsean.
2a020700b2	Agus rug sí mac a céudduine cloinne, agus do chuir sí giobuil cheangail na thimcheall, agus do chuir sí na luighe a mainséur é; do bhrígh nach raibh ait aca sa tigh ósda.
2a02080071	Agus do bhádar áodhairidhe sa dúithche sin na gcomhnuidhe a muigh, agns ag déanamh faire oidhche ar a dtréd.
2a0209008f	Agus, féuch, do sheas aingeal an Tighearna láimh léo, agus do shoillsigh ghlóir an Tighearna na dtimcheall: agus do ghabh eagla mhór íad.
2a020a009c	Agus a dubhairt an taingeal riú, Na bíodh eagla oruibh: óir, feuch, a táim ag soisgéulughadh dhíbh gáirdeachus mór, noch bhías do gach uile phobal.
2a020b0066	Oír rugadh an Slánuightheoir dháoibh a niu, (éadhon Críosd an Tighearna,) a gcathruigh Dháibhí.
2a020c0069	Agus ag so comhartha dhíbh; Do ghéubhtháoi an leanabh ceanguilte a ngiobluibh, na luighe a mainnséur.
2a020d0070	Agus do bhí go hobann cuideachda mhór do shlúagh neamhdha a bhfochair an aingil ag moladh Dé, agus ag rádh,
2a020e005f	Glóir do Dhía ann sna hárduibh, agus síodhcháin ar an dtalamh, deaghthoil do na dáoinibh.
2a020f00d6	Agus tárla, mar do imthigheadar na haingil úatha ar neamh, go ndubhradar na háodhairidhe ré chéile, Imthigheam anois don Bhetléem, agus féucham an ní so do rinneadh, noch do fhoillsigh an Tighearna dhúinn.
2a02100069	Agus tangadar go deithneasach, agus fuaradar Muire agus Ióseph, agus an náoidhe na luighe a mainnséur.
2a02110064	Agus an tráth do chonncadar sin, do aithriseadar an ní a dubhradh riú a dtimcheall an leinibhsin.
2a02120072	Agus na huile dháoine da gcúalidh so do ghabh iongantus íad fá na neitheibh a dubhradar na háodhairidhe ríu.
2a02130050	Achd do thaisgidh Muire na bríath­rasa uile, dá mbreathnughadh ann a croidhe.
2a0214008f	Agus do fhilleadar na háodhairidhe, ag tabhairt glóire agus ag moladh Dé tré gach ní da gcúaladar agus da bhfacadar, mar a dubhradh riú.
2a021500b0	Agus an tan do coimhlíonadh ochd lá chum an leinibh do thimcheallgherradh, tugadh' IOSA mar ainm air, éadhon an tainm do ghoir an taingeal de suil do gheineadh a mbroinn é.
2a0216008e	Agus an tan do coimhlíonadh laéthe glanta Mhuire do réir reachda Mháoisi, rugadar léo go Hiarusaléim é, da thaisbéanadh don Tighearna;
2a02170076	(Mar a tá scriobhtha a reachd an Tighearna, Gach céudghein mhic thuismeas brú bíaidh sé náomhtha don Tighearna;)
2a02180075	Agus do thabhairt ofrála, do réir mar a dearthar a reachd an Tighearna, Cúpla turtair, nó dha gheirrceach coluim.
2a021900b7	Agus, féuch, do bhí duine a Níarusaléim, dár bhainm Símeon; agus do bhí an fearso comhthrom diadha, agus a shúil ré comhfhurtachd Israel: agus do bhí an Spíorad Náomh ann,
2a021a0072	Agus do fhoillsigh an Spiorad Náomh dhó, nach bhfaicfeadh sé bás, nó go bhfhaicfeadh sé Criosd an Tighearna,
2a021b00bf	Agus táinic sé maille ré tréoir na Spioraide don teampoll: agus an tan thug a athair agus a mháthair an leanabh Iósa, do chum go ndéanaídis ar a shon do réir gnáthuighthe an dlighe,
2a021c005a	Ann sin do ghabh seision chuige ann a uchd é, agus do mhol sé Día, agus a dubhairt sé,
2a021d006b	A Thighearna, a nois leigeas tú dod shearbhfhoghantuidhe imtheachd a síodhchain, do réir tfhocail féin:
2a021e0030	Oir do chonncadar mo shúile do shlánughadhsá,
2a021f0036	Noch do ullmhuigh tú a bhfíadhnuisi na nuile phobal.
2a02200056	Solus do dhéunadh soillsi do na Cineadhachuibh, agus glóir do phobail féin Israél.
2a0221005f	Agus do ghabh iongantus Ióseph agus a mháthairsion fá na neithibh a dubhhradh na thimcheall.
2a022200da	Agus do bheannuigh Símeon íad, agus a dubhairt sé ré Muire a mhathairsion, Féuch, a tá sé so ar na órdughadh do chum tuitme agus eiséirghe mhóráin a Nisraél; agus na chomhartha agá gcuirfithear na aghaidh;
2a02230081	(Agus fós, rachaidh cloidh éamh tré thanamsa mar an gcéudna,) do chum go nochdfuidhe smúaintighthe as mórán do chroidhibh.
2a022400b1	Agus fós do bhí Anna, banfháidh, inghean Phánuel, do threibh Aser: do bhi aois mhór aiceso, tár éis seachd mblíadhna do chaitheamh dhi ag fear a ndiáigh a maighdeannis;
2a022500d7	Agus ar mbeith na baintreabhuigh a dtinicheall cheithre mblíadhan agus cheithre tichid dhi, níor fhág sí an teampoll, achd ag déunamh seirbhísí do Dhía do ló agus doidhche le trosgadh agus lé húrnuighthe.
2a0226008f	Agus táinic so do láthair ar an úair gcéudna agus dadmhuigh sí na thimcheall ré gach áon agá raibh súil ré fúasgladh an Iarusaléim.
2a02270086	Agus mar do chríochnuigheadar gach uile ni do réir reachda an Thighearna, do fhilleadar don Ghalilé, da gcathruigh féin Násarét.
2a02280080	Agus do fhás an macaomh, agus do neartuigheadh é a spioraid, agus do bhí sé lán deagna: agus do bhí grása Dé maille ris.
2a0229006d	Agus do ghnáthuigheagh a athair agus a mháthair dul gach a blíadhna go Híarusaléim a sollamuin na cásg.
2a022a006f	Agus ar mbeith dhá bhliadhan déug dho, do chuadar suas go Híarusaléim, do réir ghnáthuighthe na sollamna.
2a022b0094	Agus are geríochnughadh na, láetheadh sin, an tan do fhilleadarsan, dfan anleanabh Iósa a Níarusaléim; gan fhios do Ióseph ná dhá mháthair.
2a022c008e	Agus, an tan do shaóileadar go raibh sé na gcuideachda, do shiobhladar asdar laoi; agus diarradar é a measg a ndaoine gaoil agus aitheanta.
2a022d0055	Agus an tan nach bhfúaradar é, do fhilleadar arís go Híarusaléim, dhá iarruigh.
2a022e009a	Agus tárla, trí lá dá éis sin, go bhfúaradar é ann sa teampoll, na shuidhe a measg na ndoctúireadh, ag éisdeachd ríú, agus ag cur cheasd ortha.
2a022f0065	Agus do ghabh iongnadh gach uile dhuine dá gcúalaidh é fá na thuigsin agus fá na fhreagarthaibh.
2a023000c5	Agus ar na fhaicsin dóibh, do ghabh úathbhás iad: agus a dubhairt a mháthair ris, A mhic, créd fá ndearna tú mar so rinn? Féuch, do bhí misi agus dathair lán do dhobhron dod lordaireachd.
2a023100a5	Agus a dubhairt seision ríu, Créd fá rabhabhair dom lorgaireachdsa? An né nach raibh a fhios agaibh gur bhéigin damhsa bheith ag déanamh ghnódhaighthe Mathar?
2a02320038	Achd níor thuigeadarsan na briathra do labhair se ríu.
2a0233009d	Agus do chuáidh sé léo síos, agus táinic sé go Násaret, agus do bhí sé umhal dóibh: agus do thaisgidh a mháthair na briathra so uile an a croidhe.
2a0234005c	Agus dó bhí Iósa ag fás an eagna, agus a naóis, agus a ngean ag Día agus ag daóinibh.
2a0301012e	Agus an-cuigeadh bliadhan déug dimpireachid Thibérius Séasar, ar mbeith do Phonsius Phioláid na úachdarán a ttir Iúdáighe, agus Ioruáith na théatrarc sa Ngalilé, agus Philip a dhearbhrathair na théatrarc air Ituréa agus air chrích Thrachonítis, agus Lísánias na thetrarch air Abiléne,
2a03020078	An tan do bhí Annas agus Caiphás na nárdshagartuibh, tháinic bríathar Dé chum Eóin mhic Sacharías san bhfásach.
2a03030088	Uime sin tháinic sé ar feadh na dúithche a dtimcheall Iórdan, ag seanmóir bhaisdigh na haithrighe chuin maithmbeachuis na bpeacadh;
2a030400b0	Mar a tá sgríobhtha a leabhar comhráidhteagh Esaías fáidh, a deir, Guth an té éighmheas ar an bhfásadh, Ullmhuighidh slighe an Tighearna, déanuidh a chasáin díreach.
2a03050090	Líonfuidhear gach uile ghleann, agus ísleochthar gach uile sliabh agus chnoc; agus béid na neithe cama díreach, agus na slighthe garba mín;
2a0306002f	Agus do chífi gach uile fheoil slanughadh Dé.
2a030700be	Uime sin a dubhairt sé rís a tslúagh tháinic a mach do chum go mbaisdfeadh seisean íad: A shliochd na naithreach neimhe, cía thug rabhadh dhaóibh teitheadh ón fheirg a tá ag teachd?
2a030800fb	Ar a nadhbharsin tabhraidh tórrtha bhus iomchubhaidh don naithrighe úaibh, agus ná tionsgnaidh a rádh ionnaibh féin, A tá Abraham na athair aguinn: oír a deirimsi ribh, Gur ab éidir lé Dia clann do dhúsachd as na clochmibhse féin D'abraham.
2a030900ae	Agus a tá an tuáigh a nois fós ar na cur chum fréimhe na gcrann: ar a nadhbharsin gach uile chrann nach dtabhair toradh maith gearrthar é, agus teilgthear sa teinidh é.
2a030a0056	Agus do fhíafruigh an slúagh nile dhe, ag rádh, Ar a nadhbharsin créud do dheunam?
2a030b00b2	Agus ar bhfreagra dhósan a dubhairt sé ríu, An té agá bhfuil dá chóta, roinneadh ris an té ag nach bhfuil; agus gidh bé agá bhfuil bíadh, déanadh sé mar an gcéudna.
2a030c0087	Agus tangadar na puibliocáin mar an gcéudna ionnus go mbaisdfidhe íad, agus a dubhradar ris, A mhaighisdir, créud do dhéunáimné?
2a030d0054	Agus a dubhairt seision ríu, Na déunuidh ní sa mhó ná do horduigheadh dhaóibh.
2a030e0104	Agus do chuireadar na saighdiúirígh fós ceisd air, ag rádh, Agus créad do dhéunuimne? agus a dubhairt seisean ríu, Ná déunaidh foiréigean ar dhuine ar bith, agus ná hagraidh duine ar bith go heugcórach agus go madh lór libh bhur dtúarasdal féin.
2a030f0088	Agus ar mbeith ag feitheamh don phobal, agus ag smúainiughadh dhóibh uile an a gcroidhthibh a dtimcheall Eóin, nar bheisean Chríosd,
2a031000f5	Do fheagair Eóin, ag rádh ríu uile, Baisdeamsa sibh go deimhin lé huisge; achd a tá neach is nearthmhuire ná misi ag teachd, ag nach fiú mé íallach a bhróg do sgáoileadh: baisdfidh seision sibh leis an Spiorad Náomh agus lé teinidh:
2a031100c4	Aga bhfuil a chríathar an a láimh, agus glanfidh sé a urlár féin, agus cruinnéochuidh sé an chruithneachd dá sgiobol féin; achd loisgfidh sé an cháith lé teine nách eidir a mhúchadh.
2a0312004f	Agus ag teagasg mhóráin eile fós dó do mhinigh sé an siosgéul don phobal.
2a0313008f	Agus ar gcur an aghaidh Iórúaith an Téatrarca dhó, fá Heródias bean Philip a dhearbhrathar, agus fá gach uile olc dá ndearna Iorúaith,
2a03140051	Do chuir sé so leis do bhárr ar gach ní, gur dhúin sé ar Eóin a bpríosún.
2a03150085	Agus tárla, an tan do baisdeadh an pobal uile, agus do bhí Iósa agá bhalsdeadh, agus ag déanamh úrnaighthe, gur bosgladh neamh,
2a031600b5	Agus gur thuirrling an Spiorad Náomh a bhfioghair chorpardha mar cholum air, agus do dtáinic guth ó neamh, ag rádh, Is tú mo Mhac grádhachsa; is ionnadsa a tá mo dheaghthoil.
2a03170098	Agus do bhí Iosa féin a dtimchioll a dheichmblíadhan fichead dáois, ar mbeith (do réir bhreathnuighthe na ndáoine) na mbac ag Ióseph, mhic Héli,
2a03180040	Mhic Matthat, mhic Lébhi, mhic Melchi, mhic Ianna, mhic Ioseph,
2a0319003d	Mhic Matatías, mhic Amos, mhic Náum, mhic Esli, mhic Nagge,
2a031a0042	Mhic Máat, mhic Matatías, mhic Sémei, mhic Ióseph, mhic Iúda,
2a031b0045	Mhic Ioanna, mhic Résa, mhic Sorobábel, mhic Salatíel, mhic Néri,
2a031c003c	Mhic Melchí, mhic Addi, mhic Cósam, mhic Elmodam, mhic Er,
2a031d0042	Mhic Ióse, mhic Eliéser, mhic Iórim, mhic Matthat, mhic Lébhi,
2a031e0043	Mhic Siméon, mhic Iúda, mhic Ióseph, mhic Iónan, mhic Eliácim,
2a031f0043	Mhic Meléa, mhic Mainán, mhic Matata, mhic Nátan, mhic Dháibhi,
2a03200040	Mhic Iessé, mhic Ohéd, mhic Boós, mhic Salmon, mhic Náasson,
2a03210040	Mhic Aminadab, mhic Aram, mhic Esrom, mhic Pháres, mhic Iúdah,
2a03220040	Mhic Iácob, mhic Isaac, mhic Abraham, mhic Tará, mhic Náchor,
2a0323003f	Mhic Sáruch, mhic Rágu, mhic Phálec, mhic Héber, mhic Salá
2a0324003f	Mhic Cáinan, mhic Arphcsad, mhic Sem, mhic Noé, mhic Lámedh,
2a03250046	Mhic Matúsala, mhic Enoch, mhic Iáred, mhic Maleléel, mhic Cáinan,
2a0326002e	Mhic Enos, mhic Séth, mhic Adhaimh, mhic Dé.
2a0401008c	Agus ar mbeith Diosa lán don Spiorad Náomh, do fhill sé tar a ais ó Iórdan, agus do tréornigheadh leis an Spioruid ar an bhfásach é,
2a040200a9	Feadh dhá fhichead lá an díabhal ag cur chathuighthi air. Agus níor ith sé uí ar bith ann sna laéthibh sin: achd ar na gcríochnnghadh, ann sin do ghabh ocras é.
2a0403005b	Agus a dubhairt an Díabhal ris, Más tú Mac Dé, abair ris an gcloichsi bheith na harán.
2a04040088	Agus do fhreagair Iósa é, ag rádh, A tá sgríobhtba, Nach lé harán a mháin mhairfios an duine, achd lé gach uile bhréithir Dé.
2a04050080	Agus an tan do thréoruigh an díabhal é, ar shlíabh árd, do thaisbén sé ríoghachda na talmbum uile dhó moimeint daimsir.
2a040600a0	Agus a dubhairt an diabhal ris, Do bhéara misi na cumhachda so uile dhuit, agus a nglóir: óir do tugadh dhamshsa í; agus do bheirim í don tí as toil leam.
2a04070041	Ar a nadhbharsin má adhrán tusa dhamhsa, budh leachd íad uile.
2a040800c1	Agus ar bhfreagra Díosa a dubhairt sé ris, Imthigh úaim, a Shátain: óir a tá sgríobhtha, Do dhéana tú do Thighearna Día féin dadhradh, agus is dó na áonar do dhénna tú seirbhís.
2a040900a2	Agus do thréoruigh sé é go Híarusalím agus do shuighidh sé é ar bheinn an teampoill, agus a dubhairt sé ris, Mas tú Mac Dé teilg thú féin síos as so:
2a040a0060	O'ir a tá sgriobhtha, Do bhéura sé áithne dhá áinglibh ad thimcheall, thusa do choimhéud:
2a040b0060	Agus toigéubhuid eidir a lámhuibh thú, deagla go mbuailfea do chos fá chloich úair ar bith.
2a040c0073	Agus ar bhfreagra Díosa a dubhairt sé ris, A dubhradh, Ni chuirfe tú cathughadh ar an Dtighearna do Dhía féin.
2a040d005e	Agus ar ccur críche ar a chathuighthibh uile don díabhal, dtág sé eisean ar feadh tamuill.
2a040e0080	Agus dó chas Iósa maille ré cumhachdaibh na Spíoruide don Ghalilé: agus do chúaidh a chlú ar feadh na tire na thimcheall.
2a040f0059	Agus do theaguisg sé ann a síonagógaibh súd, ag fagháil glóire ó gach uile dhuine.
2a041000bc	Agus táinic sé go Násaret, mar ar hoilleagh é: agus, do chúaidh sé a steach mar budh gnath leis, lá na sábboide don tsinagóig, agus do éirigh sé na sheasamh do leughthóireachd.
2a04110079	Agus tugadh leabhar Esáias fáidh dhó, agus an tan do osgail sé an leabhar, fuair se an tionad an a raibh sgríobhtha,
2a0412014c	Ta Spíorad an Tíghearna oramsa, tré gur ong sé mé do chuir sé úadh mé do sheanmóir an tsoisgél do na bochdoibh, do shlánughadh na ndáoine agá bhfuilid croidhthe brúidhte, do sheanmóir fúasgalta do na braighdibh agus do da dalluibh aisioc a radhairc, agus do tabhairt sáoirsi don mhuinntir a tá ar na gcombrúghagh,
2a04130034	Do sheanm; óir bhadhna fhorbháiltigh an Tighearna.
2a041400a7	Agus ar ndúnagh an leabhair dhó, agus ar na tabhairt arís don ghiolla, do shuidh sé. Agus do bháda suile a raibh ann sa tsínagoig uile ag féachain air go géur.
2a0415006d	Agus do thionnsgain sé a rádh ríu, niugh a tá an sgiobtúirso ar na choimhlíonadh an bhur gclúasuibhsi.
2a041600ab	Agus do rinneadar uile fiadhnuisi leis, agus do bhí iongantus aca ann sna combráitibh grásamhla do thigeadh as a bhéul. Agus a deirdís, An né nach é so mac Ióseph?
2a041700dc	Agus a dubhairt sé ríu, Déara sibh rium gan ambarus an seanfhocalsa, A líagh, leighis thú féin: leitheid na neitheadh do chúalamar do rinne tú a Gcapernáum, déana mar an gcéudna ann so ad dhúithche féin íad
2a04180062	Agus a dubhairt seision, A deirim ribh go deimhin, Nách bhfuil cion ar fháidh ann a thír féin.
