0100000008	Suencuek
010201004e	Te tlam te vaan rhoek khaw, diklai khaw, amih kah caempuei boeih khaw a coeng.
010202006f	Pathen loh amah kah a bi saii te hnin rhih neh a coeng tih a hnin rhih vaengah a bibi saii boeih te a duem tak.
0102030088	Te phoeiah Pathen loh a rhih khohnin te yoethen a paek tih te te a ciim. Te vaengah Pathen tah saii ham a suen a bibi boeih lamloh duem.
0102040061	He tah BOEIPA Pathen loh diklai neh vaan a saii tue ah a suen vaan neh diklai kah a rhuirhong ni.
01020500c4	Te vaengah BOEIPA Pathen loh diklai la kho a tlan sak hlan dongah kohong kah tangpuem boeih khaw diklai ah poe hlan. Te dongah lohma kah baelhing boeih daih hlan tih lo tawn ham hlang ana om pawh.
0102060041	Tedae diklai lamkah tuihu ha thoeng tih diklai hman boeih a suep.
01020700a0	Te phoeiah BOEIPA Pathen loh diklai lamkah laipi te hlang la a hlinsai. Te phoeiah hingnah hiil te a hnarhong ah a ueng pah tih aka hing tongpa hinglu la coeng.
0102080058	Te dongah BOEIPA Pathen loh khothoeng kah Eden ah dum a hlo tih a hlang saii te a khueh.
010209009c	BOEIPA Pathen loh diklai lamkah thing mueimae then neh caak then boeih te a poe sak tih dum kah laklung ah hingnah thing neh a thae a then mingnah thing om.
01020a0068	Te vaengah dum aka suep ham Eden lamkah tuiva long tih te lamkah a phih uh vaengah tuisae pali la coeng.
01020b004a	Lamhma kah a ming tah Pishon tih sui aka om Havilah khohmuen tom la a ken.
01020c0048	Te khohmuen kah sui tah then tih thingpi neh oitha lungto khaw pahoi om.
01020d004d	Te phoeiah tuiva pabae kah a ming tah Khusah khohmuen boeih aka hil Gihon ni.
01020e0074	Te phoeiah tuiva a pathum kah ming tah khothoeng Assyria la aka long Khiddekel ni. Tuiva a pali nah tetah Perath ni.
01020f0064	Te phoeiah BOEIPA Pathen loh hlang te a loh tih Eden dum ah thotat ham neh dum aka hung ham a khueh.
010210005e	Te dongah BOEIPA Pathen loh hlang taengah a uen tih, “Dum kah thingkung boeih te caak la ca.
0102110082	Tedae a then neh a thae mingnah thingkung lamkah te ca boeh. Te te na caak hnin vaeng lamloh na duek rhoe na duek ni,” a ti nah.
0102120085	Te vaengah BOEIPA Pathen loh, “Hlang he amah bueng tah om ham then pawh anih ham amah neh a naii uh la bomkung ka saii ni,” a ti.
01021300e4	Te dongah BOEIPA Pathen loh diklai lamkah, a hlin a sai kohong mulhing boeih neh vaan kah vaa boeih soah metla a khue te hmuh ham khaw, hlang loh a khue boeih te tah mulhing hinglu ming la om sak ham khaw, hlang taengla a khuen.
010214008d	Te dongah hlang loh rhamsa boeih khaw, vaan kah vaa te khaw, kohong kah mulhing khaw, ming a paek dae Adam neh aka tiing la bomkung hmu pawh.
0102150092	Te dongah BOEIPA Pathen loh tongpa te muelh a ih sak. A ih vaengah a vaerhuh pakhat te a loh pah phoeiah a pumsa kah a hma te tloep a saibawn sak.
0102160066	Te phoeiah BOEIPA Pathen loh tongpa lamkah a loh vaerhuh te huta la a saii tih tongpa taengla a khuen.
0102170098	Te vaengah tongpa loh, “Tahae kah he ka rhuh lamkah ka rhuh, ka saa lamkah ka saa ni. Anih he tongpa lamkah a loh dongah huta tila ka khue ni,” a ti
0102180079	Te dongah tongpa loh a napa neh a manu te a toeng ni. Te phoeiah a yuu taengla khoem uh vetih pumsa pakhat la om rhoi ni.
0102190046	Te vaengah tongpa neh a yuu tah pumtling la om rhoi dae yak rhoi pawh.
01030100cc	Te vaengah BOEIPA Pathen loh a saii kohong mulhing boeih lakah rhul te tah thaai tih, huta taengah, “Pathen loh, ‘Dum kah thingkung te khat khaw na ca rhoi mahpawh,’ a ti tatak ngawn a?” a ti nah.
0103020049	Te dongah huta loh rhul taengah, “Dum thing thaih te ka caak rhoi thai.
0103030080	Tedae Pathen loh, 'Dum laklung kah thing thaih te ca rhoi boeh, taek rhoi boeh, te dongah na duek rhoi ve,’ a ti,” a ti nah.
0103040042	Tedae rhul loh huta taengah, “Na duek rhoe na duek rhoi mahpawh.
010305009c	Te te na caak rhoi khohnin ah na mik khaw tueng vetih a thae a then ming nah khaw Pathen bangla na om rhoi ni tila Pathen loh a ming dongah ni,” a ti nah.
01030600de	Huta long khaw caak ham koi thing then la, mik ham khaw hoehhamnah koi la a hmuh. Te vaengah a lungming la om ham thing te a nai. Te dongah a thaih te a loh tih a caak. Te phoeiah a taengkah a va te khaw a paek tih a caak.
010307009f	Te phoeiah amih rhoi kah mik te bok tueng tih pumtling la a om rhoi te a ming rhoi. Te dongah thaibu hawn te a hui rhoi tih amamih rhoi ham hni la a saii rhoi.
01030800b8	BOEIPA Pathen kah ol tah te khohnin kah khohli neh dum khuiah a caeh te a yaak rhoi. Te dongah Adam neh a yuu tah BOEIPA Pathen mikhmuh kah, dum lamloh thingkung lakli ah thuh uh rhoi.
010309005a	Tedae BOEIPA Pathen loh hlang tongpa te a khue tih a taengah, “Melam na om,” a ti nah.
01030a0060	Tongpa loh, “Dum ah na ol ka yaak dae kai pumtling dongah ni ka rhih tih ka thuh,” a ti nah.
01030b0094	Te dongah Boeipa loh, “Nang pumtling ni tila nang taengah ulae aka puen? Caak ham moenih tila nang kan uen thingkung te na caak nama?” a ti nah.
01030c0085	Te vaengah tongpa loh, “Huta te kai taengah nan paek coeng ta, anih loh thing te kai taengah m'paek dongah ni ka caak,” a ti nah.
01030d0090	Te dongah BOEIPA Pathen loh huta te, “Hekah he metlam na saii,” a ti nah hatah huta loh, “Rhul loh kai n'rhaithi tih ka caak,” a ti nah.
01030e00e6	Te dongah BOEIPA Pathen loh rhul taengah, “Hetla na saii dongah nang tah rhamsa boeih lakah khaw, kohong kah mulhing boeih lakah khaw, thaephoei thil la na om coeng. Na bung neh na colh vetih na hing tue khuiah laipi na caak ni.
01030f00d8	Nang laklo neh huta laklo ah khaw, nang kah tiingan laklo neh anih kah tiingan laklo ah khaw, thunkha thunhling ka khueh vetih anih loh na lu ham phop ni. Nang long khaw anih kah khomik te na tuk pah ni,” a ti nah.
01031000d0	Pathen loh huta taengah, “Na thatlohnah neh na rhumpum te ka pungtai rhoela ka pungtai sak ni. Patangnah neh camoe na cun ni. Na lungdueknah te na va ham vetih anih loh nang soah n'taemrhai ni,” a ti nah.
01031100ef	Adam te khaw, “Na yuu ol te na hnatang nah. Te dongah, 'Ca boeh ka ti, ' tih nang kan uen lalah, thingkung lamkah te na caak. Te dongah diklai he nang kong ah thae ka phoei thil coeng. Na hing tue khuiah thatlohnah nen ni buh na caak eh.
010312004a	Hling neh lota khaw nang ham daih vetih kohong kah baelhing te na caak ni.
010313008c	Na talung kah hlantui loh diklai la na bo sak daengah ni buh na caak eh. Laipi lamkah nang n'loh dongah laipi la na bal van ni,” a ti nah.
010314005d	Te phoeiah Adam yuu te aka hing boeih kah a manu la a om ham dongah a ming te Eve tila a sui.
010315006f	Te daengah BOEIPA Pathen loh Adam ham neh a yuu ham maehpho angkidung te a saii pah tih amih rhoi te a bai sak.
01031600d6	Te phoeiah BOEIPA Pathen loh, “Hlang he a then khaw a thae khaw ming ham mamih khuikah pakhat phek la ha om coeng he. Tahae ah a kut a yueng tih hingnah thing khaw a loh dongah kumhal hing ham ca lah ve,” a ti.
0103170066	Te dongah BOEIPA Pathen loh anih te Eden dum lamkah a tueih. Te lamkah ni khohmuen aka tawn ham a loh.
0103180096	Hlang te khaw a haek coeng tih hingnah thingkung longpuei aka hung ham cherubim neh hmaitak cunghang aka tinghil te Eden dum kah khothoeng ah a khueh.
0104010082	Te phoeiah Adam loh a yuu Eve te a ming. A yuu khaw vawn tih Kain te a cun hatah, “BOEIPA taengkah hlang ka dang coeng,” a ti.
0104020074	Te phoeiah Kain kah a mana Abel te pahoi a cun. Te vaengah Abel tah boiva aka dawn la om tih Kain tah lo tawn la om.
0104030055	A bawtnah khohnin ah BOEIPA taengah khosaa la diklai kah a thaih te Kain loh a khuen.
0104040084	Tedae Abel long tah amah kah boiva cacuek neh aka tha te a Khuen van. Te dongah BOEIPA loh Abel so neh anih kah khosaa te a uem pah.
0104050060	Tedae Kain neh anih kah khosaa te a uem pah pawt dongah Kain te mat sai tih a maelhmai khaw tal.
0104060066	Te dongah BOEIPA loh Kain taengah “Nang te balae tih na sai? Te phoeiah balae tih na maelhmai a tal?
01040700ad	Doe hamla a then mai moenih a? Na then pawt dongah ni thohka ah tholhnah a kol mai. Tedae a lungdueknah te nang ham om mai cakhaw namah loh a soah taemrhai saw,” a ti nah.
0104080072	Tedae Kain loh a mana Abel te kohong la a khue tih a om rhoi vaengah Kain loh a mana Abel te a hnueih tih a ngawn.
010409008b	Te dongah BOEIPA loh Kain taengah, “Na mana Abel ta?” a ti nah hatah Kain loh, “Ka ming pawh. Kai loh ka mana ka dawn a?” a ti nah.
01040a0065	Te vaengah BOEIPA loh, “Balae na saii? na mana thii ol loh diklai lamkah kai taengla ha pang coeng.
01040b0076	Te dongah nang kut lamkah na manuca kah thii aka duen ham a ka aka ang diklai lamloh nang tah thae m'phoei thil coeng.
01040c008b	Khohmuen te na tawn vaengah nang taengah a thadueng paek ham koei mahpawh. Diklai ah aka hinghuen tih aka rhaehba la na om ni,” a ti nah.
01040d004f	Tedae Kain loh BOEIPA taengah, “Kai kathaesainah te phueih ham lakah len aih.
01040e00cd	Tihnin ah kai he diklai hman neh namah hmuh lamkah nan haek dongah ka thuh uh ni. Tedae aka poeng aka doe ka om phoeiah diklai ah ka pamdah cakhaw kai aka hmu boeih loh kai n'ngawn pawn ni he,” a ti nah.
01040f00c1	Tedae BOEIPA loh anih taengah, “Kain aka ngawn boeih te tah voei rhih due phulo saeh,” a ti nah. Te dongah anih aka hmu boeih loh anih te ngawn pawt ham Kain soah BOEIPA loh miknoek a paek.
0104100063	Te dongah Kain tah BOEIPA mikhmuh lamkah cet tih Eden kah khothoeng ben Nodi khohmuen ah kho a sak.
010411009a	Te vaengah Kain loh a yuu te a ming. Te dongah pumrhih tih Enok te a cun. Te vaengkah khopuei a thoong tih khopuei ming te a capa ming Enok kho la a khue.
010412007a	Te phoeiah Enok loh Irad a sak tih Irad loh Mahujael a sak. Mahujael loh Methusael te a sak. Methusael loh Lamek te a sak.
0104130072	Te phoeiah Lamek loh amah ham yuu panit a loh tih pakhat kah a ming tah Adah tih a pabae kah a ming tah Zillah ni.
0104140066	Te vaengah Adah loh Jabal te a cun tih anih te dap ah kho aka sa tih boiva aka toi rhoek kah pa la om.
010415005d	Tedae a mana, a ming tah Jubal tih anih te rhotoeng neh phavi aka tum boeih kah a napa la om.
0104160070	Zillah long khaw rhohum neh thi tubael boeih aka hnaa Tubalkain neh Tubalkain kah a ngannu Naamah te khaw a cun.
01041700d1	Te vaengah Lamek loh a yuu rhoi Adah neh Zillah taengah, “Lamek yuu rhoi, kai ol he ya rhoi lamtah kai kah olthui he hnakaeng rhoi lah. Kai tloh kong neh ka boengha kongah camoe, hlang pakhat ka ngawn coeng.
010418006d	Kain ham voei rhih la phu a loh atah Lamek ham khaw voei sawmrhih neh parhih la phuloh pah saeh,” a ti nah.
01041900c6	Te phoeiah Adam loh a yuu te koep a ming tih, capa a cun hatah Abel te Kain loh a ngawn coeng dae a yueng la Pathen loh tiingan a tloe kai ham a khueh coeng' a ti dongah anih ming te Seth la a khue.
01041a006b	Te phoeiah Seth long khaw capa a sak tih a ming te Enosh a sui. Te vaengah Yahweh ming te phoei ham a tong.
0105010067	Hekah he Pathen loh hlang a suen tue vaengkah Pathen amah mueiloh la a saii Adam kah rhuirhong cabu ni.
0105020078	tongpa neh huta a suen phoeiah amih rhoi te yoethen a paek tih amih rhoi a suen khohnin ah amih kah ming te hlang a sui.
0105030075	Adam tah kum yakhat phoeiah sawmthum hing. Te vaengah amah muei la amah mueiloh la te a sak tih a ming te Seth a sui.
010504006b	Seth te a sak phoeiah Adam kah a tue khaw kum ya rhet lo coeng dae ca tongpa rhoek neh canu rhoek te a sak.
0105050057	Te dongah Adam kah a hing tue te a pum la kum ya ko neh kum sawmthum a lo phoeiah duek.
0105060039	Seth khaw kum ya neh kum nga a lo vaengah Enosh te a sak.
0105070060	Enosh te a sak phoeiah Seth khaw kum ya rhet neh kum rhih hing tih a canu a capa rhoek te a sak.
0105080046	Seth tah a khohnin boeih kum ya ko neh kum hlai nit a lo phoeiah duek.
0105090032	Enosh khaw kum sawmko a lo vaengah Kenan te a sak.
01050a006b	Enosh khaw Kenan te a sak phoeiah kum ya rhet neh kum hlai nga hing tih capa rhoek neh canu rhoek te a sak.
01050b004b	Te dongah Enosh kah a tue boeih he kum ya ko neh kum nga a lo phoeiah duek.
01050c0033	Kenan kum sawmrhih a lo vaengah Mahalalel te a sak.
01050d006b	Kenan loh Mahalalel te a sak tih kum ya rhet neh kum likip a lo phoeiah capa rhoek neh canu rhoek te a sak.
01050e004b	Te dongah Kenan kah a tue boeih he kum ya ko neh kum rha a lo phoeiah duek.
01050f003f	Mahalalel kum sawmrhuk neh kum nga a lo vaengah Jared te a sak.
0105100070	Mahalalel loh Jared a sak phoeikah kum ya rhet neh kum sawmthum a lo vaengah canu rhoek neh capa rhoek te a sak.
0105110060	Te dongah Mahalalel kah a hing tue boeih tah kum ya rhet neh kum sawmko panga a lo phoeiah duek.
0105120049	Jared te kum ya neh kum sawmrhuk neh kum hnih a lo vaengah Enok te a sak.
010513005a	Jared loh Enok a sak phoeikah kum ya rhet a lo vaengah canu rhoek neh capa rhoek te a sak.
0105140068	Te dongah Jared kah khohnin tah a pum boeih la kum ya ko neh kum sawmruk neh kum hnih a lo phoeiah duek.
0105150042	Enok te kum sawmrhuk neh kum nga a lo vaengah Methuselah te a sak.
010516007b	Enok loh Methuselah te a sak phoeiah Pathen neh kum ya thum hmaih a pongpa rhoi phoeiah capa rhoek neh canu rhoek te a sak.
010517004f	Enok kah khohnin tah a pum boeih la kum ya thum neh kum sawmruk neh kum nga lo.
0105180045	Enok tah Pathen neh a pongpa dongah Pathen loh a loh tih vik om pawh.
0105190048	Methuselah kum ya neh kum sawmrhet kum rhih a lo vaengah Lamek te a sak.
01051a0079	Methuselah loh Lamek a sak phoeikah kum ya rhih neh kum sawmrhet kum nit a lo vaengah capa rhoek neh canu rhoek te a sak.
01051b0065	Te dongah Methuselah kah khohnin tah a pum la kum ya ko neh kum sawmruk neh kum ko a lo phoeiah duek.
01051c004e	Lamek khaw kum ya neh kum sawmrhet neh kum nit a lo vaengah capa pakhat a sak.
01051d0099	Anih ming te Noah la a khue. Anih he tah BOEIPA loh thae a phoei thil diklai ah mamih kut kah thatlohnah neh bibi dongah mamih aka hloep ham ni,” a ti.
01051e0071	Lamek khaw Noah a sak phoeikah kum ya nga neh kum sawmko kum nga a lo vaengah capa rhoek neh canu rhoek te a sak.
01051f0064	Te dongah Lamek kah khohnin he a pum la kum ya rhih neh kum sawmrhih neh kum rhih a lo phoeiah duek.
0105200053	A capa Noah khaw kum ya nga a lo vaengah, Noah loh Shem, Hem, neh Japheth te a sak.
0106010056	Te vaengkah hlang loh diklai hman ah pungtai pahoi tih amamih ham canu a cun uh hatah,
010602007a	Pathen capa rhoek loh hlang canu rhoek te then tila a hmuh uh. Te dongah amih te amamih yuu la boeih a coelh tih a loh uh.
01060300be	Te dongah BOEIPA loh, “Hlang ngawn tah pumsa la om tih kai kah mueihla loh hlang taengah kumhal ah ka naep eh a ti pawt dongah hlang kah khohnin he kum ya neh kum kul mah om saeh,” a ti.
01060400d1	Te vaeng tue ah Nephilim rhoek tah diklai ah om uh. A hnukah khaw Pathen capa rhoek te hlang canu rhoek taengah kun uh tih amih ham ca a cun pa uh. Amih te khosuen kah hlangrhalh la ming aka om hlang rhoek ni.
010605008c	BOEIPA loh diklai hmanah hlang kah boethae he yet tih a lungbuei kopoek neh benbonah loh boeih khaw hnin takuem a thae bueng ni tila a hmuh.
0106060054	Te dongah BOEIPA loh diklai hmankah hlang a saii te hal coeng tih a lungbuei te tlo.
01060700b4	Te dongah BOEIPA loh, “Ka suen hlang te diklai hman lamkah ka khoe pawn ni. Hlang khaw, rhamsa khaw, rhulcai khaw, vaan kah vaa khaw amih ka saii dongah te ka hal coeng,” a ti.
010608002e	Tedae Noah tah BOEIPA mik ah mikdaithen la om.
010609008e	Hekah he tah Noah kah rhuirhong ni. Noah he amah kah thawnpuei khuiah hlang duengneh a cuemthuek la om. Pathen nen khaw Noah tah pongpa hmaih.
01060a0034	Noah loh capa pathum Shem, Ham neh Japheth te a sak.
01060b0052	Te vaengah diklai te Pathen mikhmuh ah poci tih diklai te kuthlahnah loh a khulae.
01060c0073	Te dongah Pathen loh a sawt vaengah diklai hmanah pumsa boeih tah a longpuei te poci tih diklai khaw poci coeng ne.
01060d00b6	Te dongah Pathen loh Noah taengah, “Pumsa boeih kah a bawtnah tah ka mikhmuh ah pai coeng. Amih mikhmuh lamkah kuthlahnah te diklai hah. Te dongah ni diklai neh amih te ka phae ne.
01060e007f	Namah ham gopher thing neh lawng te saii lamtah lawng te a bu saii pah. Te phoeiah a khui ah khaw, poeng ah khaw aang neh hnil.
01060f007b	Tekah lawng te metlam na saii eh tikoinih, lawng kah a yun te dong ya thum, a daang dong sawmnga, a sang dong thukip lo ni.
0106100094	Lawng te imphu na saii vetih tlungyun te tah dong khat cup sak. Te phoeiah lawng kah a kaep ah thohka khueh lamtah a cuek, pabae neh pathum la saii.
01061100ab	Kai khaw kamah loh pumsa boeih te phae hamla diklai ah tuilii tui kang khuen coeng ne. A khuiah vaan hmui lamkah hingnah mueihla khaw, diklai dongkah a cungkuem he pal ni.
0106120094	Tedae nang taengah kai kah paipi te ka thoh vetih nang khaw, na ca rhoek khaw, na yuu khaw, na langa rhoek khaw, namah neh lawng khuila na khuen ni.
010613009c	Te vaengah mulhing boeih lamkah khaw, pumsa boeih lamkah khaw a hluei neh a la te panit ah khueh lamtah namah taengah hing sak ham lawng te boeih paan puei.
01061400a1	Vaa te khaw amah hui la, rhamsa lamkah khaw amah hui la, diklai ah rhulcai boeih lamkah amah hui la, boeih khuikah panit tah hlun ham nang taengah ham paan saeh.
0106150084	Te phoeiah na caak ham buh boeih te namah taengah khuen lamtah namah ham tung. Namah ham neh amih ham cakok la om saeh,” a ti nah.
0106160048	Te dongah Noah loh a saii tih Pathen loh anih a uen boeih te a saii van.
01070100ad	Te phoeiah BOEIPA loh Noah taengah, tahae kah thawnpuei khuiah nang he kai hmai ah hlang dueng la kan hmuh coeng dongah namah neh na imkhui boeih loh lawng khui la kun laeh.
0107020079	Aka caih rhamsa boeih lamkah a tal neh a la parhih, parhih neh aka caih mueh rhamsa khuikah te tongpa neh a yal panit ah,
010703006b	Vaan kah vaa khaw diklai hman boeih ah a tii la hlun ham a hluei neh a la panit, panit ah namah taengla lo.
01070400b1	Tahae lamkah hnin rhih phoeiah tah diklai ah khothaih hnin likip neh khoyin hnin likip te kho ka tlan sak vetih diklai hman kah ka saii mulhing boeih te ka khoe ni,” a ti nah.
0107050048	Te dongah BOEIPA loh anih a uen vanbangla a cungkuem te Noah loh a saii.
010706003a	Diklai ah tuilii tui halo vaengah Noah tah kum ya rhuk lo.
0107070081	Tuilii tui kongah Noah loh a ca rhoek khaw, a yuu khaw, a langa rhoek khaw, amah taengah aka om rhoek khaw, lawng khuila a khuen.
0107080067	Aka caih rhamsa lamkah khaw, aka caih pawh rhamsa lamkah khaw, vaa khaw, diklai ah aka yuel boeih khaw,
0107090062	Pathen loh Noah a uen vanbangla a hluei neh a la panit panit loh Noah taengkah lawng te a paan uh.
01070a0039	Hnin rhih a om phoeiah tuilii tui te khaw diklai ah halo.
01070b009e	Noah kah a hingnah te kum ya rhuk kum, a hla bae, hla kah hnin hlai rhih khohnin ah tuisih laedil puei boeih te phuet tih vaan rhoek kah bangbuet khaw ong uh.
01070c0051	Te phoeiah khonal te diklai ah khothaih hnin likip neh khoyin hnin likip ah tlan.
01070d0090	Amah tekah khohnin van vaengah Noah neh Noah kah a ca rhoek Shem, Ham, Japheth neh Noah yuu neh a langa pathum tah amah neh lawng khuila kun uh.
01070e00c3	Amih neh mulhing boeih khaw amah hui la, rhamsa boeih khaw amah hui la, diklai ah aka yuel rhulcai boeih khaw amah hui la, vaa boeih khaw amah hui la, vathawt boeih neh phae aka khueh boeih khaw,
01070f005d	pumsa ah hingnah hil aka om boeih khuikah loh a bok bok la Noah taengkah lawng khuila kun uh.
010710008b	Te dongah Pathen kah a uen vanbangla pumsa boeih khuikah a hluei neh a la loh ham paan uh tih a kun uh phoeiah BOEIPA loh lawng te a khaih.
0107110078	Tuilii te khaw diklai ah khohnin likip lo tih tui khaw yet. Te dongah lawng te a phoh hang tih diklai dong lamloh a pom.
0107120053	Tui khaw len khungdaeng tih diklai ah muep a yet dongah lawng te tui hman soah cet.
0107130061	Te phoeiah tui te diklai ah bahoeng len tih vaan hmui boeih kah tlang sang rhoek boeih te a khuk.
010714004b	Tui te a so ben la dong hlai nga a sang dongah tlang rhoek te boeih a khuk.
0107150092	Te dongah diklai ah aka yuel saa boeih neh vaa boeih, rhamsa khaw, mulhing khaw, diklai dongkah aka luem rhulcai boeih khaw, hlang khaw boeih pal.
0107160067	A hnarhong khuiah hingnah mueihla hiil aka khueh boeih te khaw, lanhak ah aka om boeih te khaw duek uh.
01071700c4	Te vaengah diklai hman kah mulhing boeih, hlang lamloh rhamsa due, rhulcai neh vaan kah vaa due, a khoe dongah diklai ah hmata uh. Tedae Noah neh lawng khuiah amah neh aka om rhoek bueng te sueng.
0107180038	Tui te khaw diklai ah khohnin ya neh sawmnga khuiah len.
01080100b4	Tedae Pathen loh Noah khaw, mulhing boeih khaw, amah neh lawng khuikah aka om hmaih rhamsa boeih khaw a ngaidam. Te dongah Pathen loh diklai ah khohli a tueih tih tui khaw hnop uh.
0108020057	Te phoeiah tuisih laedil neh vaan bangbuet a biing tih vaan lamkah khonal te a paa sak.
0108030067	Diklai hman kah tui te khaw rhaeng. Tui te tla tih, rhaeng tih, khohnin ya sawmnga a boeih vaengah kak.
0108040050	Te phoeikah a hla rhih hla hnin hlai rhih vaengah lawng te Ararat tlang ah duem.
010805007b	Tui aka om rhoek te khaw hla rha khuiah voehvoeh kak tih a hla rha vaengkah lamhmacuek khohnin ah tlang som rhoek te tueng.
0108060059	Te phoeiah om tih hnin likip a boeih vaengah Noah loh lawng kah bangbuet a saii te a ong.
0108070054	Te phoeiah vangak te a tueih hatah diklai ah tui a haang due dong, cet tih voei bal.
0108080050	Te phoeiah diklai hman kah tui kak te aka so ham amah taengkah vahui te a tueih.
01080900cd	Tedae diklai hman boeih te tui loh a khuk dongah vahui kho kah a khopha ham ngolbuel hmu pawt tih Noah taengah lawng khuila bal. Te vaengah a kut a yueng pah tih vahu te a loh phoeiah lawng khuila a khuen.
01080a004e	Te phoeiah hnin rhih koep a rhing tih lawng khui lamkah vahui te koep a tueih.
