2800000006	Matiyu
28011400e9	Na awa di kpilizu ni leli imone, unan kadura Kutellẹ da kitime nan nya namoro, aworo, YUsufu, uusaun Dauda, na uwa lanza fiu in woru uyiru Maremu ku a so uwanife ba, bara fisudu fo na fidi nanya liburi me unuzu kitin Ruhu ulauwari.
2801150053	Ama maru gono, uma yichu lisame Yisa, bara amma tuchu anit me nanya nalapi mine.”
280116005e	Vat nilele wase bara inan kulo imon ile na Cikilari wa belli nnu nanan liru nin nu me, a woro.
280117006b	“Yenen kubura ma ti liburi kumaru gono, ima yicu lisame immanuel, uninare Kutellẹ ligowe nan ghirik.”
2801180068	Yusufu fita nanyan moro me asu nafo na unan kaduran Cikilare na bellinghe, ayira Maremmu ku aso uwanime.
2801190068	Nanya nani iwa so lisosin nless nin wanii, na izuro ba udu kubi kongo na awa maru. A na lisan gone Yisa.
2802010098	kubẹ na iwa maru Yisa ku in Baitalami un Yahudiya nayiri tigoh in Hiridus, amon anitt anan yiru yenju niyini kusari kitene nin Urushalima da ida woro,
2802020074	Adin weri ulenge na ina marughe ugoh na Yahudawe? Tina yene fiyini mere kusari kitene unnare ti da tida zazinghe.”
2802030047	Na ugoh Hiridus in lanza nani, ayi me nin na nitin Urushalima fita vat.
2802040079	Hiridus pitirino a didya na Priest nin na nan ninyerte nanit vat kiti kirum, anin tirino nani, “Nweri ima Kristi ku?”
280205006b	I woro ghe nenge, “In Baitalamin Yahudiya, bara imon ile na nyan lirun nuu Kutullẹ na nyertin nari ine,
28020600a2	'A fe, ubaitalami, in myin Yahudiya, na fere ubene nan nya na nan bun Yahudiya, nani nan nya fere unan tigo ba nuzukuulenge na ama su libya nanit nig Israila.'”
280207005e	Hiridus tunna ayicila anan yiru vat likire a tirino nani in dert kubi kongo na fiyine na nuzu.
280208008d	A to nani udu ubaitalahmi, a woro, “Can idi piziru ubeleng gono seng. Asa i se ghe, dan ida belli, bara meng wang nan do in di zazinghe.”
280209009f	Na i lanza ugowe ku, i kiffo libau i nya, fiyine na ini yene kusari kitene tunna ncin nbun mine fidi duru fiyisina kiti kirum dert kiti kanga na gọnọ diku.
28020a0033	Na iyene fiyinie, isu ayi abo nin liburi libo kang.
28020b00a4	Itunna ipira nan nya kilare iyene gone nin nene Maryamue. Itumuno izazin ghe. Itunna i puzuno tika mine i nakpaghe imon ile na i ming mun, izinariya, lubban a kwul.
28020c0083	Na ise uwannu nataf kiti Kutellẹ nan nya namorona iwa kpilin kitin Hiridus ba, ifita i yira nlong libau ugang ukpillu kipin mine.
28020d00f2	Na inung nna nya, Gono kadura Kutellẹ tun na a da kitin Yusufu nan nya namoro, a woroghe, “Fita uyiru gono, kinesse nin nene urum udu uMasar, udi so kikane se kubi kongo na mbellin fi uliru bara na Hiridus ma pizuru gone a molu kining.”
28020e0054	A tunna nin kitik ka ne afita a yauna ggono kinesse nin nene inya mun ucindu umasar.
28020f00ae	Awa di so kikane udi duru kubin nkul in Hiridus, ulire nan kulo na cikilare wa bellin kitin nnan liru nin nuu Kutellẹ, “Unuzun nan nyan Masar nna yicila usaun ning ku.”
2802100114	Na Hiridus iyene anitt ayinjing ane nrusuzo ghe, ayi nana ghe kang, ato idi molusu nnono ni lirine vat na niwadi in Baitalahmi, udu ligan nminne vat, ucizunu na kus aba utolu kadas nalenge na idurun ba, nafo kubatino kube na awa lanza Ubeleng nan nyan tinu na nit ajinjin ghe.
2802110054	Ulirue u ni wa kulo vilengwe na iwa bellin kitin Irimiya unan liru nin nuuKutellẹ.
2802120065	“I wa lanza liwani nan nyan rama, kuculu nin tiyom a liburi lisirne, Rahilla di kuculu nnono me.”
280213004d	Na Hiridus nku gono kadura Kutellẹ da kitin Yusufu nan nya namoro in masar.
280214004a	“Aworo, Fita, yauna gono kinesse nin nene, udo nan nyan nmin Israila.”
280215003e	Yusufue fita, a yauna gone nin nene, ada nan nya nmin Israila.
28021600ae	Na alanza Arkila usari di tigon yahudiya kudarun ncife, Hiridus, fiu kiffo ghe na ado ba, vat nin woru Kutellẹ nwununghe kutuf nan nya namoro, ana lassina udu nmin ngalili.
280217009f	Amini ana wa dak ada da so nkan kipin na idin yiccu kinin unazarati, inan kulo uliru na iwa bellin tinu na nan nliru nnu Kutellẹ ima yiccu ghe kunan Nazarat.
280301006e	Na yiri ane Yohanna unan Shitizinu nanit nmyen wa dak adin bellu nliru ntucu nan nya ntene in Yahudiya a woro,
2803020036	“Sunan alapi, bara kipin tigo Kutellẹ nda duru.”
28030300bc	Bara amere ulele ulenge na iwa bellin ubelen me nnu Ishaya unan liru nin nuu Kutellẹ, a woro, “Liwui umong din yiccu nan nya ntene, 'Kelen libau ncikilari, kelen ulin mine nan-ghe.'”
2803040071	Imon kidowo in Yohanna wa di kukpa kuron komiari a likpa na liwa terin kutino me. Imonli me wa di acin ni titong.
2803050057	Anan Urushalima, nin Yahudiya a vat nigbiri nkilinu kurawan urdun wa nuzu idọ kitime.
2803060045	Awa shintu nani nan nyan nmyen kurawan urdun, a icin bele alapi mine.
28030700cc	Kube na awa yene liigo na Farisawa nin na Saddukiyawa ucinfak kitime a shintu nani nmyen, a woro nani, “Anung kumat niyii timung, gharin wunung minu atuf ina ni din cum kiti tinana nayi na ti din ciinu?
280308002f	Nutunong kumat ko na ku batiina usunuu na lapi.
2803090094	Ana iwa kpiliza i woro nan nya mine, 'Tidi nin Ibrahim ucif bit.' Bara ndin belu minu Kutellẹ wasa ana Ibrahim ku nnan nono ko kiti na tala alele.
28030a0072	Nene imali ciu gidowo litino naca. Vat kuca kongo na ku mara kumat kucine ba ima kowu kunin iti kunin nan nya nla.
28030b00bd	Meng din shintu minu nmyen i sun alapi mine. Ame ulenge na adin cinu kidun nighe a di nin likara a katini, na meng wang batin in yaun akpatak me ba. Ame ma shintu minuu nin Ruhu Ulau a ula.
28030c00a8	Ku puruk me di nacara me, ama shintulu a nutun alkama nan nya kusheri lan, ama nin ciu alkame nan nya filai. Nani ama nin juju kusheri nin la ule na uma so ubico ba.”
28030d005a	Yisa tunna a fita a da kurawan urdun unuzun in Galili kitin Yohanna ada shintin ghe nmyen.
28030e0070	Ame Yohanna ta usu nworo a nantinghe, a woro, “Meng din piziru fe shintini nmyen, fe uni nna da kiti nigha?”
28030f0078	Yisa kpana a woro ghe, “Yinna nani nene, bara udi gegeme kiti bite tikulo katwa kacine vat.” Yohanna yinnin ghe mun.
28031000a1	Kimal nshintin ghe kule, Yisa nuzu nan nyan nmyene mas, na nin molu kubi ba, i punghe kitene kani. A yene Uruhu Kutellẹ utolu kadas nafo kuwullung udak kitime.
280311006a	Itunna liwui nuzu kitene Kutellẹ liworo, “Ggono nsu kibinai Nighari kane. Ndin lanzu mmang me kang.”
280401004d	kubi kongo na Uruhu wa yiru Yisa ku udu na kusho bara Shintang di dumun nghe.
280402004b	Na a su ukotu nayi, a yiri akut anas, nin limot a kut anas, Kukpong da ghe.
2804030057	Shintang da woro ghe, “Andi fe gono Kutellẹ ri kpilia atala alele a sofi imonli.”
280404007f	Yisa kawaghe a woro, “Ina nyertin, 'Na nin nemaliari cas unit ma ti ulai mun ba, sei nin liru ule na unuzu nnu Kutellẹ.'”
280405005a	Shintang kuru a yiraghhe a piramuun nan nya kipin kilau a ghantinghe fitulleri kuti nlira,
28040600b8	a woro, “Andi fe gono Kutellẹ, yinna udiu kutyin bara ina nyertin abati nono kadura me, isu-uchafe, 'Tutung ima kpafi nin na chara mine,' bara 'Uwa riu kubunu fe kitene kutala.'”
2804070046	Yisa woroghe, “Ina nyertin 'Tutung na uwa dumun Kutellẹ fe ba.'”
2804080066	Shintanghe kuru a yira ghe a domun likup lizallang a durso ghe nipinpin nan nimong igegeme in yeh vat.
2804090045	A woroghe, “Illenge imone mba niyi ining vat, uwa tumun uzazini.”
28040a0079	Kikanere Yisa nin woroghe, “Nyaa kikane Shintang! Bara ina nyertin 'Kutellẹ fere chas uma zazinghe, usu ghe liru.'”
28040b0047	Kikanere Shintanghe nyaa a chibhe, nono katwa me tunna idasu ghe katwa.
28040c003e	Na Yisa nlanza ikifo Yohanna ku, a tunna a kpilla udu Ugalili.
28040d0063	A cino Unazaret a di son in Kaparnaum, susut nin kurawan Ngalili, kagbiri nan Zabulun nin Naphtali.
28040e0058	Ilenge imone wa tinani inan kulo imon irika na Ishaya unan liru nin nu Kutelle wa belin,
28040f0051	“Nyin Nzabulun nin Naptalin, udu kusari kurawa, nbun Urdun, Galilli un nawurmi!
280410008b	Anit alenge na iwa sosin nanya sirti nyene nkanang midya, nin nalenge na iwa sosin kiti nkul nin kuyoli nkule, nkanang wa do kiti minee.”
280411005d	Kubi konere Yisa tunna-nbelle ani, “Sunan matiza mananzang, tigo-kitene kanae nda susut.”
28041200a2	Kube na a wadin cin ngau kurawan ngalili, a yene awaba linuana, Simon na iwa yicu nghe Bitrus, nin Andrawus gnana me, idin dwang, bara na inung anan kifi zu nibo.
2804130047	Yisa woro nani, “Dofinon ni, mba kpiliu minu iso ana kifizu nanit.”
2804140021	Itunna isuna ndwan-ghe idofinghe.
28041500bd	Na Yiysa nleu ubun nin cinne, a yene amon-a waba linuana, Yakub usaun NZebadi nin Yohanna gwana me. Nan nya nimon cin kitenen myeene ligowe nan chif mine, nke nimon ndwanghe. A yicila nani,
280416003e	ituunna isuna imon ncin kitene nmee nin chif mine idofin nghe.
280417009d	Yisa tunna ngalu nan nya Ngalili, ndursuzu nan nya natii nlira mine, abelle na ni uliru tigo kite nee kane, ninshizinu na nan tikonu ngangang nan nya nanite.
28041800a0	Uliru kitenee me mala kiti nyanyan Insiriya, anitee da nin lee na iwa-di nin tikonu kiti mee ngangang nan na lee na agbergenu nkifo nani. Yisa shino nin nghinu.
2804190051	Ligozin nanit Ngalili, Udakafolis, nin Urushalima, Uyahudiya, nin kapinaum Urdun.
280501005f	Na Yesu wa yene ligozin nanite, a ghana kitene likupi na a so kutyen, nono katwaa me da kitime.
280502002a	A puno uunuu atunna ndursuzu nanii a woro,
280503004f	“Anan maoriari alenge na iidi likimon nruhu, kipin tigo Kutellẹ kin minere.
2805040022	Anan maoriari alenge na idi tiyom.
280505003d	Anan mmariari anan lazun nkune-kune, bara ima su ugadun nyii.
2805060058	Anan mmariari alenge na idi kukpon nin kotuzu nayi nsu katwa kacine, ima ti nani ishito.
2805070047	Anan mmariari alenge na idin nin kune-kune, inung wang mase nkune-kune.
2805080049	Anan mmariari alenge na idinin nibinayi ni lau, inughere ma yenu Kutelle.
2805090047	Anan mmariari anan gafizu lissosin limang, ima yiccu nani nono Kutelle.
28050a0065	Anan mmariari alenge na idi tizu nani nanya niu bara katwa kacine, tigo kilari Kutelle maso tin mine.
28050b006e	Anan mmariari anunghe na idin tizu minu tinanayi nin niu, sa idin bellu imon inanzang natimine bara lissaning.
28050c008d	Sun ayiabo kan nin lanzun mang, bara na uduk mine udindyawari kitene kani. Nanere wang anit wa tizu nono katwa alenge na ina yarin minu uniu.
28050d0093	Anunghre nto nyii ulele, asa nto nta rututu, miba ti inyizari miti mamas? Na midu nin katwa kacine tutung ba, asa igutuna minin ipatila nin nabunu.
28050e004d	Anughere nkanang nyii. Kipin kanga naki tardin kitene likup na ki nyeshin ba.
28050f008e	Nanere wang na anit wasa ita ula npitilla iwufu unin nanya kukuzung ba, sedei itarda unin kitin banju npitilla, unan niza anan kilare nkanang.
2805100073	Sunan nkanang mine baltu nbun nanit vat, nani mati kogha yene adu mine, inan su liru Ncifn mine na adi kitene kani.
2805110073	Na iwa yenje nafo nna dak nda musuzu uduka sa katwa nadura Kutelle ba. Na nna ndak nda musuzu ba, kuluzun tininari.
280512009a	Kidegenari ndin bellu minu, uyii nin kitene kani ba malu, ama na ligbula sa fiyerte nanya nduka ma malu ba, se ikuluna imon ilenge na ina yerti nanya vat.
28051300df	Bara nani, vat ulenge na apuro uduka cingilin nanya tiduka, anin dursuzo among isu nani, aba so unit ubene nanya kilari tigo Kutelle. Vat ulenge na adi dortu, akuru adursuzo tinin ima yiccughe unit udya kilari tigo Kutelle.
2805140078	Ndin bellu minu, asa na katwa kacine mine katin kan nanan dursuzu nan na Farisawa ba, na iba piru nanya tigo Kutelle ba.
2805150082	Inan lanza uliru ulenge na iwa bellu anan burne, 'yenje iwa molu unit,' nin woru, 'ulenge na amolo unit apira nanya licin nshara.'
28051600d3	Meng ule din bellu minu, unit ulenge na ata tinanayi nin gwana, ama piru licin nshara. Ame ulenge na aworo ngwana, 'Fe ulalaghari!' Ama piru nacara tigo. Ulenge wang na woro 'fe di hem!' Ama piru nanya kuwu nla.
2805170073	Bara nani asa uma du nni nimon nfillufe nbun Kutelle, unin lizino nin kon kulapi kurika na kudi kitik fe nin gwana,
2805180081	suna imon fillu fe nanuwa nakpa ba. Tu kpilla udi kyele kulape nin gwanafine, unin kpillin uda nakpa imon nfillu fe kiti Kutelle.
28051900e7	Yinna mas ikyele uliru nati mine nin lenge na adi cinu udu nin fi ngan Go a idutu libau ucin du kuti nsharawe, bara awa do ninfi kiti nnan su nshara, ame unan sharawe di nakpafi naccara kudugari, anin di pirinfi nanyya kutii licin.
28051a0066	Kidegenari ndin bellu fi na uma nuzu nanya licin lole ba, se ubya vat nikurfung ilenge na idi dortufi.
28051b003f	Ina lanza ulire na iwa woro, 'Yenje iwa nozo nin nawanin ndas.'
28051c006f	Ama meng woro minu, vat ulenge na ayene uwani, ata kuna niyizi me nanya kibinai, amala usu linoni ningheri une.
28051d00ac	Andi liyizi ncara ulimefe din tizufi usu kulapi, kawurno linining ufillin. Bara uma katin fi nin caut nbara umong ugap kidowofe nana, nnun woru kidowofe vat piru nanya nla.
28051e0091	Andi ucara ulime fe matifi kulapi, werne unin ufillin. Bara uma katinfi nin caut umong ugap kidowofe nana, nnin woru kidowofe vat piru nanya nla.
28051f004b	Iwa woro tutung, 'Vat nlenge na ako uwani, na anighe iyerte nmalu nilugma.'
28052000f2	Meng ule din bellu minu, vat na ako uwani me, andi na kitene kulapin nozu nin nalilime ba, ataghe unan nozu nin nnalilimeari une. Vat tutung ulenge na ayauna uwani ule na ina ninghe iyerte nmalu nilugma, adi kulapin nozu nin nawanin bidibidi.
280521007a	Tutung, ina lanza iwa bellu anit nayiri nburne, 'Yenje iwa su isilin kinu, ama sun imon ile na isulo mung kitin Cikilari.'
280522005f	Meng ule din bellu minu, na iwa su isilin ba, sa nin kitene kani, bara na kutet tigo Kutelleri;
2805230069	Sa nin kutyin, bara kiti na kiti liyisin nabunu Kutelleri, sa nin Urushalima, bara na kipin Ngo Udyawari.
2805240051	Na uwa sillo nin litife ba, bara na uwasa ukpilla titife tita tibo sa tisirne ba.
280525006a	Na 'kidegen mine so kidegen,' kinu mine so kinu.' Vat nimon ilenge na ikatin ilele, inuzu kitin Shetanari.
2805260042	Ina lanza iwa woro, 'Liyizi yita nnu liyizi, a liyini nnu liyini.'
2805270070	Ama Meng nworo minu, yinnan, icuce minu, Vat ulenge na aparshin kuwan ncara ulime, kpilaghe kucara ugule tutung.
2805280060	Andi umong bolo kultukfe, anin din pizuru udu ninfi kityii shara, sughe amuunu ugudunfe ku wang.
2805290042	Andi umong tafi udi kaghe ncin fimel firum, can ninghe timel tiba.
28052a0064	Vat ulenge na atirinfi naghe, tutung yenje uwa nari ubalu nnit ule na adi nin su nbalu nimon kitife.
28052b003f	Inan lanza iwa woro, 'Ta usu ndofin kupofe unari unan nivirafe.
28052c0049	Meng woro minu, 'ta usu nnan nivira fe, usu anan tizufi nanya nniu nlira,
28052d00bd	bara inan so nono Ncifi mine ulenge na adi kitine kani. Ame din tizu uwui tutuzo kuneen nnan magunta nin nit ulau, asa a toltuno uwuru me tutung vat, kuneen nnan sali kulapi nin nan kulapi.
28052e006a	Fewang ti usu nalenge na idi nin sufere cas, uyapin udukari umase? Na anan sesu ngandu dinsu nani wang ba?
28052f0060	Andi udin su ilip nan linuwna nmang, nyaghari udin ukatina among? Na alumai wang din su nani ba?
2805300041	Bara nani sun lidu lidert, nafo na Ucif mine kitene kane di dert.
280601008b	Yiran seng bara iwa su katwa kacine mine bara uyenju niyizi nanit asirne, iwa su nani na ima se uduk kitin Ciff mine na adi kitene kani ba.
28060200c2	Asa ima fillu unit imon, na iwa fo kulantun nbun mine nafo na anan liya kiti din suzu nanya tibau a nilarin lira ba, bara inan se liru nanit asirne. Kidegen ndin bellu minu, imal seru uduk mine.
2806030051	Ama andi uma fillu, na uwa yinni ucara ugule fe yinnin imon irika na udin sue ba,
280604006a	Asa uta nani, ufillu fe mayitu nanyan nyeshinu, Ucif fe tutung na adin yenju nanya liyeshighe manifi uduk.
28060500c1	Tutung andi ima ti nlira, na iwa su nafo anan liya kiti ba, bara inung dinin su iyisizin nanya nati nlira nin ngau libau, anit nan yenje nani. Kidegen ndin bellu minu, inung mal seru uduk mine.
28060600d3	Anung andi ima ti nlira, piran nanya npiit natii mine. Tursun nibulung mine, inin ti nlira udu kitin Cif mine ulenge na adin yenju nanya liyeshin. Ame tutung Ucif mine na adin yenju nya liyeshine ma timinu uduk.
2806070094	Tutung andi ima ti nlira, na iwa lawan kpilzu nliru urume tibatiba nafo alumai ba, bara inung din yenju nafo ngbardang liru minere mati ilanza nani.
2806080070	Bara nani yenjen iwa yita nafo inughe, bara Ucif mine yiru vat nimon irika na idi nin suwe a na isa tiringhe ba.
280609004b	Bara nani, tan nlira nafo nenge: 'Ucif bit nanya kitene kani, kusu lissafe.
28060a0044	Na tigofe dak, na isu imon nayife nyii nafo na idin sue kitene kani.
28060b001f	Nanari kitimone imonli liyirin.
28060c0054	Kala nari tire bite, nafo na arike wang din kalzu na lenge na tidin dortu nani tire.
28060d0097	Tutun na uwa do ninghirik kitin maluzu ba, ama bolo nari ncara shintan: bara kipin tigowe kinfere, likara nin gongon uyaunu nene udu saligan. Usonani.'
28060e0053	Bara asa idin kalzu anit alapi mine, ucif mine kitene kani wang ma kalu amin alape.
28060f006f	Ama andi na anung din kalzu alapi na lenge na idin su minu ba, nanere wang na ucif mine ma kalzu amin alape ba.
28061000c1	Nanere tutung andi ima su ukotu nayi, na iwa timoro nafo anan tiyom ba, nafo na anan liya kiti dinsu inan ta anit yinno inung din su ukotu nayi. Kidegen ndin bellu minu inung nmal se uduk mine.
2806110042	Ama anung andi imasu ukotu nayi, ikusu timuro mine lau itiza nnuf.
2806120056	Bara anit wa yinnin idin kotu nayi. Ame Ucif mine na adin yenju usanme ma nimunu uduk.
2806130081	Na iwa ceo atimine utamani nanya nle uyie ba, kiti kanga na kijiji nin binju din li, nin kiti kanga na akiri din kuluzu i tuzuzu.
280614007a	Na ceun ati mine utamani kitine kani, kiti ka na kijiji nin biju wasa inaza ba, kiti kanga na akiri wasa ipuro ituzuzu ba.
2806150044	Kiti kanga na utamani fe duku, kikanere wang kibinayi fe ma yitu ku.
280616005b	Liyizi, linere upitila kidowo. Bara nani, asa liyizife di licine, kidowo fe vat mayitu lau.
2806170080	Ama asa na liyizi dilicine ba, kidowofe vat mayitu nin dinong. Asa kidowo fe sali nin kanan, gbardang nsirte kati likara nbellu!
28061800e1	Na unit urum wasa asu katwa kiti nacikilari aba ba, nbara anari umon, ati usu nmon, asa na ata nani ba, aba ni litime kan kiti nmon anin dira usu katwa kacine kitin mong. Na iwasa isu Kutelle liccin nin tamani kubi kurume ba.
28061900ce	Bara nani nbelin minu, na iwa ciso ucara litawa nbelen kpilizu nliru nbelen natime inyaghari ti ba li sa tiba sonu, sa nidowo bite inyaghari tiba shonu. Na ulai katin imoli ba, nakidowo katin imon shonu ba?
28061a00af	Ton iyizi iyene anyin kitene kani! Na idi su tibila sa upitiru kusana iciso lilai ba, Ucif mine na adi kitene kane din nizu nani imonli. Na anung katin nani nin gongon kan ba?
28061b005a	Uyeme unitari nanya mine bara tiyom nimon nyii ulele wasa akpina ngbardang nayiri nlai me?
28061c00a8	Nyaghari nta idi tiyom nbelen nimon kidowo, kpilzan uliru nanya nibinayi mine iyene amamu naneen, imus tikunang nanin; na adin su katwa ba, ana adin sho imon kidowo ba.
28061d0073	Na nbellin minu tutung, Solomon litime vat nin gongong me, na awa ashon imon kidowo na iwa katin amamu nin caut ba.
28061e00b8	Andi Kutelle din su amamu nanya naneen kuyok kucine nani, arika na asa atuto kitimone, ula kurtuno uleo anin nin kui, ama so sa uni miinu imon nshonu kidowa? Anung anan kibinayi kikaf?
28061f007c	Bara nani na iwa su tiyom iworo, 'Inyaghari tiba li'? Sa iworo, 'iyagahri tiba sonu'? Sa tutung iyaghari tiba shonu kidowo'?
2806200073	Imon ilele vat alumai din cisu nibinayi mine npizuru ninin, Ucif mine tutung kitene kani yiru idi nin su ninin vat.
2806210056	Ama cizinan upiziru tigo nin katwa kacine me, vat ngisin nimon ilele ima kpin minu ku.
2806220065	Bara nani na iwa su tiyom nbellen nkui ba, bara na ukui ba su tiyom litime. Kolome liri di nin niume.
2807010024	Na uwa sharanta ba, iba sharanta fi.
2807020057	Nin sharaa ule na usuu, iba suu fi. Tutung kuyangi koo na uguro mung, iba guru fi mung.
2807030063	In yan ghari taa uyene kamong na ka di liyizin gbana fine, na uyene ku kunti kuca nya liyizi fe ba?
2807040067	In yiziyari uba bellu gbana fine, 'Nan kala kamong nya liyizi fe,' a fee nin kukunti kuca nya liyizife?
280705006c	Anun anan kinuu! Kalan ku kunti ku ce nya niyizi mine, iba nin yenu kanang kamong ne nya niyizin gbana mine.
2807060077	Na uwa ni nanau imon ilau ba, tutung na uwa tuu imon i cine nbun ninau ba, mboti iba patilu inin gitiring ikifizing fi.
2807070040	Tirino, Iba nifi piziran umase. Reu kibulung ghe iba punfi mung.
280708005e	Ko uyeme utirinu unit din sessu, unan pizu re din sessu, unan fo nibulung ghe iba puun ghe mu.
2807090052	Sa ghari nya mine na usa ne nwatiring ghe kugirin borodi ayira litala a nakpa ghe?
28070a002b	Sa awa tiring ghe fiboo, a nakpo ghe fiyii?
28070b00a4	Bar nani andi anun anan nibinei ni nanzang yiru unin nono mine imon icine, inyizyari ucif mine na adi kitene kani yiru uni nimon ki ne udu kiti na le na itirng ghe?
28070c0062	Bara nani vat ni le imon na udinin su anit suu fi, fe wan suu nani mung, uduka re une nin anabawa.
28070d0067	Pira nya kibulun kishuute, libau di pash na li din wunu anit udu ukul, anit gbardang din cinu nyan nye.
28070e0074	Kibulung ghe di shuut, tutung libau we wan di shut na li din wunu anit udu ulai, anit cing lin aghari din se lining.
28070f005d	Sung seng nin nan kadura kinuu, ale na idin dasu minu nin nakpa nakam, nya mine ninyinyowari.
280710006c	Nya kumat mine iba yinnu nani, sa anit din kolu ulemu na ca kumart kushari, sa idin kolu kumal kupul kumart?
2807110056	Nanere, vat kuca kucine din macu kumat ku cine, kuca ku nanzang, maca kumal kunanzang.
280712005f	Na kuca kucine din macu kuman kunan zang ba, sa kuca kunanzang ko na kudin macu nono nicine ba.
2807130046	Vat ku ca koo naku mara nono ni cine ba asa ikiwe kuning itoo nyan la.
280714002c	Bari nani kiti kumat mine re uba yinnu nani.
2807150081	Na vat ghari na adin yicci, 'Cikilari, Cikilari,' b apiru nya kilari Kutelle ba, sei ule cas na adin suu unufin Cif nighe na adi.
280716009d	Anit gbardang ba belli nloli lirre, 'Cikilari, Cikilari, na tiwa suu anabci nin lisafe ba, nin lisafe tinutuzuno agber genu, nin lisafe ti suu imon zikikya?'
280717005e	Mba nin bellu nani kanang, 'Nan ina yiru minu ba! Nyan ku poo nin, anun anan kataa kananzang!'
280718007d	Bar nani, vat nle na alanza tigbulang ni ghe asuu kataa mung ma soo nofo unit ujingjing une na ake kilari me kitene kuparang.
2807190077	Na ijuu uwuru, mmen ncung daa, ufunu udya wufu ufo kilare, vat nane na ki deu ba, bara na iwa ke kining kitene kuparang
28071a0077	Vat ule na alanza tigbulan nin amini nari usuu kataa mung ba masinu unit ulanlang une na akee kilari kitene licin cing.
28071b0052	Uuwuree juu, mmeng cung daa, ufunu daa ureu kilare ki deu. Udeu we wa di gbardang.
28071c006b	Uda duru kubi koo na Yesu wa malu ubelu na gbulan alele, ligozin na nite, umamaki kifo anii nin dursusu me.
28071d0053	Bar na awa dursuzo nani nofo ule na adi nin na kara, na nofo anan ni nyert mine ba.
2808010034	Na Yisa nto; o kitene likup, ligozi gbardang dofine.
2808020065	Umon, ame ukuturu da kitime, atumuno mbun me, aworo, “Cikilari andi uyinna, uwasa utayi nso lau.”
280803007d	Yisa nakpa ucara me a dudoghe aworo, “Meng yinna. Ta lau.” Na nin nmolu kubi ba atinna a weseghe ata lau nin tikuturu me.
28080400a0	Yisa woroghe, “Yene yenje uwa bellin umon imomon, can libaufe, udurso litife kitin pirist nin nni nimon ule na udukan Musa na bellin, bara uni ngodiya kitime.
2808050051	Na Yisa npira nanyan Kaparnahum, nkon kusoja kudia nroma, da kitime ada tiringhe,
2808060072	aworoghe, “Cikilari, kucin nighe non nanya kilari nin nkonun nriu nagbergenu, adi nanyan nlanzu npazaza kang.”
2808070032	Yisa bellinghe, “Meng ba dak nda shin ninghe.”
280808008c	Ame udia nasoja kawaghe aworo, “Cikilari, na meng mabtin fe da piru nanya kilari nig ba, bara nani belle ligbulang cas kucineghe ba shinu.
28080900ea	Bara meng wang unitari ulle na nsosin kuteet likara, nmini dinin na soja alle na idi kadas nigh, assa nworo nlenge, 'Can,' ame nsa anya, nin kiti nmong tutun nworoghe, 'Da,' ame asa ada, nin kucin nigh, 'Su nenenghe,' asa asu inin.”
