0100000006	1 Mose
010114007b	Onyankopɔn kaa sɛ, “Abɔdeɛ a nkwa wɔ mu nhyɛ nsuo no ma, na nnomaa ntu mfa asase ne nkyɛmu a ɛwɔ ewiem no so.”
010115009f	Enti, Onyankopɔn bɔɔ ɛpo mu mmoa akɛseɛ ne mmoa ahodoɔ nyinaa a wɔwɔ nkwa na wɔkeka wɔn ho ne nnomaa ahodoɔ nyinaa. Na Onyankopɔn hunuu sɛ ɛyɛ.
0101160090	Onyankopɔn hyiraa abɔdeɛ no nyinaa so, ɛnna ɔkaa sɛ, “Monwo na monyɛ bebree na monhyɛ ɛpo no ma, na nnomaa ase ntrɛ wɔ asase so.”
010117003f	Na adeɛ saeɛ ɛnna adeɛ kyeeɛ. Ɛda a, ɛtɔ so enum ne no.
01011800cd	Onyankopɔn kaa sɛ, “Abɔdeɛ a nkwa wɔ mu ahodoɔ nyinaa ne wɔn sɛso, anantwie ne mmoa a wɔwea wɔn afuru so ne mmoa ahodoɔ a wɔyɛ keka a wɔwɔ asase so nyinaa mmra asase so.” Na ɛyɛɛ saa.
010119008e	Onyankopɔn bɔɔ mmoa ahodoɔ, anantwie ahodoɔ ne wɔn sɛso ne mmoa a, wɔwea wɔn afuru so ne wɔn sɛso. Na Onyankopɔn hunuu sɛ, ɛyɛ.
01011a00b3	Onyankopɔn kaa sɛ, “Momma yɛmmɔ onipa sɛ yɛn sɛso, na ɔnni ɛpo mu mpataa, ewiem nnomaa, anantwie ne mmoa a wɔyɛ keka ne biribiara a ɛwea nʼafuru so wɔ asase so.”
01011b0074	Enti, Onyankopɔn bɔɔ onipa sɛ ne sɛso; Onyankopɔn sɛso so na ɔbɔɔ wɔn; ɔbaa ne ɔbarima na ɔbɔɔ wɔn.
01011c00ce	Onyankopɔn hyiraa wɔn, ka kyerɛɛ wɔn sɛ, “Monwo na monyɛ asase so ma, na monni biribiara so. Monni ɛpo mu mpataa ne ewiem nnomaa ne abɔdeɛ biara a, nkwa wɔ mu a, ɛwɔ asase so no nyinaa so.”
01011d00a8	Afei, Onyankopɔn kaa sɛ, “Mede asase so afifideɛ a ɛso aba nyinaa, afifideɛ biara a aba hyɛ ne nnuaba mu wɔ asase yi so nyinaa hyɛ wo nsa. Ɛbɛyɛ wʼaduane.
01011e00bb	Mede nhahammono nyinaa ama aboa biara a ɔwɔ asase so, anomaa biara a ɔwɔ ewiem, biribiara a ɛwea nʼafuru so, biribiara a nkwa wɔ mu wɔ asase so sɛ wɔn aduane.” Na ɛyɛɛ saa.
01011f0077	Onyankopɔn hwɛɛ deɛ wayɛ nyinaa hunuu sɛ ɛyɛ papa. Na adeɛ saeɛ na adeɛ kyeeɛ. Yei ne ɛda a ɛtɔ so nsia.
0102010051	Yei ne ɛkwan a Onyankopɔn faa so bɔɔ ɔsoro ne asase ne deɛ ɛwɔ mu nyinaa.
010202008e	Ɛduruu ɛda a ɛtɔ so nson no, na Onyankopɔn awie nnwuma a ɔhyɛɛ aseɛ yɛeɛ no nyinaa. Enti, ɛda a ɛtɔ so nson no, ɔgyee nʼahome.
010203008f	Onyankopɔn hyiraa ɛda a ɛtɔ so nson no, na ɔtee ho. Ɛfiri sɛ, saa ɛda no na Onyankopɔn gyee nʼahome firii adebɔ nnwuma no nyinaa ho.
010204005c	Yei ne ɔsoro ne asase bɔ ho asɛm. Ɛberɛ a Awurade Onyankopɔn bɔɔ ɔsoro ne asase no.
01020500b3	Na afifideɛ biara nni asase so, na wiram nnua biara nso nni hɔ. Ɛfiri sɛ, na Awurade Onyankopɔn mmaa nsuo ntɔɔ wɔ asase so, na onipa nso nni asase so a ɔbɛyɛ so adwuma.
0102060041	Nanso, nsutire puepue fifirii asase mu bɛpetee asase ani nyinaa.
0102070081	Awurade Onyankopɔn de asase no so dɔteɛ nwonoo onipa, na ɔhomee nkwa home guu ne hwene mu, maa onipa no bɛyɛɛ ɔteasefoɔ.
010208006b	Afei, Awurade Onyankopɔn yɛɛ turo wɔ Eden apueeɛ fam, na ɛhɔ na ɔde onipa a ɔnwonoo no no tenaeɛ.
01020900a0	Awurade Onyankopɔn maa nnua ahodoɔ nyinaa fifirii asase no so; nnua a ɛyɛ fɛ na wɔdie. Turo no mfimfini no na nkwa dua, ɛnna papa ne bɔnehunu dua sisie.
01020a007a	Na nsuo tene firi Eden bɛgugu turo no mu afifideɛ no so; ɛfiri hɔ a, na saa nsuo no mu apaapae ayɛ nsubɔntene ɛnan.
01020b0080	Wɔtoo nsuo a apaapae no mu deɛ ɛdi ɛkan no edin Pison. Na ɛkontonkonton fa Hawila asase a sikakɔkɔɔ wɔ so no so nyinaa.
01020c005c	Na saa asase no so sikakɔkɔɔ yɛ. Na ɛhyɛ a ɛyɛ hwam ne apopobibirieboɔ nso wɔ hɔ.
01020d005d	Asubɔnten a ɛtɔ so mmienu no din de Gihon. Na ɛno ara na abobare afa Kus asase ho nyinaa.
01020e0095	Asuo a ɛtɔ so mmiɛnsa no, na wɔfrɛ no Tigris a ɛtene kɔ asase kɛseɛ Asiria apueeɛ fam. Asuo a ɛtɔ so ɛnan no nso, na wɔfrɛ no Eufrate.
01020f0065	Awurade Onyankopɔn faa onipa no de no kɔtenaa Eden turo mu hɔ sɛ ɔnyɛ mu adwuma, na ɔnhwɛ so.
0102100072	Na Awurade Onyankopɔn bɔɔ onipa no kɔkɔ sɛ, “Wowɔ ho ɛkwan sɛ, wodi dua biara so aba wɔ turo yi mu ha;
0102110074	nanso wonni ho ɛkwan sɛ wodi papa ne bɔnehunu dua no so aba. Ɛda a wobɛdie no, deɛ ɛbɛyɛ biara, wobɛwu.”
010212006c	Afei, Awurade Onyankopɔn kaa sɛ, “Ɛnyɛ sɛ onipa nko ara tena; mɛbɔ ɔboafoɔ a ɔfata no ama no.”
0102130103	Saa ɛberɛ no na, Awurade Onyankopɔn de mfuturo abɔ wiram mmoa ne ewiem nnomaa nyinaa. Enti, ɔde wɔn brɛɛ onipa sɛ ɔnhwehwɛ edin ko a ɔde bɛtoto wɔn. Edin a onipa de too abɔdeɛ a nkwa wɔ mu biara no, ɛno ara na ɛyɛɛ edin a wɔde frɛɛ no.
0102140077	Enti, onipa totoo nyɛmmoa, ewiem nnomaa ne wiram mmoa no nyinaa edin. Nanso, onipa deɛ, wannya ɔboafoɔ a ɔfata no.
010215009b	Enti, Awurade Onyankopɔn maa onipa daa nnahɔɔ. Ɛberɛ a onipa daa saa no, ɔyii ne mfe mu mpadeɛ baako, na ɔde honam taree deɛ ɔyii mpadeɛ hɔ no.
010216006b	Afei, Awurade Onyankopɔn de mfe mu mpadeɛ baako a ɔyi firii onipa mu no bɔɔ ɔbaa, de no maa onipa no.
0102170080	Na Adam kaa sɛ, “Mʼankasa me dompe ne me honam bi nie. Wɔbɛfrɛ yei ɔbaa ɛfiri sɛ, ɔbarima mu na wɔyii no firiiɛ.”
010218006c	Yei enti na ɔbarima gya nʼagya ne ne na de ne ho kɔbata ne yere ho sɛdeɛ wɔn baanu bɛyɛ nnipa korɔ.
010219004c	Saa ɛberɛ no, na ɔbarima ne ne yere nyinaa ho da hɔ, nanso na wɔmfɛre.
01030100e0	Na ɔwɔ yɛ ɔdaadaafoɔ wɔ wiram mmoadoma a Awurade Onyankopɔn abɔ wɔn no nyinaa mu. Ɔwɔ no kɔɔ ɔbaa no nkyɛn kɔbisaa no sɛ, “Enti, ɛyɛ ampa ara sɛ, Onyankopɔn se, ‘Monnni turo yi mu aduaba biara?’”
0103020052	Ɔbaa no buaa ɔwɔ sɛ, “Yɛtumi di nnua a ɛwɔ turo yi mu no so aduaba biara,
010303009c	nanso Onyankopɔn kaa sɛ, ‘Ɛnsɛ sɛ yɛdi dua a ɛsi turo no mfimfini no so aduaba, na ɛnsɛ sɛ yɛde yɛn nsa mpo ka, anyɛ saa a, yɛbɛwuwu.’”
0103040033	Na ɔwɔ no ka kyerɛɛ ɔbaa no sɛ, “Morenwuwu.
010305007f	Onyankopɔn nim sɛ, ɛda a mobɛdi no ara pɛ, mo ani bɛba mo ho so, ama moayɛ sɛ Onyankopɔn, na moahunu papa ne bɔne.”
01030600c6	Ɛberɛ a ɔbaa no hunuu sɛ dua a ɛsi mfimfini no so aba no wɔdi a, ɛbɛyɛ yie, na ɛyɛ akɔnnɔ, na afei ɛte ani no, ɔtee bi diiɛ, de bi ma ne kunu a na ɔne no wɔ hɔ maa ɔno nso diiɛ.
0103070091	Wɔdi wieeɛ no, wɔn baanu ani baa wɔn ho so, na wɔhunuu sɛ wɔn nyinaa da adagya. Enti, wɔkekaa nhahan sisii animu de kataa wɔn adagya so.
01030800bf	Ɛda no anwummerɛ, wɔtee Awurade Onyankopɔn nka sɛ ɔnam turo no mu. Enti, Adam ne ne yere Hawa de wɔn ho kɔsiee nnua a ɛwɔ turo mu hɔ no mu sɛdeɛ Awurade Onyankopɔn renhunu wɔn.
0103090043	Enti, Awurade Onyankopɔn frɛɛ Adam bisaa no sɛ, “Mowɔ he?”
01030a0073	Adam buaa sɛ, “Metee wo nka wɔ turo no mu hɔ, nanso na mesuro, ɛfiri sɛ, na meda adagya enti mekɔtɛeɛ.”
01030b0094	Na Onyankopɔn bisaa no sɛ, “Hwan na ɔka kyerɛɛ wo sɛ na woda adagya? Gyama dua a meka kyerɛɛ wo sɛ, nni so aba no, woadi nʼaba no bi?”
01030c0088	Adam kaa sɛ, “Aane. Ɔbaa no a wode no maa me sɛ me ne no ntena no na ɔde aduaba a ɔte firii dua no so no brɛɛ me ma mediiɛ.”
01030d0086	Enti, Awurade Onyankopɔn bisaa ɔbaa no sɛ, “Ɛdeɛn na woayɛ yi?” Ɔbaa no buaa sɛ, “Ɔwɔ no na ɔdaadaa me ma mediiɛ.”
01030e00c3	Enti, Awurade Onyankopɔn ka kyerɛɛ ɔwɔ no sɛ, “Esiane saa adeɛ a woayɛ yi enti, “Wɔadome wo wɔ mmoa nyinaa ne nkekaboa mu. Wobɛwea wʼafuru so, na wo nkwa nna nyinaa woadi mfuturo.
01030f0079	Mede ɔtan bɛto wo ne ɔbaa no ne wʼasefoɔ ne nʼasefoɔ ntam. Ɔno na ɔbɛbɔ wo tire, na wo nso woaka ne nantin.”
01031000bc	Afei, Awurade Onyankopɔn ka kyerɛɛ ɔbaa no nso sɛ, “Wobɛte ɔyea pa ara wɔ wʼawoɔ mu; ɔyea mu na wobɛwo mma. Yei nyinaa akyiri no, wʼani bɛgyina wo kunu na ɔbɛdi wo so.”
01031100ce	Onyankopɔn ka kyerɛɛ Adam nso sɛ, “Esiane sɛ wotiee wo yere asɛm, na wodii dua a mehyɛɛ wo sɛ, ‘Nni so aba no’ enti, “Madome asase, na ɔbrɛ ne ɔhaw mu na wobɛdidi so wo nkwa nna nyinaa.
0103120041	Ɛbɛfifiri nkasɛɛ ne nkyɛkyerɛ ama wo na woadi wiram nhahan.
01031300bb	Wobɛsiam wʼanim fifire ansa na woanya aduane adi, kɔsi sɛ wobɛwu akɔ dɔteɛ mu, ɛfiri sɛ, dɔteɛ no mu na menwonoo wo firiiɛ; woyɛ dɔteɛ, na dɔteɛ mu na wobɛsane akɔ.”
0103140051	Adam too ne yere no edin Hawa, ɛfiri sɛ, ɔno na ɔbɛyɛ ateasefoɔ nyinaa na.
010315005a	Awurade Onyankopɔn de aboa nwoma yɛɛ ntadeɛ maa Adam ne ne yere Hawa de kataa wɔn ho.
01031600c7	Awurade Onyankopɔn kaa sɛ, “Afei, onipa no abɛyɛ sɛ yɛn ara a, wahunu papa ne bɔne. Ɛnsɛ sɛ yɛma no ɛkwan na ɔtene ne nsa kɔte nkwa dua no so aba no bi die, na ɔtena ase afebɔɔ.”
0103170077	Enti, Awurade Onyankopɔn pamoo no firii Eden turo no mu sɛ ɔnkɔyɛ adwuma wɔ asase a, wɔnwonoo no firii mu no so.
01031800a4	Ɔpamoo onipa no. Na Eden turo no apueeɛ fam hɔ no, ɔde Kerubim ne afena a ɛredɛre twa ne ho fa baabiara no sii hɔ sɛ, ɛnwɛn ɛkwan a ɛkɔ nkwa dua no ho.
0104010085	Afei, Adam de ne ho kaa ne yere Hawa ma ɔnyinsɛne woo abarimaa a wɔfrɛ no Kain. Na ɔkaa sɛ, Awurade adaworoma, mawo ɔbabarima.
0104020080	Akyire no, ɔsane woo nʼakyiri ɔbabarima too no edin Habel. Na Habel bɛyɛɛ odwanhwɛfoɔ, ɛnna Kain nso bɛyɛɛ okuafoɔ.
0104030047	Nna bi akyiri, Kain de nʼafuom nnɔbaeɛ bi kɔbɔɔ Awurade afɔdeɛ.
0104040082	Habel nso de ne nyɛmmoa no mu mmakan a wɔadɔre sradeɛ kɔbɔɔ Onyankopɔn afɔdeɛ. Awurade ani sɔɔ Habel afɔrebɔdeɛ no.
0104050058	Nanso Kain afɔrebɔdeɛ no deɛ, nʼani ansɔ. Asɛm no anyɛ Kain dɛ, na ne bo fuiɛ.
010406004f	Awurade bisaa Kain sɛ, “Adɛn enti na wo bo afuo? Adɛn enti na woamuna saa?
01040700a3	Sɛ woyɛ ade pa a, wɔbɛgye wo atom. Sɛ wonyɛ ade pa deɛ a, ɛnneɛ, hwɛ yie. Ɛfiri sɛ, bɔne retwɛn ako atia wo, asɛe wo, nanso ɛsɛ sɛ wodi ne so.”
010408008a	Ɛda bi Kain ka kyerɛɛ ne nua Habel sɛ, “Ma yɛnkɔ afuom.” Ɛberɛ a wɔwɔ afuom hɔ no, Kain to hyɛɛ ne nua Habel so, kumm no.
0104090083	Awurade bisaa Kain sɛ, “Wo nua Habel wɔ he?” Kain buaa sɛ, “Mennim. Mɛyɛ dɛn mahunu? Me na mehwɛ me nua no so anaa?”
01040a005c	Awurade bisaa Kain sɛ, “Ɛdeɛn na woayɛ yi? Tie! Wo nua mogya su firi asase so frɛ me.
01040b0060	Seesei, wɔadome wo, apamo wo afiri asase a ɛbuee nʼano gyee wo nua mogya firii wo nsam no so.
01040c007f	Sɛ woyɛ asase no so adwuma sɛ ɛdeɛn ara a, worennya nnɔbaeɛ biara mfiri so. Wobɛyɛ ɔkobɔfoɔ, akyinkyin asase so.”
01040d0030	Kain kaa sɛ, “Awurade mʼasotweɛ boro me so.
01040e007b	Ɛnnɛ, woapam me afiri asase so ne wʼanim. Mɛyɛ ɔkobɔfoɔ akyinkyin asase so na obiara a ɔbɛnya me no bɛkum me.”
01040f00d3	Nanso, Awurade ka kyerɛɛ no sɛ, “Ɛnte saa koraa! Obiara a ɔbɛkum Kain no bɛnya Kain asotwe no mprɛnson.” Afei, Awurade hyɛɛ Kain agyiraeɛ bi sɛdeɛ ɛbɛyɛ a, obiara a ɔbɛhyia no no renkum no.
0104100050	Enti, Kain dwane firii Awurade anim, kɔtenaa Nod asase so wɔ Eden apueeɛ fam.
0104110088	Kain de ne ho kaa ne yere na ɔnyinsɛnee, woo ɔbabarima, too no edin Henok. Saa ɛberɛ no, Kain kyekyeree kuro bi de too ne ba Henok.
010412004d	Henok woo Irad. Irad woo Mehuyael. Mehuyael woo Metusael. Metusael woo Lamek.
0104130031	Lamek waree mmaa baanu a wɔn din de Ada ne Sila.
0104140042	Ada woo Yabal a nʼasefoɔ yɛ wɔn a wɔte ntomadan mu yɛn mmoa.
0104150051	Na Yabal nuabarima din de Yubal a nʼasefoɔ yɛ mmɛnhyɛnfoɔ ne asankubɔfoɔ.
010416009e	Sila woo ɔbabarima a wɔfrɛ no Tubal-Kain. Na ɔyɛ kɔbere dwumfoɔ ne nnadeɛ ahodoɔ nyinaa atomfoɔ agya. Na Tubal-Kain wɔ nuabaa bi a ne din de Naama.
0104170082	Ɛda bi Lamek ka kyerɛɛ ne yerenom Ada ne Sila sɛ, “Montie me, me yerenom makum aberanteɛ bi a, ɔto hyɛɛ me so, piraa me.
0104180079	Sɛ Kain so aweretɔ bɛyɛ mprɛnson a, ɛnneɛ, me Lamek, deɛ ɔbɛkum me no, nʼasotwe bɛyɛ mpɛn aduɔson nson.”
01041900ac	Akyire yi, Adam de ne ho kaa ne yere Hawa. Na ɔwoo ɔbabarima bio. Na wɔtoo no edin Set kaa sɛ, “Onyankopɔn ama me ɔba foforɔ asi Habel a Kain kumm no no ananmu.”
01041a0069	Set nso woo ɔbabarima na ɔtoo no edin Enos. Saa ɛberɛ no mu na nnipa hyɛɛ aseɛ bɔɔ Awurade edin.
0105010072	Sɛdeɛ Adam asefoɔ nnidisoɔ teɛ nie. Ɛberɛ a Onyankopɔn nwonoo onipa no, ɔnwonoo no sɛ ɔno ara ne sɛso.
010502005b	Ɔbɔɔ ɔbaa ne ɔbarima, na ɔhyiraa wɔn. Ɔbɔɔ wɔn wieeɛ no, ɔtoo wɔn edin onipa.
0105030066	Adam dii mfeɛ ɔha aduasa no, ɔwoo ɔbabarima sɛ ɔno ara ne bɔbea ne ne sɛso. Ɔtoo no edin Set.
0105040057	Ɔwoo Set no, Adam tenaa ase mfeɛ aha nwɔtwe a, ɔwowoo mmammarima ne mmammaa kaa ho.
0105050050	Sɛ wɔka Adam mfeɛ nyinaa bom a, ɔdii mfeɛ aha nkron aduasa, ansa na ɔrewu.
010506002a	Set dii mfeɛ ɔha ne enum no, ɔwoo Enos.
0105070067	Set woo Enos akyiri no, ɔtenaa ase, dii mfeɛ aha nwɔtwe ne nson, wowoo mmammarima ne mmammaa kaa ho.
0105080053	Sɛ wɔka Set mfeɛ dodoɔ bom a, ɔdii mfeɛ aha nkron ne dumienu, ansa na ɔrewu.
0105090029	Enos dii mfeɛ aduɔkron no, ɔwoo Kenan.
01050a0065	Enos woo Kenan akyiri no, ɔtenaa ase mfeɛ aha nwɔtwe ne dunum, wowoo mmammarima ne mmammaa kaa ho.
01050b0051	Sɛ wɔka Enos mfeɛ dodoɔ bom a, ɔdii mfeɛ aha nkron ne enum, ansa na ɔrewu.
01050c002d	Kenan dii mfeɛ aduɔson no, ɔwoo Mahalalel.
01050d0069	Kenan woo Mahalalel akyiri no, ɔtenaa ase mfeɛ aha nwɔtwe aduanan, wowoo mmammarima ne mmammaa kaa ho.
01050e0051	Sɛ wɔka Kenan mfeɛ dodoɔ bom a, ɔdii mfeɛ aha nkron ne edu, ansa na ɔrewu.
01050f0031	Mahalalel dii mfeɛ aduosia enum no, ɔwoo Yared.
010510006d	Mahalalel woo Yared akyiri no, ɔtenaa ase, dii mfeɛ aha nwɔtwe aduasa, wowoo mmammarima ne mmammaa kaa ho.
010511005f	Sɛ wɔka Mahalalel mfeɛ dodoɔ bom a, ɔdii mfeɛ aha nwɔtwe aduɔkron enum, ansa na ɔrewu.
0105120034	Yared dii mfeɛ ɔha aduosia mmienu no, ɔwoo Henok.
010513005d	Yared woo Henok akyiri no, ɔtenaa ase mfeɛ aha nwɔtwe, wowoo mmammarima ne mmammaa kaa ho.
0105140059	Sɛ wɔka Yared mfeɛ dodoɔ bom a, ɔdii mfeɛ aha nkron aduosia mmienu, ansa na ɔrewu.
0105150030	Henok dii mfeɛ aduosia enum no, ɔwoo Metusela.
0105160073	Henok woo Metusela akyiri no, Henok de ne ho bataa Awurade ho mfeɛ ahasa, na ɔwowoo mmammarima ne mmammaa kaa ho.
0105170043	Sɛ wɔka Henok mfeɛ dodoɔ bom a, ɔdii mfeɛ ahasa aduosia enum.
0105180061	Henok de ne ho bataa Onyankopɔn; afei, obi anhunu no bio, ɛfiri sɛ, Onyankopɔn faa no kɔeɛ.
0105190039	Metusela dii mfeɛ ɔha aduɔwɔtwe nson no, ɔwoo Lamek.
01051a006f	Metusela woo Lamek akyiri no, ɔtenaa ase mfeɛ ahanson aduɔwɔtwe mmienu, wowoo mmammarima ne mmammaa kaa ho.
01051b005b	Sɛ wɔka Metusela mfeɛ dodoɔ bom a, ɔdii mfeɛ aha nkron aduosia nkron, ansa na ɔrewu.
01051c0040	Lamek dii mfeɛ ɔha ne aduɔwɔtwe mmienu no, ɔwoo ɔbabarima.
01051d007e	Ɔtoo no edin Noa, na ɔkaa sɛ, ɔno na ɔbɛma yɛanya ahomegyeɛ afiri kuayɛ mu adwumaden wɔ asase a Awurade adome no so.
01051e0065	Lamek woo Noa akyiri no, ɔtenaa ase mfeɛ ahanum aduɔkron enum, wowoo mmammarima ne mmammaa kaa ho.
01051f0056	Sɛ wɔka Lamek mfeɛ dodoɔ bom a, ɔdii mfeɛ ahanson aduɔson nson, ansa na ɔrewu.
0105200052	Noa dii mfeɛ ahanum no, ɔwoo mmammarima baasa a, wɔfrɛ wɔn Sem, Ham ne Yafet.
0106010038	Ɛberɛ a nnipa dɔɔso wɔ asase so no, wɔwoo mmammaa.
010602006e	Onyankopɔn mmammarima no hunuu sɛ nnipa mmammaa no ho yɛ fɛ enti, deɛ obiara pɛ no no, ɔfaa no wareeɛ.
010603008a	Afei, Awurade kaa sɛ, “Me honhom rentena nnipa mu nkɔsi daa, ɛfiri sɛ, wɔyɛ ɔhonam; na wɔn nkwa nna bɛyɛ mfeɛ ɔha aduonu.”
01060400d8	Saa ɛberɛ no, na nnipa akwabrane wɔ asase no so. Ɛberɛ a Onyankopɔn mmammarima yi kɔɔ nnipa mmammaa yi ho no, wɔne wɔn wowoeɛ. Saa nnipa yi ne kane tete nnipa atitire a na wɔyɛ akofoɔ a wɔgyee edin no.
0106050072	Awurade Onyankopɔn hunuu sɛ adasamma amumuyɛ adɔɔso wɔ asase so, na nnipa nsusuiɛ nyinaa yɛ bɔne nko ara.
010606007d	Ɛyɛɛ Awurade Onyankopɔn awerɛhoɔ sɛ ɔbɔɔ wɔn bɛtenaa asase so. Saa bɔne no yɛɛ Awurade Onyankopɔn awerɛhoɔ.
010607009e	Awurade kaa sɛ, “Mɛpepa nnipa a mabɔ wɔn no afiri asase so; mmoa ne mmoa a wɔwea asase so ne ewiem nnomaa, ɛfiri sɛ, ɛyɛ me ya sɛ mebɔɔ wɔn.”
010608002a	Nanso, Noa deɛ, ɔnyaa adom Awurade anim.
010609007c	Noa awoɔ ntoatoasoɔ nie. Na Noa yɛ onipa teneneeni a ne ho nni asɛm wɔ ne berɛsofoɔ mu. Ɔyɛɛ Onyankopɔn apɛdeɛ.
01060a003a	Noa woo mmammarima baasa na wɔn din de Sem, Ham ne Yafet.
01060b0033	Na bɔne ahyɛ asase so ma a amumuyɛsɛm adɔɔso.
01060c0069	Onyankopɔn hunuu saa bɔne yi nyinaa wɔ asase so, hunuu awurukasɛm ne amumuyɛsɛm, afanan nyinaa nso.
01060d0087	Enti, Onyankopɔn ka kyerɛɛ Noa sɛ, “Esiane sɛ nnipa ama basabasa aba asase so enti, mɛsɛe nnipa ne asase a wɔte so no nyinaa.
01060e0055	Fa ɔwawa dua yɛ adaka. Yɛ adan wɔ Adaka no mu, na fa ama ka emu ne akyire nyinaa.
01060f0095	Sei na ɛsɛ sɛ woyɛ no: ma ne tenten nyɛ anammɔn ahanan aduonum, ne trɛ anammɔn aduɔson enum, na ne ɔsorokɔ nso nyɛ anammɔn aduanan enum.
01061000b2	Bɔ adaka no so. Ma ne ɔsorokɔ nyɛ bɛyɛ sɛ nsateakwaa dunwɔtwe. Fa ɛpono to adaka no nkyɛn, na yɛ nsamsoɔ mmiɛnsa; deɛ ɛdi ɛkan, deɛ ɛda ntam ne deɛ ɛwɔ soro.
010611007f	Tie! Mede nsuyire bɛkata asase so nyinaa, na mede asɛe abɔdeɛ a nkwa wɔ mu; biribiara a nkwa wɔ mu no, ne nyinaa bɛwuwu.
0106120078	Na wo deɛ, me ne wo bɛyɛ apam; na wo, wo mmammarima, wo yere ne wo mmammarima yerenom nyinaa ne wo bɛba Adaka no mu.
0106130097	Ɛsɛ sɛ wode abɔdeɛ a nkwa wɔ mu nyinaa, mmienu mmienu a, ɛyɛ onini ne ɔbereɛ a, wo ne wɔn bɛtena adaka no mu nsuyire berɛ no a, wɔnwuwuo.
0106140089	Nnomaa ahodoɔ biara mmienu, mmoa biara mmienu, ne abɔdeɛ biara a ɛwea asase so mmienu bɛba wo nkyɛn, na woahwɛ wɔn, na wɔanwuwu.
010615005b	Afei, fa nnuane ahodoɔ a, wɔdie na kora. Ɛno na ɛbɛyɛ wo ne wɔn nnuane a mobɛdi.”
0106160052	Noa yɛɛ biribiara pɛpɛɛpɛ, sɛdeɛ Onyankopɔn ka kyerɛɛ no sɛ ɔnyɛ no.
0107010099	Afei, Awurade ka kyerɛɛ Noa sɛ, “Wo ne wo fiefoɔ nyinaa nkɔ Adaka no mu, ɛfiri sɛ, asase so nnipa nyinaa no, wo na mahunu sɛ woyɛ ɔteneneeni.
010702007e	Fa mmoa a wɔn ho te biara, anini nson ne abereɛ nson ka wo ho. Na fa mmoa biara a wɔn ho nte nso mmienu, onini ne ɔbereɛ.
