0100000005	Camba
01011e009e	Kooh woosa ne: «Ɗoopaat ciŋ kehƴi, sel ci na punde, in ci na yoonde ŋ kehƴi, in ci na iike jen, ŋ on ca ne, ca pesoh paangi iiri.» Te wa nikohha ɗaa.
01011f0070	Kooh hotta in ci a ƴut haɓiɗ jen, ca baahha lool. Niin raakka, ɓaaɓ raakka, wa nikka mbeha yasna-yino'ɗoh.
0102010042	Eel ci na kehƴi, na in ci ñimniɗ ci tumu nga, reehoh feru ɗaa.
010202004b	Ŋ mbeha yasna-kanakɗoh, Kooh iɗsiɗukka, raak ɗe mitɗiɗ pangkaŋ ɗe.
0102030077	Weɗ tah po Kooh barke'iɗta mbehi yasna-kanakɗoh, a hooliɗtaa wuu ce, laam a iɗsiɗuk nga, wi a ƴut fer in ci jen.
0102040057	Naandsukiŋ feriŋ eel ci na kehƴi weɗi weem. Wa Nikiɗi Kooh feree kehƴi na eel ci,
0102050095	ali kidig raakeeɗi paaɗ ŋ bilaf fi, te ali paangi puleeɗi ndoom, laam raak Nikiɗi Kooh toɓɗi ŋ kehƴi, te ɓo' raakeeɗi ne a guur merhey mi.
0102060042	Hondohɗi masuɓ puleeɗa ŋ kehƴi te wa iiri'ɗeeɗa kehƴi jen.
0102070081	Ŋ jamanoonaam, Nikiɗi Kooh mahha ɓo' na merhey miŋ kehƴi, a fuuɗissa ngaŋ kiñin kaŋ ɗe iik kipes, jaarra a nikka pesoh.
010208005d	Raak, Nikiɗi Kooh haɓɗeen nguuk, ŋ pulohaaɗ-noh, ngaŋ Eden, a ɓekka ɓoya a mahee nga.
01020900a9	A paariɗta kidig nu nik ŋ merhey ma, ca moɗta ŋ has, ca neɓpa ñamu, te ngaŋ leernaŋ nguuka, a paariɗta kidgaŋ kipes ki na kidgaŋ inhisoh baahiɗ na baahaaɗi.
01020a0054	Cul puleeɗa ŋ Eden, wa iiri'ɗeeɗa nguuka, wa pulohee ndeem, wa salla sal nikiis.
01020b0050	Sala ɗeɓ teeksee Pison, wa wileen ŋ kur kaŋ Hawiilaa jen, ɗiska urus raake;
01020c0070	ursaŋ kur keem, wa nikee koceet, ndeem raakee makndi eeñɗohaani na woyse badoolah na pemeeni na woyse sooham.
01020d003e	Sala kanakɗoha teeksee Gihon, wa wilee wil kur kaŋ Kuus jen.
01020e0067	Sala kaahayɗoha teeksee Tigar, wa nupɗee ŋ pulohaaɗ-nohaŋ Assuur. Sala nikiisɗoha nikka Ewfaraat.
01020f0055	Ŋ ineem, Nikiɗi Kooh ɓayya ɓoya, a tummba ɗe guuroh na niiɗohaŋ nguukaŋ Eden.
0102100043	A huflukka ɗe ne: «Fu miniɗ ñam rim ciŋ kidig ciŋ nguuki jen.
0102110075	Waaye kidgiŋ inhisoh baahiɗ na baahaaɗi, fu heyɗi ñame nga, laam mbaɗna fu ñaman nga ɗah, fu hey kaane fut!»
0102120085	Wa weem coot, Nikiɗi Kooh woosa ne: «Ɗaay kiik ce baahɗi ngaŋ ɓo'. Ŋ hey ɗe haɓɗiɗe ɓaatɗohoh yi min kerhiɗoh na ɗe.»
01021300c4	Ŋ ineem, raak Nikiɗi Kooh maheen na merhey ɗoopaat ci jen, na sel ci pundoh ci jen, a kommba ɓoya ca, ne a kerah findi yeem teekan ca; yaa nu nik hey ɓeeɗkasse findi ƴaara na hee ɗe teeke.
01021400b5	Wa a kom ɓoya ca, ɓoya feriɗta ca tiik jen, ɗoopaat ciŋ kahan ci, sel ci pundoh ci, na ɗoopaat ciŋ nduufi. Waaye a yi, a hotiɗɗi haf ce ɓaatɗohoh yi min kerhiɗoh na ɗe.
0102150085	Ŋ ineem, Nikiɗi Kooh pani'iɗta ɓoya, a neehha neeh nooɗiɗ. A nihissa ƴoh yino ngaŋ lah-fisaaraŋ ɗe, a rannga ɗiska na neh.
010216005a	Nikiɗi Kooh ɓayya ƴoha a nihsoh ŋ ɓoya weem, a mahha ɓitiɓ naa, a kommba ɓoya ɗe.
01021700a2	Wa ɓoya hot ɗe, a ƴeella, a woosa ne: «Waasii, yii a ƴohiŋ ƴoh ciŋ ngo na nehiŋ nehiŋ ngo! Ɓoyii teeksan ɓo' ɓitiɓ, laam a kooɗohu ŋ ɓo' ƴaar.»
0102180061	Wa taamboh ɗaa po, ƴaar hey saɓsukohe na yaay na baab, a ŋoɗ ŋ ɓitiice, ɓa nik faan yino.
0102190065	Te wa nikka ne ɓeɗ ɓi kanak ceem, ƴaara na ɓitiice, ɓa nikee faan ɓarang te ɓa supkeeɗi nga.
01030100bd	Waam, e iiñ uupee ñaañ ŋ ɗoopaat ciŋ nduufi Nikiɗi Kooh fere; iiña woosa ɓitɓa ne: «Andi wa keeh ne, e Kooh woo ne, ɗu joyɗi ñam ali rim kidig, ŋ kidig ci ŋ ɗooƴ nguuki?»
0103020045	Ɓitɓa loffa ɗe ne: «Ɓoo miniɗ ñam rim ciŋ kidig ci ŋ nguuki.
0103030088	Waaye ini kaɗ ŋ rim ciŋ kidgi ŋ leerniŋ nguuki, Kooh woo ne ɓoo kanaat ca ñam, ɓoo kanaat ca sah reɓ wala ɓoo hey kaane fut.»
010304002c	Iiña loffa ɗe ne: «Muk, ɗu heyɗi kaane.
0103050074	Kooh inah inah ne, ɗu ñama ɗah, liiɓohaaciŋ ɗu hey rangsuke, ɗu hey inhisohe baahiɗ na baahaaɗi findiice.»
01030600cd	Ɓitɓa marakka rim caŋ kidga, a hotta ne ca moɗiɗ ŋ has, ca mandiɗ na ini neɓ, te ca maɗaah ñamu ne ca rangis liiɓoha. A ɓeennda nga, a ñammba, a nammba eɗ ƴaar ce raak ɗe nga, yeem ñammba.
0103070098	Ŋ ɗiska ɗiska liiɓohaacaŋ ɓa rangsukka, weɗ ɓa inhiskoh kotii ne ɓa tas ɓarang; ɓa ɓayya ɓi saaf mbaɗet, ɓa tokɗohha ca, ɓa kenukka ca.
0103080080	Wa noha soos po puuɗsa ef-efɗeeɗa, ɓoya na ɓitiice kerahha Nikiɗi Kooh wileeɗa ŋ nguuka, ɓa ɗembeeɗa ɗe ŋ kidig ca.
010309003c	Nikiɗi Kooh ɓeeɗukka ɓo', a woosa ɗe ne: «Fu ŋ nde?»
01030a0070	A loffa ɗe ne: «Ŋ kerah ɗa kerah ŋ ɗooƴ nguuki, ŋ tiitta, weɗi ŋ ɗasɗukoh ɗa laam ŋ tas ɓarang.»
01030b0069	Nikiɗi Kooh woosa ɗe ne: «Moo, ya ɓa woo ɗa ne fu tas ɓarang? Fu ñam ŋ kidgi ŋ sangohee ɗa e?»
01030c0061	Ɓoya woosa ɗe ne: «E ɓitɓi fu ambsoh ho na ɗe, a yi eɗ to ŋ rim ciŋ kidgi, ŋ ñammba.»
01030d0077	Nikiɗi Kooh woosa ɓitɓa ne: «Wee ɓek ɗa ŋ ineem?» Ɓitɓa woosa ɗe ne: «E iiñi ñaañoh ho po ŋ ñammbaa.»
01030e00ca	Nikiɗi Kooh woosa iiña ne: «Ŋ ini fu tum weem, ŋ alkiɗ ɗa ngaŋ ɗoopaat ciŋ kahan ci na ciŋ bilaf fi jen, fu na hee hey faske te fu genan melemsuk ŋ muniŋ merhey mi ngaŋ kipes kiŋ ɗa jen.
01030f00b1	Ŋ hey ɓeke sangtiɗoh ŋ harmban fu na ɓitɓi na harmban ɓi na hee rimkohe nga ɗa na ɓiŋ ɗe. Ɓi rimkohan nga ɗe hey pooke hafiŋ ɗa te fu ɗoɓan ɓa ŋ patang kot.»
01031000a0	A nammba woo ɓitɓa ne: «Ŋ hey tume po, fu nik rook ɗah, fu laay miskiɗ, te fu ɓaslan ngaŋ miskiɗ. Fu hey ɗiiɗke ŋ ƴaar fu, waaye a yi yilfan ɗa.»
01031100c3	A hannda woo ƴaara ne: «Fu kerhiɗ woo kiŋ ɓitiifu po fu ñamiɗ ŋ kidgi ŋ sangohee ɗa, fu tahiɗ po merhey mi alkuuɗ, ŋ kipes kiŋ ɗa jen fu hey yaaɓe ne fu han raak pesoha ŋ kehƴi.
0103120052	Wa hey paare ñapir na paangi raakiɗ rup te fu na hee hey guure kotii ne fu ñam.
0103130073	Fu pesohan opiŋ ɗa po mbaɗna fu dokkan ŋ kehƴi fu puloh. Laam fu haɓɗohu merhey te fu dokkan ŋ merhey mi.»
0103140055	Ŋ ineem ƴaara teekka ɓitiice Aawa (pesohi). Laam a yi yaayiŋ ɓooɓi na pese jen.
010315004b	Nikiɗi Kooh haɓɗiɗta Aadama na ɓitiice kulɓa und, a ɓekiɗta ɓa ca.
01031600c2	A woosa ne: «Ŋ ɗiski wa nik ndii, ɓo' inhisohiɗ baahiɗ na baahaaɗi findi ɓoo; a joyɗi ɓeen kotii ŋ rim ciŋ kidgi na onohe kipes, a joyɗi ca ñam po kipes kiŋ ɗe kee nika po faw.»
0103170049	Nikiɗi Kooh puliɗta ɗe ŋ nguuka ŋ Eden ne a guur merhey mi a mahohu.
01031800b2	Wa a aañ ɓo', a ɗaakka ŋ pulohaaɗ-nohaŋ nguuka, niiɗoh ci na woyse seruben na ndang yongkaah wi na mbiliirke ɓak nu ɓak ne ɓa sangoh waasa kaɗ ŋ kidga na onohe kipes.
01040100ae	Ŋ finho ineem Aadama hunnda na ɓitiice Aawa, yeem ammba rook po a ɓasilla, a teekka kuɓka Kayin. A yi Aawa, a woosa ne: «Ŋ ɓaatɗohiŋ Nikiɗi ŋ raakiɗ ɓo' ƴaar.»
0104020063	A raakissa kuɓu ƴaar wiiriis teeku Abel, taambɗoh Kayin. Abel nikka niiɗoh, Kayin nikka guuroh.
0104030054	Wa kaɗoh kaɗoh po Kayin ɓayya ŋ in ca a guure, a puliɗta seeƴkaah wuu Nikiɗi.
01040400a3	Abel nammba ɓay ŋ saaw caŋ gat caŋ ɗe, a puliɗta seeƴkaah ngaŋ sepet caŋ mbaal ca uupee fayum. Ŋ ineem Nikiɗi neɓuusa ŋ Abel, a teyɗukka ina a eɗoh,
010405005f	waaye a neɓuuɗi ŋ Kayin na ina a eɗoh. Ineem ɓekka Kayin aay-keeñ miskiɗ, a ñuusɗukka.
0104060042	Nikiɗi meekissa ɗe ne: «Fu ayruk ye po fikiiriŋ ɗa mannda an?
01040700ac	Tumohaaɗiŋ ɗa baah ɗah, fu hey teyɗukɗasse; fu tumɗi baahiɗ ɗah, bakaaɗi weɗi wii raɗukka ŋ nguɓu tuuƴ fu na sekee ɗa, ne wa yilif ɗa, te ya fu joya min.»
010408006d	Waaye, Kayin woosa taambɗoh ce ne ɓa kaɗ yohon ca. Wa ɓa nik ŋ yohon ca, Kayin soonnga Abel, a appa ɗe.
0104090083	Ɗekka po Nikiɗi meekissa ɗe ne: «Kayin, a nde taambɗoh fu Abel?» A loffa ɗe ne: «Ŋ inahɗi kat, ñam na niiɗee ɗe haa.»
01040a0079	Nikiɗi woosa ɗe ne: «Fu haɓiɗ ye an? Ŋ kerhiɗ ñif miŋ taambɗoh fu looƴkohha kehƴi po nga so ne wa wirndukɗu.
01040b0055	Fu alkuuɗ po merhey mi faɗiɗ ɗa, laam ya fu aniɗa ñif miŋ taambɗoh fu fu aam.
01040c006f	Fu guuris merhey mi ɗah, wa eɗissanɗi ɗa in. Fu na hee hey wiltiɗohe ŋ kehƴi, fu genanɗi ɗisik yino.»
01040d0048	Kayin woosa Nikiɗi ne: «Ini fu deg go ɓitootiɗ lool po ŋ antalɗaa.
01040e00a1	Woti fu aañiɗ to ŋ merhey mi an e? Ŋ hotiɗ ne ŋ hey ɗa use, mi na hee hey wiltiɗohe ŋ kehƴi, ŋ genanɗi ɗisik yino po ɓo' nu hot to ɗah, a ap po.»
01040f009d	Nikiɗi woosa Kayin ne: «Kon, ɓo' nu ap ɗa ɗah, fu hey wirndukɗasse waas yasna-kanak.» A waakiɗta Kayin inhisoha, ne ɓo' nu hot ɗe ɗah, a apuu ɗe.
0104100064	Wa taambohha ɗaa, Kayin kaɗta gena kur ka na woyse Nood, ŋ pulohaaɗ-nohaŋ Eden, a ussa Nikiɗi.
0104110089	Kayin hunnda na ɓitiice, yeem ammba rook po a ɓasilla, a teekka kuɓka Henok. Kayin yippa kur-taah, a teekkaa ngaŋ kuɓkiŋ ɗe Henok.
0104120079	Henok nikka baabiŋ Irad, Irad nikka baabiŋ Mehuya'el, Mehuya'el nikka baabiŋ Metusa'el, Metusa'el nikka baabiŋ Lemek.
010413004e	A yi Lemek, a ɓayya ɓitiɓ kanak, yi koc na woyse Aada, yi kanakɗoh, Silla.
0104140049	Aada a yi rim Yabal, baab-caaciŋ ɓi na gene ŋ ɗiip ci, niiɗe gat ci.
0104150051	Taambɗoh ce ƴaar, ya teekse Yuubal, a yi baab-caaciŋ halmoh ci na mbiiɓoh ci.
0104160084	Silla, ɓitɓiŋ ɗe yinoora, rimmba Tubal-Kayin, sisɓi na tiɓe moos na tiwiñ. Tubal-Kayin raakeen taambɗoh ɓitiɓ teeku Naama.
01041700dd	Lemek woosa ɓitiɓ ciŋ ɗe ne: «Ee, ɗu ɓi ɓitiɓ ciŋ ngo, Aada na Silla, Sikɗukaat woo kiŋ ngo. Heeh, sikɗukaat to, ɗu ɓi ɓitiɓ ciŋ Lemek. Ƴaar gaañiɗ to, ŋ appa ɗe, Komaaki ɓuurra so, ŋ boommba ɗe.
0104180095	Te nik ne e Kayin na hee wirndukɗasse waas yasna-kanak ne a apu ɗah, cam! Lemek na hee wirndukɗasse waas ndaŋkiyaah-yasna-kanak na yasna-kanak!»
01041900b0	Aadama hunisseen na ɓitiice, a ambissa rook, a raakka kuɓu ƴaar, Aawa teekka ɗe Set, laam a woyee ne: «Kooh oniɗ to kuɓu wiiriis, yi na hee namsiɗe Abel, yi Kayin ap.»
01041a006c	Set nammba raak kuɓu, a teekka ɗe Enos. Ŋ jamanoocaam, weɗ ɓa camboh ɓeeɗkoh Kooh ŋ tiikiŋ Nikiɗi.
0105010071	Inii weɗ naandsuku ŋ Aadama na ɓi rimkoh nga ɗe. Wa Kooh na fere ɓo', a fer ɓa ŋ mandohaaɗiŋ ɗe haf ce.
010502005b	A yi Kooh a ferra ɓa ƴaar na ɓitiɓ a barke'iɗta ɓa, a teekka ɓa ɓo' ŋ noha mbaɗi.
010503008a	Wa Aadama pes kiis teemet na kiis ndaŋkiyaah-kaahay, a raakka kuɓu ƴaar ya ɓay mandohaaɗaŋ ɗe na ñaamaaraŋ ɗe, a teekka ɗe Set.
010504006b	Ŋ finho raakuukaŋ Set, Aadama pesiɗ kiis teemet-yasna-kaahay te a raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
0105050045	A kaan wa a raak kiis teemet-yasna-nikiis na kiis ndaŋkiyaah-kaahay.
010506004f	Wa Set pes kiis teemet na kiis yatuus, a raakka kuɓu ƴaar, a teekka ɗe Enos.
010507007b	Ŋ finho raakuukaŋ Enos, Set pesiɗ kiis teemet-yasna-kaahay na kiis yasna-kanak. A raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
010508004c	A kaan wa a raak kiis teemet-yasna-nikiis na kiis ndaŋkiyaah na kiis kanak.
0105090054	Wa Enos pes kiis ndaŋkiyaah-yasna-nikiis, a raakka kuɓu ƴaar, a teekka ɗe Kenan.
01050a008c	Ŋ finho raakuukaŋ Kenan, Enos pesiɗ kiis teemet-yasna-kaahay na kiis ndaŋkiyaah na kiis yatuus. A raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
01050b0039	A kaan wa a raak kiis teemet-yasna-nikiis na kiis yatuus.
01050c0059	Wa Kenan pes kiis ndaŋkiyaah-yasna-kanak, a raakka kuɓu ƴaar, a teekka ɗe Mahalal'el.
01050d008a	Ŋ finho raakuukaŋ Mahalal'el, Kenan pesiɗ kiis teemet-yasna-kaahay na kiis ndaŋkiyaah-nikiis. A raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
01050e003e	A kaan wa a raak kiis teemet-yasna-nikiis na kiis ndaŋkiyaah.
01050f0067	Wa Mahalal'el pes kiis ndaŋkiyaah-yasna-yino na kiis yatuus, a raakka kuɓu ƴaar, a teekka ɗe Yered.
010510008a	Ŋ finho raakuukaŋ Yered, Mahalal'el pesiɗ kiis teemet-yasna-kaahay na kiis ndaŋkiyaah-kaahay. A raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
010511005a	A kaan wa a raak kiis teemet-yasna-kaahay na kiis ndaŋkiyaah-yasna-nikiis na kiis yatuus.
0105120070	Wa Yered pes kiis teemet na kiis ndaŋkiyaah-yasna-yino na kiis kanak, a raakka kuɓu ƴaar, a teekka ɗe Henok.
010513006a	Ŋ finho raakuukaŋ Henok, Yered pesiɗ kiis teemet-yasna-kaahay. A raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
0105140057	A kaan wa a raak kiis teemet-yasna-nikiis na kiis ndaŋkiyaah-yasna-yino na kiis kanak.
0105150066	Wa Henok pes kiis ndaŋkiyaah-yasna-yino na kiis yatuus, a raakka kuɓu ƴaar, a teekka ɗe Matusalem.
0105160081	Henok hunee na Kooh. Ŋ finho raakuukaŋ Matusalem, a pessa ŋ ineem kiis teemet-kaahay. A raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
0105170052	Ina a pes jen wa kiis teemet-kaahay na kiis ndaŋkiyaah-yasna-yino na kiis yatuus.
010518004c	Henok hunee na Kooh po a hotissuuɗi laam Kooh rapiɗ ɗe rapiɗ ŋ serooce.
010519007c	Wa Matusalem pes kiis teemet na kiis ndaŋkiyaah-yasna-kaahay na kiis yasna-kanak, a raakka kuɓu ƴaar, a teekka ɗe Lemek.
01051a009c	Ŋ finho raakuukaŋ Lemek, Matusalem pesiɗ kiis teemet-yasna-kanak na kiis ndaŋkiyaah-yasna-kaahay na kiis kanak. A raakisseen ɓi kuɓu ƴaar na ɓitiɓ.
01051b005e	A kaan wa a raak kiis teemet-yasna-nikiis na kiis ndaŋkiyaah-yasna-yino na kiis yasna-nikiis.
01051c005e	Wa Lemek pes kiis teemet na kiis ndaŋkiyaah-yasna-kaahay na kiis kanak, a raakka kuɓu ƴaar.
01051d007b	A teekka ɗe Noohin te a woosa ne: «Ŋ alki Nikiɗi aluk kehƴi wii, yii a yi na hee eɗfiɗe coonaaniŋ ɓoo ŋ pangki.»
01051e0096	Ŋ finho raakuukaŋ Noohin, Lemek pesiɗ kiis teemet-yatuus na kiis ndaŋkiyaah-yasna-nikiis na kiis yatuus. A nameen raak ɓi kuɓu ƴaar na ɓitiɓ.
01051f005d	A kaan wa a raak kiis teemet-yasna-kanak na kiis ndaŋkiyaah-yasna-kanak na kiis yasna-kanak.
0105200050	Wa Noohin pes kiis teemet-yatuus, a raakeen kuɓu kaahay, Sem na Haam na Yaafet.
0106010045	Wa ɓo' ci camb ñimin ŋ adinaani, te ɓa raakka ɓi komaaki cafaƴ,
010602005e	safaal ca hotta ne cafaƴ caŋ ɓo' ca moɗiɗ, ɓa ɓayya ɓitiɓ ngaŋ ɓi neɓ ɓa nga ɓa.
01060300b1	Ŋ ineem, Nikiɗi woosa ne: «Ŋ heyɗi faɗisse ɓo' a maañ na iiki ŋ tum nga ɗe, laam a huf dong. Hutiiniŋ kipes kiŋ ɗe hey nike kiis teemet na kiis ndaŋkiyaah-kanak.»
01060400b0	Ŋ jamanoocaam, wa raakeen ɓi puŋkal ŋ kehƴi, te ɓa raakisseen. Ɓeem ɓeɗ nikee jalmbaaca ɗeɓgaan te tiik ciŋ ɓa kerhuuɗ. Ɓa rimkohee ngaŋ safaal ca na cafaƴ ca.
0106050077	Nikiɗi hotta ne ɓooɓa nikee ŋ kehƴi uupee nga uup añaand, te keeñ caŋ ɓa genee ɓa yurhiɗ ngaŋ in moɗaaɗi.
0106060047	A raakka aay-keeñ nga, inwaaso ammba ɗe ŋ feri a fer ɓo' ŋ kehƴi.
01060700b3	A woosa ŋ haf ce ne: «Ŋ hey ɗumbe ɓooɓi ŋ fer, ŋ hooliɗ ɓa ŋ kehƴi, ŋ faɗanɗi sah ɗoopaat ci, yakak na ƴin, po sel ci; laam inwaaso ambiɗ to ŋ feri ŋ fer ca.»
010608001f	Waaye Nikiɗi baahoheen Noohin.
010609006f	Inii weɗ naandsuku ŋ Noohin. Noohin a nikee ɓo' yurhiɗ ngaŋ ɓooɓaŋ jamanoonaŋ ɗe, te a hunee na Kooh.
01060a0038	Noohin raakeen kuɓu ƴaar kaahay, Sem, Haam, na Yaafet.
01060b0072	Ɓooɓa genee ŋ kehƴi nikee yahrukohiɗ, te wa muuƴeeɗi Kooh, te ɗisik nu ɗisik raakeen tumohaaɗ moɗaaɗi.
01060c0063	Kooh marakka, a hotta ne kehƴi yahrukohiɗ laam, e pesiɗ ci hotkang jen nikee tumoh in moɗaaɗi.
01060d00a1	Ineem tahha po Kooh woosa Noohin ne: «Ŋ ambiɗ ne ŋ hey ɗumbe ɓooɓi jen sagu riifɗi ɓa riifiɗ Adina na tumohaaɗ moɗaaɗi. Ŋ hey ɓa ɗumbe na kehƴi.
01060e009e	Waaka kidig ndengiɗ, fu haɓɗiɗ haf fu in mand na wahnde yakak, wa min teembeer findi gaal. Wa raakaat ɓi tuuƴ, fu reefa godirong ŋ ɗooƴi na finhoori.
01060f00cc	Fu na hee wa haɓɗohe an: Hutiiniŋ wa nikaat saangal teemet na saangal ndaŋkiyaah-yatuus, angiini nik saangal ndaŋkiyaah-kanak na saangal yatuus te njooliini nik saangal ndaŋkiyaah na saangal yatuus.
01061000a7	Fu heya waakɗe kunoha, harmban wa na gaali nikaat suung yino. Fu heya haɓɗiɗe yahndeer ŋ hambuusiŋ wa, gaali raak nikoha kaahay, ŋ yoorɗi, ŋ leerni na ɗafki.
0106110079	Ini kaɗ nga so, ŋ hey bembe kehƴi na masuɓ ne ŋ ap in nu na iike nga ɗah; in nu nik ngaŋ kehƴi ɗah, a hey kaane.
0106120078	Waaye ŋ hey ambtiɗohe na ɗa. Fu hey aase ŋ ɗooƴ gaali na ɓitiifu na kuɓuuciŋ ɗa kaahay ci na ɓitiɓ ciŋ ɓa.
010613006e	Fu hey name ɓek ŋ gaali heet ɗoopaat nu nik ngaŋ kehƴi ɗah, naar yino na riɓ yino ne ca min muc na ɗa.
0106140076	Heet ciŋ ɗoopaat ci hey haye kanak kanak, sel ci na ɗoopaat ciŋ kehƴi, yakak na ƴin jen hey haye, ne ca min muc.
0106150049	Fu nak, ɓayndoha kañam nu nik, fu ɓek nga, fu raak pesoha, fu na ca.»
010616003e	Noohin haɓɗohha in ceem jen ɗaa, findi Kooh nakohee ɗe wa.
0107010091	Wa ineem raak, Nikiɗi woosa Noohin ne: «Aasa ŋ ɗooƴ gaali, fu na ɓi kahan fu laam, ŋ hot ɗa dong yurhiɗ ngaŋ ɓooɓiŋ jamanooniŋ ɗa.
0107020076	Ɓayndoha ŋ ɗoopaat ci hooliɗ ci, riɓ yasna-kanak na naar yasna-kanak, na ci hoolaaɗiici, riɓ yino na naar yino,
