1300000006	Psalms
130509008b	Pwe jota me melel kot ni au arail; o lol arail rokeki kaopa. Kapinwor arail rajon joujou me jo jer pena; o re kin akjanjale mauki lo arail.
13050a0089	Kom kotin kadeik irail da, Main Kot, pwe ren pup kidi pein arail inon. Jikin ir wei, pweki arail dip lapalap, pwe re kin kanudi on komui.
13050b0090	Karoj, me liki komui ap pan peren kida, re pan pereperen kokolata, pwe kom kin kotin jinjila irail. Irail pan pereperen, me kin pok on mar omui.
13050c0063	Pwe komui Main kin kapaiada me pun kan. Komui kin kotin nekid ir ala ki omui kalanan dueta pere eu.
1306010053	MAIiN, kom der kotin kaloke kin ia omui onion, o der kame kin ia omui onion lapala!
130602006d	Main, kom kotin maki on ia, pwe nai me luet. Main, kom kotin kamau ia la, Main Ieowa, pwe ti kan me luetalar.
1306030051	Main, kom kotin jaupei don ia, dorela nen i. Kom kotin jauaja ia ni omui kalanan.
1306040051	Main, kom kotin jaupei don ia, dorela nen i. Kom kotin jauaja ia ni omui kalanan!
1306050050	Pwe murin melar jolar me pan tamanda komui; o ij me pan kapina komui wajan mela?
1306060055	I pana kida ai janejan jan jautik lel manjan; i kawijoki jokela ai loj pil en maj ai.
130607004b	Mom ai juede kilar ai injenjued, o i malar, pweki kamakama jak pai me toto.
1306080050	Komail aramaj morjued akan karoj kaiwei jan ia, pwe Ieowa kotin mani ai janejan.
130609003d	Ieowa kotin mani ai nidinid, o Ieowa kotin manier ai kapakap.
13060a0051	Ai imwintiti karoj pan namenokela o majakada melel, re pan tanwei o madan jarodi.
1307010068	MAIN, i kin liki komui Ieowa, ai Kot. Kom kotin jauaja ia on ai imwintiti kan karoj, o kotin dore ia la,
1307020053	Pwe ren der dueta laien amen kol ia di o tapen ia pajan, pwe jota pil amen jaundor.
130703003e	Main, ai Kot, ma i wiadar mepukat, o ma pa i kat wiadar japun,
1307040065	O ma i depukki mejued en akai ar wiawia mau on ia, pwe I dorelar, me imwintiti on ia, ap jota karepa,
1307050068	A ma jo due, ai imwintiti en kaloke ia, o kol ia di, o tiakedi maur i nani pwel, o kawela mar ai. (Jela)
130706007a	Main, kom kotida ni omui onion o kotin palian makar en ai imwintiti kan, o kotin opadan ia, pwe re kotin inau kidar kapun,
130707003e	Pwe wei kan pan pokon don ir; o re kotin purodala pweki irail.
1307080055	leowa iei jaunkapun en wei kan. Main, kotin jauaja ia, duen ai pun o duen ai lelapok!
1307090089	Re kotin kadukiedi mejued en me doo jan Kot akan, ap kotin katenedi me pun kan. Pwe komui Kot pun, kin kotin kajaui monion o mudilik kan.
13070a0040	Kot iei pere pa i, me kin kotin jauaja me melel ni monion arail.
13070b0037	Kot jaunkapun pun amen, me kotin onionada ni ran karoj.
13070c0063	Ma meamen jota pan wukila, a ap kotin ada japwilim a kodlaj o onopada kajik katieu o kainene won i,
13070d0076	O kotin pwil poa kananan kajik katieu men kamela. A kotin kaonopada japwilim a kananan kajik katieu, pwe men karonala.
13070e0050	Kilan, a lamelam me dir en jued, a lijenaneki men kaokaoe o pan naitikedi likam.
13070f0048	A weiradar por eu o wiadar lolia, ap pein pupedi on lole, me a weiradar.
1307100056	A men kamela pan japale don pein mon a, o a dodok jued pan pupedi on pein a al en wei.
130711004b	I pan kapina leowa, pweki a pun, o i pan kauleki mar en leowa me lapalapia.
130801004f	MAIN at Kaun, mar omui meid linan nan jap karoj! Irail kin kapina komui nanlan!
130802009b	Jan nan au en jeri pwelel, o ir me kin kankan didi, re kotin wia kidar manaman eu on omui imwintiti kan, pwe komui en kamela me imwintiti o, o me aktuau o.
130803004e	Ma i kilekilan lan, dodok en lim omui, jaunipon o uju kan, me re kotin wiadar:
1308040060	Dakot aramaj o, pwe komui kin kotin kupkupura i, de nain aramaj, pwe komui kin kotin apapwali i?
1308050057	Re kotin kajapwilidier i anjau kij pan tounlan kan, a re kalinanadar i, o kawauialar i.
1308060053	Re kajapwiladaner i wiawia en lim omui kan. Kom kotin kaloedier karoj pan na a kan:
1308070025	Jip o kau kan, o pil man en jap akan.
1308080048	O manpir en pan lan, o mam en nan jed, karoj me kin memaureki nan madau.
1308090031	leowa at Kaun, mar omui meid linan nan jap karoj!
1309010067	I MEN kapina leowa jan nan monion i meler, o kajokajoiia duen japwilim omui dodok kapuriamui kan karoj.
1309020049	I men pereperen o polauleki komui o kauleki mar omui; komui me lapalapia,
1309030040	Pwe re kotin kaloedier ai imwintiti kan, irail pupedier o melar.
1309040063	Pwe re kotin apwali ia ni ai pun o ai dodok. Komui kainpokedi pon mol omui duen jaunkapun pun amen.
1309050062	Kom kotin kapun on men liki kan o kotin kamela me japun kan, kom kotin kawelar mar arail kokolata.
130906007a	Imwintiti o joredier, a namenokalar melel. Komui kotin wuketedi kanim akan; o jolar, me pan taman irail ada o tou ar akan.
130907004b	A Ieowa pan kotin kaunda kokolata. A kotin kaonopada mol a, pwen kadeikada.
130908003d	O a pan kotin kadeikada jappa ni pun, o kakaunda wei kan pun.
1309090034	Ieowa jile pan me jamama kan, jilepa ni anjau apwal.
13090a006f	I me irail, me aja mar omui kin liki komui, pwe komui jota kin muei jan irail, me kin rapaki komui, Main Ieowa.
13090b0049	Kauleki Ieowa, me kin kaunda nan Jion. Komail padaki on wei kan a wiawia!
13090c006a	Pwe a kotin taman irail ada o kotin kainoma nta ’rail. A jota kin kotin maliela likwir en me jamama kan.
13090d007a	Main Ieowa, kom kotin maki on ia. Re kotin mani ai apwal ren ai imwintiti kan, kom kotin dore ia la jan nan wanim en mela.
13090e005c	Pwe i en kajokajoiia duen omui dodok kapuriamui pan wanim en nain Jion, perenki jauaj pa om.
13090f006c	Men liki kan pupedi on nan por o, me pein irail weiradar, o nil ’rail lodi on injar, me pein irail wiadar.
1309100067	I me kitail ajaki, Ieowa me kotin kapun pun. Me japun kan jalidi on pein ar dodok en pa ar akan. (Jela)
1309110055	Me japun kan en lokidokila nan wajan mela, o men liki kan karoj, me kin monokela Kot.
1309120061	Pwe me jamama o jota pan monokinokla kokolata, o me luet akan jota pan kaporoporeki mal kokolata.
1309130057	Main, kom kotida! Pwe aramaj ender pwaida, a men liki kan karoj en pakadeikada mo omui.
1309140059	Main, kotiki on ir men kamajak, pwe men liki kan en dedeki, me re udan aramaj eta. (Jela)
130a01004e	MAIN, da me kom kotin doo jan ia, o da me kom kotin rir jan ia ni anjau apwal?
130a020067	Me japun kan ni ar aklapalap re kin kaloke me jamama o; re kin pokon pena o madamadaua duen ar morjued.
130a030055	Pwe me japun o kin juaiki a tiak jued, o me norok moni, kin muei jan Ieowa, lalaue i.
130a040083	Me japun o kin lamelame ni a aklapalap, me a jota kotin mani duen mepukat. Ni jon en a tiak jued karoj, a kin lamelame me jota Kot.
130a050064	A kin pwaida ni a dodok kan. A japwilim omui kapun me doo jan i; a kin lalaue a imwintiti kan karoj.
130a060053	A kin indinda nan monion i: I jota pan lodi; i jota pan diar ai apwal kot kokolata.
130a07004d	Au a me dir en lalaue, o malaun, o kotaue, o pan lo a kin me jued o me apwal.
130a08006d	A wonon o majamajan nan kanim akan, a kin rir kamela me makelekel o, o por en maj a kin majamajan me japai o.
130a09007d	A kin majamajan waja rir dueta laien amen nan deu a, a kin auiaui, pwen koledi me luet o, a kin jaikidi me luet o ni a injar.
130a0a0057	A kin dairukorokedi o karakarakedi, o me japai kan pan lodi on ni kiki kon kelail akan.
130a0b0056	A kin indinda nan monion i: Kot pan monokela, a kin karirila jilan i, a iota man mani.
130a0c004c	Re kotida Main Kot, kotin pokada lim ar, kom der kotin maliela me luet akan.
130a0d0067	Menda me doo jan Kot o kin mamaleki Kot, o a kin indinda nan monion i, me dene kom jota pan kotin mani.
130a0e00a5	Ari jo, kom kotin mani, pwe kom kotin ireron me luet o kankaneraner akan, pwen jauaja ir. Me japai o kin mueid on komui pein i, o komui me jauaj pa en me japoupou o.
130a0f0066	Kom kotin katip pajan pa en me japun o, o kotin depuk on mejued o a tiak jued lao jolar pan diarokada.
130a100042	Ieowa me Nanmarki kokolata; men liki kan en nikilar jan nan japwe.
130a110068	Main, kom kotin manier inon en me luet akan; kom kotin kamanada monion arail, karon omui mamani mepukat,
130a120048	Pwen jauaja me japoupou o jamama o, pwe aramaj en jappa en jolar kanudi.
130b010055	I LIKI Ieowa, a menda komail indan nen i: Piridalan pon omail nana dueta manpir amen?
130b020093	Pwe kilan, me doo jan Kot akan kaonopadar kajik katieu o pwilikidi ar kanan en kajik katieu pon jal o, pwen rir kajikiedi me melel ni monion arail.
130b030035	Pwe ma ur akan ronk pajan, da me aramaj pun en wiada?
130b04007d	Ieowa kotikot nan tanpaj a jaraui, mol en Ieowa mimi nanlan, jilan i kin mamajani jili, kil en jilan i kin jojon aramaj akan.
130b05003b	Ieowa kotin jon me pun, ap kotin tataki me japun o morjued.
130b060069	A pan kotin kamoredi on me doo jan Kot akan liol, o kijiniai, o jwepel, o a pan katine kin irail melimel.
130b070043	Ieowa me pun o a kotin pok on me pun. Jilan i ireron on me melel o.
130c010063	MAIN kom kotin jauaja, pwe me lelapok kan malaulaular, o me melel akan me malaulau ren aramaj akan.
130c020046	Irail kin lokaia likam, amen amen on men impa, re lokaiaki lol riapot.
130c030057	Ieowa pan kotin ujada kil en au karoj me linkapin o lo, me kin lokaia wei ni aklapalap.
130c040059	Me kin indinda: Lo atail, me kit pan pwai kida, o kil en au at me kit keleki; ij at kaun?
130c05007e	Ieowa kotin majani: I pan uda, pweki kankaneraner en me luet akan o janejan en me jamama kan: I pan jauaja i, me kin inon ion.
130c060061	Majan en Ieowa me makelekeleta jilper, me kamakelekel kidar nan dal pwel en kijiniai pan pak iju.
130c070040	Komui Main, pan kotin pera irail, o jinjila mon di wet kokolata.
130c080055	Pwe me japun kan pan totolar waja karoj, ma aramaj jued pukat kin kaunda aramaj akan.
130d010059	MAIN arai da kom pan kotin malie ia la? Arai da komui pan kotin karirila jilan omui mo i?
130d020066	Arai da i en perki nan lol ai o jalo mi nan monion i ran karoj? Arai da ai imwintiti en kaurur kin ia?
130d03005d	Main ai Kot, kom kotin majan don ia o japen ia. Kom kotin kamaraini maj ai, pwe i ender mela.
130d040055	Pwe ai imwintiti ender inda: I kaloedier i. O me palian ia ender perenki ai pupedier.
130d05007a	A i kin liki omui kalanan; monion i en peren kida omui kotin jauaja ia. I pan kauleki Ieowa duen a kotin wiawia mau on ia.
130e010080	ME pweipwei o kin indinda nan monion i: Jota Kot. Jota katepa ’rail, o arail tiak meid jued; jota amen mia, me kin wia me mau.
130e02005b	Ieowa kin ireron aramaj akan jan nanlan, pwen majani, ma amen mia, me lolekon o rapaki Kot.
130e03004d	A ir karoj juedelar o karoj jota kon on, jota me kin wiada me mau, jota amen.
130e040080	Irail karoj me kin wiada mejued, jota ar lolekon, o me kin kawela nai aramaj akan, lao medi kila, a re jota kin likwir on Ieowa?
130e050040	I waja re kin majak, pwe Kot kotikot ren kadaudok en me pun kan.
130e060044	Komail kin kawela inon en me luet; aki Ieowa, me a kin kaporoporeki.
130e070094	O i men, jauaj pan Ijrael en kodo jan nan Jion, o Ieowa en kotin lapwada japwilim a jalidi kan! I me Iakop pan injenemauki o Ijrael pan pereperenki.
130f01005a	MAIN, ij me pan kaukaujon nan tanpaj omui? Ij me pan mimieta pon japwilim omui dol jaraui?
130f020059	Me kin kekeitwei ni makelekel, o me kin wia me pun, o me kin lokaia melel jan nan monion;
130f030042	Me jota karaun mal ki lo a, o me jota kin wia mejued on men imp a;
130f040071	Me kin mamaleki me lokidokilar o, ap kakaki me majak Ieowa kan, o me kin kaula melel, menda ma a juedi on pein i;
130f050090	Me jota pan piti jan en amen na moni, o me jota pan ale kijakij, pwen kawela me pun amen. Ari, me kin apwali mepukat, jota pan luetala kokolata.
1310010031	MAIN Kot, kom kotin jinjila ia, pwe i liki komui.
131002004c	Nai potoan on Ieowa: Komui ta ai Kaun, jota eu pai, me i aja, pwe komui eta.
1310030065	O I kin indan jaraui kan, me kin mi nan jappa: Met akan pwin ijou, me I kin pokepoke jan ni monion i.
131004007d	A irail me kin idedauen amen, pan lodi on apwal toto. I jota mauki arail mairon, me doleki nta, de mar arail I jota pan inda.
1310050035	A Ieowa ai pai o ai peren; Komui kin kolekol ai jojo.
1310060048	I diaradar ai pwaij en jap kajelel eu, ei pai kajelel eu, me i jojokier.
1310070051	I kapina Ieowa, me kotin kalolekon ia; pil ni pon mudilik i kan kin padaki on ia.
1310080053	I kin ariri Ieowa anjau karoj, pwe a kotikot ni pali maun i, i ap jota pan luetala.
1310090053	I me monion i kin peren kida, o nen i kin popol, pwe pil pali uduk ai pan moleilei.
13100a0082	Pwe kom jota pan kotin mauki, nen i en mimieta nan wajan mela, o kom jota pan mueid on, me japwilim omui jaraui men pan mor pajan.
13100b0074	Kom kin kotin kaaja kin ia al maur; peren lapalap mi mon jilan omui, o meid linan ni pali maun en lim omui kokolata.
131101007b	MAIN kom kotin ereki me pun o kotin mani ai likwir o kotin kupura ai kapakap, me jota kin kowei jan nan kil en au likam eu.
131102003a	Ai pun en pwili jan re omui, o kom kotin majan don me pun.
1311030082	Kom kotin kajaui monion I ni pon, o komui kotin jojon ia, ap jota me kom kotin diar. I inaukidi, me i jota pan japun ni ai lokaia.
131104004f	I kin rukila pan majan en jilan omui jan mon tiak en aramaj o al en men kamela.
1311050054	Ni ai alialu wei i jota muei jan nan lip en aluwilu omui, ai kakawei jota katia jan.
1311060068	I likwiri on komui, Main. Kot, kom kotin mani ia, o kapaike don ia karon omui, o kotin ereki ai kapakap.
1311070073	Kom kotin kajaleda omui kalanan kapuriamui, pwe pali maun omui jauaj pan ir, me kin liki komui, on ir me palian ir.
1311080044	Jinjila ia dueta por en maj eu, o kotin pera kin ia mot en lim omui,
131109004c	Mon me japun kan, me men kawe ia la, mon ai imwintiti, me kin kapil ia pena.
13110a0049	Re kin kapiridi monion arail; o jan nan au arail re kin lokaia aklapalap.
13110b0062	Waja je kin kola ia, re kin kapil kit pena, maj arail kin majamajan, pwen kaje kit di on nan pwel.
13110c0052	Dueta laien amen, me inon ion mana, o dueta laien pul amen, me wonon nan waja rir.
13110d0059	Main, kom kotida, kaloedi o kanamonokla i; dorela maur i jan me japun kan ki omui kodlaj,
13110e00e2	Jan ren aramaj akan ki lim omui, Main Ieowa, jan ren aramaj en jappa wet, me pwaij arail ni maur et; kom kotin kadire kila kaped arail omui dipijo kan, me nairail jeri ol me toto, o nairail akan me pan jojoki luan arail kapwa.
13110f004f	A i pan ariri jilan omui ni ai pun, o i pan medikila mom omui ni ai pan pirida.
1312010020	I KIN pok on komui Main, ai kel.
131202006d	Ieowa ai paip, ai kel, ai jaundor, ai Kot, ai paipalap, me i kin liki, pere pa i, menkamaur pa i o jile pa i!
131203004f	I kin nidinid on Ieowa, me kapin en ko on, o i pan dorela jan ai imwintiti kan.
1312040042	I lodi oner jal en mela kan, o pilap en Pileam akan kamajak ia er.
131205003b	Jal en wajan mela kol ia dier, o jal en mela kaloe ia dier.
131206007c	Ni ai majak i likwir on Ieowa o weriwer on ai Kot; I ap kotin ereki nil ai jan nan tanpaj a, o ai likwir lel on karon a kan.
1312070054	Jappa rerer o mokidedar, o pajon en nana kan ititekok o rerer, ni a kotin onionidar.
131208004d	Atiniai koda jan nan jilan i, o kijiniai kelail jan nan au a, ap kareda liol.
1312090040	O a kotikidier nanlan o kotidido, o rotorot impan aluwilu a kan.
13120a0043	O a kotikot pon Kerup amen o kotin pirwei, o a kotin dake pa en an.
13120b004a	Tanpaj a im pwal iei rotorot, o katau laud, o tapok rotorot, kapil pena i.
13120c003a	Linan me mi mo a, kamueit pajan tapok kan ian akel o liol.
13120d005d	O Ieowa kotin wiadar nanjapwe nanlan, o me Lapalapia kotin poronelar kapit i ian akel o liol.
13120e007f	A kotin kajik wei japwilim a kanan en kajik katieu, o kotin kamueit irail pajan. A kotin wiadar liol toto o kamajak irail adar.
13120f0060	Al en pil akan ap janjaladar, o pajon en jappa weiweidar ki ar onion Main, mon an en jilan omui.
1312100067	A kotikidier lim a jan nan waja ileile, a kotin kol ia di o kotin api ia dar jan nan pil kalaimun akan.
1312110060	A kotin dore ia la jan ai imwintiti kelail akan, jan ir, me kailon kin ia, ir me i jota itar on.
1312120045	Irail kaloe ia dier ni ai ran apwal, a Ieowa kotin wialar jauaj pa i.
1312130052	O a kotin kalua ia wajan jaladok, a kotin kamaio ia da, aki a kotin kupukupura ia.
1312140057	Ieowa kin kotin jauaja ia duen ai pun, a kotin katini on ia duen makelekel en pa i kan.
1312150041	Pwe i kin weweid nani al en Ieowa, o i jota kin katiwo on ai Kot.
1312160042	Pwe a majan akan mi mo i, o i jota pan kaje jan ia a kujoned akan.
1312170031	Pwe nai unjokalar mon jilan i o juedeki ai japun.
1312180051	O Ieowa kotin katini on ia duen ai pun, o duen makelekel en pa i kan mon jilan i.
131219003c	Komui me kalanan on me mau kan, o lelapok on me lelapok kan,
13121a003c	O makelekel ren me makelekel akan, o japun ren me japun kan.
13121b0051	Pwe kom kin kotin dorela aramaj luet akan, ap kadukiedi maj en me aklapalap akan.
13121c004b	Pwe kom kin kotin kamaraini ai lamp, Ieowa ai Kot kin kamaraini ai rotorot.
13121d0067	Pwe ni ai ian komui i kak kaloedi karij en jaunpei kan, o ni ai ian ai Kot, i kak lujwei pon kel takai.
13121e0050	AI en Kot me unjokala; majan en Ieowa me makelekel. I pere pan karoj, me liki i.
13121f003b	Pwe ia amen Kot impan Ieowa, de ia paip eu impan atail Kot?
131220003a	lei Kot, me kotin aude kin ia manaman, o kaunjokala al ai.
1312210052	A kin kotin wiai on na i kan dueta na en tia, o kotin kajapwil ia dan waja ileile.
1312220054	A kotin padaki on pa i kan tiak en mauin o, pwen kak on kaonopada kaiik katieu mata.
1312230069	Kom kotiki on ia pere pan maur omui, o lim omui pali maun kamana ia da, o omui opampap me kajapwil ia da.
1312240049	Kom kotin kaonopadar al, me i pan weweid ia, pwe nil i kan ender krijedi.
1312250057	I pan tan won ai imwintiti kan o kono irail edi, o i jota pan puredo, lao karoj lodier.
1312260054	I pan kamor irail pajan, re jota pan kak palian ia, o re pan pupedi on pan na i kan.
1312270060	Kom kak kamana kin ia omui manaman on ni pei; Kom kak kajedi on pan na i kan karoj me palian ia.
131228004c	Kom kin kotin kaloedi on ia ai imwintiti kan, pwen kawela, me kailon kin ia.
1312290048	Re kin likelikwir, a jota jauaj parail ren Ieowa, a jota kotin japen ir.
13122a0064	I pan juk irail pajan dueta pwel par nan kijinian; i pan kaje ir ala dueta pwel jamin jan nani al o.
13122b007b	Kom kin kotin dore ia jan ren akamai en aramaj, o kom kotin kajapwil ia dan men liki kan; o wei eu me i jaja kin upa on ia.
13122c004a	Ni ar roner, re peiki on ia er, o nain men wai kan peikion ia ni linkapin.
13122d0048	Nain men wai kan poridier o rerer o pwarado jan nan ar im kalaimun akan.
13122e0043	Ieowa kotin ieiaj; kapin on ai paipalap; o kapin on Kot ai jaundor.
13122f0051	Kot me kotin depuk on ai imwintiti kan, o a kotin kaloedi on ia ai imwintiti kan;
1312300086	Kom kotin dore ia la jan ai imwintiti kan, o kom kotin kajapwil ia dan ir, me palian ia. Kom kin kotin jauaja ia on me, morjued on ia.
1312310054	I me i men danke komui, Main Ieowa, nan pun en men liki kan o kauleki duen mar Omui,
1312320078	Komui me kotin kamaurada melel japwilim a nanmarki o a kotin jauaja mau japwilim a Dawid keiedier o kadaudok a kokolata.
1313010059	LAN pokon kin kajokajoi duen linan en Kot o aude pan lan kin katitiki dodok en lim a kan.
131302003d	Ran eu kin kajokajoi on eu ran o pon eu kin padaki on eu pon.
131303003a	Jota kaparok o jota lepen lokaia, ari jo, nil a kin peido.
1313040069	O a loua padak lel on jap karoj, o a kaparok lel imwin jappa. A kotin wiai on katipin im pwal eu pan lan;
131305006b	O a kin pedoi jan nan a pera dueta ol kamod amen, o kin pereperen dueta ol kamod amen ni a tanwei pon al o.
1313060054	A dakada ni eu imwin lan ap tanalan imwin teio, o jota me kak rir jan mon karakar a.
1313070078	Kapun en Ieowa me unjok o kin kainjenemauiala nen en aramaj akan. Kadede en Ieowa me melel o kin kalolekonla me lolepon.
1313080075	Kujoned en Ieowa me pun o kin kaperenda monion en aramaj. Kujoned en Ieowa me makelekel o kamarainiada maj en aramaj.
131309004f	Lomwin Ieowa me min o kin duedueta. Majan en Ieowa kan me melel, o pun kaualap.
13130a004f	Irail me kajampwal jan kold o kold linan toto, o iau jan onik o onik kajampwal.
13130b0058	Ir me pil kin katamanda japwilim omui ladu, o me kin kapwai ir ada, ar katin me lapalap.
13130c0049	Ij me kak aja duen toto en a japun? Kom kotin lapwada dip ai me rir akan.
13130d0084	Pil perewei jan japwilim omui ladu me aklapalap, pwe ren der kaloe ia di, i ap pan punala, o pan makelekel jan dip lapalap kokolata.
13130e0065	Kom kotin kupura kaparok en au ai o lokolokaia en monion I mo ’mui, Ieowa ai paipalap o ai jaundor.
131401004e	IEOWA en kotin mani om kapakap ni ran apwal o; mar en Kot en Iakop en pera uk!
1314020056	A en kotin porone don uk jauaj pam jan nan tanpaj jaraui o kamana uk ada jan nan Jion.
1314030043	A en kotin kupura om mairon karoj, o om mairon ijij en konkon re a.
1314040046	A en kotiki on uk, me monion om anane, o kotin kapaiada om inon karoj.
131405007a	Je pan nijinijki omui jauaja kit, o ni mar en atail Kot kit pan kida at plak. Ieowa en kotin kapwaiada om poekipoek karoj!
131406008f	I ap ajaer, me Ieowa kin kotin dorela japwilim a me keiedier, o a pan mani i jan nan japwilim a lan jaraui, lim a pali maun kin jauaja kaualap.
131407004f	Mo kan kin kaporoporeki war o oj akan; a kit kin keleki mar en Ieowa atail Kot.
131408002f	Irail lodier o pupedier, a kit uda o kajinenda.
1314090042	Main kom kotin jauaja nanmarki o, o kotin mani at likwir on komui!
1315010056	MAIN Ieowa, nanmarki o kin peren kida omui manaman, o a polauleki melel omui jauaja i!
131502005b	Kom kotiki on i, me monion I inon ion, o kom jota kin jopeiwei jan, me kilin aua poekipoki.
1315030059	Pwe kom kin wudokedi on poa me mau kan; kom kotin kalijorop kidi i nin kold kajampwal eu.
1315040043	A kin poeki re omui maur, komui ap kotiki on i maur warai kokolata.
1315050055	A linan me lapalap ki omui kotin jauaja i. Kom kin kotin kapwataki i manaman o linan.
1315060055	Kom kotin kajapwilada i, pwen wia kamau men kokolata; kom kaperenda i mon jilan omui.
131507004a	Pwe nanmarki kin liki Ieowa, o a pan dadaurata ki kalanan en me lapalapia.
1315080059	Lim omui pan diar omui imwintiti kan karoj, o lim omui maun pan diar me kailon kin komui.
1315090089	Kom pan wia kin ir ala jtop en kijiniai eu, ni omui pan kotin pwarado. Ieowa pan kotin kawe ir ala ni a onion, o kijiniai pan kan ir ala.
13150a005d	Kom pan kotin karojela kadaudok arail jan nan jappa, o wa ’rail jan nan pun en aramaj akan.
13150b0048	Pwe irail inau kidar, me re pan wia jued on komui a re jota pan itar on.
13150c0065	Pwe komui pan kotin kajaloe ir ada, pwe ren tan; kom pan kotin padok won ir omui jal en kajik katieu.
13150d0043	Main kom kotida ni omui rojon kit ap kauleki o kapina omui manaman.
1316010054	A I Kot, ai Kot da me komui likidmalie kin ia la? I likelikwir, a jauaj pa i me doo.
1316020054	Ai Kot, nin ran i kin likwir, a kom jota kin japen, o ni pon I pil jota kin nenenla.
1316030049	Ari jo, komui ta me jaraui, komui me kotikot pan kaul en kapin en Ijrael.
1316040040	Jam at akan liki komui, o ni ar liki, kom kotin jauaja irail er.
